	Decent hotel at a decent price	This hotel is older with large rooms. You get a kitchen in the suite, so if you are a with a family that is a great addition (eat inside). If you need the space and want a low cost hotel, this is a great option.	
Jan 7 2008 	Huge Room!	My husband, stepdaughter and I stayed in the Eastgate for one night in January 2008. When we got off the cramped elevator, we fully expected the room to be tiny because the hallway was so compact. Wrong! As soon as we opened the door, we collectively said &quot;Wow!&quot;. The room was huge, even NOT by NYC standards. I've stayed in hundreds of hotel rooms, including suites, and this one was probaby one of the largest I've ever experienced. There was a big dining room with a family-size table, a huge living room with a sofa, chair and TV, a full kitchen (although small), a large separate bedroom with two queen beds and tons of closet space, and a small bathroom with tub. We could not believe how much space we had. You could easily have 6 or more people staying in there, comfortably (except for sharing the small bathroom). I'm assuming the building used to be apartments.I booked my room through Priceline. I think it was about $165, well below what you would expect to pay for such a big space in NYC. True, the furniture is dated and somewhat worn, but who cares? If they updated everything, you'd have to pay way more. How much time do you spend in the room in NYC anyway? The room was extremely clean and the front desk clerks were very friendly and helpful.The hotel is definitely in a convenient, relatively quiet and safe location - lots of restaurants, shops, businesses, etc. around. It was about a 15-20 minute walk to our Broadway show. We never heard any traffic noise from our room. We felt very safe walking around that area late at night.I would definitely stay at the Eastgate again!	
Jan 4 2008 	excellent value	This is the third year in a row that we've stayed at the Eastgate Tower, and we will continue to come back for many years to come. We take various family members to NYC every year in December to see the Christmas lights, and every year, we have a different configuration of family relationships with us necessitating various sleeping arrangements. The Eastgate has worked beautifully every year - they have so many options to choose from, room-wise. One bedrooms, two-bedrooms, studios - whatever your needs, they have a room that fits. For the last two years, we've had our baby with us on the trip, and both times, they've been able to provide a REAL crib (not a flimsy pack and play) for her to sleep in. This year we discovered that they also have high chairs for your room upon request, and they do stroller rental too, if needed. They seem to bend over backward to be family-friendly and accommodating.The hotel is tucked onto a quiet street between two busy avenues - quiet enough, but easy walking distance to the Grand Central subway stop, pharmacies, grocery stores and restaurants. The rooms themselves are HUGE by NYC standards - lots of room for a toddler to play after a long day in the stroller sight-seeing. The kitchenette is particularly useful when traveling with kids, as well. It is true that the place needs a renovation - it's getting a little shabby with scratched and dented furniture and threadbare carpeting, but it is kept immaculately clean by the very friendly housekeeping staff. I did not hesitate to let my two year old play on the floor - it was quite clean.I almost hate to write this review - I kinda want to keep the place a family secret. But the hotel deserves commendation - the staff are so friendly (seems to be the same people working there for three years in a row, so there doesn't seem to be much turn-over), and the price for the location (and for the square footage) is SUCH a bargain that I felt I needed to let others know. This is a true gem if you're taking a family vacation to the city - especially if you have kids!	
Jan 1 2008 	Spacious though not luxurious	My partner and I spent four nights at the Eastgate Tower at the end of November 2007. He was in New York on business, and I tagged along for fun. We chose the Eastgate because a) it fit into his expense budget and b) it is located within walking distance of his company's Manhattan headquarters.The best thing about the Eastgate: a lavish amount of space at a reasonable price, both exceptional by New York standards. We had a large living/dining room with a tiny kitchen; a bedroom with attached bathroom; a separate powder room; and two closets. This allowed me the luxury of staying up as late as I wanted, reading or watching TV, without disturbing my partner who had to be at work early each morning. We also stocked the refrigerator with breakfast items, so that we could have quick and economical in-room breakfasts.The rooms were not at all luxurious or stylish; it looks like the place hasn't been redecorated since the mid-1980s. It's all a bit dated and worn, but nevertheless spotlessly clean and comfortable. The staff was friendly and efficient; while the service is not up to the standards of a luxury hotel, it is perfectly adequate.The location is a bit out of the way, on the border of Midtown and Murray Hill, but is only a ten or fifteen minute walk to the transportation hub of Grand Central Station. And, being immediately adjacent to the Queens-Midtown Tunnel exit street, we did get our share of honking horns and traffic noise every morning, but it wasn't a problem since we weren't sleeping late.All in all, the Eastgate Tower provided the luxury of space at a bargain price; we would definitely stay here again.	
Jan 1 2008 	Excellent Hotel	I stayed here in October for 5 nights with my partner and father who joined us mid stay. We were very happy with check in which was extremely fast, our room was not ready at the time but we had been given a complimentary upgrade to a 2 bedroom suite so were not concerned. To be fair the room was absolutely huge and was probably bigger than most apartments in New York. The decor was a little dated and lighting not enough in the lounge for the size of the room but it had 2 bathrooms which was really handy and 2 large bedrooms, one with 2 doubles and 1 with another double.The service was fantastic and what I liked was that it seemed like no tip was expected from the staff. Not too common in NY. Location for us was awesome, right in the middle, we were able to walk to most sites but grand central was a couple of blocks away and there are taxi's galore. Unfortunately the restaurant was closed when we were there also but the courtyard was lovely to sit in to relax after exploring New York for the day. Food wise, the italian restaurant just up 2nd Avenue is an absolute gem! We went to Smith and Wollenskys grill for a steak which was also amazing and would highly recommend, expensive but worth it. Deli's galore, Fluffy's is brilliant on 7th Ave close to carnegie hall for a casual normal priced good sandwich and salad and there is a McDonalds just downstairs if you're desperate.I believe that this is an excellent hotel for the money considering its central New York and we thoroughly enjoyed our stay here.	
Dec 30 2007	Clean 	Stayed here with my sister-in-law for 4 nights from 8th December. The hotel is in a quiet street within easy walking distance of Fifth Avenue, Times Square, Empire State Building, Grand Central Station. We had a junior suite which was really warm and comfortable for the two of us. We were able to spread out and relax between coming back from our days sightseeing and going out in the evening. The suite had a large bed, comfortable sofa bed and armchair, a kitchenette and bathroom. Towels were changed every day and sheets alternate days. The bathroom had a good supply of shower gel, shampoo, etc.The only use we made of the kitchen was to store cold drinks in the refrigerator and make coffee. The hotel supplied enough coffee for our needs.The day we arrived our room wasn't quite ready, but we were able to leave our cases and go for a walk. On our last day we left the cases again and the hotel arranged a car to the airport. The staff were very friendly and helpful.Just two minor criticisms - the room was very hot , until we worked out how to turn the heating down, and there was no kettle to boil the water for making tea. But these are minor things and all things considered I would definitley stay here again.	
Dec 19 2007 	Very Nice and Comfortable	Very nice little hotel, with decent staff and rooms that feel like little apartments. Very quiet residential location, and there are tons of great places to eat and drink along 3rd Ave. Staff was all very pleasant.In my room there was a long narrow hallway that you entered through (probably all are like this). and the light in the hallway was out when I first got there. Very dark and disconcerting because you cannot see the room right away, just a dark hallway. On my way out in the morning, I told staff light was out and it was replaced when I came back. Rooms are not spectacular, but just pleasant and laid out in a way thay feels like a decent studio apartmentI am on a long term assignment in NYC working in Midtown, and I have been searching for a place I can call home without bopping around from hotel to hotel. This is probably where I am going to end up.	
Dec 9 2007 	Excellent accommodation	We stayed for 4 nights at the Eastgate Tower Suite Hotel at the end of November 2007. Check in was flawless and we were pleased with the relatively quiet location just a couple of blocks from Grand Central (nearest subway) and a 15-20 minute walk to the Empire State Building. Our junior suite was very spacious and clean with good facilities. Servicing of rooms was excellent. Unfortunately the restaurant was closed for refurbishment so we used the in-room kitchen facilities for breakfast although there was room service. There were free secure deposit boxes. The staff were very helpful and organised transport back to Newark airport for us and storage for our luggage during the day after check out. We would highly recommend this hotel and would not hesitate to stay here again.	
Dec 7 2007 	good value for the money...	Stayed at the Eastgate at the end of November / beginning of December. Good location and very big room albeit a little dated. The bed was large and very comfortable. There was a sizeable sitting area for guests / fellow travellers. There was also a smallish bathroom and a basic kitchen.Please note this is not the smartest, most modern hotel in New York but the room was large, warm and comfortable. If you spend a lot of time in your room you are missing the point of visiting New York!!The Hotel was certainly not cheap but was mid-priced and I think good value for money especially if there are a couple of you in each room making a contribution. I’ve stayed in much more expensive NY hotels and they haven’t been much better.Please note at the moment the Hotel Restaurant is closed as its being updated although there was no sign of activity when we were there. We ate breakfast at the Frontier Restaurant about 100 yds away on 3rd and the food was quite good and reasonably priced. For other meals you would probably travel outside the hotel anyway and there are lots of restaurants within easy walking distance.The staff are helpful and friendly although a little busy at times, so occasionally there is a little wait for attention however it’s good when it arrives.Overall fairly satisfied with the Eastgate experience.	
Dec 7 2007	Excellent!	I didn't know what to expect when I booked this as a surprise trip to New York for my boyfriend. We had a 1 bedroom suite (some family came as well as part of the surprise) which consisted of a 2 double beds in the bedroom and a pull out sofa bed in the living room. We had a fully fitted kitchen which was brilliant for quick snacks and drinks. We found the staff to be very helpful and polite. I agree with a lot of the reviews the rooms are a little dated but we found them to be clean and spacious. The towels and bedding were changed every day and they even did the washing up? The Frontier Café on the corner of 39th St and 3rd Av is excellent for breakfast. They even delivered to our room when we had to be up and out for 08:00 in the morning. Docks on 40th and 3rd (I think) have great Sea food. The hotel is in a great location and within walking distance to Grand Central. It’s the ideal place to drop your bags, party, shop and sight see then crawl home in the early hours….	
Dec 4 2007 	Not impressed	After reading many reviews we finally chose Eastgate Tower Hotel for our 5 night stay in New York. Our only request was a room with a view, which ended up being a room on the second floor, right above the air conditioning unit, which hummed continuously looking at a rather dull rendered wall. Not being a well travelled person I was expecting a little luxury for our $2300 stay, how wrong I was! The room was in desperate need of redecoration and very grubby, there were stale crackers in the kitchen cupboards and the windows did not shut tightly which mean't the humming was more audible. The restaurant was also closed for referbishment, which was never mentioned on their website or when they took our hard earned cash!If you have decided to stay at this hotel, judging by the reviews you might be lucky, but if you get room 2D you won't be impressed.	
Dec 4 2007 	Great hotel	Booked a 2 bedroom suite here, It really was huge, fantastic value. I don't have any negatives about the hotel, it suited us perfectly.	
Dec 2 2007 	Awesome hotel	I previously stayed at the Eastgate towers in December of 2006 and had a follow up trip in October of 2007 and the hotel was just as great! This time we had three people going and had the Junior bedroom suite which came with one queen bed, a pull out sofa bed (which was VERY roomy and VERY comfortable!) and what a very spacious room is general! You definitley get great quality at the hotel. The staff are very helpful and the bags can be put on hold before checking in and after checking out so you can get the most out of the city. This is a perfect location because it is outside of all the hustle and bustle and is quiet and nice. Everything is in a reasonable amount of walking distance, Grand Central is particularly close. There are some good restaurants and eating locations just around the block, so no need to fear with the hotel restaurant under renovations. Anyway, highly recommended! AWESOME hotel, next time I go to NYC I will be staying yet again at Eastgate Towers.	
Nov 27 2007	All you need	I've just literally come back from staying in the Eastgate Tower Hotel. We booked the 2 bedroom suite and stayed there for 4 nights. Although the hotel is not very modernly decorated it was perfect for what we needed. The hotel restaurant is currently under renovation but there was a perfectly adequate diner on the corner called Fontaine's I think. Our room could comfortably accommodate 6 people and as there were only 4 of us we had more than enough room. We did not used the kitchen as that was not what our trip was about but it would have perfect if needed. I would say thogh that there was no microwave.The staff were very very pleasant and helpful. Anything you needed they got for you and in a very nice manner. I would stay in it again and would definitely recommend it to others.	
Nov 25 2007 	Not Bad	This hotel is located in Midtown and is in walking distance of Grand Central, Empire State Building, Rockefeller Centre, UN Building, 5th Avenue and Broadway. The room was massive, clean and what we had expected. We didnt use the kitchen but looked well equiped. Resturant was closed for 'renovation'. Staff were helpfull and we were able to leave our bags with Concierge on last day.We had nothing bad to say about the hotel. Seemed to be a quiet neighberhood. The black sheep (Irish) pub, (located on the same block) provided a nice meal and drinks one evening.	
Nov 13 2007 	So very very happy!	I did SO much research online to make sure we found a clean room in a safe place for our first trip to NYC. Due to the staggering hotel prices, I decided to look a bit further away from Times Square, where we would be be attending shows until very late at night. I happened upon Eastgate Towers and read all of the great reviews. To my delight, all the raves are true!ABOUT LOCATION: On the map, it seemed a bit further from Times Square than ideal, but it turned out to be a reasonable distance...only a 20 minute walk (Right onto 3rd, Left onto 42nd until you hit Braodway) Easy walk for any able bodied person... and (in traffic) it IS faster to walk than taxi (save $6-$12). You walk right by the Chrysler Building, Grand Central Station, Public Library and ice skaters in Bryant Park along the way. We even walked back to Eastgate Hotel at 2:30am and never felt at all unsafe. We felt like we lived in NY!THE NEIGHBORHOOD: The Frontier on the corner is a great breakfast spot. They deliver to the rooms for no charge, but we preferred to sit down to eat diner style. It was FAST, affordable and tasty. Never made it there for lunch. McD's on the corner, perfect for a 3am snack! Grocery store around the corner, Dunkin Donuts close by. Lots of other places to eat.... Duke's (Left onto 3rd) had a fun atmosphere. Quiet, safe neighborhood.THE ROOM: We were in a Jr Suite on the 3rd floor directly above the portico. Surprisingly quiet, considering we were so low and close to the main entrance. As everyone has said in the reviews... the rooms are HUGE! Even compared to rooms outside of NY! Very clean, lots of closet space. The decor in our room was not bad at all and did not seem dated to me. It was simple, not posh, but didn't seem worn out or ugly. I liked that the windows opened a bit for air and to let in some &quot;city sounds&quot;.THE STAFF: All were friendly, helpful and seemed to like their jobs... even when it was busy. We called for an extra blanket and then went to grab breakfast. We were only gone 30 minutes (MAX) and when we came back.. our blanket was there, our room had been fully serviced and the dishes left in the sink were washed! NICE!	
Nov 13 2007 	Easy and Comfortable	If you want to feel like you are living in New York this is a great neighborhood. Hotel is worn but clean and rooms are good size. We will stay again.	
Nov 13 2007 	Eastgate	A good hotel in a great location. The previous reviews on the site are accurate, the rooms are massive but slightly dated. Having said that it did not cause us a problem and if it was renovated I guess the prices would increase accordingly. The rooms were clean and the kitchen facility was great as we did not have too eat out all the time. The one evening we were too tired to go out so ordered a Chinese takeaway via the reception, I guess most hotels would not be too keen on you doing this!The Frontier diner on the corner of the block is an ideal place to have breakfast to set you up for the day. There are several good restaurant close by, Cibo [--] (1 block up on 2nd street) is highly recommended. The area feels safe even at night and it is just a short walk to Grand Central station.All in all a great hotel and we will be back.	
Oct 28 2007 	Good value accomodation	Just returned from a week's stay in New York and stayed at Eastgate Tower at the start and end of the visit [Montauk for a few days in the middle]. Found Eastgate towers to be excellent accomodation. Centrally situated, and the 2 bedroom Suite we had was perfect accomodation for a family of x2 adults and x2 teenagers. The staff were helpful and knowledgable. The hotel was also prepared to let us leave some bags at the hotel for 48hrs [as we were coming back] so that we could travel light for our 2day Sea-side trip to Long Island. Only critical points? :1] Contrary to Hotel details, the Ground floor Restaurant is closed for &quot;renovation&quot;. No work going on, didn't look in a rush to re-open.2] Decor, rather dated and in need of refreshing....On theother hand the price would take a hike if it was all &quot;trendy boutique&quot; in appearance.	
Oct 20 2007 	Not bad. Very basic	Very basic hotel. I had a junior room and it was very large, especially for NYC, though the bathroom somehow manages to remain NYC small. Location was good, for midtown Manhattan. Bathroom wasn't as clean as it could be.Not sure if I'd stay there again, especially if it's for vacation.	
Oct 9 2007 	Great hotel!	This is a great place to stay! Convenient location, safe neighborhood, spacious and clean rooms, full kitchen (with dishwasher!), full baths, dining area. Great value. We'll be back.	
Oct 5 2007 	Not luxurious but really good all the same	Four of us spent the last four nights in September in a 2-bedroom suite and I'd give Eastgate Tower the thumbs up.The one precondition the other couple had for an NY hotel room was that it had to be bigger than the average shoebox and in fairness, the suite we got was huge. As other reviewers mention, it is not state of the art by any stretch. Don't get me wrong, it is not rundown and is certainly not uncomfortable...just a little old-fashioned in terms of furnishings.This isn't a hotel you'll be spending any time in apart from in your room. The lobby is small and serves a function to get you to your room as quickly as possible. Safety deposit boxes are available in the lobby too. The onsite restaurant was closed for renovations when we stayed.Nearby, there is a McDonalds, a pharmacy and a cornershop at one end of the street, and a couple of nice breakfast places at the other. Around the corner is a strip of 3 pubs, which all seemed to do a fair enough trade.Grand Central is only a 5 minute walk away (I don't see how anyone could describe it as further away... the entrance you need is more or less at the corner of 3rd and 42nd) and this means everything in the city is only a change of a train away.Fashion Avenue is about 20 minutes away, Times Square a few minutes more than that, and Central Park about 25 minutes (all walking distances).If you're in New York principally to go shopping, this probably isn't the best spot for you, given the long enough hike back and forward from any of the main shopping areas to drop off the bags and start again. But for any other visitor, the Eastgate is excellent value.	
Oct 5 2007 	Good solid choice!	The Eastgate Tower is a very good choice for anyone travelling on a budget. Actually we paid a fortune for it, on a business trip during the busiest week of the year, but I know that generally the hotel is good value.The reception staff were always cheerful and helpful.The rooms are HUGE. If you're sharing with friends, the 2 bedroom suites might be a good way to save money. I was upgraded to one ... it had 2 double beds, and another room with two single beds. Plus two bathrooms, a ktichen and a huge living room. So you can have your privacy (separate bedroom and bathroom) and meet up in the living room. Tons of storage space too in both bedrooms. I was on the 3rd floor, and there was some street noise in the bedroom facing the street. I wear earplugs, and was fine with it. The other bedroom, facing the back, was much quieter.All that said, I found the hotel totally lacked character - it was, well, your basic hotel. But it was clean, the TV worked, and the location is very good indeed. We were working at the UN, and it was within easy walking distance. For breakfast, we went along the road to the Frontier cafe, and really liked it. A real New York experience. British visitors will love it! Free coffee refills too.All in all, if you haven't been to New York before, and are looking for a good value base for exploring the city, you can't go wrong with the Eastgate Tower.	
Oct 1 2007 	Extraordinary Eastgate	I have nothing but good things to say about the Eastgate. I was traveling with four friends, and when we arrived the desk clerk told us we had been upgraded to a 2-bedroom suite. The suite was huge, with two bathrooms and a sitting area where we gathered with our other friends to drink wine before going out on Friday night. We had a kitchen with a full-size refrigerator and a dishwasher. I am picky about cleanliness and found nothing to complain about. We paid $400 per night, which with taxes amounted to about $125 per person, per night-that's a great deal for a big room in New York in September.Everyone at the front desk was very pleasant and helpful, quickly checking our bags when we arrived early, and letting me use the health club bathroom after I checked out. There is internet access in the front lobby; if you're just printing out a boarding pass it's $3. We really enjoyed the neighborhood. Around the corner from the hotel is a supermarket, convenience store, neighborhood bars, a wine store and inexpensive eateries. It's a little bit of a hike to the nearest subway station, Grand Central, but hey, it's New York, you walk a lot. We had no problems walking to midtown, Central Park, etc.Yes, the furnishings are a bit threadbare. So what? I'd prefer they keep the rates at a reasonable cost. That minor quibble didn't take away from the great experience we had here.	
Sep 23 2007 	Loved the Eastgate Tower I'll be back!	Stayed at the Eastgate Tower with my mother and sister, the first visit to New York for all of us! I read the reviews carefully prior to deciding on the Eastgate, and the reviews were right on! This hotel is a great value, location was good, walking distance to just about everything that we wanted to see. The neighborhood felt safe, with lots of retuarants, little grocery stors, etc. While the hotel itself may need a bit of an update, it was very clean, well kept, quite and friendly! STAFF was GREAT! I will defintely bok the Eastgate Tower on my second trip to New York!	
Sep 18 2007	Excellent Value For Money	Have just returned from a 5 night stay in the Eastgate Towers. It was my first visit to New York so location was very important i.e. safe and close to major places of interest. Our room was on the 5th floor and we were never disturbed by traffic. It was slightly outdated however it was a decent size, comfortable and spotlessly clean and toiletries/coffee etc replenished every day.The location was excellent - we walked as far north as the Guggenheim and as far south as Battery Park and Times Square was only about 20 mins away. Even late at night we never felt threatened when walking around.My boyfriend used the gym every morning and tells me that it was perfectly adequate and the hotel were flexible about him using it prior to official opening time.Reception staff were helpful and we were allowed to remain in our room past checkout time on our day of departure rather than store our luggage downstairs. The hotel also arranged our car to the airport and this proved to be cheaper than our taxi fair on arrival.Overall, this hotel represented excellent value for money and we would definitely stay there again.	
Sep 8 2007 	What a joy!!	The Eastgate Tower is a really good value hotel, that is exceptionally clean with very friendly staff. The lobby and reception are small but functional and pleasantly decorated. I stayed for five nights with with four other friends and we were allocated two suites on the same floor. The suites were well equipped and very clean, though simple in furnishings - they had everything we required. The hotel is well located and in easy walking distance to UN Buildings, Grand Central Station and the Empire State Building, we also walked comfortably to Macy's, Times Square, Broadway and Fifth Avenue. We had a fantastic stay and would all go back to this hotel - the cleaniness, friendliness and location of this place make it exceptional value for money. Thanks to all the team at the Eastgate Tower, you made our trip memorable....you were really grand!!A very happy Yorkshire lass, from Sheffield England.	
Sep 7 2007 	I concur with the positive reviews	My wife, 3 yr old son and I stayed for three nights in a double bed suite with a kitchen. The room and the hotel decor is rather plain and dated for some tastes. The bathroom was plain and clean with a nice showerhead.There was enough space in the room for us all to run around. The kitchen has a stove, oven, microwave, small fridge, sink, cabinets with plates, pans, glasses, and utensils. We filled the fridge up with food from trader joes and whole foods at union square, the next stop on the number 4 express. The metro is 3 blocks away at grand central station The neighborhood seemed safer and quieter than the more busier tourist spots. There are tons of restos on third ave. Midtown tunnel is a few blocks away for trips to the Long Island, Laguardia and JFK and grand central is, again, three blocks away.  The staff attended to all our needs and questions pleasantly and with concern. There was an excess charge for the internet on our bill but it was excised without hassle.The gym was small, tv epuipped with a treadmill, 2-3 stairmasters an older bike, a rack of 5,8,15,25 and 35 dumbbells.and a universlal gym, which is fine if you know what you're doing.  We would definitely stay here again unless we found something else that was as convenient and well equipped for a lower price.	
Sep 6 2007	Great family hotel	Our family of 5 (3 kids ages 19-23) stayed here for a week in August. Huge 2 bedroom suite. The beds were comfortable. The rooms are clean. Having a fully equiped kitchen is a bonus. The location is good, many great restaurants nearby - we liked the restaurtant in the hotel. But if you like Italian try Rossini's, just a few blocks away. Or Maru Maru for Japanese, it's on 2nd. We were able to have a later check out and the hotel arranged airport transfers at a much more reasonable rate than if booking on the internet (if you pay cash). The rooms could use some cosmetic upates, but the price was right for the size and comfort level. We stayed at the Shellburne last year (same hotel chain), it's fancier, but you pay for that. We would stay here again.	
Sep 2 2007 	VERY Pleased with the Eastgate Tower Hotel Suites!	We were doing a 3-city tour (NYC, Philly &amp; Boston) and had stayed at other Affinia NYC properties (e.g. Kimberley Suites) last year. Being honest, we try and pick suites where they are available and reasonably priced, as some hotel rooms in NYC can be a bit pokey - and the One Bedroom suites for just the two of us here are massive! We had 4 nights at the Eastgate Tower. Gotta say we were more than pleasantly surprised when we got the key to our room (Suite 23C) with great views of the city and the room was massive! Dinner table seating for 6 easy (8 at a pinch); kitchen had everything you'd ever need for a suit-yourself-stay (microwave, 5-burner gas cooker, cutlery &amp; crockery, huge fridge-freezer, sink, coffee machine with comp coffee, tea bags etc.) The separate living room/lounge was huge too - settee, arms chairs, writing desk with reasonably-priced WiFi Internet, large TV (with all manner of Web Access, Films on Demand, free channels etc.) with good Air Conditioning (as did the separate bedroom - comfy bed!). The room smelled clean and fresh and was maintained well throughout our stay. Check-in/Reception guys were bright and engaging (for that read genuinely helpful and polite) and the place itself is ideally situated Midtown for all most tourist walkabouts. NYC is a walker-friendly city and we just like to pootle about and shop and go and see things. We have fiends in the West Village, so getting there from our hotel was no problem. If you like a variety of eateries - you're spoiled for choice: Deli's, Diners, Restaurants etc. Would we go back? Yep - no question. Recommended as a value-for-money residence for when you're in NYC! Enjoy - we did! :-)	
Sep 1 2007 	Did exactly what is said on the box	Stayed at the eastgate tower a week ago for 6 nights with our 14 month old son. Chose the hotel for favourable reviews on trip advisor and a fair rate (hotelstay.com) was £740 for 6 nights . To be fair there is nothing we could complian about- it fitted our needs exactly- we requested a room high up (quieter) and a cot and indeed it was all set up when we arrived. A friend who lives in the USA was able to stay with us at shorter notice too and so we requested a fold away bed which was no problem and we were not charged for this either. The kitchen area was well equipped and I dont know how we would have managed with our little one without it (fridge, microwave and washing up area) . We requested a high chair and 20 mins later a good quality one (he does wriggle a lot!) appeared. Location of teh hotel could not be faulted either - we dont mind walking and it really was a short walk to get food (lots of supermarkets, a good diner- Frontier, and a starbucks about 5 minn walk away)For familes travelling especially with babies/toddlers i would thoroughly recommend this hotel- yes its isnt luxurious but quite frankly it was clean, tidy and well equipped- what more do you want?	
Aug 31 2007 	Woul definately stay again	I couldn't believe just how large the rooms were! We didn't use the kitchen much, but there was everything you would need to make a meal if the NY cuisine was getting you down. I went with my family and we had 2 rooms. The A/C in my room worked extremely well and was quiet, however the one in my parent's room was a little noisier, but it by no means stopped them from sleeping. The bed was very comfortable and unlike a lot f hotels, the linen was of a good quality allowing you to ust sink into sleep after your flight, which was handy as ours had taken 28 hours rather than 7 with Delta but that's a different story.The concierge was very helpful and very friendly. He told us where to go to find the best cheesecake, pretzels and diner in the city when we wanted to sample some typical american food. He also arranged a private car to take us back to the airport which only cost around $60 with tip and tolls. This was a lot cheaper than a metered taxi would have been especially as we were leaving in rush hour.I would highly recommend this hotel for being safe, well located and quiet. It also comes attached to a very good italian restuarant that outdid an italian we went to in little italy!	
Aug 30 2007	Be careful!	First of all...when I made my reservation they charged my credit card on a refundable room. Then when I checked out, they charged it again. Then when they credited back for the first charge, they gave the credit to my sister's card instead of mine. When I called to straighten the situtation out, I was told &quot;that if I can't get the money from your sister, I am not going to eat it&quot;. They took no blame for their mistake and have a very poor business practice. The GM was very rude and needs to take customer service classes. It was there mistake, and they could care less. I will never stay there again for that reason, and not to mention that it is very dirty!!!!	
Aug 29 2007 	Good but noisy	I stayed here for 6 nights at the promotional rate of 295 + tax per night booked via their website for a junior suite.The junior suite comes with a queen bed, which is a bit on the small side for 2 adults. Rooms are clean and are cleaned daily. Bed linen is changed every 2 days. Bathroom linen changed daily when on floor (like most hotels these days). Large rooms with kitchen, dining area, sofa and TV area, bed and bathroom so this is quite large for NYC standards. Noise isolation can be better (needs updating). The air-conditioning is an older style &quot;fan-in-the -wall-set-up&quot; so a lot of city and traffic noise comes in through the fan. The fan itself is also very noisy.We rented bicycles. The parking/garage manager did not allow us to store the bikes in the garages (even though they valet park cars and motorcycles in there) so we had to bribe the assistant.So all in all a good stay in regards to the price but the rooms are in need of refurbishing. Let people park their bikes please!I have stayed at the Affinia Dumont before and chose the Eastgate Tower this time (also Affinia group) because it was somewhat cheaper but next time I'll pay extra for the Dumont which is a much cleaner, quieter and overall better hotel.	
Aug 27 2007 	Great staff old furnishings and decor	I have stayed with the other Affinia hotels and have always had a great experience. I was expecting the same level of rooms as the other hotels. Let me first say that the Eastgate Tower's staff was courteous, professional and extremely accomodating. The hotel itself is in a great neighborhood and very convenient to many sites. BUT The hotel is extremely outdated and its decor looks like it is from the 1980's. The beds were uncomfortable and the pull out sofa's mattress was almost nonexistent. We had to pile two sofa mattresses on top of each other for it to be decent. The rooms had a funky smell and the bathrooms were all white but looked yellow. I would rate our overall stay as just okay. I will not be returning until they update this hotel.	
Aug 25 2007	Above average good value	Spent 2 nights at the Eastgate Tower, in mid-town Manhattan. It is well located, close enough to Grand Central Station to catch the trains, a healthy but do-able walk to Broadway Theatres, and there's a decent bagel place (Daniel's) a couple of blocks away.The room (2 beds) was large, with a kitchenette, which is very convenient for storing and heating up food (there's an oven/range+ microwave, sink and fridge, with dishes and utensils provided). Maid service included dish-washing.TV was an older CRT model.	
Aug 21 2007 	Surprisingly large room	The room was much larger than expected for New York with plenty of storage. The kitchenette was great! It had everything - fridge, microwave, toaster, stove, oven, dishes, etc. Bathroom had a large medicine chest for storage, and plenty of towel racks, which were much appreciated. Good water pressure in shower. The AC fan was loud, but it worked. TV was fine. Furniture, walls, etc. not new/modern, but in good condition and clean. There was a slight smoky smell one day in the bathroom -- I think it was coming through a vent from another room -- but it was very slight.The staff was friendly and helpful and the lobby is nice. They couldn't give us a later check-out time, but they did store our luggage in the meantime, and were very quick about getting it back for us and calling a cab. Maid service forgot to replenish the coffee and toiletries, but the front desk quickly solved it both times.The location is good -- not far from Grand Central Terminal, and a lot of good restaurants within a 10 block radius. Our window looked out over 39th street and was big (not like some tiny windows that open onto alleys that I've had before).The only thing we really didn't like was the attached restaurant, Il Sogno. We went there for after-dinner drinks and dessert one night and got possibly the worst, rudest service we've ever had. Plus, the outdoor seating isn't very nice, and it's overpriced. But no problem, there are plenty of other restaurants nearby.	
Aug 8 2007 	Best Stay Yet in NYC.........	Our room was not ready when we arrived. It was a short walk to Grand Central Station. They called us within the hour to tell us our room was ready. When we returned we were upgraded to a Jr Suite.This was my 10th trip to New York City and the best stay yet.I would definitely stay at the Eastgate Tower Hotel again!!	
Aug 5 2007 	Brilliant	Lovely staff, room huge and spotless, but couldn't turn the heating off so had to keep turning on the air con to cool it down and leave a window open at night but that did the trick. Was pleased overall and would stay again.	
Jul 30 2007 	Great Staff perfect for families	We spent 3 nights at the Eastgate, and were very pleased. The room was actually a mini suite - in that it had a large queen size bed, lots of closet space, small stove, sink, oven, plates, silverware, mini fridge, and microwave. It looks like the hotel was originally an appartment building, and they converted it to a hotel, thus the stove, etc. For our family it was perfect. The room was quite large, and tastefully decorated. This isn't the Hyatt, but it's also not the Hyatt prices. Most impressive were the staff who were very friendly. We took their suggestion of having dinner at Hudson resturant one block away. It was a super meal, reasonably priced. There is also another local eatery on the corner of 3rd and 39th i think, we went there for breakfast every morning, and had much more reasonable prices that anywhere else we had been. You are in a quiet part of town, close to United Nations. A short walk and you can be in Times Sq. To us, it seemed more of a residential area than a tourist area. If you look at the NY map with all the attractions, there aren't many by the hotel, but that was fine with us. The excellent price for the room, and the super staff was what we wanted. We will definately be back again.	
Jul 18 2007 	Had a great stay at Eastgate	My wife and I go to NY for the 4th of July every year, and are quite familiar with midtown hotels. The Eastgate tower staff were very accomidating and efficient. The room was large and clean. the furnature is older and the full kitchen is small but more than we needed. The location is great. Very close to grand central and bars and restraunts on third ave. We will come here next year.	
