	Excellent Midtown Location - Great Value	Neighborhood is nothing much, but it's a great location to get to everything, and near Penn Station and Bolt/Megabus stops. Very new and clean. We were there on a Saturday night so noise wasn't a factor, but based on the printed notices in the room, the &quot;white noise&quot; generator in the room, etc. it could be a problem, especially garbage trucks, on a weekday morning - I'd ask for a high floor if you were staying on any night but Saturday. Staff is extremely pleasant and helpful. Rooms of a very decent size for NYC. Restaurant with bar on the premises (for dinner and possibly lunch - no breakfast). Continental breakfast of average quality included in room rate.	
Jun 15 2009 	Staying again next year despite two complaints	I stayed for six nights with my husband while he attended a trade show at Javits; his boss flew in and had his own room the last four nights. I chose the hotel for its proximity to Javits and their willingness to store and re-ship some trade show materials. Everything was perfect, excpet two items: the elevator lines can indeed be long, and the HVAC system has some issues--we were either freezing or burning up much of the time. In spite of those two things, the great staff and spotlessly clean rooms won us over and we are booking the same dates for next year's show.	
Jun 12 2009 	Warm Friendly Private Clean and all our wonderful!!!	My husband and I stayed at the Wyndham Garden Hotel for 3 nights for our honeymoon and it was fantastic. We got a really good deal through Travelzoo which included complimentary breakfast. Our first day there, check in was a breeze. We received an upgrade for FREE and when we arrived in our room it was nice and clean. We were on the 22nd floor and it was nice and quiet. The bed was absolutely COMFY and the pillows were just perfect. We had one robe hanging from the door, would have liked two but didn't ask for another. Room service started pretty early in the morning so we ended up leaving the do not disturb sign hanging over night. Breakfast was pretty good. They had a buffet which had scrambled eggs, sausage, bacon, tomatoes, home-fries, pancakes and waffles. They also had the continental breakfast which included bagels, muffins, cereal, fruit and yogurt. Because we had the continental breakfast tickets we were able to pay $11 for the buffet. It was worth it and the staff was really friendly. You have the option to either eat in the hall or outside. There's a gym in the basement which my husband and I went to twice while staying there. We loved it. They had two treadmills, two machines for your thighs, two benches and some weights. They also have clean towels and fresh water. Overall, this hotel was worth the money. If you're looking to save money and stay at a nice hotel, definitely give the WGH a shot. The area isn't the prettiest but you're in the heart of the city. There's a lot to do and you have access to lots of trains.	
Jun 11 2009 	EXCELLENT HOTEL	I would highly recommend this hotel. I stayed for 6 nights. Yes the rooms are small, get over it, its New York. Unless you are willing to pay a premuim for a room, that pretty much is the way it is in New York. I had no complaints. I had a room with a king size bed. If a comfortable bed is what you seek..then look no further. The beds are awesome, and believe me after a day in New York you want a good bed. The room stayed nice and cool. The water was always hot. The staff was great and most helpful. There is a restaurant that has pretty good food. My advice is skip having breakfast there and walk a few blocks and get more for your money. The Hotel has everything you need. A small gym, free internet.. if you don't bring your computer they have them to use. I got a great deal on Travelzoo..also heard Hotwire is a great site. Oh some people have said that the hotel is in a interesting location. Well yes it is but no worries. Only a few blocks and you are in the heart of things. I walked everywhere... walked to Time Square, took the subway everywhere. The elevators have been commented on here saying that they can be a problem at certain times of the day. In the 6 days I was there it was only a problem once. I was on the fifth floor so I took the stairs.. don't let that be an issue.. Good Luck and have fun in New York..	
Jun 11 2009 	Great hotel when traveling by train!	We loved this hotel! The staff went out of their way to be pleasant and welcoming, even when they were being slammed with a huge line. The free internet access was a great feature, as was the newspaper outside our door in the morning and the lovely outside patio garden. The fact that the hotel is only a couple blocks from Penn Station makes this high on our list of places to stay when we take the train into NYC. We're looking forward to returning!	
Jun 10 2009 	Excellent Hotel. Highly Recommend	I have to disagree with the others who say this is in a bad location. It is situated in the Garment district and within walking distance of all the major sites. The hotel is very clean and looks like it was recently renovated. Room is small but very comfy and the bathroom is excellent! The staff is very nice and will do anything to accomodate your requests (within reason, of course). If I ever go back, I will definitely stay here again.	
Jun 10 2009 	Great clean place to stay with friendly staff	This hotel was better than the Hyatt I stayed at for three times the cost. The rooms are clean and the staff is very friendly. Yes the area isn't the best but the walk to Penn Station is only a few blocks on well traveled roads. I would stay here again in a heart beat. If you are looking for a nice clean hotel for a great price and friendly service I would highly recommend them.	
Jun 10 2009 	Best NYC Hotel Experience in 10 Years	My wife and I travel to NYC 2 or three times a year. Finding a good deal is always a challenge, but thanks to Travelzoo we found the Wyndham Garden. We got the room, breakfast and welcome cocktails for under $150 a night. The customer service is the best. Everyone went out of their way to accommodate us and treated us fantastically. For those who are saying the neighborhood isn't the best, don't worry. Be grateful it's not on Broadway where walking is no longer an option. There are 2 wonderful bars/restaurants less than 30 yards from the front door, not to mention the restaurant in the hotel. I can't recommend this Hotel enough. You will love it!	
Jun 8 2009 	Newly renovated hotel at great price for NYC	My husband and I stayed at the Wyndham on May 28th-May 31st [2009] for a four night stay to celebrate our 15th wedding anniversary. I called the hotel's 800 number and received a great rate--$149 a night, including a continental breakfast for two (or $7.99 up-charge for the full breakfast buffet) and complimentary cocktail drinks for two (at the first floor bar or at the10th floor terrace). The rooms were lovely--very comfortable (new) bed with lovely linens (yes, a girl thing); wonderful bathroom, in-room coffee and tea pot, bottled water, flat screen TV, and free wi-fi (so bring your laptop). Also, computers with Internet access are available for guests' use on the first floor behind the elevator, outside the restaurant. On the *con* side, the rooms are small, which is par for the course in NYC, and there are only two elevators. So if you're riding an elevator during peak check-in or -out times of day, I would recommend punching both the up and down button and getting on an elevator when there is room. It's easier to ride up and then back down, when space is available--than wait for an extended period for an elevator going down that has space. We enjoyed the hotel's breakfast. The continental breakfast included blueberry and bran muffins, fruit (apples and bananas), cereal, yogurt, and toast (white and wheat bread and bagels), along with coffee and fresh juice (orange and apple cider). For the $7.99 up-charge, you can *indulge* in a big breakfast, which included scrambled eggs (my husband said was really good), potatoes with red and green peppers and onions, pancakes or waffles, bacon and sausage, and grilled tomatoes. If you plan on a long day of touring NYC, I highly recommend splurging on their big breakfast--it's money well spent. I was surprised by some reviewers being critical of the hotel's location (36th street between 8th and 9th). We found this location to be convenient-- six blocks for the Port Authority (for access to affordable bus shuttles to the major airports). From this hotel, it's also an easy walk to the Theater District and Theater restaurants, as well as large selection of neighborhood restaurants along 9th Ave. (walking *up* 9th toward the theater district). This location worked perfectly for us, since we used the subway to traverse the length of Manhattan for our shopping excursion and buses for shorter trips.I heartily recommend this hotel. Frankly, the Wyndham is one of the nicest properties on Manhattan that we've stayed in--certainly for the price. A truly great deal.	
Jun 5 2009 	Good hotel - not so good location	We stayed here for 6 nights after getting a good rate on the internet. When we booked, the description said the hotel was in Chelsea - its not really. It is not really in any particular neighborhood. I totally agree with a previous reviewer who said that it was not a great place to walk around at night. This is true but the hotel facilities (free newspapers delivered and free internet in the lobby etc) and room makes up for this. We found the staff to be friendly and helpful with a quick check in. The rooms were really well equipped if a little on the small size. Good bathrooms, a proper hairdryer (not the pathetic wall mounted ones !) and nice toiletries. I think the hotel is good but the location just isn't that great.	
Jun 2 2009 	Great Place Tough Location	Have stayed in New York for many many years. Tried this hotel because of the rate. The place was great, service wonderful and rooms typical New York City. Location not good at all,if you love to walk as my wife and I do, day time fine, night time tough. We enjoy local area places, and we like 9th street, north of 42nd, well 9th street from 38th to 42nd is not the best, behind the port authority. Again the place is great if you want to cab it at night.	
Jun 1 2009 	Cheap rates not worth the aggravation	The clerk that checked me in was on the phone the entire time, so I didn't receive an explanation as to how, where and when I could use the breakfast and drink vouchers I was given. The hotel's website says that room service is available until 11pm (I checked specifically because I was arriving later at night) and when I attempted to order at around 10pm I was told that the restaurant had just closed. No offer to see if anyone in the kitchen could whip something up for me, I was left to fend for myself in a very sparsely-populated neighborhood as far as after-hours restaurants go. The rooms are small but in good shape with plenty of workspace and a flat-screen TV, my only complaint about the room is that the bathroom sink is literally smaller than the sink in my wetbar at home, all the more annoying because there's plenty of vanity space for a larger sink. Restaurant service was friendly and efficient and the food pretty decent. They forgot one item on a room service order but quickly brought it up. Free WiFi throughout the hotel is a nice amenity that most other places charge for. The neighborhood doesn't have much to offer in the way of dining, shopping, etc. but I stay in the area often and have never been uncomfortable walking around after dark. Within 10-15 minutes one can walk to Korea town, Times Square and Chelsea. This hotel is manageable for business travel but is probably best suited for singles or couples already somewhat familiar with the area and looking for a clean and safe place to stay at a cheap rate.	
May 30 2009 	One week stay - Perfect spot for son's graduaion!	Excellent hotel. Perfect location, between Penn Central, Port Bus Terminal, &amp; Times Sq. - near 8th, 2 blocks from subway. Fantastic Thai Resturant (Royal Thai) across the street (better than what SF has!!) Walk everywhere; you are in the heart of the action without the crowds. Very small rooms, but squeaky clean and new - everything worked perfectly. Small elevators, a problem at 'rush hour'. Great, new king size bed, big plasma TV, superior air conditioning, well-appointed bathroom. Great soundproofing kept outside and inside noises out of our room. Very generous &amp; friendly staff. Will almost surly go back again when I visit NYC	
May 29 2009 	Excellent Hotel at Hidden Location	--Wonderful front desk staff!!!!--Good location in Midtown--Quiet area	
May 28 2009 	Great Value - Slow Elevators	I picked this location for a few reasons. It just opened in the last year, had good reviews, free wireless internet access, low rates, and was a short walk to Penn Station (LIRR trains). While there may not be much within a block of the hotel, there is plenty to see and do within a 5-10 minute walk including Times Square.Everything was going well until the last few minutes of my stay. I was leaving the hotel Friday morning to grab some food and catch a LIRR train as I had the previous 4 days. However, on Friday it took over 10 minutes for the elevator to show up on the 23rd floor and then another 10 minutes for it to stop at every floor on the way down to the lobby. I ended up missing my train and had to catch another train 30 minutes later. I never thought I would be complaining about an elevator in a review, but I guess I am. Just want to give everyone a heads up in case they have an important meeting.	
May 28 2009 	Perfect location for NYC	I stayed here with my boyfriend for one night in April and the service was superb. We arrived early and checked our bags and it was quick and efficient. Upon check-in, the concierge did not have our tickets for our complimentary breakfast and cocktails; however, they did everything to make sure we got it. That night we had a free wine tasting and chatted with the bartender who was also very nice. The room and bathroom are a bit tight (typical NYC), but the bed was super comfortable. The location is awesome! Very close to Times Square and several subways. Definitely recommend it!	
May 27 2009 	Good all-around hotel (for the right price) in midtown Manhattan	The Wyndham Garden TImes Square South (the hotel's 'official' name) was conveniently located a few blocks from Penn Station and close to a subway line. The neighborhood is a little down-and-out, but it's fine and very safe, even at night, though it does look a bit seedy in the light of night. The lobby was small and very utilitarian. Our room on the 6th floor did not have a street view (overlooked buildings behind us, and a small rooftop seating area below us) but it was relatively quiet for a city room. The windows actually opened--a rarity in hotel rooms these days. How nice! The room was small and the king-sized bed filled it--very little room to walk or move about. The bedding was high-quality and comfortable. The mounted flat screen TV was lovely. Wifi worked well. The bathroom was a decent size and well appointed, with a large walk-in shower and great water pressure. (heed the warnings in other reviews and use towels in front of the shower door). The A/C kept the room comfortably cool. All in all, a VERY good deal for $125/night for a holiday weekend on Priceline. The only thing that marred my visit was that the hotel actually charged $195 to the credit card we'd used as security upon check-in (the room was prepaid via my Priceline bid). We didn't notice it until after we'd left NYC. I called the hotel and they said that the $195 was charged WITH MY PERMISSION at check in, to ensure that no smoking would take place in the room (this was not true--I was never informed that a hold would be placed on my credit card). The desk said they'd refund the money but that it would take a few days to process! This was unacceptable. I felt duped and am still angry that they had the audacity to charge my credit card (not just place a hold on it). PLEASE do yourself a favor and confirm upon check-in that your credit card will not be charged.	
May 27 2009 	Trendy without the attitude	What a great hotel!Clean rooms with great flatscreen tv &amp; Super Comfy Beds! COOL roof-top bar with lots of potential to become a hot-spot. Hotel decor was new &amp; modern with great photographs of the city hung all around.Aside from the garden restaraunt (which we will definitely try next time)they serve Starbucks in the lobby with a delicious danish selection.Staff was friendly &amp; helpful. Valet parking too!Will definitely stay there again!	
May 26 2009 	A good deal for a cozy stay	We scored a great deal for this hotel on Priceline, especially given the memorial day weekend rates. Check in was a little hectic as we arrived early (like many others). The lobby area by the desk is very small, but they had free lemonade which was a nice gesture. We had to check our bags and come back and it was then that we noticed what other reviewers had mentioned....the elevators! Oh my word. I felt very sympathetic to the cleaners and bellhops that had to use them. The hotel has two elevators, but one seemed to be in constant use by the employee's so you can imagine the wait during busier coming and going times. We stayed on the 14th floor and chose to walk down a few times after waiting for the elevator. Not sure how or if they might remedy the situation.Our first reaction to the room was that it was very small, but after sitting down on the bed for a few minutes we felt kind of cozy. The layout has been planned very well, and the large windows definitely helped. We stayed a few floors above the terrace and we feared there would be noise, but we could not hear a single thing from the street at all! Not even a single siren or car horn.The complimentary high speed internet was reliable and extremely quick given that it was free. The bathroom was spacious, and had a fan though it got quite warm so we kept it open using the garbage can. Definitely fold a towel and place it by the shower door when in use (and turn the shower head towards the wall). Otherwise you will step into a nice big puddle when you exit the shower.A normal sized laptop will fit in the in-room safe, which was nice.The area is definitely not ritzy, and while some travelers looking for a nice polished neighborhood might be put off, we had no problems whatsoever (even at 2am). If you need a quick bite from a fast food chain, there are a number available 24/7. Penn station is a quick walk away, as is a Duane Reade. We had a very tasty meal at Thai Select around the corner on 9th street. All in all, I would stay here again. I could however understand how those paying higher rates might be put off with the smaller downsides (like the shower leaking and the elevator waits).	
May 24 2009 	Two days visiting New York	Great Hotel for 135.00 a night. Very modern lobby and decor. Helpful staff and friendly.Room is very small but very clean and efficient. The bed very comfortable and we had a great view. I have one complaint, the rooms have &quot;smart room &quot; features. There are two sensors in the room one in the bath controlling the bathroom light and fan and the other above the door controlling the main rooms a/c. We went to sleep cool and comfortable and awaken hot and sweaty. I noticed the a/c would cycle on and off, independently of the temp, after we went to bed and quit triggering the motion sensor. The sensor in the bathroom would leave in dark as soon as started to shower. We showered wth the shower door open and lined the floor with towels. Great Green ideas need a little tweaking. Overall would gladly stay again, if I could figure out how to trick that a/c sensor	
May 21 2009 	Great Location Amenities and Service	This hotel is in a great location a few blocks from Penn Station and Port Authority. A few more blocks to Javitz Center and Time Square. The lobby has a full bar, sitting area, and computers with a printer, as well as a restaurant (greenhouse style) and back patio with sitting and dining areas. There's also a decent workroom in the basement with dumb-bells, exercise and cardio machines. The staff is very friendly and helpful. The 10th floor terrace bar has amazing views, though it's not always open --- seems like they're working out the details on this new space. The compact rooms are well laid out with large bathroom, very comfortable bed, soundproof operable windows, large flatscreen TV, and free wi-fi. Though small, there is a closet, small dresser, desk and bedside tables with reading lamps. And the building is almost brand new. And the restaurant serves organic food, and a healthy continental or buffet breakfast.	
May 21 2009 	Nice Newer Hotel in an industrial side street near convention center	chose this hotel due to it's age and its proximity to the convention center. Its about a 10 minute walk which is convenient. We were there for 3 nights for business and it served its purpose. We stayed at the Millenium for two nights before the convention and the rooms were much bigger but wanted the convenience of walking to the convention center. The plussess:-closest to convention center-new and modern-good lcd tv-very close to train station-good shower and bed-free internet/wi fi in room and free internet and printers in lobby (Hate hotels that charge)- nice deli coffee shop in lobby only charged $.54 for hot tea WOW- good Thai restaurants right on 9th just make a right turn very modern- can walk it to the theatre district and times square probably faster than subway - good internet rate of $149 from trazel zoo inc breakfast Cons- Room is tiny for myself and my wife with two pieces of luggage it was cramped- only two tiny elevators and is crowded in mornings- location - 36th street is fine during the day but would not want my wife to walk it late at night by herself- we had a room on 16th floor facing across another building that hosted parties so it was quite noisy one night	
May 20 2009 	Disappointing hotel with TERRIBLE service!	Where should I start? We booked this hotel for 7 days after reading all the positive reviews on here, and were expecting to stay at a clean, modest hotel with friendly staff. We got the cleanliness, but the staff at the hotel ruined the entire experience for us. Maybe its the whole New York attitude thing, but we found the staff to be downright rude, unhelpful, and uncomfortable to deal with.We were made to move rooms in the middle of the night on the 3rd night of our stay due to a malfunctioning door -- no help from the hotel staff at all though even after multiple requests, and no apology either, except for a generic apology card from the housekeeper of all people. It took us 2 hours to gather all our belongings, grab a luggage trolley from the concierge ourselves, and make multiple trips up and down the elevators (which are slow!) to make the change...all this madness starting at midnight!Our stay was capped off with a concierge who refused to flag down a taxi for us (&quot;its not my job&quot;, hotel front desk who also refused (&quot;its the doorman's job&quot;), and a hotel doorman who I saw leaving his post and disappear as he saw us approaching... All in all, this hotel has a laughable excuse for a staff and service levels, and would strongly suggest any future travelers to avoid this one. There are plenty of other hotels to choose from...	
May 19 2009 	Was surprised and not what I expected	After reading the reviews on the hotel I decided to try it out. I am a frequent traveler to NYC for business and am familiar with small hotel rooms and such. So the reviews weren't a big deal because all hotel reviews in NYC say the rooms are too small. I read a few of the remarks about the location but figured they hadn't ever been to a big city and it couldn't be that bad, could it? But to my surprise the hotel was located on such a lonely street and it was a very uneasy walk back to the hotel after my train. There was hardly anybody out and there wasn't a single shop or deli on the block. As a female traveler, I was not happy at all with the location and will not go back, especially alone. In addition to the alley-feeling location, the staff seemed rather rude and were not helpful. I felt as if I were bothering them and it was uncomfortable. I come to NYC often and will not be going back to this hotel.	
May 19 2009 	TOP NOTCH.......	Stayed in hotel for 3 nights......very clean, staff over the top to help. Food was great and the location was excellent. Fourth trip to NYC and definately the best value. Nice and quiet, bed was so comfortable and compared to some of the other hotels was very comfortable for two. We booked baseball tickets throught the consiere and was really pleased we did. So convenient and helpful. Would definately recommend .... very happy.	
May 15 2009 	Modern hotel in central location - Good value @$150 per night	Booked through Travelzoo, this was a good value offer, being central for sightseeing and near to W34th Street Penn station subway. Having travelled from England we were slightly unsure of what to expect, but were very happy with what we found. Room was clean but hardly spacious! Two small elevators served 25 floors and as a result could be very slow to arrive. The cooked breakfast not good value as was &quot;stewed&quot; from sitting under covers too long. We ate out for evening meals. Staff were friendly and helpful. Would recommend this for a weekend stay (such as our own) for out of towners. Wonderful weather also helps!	
May 11 2009 	Competent Compact Close to Penn Station	A bit sterile, and the rooms are small. But the Wyndham Garden is a pleasant, competently-run place, and its location near Penn Station makes it an ideal place for weekend travellers coming in by Amtrak--or for those flying in through Newark Airport. There are some good restaurants in the neighborhood (try the Korean places on 32nd street) and it's got decent access to the subway. You could do a lot worse...	
May 11 2009 	Awesome trip~ Great Hotel	We stayed at the Wyndham April 15-17th 2009 for a long weekend of site seeing in NYC. The hotel was great, I had read mixed reviews on this site. The street the hotel is on has a lot of old buildings but the hotel is practically brand new, so not to worry! It is in a great location, easy to get to everything around the city. Their is a starbucks in the lobby, and bath and bodyworks ammenities in the rooms. The rooms are small but very nice, clean and comfortable after a big day of walking in the city. We loved it, and would stay there again anytime we are planning a trip to the NYC. We found the hotel when booking our trip on Orbitz.	
May 10 2009 	Good deal	I recently stayed 2 nights at Wyndham Garden Hotel during a world tour trip.I got a deal at 120 USD + tax from Hotwire, which was pretty good compared to usual NYC prices.The environmentThough the 36th street is not the most exciting street of Manhattan, it is very convenient, a few blocks from Times Square, Macy's, and other West Midtown locations.The lobby / staffThe lobby is reduced to the mininum (but after all, you don't sleep in the lobby!). There is a &quot;starbuck style&quot; coffee in the lobby.The staff, though a bit understaffed while checking-in, was very friendly and efficient.The roomThe room was located on the 21st floor, with impressive bow-windows offering a nice typical view of Manhattan buildings.Although the room itself was tiny (even for NYC standard), it was very cosy, providing a very confortable bed and many pillows.Traveling alone for 2 nights, the size of the room was OK for me, but you will maybe feel uncomfortable if you plan to stay 1 full week of shopping with your partner...It featured all you can expect: a large LCD screen, coffee maker, safe, iron and free Internet access (by the way, no mini-bar).The bathroom was rather large (compared to the room), and featured a very pleasant walk-in shower.I don't know if this hotel is new or if it has been recently refurbished, but was generally very modern.I did not use the other facilities (fitness / restaurant / business center, etc.)As a conclusion, I felt this stay was quite remarkable, and I would probably come back if I can catch a good rate (if I had to pay full fare, I would maybe choose a place more &quot;funky&quot;).	
May 7 2009 	Perfectly lovely hotel in the middle of the City	Stayed here May 2 - 5 for business and pleasure. Got the room through Priceline for just $110 a night. Although the street is not exactly pretty, it is an easy walk to Times Square, theater, restaurants, transportation hubs, etc. The hotel itself is very nice and still new-looking. The rooms are very small, but this is New York City! Although small, the room was pristine, with a very comfy bed, a big flat screen TV and a very sharp looking bathroom. My room faced out onto 36th Street and I could see across to the river and beyond from the 21st floor. The few times I needed anything the staff were extremely helpful and very pleasant.I highly recommend this hotel for individuals and couples for business or a weekend retreat.	
May 6 2009 	Good hotel average neighborhood	Rooms very nice and clean, good sized bed with good tv. Room kind of small but fine for a weekend trip. Theatre District and not much else in the area, but close to metro and Penn Station. Btw Thai restaurant on 37th street was excellent!	
May 4 2009 	Moderately good hotel in depressing location	After staying a couple of nights at the hotel in April I have to disagree with some of the previous raving reviews and give a mix one.Rooms are quite new, clean and well equipped but are so small that you have to climb over the bed (or move it to pass) to get to the other side. Hallways are quite claustrophobic too and with no ventilation so we felt suffocated at times while waiting for the elevators.While some of the staff were quite attentive, others were rather unfriendly, specially the younger morning receptionist, who did not make us feel welcomed at all.As mentioned by other reviewers the hotel is reasonably close to Times Square and other attractions but unfortunately the area is full of cheap wholesale stores and unattractive buildings and quite depressing to return to after visiting other areas of the city. I would only recommend this hotel if you get a great internet deal (as I did) and need to be very close either to Penn Station or the Convention Center.	
May 1 2009 	The Wonderful Wyndham hotel	We stayed at the Wyndham Garden Hotel for 5 days. We were looking for a clean modern hotel at a good price and this met our criteria. Our room was a good size with a walk in shower and “Bath and Body Works” products. Facilities include 32” flat screen TV, coffee machine, air conditioning, humidifier, hairdryer, iron, safe and ice machine in the hall on every second floor.The room had a street view which was fine given we were out most of the time and noise levels outside were more than bearable at night.For those who have a continental breakfast included in the price, this only includes two items from a selection of fruit, cereal, bread (which can be toasted), bagels or muffins. The hot breakfast is not included but you can upgrade to the whole selection (eat as much as you want plus doggie bags if need be) for $7.99 – well worth it if you can afford it.Staff were helpful and friendly. Concierge - a useful source of information and happy to help with most queries.The hotel is a short walk to Penn Station (absolutely fine if walking with suitcases) and slightly further for Times Square.Negatives – just a few.... Restaurant staff were very busy early morning. There are only two lifts/elevators which are, again, very busy in the morning, best to take the stairs to save waiting. Things free up around 10.30 – 11.00am. Finally, the hotel will hold the full cost of your stay against the credit card from the point that this is handed over at check in, as opposed to just a deposit; worth bearing in mind if you are planning on using your card for shopping, activities etc. The final amount will be confirmed and actually taken off your account at check out.	
Apr 29 2009 	nice hotel small room	we have been there for 3 nights . the hotel is new . The room was clean and very nice but very small for 2 people.even for NYC hotels ( we stayed in other hotel during this trip)The elevator was very bussy for specialey during morning.The location is good close to penn staion medison squar garden but not so nice to walk there at night.	
Apr 28 2009 	Nice clean hotel in midtown Manhattan	I stayed at this hotel for 2 nights, won via Priceline for a great rate. The hotel is fairly new and very clean which is the most important thing to me. They offered free wireless internet in room which I appreciate. I was able to check in at noon instead of waiting until the 3:00 pm check in which was great. My room was fairly small but this is common for New York City. It is a short walk to the subway and Penn Station.The only negatives to this hotel were:1. slow elevators at times- up to 15 min. wait, 2. the street it is on is not attractive.I would stay here again if I got a good rate.	
Apr 26 2009 	Nice hotel and good location	This hotel is great, it is within walking distance of most main atractions. Very close to the penn metro station and nice rooms. We choose the room with the bigger bed and no view which was fine. Our friends went for the small bed with the view and to tell you the truth is was that good of a view although you are higher up. There is free wifi thoughout the whole of the hotel and computers downstairs you can use free of charge. I have two complaints about this hotel. In our room the shower leaked baddly and water went all over the bathroom floor. It is a brand new shower, the plastic at the bottom is too short and doesn´t stop the water from spilling out. Another pet peve was we had breakfast included in our room price, but when we got downstairs we were told we were not allowed the hot breakfast we were allowed two peices of the continetial breakfast and a hot or cold drink. I felt very ripped off as I ate my one peice of toast and banana and cup of tea. We were told we could upgrade for 7.95 but that is not the point. When you are told you get breakfast it should include all the breakfast, otherwise you might as well go somewhere else... which I think they are counting on you doing. One last thing to mention, no a biggie but it can get anoying. They have only two lifts and no service lift so if you are in a hurry use the stairs. It can be a long and frustating wait in the morning. But it is a nice hotel, good rooms,good internet and a great location. Even with the pet pevses, I would stay here again.	
Apr 20 2009 	Spotless well designed and brand new	I admit I have a bit of problem when it comes to hotels. I want polished and pristine. It doesn't have to be fancy but it has to spotless and not worn. That is why I gravitate towards brand new hotels. This hotel was exactly that - spotless and more. My room was beautifully designed with clear modern lines, but warm and cozy. The room was small but it it didn't matter as it felt light and spacious due to the floor to ceiling windows. The bathroom, however was spacious. I received a great promotional rate, but it was for a double bed which since I was on my own was fine. For two people it would be cozy but ths is New York afterall space is at a premium. I would rather have a small well designed pristine room that a dark, large badly decorated one. The staff was very helpful and gracious an there is a beautiful flower garden in the back. I gave it a low score for location but only if you're not looking to be in the convention center area. It's in the &quot;Hell's Kitchen&quot; area of NYC which is not a very charming place to walk around especially at night. One would have to travel to get to what I consider the great neighborhoods of New York - Soho, W. Village, Gramercy, Upper West and East Side. It is however a good location for Macy's and for fabric shopping.	
Apr 19 2009 	Great Hotel for the Money. Great Location.	This was a bargain! It's a nice hotel in a great area. It's clean, staff is friendly, and rooms are comfortable. The rooms are small, but no smaller than is to be expected in Manhattan.	
Apr 15 2009 	Great place to stay clean and affordable for NYC!	I just returned from a long weekend of fun with friends in NYC. First time to stay at this hotel and was very pleased. It's a small hotel but efficient and offers everything you need. I was surprised at the small room for a brief moment, but instantly relaxed when I saw how clean, well-decorated, and comfortable the room was. The bed is comfy, good lighting, and I like the ability to control the room temperature. The hotel has a bar for coffee or cocktails, as well as a restaurant. Room service was excellent. A small market is two doors down for tylenol, newspapers etc. Many restaurants and shopping within walking distance. Busy traffic area but I noticed no noise in my room at night.	
Apr 14 2009 	Clean quaint mid-town hotel	I stayed at the Wyndham Garden because I needed to be close to the Convention Center. The hotel's excellent location was within a few easy blocks walk of the CC, Madison Square Garden, Macy's, the Empire State Building and other NYC attractions. Upon arrival, the elevator was being serviced, so I was offered a complimentary drink in the cute bar area while I waited. Check in was smooth and the folks at the front desk were friendly and accomodating.The room itself was a typical smallish NY room, but the bath was generous and well appointed. The hotel seemed to be recently renovated - not sure about this - but everything was clean, modern and luxurious. The bedding was very comfortable, the TV a flat panel, adequate space for luggage. The restaurant featured an indoor garden setting and the menu offered tapas-style meals, salads, entrees and sandwiches. There was also breakfast available.The rate was very reasonable, especially if booked through a &quot;third party.&quot; In short, this hotel is a great option for business or leisure travelers looking for a nice midtown location and fresh, clean decor.	
Apr 13 2009 	Pleasant Surprise	I recently stayed at this hotel overnight as I met some people in the city, knew I would be out late and didn't want to drive home with liquor in me. I booked thru Priceline and therefore only paid $100 including tax. While the location is not great as there are not restaurants worth eating at or anything to see or do it is a great hotel is you only need a bed to sleep in. The hotel has just opened and it is spotlessly clean. The front desk staff was very friendly and welcoming. The room, while very small, was well appointed. Very chic furnishings, comfortable bed and a clean, modern bath. I'd stay there again.	
Apr 12 2009	Loved the new Wyndham Garden and its restaurant- Greenhouse 36!	My stay at the new Wyndham was fabulous! I loved the rooms and the overall feel of the hotel. It is a brand new space with an ideal location, central to everything, especially if you're visiting NY.Besides the modern decor, great NY vibe and inviting staff, I also LOVED Greenhouse 36, the hotel's newly opened restaurant. It is so nice to actually have good food located in your hotel!, not to mention the great talent they have singing there a couple nights a week. It is a nice touch to the hotel...you can even hear the music if you're in the lobby, at the bar or using the hotel's convenient lobby computers. Live music is always an added bonus for me. The hotel is definitely worth checking out ...even just for the restaurant and music itself if you're in the area!	
Apr 8 2009 	Great Choice!	My boyfriend and I stayed at this hotel for two nights at the end of March. I had other hotels booked, but we got a great deal on Travelzoo so we choose this place. We were more than pleased with our king sized bedroom and the spacious bathroom. The breakfast buffet was very good with plenty of choices. It was also nice to see all the spring flowers in bloom in the greenhouse area of the restaurant. The staff was very friendly and helpful, and we especially enjoyed talking to Massy. We are looking forward to our next trip to NYC so we can stay at this lovely new hotel again.	
Apr 4 2009 	Perfect place to stay if you're going to MSG	I booked two rooms for four nights at the hotel through Priceline at an awesome price. We were attending three Rangers games and wanted to stay close to MSG without breaking the bank. The hotel was squeaky-clean, with great brand new amenities and free wi-fi. The rooms are small, but that's fairly common in NYC. The restaurant was good (and had vegan/vegetarian options) but a little slow. They had soy milk for my coffee though - so yeay!Service was outstanding. The bell captain ran down the road to get us a cab on a freezing evening, check-in/check out was pleasant (no Priceline snarks), and everyone on the staff we encountered had a smile/friendly greeting.The only downside was that on our first night there was a rave of some sort a few floors down in the building across the alley (and we were on the 23 floor i think). It was loud, but only happened the one night. Overall the road it is on was pretty quiet. One other small nit pick - the TV didn't get the MSG channel, darn it.	
