	Rooms are small but overall it was a great hotel - I'd stay here again!	I would highly recommend this hotel - not only is it in a fantastic spot in Manhattan (walking distance to 5th Ave and the subway etc) but it's neat, tidy and a decent price.Our room had 2 single beds inside, I must admit it was much smaller than I expected, but it didn't bother us one bit - we're in New York, if you're going to spend extended amounts of time in your room, then you're crazy! So the tiny room suited us because all we did in there was sleep. It was clean and comfortable and was within our budget ($1000 for 5 nights - booked on expedia).I highly recommend this hotel and would definitely stay here again.	
Aug 21 2008 	Great little Hotel!	After booking the Thirty Thirty we read some of the trip advisor reviews, along with many positive ones some of them were negative but we decided to take a chance. How happy we were that we did. This is a great place in a fab location. We booked two rooms at the Thirty Thirty, one superior and one premium. Both rooms were good size and we weren't squashed at all. Clean, stylishly decorated and the bathroom was huge and gorgeous. The staff were friendly and couldn't have been more helpful in lots of ways. in giving directions or advice on places to eat or holding onto luggage etc. They were brill. It was a great start to our holiday and we would definitely stay at the Thirty Thirty again.	
Aug 20 2008 	Funky boutique hotel an overstatement	Stayed two nights for a business trip. Good proximity to downtown businesses and not far from Chelsea for good restaurants. Nearby the hotel are lots of places to grab coffee, bagels, and fruit and close to Broadway toward toward Union Square. There is a restaurant adjacent to the hotel that I didn't try. My room was a twin on the top floor which felt like an attic with narrow passageway and very small &quot;L&quot; shape room. A window had a large crack in it but it was taped up. Front desk staff was a bit surly. Rate for a Sunday night was a great deal at $178 but the rate jumped up to $268 the second night before adding numerous taxes which translates into a $300 room. The other rooms might have been more ample. Would I recommend it? Probably yes for under $200/night if you want to stay on the East Side but not over $250/night.	
Aug 18 2008 	The Best Hotel in New York!	In my opinion this is the hotel to stay at if you go to New York. Reasonable hotel rates, two blocks from the subway so easily accessible, excellent restaurants in the location especially the Crooked Knife opposite the hotel (don't go next door - think it was Zana - poor food &amp; staff). Excellent florist &amp; tourist shop on the other side. Front desk staff were very accommodating &amp; very friendly - they go out of their way to assist you with your travel plans &amp; any queries you may have. The porters are very helpful with your baggage &amp; may be able to answer your queries that you would have asked front desk....one I must commend is Mohammed who I had alot of contact with &amp; I must thank him sincerely for finding my purse &amp; handing it to Security. I appreciate his honesty.The bedrooms may be on the small size but it really doesnt matter when you spend so little time in it...as long as the bed is comfortable &amp; believe me it is! The bathroom is adequate but again who cares as long as the shower is functioning properly &amp; yep - its super! For me what makes a hotel worth going back to is a comfortable bed &amp; a proper shower - thats what you need &amp; this is what you get in this hotel! (&amp; usually a decent breakfast but like most NYC hotels, this one doesn't provide however there are plenty of cafes nearby &amp; a superb breakfast/food buffet at the end of the road - Suzies) I will definitely be coming back to this hotel in the future after experiencing sub-standard hotels uptown that were not good value for money.	
Aug 2 2008 	ThirtyThirty thumbs down!	As a stewardess and IBM employee for many years I've stayed at hotels literally all over the world for years. When I booked 6 nights at Hotel ThirtyThirty in New york through British Airways in June 2006, I thought I got a good design hotel for my $ 200 per night. What I got was a nightmare! First I got a room that was bearely big enough for the very small bed there, and a small chair with a teddybear. (Cute?) There was not enough room for my suitcase anywhere, and The door to the tiny bathroom couldn't be opened completely without knocking into the wall. The obvious smell of homecooking from the room next door, the location in the end of a narrow and dark corridor combined with the view of a dump of a backyard made me ask for another room.Without even trying not to show her annoyance at my outrageous request, I was given a room where the closet was about twice the size of the room. The foldable (!) door to the small, old bathroom was impossible to close or open, so I had to go sideways in and out of it. The small bed had a bedspread full of stains.I should have asked for yet another room, but the receptionist was incredibly hostile, and I was exhausted.So - whatever you do, don't ever stay at this hotel. The location is great, but a think even New york hostels must be providing a more pleasurable stay than I had at Hotel ThirtyThirty in New York.You have been &quot;warned&quot; by Anne E. Beck, Oslo, Norway.	
Jul 28 2008 	Great value: clean quiet pleasant room	This was my second stay at this hotel in the last five years, and it remains one of the few attractive bargains in mid-Manhattan. In addition to the wonderful location, the hotel remains clean and well-kept (though the huge empty lobby could use a few more amenities). This time I stayed in one of the slightly larger and costlier rooms (since I remembered the smaller rooms as a bit claustrophobic). This larger room was good-sized for Manhattan and would be OK for a couple: serviceable desk, chair, small sofa and arm chair, in addition to queen-sized bed, though unfortunately the vanity-sink was in the room rather than in the bathroom. There were outlets and jacks, but probably no wifi- had no laptop so can't comment on this. There was a coffeemaker (important since there's no room service, just a downstairs bar). Since the hotel has thick walls, and the room was at a corridor's end and faced the airshaft (which means no real sunlight), nights were blissfully silent.	
Jul 23 2008 	Try the white sock test for 2 day'syou'll see the results!!	we arrived from France monday evening 16th june,round 10,00pm normal check in, until i asked for a room &quot;smoker&quot; (which had been reservered in march)with a photocopy of the reservation she didn't even look at it, you wanna a smoker! she said, yes, ROOM 819, ok,(the first impression of the Lobby was correct same as the pics on the net)room door open,OMG. The reviews were right,!!! i was hopng they were gonna be wrong, but no, the room was very small,an enormous tele in the corner which you hit your head on everytime you wanted to see out of the window!!opposite was a very tall building(we did'nt know if it was sunny or cloudy!) the &quot;Bell boy&quot; showed us how the AC worked, that was the last we saw of him, after 10 hours or more in the airport's &amp; planes, a relaxing cigarette was needed,no go, no ashtray's! ni coffee maker as on the web site!! while unpacking i noticed a hole in my duvet cover,went to recepection to ask for an ashtray, it was like asking for gold!! in the mean time we borrowed from the resto,the coffee maker came the next day, after breakfast!! there is no double glazing in the room , but beneath you is a Generater that starts up 6.00am it goes one for 15mins slows down for 2mins, after the hussel and bussel of the city ,you wanna come back to abit of peace and quite, helas non,..we were booked in for a week, after the 4th day, we treid to change our room, it was so much hassel,we're stay where we are!!...the first 2 day's no sign of a chambre maid, so non of the linen was changed, as for our &quot;White socks&quot; after 2 days they were Black, and i mean Black,...the week came to an end,(thank god!) asked at the reception for Super Shuttle to take us to the airport,(JFK) the receptionist looked at her watch and said it was too late,(5 mins) but she did sugest a car! ok, 60$ (the shuttle17$) we had to pay 10$ to her or the hotel, and suposidly 50$ to the driver, the driver was on time,everything was going well, untill i heard him say something(,but didn't understand)then a toll booth apeared, then he said again 5$, what for, the toll,.... there we are, our stay at the &quot;Famous&quot; 30-30 hotel, 245€ a night(the price of a palace in Paris,)then the con-job with the car, we will never go back to the 30-30 hotel!!! and whats more there ads say they are &quot;Multilinqual&quot; that's a load of rubbish too,	
Jul 17 2008 	AKA Hotel Filthy Filthy	As frequent travellers to New York we knew what to expect in a city hotel. This is the first time we have encountered these problems, the hotel was dirty and we even saw the resident cockroach a few times in our room. However, it's a good location and for a good price, but please be aware that it may not be at the standard that you are looking for. Staff were fine though, our only complaints were about the cleanliness.	
Jul 15 2008 	Horror hotel	I stayed in the thirty thirty hotel with a party of five. The images on the internet display this hotel as light, bright, clean and stylish. However, when my partner and I reached the thirty thirty we were shocked. The staff were extremely rude and almost argumentative as they told us that our rooms were not ready, and that it was in no way their fault. Although non smoking rooms were requested, we were told it was their busy period and so we had to except rooms on the smoking level. On entering our room we were greeted by a dark, stuffy, unclean room, with stained sheets and a dried in sick patch on the carpet!!When we slept at night we were woken up by the cleaners telly at 4.00am. As their living/break room was beside our accomadation, at certain times of the day and night our room became overtaken by smoke. Our friends had to be moved rooms as their WINDOW FELL OUT ONTO THE STREET one night!I could go on forever!!Although, the location is ideal and you are extremely central, I would not reccomend this hotel to anybody.	
Jun 30 2008	Great base for sightseeing	This was a great hotel as a base for sightseeing. Staff were friendly, helpful and polite. Room was clean and comfortable and great walk in shower. There are a number of good authentic New York delis and restaurants close by including &quot;Tastys&quot; and the Crooked Knife (opposite the hotel). I would definitely recommend this hotel if you are looking for a no frills base for your sightseeing.	
Jun 26 2008	A double size bed in the rest of the States is considered a Queen size in NYC!	We booked two hotel rooms; a Queen Deluxe for my wife and myself and a double for our children. The &quot;Queen&quot; size bed was NOT a queen but a double. I complained and was assured I was mistaken and it was a queen. I said it was the same size bed as my kid's room, was told that I was incorrect, that I was definitely in a Queen Deluxe. When I layed down later that night, I knew it was a double as my feet hung over the end of the bed so I called the front desk a second time to complain, was given the same spiel by a different front desk person and told to leave a message for the manager to call me in the morning ( he never did for the remainder of the 5 nights). In the morning, I went to the front desk, complaining of the smaller bed, the manager was still not in and was now told, &quot; A double bed in the rest of the States is considered a &quot;Queen&quot; size bed in New York City.&quot; Honest, that was what was said and there were two front desk people there. I explained the headboard in the room was of queen size and the mattress much smaller, argued a bit, demanded either a &quot;Queen&quot; size bed which was what we were paying for or a room with twin beds. No Queen could be found or a twin...we were actually sent to check a couple of rooms and they were still doubles. Finally, I asked if a king size bed was in the hotel and if any were available. Reluctantly, they offered us one. On the positive side, we were not charged for the upgrade but what a hassle to get a larger bed. Also, be aware this hotel was at one time a women's residence and rooms on various floors still are(something to do with Rent Control Laws when the building was converted into a hotel the front desk told me). Some of the doors to these tiny rooms are ancient, quite beat up compared to the &quot;hotel&quot; room doors &amp; in our case, the resident next door to our room, which we paid $350 per night, left her door open so when we passed it was an unbelievable cluttered, messy, space filled to the ceiling with her possessions(literally). My daughter and son-in-law, who have been to New York a few times, thought their room was great and would probably stay again. However, and this being our first trip to the Big Apple, we would definitely not.	
Jun 21 2008 	Great Budget Hotel	Like most viewers on this site, my boyfriend and I were quite hesitate about this hotel after booking it from the most recent reviews provided on this site. However, to our relief and surprise this is a great hotel for those who just want a clean comfy place to sleep. It is by no means a full scale luxury hotel like the Ritz Carlton or any of the big luxury hotels in Manhattan as it did not have the amenities or 5-star service. What it did have was an ideal location, very clean rooms, friendly knowledgeable staff, reasonable rooms/washroom.We stayed in Room 1038, with a king size bed and a washroom which was made entirely in slate. Very nice touch on the slate! The room itself was a fair size for a New York hotel, it had two TV's, one in the common area where the door was located with a desk, then another in the bedroom itself. The chairs and sofa in the room was a bit iffy but who really sits or sleeps on those for a long time?! The bed itself was very comfortable and the bedding was very clean. The maid replaced the towels everyday and was very tidy. They provide soap/shampoo/lotion however we just choose to use the ones we brought. The washroom also has a hairdryer so don't bother bringing one. What the room did not have was an in-room safe - which wasn't the biggest deal for us at least. The view for the room was probably the only negative thing about the room but it never bothered us cause we were never in the room for long except to sleep. Oh, and about the cockroaches from other reviewers - in our room this was what I was afraid of most and we did not find a single one. It might depend on the room you might staying in...but ours did not have any or any bugs for that matter.I truly would recommend this hotel for those who are looking to stay somewhere that is reasonably priced in Manhattan. It is close to a subway line (the 6 line), and is minutes from the Empire State Building along with other many attractions. The only thing that it lacked was you might need to commute a bit to find nice restaurants but thats a given.	
Jun 20 2008 	small rooms but good location	This was our first trip to New York City and we loved it !.We booked with dial a flight and were lucky to have a rep who knew the city well (Thank youTrisha) The hotel is about two blocks from the empire state building between madison and park avenue. Easy access to public transport. The hotel had a bar and restaurant attached which was quite expensive but directly across the road from the entrance was the crooked knife bar good value and good food if you didnt want to walk. The hotel was clean and staff friendly. We had a room on the 7th floor, the room was very small compared to other US hotel rooms we have stayed at. our room was clean so was the bathroom. This hotel suited our needs and our budget. We will definatly go back to New York and if we are travelling on a budget we would use the 30/30 again.	
Jun 17 2008	Not Disappointed	Bedding was good, room was large, shower was great. Interior room; view or other buildings. Room was a cave, but enjoyed my stay. Wireless internet was extra, but wire connection free. Cable and TV basic.General confusion at times with the front desk, but they gave me a free night, not sure if they know they did it. It may have been on purpose; since they locked me out of my room a couple of times, returned a ups delivery. But they did not say at check out, and I did not ask.But would stay here again.	
Jun 17 2008 	Horrible Noise Night and Day	There are a number of decent or good hotels within a block or two of Hotel Thirty Thirty. Why did we make such a mistake and stay at this one!?! They have a restaurant on the street level which has loud patrons in their outdoor cafe at night. There is also a restaurant directly across the street and at its outdoor cafe the patrons are even loucer! To make matters worse, this morning, at 6:30 a.m. Hotel Thirty Thirty had a crew power washing the sidewalk in front of the hotel for two hours!!! The noise made it impossible to sleep. Needless to say, we will be staying at another of the area hotels the next time we return to New York City.	
Jun 14 2008 	Reasonable hotel	We booked thirty-thirty on their website and got a superior room at a slightly cheaper rate ($800 for 3 nights), which isn't too bad considering the location in midtown Manhattan, near 2 subway lines. The room was large for New York with en-suite shower/bathroom and walk in wardrobe.Staff were friendly enough, room was cleaned daily to a high standard. Some negative points:- No view from room, as the window looked over the back of other buildings. - Air conditioning is very noisy so we switched it off at night. - No signal on TV and some lights didn't work.	
Jun 4 2008 	Thirty Thirty - Perfect	Our four night stay at this hotel was really excellent. Booked through BA Holidays, it was a very affordable rate &lt;£90 per room per night. Great location for a few days touring Manhatten. Room was fine, not massive but clean and the bed was very comfortable. If you wnat an affordable, well located place in NYC, go for the Thirty Thirty.	
Jun 1 2008 	forget it	Broom cupboard size rooms with no furniture, cockroaches and staff just going through the motions says it all about this grubby so called 3 star hotel.Oh yes take ear plugs as the noise (inside and out) will disturb your sleep.Better still pay a few bucks more and stay some place better.	
May 29 2008 	Thirty at Thirty Thirty	Thirty thirty was an appropriate choice of hotel as it was for my boyfriend's 30th birthday. Stylish hotel, friendly staff and a convenient location - Empire State Building was not too far from us. We found a great breakfast cafe around the corner from us which served up a typical tasty New York breakfast. A couple of policemen came in for their morning round of doughnuts whilst we were there...I thought this was an urban myth! The room size wasn't massive but then the hotel was just a good base for sightseeing generally. Clean, tidy and good value for money.	
May 26 2008	Excellent !	After viewing some bad reports on this hotel, my wife and I were sceptical about staying there. All of the adverse criticisms were all without foundation. The staff were all extremely welcoming, polite, and helpful. The room was a little small, but they all are in New York. However, it was very comfortable and clean, with fresh linen every day. Even though we had chosen a smoking room we didn't feel that we had been consigned to the Leper colony. The reception area was very palatial with three lifts, internet access point, good public lavatories and more than helpful bellboys. We also found the restaurant next to the hotel brilliant for breakfast, lunch and dinner. Good quality at very reasonable prices. The location couldn't have better for The Empire State Building, Macys and short cab rides to Times Square, Central Park, Greenwich Village etc. It was my wifes sixtieth birthday treat and all went well, mainly because of this hotel.Period of stay - 04.05.08 - 10.05.08	
May 23 2008 	Nice Decor	Reception staff ordinary. Was impressed with the room, quite spacious. Comfy bed/pillows, in-room safe, good sized wardrobe, desk, chair, new linen, paint, carpets. View was to the air con vents and lower level external roof surfaces - not to worry. A/C worked really well. Coackroaches a problem in the heat!!!! Small but clean bathroom with mini soaps, shampoos provided. Small souvenier shop near reception and small restaurant serving meals and snacks opposite mini shop. No problems with restaurant - nice quick service for b/fast. Will hold your suitcases but for a tip. Internet access in reception/lobby. Nice bright and breezy lobby area. Good value for money for Manhatten. Approx 3min walk to nearest subway, little dodgy around Mad Square Gardens trying to get to NY Penn Rail Station so be careful.	
May 22 2008 	A Great Hotel	After reading a few bad reports about the hotel I was worried about the sort of place we were staying at. I was very pleasantly suprised how good it was. We stayed in an Economy twin Room, No 1204, it was a bit like a compact travel lodge. It was very clean and had very good shower. We also had a great view of The Empire State Building. The rooms were cleaned every day ( don't forget to leave a tip for the cleaner). The staff were friendly and very helpful which helped as it was our first visit to New York. The breakfast in the restuarant in the hotel was very good but a bit pricey, so in the end we ate like native New Yorkers The deli on the corner of the block to the right of the hotel was very good and cheap, you,ve got to try their bacon and egg bagels. Get a 7 day subway pass as it's cheaper than paying for every trip which is $2 per person. If you go to the Statue of Liberty get there before 8.30am as the ticket que starts early and it guarantees a pass to get into the statue. We had a great time and will definately be going back and staying at Thirty Thirty again.	
May 9 2008 	Great Value	My boyfriend and I spent 3 nights here at the end of April, and I was pleasantly surprised. The room (444) was fairly small, but it suited our needs perfectly, after all no one comes to NYC to spend much time in the hotel room! The bed was comfortable and shower hot and powerful, it was clean and through the night really quite quiet, with little noise form outside (until sunrise) and no noise from neighbouring rooms. I would defintely recommend this hotel to others and would not hesitate to return on a future trip to the city.	
May 5 2008 	Not a bad choice for the price	With a short trip to New York planned location of your hotel is everything. I found the Thirty Thirty on a travel website. Price was about average for NY with not wanting to share a bathroom with strangers. Location was close to the subway and torwards the southern part of Manhattan. The room was small and clean. The bed and pillows were comfortable. The staff was more then willing to help with directions to NYC locations. They even let store our bags after we checked out becuase we had a late flight. Overall for the price and location it is a great hotel.	
May 2 2008 	Location	I stayed here with my boyfriend in Dec 06 for a city break and a bit of xmas shopping. We stayed for 3 nights which was plenty to get everything done that we wanted.The staff in the hotel were as misserable as anything, but we didnt ever have many dealings with them so it didnt really affect us. The rooms were very basic and in desperate need of a refurb, but we hardly spent any time in there so this was not a problem.The loaction could not be faulted, we walked almost everywhere, it was great. there is a bagel shop just on the corner of the street, so ideal for a quick stop off in the morning to eat on your way. The closest attraction is the empire state building which is about a 5 minute walk. From there you can also buy the city sightseeing bus tickets. We paid $48 for a 48 hour pass, and it stops just outside the Empire, fantastic. You literally hop on and off at your preferred stops to take in the sights and continue with the journey, it saves a lot of time walking, especially if your on a tight schedule.Would stay here agian purely for the location.	
Apr 27 2008 	Cheap and cheerful!	Stayed at the Thirty Thirty for 3 nights.We booked a Kingsize bed room through the hotel direct as they had an Early Spring special.The room was a reasonable size as was the bathroom. We had a small 'longe area' with sofa, TV and table as you came into the room, then the bed area with a small wardrobe and another TV!However, not all rooms are the same layout - check them first and some bathrooms are much smaller than others even though you're paying the same price.Also, not all rooms have built in safes although there is a safe facility at the front desk.Friends also stayed at the hotel, 2 children and 2 double beds, with 'lounge area'. The first room didn't have a sofa in so difficult to watch TV - not saying that's what you want to do in NYC but sometimes a bit of down time is required especially if you have kids.Anyway the hotel staff were quick to help out and moved them to another room, which they were happy with.This isn't meant to be a negative review I'm just saying if you're not happy with the room say something and I'm sure you'll be assisted anyway they can.The standard rooms are rather small so I would pay a bit extra for a bigger bed and room.There are no views from the room except onto the main street below or into a type a of quandrangle at the back. But no-one was looking into your room either!There are various 'older' ladies staying in the place but I don't think they're homeless. But they add character to the hotel and are in no way offensive.The location is great as others have said, plus quiet (always a bonus). NYC seems so much safer nowadays. Enjoy walking if able and soak up the amazing atmosphere.If/when I return to NYC I would be happy to stay at the Thirty Thirty. Unless I won the lottery!Give it a go!	
Apr 22 2008 	Great place to stay	My friend and I have just returned from our stay in NYC. The Thirty Thirty hotel was great! We actually got upgraded as it was my friends birthday and the room was spacious and clean. There was a maid service every day. We did managed to get a quick glance at one of the standard rooms and although it was quite small it looked clean and tidy too. The hotel staff were very friendly and would go out of their way to help you. There was a porter ready to take your bags and the receptionists were helpful and friendly. We also left our baggage at the hotel once we had checked out and everything was fine.The restaurant 'Zara' next to the hotel was very nice and friendly staff there too; however we prefered to try and see a bit more of New York by trying to go to as many different places to eat as possible. Nothing wrong with this bar/restaurant at all though.I've read coments that there were homless people hanging around inside this hotel... we didn't see one homless person wondering around and felt completely safe at all times (especially as we were 2 women on our own in NYC). Also if you're looking for a cheap place to stay that's comfortable and safe then this is the place to go... I have read many bad reviews on this hotel but am now thinking that maybe these people expected too much of this hotel. At the end of the day it is not a luxury hotel so don't expect it to be... but if you want a cheap hotel that's in a great location (close to empire state, Macy's, short walk to Times Square)... then this is the hotel to stay at! Overall very good!	
Apr 19 2008 	A perfect 'Travelodge'	My husband and I stayed at the `Thirty Thirty Hotel' for 7 nights. After reading the reviews online, I was concerned that we had made a mistake with this booking. At the time of booking this hotel was half the price of other hotels in the Lower Manhatten area. We were really pleased to discover that this was the perfect hotel for our stay. The hotel is very similar to a 'Travelodge Hotel' in the UK. If you are looking for the Ritz then look elsewhere but if you are looking for a clean, comfortable and friendly place, this is it. The room was a double and had a large bathroom with clean towels each day. The location is perfect for walking to the finance district and the bottom of central park or for catching the subway (round the corner). The Empire State Building is round the corner. I would thoroughly recommend this hotel for its price and location. It is a clean, unpretentious place. We were made to feel very welcome by all the staff. When returning to JFK do not take the 'black hotel cars'. A yellow taxi ride is much more fun and cheap!	
Apr 17 2008 	Great Hotel Great LOcation	Myself and my partner have just returned from a 5 night stay in the Hotel Thirty Thirty, and throughly enjoyed our stay. After checking in we headed straight to our room on the 6th floor. The room was compact, but clean and comfortable with all the facilities we were after, phone, safe, iron and ironing board, hairdryer etc etc. The bathroom again was small, and the sink was located in the bedroom, but this was not a problem at all. The shower was large, and there was always plenty of hot water. The location of the hotel is excellent, just minutes from the Empire State Builing, and Macys! The nearest subway is on 33rd st, just a few minutes away. This is on the 6 Line, and goes up and downtown, and you can use it to link with the other lines. We did a lot of walking when we were there as everything is so close. Taxi cabs are also very reasonable, so if you're heading out in the evening you should grab one, cause if like us your feet will need a rest at that stage! We loved our stay in this hotel, would definitely go back, and would definitely recommend it to our frineds.	
Apr 6 2008 	Nice Accomodations	After reviewing many hotels my boyfriend and I decided to give Thirty Thirty a try for our overnight stay in NY. The price was more fitting for our budget and the location was pretty good for our purposes. The cab ride to the theater was under $10 and there are plenty of places within walking distance to eat and shop. As was mentioned in previous reviews there is a very nice restaurant/lounge inside of the hotel. The staff at both the restaurant and the hotel was very helpful, professional, and friendly. The room was very small, but that wasn't a problem since our trip was only overnight. We had a standard queen room that had a closet with two small drawers and a televison and two nightstands. The room was clean with exception for the carpet that was heavily stained in some areas, but still looked to be freshly vacuumed. The bathroom was very nice and clean. The hotel was quiet and we had a very comfortable evening. If our budget is tight we would definitely stay at the Thirty Thirty again.	
Mar 30 2008	tony	Nice place nice staff and location, Eat across the street, Irish pub two minutes walk, Tube two blocks away £3-50 for day ticket, Go anywhere, good underground system, Local bus travel very ropy.If you have a late flight you can leave your cases there all day for a few bucks,there locked away.Don't get conned by the porter, into him booking you a private cab to the airport you'll pay a lot extra, Get a yellow cab, Shuttle Bus or Tube you'll feel better, we'd certainly go back.	
Mar 21 2008 	We had a great stay at the thirty thirty	We have just returned from a five day stay at this hotel. We had read the previous reviews so we where very sceptical on arrival........ What a lovely pleasant surprise our room was, yes it was small but beautifully formed!! Fresh linen every day, bed was sooo comfy. Great shower. staff where really helpful &amp; friendly. We also had a small problem with the toilet but it was sorted within minutes of us speaking to reception. We did see a few of the long stay residents but i thought they where quirky &amp; certainly not a problem.We found a really good deli on the corner of 31st &amp; Madison called the times square bagel. Excellent value &amp; lovely chocolate &amp; cheese muffins. The fruit bowls where really good too.All in all, as stated in previous reviews great location. When we come back to new york we will definitely stay at the thirty thirty.Dallas BBQ by the dakota buildings has great food, huge portions, good value &amp; very nice margheritas!!!So dont be put off give the hotel thirty thirty a try ;-)	
Mar 14 2008 	We heart Thirty Thirty	My boyfriend and I stayed at the hotel thirty thirty from 5th -12th March '08. After reading some of the negative reviews on this site I wasn't expecting a great stay as many people seemed to have encountered lots of problems with the hotel. However I am pleased to say we both LOVED the thirty thirty...the staff were always friendly and helpful, even arranging transport to the airport for the outbound journey and storing luggage for the day as our flight was at night. We were given room 205 on the second floor which was clean and comfortable for the two of us, the slate bathroom was gorgeous and boasted a powerful shower and hairdryer. The bed was made and fresh towels left out daily. The hotel is in a perfect central location...we walked almost everywhere...the Empire State Building, Macy's and Times Sqaure were all close by. Check out the offers at reception...we managed to get $6 off each on tickets to Madame Tussauds New York and free drinks at the Crooked Knife, the pub directly opposite the hotel. Would recommend the Californian Pizza Kitchen as a local eaterie, just a short walk down the street. The only downside would be the view from our room overlooked a square of very tall buildings, and being on a low level floor, we didnt get much light, but it was only a minor flaw in what was overall a fantastic stay at the thirty thirty. We would definatley stay here again if we came back to New York.	
Mar 12 2008 	great welcome at thirty thirty	Just returned from four day break in New York with my daughter and friends stayed at the Thirty Thirty Hotel. The hotel is idealy located for sight seeing. A few blocks from Empire State Building and within easy walking distance of Times Square and shops especially Macey,sThe hotel itself was clean, beds very comfortable. rooms more than adequate for our needs. The staff were helpfull and friendly at all times nothing was to much trouble for them. they even loaned us umbrellas when it was raining we had a fabulous time thank you A realy good welcome was given to everyone they even arranged our transport back to the airport. and let us keep our room on at a very reasonable charge as we had a late flight backI would recommend this hotel to anyone.People who wrote bad reviews about this hotel must be hard to please.I,m glad we gave it a try	
Mar 6 2008 	great location good hotel	If you're looking for central accommodation in midtown, a few blocks from the Empire State building, you shouldn't expect the Hilton for under $200 a night. Thirty Thirty hotel is well situated, 2 blocks from the subway, in a nice area with immediate access to many of the big sights in NYC. Macy's is just a few blocks around the corner, the Rockerfeller Centre, Central Park, Times Square all just a few stops on the subway. We stayed for 2 nights in Feb 2008, the hotel room was clean with nice ensuite. The room wasn't huge but who cares when you are there to visit the city and only want a room to sleep / relax for half an hour in. Everything worked fine, except a small incident with the toilet which was fixed quickly by the helpful staff. We did loads of exploring from this place which was an excellent base for getting around the city. In summary, this is a good deal, nice location. If you want luxury then you should look elsewhere and spend more per night. For cleanliness comfort and location this hotel was good.	
Mar 3 2008 	Thirty thirty - better than expected	After reading some of the reviews on this site before I left, I was travelling with some trepidation, not sure what I should expect. However I found Thirty Thirty to be a well situated hotel, with friendly and helpful reception staff. The room was smallish (but what do you expect for that rate in the heart of NY?) but clean and had plenty of storage, TV, phone, hairdryer. Bathroom was an average size but OK for just the 2 of us. We only used the adjoining restaurant once for breakfast, as there were so many other places to try, but it was fine and typically priced. Overall if you are looking for a reasonably priced hotel with easy access to all the major sights I would recommend it.	
Feb 20 2008 	dont listen to the bad reviews!	Me, my partner and another couple stayed at this hotel for 4nights over the valentines day period. Having been to NYC before i knew the hotels there werent amazing unless you paid alot for them so i didnt go with too high hopes! After reading the reviews i was a bit concerned but how wrong they were!Our room was on the top floor and was an average size, with a spacious bathroom, hairdryer and tv, but the selling point about this hotel was the view!! Looking out of our window we stared straight at the empire state building-priceless!The room was clean and bedding and linen were changed everyday. The staff were friendly and helpful and we enjoyed drinks at the bar. The hotel was no Plaza but hey it was an excellent location and i would definatley stay there again!!!	
Feb 19 2008 	A very good hotel!	Like previous reviewers, after reading some of the reviews about this hotel I started to panic even though it was recommended by my travel agent friend. I was travelling with a friend of mine (for 6 nights) and I didn't want to worry her about the reviews so I kept my mouth shut. However when we got there, there was absolutely nothing to worry about. Check-in was quick and easy, the only problem was we had booked a twin room but the only room they had left was a double, they said to get back to them the next day but we didn't bother because it was no big deal - although it must be said they were very helpful in trying to rectify what could have been an embarrasing and uncomfortable situation. The room itself was a bit small but had more than enough room for a double bed and ample space to put our two massive suitcases. The bathroom on the otherhand was really quite big! It consisted of a toilet, sink with a big mirror that had five light bulbs along the top (the sort you'd see in an actor's dressing room) and a bath/shower. The water pressure in the shower was comparable to that of a firemans hose - very powerful, it was great. In the bedroom there were two small bedside cabinets with a lamp on each and a tv on a bracket on the wall, which had lots of different channels. The bed was very comfortable and the sheets were clean and cosy. These were changed every day along with the towels and face cloths. Don't get me wrong the room we stayed in wasn't plush but it was clean and comfortable. If you're looking for a good base, somewhere decent to rest your head while you stay in the fabulous NYC then this is for you. And another great thing about this place is that it's so quiet - you wouldn't even know you were in the city, and its handy to just about everywhere! Another thing was that at the end of the holiday the door man organised us a taxi back to JFK airport and saved us a complete fortune (i had read other reviews saying that he had ripped them off but this absolutely wasn't the case). I can only go by my experience of this hotel but it was great and I would def recommend it.	
