	Good choice for group of 3-5 people	I wish there was a 3.5 option in overall ratings for this hotel. 4 seems too high, but 3 too low.This hotel is very much as OP's have described. I found it to be a very good value. Pros:Very large rooms which are also VERY clean, lots of closet space, light-blocking window shades, good beds with good quality linens, very friendly multi-lingual staff, good location (altho I personally prefer the west side as it is easier to get around), excellent access to computers and printers- I think there may have been 8 stations- WIFI fast and dependable. Cons:We really could have used another bath or half-bath (3 women and 1 man), Breakfast was not much- yogurt, cottage cheese, coffee, juice, some rather dried out pastries..probably one of the worst &quot;continental breakfasts&quot; anywhere.Noise- the street noise did not bother me too much, but both daughters and husband commented on it. Oldest daughter said to me, &quot;mom, this is the noisiest place we've stayed in NY&quot;. Not sure why this is a problem as the street in front is not really a busy street, but there did seem to be a great deal of honking at all hours. If you think this might annoy you, ask for a room that does not face the street.We tried 'Mint&quot;, the eating establishment connected to the hotel- not impressed.My husband, our two 20-something daugthers, and myself were visiting NYC and I was looking for a way to avoid 2 hotel rooms at $275 - $325/night for each room for the weekend after Thanksgiving.The San Carlos had a suite with 2 queens in the bedroom and a pullout sleeper in the LR, along with a small &quot;kitchenette&quot; (microwave, sink, refrigerator and utensils) for $300/night. The reviews here on TA were favorable, so I booked it for 3 nights.Thanks to other members for their helpful reviews of this hotel. Very accurate reviews!Saved us hundreds of dollars over 2 separate rooms without sacrificing too much in the way of comfort and space.	
Jun 14 2007 	Great place to stay!!	I visited new york for the first time in march, therefore i had no idea what kind of hotel i was getting into so i read users reviews and looked at many photos and found that the san carlos had very few low reviews so for the price i was sure i picked a great hotel, once i told many people i was going to new york and staying there no one had ever hear of this hotel therefore i got a little worried. Once i got to new york and got off the bus at grand central station, i ended up walking about 7 blocks to find myself walking into a very poor area, again i got a little worried that i paid a good amount of money for a low hotel, but once i turned the block and saw this hotel i was very pleased just by seeing the outside, this hotel is just about the nicest hotel in the area! The man at the front desk was very nice and helpful, the room was VERY clean and quite, it had everything it said it would, fridge, microwave, bathrobes, mini bar and lots of room for a new york hotel! the breakfast was great also! This hotel is located perfect to everything also, there is a subway stop on the same corner and its just up the street from rockerfeller center. Every time i return to New York i will be staying here again! I was very pleased!!!	
Jun 14 2007 	Great Time at the San Carlos	First thing to say is that this hotel has a great location, being within strolling distance of empire state building, chrysler building, central park and times square, to mention but a few of the major city attractions.Check in and out was a smooth process as was anything else we requested from the staff.The room was lovely, with a large and comfortable bed, adequate bathroom, safe (no charge) and being equipped for either business or social use.Room servicing was always good, with the mints that were left each day being a nice touch.Whilst a view of a NY icon would have been nice, we knew beforehand that we'd not have one, and our suspicions that this didn't really matter as we'd spend so little time in our room proved to be true.Business lounge meant we could stay in touch with emails etc if we wanted to, and was handy for checking flight information before leaving.	
Jun 13 2007 	Great Find!	My husband and I stayed here for 3 nights in early June. Having never been to New York City before and hearing how small hotel rooms were and how noisy, we were a little anxious. The San Carlos surpassed our expectations. We had 2 double beds in a good sized room with mini fridge, microwave and other amenities. The products in the bathroom were Aveda - lovely. Breakfast was very average but included in the price. We can't say enough about the staff - they were friendly, informative and always very helpful. Free internet is a bonus. The Mint restaurant attached to the hotel was a great find with delicious food. We would higly recommend this great hotel and will definitely return.	
Jun 10 2007	Good hotel would stay again	Stayed at the San Carlos for four nights in mid-May for $269+tax via QuikBook.com.The hotel did not disappoint. It did all that was expected, albeit I wanted a clean, safe hotel in a good location. It's difficult to say more. Service was friendly and efficient, but our needs were probably modest.Room also came with microwave, fridge, coffee machine, and cuttlery so could eat in the room.Best feature of the hotel was the three free PCs for web access. It also had a wireless zone, but I didn't try this.Breakfast - buffet with juice/tea/coffee and rolls/donuts/etc. Included in the price so makes it a better deal.Location - one block from the subway, and plany of restaurants within walking distance - either on 50th Street, or between 2nd and 3rd Avenues and one to two blocks away.	
Jun 10 2007 	Great hotel terrible beds	Stayed at the San Carlos from June 2 through June 6. The staff was incredible, helpful and very friendly. We were prepared for street noise, so it didn't bother us too much.The hotel beds and pillows are just awful, but I consider that more a matter of personal taste. WE loved the hotel.	
Jun 6 2007	Great Hotel and Service	My husband and I travel frequently and are picky about where we stay, generally 4-5 star. With some caution we booked at the San Carlos because we needed room for us, and our two nieces in a central location for a few days. From the time we arrived late, to the rainy day when the door man supplied us with umbrellas (and did not know we were guests because we were runnning down the street to a resturant in the rain), to our 4:00 AM depature, the staff was top notch, some of the best we have ever experienced. The service was outstanding, the rooms clean and spacious, and our overall experience very good. For the money, the location and stay cannot be beat in NYC. We even liked it better than the Waldorf where we stayed last time! The only down side is the hotel should upgrade the mattresses since they are a &quot;little bouncy&quot; in this day and age of &quot;dream sleep&quot; mattresses. The staff were the best, a few hotels could learn from them about service.	
May 24 2007	Great location terrible bed	My husband and I stayed at the San Carlos for four nights this past week. We were able to get a decent rate thru Quikbook. The hotel is in a great location.....convenient to the subway, Grand Central, Central Park, etc. Front Desk staff was ok....they were fine during check out....but not when we were checking in.....we checked in very late, so maybe we just got the late shift cranky guy. Free breakfast in the morning was simple but satisfying (mainly bagels, toast, pastries, and yogurt) We requested a room in the back of the hotel.....which was great because we didn't hear any noise on the street. We could hear our neighbors conversations though when we were in the bathroom (can walls be that thin?) but not in the main bedroom area. The room was our only main issue.....aside from a very stained carpet and comforter.....our bed was TERRIBLE. Very bouncy and uncomfotable....the bed had no fitted sheet.....just a sheet that was tucked under that didn't even fit the bed. We woke up with some mysterious bites on our arms and legs (bed bugs!).....gross. I was hoping that this hotel had joined the &quot;heavenly bed&quot; concept.....but not yet.	
May 21 2007 	Roomy Convenience	Stayed here for an overnight shopping trip to NYC. Booked a suite and wow, what a lot of room for the price ($369) in NYC! Full sized living room, dining area with kitchen and fridge, full bedroom with two (I thought comfortable) double beds and nice sized bath with very nice Aveda products. Two flat screened TVs. Our room overlooked 50th Street and there was some noise from the bar across the street, but we had the windows open and it wasn't enough to keep us awake. Great location walking distance to fabulous Madison Avenue shopping. Very friendly, helpful staff. Had dinner at Mint next door, which was bustling on a Saturday night and offered chic, excellent Indian fare, and quite reasonable for NYC. Highly recommended.	
May 17 2007 	Brilliant!!!	What a place. Do not listen to any negative comments. I have stayed in most large cities in Europe on business and this is up there with the best of them (for the price). The staff are unbelievable and will bend over backwards for you. One example, when we arrived our group wanted a beer. Bobby on the door told us that the hotel was quite expensive and gave us directions to a reasonable irish bar round the corner...this became our 'local' for our stay. This is a great example of customer coming before the hotel!!As for the location, as everybody has already stated, it was great. Far enough away from the mad busy streets but close enough to walk into the 'life' 5th ave was 3-5 mins away. Central park 5-10mins etc etc....People on this site have complained about breakfast. However, most hotels do not even offer this, so I cannot understand why they would mark down the hotel! It was standard but good. We did try the diner over the road, but was not worth the price. The breakfast was more than fine and we returned to the hotel for breakfast for the duration of our stay.Another small but pleasing benefit was the free internet and PCs with printer on the 2nd floor. Very handing as we checked into our return flights on line and received extra leg room exit seats!!!For the $290 we paid per room per night I have already recommended to others and will continue to do so. If/ when I return to NYC I will stay in this hotel.	
May 16 2007 	Beautiful hotel with wonderful staff.	We just got back from New York and were delighted with our stay at the San Carlos. I am not used to paying so much for a hotel room, ($269) but splurged to celebrate my 60th birthday. And this hotel was a great splurge. It has a beautiful lobby and absolutely terrific people--from the welcoming bellmen, front desk crew and housekeepers to the owner who cruised the breakfast room chatting with guests and making sure our stay was going well.The bed was a bit hard. (We went across the street to the Affinia 50 for a better weekend rate and found their bed to be superb.) The room has free internet, a nice little kitchen nook with a microwave and a refrigerator, a large enough bathroom for two and a great location. We used the buses and subway to get around and there are convenient stops close to the hotel..	
Apr 30 2007 	Great Location	As a first time NY visitor having a great hotel was key. The San Carlos fit the bill by being in a great location to attractions and subway. The rooms are nicely sized and the personnel were helpful and friendly. Would definitely stay there again.	
Apr 29 2007 	Wonderful Hotel!	Just came back from a weekend at the San Carlos. Paid $269/night on quickbook.com. I loved this hotel. The rooms were large and included a fridge, microwave, utensils, and coffee maker. The bathroom was large with a large counter. We were on the backside of the hotel so we had minimal street noise...(except for the car alarm that continued to go off for 30 minutes Saturday night!) The staff was extremely nice and helpful. Umbrellas were available during the rain. Complimentary breakfast was great. They had toast, muffins, danishes, yogurt, cottage cheese, etc. I recommend choosing this option as we went across the street to a diner for breakfast today and spent over $60 including tip! There were only 2 adults and 2 children. They have no children's menu, so my 5 year old got 2 scrambled eggs, pancakes, and bacon for $11.95! He wanted all of that and there was no way to make the combination at a cheaper price. The hotel is in a great location. Very close to the American Girl Doll store and Build a Bear for those of you with kids. There is a sub station very close (#6) to take you to other parts of NY. My only complaint is unfortunately big enough that I don't know if we'll stay there again. The bed was extremely firm. Now, I know that some people like that, but my husband and I do not! I'm curious to know if other posters felt the same. The second complaint is that the walls are rather thin. There was a family with children staying beside us and we could hear everything at 7:00 am when they chose to get up. We could hear their kids bouncing on the beds. We could even hear the kids pushing the light switches that are over the bed on and off...over and over again. We could hear their alarm clock go off and also heard it go off again after they had already left the room. I had to call the front desk to get them to turn it off. These may not seem like a big deal to some, but I'd sacrifice some of the space from a big room for a comfortable bed. After all that walking...you just want to sleep good at night! :)	
Apr 27 2007	Fantastic staff.	We had a great stay @ San Carlos. Our room was spotlessly clean and had everything you could possibly want and MORE !!Location again was excellent.Breakfast was very good indeed and plenty for all, if we were to nit-pick the air-con in Breakfast room was rather fierce.The staff were EXCELLENT happy and so helpful nothing to much trouble.WE WILL DEFINATLEY RETURN TO SAN CARLOS.	
Apr 25 2007 	A great palce to stay	This was our first visit to NY and could not have asked for a better location or hotel. The rooms were larger than any we had experienced before and were clean and comfortable.The location was perfect to explore NY by foot close to Central Park, 5th Avenue etc. There is also a metro very close by so if you want to travel further afield it is on your door step.I agree with other comments about the breakfast - very stale, lack of choice and always a full house! I would suggest missing it and heading out for something nicer.The staff are friendly but not the most helpful. BUT I would highly recommend this hotel it made our stay.	
Apr 8 2007 	Quiet Convenient Classy	I had to meet some people at the Palace Hotel down the street and I couldn't fathom paying their rates, so a search on TripAdvisor led meto the San Carlos. I had stayed across the the street at the Affinia 50, so I knew that the neighborhood was nice. The San Carlos is even quieter and more soothing than the Affinia property with a watchful lobby staff and speedy elevators leading to quiet comfortable rooms with plenty of space. Spotlessly clean and we cared for, I got a roomat the back of the hotel on a lower floor and heard not a thing from the street. Across the street is the New York Deli, an inexpensive, but pleasing diner style with great service.At about $250.00 per night, the San Carlos is a great bargain in a upscale setting yet close to midtown.	
Apr 3 2007	Comfortable but ....	The positives: A lovely hotel in a great location with a few negatives. The room was nicely appointed, bathroom was spotlessly clean with granite countertops and Aveeda products. Staff was friendly and helpful with information - no concierge desk. Location is great - easy walking to Rockefeller Plaza and theater district. Close to subway (6 train) and one stop to Grand Central where you can transfer to all other subway lines. Would stay there again. The negatives: &quot;Continental breakfast&quot; was terrible. The bread and pastries were dry and quite stale, and on the third morning by 9:30 am (breakfast ran 7-10am) nothing was left and nothing more was going to be put out. (Fortunately there was a luncheonette across the street.)  Ask for a room on the back side and away from the housekeeping closet. There is a very noisy bar across the street and with the no smoking laws, the bar patrons poor onto the street to smoke. Lastly, the biggest nuisance was the guest room door slamming. The guest room doors spring closed with a bang. . . very annoying especially if you are a light sleeper or you want to sleep in.	
Mar 30 2007 	great location	Our group of three adults stayed at the San Carlos in March. We had a room with 2 double beds. It was very clean and spacious, the staff was friendly and helpful. I would stay there again. It is very close to the subway station, MOMA, Museum of Television, and a delicious French restaurant a few blocks away (La Bonne Soup). Hotel was a little pricey - but worth it for the great location and nice room.	
Mar 24 2007 	Warmly recommend!	Fantastic hotel. Very helpful and pleasant staff. Nice basic breakfast (pastries, bread, butter, cottage cheese, yogurt, coffee, orange juice) and very lovely rooms! Our room had a street view, which was a little noisy, but so New-York!Internet connection worked well.Air conditioning helped us through the cold weather that suddenly landed on New-York in March...	
Mar 21 2007 	Outstanding staff	What a friendly, helpful staff we met at this boutique hotel. Starting with the bellman and continuing to the front desk staff, we were so impressed with their friendliness. Even the housekeeper we met in the elevator was charming. Mint, the restaurant next door is terrific (Indian cuisine). The room was nicely appointed and very clean, however, it was a bit small and the window was located high in the wall, so you couldn't see outside. Also, I would request a room in back next time since I found the sirens and honking horns of NYC a bit much. But overall, it seems a good location and we appreciated the accommodating staff.	
Feb 20 2007	Wonderful Hotel	My husband and I recently went to NY City to attend a show taping. We stayed at the San Carlos hotel and what a wonderful place it was! We had a great room that was extremely clean and full of amenities. The staff was quick and accomodating when we requested something be sent up to the room. They were also very friendly. The price was a little more than we wanted to spend, but after staying there, it was worth it. The room was spacious and the entire hotel was very quiet. We would definitely recommend this hotel! And we'd stay there again if we're ever in NY again. Overall, this was the best hotel we've ever stayed at!	
Feb 19 2007 	Cozy Little Gem	Just returned from a 4 night stay at The San Carlos NY and what a gem it is!! We had flown in on a much earlier flight than we had booked as our airline tried to avoid the major snow storm in the EastCoast, and so when we walked in at the hotel soon after noon, we didn't expect to be able to get our room, as check time is 3 pm. But Gabriel at the front desk checked us in with no problems, and up to the 8th floor we went. We had very comfy beds, complimentary internet, cable tv, microwave, coffee maker, cutlery and small fridge, and most importanly a very clean and quiet room. Aveda toiletries were a nice touch.Their complimentary continental breakfast was great. And yes, it is just that, continental style, with pastries, toast, bagels, coffee, teas, yogurt and fruit. But just right for a quick bite before venturing out into the city. No inhouse restaurant, but they do room service from the restaurant next door, Mint. Mint is hip, cool and food is yummy. It is Indian cuisine, but very popular and very good.Location is ideal for visiting the museums, Madison and 5th Ave. shopping, and great restaurants.Service was great, from Bobbie the bellman, to our room attendant and Front Desk, always very helpful and informative.After many past visits to NY and many different hotels, and based on price and service, San Carlos is definitely a future choice for us!	
Feb 16 2007 	Great Choice!!	Really comfort hotel, with great great location. The whole staff was very friendly, and they have a very good breakfast. You can believe in the pictures that you're able to see in their homepage. From now on, my first choice in NYC is the San Carlos.	
Jan 21 2007	Great Hotel!	This is a great hotel. One of my biggest &quot;must haves&quot; in a hotel is that it be very clean with updated decor and furnishings. This hotel had both. I was very impressed. We took advantaged of an &quot;off season&quot; promotion...stay two nights get the third free, I think we paid $260 a night?? This deal scored us a one bedroom suite with a king sized bed. It was plenty big for my husband and I and I would actually say it was be large enough for a family of four or for a girls trip of 4. We actually didn't really even take advantage of all the space. There is a full bath and a half bath which made getting ready great. The staff was friendly and the continental breakfast was a nice perk. Location was good. A subway station was close by and it seemed the walk to Central Park / 5th Avenue Shopping and Times Square were pretty much equal in time..give or take. The elevators were super fast for a smaller hotel. Maid service and turn down service was great. My only complaints would be the bed was very firm (which some people like), however the linens were very comfortable. Also, the street noise was distracting (mainly the horns coming from the nearby intersection), but we were on the front side of the hotel on the 10th floor. The rooms on the back may have been less noisy. On my last visit to NYC, a year earlier, on a girls trip we stayed at the Doubletree Suites located in Times Square. While I would recommend that hotel as well, I wanted to stay out of the Times Square crowd this visit. I enjoyed the location of the San Carlos Hotel, I felt a little less like a tourist. I will say that at the Doubletree, because our hotel room was so high and I assume because the building was newer and more sound proof, we heard NO noise from the street... and the beds were way more comfortable. I would highly recommend this hotel, especially at the rate we received.	
Jan 18 2007	Great Service and Location	Great stay at the San Carlos during the last week of 2006 for our family of five, 2 adults and three children ages 10, 8 and 2. The service was perfect and the rooms were unusually large for NYC. Highly recommended for families with small children not only because the the very friendly and helpful nature of the staff but also it because is perfectly located for all the attractions for families with small kids.	
Jan 9 2007	Very good location	This was my fifth trip to NYC and I have stayed in some large hotels and one that was small but more famous. Truthfully, this hotel topped them all and was a very good experience. The entire staff seemed to want to make our visit a success and they surely did. We had reserved four rooms for a small wedding party and they were quiet and clean , though not exceptionally large they were adequate. I loved the locatiion and found it extremely easy to get around to all the major attractions. I liked the speed of the elevators as the last boutique hotel where I stayed had very slow ones. We were on the 15th floor on the front of the building and we still could hear noise down below but that is NYC. I have always been able to hear sirens and horns no matter where I have stayed. The free breakfast was a real bonus with lots of choices for a continental style.I would highly recommend this hotel and their staff.	
Dec 24 2006 	Excellent hotel. Terrific stay. Terrific staff	My wife and I have made New York City an annual event for the first week in December for the last 5 years. Having stayed in large hotels before this year for the other stays, a friend recommended this boutique hotel this year saying that it is very nice and small enough to avoid waits for anything.The location is excellent for shopping and shows. The staff is incredibly friendly and helpful. The rooms are quiet and the bed is excellent. We will be back in 2007!!!	
Dec 12 2006 	A Gem of a Hotel in New York City	I have just returned from a three-night stay in New York City where myself and two friends stayed at the wonderful San Carlos Hotel. We three women, all in our 40's, were celebrating the completion of our Masters of Adult Education program with a trip to the Big Apple. We selected the San Carlos based on the information provided by other travelers. We were not disappointed! The rooms are quite large, spotlessly clean and well appointed. The warm reception we received upon check-in was consistent through all staff from the doormen to the cleaning staff. The complimentary continental breakfast was a nice start to the day. We were never disturbed by external noise, even though the hotel appeared to be quite busy. We really appreciated the small business centre where we checked e-mails and made tour bookings on-line. The location is wonderful - far enough from the madness but within walking distance of Times Square, Broadway, Rockefellow Centre, Central Park, museums and amazing shopping. The neighborhood felt very safe and we often walked after dark. Many good restaurants within easy walking distance. After check out, we were delighted to be introduced to the hotel owner, a gracious, warm gentleman. We would certainly return to the San Carlos again.	
Dec 5 2006	Over Hyped...	I was placed in a room that overlooked an ugly,dirty,noisey alley.My room was a handicapped room.&quot;NO BATHTUB.&quot;I am not handicapped. Neither was my friend.At &quot;check out&quot; time...rudely taken care of.Sent multiple E-Mail to San Carlos Hotel.Thry never respondedContacted the &quot;YES NETWORK&quot; who sponsorsthe hotel and received a response.	
Dec 5 2006 	Thanksgiving Stay	Our Thanksgiving stay was terrific. Rooms were clean and large by New York standards. Staff was very helpful and courteous. Location was a plus. Subway station 1/2 block. Easy to catch the #6 train and get uptown or down town easily. Walking to Times Squire or Central Park was a 10-15 minute walk (I walk slow).When on business I usually stay at Westin, Loews or Ritz Carlton. The hotel does not rival these but it sure does try.Overall very positive. Will definitley stay here again.	
Dec 4 2006	Wonderful Find	We recently stayed at the San Calos Hotel and could not have asked for a better experience.I mentioned we were there for my wife's birthday, and the hotel had a complementary bottle of wine waiting for her in the room We traveled with friends who did not book in time and had to stay a another well established hotel. For double the price, they had problem after problem, constantly faced negative issues and were overly dissatisfied with their stay. They were amazed at the level of care we got.I will definately stay here the next time I am in the city.The San Carlos helped make our stay in New York one of the best trips we've had in years.	
Nov 23 2006 	Great Hotel Unlike Previous Comment	First, not every can be pleased and not all experiences are great, BUT I stay in San Carlos every 2-3 weeks for the past 3 years, therefore, I can say that . . .Breakfast - The breakfast is NOT just orange juice and a toaster, for the past 3 years at least from what I know is that they serve yogurt, cereal, milk, pastries, bagels, toast and apples. Also juice, coffee and milk. Last time I checked this IS a continental breakfast. And they are consisent and clean which as a frequent business traveler, this is what is most important. Rooms - The rooms are aged, as it is a boutique hotel in an old building, but I have yet to ever get a dirty room and the decor is very modern. Oh, and they tuck every night with chocolates every seems not to be mentioned, which is definately not something you will get at the Marriott, or some of the nearby hotels. Also, it they are generous with their toiletries (Aveda hair products, mouthwash, ear cleaner, hair cap, cotton balls, etc.) which is in line with a 4 star hotel. Also, bathrooms &amp; linens are always clean with decent decor. Last, most rooms are pretty roomy and about 50% or more now have flat screen LCD TVs or an flat screen TV. There is a mini bar and all the basics like most decent hotels (coffee maker, blow dryer, robes, etc.). Security - They have security cameras EVERYWHERE, not because it is a bad place, but to make sure their guests feel and are always safe. I think this is super important. Gym - Although MOST hotels do not have gyms like the Leows hotel in Philly like a gym club, they do have a roomy gym with decent cardio equipment and water, towels and a bathroom. Noise - This is true, noise cannot be avoided, heck you are in between Lexington and 3rd, I choose this hotel for location and unfortunately, there will be lots of traffic &amp; noise here. For me it is ok, b/c when I want to get out for a coffee or snack at 1 in the morning, there are always people around, so for me, safety overrules noise, but I admit it does not work for all. Service - I have yet to have any bad service, or any of the numerous collegues that I have recommended to stay there. Most of the time, they are super friendly and the door men, boy they can get you a taxi or give directions anytime. Computers - they have 3 computers and a printer on the 2nd floor for use for free. They also have free high speed broadband in all rooms. And the couple times I have a project crunch, the front guys have helped me by holding or sending off packages and faxing for me, which I do not abuse this, but it is nice to have in an emergency. Location - OK, within minutes you can be anywhere worth visiting in NYC. And for the business traveler, there is fed ex kinkos 3 blocks down on 3rd and also another on Lexington and 2 blocks up on Lexington a Staples. Also, there are several subways near by, like 1-2 short NY blocks away that can get you virtually anywhere in NYC. Shopping &amp; restaurants galor, need I say more!!!I agree, there are much nicer hotels, at a heftier price, like the Waldorf, but for $300'ish a night this is a great deal and not less for any of the comparable hotels like the Benjamin or Affinia 50 (trust me, been there, they are pretty much the same!). What has won me over from San Carlos is how they treat their loyal customers, which is something I am seeing less of these days in this economy. I stay there every 2-3 weeks and I now have the owner's email to let him know when I am coming, what other hotel in the 300'ish range is going to care about one person???? But this hotel will treat regulars like a super star and from feedback I have receieved to those visiting 1-2 times, they felt the same way.	
Nov 17 2006 	Wonderful place to stay	I recently stayed at the San Carlos Hotel, and the entire experience was extremely positive. The hotel is centrally located, and the staff is helpful and friendly. My room contained a mini bar, small refrigerator, microwave, and coffee maker. There is a workout room equipped with a few cardio machines and TVs at each machine. The hotel room was immaculate, as were the lobby and workout room. I would definitely recommend this hotel to anyone, and will stay there again. My overall experience was outstanding; kudos to the management (and all the staff) at the San Carlos Hotel!	
Nov 16 2006 	Exercise Caution When Considering the San Carlos Hotel	Having recently returned from another New York City visit, we thought it necessary to provide another insight for this hotel which seemingly garners good to top reviews. We say NO. This hotel is quite less than what it and others says about it.First, the property is neither elegant nor charming and defnitely not sophisticated. The reality is that the property is nothing more than a bit above a Holiday Inn Express or similar hotels that you may find on any airport strip,Second, while the Hotel trumpets its offering of a free continental breakfast one would be well advised to brace themselves before viewing the selection and confines of the offering. A closed and spartan room with tables and chairs accompanied by an orange juice dispenser and toaster does not, a continental breakfast make. Third, previous commentary on Trip Advisor laud the staff for their friendliness and desire to accommodate. That was not our experience. On our arrival, we were confronted with ATTITUDE and plenty of it from the front desk representative who in a pre-emptory fashion dictated that one of the two rooms that we had booked was to be changed. No discussion or advance advisement. We challenged the representative and only when asking to speak to the Manager, were we able to arrive at a compromise.The room(s) were not elegant nor sophisticated but rather what would you expect from a hotel that is definitely not a 4 star hotel. The interior of our rooms on the 10th floor ( Junior Suite and Exec King) were well worn with the bathroom showing distinct signs of use and needing a good painting,Finally, previous writers on Trip Advisor have referenced the street noise. We agree and there was plenty of it. For a hotel that has spent a significant amount of money on refurbishment ( their words) and notwithstanding that New York is and can be a noisy city, the noise from the street at all hours is quite incredible.For our money ( and the hotel is not cheap) we say that the San Carlos is not what it seems nor says and to that extent, we say exercise caution in choosing the San Carlos Hotel. There are better hotels in the same area at the same price.Ottawa, Ontario	
Nov 9 2006 	You just cant beat it	I spent alot of time trying to find a modern hotel that could accommodate 4 friends in one roon in a central location in NYC.We booked a one bedroomed suite for a great price, which was even better when shared between 4!The bedroom had 2 double beds and the lounge had a double sofa bed. The hotel also offered a spare bed to go in the lounge if we needed it. There was also two large wardrobes and plenty of drawer space. The decor was modern and clean with all the essentials needed and more, ie small kitchen area, fridge, iron, etc.The staff were all helpful including whistling for taxis when needed.We stayed at the front of the hotel on the 2nd floor so we did get some street noise so maybe ask for a room higher up if you can. Although it wasnt really a problem and the hotel is in a fairly quiet street and not on the corner of an avenue so traffic was limited. Most central hotels in NYC are noisy as it is a major city that never sleeps, I have yet to find a quiet one.We didnt go in the night club opposite as all our nights were booked up doing other things although it looked cool (it was called NIKKI midtown).Well done to the San Carlos for getting everything right. We all said we would stay here again and reccommend it to our friends.	
Nov 7 2006 	Fantastic hotel close to some of New York's most famous attractions!	A fantastic hotel, within easy walking distance of some of New York's most famous attractions - 5th Avenue, Empire State Building and the Rockerfeller centre.We stayed here for 4 night's at the end of October and I cannot wait to go back to NYC. Would defintely consider the San Carlos hotel again.Very clean hotel, friendly staff and our room was huge(and that was a normal room!). Breakfast consisted of pastries, bread, coffee, orange juice &amp; yoghurt. Not the big US breakfasts I was imagining, but for that there are so many cafes and deli's nearby!You will not be disappointed if you stay here :O)	
Nov 6 2006	Great hotel in fab location	We weren't meant to stay here! We were booked into the Bedford Hotel down on E40th but when we got to the hotel there had been a water leak that had flooded our room, so the Bedford staff had transfered us to their sister hotel - the San Carlos. They even gave us the $5 so we could catch a cab the 10 blocks.The San Carlos is a great little hotel - nice entrance, great friendly staff and the benefits of a free buffet breakfast and free internet in their business lounge. We had specifically requested a suite for the 3 of us at the Bedford and we ended up having a suite at the San Carlos. A good sized bedroom, with seperate lounge and pull out sofa bed, small kitchenette area that seemed well equipped and good bathroom.We could not have been happier! No idea how much this place costs but it is obviously must costlier than the Bedford - we just got lucky!Next door there is a trendy Indian restaurant called 'Mint' that looked really nice.Traditional New York bagel breakfasts available on 3rd at Ess-a Bagels - complete with insults and New York attitude!	
Nov 2 2006 	Enjoyed our stay at the San Carlos	We really enjoyed our stay at the San Carlos. The staff were friendly and helpful, especially the doorstaff. Our room was clean and spacious with plenty of towels and tolietries. The microwave and coffee-maker were very useful. The continental breakfast was a nice touch, although the yogurt wasn't the best, it was good to start the day with some OJ, fruit and a bagel. The San Carlos is very central, we walked to most of our destinations. We would all stay there again.	
Oct 17 2006 	Lots of Street Noise!	The hotel is nice and the staff is great but the rooms on the front of the hotel are bombarded with street noise from a night club across the street until 3:00 or 4:00 AM on Friday and Saturday nights. We aslo had street paving until 2:00 AM on Friday night. It was the worst street noise I have experienced in NYC and we travel there a lot. If you stay at the San Carlos, ask for a room in the back of the hotel.	
Oct 8 2006 	A Gem in Midtown.....	The San carlos Provided us with a great week of accomodation in New York. This is a hotel that does a lot of little things right. The staff is superb and helpful, and having your bed turned down nightly is a nice touch. The rooms are clean and relatively spacious for New York. The bathrooms are new and water pressure in the shower is great! There's a complimentary business centre and continental breakfast, which we missed all 7 days....It's quiet as well. But at its price point, the clientele is a little older.We loved it and will definitely stay there again.	
Sep 6 2006 	Stay at the San Carlos!!!!!!	After reading many reviews of many NYC hotels, we chose the Thanks to previous Tripadvisor reviewers, we stayed at the San Carlos in August, 2006 for 8 wonderful nights. We previously had reservations at the Avalon hotel, but the reviews of the Avalon started getting worse, so I took advantage of Tripadvisor's review and found the San Carlos. The San Carlos is PERFECT. We traveled with our two grandchildren (age 10 and 7 years) and they loved the hotel too. We took advantage of the business center on the 2nd floor to &quot;play&quot; on the internet during the evenings and the kids used the workout room a lot (always with our supervision). We enjoyed having the continental breakfast available...it was nice to have a quick bite to eat before we journeyed out in the morning. Gabriel at the front desk taught our grandson magic tricks (that was a hit!) and Matthew on the door was wonderful. Housekeeping staff are friendly and do a fabulous job. We also saw quite a bit of the hotel owner, whom we found to be charming. The kids were really impressed that the HOTEL OWNER knew them! You don't get that kind of attention in the chain hotels.We adored the rooms (we had a one bedroom suite), and appreciated having two televisions. The refrigerator and microwave both came in handy as we were able to bring leftovers home from restaurants and enjoy them later. The hotel is very quiet, and in a great neighborhood. We are from Seattle and we felt a lot safer walking around NYC after dark than we do in our city. It's also extremely close to a subway entrance.We were lucky enough to have Arlene Dunn as our Big Apple greeter (this is a great thing to schedule... you'll learn so much and it's free!). She felt like family to us. We took the all day Royal tour of New York and it was wonderful. Steve, the owner, was very informative and made us feel like he was an old friend who was showing us around his home town. His tour costs a little more than the others, but I think it is well worth it. He doesn't book a lot of people on each tour so you don't spend half your time waiting for someone to show up so you can go on to the next stop. We did most of the things that tourists do in NYC, and thought that the Top of the Rock was a better view than the Empire State building. Highlights:Tony and Tina's wedding (an interactive play). We all loved this! The Statue of LibertyTrinity Church, where the rescuers went on and after 9-11 (be prepared to cry).St. Patrick's CathedralA New York Yankee gameBronx ZooConey Island (everyone needs to go there once)Canal Street in Chinatown...you get to barter there, and believe me, it's very addicting.A cruise around all of Manhattan with Circle Line tours (we had a very informative and dapper narrator). [--]Eating at Mickey Mantle's restaurant and PJ Clarkes. I know I'm forgetting some things that we did and loved.Bottom line..when we come back to visit NYC, we will stay at the San Carlos. This is one of the best hotels we have stayed at.	
