	Is asking for a fish at a Kimpton that difficult a request???	First off the positive...a very short walk from Grand Central Station. Upon entering 70 Park Avenue I didn't get that &quot;Kimpton&quot; scent that all Kimptons have (sorry but I think Kimpton properties have a distinct fresh scent). The lobby and check-in area were very cramped and I felt claustophobic. Being a dog lover and purposesly staying at Kimptons because they are pet friendly, I found it odd that when I asked the front desk person if there were any dogs there that he didn't know and had to ask the front door man? As we were checking in I requested that a fish be brought to our room. Six hours later, still no fish, I placed phone call and was transferred to a manager's voicemail, where I politely left a message that we had requested a fish and would like one brought to our room which was on Wednesday. Upon check-out on Friday we never saw any fin friends in Room 709, which by the way I would never stay in again. This room was located right near the elevator and by a door that was used constantly by housekeeping staff and when opened or closed made it sound as if someone was knocking on our door. Apparently this hotel does not have housekeeping closets for storage. The whole three days we were there lined up in the hall right outside our room were various carts of towels, etc. The television in our room had serious malfunctions. We set the temperature in our room to 65, but it was a consistent 75?? We never used room service because I do not think any breakfast averaging $24 is worth it. The Silverleaf lounge did offer the customary Kimpton Happy Hour $5 drinks from 5-7 p.m. nightly. We were told there was live music in the lounge, but didn't hear it as it didn't start at the time it was advertized to. I do love Kimpton hotels, but will definitely stay at one of the other ones in NYC next time we are there.	
May 27 2008 	more than adequate	got a great deal via travelocity, ($210 per night for deluxe king room). well, well worth it!!!! i would admit that if i paid $350-$400 per night, i'd be dissappointed. the king deluxe room was actually quite large and spacious, (for NYC standards only). the room was clean, small bathroom, (of course), nice little ipod clock radio. other than that, relatively no-frills. very, very small lobby. but, i'm not in NYC to hang out in the hotel. for the price i paid, i give it an A-. oh, and relatively quiet too, (park ave no honking policy is nice. wish that was in effect when i lived there :( )i would definitely stay again if i received the same kind of deal. if you are looking for a more trendy place to hang out in, this is not for you.....	
May 27 2008 	Small....but really nice!	I got a great rate through Travelzoo for this hotel ($199) and checked out the reviews on Tripadvisor. It was up to my level of expectation, based the the reviews. I expected the room to be small, and it was, BUT, it was really clean, efficitiently set up and very, very comfortable for a short stay. The bed was fabulous and we enjoyed the location which is centrally situated. The staff was friendly and the check-in and check-out was smooth. I would stay her again for a short stay and, if you can get a good rate, it is an excellent value.The price for breakfast is rediculous but there are some good restaurants on Lexington Ave, one block away.	
May 24 2008 	High End Hotel for reasonable price	This was my second stay at the hotel. It is such a nice hotel. I am extremely picky about hotels and will not stay at anything that is slightly budget. I normally stay at Westins, W's, Ritz Carltons, St Regis. The rooms are so clean and actually somewhat spacious for New York. Furnishings are very modern, bathrooms are elegant with subway tile, great bath products that I always take home with me, flat screen TV's, IPOD Docking Station etc..The location is perfectly location in Murray Hill away from the noise of Times Square but close to Midtown and then a quick cab ride downtown. The hotel bar and restaurant are very nice and posh. They are definatley going for a 'Hudson' look here. I will stay here again.	
May 22 2008 	Loved 70 Park Ave.!!	We just got back from our stay in NYC. We stayed at 70 Park Ave for 1 night, but then we stayed in another (more expensive) hotel for the rest of our stay, which was for business. I have to say, we loved the 70 Park Ave. the best. And here's why...The lobby and common areas were very clean and the staff was incredibly nice. I recently signed up for the Kimpton rewards program (free) and they automatically upgraded us to a king room overlooking Park Ave. The room was huge and gorgeous! (See photos..). Park Ave is an extremely nice area, but it's only 2 blocks from Grand Central Station. The bed was so comfortable and the flat screen tv was huge! I'm an interior designer, so I was impressed that they are environmentally friendly (compact flr. bulbs, low flow water fixtures, etc.). We ate breakfast at the Silverleaf Tavern, which was good, but a bit pricey (2 buffet breakfasts - one regular, one continental - both with coffee) - $58. The restaurant design was quite hip though....Overall, I recommend this hotel and the price is extremely competivitve. What a great stay!	
May 4 2008 	Great Hotel Quiet Neighborhood	I stayed at the 70 Park Avenue for work and spent a little time with friends in NYC. I selected it because of Kimpton's reputation, TripAdvisor reviews, and because I got a great corporate rate. Turned out to be the perfect hotel. I had a large room on the 16th (of 17) floor. The bathroom was a little small, but not a big deal. The service at the hotel was first rate with very helpful desk and bell staff. This is in a primarily residential area with easy walking access to Grand Central Station. I liked the quiet residential area as opposed to the more chaotic hotels around Times Sq. or Central Park South. It allowed great access to other areas, but was calm at the hotel. Its still NYC, so I would recommend an upper level floor. It is an older building that has been redone. I had a little issue with the heat/ac one night that unfortunately could only be resolved by opening the window. It was a function of an old building and fluctuating outside temps in early spring. (Not a big deal for me) I would stay here again and would recommend it.	
May 4 2008 	Great stay	I booked via the United web site and landed a room a good $150 less than a similar hotel in Midtown. Very modern hotel, staff has been very friendly and helpful. Two minor downsides: The bathroom is tiny and not well laid out. And the wireless internet service slow and spotty. But otherwise the rooms are clean, modern, well designed. The bed was comfortable and the water pressure in the shower good. The area is quiet for Midtown. I would certainly stay here again.	
May 2 2008	Nice Hotel Great Location Few Amenities	This hotel is very nice, especially for the dollar. The room, like others mentioned was small. That is to be expected in this price range in this location. Cab ride from LGA to the hotel is 29.95 with tip and I personally did not drive, cabbed it everywhere. The hotel is very close to Grand Central with several dining options and shopping(great bagels and coffee in the AM) and a small pharmacy/grocery inside. The immediate area is somewhat residential mixed with corporate offices but a few minutes walking and you can be at the Empire State Building, Macy's, and several other shopping and dining establishments. You should definitely sign up for the Kimpton rewards on their website. It is a free service and you get extra perks as a member (slippers, chocolates, H20 etc , free internet) on your 1st night. The hotel itself has 1 restraunt that is nice, but that is all. The lobby is as small as it appears on the website. It felt a little small to me as far as a place to relax or people watch, bit that is just me and probably common for NYC. I would stay here but if traveling with my children would probably look for somewhere with more amenities. All in all the staff is fantastic, very concerned that your needs are being met. I would definitely stay here again. Excellent staff, Excellent location.	
Apr 19 2008 	Location and Service make this one a gem	Took my daughter on a spring break trip and this hotel was the perfect choice. I was concerned she would want the hustle and bustle of a Times Square Hotel but she welcomed the quiet location come nighttime. The room was nice size especially by NY standards and the bath, though not large, was clean and well-stocked. The beds were very comfortable with nice linens, duvet and blankets. My daughter really liked the ipod station. We were able to listen to Legally Blonde all night! We had a corner room with an unexpected view of the Empire State Building. Great location with an easy walk to Rockefeller Center, Times Square and Grand Central Terminal if you need to travel farther. I would definitely stay here again.	
Apr 8 2008 	Great Hotel Excellent Service	I just returned from a three night stay at 70 Park Avenue and enjoyed the hotel very much. We stayed on the 16th floor and had a nice view of the Empire State Building. We checked in at 4pm on a Friday and didn't have to wait in line. The room and bathroom were exceptionally clean. We especially liked the nice quality linens--down comforters and pillows, soft blankets. Our room was a good size (with two double beds), and included a desk and chair and still enough room to walk around. Lighting was nice (there was a variety of options) and included candella nightlights, which I hadn't heard about before my stay. It was like having candles in the room--soft lighting.Other amentities that we enjoyed were the iHome clock/radio for my ipod, L'Occitane bath amenities, flat screen with nice sound system, dvd player (my son brought movies with him and bought some from street vendors), slippers, and the nice lotions that were left on our bed each night with the turndown service.The honor bar included a variety of snacks and drinks and some essentials that guests may have forgotton. Prices were reasonable considering the convenience of the bar.I was surprised to receive an e-mail from sombody at the hotel a few days before my stay asking me if there was anything they could do to make my stay more comfortable. I had requested two extra pillows and although they weren't there when we arrived, they were delivered within minutes of my request. On the first night, there was a handwritten note from the assistant GM, with a small welcome treat and an offer to use the internet for free in my room (didn't apply to me since I didn't have a computer). There was free internet access in the lobby (15-minutes per 24 hour period) and free printing of airline boarding passes.The location was prime. Just a few blocks from Grand Central Station -- where there were lots of shops and eateries. We weren't far from the Empire State Building, Rockerfeller Center, Broadway, Fifth Avenue, lots of touristy stuff.	
Mar 29 2008 	Great Service in a great location!	I stayed in 70 Park Avenue for 5 nights in March 2008. We arrived early evening and our bags were brought straight to reception. We checked in with no problems, staff were very polite. Room was a little small but fine for us as a base. Lovely bathroom with toiletries and bathrobes provided. Bed is the most comfortable I have ever slept in! Only downpoint was that you have to pay for everything on the tv, no free channels at all which was a bit disappointing considering the price. Ipod dock was useful to wake us up after a long flight! Also we didn't have a view but were not that bothered as only used the room to sleep and shower! The hotel has a complimentary wine hour from 5.30 to 6.30pm in the lobby each evening. Was lovely and relaxing the two times we made it there!  Doorman so helpful in calling us a cab when we needed it-much appreciated in the rain! The reception staff also let us use their telephone to confirm our trip bookings. There is 30 minutes free internet in the lobby too, after that you have to pay. All in all a lovely hotel in a quiet location. Easy walk to Empire State building and some shops and restaurants. Grand Central Terminal station about 3 or 4 minutes down the street where you can get breakfast and catch a train or the subway.	
Mar 28 2008 	We were very pleased with our stay at 70 Park Avenue	Having done extensive comparison shopping online, I felt sure that this KImpton Hotel would be a comfortable place to stay in a good location at a competetive price. We were not disappointed. The room was larger than any midtown hotel in which I had stayed previously. The marble bathroom was clean and well stocked. Linens were of a superior quality.The lights could be dimmed to nightlight level, and the electronics were cutting edge. The hotel staff was accomodating, making sure I received the requested foam pillows and a make-up mirror. Even a heating pad for sore muscles would have been at my disposal for the asking at no extra charge. Our room was quiet, an upper floor, not on the main street. The concierge desk was staffed at every hour we needed someone, and fresh green apples filled a bowl in the lobby, providing a healthful snack for our 14-year-oldMy husband and I enjoyed the evening wine reception and complimentary coffee in the mornings We highly recommend 70 Park Avenue, a small boutique hotel, where you rarely have to wait for an elevator. Let the concierge book a car to pick you up at the airport for a reasonable fee; then use the subway from Grand Central (just 3 blocks away) to explore areas beyond walking distance. Enjoy a stress-free visit to the big city!	
Mar 25 2008	Perfect hotel in New York	This hotel was PERFECT! it has a great, quiet location close to Grand Central station. The staff was very friendly and accommodating. They try hard to make your stay enjoyable. We loved the complimentary happy hour from 5:30 – 6:30. The beds are heaven and the bathrooms are trendy and clean. I will be returning for sure.	
Mar 23 2008 	Fabulous stay...and a great deal!	We have stayed in many Manhattan hotels, and we found this Kimpton property to be wonderful in many ways. I am a member of their InTouch loyalty program, which may explain why, although we'd paid what is for NYC the giveaway price of $189, we were upgraded to a HUGE penthouse suite with an enormous Jacuzzi tub, separate living room, 2 flat screen tv sets, a lovely view, and a balcony. This price was offered as a Kimpton internet promotion with a duration of a month or so. The hotel was understandably sold out.It being a birthday, a chilled bottle of Cava was there when we arrived. As is usual with Kimpton, the management sent an email in advance of our stay to see what the hotel could do to improve our stay. [InTouch members write personal profiles, so the hotel knew to have dark chocolate waiting for us, too.] The location, a two minute walk from Grand Central, was great. We arrived early and, while the room wasn't yet ready, we were offered facilities at which to &quot;freshen up.&quot; Granny Smith apples were offered near the registration desk. There was free internet in the lobby. Organic and delicious coffee and small label tea---unlimited---were offered gratis until 11 a.m. During our stay we had a minor plumbing problem which was rapidly resolved by the engineer in house. Everyone on the staff was friendly and courteous.I am very happy with Kimpton's social consciousness, e.g. their corporate sponsorship of Dress for Success, HIV/A.I.D.S. contributions, support of the Trust for Public Land. I like their plug that as a guest one does good while sleeping. All in all, I'd describe this as a wonderful Kimpton stay; as usual there were the very welcome personal touches which we have found characteristic of this smallish chain.	
Mar 19 2008 	Lovely Kimpton Property	Had a wonderful weekend here. The room was decently sized for NYC and had all the amenities you would want. The location is quite conveniently located just a few blocks from Grand Central so it was a breeze to get anywhere. 4 adults shared the room and we didn't find it too cramped or uncomfortable.	
Feb 29 2008 	Great stay!	I was very pleased with 70 Park Avenue from check in to check out, everyone was extremely polite and helpful. When I mentioned that my room was smaller than I thought it would be they upgraded us at no extra charge. The rooms are nicely done, with ipod docking station, flat screen TV, Nintendo games &amp; DVD player. The bed was very comfortable with nice linen and duvet. They have a good environmental policy so the tissue &amp; toilet paper are made from recycled paper, and lighting is energy efficent as well. The bathroom was small but very servicable and clean with great ammenities. It is a small boutique hotel but has charm and very warm and upbeat feel about it. My phone was stolen while in NYC and again the staff were very considerate and helpful. I would highly recommend this hotel to others. The location on Park just below Grand Central Station is perfect. My son and I had a wonderful time visiting family except for the phone incident.	
Feb 26 2008	Fantastic place to stay!	I have just returned from a 4 night stay at 70 Park Avenue. The hotel was fantastic, the staff extremely friendly and helpful. Had a double king sized room which looked out over the buildings at the side and a nice view of the Empire State Building. The location is fantastic really central being 2 blocks from Grand Central Station. The amenities in the room are very good with L'Occitane toiletries and an LCD 42 inch tv. Also a well-stocked mini-bar which includes some additional items such as nail-files, bed-socks and other handy things you may have forgotten. All in all a fantastic place to stay and would definitely return.	
Feb 12 2008 	Great week in the "Big Apple"	Excellent location (on Park Ave three blocks from Grand Central Station). The staff was extremely helpful. Complimentary wine hour from 5:30 to 6:30 was a Kimpton Hotel special touch. The rooms are comfortable and adequately sized by New York standards L'Occitane products in bathrooms. Large,flat panel TVs in each room. Free use of Apple computers in lobby limited to 15 minutes before starting charges. New York Times each morning on threshold and Wall St. Journal available.  Overall a wonderful 7 day stay.	
Feb 9 2008 	Does what it says on the tin	- Great location 2 blocks from Grand Central Station- Staff helpful if you want, otherwise stay out of your way- Rooms fine (Superior) - bathroom small but adequate- Room at back of hotel over air-conditioning which was noisy,  would prefer front rooms, but not a big problem.- Had a bottle of wine in Bar first night - very expensive - $60	
Feb 2 2008 	Fantastic Customer Service	We stayed at 70 Park Ave. for one night in January and had a fantastic experience. We'd definitely stay again. We were upgraded to a king room at check-in; there were robes, chocolates, still bottled water from Wales and a handwritten note addressed to me from the hotel manager when we returned at the end of the day. This is really great customer service and sets this hotel apart from similar hotels (i.e. Park South).The hotel provided turn down service...this was truly an unexpected treat. The room here was big enough, beautifully appointed (but the bathroom was really small and the mirror covered wall against the toilet really didn't do much to make the room appear larger...scary thing, that mirrored wall...) and quiet enough. Aside from the bathroom, we thought the hotel, staff and the room were great. The general atmosphere of the hotel and the room was peaceful and upscale. The hotel provides wine and cheese every afternoon in the lobby...nice touch.We were directed to Rossini's on 38th street (we could see the restaurant from the hotel lobby) for dinner. The hotel supplies new, complimentary umbrellas in the room for guests' stays, so the short walk in the rain was rather nice. This cozy,little restaurant is great. We awoke to a dry but cloudy NYC, had breakfast downstairs in the restaurant in the hotel, got charged $60.00 for a not so special buffet, explained to hotel management that my package included breakfast (which wasn't clear on my travelzoo confirmation form; I'll watch more carefully for this next time) and they complied. Good for them! The service at this hotel (and throughout the City) was consistently fantastic.	
Jan 28 2008 	Loved 70 Park Avenue!	I recently stayed at this hotel for a shopping weekend in January, based on a friend's recommendation. The hotel staff was amazing from the minute we stepped in, to the minute we left. The room was perfect for two people who didn't want to share a bed (we had two double beds) - clean, nice decor, good size. We didn't have a great view, but who comes to NY to sit in their hotel and look out the window? The beds were amazingly comfortable. The hotel is in a great location - a very quick walk to Grand Central, and is also within walking distance of many great shopping areas and attractions. Fernando, the concierge, was extremely helpful and gave some fantastic recommendations for restaurants in the area, and was able to get us reservations at times we couldn't. Such a nice guy, and always asked us how our dinners were when we came back or the next day that we saw him. Free wine was served in the lobby between 5:30 and 6:30 every day, which was welcoming after a day shopping. I would definitely stay at this hotel again, and have already recommended it to many people.	
Jan 13 2008 	70 Park Avenue - Home Away From Home	First, let me start by saying that I stay at 70 Park Avenue on a regular basis. Let me also say that I have stayed in many, many, many hotels in New York City and the fact that I return to 70 Park Avenue whenever possible speaks for itself.70 Park Avenue looks as classy and sophisticated as it's address might suggest. However, it manages this level of sophistication without the pretension that often goes with other hotels in it's class that make you feel lucky to have been granted a room at their property. 70 Park Avenue is attitude free. To the contrary, the team at this property bends over backwards to make sure that you not only feel welcome, but special as a guest. This goes for the front desk, the bellmen, the housekeeping team - -anyone you come in contact with. As with other Kimpton Propperties, it is clear that the 70 Park Avenue team is extremely proud of their hotel (as they should be) and love their jobs. This makes a winning experience for the guest.But 70 Park Avenue goes even further. How many hotels have you stayed at where you receive a welcome e-mail asking if you have any special needs or requirements several days before your stay? How many hotels are happy to provide upgrades if space is available to make the guest &quot;that much more comfortable&quot; than they would have otherwise been. How many hotels have an endless supply of Granny Smith apples for you to munch on anytime you like? You get all this and alot more at this hotel.As if the service is not enough on it's own, it is matched with exquisite, contemporary yet comfortable decor. Contemporary design can often be cold, but 70 Park Avenue exudes comfort and warmth. When you step out of the elevator, you get the feeling of being in your own, very stylish apartment building vs. a hotel. In your room, warm chocalate and beige hues surround you like a hug, as do bathrobes, slippers, massage lotions, soft music and wonderful toiletries.This is a GREAT hotel - - take it from one who has tried MANY. Stay there and you won't be sorry. As a matter of fact, you are likely to return and make it your &quot;home away from home&quot; in NYC.	
Jan 3 2008 	Quiet boutique hotel	We are a family of 4, so it can be difficult to find a room with 2 beds, and no charge for the extra people in the room. 70 Park Avenue does NOT charge for extra people--so we got a room for a very reasonable rate (at least by New York City standards) The room was small but very well appointed. The hallways were dark and our door stuck so at first, we were leary. But the hotel was friendly, and after we got used to the size of our room, we felt right at home. We would stay there again.	
Dec 25 2007 	This was the Getaway we needed thank you!	We really enjoyed our stay at this hotel. The minute we checked in, we were greeted by a very sweet staff person, who let us check in at 12:15pm, and automatically offered to upgrade our Queen room to a Delux King. We stayed on the 10th floor, which was quiet and we were not disturbed by any noise. The room was a nice size for a NYC hotel room, with a large televison (as another reviewer pointed out, it was all the way in the corner of the wall, which wasn't a big deal to us), several L'Occitane products in the bathroom, and a really really comfortable bed. The linens were so soft! The shower warmed up right away and had very good water pressure. There was inclement weather, so we didn't want to walk around too much at first in order to get a bite to eat, so was approached a staff person at the front desk for a recommendation, which she happily supplied. She recommended a nice diner style restaurant nearby, Moonstruck, which has a huge menu and very tasty food to choose from, and our salads definitely hit the spot. We felt any time we came in contact with a staff person they were extremely accessible and more than willing to assist us. We received an excellent deal through an online service, and we felt this establishment definitely met our expectations and helped to make our getaway memorable.	
Dec 20 2007 	We won't return.	This very expensive room was clearly a single, with almost no floor space, no chest of drawers, and only the radiator on which to balance a suitcase. The wall-hung TV screen is at right angles to the bed, so one can't watch while in bed, only from the one comfortable chair across the room. Normally we enjoy breakfast in a hotel room, but not here; we didn't even try. We supposedly had a special deal; I can't imagine what they usually charge for this room--or who would pay it!	
Dec 12 2007 	Luxury hotel	Beautiful hotel. Large room (for New York) Friendly staff, wine tasting in the evening was a bonus!! Great location, hotel booked through cityandshow.com who gave superb customer service with decent local knowledge, enabling us to plan and visit most attractions we wanted to in the week we were there.	
Dec 2 2007 	Worst service extremely uncomfortable bed and way overpriced	I travelled there for business, people are so so but the hotel SUCKS! do yourself a favor and not stay there.	
Dec 2 2007 	So Close To Everything - Perfect For A FIrst Timer!	With everything within walking distance this hotel is a gem. Perfect for a first timer who wants to get around New York the only way - on foot!The Bad:Not much really...The ‘Run of the Mill’:The rooms are not massive but this is New York. The bathroom is INCREDIBLY small, but still functional - albeit for one person. The Good:NYTimes every morning is a great touch. The little extras in the room are nice such as a bottle opener, ice box and wine glasses. This make for a great stay. The best thing is the LOCATION LOCATION LOCATION. You can not say enough just how good the location is. Sitting in Mid-Manhattan with a 3 block walk to the Empire State, a 2 block walk to Grand Central and a 2 block walk to 5th Avenue... Times Square is about 8 minutes away, the Rockefeller Centre is less than 15 minutes, as is Radio City, Central Park and pretty much all the sights of Manhattan. Macys is a brisk 7 minute walk also.If you want a great location with a well appointed (but not grandioso) hotel, then 70 Park Avenue is your hotel.	
Nov 30 2007 	Great Hotel	Great location to 5th avenue, Lexington, Madison, Grand Central. Simple, no frills, nice decor and very cosy. Rooms aren't huge but it is Manhattan. Staff very friendly.	
Nov 25 2007 	Great location nice extras	Stayed here over Thanksgiving weekend. Great location and the rooms were very nice. Definitely not cookie-cutter like chains. We have stayed at a number of Kimpton hotels and this one definitely did not disappoint. We stayed in a king room with a view of Park Ave. The room is small (BUT this is completely expected if you stay in NYC) but very nicely appointed. 5 gigantic mirrors, IHOME for our Ipod, nightly turndown service, yoga mats and equipment available upon request. The room had a very cozy feeling, just what you need after dealing with the throngs of people on 5th ave. Bathroom was completely fine. Again, small, but well appointed and exactly what we expected. The lobby is swanky and the nightly happy hour is fun. It's nice to meet other hotel guests! Another tid bit, Fagolini on Lexington (1 block off from Park) on 39th is a very reasonable cozy italian place. Quite cozy with good service and pretty romantic for my book!	
Nov 24 2007 	Great Location Great Service	It is nestled away in the quieter area of of 5th avenue, but you can walk everywhere. You might feel more like a local and not a tourist. A starbucks is right out the door to the left and the best make-up outlet is right around the corner too. I was attending a convention at the Javitz center and brought a pair of comfortable shoes and walked to and from everyday. Yes, it was quite a haul, but the sights! It was an adventure every morning as I took a different route. The staff and concierge were so helpful in pointing out different places to go and remembered my name and likes/dislikes immediately. The rooms were small but everything fit - just. They packed in almost every amenity and luxury you could need. The view out the back wasn't too great and you can hear people walking in the halls but the beds were perfectly comfortable and the rooms were very clean! The bathroom was small and the ventilation wasn't great but it was clean and that was the most important part. You will have to leave the sliding door open so condensation doesn't overtake the place. I would stay here again in a heartbeat as it really is the epitome of the boutique experience. The doormen are great and see you coming before you can even catch their eye.	
Nov 22 2007 	Great location for City sights	Booked this hotel on the strength of reading reviews. Glad to say I was not disappointed as I booked it for a special birthday present for my partner. The location is near to Grand Central station and to be within walking distance to the Empire State building was great. In fact once you get to grips with the grid system walking around New York is easy and we felt very safe as the neighbourhood was good. We could see Empire S building from our bedroom window and although the bedroom was slightly small - room 1203 - for a double room it had everying we needed. The air conditioning unit was a puzzle to work out but we got there without the buzz in the end. The staff on reception were friendly and it is a nice touch to offer guests wine free for an hour in the evening and free coffee in the morning - although you have to go to the breakfast room to get it - is a bonus. All in all a good hotel and we both enjoyed our stay and have recommended it to some friends who are staying next weekend.	
Nov 14 2007	Fantastic hotel amazing location	This hotel is fantastic. We got a king deluxe for $200 per night off travelzoo. I cannot understand why anyone would complain when looking at the other reviews. Room was fantastic, lovely decor and very clean. Communal areas were spotless and a wine reception was help every night in the lobby. I cannot complain about anything, I only have good things to say about the place. When I return to NYC I will definatley stay here.Location great too, just a few blocks from Grand Central.All in all a great hotel	
Nov 8 2007	Brilliant	OK, so I am a fussy traveller as you will see from some of my other reviews but I am confused as to why there are several bad posts on this hotel. As a regular Kimpton guest I was not dissapointed and found the room superb. The decor was stylish and the room was actually quite big. I can only guess from some of the other comments that the guests are from the parts of the world where space is not at a premium, where rooms are huge and in most other US HOTELS you could call it an apartment. New York hotel rooms are all small and it is something you have to accept. Or alternatively pay in excess of $700 per night. I was also impressed with the food and service and in Particular, there was a lovely gentleman concierge with a gorgeous dog who was fantastic. If you want a hotel in a good position and great service then pick this one.	
Nov 6 2007	Thank you for everything!!	I have never posted or rated any sort of service on the internet before but felt I had to say something here.I got married the 26th of October and stayed in the hotel from the 22nd to the 28th. I was apprehensive of staying here as I have never been to NY before and as I was getting married, I wanted to originally stay in one of the big plush hotels, I am so glad we changed our mind. Firstly the location is nice, you don't walk out of the hotel into hustle and bustle of Times Square or an equally busy avenue or street, but it is in such an area that you can see the Empire State building out of one window and throw a stone at the Grand Central Station out of another (that is not a suggestion!!). I found it (and I have a very poor sense of direction) fab to get about. You can get to see everywhere from Central Park to Pier 17 easily as long as you put comfy shoes on.The service I found was fantastic. I have never been a lover of hotels, I have never taken advantage of a Concierge service and I would always lug a suitcase about myself. However it was my wedding and I cannot praise enough John Powell the gent that helped me find my flowers, locate different shops and generally just be the most helpful man ever.Rooms - now I can compare 3 different rooms in the hotel. We booked a King Suite and were very happy about this, until we found out that we had been upgraded to a Penthouse King Suite which I must say may have been a bit smaller room size but had a massive Jacuzzi bath facing the Empire State Building, massive shower and a wrap around balcony. Yes I know I was very lucky! But to be honest I don't know what everyone’s problem with the room size is? My friend and her boyfriend stayed in a standard double room, another friend and her brother stayed in a twin, and with all the complaints about size going round I don't know what happened!! Has no-one stayed in a city hotel before? I go to London regularly and I must say that the rooms in the different hotels are generally no bigger. Yes the bathrooms are small but unless you are prepared to fork out a fortune, wherever you go they will be. The rooms are comfortable, the beds are to die for and the bathroom freebies are gorgeous.It tipped it down on my wedding day, I was in Central Park and got covered in mud but I don’t care because the whole week was really good we even got champagne red roses and a bath full of petals to come back to. The hotel doesn’t need doing up (unless you accidentally go in the service elevator to the basement like I did you might find it a bit duffed up) the corridors aren’t dark and dingy with threadbare carpets, it is nice and above all you don’t feel like a number, staff there remember what you are called and talk to you and see how you are, that is what I wanted and that is what I got.Thanks xxxTip – get down for the free wine at 5.30 – 6.30 it is nice and if you don’t like wine have a bottle of lager instead	
Nov 5 2007 	The worst hotel I have stayed in.	This is part of the complaint that I made to the kimpton hotel 70 park avenue for which I have not yet had a reply.I would like to make a complaint about my stay at your hotel for the period of 26 Oct to 3rd Nov.I have never been treated with such lack of care in a hotel before. I booked by phone (as I was not getting any response via the internet) for two double rooms. I only received one confirmation by email and for one single room. I sent over 14 emails trying to correct this mistake. I received the reply the day after we arrived in New York!I also called the day before we arrived in New York to confirm that there were four of us and also to request for transport to the hotel from the airport only to be told after 35 minutes of international telephone call that the hotel does not provide transport!When we arrived we found little 'childish' cards playing music to us stating that the staff will do everything to make our stay comfortable. On the sixth night I developed an excruciating back pain which I can only attribute to narrow uncomfortable beds in the hotel. It is the first time I have suffered from back pain. It started gradually and reached a peak after a few nights. After taking some pain killers, I asked the reception for a hot water bottle . I waited for 20 minutes just to be told that the hotel does not provide hot water bottles either! I mentioned this, the next day, to Joshua Wills at the desk.He said that he will look into it. I also told him that I had sent numerous emails to the hotel regarding the mistakes in the reservation as well as my enquiries about the transport and had only received a reply after my arrival. He asked me to forward the emails to him and he would look into those too. I did so immediately. Later I went to settle the bill. He gave me a bill including a charge for an extra movie which we had not watched. I asked if he had recieved the emails that I forwarded to him. He said no. I checked my email and noted that they had indeed been sent and precisely to his email and he had recieved it but chose to deny it because he could not be bothered checking his mail. I will not go into further details but this hotel has been given a rating of four star and that is quite amazing considering its facilities which hardly comes up to two/three star anywhere in the world. I have never posted a complaint before. In fact I don't usually like to complain but this experience was just too much to bear. I SHALL NEVER STAY AT KIMPTON HOTELS AGAIN.Mrs M. Howells	
Oct 29 2007 	OK hotel but I'd probably look elsewhere next time	I stayed in this hotel for the first time a few weeks ago, I was there for 3 nights on business. The location is excellent for mid town and the rooms themselves are pretty decent but the bathroom was tiny. The floor I was on also seemed to smell very strongly of cigarette smoke. The room I had was large enough although as it was at the back of the hotel it looked straight at another building’s air conditioner units. This turned out to be a bit of problem as these air conditioners are very noisy. The air con unit in the room made so much noise that I turned it off and opened the window only to find that the units outside made even more noise, so I struggled to sleep well while here.Overall I would say that the location and hotel bar are good (as is the food they serve in the bar), but for me I will try a different hotel next time I’m in NY.	
Oct 24 2007 	Great Hotel	We have been to New York 3 times now , and this is the best hotel we have stayed in , friendly helpful staff , really nice rooms and a great location . We will return there next time in New York	
Oct 22 2007 	Love It	Read loads of reviews on loads of hotels before taking the plunge on this one. I found a decent price on cityandshow.com and they gave me good information about the hotel and made some great restaurant recommendations.The hotel is decent, really clean, staff helpful and in a nice quiet (if that is possible) part of the City, but within reach of all the keys sites. The rooms are decked out nicely and the bed was lovely and comfortable. The hotel also has a drinks hour for all guests which is a lovely touch and starts the evening off well. I would certainly recommend this place and would stay there again	
Oct 18 2007	Very $$$$ hotel that serves Beringer wine....	On my last day at this hotel I took advantage of the &quot;free&quot; wine hour in the lobby and after paying over $500/night I got a glass of undrinkable Beringer wine. Is that the best they can do when they're raking in that kind of dough? Do they not value their clientele enough to serve them anything better than supermarket wine? Looking at the wallpaper (made to look like marble?) and the 80's formica coffee table covered in wallpaper (which was peeling), I felt like that I'd been had....Everything about the experience felt cheap....You can stay in some wonderful hotels in NYC for $500 -- think grande dame, Central Park, real marble lobby, etc. This place is a knock-off and not a very good one.	
Oct 17 2007 	Nice hotel	70 Park Avenue hotel is a nice hotel in a nice area. We stayed in a King Deluxe room. The mattress is super comfortable and the room is very clean. By New York standards it is also quite spacious. The staff was very courteous and quick to help. The hotel is conveniently located by Grand Central station and the Empire State Building. The hotel is older and the floors squeaked but other than that I have no complaints. We booked through using a code from travelzoo for $200 a night and felt it was a good deal. I would stay there again in the future.	
