	Clean and friendly	I arrived in New York by train and the hotel is located only a couple blocks from Penn Station, so the location was convenient. The price was reasonable for staying in the city. The room was clean (always my top priority).The front desk staff was very friendly. Breakfast was included with the room and included a buffet with cereal, fruit, bread, pastries, coffee, eggs, etc. It was busy during the breakfast rush, but I had no problem finding a table. The wireless was free and worked great in my room.My only complaint is the noise level in the room. I could hear everything in the hallway. My neighbor was in and out of her room all night and I could hear the door open and slam shut every time.	
Mar 13 2008 	good reliable base for New york tourists	Hi this hotel offers good facilities and a great position for tourists visiting New York. as a single traveller the king size bed and room was plenty big enough for doing what you need a hotel room for..sleep!. Bathroom perfectly adequate too and the breakfast whilst nothing special is enough to kick start a busy tourists day.The situation of the hotel is very good with easy access to the subway system.Talking to some other residents it's quite clear that rates vary massively so check as many websites as possible before booking.Foodwise just 100 yards down on opposite side of road is an indian cafe Sagwat, first rate cheap indian basic food highly recommended.	
Mar 11 2008 	great location good value!	Holiday Inn Express, MSG, NYC is a good bargain for those of you who wish to be close to everything while in the Big Apple. The location, at 29th St, is perfect for shopping and sightseeing and there are lots of interesting things around.The hotel itself is above average. The rooms may be a bit small, and the cost is high enough, but it's nice and clean and the building is all new. Also there is free internet access as well as free breakfast. Hot and cold food is served every morning between 6-10.30 AM and it's a good breakfast. Cereal, bagels, yoghurt and fruit as well as omeletts, sausages and pan cakes are on the menu.I would definitely stay at Holiday Inn Express MSG again!	
Mar 11 2008 	Clean and Friendly	I was recently in New York City for a church conference. I received a discounted rate of $209 per night for a king bed. I took the M60 bus and then the #2 train to Penn Station. The hotel was easy to find; only 5 short blocks down from Penn Station and 4 short blocks from Madison Square Garden. Although I arrived a few hours earlier than check in, a room was available. The front desk workers were polite. The room was clean. The room had no funky odor or worn down furnishings. The bed was moderatly comfortable but missing a comforter. There was only a thin blanket to cover up with, other than the two standard white sheets. The room was warm so the blanket worked out fine. The bathroom was small but clean. Housekeeping cleaned the room well during the afternoon. The hotel offers an okay breakfast in the morning. The breakfast consisted of three juices, coffee, biscuits and gravy, eggs, doughnuts, and so forth. If you want something more, there are plenty starbucks coffee shops around (on every other corner almost). There is also a cafe called The Bread Factory located between 35th and 36th. The Holiday Inn Express is ideal for visitors who want a deal and do not mind a 5-10minute walk to visit Time Square. If you need to be closer to Madison Square Garden, there is a hotel called Affina that is directly across the street. The short walk from 29th to 33rd street was not bad. I highly recommend this newly rennovated hotel.	
Mar 6 2008 	Affordable and Comfortable	If you are looking for an afforadable hotel in a good location, this fits the bill.Rooms are small but comfortable.The breakfast is not gourmet, but it is included in the room rate, convenient, and has enough variety that it should meet most everyone's needs. A little crowded and hectic, but overall acceptable.The staff seemed very friendly.Location is great for transportation. Very short walk to Penn station and either Penn Station or 28th St subway.We got the room for $133/night, which seemed like a bargain for NYC.	
Mar 5 2008	Exactly as described on TripAdvisor	As I was looking for a hotel in New York within walking distance of Madison Square Garden, I chose this Holiday Inn Express mainly based on the reviews on TripAdvisor. And I must say, they were spot on. The hotel was relatively reasonably priced for the area, it was clean, nice breakfast, rooms were ok in size, the comfort offered was very nice. And the Garden was a very short walk away... If you need to be in mid-town Manhattan, this hotel is very much worth checking into...	
Feb 28 2008 	Great deal good location easy trip!	Stayed at the HIExpress near MSG from 2/78-2/11/8. Received a rate of $90 on priceline which was FANTASTIC for the area because the massive dog show was in town and hotels were very pricey.This is the 2nd Holiday Inn Express we've stayed at, and I found the service to be quite good again.We arrived early after flying the red eye, and our room wasn't ready (not until 3pm). They did check our bags for free, gave map and suggested some places nearby to check out for lunch while we waited.We found the front desk and concierge staff to be very helpful.. we asked a ton of questions looking for good restaurants. Hotel:Well located, not the nicest street... located in the middle of a bunch of fur wholesalers. Very central to 3 of the train lines, perfect for sightseeing or getting to any other area of the city. Close enough to walk to MSG and many shopping areas. Walkable from time square as well.The free business centre is really useful, open all hours with free printing. (Great for making reservations and printing hard to find maps!)Breakfast was varied, different combination of baked goods and a couple warm items (eggs, omlette/hardboiled/scambled and sausage). Good bagels the first day, but I didn't see them again. Nothing too exciting, and they don't really refill anything so if it's busy and you aren't there early you may miss out. But it does save you some $!Room was fine, i didn't think it was as small as many people have mentioned. I've seen MUCH worse... but yes it would probably be uncomfortable with 4. Big bathroom, good toiletries. Iron in the room. Comfortable bed and bedding.The only problem we really ran into had nothing to do with the hotel really.. it was other guests. Due to the dog show there were many dogs &amp; owners staying in the hotel which was a bit noisy due to thin walls. We were woken up 4:30am by our noisy neighbours preparing to leave for the show. The hotel did try to help and posted signs asking people to curb their dogs.Overall, the value is very high at the hotel. If you get a good deal, it's completely worth it for the location alone.	
Feb 19 2008 	Great value	Stayed here for four nights, $80/night on Priceline - incredible for Midtown. Room was clean, staff friendly - all good.	
Feb 19 2008 	Perfect location.	We were in NYC for an NHL game at MSG. Also took train from NY Penn Station to Newark Penn Station for another game. The Holiday Inn Express Madison Sq Gardens was perfect for us walking back at night after the games (only 2 blocks).Our room was on the small side as everyone says, but I've been in smaller. We didn't have big wheely suitcases so it didn't seem to bother us. I'd say it's a fair, economical size. There was a desk and chair, coat cubbard/closet and tv armoire with drawers along one side and beds with table between opposite.It was clean and comfortable. Quiet except for the neighbor's door. The doors slam and our neighbors weren't considerate. The doors were right next to each other in a small hallway so that might have increased the noise a bit. The bathroom had shampoo, lotion, mouthwash etc. and a wall mounted hair dryer.The subway #1 and #9 were round the corner on 7th Avenue, and the ever popular Duane Reade pharmarcy across the street from that. We ate at two local Bar &amp; Grills; Mustang Sally's and Harrington's. We enjoyed both dinners.Will definitely return to this hotel. One suggestion for travelers using NYC transport - our drivers didn't know the location of this hotel, make sure you do! They seemed like they may have been more familiar with another Holiday Inn, and when we said on 29th between 7th and 8th, they seemed surprised.	
Feb 18 2008 	Great 	I stayed at the Holiday Inn-Madison Square Garden in January and found it to be more than I expected. It seemed like it was in somewhat of a bad neighborhood when we first got there, but then we realized that the only really nice areas of the city seem to be in Times Square and parts of midtown Manhattan/Central Park areas. So for the price we paid ($113/night on Hotwire.com), it was worth the stay. I never spend much time in the hotel rooms when I am on vacation anyway, so we used the room for sleeping, showering, and ate breakfast. The rooms were somewhat small-not alot of room for moving around or storing luggage. They were basically big enough for the beds, desk, and entertainment center. The breakfast was great! I was expecting a small cold toast-bowl of cereal continental breakfast, but it was far from that. Different meal everday, consisting of everything from omelettes to biscuits &amp; gravy to pancakes. Very good. The staff were very nice, housekeeping was great, hotel was clean. Another great thing about this hotel was the location (which is usually why I pick the hotels I do). We had a view of the top of the Empire State Building from our room, which was a site to see, especially at night. It was a block from Madison Square Garden, in the center of Manhattan so about 30-60 minute walk to the tourist parts of Manhattan, but the subway was also only a block away and we used this to get pretty much anywhere we went. It only cost about $12/person for the 5 days we were there. The only thing I wished was different about this hotel was the fact that it did not have a pool, however, Holiday Inn Express does not usually have a pool, so I can't complain about this particular one. Also had complimentary newspapers, free internet, vending machines, coffee/hot chocolate/juice in the kitchen 24 hours, and within walking distance to a convenience store and some good places to eat. I would recommend this hotel to anyone.	
Feb 17 2008 	Great value!!	We headed into NYC from the burbs to see a band we love and wanted an affordable place to crash after a late night. This Holiday Inn Express fit the bill perfectly. Check-in was quick and easy and as a priority club rewards member we both received complimentary bottles of water and chocolates. We paid $129.00 + tax for a non-smoking, king bedroom on the 9th floor which faced 29th. The room was very clean and the bed was made up with the comfy upgraded bedding found in most Holiday Inn Expresses. The room was on the small side but more than adequate and the bathroom was super clean and perfect for our needs (included all the usual amenities- shampoo, conditioner, bath gel, bar soap, lotion, mouth wash and a shower cap). The complimentary breakfast included the usual HI Express items (cinnamon rolls, toast, muffins, bagels, fresh fruit, yogurt, juices, cereal, tea, coffee, hot cocoa, hard boiled eggs and a few hot items including french toast sticks, hash browns and omelets). Even at 9:30am on a Saturday morning we still found all the choices readily available (breakfast runs from 6:00am - 10:30am and the hotel was packed). The hotel is located a very short walk from a subway station (at 7th and 28th) and if you walk a couple blocks east you will find many nice dining choices. We also opted to park at the Central Garage on 28th, between 6th and Broadway. With validation from the HI Express parking at this garage costs only $24 per 24 hour period. The hotel also checked our bags free of charge so we could roam the city unencumbered before heading home. It was a great deal in my favorite city!	
Feb 17 2008 	Perfectly acceptable	Hotel is located a couple of blocks from Madison Sq Garden, so it's a bit of a walk to Times Square. Subway picks up at the Garden though, so you can still get around easily. We pricelined this for $104 and the room included breakfast for all (buffet, typical Holiday Inn, which really isn't that bad) and free wi-fi. Parking was a bit of a mess- the hotel has a contract with a garage a few blocks away- it's about $30/24 hrs. There's a lot directly next door that's $36/day. When we checked out we put our bags in the car and came back for it later in the evening, so it was nice not to have to leave the bags with the hotel or roll them down the street to our car.I would stay here again if coming to the city on the cheap. Hotel lobby was clean, rooms smelled fresh (but were very tiny- don't recommend for more than 4 people), no major noise issues.	
Feb 16 2008 	Great Hotel in a great location	We were looking for a hotel for our New Year's Eve Holiday. Most places were outrageously expensive but the Holiday Inn Express near MSG was just perfect.It is spotless and the staff is very friendly.The breakfast was great for the price and plentiful.The location can't be beat. A couple of blocks from Madison Square Garden (MSG), lots of subway stations, walking distance from Time's Square, Empire state, and all the shopping areas you may need (my wife loved this)!The staff told us about a shuttle that leaves from MSG and takes you to the buses for the JFK or Newark airports, so you save a lot vs. the cab fare or the hassle of carrying luggage in the subway. We have absolutely no complaints and will definately stay there next time we're in town.	
Feb 12 2008 	Great experience -- would definitely return	Looking for a cheap place to stay in New York, we booked a room on Hotwire for $120 and expected the worst. Instead, we found courteous staff, and a spotless room stuffed with all the amenities. Besides the free continental breakfast, they also offered snacks and coffee throughout the day. The location was hard to beat, with easy access to two subway lines and all the taxis you could hope for just half a block away.I would also like to note, the desk clerks were not phased in the least by us clearly being a gay couple.	
Feb 11 2008 	Pleasantly surprised!	Very pleasantly surprised.I got a great deal on priceline at $86./nt and I thought a HI express would be very plain.The staff was very nice.The rooms are nice very neat and clean and classy,a little small but typical for NYC.They also have 3 computers with FREE internet for guest use downstairs.	
Jan 29 2008	Great Stay!	My mother and I stayed at the Holiday Inn Express Madison Square Garden, and we enjoyed it. We didn't have the greatest view or the largest room, but then again, we were only looking for a place to sleep since we were out so much. We were only two blocks from Penn Station...which was great since we went into Brooklyn several times during our stay. We also enjoyed the free breakfast (although it was a madhouse each morning) because that cut down on expenses for us. There were even snacks, coffee, and tea waiting for us in the lobby when we returned each night!The only complaint I have is that there were a group of high school kids that stayed on our floor one night. They were loud and obnoxious...but that had more to do with the kids than the hotel.All in all, I would stay again!	
Jan 20 2008 	Clean and Nice NYC hotel	My mom and I stayed here for a 3 night weekend. We found it to be a very nice place to stay. We only paid about $140 a night, so considering that, it was a great place for the money. The staff was quite icy and tried to put us in the worst room possible because we booked on priceline. I had to beg for a non-smoking room. But, once we got to our room, it was a decent size for NYC and very clean. The beds were very comfy and the bathroom was nice too. It is located only a couple of minutes walk to the #1 subway line. The breakfast was good for a continental. I would stay here again if the price was right.	
Jan 18 2008 	GREAT Customer Service!	My husband and I arrived on a red eye from the West Coast at around 8 in the morning, and not only did they find us a room to freshen up, but they had breakfast waiting and free!Granted, it is not the best breakfast you have ever eaten, but it is free (or included in the room price if you want to look at it that way) and very convenient. In addition to a large selction of muffins, rolls and pastries, they serve cereals, juices, toast, bagels &amp; cream cheese, and some hot items every day - scrambled egg or omlet, bacon or sausage. I prefer bagel or cereal to the hot stuff.Our room was lovely, small as all New York rooms are, but clean and comfortable. We had a jacuzzi tub which was wonderful after a long day walking around in the cold city.The hotel is close to Penn Station and so with a short walk, you can get anywhere on the subway or buses - buy a metro card. Free use of computers in the basement for checking out restaurants or tourist info. Everything we needed was taken care of quickly and courteously.I would definitely stay here again!	
Jan 15 2008 	A great place	nice hotel rooms very clean cleaned every day staff very helpful and friendley breakfast excellent good selection of food hot and cold would stay there again.well done holiday inn and staff	
Jan 13 2008 	Great Stay!	I just wanted to say we had a wonderful stay at this hotel. Check-in was quick and easy, The front desk staff was pleasant. Our room was nicely sized for a NYC hotel room. The bathroom was small and poorly set up, but did the job. For anyone interested, shampoo, conditioner, lotion, body wash, soap and mouthwash were provided. The room was very clean and the amenities were great. I was able to accept a fax at the front desk, use the business center to get online and print, and they also had a fax/copier down there but it was out of order during our stay. The complimentary breakfast was great - sausage, eggs, toast, biscuits, yogurt, cereal, donuts, muffins, and much more. It appeared that coffee was available throughout the day and a complimentary USA Today was available outside the elevators so make sure you decline to have it delivered to your room saving you $.75/day. The 1/9 subway line is just around the corner which was convenient. Make sure if you need any snacks though to get them early in the day as the drug store on the corner closes quite early (9PM maybe?) and there isn't much else close by. Another example of their helpfulness - I had a bunch of stuff to ship home. I asked the front desk if they had a box and packing tape. She told me I could use their packing tape but I would have to go buy a box at fedex - I asked one of the housekeeping staff though and they were more than happy to empty a box for my use. We got a wonderful rate through hotwire. Again, we had a GREAT stay this trip and I would highly recommend this hotel to those who are looking for a nicely priced, clean place to stay in NYC.	
Jan 10 2008 	A plus plus plus	Great hotel for the price... in fact, I felt like we didn't pay enough for what we got. Free computer/internet access downstairs w/ a printer, free morning breakfast (hot and cold: hash browns, toast, muffins, cinnamon rolls, etc only thing is you gotta wake up early for the good stuff before it's gone). Located right near the subway entrance on 28th street (when you leave the front entrance of the hotel, take a right, then another right and you'll see it right there). Also a Duane Reade drug store is right there. Great stay, great experience, would definitely stay there again in the future.	
Jan 8 2008	Better than Hudson Hotel or Club Quarters Downtown	I stayed at Holiday Inn Express, Hudson Hotel, and Club Quarters Downtown and the Holiday Inn was my favorite.For the price, this place can't be beat.Pluses- Newer rooms, mine had a King sized bed and bathtub. The toilet did get plugged once but the service was very speedy.- Free breakfasts, get up early to avoid the rush and get doughnuts.- Friendly staff - 3 different people helped me with directions.- Quiet rooms - The Hudson Hotel was very noisy in comparison- Regular TV without ads when you turn it on.- Free coffee and juice all night- Subway 1 line is one street down.Negatives- Only 2 elevators makes it pain to go up and down in the morning.- The room was pretty small, only two suitcases could be opened- Congested lobby during breakfast	
Jan 8 2008 	Very good deal well located clean	This hotel is very well located, near subway stations and in the middle of NYC which allows to easily go West / East or North / South.Even if rooms are pretty small, they are comfortables and clean, and bathroom seems to be brand new.The only weakness would be the breakfast room, pretty small compared to the number of people that rush into it between 8am and 9am, but having breakfast outside the hotel in NYC is so nice that this weakness did not seem important to me.Last point, I used Priorityclub points to pay the hotel, so I am not able to judge price to quality but would easily pay 200$ to stay there (according to NYC standards, this hôtel is well priced).	
Jan 7 2008 	HI Express Madison Square Garden	We stayed in this hotel from 28th December 2007to 4th January 2008 and found it to be clean and comfortable. The room wasn't particularly large but more than adequate for a weeks stay. The jacquzzi bath was a nice touch after a long cold walk in the city and the room had a big tv as well as hairdryer and coffee machine but no kettle although the catering area in the lobby had hot water and juice available 24hrs. The hotel stored our bags for a 2 dollar fee per bag and the staff were helpful although they didn't have a clue about how to contact a doctor for medical advise. The hotel is within very easy reach of 28th st subway, Madison Square Garden and Macys and several manned taxi ranks are a few blocks away. The only bad points were the crowded breakfast area in the morning - get there before 8 to get a table and the continual thump thump from a nearby nightclub that started at 10pm and didn't stop 'till 6 the next morning. Our room was at the back of the hotel so I don't know if the rooms overlooking the street were affected. Overall a pleasant stay but I can't help thinking that spending an extra couple of hundred dollars to stay the Marriott or Sheraton would have been a better stay.	
Jan 4 2008 	Good Value	First, I have to admit that I used my hotel points for this stay, so I think I got a fantastic value! The hotel is in good condition and in a convienient area to get to any location on Manhattan. Taxi's are readily available, and the subway is a short walk away. The free breakfast was good, but it was fairly typical of a Holiday Inn Express. The rooms are on the small side, but comfortable, well appointed and clean. What made this hotel stand out to me was the attentiveness of the staff. I travel for work regularly and it is rare to find Holiday Inn Express staff this enthusiastic to help tourists. The people offered the &quot;WOW&quot; factor here. If assistance in getting around town is important to you, then you will find this hotel worth the money! The parking garage is a few blocks away. If you have to park, drop off your bags first, it is a bit of a hike. Again, I didn't pay for the room so, I was more than pleased with the value. I think if I had paid more than $250 a night, I would have felt like I didn't get anything special.	
Dec 31 2007 	Excellent value location and service.	I don't usually write a review after a holiday but after staying here I thought I should. We came to New York for a few days before christmas and it was by far the best hotel I have ever stayed in.The room was quite small( but why do you need a big room???)that was the only slight negative I had.We arrived about 4 hours early and they allowed us to go to the room early which a lot of hotels don't.The location was great as it was near to most of the places people go to New York for.Room was very clean, Bed and TV were quite big. Nothing was too much trouble for the staff i.e. safety deposit box, directions etc.Breakfast was great (very good selection of fruits and cereals and sausage and egg).Coffee and Tea available all day long.When I come back to New York again I will definately stay here again.GARY	
Dec 27 2007 	NYC Myth Buster!	This was an amazing hotel with amazing service. This was our families 1st trip to NYC and this hotel provided everything our little country crew from TEXAS needed. The staff was excellent and very courteous. Our visit was during Christmas and the front desk provided everything I forgot from a Phillips screwdriver to local directions. I even got advice about how to buy knock-off bags while in the city. The rooms were small but extreamly tidy and clean. The bathroom provided me with the evening escape that I usually take at home with a nice bathtub for a warm bath.The free breakfast was a great start but nothing major; bagels, toast, sausage, oatmeal and fresh fruit.I will stay here again and again.	
Dec 16 2007 	Good Location 	Small newer hotel in a great location, parking right next door for $36/day...Very clean rooms and breakfast area...Inexpensive for the City ($250/night)...Very short walk to Madison Square Garden area/Penn Station for subway...Nice employees...Very comfortable bed and pillows...Our only &quot;issues&quot;: Small rooms (but who cares, you aren't going to be in your room much anyways), and garbage truck pickup in the wee hours of the morning woke us up each night (our room faced the front-29th. St.)	
Dec 8 2007 	Better Value Hotels now open in Chelsea	Stayed here three times now and each time the hotel is losing its charm. When it first opened everyone was so friendly. Now check in will not try that extra bit. First two rooms we had were with the Whirlpool tub but this time they were sold out. The Whirlpool rooms have a glass wall in the main room with a door that can be opened so seem much larger than the regular rooms which I found tiny this time. Maids do not seem to care about what noise they make- this starts at about 7am. The rooms are also very claustrophobic. Fine for one night but if you are here for a week as I was you want some light. Breakfast is a mad house and although free I preferred to walk down the road and avoid the mayhem. This time staying at the Hilton Garden Inn on 28th Street just a block away and the rooms are twice as nice. Really comfortable beds, flat screen TVs with hundreds of channels. Best still the Breakfast is possibly the best I have had in NY in this type of hotel. One big complaint is the elevators- only two for 169 rooms.Service is also so much better than at the Holiday Inn Express.	
Nov 30 2007	Good Hotel	Stayed here with 3 friends over Thanksgiving Weekend and got a good rate on lastminute.com (2 rooms at £300.00 per room for 3 nights).This hotel is in a very good location for shopping, sights and transportation, and we did not feel unsafe at any time.Rooms are clean but very small which meant that after our daily shopping, we had to pack everything away rather than leave things in a corner as you would not have been able to move around the room. Breakfast was fine (except the pancakes - dry around the edges)since it was free; hot and cold drinks available day and night which was nice. Local calls are also free which was very useful.The hotel charges $2 per bag to store your luggage.I'll definitely stay here again.	
Nov 26 2007	Holiday Inn Express NYC Madison Square Garden -No problems	Nov 26/07We stayed for two night Nov. 22-24/07. Had no problems at all, staff was very friendly and accommodating. Phoned ahead and got into our room at 9:30 am. Close enough to all of NY sights and sounds, but quite enough to sleep. Rooms very small but we were not planning to be in there much anyway.	
Nov 15 2007 	Superb location but the bedrooms are only good for dwarfs!	The location is excellent , being only three blocks from Penn Station, four blocks from the Empire State Building and well within just ten minutes walk to Macy's, Time Square, several subway stations, restaurants, etc, so there's no need to worry on this account!Built in 2004, in a city where space is always at a premium, the architects obviously figured on cramming in as many revenue generating rooms into as small a footprint as possible, so its a compact hotel, but with helpful and extremely friendly staff. This said, (typical for NYC), the rooms are small. Very small. In fact, they are so small, that you can turn the light off at night and be in bed and asleep, before the rom goes dark.....but again, this is NYC and therefore, this is to be expected!This said, the bathrooms, (the 'small' bathrooms), are clean, modern and well appointed, the rooms are well presented, the beds are very comfortable, the elevators, (two), are slow, but they work and whilst the included breakfast may be 'Continental', there's enough choice for everyone, with all-day coffee being a nice touch.Affordable rates, an excellent location, great staff and high standards, all go to make this a very attractive place to lay your head for a visit to New York, even if the rooms are more than a little on the compact size! (That's English for small).Recommended for short people, or those who, if sharing a room, know each other very well. Not recommended for anyone with claustrophobia!!!	
Nov 8 2007 	Great Location...Better than most hotels in the area	Small room, but pretty standard for New York. When we first arrived, our room had a foul smell, but we were quickly moved to new room, no questions asked. (It turned out the foul smell was from the AC unit when switching from AC to Heat to AC, etc.).Bed was above average. Shower head was nice and high so those of us over 6' don't have duck under do wash our hair. Nice complimentary breafast every morning and usually had eggs and some meat (sausage links or patties), waffles or pancakes, juices and coffee, as well as some pretty good cinnamin rolls. Juice, coffee and water was available for free 24 hours in the lobby.Three block walk from Penn Station/Madison Square Garden and restaurants of every ethnicity are within 2 blocks any direction. Local placed delivered which helped make up for the lack of room service.We flew into Newark and took the trains back and forth and to wherever we needed to go. Path, NJ Transit, 1,2,3 and A,B,C lines of Metro, and Amtrak all in one place...perfect if you want to skip the rental car...which we did.Free in room wireless as well as a computer room next to the gym. Three computers with printers so you can print directions and boarding passes, etc. We had associates staying at other hotels in the area and from their descriptions, we made out way better, especially with the newness of the rooms and free breakfast.There was an onsite concierge, but we didn't use him/her...but they were always there in the lobby.Definately a recommend for tourists and business travelers without a car. Didn't seem to have much for kids, though, but it was right in the middle of Manhattan..so not a kid friendly type of place anyway.	
Nov 5 2007 	Good hotel in great position	Stayed at this hotel for a week in late October, got a cab from the airport ($45 plus tolls and tip). Room was ready when we arrived at 3.30pm. Rooms are small but perfectly adequate, there was the two of us plus our 12 year old daughter, and we never felt the room was too small. Bathroom very good, clean and new. We had a view of the Empire State from our room! Room was cleaned rather late in the day around 3 or 4 pm but was not much of a problem. Did not experience any noise only a few slamming doors but no noise from rooms either side. The location is fabulous, a short 15 minute walk to Times Square with plenty of restaurants and shops, the subway just round the corner on 28th St. Other subway line which takes you directly to 5th Avenue from 8th Avenue at Penn station.Breakfast was very good seeing as it was free! Plenty of fresh fruit and cereals etc. Appreciated the coffee and juice available anytime.Very nice garden terrace to sit after a busy day, and very handy business centre downstairs to check emails etc. we even managed to check in online for our BA flight home!!All in all would recommend not the most luxurious but very clean, comfortable and very good location	
Oct 26 2007	served its purpose but don't take the shuttle	Stayed here Sunday through Thursday of last week. We arrived at the hotel early (which we planned) asked if we could leave our bags until we checked in, no problem, but it costs us $2 a bag. Came back at 3 pm and our room was ready. The room was clean, and very comfortable, a bit on the wee side, but convenient for me because the class we were taking was directly across the street.The breakfast was good, you had your choices daily of pastries, breads, muffins, fruit, yogurt, cereal, there was always an egg of some sort, like an omlet one day the next a scrambled one. Always a meat like the sausage. Its the first hotel I've ever stayed at that offered all this for FREE.One thing I would tell you for sure is don't take the hotel shuttle back to the airport when you leave. They tell you they will pick you up and you'll get to the airport at a certain time, but in my case they were late picking us up by 30 mins, and then made 4 more stops for people and we got to the airport alot later than we wanted to.Just call a car company, we used one to get to the hotel and it was $32 for two of us.Subway is right around the corner on 28th street. If I ever go back to New York I wouldn't have a problem staying at this hotel again.	
Oct 25 2007 	Good location Basic Hotel	We booked this hotel late, so hotel price was quite high - about $475 per night. This however is a basic hotel and for about $170 per night I stayed in one of the best hotels in Tokyo, right in Ginza. But this is New York and basic hotels at short otice command very high prices.The location is very central however and places like Time Square would only be about 15 min walk away.The breakfast in the hotel was basic, and like all american food, loaded with carbs, - you had cereal but the yoghurt to put over it was sweet, and the juices (Cranberryetc ) also came sugared. The bathroom in the room was fine and so was the room - quite acceptable as a place to stay but not in any way luxorious. However the awalls in these rooms are paper thin - you could waisly hear people coming and going or even speaking in adjoining rooms.The area around the hotel is quite rundown, but seems safe - I never felt uneasy around it evn though a lot of constructon was going on resulting in poor lihgting and scaffolding all over the palce.If I were in NY again I would happily stay at this hotel if the price were considerably less.Best Shopping is in Jersey Mall.	
Oct 17 2007 	What a dump this place is...	This place was a dump. We arrived at noon and they wouldnt allow an early check in. Someone was coming to get my bag and check it and then they forgot and the manager FINALLY helped me.After a late dinner, we got back at midnight and it still took forever to check in. Got to my room and someone was inside of it cleaning it! I want back downstairs (Im very tired at this point) and they basically didnt have a room for me and I waited and waited. They assured me earlier in the day that checking in that late wouldnt cause any issues.Finally, they gave me a room on the ground level - lucky for me it was right next to the maids cleaning rooms and they were chatting up a storm starting about 5am. Then as breakfast started at 6am people were shuffling around and making more noise.The breakfast was barely edible. AVOID this place at all cost. Too much hassle and noone seemed to truly want to make things right.I was ready to give them some feedback when I checked out and nobody even asked me how my stay went.	
Oct 17 2007	good position	Just returned from a touring holiday in North America and this was our first stop.Location was very good as we were able to walk to most of the sites we wanted to see.Central Park was about 40 mins walk (would have been quicker if it wasn't for all the traffic lights!). We thought it was a better view from the Rockerfeller Tower than Empire State and a lot shorter queues.Subway was just around the corner,loads of restaurants nearby,helpful staff,would definitely consider this hotel if we were to go back to New York.	
Sep 8 2007 	Good Value	I just returned from a stay at this hotel and would have no problem staying there again.It is a short walk up 7th Ave to Times Square and the Theatre District,about 15 minutes.It is also close to many Subway lines so you can get around the city easily.Rooms are small but you aren't going to New York to sit in your room.One drawback is only 2 elevators so at peek times you might have a short wait to get one.Also no express checkout from your room.I saw some long lines at times waiting to checkout.Area around hotel looks a little doubtful but I had no problems during my stay.Free hot breakfast is a nice plus.Also staff was very helpful in answering any questions .Well worth what I paid.	
Sep 3 2007 	Pricey but beautiful comfortable and very well situated.	My husband, daughter and I stayed at this hotel when we were dropping off my daughter at college (just two blocks away). This hotel is beautiful - the rooms are very nice, the beds are extremely comfortable. The staff was very accommodating - our room looked out over the back and was sooooo quiet.... It's not a huge room but a good size for New York (and keep in mind that we had five huge pieces of luggage in the room which did not get into our way at all!). The hotel is an easy walk to Times Square, but it is about 8 blocks away or so. Breakfast was great - we just had an excellent experience here. It is not the cheapest, but you could pay a whole lot more for less also. We would definitely stay here again!	
Aug 31 2007 	Loved it!	My husband and I spent 5 days and 4 nights at the Holiday Inn Express NYC Madison Square Garden. We loved it. The location is great - safe and fairly quiet (even in the front of the building), though you can hear doors slamming if other guests aren't careful. The rooms are small, but all you are doing is sleeping there. The rooms are updated and clean. Breakfast is great - hot and cold foods. Just get there before 10:15 a.m. The guests have usually eaten most of the food and the staff starts clearing everything away. The staff at the desk are friendly enough, and the concierge is helpful in pointing you in the right direction, helping you book tours, etc. We travel fairly extensively, but our focus is always on the city, not the hotel. If you are looking for luxury you won't be looking at a Holiday Inn Express anyway. With this little hotel, you get exactly what you expect: good clean rooms at a low rate (we paid $180/night through Priceline - which is a great rate for NYC), a substantial breakfast, with the perfect location to walk the city, grab a subway, etc. We highly recommend staying here and would do it again. Oh - and try the cinnamon buns - they are awesome!	
Aug 29 2007	Nice hotel good location	Just returned from a 3night/4day stay at Holiday Inn Express in Chelsea. The hotel was sold out for almost the entire stay. When a hotel is sold out you can usually expect some problems. However, during our stay we didn't experience any problems except for maybe long wait times to use the elevator.Overall, the Hotel is clean and neat.The room we were assigned was right next to the elevator which makes it smaller than other rooms to start with.For whatever reason, even in this small room they chose to put in a king size bed.I appreciate a big bed, but a big bed in a small room makes for limited space, but it was not a problem.Bed was comfortable too.The temperatures hit the low 90's over the weekend with high humidity, but the airconditioning in the room kept it cool without a problem. The breakfast provided by the hotel in the morning was excellent. Even tho the dining area was packed constantly with dozens of people coming and going, they never ran out of food and the dining room never got messy. Appreciated the food very much.We would definately stay at the Holiday Inn in Chelsea again.	
Aug 26 2007 	Very impressed	We have just stayed here for 4 nights and found it overall very good in many ways. Room was quite small but it was fine for what we wanted as we were out most of the time. It is well located for many things and easy walking distance for the subway. Breakfast was good too. Very good value for money.	
