	Excellent location everything else was so-so	We stayed there for 7 nights - in 2 different rooms. Both rooms were noisy in the morning and you can hear people talking loudly and slamming doors. The second room we had was just next to the rooms where they were renovating which may explain the noise - not sure about the first room. The staff were mostly ok except for this grumpy lady in her 30s who was awfully unhelpful. They provide lockers at $2 per usage if you need to leave your bags at the hotel after check-out. The first room we had was very small but the second was slightly bigger and newer. The selling point for this hotel is its location at 31st &amp; Broadway which is 2min walk from Macy's and 1min walk from the subway which is just 1 stop from Times Square. Me and my wife were there on Thanksgiving and we could catch the parade literally just around the corner. Yes, if you need a cab, get one off the street for one yourself, as the reception charges a ridiculous price. Room comes with free Wi-Fi internet access and LCD tv with HD channels.	
Jul 4 2007 	Charming hotel	Had a lovely stay at the Herald Square hotel in NY. Choose it because of the location in the centre of the city close to a.o. Empire State Building, very good price, and experiences from other travellers on this website. It is a simple, small hotel, but everything you need is there. Room and the rest of the hotel are lovely decorated by pictures from Life magazine. Had a very comfortable bed and very clean room. The view from the room was a wall, but you're only there to sleep. Would definitely stay there again and recommend to others.	
Jun 27 2007	Great hotel great location	The HSH was great! Is was one of the cheapest hotels I could find in NYC and I was so glad when I got to my room. I didn't have much sunlight but that wasn't so bad. I had a bathtub, free cabel-tv and a great bed and great pillows, what more could you wish for? The facilities in the hotel were great also, an ATM, laundry-room, internet-computer, free coffee (great coffee too!) 2 phonebooths and a soda-machine. No breakfast or dining but the Dunkin' Donuts is just around the corner. I'm not used to staying in hotels but for this money, I would stay in this hotel again if I even go to NYC again...and I will.	
Jun 26 2007 	Good NY hotel for the price	I booked this hotel after reading the reviews on tripadvisor and was quite pleased with what we got. Hotels in NY are generally horrendously expensive for not very much, so we were quite happy with the price and location. It was only a couple of blocks from the Empire State and a short walk from Macy's. We generally didn't spend very much time in the room (we were in New York, after all) but it had A/C and cable TV (although the channels tended to drop in, drop out a little bit...) The room was very clean, although a little small - but after travelling in Europe a pleasant surprise. Also, they gave us a 10% student discount, which I thought was great - you have to book through their website though. Overall, I would recommend it to others :)	
Jun 18 2007 	single room	I stayed in a single room with bath at the cost of $99 a night. This is a great price for NYC. When I booked this room I was told it was a very small room, so I was prepared. The room itself was in the back of the hotel on the 5th floor. It was about 8 X 10 feet in size plus a private bathroom with a tub. The room was very basic, it did have a window that opened on to a air shaft. It allowed light to enter, the view was to a solid wall of a building. My bed was very comfortable and had only one pillow. The room was very clean. I did have one instance of a bug, when I called downstairs they offered to change my room and spray.The staff at this hotel were very friendly and helpful. I did enjoy the tea and candies in the entrance area. The hotel had two elevators. A great location, very close to Penn Station. I do recommend this hotel. Be prepared for a very tiny room if you choose a single. I will stay here again.	
Jun 15 2007 	An Affordable Hotel for a Family looking for Adventure in NYC on a Budget	I am a faithful tripadvisor user and trusted the reviews on this site and, boy, they did not let me down. The Herald Square Hotel was an affordable option for a single mom and her children. Not only did we save money, but we did so in comfort, cleanliness, and with a great location.As mentioned before, the beds are pure heaven and we all got five great nights of well-needed sleep. Our room faced the street and there was never any distruptive nights due to the noise from the street. The bedding and linens were equally nice and VERY clean. I was shocked when I got there and found that each bed had FOUR fluffy, comfortable pillows. I am a person who sleeps with at least two pillows and was estatic to see I would have two pillows without having to call down to the front desk.The room itself was a spacious double room that was well-maintained and cleaned daily. My kids had plenty of room to move around and I felt comfortable with them playing on the carpet with their toys. I was in one of the rooms that had not been refurbished, but the bathroom was fine. It was clean, had plenty of hot water, and fabulous fluffy white towels. One day we left the room early and came back for a mini rest pretty early in the day. By 9:00 am our room was already cleaned. That was a nice surprise, too. The hotel is located at 31st and 5th and has two convenient subway stops that are easily walked to. For eating, there are Speedy's, Dunkin Donuts, and Empire Pizza, all for a quick bite to eat. There are even two pharmacy stores (CVS and Duane Reade's) close by. With two kids, it seemed I had to pop into a pharmacy at least once a day...allergy medicine, snacks, etc.I also have to say that the staff was really friendly. The staff always greeted us and asked how our day was and what we planned/had done for the day. I was impressed because they always greeted my children. We enjoyed the complimentary coffee, hot chocolate, and biscotti. I highly recommend the Herald Square and plan to stay there again if I am lucky enough to visit the Big Apple again. This was a very FAMILY FRIENDLY hotel. love the NYC and the Herald Square.	
May 27 2007 	Excellent budget hotel	My husband and I stayed at the Herald Square Hotel for 3 nights in May and I can't recommend it highly enough. Having booked it as a budget hotel for a price much lower than I'd found anywhere else I was a bit worried about what we'd find when we got there. However the room, which had been recently refurbished I think, was a decent size,spotless and newly carpeted. The bed and bedding were really comfortable and clean. The private bathroom also spotless with bath and shower and clean white fluffy towels provided every day (bath was slightly short but not really a problem!). We had a room-safe, wardrobe with sliding mirrored doors and a little dressing table with large mirror and chair. Also bedside cabinets and cabinet with TV and storage underneath (old TV but we hadn't gone to NY to watch telly!). Nice little lounge downstairs in the foyer and area with tables and chairs in case you wanted to pop out to nearby bagel place and bring back breakfast, and a free hot drinks dispenser with coffees, hot chocolate, teas etc , tea bags of every variety and even a bag of Hersheys Chocolate Kisses or Mints to help yourself from!We found staff to be friendly and helpful, one arranged for the shuttle service to collect and take us to the airport when we left.The hotel is 5 minutes from the Empire State Building (go when it opens at 8am and you will be first in there and no queues) and within easy walking distance of lots of places you want to see, subway also. Maceys is round the corner and leave the hotel, turn right and walk down the street and you will find a friendly Irish pub (O'Reillys) serving nice food at reasonable prices.I would definately stay there again. Actual location of hotel is down a slightly dark and dingey looking side-street but we felt safe enough in the area walking back at night.	
May 22 2007	great memories	This hotel, for my husband and I, was what we wanted! A place to go in, dropp our gear go out and paint the town red and then finally sleep. Its hotel was great for people who are likley to be staying out in the city mainly.The bed was fantastic. It was clean and so comfortable I miss it. Its not a lap of luxury but you do find it a nice surprise as it has what you need from a standard hotel in it. The staff were all honest and helpful I would return back to it next time.	
May 21 2007 	Wonderful Hotel!!	My husband and I recently stayed at the Herald Square Hotel (May 18 - 20) and it was a wonderful experience!! We stayed in one of the newly renovated rooms and were very pleased with our experience. We arrived at the hotel at 1:30pm and were able to check in even though check-in was not until 3:00pm. Our room was spotless! It was smaller than we expected, but very, very clean. I have stayed at many hotels, including the Ritz-Carlton and Four Seasons, and this hotel room could compete with those in terms of cleanliness. When it was time for us to leave, the hotel called us a car service, which arrived on time to the minute! The hotel location was also great!! It is near a shopping mall and many restuarants and subway stations. For New York City at this price, I think this is the best you are going to find. My husband and I will not hesitate to stay here again!!	
May 20 2007 	Medium opinion	Good location. Average (but clean) room. The staff is not very friendly. It is strange to find the reception behind a glass wall (as in an adminstration). Breakfast is not included and there is no breakfast on site. (The only service provided is a free coffee/tea/chocolate machine). We decided to buy our breakfast in a very good bagel's shop on 5th avenue, to bring it back to the hotel and eat it in the lounge using the free coeffee machine.	
May 17 2007 	Totally unacceptable hotel experience	I recently stayed here for four nights, at an average cost of over $200.00 per night, largely based on favorable recommendations, the hotel's charming website, and the location. What a total disappointment! The hotel door was locked when I arrived at mid day, and I had to attract a staff member's attention to &quot;buzz&quot; me in. The two surley receptionists were in a cubicle behind what appeared to be bulletproof 1 inch thick plexiglass, with a tiny slot at the bottom to slide your payment through. My7th floor room was dark, cramped and equipped only with a small TV mounted near the ceiling, almost impossible to see except from the bed. The window opened for scant ventillation to the stuffy room, but the neighborhood is noisy, and the open window made it more difficult to sleep. The only good thing about the room was a comfortable queen bed. Housekeeping did a good job daily as well. But the reception staff remained surly the entire time. To get a hair dryer, they required a $20.00 deposit, with firm instructions that it was not refundable unless the hair dryer was returned in person to the reception desk. As a final insult they failed to call a cab for me, as promised, and I nearly missed my flight to JFK. BEWARE! This place is a dive, overpriced and poorly represented here and in their overly optimistic website. Never again!	
May 14 2007 	Perfect for first time to New York!	I had a great experience at this hotel last August. It was my first time to New York and I am poorer than dirt, but also like my privacy so didn't want to stay in a hostel. I had a very small room with an ensuite bathroom, TV, free wi-fi, and safe. It was everything a young single girl traveler would want. Located in Mid-town Manhattan so I was able to walk everywhere and there was also several subway stations nearby. I felt completely safe in my room and the surrounding area. They have free coffee in the morning, soda vending machines, lockers, and you can even book tours right there with them. The staff at the front were very courteous, but also very efficient and didn't make me stand around waiting for very long. Also when I arrived there was a nice, little old man walking around the lobby telling the story about when the building used to be the newspaper headquarters and handing out keychains as a gift to the new guests. This is a budget hotel, but I feel like you really get a good deal here and I would certainly stay here again! Just don't go here expecting room service and all those extra amenities and you'll be completely satisfied!	
May 11 2007 	Best Value Hotel in NYC!	I stayed at the Herald Square Hotel from May 8-May 10 and I was very impressed by my hotel room, and by the service at this hotel. Though the Herald Square is a one star budget hotel, and the decor of the hotel itself isn't that great, the new queen rooms are very nice and extremely clean. There was a small blood stain on the bathroom wall when I arrived, but I reported this to the front desk and it was taken care of immediately. I also tried to take a shower one afternoon and noticed there was no hot water, so I called down to the front desk and hot water came through immediately afterwards. This is the best valued hotel in NYC, and as long as they don't raise their prices, I will continue to stay here (in their new queen rooms only) everytime I'm in NYC!	
May 7 2007 	Comfortable clean and superbly located	I was very impressed by this hotel. I would echo the observation that if you come to NYC for the hotel experience, you should go elsewhere, but if you're looking for a convenient base offering value for money then you probably won't find much better than this.I was upgraded on arrival to a 'refurbished' room, whatever that means. The room was small and on the ground floor at the back of the hotel, but it was tastefully furnished. Amenities included a large flat-screen TV, a safe and a clock radio. The bathroom had a bath/shower. The room was clean when I arrived and kept clean during my stay.The Herald Square is only three blocks from the Empire State Building and well positioned for other attractions. For an energetic walker it's well within striking distance of Central Park in the north, Ground Zero and Battery Park in the south, Broadway to the northwest and the UN to the east.Nothing spoiled my experience of the Herald Square. A broken lamp was soon fixed. The air conditioning from a next-door building outside my window was loud but I used earplugs and was not bothered.All in all, I would go back in a flash, and I would recommend it to others.	
May 1 2007 	Great Stay at The Herald Square	We have just returned from a fantastic week in New York and a great stay at the Herald Square Hotel. The staff were friendly and helpful, the room (which was just a standard) was very clean and looked like it had recently been decorated. We had plenty of room to store our cases and shopping bags and the bed was very comfy. On the downside the air con was quite noisy as was the street outside - but we didn't go to New York for a peaceful holiday! Would definately stay there again.	
Apr 18 2007 	Found this hotel through trip advisor-very impressed!	A perfect hotel - great staff, great value for money, great room and location. I searched through trip advisor and we were over the moon with our stay. We got upgraded on arrival - it made our stay!	
Apr 18 2007 	Nothing amazing comfy bed good value!!!	I found the Herald Square to be realy good value. Its nothing amazing but the bed was really comfy, our room was very clean and the staff were very nice. Its in quite a good location, close to some of the best attractions so good if you are short one time!Good for the price especially for new york!	
Apr 16 2007 	not bad	We stayed here around Christmas time. The location is excellent,with easy access to the subway. The rooms are OK for a budget hotel,but our hall was being worked on during our stay {noise and paint fumes}.No breakfast,but there are many great places around. Centrally located,and historically significant {the old Life Magazine building}. MUCH cheaper than most Manhattan hotels. Friendly staff. All in all,not bad {especially for the price}.	
Apr 5 2007 	Very pleased overall	Stayed 5 nights at the Herald Square, starting Mar 17 (St Patrick's Day, right after a blizzard). We chose it because of the price, location and reviews, and we were not disappointed. The room seemed smallish at first, but was very comfortable and clean, and the bed was great. It looked attractive and had lots of good lighting. The steam heat made some noise, but didn't spoil our sleep. The first one awake can use a small cozy lounge beside the lobby to avoid disturbing their roommate. Bathroom was clean &amp; functional too, with fresh towels every day. Lots of places to eat nearby, either down Broadway or towards Lexington, including a trattoria at 31 &amp; Lex that was reasonable and very good. Subway stops are very convenient in both directions, as are busses. We felt very safe in the neighbourhood, didn't see anything to alarm us any worse than at home. The street was quiet at night, but only half a block from Broadway.Only complaint about the hotel - there were construction noises from the renovations starting at 7AM. Overall, we were very pleased and would gladly return.	
Apr 2 2007 	Right place right price and clean.	Here's the question: Have you come to New York to stay in an hotel or to see and experience the city? If you plan to hang out in the room, you'll probably feel a little disspointed in this hotel. But frankly, if you're the kind of person who stays in the hotel room, you aren't coming to New York for the right reasons, are you?This hotel ticks all the important boxes (clean, safe and central)and -what's more- is highly affordable. That's rare. Which makes this hotel rather wonderful. The only &quot;complaint&quot; (it's not even that..just a gripe) is that staff behind the counter seemed a tad stressed out by life. Ok, I guess that's a fact of life when you're checking in 30 to 40 people every day. If you can handle yourself socially and you stay polite, the staff are helpful.	
Apr 1 2007 	Can't go wrong with the Herald Square	We stayed at the Herald Square for a couple of nights (March 16&amp;17). We had gotten excellent feedback from friends who'd stayed there. We got an excellent rate through Expedia. We got there early and though we couldn't check in early 'cause the place was filled to capacity, we left our luggage in a locker for 50 cents. We thought the room would be small because 1)it wasn't one of the renovated rooms and 2)we'd heard the horror stories of rooms the size of walk in closets in NY, but to our surprise, the room was quite spacious and nice. The bed, like everyone said here, was just fabulous, soooo comfortable and very clean, as was the room. The bathroom was clean--though it didn't have a hair dryer :( The water was nice. The TV was OK, many channels to choose from. There was a safe in the room. If I were to complain, the only thing was that the heater was a little loud at night. But other than that, the room was quite comfortable. I tried a few of the freebies in the lobby (can't go wrong with Van Haute coffee). Also good hot chocolate, latte &amp; mocchaccino. They had a wide variety of teas and also biscottis-- all included, which was nice. There's also a Dunkin Donuts right in the corner. Staff was extremely nice and helpful. They recommended a couple of places for lunch (a cafe called A Bon Gout right on 5th and 31 was particularly good, with hot and cold buffet, good coffee and pastries and even beer!) The location of the hotel couldn't be better. We walked to a concert at Madison Square Garden. Macy's and the Empire Estate Building are within walking distance and many other NY landmarks as well. All in all, I don't think we'll stay anywhere else if we ever visit NY again, especially considering the rates. ;-)	
Mar 27 2007 	First class accommodation	Just returned from New York stayed in the Hearld Square. Good central location just around corner from Macys/Empire State Building. Within easy walking distance from Time Square. 34th Street Subway a block awayAccomodation first class got upgraded to Queens Room. The room was large and very well finished. The bed was particulary comfortable it was hard to leave in the morning. Flat screen TV with film channels,hairdryer and large safe. The rooms were cleaned daily to a very high standard. Excellent coffee facilities with biscuits in lobby. This is all you need as area is well served by cafes/resturants and delis. Staff were all very helpful and when i go back to New York i will not be staying any where else given the reasonable price.Look forward to returning to the Hearld.	
Mar 26 2007 	great place	this hotel came highly recommended by my tenants.i was looking for a place that was central to everything.and affordable. this place was right on the money the rooms have a cozy feel. the renovated rooms are lovely. but because they are more expensive than the rooms that have not been renovated there only worth shelling out the money if youre going to be spending more time in your room than outside. or if youre looking for a marriot hotel feel on a budget. the staff is super friendly and helpful. the hotel gives you an overall feeling of home. nothing here is too comercial.	
Mar 14 2007 	Small but perfectly formed and what a bargain!	Small but perfectly formed and what a bargain! With hotels in New York generally expensive we were a little apprehensive about our $99 a night double room in the Herald Square Hotel but were pleasantly surprised, the room was clean, bed comfortable, private bathroom always hot water (although sometimes a litte too hot!) and cable TV. The room was fairly small but perfectly adequate for our 4 night stay and the free coffee machine in the lobby was great for warming up after the sightseeing. The hotel's located in midtown and convenient for the subway and sights, and although we preferred some of the areas downtown for nightlife it was only a cheap cab ride away.	
Mar 5 2007	Convenient friendly clean. Bargain!	Me and a friend stayed here in Sept. '06, both of us from UK. We'd both separately been to NYC before, staying at expensive hotels - shame we hadn't seen this place.Rooms clean and tidy - fresh towels, bathroom cleaned and room tidied daily. Fresh soap even after just one use! Room a little compact, but for $99 per night in the middle of Herald Square district who cares? Shower and water always hot. TV with all major news channels. Air conditioning.Staff friendly and helpful and were happy to order taxis and answer questions. Handy locker room to stash your suitcases in on your last day.Great location - 10 min walk from Times Square. 5 min walk from Penn Station. Subway close by. Oh, and some big department store nearby. ;)Will definitely come back to this hotel next time I go NYC....C. Sharp.	
Feb 26 2007 	Perfect	One of the bests, if not the best, hotel to stay in manhattan. Amazing value, great location (2 blocks from Empire State Building, between 5th ave and broadway). The hotel staff is friendly and work out your problems promptly. Everything is clean, spotless! I couldn´t find a better deal.	
Feb 21 2007 	What a great Location!!	I will definitely stay at the Herald Square again! Great location, great value. I had a shared-bathroom but it was not a problem since it was never occupied when I needed it and always spotless clean! Room was extremely small but the bed was comfortable. I chose this hotel for its location and I stayed there for 5 days during a work assignment trip. You can't beat it for NYC!	
Feb 17 2007 	Good Hotel Nice Stay	Stayed here with my girlfriend in Feb 07 and it was perfect for what we required. The price is very good for Manhattan. It is midtown and is only 2 mins from the Empire State building and 5 mins from Macys. There are loads of subway stops within 5 mins walk. The room was clean and comfortable. The bathroom was basic, clean and the shower was good so no complaints. The staff were friendly and there was absolutely no wait for checking in or out. I would definitely stay here again.	
Feb 12 2007 	An Excellent Value For Manhattan	The Herald Square Hotel is a great find. I just moved away from Manhattan late last year and thought I wouldn't be able to afford any decent hotels for return visits. I'm so happy! Now whenever I get homesick I can jump on the train and be here in a few hours. Now, the hotel isn't luxurious, but it is nice. It provides an excellent value for the price. It's very clean and the staff couldn't be more helpful. Apparently, I was put in the old unrenovated part (no flatscreen tv for me ! Next time I'll know to request a new room), but the towels were soft and fluffly and the bed was to die for. The only bad thing I can say is that it's location is in tourist hell, midtown Manhattan. Most New Yorkers avoid midtown liker the plague so it's very good that the subway stop about one block away from the hotel provides a quick and easy fast escape from that blighted, expensive part of town.This hotel will become my new &quot;home sweet home&quot; in New York City.	
Jan 28 2007 	Beware of false reservations and charges	I made a reservation for 2 nights to stay at this hotel, however I had to cancel the reservation, which I did 2 weeks in advance.The day that I was supposed to stay there I was charged for 2 rooms ( I only had one) plus when I called up, the man read me reservation numbers that I never heard of before. I am very precise when it comes to writing down this kind of information. I had the confirmation and cancellation numbers and the ones read to me were soooo far from what I had. I made the reservations right from the hotel website and cancelled them the same way. Why do people work in customer service and in hotels when they have no idea what they are doing? This was a very stressful situation especially for someone who lives on a budget like me. So beware unless you have money to throw away. I have to call my bank and the hotel again to get it all straightened out. I will NEVER EVER try this hotel again.	
Jan 26 2007 	Super hotel stay there	My boyfriend and I were staying at The Herald Square Hotel in September 2006, and we were NOT disappointed. And if we are going to New York again, we will absolut stay there again.The hotel is near lot of thing, 2 minutes walk from Empire State Building, 5 miuntes walk from Macy's and so on.The room were perfect, service and cleaning is absolute okay.Are you going to New York, stay at The Herald Square Hotel, I promise you will love it.	
Jan 13 2007 	appreciation of the herald square	each visit to the herald square increases my appreciation for it. i travel alot and whenever i go to ny, i get to stay in another newly remodel room at the herald square. these new rooms compare with most 4 and 5 star hotels in manhatten for 1/3 of the price. i love thehotel's central location and appreciate the free wifi. the staff is very nice and the beds are first class. the flat sreen tvs are a welcome bonus and the decor and history of the hotel, make my stay there a wonderful treat. i highly recommend the herald square, if you want great quality at very affordable prices. don from newort beach ca	
Dec 28 2006 	Nice Place Good Location	Influenced by the glowing reviews we booked on-line at the hotel web site, at a very good rate, for Christmas night.The hotel is located on a little-used side street that after 5 had a dark and lonely feel. 32nd St, the next street over, is bustling with lots of Korean restaurants, a nice Ramada hotel, a car park with polite uniformed attendants, etc.The car park has an arrangement with the Herald Square for parking, our tab for one night for an SUV was $21. Can't beat that in New York.Without our asking, our room was upgraded to one of the renovated rooms, which was very hospitable of Reception.The room was indeed very nice, beautifully done, high ceilings. The bathroom was one of the largest I've ever seen in a NYC hotel and very clean and bright. Warning: there are no toiletries or even a shower cap so bring your own.Brilliant LCD tv mounted on the wall with easy viewing from the bed, a small sitting area with two chairs and a marble-topped table in one corner. Heating was fine--a steam radiator with decorative cover, cooling was fine--a window unit, not too loud. No coffee/tea-making supplies in the room. Also had some hot water issues, but the hotel guests were probably all taking showers at once.The hallways are utilitarian to the point of being reminiscent of the old Soviet-style drabness, but they did look freshly painted.The refreshment room off the Lobby is very nice with a comfortable sitting area, decorated for Christmas, and a picture window facing the street.Coffee good, hot chocolate offered as well as good biscotti--all complimentary.Is this the lap of luxury? No.Would we stay here again? Most definitely, it's clean and in a great location.	
Dec 24 2006 	Continues to be great value for money	After reading reviews for this hotel on Tripadvisor my wife and I took the plunge and booked it for a week in December 2006. We were not disappointed and earlier reviews have proved to be reasonably accurate.As my wife and I were basically on a shopping trip we did not plan to spend much time in the room - the priority for us was security and cleaniness at an affordble price. In this regard the room had a safe and access to the building was via a security door manned by 24 hr reception. The linen was changed every day and the water was normally perfectly hot (it ran cold one evening out of 6). The location on 31st street is very convenient to Macys and the Empire State Building. All of this in Manhattan for just over $100!On the downside the room (esp the bathroom) was tiny but apparently this is the norm in NYC. We were advised that we had been upgraded to a room with an extra bed - if this was an upgrade we suspect the other rooms must be quite small. The room decor was pretty grim and dark although there was nothing to suggest that it was unclean. The hallways were in the process of some badly needed redecoration although the new colours won't inspire anyone.The coffee area and restroom off the foyer were spotless and very comfortable. All in all ecellent value for money and we'll be back.	
Dec 16 2006 	look out for the mosquitos	We stayed at the hotel for 4 nights and wished we had booked else where, Our room number 804 was next to the air conditioning unit, which was extremely noisy throughout. I was also bitten several time by mosquitos and when I complained about the bites. I was told I would have to pay extra to be moved to a differen room. I even had to buy spray to keep the pests away.The receptionists were unhelpful and more concerned with filling the rooms than dealing with the issues. Best avoiding this one if you want a good time in New York.	
Dec 15 2006 	Made a great 1st trip!!	I'd just like to thank Herald square for making our stay such a plesant one. The service was great, as was the rooms. We'll deffinatley be booking here on our next visit!	
Dec 14 2006	Great room great location	We were recommended to stay here by some American friends of mine, so we checked on the hotel website and found it looked good. We arrived at Penn NY Stn and it was only two blocks down 31st street to it, so was definately walking distance. The lobby isn't the greatest-looking and the lift/stairs and corridors aren't the smartest, but there were plenty of signs apologising for their appearance - they were in the process of re-decorating. The staff were friendly enough. The room (120) on the first floor was very good - a New Queen Room. The window over-looked the fire-escapes of the ajoining buildings so not great. We had the plasma screen as decribed and it was beautifully decorated. It was small but not claustrophobic. The safe worked, which was good. The bathroom was spacious with a good shower, however the towel rail was prone to failing apart and dropping towels and face cloths into the toilet below... In conclusion, we'd recommend the hotel to others. It's in a very good location, just a few blocks from the Empire State Bld and is 100yrds from 5th Ave. Just be aware that it's being redecorated.	
Dec 6 2006 	When they say small they mean SMALL!	I had all but given up hope of being able to afford a fall weekend in New York when I checked out this hotel's website (---) and learned that they had &quot;small single&quot; rooms at under $100. Experience has taught me that most Manhattan hotel rooms are small, so I figured that these must really be tiny. But the price was there, and the hotel was reasonably well rated, so I booked it.And tiny it is: a bed (big enough for me, and I'm 6'2&quot;), a shelf unit that holds up the TV and doubles as a rude desk, the little safe on which the phone and phone book sit, a bathroom with a sink, a stall and a seat, and that's it. This is not only for one person, but for one night as well, since there's no place to hang anything up, not even a hook on the wall, and scarcely any room for baggage beyond an overnight bag.As for the hotel itself: There's a comfortable sitting area in the lobby. (The coffee machine wasn't working while I was there.) There's a laundry room and an internet kiosk that actually works. The place overall seemed a bit on the shabby side - which, however, not to be confused with seedy.Location is convenient to the Empire State Building, Macy's and the Morgan Library. But this is New York, and public transit will get you almost anywhere. And at this price, I could have paid for a taxi had I needed one.Will I do this again? Maybe - but I'm likely to pay more for a real room.	
Dec 6 2006 	5th year and still love it !!!	Just back from a 8 day stay in this fab hotel in the Heart of New York City. For location, this hotel couldn't be better, around the corner from Macys , Empire State Building and 5th Avenue. For value, you will not find a better hotel for the price. For service, well, the staff couldn't be nicer or more helpful if they tried, Monica on the front desk , a diamond. The rooms are very comfortable and always kept clean, the updated ones are the best and the beds are soooooo comfortable it's hard to get out of them and as others have said, the double and queen rooms are by far the best for size. The tea and coffee in reception is great, especially for those on shopping trips and have no time to waste over breakfast, grap a cuppa and run. We have gone there for the last 5 yrs, we found it by mistake and it was the best mistake we ever made. It's a great hotel for your stay in NYC and we will be back again.	
Dec 5 2006	Looking Elsewhere	I booked this hotel because of the on-line reviews and pictures. Plasma TV? Where the hell was that? Mine was average and everything on it was red. The pictures on the web site showed a beautiful room, spacious, touting amenities. Mine was small, no closet, step up to the bathroom (causing many stumblings), no clock., Asked about that. Told that &quot;some&quot; rooms have clocks, and some have dressers/drawers.&quot; Extra $40 + tax /night more for that. I declined. Couldn't open the window, constant noise from some AC outside anyway. Hair dryer had to be checked out at desk with deposit. Thankfully I brought my own. Don't worry about having to tip a doorman. There isn't one. Hotel staff is behind glass. Bullet proof I'm guessing. They did have nice towels and good pillows. Coffee, tea, etc. in the lobby. That's pretty much it. If you can afford a few bucks more, go elsewhere.	
Dec 5 2006 	Luxury Rooms at Bargain Price	This is a wonderful hotel!!! Although the lobby may not look like much, I was amazed at the room's ammenities. A beatifiul bathroom with new fixtures, a flat screen TV, an amazing, plush bed -I couldn't believe how great the room was and how little we paid! Not only are the rooms well appointed, but they are very clean (and I am a certified neat freak!).Another great thing about The Herald Square Hotel is it's location. Herald Sqaure is a great area, full of excitment and centrally located to all of New York's sights and attractions.I will never stay anywhere else in New York again!	
Nov 30 2006 	Beware room 108!	We booked 2 rooms in March for our stay in November this year. After reading the reviews in this site I rang them in September and made sure we had 2 of the upgraded rooms.When we checked in we were given 108 and 118, one at least 40% bigger than the other. 108 is a pleasant room but in no way should be charged the same rate at 118. I spoke to various people culminating in the manager, and there was nothing they were prepared to do. We were told 'it is an old building blah blah', maybe in New York it is, but we come from York in England and some of ours date back to the 1200s, so weren't impressed by that excuse.I was mostly annoyed that we had booked so far in advance that you would think they would put us in comparable rooms.Overall we had a good stay - very clean and comfortable beds. After all you don't go to New York to stay in the room.Just be aware that room 108 is tiny, with a single wardrobe, so if it is offered to you just check it out first.	
Nov 23 2006 	Perfectly Placed	I have just returned from a 5 night trip to New York staying in the Herald Square hotel. We booked this hotel after reading all of the good reviews on Trip Advisor. The hotel was exactly as described. Location is excellent, which is all important in NY. We had booked a large room with two double beds and this is what we got. The beds were extremely comfortable and blissful to sink into after a full day of shopping and sightseeing. The room was thoroughly cleaned each day with fresh towels also supplied daily. I definitely recommend this hotel and will be returning. Having stayed in an 'upmarket' hotel last year, the Herald Square beat it hands down.	
Nov 21 2006 	Not perfect but great location	We stayed at the Herald Square Hotel in November 2006 and generally found the experience to be a positive one. The hotel is most definitely not the Ritz - but the value of the accommodation cannot be questioned. We struggled to find any hotel room in New York for the night we wanted to stay and were happy to pay $169 + tax for this hotel when we discovered it was available. The hotel looks far more luxurious from the outside and the grandeur of the building is evident, but walk inside and the illusion is lost and you cannot fail to be disappointed to see bullet proof glass surrounding reception and the slightly dated and unattractive decor in the foyer area. We were not lucky enough to to be given a refurbished room, so our's was fairly small and basic. However, it was clean and had a very comfortable bed. The air conditioning was incredibly noisy and the walls so thin that you could quite easily hear people in the adjoining room. It was nice, however, to be given complimentary coffee in the foyer and we even managed to connect our laptop to the wireless network which was free of charge. The location of the hotel in our opinion is the hotel's greatest asset. It was literally a stone's throw away from the Empire State Building and Macy's. Overall the Herald Square is a great option if you are looking for a well priced, clean hotel with no frills in a fabulous location. If you manage to get a refurbished room, then you will have hit the jackpot!	
Nov 18 2006 	Great hotel great location	For the price this hotel was fantastic, rooms are basic but very clean. Bed was good and bathroom is a good size. TV with loads of channels and also aircon unit (even if its a bit noisy.) Area hotel is located is quiet.Great tea and coffee facilities in reception and staff very helpful.Location of hotel is fantastic 2 min walk from empire state building, metro and Penn station and 15 min walk from Tiime square.Nice Irish Pub 100 yds away and plenty of places to get breakfast.make sure you book through hotel website to benefit from best price and best rooms.I will use this hotel the next time I visit New York and would also recomend it to friends and family.	
Nov 15 2006	a hidden jewel	I was advised by a friend to try it out. I have stayed in NY 100 times over the years. By far, this is the best value I've found in the city. Great location, minutes from everything. Helpfull, courteous and knowledgable staff. The room was new, quiet, clean, amazing bed, and had a flatscreen TV. The bathroom was spacious, bright and had a large shower and bath.The history of the hotel was quite interesting in itself. I was there for a week in early November. I have highly reccomended it to friends and family. Overall it was an outstanding gem and will be staying there on my future trips to NYC. The website is also done in the great spirit of NYC. Have fun , live high, and save alot of money.Mark from Los Angeles.	
