	value/location/clean	This hotel is for those looking for location,price,and cleanliness, not 5 star. This hotel was on central park west, 2 blocks from a subway, basic but clean, helpful staff, fuzzy tv reception, private bath, requested room with a balcony and overlooking central park, got both. Paid with tax $134 in nyc november. I saw hostels with shared bathrooms for that price.	
Apr 15 2007 	Astor on the park	Good points: value for money, excellent room, very friendly/helpful staff and manager, near central park.Negative: distance from midtown/downtown, single lift, location seemssafe, but would not recommend night walks too far away!Not for those seeking and wishing/able to pay for swish hotel. If youjust want a clean room at affordable price this is recommended.Breakfast at the Lexquisitis, round the block (153 Manhattan Ave)Banana porridge is a must!The manager seems keen to sell bus tours and arrange a cab back to airport. We agreed to the latter which was fine, but check with driver that the flat charge includes the toll price, before you get in. Tips are extra.Subway station a 5min walk away. 103rd st. $7 fun day pass for unlimited travel. Taxis are not any faster, but maybe more relaxing (but much more expensive)Would definately stay again, but may look for somthing nearer downtown if price was as good.	
Apr 11 2007	More than adequate	I stayed for one week with my husband and four others. The double room we had was a little small but certainly not the smallest I've ever stayed in. The rooms were serviced daily and the bathroom was spotless as far as I could see. The staff were helpful, in particular, one of the doormen (I can't remember his name but he was brazilian). The only compliant I have is that on the final day of our stay we left all our lugguge with reception so that they would hold it for the day. There were nine or ten bags and we got a ticket for each bag. A different door man (not the brazilian guy) took charge of them and was suitably tipped for his trouble. Later when our limo (which the brazilian doorman orgaised for us) arrived we handed in all the tickets and were given what we thought was all of the luggage. It wasn't until we reached JFK that we realised two of the bags were missing. Of course we should have double checked at the hotel that all bags were returned to us. We had to pay another sixty dollars to have the bags sent out to the airport. Maybe the not so helpful doorman could have used some of his tip for the fare?Anyway, overall the hotel was just perfect for our purposes. It was only a short stroll down to 103rd to get the subway which we did every day. I would definitly recommend this hotel to anyone who would prefer to be a bit out of the centre of town.	
Apr 8 2007 	Perfect for a quick trip!	Nice room, modern decor, small but adequate. Building old but nice.Located a little away from Downtown etc, but subways were easily accessible (3 blocks down) and made getting around really simple.Service was great - staff very helpful. They booked a private car for us to get to the airport which ended being cheaper than a taxi and a lot nicer.No breakfast or anything but in Manhattan it was totally unnecessary. Great value, perfect for a quick stay. Internet was cheap and room price was a total steal.	
Apr 4 2007 	Great	Returned last week from a 4-night stay at the Astor. Slghtly apprehensive from reading some of the negative reviews but as usual they proved to be unfounded.Hotel is clean, rooms are small but spotless, beds are comfortable, shower is powerful and hot. That's all bases covered, as far as I'm concerned - we only needed somewhere to crash at the end of the day. Coffee and internet in the basement too, should you wish.Hotel is slightly out of the way but even when we took the subway back from Battery Park (by Statue of Liberty) it only took us about half an hour. Got used to the subway very quickly - get a 7-day pass for $24, head to the station on 103rd, down to Columbus Cirlce where you can change for pretty much anywhere else. We saw a couple of shows - The Producers and Chicago and would recommend both without hesitation. Bought tickets on the day from each box office with no problem.Good places to eat - the Broadway Diner just off Times Square for breakfast, John's Pizzeria (next to St James Theatre) and Bubba Gump's (Times Square again) and the Heartland, in the basement of the Empire State Building.Would recommend the Astor to anyone - one last bonus, we arrived late at night still on UK time so I was wide awake at 6am and got up before my girlfriend in the mornings... it was nice to be able to wander round Central Park, and just sit outside the hotel and watch the city wake up.Hope this helps - feel free to email me at ben_sowden@btinternet.com if you need to ask anything	
Mar 28 2007 	Better than Expected	We have just come back from 3 night stay at this hotel and it was better than I had expected. We booked the trip on a whim last minute, 2 days before going and were looking for something on a budget. After booking I then went onto Trip Advisor and read the reviews and started to get a bit worried - what had I done? What can I say? Definately better than expected. The hotel was clean and the staff friendly, ordering us a car to the airport and pointing us in the right direction for the Metro.Although this hotel is a little out of the way, the Metro station is 3 blocks away and the trains run fairly regularly (we waited no more than 5 minutes) and we could always get on them, even in rush hour. This was a cheap way of getting around, costing $2 per trip, anywhere. A taxi from Central Park in rush hour, still only cost us $15.The rooms were small, but cleaned every day and the bed was really comfy - a must after all that walking! The bathroom was almost as big as the room and we had no problems with getting enough hot water or clean towels. They provided us with a clock radio, whcih was also a CD player and there was a TV in the room too.The downside to this hotel is the small rooms, no coffee making facilities in the room, although there is free coffee in the lobby and the view was non-existent, but I didn't go to New York to spend time in my hotel room!I would recommend this hotel to a traveller on a budget who doesn't mind a bit of walking and who's aim is to experience New York.	
Mar 18 2007	we loved this hotel	We have returned home from new york today feeling very tired but very happy.New york was very tiering but luckily we had a lovely hotel to go back to. We couldn't of asked for more from the staff all of them were really friendly and sorted anything out for us straight away.Nothing was too much trouble.Coffee was always available and they kept our room spotless for us. We had a lovely view onto central park. We were far enough from the main centre to avoid all the noise. We felt safe in a city we didnt know. Thankyou to all the staff who made it a pleasurefor us.	
Mar 16 2007	Excellent value	My wife and i have just returned from a 7 day stay at the Astor on the Park.We found it very comfortable, clean and excellent value for money. The staff were helpful and friendly.At the time of booking we asked for and got a room overlooking Central Park. The room was fine, far from luxury but more than adequate.Although the hotel is quite a way uptown it is very accesible by subway, the station is just 2 blocks away. But we mainly used the bus M10 that stopped right outside the hotel and takes you to the heart of mid-town Manhattan. A weekly ticket for unlimited use on buses and subway costs just $24. A cab from Times Square to the hotel costs $13. We actually enjoyed being a bit further away from the tourist areas. It felt more like staying in the real New York. Some parts of the surrounding area aren't that hot, but these are easily avoided. There is also plenty around the hotel worth seeing. Columbia University, the Cathedral of St John the Divine and Morningside Park are a short walk away. Also, if you're a Seinfeld fan you will want to visit Tom's restaurant which is near Columbia University on Broadway, about 10 minutes walk from the hotel. Of course you can also visit it if you're not a Seinfeld fan and enjoy the excellent value food!The down points to the hotel were;- Blocked toilet (fairly common based on other reviews. My tip to avoid this is, um, to flush regulalry, little and often!!!- Over hot central heating (despite it being minus 10 outside)! But just put the aircon on to deal with that.- The whole hotel could do with re-carpetting.- Make sure you don't do as my wife did and use the local call number when phoning from the room using the very cheap phone cards. Use the freephone number. On some phone cards this is not that clear. We had to pay a $79 bill on checking out because of that.All in all though, considering the rate for this hotel it was a great stay. We would go back again.	
Mar 9 2007 	good value hotel	I have just returned from a fanatastic 4 night stay in the astor hotel with my friend for a girlie weekend.Rooms were a good size,we had room 101, with everything you need eg a comfortable bed and good shower.There was a complimentary coffee machine and internet access which we found useful for booking our empire state building tickets.Reception staff helpful and so were the door men. The hotel is about 4 blocks from Broadway overlooking central park so about a 10 minute walk from restaurants, bars and shops.Mama mexican can be highly recommended as amazing food.The Tavern bar was really nice and full of lovely people and cheap!! broadway bagels for breakfasts again excellent!Would definatly stay at this hotel again!	
Mar 9 2007	Cheap and clean isn't enough	There are mixed reviews of the hotel and we had read in guidebooks do not go above 96th Street. The hotel is on the block of 103rd Street and should have served as a warning.One of the three porters was very nice and friendly, all of the other staff looked like they had something better to be doing. None of the facilities exist like in the photos and the room was tiny but clean.There was no room safe, though this was not a problem as on a couple of occasions we had forgotten to pack valuables and cash to return and find it all still as we had left it; the room service even didn't collect there tip until we wrote them a note explaining to them.The biggest problem was the heating full on or off and the noise. There is a constant banging from the elevator and the heating system is at full volume at around 3am with the occasional bang from a hallway door which shook the hotel room walls so even our ear plugs couldn't help here. We would not go back to this hotel, the hotel was too noisey and too far especially with engineering works on the subway which do not run as frequently as the London tube service.	
Mar 8 2007	Would probably go back...	We stayed at the Astor on the Park for three nights in february. It was a lot nicer than other places I have stayed in New York and had a lovely bathroom.I can't understand people complaining about how far out it is, surely this is something you check before you book?You can pay more to stay in the centre of town if you want.The same goes for there not being a restaurant - they never claimed to have one. If you want one - stay elsewhere!All the staff were friendly, the room was cleaned and there were fresh towels everyday. It was lovely and warm which was great considering the freezing weather! The only fault really was the noisy heating. You could hear it clanging and rumbling at night but it didn't bother us that much. We were pretty tired by then anyway! It might bother some people.I think we would probably go back if we found ourselves in NY again.	
Mar 5 2007 	GOOD VALUE FOR MONEY	we have just returned from a 5 day stay in the astor on the park, the staff were excellent,however we did have problems with the toilet in our room, but in all fairness the staff came to the rescue straight away Enrique was a hero!! the problem was not fixed so they moved us to another room which was no problem but we found the room too hot so we had to ask for the heating turned down, the room was very basic, but also very clean,and clean linen every day...we felt that it was a little out of the way,but could get the subway to where ever we wanted to go ,although i would not use them at night...we really enjoyed our stay in new york,and would go back to the astor,value for money.........	
Mar 4 2007 	Location Location (miles from anywhere)	Stayed here March 2007. One of the Worst hotel we have stayed in. Ok not expecting the Ritz, however windows screwed down and 1st room stunk of paint from the rooms they were decorating(badly) room was also boiling hot even though radiator was not on (hate to think how hot it would be in the summer especially with not being able to open the window). Second room was better however still boiling hot &amp; window screwed down, decor was a little better however it looked like Bob the builder had done the decorating nothing was finished properly . Not a good location for getting around NY, the furthest end of Central Park, therefore one of the furthest points from central Manhattan.None of the attractions in walking distance apart from the park.	
Feb 22 2007 	great disappointment	We have just returned from staying in New York where we had a fabulous time but were very disappointed in our hotel. The room was like a prison cell with no light only a tiny window and a very dim bulb. There was no air in the room and the radiator was off all day but on all night. We were unable to alter it so the room was freezing when we got in but we were cooking in the night. There was one small wardrobe with only two coathangers and no drawer space. We asked to move but were told all the rooms were the same, Talking to other guests this seemed true and those 'lucky' enough to have a room overlooking the park said they were unable to sleep because of traffic noise. We had to ask each day for towels as old ones were taken but not replaced and we ended up buying loo paper. The room was not very clean and the hotel was too far out for us to be able to return to freshen up in the evening. Would definitely pay more to stay elsewhere next time The only redeeming thing this hotel had was very friendly reception staff.	
Feb 17 2007	The Worst Facilities Ever Experienced	Whilst our stay in New York was fantastic, our experience with Astor on the Park was less than desirable. The rooms were tiny and the smoking rooms were unbearable to spend even one minute in. We are smokers and even we couldn't cope with the smell. There was no window that could be opened so we asked for a non smoking room and did our smoking outside. The phones in the rooms (in the whole hotel) were down for three days and no attempt was made by management to recify the problem. I was told that I could purchase a phone card if I wanted to. Family at home were upset because they were ringing and unable to contact us. I had to have a heated disageement with reception staff before they would agree to provide us with phone cards at their expense.The drink machine was out of order, the snack machine was out of order. the internet re-booted when it felt like it. The TV in the room was broken, sometimes you could get stations and sometimes not. The time spent in the shower was very limited as the bath filled with water due to bloked drains. We constantly had to ask for toilet paper, towels and face cloths, even though house keeping had been in everyday.I will never stay there again and I will tell others not to as well. Disgraceful facilities to say the least!	
Feb 16 2007	Spot on	Stayed at the hotel 9th -14th February 2007.Taxi $65 dollars from Newark . Should have taken Super Shuttle from the airport which would have worked out much cheaper. Used super shuttle on return to airport and only cost $40 including tip. Hotel check in was quick and easy . Nice clean room on 9th floor with a good view of the park and New York City sky line. Very clean room , maids did an excellent job . Didnt hear any noise as such but spent very little time in the room , atfer all you dont come to New York to sleep or watch tele in your hotel room. Hotel very close to red and blue subway line which will take you straight to the heart of the action. You can even travel directly to South Ferry (Statue of Liberty etc) for $2. Had no problems using subway late at night.We took a couple of tours with Grey line on the open top bus , very cold but very informative. We also took the bus to Woodbury Common retail park . This is a very very very cheap place to shop . Take empty bags and grab the bargains.Highlight of my stay was Top of Rock which in my opinion was much better than the Empire State Building.Overall the hotel was spot on for our stay in New York and would stay again.	
Feb 13 2007	Clean Small Noisy Staff needs a smile...	I got a good deal on SkyAuction for a week at the Astor. We booked online and chose 1 bed, and I requested a feather pillow. We arrived around midnight, and the night clerk could not have had too many rooms left to arrive, yet took a while to find our booking. He then asked if we wanted one or two beds. (It started to become clear that it had been a good idea that I brought my own pillow). Although the room was prepaid, he insisted that I sign a form advising me that if the key was not returned there was a $150 charge. He gave us room 304, but looked at me like I was from another planet when I asked for a second key for my travel companion. The elevator was clean and brightly lit, but small.The hallways are done in a nice boutique style, but the building is old and the hallways narrow. Unlike newer properties where there is a buffer between your room and the hallway (usually a closet and bathroom), you have only the thin door between you and any noisy guests who arrive drunk late at night, early morning loud tourists, or maids calling 'Housekeeping' loudly at another room on your hall.The rooms are clean, the double or twin beds comfortable, the beds are French-sheeted (blanket topped with a sheet) as a bedspread would be difficult to stow in such a petite space. The Queen-sized synthetic pillows were probably the most comfortable I've ever had in a hotel, and as a road warrior, I've seen the good, bad and jet-puffed...! Our request for an extra cotton blanket happily responded to with 2! Wall mounted night tables, good reading lamps, but the phones did not work for our first two nights there. A small closet unit housed the TV, and we were given two remotes for some reason...? If you can fit 7 hangers in the closet, youll be lucky. The apple green walls were calming, and the steam heat although hissing, whistling or chirping was effective. The window A/C would do OK in the summer, but no fresh air possible. The bathroom was redone in georgeous marble squares, but when installing the full mirror, they cracked the mirror where the light fixture was mounted. Nice amenities, and very fluffy towels. Some should be replaced due to stains obviously missed by a blind housekeeper who folded them and could not have missed it. 3 towels, 2 hand towels, a bath mat, but no face cloths, it seems. It had a good tub, but the grouting between the tiles has come out in some places, and the caulking of the tub has turned black in a few places and should be replaced. The handle for the shower faucet was either not installed properly, or has broken, the maid should have advised maintenance... Maids are friendly and usually do a very good job. The coffee and tea in the lower lobby is a nice touch, but bring your own creamers from the deli unless the powdered white stuff is to your taste.The CD clock radios described in the website were not in evidence, and the requested 4 am wakeup call came at 4:40 forcing us to cab it to the airport instead of taking the subway. Good value, no frills, OK location, popular with non US guests. No safe in room. Vending machines often out of order. Internet in basement available for an extra fee. 3 blocks to the C line subway and then a few stops to Columbus Circle, 10 minutes to Times Square. A short walk to coffee shops on Broadway or all night pizza. I'd stay there again to save money, but the 2 star rating is fair.	
Feb 12 2007	Not bad considering the reviews I had read	Arrived on 5th Feb and the lock was dodgy on my room so the porter asked the receptionist to get me another room. She sorted this out after 20mins and I was given 805. The room was very clean, although the tv didnt really work and there was no view to speak of, although neither of those bothered me. Whe I headed out, I was shown directions for the shower and told how to get to the metro. The room was cleaned and towels changed every day - only thing was maids didnt lock the room after they had been in. It was noisy from about 7am due to the plumbing but I had taken earplugs as where I come from is the middle of nowhere with no noise 24/7. I was glad I took themthough.Didnt get hassled to book anything through them - I was there on my own and was out early each day for at least 12 hours so I didnt have that much contact with them.Only gripe - when I got there i was asked to give my credit card which they put $150 onto as a security deposit which I wasnt told about on booking - will be interested to see when I get that recredited	
Feb 3 2007	Not normally a whinger but this was awful	This was my first trip to NY and so I knew that I wasn't going to stay in my hotel very much except to sleep. I have stayed in other countries in all sorts of types of hotels and don't think I have unrealistic expectations at all. All I wanted was a clean room with a bed, my own bathroom with plenty of hot water , and somewhere to sleep so that I could get up and go out each day.I checked in to the hotel and was given room 312 which had a view of an internal part of the hotel which had no apparent use except to provide a bit of dreary day light. This was fine, I wasn't wanting to sit and stare out of the window, so I didn't mind. The bathroom was relatively clean, the main room had chipped paint on the floor but the room although small, was adequate for what I wanted. I was seriously tired so after a bit of a stroll around I decided I would get an early night and so I would be refreshed for the morning.TV worked a bit so watched one of the two channels which were ok and then crashed. Woke up an hour later with a sound that was like blinds smashing against a window frame in a gale. It was coming from out in the coridor and I didn't really want to go out and investigate so decided I should just go back to sleep and ignore. Then came a wake up every hour with the same sound. Then at 5am all hell broke loose. If you could imagine someone standing next to you smashing a lead pipe against metal, then that is what it was like. This was coming from my radiator and so, having read some of the other comments on here before I left, I figured that if I turned it off then maybe I would be able to get back to sleep and it would be fine. Once I had done this there was the same lead pipe thumping with the addition of a complete percussion section on the same radiator, and then the overflow steam let off started whistling like a boiling kettle.Once it started cooling down, although the sound didn't let up, there was also the addition of the overflow dripping onto the carpet, which I put a glass under, and therefore added to the lovely sounds. This lasted for 3 HOURS!!! until I left the room at 8 am as that was as early as I wanted to be wandering about. I went straight to the internet cafe downstairs and found another hotel for the other 3 days of my trip as I knew that I would have a miserable time if I stayed there and couldn't sleep.While I was down in the cafe I heard at least 3 lots of people complaining about lack of sleep due to the heating system.When I checked out the receptionist asked me if I was checking out early to which I obviously replied yes, but she never asked me why which I thought was probably indicitive of the fact that other people have done it before me.In fairness to the hotel however, they gave me the money back for the 3 nights which I did not stay there, which was more than I expected.Anyway, I always read trip advisor and like to think that I am not the sort of person that is influenced by a bad report if there are lots of good reports to counter it, but I can only assume that some rooms here are far better than others, so for your own sake if you stay here, then please get one with a view, as that seems to be where you might get a good nights sleep.	
Jan 31 2007 	I LOVE this hotel	This hotel is perfect for anyone who wants to take a trip to New York and doesn't want to spend their entire budget on a hotel.... Likes:it is a great price, the decor is nice, very clean, safe neighborhood, across from Central ParkDislikes:far from everything else but there is a subway nearby, sketchy areas a few blocks awayThis is a great deal which is hard to find in NYC, it seems that the people who gave this place a bad review expect a lot of amenities, luxuries from their hotel, but with so much to do in New York, do you really spend that much time at the hotel??	
Jan 31 2007 	Bad Hotel Chain	This hotel chain is a ripoff. They overbook and then send you somewhere else (while this was happening to us, they sent other families elsewhere - which is ONE reason why it took so very long for them to sort it out).	
Jan 31 2007	My first ever trip to nyc	Well as everyone else ive read others reviews on this hotel so heres mine..Me and a friend booked 3 night stay on a website where we travelled with air india (lovely) and had 3 nights in the astor, 25 to 27 to january, Got to tbe astor in a yellow cab outside of jfk ( although a random bloke came upo to us as we were coming out of arrivals offereing us a cab for $65 luckly for me I read somewhere average was around $50, got yellow cab outside, theres a $45 flat rate charge and then there toll and a couple of other things like surcharge if in between certain hours including bridge tolls our fare from the airport costed about $50.50 but as this driver was very helpful and friendly telling us about stuff on the way through our trip we gave him $60 Astor on first impression was good, before I even got out of the car, hammed took our luggage to the hotel, he was v friendly and helpful when needed as i read on here for a couple of months before i left i was a bit wary, but i didn't feel preasureised or anything with him he basically left us to it..I found our room 801 lovely and peaceful, The jet lag got to me and my friend, so a chill on lovely double bed shower and a relaxx of watching cheeesey american tv was good. although not all channels worked and we had some spanish tv :S but it was cool. We went to look for the tube we went the wrong way (well we thought but 110 tube stations is to the left ( just don't go up any further or left as ill explain later) and 103 statiion is on the right of the hotel, although on the first night we missed this and ended up walking to 96th street, but the tube workers are really friendly and the man in 96th street even let us go through for nowt, for the tube u need to have a metrocard $7 for a day or $24 for a week, even if your there for a few days it worth getting one, watch out for the rats in some tubestations where a lot of rubbish is its a bit minging but its new york underground after all. in 801 amazingly in the night when its really quiet you can actually hear the subway trains not that it would keep you awake mind, and the buildings rattle due to all that metal underneath lol. I didnt personally have trouble with heaters or anything really the bed was lush, bathroom clean, and shower nice with hot water, my bed was made everyday although tucked underneath at the bottom ment i had to undo all the good work done by the cleaner people, my earrings or purfume iand mp3 player i forgot to put in my case was tidyied and my me to you pjs were left neatly on my bed, I was amazed by this lol as ive never seen my pjs so tidy hehe! The staff in general were fine, and friendly, not that we used them much but whenever we needed anything like to put our key away we were always delt with nicely, when it came to out last day we met mo another luggage person, he was keeping on at us to book a taxi with him, i said to him no, but he was trying to insist and trying to get my friend to tell me to get a cab with him, I said we had one already and got out of the hotel to do some last minute shopping. We did get the yellow cab drivers number when he took us to the astor as we thought it be a good idea as taxi's are busiest in the night from 12-3 but we didn't get round to ringing him (my mates phone worked in the usa, but she was worried about the cost )All in all i thought the taxis were the most expensive thing about the trip and the tipping drove me nuts as i despise giving away extra money for a job that a person is already getting paid for (although my friend saw it differently as she gets tips when working so understood iit) my advice on taxis; is maybe get a number of the yellow cab your in if he seams ok, tube it all the way around if possible sometimes its about 10 mins to wait for a train but there all usually okay and the tube goes on 24 hours, now be careful with 123 tubes as you can end up the opposite side of town like my friend and I, also past 110 street and ending up in north ot central park (if u do its RIGHT from the top of the steps (central park is opposite dont cut through there esp at night) and when you see a gas garage DO NOT turn right, TURN LEFT as that is the way to astor you should also see 110 subway station and then a corner shop on 107 street and astor should be after. we were miles away (well it felt like it) at one point and had to get a tax. we tried to get a yellow cab to take us to jfk but couldn't because it was 3;30pm and rush hour in nyc so busy time for yellow cabs hamed offeeered to get us a cab, as with mo the other guy i was weary, and basically told hamed straight that ive been told that taxi drivers add extra on the fare when they get to the airport we told jhim we had $60 dollars for the return trup which was true and KI told him i basically didnt want to get ripped off by a taxi driver, hammed got us a taxi in the end for $55 dollars inc tolls which are $4.60 ish, and the man we had was friendly, and got lost in jfk which was like a maze lol we gave him $60 anyhow cause at least he got us there even though our plane got delayed... lolEmpire State building was visited about $20 if wanted to visit 102 floor - $15 if 86 floor ok *night is awesome with hardly a queueNatural History Museum $28 for twoLiberty island Ferry $11 if you want to got up the top apparently need to be there 8am :S and that an extra charge Times Sq = amazing Toys r us has a ferris wheel inside for all those big kids out thereCentrury 21 awesome department store, opposite World trade centre just don't get lost in there like in Macys which is on 36th street past toys r us footlocker kifc etc in time square you eill see it eventually its hugeeee The world trade centre has a lot of piics, wat annoyed me is people are selling photos outside and making money out of it Irish bar in a sidestreet of times square was nice :-)The cold... GET ALL YOUR WARMEST CLOTHES... it can be totally freezeing penguin stylee weather.. umm anything else you need to know just ask, i will deffo go back again it basic and good for money and good for being a base for nyc all of you going have fun and don't worry too much go with the flow	
Jan 28 2007	Great value for money	My boyfriend and i stayed at astor on the park for 4 nights, my first visit to new york for my 30th birthday. Having read good and bad reviews we like most were worried about what to expect on our arrival. On checking in staff were friendly and helped us upstairs with our bags, we had room 407 so had a park view room was small but very clean and bed so comfortable bathroom very modern and clean.We used the subway lots during our stay two nearby on 103rd and 110th and even used it late at night to get home and felt very safe this is a very cheap mode of transport as you will always have other things to spend your dollars on!!!! And taxis can be very expensive. We had an amazing time in nyc and astor on the park is just the ticket and such good value, yes the radiators are the worst i have ever heard in my life but didnt cause us any real loss of sleep. My only biggest complaint about the place is the car service they offer back to the airport, please DO NOT i reapeat DO NOT use these cars its such a rip off they tell you a price that includes everything then when you get to the airport the price has gone up $30!!!! We argued with the driver and it just put us in a bad mood so stay clear just get a yellow cab.I would recommed this place if you just want to visit new york to shop and see the sights its ideal, i would stay here again no problem.	
Jan 27 2007	nice hotel	me and my boyfriend made out first visit to america we went to new york for new years which was great. when we booked the hotel we read the reviews on here which were rather worrying, but when we arrived there the place looked small but friendly. it was excellent for what we were looking for the rooms were small and quite cramped but we werent there for the hotel, and we were looking for some where affordable.the bed was made every day and the bathroom cleaned and maintained.although the hotel isnt in the thick of the fun there is easy to use transport which we discovered on the second day. we first used the taxis but found they were expensive and the drivers were really rude and hard to understand. so on the 103rd street there is a subway station its $7 for a day pass which u can use over and over in 24hrs which is about £3.50 or there is the week pass which cost more. the subway is a great and fast way to get about i definatly recommend it to all.other than that our stay in the hotel was great the staff were friendly and the rooms were clean and thats all we wanted	
Jan 26 2007 	Great for exploring NYC	I stayed here for 4 nights in January while on a shopping trip with my girlfriend. Although being a little bit out from the main attractions, the hotel overall was fine. Rooms were clean, bed was great and there was lots of hot water so it suited me down to the ground. It costs around $12 to get a cab to Times Square and its a 10 minute journey. 5th Avenue is also a 10 min journey for about the same price. Its right across the street from Central Park which is very picturesque. Staff were friendly enough and overall its a great base to explore NY for a few days. No problems at all, would recommend.Also, check out Soho while your there. If you like trendy shops this is your place with the likes of Bathing Ape, adidas, Ben Sherman and others.If your there long enough try and check out a NY Knicks game too. Quality!	
Jan 24 2007 	A Pretty Good Hotel on the Cheap	I stayed in a double room here with two friends in January for the amazingly low price of $79/night. We basically just needed a place to crash and throw our stuff that was slightly more private than a hostel, and the Astor did the trick. Althought the beds are surprisingly big, the room itself can feel cramped as there is almost no floor space with 3 people's suitcases lying around.  The bathroom was a very nice surprise, sparkling clean every day and larger than expected. The shower has plenty of hot water and housekeeping gives you those handy little bottles of shampoo/conditioner- nice ones too! There is free coffee/hot chocolate downstairs along with high speed internet- convenient but expensive at $1/ 5 minutes. The location is not especially scenic or exciting, but it was safe and only a few blocks from the subway. My biggest complaint is hands down, the loudest radiator in the entire universe. We didn't hear it at all the first two nights, but the third it was cold in the room and we got the handyman to turn on the heat. That night we awoke to this unbelievably annoying clanging of the pipes that didn't stop for 30 minutes. So obnoxious it was almost comical. When it happened the last night my friend fumbled around with it until he switch off the valve.  The Astor is a perfectly fine place to stay if you find a sweet deal and don't mind commuting into the more interesting parts of town. Just make sure you know how to turn off that radiator!	
Jan 17 2007 	Not bad at all for the price!!!	We got to this hotel on 27 Dec 06 and were quite surprised with the size of the room we were given (901), had a double bed and a bunk bed!!! There was myself, hubby and daughter (8).A quite big room and bathroom was clean, with clean bed sheets. Noisy heating though the first night, the radiators were hissing and pipes banging like everyone says, but it was too hot in the room, so turned off the hissing, although banging still occured.On New Yrs Eve, it began to rain and when we woke up, the carpet was soaked!!! We told the reception, and as it was only on one side, we were willing to stay in that room as we only had one more night left. But the staff changed our room and this room was much nicer, bathroom was cleaner and bigger than our other one, room was smaller but seemed to have a better feel. Typical, only there for 1 night!!Nevermind, all in all, for the price we paid, cannot complain really, the hotel is in a good location, is very clean, fresh towels and sheets everyday, subway is easy to hand and lovely central park opposite. Downtown is not far at all.However, I also agree with everyone else, DO NOT GET RIPPED OFF BY HOTEL TAXIS!!! They are a rip off, we took it back to the airport, but yellow cabs are best, at least you know what you gonna pay.	
Jan 15 2007 	OK Budget Hotel	I spent 5 nights in this hotel in January room 313. The hotel is in a quiet location opposite Central Park. The metro is just a minutes walk down the road and provides quick access to the rest of Manhattan. The rooms were clean and the staff friendly. Now the not so good bits. The central heating was very noisy, it seemed to come on at about 4:30 in the morning and the pipes made a very loud banging noise, I am normally a deep sleeper and it woke me up every night. The room had an air conditioner, so if you stay in summer I don't think this would be a problem. Due to a very early flight back, we arranged for a taxi/car through reception at an agreed price including tolls. Once at the airport the driver tried to extort us out of a lot more than the agreed price. I am not sure how connected to the hotel the car company is but the air train/metro gets you to and from the airport in about the same time if you don't mind carrying your bags.	
Jan 12 2007 	Basic clean handy location	The hotel is a few streets from Harlem but the area itself is just opposite Central Park and quiet and we felt very safe. We stayed in room 309, and had a view of Central Park, (I reckon any room number ending in 06, 07, 08 or 09 will have a view of the park, other rooms look onto a crappy courtyard). We were just 2 mins walk from the subway (A, B &amp; C lines). We had a double room, which was nice and clean, comfy bed, great shower, tv (some rooms have a dodgy reception) and our room cleaned every day. The only negative things were that we could hear the room next door when people are walking around as the floors seem to be thin. Also, there was a wet patch of water coming through our celing on the first night from the bathroom above, but we informed reception of this and the problem didn't occur afterwards. We were there in January when it was exceptionally mild, so we were nice and comfortable, so I can't comment on the air conditioning, but there was an air conditioner in the room which seemed to function if we had needed it. If you want a nice bagel and a great cup of coffee, head around the corner to Columbas avenue &amp; the junction with 108th street (I think - check with reception). Overall, we were pleasantly surprised with this hotel and if you are on a budget it is fantastic.	
