	perfectly acceptable	We stayed here on our return from Canada and Boston, having spent a week at the Hotel 17 a few weeks before. This hotel has a more modern decor and was quite adequate. It was in a good location for us; we could walk down to the shows we wanted to see, but we missed the area around Union Square - we preferred the vibe there.Our room became stifliingly hot every night. We had a thermometer with us and it was 35 degrees celsius at 3am the first night. We tried to open a window, but the window fell out of its tracks and took a lot of effort to replace. We commented to the desk staff who said it was because the air conditioning was linked to outside temps. Every night it became unbearably hot and we were sweating - confusing given it was 5 degrees outside. Apart from that the service was friendly, and they kept our bags both before and after we checked out for a few hours. It was ok and if this is the area you are looking to stay in, you could do worse.	
May 5 2006	Was worried at first....	Well, after reading the reviews, I was a little bit worried about booking at the Moderne. But, if you notice, the more recent reviews are better than the earlier reviews, so there's been some improvement. THIS IS A LONG REVIEW, SO IF YOU DON'T WANT DETAIL, PLEASE DON'T READ IT.The hotel itself is small (the front desk told me it's 34 rooms or something like that) and the rooms are relatively well maintained. I've stayed in NY before (a few years back) and I realized if you want the type of rooms you get in other cities, you're going to have to pay over $350 for it. Don't expect mints on the pillows at The Moderne, but expect a decent room, in a decent location for a good price.Lobby/Front/Elevator: from the outside, it looks like your basic boutique hotel. There's a weird stain or something on the sign, but I didn't really care, as I'm not sleeping on the sign. The lobby is small, but honestly, are you going to be spending your time hanging out in the lobby? The front desk was relatively helpful, albeit a bit brisk. The blonde woman and the blonde gentleman were both polite, but not exactly friendly (kind of cold, actually). Elevator is slow, most likely because there's only one for the entire building. I never found it to be a huge problem, I jsut had to wait a minute or two for it to arrive. Don't check in or check out right as everyone else is, if you can avoid it.&quot;Coffee Bar&quot;-simply a nicely decorated medium sized room on the second floor with a coffee machine, a couple of tables and a computer ($.25/minute of internet). I didn't book the hotel for coffee, so I didn't care too much. It seemed like some people made use of the room for planning their days and it did have floor to ceiling windows overlooking the street.Room-I was expected a bed, a tiny bathroom and just enough room to wedge my suitcase in. The room I got had a regular sized bathroom (by hotel standards), small pull out couch and desk in one room and a king sized bed, bed stands, tv and 2 chairs (completely useless chairs) in another (behind two glass doors). The room was very, very clean. Now, here is my complaint----the bed seemed REALLY short. I'm 5'5&quot; and it seemed my feet were just skimming the edge. My boyfriend, who is 6'5&quot; needed to sleep diagonally to fit. It almost seemed like the bed was custom made and shortened for the length of the room!!! The sheets were soft and clean and there were plently of pillows. Another complaint---the air in the room was a bit stale and I heard another couple complain of it. We figured out how to use the vents and it was fine, the other couple had to complain to the front desk about the air being shoddy.Location-great location, 5-10 minutes from Times Square, 2 minutes from the CBS Studio (david letterman) and 2 minutes from the subway. Because of the location, we could hear sirens and other cars on the street in our hotel room. They weren't loud, but you could definitely hear them. As well, we could hear people above us walking around clearly.Stuff to Do: Well, if you haven't figured it out, it's NYC and there's always tons to do. If it's your first time in the city and want to see a lot in a short time or want some postcard worthy photos, take the double decker bus tour. This is also great if you don't like walking or have small kids. Don't buy from the guys in Times Square, they try and rip you off. I'd buy closer to Empire State Building. They give better prices and are often more helpful and less pushy. We bought from this polite Asian man who didn't lie to us and try to swindle us (the guys in Time Square did). Eat out, explore the streets, even the forgotten little streets and have a great and safe time.	
Apr 30 2006	Great location for broadway shows!	This was my first time to New York, and I will say that this hotel was not too bad. Not the most luxurious by any means (but I'm not used to that anyways), and the decor is pretty cute. I love Warhol and I'm used to boring chain hotels, so it was a pretty fun experience, I met some neat people. Plus the location is awesome. If you want to see lots of shows and other things around the Times Square area then I would say this would be a good place to stay. Subway access is decent, it's a few blocks to the nearest station, but it's not that bad of a walk.	
Feb 27 2006	It's OK	I was unsure about this hotel when I booked it but the price was right and it had an in-room safe which I always like. I arrived 2 hours before check-in but this was not an issue for them and gave me a room on the 1st floor. When I got into the room I couldn't find the safe so asked at reception and they were very polite and gave me the key to a room on the 2nd floor and said take a look at this room and if it is ok just move your stuff. The 2nd room was identical to the 1st but had a safe. The advantage of being on the 2nd floor is the coffee room is on that level, the coffee was ok but it is a pot of regular and a pot of decaff that's it no fancy stuff but it was always refilled promptly and free 24/7. They have various tea bags and a hot water tap on the coffee machine for those that prefer tea. My room was a king size bed package and the room was very clean, bit tired around the edges but you have to remember the price you are paying. The bed was very comfy and made every day for me along with clean towels.You can't beat the hotel for location and the Irish pub over the road was great for beer and food.My only issues as such with the hotel is both the rooms I had suffered from no natural light at all. They had a window but it faced the building next door and that was so close you really could not see any light so when you woke up you had no idea if it was 9am or 9pm. I suffered in both rooms from massive static shocks and everything I touched, and last of all no one ever asked if I was a guest or to see my room key when I entered the hotel and the staff changed several times so I could have been anyone walking in, other hotels I have stayed in while in NY always asked to see the key until they got to know me by sight. Apart from those very small issues the hotel is great, the staff very friendly, the room was clean and the location fantastic, I would stay again but try to get a room with a window that had light ie front or back of the hotel.	
Feb 24 2006	Great budget hotel!	This cute little hotel is perfect for the price. Its location is GREAT! ABout one block away from the David Letterman show, close to the subway, close to Times Square and broadway shows. It is also cool because it has &quot;modern&quot; little features to the lobby and rooms. I really think younger travellers would love this place.	
Feb 20 2006	Loved it :)	When I read the reivews I was a bit apprehensive about my weekend stay that I had already booked. However, my apprehensiions were quickly deminished as I stepped foot in my cozy, modern looking hotel room. The staff was excellent and very friendly. The room its self was warm, and extremely clean. The bed was awesome, and really comfortable with big, fluffy pillows and a down comforter to snuggle in. It was dark with the lights off because our window faced a brick building, but I didn't expect a spectacular view.. its NY.. everything is right next to another building. If you want the view, then expect to pay over $500/night. Afterall I didn't go to NYC to stay in my hotel anyways, but the time i was there was magnificant, and I hope to go back soon. i would definitely reccommend this hotel to anyone going for a visit to NYC and not wanting to spend a lot for somewhere you are just sleeping. It was perfect :)	
Feb 7 2006	We Loved the Moderne Hotel!	I read the reviews here after I had booked our room and I started to get a little scared. We stayed at the Moderne for two nights as we were in town for only the weekend. The service was helpful and friendly. The bathroom was super clean and quite new. The bed was very comfortable and the decor neat and modern. Dark... i guess it was dark when we closed the lights at night but in the morning there was lots of sun coming in through the back window. We also had a walk out balcony which was totally awsome and would be a great thing in the summer! (great place to put your beer in the winter if you don't get one of the free fridges!) For the price of the hotel it was better than i could have imagined. I agree with the others, if you want a chocolate on your pillow, you'd better expect to pay for it. The Moderne is great and I hope it's around for a while before they renovate into a boutique hotel and charge $300/ night. Visit while you can!!!!	
Jan 18 2006 	rat in my room	Stayed there 4 nights and the last morning a rat ran under the door and around the room. Came back from working one evening and the door was ajar. Another evening the key would not work. Filthy, filthy, filthy. The management did nothing.	
Jan 18 2006	Funky Boutique Hotel	This place was perfect for us! After reading some negative reviews, I was apprehensive. We booked through Ebookers who assured us we would have a quad bedroom. On arrival the nice guy on reception said they didn't have any quad bedrooms in the hotel, fortunately they had a second room available which he gave us at no extra charge!Our towels were replaced daily and beds made for us. We stayed in a large room on the ground floor at the back of the hotel, which was very quiet.It didn't matter that breakfast wasn't served at the hotel, as there was a lovely Deli on the corner two blocks away, with a small eating area. The bagels were only $1.50 each! I would definitely recommend this hotel to anyone wanting to stay in the hub of Manhattan.Don't forget to tip! :o)	
Jan 17 2006	Great location for tourist haunts	Stayed at the Moderne for 4 nights in December 05. Just yards from Broadway. Fantastic Irish pub opposite. Rooms small but clean. Staff friendly and polite.Hotel does not have own bar or restaurant but staff will order in for you - even an enormous pizza at midnight (plus lent a corkscrew for the bottle of wine that went with it!). Statue of Liberty, Times Square, Empire State Building, Rockefellar Centre and more all within walking distance. On arrival reception gave us maps, bus timetables and were always happy to give advise on finding our way around. Will visit New York again and definitly try to book into the Moderne again!	
Dec 27 2005	Just great!	A friend and I stayed at The Moderne for a week in May 2005. It is a smaller hotel in the heart of midtown Manhattan with excellent service. The front desk staff were always helpful, the gentleman who took our bags up was friendly, and the maid service always timely and efficient. We were lucky enough to get a room on the fourth (top) floor, which featured a door that let you go onto the roof at any time. What I liked about this hotel and why I'll be coming back is the price for the location; you're just a quick walk away from David Letterman and the heart of Broadway. Also, the street it's on is busy but never swamped- it's definitely a nice place to return to after the chaos of midtown. Five blocks up is Central Park and five blocks down are the 1 and 9 trains for access to lower Manhattan. Take the location with the great price and you have an awesome hotel to stay at.	
Nov 25 2005	Great Little Hotel	My family stayed at the Moderne for five nights in November 2005 and thoroughly enjoyed the stay. We had a room at the front of the building which was great. You could hear some traffic noise, but nothing too bad - anyway this is Manhatten! The two rooms were large, clean and comfortable. The only slight complaint was that the TV was in the bedroom, not the 'lounge' room. The double bed was massive, and the sofa bed was adequate for one person. The bathroom was large, with constant hot water. There was a free safe for valuables. The location of the hotel could not be better - one minutes walk from Broadway and ten minutes walk from Times Square. Free coffee and tea are served in the first floor library. The reception staff could not have been more helpful. I would recommend this hotel to anyone looking for a good value base close to everything.	
Nov 1 2005	Great place to stay in Midtown NY	This hotel is a great, 'what you see is what you get' hotel. The rooms are good, clean large bathrooms and a maid is in daily. 2 mins walk to 5th Avenue shops and 10 blocks from Times Square. Hotel staff were all lovely and a great help with advise. If staying in Midtown again we'd use this hotel again for sure. Great price (£440 for 3 nights including all taxes etc).	
Sep 8 2005	Clean and Comfortable	The room was small but was very clean and the king size bed was extremely comfortable. The pillows were the fluffiest I've ever had at any hotel. The view was of a brick wall but we spent so little time in our room that we didn't care if we had a view. The bathroom was a nice size and always clean. Never a problem with hot water in the morning or at night.The location is excellent. We walked to Times Square and the Broadway theatres. Never felt unsafe as there are NY police on every block in a 7 block radius of Times Square.TIP: If you want cheap tickets to the Broadway shows, don't stand in line at the TXTS booth in Time Square....try Broadwaybox on the net. We got tickets for 2 great shows and didn't waste our vacation standing in line!	
Aug 29 2005	Great Place For The Price!	I booked my reservations on Hotels prior to reading the reviews on Tripadvisor.com. When I read the reviews, I thought I had made a big mistake on choosing the Moderne Hotel. Upon arrival to the hotel, I noticed the banner that said &quot;Moderne Hotel&quot;. The lobby area was clean. The front desk person was very nice and professional. I was given the Junior Suite - one king bed with a pull out sofa queen size bed. The room was great! There were 3 of us staying in the room. It fit all three of us on the bed. The bathroom was big and clean. The location was walking distance to Time Square and the Theater district. It is also accessible to the Subway system. I'd stay here again. If you just want something simple, then stay at The Moderne Hotel. If you are too high maintenance and need the chocolates on your pillow, then go and pay $400 for a hotel and don't complain about this one.	
Aug 21 2005	Stay away from this hotel!	First off, this hotel promises and advertises amenities that they do not have. They state on their web site that they have a cappuccino bar, which is false. Their room directories state they serve continental breakfast which they do not. If that wasn't bad enough, they jeopardize the safety of their guests! For four consecutive days, their fire control panel showed alarms which had been silenced, this means that in the event of a real fire, we would never hear an alarm! We also stayed during some of the hottest weather in New York, (100 degrees, over 90% humidity). Our air conditioning did not work correctly, and when we asked to have it fixed, we were told that was as good as it gets! We had also purchased an inexpensive item, which was either stolen or thrown out by the staff. We don't care about the money, but we now felt very unsafe and were afraid to leave personal items in the room. Very rude, uncaring staff and we were told there was no management available to address our concerns, (their web site doesn't even list an email address). Unless you want to be totally miserable, stay away from this hotel.	
Jun 25 2005 	Great hotel/Honest Employees!	Yes, the room was dark which was PERFECT! It felt like a cozy bedroom instead of a hotel room, which we loved. The AC worked great; we cranked it, closed the curtains and slept like bats in a cave for 9 or more straight hours each night. The bed was super comfortable and the bedding was great--good sheets and pillows, down comforter, nice duvet. It was an awesome place to crash after a long day of walking around. Who cares if it's dark in the room during the day? Turn on the light or...I don't know...GO OUTSIDE AND SEE NEW YORK! The location--perfect. The employees--all were nice and helpful. And kudos to the housekeeping staff. My boyfriend left his IPOD in the room when we left. Housekeeping turned it in and it was FEDEX'ed to us the next day.Price--we paid 199.00 a night and were happy to pay it. Breakfast--I cannot comment about breakfast--we never eat hotel breakfast, so we didn't check it out. Bad reviews--The people who complained about stupid stuff like the slow elevator, the half shower door, the small rooms, no bagels, etc. must be high maintenance. There isn't a chance you will be 'roughing it' here unless have been living Trump style your entire life. Great stay--would stay again.	
Jun 23 2005	Fantasic location and great value!	You cannot beat the location, in a quiet street just off Broadway. Hotel is small with no facilities but there is so much to do in the area that this does not matter. Room was cute and clean - sure it had no view, but what do you expect in New York? Every room to overlook Central Park? Also very good value for money. I'd stay here again.	
Jun 7 2005	A great little hotel!	We stayed in the Moderne for 4 nights from 2nd June 2005 after being transfered from the Ameritania (the tiniest room I have ever seen!!). We were very happy with the room and the service we received. The room was on the large side with a decent sized bathroom and was cleaned daily. Yes the window was very small with a view of a brick wall, but the air conditioning worked fine making the room a pleasant temperature at all times. Overall I was very happy with this hotel and would definately stay again.	
Jun 6 2005	happy staff who love their job. NOT!	we were in new york in September, and the one good thing about the moderne is, of course, the location. very close to times square, and central park 5 min walk to each. also ed sullivan theatre, and the usual tourist stuff. Staff. the asian man who served breakfast was brilliant, nothing too much bother. as for the rest, what a shower of sour faced people. everything was a hassle for them. a smile? they dont know what it is. hotel. looks good at first, but soon gets depressing. far too dark. rooms look onto brick walls, and windows are sealed shut. very safe, i think not. but it was clean, and quiet. and nice breakfast. fresh bagels and cream cheese. yummy!!! apart from that, start spreading the news, WE LOVE NEW YORK!!!!!!	
May 20 2005	Wonderful Stay!	My husband and I went to New York to do the New York thing, see the sights, eat, and see a play. We wanted to stay at a hotel that was reasonably priced, centrally located to places of interest and not too average. We found that and more at the Moderne. We were surprisingly pleased with the location, the room size, and the staff, which were excellent.The location was ideal for our particular needs, the room was small, yet adequate, clean and cute. The staff always greeted us with a smile, suggestions on places to dine, methods of transportation, and &quot;Are u in need of anything else&quot;. They would take the time to hail us a cab when it was raining cats &amp; dogs, which for me was much appreciated. Steven and Dana were always smiling, available, and full of answers.I would recommend this hotel to people who want a reasonably priced New York hotel room, that is in walking distance to shopping on 5th ave., dining, and Broadway.	
May 10 2005	Absolutely wonderful experience!!!!!!!!!! Great Place!!	I have no idea why people are giving this hotel a bad review.......It is in a perfect location....short walk to everything...comfy beds and immaculate rooms cleaned top to bottom everyday!!!!!!! Employees courteous and friendly and very helpful to me!! A++ service. Dont expect a chocolate on your pillow..(you aren't paying for that!!) I will make the Moderne my home away from home the next time I am in Manhattan!!!So glad I stayed there!!!!!!!!!	
Apr 12 2005	Great Hotel - Great Location - Great Price	I read the reviews on Trip Advisor after making and paying for three nights at the Moderne. Was leery of what we would end up with. But no worries - it is a very small, older hotel - only four rooms per floor - but very clean, quiet and we had no complaints. The bed was very large and comfortable and the room was fine for two adults. The staff were very friendly and accomodating. Great coffee in the morning. And in the middle of everything! Easy walking to everything we wanted to see - which was everything - and around the corner from the subway. Even though there isn't a restaurant on the premises there are numerous places to eat less than a block away. And you can't beat the price for the location. I would definitely consider staying here during my next trip to NYC.	
Apr 9 2005	Impressed even an EX-Hotel General Manager	Front Desk clerks were very helpful. Even though they had given our room away and had to walk us to another hotel for the first night(we didn't get in to NYC until 11pm), I would recommend this hotel. It was centerally located and within walking distance to most locations we wanted to go.It is very hard to impress another hotel person, especially a General Manager, but they succeeded. After some of the reviews I read, I was very concerned (especially after them giving our room away), so I wasleery of staying here. But I am already planning my next trip to NYC and this hotel is already in my plans. Rooms are small, but are tastefully decorated. We were on 2nd floor and only 4 rooms on floor, so very quiet.	
Jan 29 2005	Stay well away! This many bad reviews are NOT wrong!!	Awful place! Just come back from a week's stay here and I can safely say I would NEVER stay here again. We had the same shower problems that other people have stated, in the middle of showering it would turn it's self off!! The heating would only be on high regardless of adjustments made and eventually we just unplugged it. We couldn't open the window as it was sealed shut and faced out onto a brick wall. The decor was shabby and not at all cool and funky as it looked on the website. The toilet in our bathroom would constantly run and asked for it to be fixed and was told it would be.......it never was! I have made a complaint to the Amsterdam Hospitality group and eagerly await their response	
Jan 8 2005	Great little hotel	My husband and I recently stayed at the Moderne Hotel in Manhattan. It's a small place; you might walk right by it if you weren't looking for it. The rooms are small, but nicely appointed. There's a cute breakfast room where a continental breakfast is served (real NY bagels.) The location is fantastic; 55th right off Broadway. Across the street is discounted parking ($20/24hrs - a deal in NY.) The desk staff were helpful and extremely accommodating- they let us check in at 11:30 in the morning on a day that wasn't too busy. Another plus-we've stayed at larger, pricier hotels that were far more noisy at night.If you're using your hotel just as a base for sightseeing and shows, this is a great deal. I read some of the negative reviews before I booked, and I'm glad I ignored them.	
Jan 6 2005	Breakfast! What Breakfast??	I stayed at this hotel for 4 nights over new year 2004/05. I had mixed feelings of what to expect from reading other reviews. The location of the hotel was great, close to Time Square and Central Park. The hotel was very clean and the rooms were spotless everytime we returned after a day out. The shower and bath were lovely especially after a long days sight seeing and shopping. The beds were nice but the room temperature seemed a little cold at times.I was very dissapointed at the &quot;promised breakfast&quot;. We only got breakfast on 1 of the 4 mornings we were there. There was plenty of coffee and orange but no bagel's like there was on the first morning. The staff werent too friendly either, not many smiles or hello's as we walked by.Overall the hotel is a sweet little place to stay a few days but im sure you can find much much better for the price.	
Dec 21 2004	Location Location Location !!	We have just returned from staying at the Moderne for a week and we must say we were pleasantly surprised. Having read the other reviews on this web site we nearly cancelled our booking but are glad that we didn't.The first thing to say about this hotel is that the location is perfect. Two minutes from Broadway, five minutes from Central Park and ten minutes from Times Square.The staff could not have been more welcoming and helpful. The accomodation was basic but clean and more than adequate. After all, we didn't go to New York to sit in our hotel room. The description of the &quot;view&quot; from the room is accurate - it was indeed a brick wall and a fire escape but to be honest, we just shut the blinds and didn't think about it. The room that we had was on the first floor but the window locked and there was a safe in the room for our valuables.What I think you have to remember here is that you're not paying for the Ritz or the Plaza and therefore are not getting it. What you are getting is value for money in good basic and cheap accomodation in the centre of New York. I heartily recommend this hotel to any visitors who are not hung up on fancy surroundings but are just looking for a place to rest there heads.	
Nov 15 2004	There is much better for the price	First of all, &quot;moderne&quot;? The decor attempts to be hip and ends up being cheap and squalid. They would have been better off just making it clean and light-colored, rather than those insomnia-producing bright red and green walls. Combine that with those nasty silver naughahyde chairs and that godawful headboard, and you've got vertigo and nausea, not chic.And what's up with the attempt to make the shower stall look modern by only using a HALF glass enclosure? Considering it's like pulling teeth to get towels and bath mats from the staff, why make the shower such that it gets anything you place within 3 feet of it soaked? The water temperature does, as many others have noted, vascillate unexpectedly while you're showering. In addition to myself, there were many other guests in the lobby during the several days I stayed there complaining about not getting towels. Each day it was a surprise: one day I would get a hand towel to put on the floor in lieu of a bath mat. The next day there would be no washcloths... Considering you can now buy white washcloths in bulk, 10 for a dollar, at most linen stores, I can see no excuse for a 35 room boutique hotel to not have enough linens on hand to replace them properly in the guest rooms every day. I considered stopping by one of those discount stores downtown to buy some to make a donation for the cause...Upon my initial check-in, the first room I was sent to had no A/C, and the second room (after a 30 minute wait in the lobby) was still not cleaned. The sentiment that someone checking in should not expect &quot;too much&quot; for the money is naive. Economy is no excuse for this place, especially considering the staff has only 3 dozen rooms to take care of on a daily basis. The rude staff thinks nothing of charging the usual exorbitant deposit for &quot;incrementals&quot; upon arrival--what possible incrementals could there be??? A boutique hotel should not be expected to offer premium cable, high speed internet, fitness centers, room service, wet bars, hair salons, gift shops, etc--but ANY hotel should be able to provide, at minimum, functional A/C and heat and adequate housekeeping.	
Oct 8 2004 	Ehh...I've been at better.	If I had read the other reviews before booking the Moderne, I most likely wouldn't have. It wasn't THAT bad, its just that I've stayed at much better, and I can tolerate a lot. First, the room and bathroom are tiny. I'm talking, the door almost hitting the bed on the way in! The room was definately around 10' x 10'. The room was dark; window opened to fire escape and then brick wall. Absolutely, no light coming through that window. While, I'm on the window topic, I couldn't lock it; tried like mad to no avail. The mattress on the bed was beat; the side closest to the door had a huge body dent! Bathroom fixtures were loose and the faux marble tile work was third rate. On to the good points: rooms are clean, hotel is quiet, one block from Broadway. Plenty of towels and hot water as opposed to other reviews.Would I stay here again for $200 a night: nope.	
Sep 27 2004	Clean and centrally located.	It's all about realistic expectations! This is Manhattan!...with very HIGH prices. This hotel is at a very good location, close to Grand Central Park, Gershwin Theatre and it is in a safe area. If you are on a budget and all you need is a clean room to sleep at night (no view whatsoever, like an inside cabin of a ship) with a clean bathroom to take your shower, stay at the Moderne. I don't recommend to stay here if you want to spend ANY time at the hotel or the room; expect great service, and definetely NOT for a romantic trip. My husband and I asked for a small fridge and bought cereal and milk at the wonderful Whole Foods Market located at Columbus Circle (within walking distance) and had that with coffee for breakfast in addition to the bagel served at the hotel. The market offers a great selection of eat-in or take-out healthy organic foods. We loved it.	
Sep 6 2004	The hotel was FINE!	I was quite nervous about the hotel after reading some terrible reviews, but it was fine! Yes, the room was dark (very dark at night -- pitch black, in fact!), and yes, it was small, but the air conditioning worked, the room was clean (and the bathroom was spotless!), the coffee maker worked, and breakfast was fine (as long as you like bagels). In fact, the breakfast room was quite nice -- lots of windows and a selection of books and magazines.For the price we paid (hotels.com) and the great location (A nice quiet street, but only a few minutes walk from both Central Park and Times Square) we were quite happy, and wouldn't have a problem recommending staying here.	
Aug 11 2004	Loved the Moderne	We had a very nice clean room in mid-town Manhattan. Yes the view from the room was not great but I didn't visit Manhattan to view the New York Skycrapers from my room. I would highly recommend it to others. Great experience.	
Jul 24 2004	You can do better	If you've read all the other reviews but like me think they must be wrong/ exaggerated, then take heed: they're not. They didn't put me off staying here, but basically most of the stuff I've read on this site about this hotel seems pretty accurate. It is VERY dark, somewhat shabby, still with a broken coffee machine etc etc. It also seems to be pretty disorganised in terms of services etc. None of this really bothered me - it was a fantastic location and I spent next to no time in my room apart from sleeping. It was also clean and the bed comfortable. However, just to warn you that if you expect certain frills, or intend to spend a lot of time in your room, you should go elsewhere. I'm sure better is available for a similar rate, even in the heart of NYC.	
Jul 22 2004	Help! Get me out of this hotel it is not Moderne	When we arrived at the hotel I thought that we had come into the back way and had to take the elevator up to the registration desk, boy was I wrong, the lobby was teeny, tiny! The elevator was so slow, and then the room was a complete mess. It was so dark and when you opened the window you could actually touch the brick building next door. We thought we didnt have a closet but found a door to one and the dresser drawer kept coming out on its own. We asked to move to another room but were told there were not any available. Then they said we could upgrade but we would have to pay the difference the next day for a junior suite. We left for a few hours and when we came back the room was hot, no air conditioning. They said it would be fixed by the time we came back that evening. When we did come back about 12 midnite, still no air, the staff went out and bought a fan, we stayed the night but I did not sleep at all and when I did get up I banged my chins into the dresser drawers. The next day we finally found a staff member who upgraded us to a junior suite at no cost. the breakfast we were promised consisted of coffee and bagels, I did not drink any of the coffee the coffee pot did not look too enticing and the cappuccino machine was a mess. It was not an enjoyable stay and next time I will check on this site for reviews. Do Not stay at this hotel!	
Jul 10 2004	Worst ever hotel	Worst hotel. Room smelt of ciggerates and paint, repair work and maintaince work going on. drilling was heard. Very awful substandard hotel. refused to stay here so checked out the same day. Did not even sleep here.	
Jul 2 2004	Should have read trip advisor before I bookednot after!	A friend and I stayed at the Moderne in mid-June.Our first room was one bed only ( we had asked for 2) but they found us a roll away bed until the next day when we moved to a 7th floor room. The room had 2 windows-one looked onto a brick wall very close by and the other onto a balcony overhung by the floor above- the balcony window was sliding patio type door and had no lock so we carried our valuables around with us the whole time. The TV reception was poor- not that we needed to watch Tv in a place like New York but the weather forecast and news would have been useful.Finally the AC unit was hanging off the wall and appeared to have been broken for some time. In the hotel itself, the promised cappucino bar had an out of order sign which looked as if it had been there for a while though we were assured that it was recent and was just about to be fixed. We did however find all but one of the staff extremely helpful -they arranged our car to the airport and tried to sort out problems where possible. I don't think I'd stay here again because of the lack of natural light and worries over security,but the location is great-if they could sort out some of these problems it would be a great place to stay.	
Jun 29 2004	Should have heeded the warnings!!!	We stayed at the Moderne for a girl’s weekend in late June 2004. The hotel was clean and the room was cleaned well daily. The location was great! That is where the good stops...although the room was small, that didn't bother us as much as the fact that the window looked out to a brick wall and had little natural lighting. It was so dark that we couldn't tell if it was day or night outside. Also, the room was supposed to be &quot;non-smoking&quot;, but its location on the first floor allowed smoke to billow in from either the lobby or outside. At times the smoke was overwhelming!!! The breakfast was fine and consisted of coffee and bagels. The espresso machine was broken the entire time we were there. Also, the half and half they provided for the coffee was not kept cold and even by 9am was spoiled. Finally, the front desk staff was horrible. He couldn't have cared less about the smoke, the half and half, helping us find a restaurant, or any other thing we asked him for. Bottom line is that there are better hotels for the price and if you have to stay at the Moderne, make sure your expectations are LOW!!!	
Jun 5 2004	Do not stay here!!	My room was incredibly dark...no natural lighting, it looked over an air shaft. There was inadequate artificial light as well; I couldn't see to read or to apply make-up in the bathroom. The room also smelled strongly of cigarette smoke, even though it was supposed to be a non-smoking room. The air conditioner didn't work properly, and the staff did nothing about it, although I asked several times. Also, the staff knew nothing about New York; when I asked the desk clerk for the best way to get to the Yankees game, he actually thought they played at Shea Stadium! I have stayed in many hotels of every class and I have to say this is proabably the worst: dark, smelly, depressing, thoroughly disgusting and with no amenities whatsover, not even something that should be a given, like cable tv. I have stayed in Econo Lodges that are better. What a pit!	
May 6 2004	Don't do it!!!!	Just got home from my trip and had a terrible experience at this hotel. First they quoted me a lower rate and were rude and couldn't imagine they couls have made a mistake. Thye also refused to honor their original quote and refund the difference.My room was always 85 degrees no matter what I did (the temp outside was mid to low 60s). The AC unit was nonfunctional and would blow hot air at times. The windows were like a giant heating system so I could never have the drapes drawn so to see outside. I had to complain and ask for a fan which didn't help much.The water pressure kept dropping so low that the shower wouldn't work (a nice thing to happen when you've already started your shower). I had to consatntly turn the water off and wait a few minutes to try again.The cappucino bar was great but twice I went down at 10:45AM (breakfast is listed as until 11AM) and they were already cleaning the unit so I couldn't get anything as everything else was put away (bagels etc).EVERY TIME I tried to tell someone that there was a problem I was met with condescending and rude people. 	
Apr 22 2004	it was so fun!	this hotel was small, but nice - and the floor i was staying on was home to visiting german gay pornstars, which made it LOADS of fun for me - the front desk assistant had fun too	
Apr 21 2004	DO NOT STAY HERE !	WOW ! We stayed here for just a few things.... didn't need anything fancy, just a place to sleep and shower ! The first night we had no towels in our room and no soap. They did bring us some but that seems strange to have to request some towels ??? We had no air or heat. The 2nd and 3rd days we had NO HOT WATER. I can understand things happening beyond their control but when I would call down I received NO apology. We should not have been charged for either of those nights. When we booked this hotel we were not expecting ANYTHING fancy, but we did expect HOT WATER, TOWELS, and soap. DO NOT STAY HERE !	
Apr 21 2004	Looks can be deceiving...	My best friend &amp; I stayed at the Moderne in July 2003 during a girls trip to NYC. The hotel looked interesting on the websites we searched &amp; the price was $115 a night so we booked 3 nights. The location was excellent &amp; the staff were very pleasant but upon opening the door to our room we were taken back. The room was clean but extremely small, much like a college dorm room with a large futon like bed &amp; very dark, you couldn't tell if it was day or night when you woke up in the morning &amp; forget about trying to look out the one small window in the room, it faced a brick wall. The best part of the hotel was the 24/7 coffee lounge with huge windows looking out on to the street below. The coffee lounge was a great place to unwind after a busy day &amp; plan for the next day. Looking back I wouldn't change our hotel choice as it has become a funny memory of a fun trip to NYC but trust me, if you must stay at the Moderne do not pay more then $100 a night, there are plenty of other NYC hotels that are a better value. I would not stay at the Moderne again nor would I recommend it due to the room size vs. the price. If you want a decent priced hotel in a great location I would recommend the Quality Hotel Times Square or Milford Plaza.	
Mar 22 2004	Shoddy Customer Service at The Moderne	I took my two young nieces here as part of an elaborate Christmas present that included dinner in a nice restaurant and a Broadway show with a stay at the Hotel Moderne which had come highly recommended to me. Well the hotel had NO Heat and NO Hot Water during our stay and it was in January during that ferocious cold spell we experienced. Well I had to fight to even get my money refunded. It required me to make numerous phone calls and speaking to various individuals who were each more rude than the previous person. I even had one person tell me I was lucky to even get my money back and that the hotel was under no obligation to do so. Although the hotel was nice looking and comfortable I would never recommend it to anyone due the shoddy treatment I received by the staff and management. They made me feel like it was a privilege to have stayed in an otherwise nice, boutique hotel in NYC without heat or hot water in sub zero temperatures. It left a very poor taste in my mouth.	
Feb 14 2004	Yuck!	We stayed at the Moderne for three days - what a depressing place! The room was tiny, dark, and the view from our window was the neighboring brick wall. The bathroom was cramped as well, and we got the typical New York water temperatures - fine one minute, scalding hot the next. Don't buy chocolate if you are staying there - we did, and that's how we found out the place had mice. They came out to eat it while we slept. Eew!	
