	Location Location Location	Great location great service the most comfortable bed ever. I stayed at the hotel for 2 nights in August and it is a great hotel. The staff are all very helpful and attentive. I dined in the restaurant for dinner and breakfast and could not fault it on either occasion. I would recommend this hotel to any of my family and friends.	
Feb 9 2008 	very luxurious	My husband and I stayed here after an evening at the opera (this was the perfect location) and were happy with our room and the service. The room was very attractive and nicely furnished, the bed was comfortable, the towels were nice and thick, and the bathroom had the most flattering lighting I have ever encountered. Service was friendly and attentive.Slight negatives: The view was of a brick wall, which was okay for the short time we spent there, but would probably be depressing for a longer stay. We had a lot of trouble getting the lights and television to turn on and off. I'm sure with some study, we could have figured it out, but when you want to go to sleep, you want to be able to just push a button and have the light turn off! There was no coffee-maker in the room, which is annoying if you like to have your first cup of coffee within seconds of getting out of bed. Finally, we were overcharged by $20 for the one item we took from the minibar -- they did correct the error after we pointed it out. These were all minor issues, and we would happily stay in this hotel again.	
Feb 3 2008 	High style and quality at the Essex House NYC	I wanted to write about a recent stay at the Jumeirah Essex House, because I was so pleased… it seemed to renew my love for old New York, high tea and Central Park.High tea is available in the lobby in the afternoon just have a seat and everything is brought to you, complete with scones, marmalades, tiny cucumber sandwiches, cookies, and of course a lovely tea service, this is open to the public. Or cocktails – sometimes you’re in the mood for strawberry champagne, and maybe a more hefty club sandwich, these are also available in the lobby. For dinner, a brand new world-class restaurant is opening February 2008, shame we missed it but from the looks it will be a splendorous space, all gold, silver, mirrors, natural wood, and a menu based on local availability of the freshest food from the Farmer’s Market. The staff at the hotel are warm, capable people, and the concierge can direct you anywhere you need to go- he also offered Central Park walking tour mp3 players as a nice way to explore the park.The rooms are elegant, yet so comfortable, especially the beds. Also the Essex House is certainly a convenient and prime location on 59th street overlooking Central Park. The hotel interior is embellished with beautiful art, marble, and photographs, all true to the hotel’s Art Deco heritage and charm. This combination of quality and high style brings out what is best about staying in Manhattan, and I will return both for business and pleasure.	
Feb 3 2008 	Nice room horrible Bath!	A great location, and a nicely refurbished hotel, Smart, but not over pretentious. The strange thing is, that having spent a lot of money refurbishing the bedrooms to a very high standard, they have left the old bath tub and tap fittings in. These fittings are really cruddy- it is no pleasure to shower in the old - chipped bath. Black mould is evident around the grouting etc, and being New York the bath tub is, as always, far too small to warrant physically taking a bathOtherwise, apart from the fact that it takes an age ( 15 minutes!) for guest services to answer the telephone it is one of the better hotels in New York. The brand new bar &amp; restaurant, whilst expensive- $8 for a coke, are super cool and fun to dine in .	
Jan 29 2008 	Great Location great rooms and bathrooms good service	Great location on Central Park South. Rooms are very nice. Bathrooms huge with lots of space for toiletries and include a nice sized tub in addition to shower. Flat screens with all kinds of visitor info in rooms. Service in hotel was very good.	
Jan 27 2008 	Excellent Essex	We enjoyed a great stay at the Jumeirah Essex House hotel in December to welcome in the new year.I must admit I was a little dubious after reading some earlier reviews but thought as we have stayed at the Jumeriah's sister hotels in Dubai (namely the Burj Al Arab Hotel) on several occasions and had never been disappointed that we would keep our reservations. We are so glad that we did!On arrival we were greeted with a warm smile and advised our suite was ready immediately which was nice after a long journey.The Essex House hotel has undergone a $70 million dollar renovation and we were very impressed with our Manhattan Suite accommodation which comprised of a living area, toilet/washroom, a dressing area with two double wardrobes, the double master bedroom and a bathroom with separate shower.Granted the view from the window wasn't great but it did over look Manhattan but hey I'm being picky on this minor point. The room itself was very clean &amp; ultra modern. A winner in our opinion.The Suite has nice touch of technology to spice up your stay such as two LCD TVs (one in the living room and the other in the bedroom), touch control mood lighting and a well stocked mini fridge. Perfect for myself, wife and our teenage son.In the living room the sofa doubled as a double bed and the maid service would make up &amp; put the bed away without any problems. This proved to be a great bonus as we could relax on an evening in our room with a drink &amp; TV whilst our son had his own TV &amp; privacy next door - great!Breakfast at $33 for the buffet was superb as you could basically have whatever you wanted and the quality of the food was first rate. Waffles &amp; fresh fruit an cream yum!The location of the hotel is excellent at the south of Central Park and just two minutes away from the Time Warner centre &amp; shops galore.We sampled the Jumeirah Essex House afternoon tea one afternoon which was delicious and the surroundings very relaxed. Well you can never get enough tea with warm scones, jam &amp; clotted cream!The location &amp; accommodation is excellent and the recent renovation works have brought the hotel right in to the 21st century.We travel regularly around six times per year either on holiday or business and always stay at high quality hotels and we were not disappointed with the New York addition to the Jumeriah chain.So in a nutshell if you want great accommodation, good quality service with a first rate location check out the Jumeirah Essex House you wont be disappointed.	
Jan 22 2008 	Exceptional Essex!	Just returned from NYC with my daughter for her sweet sixteen! Her first time in NYC I really debated where to stay. Location was important and I did not want it too pretentious; a luxury hotel with a friendly atmosphere is what I was looking for. I found it here we were both very impressed by its elegant decor... rich modern not too over the top. Fantastic rooms large by NYC standards with the best bedding! The hotel is constructing a bar/restaurant to be completed by feb/08, I'll be very anxious to try it because we found the service and the food both in the lobby bar and the other restaurant to be fit for a queen &amp; princess which is how we felt staying at the Essex House! Right across from Central Park it is a land mark with perfect views of the park and shopping at your doorstep. Highly recommended!	
Jan 19 2008 	Will definitely come back to the Essex House	I stayed at the Essex House on New years eve with my girlfriend. The staff was very friendly and accomodating to my requests. I was given a nice upgrade into one of their junior suites which was very nicely redone since the renovations took place at the hotel. The housekeeping staff was very prompt to getting to my room when I put the request in for the sofabed to be made up as I had some company in the room. Overall I would say my stay was very nice and the staff was very welcoming.	
Jan 14 2008 	Wonderful 40th Birthday!	My husband and I just returned from our long and wonderful weekend stay at The Essex House. We stayed here 3 years ago when it was a Starwood property. We loved our stay! The newly renovated rooms are spacious and relaxing! We had a king room overlooking Central Park. We had two huge windows overlooking the park with a telescope to focus in on the park. We also enjoyed the comfortable beds, the sensored lights that turn on from the nightstands and bathroom in the dark...very cool, and flat screen television. We always had a clean room and plenty of drawer and closet space...not always the case in some NYC hotels.The bathroom...which is very important for us...what amazing! We had a huge tub and a separate tile/glass door shower! Also, the thick towels and cool rose colored bowl sink...a nice extra. The bath gel, lotions and hair products from The Cornelia Spa smelled great.. A nice touch, they remembered it was my birthday..only mentioned it when booking, a small cake and champagne in our room...how nice after a great dinner at Le Bernadin, going to Jersey Boys and a special treat when we came back!We love the Essex House...great job and pleasant staff!	
Jan 12 2008 	Outstanding!	My Husband, myself, and our 4 year old son stayed here for two nights before heading to my in laws in PA for Christmas. I wasn't sure if this Hotel would be suitable for a family style or the Business travelor. We were so pleasantly surprised! The rooms were brand new and large! We even had a view of Central Park. Breakfast was included daily and we felt like we were royalty. We also participated in the Gingerbread tea in the afternoon after all day out in the city, and it was a perfect respite before a late night dinner. We were so comfortable at this Hotel I would highly recommend it! The staff was overly helpful and so polite! It was like I was in another world!Gilroy, Ca	
Jan 2 2008 	Great hotel	I booked the hotel well in advance to spend a special weekend getaway. The rates were high, but extremely competetive with what else was offered in the city and much lower than comparable hotels, like the Ritz around the corner.From the moment we arrived the attention to detail and friendliness of the staff was outstanding. My partner had a birthday and I casually mentioned that at time of booking and on the evening of the birthday we had to our surprise a lovely cake waiting for us. Our requests for ice, extra glasses etc. were taken care of in minutes and the lady giving the wake up call in the morning even mentioned the weather (it's snowing outside). Very impressive. The Lobby is grand and the rooms are stunning. I especially loved the extra comfy beds and large mirrors in the room. Having Central Park right outside just adds to the fantastic value. We had a romantic dinner once in their restaurant (which is quite hidden). Food and service was great, couldn't have asked for more. Will definitely stay there again when in New York.	
Dec 23 2007 	Nice hotel but expected more...	Have been to NY 5 times before, we have always stayed near Times Square/Broadway. As this will be the last visit for a few years, we wanted to try nearer Central Park for a change. Did a bit of shopping around on the internet and brochures, finding the Essex House to be one of the better hotels.Booked direct in February, securing a 'Stay Valued' rate, including breakfast and stating that 'no attention to detail would be overlooked, with those little extras', specifically against the rate description. This whetted my appetite for a great stay.We arrived around 2pm. and our Junior Suite was waiting for us, looking very nice, spacious and clean, state of the art and bright. Had a bit of trouble with the large wall mounted plasma TV in switching it on in the 1st place. It seemed to change channels of its own accord, and volume. It even switched itself on once in the middle of the night which was a bit scary! There was a small seating area, large walk in wardrobe/storage area and the bathroom seemed to be refurnished, apart from the 'old' bath. Still, all in all, pleased with the room, although the view was just of a courtyard and other hotel rooms. A little touch was when you got up in the night for the toilet, the floor lights would come in both in the bedroom and bathroom to guide your way without having to turn on the main lights. They stayed on for around another 3 minutes after keeping still, and perhaps were slightly over sensitive to some movement!Breakfast was OK. We advised that we were on the B&amp;B tariff but they weren't sure what food we could have. One of the servers said we could have the buffet, which was OK, but lacking in variety of hot and cold dishes. Service was good, especially at the meal we had on the last day in the restaurant, for dinner. The server engaged in light conversation and banter regarding Christmas and travelling etc., and the food was of good quality.I have stayed at many 5 star hotels, but when promised every attention to detail and 'those little extra's' - well, I was still waiting. I thought we might get flowers or fruit for the room etc. or half a bottle of wine, but this stay valued rate was slightly misleading, as nothing seemed out of the ordinary. Nothing wrong with that in essence as the stay was good, but with building my expectations like they did, I guess I was a little underwhelmed.On checking out, they charged me the wrong room rate and charged me for my breakfasts! The check out lady was very apologetic and helpful and it was soon sorted. All in all, a nice hotel, 4 1/2 star, well appointed room, but the promises I was made never materialised. Great location by the way, opposite the beautiful Central Park, where we had a lovely morning wondering around aimlessly!!	
Nov 29 2007 	Celebration spoiled by staff	I reserved a Suite at the Essex House through Quikbook for our 25th wedding anniversary celebration for 5 nights and emailed the hotel several times warning them that we would be arriving from the UK in the early hours and that we would like to be on a high floor. When we arrived at 2.30am after 16 hours travelling we were given a room on the 4th floor overlooking a shabby brick wall. I was extremely disappointed but not surprised that my communications with the hotel had been ignored. After a drawn out period of complaining that our celebration was being ruined before it had begun, the duty manager finally agreed to move us to a higher floor on our second night.The Essex House knew this was a special occasion, they had a record of my requests and copies of their staff's emails assuring me that my requests would be honoured. So I would love to know why they made the start of our stay a bitterly disappointing experience that spoiled a long-planned celebration.Aside from our problems the Essex House delivered on its reputation as a fabulous property with a sumptuous art deco interior and stunning newly refurbished rooms.	
Nov 20 2007 	Wonderful hotel 	We went to New York in October 2007, and decided to stay at a different hotel than we usually do. We chose the Essex House and was our stay fantastic! Not only was the room perfect -- extremely updated and high-tech -- the staff was very pleasant (except for one person at check out). Our flight from the Midwest had been cancelled on a Friday night -- I called the hotel -- and they did NOT charge me, even though it was already 9:30 pm on the night I was to check in!!! I was so surprised! They were totally wonderful about it, saying it was not my fault. So we checked in on Saturday morning after we could get a flight out. When we went to check out on Sun. (we were able to get a 2 pm late check out) one nasty young lady told us that we were down for 2 nights and that we had to pay for both. I talked to the manager, and she fixed it so that we only paid for the one night, saving us $500. Later, we got home and realized that we had left a handheld video game system and game inside the room safe. We called, and no problem. Security and the front desk worked with us to return our items via courier. Jeffrey in Security was especially wonderful and held on to our items to be sent. We were sure that we would never see the items again, but we got them back. What an honest crew! We will defintely stay there when we get back to New York -- and we go 3-4 times per year! I can't say enough wonderful things about this hotel!!!!	
Nov 18 2007	some service issues but overall great hotel...	i stayed at JEH for 6 nights in early november. rate wasn't great...paid 679 for not even a parkview but november rates were through the roof at other hotels as well. this is my third visit to this hotel. frankly, with the remodel, drop-dead location on the park and friendly staffing, i don't want to stay anywhere else. i go to new york to hit the theatre heavily. and this hotel enables you to walk there for a comfortable 20 minute walk...nice to not have to battle to find a cab. the cabs are pretty busy on central park south. only issues i had with the hotel are that it is too high tech for it's own good. the tv mysteriously came on every hour in the night and i had great difficulty turning it off...i finally had to unplug it. the lighting in the room is tricky to figure out, the high tech phones were confusing and the calking was sloppily caked around the grout line of the tub and the toilet ran a lot. the engineer and plumber were called for the tv and toilet issues but they didn't succeed to fix it. I'm not a very picky person so by unplugging the tv at night and closing the door to the bathroom so i wouldn't hear the toilet running, i was o.k. with this slight annoyance. I didn't want to move my room at this point so never asked if this was an option. i did use the complimentary bike to ride through the park which was lovely and greatly enjoyed the restaurant...a beautiful little place to have breakfast and dinner...great food by the way. so all in all, once they figure out the problems mentioned above, the hotel will be perfect.	
Nov 17 2007 	so dissapointed	To finish our holiday in the States we booked for two nights with a Central Park view with telescope. We were given a room on the third floor so of course a telescope was a complete waste of time. We had really been looking forward to the views over central park (like you see in the films) so phoned down straight away to ask for another room but was told they were full!!! The room was quite small which we expected for New York. Everything was brand new and pristine but too fancy for its own good - the TV is connected to some sort of strange set up and impossible to change channels - really weird!! The lights can be controlled on a screen but so difficult to use and then there are lights that come on by themselves by the bedside tables. These high tec things drove us mad!!! The next day we checked out as we could not bear the thought of spending half an hour to get the lights to turn off!!!	
Nov 12 2007	No Essex girls here	I stayed at the Essex House in a wonderful room overlooking the park - it is definitely worth splashing out a bit extra for the view. I can't wait to go back when there is snow on the ground. The park view rooms come equipped with telescope so you can see whats going on in the park, muggings, stabbings, rape... no only kidding, I felt surprisingly safe walking around shopping and sightseeing on my own and walked across the park a couple of times.The Essex House is a lovely art-deco relic of a bygone era. Slightly reminiscent of Claridges in London. The staff are unfailingly polite and nothing is too much trouble.The rooms are a little bit on the small side but then again this is premium real-estate so what can you expect, just don't order room service or you will be quite cramped. There was also a chaise longue in the room. The comfort more than made up for the diminutive square footage. Incredibly soft down duvet's the best I have ever slept under with silky egyptian cotton sheets, and best of all whenever you step out of bed little multicolored lights come on from under the bedside cabinets, they switch off automatically after a few minutes. Beautiful! The usual flat screen tv, bar, bathrobe, decent toiletries, etc make it a comfortable experience.Eating out you are walking distance from Tavern on the Green, a must, but a must book to get in! Particularly on a Sunday. Also Cipriani is close by. I ate at the Helmsley just up the road, which has a slightly cheaper restaurant also with a great view. But if you are on a budget come out of the hotel and turn left and then immediately left again to find the more reasonably priced cafe's where you can get breakfast for $7 as opposed to $25 in the Essex.You can't beat the location of the Essex as the bus tours are just across the road, as well as the horse drawn carriages. Lexington and Madison Ave for shoping and the Metropolitan Museum of Art which is a good 30minute stroll up the East Side of hte Park and full of unexpected surprises.This was the first time in 20 yearssince my first trip to NY when I stayed at the Chelsea - a completely different experience. I left a very happy camper and determined to return.	
Nov 9 2007	Nice Location Terrible Service	I lived in New York for 4 years and have stayed in A LOT of hotels there over the last 26 years. I hadn't stayed at the Essex House before but had worked film press junkets there. So when my mother and I were meeting in NY and needed a place to stay we decided to give the EH a try. The location is great because of the easy access to both east and west side transportation, but the service was severely lacking. It was atrocious. First of all, our tv was a nightmare. It never allowed for us to pick a channel. We'd press one button and it would just start wildly flipping through all the channels, finally stopping (after 2-3 min) on whatever it wanted us to watch. When we called to have someone service it they sent the phone techs up (1 hour after we called). Not sure why they were sent. They weren't sure either. The next day we called again about the tv and 2 or so hours later someone came up, looked at it and said &quot;it's new technology, the kinks aren't worked out yet.&quot; I'm pretty sure plasma tv isn't a new enough technology that the kinks haven't been worked out. I mean, I am capable of watching mine at home. Hmmm.On another occasion I called and ordered a bucket of ice around breakfast time (i'd say after the breakfast room service rush though)... TWO HOURS later it arrived. But that was after one of the phone tech guys called and said we had been waiting for hours for ice. No apology. Except from the phone tech guys. They were very nice. So, for $600 a night I think you can do a lot better. A LOT BETTER. A good location doesn't make up for really awful service. There are so many great hotels in NY, the Essex House really needs to get it's act together.Oh, and we paid for a high floor park view room with a telescope. When we got there there wasn't a telescope and we were on the 3rd floor. They brought up a telescope, but what was the point? Nothing to see from the 3rd floor.	
Nov 2 2007 	Solid hotel	Room was very nice and updated. Great location. Check-in was a bit slow, but not terrible. Asked the doorman to hail a taxi for a short ride to a business meeting, and upon finding out our destination, offered a ride in the hotel's car service, which was great.	
Oct 29 2007 	Awesome experience	I have used trip advisor many times to find hotels when I travel, but this is the 1st time I felt obligated to send in a review of my own. My wife and I spent the weekend at the Jumeriah Essex House and loved every minute of it. The staff was courteous and always available. The room was wonderful, with the most comfortable bed I have ever slept in. The location could not be more fantastic. All in all we had a fabulous experience and I wound highly reccommend this hotel to anyone for future visits to New York.	
Oct 27 2007 	Short But Sweet Stay	We had been recommended this hotel by some friends...and we were not dissapointed.When arriving at the hotel we were greeted by happy smiling faces and lovely lively music!! The only problem we encountered was a delay in the room being ready - this is happening more and more these days... but the room was worth the wait...We had booked a junior suite and a beautful suite we got.... on the 31st floor.... obviously recently refurbished.The atmosphere in the hotel was wonderful - I was happy to spend small amounts of time in the hotel foyer watching the world go by .....We had breakfast in the hotel and this did not dissapoint either.The position is perfect also - just across the road from Central Park and if you like shopping then you can shop til you drop in walking distance.I cant wait to return......	
Oct 27 2007 	Not worth the price	My wife and I checked in at 5:00 p.m. and, yet, our room was not available. We sat in the lobby bar for 45 minutes, not at all an inviting place, and ordered an $18 glass of wine and $20 cocktail - welcome to New York City! It took all that time to order our drinks and get served. In their defense, the servers were required to walk the length of the hotel to the restaurant bar to retrieve our drinks and then make the return trip to serve them. This should improve when the refurbishment is complete, but the space will still be cold and uninviting.Our room was quite small, but not uncomfortable. The furnishings had a pre-fab, modular look and feel to them. Not bad, but just not what one would expect for the price. The bath was tiny and difficult for two people to share, although the fixtures were nice.Coffee was served in the lobby each morning, but only until 7:30 a.m. One could walk down the street to the Ritz Carlton lobby and get coffee all morning. One expects a bit better for the price.All in all, we will stay elsewhere on our next trip. This is not a bad hotel, it simply is not worth the price and does not live up to its billing as a luxury hotel.	
Oct 19 2007	Do not stay here	I disliked this hotel so much and had so many bad experiences that I do not even want to to go over them again. I use trip advisor all the time so I felt like I should post some kind of warning to people. I am not one of those people who is never happy. I have written lots of glowing reviews on this website. Do not stay here. The staff really is incompetent and there must not be any managerial oversight. The ony good thing about this place is the location but NYC is easy to get around so do yourself a favor and stay at the Sofitel or the W.	
Oct 3 2007	Staff live up to the rude NY reputation!	Great location and beautiful hotel - the air con is fab on hotter days! Concierge however pretty useless and gives the most BASIC of help and the staff, particularly on check-in and departure, so rude and short with you - no please, thank you and certainly no &quot;have a nice day&quot;!!! Not great for people with babies either. Food great (if you can tolerate the 50% of rude staff and those with chips on their shoulders)!! Would I stay there again? Yes if I was going to NY again as found 99% of people outside the hotel too rude to be true (so the hotel staff doesn't make a diff) but will probably not enter NY again as I will probably punch someone...............	
Sep 29 2007	there are better hotels at the same price	I stayed in one of the refurbished rooms with a rear outlook. The room itself was beautifully appointed and very luxurious - I loved the lighting and decor. The lack of a view was compensated by the room being very quietHowever, these positives are outweighed by negatives associated with othe aspects of the hotel. 1. The bathroom is not in keeping with the quality of the bedroom - the tap was hanging off the wall and the shower head was pretty old and ineffective.2. The food in the lobby was awful - an omlette was the worst I've ever eaten3. Apart from the lobby - there is no bar to enjoy a relaxing drink - a personal preference but sitting in the lobby to have a drink did not appeal4. The housekeeping in the room was pretty poor - there was little effort to tidy things up - plus no turn down service5. Some of the staff on the ground floor were distinctly unhelpfulI know that the above may sound picky - but when paying $400+ for a room - these things should be done as a matter of course and service.I think there are better places to stay for the money	
Sep 23 2007 	Suffering from a New York Hotel problem	Came to New York over Fashion Week, so prices were inflated beyond belief (just because there is a shortage of rooms in the city, does not give hoteliers the license to print money - there is such a thing as 'value for money' - no matter what the price tag...). We managed to get a good rate at the Jumeirah Essex House.I was keen to see the hotel, as it has seen an extensive refurbishment (close to completion) and as Jumeirah's first hotel in the USA, I was sure they wanted to make a splash.The hotel has a great location opposite Central Park. The lobby is very impressive (especially if you are an art deco fan). The disappointment comes away from the public areas. The room renovation is half baked. The new rooms are well laid out, but certainly nothing impressive. There are also touches, such as new sink and wallpaper in the bathroom, but old plumbing and showerhead. Hoteliers should distinguish between a full and soft refurbishment. They have also listened to the market's demands regarding technology and entertainment and installed over sized flat screen TV's - the problem is they are too big for the room. The phone also was a nightmare to use - very complex and with no instructions - impossible to use. One number for service in a hotel should be the standard.Not wanting to remain on the negative - there were some nice touches in the room. I liked the soft lighting in the bed headboard, good bed linen and also an easy to use alarm clock (Hotel Managers reading this - ditch the complicated clock/radio/CD).You can tell that the Unions have a strangle hold on the hotel. The staff were very much there to do a job and not to offer service to the guests. You constantly had to wait for elevators because they were full of staff (and contractors) going between guest floors. Customers did not seem the focus and you rarely saw any Management presence.One final point - the bathroom ammenities were over scented. Definately not right for male guests.I feel that the Essex House is reflective of probably most hotels in New York. You can tell that Accountants and The Unions have the upper hand. Most look tired, badly refurbished and lack any passion. I realise that money has to be made - but every price tag must reflect value at the end of the day...	
Sep 18 2007	Absolutely Fabulous	This place was a dream! We were treated like GODS! They really know lux here - if you have the means, I HIGHLY reccomend you stay here - you won't be dissapointed!!!	
Sep 17 2007	Good location but service could be better	Our first experience was having to queue to check in, and then the room not being ready even though it was 2.30pm. The least I would have expected is to be offered a free drink and quiet place to wait, but this did not happen. The luggage/bellman service was completely chaotic.The best thing about the hotel is its location right by Central Park, also the Concierge service was very efficient and helpful.The room was quite small, but we asked for and got one facing a quiet street which was good.	
Sep 8 2007 	Fantastic Hotel	Fantastic hotel in a excellent location. Service was superb with champagne and chocolate strawberries on arrival.We booked our tour or the states through Trailfinders so we had a bargain!The rooms are beautifully decorated with a contemporary feel, with LCD tv's, quality furniture and fittings and most important of all AMAZING views over central park. We were on 8th floor.Highly recommended!!!!	
Sep 4 2007 	Jumeirah Jolly good	We spent 6 nights at the Jumeirah NYC at the end of August and had a great stay. We were upgraded to a Central Park suite for $569 per night so perhaps I am swayed in considering this a good choice of the top end New York hotels at the moment. The investment of the Jumeirah group is obvious as is their service quality and the location excellent.	
Sep 2 2007	Fabulous hotel!	This hotel is really first rate! They have recently redone the rooms and hallways and lobby and it shines! We stayed in a suite and it was collasal (especially for NYC). The amenites are wonderful and the bed and linens were so comfy. The suite only cost $450.00 and I would not be surprised if they could sell the suite for $1000.00. It was an amazing value. The conceirge was excellent and the front desk (Patrick) was efficient and friendly. The location is great! They also offer a free limo to drive you within a ten block area around the hotel. It was a 2007 Mercedes with a driver who opens the door for you as if the car were your own!!!! All heads turned whenever we got out of that car! The only downside is that the hotel restaurant is grossly overpriced and the food is just okay.I so recommend this hotel. I absolutely will look into staying at this gem again! ENJOY!	
Aug 28 2007 	Well done!	My wife and I recently spent 1 night at the JEH - we had a newly refurbished suite on the 30th floor which was lovely - great views of Central Park and uptown Manhattan, 2 42 inch plasma's, etc... They've put alot of money into this hotel and it shows.Our room was not ready at check-in but they gave us vouchers for cocktails in the lobby lounge, which was pleasant. Staff was friendly enough - no complaints. We would aboslutely stay here again as it is a relative &quot;bargain&quot; for Central Park South.	
Aug 28 2007 	superb stay for family with toddler	perfect stay. everyone was so nice and friendly to us and our 2.5 year old son. very nice and quiet room on the 6th floor. view was not great, but room was quiet. great location -walk across the street to c. park	
Aug 18 2007 	Okay BUT	Just returned from a 2 night stay at this hotel-deluxe king was smallish, but bedding and towels were high quality. Warning! Request a room that does not face 58th street, unless you wish to be awakened by construction at 7:30am!	
Aug 3 2007	Very Good Experience	I booked a weekend in the city through Amex. Rate was very good, better than any other website and I used points. We stayed in one of the remodeled rooms on the 4th floor (not sure if all the rooms are redone yet) and it was very nicely done, classy without being boring -- a huge improvement over the old Essex House. Not sure if they would have given me a room with a view considering what I paid, so I never asked. I was a bit surprised that the standard room only had a queen sized bed instead of a king. The room was very quiet, not a sound of anything could be heard. We hung up the &quot;do not disturb&quot; sign and housekeeping stayed away. We had breakfast at the restaurant. It is on the south side of the hotel whereas the old Cafe Botanica used to face the park. While the views are less attractive (non-existent), the space is beautifully done and the service is much improved. Food was excellent, basic breakfast menu done with flair. Service again was excellent. I don't know if they plan to move the restaurant back to the front once renovations are completed. A note about renovations: I think they are mostly done with the rooms and other renovations. The front of the hotel where the restaurant used to be is boarded off so I don't know if that will become retail or reopen as part of the hotel. But it is important to note that the ongoing work was not intrusive, in fact I barely noticed. The front desk was a bit slow. I don't know what the two staff people are doing punching in so much stuff on the computer for a simple check-out but it needs to be expedited. There is an &quot;Express Check-Out&quot; box near the front desk by the porter's desk but I never received a bill under my door so it wasn't an option. The new ownership has dumped a lot of money into this place and it shows. I think they need to resolve some service issues but otherwise it provided a pleasant weekend getaway at a good discount to the truly high end hotels like the St. Regis, Pierre, etc.	
Jul 30 2007 	Surpassed our expectations	My daughter and I I stayed at the Jumeirah Essex over an extended weekend (Thursday - Sunday) and couldn't have been more pleased or satisfied. Whomever oversees staff training is to be commended; everyone was friendly, attentive, helpful and very polite. Our Junior Suite was gorgeous; very large (including the bathroom) with a bed so comfortable that I slept soundly throughout the night. Overall, the hotel is lovely - especially the areas where renovation has been completed. The lounge off the lobby is especially pleasant and an interesting place to people watch while enjoying a cocktail. The food and beverage prices in the restaurants are high, but that is typical for a fine hotel anywhere. There are other dining options in the area, including Cafe Europa, just down the street. Yes, it was pricey, but I feel that we got what we paid for, and for once - it was a pleasant surprise!	
Jul 29 2007	Friendliest staff	I stay at a lot of hotels, but I can't think of any staff that is more proactively friendly than at this hotel. They smile and say hello, and if they learn your name, they use it again.	
Jul 16 2007 	Great Experience! Great Location	Enjoyed about a week at the Essex House. The new renovation is lovely with lots of interesting little touches including motion activitated night lights. Very comfortable rooms and a friendly staff. Great central location - perfect for business and for pleasure.	
Jul 14 2007	Memorable stay	My huband and I stayed at The Essex House an celebration of my 40th birthday and we couldn't have been more pleased.Everything about this hotel was perfect from checking in to checking out.Our newly refurbished room was beautiful with a fantastic lighting system,flat screen TV,marble bathroom,luxurious bed,fluffy towels,robes and slippers.The hotel staff were very friendly and professional and treated us like old friends.We would certainly return to this hotel with its wonderful location and do not hesitate in recommending it.	
Jul 14 2007 	The New York hotel	I have stayed in a number of 5 star hotels in New York including the Carlye - The Jumeirah beats them all.I had a room looking into the inside of the block, the view was non existant but so was any noise therefore a definate plus. The staff were friendly and helpful, even checking in at mid night.  I had been concerned reading some previous reviews about refurbishment - I suspect as a result of the very late check in I was upgraded and the room was modern with a massive TV and an unusually large bathroom. I think all the refurbishment is now complete.The location was fine, 2 blocks from 5th Avenue and walking to Times square only took about 15mins.Breakfast was expensive but reflects most 5 star NY hotels, but there are plenty options close by.And the best thing about the Jumeirah? the bed - this was so so comfortable it was like sleeping in your own bed.	
Jul 9 2007	Horrible! Stay elsewhere until they work the kinks out	Below is the letter I just finished composing to management. Bottom line is this... they have a lot of kinks they need to work through to get this hotel in a first class league. All fluff no substance at this point. Location is great though.Customer Satisfaction: This area was poor. We requested a room on a high floor, and got a room on floor 3. To make matters worse, the air conditioning was set at 57 degrees when we arrived and was broken. The TV also didn't work. The engineer arrived at our room and claimed he fixed everything, yet 2 hours later after sitting in a cold hotel room, it was clearly still broken. The engineer came down a second time. This time he stated he couldn't fix the problem. Therefore, we requested another room. When we arrived at room #2, it was dreadfully smaller and of less quality than room #1. Frustrated, we asked to be moved to a room of similar quality as the deluxe king room we had booked. This request was granted, but we were quite furious at this point, and nothing was done to appease us to make our stay any better for the inconvenience that was caused to us.Secondly, check-in and check-out was a 30 minute experience on both ends. The people working the desks were painfully slow. There was no express check-out evident to us upon departure, and no bill was put under our door.Lastly, we set the &quot;do not disturb&quot; light on our door when we retired for the evening. Every morning at 8:30AM, housekeeping knocked on our door to clean up the room, disrespecting our wishes for disturbance. On one particular day, housekeeping even came back a second time within a 2 hour period even though the &quot;do not disturb&quot; light was on. Very disrespectful.We did not receive turn down service. I would assume that this hotel wants to be in a league of &quot;first class&quot;. I would suggest adding this service for guests of the hotel. Although it appears more crucial efforts need to be made in other areas first.	
