	A 3 star hotel...	My husband and I stayed there for 3 nights. Location is good. The lobby is probably 20 sqm. Staff are polite but not welcoming.The rooms: really really small. Bathroom: really really small. Bed: really really small and too soft so if there's 2 of you prepare to cudle all night long because you'll sink to the midle. No views.So, try another hotel. With the amount of money Shoreham costs you'll find other hotels, also well located (if not better) where you have a bed where you can actually sleep.It takes more than white walls and funny lamps to be a modern luxury hotel. Would not recommend it.	
Jan 27 2007 	Great location	My husband and I stayed at the Shoreham between Christmas and New Year's, and we were pleased at such a nice hotel for a decent price. The rooms were small but were really clean and decorated in &quot;hip&quot; fabrics and decor. I really liked the Bose radio and the modern touches. One especially nice feature was the hot beverage bar downstairs with complimentary drinks. We never left without a drink in our hands. The location is great; it's situated between 5th and 6th, only a few minutes walk from Central Park or Rockefeller Center. We never ate in the restaurant since there was a cute French restaurant across the street and Klein's grocery just around the corner on 6th Avenue. There are bigger, fancier hotels if you want to pay the extra money, but I'd definitely stay here again.	
Jan 22 2007	Not a good experience	Check in went smoothly. Got there late. The room was an upgrade because I read that the rooms were small. They were. The size of the room didn't bother me, and it seemed clean and modern. The shower was nice. The bathroom was quite small.The bad part was the bed. The mattress was very uncomfortable and offered no support at all. We asked for a change of room and they were nice about it and moved us 2 floors directly above where we were. The mattress in the new room was a bit better but not great. We were disappointed. Also in the middle of the night (about 3:45AM) we were awakened by blasting music , either in the hall or next door. I called the front desk and they sent someone up to take care of it. Another problem was the in-room heat temperature - the controls were not functional so the room was quite cold. We requested a late checkout (1 hour), and were told they had &quot;no more late check outs left' Overall not a great experience - I will not go back.	
Jan 8 2007 	good hotel	We spent 4 days at the Shoreham just before New Year's Eve. We were 2 couples and they booked a Superior King room and a Deluxe Executive King for us because we were afraid of the size of the rooms after reading several comments. The one of our friends was nice, not too small with a big bathroom. But we were very disappointed with ours when we checked-in. We were expected a large room and it was just a little bit bigger, but the shower room (no bath) was so tiny we couldn't move, neither put our toilet bags. Actually they used a part of the bathroom to get a bigger room. What's more it was on the street, so very noisy because it is very badly soundproofed. The difference of price (about 200$ more per night) wasn't justify. So we asked for the same category of room as our friends. They agreed and gave us a Superior King room with a huge bathroom.Good points: the bed and the sheets are excellent. Nice decoration with smooth colors. The room is very clean except a stain on the carpet . Wifi access in the room, good breakfast, coffee and tea bar available all the time. We asked for a plug adaptor we got immediately. Negative points : the heater is very noisy. The customers are not very young, for a boutique hotel. We use to go in 5 stars hotels all around the world (Four Seasons, Mandarin Oriental, Amanresorts...) and we have a lot of expectations. This hotel is an excellent value in New york for the 280$ we paid per night (they had an amazing promotional rate for this period) with a fantastic location.	
Jan 5 2007	Excellent Hotel	Stayed in this amazing hotel in Nov 2006. Booked a one bedroom delux apartment and it was amazing. We were weclomed with a glass of Champagne or water. The room exceeded our expectations and the bed had to have been the most comfortable hotel bed we have ever slept in. The best bit was the &quot;ijoy&quot; massage chair....just what one needed after a days shopping in Fifth Avenue!!! Highly recommended hotel!	
Jan 3 2007 	Comfy room and great location.	Both my Girlfriend and I wanted to see the New Year in NYC but having never been to NY, were not sure where to go. We ended up booking Shoreham hotel due to the price and the location of the hotel. We arrived at the hotel at 11.30pm on the 28/12 and although the woman doing the check in was not the most friendly, the service was quick and efficient which you want at that time of night and after a long flight. The hotel itself is small, yet I was impressed with the services it offers such as gym, free coffee and a very nice bar. We had booked a superior queen room, which I thought was great although maybe a tiny bit small. The bathroom didn’t have a bath, but instead had a huge shower, which had enough room for two people easily. The bed was fantastic and really comfy, great after a long day in the city and the flat screen TV was a nice addition.The location of the hotel is awesome, between 5th and 6th avenue and not that far from central park or Times Square. A Subway station is only around the corner, which makes the city easily reachable. Just a word of caution, the subway compared to the underground in London is a bit confusing, however get a free map and it does help.I would recommend this hotel for anyone who wants to visit the city on a short break and visiting NYC sites is a must for everyone.	
Jan 1 2007 	Shoreham - like a crab in a shell	When we arrived at the hotel at 4:30pm, our room was not ready and we were assured of an upgrade. The upgraded room was slightly larger than the cells at Alcatraz. The window was in the corner of the room and was tiny, which in particular made the room feel claustrophobic. The bathroom had no shelves or hooks (you had to close the toilet top to have a place to put your shaving kit). The closet was about the size of a phone booth (if you're old enough to remember what the size of those are). The staff had a bit of an attitude (like they were doing you a favor). There were some pros: the bed was comfortable and there was free wireless internet access. Walking distance to Saks, Bergdorf, St. Patricks.	
Dec 19 2006 	Perfect hotel for an NYC weekend	This was my second stay at the Shoreham. I was excited to see the renovations I had read about. To be honest, there wasn't that much of a change in my opinion. The rooms just looked fresher. There was no plasma TV hanging on the wall in my room and if there was a minifrig, I sure couldn't find it. Oh, and I really wish they would put a note on the bottled water telling you that it costs $5! But other than that, you can't beat the location if you are there to shop! Two blocks from Bergdorf's.The staff was pleasant, but did not go out of their way. I'm pretty low-maintenence anyway.Bottom line, I wouldn't pay rack rate, but if I can get a deal through hotels(-), etc., I would definitely stay here again!	
Dec 18 2006 	Fake	Just back from New York and decided to write a review about the Shoreham. (Stayed Dec 13-14). I did not know that the term “boutique” was synonymous with garbage. This hotel is a joke! The best part of the hotel is their web site which they effectively lure people in with their trendy look and feel but do not be fooled! Behind the façade is an overpriced scam! We were very disappointed in the size of the room, particularly for the price they charge, but more infuriating was the response from the front desk when I went down to see them. They make you feel like a piece of (-) just for asking about getting another room. By the way I was not the only one, every time I walked past the front desk someone was complaining about the rooms. The rooms are manageable for one night but we were staying 5 nights and it is simply not practicable.Yes I was disappointed in the room size and the price, but the number one complaint was the front desk service. None of them seemed to be able to deal with the situation and the only alternative I was given was to upgrade for 200$ a night. How did I deal with the situation?I went on Trip Advisor, found a hotel called Dreams jut 2 blocks away on 55th closer to 7th ave and 200$ a night cheaper, walked 2 blocks west, up to the front desk and got a reservation for the last 3 nights. Walked back to the Shoreham and asked for my bill and told them I was checking out. True to form, the front desk girl, whom I had never seen before, looked down at the computer, printed the bill, did not ask why I was leaving 3 days early, did not asked how was my stay and did not even thank me.Packed my luggage and walked over to the Dream, a true boutique hotel where they actually seem to care that you are a customer. Avoid this pretentious joke of a hotel.	
Dec 5 2006	Mixed Feelings about the Shoreham	We recently stayed at the Shoreham for a weekend. They werefully booked with the Christmas Holiday Rush and the Shoe Show PRO:Very nice staff. Check in very pleasant. Had to wait until 3 o'clock, but they stored luggage. Bar area very nice and was always busy.. Bed very comfortable-Shower good pressureConvenient location to FIfth Avenue.NEGATIVESRoom size- extremely small-and we were told we had thelargest room in the Superior category. Bathroom stark and no hooks anywhere to hang towels. It was smaller than anycruise ship room in the lowest category!! It seemed as if theysliced two rooms in half. Carpet quite dirty too.Smoke was pouring through the vents from people smoking in non-smoking part of hotel. Really made our last night not pleasant at all.Not sure if we would go back, cannot beat location but roomsize was really too small. Might be okay for single businesstraveler. We did not want to go back to the room to relax atall since it was so cramped. We had a fun weekend, buthave loved other hotels.	
Nov 24 2006 	Can't wait to go back	Would I pay the regular price to stay here? No. But considering the $199 a night I paid, which included daily breakfast, I would definitely stay at the Shoreham again. The front desk was fast, efficient, and friendly. The room was clean, modern, and very comfy. I stayed in a queen deluxe room - perfect for two people. The bathroom wasn't all that big but the shower made up for it. I loved the shower head. What makes this place special are the little touches - the Aveda products, the complimentary trendy magazines, the 24 hour espresso machine, 300 count sheets, flat screen tv. An even bigger plus to this hotel is the location. It's near so much. The only time I didn't walk and used the subway was when I ventured to Soho and Chinatown. Other than that, everything I needed was within walking distance. I can't wait to return!!!	
Nov 14 2006 	Cool and trendy hotel in great location	We only stayed at this hotel for one night but would definitely stay there again. We booked a deluxe one bed suite on Priceline (excellent rate) and, having heard about NY hotel rooms, were surprised at how spacious it was. The bathroom is tiny with no separate shower. The bed is outstandingly comfortable. We enjoyed the free internet access downstairs and loved the overall design and feel of the place. Contemporary, yet friendly and welcoming. The bar area is great for a pre dinner drink, not too crowded on a Wed night but with a nice buzz. Our room was on the street (6th floor) but the noise was not a problem for us. One tip re airport transfer: leave ample time! Our taxi took over 2 hrs to get to JFK from the Shoreham and we missed our flight to London. We were advised (not by the hotel) that it would take 45mins so we left an hour and a half to be on the safe side. A combination of rush hour and a protest demonstration in Manhattan counted against us, so be warned!	
Nov 8 2006 	Absolutely wonderful	The hotel was wonderful, room was splendid, service was unbelievable and the location was perfect. We could not have made a better choice of hotel. We enjoyed every moment of our stay.	
Nov 1 2006 	Great Location and Amenities	Great location, and the complimentary breakfast (if included in your package deal) can't be beat: fresh fruit, bagels, scones, granola and yogurt. The 24-hour espresso/tea station was great, too. My only complaint: the bathroom was cramped and not super convenient. The toilet paper holder was next to the toilet flush handle (awkward to find when seated), there weren't enough towel and robe hooks for two people, there was no fan and the bathroom door was about one foot away from the bed (no privacy!). The bed was comfortable and the t.v./radio, etc. was a nice touch. Plus it smelled like bacon when you opened the window (I love bacon!). No view (room overlooked an alley), but that didn't matter to me at all. We received complimentary glasses of champagne upon check-in.	
Oct 30 2006 	What u see is what u get	My husband &amp; I from Australia stayed for 3 nights first then went on a cruise then came back for 1 night. On our 3 nights stayed in Penthouse (HUGE) on 11th floor room was very nice clean, with 2 plasma TV, Queen bed &amp; shower was wonderful (Full Massage feature) in shower, but view terrible so didnt open blinds. On our second stay on 6th floor facing street, room was just as beautiful (HUGE) this time King bed, massage chair (fantastic) in lounge 2 plasma TV just as room shows in homepage of suite in Shoreham website, but with no massage shower this room but had a bath (bathrooms small) but it was very, very noisy &amp; could not sleep. Staff very helpful, food good has room service &amp; breakfast in bar room, gym available &amp; free coffee &amp; tea in lobby. Hotel has minimilist features &amp; very contemporary design. I was very happy with stay &amp; value for money (but don't stay in front rooms!!) &amp; Lift is small but for us that was ok. Very central to everything in NYC. Would definately stay again.	
Oct 18 2006 	Great Little Boutique HotelGreat Location	We spent 3 nights here recently. The room Queen Superior was very nice. The window faced the street on the 2nd floor and was very noisy during the night, so we requested a room change for the next 2 nights. No problem, we were moved to the 9th floor.The staff was always polite, the continental breakfast was included in our room rate (a special) otherwise I would recommend something less expensive as their are many diners around the hotel. The bar was very busy on Thursday, but quiet on the weekends. Nice restuarant 2 doors down. It was called La Vineria (it was a small Italian place, very good and not too pricey) as this is in a pretty expensive part of the city. Location was great for both the West and East sides and Central park. Our son, who lives in NYC, wanted to stay over one night as we got in late and he was coming back early the next morning. I called the front desk and got a rollaway bed. No extra charge (for the additional guest or the bed) which I thought was nice.I would stay here again if I wanted to be in this location.	
Oct 9 2006	Absolutely Wonderful	I visit New York quite a bit to see my daughter in the City and this hotel made this trip a real pleasure. My friend was meeting me and they made it particulaly easy for us to hook up. The front desk help were happy to help with anything you wanted while actually caring what it was that you wanted. I actually wanted to say Good bye to one of the clerks....now that does not happen too often in NYC. The room was small but not uncomfotably small and the flat screen TV and wine cooler and small refrigerator was quite a treat. Everything in the hotel was brand new, down to the faucets in the bathrooms which was kind of fun. The bathroom shower was actually huge...no bathtub though which was fine with us. The lobby was fun, the bar up front was open to the street and although we did not have drinks there at night, we did enjoy the continetal breakfast which had been included in our rate. The expresso machines in the lobby only put the icing on the cake since we could run down upon waking up and grab a cap to enjoy in the room with our New York Times which was delivered to our door even on SUNDAY!!! No pictures to share but all was very nice. I will always look for acceptable rates here when coming back to New York. Location easy to get to everything and there were restaurants on the block that were great when you were too tired to venture out any further at night. The Italian restaurant recommended by the front desk a couple doors to the East was one of the best up town restaurants I have been to and very reasonably priced, not cheap but not ridiculous. Not for families though, more a couples place with a good wine list. Anyone staying here will truly enjoy this hotel and the staff.	
Aug 31 2006 	Competent business hotel	I always stay here when I'm in NY on business, because I think it's the best hotel for the money in midtown (although the atmosphere is a bit sterile if you're on vacation). It couldn't be any more convenient for midtown shopping, it's clean and modern, and most of the staff are charming and helpful. They also do a pretty good breakfast.On the downside, the rooms are very small, there's no mini bar and people who prefer a bath to a shower will be disappointed (although I love the huge, white-tiled showers - much nicer than the usual cubicle), but if you've seen what else is available in the area for a similar price, you'll agree that The Shoreham is comfortably ahead of the competition.	
Aug 30 2006 	Great location contemporary 	I've just returned from a 5 night stay at the Shoreham - here are my thoughts:Location: Superb! On 55th Street between 5th and 6th so right in the centre of Manhattan and close to Central Park, Times Qquare, shopping etc etc, handy for everything.Hotel General: Trendy, modern, contemporary and boutique. The ground floor area is lovely, great bar and the free tea, coffee, hot chocolate machine in the foyer is a nice touch. The fitness room is great and there's free internet access. The bar makes this hotel (be warned though you won't get a drink past midnight). However when you get past the trendy ground floor you can see why this is a 3* - it's just a little rough round the edges, although nothing to complain about.Check In: My partner arrived before me at 3pm in the afternoon (after an 8 hour flight) and the room wasn't ready. When I arrived in at 11pm - check in was quick, and the free glass of champagne on arrival is a nice touch. However, I wasn't offered any help getting my bags taken to my room so struggled with a suitcase, laptop bag, handbag and glass in my hand as the reception staff stood by and watched. Staff: O.K but a little -- and could do with being more helpful! I say this for the following reasons: 1. Check in as detailed above. 2. The door to our room was left open by the cleaner one day (you could clearly see it was open) and when I told reception I didn't get much of a response or apology! 3. We were woken up at 3am in the morning by the fire alarm and had to climb down 4 flights of stairs on the external fire escape of the building in the early hours of the morning (in the dark and rain) - no staff were on hand to explain why and when the fire crew said we could go back to bed the staff member who had turned up could give no explanation. The same night 30 minutes later we were woken again 3.30am - forced to go down the external stairs (again in the dark and rain) and again no explanation. When I mentioned to the staff the next morning that some communication would be nice I was given just a blank stare and the guy shrugged his shoulders and looked at me blankly - he clearly didn't care! 4. At 12pm one evening I asked for a drink at the bar and was told they were closed up - I explained I was a resident and was told too bad. This place could do with some customer service training.Rooms: We had an 'exec' room - good size, clean and tidy and functional. The room did smell a little damp I thought and I think this is to do with the fact that the bathroom has no fan so the damp from the bathroom circulates round the room. But all in all great (although the cleaner did forget to leave the complementary Aveda toiletries one day)!Overall - if you get this one on deal and can avoid the staff then it's a good place to stay.	
Aug 29 2006	Great Location - Unique Modern Place	The hotel was very nice and very artsy! We stayed in a 2 bedroom room. It was a wonderful stay - beds were very comfortable. The shower was wonderful with 5 shower heads! Would definitely stay here again. The location was magnificent as well.	
Jul 31 2006 	Spectacular Shoreham	SPECTACULAR! That's a one word description of the Shoreham Hotel at 33 West 55th Street in the heart of New York City. Where should I begin? The spacious, immaculately clean rooms range from &quot;absolutely beautiful&quot; for a spacious, immaculately clean standard room to &quot;awesome&quot; for one of their magnificent Penthouse suites. How about the welcoming glass of wine handed to you at check-in where you are cordially ushered into the lush lounge while your luggage is swiftly delivered to your room. Or the slate and marble floors and suede wallpaper...Or the twenty-four hour complementary coffee, capuchino, expresso, tea, or hot chocolate...Or the exquisite newly decorated restaurant and cocktail lounge where residents meet in the evening...I could go on and on detailing all the magnificent aspects of this outstanding boutique gem of a hotel. I've saved the best for last...the UNBELIEVABLE friendly staff...each and every one of them as beautiful on the &quot;inside&quot; as they are on the outside. They will become &quot;family&quot; before you leave! The location can't be beat with access to everything needed for a memorable New York visit...theaters; restaurants; Rockefeller Plaza; Lincoln Center; Central Park; window shopping on Fifth Avenue; the Museum of Modern Art...You name it, you can walk to it! As a Convention Assistant, I am well aware what separates the &quot;mundane&quot; from the &quot;wow&quot; features in a hotel and, after two visits to the Shoreham, I would find it unthinkable to even consider a stay at any other New York hotel! The &quot;cherry on the cake&quot; are those in charge. Unlike every other hotel I've experienced, whether in America or Europe, Joseph Reyes, the General Manager, and Aaron Bozzi, the Assistant Manager, are visible and ready to assist you in every way imaginable! Trust me on this one...if you are headed for New York City, Make the Shoreham Hotel your destination...whether it's a business trip or a family vacation. This &quot;jewel&quot; will become, as it has for me, your &quot;home away from home&quot;! Jackie Singer, San Diego (Last stay-July '06)	
Jul 21 2006 	Awesome location!	My wife and I stayed here for our honeymoon, and I'm convinced this place is the best deal in NY. It was clean and comfortable, and has an incredible location for shopping and shows. This hotel shares the street with the St. Regis and The Penninsula hotels, so it's clear they're doing something right! It's a short walk to central park, times square and 5th Ave shopping. I think this is a prime area for a first time visit to NY. The only problem with this district is that there aren't many good restaurants in the area. The hotel itself is very stylish and trendy, and has incredible prices for what you get. Yes the room is small, but so is every room in NY. All in all a great place!	
Jul 8 2006	Wonderful Stay!	The room was perfect. Great location. Staff goes above and beyond. Skip the breakfast though, a little pricey. Very neat and clean. Unlimited access to latte machine downstairs and the newspaper was delivered everyday.	
Jul 3 2006	Mixed Bag	My wife and I sought a luxury hotel with a slightly lower price tag than the highest in the NY. The Shoreham's location is great for shopping and walking to theater. The staff is young, hip and tries hard, although a few looked too much like bouncers. Our suite had a decent sitting room with an uncomfortable sofa and a bizarre exercise chair that resembeld a Lazy-Boy. It did work. The bedroom was not good. There was only one end table by the bed. The cloest was tiny, but spacious compared to the bathroom. It couldn't have been more than 30 square feet. No room for toiletries or your feet. Impossibly claustraphobic. I guess you get what you pay for!	
Jun 13 2006 	Should Not Have to Sleep on Raw Mattress	This is a nice enough hotel in terms of lobby and decor. However, the bottom sheet and the mattress pad are under-sized and do not cover the entire bed. It is bad enough to have to sleep on the mattress pad but to also have to sleep on RAW, EXPOSED MATTRESS is simply disgusting. I hope they got a good deal on off-sized sheets because they did not get additional revenue from me as I checked out after one night.	
Jun 4 2006	Excellent!	The Shoreham is in an excellent location and convenient to great shopping, Central Park, Radio City and the subway. Impeccably clean, quiet and great service. The staff is very friendly and helpful, even offering you a glass of champagne or water upon arrival. We found the room to be larger than expected for a boutique hotel, and the bed was extremely comfortable. If you are looking for a modern, clean and quiet hotel that is understated trendy and hip, this is the place!	
May 29 2006	Great Stay	Ultra Clean BathroomQuiet 3rd Floor RoomClassy, Low Ego StaffGreat Location, yet quiet Street1/2 Block from Trump TowerSparkling Water upon Arrival	
May 18 2006	Do yourself a favor and stay somewhere else	My wife and I booked a spa-tacular getaway package at the Shoreham Hotel for Mother's Day weekend. Despite the fact that this package included &quot;guaranteed 12 noon check-in,&quot; the desk clerk informed us that our room would not be ready until at least 3pm. That didn't work especially well with the spa treatments that we'd booked to begin at 3pm and threw the entire day's schedule into disarray. Clearly the Shoreham staff didn't especially care and viewed the situation as our problem, not theirs. Their solutions (we could hang out in the lobby, we could have a worse room than the one we booked) were pathetic. In the end, we chose to cut our losses and leave. Not sure what Shoreham management thinks &quot;guaranteed&quot; means. On behalf of my wife, thanks for a great Mother's Day Shoreham!	
May 15 2006	You can do better in Manhattan than the Shoreham	I booked a room for my parents this past weekend at the Shoreham and they were sorely disappointed. As former natives of New York and world travelers, they certainly know hotels. Their issues were numerous:1. Although advertised as a queen, the bed appeared to be far smaller than a traditional queen.2. The tub was so slippery (and no mat was supplied) that my father was afraid to take a shower.3. The air-conditioning was sub-par.4. After viewing the dinner menu online, they booked a reservation --only to find that the hotel, in fact, does not have a restaurant. They did not want to eat dinner in uncomfortable bar seating, and so went down the street to La Cote Basque and had a very enjoyable meal.For a stay of less than 24 hours, I find these issues to be unacceptable.	
May 1 2006	My New Favorite NYC Hotel	We just returned from a visit to NYC which included a stay at The Shoreham. We found the staff were not only professional but the most genuinely NICE personnel we've encountered. Our theater tickets were for the night we checked out so we asked about leaving our luggage. The general manager told us he still considered us to be guests of the hotel and invited us to leave our bags and return to use the hotel facilities before the show.Our large, tenth floor room was tastefully decorated in soothing shades of gray and white. Fresh lillies added warmth. The room was very quiet with lush bedding and a plasma tv but the best part was the shower with FIVE shower heads. No elevator wait was longer than one minute. A lovely breakfast buffet was included in the room rate.We will definitely return to The Shoreham and we highly recommend it.	
Apr 23 2006	Great Location	My boyfriend took me to NYC for my birthday weekend at the end of March and booked this hotel. The best thing aboiut this hotel is the location. You are blocks away from all the stores on 5th Avenue. The hotel is a modern boutique hotel. I have stayed in hotels all over NYC. This is an average hotel in terms of ambience. We booked this hotel via a special on travelzoo. It was less then $200 per night which was a steal for the location and the fact that it was NYC. Rooms are sized adequately for NYC. Bed was very comfy. Bathroom was a little cold in decor (felt like a prison cell) but the water temp and pressure was fine. Great hotel if you are just looking for a place to sleep in between seeing the sites of NYC. There are better hotels though......One big problem- parking was a rip off! We pulled in front to drop off our bags and the hotel bellman immediatly took the car to the Shoreham's off site lot. We were never given info about the cost of parking. (It pays to ask!!) The next day, they brought our car back and had charged us for 2 days because we arrived an hour before scheduled. Total was $90 for approx. 25 hours. You can park for much less if you park on you own!!	
Mar 29 2006 	Many small problems	I just got back from a week in NYC. Unfortunately, the Shoreham isn't what all the &quot;positive&quot; reviews described. Well it turned out to be a bit of a saga. We arrived and spent the first night literally rolling towards the middle of our queen bed. Needless to say, we didn't get much sleep. The bed was way too soft and actually showed quite a bit of wear. We were surprised because this is the first time we've experienced this in NYC. We try to go at least twice a year. We've stayed at the old Empire, Pierre, Barclay, Drake, to name a few, and never had any problem. The next day we asked to change room and were told on the phone that all the rooms were booked and the best they could do was to change or flip the mattress. Well, after they changed the mattress, we couldn't detect any difference. We then went directly to the front desk and asked to see what could be done. All of a sudden, 3 rooms came available! The first 2 rooms had the same problem----the beds sloped to the middle. I guess for one person it would have been okay but not for 2. Finally, we were offered a handicapped room with a king bed. Hooray, it was a firm bed that didn't show the same kind of wear. The rest of the room was okay. There were other small things that became bothersome especially if you want NOT to have to think about your hotel while vacationing. The bathroom door didn't close properly. The sink, faucets and toilet were so loose we were afraid they might come apart if we were not careful. On Sunday morning, we couldn't get the water warm enough for our shower. The bottom sheet for 2 days were too small and kept bunching up during the night. We knew there wasn't going to be a coffee maker in the room (which was fine since most hotel room coffee is so borderline anyway) and instead a coffee machine was available on the 1st floor. The problem was that the machine was broken for 3 days. We asked for a wake up call twice and we finally gave up. The first day was fine. The second morning the phone rang 45 mins. earlier then the appointed time. The third day, which we didn't request for a wake up call, we received a call at 6:30 AM! We liked the location and the staff was friendly but very young. That may be the problem---experience! If a better manager can oversee the hotel, especially details, the Shoreham would definately improve. Erin at the front desk saved our stay! Thanks! As it is, unless you get a very good rate, $160 US or less, it's not recommended.	
Feb 21 2006	Cosy comtemporary retreat	I stayed in NYC on the coldest weekend of the year. Although the rear lobby was cold (as was my bathroom),I thoroughly enjoyed my stay. The room was small, but clean and bright, the staff was pleasant, and the location safe and ideal for theater, shopping, and dining. Perks included free daily newspapers,internet access, and a much appreciated cappucino machine in the lobby. The adjoining bar (sleek and contemporary) offers a full view of 55th street, great for people watching. I would return to the Shoreham.	
Feb 20 2006	Good Value Friendly People	Great value, I found it on Hotwire for $149/n It shows up as a boutique hotel in midtown. The location is excellent with the Penninsula Hotel and the St. Regis just across the street. You can walk to 5th avenue in about 1 minute and Times Square in about 15 minutes. The bed was very comfortable and seemed brand new with linens I would have expected in a five star hotel. The place has just undergone a full renovation and it shows, however the actual quality of the work is poor so I would expect within a few years the place will begin to look shabby again. The staff are very friendly (especially Emily) and the free internet access, lattes and (american) champagne are nice touches. I would recommend this place to friends.	
Feb 19 2006	I liked it just fine	I won this hotel on priceline for $110 a night. What a bargain! The location is great for tourists, right in midtown, close to the park and 5th avenue. The staff was friendly, the room was fine and on par for a Manhattan Mid range hotel. I liked the coffee machine ALOT. The shower was very weak and it seemed to be out of hot water on sunday. I would definately stay again if I was able to get that price. Maybe not if it was rack rate.	
Feb 13 2006	Trendy Hotel in Great Location	The Shoreham is a good-looking hotel. The lobby and restaurant/bar area reminded me of a smaller, more intimate version of the Paramount. It has the same &quot;modern/trendy&quot; feel. The rooms are 100% better than the Paramount, though. While still very small, almost to the point of being uncomfortably so, the rooms are well appointed with great beds and great large bathrooms. I loved the design, but only wish the rooms could be a bit bigger, especially around the bed and desk area. Since I mostly come to New York on business, I always need a desk area and this one was definitely lacking. The service was middle of the road, but on par with everything else I've experienced with other New York hotels. We had breakfast the next morning and it was just OK. The set up of the restaurant with lounge/bar seating does not make it conducive for meals. Since most folks visiting New York do nothing more than just sleep in the hotel room (meaning, they don't expect hotels to be resorts), this is a fine choice. This was an overall fine hotel experience if you want to stay someplace new and modern in New York for a good price and a good location.	
Feb 9 2006	We love it	We loved the Shoreham. It was a great location. The staff is very warm. When you check in you get a glass of champange and or bottled water. The room was very nice a little small.The only complaint we had was it was very loud. The room doors slam and the airconditioner was very loud.	
Feb 1 2006 	Mediocre Stay	I booked a room at this hotel for around $180/night, and given that price in NYC, it was what you would expect. My stay was mediocre--nothing horrible but definitely nothing great. We had problems getting hot water in the showers. There was no fridge, and the cappuccino machine was broken during our stay. The staff was friendly, but don't ask them for directions anywhere because they'll give you the wrong ones. Unless the price fell more, I don't think I will stay here again.	
Jan 25 2006	We loved it.	We booked this room on Priceline and got a good deal. It is classified as a Midtwon West hotel, but is right on the border of what is Midtown East, so it was an excellent location to shopping and also theatre.They offered to upgrade us to a double room, but we preferred the Q bed, and the non-smoking floor. The bed was very comfortable, new and clean. The bathroom was big, which was nice. The room was small, but it had what we needed. It was quiet and the hotel staff was very helpful. The cappucino machine also provides tea and hot chocolate in addition to coffee and steamed milk, which was a neat little bonus.We would stay there again.	
Jan 23 2006 	Pretty ghastly overall	We arrived at the hotel at the check-in time of 15:00 but neither of our rooms were ready for us. We had to wait until 16:30 to get into our rooms. However, they did upgrade me to a suite as they could not provide the smoking room I reserved. There is no fridge, minibar or coffee maker in the rooms, just a lot of high-tech equipment such as plasma TVs (but no cable). Central location and staff friendly but incapable of operating in an efficient manner. View outside the room was some parking lot. Management must do better. I don't think I will be staying there again.	
Jan 18 2006 	Charming hip hotel	Every time I go to NY and stay, I choose The Shoreham every time. I am constantly recommending the hotel to family and friends, and now to you. I have stayed there on 4 occasions for a length of 2 weeks. The staff is knowledgeable, and pleasant. It isn't a stuffy, up tight hotel. It's uniquely charming, with modern flare and sophistication.	
Jan 4 2006	Great hotel!	We stayed at the Shoreham for New Year's Eve after getting a great deal on Priceline. We paid half of what people were paying for a 1 star in Manhattan on New Year's and we booked only 2 days before our stay. The service was excellent. The hotel room was very clean but a little on the small side but was very welcoming after a longggg day in Times Square. The free cappucino's in the lobby was a plus too.:) Great location! Times Square only a short walk away as well as Rockefeller Center. Would recommend this hotel.	
Jan 2 2006	New Year's Eve at the Shoreham	We stayed at the Shoreham for New Year's Eve. We booked late using Hotwire and got an excellent deal. The location was perfect as we could walk to the festivities in Times Square to watch the ball drop! The room was very elegant and the bed was extremely comfortable. The bathroom was very modern. The service was excellent.Definitely a great place to stay and be sure to check out Cassidy's Irish pub a few doors west on 55th street - great food and atmosphere!!Happy New Year's!!	
Dec 21 2005 	Amazing	I stayed here for six nights in late October of this year (2005). I was a little wary of the construction I had read about here in TripAdvisor, and when I arrived it looked like it would be pretty bad--there was construction inside and outside of the hotel. But once I talked to the staff (who were quite friendly throughout my stay), and got to my room, I was immensely relieved. The room was refurbished--brand new, in fact. It was modern but not too modern (like, say, the Alex or Royalton, which are way too modern); it was not old-world, definitely, but it was still quite comfortable. The room was huge, with a big king-sized bed that was very, very comfortable. The best parts of the room, of course, would have to be the plasma T.V. on the wall in front of the bed (so, so nice!), the Bose sound system, and the very clean, modern shower with five shower heads. The room was, I must say, the best I've seen in the city except for a large suit in the Hilton (and I've seen rooms in the Hilton NY, Michelango, Intercontinentel, Alex, Royalton, Hudson (a horrible, horrible hotel, by the way), and Sheraton Towers).Oh, and the cappucino every morning was fantastic!Downsides: the construction was bad--at one point I heard a few noises, there was a lot of dirt in the hallways and in the elevator, and there was scaffolding outside the entrance; the cappucino-maker stopped working for the last two nights of my stay; only one elevator was working at the time, and it was quite small.On the other hand, it seemed like the construction was ending right when I left, and the restaurant and bar (refurbished, of course) were re-opening. Second, since the fitness center was not open yet, they gave me a pass to Bally's down the block. And, finally, the location is pretty good.	
