	A very trendy and cool hotel right in the heart on Manhatten.	The hotel is in excellent location, just a couple of blocks away from Broadway (Time Square)I choose this hotel because of the cool pictures on their website. Altough it was not as cool as on the website, the hotel still is very modern and stylish.As I just used the hotel to sleep, I can only give my opinions regarding my room and my impressions. I did not use any of the their facilities and also did not have the chance to experience either the restaurant and bar.The room I booked was a standard room. It was very clean and stylish, but a little small for my taste.The bathroom is pretty decent and provides branded toiletries from L'Occitaine.As I almost never were in the hotel I cannot express myself to much about the staff. But the guy that brought my bags to my room was very friendly and helpful. The same guy escorted me when I departed. So, my only interaction with the staff was basically just him.As I mentioned earlier the location is just excellent, you can reach anywhere in NY midtown by foot. There is also an undergorund station just outside the hotel's entrance.In my opinion the hotel is most suitable for younger crowd (18-30)Overall I enjoyed my stay at the Dream.	
Apr 3 2007 	Not the best in NYC	I always make a point of reading reviews on this site before staying at a hotel as it is has nearly always proved very useful to me. However, I try not to be put off by just a sprinkling of bad reviews where someone has just had a terrible holiday and EVERYTHING seemed to go wrong because there will will always be people like that. Anyway, the review.FIRST IMPRESSION - I unfortunately arrived on a saturday night and i think there is some sort of club on the top floor, so the lobby, which is insanely dark at night, was full of partygoers waiting for the lift. Anyway, it wasn't that much of a problem, and I never heardanything from the club (though i was only on 4th floor), just wasn't a great first impression.ROOM - My company had booked me a medium room with Queen bed. Now, ifthis was a medium room, God knows what the small one was like. It wasnot very big at all. Bathroom, the same, really tiny. But everything was clean and working! When we first got in the room, I realised that you could hear, quite clearly, the bell on the lift when it arrived on that floor and remember thinking that it if people come down the corridor drunk at night, it will definitely wake me up, but it didnt, so I'll leave that one.I cannot believe for a second that the bed we slept in was a queen. Idont think i know what that means as i did question the hotel about it and they said it was, but i have a 'large double' at home (according to habitat dimensions) which i have always called queen and if was definitely smaller than that. AND whats more (and this would put me off more than anything else) it was the softest, most squidgy, uncomfortable bed i think I've ever slept in and for a hotel called 'Dream', i thought it a bit ironic.OTHER FACILITIES - The restaurant attached is quite nice, I didnt eat there at night but sat at the bar a few times and they do cocktails mainly and some good wines. I had breakfast there once but was really expensive and service was a bit slow but maybe it was a one off.LOCATION - In case you've not stayed in NYC before, here's a quick rundown of what i think about the location. The hotel is on the corner of 55th ST and Broadway which is about five or six blocks away from the top of Times Square, and four blocks from the bottom of Central Park. Some may see it as convenient for sight seeing whereas I would say that it is a bit like staying really close to Leicester Square, i.e. ultra touristy, but if thats what you want, I guess its a good location but if work hadnt chosen this area, I definitely wouldn't have done. I usually try and stay midtown east, which has better shops and restaurants close by. However, New York is really easy to get around and cabs are cheap and plentiful so this is by no means a massive disadvantage.OVERALL - I have given this a hotel a rating of 3. This is because it is not a cheap hotel. I think it was $300 per night and i have definitely stayed in much better hotels in NY for this sort of price.I saw Kate Thornton in the lobby so I guess she was staying there at the time, yet I wouldn't see it as a celebrity type hotel at all. My best judgement would be that although there were no major issues, cleanliness, noise levels, etc were very acceptable, the room was small and the bed was not good and i would only rate hotel as pretty good 3 star or very low end 4 star and would advise you to really have a good look round before you commit to staying here unless you get an amazing price.	
Mar 27 2007 	A fashionable haven in the heart of NYC!	New York City is bustling and busy and yes you may not necessarily spend a lot of time in your room. However, when you do get back to your room you do need a haven where you can chill out, relax and recharge your batteries before you hit the streets again. New York's Dream hotel does exactly that. It is a calm haven overlooking Broadway. With spiritualist Deepak Chopra putting his name to the hotel you know an emphasis is going to be placed on relaxation.The suite we stayed in goes against everything people tell you in New York about the rooms being small. Our suite boasted two bathrooms, a living room and a bedroom with a bed wider than it was long! We also had 2 40&quot; flat screen tvs - one in the bedroom and one in the living room.For a girl who likes attention to detail, Dream had it all - from Egyptian Cotton Bed linen to Deepak Chopra's own range of in-room toiletries.Room service is very good and the restaurant joined on to the hotel does a great breakfast. I never got to try the roof bar as there were private parties on during my stay but I am sure it is very good.In terms of location you cant get a much better spot than this so if you are planning to visit New York I would definitely give this hotel the thumbs up!	
Mar 21 2007 	It is a dream come true	Location is great, room was impeccable	
Mar 20 2007 	A Dream Worth Not Having	I've never written a review before but after staying at the Dream Hotel I feel compelled to share my opinions about this ridiculously overpriced hotel.Lets stress the positives first. Even though I personally don't like Midtown and Times Square, I have to be fair and recognize the location is great. Close to Central Park, 5th Avenue, theatres, short walk to the subway station. The Chopra Centre &amp; Spa was amazing with one of the best massages I’ve ever had. Thanks Joe!I also have to say that, contrary to other reviewer’s statements, our room, number 910, was large even though it lacked wardrobe space.That's about it!The evening my partner and I arrived was a cold and rainy one. Our taxi pulled next to the curb and I noticed the bellman standing at the door and that's just where he stayed after I'd pulled my suitcase out of the taxi and was rolling it towards the door whilst my partner was struggling with his. He only acknowledged us once we where inside the lobby. With only a few exceptions most of the staff was just average. Nothing note worthy in a hotel that claims to be at the top of a competitive game.For a place called Dream you’d expect each night to reach R.E.M. stage with no problem. Think again! Yes, the bed was comfortable but nothing to brag about. As noted by another reviewer the windows don’t have double panels so you are treated to the sounds of the city; but what’s more ironic is that just as many noises come from within the hotel. A very loud AC kicking in, a phone ringing in an adjacent room, guests talking about the day ahead or waiting for the lift. Oh! Yes, our room was located next to the elevators.One detail meant to impress the guests as they walk in, is the dramatic effect of the room flooded in a light-blue colour, product of the neon light emanating from the glass topped desk and underneath the bed. The turned on flat screen and soft music coming out of the excellent Bose system add to this illusion that you just walked into heaven…until you open the door to a tan and blue tiled, grout covered bathtub, cream coloured mildew spotted plastic shower curtain Motel 6 style bathroom.I could go on talking about the run down appearance of the hotel (scratches are a common denominator in the lifts and bedroom furniture); tacky decors (a back lit screen with a dove that seems to be coming to attack you as you walk out the lifts on the 9th floor); the Ava Lounge which is more a club than a lounge (a must avoid if you want to have a conversation), with a bartender who doesn’t know that martinis, whether shaken or stirred, are supposed to be served chilled …I don’t reckon I’m too demanding! A bouncer at the Ava Lounge standing in front of the velvet roped staircase which leads to the terrace not letting you, a hotel guest, through to enjoy the so well advertised stunning views, but allowing pass it another gentleman accompanied by two beautiful women instead. But I won’t dwell on that.I’ve travelled quite a bit throughout the years and stayed at better and worse hotels than this one. The point I wish to make is that this hotel is just average and, like I said before, ridiculously overpriced regardless if it’s Manhattan. As an experience, it falls short in every single way resulting in a bad and cheap Philippe Starck wannabe hotel.	
Mar 19 2007 	Perfect for our engagement weekend!	We stayed at the Dream hotel for one night, March 17-March 18, 2007. We had a wonderful stay while there. The hotel has a contemporary feel to it, from the pictures to the lightning in the rooms. We stayed in a medium queen room, room 302. The room was extremely clean and very quiet. There was not a view, but this is what kept the room so quiet so it was perfect for us. My fiance had planned a very special weekend in New York City for us as he was planning on proposing. He called ahead and thanks to the concierge, Kevin, he was able to have the hotel room prepared with rose pedals covering the room and champagne. With the blue lightning the room was extremely romantic. As for the size of the room, we were happy with it. Of course it's size must be considered by New York standards...let's face it, hotel rooms in New York City will be smaller. The room size was just fine, and much bigger than other New York hotel rooms I have stayed in. The bed was to die for. It was so comfortable I did not wake up once during the night, which is unusual for me. The tv was a nice big flat screen on the wall. The bathroom does not have a bathtub, just a decent sized shower. This was fine with us, but if that is something that is important to you, keep it in mind. We did not eat at the restaurant or go to the bar since we were only there for one night and had other plans in the city but from what I've heard and saw they both looked nice. We were also told that a dance floor will be opening very shortly.As for the service at the hotel, it was amazing. Everyone was extremely friendly and accommodating. As I state earlier, Kevin, the concierge, was wonderful. He made sure that our stay there was as special as my fiance hoped for. The rest of the staff are very friendly and pleasant as well.One of the biggest perks of this hotel is the location. It is located directly in the middle of everything. It is located on 55th and Broadway...four blocks from central park, a couple of blocks from 5th ave, and time square is straight down Broadway. Parking is $45 for 24 hours. If you choose to stay for a few hours past the 24 hour mark you will be charged the full $45, but it is well worth it considering the average parking price at other garages is about $15 per hour plus tax. We paid over $500 for the one night stay at the hotel plus the parking, but I believe the price was raised because it was St. Patrick's Day. Things you should do:Take a horse carriage ride though central parkSee a Broadway showShop 5th avenueVisit time squareI would recommend this hotel. It is nice, clean, and according to NY standards a nice size. Have fun in the big apple!	
Mar 15 2007	Hotel Dream is a 'dream' to stay in.....	I visited New York for 4 nights staying from 8-12 March 2007 with my boyfriend and friends, I was in a wheelchair as I have had a recent operation, the staff were absolutely fantastic from the girls who checked us in upgrading us giving us more room because of the wheelchair to the guys on concierge, the cleaners and the bellboys especially Edwin. I cannot believe that this hotel is so low regarding the rating, for those considering booking this hotel it is a must, as I say not only due to the incredible friendliness of the staff but also the location W55th St within walking distance of 5th ave, Times Sq, Central Park etc, but the in house restaurant served great food, the roof top bar WOW what a view of Manhatton and the restaurant Amalia which has just opened next to the hotel, recommended to us by the concierge what a place, again the friendliness of the staff and the food, I had Roasted red pepper soup for starter (wonderful!!), Grilled Stuffed Ribeye steak for main (2 of us had this and both said it was the best steak we had ever had), Creme Brulee for dessert. I cannot recommend both this hotel or the restaurants highly enough, we had a fantastic time in New York made even more special by the hotel and our last night at Amalia, so if you haven't booked a hotel you must book The Dream and eat at their onsite restaurant, have a drink in the roof top bar and enjoy a meal at Amalia, we wont be staying anywhere else when we next visit.	
Mar 13 2007 	Okay but wouldn't recommend it	Being a devout reader of trip advisor reviews I should have known better and booked the Barclay, or somewhere else, after reading the negative reviews of Dream. Most of the critical reviews are regarding the room size. Well they are not lying. Myself and my husband thought it was probably over exagerated but our 'standard' room was TINY. There was about a foot either side of the bed and that was the width of your room. Nowhere to store your case so ours stood propped up at the side of the bed doubling as a bedside table - thank god we only had one case. There was no in room safe, no Ipod, no docking bay...all of which should have been included as stated when we booked. On our first morning the toilet flooded. I attempted to flush and before I knew it water was pouring out onto the bathroom floor. We called the front of house who said they'd send someone up immediately (we were mopping up the water with our towels) and 20 minutes later we had to call again to chase.When maintanence turned up with a plunger he fixed the toilet but when I asked him about the adundance of wet towels spread over the floor he told me that wasn't his job. Fair enough!!The positives are a great location, just four blocks from central park, a stones throw from fifth avenue and times square (if you are there for the NY tourist experience). We visited most of the deli's/diners in the area and would definitely recommend the Carnegie, their sandwiches are ridiculously sized but worth every penny and you can take it with you when you leave. Although its the other side of town - go to 'Max's chocolate by the bald guy' just off of Union Square...this place is to die for - the best hot chocolate and the highlights; chocolate pizza and chocolate syringes. The beds at dream are the most comfortable we have slept in and the turndown service is pretty good - fruit left on your pillow and a weather forecast for the next day.Our experience of the dream certainly wasn't terrible but the rooms are tiny and a bit suffocating but hey you don't come to NY to stay in your hotel room!!	
Mar 5 2007 	Fair value in a good location with a few interesting twists.	I stayed for three nights with my girlfriend for a weekend visit to New York. We booked in to a Queen, which was small but not so tiny as to be claustrophobic. It was clean with a small bathroom – no proper bath here. The bed was comfortable with great linen. The blue lighting, which features in promotional material, was fun when you first enter the room but you don’t use it again. The windows are not double glazed, and ours did not close properly, which means plenty of road noise – not great for dreamy sleep. The location is excellent, within walking distance of a dozen sights. The subway is close by – including the E line for Airtrain transfers to JFK. We did not have breakfast in the hotel - it seemed poor value. The Applejack diner opposite is more than adequate if you like American breakfasts. The Ava lounge, the upstairs bar is a great, if pricey, martini bar with excellent views down Broadway. The bar is a destination in itself so don’t expect to a quiet drink, or a seat. The hotel staff we encountered were fine, but as you expect from a hotel sold on design the service levels were not stunning. One particular annoyance was the turndown service which on both nights was early and clashed with us getting ready to go out - which made it rather pointless and intrusive. We enjoyed our stay.	
Feb 28 2007	Exceeded My Expectations	This is a very good NY hotel. Great rate, too. Loved the room, though the first room they gave me had a vomit smell. The new room was nice and quiet; a bit small but that's what you get in NY.The bathroom was small but clean and updated. The bed was VERY nice and soft and the work desk was good. Wish I had a view out the window, but that's NY.The restaurant was good for dinner but just average for breakfast. The rooftop bar was good; nice view; but somewhat loud and expensive. Try to use the quiet room behind the elevators.Lobby was great. Service was OK. I'd stay there again.	
Feb 12 2007 	Book your room at Dream Hotel	After thoroughly researching hotels in New York City, I decided that Dream fit the bill -- interesting design, full list of amenities, good location, and relatively reasonable prices. I was in NYC for 4 nights on business, and my wife joined me for 3 nights. We both commented that the room was large for a room in NYC. It was clean, modern, interesting design, king bed, nice linens, desk with high-speed connection, plasma tv, bathrobes, closet, clean bathroom with tub/shower, mini bar, and really cool blue lighting. The room was very comfortable. Our room was on the 12th floor (room 1207, I believe) and we had two windows facing east, which provided us with great light throughout the day. The noise level was relatively low and the view was pretty good. The rooftop bar is a cool and comfortable spot to have a before- or after-dinner drink. The staff were outstanding throughout our visit -- helping me set up my internet connection, taking the mattress topper off our bed to firm it up a bit, providing directions and recommendations, hailing cabs, etc. I dealt with a gentleman named Adam who must have been one of the supervisors, and he went above-and-beyond the call to make sure I had everything I needed and that we were comfortable. All interactions with the staff were extremely pleasant, helpful, and polite. The location was great, 7th and 55th, right near the subway, easy to get cabs, plenty of retail and restaurants nearby, close to theatres and Central Park. This is a great contemporary alternative to the characterless chain hotels or the &quot;old world charm&quot; hotels. I am now looking for any excuse to get back to New York -- and when I do, I will be staying at Dream.	
Feb 12 2007	Very disappointed- don't stay here and get ripped off!	Whilst the location is good, the room was very small with a tiny bathroom and a child sized bath and it was advertised as a medium sized room- the cheek of it all!Also it is worth noting that I stay in hotels every week for work and the Dream hotel's overall service is poor compared to the other boutique/expensive hotels I stay in for work every week.I was very disappointed in the bar too-I wanted to go to the top bar and my partner and I decided to venture there on the last night of our stay but was told by a bouncer, who revelled in turning people away, that someone had reserved the entire bar- pathetic! As a hotel guest at Dream, we should get priority access to the top bar. To be told that we can't drink at the upstairs bar is rubbish. Also-the decor in the hotel is also quite trashy and tasteless and badly put together. The only good thing going for the hotel is the comfortable bed and the free yoga classes in the chopra centre downstairs but of course the staff won't tell you about that nor that it is located downstairs below the lobby and has a small fitness area. On my second visit to the chopra centre, the entrance was flooded with water and several staff were trying to mop all the water up. They didn't seem to cope well with the matter and my shoes were ruined. Also avoid the Sefrina restaurant for breakfast- it is seriously overpriced! Next time I will stay at another hotel. The owner of this hotel really needs to venture into something else. Trust me- if the service continues this way, this hotel won't last long!	
Jan 18 2007	Good place to stay	We stayed in room 905 which is not on a street side and it was great. No noise from the street at all. I would recommend this side of the hotel. Rooms from X15-X08 would be on Broadway and might be a little loud but all is not lost (see below). Room is small, so if you live in your room on vacation it could be cramp. It was clean and turn down service included a piece of fruit each night. It is in a great location, just up from TSquare and just below CPark and Columbus Circle.The only down side is that the small room puts you right next to the hallway. When you open the door, your bed is three feet from it. We found that turning on the exhaust fan in the bathroom drowns out any noise from late-night arrivals. I have to credit my wife with that little stroke of genius. We got a deal since it was winter and it made it worth while.	
Jan 18 2007 	Very dreamy bed!	I stayed here two years ago and a nice time. Dream is true to it's name, it is meant for sweet dreams... the bedding is the key feature here. The down comforters and Molton Brown products, including an awesome scented &quot;sleep spray,&quot; were so nice. The room has black out shades so it was very easy to oversleep. Plasma screen in-room was nice. The bathroom was very small and overall, there was not much space in the room. We liked the lobby bar and the cool paintings on every floor. It felt pretty hip. Since you are really not in the room that much in NYC, it was OK to have a small room. The bed was worth it. Just request a room away from the elevator, which is loud, and you can hear it at night.	
Jan 1 2007 	"Your Just Like a Dream"	I stayed at Dream before Christmas so I could see New York city during Christmas time...From the moment I walked into the lobby I loved it here....There is a great Fishtank and the Decor is great..We booked a medium room that was very clean and had just about the most comfortable bed I have ever slept in...Make sure you go to the top floor of this hotel, There is a view of times square off of the roof that is great...I will defiantely stay again	
Dec 30 2006 	Dream - Solid hotel with a little funkiness.	We stayed at this hotel for three nights in late December. We had a really early flight into town so requested early check-in and actually arrived before 10am expecting to just drop off luggage and hit the town. Our room was already ready and they bumped us up to a medium room with a queen bed and the front desk clerk remembered to wish my wife a happy birthday, nice touch.Room was as expected: decor was minimalistic, cool blue lights under bed, bed was comfortable and plush, TV was good. The shower did have good water pressure and temperature. On the downside not much room to store clothes or luggage at all and the bathroom was on the basic side (small section of mold on wall near tub/toilet-a little gross). Also, no wine glasses or bottle opener in room, strange considering fully-stocked mini-bar. I phoned room service to request some and they never showed up. Made a request to concierge later and he was very professional and items came up within 10 minutes. Concierge also recommended great restaurants and made reservations for us.Location is A1 and really close to subway. Au Bon Pain is a good place to pick-up morning pastries and coffees and is just one block east on 55th.We went to Penthouse level Ava bar twice including once after late night dinner, was very cool atmosphere, relaxed but funky, DJ played good tunes. Drinks ain't cheap though!All in all a solid hotel which should not disappoint if you have realistic expectations.	
Dec 25 2006 	Not so bad...	I've read, before leavin' for New York (as I usually do), the reviews of Tripadvisor: most of the opinions of Dream Hotel were not so good...This was my first time staying at Dream and during my stay (8 days), after all I have to admit that my experience wasn't so bad.What I've really LIKE: location (very central, just 2-3 blocks from Times Square and 5th Ave.), the hotel's stuff (very gentle and helpful), excellent Italian food and nice ambience can be enjoyed at Serafina Restaurant, the room service is good, the plasma tv and the blue light in the room, bed very comfortable.What I DIDN'T LIKE: the size of the room (very small compared to other hotels I've stayed in NY), the bathroom was not exceptionally so &quot;fancy&quot; (one day my toilet had to be fixed because it didn't work well). Anyway rooms are clean BUT small...Next time I will book another hotel and looking for a bigger room!	
Dec 17 2006 	All about location	There is no doubt that this hotel is all about the location. You're basically on Broadway just south of Central Park and near just about anything you'd want. It's slightly less expensive than the others in the area as well. Positives: Obviously location. But they have done a good job bringing an old building back. The beds are very comfortable, and they did a great job of using space overall. From the flat panel TV to the way they hang the towels, it's a good use of space. Second is that it is amazingly quiet. Maybe it was just our room, but overall I couldn't believe how quiet it was. And we were next to the elevator. Bose Wave radio's are a nice touch as well, and the robes are as soft as they come. The bars there are pretty good and seem to be popular. It was busy every evening. Negatives: It's small. But so are just about every other room in that area, so don't get hung up on this. Past that, the interior rooms views' are non-existent. And it was pretty stuffy. We had the air conditioner on when it was 35 F outside! It was 76 F inside. The only other negative I would give is that it just has the feel of a run down hotel with new stuff in it. Bathrooms are tiny and the window and tub seem ancient. But still, value-wise for mid-town Manhattan in December, this will be difficult to beat. It was at least $100/night less than most only a few blocks away. I would definitely recommend staying here unless you plan on spending a lot of time in the hotel room. But it's NYC, why would you do that?	
Dec 17 2006 	Hip hotel...a Dream!	My girlfriend and I took a long shopping weekend getaway to NYC. We were a little surprised by the increase in hotel prices during the holidays. We ended up finding a decent price for one night at Dream the week we were leaving. I would have gladly spent the whole time here.The lobby is modern and interesting with a huge fish tank upon entering. The desk clerks were very helpful. I booked through an online site and requested a nonsmoking--I got a smoking room. Not a good start, however, they made up for it. The room is small, no surprise in NYC and they give square footage on the website. It has cool blue lighting in room. Bed was very comfortable and believe it or not, room was quiet!Bathroom was modern with great toiletries. Here's where they impressed me most. We checked out after one night and moved to another hotel. In the move, we lost our tickets to Wicked one hour before the show. Panicked, we called the hotel to see if they were there. They tracked down and dug through our trash to find the tickets. We know this because they found tickets to the club we went to the night before. That seemed above and beyond!!Very good experience...would stay again!	
Dec 7 2006 	Great location	This was our first time in NYC and as two excited 'little children' couldn't wait to get there. First and foremost, the location is FANTASTIC!!! You are just 5 mins walk from Times Square and Broadway, seconds away from the subway, and a few minutes walk to Carnegie Deli (which was a great landmark as we kept getting lost!). Conceirge staff were extremely helpful, our first day they got a map out and marked on it, our places of interest and told us a great place for breakfast (Applejacks). Room was slightly smaller than I imagined, although clean, comfortable, not a bad view (7th floor), great Plasma TV (although not great picture quality - but who comes to NYC to watch TV??) One complaint - the bed was sooooo soft, in fact it felt like it was made out of feathers, not good for people with back problems. Good maid service, not intrusive, polite. Great bar on 12th floor, with amazing views. On departure we befriended another couple and decided to share a cab back to the airport, in the hope to save a bit of money. We asked the conceirge to order this for us. When it turned up, it was not a yellow cab but a private hire vehicle, cost more than a yellow cab (understandably) and cost $10 more than what the conceirge quoted us - so be a bit aware. By the time we both paid and left a tip, we were better off getting a yellow cab separately. I am not in the habit of returning the same hotel twice, but if I found myself here again, I would be very happy.	
Oct 29 2006 	Great - Not a nightmare at all	We travel abroad 2-3 times a year and stayed at Dream 18-24 Oct . I was worried about the Dream because of previous trip advisor comments. I need not have been - we had a large room on 12th floor, with a fab view - bed was sooo comfortable and bathroom was a fine size - yes, the grouting needs fixing as it is mouldy and some sloppy touch up painting has been done but it is clean, towels are plentiful - fresh ones every morning and again in evening if required. Deepak Chopra products are replaced daily, fresh fruit supplied and daily paper and weather forecast. Plasma tv is good too. Reception staff are a little aloof and not friendly but concierge staff are really helpful and nice with it. Bar is hip and staff were good. The Applejack diner across the road does great breakfast. Hotel is not luxurious for the money but it is in the ideal position for tourists, not least because it is so close to a metro stop so it made getting round really easy. We abs loved New York and Dream was great - at least it is central and in quiet street for its central location and it was def clean, which is what I was worried about.	
Oct 24 2006 	Hip Happening Hotel	After driving into the city, we pulled up at The Dream and were greeted by some young, hip doormen. Our room wasn't ready yet, however they were very kind to hold our bags and direct us to some great shopping. Upon checkin later that day, we arrived at our room which was very hip with the blue neon lights. Each floor that we passed, had really great photos of hip, happening babes! The location is superb. Walking distance everywhere. The restaurant was great and the housekeeping staff was extremely accomodating. As with most NYC hotels, you are not there for any view, but location and comfort. The beds were extremely comfortable. We even had a Fire Alarm go off early in the morning with not much chaos. All in all i would recommend this hotel to anyone who wants value, comfort and a hip/young atmosphere!	
Oct 17 2006 	The Dream - A Nightmare!	I travel A LOT for business and stay in NY often. I was interested in trying the Dream Hotel because I heard they had a fantastic rooftop bar... The bar was indeed fantastic although we were there 4 nights in a row and had to BEG to get some peanuts! Each night we were told &quot;we don't have peanuts&quot; we then had to explain that we had them the night before… - somehow they managed to &quot;find&quot; the darn peanuts - this happened 4 nights in a row!!! I was traveling with what the hotel called a VIP and when I checked into my room next to the elevator (can you say ding... ding... ding... every time someone stopped on the floor!) So I thought to myself, this couldn’t be how they treat their VIPs, right??? Well I requested a room change to which I received a room smaller than my bedroom -- Finally we were moved into a suite (much more expensive!) this is now 18 hours of playing musical hotel rooms! The bathrooms (there were two) in our suite were so moldy that I requested they come and look at it. I took pictures in case I was questioned later... Then, I needed to send a box to my office and when I went to the concierge to ask for a box, I was told that I should go buy one at Kinko’s. I am NOT kidding - I have to send things to my office often when I am in NY and every time the concierge has always managed to find a box in the hotel somewhere but not at The Dream so off I went to kinkos to get a box!!!. The gym is small but workable and the elevators are tiny tiny. I think it is important that people understand that everyone has different experiences - this was just mine but all in all The Dream was actually a nightmare!	
Oct 9 2006 	Dream is centrally located energetic safe and fun	My friend and I were on a fast trip to NY one day in the Catskills and one day in the city. We were told by a few people to take the train into the city because it was cheaper than a car. DON'T DO IT. If you are going to the Dream Hotel the subway does not have a escalator or elevator available after certain times. Needless to say my 40 lb bag felt like 300lbs flight after flight after flight of stairs. However, when we did get up into the city Dream was just a short walk from the subway station. Upon turning on to the street of the Dream it is (at night) the blue lit hotel. The lobby is impressive and the elevator opens up on your floor with a commanding back lit art piece to greet you. Our room was small by Midwest standards, but for us it was great. There was an impressive presentation- blue lit bed, blue lit desk, bose radio on, and a pear on the pillow.The bed was HEAVENLY I could not believe how comfortable it was. I had read reviews about the air conditioner being noisy, but I did not have that problem. The air conditioner was quiet and worked well. In fact, I was surprised how quiet it was in the room for being in the heart of the city. That was a great feature of the hotel - the comfort of the rooms being serene and the hotel lobby/lounges oozing with energy. A great night life- especially on the roof. I would HIGHLY recommend making an advance reservation for the roof top. Believe me you'll wish you had. All of the tables were reserved and I wished I had know that reservations were recommended. Because being on that roof felt luxurious and we both wished we could relax the night away up there. In the Ava lounge there is a delicious drink the KEY LIME MARTINI. Order it. Think 13 dollars is too much-it isn't- just order it. I don't drink more than 3 beers a year and this was so amazing I had three. Edwin the bell man is so helpful and a get it done kind of guy. Want to know what is close. the best value, or how to get there the best way , he is your man. Everyone is friendly and helpful IF YOU ASK but I think that is NYC. Edwin is the above and beyond employee for my stay at the Dream. I am expected to give above and beyond customer service at my work -in turn I have a hard time with standard customer service. Thanks Edwin.I would recommend the Dream for people who want an atmosphere, the view from the Ava lounge is vibrant, the outdoor lounge is electric with energy, and the bed, oh the bed is nice.It is located a short and safe walk from Times Square, close to an ATM, close to the subway, and they will be adding a new dance club which sounded interesting. The manager at Dream Mark O'Brien e-mailed me same day twice when I had a question for him. It was not a complaint based question either- he really impressed me with his promptness. Stay at the Dream and have a great time. I did. And if I go back to the city I'll stay at the Dream and believe me I will have reservations for the roof. You'll know me because I'll have a Key Lime Martini in my hand. Good Luck.	
Oct 9 2006 	Nice Weekend Getaway	My husband and I stayed at Dream for one night. We found the front desk to be very helpful and professional. We stayed in a large room which was adequate. The room was neat, the linens were clean but there was alot of dust under the platformed bed and the shower had a small amount of mold. The spa was very clean and offered many unique services. The location of the hotel was great- walking distance to many great attractions, broadway shows, and shopping. The conceire was knowledgable and able to suggest a great place for Sunday brunch. This hotel is great for young adults and great for a girls spa wekend. I would not recommend this hotel for famlies.	
Oct 1 2006 	Exceptional 	We stayed 2 nights at Dream for some sightseeing and shopping; the general NYC travel experience. We we greeted very nicely, we had a great room(little small) but we knew this before staying here. The rooms were clean and staff was very friendly, often going out of their way. Location was great- short walk to Times Square. Subway around the corner and staff will give you lessons on riding it. The restaurant was very good and reasonably priced. We ate out on the sidewalk and drinks to follow on the roof. Would definatley come back if looking for a Times Square location!!	
Sep 12 2006 	Dream Hotel was my best NYC experience!	The Dream Hotel experience for myself and my family this past December turned out to be the highlight of our holiday! The Dream is a beautiful hotel in a great location. The rooms are clean with nice decor and the service was one of a kind! We had a great Manhattan view and we especially loved the penthoouse lounge which we spent hours enjoying. The view from the lounge directly down Broadway was just amazing!Also, the adjoining italian restaurant was very good and we took advantage of it twice during our stay. The rooms, the food, the staff, the location ........ all made our experience at the Dream Hotel to be the finest we've experienced.So the next time you plan to visit New York City, I would highly recommend this gem at the top of Time Square! The dream is truly a dreamy experience!	
Sep 4 2006 	Great stay at Dream	Yes, the room was small, but I reserved the small room. The bed was a dream-down comforter and pillows and the fresh &quot;cotton&quot; scent. Though I didn't have a view, the room was very quiet and efficient. The bathroom had more storage for &quot;stuff&quot; and Chropa products were replaced when unnecessary. I was in NYC for business and pleasure and would return. The AVA lounge in the evening was the best to unwind after a busy day. Although I prefer the neighborhoods of NYC, it was a fabulous midtown stay. PS thanks for the complimentary nightcapsPPS the room was standard for a room in Paris	
Aug 19 2006 	NIghtmare	I heard mixed reviews before staying her but as I frequent traveller to NYC I like to try new hotels however I will I had never tried this hotel. Although the hotel was only opened a year or so ago the room walls were so marked up and dirty it looked 10 times its age. Everything felt old. Taking a tiny room and filling it with a tacky desk that has lights underneath does not make a hotel room neither does a 32 inch plasma screen positioned way too high on the wall. Still I could live with all that but the bathroom was frightening. If they had not moved my room I would have checked out and slept in Central park is I had too. As I opened the door a large group of Fruit flies started swirling around my head. There must have been 40 or more, they were everywhere. The tiles on the floor were filthy and full of grout, the fixtures were the cheapest I have ever seen, I swear they took the bathroom from a cheap motel and just copied it and I am dead serious about this point, I don’t think the bathroom was ever cleaned and from the cheap shower curtain with mold all over it to the cheap shower head which had something else growing all over it to the odd hand soap it was a horrible nightmare especially after having paid almost 400 dollars... Oh and one more the thing the &quot;four&quot; star restaurant downstairs is just a cheap tourist restaurant disguised as something better. The service was horrible and the food even worse. It was the worst food I have ever tasted in New York. Instead of there try TGIF and you will get better service and food or even KFC would be better. If you want to spend 300 or 400 dollars on a room in New York try the 'Bryant Park Hotel' that is where I moved the next day and they are always perfect. The 'Maritime Hotel' is also excellent and both are priced the same as 'Dream.' The bottom line is don’t even try this hotel it is not worth 100 dollars. Take it from me and save yourself some frustration...	
