	Charged over 108 USD for a phone call!	Unfortunately i had a relative pass away and urgently needed to use the phone to call home. I did - there was no information or due warning regarding the potential extortion price of one phone call. One 12 minute call and i could have stayed in a better hotel for night.When i asked to speak to the manager he was no avaliable and would not be avaliable tomorrow either. I walked out upset with yet another crampy hotel service.The way i was spoken to was a joke, i walked out and vowed to write a review to inform everybody else of my wrong doing... i should have brought a phone card, but at a urgent matter arose i thought best to deal with the situation at hand.I would tell this manager, you cant charge this price, without due information avaliable on hand, as was the price listed in all the other US hotels, i stayed in..	
Jan 12 2007 	A fantastic stay	This budget hotel was perfect for us. We were three girls who had a double room (which was a bit of a squeeze) but for the price we paid it was great. There is an old fashioned lift and we also chose rooms which had shared bathrooms which were clean and rarely in use. The best part of this place is the location. We could see the Empire State from our window and we only had to walk a block to get to the subway. Definately worth it!	
Jan 8 2007 	Very Basic	We opted to stay at hotel 31 as it was the cheapest by miles compared to lots of other places that had increased their prices for New Year. However at around $130 per night it was a lot of money for what you get. We had a tiny room that barely fitted a double ( creaking) bed. The Decor is dark and dated and the whole place is very old fashioned and gloomy. We overlooked a concrete wall and had a bathroom half way down the corridor. However on the plus side we weren't there that much, the bathroom was always free and the location was great. But although the staff were always hoovering the place it still felt dirty and the bed was very old and lumpy. As long as you are prepared for a very basic place to crash then its fine but I won't be going back.	
Jan 6 2007 	Good budget hotel in NYC	I travelled to Hotel 31 as part of a party of 4 adults staying in a 2 x double bed room with en-suite bathroom. Having read some of the reviews on this website I have to admit I had some hesitations after booking this hotel. I need not have worried! After a long day travelling we were swiftly checked in and directed to our room on the sixth floor. As many of the other reviews have indicated the lift was an interesting experience but added to the character of the place. We managed to get 4 adults and 5 suitcases up in two runs so the lift isn't extremely tiny. The bedroom and bathroom were very clean. Although the wardrobe space was probably more suitable for 1 or 2 people we were okay with living out of our suitcases for a week. ( when you're in New York you don't spend much time in your room anyway!) We had a nosey around the shared bathrooms and these also seemed to be very clean and well-maintained. The maid service was in every day and was very good. The location of the hotel is excellent. Five minutes walk from Empire State, Macy's and Madison Square Gardens. Time's Square is about 10-15 mins walk. We got a taxi back from Broadway which cost about $10 including tip and the higher night tarriff. If you are arriving late or just fancy a snack, I would thoroughly recommend the deli at the end of the street at Lexington Ave. It's open 24 hours and the staff are lovely. Hotel 31 is an excellent budget hotel. If you are looking for luxury and plan on spending a lot of time in your hotel, this isn't for you. If, however, you are looking for somewhere clean, comfortable and cheap, then I wouldn't hesitate in booking this hotel.	
Jan 5 2007 	Clean good value and location	We stayed here for four nights over the New Year period - an expensive time to be staying in NYC. This hotel was good value compared to similar hotels in its league - 15min walk from time square. A very clean hotel - bathroom was always immaculate when I used it and we were sharing with other people on our floor. I lost my bag in a taxi when I was there and the staff couldnt have been more helpful.	
Jan 5 2007	Great stay!	We stayed a few nights in this hotel in New York last May. We read all the good reports on Tripadvisor and we have to say it's true. It's a great hotel and cheap compared to many others. We had a room with a shared bathroom and that was not a problem at all. The bathroom was next to our room, very clean and was almost never taken, so it felt like our own bathroom anyhow. The room with a double bed was not very big, but newly decorated, clean and comfortable. And the hotel is really centrally located, so we think it's a really good stay for a cheap price!	
Jan 4 2007 	Amazing Location Unhelpful Staff	We stayed at Hotel 31 for 5 nights. The location was amazing. We bought a train ticket thinking we would need transport to take us places, but we ended up being able to walk everywhere because we were so central. The hotel room was very warm, so we had to sleep with the window open, but it was fine, there was never any noise outside, so we got a great nights sleep.The hotel room was extremely small, but it was clean, and the shared bathroom was fine, we never had to wait and it was always cleaned before we used it.The only negative is that the staff were hopeless, they were unable to give us directions to places, or even the opening time to the statue of liberty (the first boat leaves at 9:30am!). They also refused to call us a shuttle to take us to the airport at the end of our stay- they made us pay for the call. We had to go to other hotels to get directions.So, if you don't require any tourist assistance, but want to stay in an awesome location, this is a great hotel.	
Dec 30 2006 	GREAT DEAL for budget hotel in NYC	my family and i booked a 4-person two double bed room with private bath for our stay in nyc and our stay was quite pleasant.for the price charged ($150 plus tax and $3.50 staying charge), it was a really good deal b/c we got clean beds, towels, and some soap, private bath, private tv, and the LOCATION is great...it was close to everything, we could easily walk to the major attractions...for locations further away, we took the number 6 train and it goes literally up and down nyc...it was great...would def stay again for a cheap trip...	
Dec 20 2006 	like at home	This is the sister hotel of hotel 17, the room interior are quite similar to the original, it; very clean und extremely comfortable.The staff is nice and helpful.The neighborhood is not as stunning as of hotel 17,but it'very safe and right smack in the middle of everything.It's a great deal, so make reservations really early.	
Dec 9 2006 	Great Hotel Great Price Our Little Secret	Sorry it has taken me so long to get this to you. This was our first time to New York, we were staying a few days before our cruise. Being on a budget I research everywhere and found a gem in Hotel 31. I would recommend this hotel to everyone. There were 3 of us my 75 yr. old auntie, 48 yr. old cousin and myself 51 yrs. old. We are all single ladies. We did a double bed with our own bath. The room was VERY clean. It was REALLY nice and the building has the old charm but very clean. We were on the 6th floor so there was no noise problem. Air conditioner worked great, water pressure fine, plenty of ice. The front desk was very freindly, helpful and nice. There are several restaurants within a few block radius and a deli on the corner. The Empire State Building was within walking distance but to get a cab it was easier to walk a half a block to the busier street. The elevator is the old kind with the gate and then the door and kinda small. We had to make 2 trips with us and our suitcases. We had a wonderful time and felt very safe and comfortable at this hotel. Enjoy!	
Dec 7 2006 	Room with a view in a great hotel!	Hotel 31 was fabulous!! I had a nightmare beforehand trying to find somewhere cheap, in a good location and where the reviews were good (it appears there are some awful hotels in NYC). This was the only one i found and we were not disappointed. The decor is a little random but that's the only negative thing i could possibly think to say. The room was great, the staff really friendly and helpful, beds made and new towels given everyday. Bathrooms were really clean! Plus, i had an amazing view of the Empire State Building from my window! I'd recommend this to anyone looking for cheap but nice accomodation in the heart of Manhattan. Oh and go to the Cafe at the top of the road for breakfast - awesome food at minimal expense! When can i return?!? :)	
Dec 6 2006 	Great Hotel	I would definitely recommend Hotel 31 for those staying in New York on a limited budget. OK, maybe not 5* &amp; the decoration was not quite to my taste, but it was clean, the bed was comfortable, staff were friendly &amp; helpful &amp; it is just 10 mins walk from the Empire State Building. We had a double room with en-suite on the 8th floor, at the front of the hotel. There was a bit of traffic noise at night, but that is pretty unavoidable in New York &amp; it didn't disturb our sleep! The hotel does not have a restaurant, but the 'Murray Hill Diner' on 34th St., is just 5 mins walk &amp; is the place to go for a great breakfast!	
Dec 4 2006 	You get what you pay for	We have just arrived home after our trip to NYC where we stayed at Hotel 31 from 30 november to the third of December. We booked this hotel after reading the reviews on tripadvisor. We had some concerns regarding that some people have said that the hotel had lost their reservations so we confirmed twice before we left and we had our room with private room when we arrived. The staff were really nice and the maid did a good job with our room which was small but really functionable(we weren´t there that much). The only thing that wasn´t up to standard was the bed which croaked everytime you turned. If you want luxury stay away from this place but if you want a cheap, decent hotel in a good location(5 min to Empire St. and 15 min to Penn st.) we can really recommend this hotel.A restaurant tip is Trattoria Bellvedere around the corner from the hotel at Lexington Av. Nice atmosphere, great staff and good food.	
Dec 3 2006 	Great value for money	After reading all of the reviews on here, must admit we were a little apprehensive but our stay at Hotel 31 worked out very well. We stayed for a week and although we were given a really poor room to begin with, the staff allowed us to swop to another which was much better. We opted for a shared bathroom which is definately the best choice if your on a budget as they were very clean and you never have to wait to use them. There were definately no mice or strange smells in the corridor, although i must admit the lift was very ancient!! The best thing about Hotel 31 is definately the location with Times Square been 10 minutes walk away, Empire State not even 5 minutes away and really well situated for the subway. We went to Cosi bread most mornings for breakfast which was really good quality food and really cheap. We went to Vezzo Italian on the corner by the Hotel which was great food and really good value for money. After reading lots of complaints about the hotel and actually visiting it i would just advise the people who just want to see NYC and have a clean, safe and comftable room to return to - this is the place for you and what a bargin!!! The decorations in the Hotel are a bit old fashioned but so what!!? I think we would definately return to Hotel 31, i do not think you can get better value for money in NYC!!!	
Dec 1 2006 	Great for budget travellers	I would recommend this hotel to anyone who wants a hotel in a great location (short walk to the Empire State Building, very close to Subway on 33rd St). The room was fine - we didn't spend much time in it as there's so much do do in New York. I had no problem with the shared bathrooms - always clean and I only had to wait once for the bathroom in a week. The hotel has a luggage store.	
Dec 1 2006 	The Untold Truth	We arrived in this hotel on 17th of november for 2 nights. It has an old look to it and is basic with shared bathroom. This was the uncertain point when we booked it- it was at very last minute. for what it is its not cheap but hey u're in new york!!!overall i'd say good hotel, no marks no rats, no litter, and them shared bathrooms- very clean- canot fault that- and we never had to wait for them to be empty. staff were good and helpfulthey did try to pull a fast one on the following friday- by telling us that the rooms were fully taken- they arranged another hotel on 17th street- but we wanted to be closer to times square, so we adamnaty stayed- overall a nice experience with no trouble- i would stay again.	
Nov 27 2006	Great Budget Hotel -Value for money	This is a great cheap hotel, in a very good location. We stayed here for one week and the room although small was very comfortable and cosy. We stayed in Nov so it was quite cold, but our room was always nice and warm as the heating was kept on. Shared bathroom was always clean, however on a couple of occasions we did have to wait to use it in the morning. The room had a small TV showing all new movies so you won’t get bored if you just want to chill in your room one evening. Hotel staff were all very polite and helpful. There is also facility to leave your luggage if your flight is not till later on in the evening. The surrounding area has some nice coffee shops and restaurants and if you are looking for Halal food then this is where you want to stay as there are quite a few halal restaurants within 5/10 min walking distance from the hotel. We would definitely recommend hotel 31 for those who don’t want to spend loads of money on a hotel but still want to have some comfort and clean facilities.	
Nov 18 2006 	Great for the Budget Traveller	Hotel 31 is situated right in the heart of Manhattan, just a few blocks away from the Empire State Building, 5th Ave and Grand Central Station. The hotel has great character, pretty old building with old style lift. The rooms are small, very basic but adequate for those who don't intend to spend that much time in their hotel. The shared bathrooms are kept very clean, and are almost always empty. We had no problems with this hotel. Staff were nice. The rooms are kept clean and beds are comfortable. Nice hotel for travellers on a budget. Near to some nice restaurants, Murray Hill Diner on Lexington is good for breakfast.	
Oct 11 2006 	It worked out ok	Since the reviews here were mixed, I had a little nervousness about our stay here, and at the sister Hotel 17. First, no close encounters with any unwanted creatures, but then again I had been warned not to bring doughnuts by one of the scary reviews. The neighborhood is super delightful, where you might like to live if you could. The coffee shop at the corner is recommended (which one? there are restaurants on 4 or more corners nearby...don't sweat it, the desk clerk can point it out), subway nearby,cabs are everywhere, quiet room for NY, shared bath not a problem. Now a word about shared bath hotels, most US citizens won't do them, many guests here were European and/or young, and that's a shame. Sure it could have been a problem if the hotel was full which it might have been for all I know, but I never had a problem accessing the bathroom and shower. Good shower-second floor. I give the towels poor marks; someone said postage stamp size. If things like towel size are decision makers for you, you are going to need to spend $300 or so a night for an adequate room in NY-my sister was staying at the Intercontinental Barclay-she called it just adequate but I thought it was quite lovely.My partner actually liked the dark old fashioned decor at Hotel 31, but he wants to live the life of a jazz singer. I thought it was acceptable for NYC. The most serious drawback was the length of the bed, and I'm used to my feet hanging out. Just hope you're not Dutch. I slept kind of curled up and I had no problem sleeping. After all you're going to be super busy and worn out because there is so much to do in NY. Which brings me to the best part, the price, which was USD 100 plus taxes paid in advance (probably a good idea to do that).	
Oct 9 2006 	You will not be disappointed staying at this property.	Having read some of the reviews on New York accomodation I could not believe how good the apartment was. Location on 31 st street at 5th avenue was perfect just along from Penn station. It was immaculate inside and spotlessly clean. We looked out the lounge window and we were right next to the Empire state building. I could not fault this property. Great value, well equipted and excellent location. If you are going to New York book here and you will not be disappointed.	
Oct 5 2006 	Brilliant would reccomend to anyone on a budget	My grilfriend and I booked to stay at the hotel from 1st September untill the 8th and we found that the hotel had everything that a young sight seeing couple on a budget could ever need. True the rooms at the hotel are quite small but who is ever in their room that long when there is an amazing city outside to go and explore. The location is amazing with it being a 2minute walk to the nearest subway station an only a 5 minute walk to the amazing empire state building. The hotel is old but it is clean and there was certainly no sign of mice or rats while we stayed there. In all who could ask for anymore for the price. A deffinate two thumbs up.	
Oct 3 2006 	Stay if you want a bargain not luxury	Lets be honest this is not the most luxurious hotel you will ever stay in but for the price it is a bargain. The location is excellent 10 mins walk to Empire State (which we had a superb view from our room (811)), Central Station &amp; 15 mins walk to Times Square. There is a subway station 5 mins away that takes you to Central Park, Greenwhich Village &amp; the Staton Island Ferry. The decore is in need of an update but it was clean (rooms cleaned daily) &amp; safe. Our room was not large but not the size of a cupboard we were expecting. The shared bathroom was not an issue as it was always available &amp; clean. The only issue we had was the noise of the in room air con. However as the noise was constant you got use to it &amp; it drowned out the noise of New York street life. Overall we would recommend the hotel, if your not looking for a romantic &amp; luxurious setting. We will defo stay there again if we return to NYC.	
Oct 2 2006 	Value for money at great location	If you want somwhere to stay in Manhattan that won't break the bank and is within walking distance of the Empire State, Times Square and Broadway - this is the place to stay. The only downside is that not all rooms are ensuite - but the upside is that the shared bathrooms on each floor were scrupulously clean and other visitors are aware that time is of the essence and tend to spend only short periods in them. During the 3 day stay I had there I never had to wait more than 5 mins for a bathroom. The location is excellent and within walking distance of most attractions. Don't be fooled, the hotel isn't luxurious, but its clean and tidy and in a good state of repair. I will be recommending it to anyone who asks.	
Sep 22 2006 	Horrible Hotel with rats	I came in from Florida and I was meeting my sister and her two children from California in New York City and we had booked a room at Hotel31 on 31st Street. As soon as we arrived on the 13th of Sept we knew that this was not the place for us. It was dirty and very errie so when we got to our room we tried to book another hotel room somewhere else. We could not find anything at such short notice so we decided to make the best of it for our 4 day stay. On Friday night, while laying in bed we heard a rustling of paper but did not think to much of it at the time. The next evening my sister was going through her suitcase and found rat droppings and the cookies, crackers and rolls that she had purchased and put in her suitcase had little teeth marks in them and the wrappers were shredded and one bag had chew mark holes in them. We were mortified that a rat got into her suitcase. The night clerk told us we would get $20 for the loss of food and he put us in another room that had wallpaper coming off the wall and stains on the carpet. But what was more upsetting was when we put the tv on and there was pornography showing on tv!! We could not believe it! I wasin tears and the clerk told me that is what is on the tv. The day clerk was just as unprofessional and seemed to not care about the situation. He did say that the manager would call me but he never did. I asked twice again for the manager to call me but I never received a call. I would not recommend this hotel to anyone and I would not stay there even if it was for free!	
Sep 18 2006 	Excellent Hotel - Will definitely stay here again!!!	My then fiancee and I stayed in this hotel 7th-14th September 2006. I say then fiancee because we got married while we in New York! I must say I was slightly concerned before arrival as we had booked the hotel long before the wedding and I didn't know what this would be like as a wedding/honeymoon hotel and obviously was a little concerned about having to share a bathroom and whether it would be constantly engaged, dirty, etc.On our arrival the hotel staff were extremely helpful and instantly made us feel like valued guests and when we went up to our room we were pleasantly surprised to find the room a lot bigger than we expected, exceptionally clean and tastefully decorated. We were next door to a shared bathroom, which meant it was almost like having our own bathroom anyway but the walls were thick enough that we didn't hear people using it! It was extremely clean and was cleaned regularly and was never busy, I only had to wait once to use it in 7 days for about 2 minutes! I really cannot stress enough how clean these bathrooms were! All in all, a fantastic hotel for the money in a superb location and with staff which were always keen to help, promptly and were friendly with it at all times. We are already looking at booking this hotel again for next year when we come to NYC for our anniversary and if it's available then this is where we'll stop. This is my 3rd visit to New York City and have visited many hotels, unless you pay a fortune I doubt you'll find one better!	
Sep 5 2006 	very very good for the price	I went there for 3 nights with my girlfriend and really enjoyed our stay ! We stayed in a room with a shared bathroom, wich is shared by only one other room. I booked using hostelbookers (297$US for 3 nights) and everything was ok, no problem, no booking mistake. The rooms are very small and intimate. Small sink, small tv, everything is small but quite cute ! The room was very clean, the maid came everyday and we never saw her. The bathroom was also cleaned very oftenly, I never got in a dirty shower. No bugs, no dirt, nothing wrong.The conditionning air is very noisy but worked fine. There is no kind of free breakfast in this hotel, and I'm not sure that there's an internet access. It is not a place where you'll hang around and where you'll do activities. If you just go there to take a shower and sleep, its very great. It is situated in a very safe burrough of Manhattan and its close to everything by walk : 8 minutes from Time Square, 3 streets from Empire State Building...There is no better deal in Manhattan, be sure of it, if you're in a budget.	
Aug 27 2006 	Excellent value for money; great location	We have just spent 3 nights at Hotel 31 (2 adults and 2 teenagers) and we loved staying there because this was exactly what we were looking for: a clean, quiet, comfortable and affordable hotel in Midtown . There are lots of attractions, shops and restaurants nearby; besides the staff is very helpful ( they booked a cab to Newark airport for us on our last day) and there is a free left luggage room, which is very convenient; I would recommend this place to travellers who prefer spending their dollars on visits and shopping rather than lodging.If we have another opportunity to go to NY we'll definitely choose to stay at hotel 31 again.	
Aug 20 2006 	Beware of Hotel 31	Hotel 31 is a horrible hotel please stay away !!! Hotel 31 did not honor my reservation that I made with hotel(--). I arrived at the hotel around 2:00 am the front desk agent said I am sorry your name is not on the list so find another hotel but you can leave your bags. I had to walk 5 block to find another hotel in Midtown Manhattan.	
Aug 8 2006	Brilliant!	Me and a friend booked a stay at Hotel 31after reading it's reviews on Trip Advisor and we were not dissapointed! When we first arrived we were actually earlier than the requested 3pm check in but they let us in anyway! We got up to our room on the top floor and found it was a little small on first inspection but we later found it was perfect for what we wanted! It had a sink and TV and the very important air con! We found the bathrooms fine and never really had to wait. Overall, Hotel 31 is a brilliant Hotel if you want to save your money for shopping and flights and need a location that is near is to EVERYTHING!	
Aug 3 2006 	Really cozy and comfortable	We found Hotel 31 totally comfortable in everyway. The bathroom was right beside our room and always available. The halls and elevator were cozy and full of character. The front desk staff were totally friendly and helpfull. We were there during a heat wave, so loved our little cold room to return to after walking in the heat. You have to be okay with tight spaces, otherwise it was really nice especially for the price. Would stay again if looking for a clean, safe casual, no frills room in NYC.	
Jul 20 2006 	A great stay.	Service - friendly especially for NYC!Rooms - decent sized, modern, clean and comfortable (ask to see a room first!)Overall - great value - one of NYCs cheaper hotels in a great location, lovely rooms, nice people.Highly recommended.	
Jul 15 2006	A bargain	Positive: It's clean, the location is perfect, the neighborhood is alright, staff is helpful and it really is a bargain.Negative: The shared shower and toilet is not a solution you should go for if you're planning to stay for more than a day or two. Really. Don't. Rooms are small, but I guess they're not the smallest you'll find on Manhattan.	
Jul 7 2006	What a bargain!	Hotel 31 is a ridiculously cheap and cheerful bargain in the heart of Midtown Manhattan.We stayed twice during our tour of the States this summer and we thoroughly enjoyed our stay both times. The rooms we were given were clean and comfortable; you'd never tell how little we had paid for our stay from the quality of the rooms. Each room has air conditioning, which is essential during a muggy New York summer, a TV with full cable, plus a sink and hairdryer. I know a lot of people might be put off by the shared bathroom aspect of the hotel, but please do not be; they were always clean and tidy, and we rarely had to wait to use the bathroom in the morning. If we did have to wait, it was only for a few minutes.The location of the hotel is excellent; there is a subway literally around the corner (33rd and Lexington on the green line), which takes you downtown into Greenwich Village, Grand Central station, Chinatown or the Brooklyn Bridge or uptown into the museum district, upper east side and Central Park. Times Square and Grand Central, plus the Empire State, Chrysler Building, Flat Iron Building, Bryant Park, the NY Public Library and United Nations are all an easy walk away if you don't want to take the subway.Plus, at the end of the street on Lexington, there is an excellent pizzeria called Vezzo's that serves lunch and dinner for a ridiculously cheap price.If you're coming to New York to see the sights, do some shopping and generally soak up the atmosphere, then you don't need a luxury four star place to stay. All you're going to do is sleep there, so why shell out when you can save your money for shopping and still stay in a lovely hotel in a great location? Hotel 31 was just perfect for us, and if we ever go back, we'll be staying there again. We're definitely recommending it to all of our friends.	
Jul 7 2006	Had a great time	Took my boyfriend to New York as it was his first time in the States and wanted him to experience the America he'd always dreamed about. We were on a budget and I chose this hotel based on the reviews on the site and ws very pleased with the hotel. When we first arrived, we came in at 5am, and I thought we could check in, but all rooms were full until 3pm! So we ended up walking around the area (the hotel is in an excellent location, and very close to the Park and 33st station, and even to Penn Station) and doing lots of touristy things to pass time.After checking in, we tried the elevator for the novelty factor, but ended up being too cumbersome so we just used the stairs as we were on the second floor. We were not surprised by the size of the room; the two of us could put in all our luggage and other items and have plenty of room to move around. We didn't have a view in our window, which was fine because after our 5am excursion, sleep was the only thing on our minds and we didn't want anything to keep us awake! The AC ws very handy, as it was very humid in NYC. It was always nice to come back to a cleaned and cool room.The hotel is in a very nice area- not so far away is the Empire State Building, across the street from a laundromat, many restaurants (our favorite was Todai, an all you can eat Japanese restaurant located on 6 E 32 st), 2 streets down from the Garment District, a 99 cent store/bargain store, and Manhattan Mall. 33st/Park is easily accesible from the hotel and a taxi ride to Penn Station cost us 4.50$ If you need ideas of what to do on your trip, the lobby, although small, has tons of brochures available and you can even pick up the New York City Guide Book on the reception desk- it has several seperate free maps of the city and the bus and subway system.As with the other reviews, we had no trouble with the shared bathrooms. We rarely saw the other guests, but late one night there was a really strange (and vugar!) shouting match going on down the hall, but we never experienced that again.Overall, we had a great time in New York and I'm extremely pleased that the quality and location of the hotel could add to our NYC experience.	
Jul 6 2006	Caution Reservation not honoured	Had previously stayed at a sister property Hotel 17 and found it to be adequate we decided to be a little closer to the action and booked Hotel 31 through Travelocity. We planned to stay over the Easter long weekend and were traveling in from Washington DC.A representative from Travelocity had phoned us the day before telling us there was a problem with the reservation so we called them back and were told everything was fine they had called the hotel and the reservation was there. We arrived at the hotel about noon and gave them our name and booking number only to be told the reservation would not be honoured because they were &quot;sold out&quot;. We booked this reservation more than two months in advance and guaranteed it with a credit card number and received a confirmation #. Had we not shown up we were told the credit card would have been charged the first nights stay because it was &quot;guaranteed&quot;. After talking to the Hotel 31 manager we were told there were no rooms available all weekend but that we could have a room at Hotel 17 for the night and then &quot;were on our own&quot;. He said he was only honouring reservations that were prepaid because he would be responsible for paying for alternate accommodations if he didn't. Apparently having a credit card guarantee and confirmation number was not sufficient for him. We then phoned Travelocity who told us they &quot;couldn't believe the reservation wasn't being honoured&quot; because we had a confirmation number and gave the manager our cell phone to talk to the Travelocity representative. They went back and forth arguing for about 10 minutes at which point he gave the cell phone back. He said he &quot;didn't care if Travelocity dropped him and... there must be another hotel room in New York somewhere&quot;. We left for Hotel 17 and when we got there were again told we could only have 1 night and would then be on our own. We asked if there were any hotels in the area and were told we could &quot;go for a walk and see&quot;. This was Easter Long Weekend and of course anything good and/or well priced was long gone so we worked with Travelocity to find a place at more then double the cost but just to continue our vacation. As a result Travelocity has filed a claim against this Hotel chain and dropped them for their system. We were lucky because we arrived early and could find something else but this happened to 13 other people that same day the manager claimed. Obviously this is a common practice to overbook and hope everyone doesn't show up but it's not like you can just catch the next flight! There is no room you are on the street! I wouldn't take the risk of getting bumped and would book a reputable chain in the future just to save the hastle and time spent dealing with Hotel31/17 staff. The manager at Hotel 31 was rude, arrogant and completely unhelpful and I can't believe his cavalier attitude to reservations! Never thought this would happen to me but it does take away from a relaxing vacation!	
Jul 3 2006	Hotel Good Value but would pay a little more for something else next time.	I went to New York with my Aunt as a gift for her fortieth, and we chose Hotel 31 due to the good reviews and it price. The location of this Hotel is second to none, 4 blocks away from the Empire State building and Macy's and many more attractions. In fact pretty much everthing is within walking distance, which I have got to say is definetly the main draw to this hotel. Checking in took all of 2 minutes and we then went up to our room, this can be difficult if like me you have a giant case as the elevator is very small; but we managed to squeeze in ok. The room we first had was a double room, not a big drama, but we would have preferred a twim room, we went down to ask if there were any twin rooms available, but there wasn't any that night. However in the morning we asked again and for only another 30 dollars we were moved. The first room was very small for a double and both were perhaps a bit dated, and from both rooms there was no view and no daylight fom the windows. We had to have a light on the whole time we were in the room, not a big problem though as we were not often in the room. Both rooms had air conditioning which you will need as the humidity was unreal. Maids came daily and changed the towels and made the beds. The shared bathrooms are fine and always clean. One main detterant to revisiting this hotel was the smell. When we were moved to the third floor when you open the door to the main corridor there is an unmistakable smell of urine, and then as you walk down the corridor it smells like an old folks home. Both myself and my Aunt noticed this, there was no smell on the second floor, just the third? Upon checking out we could leave our cases behind reception and they even phoned and booked a taxi for us. As said the best thing about this hotel was its location, the staff were helpful and all in all our stay at this hotel was good, so I would recommend staying here if like me your not in your room that much and you are not really bothered about anyting I have mentioned above. However if your going to new York and are used to a bit more luxury from a Hotel then I would recommend spending a bit more and trying something else. To be truthful if I was going again I think I would probably spend a bit more and go somewhere else as there are loads of hotels to chose from in the central area.We had a really great time In New York and probably only saw a fraction of it due to there being so much to do. We went up the Empire State Building on a Friday night as on Fri Sat and Sun it is opened til 0200 and at that time there was no queue at all and we walked around at our leisure, also the skyline at night is something else, the next day however we passed it and the queue was out the buiding and around the corner. We bought a ticket from a vendor for the Gray Line, it is an open top double decker that drives around Manhattan with a tour guide, tickets are really reasonable and you can hop on and off at your leisure and you get a bit of info as you drive about. I would definetly recommend this.	
Jun 30 2006	Well priced but small.	Stayed recently for two nights at Hotel 31. On the positive side it was clean and budget priced, especially considering New York rates. The neighborhood is right off Lexington Avenue. There is a gourmet pizza place called Vezzi or something close to that, right beside the hotel on the corner. It was really good and fairly priced! The deli across the street was handy but limited in selection in my opinion. There is a breakfast place on Lexington Avenue one block south that was also OK for coffee and rolls. The hotel rooms were very small but had lots of original woodwork, which translated to character. It was very quiet and restful and our window air conditioner worked great. We had our own bath, as we had booked, but even with all our trips out of the hotel I only saw the hall bath occupied once. It was also kept clean. On the negative side, the lobby and the elevator are the biggest drawbacks. Both are very small. The lift holds no more than three people without luggage. It has one of those quaint metal gates also, but it was smooth and sturdy.There really is not a lobby so to speak of, just an area with a window so don't be planning to sit and lounge. There are no chairs. You can walk to the Empire State Building just north of the hotel. Not too many cabs go down that part of 31st Street so it is best to walk a few steps to Lexington Avenue to catch one. It is a bit of a hike to Penn Station but it is walkable, although if you have luggage I would recommend getting a cab. The desk staff was friendly enough and allowed us to check in a few hours early. I would probably stay there again if traveling on a budget.	
May 27 2006	Good budget hotel	Hotel 31 is very well located to see the city and the price for NYC is good. The room was ready and waiting on arrival and just as requested with 2 beds and private bath. Elevator is very small, but does the job, and adds to the charm of the hotel. Room and bath are kept clean by maids, though had to kill one roach, on the second morning. Close to subway and to several good places to eat. Vezzo on the corner of 31st and Lex and Murray Hill Diner on 33rd and Lex, both very good. Would stay again at this hotel.	
May 15 2006	Overpriced but OK	For the money, campared to other similar standard hotels i've stayed in, in other major cities (rome, paris etc) this hotel is very overpriced but maybe this is just NY. Bed was very small for a double but the room was clean. Best thing about this hotel is the location, just 15 mins walk to Times sq. and close to metro stations. Quiet area as far as Manhatten goes.	
May 14 2006	great location great value for money	my husband and i stayed at hotel 31 for just over 2 weeks and highly recommend it. the rooms and bathrooms were very clean, sharing a bathroom was no problem at all, there was always a bathroom free when we needed one and found that more often than not the bathrooms were cleaned after each use. the rooms are small, but very comfortable, in the first week we stayed in a room which had a window facing lexington ave, it was a bit noisy, in the second week we asked to stay in a room on the other side (so kind of facing park ave) and that was heap better.the location of the hotel is great, it's centrally located, it is one block away from the subway station, but we walked everywhere (it's really the only way to see new york). if your looking for places to eat wander down to 3rd avenue and there are loads of restuarants/bars/cafes to choose from and a supermarket. the staff at the hotel were all very friendly and accommodating. we really had a great experience with this hotel and would stay there again. it's a great choice if you don't want to stay in a hostel and you don't have the mega bucks to stay in a popular chain hotel.	
May 7 2006	Good clean budget hotel	Stayed at the Hotel 31 in October of 2005, and thoroughly enjoyed my stay - chose a room with a shared bath, but congestion and cleanliness were never an issue while I was there.The room was very small, with a window that looked out over a 4-ft wide alley and had amazingly bright wallpaper, but it was comfortable, quiet and in a pleasant neighbourhood. In practical terms it was only a few blocks from the Empire State building, had good, &quot;local&quot; restaurants all round and there are a couple of laundries including one across the road. It is in walking distance of most things - but I classed 100+ blocks as &quot;walkable&quot;, so you may want to use the subway, which is only 2 blocks away.All good and who wants anything but a comfy, clean bed when you are in New York - get out and do stuff!	
May 2 2006	Will stay again	I dont think i can say enough about this hotel.. For the little time my girlfriend and I stayed here we had no problems.. oh wait one of the bathrooms had its toillet backed up.. no big deal went to the other one.. stayed on the 7th floor. clean, clean, I will always stay here unless i win the lottery and can afford the ritz.. lol stayed in a hojo last time in ny and prefer this hotel 10 fold. location right in the middle of everything. you wont be dissapointed.	
