	For the money you can find a better hotel with better service"	The location is great! But the service was awful! The rooms were large for New York standards.	
Mar 3 2009 	Clean Modern Rooms Nice Stay	Stayed 2 nights on a Hotwire deal and paid $150pn inc. Check-in painless, suite on 38th floor was nicely refurbished, comfortable sofa bed, nice to have the 2 rooms, good size bathroom, we were expecting 2 double beds but they were just oversized singles (although very comfortable) so we utilised the sofa as well. Great location. As per other reports, we had the same problem with the wireless internet but persisted and it finally worked. I would recommend at the sort of price we paid but wouldn't want to pay rack rate.	
Mar 3 2009 	Great Spot For First Time Visit	Stayed 18th Feb - 22 nd Feb . First time in New York , 5 of us , my wife and I plus our 3 sons 20,18,10 . Very central easy walking distance to Central Park , 5th Avenue , Rockerfeller , Macys , Empire State etc . A few steps to the metro for longer trips . Great cookies on arrival and also given to us several other times through our stay , Staff very good and helpful . As it was our sons 18th they upgraded us to the top (43rd ) floor with a great skyline view. Very nice . Good tea/coffee making in room . Microwave and Fridge but no plates /cutlery etc . Breakfast expensive at $25 but we went to the Edison Hotel cafe down the street opposite and paid approx $4-$6 per person , excellent value . Also have a flight confirmation/check in machine in the lobby to check in online and print boarding cards which we did for our return journey with British Airways , I think most other airlines are also included . Had a great stay and would visit again	
Feb 28 2009 	Great for tourists and business travelers	I have been pleasantly surprised with this hotel. Having stayed at the Hilton Las Vegas last week, this is so much better. The room is big enough for a family and confortable enough for the business traveler. I logged right on my laptop without any internet issues at all. Bathroom amenities include a whole selection of Neutragena products! The shower/toilet area is a bit small, but the fabulous room location and views make it a non-issue. Highly recommended.	
Feb 28 2009 	This was a gift for the price	I don't think i will ever find this kind of rate in this hotel ever again, we paid a AAA rate of $162.15 and you are right on Times Square! I thought that maybe it was near Times Square but you are right in front of the big screen tv's!! Hotel was excellent, check in around 4:30pm was quick and smooth. The front desk clerk tells you were everything is, the welcome cookies were an awesome detail and they tasted really good. The bar is right in front of the front desk (3rd floor) , liked the chandeliers, they were sort of different. We had the 14th floor facing the side but for the price i could see too much! I imagine that those facing Times Square will probaby cost an arm and a leg...Our room was one king bed and you also have the small living room as you walk in with a sofa bed, desk, tv, a wet bar which under it has a small fridge, a small microwave and a safe. Where the tv was there's one of those expensive snacks and bottles of water that you don't touch unless you really need or have to. The bathroom is nice and very spacious. Room was very nice, clean and comfortable, you have few lamps and another tv. Two entrances to the bathroom, one thru the room and another one thru the living room. Every floor has an ice maker which we used, we always bring sodas and snacks especially when you have kids but on this trip they weren't with us. Overall experience was outstanding. Ended up going to eat to a Cuban restaurant (Havana Central) that was awesome!!! It was just around the corner and it was referred by one of the valet guys when we asked for a Spanish restaurant. There's also a comedy club right next to the restaurant and around the corner from the hotel. Parking was $35.00 plus tip since the car gets parked for you there so paying for valet at the hotel is not necessary if you don't mind walking 2 minutes to the parking garage (that's where they park them anyway) Internet is $9.95 in your room but at the hotel lobby is free, they disconnected my internet before check out time so i had to use it at the lobby. I would recommend the hotel any time and feel welcome to bring kids the only thing is that there is not pool but having Times Square in front of you and couple of tv's i don't think it's so necessary. You could still hear the sirens from the city but not biggie cause i was exhausted when i went to bed. Bed and pillows were sooo nice and comfortable!!!	
Feb 27 2009 	Great for families	We stayed here in June 2008. Two couples and two young kids (2 yo &amp; 9 month old) shared one room and it worked out great. The room was clean and plenty large enough for all of us to feel comfortable. There was an entrance to the bathroom from both the living room and the bedroom which was nice b/c the other couple was up earlier than us and didn't have to disturb us to get into the bathroom.We are not huge fans of the Times Square and prefer a less &quot;touristy&quot; New York experience, but with kids, you can't beat it. It has two separate rooms in the suite, with a door between. And there is plenty to do right outside your door.	
Feb 24 2009 	decent hotel experience	I stayed at the Doubletree hotel for a week in february. In general it is a decent place to stay, the room was pretty big ( bedroom + living room), clean, the bathroom also quite big. We booked a room on the 39th floor so the view was also pretty ok. The location was perfect. The only weak point was the service, we have booked a room with the internet, which didn't work at all during the entire week, we were always told to go down to the lobby to use the free wireless. It was pretty disappointing because we payed for the internet already...After many discussions we were offered breakfast instead which was a nice but pretty late gesture though. Also the concierge was a bit weird, we wanted to make reservations in a restaurant and were told to call the restaurant ourselves, after some discussions the concierge allegedly called the restaurant and booked a table but when we showed up at the restaurant they did not have any reservation under our name...(this being a concierge guy...the lady however was really helpful and adorable) Overall it was a good stay, which could have been even better with some minor adjustments. I would recommend the hotel for a NYC trip because the location is just outstanding!	
Feb 20 2009 	amazing location amazing staff amazing hotel!	We recently took my daughter and her friend on a weekend trip to Time Square to celebrate her 16th birthday. It was something she always dreamed of, and the trip was everything we imagined. We drove to New York from Virginia, and it was a nice drive. We never experienced any major traffic issues until we got closer to Time Square but even then it wasn't that bad. (i would do it again) Upon pulling in front of the hotel we were truely welcomed by Vinny. He was so helpful and funny, which made the stress of the traffic not noticeable. He assisted unloading our bags out of the car, and escorted us to the front desk. He was very helpful in explaining everything about the hotel. We did take advantage of the Valet parking, and it was well worth the money. Upon getting checked in, we were helped to our room by a bell boy. We had originally had reserved the queen suite, but at check in was upgraded to the king suite at no additional charge. The room was on the 17th floor and was amazing, although we had a side view from the window it was beautiful. The bed was the most comfortable bed ever!! The teenagers slept on the sofa bed, but slept like angels. The rooms are very comfortable, spacious, and well taken care of. Not only is this a beautiful hotel, it was affordable, and in a great location. Outside your doorway you will find the heart of Time Square, but yet at night you never hear any of the city sounds, and will sleep like a baby. I would recommend taking the bus tour, worth the money to see all of the sites of New York. For someone who has never traveled far from my hometown this was a big adventure. And i have to say it was well worth all the memories we experienced. I look forward to planning another trip to New York and plan on staying at Doubletree Time Square again! Also, dont forget the delicious cookies!	
Jan 29 2009 	Big Clean Excellent for Price	Travelling to NYC with 3 kids and wife in jan/2009. Excellent price to hold 5 people in the room. The room was big (above average for NYC), quiet (we stayed at 6th floor, the lowest one) and clean. It is located in front of the ticket booth in Times Square. If you are in NYC for shows or shopping, this is perfect. Just expect to see a lot of people as you step out of the hotel.The free internet service is available only at the lobby.	
Jan 27 2009 	Great Location Great Staff	We just returned from a four day mini vacation at the Doutbletree Suites, Times Square. Good this hotel through company website. Got a great rate. Stayed on the 15th floor very quite. The kids 11 and 9 were greeted by warm cookies. The front desk staff was excellent some of best most helpful customer service I have experienced at a hotel in a long time. The doorman was always pleasant and helpful. This was a two room suite, large bathroom great comfortable beds. TV in living area and one in the bedroom area. The engineering staff was great, the housekeeping staff was great, room cleaned very well every day. They even made sure I had extra coffee. The safe was a nice addition to the room (no charge) We did not eat at the hotel or in Times Square 2 block away at 8th and 9th Ave. had many excellent well priced non chain type places to eat. Close to everything we need to do. The Tour Bus, Subway, Grand Central Station, Rockerfeller Center, TKTS booth right across the street. We have no complaints at all about this hotel. We will return the next time we are in NYC! A great place to stay for families.	
Jan 24 2009 	Major problem with lack of internet access in rooms	Nice hotel but serious disadvantage was wireless that did not work in the rooms. They disabled the internet connections in the room and yet the wireless network was terrible. It took over 10 minutes just to pull up one page in the rooms. I was on the phone with the help desk extensively but still no improvement even after they reset the wireless on the floor. We had two computers and both had the same problem. We finally went down to the business center and were able to access the internet. However, we stayed for several days and needed the internet connection in our room. We found several business people in the business center complaining about the problems with wireless access in their room. They should either put the internet connection lines back in the rooms or fix their wireless network. Otherwise, this hotel does not work for anyone needing internet access.	
Jan 22 2009 	Excellent Trip	Rooms are very nicely decorated and very clean and large. Actually, this is 2 rooms since this is a suite. Bathroom is large and had entry from both rooms. Flat screen TV's in both rooms. Fridge and microwave in sitting room. Wolfgang Puck coffee maker in room. Although in Times Square, right in the middle of everything, we found the rooms to be very quiet. Rates are really good for NYC.The people that worked there were very pleasant. We went to a play on Broadway and only had to walk 2 blocks. Never used the restaurant in the hotel but we used the gym which was also very clean and up to date.We were very comfortable there and would go back again.	
Jan 21 2009 	Good experience	We stayed at the Doubletree Times Square from January 17-19 (MLK weekend). Our first confusion was finding out where to park. We called the hotel from the car and ended up valeting right in front of the hotel on Broadway. When we checked out, we went and got our car from the lot on 47th ourselves and saved $10 per night in parking charges. Check in was a breeze, very personable (especially for NYC!). We had a king premium room on the 39th floor for only $186 per night (AAA through the hotel website - they did not check my card). We loved the location, though be warned it is right in the heart of Times Square which, on the weekends, is a bit crazy! The room was great - plenty of room, comfortable beds, including the pull out. We could not figure out how to get the small refrigerator to work, but everything else was in good shape - obviously recently renovated. There are 2 flat screen TVs. Note that the kitchenette (really just a mini-fridge and microwave) has no utensils or plates, so pick up your own.	
Jan 19 2009 	Good value quality hotel	As per many trip reports we found this hotel very adequate. We drove in to NYC and drove up to the door to be greeted by the valet, dropped our cases off before dropping the car off down a few blocks.The reception is a bit odd in terms of layout and we found check in very slow, although staff were pleasant and helpful. The cookies were very nice on arrival.We were on the 24th floor and enjoyed comp wifi access. The suites were large with flatscreens, decent size lounge. The rooms were clean and functional. Shower not very powerful.Didnt eat in the hotel but had a look in, didnt look very glamoros with no windows and musical theme, cannot comment on the standard of food.Seems they are renovating on the 3rd floor near the business suite. We printed from the room and went to the suite but it was very clear how to pull the print job. However, we called the hotline from within the business suite and they assisted straight away.Security on the door checked our key cards after a certain time at night. They were also very helpful calling cabs.On the whole I would recommend this hotel for a first time visitor, a fantastic location to walk to most sights.	
Jan 17 2009 	Fantastic	We stayed at the Doubletree hotel in Times Square for my boyfriends 21st birthday and it is FANTASTIC!!!! the location is out of the world and the rooms of the hotel are gorgeous the beds are HUGE!!!! the bath room has to two doors into it, it is that big one into the lounge area and 1 into the bedroom. It really is great hotel with a superb location, and the view from the room is great looking over Times square at night with all the lights on really is something!We went up the Empire State Building which was an experience took us 3 and half hours to get up but it something you have got to do, you are there so you have got to go up it really is fantastic!The shopping on 5th Avenue is great, everything is just overtop and bloomingdales the sweets and chocolate floor in their is just like wow oh my gosh! I would DEFO recommend this hotel you cant beat the location it is just fantastic!!!!!!!	
Jan 14 2009 	Good location	Stayed on the 41st floor and it was very quiet. Could not hear the street noise at all.Likes:Complimentary internet 'cos of Gold Hilton Honors MembershipLarge room with sofa bedMini fridge and microwaveWarm cookies every eveningNear subway (47 St Subway - N,R,W line)Right in the heart of Times Square!Dislikes:Lousy breakfast policy - all members in the room should get the free breakfast, especially if we are Gold Hilton Honors Members. How silly if there are 4 members in the room and only 2 get the free breakfasts?!? I think Doubletree need to rethink their breakfast policy.Lousy service in the restaurant - understaffed	
Jan 8 2009 	Absolute bargain	Whether you like this hotel or not I guess depends on how much you pay. We got an upper floor one bedroom suite for just over $200 and I have to say it was an absolute bargain. It's a great location, right in Times Square where the subway lines all interconnect so you can go anywhere from outside the door. Our suite on the 29th floor overlooked the side street and though we could see some of the lights of Times Square it was incredibly quiet. No street noise at all. The bell boys in the street level lobby were really helpful. We got three seriously yummy warm chocolate chip cookies at check-in. The room was great for us and our two kids (aged 4 and 2) - the lounge had a pull-out sofa and the hotel supplied a cot (crib) for the little one. The bathroom was functional rather than glamorous and the shower was more of a drip than a downpour, but there was plenty of counter space and nice neutrogena toiletries. There was a door into the bathroom from both the bedroom and the lounge. Both rooms had flat screen TVs and there were real coathangers with hooks in the wardrobe. The bed was big and comfy with lots of pillows. When we checked out with our vast quantities of luggage the bell boys were helpful in getting us an oversize taxi. Quite frankly at the price we paid, what's not to like?	
Jan 6 2009	Great location very nice hotel post-remodel	I’ve stayed at this hotel a few times for business and leisure and generally keep coming back for 1) the location and 2) the reasonably priced rates. It’s a good combination for doing tourist (or in my case, business) activities and generally the rates are in the $200-$250 per room/night range which is quite reasonable given that every room is a suite. I am a Hilton Diamond member so get free breakfast and an upgrade of sorts, which are welcomed perks. It’s nice that the lobby is above the ground floor as you don’t need to worry about it being too crowded. Overall I’d recommend it as my hotel of choice in the Times Square area, especially if traveling with 3-4 friends or family members, due the extra space.	
Jan 6 2009 	Nice Suite and Great Service	A suite was one of our requirements. This fits the bill. Our hours aren't always the same so it was a plus to be able to shut the bedroom door and watch TV without waking my wife.The service from everyone we encountered was very good. Hanna at the restaurant, Alex at the bar, AJ at the concierge desk, all the people at the reception desk, the maid for our room, and the two maintenance men that adjusted the temperature on our fridge were all outstanding.No request went unanswered! No problem ignored.We were there Dec 17-22, '08 to celebrate our 38th anniversary and just booked June 14-20, '09 to celebrate my wife's birthday.	
Jan 6 2009	Great Hotel for Family Visit--Book A Conference Suite	We stayed at the Doubletree Times Square starting new years day and had a great time.We have a family of 6 (4 kids) and had no problem fitting into the conference suite (bring sleeping bags for more than 2 kids.) There are two rooms and a large conference table that seats 6. It is a true suite since there is a door to the bedroom with a separate door from bedroom into the bathroom. We were on the 38th floor with an amazing view of Times Square. At $220/night it was a great deal for NYC. One night we just had 6 guests and takeout and ate in the suite at the conference table.I agree with other reviewers that the lobby is less than desirable, but who cares? Just outside the door are dozens of restaurants, bars, etc. that would charge less anyway for a drink. The location, while great is a nightmare if you arrive by car. Don't drive if you can avoid it, and if you do, don't arrive at night when people are going to the theaters. It took almost a hour to travel the last few blocks to the hotel. Also avoid Bond 45 restaurant on 45th Street unless you want a very mediocre meal for $$$$.	
Jan 3 2009	Misleading	We stayed at the doubletree from Dec. 26th - Jan.2 and it was not what we were expecting at all... First off we booked this stay on these specific dates because that's what date their website claimed there new lobby would finally be finished. Not only was it not finished, but the carpet was totally tore up and there was very loud drilling going on for the first 3 days we were there. It honestly looked like a construction zone. Not to mention that even when it does get finished its a VERY small lobby and you often find yourself trying to fight through people to get to the elevator. 2 out of the 3 times i ordered room service it was cold and didn't taste good at all. The one good thing i had was an outstanding pizza that might have been top 5 I've ever had in my life.Oh and if you want any soda's or anything like that you have to get them from the mini-bar because the entire hotel does not have 1 vending machine! You heard me right, not one! One can of coke costs $3.75, and if you don't feel like fighting the thousands of people on times square to get a coke then the mini-bar is your only option... Also the maid service had to be reminded dailey that the mini-bar needed re-stocked otherwise they didn't do it. Very annoying...The shower heads are pathetic. A normal shower that would usually take me 10 minuets took me at least 25. And its goes from boiling hot to ice cold without even adjusting the temperature.There were other little things here and there that happened to make me write this poor review but ill just leave it at what i wrote.One amazing thing about the hotel though is the beds!! I have never slept so good in my life. In Fact i slept so good on this bed i ordered one the day i got home from doubletree's website where you can purchase all beds and furniture the hotel uses.http://www.doubletreeathome.com/The security guard Brian downstairs was one of the nicest guy's you will ever meet. We would have been completely lost without him and we even wrote a letter to management about what a great job he did.	
Jan 1 2009 	OK stay	We just returned after a 5 night stay at Doubletree Times Square.We found that the website phots are misleading. The lobby looks absolutely nothing like the pics. Albeit they were working in the lobby but I still don't see it looking anything like the pics posted. We arrived early and was allowed to check-in around 12:00. When we asked for a room with a view we were told they didn't exist for the double rooms. I've since found that to be untrue.The furnishings in the rooms were not the greatest for the amount we paid per night. $657.00.I have stayed in much smaller and less clean places in NYC but would stay in the MIlford Plaza over the Doubletree next time.It's just as nice and less $ if you don't mind not being right on the square.I also didn't know anything about breakfast coupons until I read an eariler post. As a Hilton member, I feel I should have been told this. The cost at $25.00 per breakfast became alot of $ for 4 people.We go to NYC every Dec. but am not so sure I'll stay here again. The location is awesome though. I couldn't ask for a better one.Also, Shannon, one of the conceirge staff, as exceptionally friendly and helpful.	
Jan 1 2009 	Great suite right in the heart of Times Square	Spent a hectic 36 hours sightseeing in New York with the family whilst visiting the States and used the Guest Suites as a base for our Big Apple stay.We hade one suite with two rooms which was plenty for the five of us. Didn't use many of the hotel facilities and lobby was being refurbished whilst we were there but the rooms were good, great comfy beds and the location in Times Square was fantastic.Took in Central Park, Bloomingdales, FAO Schwartz, The Rockefeller (better views than Empire State), a Knicks game, Staten Island ferry, Wall Street, Century 21 etc whilst there - all with a good nights sleep at the guest suites.Don't miss the hot cookie on arrival!	
Jan 1 2009 	Unbelievable room in an unbelievable location!	My wife and I were booked into a room at this hotel by our cousin, for one night the Saturday before Christmas. What a room! It was a suite with an incredible view out the window, looking down onto TImes Square. The staff was friendly, efficient and top-notch, which was especially appreciated because we arrived late in the day and the lobby was under construction (in the midst of a huge renovation), conditions that usually lead to a long wait in line and abrupt service. In this case, however, everything was perfect.	
Dec 31 2008 	Doubletree Times Square Great Location	I've stayed here twicw with my wife. The location is perfect for shows, walking distance to attractions, etc.	
Dec 31 2008 	A Great Place to Stay	Our family of 5 stayed at the Doubletree Guest Suites Times Square November 21st - 25th and loved it. The room accomodated the 5 of us perfectly, and we loved the location. Our kids were visiting New York for the first time and the Times Square location really wowed them. We liked the central location and walked most everywhere. The hotel staff was very friendly and accomodating. The rooms were suprisingly quiet. Would highly recommend staying here, we felt like it was a good value for the money.	
Dec 29 2008 	Perfect location	Just returned from a one night stay at the Doubletree to see a show and NYC at Christmas. We were able to check in early and given a room that overlooked the M&amp;Ms store, my son's favorite place. We were a 15 minute walk to everything we wanted to do. Yes, the crowds are hard to navigate when you exit the hotel, especially when the theaters are starting and letting out, but that's the fun of Times Square, you just go with the flow! The lobby construction looks almost to be done, but it wasn't an inconvenience at all. The rooms are huge compared to NYC standards, separate bedroom, living room, big bathroom and wet bar in the living room. We will be staying at this hotel whenever we return, it's great for families. Also, if you are traveling with children, Mars 2112 is a really fun place to go to dinner. The food is so, so but the whole experience is &quot;out of this world.&quot;	
Dec 28 2008 	This was a great birthday Treat!	I booked this through &quot;cheaptickets.com&quot;. What a perfect location! I was in NYC to celebrate my birthday with friends (nov 14). I booked it the day before my birthday for less than $200 including tax!It faced the lights of Times Square which made me so happy I booked there. I really felt like I was in the middle of it all when I looked out the window. The room was HUGE for NY. Two rooms, one queen bed, one pullout couch and a bathroom which was bigger than the one I have at home!2 TV s and a mini-bar.Wow, what a good deal for the money.Granted it is not a 5-star hotel, but I really considered this a &quot;score&quot; for the money - and it was just a couple blocks from Winter Garden theater where I saw Mama Mia! Caroline's comedy club was next to the theater so I had a really nice birthday.Having the weather be 60 degrees was a bonus, but I can't guarantee that for you.I can say the hotel was great - also allowed late check-out.	
Dec 25 2008 	Loved the Doubletree Times Square	I booked a Hilton Honors stay at the Doubletree Times Square for Dec 13-17 and was pleasantly surprised! After reading some reviews on check in and potential rude employees I was a little concerned. No need to worry and this place is in the middle of everything you need to get to. Having never been to New York we found it very easy to navigate to our broadway shows and pick up the tour bus across the street.Also if you are an Hilton Honors member you receive 2 breakfast copupons for each night of your stay. At $25 per breakfast that definitely helps out. If we visit New York again I wouldn't hesitate to book at this Doubletree again.	
Dec 21 2008 	Great Choice	We stayed at the hotel from Dec 12-14 using Hilton Honors points. We arrived from Los Angeles at 7 AM and were very pleasantly surprised when they allowed us to check in early. We were given room 1202 which faced Times Square. We were very happy to get a room facing all the lights and sights of Broadway right beneath us.There were 3 of us staying so it really came in handy to have the suite with the family room and the pull out sofa. The bed in the bedroom was very comfortable and I was told that the sofabed was also comfortable. We also liked having a microwave and a fridge in the room for drinks and leftovers.We were somewhat low in the hotel on the 12th floor since I believe the hotel has 40+ floors but the noise below was manageable. We didn't have any problems sleeping. The heater in the room wasn't the type to set by degree and was tricky to find a medium between warm enough and too hot but once we did it was fine. The location of the hotel is the main reason why we chose this hotel and we were not disappointed. It is right across from the TKTS center and we used it one afternoon to get tickets. We saw a couple Brodway shows and it only took 5 minutes to walk to either of them because of the centralized location. We spent the remainder of our trip at a hotel a few blocks east and missed the location at Times Square. There is a subway entrance right beneath the hotel that we took downtown and the location is great because there is so much within walking distance including Rockefeller Center, Central Park, 5th Ave, and more. I was worried about the hotel lobby being renovated before the trip but it was no problem at all. You need to take an elevator from the ground floor to the lobby on the 3rd floor but it was no problem at all and added an extra sense of security. Overall we really enjoyed this hotel and location and when we come back to NYC we will stay here again. It's a great place.	
Dec 21 2008 	Perfect Times Square location	We are just finishing a one night stay at this hotel, which is the ultimate central location if you are visiting Times Square and the theatre distric. Hotels are booked and rates are up in this week before Christmas, but we scored a suite with two queen beds and a big pullout sofa in the living room for $332 including all taxes etc. The accomodations are much bigger, better and more comfortable than anything we have experienced in NYC in that price range. We would return here in a minute!	
Dec 17 2008 	Great location and everything else!	Although I prefer more exclusive properties, we decided to save a bit and go with Doubletree suite. We booked with Expedia and, upon arrival, got a free upgrade which was lovely. Location is simply great! Great, great, great! We walked all over the place but it was quite cold so often hurried back to relax and warm up. The room was very clean although the rest of the hotel was not kept as good but I do not expect that in such a huge place. Everything was in order in our room and the bed was perfect. Will probably stay there again - I am just too afraid of all those tiny rooms everyone is talking about when talking about NY hotels.	
Dec 15 2008 	Very pleased with Doubletree!	My wife and I stayed two nights in December and were very pleased with the entire stay. I asked for a high, quiet room and was booked on the 41st floor at the end of the hall-perfect! The rooms are true two room suites and are very clean. Could be considered slightly dated, but not enough to be a concern-especially at the price.This hotel is in an ideal location for Times Square and the lower part of mid-town. Every staff member we encountered was friendly and seemed interested in our satisfaction. We would definitely return.By the way, the lobby renovation was not bothersome in the least.	
Dec 10 2008 	Great location that's about it	The location is the best thing this property has to offer. We were aware of the lobby renovation prior to arrival so we expected that, not a big deal. We preordered a pack and play for the baby, when we checked in they assured us it was already in the room. When we got to the room (1:00 PM) it was not there. We called down they said they would bring it right up. By 5 Pm we still had not received it, called down to the front desk they told us it would be right up. We stopped by the front desk at 7PM because we still had not gotten it, they said it would be sent right up. At 9PM I went back down to the front desk and and told them we preordered it had been told several times it would be right up and that currently we had a 4 month old baby sleeping on the floor. Not once did anyone say they were sorry we had not received it. It was delivered about 5 minutes later by a very pissed employee. Every time we left the room and came back the keys did not work. Every single time. Which meant we had to go back down stairs to the front desk and wait in line to get new keys. We did not encounter one employee who smiled, not one. For the price we paid for our hotel room $509.00 plus tax fro 2 nights.)you would think they would be more accommodating.	
Dec 6 2008 	Spacious rooms in the heart of Times Square	When the hotel says they are right in the middle of Times Square, they aren't kidding. This makes everything you could possibly need well within a short walk, be it shopping, dining, or sightseeing.The rooms at this property are true suites; not the mini-suites you find at something like a Springhill Suites. The living room is significantly larger than the bedroom, and I found myself watching the plasma screen TV in that room and reserving the bedroom for sleep. The bathroom has an entrance just inside the front door to the room, and as you walk through the large bathroom, you can exit through another door into the bedroom. There is a small bar area in the suite...perfect if you are entertaining, though I didn't find it particularly useful. I did come in late, so the well-stocked mini-bar provided the usual snacks to take the edge off my hunger until breakfast the next morning.My review is only average because there is a lot of construction going on. Breakfast takes place in a big meeting room that can get loud as it fills up. The decor is a little dated, and the heating in the suite is a wall heater that has dual vents to share the heat between the two rooms; so one room is usually hotter than the other.Altogether though, this hotel usually has the best rates in this part of NYC, and is more than adequate for the business traveler.	
Dec 5 2008 	Spacious Rooms 	We spent Nov 21 - 24 at the Doubletree and would love to return on our next trip. On the day of arrival, we called early in the morning to request an early check-in and a room on a high floor if possible. When we arrived around 2 PM, our room was not quite ready so we had the hotel hold our luggage (complimentary). The staff at the baggage storage desk were excellent. They helped tag and secure our language all the while smiling and with great patience. Despite the bustle of the hotel, I felt reassured that our luggage was safe and well taken care of. At check-in, we received chocolate chip cookies with warm and gooey centers. Just how I like them! We had room 1504 and upon arrival were impressed with how clean and comfy everything looked. Our 2-room suite (one bedroom + one living room) was a luxurious amount of space for 4 adults in NYC. Two slept on the king bed and 2 more on the pull-out couch. There was also a fridge, microwave, and mini-bar -- which we promptly locked after reading that the bar could be &quot;touchy&quot; and accidentally charge you for items that you bumped. I appreciated having a 2nd sink in the living room area for drinking water. Also - the in-room coffee was surprisingly tasty. The bathroom had 2 separate entrances so you could enter either from the living room or bedroom. Our room had a partial view of Times Square but the amazing thing was that the room was INCREDIBLY QUIET, and we are light sleepers. Don't worry - blackout curtains easily hid the blinking and sometimes blinding lights of Times Square. I also liked that I could crack open a window if I wanted some fresh air, since most hotel windows are sealed tight. As for the lobby construction, there was zero noise and inconvenience, aside from the ladders and workers being in the lobby. The location of the hotel is great. It's close to a subway stop; TKTS booth across the street, and an array of restaurants within walking distance. Having never stayed in the heart of Times Sq, it was a different experience being in such a busy area. You walk out of the revolving door and it's a continuous stream of people walking either direction.Overall, this was a fabulous hotel for the $183 per night price we paid from Hotwire. The amount of space and location were phenomenal features, and I would highly recommend the DoubleTree!	
Dec 1 2008 	Great Location	We stayed at the Doubletree on times square for the second time in a year. The location cannot be beat, its right across the street from the TKTS outlet. and right in the heart of the theater district. The rooms are nothing to write home about. They are clean, roomy for 4 people, they have a microwave and small fridge that never got cold, and is equipped with a bedroom, bathroom and seperate small living room with a pull out bed, but the hotel itself is okay. they are going through some kind of renovation at this time the lobby area is sort of a mess, the hallways look like you are in a 2 star hotel, not at all like a Hilton, Hyatt or similar. but you come to NY or enjoy the city not the hotel. So all i'd like to say is the location can't be beat and the subway is across the street or right under the hotel depending if you are going uptown or downtown. Loved the city and the sites, hotel is also very acceptable.	
Nov 24 2008 	Conference Suites are Great	We stayed in one of the xx03 conference suites and had a dinner party with 11 people. It was perfect. There are two differenct conference suites. The 03 suites and the 01 suites. The 03 suites are bigger and have more windows that face north and west. They also have 2 full bathrooms with tub and showers (one off of the living room). You get a great view up 7th Ave and can see Central Park and when you look out the west facing windows you see the northern half of Times Square. The 01 suites face south and west and are smaller because they wrap arround one of the elevator shafts and only have 1 bathroom and not as many windows. However the south and west windows let you see all of Times Square. If a view of all of Times Square is top priority than go for the 01 suite. Some of the photos on the Tripadvisor web site are taken from one of the 01 suites. If space is a top priority (plus a second full bathroom) go with the 03 suite--the pictures on the hotel web site are the 03 suite. We have a lot of family in the area and decided to rent the conference suite because it has a table that seats 8 and thought it would be nice to invite family and order room service. Eventually we had 11 but the room has a second table in the bedroom on wheels that fits under the desk so we pulled this out and put it at the end of the conference table. The room service people were great and brought up extra chairs and tablecloths. We ran out and got our own appetizers and wine and beer because the room also has a refrigerator (small but held a lot of beer and cheese and dip), sink, and microwave. Family came at 6 and had appetizers in the living room (a little crowded for 11 but not uncomfortable) and then dinner at 7 in the dining room. Room service came right on time and the food was very good for room service in a hotel--steak, Mahi-Mahi, Salmon, a very large choice for a room service menu. They also have a separate catering department if we had wanted to go that route. What we look for in a hotel is a lot of space in the room. We have also stayed in the regular suites and they are quite comfortable but do not have a dining room table. Our family had a great time because there was no time rush like at most NYC restaurants and we could be as loud as we wanted--the rooms are well soundproofed in this hotel. After dinner some people stayed at the table and some went into the living room and turned on the TV. Very relaxing for dinner in NYC.We aren't the types that like to be fussed over at hotels so the fact that this hotel has a small lobby that was undergoing repairs didn't bother us. If lobby appearance is important to you this hotel isn't for you. The furniture in the room is very nice but not elegant (kind of like our home) which is great if you are bringing children. This was a great stay and the staff did a great job. Will have another dinner party again here sometime in the future. For what we wanted it was perfect. If you want an impressive lobby and elegant furniture this is not the place for you.	
Nov 22 2008 	Good Stay	I stayed at the Doubletree from November 11th through the 16th. My room was on the 22nd floor. It was extremely convenient to everything. I travel to NYC about twice a year to see theatre and I usually hunt for a good rate for a decent hotel. My favorite hotel used to be the Rhiga Royal, until it was bought out and swanked out of my price bracket to the NYC London. In July, I stayed at the Dream Hotel, which was trendy, but I got a super cheap rate, and didn't mind the small room. But, I digress.The Double Tree is a great location and tons of room. I loved having the separate living area, as I have friends who I meet up with and it's great having our own living area to chat, instead of in a hotel bar, restaurant, etc. The bedroom section was very comfortable. The bathroom was a little bit dated, but it was in fine working condition so it was no big deal that it didn't have the super deluxe new look...It also doesn't have the price tag associated with that look, either.I found having an empty refrigerator, instead of a mini-bar a blessing. I loaded up on my favorite beverages for my stay.The maid service was very attentive and always prompt with my requests. I frequently asked for more coffee and condiment packets with my room cleaning, and I always came back to a clean room and plenty of coffee to make for me and my friends.The location can not be beat for seeing the Theatre. Almost everything is within a 5 to 10 minute walk, except for Lincoln Center, which is a bit of a hike- about 20-25 minutes walk.The hotel lobby was still under construction, but aside from a few congested periods during my stay, it was barely an issue.So, the bottom line- would I stay here again?Absolutely, as long as the price is what I consider to be reasonable for NYC. I paid around $320 per night for a 2 room suite- which I consider high value, indeed. Of course, the economic downturn could be a part of why the room was so cheap, but It was a great deal.I never used their restaurants or room service. With some of my favorite restaurants nearby, why should I? Part of the excitement of NYC is the great choice of restaurants!	
