	Good Standard clean and efficient. Very central for shops and sights	Overall a good hotel and we enjoyed our stay. Facilities are good and staff are helpful.We were very annoyed by the 11 dollars charge for using the phone for local calls even if you only connected for seconds. Outrageous price. Don't know what the food was like, we always ate out even for breakfast. There's plenty of choice around. Wifi was expensive and only payable by the day, though there is free internet terminals in the executive lounge.	
Sep 8 2008 	Great experience	My daughter had to go to a bachelorette party and a shower the next day in New York City. I went with her and her 2 week old baby. The Hilton was terrific in helping us to settle in with the baby. From check in, the bell hop, the restaurant staff and even the parking , everyone was so helpful and attentive. The room was wonderful and the bed terrific. We got a great rate (for New York City) by prepaying for our room when we made the reservtions. The location was so convenient.	
Sep 8 2008 	Fantastic Location!	Location, Location, Location!!! As other reviewers have said, this Hotel is in the perfect spot along the Avenue of the Americas. We arrived an hour before check in (on a Thursday) and got a room right away. I was pleasantly surprised, we had a corner room and the nicest view I have ever had in NYC. We booked a regular room with 2 beds and that's exactly what we got. Nicely decorated with a flat screen TV. The bathroom was on the small side, but had plenty a room for all of our toiletries, make up etc. The only thing that annoyed me was the toilet, to flush you had to bend down and reach your hand under the sink, it was a strange. But for the $$ it was perfect! We booked through the Hilton website and paid $299 and $259 for a Thurs/Fri stay, worth every penny. We checked into going back @ x-mas time and the price is double so not sure if we will be going back that time, but if the price was the same I would book there every time!My friend and I were in NYC to celebrate our B-days, here are some recommendations...We took the Sex and the City bus tour $45 a ticket and you have to make a reservation in advance, very fun! The tour makes a few stops and you get a free cupcake!We also went to dinner @ Les Halles 414 Park Ave S, they have $19.99 Steak Frittes (steak and fries) every day! Steak was cooked perfectly, dessert was great too.We had dinner @ Serendipity, and I would never go back again! Frozen Hot chocolate was good, but the food was not worth it. Also check out Dylan's Candy Store... 3 floors of candy, who can resist that!Hope this helps you to have a great trip to NYC!	
Sep 8 2008 	forget it!	Other than a convenient location (6th ave, 52e) this old building won't offer anything else.i was on one of the executive floors: ridiculous.room: old old old, carpet stained, broken tiles, wallpaper coming off, miserable bathroom with clogged tub. cheap and old materials.tv: a very old clunky model. quality of channels very poor.executive lounge: every body can free ride for breakfast or snack. nobody checks eligibility. (don't bother paying executive services...)amazed by other positive reviews.	
Sep 7 2008 	The Good The Bad and The Ugly	First, the Good:This large hotel has all the amenities you can expect from a large, US-based hotel chain. It is located in Midtown Manhatten, only a few blocks from Central Park and Broadway. If you are in NY for theater, this is a great hotel, because when you get ready to leave the hotel for the theater, you can avoid the long lines at the taxi stand by simply walking to the theater, or taking one of the many bicycle taxis - they're a litte more expensive than a regular taxi, but for a short trip, they can be faster, and certainly more entertaining. Location-wise, this place is great. Many of the staff (especially the restaurant and the housekeepers) were very nice and accomodating, even though the hotel is very busy all the time.Next, the Bad:In contrast to the nice staff that I mentioned under the &quot;Good&quot; section, some of the staff were not very helpful or friendly at all - mostly the bar staff. As you will see, some of the staff were downright &quot;Ugly&quot; - read on. Another &quot;bad&quot; thing (at least for me) is the fact that the hotel is extremely busy all the time. In the main lobby area, the noise and activity level is pretty much non-stop. Some folks like that, and I do too, in limited doses, but I have to get away from it once in a while, and also, although I complimented the housekeeping staff for being nice, there was one little thing in the room that I didn't like. When we checked in, the bathtub/shower had a lot of hair in it. Now, I know this happens in all hotels, from the cheapest to the best, but this wasn't just one hair, tucked away in a hard-to-see corner. There were several strands of hair, in various locations throughout the tub/shower, and also in a couple of other spots in the bathroom. I don't think I'm alone in feeling that the room is less than fully clean, when I see that. And finally, on the bad side, there was a sporting event that I wanted to watch on ABC. I don't normally spend my holiday time watching TV, but I wanted to take a couple of hours out to watch this particular event. So I turned on the TV, to channel 7, New York's ABC affiliate. Appearing on channel 7 was the NBC peacock. Nothing against NBC, but they weren't showing what I wanted to see. I contacted the service desk four times, and after the fourth call, they sent a service person up to check. He confirmed what I already knew - that the central server for the hotel's TV service had ABC &quot;programmed&quot; out of their channel lineup. There was no ABC in the hotel. I checked other TV's and they were all the same. No one knew what to do about it, except to call the cable service provider, which didn't help me at all, since from the time I found the problem, it took 5 hours for them to even respond, and who knows how long it took the cable company to come out and fix it. As of the time we checked out the next day, the problem still wasn't fixed.Finally, The Ugly:We stepped out of the hotel to get a taxi, and I admit that I made a mistake. I wasn't paying attention, and I was simply focused on my goal of getting a cab, so I didn't notice the line of (3 or 4) people to my right, waiting for the doorman to put them in a taxi. A taxi stopped right in front of us, to let out a customer, and I began walking toward it to get in. The doorman began yelling (actually, &quot;screaming&quot; is probably more descriptive) at the driver (although I think he was clearly trying to send me a &quot;message&quot; too - it was just that since I was a hotel customer, he felt obliged not to confront me directly), and using abusive language, even cursing, at the top of his lungs. Of course, his problem was that he had a line of taxis waiting at the curb for him to call them up and put passengers in them, and he couldn't allow a taxi with a drop-off to cut into the line. I understand that, and I don't have a problem with him taking corrective action. Now, as I said earlier, I was wrong, I was not paying attention and should have walked over to take my place in line, but it was clear that I was not intentionally trying to jump ahead of the line (this sort of thing only happens about a thousand times a day there, I imagine) I was just being inattentive. Finally, when he did put us in a cab, he simply grunted at me and slammed the car door just a little too hard for me to think that he wasn't trying to send me a message. There is a way to politely waive the offending taxi driver off, and to politely ask the offending inattentive tourist to take a place in line, but this guy chose to go the other way, and frankly, I think he made just about everyone standing out there, even the good folks who had politely and attentively taken their places in the taxi line, feel very uncomfortable. It was just an &quot;ugly&quot; moment. Of course, his tactic worked, sort of. I'll never walk out of that hotel again without looking right, to make sure there is no taxi line waiting. On the other hand, I may never come back to this hotel again, so ....I give the hotel an overall &quot;average&quot; rating, because the location and some of the staff are really very good, but the negatives that I mentioned above drag the overall rating lower.	
Sep 5 2008 	Unbeatable Location	The Hilton New York's location is simply unbeatable because you're steps away from just about everything. It is a huge hotel, and very busy too I might add, so you don't get too much personalized attention but you do get the reliability that comes with the Hilton name. Lobby area was impressive enough for a business hotel and the rooms were very comfortable. The corridors to the rooms were a tad narrow but I guess this is New York! I did stay in a non-renovated room but I could not fault it. It did have a distinctly American feel to it. Breakfast at the Executive Lounge was OK - you really cannot go wrong with pastries and coffee.	
Sep 2 2008 	Really Enjoyed Hilton New York	My husband and I just returned from NYC and stayed at the Hilton New York on Ave of the America's. This hotel was absolutely wonderful! Yes, the bathroom was a little small perhaps, but we didn't come to NY to see a big bathroom in our hotel room. There's still counter space to place items/get ready and we didn't have any issues. Beds were super comfy, but we did ask for a few more pillows as those were a little small. But they brought us pillows right away when we asked. They also had complimentary shampoo, conditioner, soap and toothpaste!Check-in was VERY easy. Yes, there was a line, but they had a few staff members checking people in and we waited maybe 10 mins to check in, and we got there at exactly 3PM. One thing we noticed was that our remote control didn't work for our TV when we walked in (and since we went to NY to watch the US Open, we wanted to be able to watch part of the match on TV so we knew who was playing while we were there). Well, we called Customer Service and within mins, they had brought us a brand new remote! After reading some of the reviews on Cust Serv, we weren't expecting them to do that, but they did and we were pleased. Yes, food at the hilton is terribly expensive, but if you walk just a block or so, you will run into several reasonably priced restaurants...and the food is AMAZING at these other restaurants!!! :) Also, be sure to ask the front desk for a list of recommended restaurants around there. They have a 2 page list of restaurants within about 3-4 blocks of the hotel...plenty to choose from and for every budget!!The location is AMAZING!!! Just a few blocks away from Central Park, Broadway, David Letterman (which by the way there is an amazing restaurant called Angelo's in this bldg...highly recommend and prices are reasonable). We didn't have time to do much in the city since we spent much of our time at the US Open Tennis Championships, but we have decided that we WILL be back to NY and more than likely will be staying at this hotel again. If you have ANY questions about this hotel or anything, please feel free to send me a message!	
Aug 31 2008 	Fresh and Modern; Outstanding Location	I spent a lot of time considering which hotel to book for a weekend trip to New York in August, and ultimately narrowed it down to the Hilton New York and the Hilton Garden Inn (on 8th Ave) because both had good reviews on Tripadvisor and were located in the heart of Midtown. I ultimately chose the Hilton New York and was very pleased with my 3-night stay there. I had gotten a pretty good good deal by booking an advance purchase/non-refundable $239 rate through the Hilton website. Make sure to book their newly renovated rooms-- they're called &quot;deluxe&quot; on the website and they cost the same. Our room was the best part of our stay at the Hilton--- it was new and fresh, with LED bedside lighting, a really cool table lamp, flat-screen TV, and a Herman Miller chair (the room looked exactly like the pictures on the website). The room was of a good size while the bathroom was smallish but nicely done with marble. Other strong points: the staff was generally helpful, and the location on 53rd St. (right across from the MOMA) can't be beat. As for weaknesses, the hotel is indeed huge and caters to many many guests, but the staff manages everything well and we never found the hotel's crowded-ness to be a problem. The check-in line moved quickly and the wait for elevators wasn't too bad. The only real weakness is that the Hilton does try to nickel-and-dime you: breakfasts and the mini-bar items are shockingly expensive, and they charge for Internet (they'll try to offer you several different levels of internet service... just get the basic $14.95 internet service.. it was plenty fast). However, if you avoid the fees, the Hilton can be a really good deal, and I'm definitely going to be returning in the future.	
Aug 30 2008 	Great location helpful staff	This Hilton is in a great location to walk to Central Park, Broadway shows, shopping, and restaurants. The hotel was full when we stayed there for three nights to see some of the U.S. Open. Our room was not ready at check in time, but was ready within an hour and the staff stored our luggage and gave us a drink at the bar, which we needed after the rough flight! The rooms are small but comfortable. The bathroom was tiny and needed a new shower curtain. The bed was amazing comfortable and that was the most important thing. The breakfast is good but very pricey. Walk up Avenue of the Americas one block for a great breakfast at Astros instead of eating at the hotel. The staff was good at arranging transportation for our group of ten back to the airport. All in all, a good value considering the prime location in Manhattan.	
Aug 29 2008	Great Renovation	I liked this hotel before the renovation, and absolutely love it even more now. The standard rooms are still the biggest in New York, and the location doesn't get any better. It is close to Central Park, Rockefeller Center, and Times Square. I still believe this is one of the most family-friendly hotels in NYC. It is still big and boisterous, but the employees handle the situation very well.I am upset that the rates have been increased since the renovation, but I still believe it is a good value.	
Aug 27 2008 	What a rip off - Never again	We stayed at the Hilton in Time Square for two nights. That was two nights too many. We had come to the end of our stay in America, which was the first time with our children, and wanted to treat them to a fabulous hotel on the EXECUTIVE FLOOR!!!!!! What a joke. The reception staff were not at all pleasant, it was a good job they were not being tipped. The room was in need of decoration, the shower was powerless and although the room was large that was the only positive thing!!! The Executive floor was not Executive, there was one laptop for TEN FLOORS which was constantly in use and very stressful with guests being extremely rude and staff not intervening. There was a constant queue for breakfast and the so called snacks were not even worth returning to the hotel for. The only things free were water and coffee and tea, which was available in the room anyway. Money definitely wasted should have stayed in a standard room but reading all the other comments in hindsight should have said at the Marriott. We stayed at the Hilton in Rome which was a completely different experience but after this experience in a Hilton, WILL NEVER RETURN AGAIN to any Hilton Hotels, this is our second bad experience.	
Aug 25 2008	Great Hotel - Perfect Location	We arrived at the Hilton New York on August 15 for 3 nights. We were extremely pleased. The staff was professional and courteous - very helpful. I was very pleased with the room. I had read some of the reviews here and was a bit concerned but happy that we did not have a negative experience. The room was quite spacious for the two of us and very clean. I normally do not sleep well in hotels but the beds were extremely comfortable.The location is the best. Five minute walk to Central park, Time Square, shopping and all the Broadway theatres. We never took the subway because it was so easy to walk anywhere we wanted. The selection of restaurants in the neighbourhood was also excellent.I would definitely stay here again when we come back to New York.	
Aug 25 2008 	Great location would stay again	Booked the Hilton New York for my wife and I's wedding anniversary. Stayed in NYC for 4 days (3 nights), and the Hilton New York was a great launching place for our visit. In the 4 days we were there, we ended up taking the subway once (to get to Ground Zero), but other than that we walked everywhere we went. The hotel is within easy walking distance to Times Square, Central Park, Rockefeller, CBS studios, NBC studios, great restaurants and many shopping spots.The experience we had at the hotel itself was more than satisfactory. For us, the check-in did not take long at all, and they have quick check-out (just leave your keys in the room). The room was nice, and the 2 small problems we had (e.g. TV was not initially working) were fixed within 10 minutes once we reported them to customer service.We got a good price on the room, and for the same deal in the future - I wouldn't hesitate to stay here again! The only negative we experienced was the high cost for parking at the hotel, but that is true in almost all NYC hotels - and although the Hilton was higher than average, they did offer valet service and it was in a secure underground lot.	
Aug 20 2008 	Location is all it offers	If it's location you are looking for this is great, but that is all I liked about it. I specifically requested a bath tub, no bath tub just a very small room and a tiny bathroom with a shower, no sink space and the toilet so close to the sink that you hit your elbow on it everytime. This was the refurbished queen deluxe. If this is deluxe I can't imagine the small rooms. We couldnlt order room service unless you wanted to eat in bed because there was no table etc to use. A beer at the bar cost my husband $8.00 ridiculous. They charge to use the gym,charged us for an incoming fax, charge for everything. It is centerally located but for $500.00 a night I guess I expect more.	
Aug 11 2008 	A good choice for New York	This is a large international style hotel in a convenient, but reasonably quiet location for a short visit to New York. Our two Queen bedded room was a fair size for a city centre hotel and adequate for the needs of a family of four. The lifts are fast when you get in them but there can be a bit of a wait at peak times. The hotel has a Starbucks rather than a restaurant but there are decent restaurants within an easy walk. Staff were welcoming when we arrived after midnight.We would stay here again.	
Aug 9 2008 	disappointing	We have just returned from 3 nights staying here. We were disappointed with the standard of the hotel and the attitude of the staff. We were initially given a room on the 20th floor - it was in desperate need of renovation. It was very tired - the shower curtain had mould on it and the bath plug was broken! However, it was very close to the lifts and sounded as though a hurricane was continuously blowing. Cutting a long story short, we were moved to a renovated 33rd floor room. It was much better but again not perfect. The attitude of the staff was not helpful and you felt as though you were in a hotel factory! However, the location is excellent which is a huge positive.	
Aug 5 2008 	Good Hotel but a few things need working on	I had stayed at this hotel previously about two years ago and I was delighted to see the refurbishment work that was carried out. The makeover was very good and the bath was replaced with an outstanding glass door shower...honestly it was one of the best showers that I have taken in months. The designers also excelled by having lights at the bottom of the bedside tables that come on automatically with motion sensors.I did not use the restaurants at all not with such excellent places to eat in New York so I have no comment on their food and beverage operations. I did actually notice that the bar closes a bit earlier than most bars for such a busy hotel.I was locked out of my room and approached the bell desk to get a replacemnet key. A tall African American gentleman was most rude as he told me in no uncertain terms to &quot;JOIN THE LINE&quot; which he promptly repeated in even sterner tones. I waited in the line for 30 minutes to get my key changed for a problem that was the hotel's fault. I did protest to the receptionist but I got the distinct impression that it fell on deaf ears.One major annoyance was the fact that the floors became an assault course during the days littered with dirty laundry thrown down on the carpet and with staff congregating in the corridor and totally oblivious of the fact that you needed to get by.Dirty room service items were never collected promptly and generally gave the hotel a very sloppy appearance.At nights the utility room would be wedged open and stayed open with the assistance of a vacuum cleaner.Despite the fact that hotel is large and very busy it is a good place to stay given its location. Once I think that management tackle these very basic houskeeping issues I would have very little to gripe about.	
Aug 4 2008 	Renovation really shows in the rooms - Room 1137 was great	I stayed here for two nights as part of a group meeting and was apprehensive because my last stay prior to the major renovation was awful. I was delighted to find that the renovation funds were largely put into guest rooms which are spacious for city standards, and include functional furnishings including bedside reading lights that can easily be turned off without getting out of bed, compact but well equipped bathroom, mini bar, ironing gear, spacious wardrobe closet, etc. Room 1137 overlooks the atrium area between 6th ave and 7th avenue so it was very quiet - another unusual factor for a NYC hotel room. Bars have upgraded a bit but the lobby is still warehouse-like abuzz with thousands of people passing through it daily. Security at the main entrance has also been stepped up at night which is somewhat reassuring.Lindy's restaurant is out the back door as is Stage Deli so skip the coffee shop restaurant that has so so food at high prices. Interpretive actions at the Coffee shop restaurant such as putting poppy seeds in Thousand Island Dressing are not creative, but just plain bad.	
Aug 4 2008 	Perfect location...for a tourist	This is a huge midtown hotel. The lobby is well kept and always busy. Check-in was smooth at the HHonor Gold/Diamond desk at around 12:30 p.m. I was told the hotel was sold out, so my request for an Executive Level Room or a Remodeled Room was declined. I was given a pretty small room on the 28th floor with a view of 53rd Avenue. Sans the few stains on the carpet and no hot water in the shower on both mornings of my stay, the room was perfectly fine. I can confirm the reports that the walls in this hotel are quite thin, so just hope you do not get noisy neighbors.I had no long waits for an elevator, regardless of the time of day; however, this was a mid-week stay. The corridors near the elevator banks are quite narrow, so that only enhances the appearance of it being crowded.The HHonor Gold/Diamond complementary breakfast is now downstairs in the Italian restaurant and opens at 6:30 a.m. (not 6:00 a.m. as reported on their website). Nice spread of typical continental fare. Perfect for a quick, light breakfast. The food selections at this hotel are not quite as vast as I would hope for at such a large hotel. On my first night, the Italian restaurant and the cafe style restaurant were both closed, so I opted to eat in the Lobby Bar (yes, I know NYC has tons of food options, but I had hotel-specific food and beverage credits to use). The food I ordered was quite good, however. Same result in the Italian restaurant the following night.As for the reports that the food in the hotel is expensive, I can only posit that these people have never stayed in a hotel in a large city before. The prices at the hotel restaurants, bars and room service are right on par with what I would expect. Just be forewarned that the menus on the Hilton New York website are outdated as far selection and price. I'd add 10-20% to those prices to bring them up-to-date. The solution to the high prices of hotel food is to walk down 6th Avenue in either direction or hit one of the reasonably priced hotdog or gyro stands on 6th just north of the Hilton entrance.As far as location, the Hilton New York is within walking distance of Times Square, Rockefeller Center, Central Park, Theatre District and other local attractions like the David Letterman show. For this reason it is perfect for a tourist. If you like to walk, even the Javits Center is only a 25 minute walk at a brisk pace. You are also a block or two from the major uptown/downtown subway lines. I do not use cabs in NYC because it is faster to walk in many cases, so I cannot speak for the cab line wait.I found the staff quite helpful and attentive. There were a few small uncommon issues (regarding payment method, not problems created by the hotel) with my reservation that were handled properly, promptly and with courtesy upon check-in and check-out. This hotel is probably a half-notch lower than a four, but let's not split hairs. If you can land this hotel on Priceline for under $200, I think it is a good deal. However, in my opinion, the normal advertised prices direct from the hotel are quite steep for what you get.Perhaps I am a bit jaded because this was not a leisure trip, nor was I the typical tourist since I grew up and live in the New York Metro area, but I have stayed in nicer hotels in NYC and other big cities at lower price points. Then again, this is New York City...	
Aug 3 2008 	Can't go wrong	We have made many trips into New York and this was our favorite hotel. It is easy walking distance to many New York attractions. We were able to walk to Times Square, Rockfeller, Central Park and the subway is just across the street. During our stay this year we were able to see Meryl Streep at the New York premier of her movie &quot;Mamma Mia&quot; which was right across the street from the hotel. The hotel staff was very friendly and helpful. The rooms are clean and rather spacious for New York. I can't wait until I return to New York and again stay at the Hilton New York.	
Aug 3 2008 	Not what we expected !	Valet Parking service was excellent, (Make sure that you drive to the side of the hotel and not the front) and we quickly got to reception after being asked several questions about Hilton Properties by a sales agent.However at reception I met the rudest check-in clerk that I have ever met in my global travels over the past almost 40 yearsShe told me that she would be a few minutes as I approached the desk, typed away furiously for several minutes, then asked me one word....&quot;name&quot;...... then typed away again for several additional minutes, then literally threw the card-key in the cover across the counter to me, did not explain what the seperate metal-key was for etc, that was the end of the conversation.I later found out that having booked the exec lounge package I could have checked in at the lounge, but this was either something I had overlooked or failed to read in the booking confirmation.You can imagine that this is not one of the cheapest properties in town, and as a frequent traveller I just put it down to one of lifes experiences, however if it was a &quot;Bucket List&quot; experience or if I were a retiree and this were a stay that I had been saving up for, it would have completely started the break off on the wrong footing. In fact it did exactly that for us after a long day of travelling in the heat wave that hit NYC Mid July 2008.I know that these clerks see a lot of people during the day but the old saying first impressions count, it is still true !!. I mentioned it to the hotel staff and did not see the clerk in question again during our stay.Room was old, stains on the ceiling, hair in the bath, plug had long since detached from the mechanism to raise / lower it (was a bit of a struggle to get it to work, but managed it), room not tip top, for example, just lack of care - lots of dust on the valance sheet, air con vent had not seen a feather duster for some time, chair appeared on the second day, room also relatively small for the star rating, overall, expensive for a negative experience. Is it just me that notices these things ?.Executive Lounge busy in the mornings, we stayed in July, however worth a marginal wait for breakfast, but they turn the Free WiFi off during several key times, such as breakfast, to prevent people from occupying the tables and working.Great location, near central park, just was expecting a significantly higher standard of service / cleanliness than we received.Would look elsewhere next time.	
Jul 26 2008 	Decent property. Outrageous food prices.	This is a huge mid-town business type hotel. I stayed here for 2 nights based on a promotion to hear a presentation on the Hilton Club.This place is always busy and bustling with activity. The mid-town location is probably the best feature of this hotel.Check-in was very fast and easy. The staff here is very friendly and helpful. The room was a decent size for NYC standards. It seems like it was a renovated room. It had marble bathroom,flat screen TV, and very tasteful furnishings. My room was on 7th floor with only a view of buildings but there was next to no street noise. View wasn't a big deal for me since I wasn't in the room very much. Here is why I only gave the property 3 stars.First off, Forget about getting an elevator between 8am and 8pm. There was always a wait. I waited as much as 10 minutes for an elevator. There was a modeling convention in the hotel when I was there and I am sure the hotel was at or near capacity but you figure the engineers would know their hotel would sometimes be filled to capacity and would have planned accordingly. Secondly, The prices for food and room service are beyond outrageous for this class of hotel. Afterall, I expect high prices at a more upscale 5 star property like a Four Seasons or Mandarin Oriental but not at a Hilton.It was 26 bucks for 2 eggs sausage and homefries,28 bucks for a hamburger. 19 bucks for a simple BLT sandwich. Something is wrong when 2 people are spending 60 bucks for an barely average basic breakfast. There is no excuse to charge those prices. Hilton seems to like to gouge customers. Also, they charge for internet use which is another form of gouging customers for every dime.Room service was even more expensive than the restaurant. Overall, this is a decent property with nice rooms,friendly staff, average food(surely a very poor value) though if you go remember to bring a fat wallet to eat or better yet don't eat there. The only reason I dined there was convenience. If I had more time, I would have never dined there. There are many places close by where you can get a decent breakfast or lunch for 1/4 the prices they charge at the Hilton.	
Jul 25 2008 	Nice hotel	It's just what you would expect from a Hilton Hotel. No more, no less. Internet a bit pricy (about $25 a day).Be aware breakfast does not start till 6am or 7am (can't remember now), so if you had an early flight, you might miss this. But breakfast is plentifull.Location is not the best I've stayed in NYC, but it is just fine. A- grade. I would stay here again if I got a great rate. If not, would try Helmsley (NY or Park Lane -nice view-) or, if you can, Four Seasons.	
Jul 22 2008	Good Value Good Stay	If you can book this hotel at a decent price, it is a great place to stay. I have been in many hotels in NYC, and for the right price this is one of the best options. Mostly good things to say about this hotel: Centrally located in Manhattan with decent access to the attractions and subway. The rooms are clean (we had two rooms) and mostly quiet (depends on your neighbors). Plenty of amenities in the hotel, such as workout facilities, WiFi, etc. The bad things about this hotel are mostly picky items, but worth mentioning. Upon checking into one of the rooms, the mini-bar had a half-consumed coke and toothpaste marks in the sink. Despite pointing this out upon checking in, they still tried to charge me for the coke. It is NY, and you will hear honking horns all through the night. Make sure you use the &quot;do not disturb sign.&quot; Otherwise, you will receive multiple interruptions, such as room-check, extra coffee/tea check, etc. The TVs are flat screen wide screens, but the software and remote are horrible. Changing channels is a challenge (huge delay). The gym is $20/day and the internet is $15-$20/day. Finally, the staff varied form very nice to very rude. I almost gave this hotel 3/5 stars, but compared to other options in NYC it deserves 4/5. I would stay here again.	
Jul 18 2008 	Good but not Great	Good room at the Executive Level. It was quiet and large for New York standards. To pay extra to stay at Executive Level room is only worth it because of the free WiFi at their lounge. Otherwise the free food is not that great and it's very limited in variety.Centrally located between Times Square and Central Park.	
Jul 16 2008 	good location	The Hilton New York is in walking distance to Central Park, Theater District, Times Square and all the glam shopping you could want. We stayed on the Club level. The rooms were very nice, spacious with very comfortable beds, not your typical tiny NYC hotel rooms. Aveda bath products were provided, mini bar and black out curtains. The walls are however paper thin. They have breakfast and happy hour every day for Club Level patrons. They also have a concierge service who can get you reservations to most places. This service is available to everyone at the hotel.There is a ticket office who provides brokers tickets to all plays and sells tickets to attractions. Of course you pay more, but that's the way they do things in NYC. They have a nice bar and some resturaunts including starbucks. We didn't use any of these so I cannot comment on them. Of couse, summer is a very hot, touristy time to be in the city, but this is a great location, not too much street noise and very secure at nite. We took a taxi here from LaGuardia for around $35. It's only about 30-45 minutes to/from depending on traffic.	
Jul 15 2008 	Really Liked	It is a super busy hotel but that is one of the reasons I chose it. You will have to wait in line to check-in but they are very quick about it. The elevators can be a little confusing because there are 2 corridors of elevators, they're labeled but depending on how rough your trip was or how excited you are to be there...you might not get it.I had one of the newly refurbished rooms and it was so very nice. Really contemporary, great lighting, cool bathroom, cool bed. Like every Hilton I've stayed at, they expect you to pay for the internet. Not a good selection of channels on the tv but are you really there to watch tv? No, so who cares. I just plugged my mp3 into the clock radio and enjoyed instead. One big negative was that you can hear your neighbors in the next room. The walls are pretty thin, I could hear the conversation and they weren't loud people. Could be a little embarrassing. I wasn't bothered by street noise, I think it's a little quieter than where I live.The very best thing about the hotel is the location is so close to the MoMA. I also walked to the Metropolitan Museum of Art and The Guggenheim, a good walk but completely doable. I only ate breakfast at the hotel and the buffet was expensive, but it is convenient and quick so I didn't mind too much. The staff is really friendly and you feel welcome to be there. There's a diner (Astro) about a block away walking toward Central Park on 6th good for a quick bite to eat. I had the gyro plate and it was very good. There's some bad reveiws on Yelp about them and I did have the mean waiter too and another time I had the nice one. Otherwise you don't need my advise on food because I hardly ate while I was there anyway.	
Jul 8 2008 	Large convention hotel but great location	I had reservations at another hotel but tried Priceline before I left. My bid was successful and once again I got the Hilton. I was very pleased.I like this hotel very much. The location is great. Near subway stops and Rockefeller Center - but not in the craziness near Broadway. It is a large convention hotel, but they have added check-in kiosks in the lobby since my last stay. I'm sure that has helped the former problem with very long check-in lines (even for HHonor members). The renovated room (since my last visit) was lovely. No complaints at all with the room.There is a wait for the elevators, even though they are divided up by floors. That's the strongest &quot;negative&quot; I can come up with for this hotel. I appreciated the luggage check for my early arrival and late departure. I was especially glad to be staying at a large hotel when trying to catch a taxi to my friends' home on the UWS. The taxi line was very long, but there was a steady flow of incoming taxis. I can't imagine how hard it would have been to grab a cab elsewhere in the city during a thunderstorm.Nice hotel, nice rooms, great beds, great location.	
Jul 7 2008	Not Worth the Money	Stayed here for two nights on &quot;executive&quot; floor. Staff in the hotel was generally unhelpful. Concierge can do no better than distribute photocopied restaurant lists. We tried to hold a short meeting in the &quot;executive&quot; lounge on floor 44, but mid afternoon restocking of the bar was so noisy, with staff acting as if no one was in the lounge, talking loudly and making as much noise as I have ever heard with ice, glasses and plates. We were asked to leave at 4:45 because they needed to prepare for happy hour or something like that. I am not sure how they could still have something to prepare after a full hour of mayhem.Breakfast in &quot;executive&quot; lounge was more akin to an airport than an &quot;executive&quot; experience, with staff handling the huge flow of guests with a &quot;TSA approach&quot;, talking loudly to guests, hearding and lining up everyone, and generally squeezing people rudely together. Breakfast offering very weak.A very unpleasant stay throughout. Unrenovated rooms are forgettable, with everything a bit run down. Hotel is well located but one can do much better within a five block radius.	
Jul 6 2008 	fantastic location	Hi. I stayed at the Hilton for 4 nights with my 12 year old son. The location was briliant easy walk to Central Park Zoo, Broadway, the stores etc. I went on to the executive levels to have a quieter room. When we arrived the check in staff were thinly polite. The concierge was immensely helpful and very affable. The room was of good size and fairly clean but the bathroom was very small and a bit shabby. The beds were comfortable and we slept well. Could not change the room tempertaure. My son liked the in-room movies :) All in all if you are not staying in your room much and do not mind impersonal service the hotel is in a great central location. Travellers tip: buy your theatre tickets direct from theatres a lot cheaper. Enjoy :)	
Jul 6 2008 	Busy 	I went to a conference in NYC in June and stayed at the Hilton Hotel in Midtown NYC. The location couldn't have been better. It was a short walk to Central Park and an even shorter walk to 5th Ave shopping, Radio City Music Hall and so much more. The hotel is pretty expensive, but I suppose you really get what you pay for in NYC. It's really nice, clean, comfortable and has very friendly service. If you can spring for it, it's definitely worth the money. I did learn one thing (country girl in the city) - if you want to take a cab, get to the street where traffic runs in the direction you want to go before you get in. Otherwise you have to go around the block and generally get stuck in traffic. The street in front of the Hilton NY runs toward Central Park - so if you want to go to Soho, walk a block over first! Have fun!!!	
Jul 2 2008	Great birthday trip	I am from New York but I have not lived there for years(too many to mention). It had been my wish to spend time there during the Christmas season and my birthday is in Dec so I spent a week at the Hilton. The whole trip was fantastic I will never forget it. The Hilton was the perfect base for everything we want to do. I walk to almost everything. Central Park, Times Square, Broadway, Time Warner Building, Bryant Park, Macys, Rockefeller Center. The room was very comfortable great aveda products in the rooms. I was so busy I did not spend much time in the hotel. The elevators were extremely slow and the cab que was very long at times.	
