	Nice Hotel...Great Location	Stayed here for my 40th B-Day. Got Studio King Suite for great rate. Very nice and big room, hardwood floors and balcony. Comfortable bed and great shower pressure. 2 elevators in hotel, one was big and the other was barely enough for 2 people with luggage. Bellman and Front desk staff were great and helpfull. Food, Starbucks, train, Whole Foods, Central Park all within steps of hotel. Overall this is great hotel and plan on staying here again in the future.	
Aug 1 2008 	great stay in New York at the 6	I stayed at this hotel on July 25 and 26, 2008. The hotel is located at 8th Ave. and 58th St. across the circle from Columbus Circle and the Time Warner Center. I upgraded my room from a pod to a queen for an extra $35 a night. This made the rate more than I would have liked to pay as I had read posts where the rate was much better than I got but for New York it was a fair price. The front desk staff was very pleasant and helpful and great to deal with. The room was bigger than at the Hudson down the block but not really big. It was very well designed and pleasing to the eye if a bit dark. The bathroom was shiny and very modern with the right amount of room. The linens and towels were of an excellent quality and the bed was very comfortable. Everything was very clean. I would definitely book here again if I can get a good rate as the location is ideal.	
Jul 27 2008 	Great Staff!	We are in NY at least twice a year for business. 6 Columbus was won on Priceline for one night. The second night we booked directly through the hotel's website.While the hotel's decor is a little too dark for our taste, the staff was outstanding. Everyone was friendly, professional and helpful. We would definitely stay there again just because of the staff and location.We upgraded our room to a king. We were told it was worth the additional $50/night. The room was still on the smaller side. Pros: Outstanding staff, nice hotel, great area, complimentary newspaper, nighttime, brownie at turndown. Also great Sushi restaurant. Cons: Decor a bit dark. Bathroom door is glass so if you have light on at night it shows through. Door to room is heavy and it is difficult to close quietly.	
Jul 25 2008 	The Find of the Year	My wife and I spent four wonderful nights at this very trendy and elegant hotel for our honeymoon during the Thanksgiving weekend of last year. I had meant to write a review earlier, but I never found the time. Shame on me. This hotel was aesthetically beautiful, since it had only been open for around a month when we stayed there. The lobby is cozy and attractive. The rooms are both homey and artsy in design, although on the small side, which is common for Manhattan. You really have to get used to the bed corners, because you will end up banging your shins a couple of times against them. But no matter. The bathroom was comfortable and clean. The TV set was an LCD screen, which I liked a lot. The hotel is perfectly located around the corner from Columbus Circle, which makes it extremely easy to move within the city by subway, bus or just by walking. The staff was really friendly and attentive. All in all, we had a wonderful honeymoon and this hotel was a great part of it. I tried to book us again to celebrate our anniversary this year, but the rates have already gone up from what we originally paid (I paid $189/night... I guess I was lucky that the hotel had just recently opened). For those who can afford it, I highly recommend it.	
Jul 18 2008 	I want to go back!	Stayed in this hotel for only one night, and I wish I could have stayed longer (for the same price, of course). We booked through priceline and got an AMAZING deal. The hotel is a little bit hard to find, the taxi driver could not find it, and took us around and we ended up paying more fare. But it's in a great location: Central park is right across the street and Times Square can be reached by walking down Broadway. There is a shopping center right across the street, but we did not have a chance to check it out. We stayed in the pod room, which is super tiny, but extremely clean and decorated really well. Even though the bed is a bit small for two people, it is really comfortable because of the pillow top mattress. The flat screen tv was great, but I would have liked to have maybe a little table or at least a chair to put things on, I think there would have been enough room for a least a chair or a luggage holder. I loved the bathroom, it was very modern and pretty. Toiletries, Q-tips and cotton balls. There was a safe in the closet, a bathrobe and an umbrella to use during your stay. I was disappointed though because there was no hairdryer. The AC in the room worked really well. The staff was great. I would recommend it to everyone and would definitely stay there again.	
Jul 12 2008 	Sweet 6-Spot	I was pleasantly surprised by 6 Columbus. Having stayed a week at Soho sister hotel, Sixty Thomson last year, I was pretty reluctant to repeat the experience. But my sister and the attractive price point convinced me otherwise. And I'm glad for that.The location is super, right on Columbus circle, near every convenience imaginable. Unfortunately, most taxis had a hard time finding it, for some reason.I booked the basic room and expected something tiny, this being NYC. But I was happy to find that although small, it was spacious and had clever little storage spaces like underbed drawers. The service is pleasantly unpretentious, understated, accomodating and most imptly, inobtrusive. Loved the Fresh toiletries. Could have more of a variety though. Too basic.And although there's the jumpin' -- and delicious -- Blue Ribbon Sushi bar in the lobby, it was never too noisy, scene-y or happening, thankfully.I ate at the Blue Ribbon every day - sometimes twice a day - and once when i had some bad fish and became ill, they waived my bill and gave me a $100 voucher, with min fuss. Can't blame them completely though, traveller's diarrhea may have played some part in this.The room service breakfast, though was overpriced and horrible (burnt cold toast). Otherwise, a sweet little spot. I'm there next time I'm in Manhattan.	
Jul 11 2008 	The Most Amazing Hotel!	I got the most amazing deal on Quikbook! The Bell staff, reception and concierge are all extremely helpful, not to mention very good looking. This is a trendy hotel!I also have to state that this place is SPOTLESS!!! I have never stayed in a hotel more clean than this, and it smells great too. When they turn your bed down at night you even get a mini brownie to eat with your night cap!I stayed in a Pod Room. Don't be fooled by the name, the room is a brilliant size. You get a double bed, more than enough floor space and a full size bathroom. The only downside is that there's hardly any natural daylight even though you have a full size window, it faces the shaft.The location is perfect, just across the road from the Time Warner Building and Columbus Circle subway and next door to a Duane Read, also a stone's throw from Central Park.If I can get another deal (usually the hotel is quite expensive) this will absolutely be my hotel of choice every time I go to New York. I pity the poor suckers paying way over the odds for a tiny room at the Hudson on the same road, 6 Columbus is miles better!!	
Jul 8 2008 	Very Nice!	We got a great deal on this hotel through Quickbook ($200/night for a king room). The staff was very nice and helpful. The room was clean and the bed comfortable. The room was very small, but for New York, it was fine. The location was great as well. Right across from Columbus Circle. There is a Whole Foods, so you can get anything you might need. The subway is there, too. Some things to be aware of:Room was tiny and although there was a desk and chair, it would be very awkward to actually have to work at the desk.There was no hair dryer or ironing board. I'm assuming I could've gotten these from Housekeeping had I needed them.The air conditioning is extremely loud. I got used to it, but if noises bother you, it might be a problem. We would definitely stay here again if we could get a similar rate. I don't think I would pay $300+, though.	
Jul 1 2008 	The Staff Shines	Just returned from 5 nights at 6 Columbus. A few highs and lows, but overall very pleased. The staff from front desk to housekeeing couldn't have been nicer or more helpful. The young men at the front door that help with luggage and cabs etc. were a delight. They were bright, polite, friendly, well groomed and well trained. Rooms are small, but well designed. Beds are very comfy! A small desk and chair in the rooms would make a great difference. Lighting in the rooms and bathrooms is very inadequate. Mood lighting just doesn't cut it when you're in the shower or shaving. Can't see instructions for use of the room safe on floor of closet because of lack of light. Overall, I liked it and would go back. Kudos to staff and people who picked and trained them.	
Jun 2 2008 	Average NY hotel	I stayed at 6 Columbus for 3 nights in May. The hotel is fine for the price I paid, but there are better hotels for similar prices (the Hudson for example). Rooms are tiny as expected, location is great at Columbus Circle and near the park. The room was pretty clean (except for a strange goo on the bedside table!) and the front desk service was acceptable.If you can get a good deal ($200 for a queen room) I would recommend it if you don't need top notch service. If paying regular price, look elsewhere.	
May 28 2008 	Perfect!	I booked through Quickbook.com...same day and got a wonderful $159 rate for a queen room. My husband and I had a wonderful time at this hotel. Pleasantly surprised! The location is wonderful...close to Central Park and Times Square. The staff was so helpful. Now about the room...very modern and nicely appointed! I slept like a baby in the bed. For NYC...wonderful deal...especially for a holiday weekend!	
May 27 2008 	Stay now before everyone else finds out about it!	I stayed here this past Friday night, and was thoroughly impressed. For this price point, 6 Columbus is a great, hip choice. It has a kickass location (just behind Columbus Circle), which makes it very convenient. There aren't a lot of large-hotel amenities (such as pool or business centre), but it's high on design (blue/silver/brown trendy decor) and nice boutiquey touches such as Fresh brand toiletries. The staff is friendly, and the hotel small enough that you can get in and get out without long waits for anything. It's not for everyone, but if you like hip boutique hotels, you should definitely stay at 6 Columbus now...before all the rooms get trashed by overuse.	
May 18 2008 	Wonderful stay at 6 Columbus	I've just returned from three nights at 6 Columbus. Having stayed at New York's Hudson Hotel a few years ago, I knew what to expect at this property, which seems to be similarly marketed to the young, urban, and hip set (not sure if that's me, but...). I had a Queen Superior room. It was nicely appointed, contained Fresh bath products in the bathroom, a heated bathroom tile floor that was most pleasant, a flat screen television hung on the wall, and a well-stocked mini-bar with top shelf alcohol and Dean and Deluca snacks. The room is not the largest room I've ever stayed in, but by New York standards, it was more than adequate. The bed fit in the room just fine, and when I'm in NY, I don't come to hang out in my hotel room.That said, my room could easily accommodate two people, which seems to be a point of issue for some reviewers here. There are two drawers for storage under the platform bed and a wardrobe for hanging clothes. Nice touches include an umbrella should it rain (it did while I was there so that came in handy), turndown service with a little mini brownie, and excellent (and adjustable) task lighting bedside and on the desk.There is a restaurant just off the small lobby, Blue Ribbon, that has sushi (It's okay. Some would say great. I would not) that somehow manages to also do room service and traditional American breakfast for the hotel. There are restaurants in the neighborhood, a pub next door, and a Duane Reade pharmacy/convenience store on the corner.I had difficulty adjusting the heating and cooling system in the room. It could be my own ineptitude, I don't know. The controls were those manual &quot;point the dial at the number&quot; controls. I am of the digital age: press an arrow up to a number or down to a number. Anyway, the climate in the room was perfect the first night. Then, it rained, which as you can imagine changed the humidity and outdoor ambient temps and all bets were off after that. I didn't call anyone to complain, and I still slept just fine.There is also a VERY small lobby which, particularly on the weekends I imagine (that's when I was there), uses music to assist in creating a hip and happening scene. The music can be loud in the elevator and in the lobby, but you won't hear it in your room. I guess that covers it. Oh, they seem to spray or pump in a signature scent, similar to what other hotels are doing these days. I find it pleasant. Slightly tropical with hibiscus notes, perhaps? Either that or they have some nice smelling cleaning products! While not offensive or in any way excessive, if you are sensitive to smells, be warned.The hotel is located across the street (W 58th) from the Time Warner Building at Columbus Circle. Great location. Overall, I would recommend this property and look forward to returning soon, probably next month.Happy travels!	
May 11 2008 	GREAT Stay at 6 Columbus!!	I booked this hotel based on its location, price and traveler reviews (on TA and elsewhere). We stay in the city somewhat often, so we know space is at a premium and affordable rooms are hard to find....especially in good locations! I have to say, you cannot beat the location of 6 Columbus! Easy to find, it is just behind the Time Warner building with top notch shopping and dining just across the street. The subway station is also just across the street, making travelling throughout the city a snap. If you'd rather take a taxi, the doormen will happily hail one for you in a matter of seconds! Central Park is just steps away and on a good day, you can stop by Whole Foods (in the Time Warner center) and pick up fixin's for a picnic in the park......joyous! Yes, the rooms are small. We had a pod room and really, it took me back to my college dorm days! That being said, everything in it looked new and clean. The bed was super comfy and the heated bathroom floors were GREAT!! The fridge was well-stocked and the cabinet was filled with gourmet goodies. There was a small closet....and really, how much closet space does one need on a trip?? I never hang all my clothes when I go away....it was ample for us. There were 2 down sides that I can think of: 1) The lighting in both the bathroom and room were horrible for putting makeup on and 2) the room was HOT when we arrived, so we opened the window, but just beware of all the pigeon POOP ( I will say that in the days previous, it had been quite chilly!).The service was AWESOME! I really noticed how pleasant everyone was. When we arrived, our room was just being cleaned, so they happily stored our baggage until our room was ready...just a short 15 minutes later. When we called for an iron and ironing board, one arrived within 5 minutes!! The front desk always greeted us by name and were fast and courteous.I got a great deal on Priceline, so that was just icing on the cake. This hotel was WAY better than many of the others we have stayed at for double the price! I would absolutely recommend this hotel to anyone!	
May 6 2008 	6 Columbus was Fabulous!	My boyfriend and I stayed at 6 Columbus for four nights at the beginning of April and had a fantastic stay. Now I'm considering it for a trip in the fall with my sisters. When we got to the hotel, we were greeted at the taxi cab's door by the very friendly doormen. I have to commend the hotel on the doormen they have working for them...what fantastic and friendly personalities they all have! Our room wasn't ready upon arrival, so the manager gave us complementary drinks at the Blue Ribbon Sushi Bar - a great little bar to frequent before dinner or when you come back from a long day of shopping (get the grapefruit cocktail listed on the menu!). This simple gesture was a great indication of the stay we were going to have.Once we got up to our room on the 7th Floor, we were surprised at how cozy and lovely it was. The room was small (I believe we booked a Queen Superior), but that is normal in New York, and neither of us were bothered by it. There were cute little touches all about the room - magazine racks with up-to-date publications in them, like Time Out New York, a vase with a real flower on the nightstand, an i-pod dock, under-the-bed storage. The bed was lovely, and very comfortable. Every night we slept very well. The bathroom was a good size with a deep tub, so no showers overflowed onto the floor. There was a window/shelf in the shower to place your toiletries. The toiletries - by Fresh - that the hotel supplied were fantastic. The towels we so fluffy! OH! And the best part of the bathroom - the heated floor in front of the shower area! It was fantastic in the morning to step onto a heated floor and I even found myself standing on it after our long days of walking.My only &quot;issue&quot; with the room is that after we both showered, the room itself got rather humid and muggy. The location of the hotel was fantastic. There was a subway stop right across the street where we could get downtown very quickly. One of the nicest things was being able to get up, grab a coffee at Bouchon Bakery across the street, and take a morning walk in Central Park. I had reservations about staying uptown, but ended up being very pleased with our location because I liked having the access to the Park, the Upper East Side, and being able to get downtown to Soho so quickly and easily.As I said up above, I am already considering 6 Columbus for a trip in the fall and would recommend it highly! From the staff to the comfy towels and bed to the fantastic location, I could not have picked a better place to stay!	
Apr 30 2008 	6 Columbus A Thompson Hotel	Absolutely loved this place. Will definately stay there again. Service was excellent. Linen, towels, bath rob....flat screen TV just like at home. Staff are very friendly and very cooperative. Had a blast	
Apr 30 2008	Uncomfortably small	I booked this hotel for two nights, but left shortly after arriving. The &quot;King Superior&quot; room is the tiniest NY hotel room I have ever (almost) stayed in. It is uncomfortably small, to the point of claustrophobia.There is a floating desk against one wall, but no chair to sit in - nor even would one fit between the desk and foot of the bed. The bathroom is basic and, although renovated, is crowded and equally uncomfortable.	
Apr 29 2008 	Wonderful Experience at 6 Columbus	We just got back from a long weekend in New York and a wonderful stay at 6 Columbus. Firest let me say that the concierge Rocks! Raquel and Eric were amazing at setting up a series of events for my partner's birthday celebration. Everything was perfection. The room at 6 Columbus was very large for New York. We booked a Studio Suite which had a balcony almost as big as the room. Everything about 6 Columbus is very cool. The room lighting/linens furniture and bathroom are all top notch. Blue Ribbon Sushi was fatastic too! I would highly recommend this boutique hotel for anyone who likes a little &quot;edgy swank&quot; in the hotels.	
Apr 11 2008 	Superb find!	We spent 13 nights at this fantastic hotel. Originally booked a deluxe King at an excellent rate on Perfect Escapes but found a great deal for a suite on Tablet Hotels web page although we stayed in a Studio King on our first night. Long story but handled very well by the hotel &amp; we loved that room too. It was huge with a balcony &amp; enormous bathroom &amp; good view of a corner of Central Park but we decided to move to the suite. We were given the choice &amp; it was a hard choice actually! But the rooms of the suite were very quiet, beautifully appointed with clever design features &amp; gave us plenty of space for a long stay &amp; overlooked 58th St &amp; the Time Warner Center with a glimpse of Central Park as well, &amp; exactly as portrayed on the hotel's web site. Nadia kept it in great shape for us during our stay &amp; it was lovely to see her smiling face every day.The delightful Julian welcomed us on arrival after our long flight from Australia, charming Caeser showed us to our room &amp; greeted us by name every time we saw him again. As did everyone at this gem of a hotel including Ciaron &amp; Stan who run a fabulous bar &amp; helped make our stay so fantastic, along with Richard &amp; all the staff at the marvellous Blue Ribbon Sushi restaurant where we ate several times. Terrific menu, sublime food &amp; decor &amp; most reasonably priced.Getting around NYC was as easy as. Great subway across the road literally seconds away but anytime we needed a taxi Anthony &amp; Parry were always on hand &amp; must be two of the most affable doormen in town....aside from the others working at this hotel.Room service swift &amp; not at all expensive for a hotel of this stature &amp; location and neither was the well stocked mini bar. Free internet &amp; breakfast downstairs in the mornings...which we never got to eat! Too many laughs at night in the bar! This was my 6th time in NYC. Have stayed in a variety of hotel types but wanted to try somewhere new. Doubt that I would ever stay anywhere else again unless rates go through the roof which they might well do. Then again I would probably pay them as we had such a magnificent time.An easy walk to theaters, Whole Foods across the street for a quick bite, Chemist &amp; Starbucks next door &amp; anything else you might need close by.We are kinda fussy travellers but appreciate service par excellence &amp; a hotel that turns out to be what it portrays to be. No wonder we can't help but be blown away by this wonderful stay at 6 Columbus. Spend the extra for a suite, studio or deluxe room &amp; have a ball! We feel indebted to everyone associated with this hotel &amp; wish them continuing success	
Apr 2 2008 	Stayed March 20-24 and can't wait to return.	We chose to stay in Six Columbus because of the great location and reviews found here at TripAdvisor. I would recc. this hotel to those looking to explore the city and indulge themselves at a boutique hotel.The hotel was very clean and the staff was quite helpful and courteous. The location is top notch directly across from the shops at Columbus Circle which houses a Whole Foods which is perfect for a tasty and inexpensive breakfast. Next door to the hotel is Starbucks, a bit further you will find a Duane Reade and Dunkin Donuts. You will find Central Park 2 minutes away and Times Square is a quick 12-15 minute walk from the hotel. Many subways are literally found right outside the front door of the hotel.We had a weak wireless internet signal that was not protected, minimal noise from inside or outside the hotel, newspaper each morning and the best mini-bar and snacks I've ever seen. Our room was a good size - Queen superior and loads of space for all of our luggage.The few downsides we noticed were:The heater did not heat up the room (I wanted 82 and it would only reach 69). I had to sleep with a hoodie on for two nights to keep warm. We notified the front desk twice and upon check out we were told it was a problem within the entire hotel and they were working on it.Very strange that the cleaning staff NEVER left the right amount of towels - not even when we checked in. First day no hand towels, then no face towels, then again no hand towels. Very strange, but housekeeping quickly bought up the towels when requested.Lastly, we could not get a seat in the bar or dining area on the two nights we tried. Yes, we could have called ahead, but as a guest at any other hotel I've stayed in this has never been a cause for concern.Even with the few downsides, I'd stay here again.	
Apr 1 2008 	Great Location Nice Hotel	Found this hotel mostly by reviews on this website and others, and due to the fact that it had a really nice daily rate compared to other, trendy hotels in NYC. I have lived in NYC but not visited much (and usually stayed with friends and family when I did) and therefore have very little to compare this to with regards to other Manhattan hotels. Overall my wife and I really liked the hotel. The room was very nice, clean, and with a comfortable bed and a nice TV. It was also very small with a view of an airshaft and a tub made for a Hobbit. Having lived in a small place in Manhattan myself this did not bother me much, but I can see someone not used to such cosy quarters having trouble with it. Only other problems were that they kept having laundry delivery problems resulting in not having washcloths for two days... Also give you the Post (the Post??) and the Wall Street Journal is in the lobby; are they also in the Rupert Murdoch empire? To be fair they did offer to send someone out to get me the Times, but it wasn't worth having to tip the same price as the paper. The location is great with easy access to A,C,B,D,1,2,3 trains, Central Park, Midtown, and UWS and the Village. I was really impressed with the bar at Blue Ribbon Sushi (bartenders were awesome) and the food was good. Unfortunately the sushi was inferior to the fried chicken which was great. Go for the alcohol. Overall it was a nice week and a nice hotel. Would definitely stay there again if for no other reason than it is a nice place in a good location.	
Mar 30 2008	Great Location	We stayed at the hotel because we had reservations for dinner at Per Se. The location can't be beat - it was across the street from the Time Warner Center. The employees were very courteous. There is a Duane Reade (or Rite Aide or similar drugstore) right next door in case you need something the hotel doesn't provide. When we checked in they said they were upgrading us to a King Deluxe, but the bed was not a king. Not a problem since the room was not too small. We were too exhausted to complain. Bathroom is decent with heated floors (but only half the floor was heated, by the sink but not in front of toilet or shower/bath). Fresh bath products. Turndown service at night. Inner rooms look out onto rooftop or shaft area. Loud AC unit from nearby buildings may keep you up at night if you are a light sleeper. Subway stop across the street. Whole Food Market in the TW Center has a great food court for a snack to go. Right next to Central Park.	
Mar 18 2008	Way Too Small For Two People!	i cant belive this is a 4 star hotel!! yes the service was very nice and helpful but the room was just silly, i would say maybe 90sf!! i did not know that you could have a 4 star hotel with a full bed(two adults cant sleep comfortable on a full bed!!) no chair! no storage space (had too keep cloths in our luggage and store it on the one small window sill over looking a ally) the bath room was so small you had to step out just to dry yourself and there was not even a place to put your soap or shampoo!! very thin walls also, hard to sleep when every time sombody gets off the elivator or opens there room door it is so loud it wakes you up!! maybe it was that i booked on priceline and they put us in the worst room in the hotel!! but looking on the web site and the regular prices that they charge it is way way overpriced!! $400-1200 a night for a glorified closet!!! i dont think so!!	
Mar 17 2008 	6 Columbus a winner (for the right price)	My wife and I stayed at 6 Columbus for a Sat night in March 2008. The hotel looks like its brand new. Its a smaller building on 58th and 8th Ave, but right off of the famous Columbus circle and on the corner of Central Park so the location is quite central to midtown and upper west side. The stylings are quite modern and the staff were very attentive. We were upgraded from a pod room to a queen size bed for free which was great. That said, the hotel is a very small building, and the rooms are a little smaller than average, but two people don't really need more space than that. What matters is that the hotel is clean and brand spanking new. I would definitely recommend this hotel to couples with no children, but probably ONLY at the right price. I've heard the hotel rates average around $300 and up, but I got a greal deal on perfectescapes.com for $145 for a pod room. These may not last long as the hotel gains more and more popularity.	
Mar 11 2008 	Excellent return trip to the 6 Columbus!	I have stayed at the 6 Columbus 2 months ago and decided to book again this hotel because I had liked my experience there. I also booked this time through quikbook, which is the way to get the best rates. I had given it a 4 star last time because I had trouble sleeping 2 of the 4 nights. There were rowdy boys next door and even if I called the front desk, the manager could not get them to quiet down. This time was totally different. I did not hear anything even if I was near the elevator. There are not many rooms per floor so there is less chance of people walking by your room. I booked the queen room this time because there were no pod rooms available but when you are alone, one or the other will do just fine.The staff is simply the best. I arrived at 9:30 in the morning and was given a room right away. Almost all the doormen recognized me and welcomed me back warmly. They treat everyone the same and that is the biggest compliment I can pay them. They don't cater to only the trendy clientele, they cater to everyone..even if you are not a 20something model:)The staff in the restaurant is the same. The manager Quint and the barmen, especially Keith, treat you warmly and I was even offered a nightcap when I stopped by in the evening before heading to my room. It is a great plus for the hotel because you feel like lingering there even if you are on your own. They take great care of you. I would love finding something to complain about because then I could write to the manager and hope for complimentary nights in return, but I can't find anything negative to say about this hotel. I just fear that I will not be able to afford it much longer when their prices will surely go up.d	
Feb 26 2008	Loved The Room And The Location	If you a regular vistor to nyc you'll know that hotels are very expensive and you probably use craigslist to sublet. well that's what i normally do - but i found a really good rate on the hotel's website - 145 dollars for the standard room per night. now it is small - but where it lacks size it makes up for other things. the location is perfect - i walked everywhere - even in the snow. it's right by the subway - and if you take the train to the airport - that's just 2 dollars and 45 minutes on the express train...it's right next to my favourite store - wholefoods - so i was in their everyday. and then right by the park and near all the shops on fifth avenue. the staff are very young - and trendy - but very helpful. the room was very nice - clean and excellent minibar. there was a complimentary copy of the new york times everyday - and that's the only way to get news outside the states - unless of course you watch cnn!!!1the bathroom was cool - heated floors - and fresh brand cosmetics - watch the shower - very hot - but lovely then you can wrap up warm in the cosy bathrobe.all in all for 145 bucks a night it was great - i would definitely go again - but if i stayed longer or with someone else i would go for a bigger room.oh yes the bed was lovely - too	
Feb 25 2008 	Small but very cool	Did a last minute trip to NYC with my girlfriend and was pleasantly surprised. We stayed in a &quot;Pod&quot; room which was quite small but very clean and well appointed. The bathroom was a normal size. The entire hotel has been redone is very chic. The hotel bar is small but cool. And, you are right across the street from the Time Warner mall/building....and right by the park. We got a great rate of $125/night from www.quikbook.com and couldn't pass it up. I would highly recommend this property. If you require space, do not stay in the Pod room. We didn't plan on staying in our room very much, so it met our needs.	
Feb 20 2008 	nice little hotel!	I was very pleased with my one night stay at 6 Columbus. They had a minor computer glitch which caused a brief delay in my check-in (no more than 5 minutes), and they upgraded me to a &quot;deluxe&quot; room to make up for that. The staff were very friendly and made a point to address me and other guests by name (even the bellmen). The room was small but very comfortable, and the bathroom amenities by Fresh were a nice touch. At the $199 rate I got on ---.com, it was a good deal and I would definitely stay there again.	
Feb 19 2008 	Great experience at 6 Columbus	Had a great stay at 6 Columbus in January! I found the staff to be very nice and attentive. The decor is fabulous in the lobby...It's got a very young, hip vibe. (Also had great food in the restaurant--Blue ribbon.) The rooms are small w/ no view (at least for us), but that's what I expect in New York...But, all of the elements in the room were nice...great linens, a flat screen TV, fresh products in the bathroom. My only complaint might be that we were close to the elevator and I heard it in the morning.Overall, great experience. So nice that I'm sure I won't be able to afford it when the hotel is completely finished!	
Feb 7 2008 	Excellent beds wonderful design good location!	Surprised by excellence of this hotel; welcoming staff, nice atmosphere (good music everywhere), lovely design and heavenly beds. We've booked the hotel directly and did get a good deal for a hotel of this category. Location was good because of many metro-connections, nice area with many locations for breakfast (Pain Quotidien etc). We were very happy to have been staying in this upmarket area instead of Times Square and other midtown locations	
Feb 6 2008 	Absolutely unbeatable for the price	First off, TripAdvisor needs to immediately correct this hotel's one-star rating as well as its average &quot;$802 per night&quot; rate. Both are skewed on criteria to which I am not aware.I am a former native New Yorker, and I've stayed (both before and following my move) in a variety of the city's best hotels ... as well as a few of its worst. Including this one in its previous incarnation, where I had the displeasure of seeing mice periodically pop their heads through holes in the pink shag carpet. (I only wish I was kidding.) Thankfully shag and mice have long since dispersed.I received a rate of $145/night -- for a queen room, not one of the now-infamous &quot;pods&quot; -- via booking directly through their own Web site. Even considering the nosedive NYC hotel rates take in January and February, that's a total steal. That said, my room was nonetheless very small, and I banged my shins on that infernal platform bed on multiple occasions. I also had some issues with my A/C-heat system, which is the only reason I'm not giving this place five stars.The location next to the Columbus Circle subway stop makes it a perfect juncture for reaching most areas of the city via subway, and although it's too cold to appreciate it this time of year, I'm sure its location practically next door to Central Park will prove a major bonus as well.Blue Ribbon, for those of you unfamiliar with the city, is one of its best &quot;minichains&quot; (with only 4-5 total), and the 6 Columbus location is its first uptown. I ate there and was highly, highly impressed: it's some of the best sushi in a city filled with formidable sushi restaurants, including the infamous Masa across the street.Sadly, it looks like management is already onto the fact that they priced the rooms too low: their winter rates are already up 50% (to $215/night for this upcoming weekend - on their site, not Quikbook).	
Jan 3 2008 	Big thumbs up all round !!!! (visited from UK)	We visited NYC from the UK for a 5 night stay at the end of November/beginning of december and the hotel was excellent put simply!The staff are really friendly and helpful (down to earth friendly not [-] kissing friendly!). They all were polite and we enjoyed chatting to them as we left in the morning and returned later in the day. Concierge was really helpful right down to booking a table at a sushi restaurant for us a few blocks over when we realised the one downstairs was closed on Mondays....We had a pod room, which did face the building at the back but ultimately it's that or the busy street at the front of the hotel- I know which one I'd prefer (and did!). It was adequate size wise as was the bathroom (heated floor and powerful shower were just the job after being out all day). The bed was massive and possibly the most comfy we've slept in! Flat screen tv was just the ticket as was the ipod stereo on the bedside table.location wise the hotel can't be faulted. We ended up walking most places as nothing was more than a 20 - 30 min walk away really- time square was about 20 mins max, 15 if you didn't have to keep stopping to cross the roads. And if that sounds alot believe me there is more than enough to keep you entertained walking around! Yellow cabs could be got right outside on those occasions we didn't fancy the walk, on our final day we got a yellow cab down to the Staten Island ferry port for about $18 then spent the afternoon walking up to the hotel stopping for coffee and shopping along the way. If you walked it with no stops you'd be looking at 1.5 hours or so.Sushi restaurant and bar are super cool (as the hotel in general really), pastries and coffee in the morning in the bar watching the world go by is a good way to start the morning, and tasty sushi in the evening in relaxed surroundings a good way to end it.The one negative was that the room we had was at the end of a corridor (with two other rooms)- some nights we got a bit of noise (lift door &quot;ding&quot; or a door slam). This was reduced by closing the door that allowed access to the three rooms so all in all not a big issue.We used a generic hotel booking website so got a decent deal. I'd happily recommend this hotel and make a return visit in the future. When we go to London we stay at a hotel called The Hoxton and this hotel is very similar in style, atmosphere and comfort.All round excellent.	
Jan 3 2008 	Too small to bother	While the staff was very friendly and service oriented, this was one of the most ridiculous of the 100+ nights I have spent in a NYC hotel! In my first room (which was so small, I hurt myself when I turned around) the telephone didn't work. After 3 visits from the non-English speaking &quot;facilities guy,&quot; the apologetic front desk clerk gave me a new room. While this room was no bigger, at least it didn't look onto the airshaft covered with pigeon droppings. All was well until I returned to my room at 11:00PM and tried to turn on the heat to take the chill off the 60 degree room. No heat. No facilities guy. No other rooms. No luck. While the Sushi restaurant in the lobby is &quot;happening&quot;, it was the only kitchen functioning. Breakfast was stale pastries and lukewarm coffee while room service was a 3-ring binder of NYC delivery services. If you are a fasting Liliputian, this is a great place. Otherwise, go down the street or around the corner.	
Dec 27 2007 	Perfect!!!	Thoroughly enjoyed my stay at 6 Columbus. The hotel is situated midtown, opposite the Time Warner Centre and within walking distance of Times Square, Central Park and all the important shopping streets. The hotel is small and intimate, the staff are very attentive and the concierge is very helpful. He arranged a fab night out for us and put us on all the guest lists. I was expecting a pokey room given the reviews, but the 'Pod' room really wasn't that small... the room comes with a very comfy bed, designer edibles, ipod docking station, flat screen and the bathroom even has heated flooring( oh and an amazing power shower).The hotel houses a very popular New York sushi restaurant, the food was pretty decent. The hotel is on the same street as the Hudson hotel( pay a visit to the bar) and also the Mo bar at Mandarin Oriental( the view of the city is amazing).All in all, can't fault this hotel. Does everything a hotel should, very comfy, central location and excellent attentive staff.Will be my New York sleeping spot going forward!!!	
Dec 20 2007	wonderfull rooms	In this area of NYC a hotel with less ambient music and vivid as the neighbours from the Hudson. Breakfast and dinner was a bit disappointing (for Europeans?) but the rooms were fantastic. Spacious, very clean, quiet. To go back!	
