	An ideal spot for visiting Manhattan	As many previous reviewers have chronicled, the staff, the breakfast, the afternoon wine and cheese all make The Library Hotel a special place and worth the bit extra it will cost over a big-box location. We also appreciated the central location *and* the fact that, in a business district, there is not so much traffic on the streets at night. It was possible to open the window and still sleep. The rooftop bar is lovely, if busy during happy hour. Grand Central is just around the corner; you can go uptown, downtown, or crosstown with ease. We will definitely return for our next nyc visit.	
Oct 30 2008 	Secret gem in the heart of NYC	We spent five nights at Library Hotel in October 2008 and here are the comments on this stay:- Great location one block away from the Grand Central Station, at Madison and 42ond - Very ‘famous’ neighbourhood with the Chrysler building around the next block corner, the Grand Central two minutes away and the National Library down the street- Some nice restaurants in walking distance (Benjamin Steakhouse – haven’t had meat in a long time? Go get cured!), Todai (All-You-Can-Eat Japanese Seafood Buffet Restaurant at 6, East 32ond), the Grand Central Dining Concourse Hotel itself:- Very nice, quite small, with early twentieth-century flair with nice lobby and extremely friendly, reliable and helpful reception staff (don’t think I ever encountered a team this well working together and professional before! Every one of them.) For those who can't live without reading: the MUST on the East Coast.- Bistro-like restaurant on the ground floor (unfortunately didn’t get the time to ‘dine-in’) and very nice open air terrace bar on the 14th floor (attention: this is also open to non-residents thus getting crowded ‘after hours’ and with no reserved space for hotel guests ... :-(.)Rooms:- Rather small (try not to pick the cheapest category), but stylish, with loads of theme books on the shelves)- very nice270°- view on Madison Avenue and 42ond till up to Central Park from corner rooms - Loved the windows you can open- Tiny but well equipped bathrooms with mat glass wall inlay towards the room, allowing some daylight to shine inSpecial:- The complimentary wine and cheese bar in the early evening (great if heading for a concert with dining afterwards!!)- Nice complimentary breakfast, though slightly cramped, with helpful staff and a ‘lean’ choice ... but then, it’s (nearly) free ...We were very pleased with our stay there and can recommend the hotel (though quite pricey... – it’s central mid NYC!). Staying there gives one the notion of bustling New York with landmarks around every corner.	
Oct 30 2008 	perfect!	We stayed at the Library Hotel for our honeymoon and cannot praise the hotel and its staff enough. The service and facilities were excellent. Staff were at all times helpful and gave great recommendations. We had booked a petite double room which was indeed small - but perfectly formed. The complimentary breakfast &amp; wine and cheese each evening for guests were a big bonus. We will definately stay in the Library again. We would highly recommend it.	
Oct 28 2008 	Fantastic Boutique Hotel in central location with lots of extras - great!	We stayed at the Library Hotel for 3 nights on a trip from the UK to celebrate my husband's birthday. A fantastic boutique hotel with superb attentive staff and many extras like the cheese &amp; wine reception every evening, bed turn-down service/bathrobes/slippers/chocs, breakfast and complimentary refreshments/pastries all day. These made our stay all the more special as we usually stay in the large hotels (Marriotts etc) and found this beats those hands down for that personal touch. The rooms are small but well appointed and after all, you are in NYC - how much time do you spend in it?! Very centrally located, infact we walked to almost everything and only needed a taxi twice. Would highly recommend the hotel's restaurant Madison &amp; Vine, The Roc at night, Empire State in the day, Circle Line 1hr boat trip around Liberty, The Blue Fin restaurant on Broadway, Mama Mia on Broadway and Grand Central Station Oyster Bar, WOW, we did so much, too much to mention here! You will love it.	
Oct 27 2008 	Hidden Little Gem In NYC	My boyfriend surprised me for my 30th b-day by taking me to NYC. He had used trip advisor to find a hotel and also some tour guide books to settle on this hidden little gem. The hotel was close to grand central station which made it easy to use the subway system and also close to lots of other areas of Manhattan (i.e. Times Square, Empire State Building, Shopping etc.) The room was contemporary decor and elegant. The service was beyond outstanding! Super pleasant staff that were constantly treating us like we were in a 5 star hotel on 5th ave! The evenings offered wine and cheese in a beautiful piano room with a view and the top floor had a beautiful rooftop bar with outdoor patio! The breakfast was listed as continental, but was way better than what I consider to be continental! They even had a latte maker/machine! Check out was late and they had a luggage store for late departing guests which made it nice for us. They picked our bags up from our room and stored them without a second thought! This decor was charming and the service beyond 5 star! My boyfriend has been to NYC a couple times always staying at bigger hotels and was completely impressed with his selection of the Library Hotel and vowed never to stay anywhere else again! Its a total hidden gem in NYC! enjoy....	
Oct 26 2008 	Location Presentation and service Fantastic!	This is an amazing boutique hotel perfectly located in the heart of New York. The staff are excellent, helpful with sightseeing ideas for our brief stay (2 nights) and restaurant suggestions (we ate in the attached restaurant first night - the food and service excellent!.The room was well appointed, we were on the corner so traffic noise was constant but we were so tired at night it didnt keep us awake! The theming of the Hotel was very well done.We would highly recommend this Hotel.	
Oct 26 2008	Our visit to The Library	We stayed here in July 2008 having toured the west coast of America. We found it to be the icing on the cake what a way to finish our amazing trip. The hotel was everything we could of wished for. The room was well appointed with all that you needed . The only adverse comment was that the wardrobe was too small, but this did not spoil our stay. Complimentary toiletries &amp; dressing gowns were available and the little touch of a chocolate and a note to inform you of the weather for the next day was a very nice touch making our stay feel very personal. The staff couldn't do enough for us.The hotel is in a very good position . Within walking distance of all the major sites. If you were too lazy to walk anywhere the bicyclce taxis where everywhere if you were prepared to take your life in their hands!! Top of the Rock has incredible view across the city , it was amazing to see The Empire State Building from this angle. MIchael and the other staff couldn't do enough for us. The complimentary breakfasts were very good with cereals, bagels fruit, pastries the choice was incredible not too mention the complimentary evening drinks and nibbles. The hotel has connections with the New York Library and has wide variety of reading materials in both the rooms and the breakfast area making it a very interesting place to stay. We would certainly go back again.	
Oct 23 2008 	Impressed and delighted	From the moment we arrived the welcome was friendly and informative - each and every member of staff went out of their way to be helpful. Our room was comfortable and very clean and the public rooms were all impressive. Breakfasts were good and the cheese and wine buffet excellent. The location is great, very near Grand Central and a 15 minute walk from both Central Park one way and the Empire State the other. I would recommend this hotel and would certainly stay there again.	
Oct 18 2008	I think I built it up too much in anticipation of the stay	I love the concept of this hotel and I wanted to stay at The Library Hotel for years, which we finally did in the summer of 2006. Perhaps it was the room that we selected; however, it was very small and wasn't quite as charming as what I imagined. If we stay at this hotel again, we will select a larger room but we've pretty much decided to keep to lodging in the Upper Westside, where we really enjoyed staying for the second leg of our trip in 2006.A positive aspect of this hotel was the close proximity to the NYPL and to Grand Central Station. It also scores points for creativity!	
Oct 12 2008 	Wonderful small hotel in Mid-town!	We just spend 1 night in NYC for our 15th wedding anniversary, so we were looking for something small and intimate...we found it at the Library Hotel! Front desk staff were very friendly and helpful (thank you for the Prosecco!). Our room was quite small, even with an upgrade, but it was well appointed and clean. Overall theme was unique and hotel &quot;extras&quot; were an added bonus (terrace bar and breakfast room - did not have time to check-out the fitness area). We would definitely recommend a stay here and will use it ourselves again in the future.	
Oct 8 2008 	WIfe's 30th	Couldn't fault it! I booked it on the back of reviews from this website. I also chose it over other 4/5 star hotels because of its size - not some 1000 room hotel where you are just another number - but a place where the staff knew you. Walter, Michael and Billy were extremely helpful and great to talk too. Location was great - right in the centre so you had great access to all the visitor attractions. The breakfast was good - selections of pastries, cereal and freah fruit along with juices and coffees. What also helped was the complimentary cheese and wine between 5-8 which helped you unwind a little after a day taking in the sites before heading out again in the evening.Can't wait for the next trip to NY as will definately be checking into the Library	
Sep 30 2008 	Wonderful place	I have just come back from a long weekend in New York and can safely say that the Library Hotel is one of the best which the city has to offer.The thing which really sets the place apart is the standard of service which was uniformly high. Each employee seems to try to do everything they can to make you feel like you are their only guest and they are your private staff.Added to this are the fabulous location and sheer quirkiness of the library concept and you have a recipe made in heaven.I never need to find another hotel in Manhattan.	
Sep 30 2008 	Wonderful honeymoon	Having decided to marry in NYC we then used TA to choose a suitably romantic, luxurious hotel. Not being fans of big impersonal hotels we found the Library fitted the bill perfectly. Apart from being spotlessly clean and wonderfully quiet it had a lovely bed and bedlinen, a spacious bathroom and lots of storage space. We particularly liked the little touches like the makeup/shaving mirror &amp; clock radio. We really appreciated the all day coffee etc in the beautiful reading room, not to mention the cheese &amp; wine in the evening - wonderful to come back to after a hectic day!What really made it though was the staff who made us feel really special - what more could one ask for? I would especially like to thank the 2 room maids who had come to check the minibar &amp; came to my rescue when I was having trouble getting into my wedding dress!Returning to the room after our wedding was such a memorable experience as the roses my husband had ordered were arranged beautifully, there was bubbly on ice and rose petals scattered on the turned down bed - no wonder I was in tears when we had to leave!Thank you Library Hotel for such a wonderful stay.	
Sep 28 2008 	Relieved	Loved this place. Was so relieved as we had never stayed in NYC before. Used Trip Advisor to make the decision on this place as it was ranked #3 then. Saw some other hotels for the same price per night ($350) and would choose this one over them by a mile. Beautiful room - small, but very modern and clean. Friends stayed in Jersey to save money, but we agreed it was worth paying extra to be so close to the action. Perfect distance from Times Square - not too close or far. VERY helpful staff, great continental breakfast in the beautiful reading room. Would stay there again although would not be able to afford more than $350 if the rates were higher and given that there are no other real amenities, I do not think it should be priced higher than this. Would take this over a big hotel any day though b/c when you are in NYC - you don't see the room anyways!	
Sep 7 2008 	good location but not as expected	We booked a 4 night stay at the Library Hotel over our wedding anniversary but were very disappointed. The hotel itself is fine - the rooms are clean and the staff were helpful and friendly. It didn't however have the wow factor we had expected from the reviews and website. Our room - one of the most expensive in the hotel - was very small and dark, our 'library' with philiosphy books contained about 12 titles. When compare to other hotels of similar price in the area i had expected more. If you're looking for somewhere to crash out while exploring new york i think this would be a good choice - the location is excellent - but if you're looking for something a bit special then i'd stay elsewhere.	
Sep 6 2008 	What a find - thank you Tripadvisor!	This hotel is a gem. Whilst the rooms are European rather than American in size they work very well with all the facilities you need - and the staff could not have been more helpful or attentive. The theme of library and books creates a uniqueness that is carried into the Reading Room and the Poetry Garden on the roof with glimpses of the Empire State Building. Breakfast is varied and adequate, the provision of unlimited coffee and refreshments for the rest of the day a boon - and the complimentary wine and cheese in the early evening provide a tranquil oasis and are a great opportunity to recharge the batteries between day and night! This hotel and its sisters deserve the very high ranking they have on the list of favourite hotels in New York. See also the reviews of Madison and Vine, their bistro - it's a good choice any time - but particularly if you want somewhere easy to fall into after an evening arrival!	
Sep 5 2008 	Excellent smaller hotel	A very nice smaller hotel conveniently located in Manhattan. I have been here on business and with the family: it is great for kids though not by any means &quot;targeted&quot; at kids, because of the penthouse lounge views over the city and the raidable snack supplies! But it is sophisticated and smart (not overrun by my family!) and quiet and clean and well appointed... for in my view about $150 a night less than larger &quot;name&quot; hotels. I've never had any problems and have always been impressed by the service... if you want a snack, a DVD, a book (it IS the Library Hotel) they have it, and are eager to send it up. Really nice. And very quiet rooms. Much better than some other &quot;fashionable&quot; small hotels I have stayed at in NYC, where sometimes style trumps comfort.	
Sep 5 2008 	Everything 	We stayed in the Library Hotel for the first 4 nights of our honeymoon. It was ideal &amp; just what we were looking for to start our 3 week break in the States. Librarians greeted us with a bottle of champagne &amp; a nice welcome note after our long trip from Scotland. We were given a good room 'Paranormal' &amp; the name certainly didn't put us off!! Staff were great &amp; gave us plenty of advice on places to eat etc. Benjamins Steakhouse a great NY experience just across the road. We stayed in a total of six hotels across the States during our honeymoon and this was one was definitely up there as our favourite. It was certainly very unique &amp; relaxing given its surroundings.Rooms were immaculate, DVD collection came in handy &amp; ideally located for tourist spots, theatre, restaurants etc. Free internet use came in handy &amp; complimentary continental breakfast was a bonus.We would only crticise the prices on the rooftop bar. Very relaxing up there but be sure to soak up some of the free wine before heading up!!	
Sep 5 2008 	An oasis of calm in the big apple	The Library hotel is a real oasis of calm in the otherwise frenetic big city. Located close to Grand Central station (including the bus shuttle to JFK) and handy for the subway, the hotel is a great find. Each room is individually designed to match a different literary theme and although the rooms a very small (this is New York after all), the guest lounge and rooftop bars are good places to chill out and relax.The staff were faultless and little touches like the DVD library (including 100 films all set in New York) were a really nice touch.	
Sep 4 2008 	NYC at its best.	The very conscientious and considerate staff at the Library Hotel made my brief stay in the city a great pleasure. I arrived two hours before scheduled check-in time and the staff hurried to arrange a room for me. Following a very brief wait (less than 45 minutes) I was situated in an “upgraded” room – larger than I had reserved -at no additional cost. Even during my brief (one night) stay I made use of the library sitting area, business center, wine and cheese hour and rooftop bar. Can’t imagine anything that could have made my stay more enjoyable. The wonderful staff sets the tone, the beautiful accommodations and quaint setting conveys the mood, and the amenities complete the package. I can’t wait until I can return with my wife for a much longer stay.I must say I was reluctant to write this review because I want this little gem of a hotel to remain my secret. djm	
Sep 3 2008 	More than perfect!	A wonderful special hotel in New York!Everything carefully studied.The staff is very professional and prepared to all requirements.Simply perfect!	
Sep 2 2008 	Wonderful boutique hotel	The Library Hotel's location is perfect--just a short walk to Grand Central Terminal, where I could take the subway or make connections. The hotel is in easy walking distance of many New York attractions. Since I was traveling alone, I wanted a hotel that was in a good, safe location. Because of the hotel's proximity to the subway system, I never took a cab during my stay. I was able to walk or to use the subways to get everywhere I needed to go (including many different areas of Manhattan, the Bronx, and Queens).I stayed in a petite room, and I was booked into 800.003, the poetry room (just as I'd requested). The room was very comfortable and quiet. I enjoyed returning to the room each night to find turn-down service. The hotel staff were friendly and accommodating. The second floor lounge was a wonderful place to sit and read, and the foods offered throughout the day were plentiful. At breakfast, the offerings typically included several different cereals, eggs, fruit, various types of bagels, croissants, pastries, and assorted muffins. Beverages included coffee (plain, espresso, cappucino), tea (numerous types), milk, and juice. Throughout the day (including late night), one could enjoy cookies, pastries, coffee, tea, water, and lemonade. In the evenings, the staff served wine (white, red, and sparkling), assorted cheeses, crackers, breads, and mixed nuts.Madison &amp; Vine--the restaurant on the ground floor--offers room service to guests at the Library Hotel.I have recommended this hotel to several of my friends since I returned from New York. I love the small size of the hotel and the truly luxurious touches. Since I am an English teacher, I regretted not having more time to be in my room to read the books of poetry there!	
Sep 2 2008 	Faboulous visit to the Library!	We completely agree with the comments made by the previous couple that this is indeed an excellent hotel. My daughter and I stayed here for five nights, having previously stayed at The Casablanca Hotel two years ago; that was good but this is even better. The location is excellent, we couldn't fault the rooms, lovely and quiet, fabulous roof terrace and bar and of course we found the breakfasts and evening wine and cheese to be very good as well. However, special mention must go to the staff; Nick, Igor and the team, who were completely professional, courteous without being gushing and nothing seemed to be too much trouble. We had a fabulous time in New York but the staff absolutely made it so much more for us, everything you would expect from a Boutique Hotel. Thank you to them and hope to visit again very shortly. Kate and Holly Stafford, Wiltshire, UK	
Sep 1 2008 	Enjoyed The Library Hotel	This is the second visit. Great access to Grand Central. Staff very courteous. Breakfast buffet very nice, like the 14th Floor Bar and Terrrace. We'll stay again if we need to be in this area of Manhatten.	
Aug 31 2008 	an oasis of calm!	Arrived at the hotel at 9 a.m following a very bad 24 hours (cancelled flight!) and luggage missing.......to be warmly welcomed by front desk staff. Although it was far too early to be able to check into our room we were offered breakfast and the use of all hotel facilities. We were also directed to the best places to buy emergency clothing! That set the tone for our two night stay! Staff could not have been more helpful. Their recommendation for a 'special' restaurant was spot on (including as we found out later requesting a 'booth'). The hotel itself was everything the many reviews have said it is -and more! Our room on the 12th floor was extremely quite; very clean and comfortable. As others have stated the cheese and wine on offer in the evenings was a wonderful touch and set the tone for going out to dinner.The whole 'book theme' made the hotel very special, unique and contributed to the calming effect following a day of walking around NY.A special comment needs to be made about the very personal approach of Walter and Nick who with humour and openess made our stay in NY more relaxing than anticipated as we left JFK that morning. Thank you.	
Aug 30 2008 	Wonderful Hotel in NYC	I booked this hotel on their site. The staff was nice and helpful as soon as i reserved the room. Every room is named by a specific topic, and inside you can find book about it; i asked for &quot;ancient history&quot; room, and they reserved this room.The reception and doorbell staff is very helpful.The room was clean and well maintained, and so the bathroom.Inside my room i found a complimentary bottle of champagne, and everyday 2 bottles of water.The breakfast was very good and complimentary (not common in NYC, where you can spend great amounts of money for breakfast), and so the afternoon tea and wine/cheese in the evening.The rooftop bar was simply great, and the staff was wonderful (great compliments to the girls!!!).I'll return to this hotel without any doubt. Library Hotel makes me love more New York.	
Aug 29 2008 	Just what it should be!	My husband and I celebrated our 20th anniversary with a trip to NY and stayed in the Library Hotel - and loved every minute of it! A complimentary bottle of champagne awaited our arrival, and the room, staff and little extras (turn down service, wine &amp; cheese in the afternoons, helpful concierge) all made for a memorable visit. We wouldn't hesitate to recommend this hotel - the bed was very comfortable, breakfast was great and the location is perfect for walking everywhere. Can't wait to visit again!	
Aug 25 2008	Great Hotel !!!	The Library Hotel is unique and well worth exploring. It's in an excellent location in midtown Manhattan. The staff are respectful but very warm and helpful. The room was comfortable and nicely appointed. I strongly advise checking out their excellent website to get a feel for the concept of the hotel. We couldn't have been more pleased with all the hotel offers. An excellent place. I'm sure children are welcome, however, this hotel is probably geared more toward adults. It's a smaller &quot;boutique&quot; hotel, which we like. It is very sophisticated and refined. Not cheap, but no nice place in Manhatten is! Highly Recommended!!! Randall &amp; Deanie VincentWalker, Louisiana	
Aug 25 2008 	a treat in new york	We stayed at this hotel for 4 days in August 2008. The staff and the information/service that they provided were superb. Room (junior suite) great. Location central. Breakfast, snacks, wine and cheese,what more can you ask for. We were very pleased, thought it good value and would go again/recommend.	
Aug 24 2008	Spot on service fab location great atmosphere	My husband and I got engaged at the Library Hotel in their roofop Poetry Garden a couple years ago, so this boutique gem is incredibly special to us both. We recently returned for a quick anniversary celebration and were very happy to once again experience the charm and amenities of the Library. The reception/lobby staff here are incredibly accommodating, approachable and gracious. How often are you personally contacted by a hotel to ensure your stay is in order? Hotel location is fantastic (Weather permitting, walk over to Bryant Park Grill for an outdoor lunch and a spin on the carousel!) We adore the Library for its uniqueness, character and overall ambiance. It's also great to have bottled water, good coffee at any hour, breakfast and wine/cheese at your disposal. The value here is excellent. Don't hesitate to book. We will be back!	
Aug 21 2008 	Great Hotel shame about some of the staff	My husband, daughter and I stayed in a junior suite at The Library Hotel for a week long stay in New York and have to say that nearly every service offered at this hotel is second to none- room cleaning and turn down service in the evening is a wonderfully luxurious touch (if not a little inconsiderate of the global environment). The biggest let down for us was, I hate to say, the overall standard of service offered by a few of the main reception staff, who could be haughty and even rude when approached for information and advice. This spoiled an otherwise great trip!	
Aug 15 2008 	Simply perfect!	There is nothing negative I can say about this hotel. We arrived quite late and were greated by helpful and frendly staff and a nice chilled glass of wine in our room. Which was the perfect start to our stay. The breakfast, complimetary tea and coffee and the wine and the cheese in the reading room are all lovely. The bar balcony overlooking NY library, the Empire State buliding and the Chrysler is beautiful, I could have spent hours there! Also it is ideally located for exploring New York without being noisy.OK so the rooms may be smaller then some other hotels but they are clean, beautifully decorated and to are large enough to be comfortable.Would I stay here again? Without doubt. Would I reccommend it to friends and family? without a moments hesitation!	
Aug 12 2008 	Excellent Hotel Couldn't imagine staying anywhere else.	My husband and I stayed with the Library Hotel in late July on our first trip to New York. It was the perfect location to explore the city from, close to most major sites in the city. We arrived at 12pm due to a very delayed flight and after 28hrs of travelling from Australia there fast, friendly and very effecient staff made checking in a pleasure.We were prepared for a shoe box size room, but were pleasantly suprised to find our room was a generious size plenty of room for the two of us plus 2 very large suitcases and carry on luggage. The bathroom was beautiful, as was the rest of the room.Breakfast was a pleasure each morning, great bagels and coffee a perfect way to start the day in New York. The breakfast room was tranquil and relaxing, and the all day coffee and snacks kept us going.The free wireless broadband in our room was also a great extra. The rooftop garden was beautiful, great view of the city.This is a great place to stay in New York, we couldn't have asked for anything more. We are very much looking forward to staying here again in the future	
Aug 9 2008 	LOVED EVERY PART OF THE HOTEL!	We had such a wonderful time! The room was awesome! We stayed in the Love Room that had the only balcony. The view was beautiful. The room was a relaxing escape from the crazy city. The service was great! The staff was very helpful and friendly. All the different lounge areas in the hotel are decorated very nicely. The breakfast is superb every morning! We were on our honeymoon and WE LOVED IT!	
Aug 5 2008 	The Library Hotel - a hidden gem!	The Library hotel is an ideal base for both holiday and business travellers to New York. It is centrally located and within walking distance (or a very short cab ride) of most of Manhattan's attractions.The hotel itself, while relatively small, has a homely atmosphere due to the friendly and helpful staff (librarians). It is a peaceful haven and with continental breakfast, all-day coffee and pastries and evening cheese and wine available it is a wonderful retreat from the hectic life outside. It is ideally located so as to return to it on a few occasions during the day to refresh before facing &quot;life outside&quot; again.By the way there are plenty of books to read if you find the time!!!	
Aug 4 2008 	Lovely staff--but very noisy!	The staff at the Library Hotel couldn't be nicer. The breakfast room is lovely and the food is fresh. Even the elaborate espresso machine turns out stellar coffee. Every non-resting moment we spent there was great.However, our room was so noisy that sleep was a distant dream. When we arrived--too late to change rooms--we realized our heating and cooling system had a fan that rivaled stadium cheering. It was literally too loud to talk above. We tried, once abed, to turn it off but then became too hot (it was August in the city) and, once we turned it back on, we were again blasted. Furthermore, the room we booked--a junior suite on the sixth floor-- was on the corner of two of NYC's busiest streets. This room, unlike others I have stayed in in the city, seemingly had no barriers to keep out the city sounds. In short, my husband and I were up all night. I hate to be so critical of a place that hires such lovely staff. However, ultimately those of us who stay in hotels are there to sleep and that luxury was, for us in our sixth floor suite, out of reach.	
Aug 4 2008 	Fulfilled our Expectations!	My husband and I stayed in the Library Hotel for three nights in July. I booked the hotel based on reviews on Tripadvisor and did wonder if it would prove to be that good. Well, it did! We had a delux queen room on the 7th floor which was very nice. It wasn't huge but neither was it terribly small. Size wise it was fine for our three night stay even with two large suitcases. The bathroom was clean and well lit and had a large bathtub and powerful shower over the bath. There was constant hot water and the toiletries were plentiful.The library room on the second floor was very pleasant and the availability of teas and coffees at all times was very welcome. Breakfast included pastries, cereals, fruit, eggs, juices and was more than adequate.We checked out the rooftop bar which looked wonderful, but we didn't actually stay and have a drink.The staff in the Library were helpful and knowledgeable. Our flight left New York at 9.30pm and the weather during our stay was extremely hot and humid. We were given the use of the penthouse floor rest rooms to freshen up after our day out sightseeing and could avail of the wine/cheese on the 2nd floor before we left even though we had checked out earlier that day. This was a nice touch and was appreciated.Probably best of all is the Library Hotel's position on Madison and East 41st St. Grand Central Station is only 1 block behind the hotel and allows access to the subway system (very manageable and safe). A coach service from JFK will drop to and from Grand Central for only $15 one way.It is possible to walk to the Empire State Building &amp; Macy's on 34th St and it is also walkable to Times Square, Broadway, 5th Avenue and Central Park. The Library Hotel is in a brilliant position for exploring Manhattan. We had a wonderful time and I can't wait to return to New York again. I would be happy to stay at the Library Hotel on my next visit.	
Aug 4 2008 	Beautiful and quiet	The Library is a beautiful, clean, lovely hotel in a great location. The staff from arrival until we left 4 days later were attentive, knowledgable, and helpful. The rooms are numbered with the Dewey Decimal System and each room has a little theme (ours was a the &quot;ancient language room&quot;) and they are tastefully decorated to create a calm inviting setting. They have complementary breakfast, drinks and snacks through out the day, complimentary wine and cheese daily, a rooftop bar, streetlevel resturaunt, oncall doctor, free movie rentals, and are within walking distance to 5th Avenue shopping, Grand Central Station, and St. Patrick's Cathedral. We are thankful to have found this place!	
Aug 1 2008 	Wonderful Hotel Library	My husband and I visited New York for a week in mid-July for his birthday, and to see the New York's Art Commission's Waterfall exhibit.After investigating many sites and collecting a lot of information, including reviews from TripAdvisor's travelers, we decided on The Library Hotel for its location, east midtown Manhattan, just two blocks from Grand Central Station, great restaurants and ambience, as well as convenience for the subway.After reviewing the Library Hotel's website, I called their hotel directly to book the type of room and location I wanted, and to have any questions that I may have had answered right away.The Library Hotel has a theme of a library, hence the name, and each floor has a subject; ours was Philosophy. Books were everywhere, and we wished we had much more time to enjoy the hotel's facilities.The staff at The Library Hotel were outstanding, wanting to help us with maps, restaurant reservations, etc. and even though we had done a lot of research ourselves and had our time in New York planned out, they made it very easy to accomplish everything we wanted to do - especially, as we were there during the 98 - 102 degree heatwave. We travel a lot, and the staff in this city hotel made all the difference to our stay.We booked a queen size room, on an upper floor, which was beautifully appointed, and the bathroom had a tub/shower combination, which the tub was really appreciated after pounding the concrete streets all day in 100 degree heat. Whilst the room was not overly large, we were very comfortable, and the air conditioning responded instantly to our wishes.Included in the price of the room was breakfast, which, whilst no hot food was provided, was excellent and filling with a large variety to choose from.From 5:00 p.m. - 8:00 p.m. complimentary wine and cheese was served, and you could help yourself to as much as you wanted.There were two rooftop patio-bars, which looked lovely, but we never had the time to sit and enjoy them.Madison and Vine is a new bistro attached but separate on the ground floor of the Library Hotel, and we had read mixed reviews about it, but we had dinner there the night we arrived in New York, and had excellent service and food.I would certainly stay at the Library Hotel again, for its location, facilities, and wonderful and helpfull staff.J. Perkins, San Rafael, California	
Jul 30 2008 	Excellent choice	We had 3 nights at The Library at the end of June. The hotel is 5 minutes’ walk from Grand Central Station and the Public Library 1 block away. We had rooms on the 10th floor away from the lifts (as requested on booking). The rooms were clean, nicely decorated and comfortable with plenty of towels and toiletries. The rooms also have a safe and complimentary bottled water is provided. We were shown to our rooms and given lots of information about the facilities and also warned about the mini bars which are electronically sensitive – so if you don’t want an item don’t touch it! We slept soundly – it was remarkably quiet. A good continental breakfast is served until 11.00 in a pleasant lounge on the 2nd floor which has wall to wall book cases and a piano! Everything was plentiful and topped up regularly by staff. Complimentary hot drinks and cookies/pastries are available in the lounge all day plus wine with cheese &amp; biscuits are served between 5-8pm which - a great way to start the evening or end an afternoon’s sightseeing! The hotel has a nice rooftop bar which is open to the public (think from 5pm) – but is a relaxing place to sit out during the day in comfortable surroundings if you are tired from trekking around the city. Both on the Friday and Saturday nights we were there the bar was entertaining private parties, though on the night we visited for a nightcap the waitress managed to find seats for us in the open air area which was greatly appreciated. (We had lunch in the adjoining ground floor restaurant Madison &amp; Vine which was excellent - not sure if it is connected to the hotel or not). The best thing about the hotel is the service – without exception every member of staff we encountered was friendly, cheerful and helpful. We had some great tips for bars and restaurants. The best service we have experienced in a long time. In summary the hotel made our weekend for us – loved it loved it loved it and if we ever make it back to New York would be our 1st choice of hotel.	
Jul 30 2008	Great Little Treasure in Midtown	The rooms are spacious by NYC standards, and the location is ideal. We had a room with a bay window that fronted Madison, so that you could see directly down 41st into the Public Library and up and down Madison all at the same time. Not a very tall hotel, so you're not going to get panoramic views, but actually very quiet considering. The staff are very helpful and go out of their way to make sure you have a great stay. The little extras (breakfast, etc.) go a long way in making this a fantastic place to consider while in NYC. Also, you never feel overwhelmed like you sometimes do at the larger NYC properties. And by the way, as you might expect, there are books everywhere, including a copious supply in the rooms, if that's your thing.	
Jul 29 2008 	Perfect hotel for our stay in Manhattan.	The staff couldn't have been more helpful. The location was great. The room, while small, provided all necessary amenities and more. With the substantial parking discount and the lovely breakfast, the cost was quite reasonable for the City. We look forward to staying at the Library Hotel the next time we come to NYC.	
Jul 28 2008 	Perfect NYC hotel	The Library Hotel is amazing. After a 20 hour flight from Australia, the hotel staff were so helpful in getting us settled in quickly. The hotel serves complimentary wine and cheese each night, and even though we arrived in well past the service, they brought some wine up to us to enjoy while we relaxed. The location was perfect with transportation nearby and every shop conceivable within walking distance. The roof top garden was lovely and really added to the unique feel. Free internet and breakfast each morning was also included with the wine/cheese evening. The rooms were amazing with all the books included, and you were surrounding by more in the lobby and breakfast room. Loved the concept. Even if you're not an avid reader, book this hotel. It's a great location, service is superb and all the amenities are spot on. I would definitely return.	
Jul 27 2008 	Beautiful hotel in NYC	We very much enjoyed our stay at the Library Hotel. It is a rather small but very modern and comfortable hotel in a very central location to discover the big apple. The service was excellent, the folks at the reception went every extra mile to make the restaurant reservations that we had forgotten to make in advance. The rooms are small (though not for NYC) but beautiful, each with a different motto/theme. We can very much recommend the love room, the only room in the hotel with a balcony! We will return...	
