	Clean room friendly helpful staff	We recently stayed at this hotel for 2 nights. The rooms were clean and well maintained but quite small. As we were out and about most of the time and only there to sleep for 2 nights it wasn't a problem.The staff were friendly and very helpful. We had a few queries and they were very attentive and helped us sort everything out.The location was good. It was in a quiet location but within easy walking distance to Midtown.I would definately stay at this hotel again.	
Aug 30 2008	Serviceable Hotel with the Basics	Currently staying at this Hotel over Labor day weekend. The hotel front desk staff is very accomodating. The Lobby is very small, the elevators are small, the hallways are small. I can see when they built this hotel from the ground up space saving was a big priority. The hotel was built from the ground up, and finished three months ago. ( June 2008)The rooms are very small, and of course the bathrooms are tiny. The shower has almost no pressure, do to watering saving device. The &quot; SInk&quot; is a Joke. Its the smallest sink I ever saw. Furnishing are nice, bed is good. When you put your clothes in the armoire it is so tiny, you cannot close the door property. There is a very nice flat panel LG TV in the room. Overall the room is in good shape, and very clean. Bed Linens are upgraded, and the carpet in the room is nice. Very Modern, and updated room. The doors are very thin, and you can hear everything going on outside in the hallways. If you are traveling alone, then the space issues are not too bad. A couple will be cramped. Three Forget it! The hotel rooms are very close to each other, so you can hear the opening and closing each time someone comes in or out. There is no closet in the room. Bottom line is that if you can stay here for $200 or under I would take it. Anything over $200 I would look elsewhere. I would rate this a 3.5 star property, only because of the small area in the rooms. The property is well located, and close to train stops.	
Aug 26 2008 	Nice but small	I stayed here during the NY Gift Show this season. MUCH better than the Mildew Plaza. The hotel is modern, nicely appointed, and the staff is doing a good job. I took a cab from GCS and the cabbie didn't know where the hotel is. It's half way between 6th &amp; 7th on 26th St. There's an ATM right out the door and to the left (credit union). Plenty of convenience/drug stores around the block (CVS, Duane Reade) should you need them. Normallly on business trips I like to stock up on bottled water, fruit and yogurt at these places and keep the items in the minibar fridge. Well, there is no minibar at this hotel so there went that plan. Reception: Is a tiny desk on the right as you enter. Maybe 2 people can fit behind there. This is a tall skinny hotel. 10 rooms on each floor. Elevators like molasses. Expect to wait 5 min for your ride up or down. Room: I had room 1705 and it was small but nice. Clean, modern. The bed actually had a plastic mattress pad on it for some reason. Hell, I was happy that the hotel is new and there were less chance of bedbugs! (There were none) Matress was comfy. Pillows comfy but small. Wireless internet worked fine and is free. You could even order room service from it. TV was nice and large LCD on the dresser. Small closet with ironing board &amp; iron. Cable box was almost like being home. My one problem was the phone. It didn't work. I went down to reception to report it upon checking in. I was told someone would come fix it while I was out. No one did. I figured the next day it would be fixed while I was at work. Nope! 3 days later I went back down and complained. They sent someone to look at it. After 5 min of checking both extensions repeatedly, he realized it was plugged into the wrong jack somehow. So it finally worked. Bathroom: Tiny! They provided plenty of fluffy towels, a shampoo/conditioner all-in-one, a lotion, and a bar of facial soap. 3 days into my stay a bar of bath soap showed up, but I don't use it as I bring my own bodywash. But found it odd that they waited 3 days to give me bath soap. LOL Was having a mini spat with the maid who kept putting the waste basket on the left of the sink against the wall. As a rightie, I kept wanting to throw stuff out on the right (between sink &amp; toilet) and kept moving it there, she kept moving it back the next day. Oh well. Nice water pressure and temperature in shower/tub. Kinda awkward opening the door with the bath mat down because it is so small in the bathroom. Restaurant &amp; Louge: Both nice. Had breakfast in the restaurant the first morning. Waited quite a while to be served once we ordered and it wasn't early (8:30 am).Food was tasty, though. Prices a little high. Louge was loungy and dark but nice if small. Never got a chance to see the gym. Taxis were waiting outside each morning so that was very convenient and even if they weren't the 1 subway line stops 2 blocks away on 28th and 7th. Convenient, clean, and nice. Recommend.	
Aug 21 2008 	Excellent Stay ;o)	Excellent hotel! We stayed 2 nights and from the moment we checked in, could not find anything negative. The location is a great central location, with the subway only a couple of blocks away. The staff was outstanding, very friendly and accommodating. Every staff member we talked to was helpful and very pleasant, not your typical NY attitude. The management has done a great job in ensuring the best customer service atmosphere. I would definitely stay there again.	
Aug 17 2008 	Pleasant hotel stay	I stayed here for two nights and was very satisfied, on the whole. The view wasn't great, but the room was clean, air conditioned and nicely furnished, with a huge, fantastically comfortable bed that was so high, it was all i could do to climb into it! I would have loved the flat screen TV, but mine was faulty and only picked up a few of the many channels that should have been available. I phoned the main desk and assistance was given, but the problem was not resolved - (disappointed not to have been offered a refund of some of my money). Also a problem with a blocked toilet - quickly resolved. Liked the coffee maker and complimentary daily newspaper, also availability of ironing board and nearby ice machine. The hotel staff were very welcoming and pleasant and I had a two great, undisturbed nights' sleep. Didn't try the food at the hotel, but the bar area looked nice. A number of decent places to eat very close by.	
Aug 17 2008 	Great Experience	We were looking for a convenient hotel, near MSG, and this one fit the bill. I did use Priority Club points for it, but the hotel was well worth paying for! Very clean, small rooms, but the beds were great. High beds, great pillows and bedding and a good night's sleep. Bathroom is small, hard to shut the door while you're in there. The TV didn't work, but I think the cable was out and who's in NYC to watch TV anyway? The valet parking that was mentioned on the booking site was non-existent. Had to drive my car to a garage up the street. I was planning on a valet and there was none. That was the only bummer of the trip. Ate at the on-site restaurant for breakfast, the staff was very attentive and the food was good. The desk clerk was great when we checked in, gave us a map of the subway and advised us how to get to the subway we wanted. He was very pleasant. I highly recommend this hotel.	
Aug 8 2008 	Great location!	Great Location... Close to subway, Madison Square Garden, Penn Station, Empire State Building....Small rooms, which is typical for NY. We were there for 4 nights. The first room we had was a top floor, corner room, no much room to put suitcases anywhere....1 night at 1 am, the smoke alarm kept going off, called the front desk 3 times over 40 min before someone finally came and put in a new battery!Lost water for over 8 hours in entire hotel......they did take money off for that night w/o our asking. We had noticed on the side of the bed the rug by the wall was damp, was really damp by 2nd night, figured out that the ceiling in the bathroom was leaking....requested to be moved. We had to pack our bags and leave at the front desk, no rooms were ready at the time. Room was ready when we got back from our outings for part of the day. 2nd room was even smaller! Could not open door to room all the way due to luggage......even worse situation for luggage than 1st room. I will say hotel seemed clean, front desk person we dealt with for most of our stay was very nice and helpful....Food at the restaurant was good. Not sure that I'd stay here again tho...got a great rate at the time.	
Aug 4 2008 	Perfectly fine nothing fancy	I stayed at the Holiday Inn 6th Avenue for two nights on a business trip to NYC. The hotel is an older building (not brand spanking new as the picture online would indicate), but it has been completely redone. The elevators are very slow, but that was about the worst of it. The rooms are small, but very well kept. Bed was comfortable, and I liked that they offered you a choice of firm or soft pillows in the room. The bathroom was very clean, if small. No bathtub here, but an excellent shower. This was no big deal for me, but I can see that some people might want a tub. The front desk staff were uniformly polite and professional. They held me bags for me for several hours after checkout without any problem, and everything was just as I left it when I returned. There is a restaurant and a bar, but I did not partake of either, so I cannot comment. Room service menu was (as expected) very pricey with limited choices. There are plenty of restaurants and bars within a short walk of the hotel, so I would recommend venturing out a little rather than eating at the hotel. Overall, I enjoyed the stay and would have no problem staying there again.	
Jul 29 2008 	Perfect Stay!	Upon arrival in New York, discovered we could not stay in small studio apt. with relative and needed a hotel. We got on internet for possiblities and found this Holiday Inn had a vacancy. What a stroke of luck for us. The accomodations could not have been better. The staff was so friendly and helpful with any request. Our room was perfect, a/c worked wonderfully, service was excellent, and I will only stay at this hotel if and when I return to New York. Highly recommend this hotel to all.	
Jul 27 2008 	Highly Recommend the Holiday Inn	We booked this hotel last minute...like right when we landed in NYC and decided to get a hotel rather than crowd my step sister in her studio apt. I googled something close to her and we ended up in this affordable gem...not luxury, but has everything you would want if you like to travel on a budget but have champagne taste. What I liked:Friendly staff; clean room, lobby, and sitting area with small bar for a cocktail when you are exhausted from touring the city; good location with starbucks and train station around the corner; flat screen t.v; comfy pillows; coffee pot in room (bring your own coffee, theirs was kind of yucky or go to starbucks around the corner); Martha Stewart films just one block away; great central location for sightseeing....What else could you ask for? The rooms were small, very small, but for the 220.00 a night rate in Manhattan I was not complaining one bit! I was traveling with my mom for a fun weekend getaway and would definitely stay there again with my husband or with friends.	
Jul 17 2008 	comfortable stay in a great location	I recently spent two nights at the Holiday Inn Manhattan. The hotel is a brand new high rise actually located on W. 26th Street near 6th Avenue. Overall we had an excellent experience. The king room was small, but serviceable, with a great bed and nice flat screen TV. The bathroom was tiny, but full equipped. The staff was friendly, and seemed to be anxious to help foreign visitors and NYC first timers.The location is fabulous. Chelsea is close to theaters, has great restaurants, the food market and lovely tree lined streets.Our only problem was the shower curtain that did not reach the base of the shower stall, and water got to the bathroom floor. But that was a minor fault.	
Jul 17 2008 	upscale holiday inn	Hotel just recently opened so everything is new and clean. Was upscale from the typical holiday inn. Rooms were very small, I was wondering why a room with two double beds would only accomodate 3 people and I got my answer, you'd be falling over eachother. I'm cutting hotel some slack since it just opened but there were no and I mean no towel racks in the bathroom, no table or chair, or refrigerator (despite the website claiming there is one in every room) the top of the dresser had the tv on it so there was no room there. No closet just a small wardrobe ontop of which the coffee machine was perched (good for Magic Johnson, bad for those under 6'5&quot;). two small elevators so if you're on a high floor build wait time into your trips. I was on second floor so I took stairs on down trips but you can't do that going back up since stairdoors lead outside. Beds were comfortable. Maid service was soso, made beds and left fresh towels, but looked like bathroom wasn't touched (no empty toilet paper replacement or replacement of toiletries/cups). Desk/Restaurant staff was great, restaurant good. Make sure you park in their assigned lot and get a sticker on the parking ticket when you check out, doing that changed our parking fee for 2 days from $101 to $60. Overall a nice hotel, will be really good when they finish everything	
Jul 16 2008 	Comfortable with a great location	We (family of 4 with two kids 8 and 6) stayed one night on a leisure trip. Hotel is new and fresh. Location is very good for a nice mix of new york life. Three blocks from two subway lines. 7 blocks from Penn station. A few blocks from Chelsea and some eclectic neighborhoods. Even some interesting restaurants and clubs on same block as hotel. Overall the hotel is new and the staff very helpful and friendly. Rooms are small per other New York rooms we've had but still comfortable. We'd definitely like to stay here again.	
Jul 15 2008 	Perfect location	New hotel so everything is nice and clean. Staff was very pleasant and helpful. King room was on the small side but not unexpected for NY. The central location was definitely a bonus. It's perfect for tourists and business guests. Anyone needing to be pampered should look elsewhere. Only minus - the elevators can be slow (very minor issue). Would absolutely stay here again!	
Jul 15 2008 	Great Stay!	We stayed one night at the Holiday Inn Manhattan 6th Avenue. As with all hotel rooms in NYC they are a bit on the small side, fitting the king bed, a desk and a small bathroom. The suggested occupancy of the rooms should be heeded...do not try and fit a larger group into these modest size rooms. No roll aways available...they wouldn't fit in our king room anyway! That being said it was nicely appointed with comfortable beds and a big flat screen tv. Free wi-fi was a plus.We did not use the workout facility at the hotel, but it had one treadmill, one exercie bike and an elliptical. All brand new. It is located in the basement of the hotel.Only two elevators for the 25 floors so your wait can be long (around 4 minutes). We had no problems waiting though!The front desk staff was very helpful and friendly. Always willing to help with any question or request. They are very knowledgeable about area restaurants etc.A convenient location with multiple subway stops within 3 blocks. The neighborhood, Chelsea, felt very safe at all times of the day and night.We would stay again if we were in the area. A good price/value ratio! Overall a great stay!	
Jul 15 2008 	Tres bonne situation - chambre minuscule		
Oct 30 2009 	Buono		
Oct 29 2009 	super Hotel		
Oct 7 2009 	posizione comoda camere molto piccole ma graziose		
Aug 27 2009 	superbe et très bien situé		
Aug 19 2009 	Hôtel rénové fin 2008 bien situé à prix raisonnable		
Jul 13 2009 	Klein aber gut		
May 2 2009	Super Standort gutes Hotel		
Dec 19 2008 	Che gentili all'Holiday Inn		
Dec 12 2008 	Nuovo e in posizione comoda		
Nov 16 2008 	Bien situé propre et pas chère		
