	Good hotel but a bit far out for sightseeing with a toddler	My husband and 2 year old son stayed here for three nights over the Thanksgiving weekend. We got an excellent rate through priceline and the front desk staff upgraded us to a superior room on the 33rd floor. We had a big room with fantastic view of the hudson and jersey city. There was a small fridge in the room to put milk and yogurt for my son. The hotel is a standard marriot and the rooms are rather large for a Manhattan hotel.The 85 west restaurant has a decent menu but a bit pricy ($20 for a burger). We had breakfast from starbucks one day and the other mornings went to a diner a block away (Georges) which is excellent. I can't compalin about the hotel except I would not stay downtown again for sightseeing or shopping. Also not that many restaurants around.The hotel is one block from ground zero and in general there is a lot of construction in the area with sidewalks blocked off and traffic diverted. The subway stations are very close for getting into town. It is a 20 minute ride to midtown and 25-30 to uptown/central park. All in all, a great hotel but not the most convenient location for midtown sights, especially with a child and a stroller. We also prefer to come back to the hotel for naps and that was inconvenient from midtown as taxi ride is about $30. On the plus side, the ferry for liberty and ellis islands is 10 minutes walk from the hotel.	
Jan 22 2008 	New Year in New York!	This hotel was great for what we wanted it for - location. We didn't want to spend a fortune and just wanted a comfortable, clean base which would be situated in a good place so that we could explore New York. I have been to NYC before just before Christmas and I must say that on this occassion we came just before New Year and it was more enjoyable! The christmas shopping was not so hectic this time and although it was still busy the atmosphere was great. I would definitely suggest missing the christmas shopping and instead coming for the sales!! We did visit some of the tourists sites which were very busy but the hotel staff were great in recommending the best deals and the best ways to avoid the queues (special offers, different combo tickets etc). New Years Eve itself was amazing and there was nothing quite like being in Times Square when the ball drops!!! We got engaged which made it extra special but it was special enough just being there! The hotel was clean, service from the staff was good and we had no complaints. All in all a very pleasant &amp; enjoyable stay.	
Jan 16 2008 	It's alright	Typical Marriott, room service is good though. They're doing some work on the elevators, some delay, but not too much.	
Jan 9 2008	Very bad hotel	To start with, staff that welcomes us at the door was very rude and did not even attempt to open the car door. We thought our payment includes the breakfast, as the guy on the phone from the hotel told as so when we were making the reservation, but we found out that they were charcing extra 30 dollars. They tried to charge us for one more extra day of internet that we didnt use. Although the hotel is in `financial district` and claims tob e suitable for business, it does not even has wireless internet. If you want to stay connected you have to stay on the chair and hook up with the shortest cable I have ever seen. The staff at front desk is rude (except the lady working on 7th Jan morning) and not willing and able to help with directions (they give directions of a metro station that has been closed). Although, you have to check out at 11.00am and can only check in after 4.00 pm, we were waken up at 8.00am by the cleaning lady who wants to clean the room. The location is quite far away from real touristic areas and very very noisy as there are constructions everywhere. No available parking and hotel charges 50 dollars and you are not paying daily but in each time that you take and leave your car (In fact they tell you that once you leave it for a day you cant take it back unless you want to buy another 50 dollar).Finally, the room was one of the smallest I have ever seen. Within this price range one can definetely find a better place to stay. At least one with a better staff.	
Jan 4 2008 	Good Business Hotel	Stayed at the Marriott Financial Center for two nights to attend a conference. Nice clean rooms, average size. Not a lot of restaurants close to the hotel. Checked in at 7:00 pm after a long flight across the county, ate in the hotel bar with average menu. Being in the financial district you're not close to Time Square, Broadway or Rockefeller Center, about a 30 minute subway ride or $20 cab ride. If you have business in the financial district this is a nice hotel, close to Wall Street. If you’re their to sight see, try to stay mid-town or Time Square.	
Dec 13 2007	Downtown Upscale	Reliable Marriott-quality hotel. Helpful staff, and not inconvenient for SoHo, LIttle Italy, Chinatown, etc. Good pricing may be offset by transportation costs to travel uptown, unless you use public transit. Good value overall.	
Nov 27 2007 	Great Views OK Location	Stayed at this hotel because of Marriott Reward Points. Our stay was from Nov. 19-23, 2007. We have stayed in midtown for previous visits (and for the first three days of this visit), so have been spoiled by the convenience of that location. The closest subway to this hotel is 2 1/2 blocks away. We are used to it being right next door, so this was an adjustment. Also, at night there is not as much pedestrian traffic on the streets, so we didn't feel as comfortable walking around. We were able to get where we needed by taking the subway and making transfers, but it took a little more time. Overall, the hotel was good. Checkin was great. We arrived a little before 12:30 and were promptly checked into our room. Through Marriott's Virtual Concierge, which emails you for special requests prior to your visit, we requested foam pillows and a refrigerator in the room. The front desk said that they would be there, but they weren't. We had access to the Concierge Lounge which was nice, but very small compared to others I have used. Breakfast was good, as were the limited dessert items in the evening. The elevators in the hotel were slow to arrive, but fast when they finally did. We did experience a couple of problems with one getting stuck on a floor, but they had notified the guests that they were in the midst of maintenance on the elevators. We had a harbor view room which was amazing. We could see the Statue of Liberty an a piece of Ellis Island from our room. I would stay here again if I had the points to get it free, but if I am paying, I will be in midtown.	
Nov 12 2007 	We will stay in this hotel next trip.	We/ve stayed in several areas of the city before,but will return to the Marriott Financial Center again.The area is vibrant,full of optimism,safe and clean.The concierge(Goeffrey)showed us how to use the #1 line of the subway and we zipped around the city easily.Sunday morning we took a walk to Battery Park and went to a cultural festival.Trees,grass,familes,food,gorgeous views! Our room was on the 17th floor....could see Ellis Island,ferries...we'll be back!	
Nov 12 2007 	Can't fault it	We visited NYC at a peak time where all the hotels were charging a fortune. However The Marriot cost us the same as a 2/3 star would near Times Square. Although not close to the action the hotel is in a peaceful area near the Hudson River/Wall Street and Ground Zero. From our room you could see the Statue of Liberty. It's close to the tube - about 6 stops/20 mins from Times Square, Rockefeller Center and only a couple more to Central Park. You can walk to areas like SoHo and Greenwich Village in about half an hour anf the hotel is in a very safe area.The hotel itself is immaculate, the rooms were large and clean as were the other areas. 'Roys' downstairs does a great breakfast and all the staff were extremely helpful booking us reservations at top restaurants and letting us have a very late checkout for no extra cost.I looked at this site before booking and most of the reviews agree with mine. We could have booked at hotels such as The Milford Plaza, The Wellington and other big tourist hotels however I would say don't risk it - pay a little extra to be guaranteed a perfect stay in a very modern hotel where every room is perfect. This is especially the case if like us you are going to NY on a one-off trip.	
Nov 6 2007 	Nice accomodations near Ground Zero	I stayed here for a business meeting, and was very worried about its proximity to Ground Zero (the 9/11 World Trade Center site). It was no problem at all, save for the emotions ellicited whenever seeing that great gaping hole and thinking about all the lives that were destroyed. In fact, the location is excellent: very near to the subway, to lots or tourist attractions, and to the PATH train station (in case you need to go to NJ: its only $1.50 each way to Newark). The hotel itself has a small feel, the rooms are in good shape (not new, but not worn out either), and all of the staff were great. I highly recommend this place if you want a great NYC experience without paying the high prices they charge for similar rooms in Midtown.	
Oct 10 2007 	Wonderful!	Pricey during the week. Weekend stay good deals. Room service didn't get order right twice. I don't like mistakes when I am hungary. Finally ,when food arrived, it was good. Wallpaper falling off in some areas of room. Very quiet room. Locatednext to ground zero, a quiet place in a noisy city. I have been to Ground Zero twice 2002 and 2007,personally it is still overwheming.We requested a view room of the Staute of Liberty. Awesome!New Yorkers are super!	
Oct 9 2007	Nice Place With a Wonderful View	I spent at the NY Marriott Financial Center a couple of nights when rushed from SoBe to NYC for Justine Timberlake concert at Madison Square Garden. I decided to stay by the river in South Manhattan, and my choice wasn’t wrong. I’ve got no one word of critics on this hotel and can only numerate its positive sides. Its staffs are professional and friendly and their service is very good. It’s very well located on the West Street going along the Hudson River, near Battery Park, so this hotel got wonderful views of New York Harbor with Ellis and Liberty islands. Sounds good, yeah? It’s very close to subway station (“Rector Street”) at Trinity Place, so in some minutes you’re able to get any place of the city. A ride by cab from the hotel to somewhere around the 42nd street or back would cost near 15 bucks with tip.  It’s at walking distance (5-7 minutes) from the Broadway at Wall Street which is too convenient in case you’re on business trip.  Its neighborhood is very quiet and not overcrowded in comparison with the city center. It’s cheaper than the other Marriott hotels situated in the city center, but it provides customers with the same service. That means that the hotel got an appropriate price-quality ratio.Finally, it has the restaurant, indoor pool and gym, and there is a Starbucks café in the same building. The check in took only some moments and I got a standard Marriott’s room with all the necessary amenities, traditionally comfy king bed and a nice view of the Hudson River and Jersey City. Besides a nice buffet breakfast, my accommodation plan included free cruise tickets around NY harbor with stops on Liberty and Ellis islands, two day-long subway tickets and two flyers for free admission to all the museums in South Manhattan - nothing special but very pleasant.  After a quick check out, I caught a cab to the JFK – in a couple of minutes we crossed the East River through Brooklyn Bridge when rushed to Queens and got the airport very quickly (not wasting a lot of time in Manhattan’s traffic jams). Oh, that JFK! We spent two hours crawling for take off in a line of hundreds of aircrafts, but this is another story. All in all, I wouldn't hesitate to recommend anyone to stay at New York Marriott Financial Center.	
Oct 8 2007 	Amazing!!	Outstanding service!! My girlfriends and I took a weekend trip up to NYC and booked this hotel because it was the best deal. We got a great deal, a great room, and great service!! The concierge and bell hops all went out of their way to help us. The front desk staff was so friendly! There were a few problems, they checked us into a room that someone was still in, and in our room there was some water leaking in the bathroom. However, the good points out weighed those problems. I'm used to experiencing age discrimination because were all in our early 20s, but not once were they ever rude or uncaring. Customer service the way it should be!! Our room had an amazing view, and our bell hop let us in on the where to eat, and stories from working at the hotel for so many years. I HIGHLY recommend, and I hope to go back!	
Oct 7 2007 	Best Hotel For The Money In NYC	This is a great place to stay in NYC despite the out-of-the-way location. The room was large and comfortable and quiet and had all the usual Marriott amenities plus a terrific view of the harbor and the statue of liberty. (Although our window was a little dingy and could have used cleaning...) Comfortable beds, a large bathroom with great water pressure, comfortable chair for reading, good desk and plenty of lamps for reading. And the pool was great! It's lap pool that isn't grand, but is certainly large enough for lap swimming. It is very easy to get to mid town by hopping on the subway, which is a short walk from the hotel. Early check in and late check out was no problem. Everybody on the staff was friendly and well-informed. I'm planning to stay here often.	
Sep 24 2007 	EXCEPTIONAL Service!!!	Hello,My sister and I recently treated my mom to a weekend in NYC in celebration of her 50th birthday. The employees at the NY Marriott Financial Center went above and beyond to make our weekend in NYC extraordinary. The beds were extremely comfortable and the hotel was clean. We ordered pizza on Saturday night and hotel security escorted them to the room. It definitely made us feel safe! The hotel is close to the Rector St subway station (two blocks). I DEFINITELY recommend this hotel!!	
Sep 17 2007 	Great Stay	Great service, fantastic bed and nice room. Two blocks from the Rector Street subway station and Battery Park.	
Aug 24 2007 	Still LOVE this hotel!	I'm shocked that the last review of this hotel was mine 2 years ago! Well, since it's been a while, I'll chime in again. I stay here every year for a conference, and it gets better each time. I'm not sure if it's the fact that it's next door to Ground Zero, and it gives me time to reflect on that day, but I really like being there. The hotel lobby is classy as ever, staff is very friendly, and the food at both restaurants is very good. Location is right in the heart of the Financial District, and walking distance to the Village, and Chinatown (Many cabs won’t drive you to Chinatown from the hotel because of the grid lock). It's also a nice walk to the boardwalk where you can see the Statue of Liberty and the Jersey shore. If there wasn't a new building in the way, I'd be able to see the Statue from my room. I just really like this area, as it's now very calm and quiet for NY. The rooms are not huge, but they're big enough, and the beds are comfortable. Bathroom is clean, and for the cost, it's well worth staying here. Never any issues with the hotel being unclean or anything like that. I love this place because it's trustworthy.	
Aug 10 2007 	Extremely comfortable!	Comfortable beds - probably the most comfortable I've slept in in a hotel. Clean and neat and well-equipped: coffeemaker, room fridge, room safe, iron and ironing board. Nice big clean bathroom. Very quiet room. Nice television with cable. Ice bucket and for once, the hotel provides the can opener.  Excellent location. The subway station is right around the corner. Take the #1 uptown and you are everywhere.  Walked a few blocks to Tribeca and had dinner at the Tribeca Grill. Delicious. Stopped at a grocery store in Tribeca and stocked up on soda for the room. I'd love to spend an entire week in this hotel and see a lot more of New York. I recommend it to anyone who likes to relax in comfort at the end of a day of trekking all over the city!	
Aug 8 2007	good hotel	A good hotel close to ferry area to Staten Island, Wall street and Twin tower site but if you want to visit central park, Fifth Ave, Broadway or museums, stay closer into the city area as too far to walk to these attractions. Our bus tour left from here that is why we stayed there for one night. The hotel was good. Staff friendly and helpful and the restaurants in the hotel were good value. We went to the bar area and had a meal and they make the best and I mean the best pizza I have ever eaten. The rooms are a good size and have good views. There was no ber fridge in the room so you had to go to the ice machine to keep your drinks or water cold, that was the only problem we encounted, but a lot of American hotels were the same, not like here in Australia where nearly all hotels inlude bar fridges.	
Aug 6 2007 	Recharged at Battery Park Marriott	Stayed for three nights in early August. Hotel is perfectly located to subway, shopping, dining, and historical site seeing in the financial district. Room was very clean and we had a great view. Bed was comfy and bathroom quite adequate/clean. We booked a parking/breakfast included deal which was a great value. Breakfast buffet was excellent quality with so many choices. It's nice that they have an indoor pool but was loaded with kids and water was too hot to swim in summer. Gym looked adequate. We ate dinner one night at Roy's restaurant which is located downstairs in the hotel. Food was actually very good although service was off and it is a bit expensive overall. We plan to stay at this Marriott in the future.	
Jul 17 2007 	Clean Comfortable Rooms at the Marriott	We only stayed 1 night in New York City but we lucked out when we booked this hotel. We didn't have much time to plan this trip but I had heard so many horror stories about small rooms and vile conditions that I wasn't even looking forward to spending the night in the city.For our family of 4, we needed a room with 2 double (or queen) beds but I found that was hard to find in NYC because many affordable hotels offered 2 twin or 1 double - otherwise you'd have to pay for 2 rooms. We came across the Marriott Financial Center on Expedia.com and they offered an Internet special with 2 double beds. Marriott was a name we could trust and the location looked good so I booked it on-line.The hotel was great and the room was very very clean, everything looked like it was new and the beds were extremely comfortable. Our room had very pretty views of the Hudson River. The Bellman were friendly and helpful in getting us cabs and giving us information.Be prepared that the hotel is located very close to &quot;Ground Zero&quot;. Due to construction, the sidewalks are closed on the hotel side of the street but there are walking bridges to get across busy West Street. Take advantage of the walking areas along the Hudson River that run down to Battery Park, it's a very pretty walk with lots of benches for relaxing.	
Jun 26 2007 	Very comfortable 	First time at this location. It was very professional. Very clean. The beds were comfortable. GREAT views of the harbor. It's in walking distance to 2 subway lines (and the amazing discount dept. store, Century 21). There's a Roy's restaurant and Starbucks off the lobby. I highly recommend this hotel for your next stay in NYC. Only drawback is that there's a lot of construction going on around this hotel since 9/11.	
Jun 14 2007 	Most excellent stay awesome staff great location!!	As a family and a tad nevous about visiting the &quot;big City,&quot; the Marriott Financial District was an excellent choice!!!! It offered a very quiet, very warm welcome each evening, away from the busy days of touring the city. We were met w/ candles and fresh lemonade in the lobby and staff to greet you, each evening. Great to sit in the bar, 85 West and relax with a drink.Across the street, and 3 blks ahead, you can walk the Battery Park Promanade and relax in a cafe along the waterfront and watch the sunset. (Also great for my husband to run along each morning! ) Excellent staff, all needs were met. And we were given a fabulous corner room on the 37th floor with views of Hudson River and WTC. Pool was nice, although a tad warm.Great advise from staff for local breakfast: George's, and not far to an excellent Tribeca Sunday breakfast :Bubby's. Dinner and a sunset along Promenade: Steamers and local deli across from WTC and next to a very moving, Tribute WTC9/11 Visitors center and NYFD Ladder 10 .Easy access to subway within 2 blocks, Trinity Station.Will definitely stay here again!!!	
Jun 7 2007 	Great Location	This was the third time I've stayed at this property. It is conveniently located close to the financial centers. I also liked the fact that all the subway lines to anywhere in the city are located within a four block walk. The room was very clean with a comfortable bed. The bathroom is not anything over the top. Plenty of exercise equipment (weight machine sub-par) and a pool. You are a three blocks from the walkway along the Hudson in Battery Park. In pleasant weather this is a great place to go and unwind. This is a good value given the location.	
May 28 2007 	Fine if undistinguished	This hotel is in a good location- lots of subway lines nearby. And it's close to Century 21 discount department store. Rooms are large and well appointed. Concierge gave me the wrong information about the cost of a cab back to JFK- it's not a fixed fee going out- and i queried that, but she insisted.But they let me have a late check out without charge which was good.	
May 18 2007 	Nice hotel nice location	We spent Xmas and New Year in this hotel. We liked the room very much, it was clean and comfortable, nice smell (and it is very important for me as I am a non smoker). The heather was working fine and it has the most comfortable beds I had ever been. :) The hotel is in a nice location next to the subway and it is a quiet place at night so you can sleep.I disliked the dirty windows and it is a real pity because of the nice view you have from the room.We had another problem with the bill, they charged meals in their restaurants we never had!! :( I wish I would... jajajaja instead of a pizza outside the hotel.About the renewing works outside, we didn´t suffer them because most of the workable time we were out the hotel visiting places.The bathroom was clean and hot water all day long. And the courtesy (shampoo, conditioner, cream, etc..) were enough and of a very good quality. One nice thing you will find for every woman is the hair dryer, it is a real one to dry hair and not to feel a simple breeze.The free coffee and tea at the room was a nice touch, we enjoyed it very much specially on winter.This is a hotel I would go back.	
May 4 2007 	Great Hotel	Stayed at this hotel 4/19/07-4/23/07. Check in was great, arrived at hotel at 8am and was given early check in. Concierge desk was helpful each and every time we had a question or needed directions. Hotel restuarant ( roy's) was good, a little pricy but food was good and drinks were great. Hotel is in the heart of the downtown financial center and a few blocks from ground zero. Hotel is close to a few subways so getting around is no problem. You can also hail a cab easily from the entrance. I would very much stay there again when I come back to NY.Hotel is about a 20 minute ride to Central Park or Times Square or 40 minutes to harlem or anyplace in that directon. So Ho village is walking distance if you don't mind walking 15 blocks... its a great way to see the city.	
Apr 17 2007 	Marriott's aren't what they use to be...	In December 2006 I booked a room with two beds for a family of four from Travelocity for three days over Easter break. Upon arriving, I was told that the hotel was full and that they only had rooms with king size beds available. They offered to give us a single rollaway bed and extra bedding for the 4th person to sleep on the ground. They indicated that because the hotel was booked through Travelocity, they weren't notified that we had requested a room with two beds, nor were they able to give a refund. This I found to be ridicules as why am I given the option on Travelocity’s website for room selection, yet Travelocity, one of the top travel sites on the internet doesn't give this data to the hotel?? Come on...After about 20 minutes of arguing with the front desk staff and manager, they offered to put us on a list for another rollaway bed for the night and comp'ed our breakfast the next day ($20 buffet?? NY is $$) and changed our room to a double the next day.I found both rooms that I was in to be less than what I was expecting a Marriott to be. The rooms were dated, AC/heater required you to use ear plugs because it was so loud, the wall paper in the bathroom looked like it was from the 1980's and was peeling off the wall in some places, plus we had a nice selection of mold around the crown molding. The price for this hotel was nice, but don't think for one minute (like I did) that because it's a Marriott you know it's going to be nice. Also, as the other reviewer said before this one to make sure you call in advance to ensure that you're getting the room that you had booked and not told &quot;so sorry&quot; when you check in.	
Apr 8 2007 	Not what we expected	In November 2006, we booked two rooms for 2 nights during Easter break. We booked for a family of four and for a family of three. Upon arrival, we were informed that there were only rooms available with 1 king bed. They would add a rollaway bed to the room, but that would still only provide room for 3 people.The front desk manager tried to find a double bed-room in a different hotel; as it was Easter weekend, nothing was available in Manhattan. We were offered the room for free, and as we did not want to go home and spoil the visit for the other family (their first visit to United States), we accepted. The person on the rollaway had a good night sleep, the 3 others (in 1 king! ) did hardly get any sleep.... we were all exhausted! In my opinion, they should have offered the room for free and also a free stay award! I learned my lesson: If I stay in a Marriott again, I will check before departure to make sure we will get what we asked for.	
Mar 26 2007 	Nice Affordable Hotel	We just returned from a 3-night, weekend stay at the Marriott Financial Center. Overall, we had a good experience with our family of four, which includes two small boys ages 4 &amp; 5.We booked directly through Marriott’s reservation service (we participate in the Marriott Rewards program) and requested an upper floor room with a view of the Statue of Liberty and an early check-in. Our check-in around noon on a Thursday was extremely quick and our requests were accommodated. The room was clean and a decent size for NYC with an in-room safe, mini-bar, hair dryer, clothes iron &amp; board, small desk, and comfy chair with ottoman. There is a charge for Internet access. The two beds in the room were double not queen size, so they were cramped to share with another. However, the beds themselves, pillows and linens were very comfortable. The bathroom lighting was TERRIBLE! but toiletries and plenty of towels were provided. We had no problems with the elevators or noise from the outside construction.Housekeeping and room service were pleasant and very responsive to our requests. However, the concierge left a little to be desired. Responses to our inquires were vague at best. They did not seem enthusiastic to help us make our sons’ first trip to NYC and our oldest son’s birthday (being celebrated during our stay and the reason for our trip) a memorable experience.Our Sunday morning check-out did not go as smoothly as our check-in. The valet was prompt in retrieving our car from the garage. However, after a 10-20 minute wait for the bell hop to pick up our luggage from our room, we decided to make a couple of trips down to the lobby with the luggage ourselves.We must agree that the location of the Marriot Financial Center is not the best for tourists, but since it caters to business travelers, weekend rates can be very reasonable.As a side note, I would encourage any visitor to NYC to contact the Big Apple Greeters. We had a wonderful day with one of the volunteers and would highly recommend it! For further information; [-]	
Mar 1 2007 	ok but only stay there is you really need to be downtown	This hotel is right next to the World Trade Center site. My room was on the 36th floor with a view of the re-construction. My advice would be to ask if you have a view, and if you don't want to see that (I honestly did not) then ask to move. The rooms are ok (not large, but average for New York). Lighting in the room was not adequate for working on your pc., The elevators are very slow. The workout room is nothing special. if you can stay in mid-town, there are much better options for food/services.	
Feb 28 2007	Excellent Service and Hotel!	Excellent hotel &amp; service. Beautiful rooms, very clean and quiet. Nice location.	
Feb 18 2007 	Great experience	Stayed at this hotel while vacationing in NYC. Location is a mixed bag as there can be some construction noise from Ground Zero, but it didn't bother us.Check in (early) was easy. Our room was a large corner room with a partial view of Ground Zero and the Hudson River. Beds and pillows were very comfortable. We didn't experience any elevator problems, but I'm not sure how full the hotel was. The hotel is convenient to Wall Street and Battery Park. We walked to both as well as Southport one morning with no problems inspite of the hot, humid weather. There is a nice Greek restaurant a couple of blocks away and an Irish pub with good food even closer. We didn't try Roy's as the prices were pretty high, even for NYC. There is a popular discount clothing store (Century 21) a five minute walk away.The theater distict is a $15 taxi ride away. We had no problems getting a taxi at the hotel, but finding one after the shows let out can be tough. If you walk east on any westbound street in the theater district, you can catch a taxi returning from runs to hotels on the east side of town. We also used taxis to get to/from Canal Street, SOHO and the Village. You can access the subway system one block away, although we didn't try that system.Valet parking was friendly and efficient.	
Feb 15 2007	Friendly service	I had to write because we were so impressed with how things were handled in such a professional and friendly manner. The employess have been there a long time and seem very dedicated to the comfort of your stay. We had a great room overlooking the Hudson River but it does depend on what side of the hotel you stay as far as the speed of elevators and views. The rooms were very comfortable and quiet. We would love to go back.	
Feb 11 2007	Very Very Nice Hotel for New York	We stayed at this Hotel for New Years Eve &amp; it was a Very Nice Hotel! I've been to New York before &amp; the Hotel we stayed at was nothing compared to this one! I always feel weird about sleeping in a Hotel bed since I'm not sure how clean it may be but the sheets on this bed were so white, soft &amp; comfortable, that I had no problems falling asleep. The Bathroom was super clean. I didn't feel uncomfortable being in the Bathtub at all. The Service was good. One of the nice things is that they have a Starbucks connected to the Hotel. How great is that?! The location is great, since it's a Block away from the World Trade Center site. It's also walking distance to Battery Park where you can take a Ferry to the Statue of Liberty. The subway isn't far at all either in case you want to take it down to Times Square. The Price wasn't that bad either. Over all, I would definately stay at this Hotel again.	
Jan 20 2007 	A few problems	We went back to this Marriott as we had stayed a few years earlier on business and had found it to be a clean, reliable hotel (as most Marriotts are). Unfortunately our trip was disrupted by having to change rooms 3 times. The room allocated to us on arrived was absolutely thick with dust. TV, window sills, curtains all absolutely grey. Surely US vacuum cleaners have a nozzle to do the skirting areas! We were given another room and all seemed OK , albeit a bit less dusty than the other, until we got into bed that night. The smell of cigarettes on the duvet was disgusting - bear in mind that Marriott now advertise that all their hotels in the US are non-smoking. Why on earth did they not invest in new bedding when this rule was introduced? The room was changed the day after and we were back to the thick dust again. To be fair, there seems to be a great deal of work happening to the outside of the hotel, with scaffolding etc. but surely better housekeeping could compensate for this. This used to be a really smart hotel but I would avoid for the time being until the work has been completed and the place cleaned up.	
Jan 20 2007	Decent Marriott Slow Elevators	This is a pretty decent hotel. The rooms are large for Manhattan, and were clean and comfortable. The location on West Street isn't great, but it's lower Manhattan so everything is close anyway.The elevators were brutally slow. I waited about 15 minutes in the morning waiting.	
Jan 3 2007 	I aged waiting for the elevators	I booked the Marriott Financial Center (I'm a Marriott Card Holder) and we tried lower Manhattan this time. The hotel was very typical of a Marriott, nice, clean and a few restaurants attached, which I like. The only problem we encountered is the elevators were so slow and full, seriously we waited about 15-20 minutes to get one. But don't blame the Marriott, it was a Sat. morning around 9:00 and people were checking in and out, so everyone was waiting for elevators on each and every floor. I think the Marrriott bellhops should have separate elevators to bring luggage up/down. Do you have any idea how much room those carts take up? I'm sure that would just be a gazillion dollars to add a separate elevator - but hey it's worth mentioning.Both restaurants in hotel are pretty good, we had an appetizer in the Hawaiian one and the other one we had coffee and dessert in both nights. The pool was nice too but I wish they had a jacuzzi. Man, I just want it all, don't I?Yes, I would stay here again if I wanted to stay in the lower Manhatttan area. Although our preffrence is the Marriott Marquis!	
Dec 29 2006 	Decent Business hotel in the heart of the financial district	I stayed at the Marriott, New York Financial Center from 8/22/06 to 8/25/06. The best part of the hotel is its location. Right in the heart of the financial district and opposite the World Financial Center. The rooms are strictly okay, appears old. The lobby is small. They have a Starbucks in the hotel. Cabs were easily available, and there is public parking behind the hotel. The closest Subway Station is the Rector St station on line &quot;1&quot;. The other convenient subway station is &quot;R or &quot;W line station at Rector St and Trinity Place. The stations are couple of blocks from the rear entrance of the hotel. I also had breakfast and one dinner at a small, charming bistro called George's &amp; Sons at 89 Greenwich St, minutes from the hotel and close to &quot;R-W&quot; subway station at Rector St. Good cooking, prepared fresh.	
Dec 29 2006 	Nice hotel but beware the drilling	We booked a xmas stay here based on the good reviews I had seen. Hotel is nice but they have just started building work on the outside of the building. What that means is the constant sound of drilling from 9-5. Even worse on our arrival day when there was no water in the rooms - it had been turned off due to the work. The staff were excellent and tried to help us by moving us to a higher room, sadly the next day the work started on the higher floors so we were no better off. What was bad was Marriott not warning guest about the noise and work. No email or warning on their website (staff had asked for this). We checked out after a day as it was too much. To be fair they were excellent and moved us uptown to a brilliant Courtyard on 3rd Ave. So it is a nice hotel and staff were excellent but check to see how the drilling is going - it is very noisy.	
Dec 11 2006 	Marriott was the Marriott (of course its not the Ritz)!!	I am a huge fan of this website. I was very surprised to see a reviewer compare this hotel to the Ritz Carlton. Although Marriott owns Ritz Carlton they have their own style and cater to differ clients.This Marriott was a Marriott (of course its not the Ritz)!! This was a signature Marriott hotel in every way. It did have the lovely new beds!! My partner and I took my parents for an early Christmas gift for a trip to NYC. Our room had a great view of the Statue of Liberty and was close to several subway stops.The service was great! Roy's was wonderful for breakfast and also for lunch. There are SEVERAL close by places to grab a bit and corner stores to pick up bottled water, etc.It was the largest room we have ever had in NYC. It was quiet and never felt crowded.My only small complaint was that the elevators were slow. We will make another trip back in the near future.MichaelArlington, VA	
Nov 26 2006	Nice hotel	Nice hotel. We got a corner room, which was really huge. Staff was nice and facilities like free in room coffee maker / coffee made the stay very pleasant. Room/bathroom was neat and clean. Would stay there again.	
Nov 1 2006 	My second fantastic stay	My partner and I have just returned from our second stay at this hotel. We loved every moment of it. The staff were supremely professional, courteous and helpful. Our room was on the 19th floor and had a nice view over the Hudson River and Ellis Island although the Statue of Liberty was obscured by another building.The room was a typical Marriott - clean and spacious. The bed was really comfortable and the bathroom stocked with Bath &amp; Body Works products.We used room service once. We ordered breakfast on our first morning there - it arrived exactly as we ordered and bang on time. We also drank in the bar a couple of times, which had a nice atmosphere to it.The nearest subway station, Rector Street, is just around the back of the hotel, about 1 block away. We were made aware that the 1 train would not be running over the weekend and that we should enter the station another block back and use the R or W train instead. This presented no problems whatsoever.We were also advised that some exterior work was being carried out on the building during the day but, as we were out being tourists, we didn't see or hear anything.A wonderful hotel in a great location - I can't wait to return.	
Oct 26 2006 	Nice hotel	Although I wasn't pleased with the location of the room they initially offered, polite insistence got me a much nicer room with an excellent view of New York harbor. The room was fairly small, but more than sufficient for my needs as a single business traveler. The bed was quite comfortable. I would definitely consider staying there again, even if I were coming to New York as a tourist. Sure, it's farther from most tourist attractions, but still only a short subway ride away. And although the area is pretty dead at night, that provides some of the peace and quiet that is so hard to find in Manhattan. The nearby Millenium Hotel is in what looked to me an even quieter, though less scenic, location.	
Sep 25 2006 	Pretty Nice	This is a very nice hotel. Staff is very professional, and I was actually able to check-in early. My room had a wonderful view of the Statue of Liberty. The room was very clean, not very big. Bed was extremely comfortable, and the marble bathroom is quite nice. I asked the front desk for a dinner recommendation and they whipped out a map and marked some spots on it for me to try. Overall, I enjoyed my experience here.	
Sep 19 2006 	Half as nice as the Ritz Carlton Battery Park	We spent four nights in New York - two at this Marriott, and two at the Ritz Carlton Battery Park just down the street. We paid the same rate for a harbor view room at both hotels but the Ritz Carlton was, hands down, twice as nice. The Marriott, while livable, is an old hotel with small rooms and visible black mold peeking out from behind the crown moulding and the wallpaper. It was also very understaffed, with one bellhop to handle hordes of arriving and departing guests. The Ritz Carlton, on the other hand, is a new hotel with beautifully appointed rooms and outstanding service. So, if you're looking to stay downtown, I would only recommend the Marriott over the Ritz Carlton if the rate were half as much. Anything higher than that and I would suggest that you should just head to the Ritz where you will have a far more enjoyable stay!	
Sep 18 2006 	Unlike a NYC hotel	Large rooms, comfortable beds, quiet A/C unit, great views ,local markets and ma&amp;pa eateries nearby made this an exceptional value. The only negative was that the trains don't run on weekends because of local construction, so you have to hoof it alittle, and the Starbucks on the property don't take Starbuck cards. Roys on the Labor Day weekend was OK.	
