	good for leisure great location at a reasonable price	Room was clean and pretty big for NYC standards, TV, hair dryer, additional blankets and all first necessities were available. Only negative note: we saw several reception staff, friendly and not, but generally not prepared to give information of any sort. Overall if your purpose is tourism and your main need is a reasonable but confy room, then you're in the right place.	
Mar 27 2007 	Fantastic value great location	Just visited New York for 5 nights, primarily to attend Elton John's 60th birthday concert, but also for the usual sight-seeing and socialising.Stayed here for 5 nights with two friends in a two bed suite on the top floor. The hotel is very conveniently located 5 minutes from Grand Central Station. It has all you need close by: supermarket, internet access (next door), several diners, bars, restaurants all within a couple of minutes. Very handy also for the subway.The suite was extremely spacious and the bedrooms both had 2 double beds. The lounge /dining area was large and great for a late afternoon/early evening chill in between all the sight-seeing and eating out! There were two bathrooms, both with showers and masses and masses of storage.The only problems we encountered were one of the showers had no pressure and a heater was blowing cold. Both of these were rectified immediately we reported them and we could not have asked for more. The staff without exception, were very friendly and helpful. There is a little traffic noise but to be honest where in NY isn't there traffic noise? You quickly get used to it and it certainly didn't effect our sleep.The decor was a little dated, but we weren't there to carry out a critique of US tastes in wallpaper! We all agreed that any further visits to New York would include a stay here, it's tremendous value for money (each couple paid around $1450 inc taxes for 5 nights). I can highly recommend the Murray Hill East Hotel to anyone wanting a short stay bolt hole for a great price.Also, try a visit to the Russian Tea Rooms adjacent to Carnegie Hall for a special night out, but you must book. A bottle of wine from their world class wine list range from £30-£3000! The Boathouse on Central Park Lake is also a great venue, very very romantic! . Closer at hand, try Sams, a little Italian opposite the hotel.Another first for us on this trip was a visit to the observatory at the top of the Rockefeller Centre. Massive queues at the Empire State (2hours), hardly any at the RC and I think the experience is better. More centrally located so better views, especially of Central Park. No irritating grating to look through just clear glass panels, and something you could never get from the ESB..... a fantastic view of the ESB from 70 stories up!!A fantastic trip which was enhanced by the accommodation, and of course by the concert which was 3 and a half hours of amazing music. A great time was had by all.	
Mar 23 2007 	Great location--budget prices	Great place for the price! A friend and I stayed at the Murray Hill East Suites for three nights during our spring break (Mar. 12-15), and could not have been happier. Well, that's not exactly true: we would have been happier if the walls weren't QUITE so thin and if the shower would have run at a consistent temperature. BUT--for a midtown hotel, the price could NOT be beat! The staff were also friendly. I'd stay here again with no hesitation.	
Mar 19 2007 	"We'd Stay Here Again!"	We just came back from a fantastic week in NY--what a great place for 2 moms &amp; 2 daughters celebrating Spring Break in NY to stay ! I read lots of reviews on this site before booking our hotel &amp; I'm glad I did. For us, this was a perfect choice--because of the reasonable rates, we had plenty of money left for shopping. We loved the spaciousness of our 1 bedroom suite--lots of room for all of our clothes &amp; shoes, etc. The location was great--very quiet &amp; in a nice neighborhood where we felt quite safe. We walked to the corner for the best bagels &amp; cream cheese every morning on our way to Grand Central Station. We picked up snacks &amp; bottled water at the corner store on our way back every nite. Several other restaurants &amp; a delicious deli were in walking distance. We didn't really use the kitchen--just the refrigerator! The staff helped point us in the right direction when we needed to know the best way to head off on our next adventure. We appreciated the cleanliness and excellent maid service every day. Who cares if the bedspread wasn't one we'd have picked out! We'll stay here next time for sure!	
Mar 17 2007 	great palce to stay	place was a bit dated, but the staff was courteous and helpful. The location is terrific, a bit offf the beaten path, but 3 blocks from Grand Central which is magnificent in itself and can get you anywhere in the city. Also near NY public libray which was unbelievable, MUST SEE inside, near Empire State and stops on Grey bus line hop on/off.Great value for money in NYC, has a little kitchen was silverware, glasses bowls ect with a fridge, many little grocery store around to stock up.	
Mar 16 2007 	Ok but Beware of Exra Charges!	The hotel was all right for New York standards... However, my sister had rashes after sitting on the couch (may be dustmites). Our family stayed there for 7 nights this past winter. Upon arrival, we were told that we had to pay 85$ a night as we had four people in the party instead of 2, that was an extra $600!!! We could have stayed at a much nicer hotel for the price, but since it was non-refundable, we continued to stay there. The manager was just simply rude. However, the doorman, the accountant and other staff were all right. So just a reminder: if you have more than 2 people in your party, note it down in the reservation to avoid extra charges! Or try to find a hotel that wouldn't charge you so much more!	
Mar 15 2007	Good Murray Hill Experience	I just finished 5 nights at Murray HIll East Suites. The location is fantastic, it is super easy to get anywhere from Grand Central. The gourmet market around the corner is super. The lack of internet access was a real pain, you can get a signal from Kinko's next door in the lobby sometimes and pay with your credit card to surf, but I ended up going to the Apple store at 59th and 5th for free access. The staff was hot and cold, sometimes modestly helpful but often dis-interested &amp; stand-offish. The rooms are super big, very firm beds, I had to buy my own pillow at Macy's, their pillows really bite, esp. now that premium hotels have such a nice selection and we are spoiled. I think this was the loudest hotel I have used in NYC, even at night there seemed to be constant noise out front, in part because there is a steel plate covering a hole in the street that makes a racket every time someone drives over it but earplugs settled that problem.So every hotel has its ups and downs but I liked MHES overall and would stay again, but only if it is mainly for the rate, which was the case this time. But it is sad when $250/nt is a &quot;good rate&quot;, I'm not sure how much longer I will be able to afford NYC.	
Mar 6 2007 	Great deal for the money	I have stayed at the Murray Hill East twice this past year and each time has been a very good experience. The staff is helpful and caring. The rooms are big and clean. Each room has a small kitchen. You never know what you may get as far as a room in NYC and I have never been disappointed in a room at the Murray Hill. Very safe and nice neighborhood. You can always get a cab on Third Ave. Only $25 per night to park your car at their garage. Walking distance to Times Sq, and Empire State building.	
Feb 20 2007 	Overall not bad but I don't need to go back.	I tried this hotel over the President's Day Weekend with my family. Staff was polite but seemed disinterested in what they were doing. Hotel's location was great but the room was not what I expected for a &quot;suite.&quot; Sofa bed was in terrible shape to the point that my son did not want to sleep on it and chose to close the bed and sleep on the sofa. This is an older building and like many other reviews, the decor is outdated but that had no influence on my opinion of the room. I actually found the building rather charming. This is a good traveler's hotel, if you are looking for somewhere just to sleep between trips out into the city. There is a little kitchen with a stove and fridge that we did not use so I cannot comment on how well they worked. I didn't dislike the hotel, I have stayed in better in for around the same price.	
Feb 15 2007	Older but convenient and very spacious	We were hard pressed to find a hotel room in NYC on a December weekend, but this one wound up working out just fine. There were 4 of us for a girls/shopping weekend, so we wanted 2 double beds. Unfortunately none were available. There was a pull-out sofa, though. This hotel was an older apartment building converted to a hotel. The staff (particularly the door man) were very nice and accomodating. The room was quite large for NYC and had a little kitchen in it. I would stay there again as it is in a convenient area to most of the places you would want to hit in Manhattan.	
Jan 31 2007	Enjoyable stay--Exceptional value and location	We stayed at Murray Suites in mid January for a long week-end. The suite was huge (by NYC standards), clean and quiet. The bed was very comfortable. It was like having our own little NY apartment complete with small outdoor patio! Having lived in NY prior to relocation, being frequent travelers and visiting NYC many times in the last 10 years, we've seen our share of good and not-so good hotel rooms. In our opinion, the Murray Suites is an exceptional deal.We were very pleased with the amenities, the location and the overall value. Housekeeping was very thorough and all the reception staff were great, and helped us find a great 24 hour deli when we arrived at 1 a.m. Ditto with helping us get an early cab to the airport. As noted by an earlier reviewer, the decor is a bit dated (think 1990s Bombay catalog) but that is a minor detail when you think of all the pluses. Would definately return here.	
Jan 27 2007	We would stay there again	We booked this hotel because of the favorable reviews on the Tripadvisor website and we were not disappointed. Our only awkward moment came when we checked in and were told that our confirmed $149/day rate was only for AAA members, which we weren't. But the hotel did accept our confirmation rate, which was good because the New York City hotel tax is an impressive 19% by now.We had a good-sized, comfortably furnished room on the ground floor with a queen bed, bathroom with bathtub, large closet with plenty of hangers, an iron and an ironing board, and a fully equipped kitchenette with complementary coffee, tea, creamer, and sugar. There is a large supermarket nearby where we could buy groceries and deli. There were also several coffee shops and restaurants. We could walk to Grand Central to the subway. The room was quiet and very clean. The staff was helpful. We would certainly stay there again.	
Jan 12 2007 	Great location lovely accomodation brilliant staff	Had a great time here in December 06. Fantastic location, near lots of shopping and nice places to eat. Rooms were lovely and we got a free upgrade when we arrived! Very reasonable priced and the staff were so accomodating. I'll definety be staying here on my next visit to NY.	
Jan 5 2007 	Excellent Location and great value	5 of us traveled to New York at the start of December and stayed in the Murray Hill Suites. We had a 1 bed suite and all we can say was that it was excellent. There was plenty of room of all 5 of us with 2 Double beds in the Bedroom and a double sofa bed in the Living room. It was great to have the kitchen so that you could make a cup of tea or even eat in as we did one night. The location was excellent with a shop on the corner that sold everything and a Starbucks just around the corner. Also Grand Central was just a stroll away so you were only a train ride from everywhere. If you wanted to walk around Time Square was only about 15 mins and you wouldnt even notice the walk because there was so much to see. I have stayed in Hotels in New York before and this was far superior. I would recommend Murray Hill to anyone.	
Jan 5 2007 	Good Value and Central	Myself and two friends had the pleasure of staying in the Murray Hill Suites during the New Year celebrations. We found the accomodation to be just what we were looking for, central, value for money and comfortable. The reception staff were very welcoming and accomodating, while housekeeping ensured our one bedroom apartment was clean every day.Within easy walking distance of the Empire State Building, Herald Square, Times Square and Fifth Avenue, the suites were ideally located for us to view the city without any problems. On a downside, on one occasion we had the misfortune to be left waiting for the elevator for 20 minutes. Only a minor detail and I would recommend the Murrary Hill Suites to anyone.	
Jan 1 2007 	Overall Good Value: Lots of Space Outdated Decor	Many thanks to those who previously wrote reviews - they helped me decide to stay here in December, 2006.The Murray Hill East Suites is located in easy walking distance to Grand Central Terminal (the 4, 5, and 6 subway lines) and is not far from Bryant Park (the B, D, F, and V lines). We had a one bedroom suite with a sofabed in the living room and king bed in the bedroom. TVs in both rooms. There was a full kitchen (refrigerator, stove/range, diswasher, coffee maker, pots and pans, dishes, silverware). Bathroom was not large, but still a decent size. It was obviously an apartment at one time, and therefore, quite spacious for a hotel, particularly a NYC hotel. Decor was outdated, but furnishings were comfortable. Rooms facing 39th Street do get some street noise, so if that bothers you, bring earplugs or ask for a room at the back. Our room facing 39th St. had a good view of the Empire State Building; the bellman said some of the rooms in the back had Chrysler building views. There are rooms on the ground floor; I would not have wanted to be in one of them. We found the front desk and bellman/doorman to be helpful and pleasant. The sofa bed was not made up when we got there, but housekeeping brought linens and towels in about 30 minutes.If you're looking for concierge service, on-premise restaurant or bar, room-service, spa facilties, or luxury, this is not the hotel for you. If you don't need those things, but are looking for comfortable surroundings with a large amount of space at a reasonable price, then consider this hotel. It is a good value (and above average) for the moderate-hotel level.	
Dec 18 2006 	fantastic find in the middle of Manhattan	I spent 5 nights at Murray Hill Suites in December and was extremely impressed with the whole set up. I initially thought of an apartment/suite as it was a cheaper option to a hotel room in Manhattan in December but on reflection this was a better option all round; the room was huge (bigger than my apartment when I used to live in NY), couch and chair, dining table and chairs, loads of closet space and a small but serviceable kitchenette which was well stocked with utensils. The bathroom was small but tidy and well maintained. From the moment I arrived (very late on a Fri night) to when I checked out the following Wednesday I found all the staff (concierge, reception and housekeeping) to be extremely friendly and helpful. The room was quiet. I've read that people find the front facing rooms noisy - I was facing the front, 39th St - but for the middle of New York City I have to say the noise was minimal. I also liked the huge windows providing lots of natural light. There are delis and a liquor store just a block away and its perfect for walking to Grand Central. I can't recommend this place highly enough and I will be making this my first choice for future trips to NY.	
Dec 13 2006 	Great location - easy walking	Four of us (2 couples) stayed in studio suites 1004 and 1001 from the 7th to the 10th December. The total cost including (lots of different) taxes was 693USD per studio for 3 nights. The rooms were big and comfortable with a small kitchen (no microwave), large double bed and a pull out bed/sofa. The decor, though not '5 star hotel' was perfectly acceptable.It was our first time in NY, and we loved the prime location which was withing easy walking distance of Empire State and Macys (about 10 mins), Fifth Avenue (7 mins), Grand Central Station (10 mins), Rockefellar Centre (15 mins), Times Square/Broadway (15mins) and Central Park (25 mins). We never needed to use a cab, just as well, as these were quite difficult to get.There were plenty of supermarket shops and diners within 5 minutes walk in any direction.Considering the crazy cost of hotels in the area, at this time of the year, the Murray Hill East suites were great value and in my opinion the suite was much more spacious and suitable than a hotel room (of variable quality).One slight downside was the surprising lack of internet access, though Kinkos is just on the corner 2 minutes away.We were delighted with MHS and will definitely return in 2007.	
Dec 7 2006 	Loved Murray Hill Suites	Group of three ladies stayed here for 5 nights over Thanksgiving 06. I have been to NYC on several occasions, and stayed in various hotels. I decided on the apartment option as I felt I would get more space for my money, and that we did. Very spacious one bedroom apartment.$300 per night for the three of us, which was really good, For all intent and purposes the property is a hotel, with hotel check - in, concierge and daily cleaning and maid service. I would agree with other reviews that the furniture was a little dated, but functional.We had a very well equiped kitchen which was fab for storing juice and snacks. Each day our room was cleaned, towels changed and any dishes put in the dishwasher. The staff were friendly which was nice. Any requests were dealt with promptly. I booked apartment through www.apartments2book.com and the service was very professional, I would not hesitate to book with them and stay at this property again.The area is very nice, quiet around corner is grand central and the chrysler building. Excellent supermarket around corner, diner on opposite street and internet cafe on the other corner.	
Nov 21 2006 	I love NY	This was my 2nd trip to New York and was aware that accomodation does not come cheap in Manhattan. The 1st time i was backpacking with a girlfriend in 2001 and stayed at the Vanderbilt YMCA which is also in the same neighbourhood as the Murray Hill Suites. This time i was travelling with a husband and 10 month old in tow so the Vanderbilt wasn't going to make the grade this time. Murray Hill Suites is not a hotel, it is serviced short-stay apartments, the rooms consist of a kitchenette (fridge, kettle, stove/oven and utensils), dining table, lounge area, bathroom, 2 BIR, bed and bathroom. Some other reviewers have complained of no room-service, but why stay in a room with a kitchenette if you expect room service? We ate out most of the time but had late nite snacks and breakfast in our room. The doorman is absent frequently, either this is not a full-time service or he is attending to other doorman business, this did not bother me as i'm happy to open the door myself if need be, and there was always someone to help with luggage if required.The Suites are in a good location for tourists, on 39th between Lexington and i think 3rd), if you need groceries go down 3rd as there as there is supermarket almost every block. There is no cafe in the Suites but there is a diner, on the corner, Starbucks on the corner and an Au Bon Pain on 3rd. Grand Central is nearby which is where we would walk to most days if we were taking the Subway anywhere.One weird thing, when we got into our room the 1st tme the pillows on the bed were all messed up , either they had just been thrown on my the cleaner or (my paranoia here) someone had been using the bed. Then the next daythe doorman randomly walked into our room without knocking and seeming suprised to see us in there he asked us if we had requested to move rooms. From then on though it was all normal and there is a roomsafe if you are concerned about valuables.We had a room overlooking the street and the bed was right near the window, so the traffic outside did sound as the we had left all the windows open but it wasn't too distracting. I was not aware of the doggy day care near by so this was not a factor for us. I think the Suites offer value for money as manhattan accomodation is not cheap and is especially ideal if you are after a place where you can make breakfast/snacks, store drinks etc to save some money. For 6 nights we paid gross $1400 or $1900AUD.	
Nov 14 2006	wonderful location decor a little dated	The staff were most accomodating. I arrived early and was able to check in before the published time of 3 pm. The decor is a little dated, however the room was clean.There was not a 24 hour doorman as I had expected. Overall, I think that it represents a good value, if you don't require a lot of services and aren't offended by the older decor, I would highly recommend it.	
Nov 13 2006 	Not excellent for the wired business traveller	UPSIDES-------------The Murray Hill Suites was in a good area (39 and Lexington). Lots of reasonable restaurants nearby. Even a market around the corner which is handy with a small kitchenette in the room.The room was good sized junior suite. There was a table and chairs - small kitchen area, sofa and bed nook - small bathroom - but modern with good water pressure etc. Good closet space with a small in room safe (not suitable for a laptop).The hotel also provided basic toiletries.If you are looking for a central location with some good space and the downsides below don't bother you - this could be the place for you. Otherwise I would suggest you find some other location.DOWNSIDES------------------The walls were paper thin - so if you are not used to city noise, you may find it a challenge getting to sleep. Be sure to ask for even number rooms which face a courtyard (not 39th) which can be quite noisy. I was able to hear verbatim conversations that people were having in the hallway.Also, if you are looking for high speed connect, wifi in the rooms etc so that you can work in your room - forget it. They told me they have modem - but the only phone in the room is next to the bed with a small cord - so I guess you are working in bed with an awful connection.Basically for the modern business traveller - this is not the place for you. Also, if you are expecting to order room service while you work - forget it - no room service offered. You will need to go around the corner and get take out.The hotel was clean - but quite old looking, they actually have keys in slots and most of their recordkeeping seems to be done manually. The first clerk I had was not too friendly and kept me waiting while he put papers in the slots. The second clerk however was very friendly and professional.Just as a comment - I actually left this hotel before my intended departure. I had to have my travel agent put me somewhere more in line with a business class hotel.FINAL COMMENTS-------------------------It was an okay hotel - but not for the &quot;wired&quot; traveller. I must note that I was able to get a room for less that had the amenities I was looking for.	
Nov 8 2006 	Excellent for business traveller	I've stayed here a few times over the years.Don't expect a full-service hotel. That's not what this is. These are excellent short-term serviced apartments though.If you need a base in NYC for a few days, or even a couple of weeks, they're clean, safe and well maintained. I've always had a very large room and a small kitchen, which means I've been able to fix my own breakfast before heading out in the morning.There are ample delis, a Kinkos and Grand Central just around the corner. I've found the staff to be helpful, but not overly outgoing. There's no bar or restaurant - if you're looking for somewhere practical it's a great place to stay.	
Oct 29 2006 	A great family place for convenience	We chose this location after doing much research here on Tripadvisor forums. The price for #9 Murray Hill East was half the cost of a tiny NYC hotel room. It was a 3 room apartment with room enough to sleep our family comfortably. We love having the space and the location was great for all of the normal NYC activities. We liked the 24 hour diner, Scotty's, a few steps away. It was mostly quiet and even sleeping with our windows open, the street noise wasn't too distracting. The decor, as other's have mentioned is outdated but the place is clean and is well-maintained daily. The king bed in the bedroom was extremely comfy as were the pillows. I've since ordered my own Fossfill pillows for home(yes, I looked at the tags; no, I didn't steal any pillows!) We would definately stay here again. Beats, being cramped in a small hotel room with kids anyday!	
Oct 29 2006	Good location for the longer-term tourist	There is a lot going for the Murray Hill Suites—excellent location near Grand Central Station and recent conversion from apartment building to hotel. This means that each guest has a living room area, kitchen, dining space, desk, and sleeping space rather than just a bed and a chair. For more than a few days, the size makes a real difference. The suites are also very attractively decorated. I had the impression, however, that once the conversion was completed, the hotel is operating on automatic pilot. The people at the desk were pleasant but not very professional (to be fair, one person was new in the job and didn’t know much about the computer system). Internet access consisted of dial-up service in the rooms (which only means that you can use the telephone—does anyone do that anymore?) and wireless in the lobby (which meant “see if you can connect to someone in the neighborhood” since the hotel didn’t provide anything itself.) I ended up going to the Kinko’s on the corner and paying for email service. For more than $300 per night, I had expected more sophistication.People who might spend time in the room during the day should know that there is a doggie day care center nearby. The dogs start barking when they arrive around 8:00am and end when their owners pick them up between 6:00pm and 7:00pm. It’s not a problem unless you want to take an afternoon nap.I would recommend this hotel for leisure travelers who want a comfortable base for sightseeing, but if you should not expect any services once you arrive.	
Oct 12 2006 	Loved Murray Hill East	Just returned from a wonderful visit to New York City. Stayed in the Murray Hill East Suites. We (two women, 4 girls ages 16, 12, 6 and 5) stayed in a one bedroom suite. We had plenty of room compared to other New York City hotels. The bedroom had two double beds and the sofa made into a queen sized bed. Like the other reviews found some of the furniture to be worn. Our room could have used new mattresses and bed spreads. The rest of the place was just fine. We didn't spend much time in room anyway. The location was great. It was quiet and in a great neighborhood. Grocer on corner. I'm sure he is going to miss us stopping in every day to purchase powdered donuts and chocolate milk. The kitchen was nice to have. Heated up left overs. Thought that the employees were extremely friendly and eager to help us with any questions or request that we had. We had a ball going to Grand Central Station to catch the subway. We got pretty good at it too. It was just a couple of blocks up the street. Scotty's diner around the corner has great food. We just had a great time. Can't wait to stay there again when we come back to NYC. Oh, we had a room on front of building and could see the Empire State Building.	
Sep 25 2006	Absolutely loved it	When we arrived,they gave us an upgrade to a 1 bedroom suite for only $2 extra/night.Which was great considering ther was only us 2 females and we could have literally slept 6 people in the room.The price was great, the location was great ,the rooms were always clean and we were able to save ourselves a great deal of money by having the kitchen.We cooked for ourselves most of the time...which gave us more of our budget for....shopping!!No complaints at all and would definately stay there again if we could get the same price.	
Sep 20 2006 	Great Place to stay	I just got back from a trip to New York where I stayed at the Murray Hill East Suites.The hotel is right in the middle of everything...Grand Central Station, the Empire State Building, Times Square are all within walking distance for those of you who like to walk.The room was cleanThe staff was friendlyAnd it was one of the less expensive hotels in Manhattan...where everything is expensive anyway.I stayed there because I didn't want to have to take a taxi everywhere I went so I thought something centrally located would be good.But I got to know the subway system quickly and if I had to do it all over again, I'd probably stay somewhere cheaper in Brooklyn and just take the Subway into the center of town. Subways runs round the clock and can get you almost anywhere you need to go. Plus New York is a pretty safe city	
Aug 23 2006 	Ideal choice for a family	Our family of 4 just returned from a 5-night stay at Murray Hill East Suites. It was exactly as I had expected and worked extremely well for us. As previous posters have mentioned, the furniture is a little worn and dated, but everything was very comfortable and the suite was surprisingly spacious for Manhattan. We had 1 bedroom with 2 double beds, a sofa bed in the living room, full kitchen and dining area. Times Square was only 10-15 minutes walk, and Grand Central Station was very nearby. There was a supermarket just around the corner, where we were able to purchase juice, cereal, milk and snacks, essential with a hungry teenager in the group!The staff was very courteous and requests for extra towels and kitchen utensils were met promptly.I wouldn't hesitate to stay there again. And the price was unbeatable too!	
Aug 21 2006	Loved it!	We stayed at East 39th Street Murray Hill East Suites in Dec 05 and absolutely loved the place. It is very much a SELF CATERING affair and we knew this before staying, however kitchenette was well stocked and the living room and bedroom were big enough for 4 adults to stay without falling over each other. We spent the 4 days walking all over Manhattan and can honestly say that the room was clean, warm, quiet and the best place we could be for what we wanted for our first visit. If you want to be fussed over go to a hotel where your meals are provided and everything catered for. If you want to eat out and get a feel for New York stay here. Definitely a great choice and cannot fault the staff or the room. Would definitely stay there again.	
Jul 7 2006	Good place for the price	We stayed in this hotel for a three/four day stay. It is a little off the beaten path, but in NYC you have to walk a lot or take taxies and we did both. To get to the theatre district/restaurant area was only $6.00 and the subway and Grand Central Station was only 5 blocks away. We never felt unsafe and the area is fine. the room was clean, a bit worn, be we paid under $250 for a one bedroom that slept 4 people and was fairly quiet. The sirens were not too close. There was only one TV in the LR, but we were never in the room that much to need it. The cable was not the best, some channels were scrambled, but again no big deal, were were there for sleeping and showering. Got extra towels when requested and maid wervice was fine.	
Jul 6 2006	worst staff ever	room was larger than expected, but definitely more of a 1-star after the service we recieved. One of the guests in our party had left a shirt behind in the bathroom, however when we called back the next day we were informed by thier housekeeping staff that nothing was found in the room.	
Jul 2 2006	Good Place If You Don't Have to Be Catered To	We just returned from NYC and stayed for 3 nights at the Murray Hill Suites. All in all, it is a very good place to stay if you are just regular folks who don't require a lot of special attention and want a clean hotel room that is conveniently located in New York City. Our room was on the 9th floor, and was equipped with a small kitchen with a refrigerator which allowed us to buy some groceries to eat in the room. The room was clean. The air conditioner worked fine, although I'm not sure if it would suffice in 100 degree weather (it was in the mid 70's and lower 80's during our stay). The curtains cover the air conditioner, which is a bit strange, but you can just shut the blinds and leave the curtains open, giving you the full air conditioning benefit which you will probably need, as New York is quite humid at times. The bathroom towels were a little worn, but everything was clean and maid service did a good job every day in washing our dishes, replacing our towels, etc. All of the hotel employees were courteous. The exercise room, although small, was nice, and overall it was just a fine place to stay. The rooms were quiet until the last night when the &quot;Loud Family&quot; moved next door to us. They had a kid who hollered at the top of his/her voice and they acted as if they were the only ones on the floor. But when these outbursts happened, they were quelled fairly quickly (I don't know if there were complaints from other patrons or what, but one minute all hell would break loose, then 2 minutes later , all was dead quiet, and stayed that way, until the next outburst which could come hours later.) You could also hear conversation quite clearly from another room through the air grate in the bathroom at times, but since we weren't spending a lot of time in our room, instead preferring to explore NYC, it was not a major problem. My wife gets a discount from her job at American Airlines, so the price was $119 a night + tax, which is great for New York City. We will stay there again.	
Jun 6 2006	Perfect Place to Stay!!	I just stayed at the Murray Hill East Suites on East 39th and Lexington in NYC. I was amazed, this suite cost me $ 170.00 for one night and the place was amazing. The room was huge for a NYC hotel, the beds were clean and comfortable, there was a nice firm loveseat in the room, and a small, but totally functional kitchenette. The kitchenette was clean and totally stocked - plates, cups, wine glasses, silverware, pots and pans, dish drainer, and dish cloth. The bathrooms were small, but totally workable and clean - huge shower. Everything was clean and tidy.The staff were great - and with such a small number of staff members - the staff really got to know the people staying. There was a small, but nice gym in the basement. This hotel is in a mostly residential neighborhood, so the noise level was minimal. There are a number of great and cheap restaurants on either 3rd or Lexington along with a reasonably priced grocery mart on the corner. Since this hotel is a suite - there was a lot of families staying and the noise level in the early evening was sometimes above average - but the place was silent by 7 pm most of the time. The furniture in the suite has been well used, however it made the place feel more like being at home than at a hotel. This hotel is not for anyone who wants the $ 500 a night NYC hotel experience, however if you want a clean, comfortable, and good priced place to relax - this is the place to go!	
Jun 3 2006	Great room great location	My daughter and I stayed at Murray Hill East for three nights and had a wonderful experience. The room was huge and clean. Having a small fridge and kitchenette was very convenient for restaurant left overs. The large closets eliminated room clutter. At the end of each day we looked forward to returning to our room after a busy day of sight seeing. There was street noise which can't be too unusual in New York but not enough to keep us awake. I can't comment much on the staff because we never had any need to involve them because we never had a problem. The location was very convenient with a short walk to Grand Central Station. We had a wonderful experience and already plan to return to this hotel when we return to New York.	
May 8 2006 	Terrible Cooling Problems	So here I am, at the Murray Hill Suites. It's a nice enough, although not luxury place. OK neighborhood. And they gave me a one-bedroom suite. But the room, the hallways and everything is about 90 degrees. I turned all the cooling units to air conditioning, left the suite for an hour or two, came back and still stifling. Asked downstairs. &quot;Oh, the cooling is set by the building, you can't change it&quot;. &quot;But it's boiling up here&quot;, said I. &quot;Open the Windows&quot;, suggested the clerk. &quot;They were open when I got here and it was stifling&quot;, said I.&quot;Well, all we can do is give you a fan&quot;, said the unhelpful clerk. So here I am. Sweating my *** off. I'm spending $300 bucks a night for a room with no air conditioning, and it's hotter than the inside of a NY nightclub on a Saturday night. My advice: If you can endure hot temperatures, c'mon in, the water's fine. But if you expect a little, well, climate control for your $300 nightly fee, look elsewhere. What a shame.	
Apr 29 2006	Good value for NYC	Two women stayed here for five days through a Hotels.com booking (159/night for the junior suite). Staff was helpful and there was even a room ready at noon when we got there. Other reviewers are correct that the rooms need updating but they are spacious and comfortable. The towels however really need to be replaced. If you are a stickler for fluffy towles you may want to bring your own. The staff kept the room clean and even washed our dishes we had left in the sink to do later. The location is great, buses run on both Lexington and Third and Grand Central is only four blocks. Although on 39th we had no problem with noise. We also used the fridge and the stove to reheat some leftovers, which was a bonus if traveling on a budget. If you are not looking for a five star hotel but something comfortable and convenient Murray Hill Suites works well and I would not hesitate to book there again.	
Apr 28 2006 	needs lots of work	We waited 30 mins for the chamber maid to start/finish the room - she saw us waiting in the hall and still took her sweet time. The carpet had stains in it, the kitchen was clean, the beds had bed bugs, the windows weren't as well insulated as one would hope, the walls are thin. The bathroom was newly renovated but very small, you could barely turn around full circle. The front desk people weren't that friendly, no one made eye contact and generally didn't offer to help us - even if you were perusing a map for 10 minutes in front of them. They were just a bit too lazy or didn't care - just did their jobs to the minumum. It's not a bad place to stay, just a bit dark and run down. I'm sure it's a great deal for a family since they can cook lots of meals and feel at home. But if you're single or married - there are much more relaxing or exciting places in NYC to spend your time in.	
Apr 28 2006	Nice Room Great Price Great Location	We got a good deal through Priceline and didn't know what to expect. The staff were friendly and helpful. They would hail a cab for us when we needed it, which was helpful during rush hour and peak times. The room was clean and quiet. The suite was nice so when my fiancee wanted to go to bed early and I wanted to still watch a late game, we both could do what we wanted. The location was great....short cab rides to many attractions and walking distance to Grand Central and the subway. Highly recommended for travellers on a budget.	
Apr 26 2006 	Bad Experience	Rooms need remodeling. During the week is very noisy if you are trying to get some sleep. The gentlemen who works nights in front desk as customer service needs intensive training. He definitely doesn't know how to treat guest.	
Mar 24 2006 	ok once finally in room	i got to the murray early room was not available yet. i waited 30 min after check in time . room still wasnt ready. 20 min later front desk gave me a key and said go and check if room is ready it was not ready! i finally asked for an upgrade. luckly this room was ready. once i got in my room which was a jr. suit i was very happy with the room. It was very very large compared to the rooms ive stayed in at the raddison lex. very clean. now check out day was not that great. im from orlando so im not use to whistling at cabs. and when i come to new york usualy someone who works at the hotel helps me catch a cab. the door man told me where I could catch a cab. after 5 cabs passesd me i went back to the hotel to complain. the doorman was asked to catch me a cab. and I made it to airport by a hair.	
