	Small modern quiet rooms but awesome location	My hubby and I took advantage of his miles for a night away from the kids. The location is amazing right in the middle of 5th ave shopping, tons of restaurants, and walking distance to many areas if u enjoy walking that is, hello this is NYC.The rooms r small no doubt about it but they r very modern, clean, and quiet. U can hear people in the hallways.I have seen rooms in fancy NYC hotels that r rundown and noisy so this is bliss. The staff r very nice. There is parking at a indoor lot (right side) on 46th between 5th and 6th ave which u can get a discount from staying at the hotel.	
Mar 12 2008 	Fantastic Hotel - Perfect Location	We visited New York for a week at the beginning of March 2008 and booked this hotel after reading the good reviews on Tripadvisor and we are extremely glad we did.We were so impressed with this hotel and have already recommended it to everyone we know who may travel to New York. It is ideally located for all the sights, we couldn't believe just how close to Times Square we were.Our room was comfortable and was cleaned every day with fresh towels and bedding. There is a complimentary breakfast each morning with lots of choice. There is free wifi access and the hotel provides two computers with free online access for all its guests to use which came in very handy for keeping in touch with people at home via email.The staff are extremely polite and very helpful and approachable. They organised a taxi for us to the airport for our journey home.All this at a very affordable price per night. If we were to return, we wouldn't hesitate to stay here again.	
Mar 6 2008 	Tiny rooms - could barely walk by the beds	I amazed that this hotel received such a high rating. The room was tiny - barely room to walk by the end of the beds. Nowhere to put luggage, a 5&quot; wide night table between the beds.The breakfast selection was good, but the room was jammed in next to the reception desk, and was cold - the outside door to the hotel was open.The hotel was clean and the staff helpful.	
Mar 2 2008 	One bedroom suites are good	We stayed in a one bedroom suite at the Holiday Inn Express 5th Avenue and found having a separate living area (with sofa bed) excellent. The bathroom was small, but functional. The room was at the back of the hotel, so quiet - which is unusual in NY. As other reviews comment, you cannot beat the location - and especially if you are in NY in winter you will be pleased that so much is within easy walking distance. The breakfasts in the lobby are bountiful, and prepared by staff who take care. We would highly recommend staying at this hotel if visiting NY for a few days - as you will make the most of every day!	
Feb 20 2008	Excellent location and helpful staff.	This was our first time in New York and this was an excellent location - on 45th Street between 5th and 6th Avenues. We felt safe walking the streets in the area at night time. Walking distance to Times Square, Empire State Building, Rockefeller Centre. We also walked from the hotel to Central Park, Bloomingdales and Macys. The rooms are typical Holiday Inn Express - Small, but clean and comfortable. The lifts were quick and we were never delayed. We had no problems with the complimentary breakfast or the seating (eventhough the area was small). The staff were always very friendly and helpful. There is a pizza/korean takeaway across the road from the hotel if you are too tired to go out for the night and you want to bring food back to the room (it also sells bottles of wine). We had flown from Ireland to JFK and used Airlink (www.airlinknyc.com) for transport to the hotel from JFK Airport (they collected us on a bus from the airport to Central Station where they used minibuses to take us to our hotel, they also collected us from the hotel to the airport, without any problems). Just one thing we found was that while children under 12 years are free on the bigger Airlink buses they are not free on the smaller Airlink minibus which return you to the airport, but the driver would not charge us the fee for our daughter. We will stay at this hotel again on our next trip to NYC and we will also use Airlink for transport to/from the airport. We booked the Airlink just outside the door of JFK Airport and the rooms we booked on holiday-inn.com	
Feb 19 2008 	Great accommodation great location highly recommended	My boyfriend and I chose this hotel based on the reviews it had got here on Trip Advisor, from all the hotels we had read reviews for, this always seemed to have far more good reviews then bad. We went for a 5 night stay over Valentines and booked our trip through BA.com. This hotel and accommodation is very good value for money, its location is fantastic! The rooms were clean, tidy and were cleaned and had fresh linen every day. The lobby for breakfast was small and we didn't use it as there are two Starbucks within 2 mins from the hotel which we chose to use!! The location is unbeatable, its mins from Times Square, Rockafellar Plaza, Radio City Music Hall, Grand Central Terminal, Empire State Building to name but a few. The only time we used the subway was to go to Brooklyn so we could walk back across the bridge. We walked to Central Park from the hotel also and that took about 20-30 mins but its a fab walk along Fifth Ave past all the fab shops and you don't even notice the time! If you are not fussed about having 5 star luxury and want a hotel that is good value for money, clean, tidy, comfortable, friendly and mins away from all the sights then I would recommend this hotel with no hesitation.	
Feb 13 2008	Great Hotel for location and clean rooms	This hotel is in a great location, just off 5th ave and 2 blocks from time square. The hotel is very clean and tidy and the breakfast is great although not alot of space to eat. Staff were friendly and attentive. Rooms were very clean and not as small as I thought they would be.	
Feb 7 2008	Very good location	Stayed December 5 to 12th 2007From: Sydney AustraliaVery close to Times Square and a walk to everywhere. Very busy with Christmas shoppers. Did not have breakfast their as only very sweet and fattening things available. Could do with boiled eggs as some other Holiday Inn Express have. Across the street very close to places to have breakfast . Very good restaurants in street for dinner as well (right next door). Room was small supposed to be king bed but in width ok in depth cut off too short (obviously to fit in room) our feet hung over end of bed if you stretched out and I am only 5'2&quot; tall. Some desk reception people need to be more friendly and helpful. Asked about arranging a broadway show (were not helpful to us) When leaving we asked reception to get us a car to travel to airport - after about 2 hours we got one - never been so frightened in travelling in my life (private hire car and way too fast). Do your own hiring of cars. Also not one person from reception asked if we enjoyed our stay at end of 7 days - Also airconditioning outside motor in next door offices very noisy during week days - ok weekends as is turned off. Made the walls vibrate and had to wear ear plugs This should and could be fixed by office owners next door. Overall close to everything and very clean.	
Jan 29 2008 	Good location no problems	The 5th Ave. HIE is a perfectly decent midpriced property on 45th just off 5th Ave., walking distance from Times Square and Rockefeller Center. The small front desk was always busy when I was there and check-in took a few minutes. At first I was told that my room wasn't ready (at 2 PM) but they went back, double-checked and found one. Friendly clerks; no mention of PL.You'll most likely need to use an elevator to and fro. There are two of them, and they work pretty quickly.The room layout (1502) was a little eccentric - when I opened the door it seemed like I was going straight into the bathroom. Only when I opened the door all the way did I see my way into the bedroom, which is compact but not too claustrophobic. The bed was softer than I usually get in hotels but I slept just fine. The TV had a zillion channels and I had to examine the guide pretty closely to find the one that matters to me, The Weather Channel (072, as I recall). The other things you expect at this comfort level - coffeemaker, iron, hair dryer, alarm - were all there. Ice machines are on floors 5, 10 &amp; 16.You might want to check to locations of the light switches, on walls and lamps, before you go out, because it took me some stumbling about to find them in the dark after returning from an evening out.The free continental breakfast is downstairs, 6-10 AM. In addition to the usual, they have prefab cheese omelets, which actually aren't bad. One table is always available because it's right next to that sliding front door and gets all the drafts, so dress appropriately.There's a business center with two computers in the basement, but no exercise room.	
Jan 15 2008 	Not bad for Manhattan	I have to class this hotel as the least worst hotel I have stayed in, in Manhattan. It's not cheap, at just under 300$, but then nothing is in Manhattan. The location is excellent, just off 5th Avenue and within walking distance of many sights and activities. The rooms are small but adequate and as you would expect from this chain, there's no charm anywhere in the hotel. However, all the functionality you need in the room is there. I was fortunately on the top floor and could see the sky from my window. The bathroom had a large shower, though on one day in my stay, they had a problem with hot water.Breakfast is included in the room rate and is served in the lobby. Again, it's functional, requiring minimal service, but it was fine with me. The free WiFi worked fine throughout the hotel and there's a small self-service business centre in the basement. Staff were pleasant and helpful.	
Jan 14 2008 	Super clean Ideal location Friendly staff	The Holiday Inn Express Fifth Avenue has the perfect location at a moderate-to-low price. We had a wonderful experience there and would be more than happy to return.I should say first that this is not the right hotel for everyone, so I will explain the drawbacks. In my opinion, they are too minor to matter. The rooms are small--no larger than a good sized bedroom in a private home. The shower is even tinier. There is no fitness room. Guests can use a gym around the corner, but it costs $15. And, as other reviews have mentioned, there is virtually no lobby. But the Holiday Inn Express is great on the important things. For starters, it is absolutely clean. If you know New York City hotels, that's not always the case in this price range. And the staff was helpful and friendly. In New York, that's not always the case at ANY price range. ;-) Breakfast is included, and it is real food. There are Items like eggs, sausage, and french toast along with the typical cereal/toast/juice/coffee. (I do wish they had better bagels. After all, this is New York.) A free computer and printer is available for guest use.Most of all, there is the location, which simply could not be improved. It is about mid-way between Grand Central Station (3 blocks south) and Times Square (2 blocks west). It is far enough from Times Square to be out of the noise and congestion, but it is literally less than a 5 minute walk to Broadway shows. Fifth Avenue is steps away, so the shops are also very close. If your idea of a good New York hotel means a uniformed doorman, concierge services, and a grand lobby like you see in old movies, this Holiday Inn Express is not for you. But you won't go wrong here if you are looking for clean rooms, well-managed staff, reasonable price and an ideal location. I'd stay here again in a heartbeat.	
Jan 8 2008 	Modern 	I booked direct with intercontinental which probably wasnt the smartest but i had to book in a hurry. I wanted somewhere close to times sq and a name brand hotel. The hotel itself is hidden away just off 5th ave. In summary:Good points: Great location, can be quite expensive and for the same money you could stay at higher star rated hotels but i guess they charge what they charge as its a newly refurbished hotel. Rooms are modern, LCD tv etc, nice shower, quick elevators.Staff ar every friendly as you would expect form an holiday inn. Breakfast was a nice variety of fruit/pastries/cerial.Bad points:its only a small thing but breakfast time gets quite cold down in the lobby as its only a small lobby with big doors and when someone comes in and out you do feel the cold!	
Jan 5 2008 	Great Location	We stayed at this hotel for 2 nights - Jan.2-Jan.4, 2008. The location is fantastic- esasy walk to Theatre District, Time Square, The Rock, Grand Central Station. The breakfast is fantastic- lots of selection. The Hotel rooms are very small but extremely clean. We booked one night through Priority Points and paid for the other night- quite reasonable for the holiday period- $266. Staff extremely helpful.	
Jan 1 2008 	Horrible stay small rooms	I booked this hotel through my priority points membership with Holiday Inn Express. I love there locations in New Hampshire. I think this will be my last time in New York City booking The Holiday Inn. The breakfast was very small but it was fairly good. The lobby was to small. You had to pay for soda or anything to drink. They offered free coffee, tea, or juice for breakfast. The staff was horrible. They were very rude and not polite. The manager almost overcharged me because he said I needed a government ID. I booked it through my priority card they hit the wrong key when they put my reservation in the computer.The rooms overall were very small. Hot water was horrible.I asked for more time in the morning to check-out they said, &quot;no&quot;.I have stayed in the Marriott Grand Marquez it's much better more family like. I like the algunquin as well.	
Dec 29 2007 	It's all about the LOCATION!	I booked two rooms here for one night. We took an overnight trip to NYC to see the Christmas decorations. We were delighted with the hotel's location! It was just two blocks away from The Rock and Saks. It was also within walking distance of Times Square and Central Park. The staff was very friendly! My children were each given candy canes when we checked in and every single time they walked by the front desk and smiled (much to their delight) We were able to get hot chocolate and coffee in the mid-afternoon too. The rooms were small but very clean. The only thing that bothered me was the fact that the window had a sheer curtain and only one very small section of drape so the room was pretty light all night. The drape did not cover more then 1/4 of the window. That was rather strange. The other room did not have a window so that was not a problem. Breakfast was good. We were down at 8:00 am and did not have trouble finding a table. It did fill up rather quickly after we were seated. There is a deli almost next door that offered a tasty and inexpensive lunch. Although we were able to get a taxi from Penn Station to the hotel, we were unable to get a taxi back to Penn. A very helpful staff member stood in the street for a good 20 minutes trying to hail us a cab but the taxi drivers only wanted to take trips to the airport. It was the Friday right before Christmas so I really should not have been surprised. It took us about 30 minutes to walk to Penn so that wasn't too bad. Of course the taxi issue was not something that the hotel could do anything about. They tried their best.	
Dec 20 2007 	great staff and location	My Wife and I stayed in NYC for a week in December to enjoy the broadway shows great restaurants and the shopping. We choose the Express By Holiday Inn due to location (close to Broadway and Times Square)and price (its cheap compared to some other hotels in the Times Square area). The Rooms are a decent size for NYC standards and are very clean. towels and bedding are spotless and changed whenever you want. A Tea and coffee making machine is most welcome in the room. The staff are very friendly and helpful. A complimentary buffet continental breakfast is served from 6am to 10 am everymorning in the lobby (if its too busy to get seats then they'll supply a tray to take anything you wish upto your room ...never actually happended to us...but it was sometimes busy) the quality of the breakfast is very good, yogurt fruit, cereals, toast, cinnamon buns,bagels,muffins with tea and coffee. We both enjoyed our stay in the Express By Holiday Inn and will probably book again next time we are in NYC.	
Dec 19 2007 	Not Up to Expectations	Very small rooms. The lobby was cramped by the breakfast area, however the breakfast provided was very good (good quality fruits, vegetables, yogurt, etc). The hotel lost a fax I received. The front desk staff had heavy accents that made it difficult to communicate. The hotel had only one (of two) elevators in service. This is a budget hotel with a great location. The criticisms in this review are constructive, not meant to degrade this property.	
Dec 12 2007 	Great Central Location	Stayed here from 30/11/07 to 4/12/07 with my wife and two children ( aged 27 &amp; 24 ) Had rooms next door to each other, 1 king size bed, 2 doubles. All bedding, towels and rooms in general were spotlessly clean. Rooms fairly quiet at night - very little street noise. Beds very comfortable. Breakfast of cereals, pastries, fruit juice, fruit, coffee plentifull. Staff very frendly and helpfull. Great location - easy walking distance to Times Square - 5mins, Great Central Station - 5 mins,Empire State - 10 mins, Rockafeller Centre - 10 mins. Would definetley recomend/ stay here again. Try it - you will not go wrong!	
Dec 10 2007 	Nice Hotel	Stayed here with mother, aunt, sister and cousin for our annual girl's shopping trip to NY from Nov 28 - December 1, 2007. This is the first time we stayed at the Holiday Inn Express and would definitely recommend it. The rooms were small but most of them are in NY. It was very clean and the staff was so friendly. We arrived early and stowed our bags with no problem and they had rooms waiting for us on our return later in the day. Have stayed at other hotels and this was not the case. I really liked the fact that they don't use bedspreads which made it feel cleaner. It also appeared that there were only six rooms on each floor and it was very quiet. The elevators were fast and ample size.Deli across the street for pop, pizza and very convenient to Fifth Ave and Times Square.Would definitely stay here again.	
Dec 10 2007 	Brilliant Location	Stayed here at the end of November with a group of 12. The location is superb and better than anywhere I have previously stayed in New York. The rooms are small but so are most in New York. Everything was spotlessly clean and the staff were all friendly and so helpful. We didn't intend taking the breakfast buffet but it was so good we ate there every day. I would definitely stay here again and would recommend it to anyone.	
Dec 5 2007 	Perfect Hotel for Location and Hospitality	The rooms are small, but you can't beat the location. In the 2 double-bed rooms, you can't share with another couple. It's way too small - maybe children. You can walk to Rockefeller Center; it's one block off from 5th avenue - many great stores! Good restaurants nearby are Emporium Brazil and Natsumi (authentic Japenese). The staff is wonderful; they will keep your luggage early in the day so you can hit the town running. Watch out for the desk staff trying to talk you into a car to take you back to the airport. The girl at the desk told us it would cost twice as much to take a taxi in the afternoon traffic. She offered to order a car which never came and the price suddenly went from $50 to $80. We had to scramble to get a ride back to the airport in a SUV cab(which ended up costing us only $30 plus tip! Except for our ending experience, everything was wonderful!	
Oct 29 2007 	great hotel great location!!!	First of all, I have to clarify that I stayed at this hotel using points, so I got a great deal. It is regularly priced around 400.00 a night....which is average for a hotel in this location. I loved this hotel....the location was convenient to the 4 5 6 train that takes you to just about any place in NY you would like to see. The hotel was very clean and the service was great. I got directions every morning from the concierge...and he was very thorough and polite. The breakfast was good....nothing spectacular, but it was nice to have a free breakfast in the mornings. As others have said, the seating is limited, but I prefer to take mine back to the room anyway so it didn't bother me. I would definitely book this hotel again....don't know if I would be willing to shell out 400.00 a night, but it would be hard to find anything comparable for less than that.	
Oct 22 2007 	Decent hotel with a perfect location	I have mostly good things to say about the hotel that I found to be great place to stay with small but nice and clean rooms. The location is almost unbeatable. The bad about this hotel is that being a part of Holiday Inn family it lacks any form of CHARM. It is not the kind of place I would select for a romantic holiday with my girlfriend. But if you just need a good place to stay for the nights, the HIE could not be a better choice!	
Oct 16 2007	Our Stay at the Holiday Inn Express	My husband and I stayed at the Holiday Inn Express 5th Ave the weekend of October 13th. The front desk staff was efficient and pleasant. The hotel is small...the rooms small but what they lack in space, they make up for in comfort and cleanliness - from the bedding to the bathroom. The hotel is just a few blocks from time squre/broadway (to the right) and two blocks from the shopping district (5th Ave, Madison Ave, Park Ave.) to the left so the location was perfect! This hotel has is a NO FRILLS hotel but if you want a NICE place to say while seeing the city...ITs Perfect!!!	
Sep 29 2007 	Excellent place to stay	Booked this as a flight+hotel package on Priceline. Couldn't have got a better deal :) Great location as all previous reviewers have stated; fresh continental breakfast incl; and free wifi in all areas. Rooms very clean and neat. *BEWARE though: Despite pre-paying through priceline, the hotel have charged me again for the room (they routinely swipe cards on checkin, for incidentals)and I am trying to get a refund of just short of $1000!!! They agreed it was an error, and will rectify, BUT suggest it may take up to 60 days *. Other than that, I will recommend the hotel as great. All the staff - reception, breakfast lady, cleaners, bellboys, are very smiley and friendly.	
Sep 13 2007 	Great location!!!!	The hotel was only 2 blocks from Times Square (on the same street) and 1/2 a block from 5th avenue. It was central to almost everything. We walked everywhere &amp; only took the subway once. The breakfast was great, lots of choices (some different ones included cheese, donuts &amp; french toast). We were able to get our own table each morning (&amp; every morning we were there at different times) If I was coming back to Manhattan I would definitely stay here again or recommend it to anyone I knew. The rooms were clean and the air conditioning was excellent, we always had the room ice cold for when we returned from the heat. The rooms were also renovated recently and are nice &amp; new. The staff was helpful and kind.	
Sep 11 2007 	Wonderful Hotel...	Wonderful hotel that is all we needed for a trip to The Big Apple! This hotel had friendly staff and clean, REALLY clean rooms. Yes, the room was small but so is all of the other rooms unless you have an endless bank account to splur on the MORE expensive hotels. There is a beautiful bathroom that gives a shower or bath. The king sized bed was absolutely wonderful. The air was great after a long day of sight-seeing and shopping. The breakfast bar is great. The negative is that there is little room to sit down. What's a little standing? I think we go the best hotel in the area. It is right around the block from Times Square, all the Broadway shows, and plenty of shopping. There is no view from any of the windows. The pictures that you view here or on the candid photos doesn't do the room justice. I wouldn't bring kids but is great for two!	
Sep 7 2007 	Super!	The Holiday Inn Express is in a great location-right in the middle of everything and a short walk or subway ride to wherever you may want to go. The staff was super helpful and whenever we asked for additional towels, etc. they were at our room within minutes. Yes, the room is small to say the least, but the beds were comfortable and who goes to NYC to stay in the room all day? I have nothing bad to say about the hotel-it was clean, great location, and the staff was great!	
Aug 14 2007 	Great Little Hotel	Excellent clean Hotel. Location is very, very good, especially if you havn't been to NYC before. You walk around the corner and you are on 5th Av, shortwalk to Empire State, Rockerfellor, St Pats, Central Park, Times Square, Hells kitchen. Breakfast included, rooms are clean, excellent cable. Very good value. Tip tehre is a deli bottle shop pizza place across the road perfect for snacks or a cheap meal. The pizzas there are awesome.	
Jul 30 2007 	Good hotel for an average price	This hotel is located only 3 blocks from the nearest subway, so I thought the location was good considering other hotels. The price was highly overpriced for such a small room (I say small because I am comparing it to other hotels in NYC that I have previously stayed at). The breakfast area was ALWAYS crowded and it was hard to find an open table each day. We were only there for 5 nights, and there was only 1 day that there was a free table for the three of us at breakfast time. We were usually at breakfast around 9:30am, and considering the breakfast is only served from 6-10am, you would have thought it wouldn't have been that busy. This hotel only has about 100 rooms (maybe 120) so it isn't that big. It the morning, the normal wait for the elevator was 5+ minutes, so we ususally took the stairs to our 4th floor room. They only had 1 computer in the lower level and it was being used 90% of the time. Probably because it gave you free internet usage and a printer to use, also. The rooms were very clean upon check-in and the maids were more than generous if you needed extra towels, shampoo, soap, etc. Overall, I think it's a good hotel if you are in NYC just for shopping or sightseeing, but personally, I won't stay here again.	
Jul 29 2007 	can't beat this location	Just returned from a fantastic trip to NYC, and one of the highlights was our stay at the Holiday Inn Express near Fifth Avenue. While the room wasn't cheap (about $300 per night during our stay), as they say in the industry, LOCATION, LOCATION, LOCATION! This hotel was located steps away from many of the attractions our family went to the city to see: Times Square, Rockefeller Center, Empire State Building, Fifth Avenue, Broadway shows, and convenient to subway transportation to other venues on our &quot;must-do&quot; list! Also, there are several quick service food options within steps of the hotel that we were very pleased with including Cafe Manhattan, Milk &amp; Honey (great bagels!), and Cranberry Deli (cheesecake!), to name a few. Also, there were a couple of Duane Reade pharmacies located around the corners from the hotel (on 5th and 6th Avenues) for medicine and convenience store type items. We also felt very safe walking in this neighborhood after dark--we're from a small town, so that was important to us!We were a party of four (myself, spouse, and two boys), so as others have stated the room was a bit cramped. Just enough room for two beds and a small bathroom. However, the well-appointed room was spotless with plenty of towels and an airconditioner that really cooled the room. We had no issues with noise whatsoever, and the elevators were usually very prompt. The breakfast offered downstairs was always well stocked as long as you arrived before 10 a.m., and we managed to find a table each morning. There seemed to be hundreds of channels (including premium channels) on the big, flat screen television.As far as service goes, we didn't have any major problems with the staff. However, two mornings we did not receive our requested wake-up call. Luckily, our backup alarms came through. The desk clerk offered us a car service to the airport the night before our departure. The driver arrived on time and gave us excellent service to LaGuardia for $35 plus toll (we added a tip as well).Apart from the hotel, I'd like to recommend the NY Pass. We purchased a three-day pass online before our trip. The pass entitled us to entry/discounts at over 40 places in the city including several museums, Statue of Liberty/Ellis Island Ferry, Empire State Building, NBC Studio Tour, and Madame Toussouds to name a few. We also got a $10 credit per person each day at Planet Hollywood (food or merchandise). I know we more than recouped our expense for the pass. I know there are other passes that are offered, but I can say that this one met our family's needs. Also, Carmine's near Times Square serves great, family-style Italian at a very reasonable price.I would definitely stay at this hotel again, and wouldn't hesitate to recommend it to others.	
Jul 20 2007 	Clean 	This hotel was in the perfect location...close to many NYC attractions. The hotel was very clean and brand new. It was nicely decorated with flat screen TV's in each room. Because of the quality, value and location, I wouldn't stay anywhere else in New York.	
Jul 16 2007 	Worth the low price!	We checked into the hotel Monday morning with 12 bags in tow. They kindly held otur bags for us until check in time without hesitation. My mother requested a view, but the clerk explained no rooms really have a view due to the fact the building is not as tall as others (only 22 floors). So, don't expect to look out and see Times Square or anything. The rooms are TINY! It's NYC, and we got a steal, so we anticipated that. Still, the beds are extremely comfortable, which is the only time you should plan spending in the room during your stay.All in all, you can't beat the price for the location. Times Square is 2 blocks away. Make a right out the door and look over to your right at the end of the street, and there's Radio City. The location is fantastic, and anything that is not close, there are plenty of Subway stations nearby.As for eating, if you are also eating on a budget, look no further than your street! 2 doors down has wonderful Paninis for about $6. Cafe Manhattan 5 doors down has an awesome selection. Milk and Honey across the street (run by a Rabbi) has fantastic bagels and unique pizzas. There is also a convenience-type store across the street.	
Jul 12 2007 	liked the Holiday	My husband got there for a business trip, since it's NYC, I tagged along. Initially we had a problem , we requested a crib, and there was none, the matter was solve in 30 minutes. The hotel is in the garnment district. Since, now everything is made in China, a large number of building are in renovation.The hotel is new, and clean, service quiet, efficient.  room: very clean and quiet, view: i wont remember since i dont care.bathroom: very clean and loaded with supplies for 3-4 days.Complementary breakfast: the room looked small, but i didn t care because I brought a big tray upstairs. generic food , but fresh and varied and buffet...Walking distance with a stroller from EVERYTHING...Chealsea, Emprire State building, Fith Avenue. With a Baby, we were able to go back and forth, hotel- attraction .And before tucking in (8pm) there is a terrasse with fountain, chairs...a little loud between the AC machinery and fountain, but great for a baby workout before going to bed...Would I go back: yesWould I recommend it : Yes, Would I recommend to a family: no if you have kids older than 4...there is really no space to run around besides the terrasse.	
Jul 5 2007 	Great Hotel!!	What a great find this hotel was!! It is compact, but the rooms were a lot larger than we anticipated. New and very clean. Absolutely fantastic location...so close to my favourite avenue...5th...with Times Square 5 mins away. Couldn't be happier this is selection and a great price as well!!	
Jun 20 2007	Nice staff but some major issues	One major problem with this hotel: SMALL! Great if you only have one or two people in a room, but we had four people in a room and were SO cramped. Barely had enough room to fit our luggage and ourselves. There are two elevators, and it took about 10-15 for the elevator to get to us, then once on, it stopped on nearly every floor. Also, when we checked in and went up to our room, much to our surprise...there was another family in there! It was our room, but somehow this other family was told it was there room as well and was given keys to our room. Staff is extremely nice and do their best to be helpful, although often there is a lot of confusion and mistakes made. Location is good...very close to times square and rockefellar center. This hotel is okay...it just turned out to be a lot more to deal with than we thought and posed a few inconveniences. But who comes to New York for the hotel, right?	
Jun 11 2007 	Fantastic location	We stayed here for 5 nights - our first time in New York - the location is great we walked to Central Park, Upper West Side, Rockerfeller Centre, Empire State Building, United Nations, Chrysler Buillding, Times Square and Grand Central where we easily caught the subway to Ground Zero and Liberty Island. The rooms are not huge but were very well equipped and spotless. It was great to be able to grab breakfast - juice, coffee, danish, fruit, yoghurt and leave early to begin a days sight seeing. We particulary appreciated the coffee and being English the tea which was available in reception 24 hours a day! Would stay again when we regain our energy - New York is exhausting but a fantastic experience.	
May 27 2007 	Great location	We arrived around 2pm. Bell boy Randy, greeted us at the cab. Room wasn't ready so he stored our luggage for us. The reception area is a little small and if you are the only ones checking in than its ok. The breakfast area is just opposite the check in. Its the usual continental breakie with bagels, toast, fruit and cereal and pasteries. The one thing I loved were the hot cinamon buns offered at the breakfast..It can get a little busy and you may have to wait a couple of minutes for a table. The hotel was fully booked while we were there. The lower level has a computer with free internet servicewhich was great for checking emails. I also used it for airline webcheck in the day before and was able to print off my boarding pass. The rooms are small. We had a king bed. There are night tables at each end and that is all the room on either side of the bed. At the end of the bed there is a wall unit, with a very nice tv in it, 3 drawers and a closet to hang things.An iron and ironing board are in the room. There is just enough space for 1 person to walk between thebed and wall unit. It was very hot when we were there and thankfully the air conditioner worked beautifully. There is also a small desk in the corner and a chair on one side of the bed. The bathrooms are also small but it has a full size tub and shower. There was good strenght in the shower and it had a nice shower head. The sink is very small and you can't really put out your toilletries. The rooms are kept nice and clean and housekeeping staff is very friendly and if you need something they will get it for you. The hotel is in a great location. Easy walking to everywhere you want to go. Only a few blocks to the subway which we used a couple of times. Even thougheverything is small, I would stay there again. For the pirce point it was great. If you plan to spend little time in your room and don't need restaurants, bars, spas, workout rooms etc then you will be happy with this choice. The photos on the website for the hotel are very true to what it is.	
May 22 2007 	Find something else	I requested a non-smoking room and we were given a smoking room with a view of dumpsters, A/C units, and brick walls. The hotel was booked and could not move us until the next day. When we asked about our new room, the front desk staff said there wasn't a notation that we requested to move. Apparently the night manager wrote the wrong room number down. So we had to stay in the smoking room another night. Finally, they changed our room on our third day. Thank goodness I brought travel candles. The breakfast isn't great, but it's complimentary so might as well take advantage of it. The deli next door has good paninis and the pizza joint across the street is also good. There is a bar directly across from the hotel so if you have kids, you may want to request a room away from the front because it gets pretty loud. The only staff that showed any kind of concern or interest in us were the housekeeping ladies, and the &quot;bellboy&quot;, if you will. He stored our luggage and/or hailed a cab for us with a smile.	
May 15 2007	Great things come in small packages!!	Booked hotel for a week away with a few family members. The hotel in compact and new. Reception got a little awkward to negotiate with luggage but very pleased with room quality and fittings. Breakfast was included and consisted of a continental style served in area opposite reception. The staff were incredibly kind, thoughtful and the service exceeded our expectations for a 'budget' hotel. Location, Location, Location - says it all - you can walk everywhere! Perfect! I strongly recommend this hotel if you plan to be out and about exploring! I will return!	
May 7 2007 	Great Location	We thought this hotel was great. Everything is new, clean and just what you need. Its small, and dont expect total luxury, but the location is perfect. We walked everywhere, a lot of the sights are walking distance from the hotel, for example, the empire state buidling, the rockefeller centre, the flatiron building, grand central station, bloomingdales, macy's, central park, etc, etc...But be warned, they dont accept travellers cheques as payment.	
May 1 2007 	Blink and you'll miss it	We stayed at the HI Express on 5th Ave 31 March through 07 April and had a really lovely time. The front of the hotel is very narrow and looks just like its been squeezed in between 2 buildings. Having said that there are about 22 floors, we stayed in 1804 which was a lovely room, it was small I suppose but adequate for the 2 of us. Most importantly it was very clean and looked brand new. Breakfast was typical HI fare, cinammon rolls, fruit, cereal and pastries, bread and juices, and it was complimentary. There was tea, coffee and hot chocolate available in the lobby 24/7. I found all the staff very pleasant and helpful, and the few times i asked for something they were prompt to deal with it. The elevators were a little slow, but we never had any real issues on 18th floor (there's stairs if you're that bothered!!!) Internet service and lots of attraction leaflets on LL which came in useful. There was no in room safe but a safety deposit box was available at reception, which we used. The hotel was situated in a very central location and i always felt very safe returning to the hotel after dark. I don't think the 2* rating is justified, i would rate it at least 3*. I always select my hotels very carefully, always using Trip Advisor and choose them according to fitness for purpose, what i'll need for a happy trip. You don't go to NY to sit in and admire your room, swim in a pool, or run on a treadmill, you can do that at home, so why pay extra for a hotel which has these things??? At $180 per night, it was by far the cheapest rate I could find and it included breakfast, a bargain in NY where room prices are sky high. Clean, comfortable, excellent rates, central, customer service and free breakfast, book it now before everyone else finds out about it. If you're British like me and used to being ripped off for anything with a designer label on it then definitely Don't miss a trip to Woodbury Common Shopping Outlet (www.premiumoutlets.com). Take a bus from Port Authority (1hr, $36) to shoppers paradise, 220 designer outlets selling discounted clothing, take your suitcase and your credit cardyou won't believe your eyes and you won't ever want to buy things back here in the UK. There is no PRIMANI however !!!!Have fun	
Apr 27 2007 	Perfect Location	The location of this hotel is really wonderful and centrally located to almost anything you want to do. I was worried that our room might be too small but it was fine. The beds were comfortable and the bathroom was nice. The breakfast buffet had plenty of choices and I got hooked on the cinnamon rolls. I made a point of coming down early every morning and they were there every day, nice and warm. I would definitely stay here again and would recommend it to friends. The staff was very helpful. We arrived before check-in and they kindly kept our bags for us while we went out, and they also arranged for our taxi to the airport when we checked-out .	
