	Great Value for NY - but SMAAAAAALL.	If you´re not bothererd by the fact that the toilet is outside the room and shared with a few other guests from your floor, it´s not an issue. If you´re on your own in the cuty and have few luggages, it won´t be a problem either. After being to NYC many times, there´s no need to stay in midtown anymore... which makes the hotel location perfect. It´s a very charming place and the owner is a really sweet person, always with a smile on his face. It´s spotless and housekeeping does a really nice work. The room is cozy, but too small, and the tiny window makes it a bit claustrophobic... Anyway - paying $150 with taxes to be that well located in Manhattan is sometimes worth it.	
Nov 9 2007	great deal in NYC	What can I say that hasn't already been said? This is indeed a great place to stay if you are looking for a clean budget hotel and don't mind being outside of the Times Square madness. Rooms are indeed VERY small -- you will be sorry if you try to store a lot of luggage in your room -- and service was practically non-existent, but it was spotless and comfy, and an easy walk or subway ride anywhere we wanted to go. Shared toilets were not a problem, although I felt sorry for the people in 1C because it was right next to their room and I wondered if they were bothered by the flushing. We did hear some hallway noise and noise from the kids at the school across the street, but nothing that impaired our sleep. (Quite frankly, we were usually so exhausted by the end of the day that nothing was going to wake us)Overall, we would certainly stay at Chelsea Lodge all over again. (I wish we were in NYC now, in fact ...) To stay in a &quot;nicer&quot; hotel we easily would have paid an extra $150-200 per night, and I am satisfied that money was better spent on dinners and theatre tickets.	
Nov 5 2007 	Great affordable place to stay	I stayed for two nights last weekend and had a perfectly enjoybale stay. I knew not to expect the Ritz, I did get a clean, comfy bed, a shower and sink with plenty of hot water and good water pressure, and a nice flat screen TV with cable. I was on my own and was out most of the time exploring NYC, but I had a very nice room to come home to. The room was quiet and the lock on the door was very sturdy. I felt very safe and will stay here again when I comeback to NYC, especially if I am traveling solo.	
Nov 2 2007 	Great location and comfortable for the price	Let's face it, New York is an expensive place to stay in! Whether it be accommodation, sightseeing, food, or transportation, it is going to cost you more than other cities around the world.So, we relied upon TripAdvisor to assist us in finding somewhere of good value. We had heard lots of stories from our friends of NYC hotels where you paid an arm and a leg for an absolute dive complete with bed bugs.We stayed in one of the Chelsea Lodge Suites, which are located in a separate building about 6 doors down from the actual Chelsea Lodge which is at 318 W 20th Street in Chelsea. The difference is that the suites have a basic kitchenette which allowed us to prepare our own breakfast. No tea/coffee provided though but like most of New York there is a Starbucks on the corner about a 3 minute walk away. Our particular room had its own private garden as well. The room was very quiet, safe, clean and tidy. Bathroom was a bit small (like nowhere it sit your toiletries apart from the top of the toilet sistern) but we coped.Location-wise, the Chelsea Lodge is in a good position. It is only a short walk to the blue subway line which takes you either directly to 42nd Street or downtown to Battery Park/Manhattan stations. Chelsea has a large gay community and there are lots of great restaurants and shops located within easy walking distance of the Lodge. Greenwich Village is also close by.	
Oct 31 2007 	Very clean great staff	Chelsea lodge is a very clean centrally located place to stay. I stayed in one of the studio apartments down the street from the main building. The main building is very nice though. The rooms in the main building have shared bathrooms, but they are very clean and nice. The studio can accommodates 4 people and has a very clean bathroom. I am staying there again next month.Great bargain. One of the best places I have stayed in the city.	
Oct 25 2007 	Great little jewel	A great little place, in a great location…..Hotel is located in a lovely part of Chelsea, when you stay at the lodge you can walk to pretty much everywhere (well not exactly but you get my drift). The street is nice and leafy, safe at day and night, some great bars, delis and restaurants around, within walking distance. I def recommend the Thai place on the corner of 20th (where the lodge is) and 8th ave (on the left hand side). Even if you have to wait for a table, it's worth it!Yes the rooms are small, and you're stuffed if you're on the 3rd floor like us carrying suitcases all the way up. But really, does it matter? We wanted a clean place in a nice location, a good shower and a nights sleep....It's NYC after all, so many better things to do than stay in your room....I was a bit apprehensive about the whole &quot;shared toilets&quot; issue, being a neat freak that I am, however the toilets were very clean. I tell you, cleaner than what I've seen at some people's houses. Even though really small, the rooms were very clean. We are both over 6ft and sometimes it was hilarious how tiny the room was for us (and the bed was a bit short too)…But what this place doesn’t have in size, it has in its charm and fantastic location.Some have complained about the noise, we had no problems. Yes, there is a school across the street and kids can be somewhat noisy in the morning; however that did not trouble us. Same with traffic... I mean it's New York, if you wanted a tranquil place to rest up, go to Maldives.Yes the guy at the front desk during the day could have been a bit nicer, but he answered our questions and helped with our suitcases…..Overall, Chelsea Lodge is a great little place and I will wholeheartedly recommend it to all my friends. It just depends what you are after. If you want a large room, king size bed and room service, this is not the place for you. But remember you will also pay a lot more that what you’re paying here. If you want a cute little place, small but clean room in a fantastic location as your base for exploring Manhattan, go for it…..Oh and did I say it was not that expensive either...	
Oct 24 2007 	Nice 	My wife and I stayed at the chelsea lodge for 5 nights. We stayed in the basement suite ($150/night) that had it's own bathroom. The room itself was perfectly fine, plenty of room, bathroom was nice - we enjoyed it thoroughly.A couple of issues:1. the bed - this was the biggest issue for me although not a vacation killer. the bed is a double (not a queen), which is fine, but it sags... fairly badly. So in other words, you and your significant other roll into the middle (which is fantastic, unless your trying to sleep ;) ). Solution: put a pillow in the middle - it gives support and prevents you from rolling into the middle.2. noise - I'm not extremely sensitive to noise, but a couple of nights there were young groups of people walking down the sidewalk who weren't extremely noisy, but I could hear them fairly easily because there is very little sound-proofing from the window airconditioner being in the window. Solution: crank up the fan on the air-conditioner for white noise or wear ear plugs.There is a grocery store, a lot of restaurants, a few ATMs, and two subway stations right near by - fantastic location.I mentioned the two issues I came across in staying here, but they wouldn't deter me from coming back.	
Oct 14 2007 	Perfect!	I just returned from a 4 night stay at the Chelsea Lodge and it was great! The room was cute, cozy, and very clean. I was unsure about the shared toilet situation but it was fine. The toilet was always incredibly clean and I only had to wait for the restroom once during my stay. I was told I could use the toilets on the second floor if I needed to but I didn't want to run around in my pajamas so I waited! :) The Chelsea lodge is in a great neighborhood on a quiet tree lined street. My room was on the first floor and I never heard any city noise. I came home late each night I was there and always felt safe. That's a great feeling when you are a girl traveling alone. Also very close to the subway and lots of great restaurants in the area. For anyone with a sweet tooth I recommend Billy's Bakery! My only complaint was other people staying there. There was quite a bit of noise with people stomping up and down the stairs. Also the lobby was right outside my door and at 4 am one day there was a group of people who decided to have a loud get together there and kept me awake. And the gentleman who was at the front desk during the day could have been a bit more friendly. He wasn't rude though. I will definitely stay there again and I reccommend it to everyone.	
Oct 1 2007 	Great value in Chelsea	We just got home from a 5 night stay in their Lower parlour suite which lies in the basement a few houses away from their main building. We payed 199 +tax per night and that is excellent value for the money spent.The Suite is a large room with a Queen-size bed, a bed sofa, a small table and a large desk. The bed was ok but a little on the hard side. The TV was fine with a bundle of channels, I didnt have time to look through them all.The Kitchenette has all the basics; toaster, glasses etc. but there isnt any microwave oven which would have been nice for leftovers, the portions are ridicolous in the US.The bathroom was ok with a showerbooth so the entire room doesnt get covered in water.The cleaning staff did excellent work, we had nothing to complain about.The suite lies in a nice quiet street between 8th and 9th Av. There arent a lot of traffic(for NYC) but the windows are very thin so if you are a really light sleeper maybe you should look at a another establishment.Once we got our keys from the staff we didnt have any interaction with them before we checked out. It felt like we had our own apartment in NYC; a great feeling.In short: a perfect place for the budget minded who dont crave luxury just a nice place to stay that is close to the subways and attractions.ps. There is a great diner on 8th Av called Galaxy diner, perfect for breakfast.	
Sep 25 2007 	Excellent	Wonderful hotel in a central location. Very helpful and at times witty staff! In comparison with other New York hotels the price is a steal. As someone who works in a luxury hotel it is clear that the few complaints about the Chelsea Lodge come from those expecting 5 star standards. As such it is unfair to penalise a hotel that costs just a fraction of the price for perceived shortcomings. The bathrooms in the corridor were during the whole of my stay immaculate.	
Sep 17 2007 	Great little place in a convenient spot	We loved this place- clean, great spot close to 2 subway stops. The only downside is that it is really small - I'm not exactly huge and I felt claustrophobic in the shower. Also, the toilets are down the hall and although this got a bit annoying especially in the middle of the night there was never any wait and they were really clean.Next time I would prefer to stay in Greenwich Village because it is such a cool area but Chelsea Lodge is so cheap that if you are planning a long trip in NY it is worth staying there. It is also really close to a place that serves great coffee- La Bergamote on the corner of (th avenue and 20th street and a great bar called east of Eight on W23rd street.	
Sep 6 2007 	Great find	Booked Chelsea Lodge after seeing it had won a Tripadvisor Award.It is a short walk from the subway (either 23rd or 18th, both on the number 1 line). The hotel is in a quiet, leafy street, between 8th and 9th avenue. While it is in a quiet area, you are no distance away from the sights of New York - it is a great base.Our room was upstairs. While it was small, it was adequate. The tv was modern, with many channels. The bed was very comfortable, and we were very glad to have an air conditioned room. The toilets were across the hall, and were always available.The only draw back was the shower in the room. There was no 'drying' area - so once you stepped out of the shower you were standing in the bedroom.Overall, I would recommend Chelsea Lodge to anyone wanting a cheap, but very clean and charming hotel.	
Sep 1 2007 	Couldn't have asked for moe	We stayed at the Chelsea Lodge for 6 nights in the beginning of August, 2007. When we arrived we could choose between a room next to the reception area or on the 3rd floor. We took the one on the 3rd floor and even though we had to climb the stairs every night before we could go to bed we do not regret it. It was very quiet and the toilets were always available and very clean. The only thing I heard when I walked down the corridor to the toilet was our tv.We arrived with 2 suitcases each, and despite that the room was a bit small we had no trouble getting enough space for our 4 suitcases. One thing that I had been worried about before staying at Chelsea Lodge was the size of the bed. I am used to a king size bed, while this was only a queen size - so I wondered how much sleep I was going to get, but it was more than okay. I slept very good and the atmosphere in the hotel was great. Nice people in the reception and very nice cleaning ladies.The location was very good. 3 blocks to the subway-lines A, C, and E. And 3 blocks to bus number 23. It was a great relief to come back to Chelsea after spending some hours at the more touristic areas around Times Square for example. I loved the area, the hotel and we will definitely stay there again when we visit NYC next time.	
Aug 18 2007	An excellent choice	My girlfriend and I recently stayed 5 nights at the Chelsea Lodge. We relied upon the solid reviews posted to Trip Advisor in making our choice. At first I was astonished that there were rooms available when I booked (about 2 months ahead). When we arrived, the laid-back manager carried my very heavy bag up to the 3rd floor. The room was as described: small and cozy. The air conditioner was a welcome sight considering how hot it was during our stay. If you don't need more than the basic amenities and plan to spend most of your stay exploring the city, Chelsea Lodge is the way to go.We loved New York and when we return we intend to stay there again.	
Aug 10 2007 	Great place to stay in NYC ona budget	I stayed here with my then boyfriend in October 2006 for five days and we both loved it. For the price you couldn't moan about this place at all. At first I was a bit worried about the room size, using a toilet outside the room, but when we got to our room we were very relieved! Room was on the first floor so only one flight of stairs and it was tucked in the left hand side corner, either room 7 or 8, i cant remember. anyhow we overlooked the street, we did hear a bit of noice at night but nothing that kept us awake. The room itself was really cute, the bed was actually bigger than i first thought (I thought it would be a tiny double bed but it was fine) and the shower worked great, there was just enough space for our luggage, one case, under the bed, and one on the luggage rack.As for the location it was perfect. The area was great, the street was so pretty, reminded me of Carrie Bradshaws apartment in Sex and the City, so I felt like a real New Yorker staying there! Went to eat at the diner across the road, believe its been mentioned here before, but we much prefered the Empire diner, turn left out of the hotel, and walk a couple of blocks, and you will find it, its a great 50's style diner, breakfast is great and its v popular.Have been to New York before and much prefered this location, its a 10 minute walk to Greenwich Village and a 20 minute walk to the Empire State so a great place to be. Plus I loved the vibe of being in Chelsea, not so mad as the touristy part of NYC.Would definatly stay again if on a budget, really nice guys who own it, felt very safe. Oh and the toilets are so clean, so that was great! : )	
Jul 29 2007	Excellent - lovely neighbourhood - great apartment	A nice surprise. We stayed in the &quot;suites&quot; rather than the lodge. We had a parlour suite - the very front basement room facing the street. It's like staying in a nice apartment rather than in a hotel. Why pay hotel prices when you can have the privacy of a comfortable apartment ! What a great comfortable apartment and a wonderful location. Close to shops and metro stations. The only two negatives were a nosiy neighbour how insisted on re-arranging his apartment at 6am (no fun with jet lag) and the some of the decor was a little dated. Wireless internet worked really well. Very happy with that.All in all - a good experience - would stay again without hesitation.	
Jul 20 2007 	Birdsong in New York!	The Chelsea Lodge, a little oasis from the madness of the city streets. We stayed in a garden suite, and our accomodation consisted of a small but adaquate kitchen, an even smaller bathroom, which was clean and had lots of towels, an extremely comfortable sofa bed, a large double bed, coffee table and tv. The main living/bedroom was comfortable, clean, and spacious.On our first morning we had the ultimate surprise of being awoken by birds singing, rather than sirens and car horns.It was a great base to get to both uptown and downtown sights, and the closest subway was 3 blocks away (23rd and 8th), which meant easy access to JFK airport. The area felt safe, and away from the tourist crowds, which made us feel more like New Yorkers for our stay.This isn't your typical hotel, but if you want to try something that feels homely but also independant, then this place would be right for you.	
Jul 19 2007 	Very good hotel	I stayed here for a few days last week. The hotel is VERY clean and at a great location (quiet street, within walking distance of the West Village and about three streets away from the blue and red subway lines). The cable was a little hit-and-miss(movies would freeze periodically, I only ad access to about four channels in my room), and the room is awfully small, but for the price it's well worth it. Each room has a private shower and a pretty decent view. There were never any other guests using the shared bathroom(s) when I needed to go, so that was not a problem. If you're looking for a very good value in a very nice, laid-back NYC neighborhood you have to stay here.	
Jul 16 2007 	A great find !	We stayed in one of the two basement rooms with full bath for four nights. Just as we expected from past reviews, the room was basic but immaculate, everything we needed was there. Flat screen LCD TV worked great as did all bathroom facilities. We loved the location, ate breakfast at The Dish (right around the corner) every morning, got sandwiches at Gristedes (a block away), and had a fantastic chicken dinner at BBQ's on 23rd and 8th one night. Two subway stations are an easy walk, and the neighborhood felt very safe. We will return.	
Jul 2 2007 	Loved The Chelsea Lodge	My husband and I recently stayed @ the Chelsea Lodge and Loved it! We read about it on trip advisor and contacted them ourselves by phone. The rooms are small but very clean and quiet! You have a private shower and sink in your room, but you share the toilets in the hallway, which are also very clean. We only used the toilets in the morning and evening, since we were gone all day sightseeing, so it wasn't a problem at all. The air conditioners worked great and we had maid service each morning. The staff was friendly and they allow you to use their computor to print your boarding passes which was a big relief! (there is free WiFi in your room) I'd recommend staying there to anyone I know and would definately stay there again myself!(if I ever can get my husband to return to the big apple) We had an awesome time and found New Yorkers to be very friendly and helpful.Thank you, Lori Higgins	
Jul 1 2007 	Great hotel	Given Bubbavon's very comprehensive review - there isn't really much to say! Only that I echo his/ her comments.Great hotel - great value.I was on the third floor - there isn't a lift, but it wasn't a problem.I understand this place books up months in advance, but I'll definitely try to get back in on future trips to NYC.	
Jun 14 2007	Great Place to stay.	The Chelsea Lodge is, as described in previous reviews. I completely recommend it for the budget conscious traveler. Having stayed 11 days there recently, I do want to point out some things not mentioned (or rarely) about Chelsea Lodge in past reviews so you are an informed guest there. Keep in mind I give it an excellent rating for the category it is in. So do not take my negative points as a bad review, but as facts you need to be aware of.Pros.-Clean-Very quaintly decorated.-Cable TV on 13 inch LCD-Fast Wireless connection for your laptop-There is a police precinct on 20th St only one Block away-Neighborhood is safe and quiet-Our room was quiet – we could hear the birds outside our window in the mornings. (also see cons)-Staff was friendly and helpful the couple times we spoke-Cheap-Near many restaurants that are good and affordable-3 short blocks from the C and E line-2 long blocks from the 2 line.-Murray’s Bagels is on 2 short blocks away – Best bagel I have ever eaten.-5% discount if you pay cash-Air conditioned-You get Hershey Kisses on the pillows when you arriveCons-Basic accommodations – no fridge in the room and no ice available. If you want a cold drink you need to buy one from the corner or do like we did and buy a folding cooler and buy ice (which was a pain).-No toilet in your room but it was not available maybe 4 times in 11 days and we had the option to use the next floors or just wait 5 minutes. NEVER was there a line in a 11 days.-Our room was on the main floor which is a pro for hauling your luggage and your butt after along day out. But the Con is that there is a little lobby there with two chairs and on occasion people used the space to visit or hang out. Only feet from our room door it could be come a bit aggravating especially late at night when people came home and decided to talk and laugh there. This was not a big deal but something to be aware of. It only really was an issue one night.-The room’s windows are screwed shut. You have to use the air conditioner or the fan mode in it to circulate the room air (there is a ceiling fan too). I have no complaints as to the air conditioner itself as it kept our room cool on plus 31C 0r about 89F days, however it did have other issues. The Air conditioner (in our room any way) was right over the right side of the bed. On these hot days you had to run it all night and even on the cool ones you needed to have the fan on. So you had an air-conditioned draft on you all night. As well the room gets very humid with showers etc. There was no way to open a window in let out the humidity. So we had the air conditioner cranked most of the time.-Cell phone reception in the building is terrible. In our room calls had to be made leaning up against the window or go outside.-They give you two keys, one for the front door of the building and one for the room. They are indistinguishable so you have a fifty/fifty chance of getting the right one each time you use them. It would be nice if they marked one with a dot of paint or something.-They make your bed daily but do not change the bedding.It is overall a great place to stay and we will return. I write all the pros and cons as nothing bugs me more than people who review a place like this comparing it to the Waldorf. If you are informed and I hope my review helps you be that way and know what to expect than you will be very pleased with the Chelsea Lodge.	
Jun 9 2007	Loved it - just like nearly everyone else	I had stayed at the hilton for a conference and then changed hotels to hang around NY for an extra day. was on my own and did expect the room to be a signficant &quot;drop down&quot; after the Hilton but it pleasantly wasn't a big adjustment ! Only stayed for a night but the staff still treated me very well, they were very efficient with the booking etc. It's been nicely renovated and my room was small but perfect for 1 person (fine for one night !). Lots of hot water, etc. It was definately a very affordable NY option for 1 person travelling alone. I have stayed in other guest houses in NY and this one is far superior to other experiences thus far. Will be back !	
May 22 2007 	Great when the heat is on	As with the vast majority of reviewers on this site, I was more than pleased with my stay in Chelsea. The Lodge is small (the only room I have ever been in smaller than my single was in Japan) but spotless and comfortable. The staff were helpful and friendly. My only partial negatives are, during a very hot May spell, the room was a little airless and, if you have never been to NYC before, you may not be aware that Chelsea is 'rainbow-friendly'. If walking past gay bars and clubs freaks you out, stay in another area. I was fine and would stay there again in a New York minute.	
Apr 27 2007 	Thoroughly recommend!!	If you are wanting a basic room at a budget NYC price then the Chelsea Lodge is ideal. Included is a tv with cable channels, washbasin and shower cubicle...just what I needed considering I was only there to sleep, relax a little and wash!! The toilets down the hall were always clean and available !!The staff were very friendly and welcoming. The area felt incredibly safe and neighbourly!! I could live in Chelsea permanently!!Conveniently located - between Midtown and the Financial District.There are plenty of shops, bars and cafes to choose from and a cinema.Subway conveniently close by and if you dont mind walking, it really isn't that far to the Theatre District and other famous sites!The only tiny groan I have is the room could get a little too warm during the night.	
Apr 27 2007 	Great place!	Stayed at Chelsea Lodge for 5 nights and was overall very satisfied. I recommend it to everyone that want´s to spend the money on something else then a hotel. Small rooms, but enough if you just spend your time there for sleeping. Very clean and the shared toilet worked just fine. There were 2 on our floor.I don´t think it´s possible to find a better place for this money in N.Y. Chelsea is a charming neighbourhood where you can be apart of the &quot;real&quot; N.Y. Close to wonderful Greenwich Village and walking distance to alot of great areas.Cons: Next time I will stay there I will ask for a room not facing the street. The Windows are letting throught alot of noise and the few cars that passed in the nighttime sometimes woke me up. There is also a school at the opposite of the hotel with alot of children yelling the morning. No big deal, but something I will consider til next time.	
Apr 20 2007 	Great little hotel!	We picked up on the Chelsea Lodge from the other reviews written on this site and decided to give it a try....good choice! We stayed in the ground floor suite in the annexe building, just down the street from the main Chelsea Lodge Hotel (318 West 20th Street), as with the other suites we had our own bathroom and shower, both spotless when we arrived and well maintained during the stay. For the price you can't ask for a better location, the 18th Street Subway station is only two blocks away. As for great restaurants, where do I start? Just up the road on West 23rd Street / 10th Avenue you've got the sublime Red Cat which serves up fabulous modern American food. The Rocking Horse Cafe on Eight Avenue/19th Street has a great Mexican menu with some super-strong Margaritas.If you can't tell we loved this hotel send us a message and we'll tell you more!	
Apr 14 2007 	Loved the Chelsea -- will definately stay there next time we are in NYC	We stayed at the Chelsea Lodge for one week in early Feburary 2007. We could not speak more highly of the place! We were lucky to have a ground floor room, so no need to haul the cases up the stairs! Being in the middle of winter, the heating was fantastic - was a little noisy for the first couple of nights, but you soon get used to it.The shower in the room was great and we never had to wait for anyone when using the hallway toilet. You get fresh towels and your room made up every day - an added bonus, given the relatively low price you are paying for an NYC room! Have already recommended it to peopleback home.	
Apr 7 2007 	Super fantastic budget hotel in excellent location!	I stayed for 5 nights in this hotel and honestly could not have asked for more! As a solo female traveller, the location was perfect - situated in a quieter neighbourhood, yet not too far out from the main attractions, I felt completely safe walking back to the hotel alone.Sure the rooms are small, but you get your own basin &amp; shower and the shared toilets were always clean and always vacant when needed! Plus, the area is fantastic for cafe's and restaurants and there were many to choose from... I found quite a few gems just around the corner from the hotel.In NYC, you would be mad to spend much time in your room, so a basic, clean, comfortable and quiet accommodation is all I was after and the Chelsea Lodge was perfect, especailly for a solo traveller.	
Apr 5 2007 	Fantastic price fantastic location but they need new beds!	My partner and I stayed here for 8 nights. I read a lot of reviews before we booked so was prepared for the small rooms, communal toilets etc. In fact it was a pleasant surprise when we arrived as our room was bigger than expected. Staff were really cool and helpful and the room was always spotlessly clean when we returned to the hotel each day. And of course you can't beat the location.Just a couple of minor things that could easily be improved, our bed was possibly the worst I have ever slept in. It dipped in the middle and as the frame was on castors the whole bed would move if you/or your partner moved around in the night. It was only for the fact that we were absloutely exhausted from sightseeing that we got some sleep! Also they loan hairdryers and irons which is great. But it would be even better if the irons worked!But I really liked this place so despite these minor points I would still recommend it!	
Mar 25 2007 	Loation Locaton Location	Having visited new york twice before we(byf) wanted to stay some away form Midtown and the madness!! This is the most unusual hotel/guest house we have stayed in.not at all what you would expect in manhattan.It was clean, cheap and perfect for us. Our room was 2H on the first floor and was bigger than i had expected after reading the reviews and seeing some pics. Found the staff were friendly. Chelsea is a great place to stay, always felt safe, lots of bars and restaurants..try la lasagna on 8th ave,corner of 20th, great food and a really good atmosphere. All locals, think we were only tourists there.you have to have one of there Martinis! i wouldnt hesitate in recommending chelsea Lodge to anyone visiting new york especially if you would like to get e feel for the city ands its locals. i loved it.	
Mar 18 2007 	It is great: please stay away	Great value in NYC. Hard (impossible) to beat. But do I need to evaluate?Why make you crazy for this place, resulting in you booking my room. The small room in the back I liked so much. Either on your own, or with your partner (bed is like room very small). But comfortable, nice furniture and feel to it, very well situated between subway W14th and W18th street, great for walks around town. So my friend, stay away from this place, and let ME book it again.	
Mar 14 2007	Great stay overall but some caveats	We stayed in the lower parlor suite in 12/06. The location is wonderful: Chelsea is safe, fascinating, and convenient to the subway and all of the museums, neighborhoods, and stores that you want to visit. Staff were very helpful and accommodating; we were able to leave our luggage in the office upon early arrival and for several hours after checkout until our train left Penn Station, which is an easy, 15-min. walk. Given the great restaurants in Chelsea and subway/bus access to everything else, we did not use a single taxi. Chelsea Lodge is a great value, and we plan to return, but there are some caveats. First, the buildings are across the street from a school, which means that there is a great deal of noise from the students on school mornings. If you stay in a room or suite facing 20th street, be forewarned about this and other street noise; the windows are single-glazed, and the traffic and passerby noise will be sufficient to wake all but the most sound sleepers. Second, while the kitchen and bathroom in our suite were very clean – and the bed linens and towels were also very clean (with excellent maid service daily), our suite had the filthiest upholstered office swivel chair that we have ever seen - so filthy that we would not use it at all. And, while a swivel chair (which was the only upholstered chair in the apartment) makes good sense if guests need to open the futon or use the folding cot provided, there really is no excuse for such a dirty piece of furniture. The other furnishings were minimal and in relatively worn condition, but serviceable. Do not expect rugs or curtains; our suite had no floor coverings and metal blinds in the windows. Some additional lighting would be helpful; our suite had four very small lamps – new, but just one (next to the bed) had a 3-way bulb. With no bright lamp next to the futon/couch, reading there can be difficult. The kitchen had a gas stove, full-size refrigerator, dishes and utensils for 4, and a coffeemaker, but there was no toaster (?) or microwave. There was a very nice TV/VCR with digital cable.We have stayed in all kinds of accommodations in Manhattan and, overall, we had a great stay. But we will request a room or suite that does not face 20th street for subsequent visits. And we hope that the management will try to provide upgraded, cleaner furniture – we saw some beautiful and very low-priced items at the wonderful thrift shops in the neighborhood, so replacing some of the existing furnishings should not cost a great deal.	
Mar 10 2007 	Superb Experience!	I stayed at the Chelsea Lodge in early March 2007, and was absolutely thrilled with the experience.I had read a lot of the review on this site, and was suitably impressed upon arrival. One of my flights had been delayed in LA, so I ended up arriving in NYC at midnight instead of 8pm. I rang the Lodge from LA and they assured me it would be no problem to check in that late. Sure enough when I arrived, I was shown to my room promptly and checked in properly in the morning, which was extremely thoughtful (and much appreciated after 30 hours in transit!) The rooms were small but extremely clean and comfortable. Yes the walls are thin, but if ear plugs work for you, then you won't have a problem. I found everyone to be very thoughtful of fellow visitors and others were very quiet if coming home late.Chelsea itself is a delight to wander around - a very nice introduction to New York as it's quite manageable. Walkable to the Village, the Flatiron district and a great subway line, you really couldn't ask for much more in terms of being central.As a 24 year old female traveling alone, I felt extremely safe at night around this area, and in the Lodge itself. In fact once in the room, it was hard to discern any noise from any of the surrounding streets at all. (Not that there's much in Chelsea, anyway)As for nearby food, there are hundreds of places to eat, a small supermarket, a pharmacy on the corner - perfectly accessible to everything.I would thoroughly recommend this place to stay while on holidays in New York - I'll definitely be back here again, and will tell all of my friends!	
Mar 8 2007 	Cozy and inexpensive in Manhattan	My significant other and I have stayed at the Chelsea Lodge twice, and both times we have greatly enjoyed our stay. The hotel is cozy and decorated in an eclectic old americana style - both rooms we've stayed in have had quilts on the beds and vintage, themed wall art. The staff is friendly, rooms and bathrooms very clean. The location is great as well - on a quiet residential street just around the corner from a busy avenue and near a subway stop. One thing to be prepared for, though, is that the rooms we've stayed in are quite small, with room for not much other than a shower/sink, bed, dresser. For the price, though, it's well worth it, and who needs a big hotel room when you'll be spending time enjoying the city?	
Mar 6 2007	Very disappointing	The review of this hotel in Time Out New York was glowing, but I beg to differ. Don't be fooled by the photos! Even though its location is great, I found the hotel's desk staff surly; the room I was in (basement) was tiny, very noisy (I could hear everything going on in surrounding rooms), and it was so overheated I couldn't sleep. Staff said they couldn't control the temperature so I asked them to help me open a window but they basically refused. Every channel on the TV showed static. They were slack on the basics - I had an early flight out at 5am; the alarm clock in my room didn't work; they got me another one that was just as useless, and didn't work either - luckily my mobile phone alarm went off! I'd say don't stay here if you want a quiet, relaxing, temperature-controlled night's sleep!	
Mar 4 2007 	Lovely hotel excellent value and location	Enjoyed my stay in this pretty converted brownstone very much. Wonderful location in a quiet Chelsea neighborhood, just a few steps away from plenty of restaurants and shopping. I was very pleasantly surprised given the low price and recommend it highly to anyone looking for a nice budget hotel in Manhattan. Closest subway station is a little over a block away. Staff was friendly and helpful. The entire hotel looks recently renovated. The room was tiny, but it was clean, quiet and - most importantly, had a private shower and sink, which is hard to find in this price range for this type of hotel. The TV didn't work very well but I didn't expect a tv in the first place so it wasn't a big deal. Window opened up to a fire escape overlooking residential courtyard. Each floor has two communal toilets, which were freshly decorated in black and white tile and always immaculate. And each night a hershey's kiss on the pillow was a nice touch. Recommended!	
Jan 31 2007 	Great value great location	Just returned from a 4 night stay at the Chelsea Lodge. Really pleased with our choice of accommodation. The room was a good size, with a comfortable bed and plenty of storage. The shared toilet was next door, and like the rooms, was kept very clean. The building has a nice feel about it and the staff we met were really helpful and friendly.The location was great, just minutes from Times Square. It was good to explore Chelsea and we found lots of great, trendy bars and restaurants in the nearby area. Can highly recommend the nearby Dish for a hearty breakfast!	
Jan 31 2007	great value for money	5 of us stayed here when visitng NY for the first time in December. The hotel is great value for money and a brilliant location as it is close to the main tourist areas, but also to Greenwich Village and Soho. In terms of what we wanted it for (comfortable place to sleep, clean, good location), it was spot on. We came with a wheelchair (it is up 4 steps so not perfect) and they gave us a room on the ground floor and somewhere to store the chair, as well as being very patient storing the extra bags we had to buy at the end of the week to try and fit everything in!! They also let 2 of us stay in the room longer than normal check out time on the last day, when we were hungover and had a while before our plane left. You have to share a toilet and the showers can be temperamental going from hot to cold, but it was clean, well cared for and nicely decorated. I was ill during the holiday and had to spend a day in bed, which I wasn't happy about but I would have been massively more gutted had I not had a nice bed to snuggle up in to get better quicker. If you are planning to stay in alot then you'll want more, but if you ARE planning to do that in New York, you are in the wrong city! Would definitely recommend it and/ or visit again.	
Jan 18 2007 	Loved it!	My husband and I stayed at the Chelsea Lodge the week before Christmas 2006. It is on a quiet, residential street...our room overlooked the garden...but still only a short walk to both the red and blue subway lines. The hotel itself was immaculate, and the staff was helpful and friendly. The rooms were spacious for the price...we even had a desk and chair...with enough space left over for me to roll out my yoga mat! Hot water was plentiful, and I never had to wait to use the WC. We will definitely stay at the Chelsea Lodge again!	
Jan 18 2007 	Did not love the Chealsea Lodge	First of all, I rely on Trip Advisor for my traveling. The room that I stayed in was horribly small. The TV didn't get great reception, the shower kept going from scalding to freezing, and there was a huge pipe in the room that kept whistling like a tea kettle. The cleaning staff was very friendly. However, when we explained to the problem with our room (whistling pipe), they were not willing to accommodate us at all.	
