	Fantastic Hotel Great location Great Price Great Staff	Just back from a 4 night stay in the Marriott Eastside. I was a bit hesitant staying on Lexington Ave as on previous trips to NYC I have always stayed close to Times Square, but it was the best location ever. The hotel is located less than 5 minutes walk from 5th Ave and less than 10 minutes walk from Times Square. The staff were very friendly and efficient especially the Irish Porter from Donegal. He was so pleasant and helpful. We had room service one night as we could not walk any more after our day shopping. The food and service was great and only cost $70 for dinner for two with beer and tea included. Never again will I stay in hotels close to Times Square, I'll be staying in the Marriott. The concierge was great and organised a 'town car' for us to go the airport in and it only cost $75 including tolls and tips - again this is the cheapest fare we have ever paid to the airport from a hotel in NYC. This is my seventh trip to NYC and would have to say the best trip ever by far and this was all down to the fantastic hotel that I stayed in. I'll be back!	
Jul 7 2007 	great hotel	My husband, myself and our 3 children aged 11,9 and 7 have just returned from a great holiday in New York. The hotel was really very clean. We had a junior suite to accomodate the 5 of us there were 2 double beds in 1 room and a pull out sette,which me and my husband slept on and was seperated by double doors. The bathroom was spacious and very clean. The hotel room had a coffee maker and buiscuits and desk and 2 televisions. It was a central location to get 2 a 10 minute walk from times square and about 25 mins from central park.The staff were helpful and friendly and check out was at midday. Our daughter was poorly so they let us keep the room on untill we left for the airport at no extra charge. The food was lovely and at breakfast there was plenty of choice to suit everyones taste. We stayed for 1 evening meal as usually we would eat out on route to somewhere and it was very nice and reasonably priced.Having 3 children we find it harder to get accomodation that is spacious and comfortable but this hotel managed it and would def stay there again and would recommend it to anyone.	
Jun 22 2007 	Very nice	Although the room was not large, it was big enough and very well appointed. Of 9 hotels I stayed at in NYC during May &amp; June 2007, this had the second nicest. The bathroom was probably the nicest. It had matching containers for the bathroom amenities, including one for Q-tips, which none of the other hotels had. The gym was pretty good. The location is convenient in mid-town and an easy walk from Grand Central.	
Jun 20 2007 	Nice business hotel stayed for fun	We stayed at the Yorktown Marriott for a trip primarily to visit the Metropolitan Museum of Art and Central Park. While it is a few blocks walk to those attractions, it isn't too far and the Upper East Side is safe enough and fun to walk through.The hotel itself was very comfortable. Only sixteen floors and we were on the fifteenth. Our view was interesting: straight through two adjacent taller buildings to the FDR drive and the East River (if you really cock your head.) Most views, though, are &quot;of rooftops&quot; according to the bellhop. In room we had an individual coffee maker, full size iron and ironing board, good TV with web access as well as internet jacks and hairdryer. Great bedding and comfortable beds. As in many NYC hotels, not alot of space in the room. A wardrobe, 2 queen beds, reading chair and a workdesk with a handy pullout for more desktop took up most of the room. Nice bathroom with good water pressure and Davies Gate toiletries. On the Lower Level, the hotel has a jacuzzi(so good for tired feet!) and lap pool open until 9 pm. Also a workout room with new treadmills. My favorite is a gratis Maxwell House brewer offering freshly brewed by the cup coffee and well stocked condiments also on the lower level.Did not try the hotel restaurant; they made a bad first impression by refusing to let my mother and son use the restroom as it is for &quot;restaurant guests only.&quot; That's okay, we have a room and NYC is FULL of great restaurants! It is a few blocks to any quickstop stores that are open late and their stock was disappointing by New York City standards.To end on another up note; the valets and bellhops were great; Friendly, efficient and fun as was the rest of the staff.Recommended for business and pleasure alike.	
Jun 5 2007 	Had a great corner room!	Attended a conference at the Marriott Eastside from 5/29-6/1/07. Took a red-eye flight from Sacto. to JFK and arrived at the hotel a little after 10: 00 AM on a Tuesday. A room was available, king with handicap acessibility. We took it because we wanted to drop off luggage, clean up a bit, and do some site-seeing. Room was located in the corner of the 5th floor. We had 3 sets of windows facing 2 different streets. The 5th floor had been recently re-done like many of the floors here and was very comfortable with plasma TV, frig/cooler, wonderful Marriott bed etc. Room was large compared to NYC standard. Bathroom was huge with only shower (handicap), but we never expected to soak in a tub. Wireless was $12.95/24 hr period but was fast and never crashed! NYC can be very noisy through the night. honk honk honk, .....but we really didn't notice it. Never ate in the restaurant, although bar was comfortable, multiple TV's, snack mix, but expensive drinks. Bell cap, desk clerk, and concierge were all extremely helpful and we would definitely stay here again. Fitness center on 35th floor and since new renovations were happening on 32-34, needed to use the stairs to fitness center from 32....whoooooooo, that was a work-out in itself. Free fitness center, good equipment, lots of TV's, water and towels available. Floors 32-34 will be ready mid June so check it out! Subway station 3 blocks away. Lots of sites within walking distance: Radio City Music Hall, Rockefeller Plaza, Central Park, Empire State Bldg, Times Square, Theaters, NBC, etc. Wonderful full service deli's across the street. On last day, (Friday) got a late (2:00 PM) check out without any issue. Marriott is still my number 1 choice.	
Jun 2 2007 	Adequate but street noise much worse than some others on Lex	I've actually stayed at this hotel 3 times for business from 1999 to 2003. Adequate hotel, convenient location, nice bar. However, I suggest you get a room off Lexington Ave and not the side street. The side street noise was awful - overnight garbage truck pickups don't seem as noisy at other nearby hotels. Suggest you request a room on as high a floor as possible to avoid this street noise, or bring a white noise machine to block some of it out.	
May 14 2007 	Bland	I agree with other reviewers that the hotel seems dated and worn. I was looking for that little extra that comes with the Marriott brand. Our room was clean, spacious (by New York standards), but for the price I would have expected at least in-room coffee, a mini bar and maybe robes...Stores around the hotel closed at 7 pm, there are not many restaurants (and they are really overpriced, even by New York standards : 14.95$ for 2 eggs and bacon, and 3$ for coffee ...) We&lt;ll stay in the Upper West Side next time, for cheaper hotel rates and a neighbouhood feeling	
May 10 2007 	Hmmmm...probably not again....	I stayed here for 3 nights on business. The Marriott Marquis was charging about $400 a night the week I went (I think it was spring break) and this hotel was about $100 less, so my company encouraged me to stay here. Now, I like the Marriott chain, overall. I play the &quot;point game&quot; when I travel on business so while there might be better choices nearby, I chose here for &quot;other&quot; reasons. The good: 1) Nice bedding and clean room.2) Friendly and professional staff. 2) Decent wait times for an elevator (which can be a problem in other large hotels in NYC).3)Quick room-serviceThe not-so-good: 1) Immediate location is not that interesting (and yes, I know this is Manhattan, but I was here on business and stayed reasonably close to the hotel after working a long day). It was too far of a walk for me to see any noteworthy &quot;sites&quot; such as Times Square, Central Park, etc.2) Building seemed dated and in need of an immediate refurb.3) Price could probably get something nicer if you aren't playing the Marriott Point game.4) Rooms were small for the price paid.5) No view even though I was on a higher floor (unless you like staring at an office building across the street).6) Overall &quot;old&quot; feeling to atmosphere (and I don't mean the people, just the &quot;tiredness&quot; of everything associated with the property).Will you have a great time if you stay here? Of course. It's NYC and that should overshadow every nuiance I've cited (it just won't be greater because you stayed here).	
Apr 24 2007	!!They canceled my penthouse reservation 3 days b4 I arrived!	4 months in advance of arriving I booked a penthouse room with large terrace. The rate quoted was $1600 per night.I spoke directly to a “salesperson” to book the room - due to the cost involved.I was sent a reservation confirmation by email (with confirmation #) months before my arrival date..Still, just to be very sure, I called the salesperson back 3 business days before arriving to re-confirm my stay.I was told: “Oh I was just going to call you … to tell you that your room is under renovation and will not be ready for your stay.&quot;At that point I had $2000 worth of theater tickets booked + all dinner reservations made + business class flight booked months before.I travel extensively; I have **NEVER** had a hotel arbitrarily cancel a $1600 a night reservation within 3 business days of my arrival.Marriott? NEVER AGAIN!!!	
Apr 20 2007 	Nice Hotel	I made all reservations by internet. Very good rates for this hotel. The locations is perfect . Close to principal tourist place. All type of transport. The room clean but small. Personnal very nice . I recommended this hotel and i hope to comme back soon.	
Apr 20 2007 	Nothing Special	Stayed the weekend at the Marriorr East Side.Although the room was clean and the bed was comfortable, the room was the size of a jail cell. The windows were right out of a prison and the walls shook every time another door closed down the hallway. And I'm a Marriott Silver member! Nice upgrade...They called this hotel building &quot;historic&quot; - it's just old and has seen better days.The staff was friendly but struggled with their own reservation system and general customer service. They didn't understand the rates through their own web reservation system. A business meeting the next day presented its own set of customer service challenges.The in-room TV kept losing the satellite signal during the rainstorm that weekend; used room service and the food was less than average.Tried to keep in mind that it's Manhattan and I've stayed in some brand name hotels that were much, much worse.The lack of organization at the hotel left a bad impression.I would not hold a business meeting here. If I had to get a sleeping room here, I'd deal with it. But I'm not going back unless it's absolutely necessary.	
Apr 2 2007 	Hotel Does't Live Up to Promises	We stayed at the New York Marriott East Side for two nights (March 24 - 26) in 2007. When making the reservation we requested two things: two double beds and early check-in. We got neither. We arrived at the hotel at 10:00 am. I fully expected that our room would not be ready - I was correct. I also learned that my request for two double beds was not confirmed (only requested) when I made the reservation. They said that they could give me a king room with two roll-away beds. I pre-registered for the room (this meant that they would take my CC info and put me into the system. All I needed to do now was pick up the keys.) They also said that the room would be ready at 12:00 noon. We checked our luggage and went to explore the city. We returned to the hotel at 1:00. The room still wasn't ready and wouldn't be ready until 3:00. So basically, requesting early check-in meant nothing. Both times, as I waited in line at the front desk, I overheard quite a few conversations of guests that were in the same situation with the beds as we were. This hotel needs more double beds!OK - finally about 3:20 our room was ready! Once we arrived at the room, we discovered four large containers of some very disgusting Chinese food that was obviously overlooked by the housekeeping staff in the cabinet next to the refirgerator. Now this food wasn't just missed that morning. This food had been there for a few days as it was growing mild and was very obviously spolied - YUCK!!! As promised, our roll-away beds arrived but without blankets and pillows. One roll-away was broken. We dealt with it the first night and used pillows and a throw off the king bed and a blanket that was found in the closet.The hotels location is within walking distance to Rockafeller Center, St. Patrick's and even Central Park. There's a subway station nearby for anything else not close to the hotel.The hotel did offer complimentary coffee in the morning.Since we didn't spend much time in the hotel, it was adequate for our needs. I'll look elsewhere for a different hotel next time.	
Feb 10 2007 	Good location okay hotel rooms need refurbishment	Location: very goodThe location of this hotel is great. Okay, it is not right at Times Square like the Marriott Marquis (much more expensive)... this hotel is a 10 minute walk from Rockefeller, 15 minutes from Times Square, 5 minutes to Grand Central &amp; 5th Avenue and 3 blocks from United Nations, so not a bad location for this hotel.We only paid 199 dollar for our room which at the time of booking was a NY promo for Marriott Rewards members.Check-in/Service: friendly and quickWhen we arrived the 20th of January, lobby was quite empty and check in was smooth and friendly. We requested a room on a high floor and got it at the 21st floor. However, when we got to the hotel, there were no bell boys carrying or prompting for our luggage or assisting us out of the taxi. Check-out bill automatically printed and put under the door. so no hassle when leaving. We stayed 2 nights at this hotel.Room (room nr 2115): below the expectedThere was only one window overlooking Lexington avenue and a lot of buildings, but it was fine. The bed was very comfortable with fluffy pillows and nice cosy duvet. The bathroom was rather small but everthing was there, it was also very clean. The rooms obviously need an upgrade as we saw some falling debris from the ceiling. The fridge in the room was empty and was noisy during the night so I had to switch it off.. Generally the room was nice even though we had higher expections from Marriott. Good news for Marriott fans because the rooms will undergo a refurbishment, there was a little display in the lobby with the improvements under way with new colour scheme etc.Food/BreakfastWe didn't take brekkie in the hotel but we did sample some food in the lobby lounge. We had some small bites and the service was quick and efficient even when the bar was full. Verdict: well, the location is great, nice landmark building, an overall good service and soon new room upgrades. This isn't a bad hotel after all but I wouldn't stay again in this property because for these prices, there are better options around.	
Jan 31 2007 	Wouldn't stay here again	I stayed here for 3 nights on a work trip and was really disappointed. My room (which wasn't cheap!) had one window and hardly any lights so was dark and dingy. Customer service was not good; I asked for a coffee maker in my room (not automatic here) but it didn't arrive. I was expecting a fax, after waiting for 10 minutes at reception, they advised their fax had just broken and told me I needed to give a different fax number, and go to the business centre (this was after me asking; I would still have been there had I not asked!). I gave my Marriott Rewards card in on check in and again on check out and only after me asking whether he could check my points was I told sheepishly they hadn't been added. There are many hotels in New York, and lots of them are much better value. I won't be visiting again!	
Jan 26 2007 	Woeful trip	Terrible hotel patronising management complaint dealt with in a shambolic manner Never Never again will we stay in a Marriott even for free.We booked our trip by telephone to be sure of 2 queens .Apon arrival only 1 queen was available we had just arrived from Belfast 14 hours away and received a petty apology that they were over booked and we werent the only family this had happened to .As if we were bothered to worry about other guests .We ended up in a lousy larger room with 2 flea ridden roll aways delivered 7 hours later after checkin ....My husband had a large amount of loyality points which meant nothing when we complained politely.We had even received a request 3 days earlier for our bedlinen requirements I asked staff was this to ensure my young jet lagged children were comfortable on the street ????????	
Jan 25 2007	All that noise	Me and a friend stayed at this hotel on a visit to New York to celebrate St Patrick's Day. I've stayed in a lot of hotels in the city, but this had to be the worst one. We were in a room on the 11th floor but could hear lots of traffic noise from the street below. There was also a problem with the radiator in the room, the pipes were making a tapping noise regularly. When we complained the staff just said it was because the hotel was old. Surely Marriott fix problems in old properties as well as their more modern ones? I don't stay at Marriott hotels anymore because of their response to my complaint.	
Jan 25 2007 	Overall Good Stay	I was in NYC for a business trip, and decided on the Marriott East Side because of its location to work, restaurants, and city sights. I also wanted full service amenities. The room was a nice size for NYC standards, and it was clean and well kept. I requested a &quot;quiet&quot; room away from the street noise on Lexington Ave. While I was not bothered by street noise, the noise from the heater woke me up several times during the night on the last two nights of my stay. The temperature in the city had dropped dramatically, and I like to have a warm, toasty room. It was explained to me by the hotel engineer, that the pipes make that noise because the building is an old. There was nothing that he could do about the noise. The noise was not a problem for my co-worker, who was in a different room, because she does not like to be too warm. So, if your preference is for a toasty room, you may have issues with the heater noise. I went into the Shelton Grille for breakfast one morning, and they failed to deliver what I ordered. After waiting for 20 minutes, I had to leave for work. The waiter was very apologetic, and insisted on giving me my order to go. It was also complimentary.The entire hotel staff (except the gift shop cashier) was very helpful and polite. The Concierge had great restaurant and activity suggestions.	
Jan 7 2007 	good expierance	This hotel is old. But it didn't seem particularly worn, it felt historic and nothing noticeable to me.We had two rooms on the 12th floor. One had a bigger bathroom and one had a bigger bedroom (by maybe inches) The bathroom was clean, had nice bath&amp;body lotions and shampoos. plenty of towels.our windows faced the side street not lexington soo it wasn't as noisy.beds were doubles and were comforable.Conciegere was a great help. Location was amazing.We wanted late night desert and they kept the kitchen open just for us. Two things:1. my dad did not like the square pillows and the other pillows were way too soft and were not fluffy... perhaps something i nthe middle of the two 2. The remote to the TV didn't work and no one came to do anything about it. It really didn't matter we were not in our room watching tv but it was nice to get the weather report and see some of the score late at night when we got back to the hotel.	
Dec 21 2006 	Great MidTown location	Spent Dec 16 &amp; 17 at this hotel, not a NYC expert but found the location to be excellent. 2 Adults and 3 kids camped out in the room but we were not there for the room experience. Service was great, Location great, easy on/off FDR, $$$$ for parking but this is NYC. Less than a 30 minute walk to almost any MidTown location. Took the S line between Times Sq &amp; Grd Central which was convenient.	
Dec 11 2006 	We did not like this hotel	We stayed at this hotel for 3 nights. We did not like it very much.The hotel is kind of old. The room we had was big (in compare t o other hotel rooms in NY) but still old. The same with the bathroom: big but old. The lifts in this hotel are horror ! Sometimes you have to wait for minutes till the come to your floor !!!The location of the hotel is ok. Very close to 5th Ave. But thats about it. We also stayed at THE SOHO GRAND hotel in Soho, and we loved it. If you want to stay in this area of the Marriott i think I would go to the W-HOTEL right next door. I have not stayed there but I looked much nicer	
Dec 2 2006 	Good hotel GREAT location	We stayed here two nights at the end of Nov. 2006 as tourists NYC. Got a good deal through Priceline. The hotel is older, but it has great character. Service from the front desk and the concierge were impeccable. However, the lobby area can get very busy during the early evening. Our room was nice; pretty much what you would expect from Marriott - complete with essential amenities. The only complaint about the room was that it quite noisy at all hours, with the traffic on Lexington. The highlight is that the hotel is in a GREAT location with a lot of GREAT shopping nearby and easy access to cabs and the subway.	
Oct 18 2006 	You Can Depend on Marriott	You can almost always depend on Marriott and the New York Marriott East Side lived up to our expectations. The location at 49th and Lexington Avenue is great because most of what we did in the four days we were there was within walking distance, including the Broadway shows. We felt safe in the neighborhood. Our room was small but very tastefully decorated with a very very comfortable bed. We ended up paying twice what we had for a room at the hotel across the street just 6 months ago, but this was a reflection of the overall NYC hotel market and this was the only room in its class that was priced below $400 in this neighborhood. The only thing I would have appreciated that was not provided was either a bigger towel or a terry robe. Other than that, it was not any less of an experience than the trendy W Hotel across the street.	
Oct 15 2006 	Always Happy at The Marriott East Side!!!	My husband and I have stayed all over the city with our children and without (2 girls 7 &amp; 9). Comparing the Marriott East side to the Hilton on 6th or the W in times square it's easy to give this hotel a rave review. We were just their from Oct 6-9. When we arrive we are always greeting with smiles and hello's. The hotel guest relations coordinator Kenda remembers us everytime we go (about 3 times a year). This particular stay we reserved a Jr Suite with a pull out sofa for our children. When we got to the 6th floor room it smelled of smoke (non-smoking hotel) and the tub was clogged. I called down to the at your service desk and requested a change of rooms due to the fact of an asthmatic child. We were not given the same room but instead the Ambabassador Suite on the 33rd floor. The hotel staff could not have been more helpful. My profile with Marriott states that I have an asthmatic child, however I don't feel that this is why I was switched to such a large suite. I believe it is the relations that the staff tries to keep with it's guest. I have never experienced a rude employee at this hotel. Having stayed here about 3 times a year for the past 5 I find that quite amazing. Not sure if everyone knows this, but JW Marriott is the parent company for the Ritz Carlton. As a frequent guest of the Ritz in Boston as well as the Ritz Beach Resort in Naples FL. It is easy to compare this category 7 Marriott to the Ritz. For anyone who expects a LARGE hotel room in NYC should do somemore research, most that I've stayed in have been quite small. I'm sure do to the fact that the city is so populated. Paying over $500 a night was completely fine for what we got (even if our room hadn't changed) Location, just blocks from the best shopping and sites in NYC. The easy highway access and the fact that you are in such a large city and yet at this hotel you get the feel that you are in a neighborhood. I would recommend this hotel to anyone who wants to enjoy New York!!!!	
Oct 4 2006 	Good for Business Travelers	I frequently stay at the East Side Marriott while in NYC for business. My most recent stay there was in June of 2006. This hotel is conveniently located on the east side of midtown, provided a great location when needing to get a cab to the airport and also within walking distance of most of my client meetings.The staff are friendly - they are always willing to call a cab with a smile or help with bags. I often arrive in the morning straight from LaGuardia, and if my room isn't ready, the bell captain happily checks my bags with a smile. The rooms aren't huge, but they are clean and functional. The rooms on the higher &quot;club&quot; level are larger than the regular rooms, but all rooms have marble bathroom and comfortable beds. I have not used the fitness center on site, but I have had no trouble with room service or the hotel restaurant.Overall, I think the East Side Marriott is convenient and provides good business services for travelers. I would also consider staying here for leisure, although I can't comment on the concierge service.	
Oct 4 2006 	Average hotel great location	I stayed at Marriot East Side NY 5 nights from sept 16 th. to sept.22.th. For the five nights I payed 2900$ (including tax) which I thought was much to expensive, comparede to the hotel standard, which I thought was very, very average. The reception was dark, dull, and smelled a sort of &quot;moldy&quot;. My room which included a very comfortable bed (and that's important), was quite small, and very simple. It seemed quite worn, the carpets were stained, the bathroom OK, but with no warming so everything I put there got quite humid. The people at the frontdesk (reception) seemed a bit rude to me. They did not say hello or velcome when I arrived, and not goodbye when I left. They just replied yes og no shortly at all my questions, and they never gave a smile. As my first impression of USA in my whole life, I wondered were I had landed. After a while I still found this very strange because all other people working at the hotel were so nice, velcoming and polite. The same good impression I got of all other people I met in NY, both in business and leisure situations, during my stay. The manager which desk was right beside them also was very polite nice and helpfull. The concierges as well!What was great with the hotel were two things: The location was just fantastic! In walkingdistance to almost everything, I just loved it! And since the UN General Assembley was gathered, the traffic was a big mess, and then it was lovely just to walk the distances. And I loved the Starbucks on the next corner. The other great thing with the hotel was the fitnesscenter in 35 floor. I just loved it! Morningexercise with a great view all over The Big Apple, I cannot believe how lucky I was!!. I did just visit the restaurant for breakfast. which costed 25$. Quite expensive, but then you could eat as much as you liked and the variation was great, even though I just ate fresh strawberrys and toasted bagles everyday. Well I have to admit I was quite disappointed about mye hotelroom. (suppose it is because I have heared a lot about big rooms and a bit more &quot;glamour&quot; when it comes to american hotelstyle) I am glad I didn't realise the price before I left, and that it is my employer paying.... But I just loved New York, the people, the city, the everything!!!!!!!!	
Sep 13 2006 	Nice room 	We stayed at the New York Marriott East side 9/3-9/5/06. The hotel location is GREAT - 6 blocks from the middle of Times Square or a $5 cab ride. It is an older hotel, in fact I think it said something about it being the tallest hotel in the world in 1920's. That translates to the room layout being somewhat awkward, our closet was tiny, and the elevators are small. They weren't slow to me, but only fit 5-6 people. Nothing in terms of decor looked old or outdated to me. The bedding is wonderful! The rooms are nicely decorated. I did notice some stains on the ceiling, but that didn't make or break my stay. The gym has a great view of the city. We ate the restaurant and the bar and both were good. The concierge was helpful with attractions. It is expensive, but not shocking for a hotel in downtown NYC.	
Aug 23 2006	Wonderful Experience	My husband and i just returned from a 4 day visit to New York. He commuted there for 30 years and now we love to visit. I thought I had been guaranteed a king/2 doubles but we were given a queen. I pushed the &quot;at your service&quot; button on the phone and we were accomodated with an upgrade to a superior room - the Asst. Mgr. was extremely nice (which I can't say for the check-in clerk). We are Marriott Silver Elite members so that may have had some bearing on our upgrade. The room was wonderful, clean, and a great view of the Chrysler Building. We had and incident in our room with a window coming out of its track - the maintenance and secuirty guard were so nice and responded immediately. We had to move again and were given another upgraded room. All staff, other than the check-in clerk were very friendly and very helpful. We loved the new Marriott duvets - very cozy. The concierge staff was also most helpful. We did not hear a door slam or any noise from the street (we were on the 22nd floor). All in all a wonderful experience.	
Aug 17 2006 	Nice Hotel nice location.	We stayed here for 3 nights in August (2 adults, 2 teenage children) and found it to be a very nice hotel. The main plus point being the location. The staff were very helpful and friendly. It was on the expensive side $376.00 per night, but this is probably because of the location more than anything else. We ordered a larger premier room with two queen beds which was a very good size. The room was at the rear of the building, so there was no view at all, but is was clean and very comfortable. I wouldn't hesitate to stay here again. As for the lifts, we never waited more than 20 seconds.	
Aug 13 2006	Nice hotel Horrible view good location but expensive	This was the first time we have taken a family trip to New York, and we had great trouble trying to find a hotel room to sleep 5 people (2 adults, 3 children) and we finally picked the Marriott East Side. As the hotel room was about $500 a night I was expecting something a bit better than normal.Check-in was easy, but when we opened the door to our room I was very disappointed. The room looked very dated (decor &amp; furniture) and the view was the worst I hve ever seen. First impressions were zero out of 5 !! In the end we thought the room was comfortable enough (even though the mattress on the sofa-bed could have been thicker as the bed frame did tend to dig in to my thigh when I rolled over), and the view from the room didn't really matter as the only time spent in the room was while sleeping.The hotel is in a great location (opposite Waldorf Astoria) with a hop-on/off stop for the Circle line bus company just 50 yards away.Hotel bar was nice and staff were friendly. In all we think the hotel was comfortable, in a good location, had a horrid view from our room and was very expensive. I very much doubt if we would stay there again, but that all depends on what other hotels in New York will take 5 people	
Aug 2 2006 	Nice but overpriced...	I've stayed at many Marriott before and always had good experience but I can't say the same for this one. For start, it was expensive. I booked a room for 4 people and specifically requested 2 double beds. At check in, the staff told me they didn't have any of the room type I requested and that I would have to live with a king and a roller bed. I was too tired to argue so I took it. So it was 3 people on the king and 1 on the roller. The king bed was nice and very comfortable. However, the roller was not comfortable at all and my friend couldn't sleep all night. The hotel itself was very nice and our room as nice and clean as expected. However, at 6 am, I was awaken by the construction outside my window. Whatever you do, do NOT take out the drinks from the fridge because you will get charged even if you don't drink it. I simply took some stuff out to look at them, at check out, I had to argue with the front desk for charging me. Overall, I would say it was a nice hotel for couples, but not for singles.	
Jul 22 2006 	very impressed!	My wife and I stayed during the July heatwave.....and found the rooms to be very large, cool, with excellent bedding, wonderful bathrooms (marble floors and rainshower head), and very quiet. The 37th floor work out room has amazing views and modern equipment. I let the reservation staff know it was a 40th birthday and they booked us in an upgraded room and sent up fruit......a really nice touch. This felt like a real NYC hotel. Yes the elevators are vintage 1926 but I really enjoyed my stay. The Marriots are starting to really impress me overall. We stayed in 3 different hotels during our 4 day stay and I think this was the most impressive.	
Jul 12 2006	Good Overall	My family and I recently stayed at this Marriott East Side in NYC for 6 days and had a good experience. The hotel check-in staff was very nice and upgraded our room when I expressed concern about the rooms being too small for a roll-away (based on reviews posted on TripAdvisor!) We were upgraded to a corner room which had more than enough room for all of us. The hotel is located close to the subway (3 min. walk up Lexington) and centrally located to most of Manhattan. There is a Starbucks 1 block away and the hotel is close to numerous delis, pharmacies, etc. The concierge was very helpful with restaurant recommendations and directions/advice. The gym was also nice - located on the 35th floor. The view was quite interesting and the aerobic machines had their own TVs. There were also a few machine weights and a very small (1 person) free weight/stretching area. Be advised however, that the hotel is noisy - windows are thin - even on the 19th floor I could hear cars honking every night, all night long, through my earplugs! In addition, the air-conditioner in the room was noisy and turned on/off all night long. Also, the maid service was a bit lacking - stains on the carpet; dust everywhere, mildew stains in the bathroom grout, etc (I think this must be a management issue with the Marriott, because we had a similar experience in Boston at the Marriott Long Warf just prior to our stay at the East Side NYC location.) Although we had maid service 2x day, neither cleaned or refreshed our in-room coffee maker, changed our sheets or put away our iron/ironing board unless we specifically requested. Overall, I thought the hotel was a good value ($250/night) and I would recommend it to anyone who is not a light sleeper or a neat-freak because of its location.	
Jun 30 2006	The worst!	This is a 4 star hotel? Our room was a closet; the rugs and upholstery were stained and tired, and the bed was so awful we ended up sleeping with the mattress on the floor.The public areas were crowded with some of the most unappetizing people in the world: hordes of loud and pushy families dressed in shorts and too-tight clothing. Waits for the too-few elevators (half were out of service) averaged fifteen minutes.The only redeeming feature was the helpful maintenance and maid service staff. Perhaps they felt bad for the guests.What a dump!	
Jun 26 2006	Marriott East Side Better than I thought	After reading the bad reviews, after I had already booked the Marriott Eastside, I was expecting the worst. It was not bad at all! The hotel is centrally located Eastside/Murray Hill. It's easy to walk to most places. The rooms were a bit small, but it is NY in a historic building. Be sure to get a high floor to avoid road noise and to avoid the slow elevators. The upper floors seem to get an elevator that is descending from the gym on the 35th floor. Price was right, location was good, and the staff was very courteous.	
Jun 6 2006 	Run down not at all worth the price	Booked at the East Side Marriott for a business trip to New York. Of all the hotels (and Marriotts) I've stayed in all over the world, this is the worst. Run down hotel, mildewed moldy shower, broken locks on the door, lemon lysol flavored body products (I actually had to rinse the lotion off b/c it smelled so terribly). For almost $400/night, you can find much better...even in the Big Apple.	
May 25 2006 	Dirty smoky rooms	I booked this hotel because of a convention. The rate was good, but the rooms were very dirty: carpet stains, smoke smell covered up with heavy perfume. I originally had a large corner king room, but asked to move to another room because it smelled so bad I couldn't sleep. Then received a small room right next to the elevators. The smell was a little better in the smaller room, but the carpet was extremely dirty.There was also a party next to me one night, people up until all hours and lots of smoke.Do not stay here if you used to a full service Marriott, you will be disappointed. I had better service and cleaner rooms when I stayed at the Courtyard on 5th Ave.Pros: - Location - Cheap convention room rateCons: - Sub standards service - Dirty - Extremely slow and cramped elevators	
May 22 2006	Some Good Some Not So Good	My father and I booked at room at Marriott East Side to attend a 2 day family event. We arrived on a Friday at 6pm to find that there were no rooms with two double beds available, that we would be put in a room with a king bed and a roll-away bed could be provided. Our reservation clearly stated our request for a double-double and we felt this was necessary for obvious reasons. Now I understand how the request process works, but there should be a policy that allows a person to guarantee a room with two double beds or allow them to look elsewhere. I realize that Marriott's cancellation policy is extremely generous (allowing cancellation up to 6pm the day of arrival), but I would be perfectly willing to be on the hook for a night's room rate with a guarantee that the bedding preference is honored. If you want to take a chance your request might not be granted in exchange for the generous cancellation policy that's fine with me. But if the request can't be guaranteed we should have an opportunity to look elsewhere for other options, not find out at 6pm on a Friday night that I have to sleep in the same bed as my father! It's just too expensive to not get the product you paid for. To her credit the front desk clerk handled the situation in a reasonably friendly manner and upgraded us to a junior suite to placate us.Other reviews have mentioned the elevator. The elevator situation is truly a horror show. It takes way too much time to get an elevator, particularly during the crunch hours. Plus, it does not engender confidence when the elevator acts a bit quirky during operation. Several elevators made odd sounds and would lurch a bit during transit. I ended up taking the sta most irsof the time.The bathroom had no vent, the TV was placed in such a way that you could not see it fully from either the bed, or the couch. Good luck finding out how to get the fitness room on the 35th floor (hint... it takes at least 2 different elevators). The sheets were nice, high thread count variety and comfortable. The room was mostly clean, although there were some beard trimmings around the sink when we checked in. The breakfast included in our room rate was reasonable. The breakfast buffet had a nice variety. Several times we went to seek the advice of the concierge and they were not stationed at their desk. The seating arrangement in the lobby bar isn't thought out very well. We also noticed the next night that the people who were riding up the elevator were eating fresh chocolate chip cookies. We asked where they got them and they said they were given out during check in. No cookies for us during our check in process. Guess that's the way the cookie crumbles.This is a hotel geared toward conventions. I would steer away from this particular Marriott if you are in NYC just for pleasure as there are so many better choices with greater intimacy. We felt like we were in a hotel factory.	
