	Great Value for Money	Recently stayed here with my daughter. Really nice hotel in Downtown location. Close to Soho, China Town and Greenwich Village. Subway 5 mins walk to Uptown Manhattan. Staff very friendly and helpful. Would recommend this hotel. Within a 20 min walk to the financial district, World Trade Centre and the Staten Island Ferry. Great Value for money, with a good restaurant. Rooms clean and although not big, they have everything you could want. If you want a drink there is a central tea/coffee making service on each floor.	
May 10 2007 	As always a fantastic stay	This is the third time i've stayed at the Tribeca Grand and the only reason i keep returning is because i know i can relax and am guaranteed flawless service.NY is famous for its hotels - i've sampled quite a few of them, many in a higher price range. This one tops them all every time in terms of ease and convenience.Its not the most beautiful, but you're sure to be met by polite, friendly staff who have your preferences recorded from previous stays. Check in is as easy as presenting your credit card, and from that point on nobody bothers you unless you request something, in which case it will be dealt with promptly and professionally with no mistakes.This particular trip i spent the first half of the week at the St Regis because it had been booked for me by family who were also staying there. Once my family left the city i couldn't WAIT to check out and head back to Tribeca. The contrast was noteable - the one had uppity staff who made a long trail of errors (how is that even possible in 3 days?), and checking into the Tribeca Grand was a breath of fresh air.Cannot recommend it highly enough. And who expected such good service from somewhere so cool?! Try it - you will not be disappointed.	
Apr 29 2007 	Loved it	We were upgraded to a Grand room which was lovely - fabulous view, enormous comfy bed, great decor and bathroom. We found the white noise system worked very well for us but we were on the top floor so maybe this helped!The staff were helpful and friendly and even managed to get us a cab when the streets were gridlocked on a Saturday afternoon. The vibe is very trendy and the hotel does pride itself on this so there was a long queue for the nightclub which went past the bar and into the lobby on the Friday night. Go for the atmosphere and be part of it!	
Apr 28 2007 	Not as grand as the price	We booked the Tribeca Grand due to it's proximity to the venues of the Tribeca Film Festival. With all of the amazing places to stay in NYC for over $400 per night, proximity to your activities is the only reason to stay there. For the price, there is not enough value. While there are some bright spots, the list of down sides is too long. When I had an issue at the front desk, I had to repeat it to three levels of personnel until a simple billing matter was resolved. The rooms are small and unexciting. They clearly favor their bar/lounge over their resturant in terms of staffing and attention to detail. If you are looking for a burger, it's fine but if you want a Filet, go around the corner to Pepolino (Italian). Wireless internet in the room is inexpensive ($10 per day) but they charge you for each computer you wish to access. You can go down to the lobby for free wireless. I used both and found the room to be a more speedy connection. The lobby wireless was painfully slow. On the plus side, if you like brown decor, you will love this place. If you don't, you really should stay elsewhere. The doormen at this hotel are extremely helpful and very cute as well. The doormen gave us better resturant recommendations than the concierge. My hats off to you boys. We stayed on the 8th floor so neither the bar/lounge noise nor the subway/street noize bothered us as in other reviews. Book your hotel reservation online for discounted pricing but then check often with the phone line for lower prices on your stay. Our prices dropped after booking and because we stayed on top of it, we were able to get them to lower the price on our reservation. My recommendation....There is more value at the Embassy Suites around the corner.	
Apr 11 2007 	Trendy and friendly	We booked the Tryst in Tribeca package (including breakfast in room and other fun gifts like early check-in and late check-out)We were upgraded to an executive room which was huge, lovely decorated and what a view!!!Huge windows, almost a window wall, great bed and linens, nice bathroomThe only negative point as mentionned in other reviews, is the noise/music coming form the atrium in the eveningEven with the sound reducing system it can be a litlle annoying, furthermore why putting the music so loud if you have only 4 guests in the atrium??For the rest everything was perfect, super location if you want to travel with the metro (5 lines passing by) and friendly staff (a little bit less in the bar)Would surely come back	
Mar 27 2007 	Tribeca Grand? Never again	The only positives to this hotel were the champagne upon arrival and the soft towels. Other than that, it was a bad experience. We had a &quot;recently refurbished and renovated room&quot; which ironically was the cheapest rate (at $324). Now we think we know why-- it had an awful musty/mildewy smell, mostly in the bathroom but also detected it from the vent system at night. Called front desk to ask for another room but were told none were available except for smoking rooms. We believe the room must have been recently refurbished due to some kind of water damage but the stench is still there. We were on the 2nd floor directly over the nightclub, which was very loud even with the white noise machines they have built into the rooms. Then every so often, the room trembled along with a loud rumble. When I looked out the window down to the street one level below, I noticed the sidewalk was all subway grates instead. So every time the subway went by underground, we felt it and heard it - all thru the night. And a couple of little details -- like they only left one chocolate on the pillow. were we supposed to split it in 2? Also the valet who parked our car in the garage 5 blocks away thought it was okay to change the station on our Sirius radio - he couldn't leave the station alone for a 5 block ride? We live across the river and come into NYC overnight several times a year and like to try new hotels. This is one we would definitely not stay in again, nor recommend.	
Mar 15 2007	Sweet Stay!	You get all the benefits of a hip NYC hotel, without the accompanying attitude. Attention to detail, smiles, answers to questions and a good sense of what's going on in town. Great choice.	
Feb 26 2007	Almost there but not quite.	My husband and I wanted a night away from the kids so we booked a room in the Tribeca Grand. At first, it was great. We liked the small size of the hotel, great location etc. They even have these great white noise systems that you can use to cancel out the noise of the city (or so we thought). At about 11:45 pm, our white noise system broke and the music from the bar was outragously loud. We called reception and they sent a technician up to our room and by about 12:30am it was clear that the machine was broken. We then moved rooms and all was well. But the television wasn't working in our new room.The hotel markets their bar as a scene and place to go on the weekends, so it is clear that their priority is to making the bar crowd happy. The design of the hotel is an atrium, so all the noise just travels right up into the rooms! There are so many great places to stay in NYC that I would not recommend the Tribeca Grand. We definitely won't stay there again. For the money, it just should have been smoother.	
Feb 20 2007 	fabulous hotel	We had a fantastic stay at the Tribeca. The concierge service was faultless booking us into an amazing restaurant. The room was wonderful and large!The only faults we had was the breakfast in bed was not great so we ended up going out for breakfast. Also the cocktails on the bar are ready mixes and you really want well made cocktails for the prices you are paying. That said I would highly reccomend this hotel.	
Feb 19 2007	Had a great time	We took advantage of a package the hotel was offering which included champagne upon arrival, breakfast in bed, complementary drinks at the bars, etc. From check-in to check-out the experience was great. The staff was cordial and helpful. In fact, the concierge made us last minute dinner reservations at what turned out to be one of the best restaurants we've ever been to. We plan to return to the hotel every year.	
Feb 11 2007 	Exactly what we were looking for	We stayed here for a long weekend in January and loved it. At arrival we were handed some champagne and our package also included candle in room, chocolate covered strawberries and complementary cocktails. Room wasn't big, but well appointed with big flatscreen, cd player with cool selection of cds, pet goldfish, etc. Complimentary concierge service was brilliant. They managed to get us into a great restaurant on the Friday of restaurant week as the restaurant we booked from London lost our reservation. Even on a Saturday night at 6pm they managed to get us a 8pm table at STK. Very impressed. Not a usual tourist location and be prepared to pay for regular cab rides if you want to go around Manhattan, but the hotel makes up for it. Great bar scene as well, the noise wasn't a problem at all.	
Feb 6 2007	Fabulous Stay	Loved the Tribeca Grand! Had been to the bar located there many times (Church) and decided to stay there this last trip to NY. It is my new favorite place! When we checked in we were greeted with a pampering hot towel and a refreshingly festive, much needed (after our long flight) glass of champagne. The rooms were not only comfortable but we noticed all the extras that made our stay absolutely wonderful! There is background noise installed in every room to drown out the sometimes very loud noises that go along with hotel stays and guests nearby. We slept like babies! Brunch was delicious and the late night scene was so fabulous we left our friends at a nearby haute to go back to the hotel club and have cocktails and a late night snack. I highly recommend the Tribeca Grand!!	
Jan 24 2007 	LOUD!!! Atrium style hotel with a popular bar in the lobby.	I am giving a neutral rating to this hotel because I am sure it is what some people are looking for, but it definitely was not for me.Due to a delayed flight, we did not arrive to the hotel until about 1:30 on a Friday night ---- we were surprised to see that their was a very loud and popular bar in the lobby ---- that would possibly have not been a problem in most hotels, but this is an atrium style building and even though our room was on one of the upper floors, we could clearly hear the beat of the bar's music. The rooms have a silencing machine which creates white noise (i.e., static sound) which is supposed to cover up the noise; the noise of the static bothered me too.Luckily we had packed earplugs (we always do, just in case we encounter something like this)- and, since we were so tired, we fell asleep quickly.To the hotel's credit, the next morning the front desk was extremely understanding when we said we could not stay their another night becuase of the noise. They also held our bags and assisted us in finding another hotel. Although they did not push us on their sister hotel, the Soho Grand, they suggested it and we ended up staying there. I will post on that hotel soon.In summary -It was LOUD! VERY LOUD! VERY, VERY LOUD!!!! But in a good location with nice rooms and friendly professional staff.	
Jan 16 2007 	Wonderful Stay	Although my stay was brief it was wonderful. From the greeting by the doorman; the front desk and the bartender everyone was friendly, helpful and made the stay memorable. Room service was prompt and generous. If only there were more light so those of us with older eyes could see it would have been perfect.	
Jan 1 2007 	Nearly But Not Quite...	We've stayed in a number of 4-5 star hotels in the past and unfortunately the Tribeca Grand failed to live upto its billing. On the whole the hotel is very nicely appointed. Our room was nicely decorated, the lounge also was good. Our main problem was with the staff of the hotel who it seemed were interupted from their posing by guests! Our presence there seemed to be a hinderence to the front desk personnel whenever you asked a question. We arrived weighed down with luggage and the doorman stood by and watched us struggle through the front doors without offering to help. As we checked in the receptionist seemed very aloof to us as well. We had heard that visitors to the hotel received a complimentary drink upon arrival. This wasn't offered to us.We ordered room service meals for our first night in the hotel and the standard of cooking was disappointing. Far below the levels I expect of a hotel with 4 stars. It wasn't bad as such, just lacking a level of care and attention to flavour.We ventured in the bar later during our stay to be stopped by one of the staff asking if we required seating. We said yes and he then had to go find the 'hostess' who then took us to our seats approx. 3 steps away from where he stopped us!!! The hotel seems to suffer from a lack of confidence from its staff. People don't seem to know what they're doing. There also seems to be too many staff more interested in preening themselves rather than attending to the needs of guests.Its a shame that there isn't a firmer hand in control of this hotel. It has great facilities, but needs to decide whether it is run for the benefit of customers rather than staff.	
Dec 20 2006 	Newly Renovated Rooms Make for Pleasant Stay	I checked into the hotel and was show to a small, somewhat depressing room. When asked if they had something a bit bigger we ended up with a newly renovated deluxe king room (a complimentary upgrade). The room has nice duvet, Frette bathrobe and large fluffy towels; wireless internet, bigscreen TV and modern, sort of masculine color scheme. We like the room and the service has been very good. I would consider everything excellent for a 4 star hotel -- and it compares favorably to other 4 stars in NYC. Obviously not quite as good as the 5 stars.	
Nov 27 2006 	very enjoyable	Lovely hotel, fantastic food and very helpful staff. Lovely extras too - goldfish in room, top rate music equipment provided, complimentary paper each morning, chocolate on the pillow each night, yummy bathroom products. Also great location, about six blocks to West Broadway /Spring Street shopping district and Tribeca Theare / bars, cafes etc.... Can't wait to go back.	
Nov 7 2006 	Not worth it	I stayed here two nights for a business trip and it was the worst hotel experience ever. The bathtub drainage was badly clogged when I first attempted to take a shower. I called the desk and expected some kind of apology and room switch, but they just simply said &quot;oh yeah we'll call an engineer.&quot; Then the maid tried to enter my room without even knocking.Ironically, the windows to the street are soundproof and there is minimal noise from the street; you can only hear occaisonal honks. The noise from within the hotel, however, is unberable at nights. Especially on weekends, this hotel turns into a club or something and loud music and noise go on well past 1 am.Their service at the restaruant was also very horrible. On sunday brunch I had to wait 5 minutes before even being seated and on one breakfast they didn't bring out something I ordered and then it appeared on the check. How great.Overall, this hotel's only forte is its downtown location and some level of security but at this price ($600+ per night) you can find better hotels elsewhere (Sofitel being my favorite for their excellent and amiable service).	
Oct 26 2006 	Very modern classy hotel	The Tribaca Grand was just what we were lokking for in New York.The interior is quite dark, with low lighting, but the fixtures in the lobby , bar and dining area were very modern and chic.Couldn't fault the bellhops, the receptionist nor the conceirge throughout our stay, very helpful and very smartly dressed. Jason, the concierge, and his team were very helpful to us whenever we had a question.The room we had was good, no view as such but the hotel is at an interchange, so what view was there to be had.The bed was FANTASTIC, solid and HUGE compared to what we have at home. Got a great nights sleep after trekking over NY city all day, helped by blackout curtains and a noise minimiser.The bathroom in our room needed serious updating, some tiles were cracked and where the shower fixtures went into the wall, they had slipped, exposing a hole in the wall. The paint job was dodgy (would complain to the painter if it was my house) but these were cosmetic problems. Large bathroom but again, why do top class hotels give you tiny tiny bottles of shower gel, a pet hate.Minibar prices a joke, didn't touch it and the bar prices matched, one glass of wine and a small beer $20.Great location for all subways, had the red and the blue lines within 2 minutes, even close to the dive that is the Moondance Diner (as seen on Friends and Spiderman). It's a shack but the pancakes are soooooo good.If the tab was on the company, would recommend to all, but would say eat and drink out if staying with spouse or your family as the bill would quickly mount up.	
Oct 2 2006 	expensive but pretty good value overall	Great location, close to subway lines and a short walk from all downtown amenities, SoHo, Wall Street, Chinatown, Lower East Side, Little Italy etc. Laid back but efficient, friendly, helpful and accommodating staff. Bed extremely comfortable - rooms are not huge but this is NYC!! Fantastic opulent Sunday brunch which is a bargain at $29.00. I liked the design, liked the vibe; a preponderance of young-ish fashionista/media types and a sprinkling of weekending suburbanites. Gets pretty hectic on Saturday night in the bar - didn't always want to hang out there but no problem to find plenty of other decent places in the neighbourhood. A good place from which to do your own thing. Loads of great touches - CDs and the BOSE wave player in the room, free bike hire, unexpected and welcome glass of champagne on arrival. Watch prices for room service and minibar - some of them are silly ($10 for a small tin of nuts?) but - will definitely stay here again.	
Sep 30 2006 	Tribeca trial and Error	Booking new hotels when your favourites are full is always a game of trial and error...the Tribeca gets good marks for it's location, interior design, restaurant and door service...BUT the star attraction of a hotel should always be the rooms..and, they were a disappointment. First the good points... location. Close to Soho, lower manhattan and great restaurants. the door staff are the stars of the show here...knowledgeable, friendly, good looking and willing to help (and not just because they are tip monkeys! which, in the US is unusual). The breakfast menu is great, service friendly and food was delicious! The interiors... post-industrial chic - emphasis on chic, exposed iron and metal/wood (very brown...could use some better lighting in the hall/corridors) but stunning atrium. Now for the let down...the room. Small, this includes the bathroom which is very metallic and industrial in appearance.. lighting is poor, and the faux Paul Smith toiletries are a bonus. Towels are small, and a bit rough cotton. The room, bed is comfortable and the noise reduction filter (necessary on a friday night when the atrium bar noise reaches trendy-party crescendo!) worked...thankfully! But, overall...feels like a 70's beige office turned into hotel experiment. It was expensive for what it was... the most impressive thing is the return guest programme of getting a goldfish bowl w/ live goldfish in your room or a choice of pillows. But, you have to return to get that I suppose. Staff are friendly and efficient...but the business centre is a joke...a cramped former utilities closet tucked behind the concierge. They charge $15 a day to use this internet closet and you have to keep walking back and forth from the front desk to the 'centre' to get/return the key...why not have the concierge control the business closet..the desk is right next to the door!?!? I am not a spoiled business traveller, and do not need to stay in the 'hippest' hotel..but, at the end of the day...the bedroom is the most important part and the Tribeca Grand is really just average. If you want to entertain or impress guests, it is an excellent choice because of the lobby/atrium bar. However, I would opt for the Soho House or Gansevoort if you want the perfect combination of both form and function that impresses. Even the sister hotel the Soho Grand rates better...so, the Tribeca is a decent fall-back hotel that makes a change from the chains.	
Sep 17 2006 	Loved This Hotel!!!	Had a wondeful stay and the staff was very accommodating.	
Sep 15 2006 	Would definetly stay here again	I stayed here for over a week recently during a work / personal trip and i was a little hesitant given some of the reviews about noise etc but decided to stick with the reservation. I had a great stay, from the moment i arrived I found the staff very attentive and pleasant. I ordered room service one night and they were great, they called to tell my flavour of ice cream wasn't available, which i thought was hilarious. i found the room a great size, i have stayed in shoe boxes in new york and although you don't spend much time in the room, when it's your home for over a week you want to feel like you have a bit of space, and i did. i didn't find the room noisy, in fact i was amazed at how loud the lobby seemed till i walked through my door and it just disappared once behind closed doors. The bar was nice, i only had drinks there one night and breakfast one morning, but it was very good. The only hitch came on check-out when i was checking the bill and there was a large bar bill charged to my room which was not mine, they dealt with it very efficently, it was a genuine mistake and very quickly i had a new bill. I would stay here again, the location was great for shopping, bars - short taxi ride to the meat packing district, more great bars and eating out, and quiet enough that it wasn't noisy outside the hotel. I didnt touch the mini bar - it was silly prices, there was a nearby store where i stocked up on water and snacks for the week. I would also make sure you know the address of the hotel, taxi drivers dropped a friend of mine at the Soho Grand instead and whilst its a short walk, i did find with most drivers it's good to know the address - 6th Ave and Church St ought to do it...	
Sep 7 2006 	5*	Very little to complain about with regards to this establishment. Have now stayed there 3 times and can say the service I receive is constant and 1st class. Stayed on this occasion for Labor day weekend in one of their Grand Guest suite. This is traditionally a busy time, yet the staff made us feel like we were the only people staying there. Service request were handled promptly and (most importantly) accurately. The staff were naturally friendly, welcomingly relax and always available.It was not a trouble free stay (due to a problem with the shower) but they rectified the issues within 30 minutes of it being raised. If forced to find a downside to my stay I would (begrudgingly) complain about the air con system, which at times seemed to have a mind of its own (even after setting it would eventually finding itself settling for a chilly 69F even when set to 75F). But this is probably down to user error.1st class hotel which I will always advise.	
Aug 25 2006 	Pleasant Experience at the Tribeca Grand	I stayed at this hotel for a business trip. I thought the location was great because it is close to both the 1 and the A/C/E subway lines (and was convenient to my downtown office). The bed was super comfortable and the room was surprisingly quiet (I was on the 7th floor). The only thing I didn't like was the bathroom. Although it was fully functional, in trying to be trendy it had a cold feel. The room was a fine size, and I was quite happy with the breakfast menu in the lobby restaurant - they were happy to accommodate special requests (changing sides, types of toast, etc.). The staff was also friendly towards a colleague's young child who visited one morning.One negative - and this is true for any hotel that charges for internet access - is the charge for access. I think that this should be part of the included amenities - or at least there should be reduced rates for people staying for more than a day or two.	
Aug 20 2006 	Really enjoyed staying at the Tribeca Grand	We stayed one night at the Tribeca and LOVED every second of it. When we arrived after a 3 hour drive we were given a glass of champagne along with hand towels to freshen up. Then we were nicely surprised in our room. Lovely room with rose on the bed, strawberries with chocolate and a great view of a rooftop garden across the street. It was a convenient place to stay for shopping and dining. Also the next day went to the Tenament Museum on Orchard Street - I would highly recommend this tour if your ancestors imagrated into this country. The staff was extremely helpful and friendly. I would recommend this hotel to anyone who wants a comfortable easy place to stay in an area that is interesting and has lots to do.	
Aug 18 2006 	Wish I could have stayed longer!	I loved the look of the hotel from the moment I walked into the lobby. The bellhops were so friendly, and the front desk staff was extremely helpful. Prior to my stay, I had read reviews that mentioned a lot of noise- so that is what I expected. However, I didn't hear any noise while I was in my room. Perhaps because I was always enjoying the cds and the great stereo. My companion also loved the hotel, and hopes to stay there again during his next visit to NY. The only tiny issue we had was that we received an unrequested wake up call during the first two days of our stay. Once we notified the front desk, that issue was automatically resolved.The area around the hotel has great restaurants, and a cool little bar in walking distance. The subway was close by, and the concierge helped up find any place we wanted to go. I loved this hotel and I would recommend it to anyone who could afford it.	
Aug 7 2006 	Excellent hotel	My wife and I just spent the past Saturday night at this hotel and had a great time. We had the weekend package which included breakfast in bed, NY Times and 2 cocktails. We were upgraded to a high floor and room and it was much appreciated.The room is large by NYC standards but standard for any hotel outside of NYC. The view was ok but then again the top floor is on the 8th floor and views in NYC at this height are not great. The bed was very comfortable and the plasma TV was nice. Bathroom was interesting with all stainless steel.The hotel staff was excellent. Very helpful. The bar was trendy and the 2 cocktails were excellent and considering the value of $13 each, the free token was great.The hotel is in a quiet area of lower NYC but is actually in an excellent location to walk or take the subway. Canal St. and all of its shopping is only 3 short blocks away and the great shopping and restaurants of SoHo is only 5 or 6 blocks away.Overall, I would highly recommend this hotel.	
Jul 31 2006	You won't want to leave!	From the moment we arrived at this wonderful boutique, we knew that we were in for a fantastic weekend. The level of service we received set a new expectation level for all other hotels to be judged. The room was impeccable in every way, from its hip trendy vibe to its well-conceived amenity offering. The Tribeca Grand is a perfect mix of soft sensual lighting and edgy NY vibrancy that sets a perfect tone for either business or pleasure, and the staff there is friendly, accommodating and above all professional.Kudos to you guys!...and love your packages!	
Jul 29 2006 	Loved Tryst in Tribeca	Stayed at the Tribeca grand last week and we loved everything about it. The staff couldn't do enough for us, they were wonderful. The Tryst in Tribecca special was fantastic with an early check in and a late check out. The champagne was a nice touch as was the roses, candle ,a goldfish and 2 free drinks at the bar and breakfast in bed included. The room was a nice size (we were expecting smaller) and it was perfect. It was very modern and updated and very clean. Our one night at the Trbeca Grand was the highlight of our week in New York.	
Jul 27 2006 	The best hotel in downtown NY. One of our favorite hotels in the US	We spent a Saturday night (again) at the Tribeca Grand hotel inNYC. It was a wonderful experience from check-in to check-out.Every employee is kind, courtous and helpful. The rooms arespotless with amenities like flat screen television and CDs.We look forward to our next visit which I hope is very soon.	
Jul 25 2006	Haven in Hectic NYC!	Our original hotel in NYC was in Midtown Manhattan and while close to touristy things, our service was so-so and very impersonal. However, after switching to the Tribeca Grand, we had a lovely experience. It is close to great shopping and accessible to the subway, etc. Overall, in our room, we felt as though we were in someone's (well-decorated) home -- the carpet was soft and clean, linens were nice, plasma tv made my husband very happy and room service was great! However, the attribute that made the stay for us was the service. It was exceptional. The staff made our lives much easier and our stay highly enjoyable. We are already planning our next visit, which will include this hotel.	
Jul 16 2006	Overpriced tired tatty	Very expensive. Was probably once the height of cool design. Now in desparate need of refurbishment. Service was good but room was horrible.	
Jul 10 2006	Great Engagement weekend	My girlfriend and I stayed at the hotel and did the Tribeca Tryst-a package for engaged couples. The hotel, tribeca tryst package, and all the staff were AMAZING. No complaints at all. Breakfast in bed was delicious and all the great shopping afterwards was worth the price of the hotel. The bed was the most comfortable we have ever experienced in a hotel.	
Jul 6 2006	Great hotel	We have stayed here before but tried somewhere else on advice - the alternative was dreadful and we shifted to Tribeca after one night. Compared to others it is good/great value, the room was of good size, the fittings were great (big plasma TV etc), a bathroom you can actually use(!), very, very helpful staff (not at all showing any NY indifference to travellers). When we got to our room, we both breathed a sigh of relief &quot;thank goodness&quot;. You'll need to go outside for food but there is so much to choose from in Soho and nearby. The subway is 50m away so getting anywhere is quick. We have stayed here four times between us and compared even to the flash hotels (where we get put up when travelling on biz), we will keep coming back. REcommended +++.	
Jun 28 2006	Loved Tribeca Grand!	My husband and I stayed at the Tribeca Grand for three nights the first week of June although we didn't want to pay $511 per night everything we like to do is in that area so we splurged! It was worth it! We were right around the corner from Canal Street where we love to shop for bags and watches and just have fun. We were one block away from the subway that could get us anywhere we wanted to go and near all kinds of fun little restuarants including the Landmarc where we ate and Tribeca Bar where we hung out. My husband hung out at Busters garage to watch the Carolina Hurricanes play and I felt completely safe to walk home by myself! We even stumbled into the Bubble Lounge one night which was cool! The hotel staff were friendly and very accomodating. They gave us an umbrella the day it was raining and the concierege satff were very helpful in finding us places to eat. Although there were comments about the rooms being loud from the bar, I didn't find that to be the case at all, the noise system drowned out everything except my husband's snoring! WE will definitely go back and are telling all our friends about it! When you go back you also get gold fish, fruit cheese etc.	
Jun 23 2006	Perfection in NYC	Four of us stayed in a two bedroom suite at the Tribeca Grand from June 11 - 14. We arrived early, but the excellent staff at the front desk checked us in right away and we were given rooms on the 6th floor. What great rooms they were! Extremely comfortable, spotlessly clean, and huge windows through which to view all the activity of a Manhatten neighborhood. Although we were late sleepers, (the beds were too comfy to get up early!), we were never bothered by housekeeping knocking on the door, and our rooms were always made up when we returned to the hotel. All staff members we dealt with were very nice, and a few went out of their way to be helpful, even retrieving my cellphone that I had left in a cab, and brining it right up to my room. The room service was excellent, the food arrived quickly, and the steak frites and chocolate cake are to die for. The hotel just kind of wraps you up in this very subtle, luxurious comfort, which of course makes one eager to go back and experience it all over again. Worth every cent and I can't wait to return.	
Jun 3 2006	Fantastic Hotel 	Stayed at the Tribeca Grand Hotel from the 22nd May til 30th May 2006.Firstly what a fantastic hotel &amp; what a great location this was in. The Hotel itself blends into the surrounding area, no big hotel sign there's just a clock that stands outside the hotel with the name on it - so you would'nt think that there was an hotel here.The hotel staff were brilliant very helpful &amp; friendly, we could'nt have asked for more. The concierge's that worked in the hotel were very good &amp; recommended some great eating places for us, (if you love steak then go to a place called 'The Strip House' it's pricey but it was the best steaked we'd ever had). The hotel room was very simple nothing flashy nice and clean. There was an ambudance of alcohol in the mini bar and nibbles - a choice of cd's to listen to. We had paid extra on booking a room with a view - but in hindsight we need not have bothered as the hotel is in Tribeca and as the receptionist said theres not really much of a view here.After reading much of the reviews about this hotel on this site, we took the advice of a few and went to 'Bubbys' each morning for our breakfast - &amp; what a good choice it was this set us up for the day ahead - Try the sour cream pancakes they were fantastic.On getting around New York we bought a weeks subway pass at around $24 each which was great as we used the subway alot whilst we were there. The hotel is surrounded by some good restaurants there is also a pharmacy over the road &amp; a great little bar called the Tribeca Tavern. This was our second time in New York &amp; we plan to go back soon, the weather was great in the high 80's &amp; it was Memorial weekend when we were there.So the next time we go back we will be staying at the Tribeca Grand without a doubt.This hotel &amp; staying in the Tribeca area met all our needs - if you want to stay somewhere thats not a tourist trap or has the noise levels of Time Square then this hotel &amp; the surrounding area is for you.	
May 12 2006 	Loved it!!!!	Had a horrible experience at the Jumeirah Essex House so moved to Tribeca Grand Hotel during the Tribeca Film Festival and was surprised they had a room available eventhough it was only 1 night. The room was large in NY hotel standard. Bathroom was large and all the furniture was up to date, modern. Had extra touches like CD player and CD's in the room when checked in. Staff was extremely attentive, especially Eric the bellman was very helpful with restaurant recommendations and shopping. The hotel was buzzing with the film festival but the front desk still accomodated everyone equally. The bar/restaurant in the hotel is not to be missed. Very relaxing and the decor was nice too. Location of the hotel is great if you're staying near Tribeca and SoHo, even the village.	
May 11 2006	Fun Time..Great Locale	Great Location if you dont want the tourist insanity of Times Square. Great quiet neighborhood. Easy access to the subway that takes you to all things touristy. And, walk to great SoHo shopping. Staff super super nice, very helpful... white noise machine dulls sound from bar, altho the one in our room was broken. Only negative was no Yes Network so we couldnt watch the Yankee game in our room...Also, a bit put off by email suggestion from Manager that we share our good experience on websites like this one...was going to do it anyway. Again tho... great great place to enjoy NYC without the tourist hell.	
May 8 2006	Had a great week-end at the Tribeca Grand	I didn't know what to expect, but from the moment we walked in everyone we encountered (especially at the front desk) was pleasant and helpful. The room was small but very well done....wide screen TV, Bose music player and great pillows. I definitely will stay there again.	
Apr 30 2006	Good Hotel fair location	We stayed at the Tribeca Grand over Easter Weekend. The concierge was very helpful in making our reservations before we arrived. THe front desk and bell staff was friendly upon check-in as well. We had requested a non-smoking room, and we had one on one of the newly refurbished floors, but it really had a strong smoke odor. They were very nice and helpful about moving us. We got our stuff together, and when we got back from our day, they had us all set up in the new room. No hassle at all for us.I thought the hotel was good for New York, but wasn't thrilled with the location. It was a close walk to Soho, but we really felt that except for the day we walked into Soho and piddled around, we had to get a cab to get to and from most of our destinations. I think if you know you are going to be doing stuff in Tribeca, it could be great, if you are going to be more in Soho or other areas, just stay there.We did not eat at the hotel, so I don't know about food, but we had drinks in the bar a few times, and the service was very irregular.	
Apr 27 2006	Great hotel shame about the staff	I stayed at the Tribeca Grand in Feb 2006, and was disappointed. The building itself is very impressive - all the rooms surround an Atrium overlooking a very trendy bar area, and it really does look great (apart from the fact that they closed it for the whole of Saturday night to all hotel guests as they had a private party). The rooms are pretty cool and spacious (especially the bathroom) - Bose stereos in all rooms etc. My main disappointment was regarding most of the staff, who are (in my experience) surly, unattentive and more concerned about looking good (which most of them did!) than providing good service. We asked for a broken light bulb to be changed in our room three times over the weekend, and it was never done. When we arrived, there were half used bottles of shampoo etc in the bathroom. Nothing terrible, just not what I would have expected for an expensive hotel like this. Tribeca is OK, but personally I'd stay in Soho or somewhere rather than Tribeca.	
Apr 24 2006	More than comfortable great rate	I just spent a week-end at the Tribeca Grande in NYC. The rate for the week-end package was better than any other available hotel that I checked, of that rating and quality, and the room was comfortable and spacious. The price included breakfast and complimentary cocktails. I have been travelling to The City for the past four years to visit my daughter who is a student there, and have stayed at Le Parker Meridien, and the Soho Grande. The Parker Meridien is my favorite, but this was a close second. The price was much less than what I have paid on other visits, at the other hotels, and included a return guest discount, for which I would have never asked. The room was comfortable and spacious, with great light. The decor was contemporary and the atrium - open hallways and lobby plan - made me feel welcome and secure. The staff made an effort to be available and interested in seeing that my stay was pleasant.	
Apr 16 2006	Great hotel	Great hotel in a very convenient location. it's right in the heart of soho/tribeca/greenwich area. 5-10 mins walk to west broadway/broadway and the metro is just round the corner. you really get a feel of new york....all the hotel staff were warm and friendly but not in your face. the concierge was very helpful with &quot;local&quot; tips as opposed to selling tourist packages. She recommended two lovely little cafes to have breakfast - Bubbys and Cuppin it. The hotel has a good vibe with subtle lighting. We hadn't been to NY before and were warned that all hotel rooms are small, but the rooms at Tribeca Grand were perfect. Just right for a city break.The hotel bar, Church Lounge was always buzzing but not imposing or noisy. Great place to have a drink before going out.There was a film premiere when we were there and it looked like the staff were used to it!!!	
Apr 8 2006	Nice Place	My daughter wanted to sample SOHO, Chelsea, andthe Village all in two days. Relunctantly, I booked this hotel without any knowledge of what I might be getting myself into. Well. Perfect location for all three areas. We had a swell time. The hotel staff and conceirge were top notch. I would not hestitate to stay there again if my destination were somewhat the same.	
