	Cleancomfyperfect location and perfect for my budget!	This is my second stay at the travel inn on 42nd street. Even with knee damage I found the location to the theatre and shops (and times square) within a comfortable walking distance.I booked a single and got a double double, near the lift as requested. I forgot my hair dryer and uk to USA adapters and these were provided for me (hair dryer in room,plugs on request)it was a handy later check out 12pm, so I still got to run a few last min errands on my last day. In easy walk to the subway and port authority. Also across the street is a drug store with food nearby too. A fridge and microwave in the room were a nice touch and it was warm too. I can't fault this place for the price and location. Small and cozy, well looked after and helpful staff.Will return and def. Reccomend to all NYC traveller who want comfort on a budget and location to 'the thick of it' !	
Jun 28 2006	Good place to stay	I I booked the Travel Inn based on price and other reviews, then I worried if my two teens and husband would approve. We spent 5 days, the four of us in a double room and it was fine. The room was clean and comfortable, bathroom a little small, and we could have used more a/c at night, but overall for the price it was great. The staff was friendly, the location was good, an easy walk to Times Square and Theaters, lots of restuarants nearby. The neighborhood was &quot;okay&quot;. We never felt safety was an issue. We had a great experience and I recommend this hotel , it's nothing fancy, but a great find for budget minded travelers.	
Jun 28 2006	GREAT and AFFORDABLE hotel but not the best.	Our duration at the Travel Inn was from June 18th until June 27th. There is a gift shop at the hotel, but it is only open from 7am to 4pm everyday. Next to the free parking garage, there is a deli located next to the hotel. The food isn't the best, but it does fill you up. The room was very clean when we first entered the room, even though we got to the hotel earlier than the 2pm check-in. The bathroom was very clean, and we had a view of 42nd Street and the NYPD station across the street. The noise at night, which was just a few ambulance and police sirens, didn't bother us at all. We were disappointed when we found out that the pool only operates between 11am and 7pm. We assumed that it was going to close at 10pm. You are about a 5 to 10 minute walk to the heart of Times Square. Hotel staff quickly check you in and out. Very convenient. I would stay at this hotel again, but if this hotel was in the heart of Times Square, it would cost a lot more than what we paid.	
Jun 22 2006	Definitely stay here - but bring a pillow!	Excellent place to stay. Easy to get to, right off the Lincoln Tunnel. Close to everything in New York. VERY VERY Clean. Service was FAST. Check in was a breeze, he nearly had our check in complete before my husband could finish giving his name! Remember to ask for a quiet room. I did and we got a room overlooking the pool. Absolutely no problem with any street noise. The pool looked very clean and would have been wonderful on a hot day. When we were there it was about 70 degrees and very windy, so we didn't use the pool. Rooms were clean, bathroom was clean, hallways were clean. Free parking was the best. It is self parking - which we like. We have a Lincoln Towncar, and have had other NYC places park our car - only to find a scratch that wasn't there before. Places just don't care that much about parking. So my husband parked the car and no worries. Staff is right inside the garage. We were NOT worried about leaving our car. We will definitely stay there again - you can't beat it for the price and cleanliness! OK - as for bringing your own pillow - We had four people staying in the room. We had four pillows. Most of us liked to sleep with more than one pillow. My husband has a neck problem so has to have 3 pillows. We called the desk for an extra pillow for each and were told that we had enough pillows. No extra, one per person. Well, they did come up with two extra pillows for us. I was good - I brought my own pillow!!! My travelmates were laughing at me for doing so when we left home - but they weren't laughing at the hotel. So remember for your visit to New York City - stay at the Travel Inn Manhattan!!!!	
Jun 13 2006	wonderfull stay great place friendly peolpe {just fantastic}	Hi this is the Mcarthur family from salford in manchester we recently stayed in this hotel in may and june 2006.The room was fantastic the pool was great i asked for a view of the city wat a view i got.the people where so friendly it was unberlieable.the parkin is free the lifts work the rooms are nice big clean what more could you ask for .You are a ten miniute walk from everthing you want.It was a pleasure to stay there and from me and my family i would like to thank all the people who are involved in the running of the hotel&gt;I Would they there anytime .MANY THANKS.	
Jun 12 2006	Great Place	I stayed at the Travel Inn for 3 nights June 6-9. There is nothing wrong with this place. The room was very clean. I didnt see not one bug. The bathroom is a little on the small side but who cares, it looks newly remodeled. Yeah, the beds are firm but I have occasional back problems and my daughter does as well and these beds did not bother us. Although we had some rainy days when we were there the pool was filled and looked great. I wish it didnt rain so much so we could have used it some. There was nothing at all wrong with the a/c in our room. It worked just fine. Was actually pretty cool when we kept it running. We had a room facing the pool. Nice and quiet at night. Vending machines and ice were on the 3rd floor where our room was. The deli outside is reasonable and great for morning coffee. Open til about 8pm. The deli down the street had some good food and also reasonable prices. Times Sq. and the subway are about 3 blocks down. We also felt safe in this area. Go for this hotel! You cant beat the price for nice clean accomodations in NYC. We will return!!!!	
Jun 9 2006	Great place to stay	My husband and I just returned from a 2 night stay at the Travel Inn and we very pleased with our room. Everything was very clean and the pool was filled and a pleasant way to end a day of shopping.FREE PARKING was a great bonus!!The Deli next door was great and served a nice breakfast and lunch.The desk staff was most unpleasant and did not offer any help with questions regarding the area.	
May 31 2006	Great Value for the Location	My wife and I stayed at the Travel Inn from May 8-11. It is located in a rather quiet neighborhood (for New York!), about a 15 minute walk from Times Square. My wife and I felt very safe in the neighborhood, though there are many transients in the area (the bus depot is nearby, as well as a &quot;home&quot; for transients). The rooms are sparse, but pleasantly decorated. The bed was rather hard, but after walking all day, sleep was not a problem. We found the hotel staff to be very pleasant and helpful.The hotel rates are a bargain for the location; and since we drove down from Boston, the free parking was a HUGE advantage.I would definitely stay there again, and recommend the hotel to budget conscious travellers who want to be close to all of the action.	
May 31 2006	Great place to stay for NYC visit	We stayed at the Travel Inn, NYC for two nights over Memorial Day weekend. We were very lucky to get a room on the top floor, facing 42nd street, with a fabulous view of the Empire State Building.We arrived in NYC at 8:30am and so we dropped our bags in their security room and went out for the day. When we came back to check-in at 2:30pm we had no problem. The room was fine - not glamourous, but definitely value for money. The only disappointment was that there were no coffee-making facilities in the room.We were surprised that the street noise didn't affect us much but I guess that was because we were on the top floor. The air conditioning was very effective, if a little noisy. The diner next door was great for breakfast both mornings and we felt perfectly safe returning to our room each night between 10:30pm and midnight.We had caught the ferry across from Weehawken and so picked up a free shuttle bus to a bus stop across from the hotel when arriving, and simply walked back to the ferry terminal when we checked-out. So convenient!This was a great place to stay - so close to everything! Would definitely stay here next time we visit NYC.	
May 24 2006	Clean convenient and safe	We stayed at the Travel Inn from 8th to 15th May 2006 following recommendations on this website. It was all true - very convenient within walking distance of all the main attractions and even an aircraft carrier (USS Intrepid) Museum at the end of the street - not many hotels can boast that! A friend advised me that this was an unsafe area, but we felt completely safe, especially with the police station right opposite! We had problems with the wash basin plug and the lift got stuck on one occasion, but staff were instantly on to fix these issue. Room was extremely clean and smartly decorated. We had a room at the back of the hotel, which had its pluses and minuses. It overlooked a run-down area and the railway, but trains were not very frequent and it was quieter than being at the front.Disappointed the pool was not filled by mid-May, but weather was not really good enough anyway. Couldn't make a local phone call from the room without opening an account and paying a $25.00 deposit - bizarre and inconvenient, so had to use a call box.Would definately stay there again, however.	
May 19 2006	Could not have found a better location	We were 3 ladies , first time in New York and not quite sure what to expect . First impressions were not too impressive especially when we saw the view from our window of the railway track but apart from the front desk people who could have been alot more friendly and the pool being empty(it was 80 degrees during the day) we would definately stay there again. We were very impressed about the cleanliness of the rooms and although it was on the doorstep of Times Square it was reasonably quiet at night and felt very safe. Deli next door was so convenient , reasonable &amp; great food, wonderful breakfasts to keep you going for the day. Not quite 10 out of 10 but wonderful value and definately worth a second stay.	
May 16 2006	What a find!	I thought we were lucky - booked early enough for a very good price at a terrifice location! But it was better than that. What a great hotel! Not only great price and location (off the Lincoln tunnel AND Penn Station in the center of everything!), but FREE parking, pool (ok, so it wasn't filled but it's only May), weight room, room service (didn't try it) and side restaurant (low prices), TV with movies, gameboy, and internet. Wireless connection. Yes an ice machine :-) And some of the most accomodating staff you'll ever meet! Went with spouse/friends for shopping and hanging out. Have already started to arrange family trip, and will defintely be going back with just spouse! Thought about not posting info so I could keep it for myself, but the hotel was just too good not to share!	
May 14 2006	Nothing fancy but we'd stay there again	I wanted an affordable, clean, spacious hotel that was within walking distance to Times Square for a weekend trip with my mother and sister. Once again I looked to Trip Advisor for assistance with finding a hotel. Based on the room rates, location and reviews I read, I chose the Travel Inn Hotel on West 42nd Street. Overall, we were satisfied with this hotel. It was nothing fancy for sure, but it was clean, roomy and didn't break the bank. There is a pool there but at the time of our stay, there was no water in the pool. The staff could have been a bit cheerier and the beds were a little on the hard side but we really had no complaints. I would stay there again.	
May 12 2006	Perfect Hotel/Price	We stayed here for 1 night on May 5th...had dinner at Carmines 44th- about 5 few blocks to walk. Very easy to get to if driving there - just outside the Lincoln Tunnel. I wouldn't say it was a luxury NYC hotel. Very Clean ... ammenities were basic. They do have a deli/cafe attached to the hotel for sandwiches, sodas, beer. If you do drive, you pull into the hotel bldg and park your own car in the parking garage. Parking is Included - a nice plus. Overall, this was a great find for the $$$. Very centrally located. Pool opens Memorial day - very large pool/pool area.	
Apr 28 2006	As described! Excellent hotel	Stayed there from the 19th to th23rd of April.... Hotel is excellent, great location, near everything, great price, helpful staff, very clean. It was an excellent experience. Yes, the room was hot, b/c the AC was not working, but we slept fine. Didn't hear any noise, and my room was facing 42nd St.Overall, an awesome experience. No questions I will stay there again next time in NYC.	
Apr 22 2006	April 17-21	I was really curious after reading the review here...so mixed! But a friend of mine recommended this hotel so the $125 price (booked at their website as others have mentioned) and the free parking sold me. We stayed 4 nights from 4/17 to 4/21. Our room was on the third floor which was right above street level and faced 42nd avenue. All the hotel employees were nice, the room was clean but whoa....it was HOT. I asked the housekeeper about it and she said the AC had not been turned on. The only thing you can adjust in the room is a fan. It was near 80 degrees outside during the day but even at night the room was hot. Not a little hot...sleepig on top of the bed, not under the covers and still waking up sweating, hot! Also I couldn't leave the window open because the noise from the street below and the building across the street is non-stop...and I am not fussy about noise- I work nights and sleep days while the whole neighborhood is leaf-blowing and mowing their lawns and kids are playing- so when I say noisy I mean it. I actually got up and got a video clip of the garbage truck emptying something like 7 dumpsters at some ungodly hour of the morning because I wanted to be able to make people howl with laughter at how crazy it was!It's true that the toilet seat was loose, there was no fan in the bathroom, the shower temp varied by what other people were doing...heating up and cooling down, the mattresses were firm.... but all in all the room was totally acceptable. If not for the AC issue I could tolerate even the noise and recommend it. The deli next door was the best buy around. It was a quick jaunt to the subway or bus...eveything stops in Times Square it seems. I never felt unsafe...the neighborhood seemed to get a litte rundown right at 10th street but it seemed there were a lot of policemen on the block always coming and going from the station across the street. If you really want to drive to NYC and take advantage of free parking and good locaion....call ahead to make sure the AC is on and ask for a room in the back. For the same reason I would check back in here in the winter to see if the heat is on and where the warm rooms are!!!!	
Apr 18 2006	Very Relaxing Stay	My husband, our 2 children (10 year old daughter and 1 year old son) and I visited the week of the 10th of April during our daughter's Spring break from school to visit my uncle who lives in New York.We had an excellent stay in the BIG APPLE. The weather was GREAT and having an uncle there REALLY helped. We hit all the MAJOR sites along with some places my uncle took us to that we didn't even think of. We got to see EVERYTHING we wanted to see and didn't have to pay for tours. My uncle took us everywhere. We used the bus and the subway and of course did some MAJOR walking....(smile) If you have to choose between subway and bus....of course subway is MUCH faster and we never waited more than 5 minutes for one to come. A MUST SEE IS GROUND ZERO...you don't really FULLY understand the magnitude of what happened until you see it in person.Our room was very comfortable and very clean and faced 42nd Street. The front desk staff was friendly and helpful and the young lady in the gift shop was also very nice. The free parking can't be beat. We found a spot right near the elevator which was great. There was a vending and ice machine on our floor. The cleaning staff and office staff was nice (Our room was near the executive offices on the 3rd floor). You would think that there would be a lot of noise being by the office, but it was very quiet.As everyone else has stated......the Diner next door is good for breakfast and the Theatre Row Diner a block up was good, too. The Food Emporium (grocery store) stays open until Midnight....we even ate at Burger King. If you can't find it in NEW YORK, then it just can't be found!!!!!WE WILL DEFINITELY BE STAYING THERE AGAIN!!!!	
Apr 16 2006	Hotel was great	We stayed in this hotel from April 9th for 5 nights, and cannot fault it. Staff were friendly and approachable nothing was too much trouble for them. We could not figure out the door lock and wanted more pillows and on both occastions the matters were instantly dealt with. It was very clean both the room and hotel in general, gym facilities were good and always accessable. An excellent location just 5 minutes from Times square and centeral to a hoast of other attractions and sights. For breakfast or any meal there is a very good Deli literally outside the hotel making it very handy first thing in the moring!! We loved every minute of the holiday and would definatly stay at this hotel again and reccomend it to anyone wanted to see New York. The hotel also has a garage and very good gift shop where you can get tickets for a whole range of attractions.	
Apr 5 2006	Central Location	Stayed at the Travel Inn for 4 nights in March. We were a bit concerned because we weren't sure how far it would be from transport/attractions etc. We didn't have any problems though because the hotel is a five minute walk from the Port Authority Bus Terminal (where the shuttle bus from the airport stops). It was also a 10 minute stroll to the Times Square/42nd Street subway station from which most trains ran. We never had to take a taxi anywhere, we either walked from the hotel or caught the subway.The hotel itself was basic, but good. The hotel staff were ok and the rooms were very clean. We booked a room with 2 double beds (there were only 2 of us), so we would have some room to move. The bathroom was clean but the toilet cistern was just about clinging on - one push and it was have toppled; and the bathroom door was off its hinges at the bottom. The room costs us less than £100 per night, so for the price and location - it would be hard to beat this hotel.There was a great diner, deli, grocery store, pharmacy and Starbucks a few doors away from the hotel. The noise from the traffic was quite loud, but that's to be expected and you just take a pair of ear plugs with you. The area felt very safe, in fact it felt safer in the evening because it was busier than in the day. In all a good hotel in a good location - we'll definitely stay there again on our next visit to New York.	
Apr 4 2006	Great Hotel Overall	My daughter and I spent a week at this hotel, driving up from Orlando, Florida to be tourists in New York during her spring break from high school. We chose it because of the many positive reviews on this website and we were very pleased with it overall. The location is great, easy walking distance to Times Square, we actually walked just about every where we went, Central Park, the Empire State Building, Rockefeller Center - we even walked to the Guggenheim Museum but I don't recommend that, it turned out to be a lot further away than we estimated! The hotel was very clean, the staff extremely friendly, always ready to help or advise. That it has secure, free parking is a definate plus considering what the public garages charge for parking. Our room was very nice, the bathroom was excellent, there was plenty of room to put everything and being two women, we had a lot of &quot;stuff&quot;! I had to work while there, happily the room had a desk that was the right height and a comfy chair, with wireless connectivity available for my computer a bargain at, what $5.95 a day I think it was. There were only three things I wished that were different - and the first is ..... a bigger tv! The tv was very small and hard for my old eyes to watch from the bed, even when it was pulled out. Secondly, the room was very hot, we had to keep the window open all the time and sometimes even prop the door open to get the room cooled down. The hotel staff were wonderful though about explaining the reason (building heated by one main boiler so heat is maintained at an even temperature in all rooms and although the unit in our room was turned &quot;off&quot; by us, heat was still leaking through) Lastly, the fact that you had to call and pay each day for a code to keep the wireless on for the computer, I wished I could have just paid for the week obviously! But considering the overall experience of the hotel and it's staff, these were minor annoyances, believe me. We would definately stay there again!	
Mar 30 2006	Great Value Great Location	3 of us shared a room here for 9 nights at the end of March 2006 &amp; we had no complaints. Room service was excellent and were made up and cleaned thoroughly every day of our stay. Sheets were changed at least twice and nothing was missed. Fresh soap, mini shampoos etc were replaced every day. Housekeeping staff were very friendly and helpful. Front office staff were a bit aloof and I feel they could be a little bit more helpful at times. The location was great and convenient to all attractions, taxis are everywhere and most drivers are more than helpful to visitors. The theater diner up the street was great as was the little diner right next door to the Travel Inn. All in all I would reccommend the hotel as good, clean, convenient &amp; great value for money.	
Mar 28 2006	A good hotel and very convenient for a short stay	We stayed here for a short 3 night break in the run up to Christmas. We found the hotel very convenient and comfortable (although we did feel one of the rooms had been smoked in and we requested 2 non-smoking rooms). Both our rooms faced 42nd street and the police station and we had no problems with the noise keeping us awake at night. There is a lovely view of the empire state from these bedrooms which looks great when lit up at night.It was a pleasant walk to all the major tourist attractions and the hotel gift shop were on hand to give advice on what to do and when (we saved ourselves about two hours queing for the empire state by booking our tickets here!)There is a deli accross the road which provides good food and a very nice breakfast.If you are planning a short trip and require a good, reasonably priced hotel this is a good choice.	
Mar 27 2006	excellent travel inn	we have been staying at the travel inn 42nd street for the past 6 years and always exceptional value for money very clean very good position if your going and looking for a quality hotel you have got to try the travel inn you will pleased you did our son lives and works in ct USA is a regular visitor to the hotel , Ann &amp; Peter Young Boston ENGLAND.	
Mar 24 2006 	Ok but...non-smokers beware	We stayed here for a week and experienced the big snow storm in February (26 inches!). It's close to Times Square and the convention centre so it was very convenient for us. It's in a pretty safe location. We never had any concerns walking back late at night. We had breakfast in the deli downstairs and at the Theatre Diner one block away. Starbucks is at the end of the block and a grocery story is at the other end of the block. The room was spacious but the bathrooms are very small. I'd go as far as to say that the bathrooms are very cramped with very little counter space. The shower provides enough pressure. There wasn't enough light in the shower/tub area though...once the shower curtain as pulled, it was a bit on the dark side.Wireless access was easy to get for a fee of about $6 per 24 hour period. You have to get an access password every 24 hours from the front desk.The rooms were clean enough BUT we had specifically requested a non-smoking room. When we arrived on a Saturday at 2pm, we were told there were no more non-smoking rooms and we were given a smoking room. It reeked of smoke...everything did. They sent up an ozone air purifier for us and delivered fresh pillows to us but for the first 2 days, it was still pretty bad. By the end of the 2nd day, the room smell was ok (a combination of the air purifier and us leaving the doors and windows open when we could).So...would we stay there again? Yes...because after the room stopped stinking, it was a pretty nice hotel and you can't beat the price for that location. Just be wary of the fact that you may not get a non-smoking room if that's important to you.	
Mar 23 2006	Exceptional Value	Free Parking! Located right across from a police station! Two blocks away from the subway, one block away from Times Square. Wonderful deli downstairs/next door. Rooms are average and worth the price. Pleasant staff. It's a wonderful value and we WILL return.	
Mar 23 2006	Come back for more	Great place to stay in NY City. Rooms spacious and kept clean...staff very helpful, excellent value for money. Recommend the Deli next door for all breakfast requirements but for your evening meal would recommend Theater Row Diner just up the road for good food and large portions at a low price! Excellent Pharmacy opposite hotel get your digital photo's developed at a fraction of the UK cost!	
Mar 21 2006	Best Kept Secret in NYC	You can't beat this hotel for the price! Travelled to NYC with 2 friends for St. Patty's Day weekend. We simply wanted a place to sleep -- didn't want to spend a fortune yet wanted it to be safe and clean. With the rate we found on the internet, we went in expecting the worst and were more than pleasantly surprised. The hotel is newly remodeled and as such -- is clean and modern with average-sized hotel rooms. Location was perfect, just outside the tourist melee of Times Square but close to everything. CVS across the street, Deli next door, neighborhood grocery stores around the corner and great bars and diners within a block or two. (Theatre Row Diner on 42nd is a gem!) As three women, we always felt safe -- the NYPD presence across the street helps with that. You can't beat it! We'll definitely be back.	
Mar 16 2006	Great Value and Location	My Aunt and I drove down from Kingston, Ontario and found this hotel very easy to navigate to once we exited the Lincoln Tunnel. Beware of the NYC cab drivers! Parking is FREE! and the room rates were excellent for those who have lots of shopping to do! Only a few blocks from the glitter of Times Square. Good walking distance north to the Madison and 5th Ave shops. It is also a short distance to the shops and Macy's on 34th St. However, don't attempt both in one day! There are lots of Deli's and Starbucks in the area. Rooms were basic and clean. There is internet access for a small fee for those who like to write a letter to home. I highly recommend this hotel for the average shopper looking for a deal!	
Mar 14 2006	Perfect Small Hotel	What a Wonderful Find. We were a group of 4 Woman. This Hotel is Off 42nd street between 8th and 9th avenue.The Port Authority is across the street.The room has 2 full size beds, we call the desk around 10pm to verify if they had a pillow that was lower than the regular ones and in less than 5 minutes, the perfect pillow was in our hands.Friendly people, the little store inside the Hotel sells the tickets for all the tours you need to take.the clerk was very knowledgeable about where to shop and Go.Rooms were clean every Day,Towels and toiletries were provided,Ironing board etc.Feel free to leave all you shopping bags in the room.they have a Storage room available free of charge..so if you arrive early don't worry...lock them up and start enjoying NYC.Free parking and Pool avaliable in summer time.The deli next to the Hotel was a Marvelous find,succulent breakfast and Sandwiches.We were there the 1st week of march, it was Cold low 20's but we loved it. Will definitely stay there again.	
Mar 10 2006	well positioned	adequate, well positioned, rooms functional, reception staff didn't meet or greet on arrival or subsequent returns from trips, not even a &quot;hello&quot;, didn't feel particularly valued or welcome. Attached cafe expensive and service poor (go to Theatre Diner 50m yards away, much better service/food/prices. A basic, relatively inexpensive hotel ideal for those using it merely as a place to lay their heads.	
Feb 24 2006	Best NYC Hotel Experience for Regular Folks	This was a clean, friendly hotel with comfortable beds and spacious rooms. And free wireless and free parking!!! The shower had some force. There was room to open 3 suitcases. There was a window with adequate curtainsfor darkening the room.The location can't be beat - a few blocks from Times Sq, the Port Authority and the 7th Ave subway, and right across the street from an NYPD station!I've stayed in many places in the city that cost the same or more and I have never said I would stay there again.I will definitely stay at this hotel another time.The price was right - although it was winter rates.(They have an outdoor pool, too!)	
Feb 23 2006	Wonderful place for the budget minded traveler	My husband and I stayed at the Travel Inn for 3 nights. We were very satisfied. The room was clean, newly remodeled and certainly big enough for the 2 of us. The bathroom was small but had all the necessities including hot water which can be a problem at some NY hotels. The staff were always helpful and friendly. We had breakfast every day at the deli next door and lunch there once. The deli location was convenient, food was good and reasonably priced and the staff were friendly. Will definitely stay there again.	
Feb 21 2006	Great value for money	My daughter and I decided to stop off in New York for 2 nights to finish off a caribbean cruise, as we had to fly back to London via JFK from Miami. It was our first time in New York and we fell in love with the city and plan to go back this December for a week. The Travel Inn was everything you want for a city hotel. It was clean, friendly and safe and the staff were all more than helpful. It is a 5 minute walk from Broadway and 10 minute walk from Time Square and Maceys. It was lovely going at Christmas, as all the decorations, the ice rink and market in Time Square and the father christmases on the streets all made it magical. We were a bit concerned being two &quot;girls&quot; on our own, but we did feel safe. The hotel is right opposite New York Police Department and we had a lovely view of the Empire State Building which was illuminated at night. The hotel is only two blocks from the harbour, where you can get cruises around the statue of liberty. There is also a supermarket and deli 1 block away, so everything you need right on your doorstep. We were so tired after two days of hard shopping and sightseeing, that we didn't have the energy to go out again, so ordered room service. They've got quite a good choice of menu and it is delivered from the deli one block down, and both nights we weren't disappointed at all with the quality, amount or price we paid. There is also a deli right next door which is ideal for breakfast. All in all, an ideal hotel, in a good position and friendly, clean and comfortable. One slight downpoint though. Just beware if you book a chaffeur driven limo to the airport. I don't know if it was because we were two women on our own, but we were told that the price of $75 was a flat rate and included everything, including tolls and tips (and it states this in the literature in the hotel), but when we got to the airport he tried to charge us extra on top for the tolls. I was going to give him a good tip (gratuity), because the traffic was really bad and he seemed fed up, but because he tried to rip us off I didn't bother, so he missed out. The tip would have been a lot more than the extra he charged us. Apart from this, New York is wonderful, the people are lovely and we just loved it - roll on December 2006 when we go back again.	
Feb 6 2006	The best value for your money in NYC	Second time I've been to this hotel. My bf and I loved it. Near all the attractions yet not too loud, clean and affordable, could not ask for anything more. Maid service is great, staff is helpful and the breakfast place next store is good and nicely priced. I don't think I'll ever go to another hotel in New York, stayed 4 nites and paid 105$ a nite, amazing deal! Will be back this summer for sure!	
Feb 1 2006	Great time	We spent three nights at the Travel Inn in early Dec 2005. We found it to be a very comfortable, clean and good value hotel.The bedrooms were much bigger than we anticipatd. It is very convenient for sightseeing in New York. We can recommend the Deli next door for breakfast.	
Jan 26 2006	Great Value	Stayed for 5 nights in the Travel Inn on 42nd St and would definitely recommend it. The rooms are very large and it is great value. Location is pretty good and it is quite quiet (ask for a room facing onto the pool). Staff are very helpful and friendly as well.	
Jan 24 2006	loved the service	I stayed at this hotel with 7 other family members, we were not dissapointed.Location was excellent, reservationists very helpful and staff very accomodating.Clean, great service and the rooms were a nice size. Beds were very comfortable and staff had no problem providing us with extra pillows. The diner down stairs is awesome, food is great service is outstanding, I will definately return.	
Jan 22 2006	Very good - would stay again	The Travel Inn is basically a chain hotel, so didn't blow me away, but was perfectly adequate. The room was clean and tidy and a good size, with a very welcome and useful complimentary copy of Time Out New York. A vending machine for cold drinks and snacks and an ice machine were just down the hall, and there is a small shop in the lobby selling snacks and camera film. Breakfast can be had from the diner next door, where the staff are very friendly and helpful, and the food is delicious. (Police officers from the police station across the street are often seen in there!) The hotel is only a short walk from the Port Authority Bus Terminal and subway station, and the Empire State Building can be seen from the front door. I had no complaints at all while staying there.	
Jan 12 2006	We Keep Coming Back	We have been staying at the the Travel Inn for several years, over Thanksgiving and other weekends. It is clean, the price is right, it meets all basic needs. Even when we thought we would splurge for my 50th birthday and find another place to stay...we decided to come back to the Travel Inn. We are looking forward to the hotel, neighborhood, and good times.Don't be afraid to try this hotel. Free parking is a wonderful perk, the diner next door is fine, and the Theatre Diner up the street is good. Check out Cascina, our favorite Italian restaurant @ 9th and 45th.	
Jan 7 2006	Very nice for the price	We were visiting my sister in law in Washington DC for Christmas and had pre booked the Travel Inn so we could experience the sights and fun of New York at Christmas time. We were driving up from Washington so the free car parking was my initial reason for booking this hotel as well as the comments on this web site. We arrived 19 Dec 2005 and left 21 Dec 2005. I was not disappointed – for the price I paid it was an excellent choice. As others have said how long do you spend in your hotel room in New York? The room we had was well furnished and clean. None smoking room and there was no smell that it had ever been smoked in. The beds were quite firm and the sheets and covers were all clean and crisp. I am quite fussy regarding cleanliness and I was quite happy with our room, the hotel reception, corridors and lifts. Our room was above reception and the street noise was not too bad apart from being woken up at 3am on our last night by New York fire department attending a fire in the subway which runs below the hotel. From our room we could see the Empire State building - nice at night with its holiday lighting. We arrived late morning before check in time but were allowed to park the car in the secure indoor car park so we could start exploring. The hotel also let us leave our car up until 5pm after we had checked out allowing extra time for sight seeing. The underground went on strike the day after we arrived but we still managed to see everything we wanted as the hotel is well situated being only 5-10 minutes from Times Square. Never felt threatened in the streets and side streets around the hotel. All in all I would definitely book this hotel again.	
Jan 4 2006	Great older hotel!!!	We stayed at this hotel October 11-16, 2005. The desk staff was helpful and polite - checkin and checkout was fast and easy. The cleaning staff was friendly and did a wonderful job! Our room was very neat and clean. We were on the 4th floor and faced the police station, but we didn't notice much street noise. Great price - $125 per night booked online in advance - hard to get that price any place - but especially in NYC! There's also a free parking garage, which added even more value to the hotel for us (we drove from Oklahoma and it would have cost us at least $50 per day to park our car). Rooms may be small by some standards, but we were very comfortable. Showers worked fine and were very clean! While this hotel may be a bit older, we thought it was great! Close enough to get to Times Square and subway stations! (We also like the deli right next store, even if some consider it to be a hole-in-the wall. Good, basic sandwiches - and a wonderful hot breakfast!) Will definitely stay at the Travel Inn again!	
Jan 2 2006	Simple Comfortable Affordable Great	Stayed here for 4 nights over the Christmas period. Booked over the internet and check in was simple. The rooms are just the right size, clean and comfortable. The decor was ok but who goes to New York to look at the the room decor..I don't. Basically the staff was helpful and polite. Even the cleaners helped us get in our room when our hands were full with shopping bags. We didn't use the deli next door but used the Starbucks 5 minutes walk away and the Theatre Diner. The breakfasts in there were great and everyone was friendly. The location I thought was superb, 10 mins walk from Times Square, and easy points to get a cab. This trip was a Christmas suprise for the girlfriend and I did propose to her during this visit. We could not fault anything. Our room was at the back with a railway line under us but only heard 1 train. We had earplugs to help us sleep but the exhaustion from shopping and sightseeing soon kicked in. You could hear noise, but hey it's New York. We had no complaints and would definatley stay here again. I cannot see what reasons people have to complain about this hotel. Well done Travel Inn	
Dec 22 2005	Simple but clean and functional	Found this hotel as we had no reservation for a room in NYC, we only stayed 1 night , Dec 12, they even gave us the room at 10:30 am and we where able to use it. Very clean and just fine for 1 night, rooms are old but pretty big for NYC standards, the parking is free for clients which is great and rare in Manhattan.It was just fine for the price, 125.00 USD , met lots of tourists in the hotel, from UK, Ireland and Netherlands. Good location.	
Dec 20 2005	Great location and Brilliant Value	Stayed here for 5 nights while on holiday in NYC.Brilliant location about 10 mins walk from Times Square. This is a basic hotel but excellent value. For $175 a night we had a large double double bedroom with a good sized bathroom. The decor is a mix of styles and in some areas it clearly looks a little worn but it is scrupulously clean and everything worked perfectly. Our room was to the front on the 6th floor facing 42nd Street. It was moderately noisy but not so bad that it disturbed us or stopped us sleeping at all. While we were there temperatures dropped to minus 7 degrees outside with snow and ice but the room was always warm without being stuffy. There is no restaurant in the hotel. There is a diner next door but it looked very seedy and down at heel. However, around 200m away is the Theatre Diner which was excellent and hotel guests get a 10% discount at lunch and dinner there.Above all, what made this place so great was the staff. They were very friendly and helpful at every stage and seemed very professional. The lady who runs the Tourist Kiosk is a delight - a real gem - very helpful and knowledgeable with sound advice and no sales pressure.Great stay. Great little hotel in ideal spot. I would use it again tomorrow.	
Dec 17 2005	Great deal fantastic location	We were four (3 adults and a teenager), stayed for a week and decided to book this hotel after reading several reviews on NYC hotels of this site. We were given a room where we wanted (5th floor, pool's view), it was clean and proper, altough the space for four was a bit tight.Neighbourhood close to main attractions of NYC by foot or bus/metro, a few blocks from Times Square, Theater District, Empire State Building, Port Authority (buses) and Hudson River (NYC boat cruises).Much better than the ordinary Deli next door, walk some more meters on the same sidewalk and you'll find &quot;Starwich&quot;, where you can eat superb sandwiches, have a chat with Mike (one of the owners) and relax in a very cosy and friendly ambiance. It's a must if you want a quality breakfast or a light meal!The only negative thing on the hotel: main desk male service is unhelpful and room cleaning ladies (of the 5th) are somehow rude.	
