	Great location 	This is a great hotel for location and transport links. The rooms are very large for New York, clean, with large clean bathroom. There is use of an ironing board and a free safe in the room - would definitely return here when next in NYC.	
Feb 18 2007	It is decent for the money	it is close timesquare and the rooms were good size and clean. the breakfast was in a very small area and limited but you get what you pay for if you need for room and proximity it is appealing. but I would care to walk to this hotel at night alone (be with some one or taxi it would be fine) a night the trash is all over the streets after a full day of street vendor selling , there is not restaurants nor are there many other people around after dark.	
Feb 3 2007	Extremely Satisfied!	Excellent Place for the Price in NYC! It's not Times Square, but I do not have any complaints about this hotel. It was my first visit to NYC and heard how small and expensive everything was. The price was excellent for what you get. The room was very roomy, the bathroom bigger than most other hotel rooms. The rooms have recently been upgraded and have nice furniture, a comfortable bed, a vanity table. Very comfortable and super clean. There's a free continental breakfast which serves its purpose if you're hungry. I had requested a view of Empire State and Chrysler Building when I reserved and that was honored. There are two elevators, but only one reaches upper floors, sometimes that took a bit of waiting, not too bad. The area is far from the hustle and bustle of Times Square and it is extremely quiet at nights because the vendors are gone (a few shops remain open at night on the hotel street) and some streets nearby are somewhat isolated and I wouldn't feel comfortable strolling around, if you need go get somewhere it is better to take a cab if you don't want to use the subway, especially for women. But I was with my 18-year old daughter and boyfriend and no one ever bothered us. But I felt safe getting the subway, only 1/2 block away, that's how I got to everywhere. A couple of blocks south, however, it was full of people. The hotel concierge was extremely helpful and suggested a couple of restaurants within walking distance. A cheap and good pizza place is right next door to the hotel. Excellent Location to access any part of NYC--the hotel's best asset. It's quite a walk from Times Square, but we did it, after all it's New York. However, the Subway and buses are the way to go. The whole experience was positive and I would not hesitate to recommend this hotel to anyone. Enjoy your trip! I hope the pictures help you decide.	
Jan 9 2007	Great Value	This hotel is located centrally to all of the major tourist attractions in Manhattan. When I stay in New York and I am paying for it, I book at the Broadway Plaza. (When my law firm clients pay, I stay in mid-town at the Hilton) Rooms at the Broadway Plaza are clean and quiet--unless your room faces Broadway, then you'll hear the horns, etc.As for the &quot;seedy area&quot; comments, this hotel is in the wholesale district where street vendors purchase their wares for sale. You will see Africans, Arabs, Koreans, all sorts of people. If you are afraid of people who look different than you, you may feel uncomfortable. It is very quiet at night because all the vendors are gone and the shops close down.Breakfast at the hotel is modest and the room small. But who cares, I feel safe there and the difference between the Broadway Plaza and the Hilton is $200--I will take that money and spend it on a show.Staff is very friendly, helpful, as others note.	
Dec 18 2006 	Wonderful hotel! Small but special!	The Broadway Plaza Hotel made our first visit to New York City a special one. Great location, friendly and helpful staff, and a very large and very clean room. Just one block from the subway, too. A busy neighborhood by day was somewhat deserted at night, but we always felt safe in the area. Terrific view of the Empire State Building, too. We've recommended this hotel to family and friends and look forward to our next visit.	
Dec 6 2006 	Great NY Hotel for the price	This is a great hotel for the price in NYC. The rooms are huge for a NY hotel and newly renovated. We booked last minute and were very impressed. Good location that is central to go to TImes Square or head downtown. Subway stop is very close. My husband and I both lived in NYC and have seen many hotels there, This hotel is great if you're trying to stay on a budget. Comfortable beds, clean rooms, excellent staff, good continental breakfast each morning. Well worth the stay to save a few bucks!	
Nov 20 2006 	Not bad for NYC	I spent three nights at BPH to celebrate my wife's &quot;10th 30th birthday&quot;. I was expecting a tiny room that was just clean enough. I was impressed with the size of our room on the 7th floor in NW the corner side of the building. We had a queen bed, small sofa, writing desk and spacious bathroom. Our 3 by 6 foot window looked into the alley way and buildings behind us but did add light. The room was well lit, nice TV and comfy bed. The shower was small, plastic and dark but we didn't spend a whole lotta time in it so who cared! I think I paid $189? It was a bit pricier than normal due to US Open Tennis finals and 5th year 9/11 rememberance events I think.The location is ideal for what we wanted to do, see some touron sights and lots of Broadway shows. The subway entrance is about 50 steps outside the hotel entrance. We walked most everywhere and took the subway everywhere else. The hotel is in the garment district so there are lots of businessmen buying and selling wholesale Chinese junk to each other during the day. They are just going about their day and are friendly and accomodating to the tourons roaming the streets. At night the place and streets are pretty quiet and buttoned up. We walked the 2.5 miles(?) home from the theatre district nightly and felt perfectly safe.The staff was nice friendly and always asking how they could help. We only hit breakfast once and it was adequate, coffee, fake juice and lots of bagels.About New York. The city is alive, vibrant and in great shape! The people are friendly overly helpful and seem to have a real sense of community after 9/11. We were there right before the 9/11 5th year anniversary remeberances and the city seems to go about it's business more so than the rest of the U.S.. New Yorkers live to live and seem to be more in touch with everyone around them whether they are natives or not. We saw NO homeless people, as a matter of fact I am approached by more panhandlers in the suburbs of central Texas in one morning commute than I was the whole 4 days I was in NYC!Great shows to see: Wicked, Color Purple, and Jersey Boys. A trip to The Rainbow Room atop 30 Rockafeller Center for a view of the city and Empire State Builidng at night are worth the $12 glass of wine.... Don't forget to go to men's restroom for the highest view of the city from any urinal!	
Nov 16 2006 	Leaves a lot to be desired!	I stayed at the Broadway Plaza Hotel in November 2006 for a business trip. The hotel is in a marginal area of the city, which appears quite deserted and seedy in the evenings. The hotel is obviously much older, but appears to have recently been remodeled. It was very clean, but seemed a bit rundown. The continental breakfast consisted of danish, bagels, and doughnuts served in a tiny room with very few tables. The hotel has no restaurant and no bar. There are also very few upscale or even midscale restaurants in close vicinity. This is definitely NOT a place that I would choose to stay again, even for the low price. With the Broadway Plaza, you get what you pay for...	
Nov 6 2006 	Strictly a budget hotel	I stayed here for three nights. There were more problems than benefits.Benefits:Excellent nice staff. Very helpful.Decent location, though at night there is not much open around the hotel, and as a single woman, I wasn't thrilled to be walking around there by myself. Inexpensive. The rooms are attractive. Room service is from a local restaurant ... it was very very good. Problems:I was near an office and someone was smoking all day, the hall way smelled like smoke.The window seemed like it was going to fall out of the sill; I almost asked to be moved because the window wouldn't close so it was noisy, but I wasn't going to be in the room much anyway.no coffee maker.no internet service.The continental breakfast wasn't so hot.The whole place is pretty old, and since I was by myself, I found that it was kind of dark and depressing. I was very glad to leave ... If you are on a budget, this is an affordable hotel in Manhattan. But I would only stay there again if I was desparate.	
Nov 1 2006 	Clean and reliable	Nothing fancy, but clean and realiable.Positives: 1. room and bathroom were very large. 2. room/bathroom were very, very clean. 3.great view of Empire State Building. 4. Very quiet!! 5.Complimentary continental breakfast was plentiful and fresh. 6. Shower water was piping hot and pressure was strong. 7.24/hr. coffee/tea in breakfast room. 8. Staff was friendly and accomodating. 9.They are happy to store your bags after you check out.Negatives: 1.Rooms were just a bit in need of sprucing up. 2.Breakfast room is tiny, just 4 tables, so most people had to haul food back to the room. 3.immediate environs just a bit seedy, but fine a couple of blocks over. 4.no lobby to speak of, just reception desk. 5. We were there last week, one of the peak travel periods, so it was grossly overpriced. Staff told me it's half of that in low season. Would definitely go back in low season, as it would be an excellent value then.	
Oct 13 2006	Broadway Plaza Hotel Rocks!	We had never been to NYC, did a lot of research on hotels, liked the reviews for BPH, and so booked it. All the reviews were right on. The hotel is clean, nicely priced, the staff is polite and helpful, and the view of the Empire State Building from our room was spectacular. Don't be put off that only one elevator goes past the 7th floor, or that the surrounding neighborhood seems at times to be shady - the rest of hotel is nice and we felt plenty safe. When you stay at BPH, you are getting a deal!	
Oct 10 2006	Great little hotel	My Mum and I stayed at the Broadway Plaza hotel for 5 nights in September. This was not our first trip to the city but it was one of the more enjoyable hotel experiences we have had. The only reason that we ended up there was that the majority of available rooms in other hotels for that time were either hugely expensive or only had 1 bed. After reading a number of differing reviews I made the choice of this hotel and I am very pleased that we did. To address other reviews, yes it is very quiet at night around the hotel and looks a little scary, but we had no problems at all and felt very safe walking around there. At all times when we passed through the front door of the hotel there was a door man who was very friendly and more than happy to offer helpful advice when we had a question. The location was fantastic, we walked up town to Times Square and beyond and also down to Greenwich Village and China Town and found it to be a very easy and enjoyable walk. There was a subway station nearby with very frequent services that took us anywhere else we wanted to go. The room was very large had 2 double beds and a large bathroom with a bathtub which was very nice after a long day of walking. And the view was amazing, the empire state building felt so close from our window that you could almost touch it! I'm sure not every room has a view like that so ask when you check in. So the airconditoning is a little bit noisey, we were one one of the higher floors so opened the window. The breakfast was a nice touch, we chose to take our breakfast back to the room and ate it enjoying the view, there was no need to sit in the small room with a lot of people walking around you. And having tea and coffee available at all times was really good as well. The thing I liked best about the hotel was how small it was, the staff were very friendly and some of the most helpful I have experienced for a long while. We lost our money in the vending machine and thought that we wouldn't get it back, no problem, just told the person at the front desk and he promptly refunded the money and gave me directions to the nearest convenience store. For those people that are interested in spending their money on designer beds and fancy toiletries, then this might not be the hotel for you, but if you have other things to spend your money on and just want a classic hotel with breakfast and friendly staff then this is probably a good choice. When I come back to New York I'll stay here again.	
Oct 3 2006 	Very good value	Room was clean and tidy and had a great view of the empire state building and staff were very friendly. Breakfast was convenient but consisted of pastries and muffins so was not what I was used to (would've been nice if there was cereal and toast). Price was very affordable compared to all the other hotels in the city (only $169 a night). Great location - real close to the subway but was in a pretty dodgy part of the city though. Otherwise it was a great place to stay.	
Sep 30 2006 	First Time in New York Great Experience!	This was our first time in New York and we were a little skeptical on this hotel. We read the reviews on Trip Advisor before we booked but decided to stay. The location was scary at first, but people are actually nice. The hotel staff was very friendly and helpful and the room was great. This hotel is located near the Subway so we took the Subway everywhere. Definitly by a subway pass if you plan on staying for more than a few days, it was worth it. The hotel is located in the Flat Iron district. It is not far from the Empire State Building, but you will have to ride the Subway to get anywhere else that you want to go. Overall, I would recommend this hotel to anyone coming to New York for a few days, it was great experience for a first time visit. We will stay here again. I have also attached a pic of our room, hope this helps.	
Sep 13 2006 	Not bad at all	The staff were friendly and courteous.The location was great.Room was clean, large and comfortable (a mini bar wouldn't go amiss).Good value for money overall.The only bad thing was the token breakfast.It was only 'served' between 7 and 9am. When I did make it down in time it was just a coffee room with a few small tables (all occupied). There was a selection of donuts/bagels/pastries on the side which looked OK. I tried to pour a coffee which was weak and tasteless and in the end went to a cafe down the road on 5th avenue.I'd say getting breakfast in a cafe was part of the New York experience anyway!I'd stay there again.	
Aug 12 2006 	great for a short stay	We stayed for two nights in the Boradway Plaza for our first family holiday to the United States at the end of July. Having read all the reviews prior to selecting the Hotel, we were well prepared for this hotel not being in a prime location. However, at no time did we feel unsafe. This being our first trip to Manhatten, the hotel kindly provided us with a room with a view (Empire State Building) on the 11th Floor. The room was large, very clear and functional. Although the breakfast could not be compared with any breakfast served in any hotel in Europe (even a small B &amp; B would probably do better) at least it was better than nothing.The Hotel is well positioned and in easy reach of subway stations, Time Square, ESB and Flatiron Building. We even walked the distance from the Hotel to the World Trade Centre site and Battery Park. The staff was very friendly and most efficient. And one last word...if you are looking for a good pint of larger and reasonably priced food go to O'Reilly's bar just a few blocks up Broadway.	
Aug 3 2006 	The good the bad and the ugly...	So here's the story.The good: The Broadway Plaza has great rooms. They're clean, they're comfy, and if you're not a princess you'll be just fine. Think Holiday Inn pre-makeover. Nothing super special, but just fine. The place is small but there's nothing about the rooms to make you cringe. Certainly a better deal than Pennsylvania Hotel where my bathroom looked like something out of a horror film. The workers are generally friendly but there is some slight snappiness at the front desk when they're busy.The bad: The lobby is tiny. Not a big deal, unless you're checking in at the same time as other guests. The elevator can take forever sometimes, since there is only 1 that guests can use. The 'free breakfast' room is pretty overrated. It's more like a lounge in the back of a bank where employees drink a cheap, bad coffee mid-morning and toast bread in a toaster that grandma should have thrown out 5 years ago.The ugly: New York is not a pretty city. You will generally feel unsafe anywhere in the city, especially if you're not used to it. That said, this neighborhood is not touristy whatsoever and if you're not a New Yorker than you're going to feel out of place and possibly weary of your surroundings the first day or two. Do NOT go upstairs at the pizza place next door. There were no seats and we ventured up there only to find drug deals going down all around us. Keep in mind this is New York and it happens anyway - just maybe not as noticeably in other places. If you're going out at night, have the desk guy flag you a car. If you walk straight into the car then there are no issues. If you're in a group, not a huge deal. Nice and affordable hotels are hard to find in NYC and this one isn't horrible, but if you're a first timer and you're not &quot;street savvy&quot; do yourself a favor and spend a couple of extra bucks closer to Times Square where the lights are always bright and nothing lurks in the shadows. Also, note that Expedia overrated this hotel. It is not by any means more than 3 stars. Not at all.	
Jul 29 2006	Right Location Right Price	We were looking for a hotel in Midtown at a good price for two adults, one teen, and one child. This hotel filled the bill. We stayed four nights in June 2006.It is one block from a subway station and is within walking distance of the Flatiron Building, the Empire State Building, Times Square, etc. We took the train to NYC and were able to walk the five or six blocks from Penn Station to this hotel. Being on Broadway, the walk north and south can be quite interesting. The area is a little bit scary at night, no so much because of unsavory characters, but because the streets are very dark. The room had two queen beds and was a nice size. The bathroom was small, but clean. There were plenty of towels and bed linens for all of us. The staff was neither friendly nor nasty, just functional. Skip the breakfast. It is not worth climbing the stairs or taking the elevator. Go to Starbucks up the street for your coffee and croissant.For just my wife and me, we would choose a hotel that is a little more upscale and romatic. However, with the children, this hotel was just about right.	
Jul 6 2006	Great view - good value	I stayed at this hotel i july 2005 for 3 nigths with my husbond. We got a room on the 4 th floor with a great view of the Empire State Building. It's in walking distance of most of the attractions. The breakfast is allright, and the staff is very helpfull. The only negative thing is that the surrounding streets seems a bit unfriendly. However, we did not have any problems.The value is good, considering N.Y. prices.	
Jul 5 2006	Second visit not as good	This was my second stay at The Broadway Plaza hotel, and I have to say I was disappointed this time. The good parts were both double beds were comfortable, the staff was friendly as always and the downtown location is convenient if you love downtown. The bad parts were the air conditioner had to be turned off after five minutes because of a very loud noise, the bathtub had standing water during each shower because it was draining very slowly and the elevator was very slow. If you are staying above the 7th floor there is only one elevator, and it is very slow. The worst part was I went to get an extra pillow from the shelf, and there was what looked like ceiling tile on the pillow. I looked up and saw the ceiling looked to be chewed or scratched through. A piece of carboard had been taped up, but you could still see the hole in the ceiling. We saw no rodent, but it appears they have a problem. Eventhough the building is old like most NYC hotels, they should still be able to control a rodent problem. Even with all these problems we still mostly enjoyed our stay, but were disappointed by the problems with the room. I'd consider staying at the hotel again, but only if I couldn't find anything else.	
Jun 23 2006	perfectly fine	clean, large quad room with large bathroom; friendly, helpful staff; breakfast and breakfast room a bit disappointing, but both did the job; lift is very slow, so must be patient; close to subway; typical new yok neighborhood (ie, busy and potentially dangerous if you're not aware of surroundings, but otherwise fine); one big complaint: pigeons or other rodents seemed to be scratching vigorously all day and night in the walls of the hotel room--a bit disconcerting	
May 7 2006	Good Hotel Great price	No bugs or animals loved the room lots of space worth the stay	
May 6 2006	Friendly and comfortable.	Very friendly staff, clean and tidy hotel/room. 24hr tea and coffee a great idea, (buy some mugs if you don't like polystyrene cups). Breakfast of donuts or toasted Bagels and cream cheese/jam, unusual to us Brits but tasty for a week. Overall a great place to stay and central to most attractions.If you read previous poor reviews note the following:-1) People are outside with black plastic bin liners because they have bought their 'minimum of 10 items or more' from the wholesale shops lining the street and thats how they are packaged. They do not try to sell to you and it means there is people about all the tme and so its as safe as any where else, (and I am a worrier). It does look ominous when you first get there but its no problem.2) The toilet did block but thats because of the design, not the plumbing, so just be carefull.3) The lift, its called waitng for it, have patience it works fine.4) The bed was very comfortable.Compared to Hotels in this country it was very good and we would definiteley stay there again.	
Apr 25 2006	Garbage Dump	My first time to the US and I absolutely loved NY. I will come back to this city but there is no way I will ever stay in this hotel again. The neighbourhood was not the best and the hotel was made to look very scruffy by all the garbage bag people outside. My girlfriend was actually scared to walk around the area just outside the hotel.The morning breakfast consisted of a few plates of dry cup cakes and cream cakes. I never ate in the hotel after the first day. I also got ripped off by vending machines that did not work properly.The room was scruffy, the carpet was ancient and the bathroom (quite clean) was very dated. The bed was a disaster and I had a bad time sleeping during my stay. On the first night I thought I could hear rats/mice scratching on the walls!Total rip off for the money I spent, i know i could have had much better for my money.	
Apr 10 2006	Excellent Hotel	Arrived at hotel late the night before St Patrick's Day, initially to stay for one night only. Staff were excellent, very accomodating when I requested extending my stay. Great hotel for, great price. Room was massive and very clean. Location is excellent. Would definitely stay at the Broadway Plaza next time I'm in New York.	
Mar 21 2006	For the price you could probably do better.	I expected this hotel to be alot better than what it was. We paid $1200 for a 4 night stay the week before Christmas so for that price i expected something a bit more upmarket. The rooms were a fair size but there were marks on the walls, chipped and mismatched furniture and the decor was just generally drab. I did however enjoy the fact we were within walking distance of Times Square, Fifth Avenue and the Empire State building. There were a lot of street sellers around the hotel selling what i assume were stolen or counterfeit goods. This did intimidate us at first but after a day we just accepted that this was NYC. There were no problems walking through them at all.The staff at the hotel were very helpful. I needed an internet cafe one day and the guy behind the desk gave me three addresses. He knew the opening times and the prices which was very handy!!This hotel is ideal if you are just wanting a place to rest your head and wash without being too far from all the attractions. The hotel may have been more expensive as it was Christmas but for the price we paid i was a bit disappointed.	
Mar 16 2006	Broadway Plaza Hotel	This was my first trip to NYC, and I've always been told you can't get a decent hotel room in this town under $200/night. Naturally I was a bit suspicious when the rate for the Broadway Plaza Hotel was quoted at $119/night on Travelocity, but the reviews were, for the most part, pretty good and the location seemed acceptable, so I decided to give it a shot. Man, was I glad I did! I love this hotel! The staff is so friendly and helpful, the room was HUGE, and the continental breakfast and 24 hour coffee was great! True, some have griped about the neighborhood a bit and it's true that the hotel is located in the northern part of the Garment district, but I absolutely loved this colorful area of town. The neighborhood has a very genuine feel to it - this IS NYC, not some phony tourist creation!!! The area clears out at night after the shops close, and it's very tranquil and peaceful then. In no way did I ever feel even slightly unsafe. Also, Times Square and the Flatiron building are just a short walk away, and there's a subway station right at 28th Street which is so convenient! This place rocks and I plan to stay here again on my next NYC adventure! Highest recommendation!!!	
Mar 1 2006 	just the job for a couple of nights	i needed an overnight hotel stop in between moving apartments in NY - booked this via Orbitz as it was, well cheap. $98 for the night plus it said it offered room service. I arrived to be told the hotel was overbooked but they had found me a room - it was a very large room with 2 double beds and a simply enormous bathroom by any NY standards so I suspect if I'd got a $98 room things may have been different. For me the best thing about the room was it was SO quiet outside, literally the odd car going past but no beeping horns or other NY noises. &quot;Room service&quot; turns out to be a restaurant next door the hotel has hooked up with which during my stay was closed for renovations but I did get other menus brought to my room plus when the food arrived the security man called me first to let me know etc, I thought that was good. If I was staying in NY for more than 3 nights I'd probably pick another location but if you happen to just need a place to crash then I recommend this hotel. PS other reviewers have criticised the neighborhood - yes there are a few geezers hanging around trying to sell you sunglasses or whatever but 1. they go home when the shops shut 2. as a single woman from the UK living in NY I can tell you this is NOT a threatening neighborhood; you just need to look like you know where you are going so they don't mark you as a muppet 3. there are far far worse areas of Manhattan. Try Port Authority if you want dodgy geezers.	
Dec 22 2005	A great budget hotel	I had booked the hotel over the internet and was a bit wary from some of the mixed reviews on this site. I had nothing to fear. Upon arrival we were offered a room with a view looking out at the Empire State. The room was spacious for the 2 of us and the bathroom was certainly larger than the Howard johnson I stayed at last year. The room was clean and the service was friendly and efficient.The neighbourhood is not the greatest in New York. There were certainly crowds of young men selling furs, watches and sportswear from black bags in the street outside during the day but we didn't encounter any problems apart from very busy sidewalks. The area had cleared when we walked back to the hotel at night and we certainly did not feel threatened despite a couple of late night walks back. We were never approached by anyone. I've had scarier journeys home in many a city in the UK.The subway is close by and the hotel is in easy walking distance to the Flatiron and Midtown areas.	
Dec 9 2005 	Hell on Broadway!	This hotel is terrible.It is a trap - it appears like a less expensive option when staying in Manhattan - but trust me usually in manhattan you pay $300 a night and stay in what should be a $150 a night hotel - here you pay $150 a stay in what should be a $40 a night hotel.1.) There is an awful smell permeating the entire hotel that can only be described as somewhere between rotting food and cheap cleaning agent. I can't overemphasize how a bad smell can ruin an entire stay. 2.) The Elevators don't work. As mentioned prevously the 7th floor (where the vending machines were) was essentially unreachable by elevator - unless you have a crowbar to break down the elevator door. By the way the staircase smells disgusting - I found this out when I was trapped on the 7th floor. 3.) The neighborhood is VERY scary. I am a fairly seasoned traveller and even I was scared (not to mention my wife who was very fearful stepping out the hotel door). I am postive there were drugs being sold outside the hotel doors and purse snatchers on the prowl. Ask any cabbie and they will tell you this is NOT a tourist area. While the website points out how close the hotel is to major attracttions - you have to run a gauntlet of aggressive peddlers to get to them.4.) While the bathroom was recently rennovated - the shower pressure was terrible - I would have been better off splashing myself in the sink.It wasn't all bad 1.) Doorman was really good. This area is tough to get cabs and he does a great job - he should go work for a better hotel.2.) Wireless internet worked great.STAY AWAY DON'T FALL FOR THE TRAP	
Dec 5 2005	Chemical soup	Tried to prepare for the neighborhood, but wasn't. This Black Hole of Calcutta was isolated to about 2 blocks in any direction, but had to fight my way out the door and across the nearest intersections. People on the street were self-absorbed and incredibly beyond-NY rude, standing still or stopping suddenly &amp; veering in unexpected directions, all carrying or rolling black garbage bags. I'm used to vendors with tables - these were people standing in the way, hawking and pulling merchandise out of garbage bags. The discounted parking garage was 3.5 blocks away, all the others close so no other 24-hr parking.The nightmare was inside. Initially we were given room 508. The stench of fragranced carpet re-odorizer &quot;make it smell like something else&quot; was unbearable. We asked for another room, and got 506 with no problem. It still smelled. Man-made fragrances give me asthma and seizures - I doubled my medications. Lobby was fine, but halls smelled, elevators smelled, and someone was continuing to spray/treat the elevators because first one had a stronger odor, then the other. Sprayed the room and bed linens repeatedly with &quot;Smells B-gone&quot; and still couldn't sleep the first night due to reactions. The cleaning staff were loud, but not a problem because I was already awake. They followed our directions NOT to clean the room between nights. Stayed out too late in order to avoid the room. Couldn't sleep the other nights because we left the window open for fresh air and it was cold.Why would they need so many fragrances? The hotel does or at one time did accept pets. According to a staff member many of the garbage bag 'vendors' keep a room to restock their wares from. The wall around the air conditioner was mildewy. My husband thought the carpet odorizer was to cover the smell of vomit, but I didn't see any stains.The toilet stopped up. The towels were rough and too small to wrap around my husband who wears a size small shirt. The small plastic shower had no light fixture, so it was very dark. There were no towel bars or hooks within reach of the shower in the generously sized bathroom, just the 1 storage rack (a cheap and easy fix). There was no vent fan.The melamine didn't even completely cover the particle board sink cabinet.The door of one of the elevators wouldn't open on the 7th floor where the vending machines were. Internet access was an additional $10/night on a $280/night room. When they gave me the code, they also provided the tech support number, knowing I would need it - never needed assistance at any other hotel, not sure it was a secure connection. I had to call the desk to turn on the phone so I could call the tech support they knew I would need. In the small continental breakfast room everyone looked miserable although I didn't speak to anyone.The rooms were clean (accept for AC mildew) if stinky, the bellhops were wonderful, and the sewing kit in the room was useful. I suspect some of these reviews were written by staff because while some may have had an adequate experience, rave reviews would be impossible.	
Dec 2 2005	We loved the "gritty" area - Very safe.	Having flown 22 hrs to arrive in NYC for our first visit, we were greeted by a wonderful Doorman, &quot;Richard&quot; and front desk staff in the evening. If you need anything done or any info. Richard is the man to ask! In fact all the staff were pleasant here. Stayed for 7 glorious nights. Having read other reviews about the &quot;grittiness&quot; of the area, we welcomed it as part of a true NYC experience, as opposed to staying in a touristy area. Bustling during the day, however surprisingly quiet at night. Never a feeling of being unsafe at all.Our room on the 6th floor (606) looked straight at Empire State Building. Large Superior Room (2 beds), small dining table, desk, loads of cupboard and hanging space, large bathroom &amp; heated. Very clean, plenty of towels available. Room had a personal safe also...added bonus.Excellent access to Subways, eateries, taxis, bars &amp; clubs and many many NYC attractions. We thought it was the perfect place to stay &amp; would definitely stay again.The only negative we found, was the house-keeping staff tended to be a little noisy in the mornings. A little bit of door banging going on and chatting in the hallways amongst themselves, became annoying when trying to have a sleep-in.	
Nov 24 2005	Great Experience	We stayed at this hotel for 3 nights. We were travelling with our two kids as well as another couple. Both rooms were on the 4th floor - 403 for the couple faced the street and was roomy but had street noise at night. 408 was at the back and very quiet. Huge room although tiny shower. Rooms were very clean. Breakfast consisted of pastries, bagels, tea, coffee, juice (toaster available as is butter and jam). Always seemed to be plenty available. Staff were extremely helpful with all our questions etc. When we arrived at the hotel (7.30pm) we were a bit unsure of what it would be like because the neighbourhood didn't look so good but it was excellent and the neighbourhood was fine. Hotel was handy to tourist sights and the on/off bus so suited us just fine.	
Nov 15 2005	Would definitely recommend	After reading nearly all the hotel reviews for NY on TripAdvisor, I went for this one, as it was reasonably priced for a largish room.Went with my mother, for our first-time trip to NY and was very pleased with the hotel. We had one of the superior rooms (as I didn't want us to be falling over each other) and had clean room with two double beds, freshly decorated, good size bathroom with plenty of towels, great view of ESB and plenty of space.Staff were very pleasant and helpful, the traffic noise (on the 9th floor) much quieter than I expected, and the breakfast of unlimited bagels, cakes and muffins fatal for the waistline! Liked the 24hr tea and coffee available in the breakfast room (so didn't miss not having a kettle in room).Easy to get around from, plenty of cabs on 6th and 5th ave. Broadway by the hotel is rather dark and quiet late on, which unnerved my mum a bit - would recommend you walk up/down 5th ave, then turn down 27th st to the hotel, rather than walking down the latter part of Broadway. In the day time we had no hassle (no hassle at night either - in fact it was too quiet!)I'd definitely recommend this to someone who wants a decent, but not fancy schmancy hotel at a sensible price.	
Nov 15 2005 	nice hotel... Bad billing policies. Abusive management.	Untill recently I had always had nothing but good expieriences with this hotel. I made my reservation mid october. When I arrived to check in the rate that I had been quoted had changed. Though it may have been a fair rate it for that time of year. It was in fact different than what I was quoted. When I pointed it out they gladly agreed that the orignial quoted rate would stand. They were having some work done on thier elevators that weekend thus there was some minor inconvienience due to noise and availability. Also the cleaning staff never actually cleaned my room. None of this affected my Opinion of the hotel. I had always stayed there when visiting new york and figured some growing pains are part of any enterprise. When I went to check out I found that they had not changed the rate. it was signifigantly higher than what I had been originally quoted and agreed upon. They told me I must have misunderstood. Since a misunderstanding was possible I offered to split the difference with them. They stood by thier increased rate. then I found out that they had actually changed all the room rates the day I had checked in, to lower than the comprimise I was offering. They did not give in. They outright denied my complaints about noise and the cleaning staff and stood fast on thier rate.  I told them they left me no other options but to file a grievence with my credit card company and the management got mad and abusive. I left. I have filed my greivance and in addition I plan to file reviews about my expierience as is my right. It doesn't matter how helpfull the staff is if managment is unruly and unyeilding. Regardless of how rightous they felt about thier rate. I was not satisfied and they ignored my complaints. As it stands I will never stay there again and can't recomend the expierience to anybody.	
Nov 8 2005	Excellent Value	Four of us stayed for 3 night in October and thought this was an excellent hotel. Its small and might not be the most spacious but was very comfortable and is in a great location in Manhattan. The rooms were extremely clean and we found the staff to be more then helpfull. When I return to New York, I will be staying at the Broadway Plaza hotel again.	
Nov 3 2005	Great Place to Stay!	We stayed here on October 28 for one night in a junior suite, which had a two queen beds, a living room area, and a large bathroom. It was a very nice and quiet room. We were on the second floor, but really didn't experience too much noise. The staff was very helpful in hailing a cab for us and recommending a good place to eat breakfast. The subway was close and on a line that accesses Times Square and Central Park. Yes, there are cheap shops around, but who cares? That's part of New York. We would definitely stay here again!	
Oct 28 2005	better than expected	we spent 5day's at the hotel and staff could not be nicer from edward the doorman and his team to cleaning team and the front desk team all were very helpfull! the hotel is what you make of it despite what other people say there are pub's in the area all you have to do is ask or look!!we found an irish bar on 31st called o'rielly's find it the food in the attatched restaraunt was superb, nice bar to relax in and chill staff all very nice ,we stayed on the 9th floor good view's of empire state building,also subway 1 min away, all attractions minutes away by subway.overall i would stay in the hotel if i was going to new york again and would recomend in to anyone .	
Oct 18 2005	Not what you think-Broadway Plaza	We book the hotel based on the picture and the way it look which is very deceiving. If you don't look closly you will miss the hotel entrance among all the gate on the store fronts. The lobby is the size of my very small apartment dinning room. The rooms were clean and a good size but you couldn't look at your self in the mirror of the bathroom and have the door open. The breakfest they talk about is bad coffee and old donuts. The breakfast/coffee room is on the 4th floor and smaller than our hotel room. The staff was friendly but the man who was the door man our first day was then the front desk person the next night. There were no bars or resturant in the area and at night the street were very dark and abandon.	
