	Great location good restaurant clean rooms.	We enjoyed our stay at the Martinique as first time visitors to New York from New Zealand - it was central to everything we wanted to do and everyone was very helpful. We ate in the restaurant for the three nights we stayed in New York and the meals were great. Especially enjoyed being able to get a meal at 11.30pm after having been to a show on Broadway. Would definitely stay there again.	
Oct 30 2007	Not too bad	Got a special rate for this and for this rate that i'm paying, I guess I have nothing much to complain about!The rooms are relatively small. But that is NY style. Not much space after you place 2 twin beds, dressing table. The toilet door is just 1 foot away from one of the beds! However, the rooms are clean, beds are clean. The only complaint was of my pillow. I should have asked for a better pillow or more pillows....but well...Security is quite tight. The guard will ask that you show your key card if you come in late at night. Location is great as there are shopping areas just outside the hotel. Food is available 24 hours as you are sort of in Korean town. Some of the Korean restaurants open 24 hours. There is good breakfast areas around the hotel too!! Oh, there is a train station JUST outside the hotel. How convenient is that!! Checking in was slow....but it seems like that in NY. People behind the counter seem to take their own sweet time which becomes a little frustrating cos all I want is my room. Check out was simple! Just say my room number, and that's it!	
Oct 29 2007 	Needs a make-over	This is one of those hotels which is looking a little under the weather and is in need of a make-over. Service, rooms etc. are fine, location is great but it is obvious that a make-over is needed. Decor, carpets are furnishing all need to be replaced.	
Oct 7 2007 	Great place!	We stayed here for a week and found hotel to be a very nice clean, friendly place, room was OK, (as there were 3 of us) not a bit like some of the reviews we read, but the reason we picked it was that (rightly so )most of the reviews we good, And also in good location for Macys, Empire state building,Madison sq. grns, Time sq etc.would stay here again next time.	
Sep 23 2007 	Great bargain hotel.	My husband and I stayed at this hotel for 4 nights at the end of August. Being New York, we were expecting a small room but we were there to see the city so didn't mind. To be honest, I thought the room was an ok size. The bathroom was very small but clean and functional. We were lucky to be on the 12th floor at the front of the building and had a view of the Flatiron building. Overall the room was clean, with a comfortable bed, plenty of towels and nice toiletries. The concierge was helpful and even booked a table at a restaurant for us at our request. We ate in the hotel restaurant for breakfast and thought it was good - I'd avoid the buffet upstairs though as it is a rip-off. Overall, I'd recommend this hotel as it is in mid-town with a sub-way station outside the door making it very handy for tourists who wish to explore the city. I agree with another reviewer who recommended avoiding the Korean restaurant next door - probably the worst meal and worse service I've ever had in my life!	
Sep 11 2007 	Extortionately Priced	I shared a room with two friends for 3 nights - the price was OK - it worked out at £65 per person per night. However, my friends checked out on the Monday morning and I stayed over for one more night, in the same room, on my own. The price for that night? £160! I could not believe it. They had swiped my credit card on arrival so by the time I checked out and was given my invoice they already had their money. I have stayed at another hotel in New York (Pennsylvania Hotel, right opposite Maddison Square Garden and next door to Macy's) and was charged only £75 per night. This hotel does not warrant the price they are charging.As for the service, the front desk staff were OK. One of the concierges was nice but there was a different one on every time I left/arrived at the hotel so I never saw him after the day I arrived! The maid cleaned and tidied every day, bringing fresh towels. I am just completely annoyed at being ripped off in this way.	
Sep 10 2007 	An OK Hotel	My husband and i went to NYC for a quick get away and to see some Broadway shows.Stayed at the Radisson because we used our American Express points.I did not have high expectations of this hotel because i read some of the reviews at Tripadvisor.Thus i was not surprised when our room is small, bed uncomfortable, bathroom is even smaller and the hotel staff were just OK.We were too tired at the end of each day to pay particular attention and we basically used the room just to sleep because we were out all the time.If you go to NYC you probably have better choices than this hotel. One piece of advice, do not eat at the Korean Restaurant next door. The front desk staff recommended the place and the food was awful, prices high.You could get better food with better value elsewhere.We went there our first day because we were starving when we arrived and wished we didn't.	
Sep 9 2007 	Loved our stay	My wife and I stayed at this hotel from 9/1-9/4. We definitely enjoyed our stay. It is perfectly located on 32nd and Broadway, just 10 blocks from Times Square. There is a subway station right outside the door of the hotel, so you have access to the entire city.The only bad part of our stay was the check-in. We arrived at noon and of course that was too eary to check in, which we understood. When we returned at 4pm to check in, there were 2 people working the front desk and I was 5th in line to check in. Within 5 minutes the line had grown to about 20 people. They finally brought one more person out to the desk to help, but it took until 4:40pm for me to get checked in (I would hate to think what time the last person in line checked in).Other than the check in , we loved the hotel. Yes, the room is small but from everyone I have talked to, most all NYC rooms are small. It was clean and quiet. Face it, if you are a tourist in NYC you will not spend much time in the room anyway.The doorman was fantastic! Any help getting somewhere he could help.	
Aug 31 2007	tiny rooms	The first junior suite room we were allocated on the &quot;executive floor&quot; was tiny. I left the family there and went back to reception. I looked at the next suggested upscale suite and rejected that too. Eventually I gave up and we took a standard room that was a long walk from the elevator.	
Aug 23 2007 	Closet-sized rooms!	A big group of friends went to NYC for a birthday celebration. We got 5 rooms. My room was a closet-sized room in the back of the hotel with a wonderful view of the brick building next door. The room only had a double bed, The toilet ran all night long and there was absolutely no natural light in the room at all. We called the front desk to request a room change, they said they were all booked for the night but the following night we could switch. We called again the next morning to verify and they said they couldn't switch us afterall. Then 20 minutes later the front desk called back and said we could switch. But the new room wouldn't be ready until after 3pm, so we had to get all our stuff out of the room by 11am and check our baggage with the bellhop. Another hastle. We literally waited in line for the bellhop for 40 minutes to check our bags! When we returned later to retrieve our bags and check into our new room, there was a line almost out the front door with people checking in. The line was not moving. The staff behind the desk kept disappearing for chunks of time and were not helping anyone. It took another 45 minutes to get our new room key. We even used our cell phone to call for a manager and no one showed up. The staff is slow, unhelpful, clueless and rude. The 2nd room we got was more bright and spacious and had sleepnumber beds. But that did not make up for the terrible service this hotel provides.	
Aug 21 2007 	Beautiful	We booked this through Expedia for under $180 a night. Our plane was delayed by 5 hours so we didn't check-in until almost 11:00 p.m. They didn't have the room we paid for so they UPGRADED us. Our room was huge. And the Sleep Number beds are wonderful. The staff was so friendly and the building is beautiful. We asked the doorman for recommendations to get something to eat at midnight and he was so friendly and directed us in the right direction. I believe if you treat people nice they will return it. Check-out was a breeze. The only thing I could find bad was that only two elevators were working. And there was no way I was going to climb that winding staircase up 18 floors, but it sure was nice to look at.	
Aug 15 2007 	Wonderful Hotel	This hotel was an excellent choice. Close to the subway and a short walk from a lot of attractions. I was very happy with the room and the service we were provided. This hotel is one I would use again. We were on the street side and never heard any noise except for one fire truck.	
Aug 14 2007 	Rudest front desk staff I've ever met in a hotel	All front desk staff we interacted with were rude and not personable. (2 women and a male) They all had extremely poor customer skills and attitudes. The special rate we were given when we booked the room was not honored because we did not have the confirmation letter we were supposed to have received (which we did not). I'd advise anyone who feels the need to book a room at this hotel to make sure they receive a confirmation letter or make arrangements to do so before their arrival date.Check in time is 4 p.m. (later than most hotels we've stayed in). I'd advise against anyone trying to check in earlier as they can't accommodate an early arrival let alone a 4 p.m. arrival. Make sure you check out at 11 as I would not put it past them to charge you for an extra night if you were a little late.Hotel was dirty with food trays (food still on them) in the hallway on the floor from check in time until when we arrived back at our room after a late dinner around 9 p.m. AC did not work correctly and the room lacked some of the simple amenities normally found in a hotel room.If you're looking for the following two things: comfortable bed and good location and you can live with what I described above, then by all means this is a hotel for you.	
Aug 3 2007	Shabby not chic	Stayed here for 2 nights in in July 2007. Midtown location is OK but hotel lacks any charm. Not the place if you want somewhere welcoming to come back to after a long day.Room was tiny and 'pump up' bed did not work. Lifts are slow with long waits, decor has seen better days.Check in/out staff cleary used to dealing with volume rather than taking time over welcoming guests.Overall nothing wrong, but nothing to make me go back either	
Jul 12 2007	Ummm.. do jump to stay at this hotel	Stayed here last night and i eager to report of my experience... it was NOT a good one. We got in around 1 pm and tried to check in early and they said we had to wait... which was ok, but then we got back at 4 pm (check in time), it took over an hour to check in. There was only 2 front desk people who weren't te nicest. We were informed parts of the hotel didn't have air conditioning and they gave us ONE free drink coupon at the bar!The experience continues: we walked up to our room and put in the key as normal when we opened, there was a naked man in our room!!! We went back downstairs for the front desk lady to tell us jokingly, she assigned us a taken room.. when we got up to our new room, the cleaning lady was still cleaning.. it was 5:30 at this time. The poor cleaning women didn't even have a cart for his supplies, just a bucket.. in her hurry, we were left with a made bed but used water bottles and tolietries.. i don't blame her but the hotel.. as we were waiting to check in, there was dozens of airline pilots and attendants checking out (5 hours after the supposed check out time of 11). this is why the cleaning people were behind and why many rooms were ready at 4 pm. (on a side note: don't ask my why airlines pay for their crews to take chartered buses to go into the city to stay at a midtown hotel when they could stay at a airpot hotel... the airlines need to look at there overhead )anyways, after that two hours of terror... we had an OK experience... the towels were all different, some super ratty and one was brand new BUT it pilled all over me and i had to take another shower to ge the fuzz out of my hair. the mini bar had cokes for $3 so stock up on a local market. the location was good, that was the best thing about it. i wouldn't stay here again... so, just book with caution..	
Jul 8 2007 	Great location wonderful service 	Having only been to NYC once before (on business), I was VERY nervous about the hotel selection for my return with my husband and 15 year old daughter for the week of Spring Break. I have trusted TripAdvisor for years and this time, really counted on the information about the Radisson's central location which was absolutely true. AAA offered a rate we couldn't refuse. Easy access to the subway, reasonable walking distance to just about everything...shows, food, shopping, Empire State, etc. The concierge (Mike) was a wonderful help from the first night on. Our stay included a free breakfast buffet which was WONDERFUL...a real money saver &amp; the hostess knew us by name by day 2. Front desk was helpful &amp; polite &amp; the back door exits to a small gift shop...a great shortcut to the next street over &amp; lots of fun to visit. Housekeeping was great &amp; checkout-was easy. No surprises. I will absolutely consider this hotel when I visit NYC again &amp; I recommend that you do too!	
Jul 1 2007 	Great location but... go back in time!	Stayed here for a 3-day business trip. Used to Marriott's &amp; Hyatt's, this hotel is not quite up there. Everything was booked so thru AAA, got a $297/night rate which is becoming to be the avg. to stay in NY at a reasonable rate. The room was medium sized (2 full beds) and large for NY standards. But the accs. and furnishings were old and boring. TV reception was pathetic. The worst was the smelly bathroom. Attributed mostly to a moldly shower curtain.Had dinner there as I could not find anything nearby open at 10:15 pm on a Tuesday night. First burger was charred/burnt and had to ask for another one. The 2nd one was raw and still moving!I will not stay here again.	
Jul 1 2007 	Not what we expected	Given the price we paid to stay here for several nights we thought we were going to get a pretty decent hotel room and upon our arrival the hotel seemed fine. It had an okay lobby, but everything after that was downhill. The doorman and the front desk attendants were cold and quite unfriendly (an exception being the bellhops who were refreshingly pleasant and helpful). Also the front desk provided us with inaccurate information about the hotel which proved troublesome. The room itself was small, but that's to be expected; what we didn’t except was the awful bathroom. The tub was stained and damaged like nothing I've ever seen, the bathroom was right next to one of the two very small double beds in our room, which by the way had sheets which were also stained and there were holes in the blankets. The room also felt unclean and icky. Several days later we stayed at a comfort inn which was a big relief from the ickiness of this room. Also there was another door in the room which connected to another hotel room and we could hear our neighbors conversations, at times it was so clear its seemed they were in the room with us, walls were beyond paper thin. NY city is expensive so it's hard to find something reasonably priced, but either we got the worst room in the hotel or we over paid. The local of this hotel is okay, subway close and the hotel is in Korea town which was interesting, good ice cream at a nearby store and several nearby Korean restaurants. Also you can walk around and find lots of food places. The only somewhat good thing about this hotel was the location of on 32nd street, not too far from points of interest, but for most places you still need to get on the subway. Don't go in expecting much at all. Okay for maybe 1 night, but I would not stay here again, there's way better out there.	
Jun 28 2007 	great location	I was afraid to go to this hotel after reading all of the negative reviews. This was my first time at a Radisson, (I typically stay at Westin and Hilton chain hotels). Clean and quaint hotel. Elevators were fine, typical New York City elevators. People that complain about the elevators are silly, they should spend time in other NYC buildings! I was pleasantly surprised, I stayed in a sleep number bed suite. I had a blast! The hotel is very convenient and the staff were very hospitable. Great location, convenient to restaurants, subway stations (around the corner), bus stops, etc. Try Speedys fast food restaurant-excellent!, the hotel's restaurant -Cafe Martinique was fine, although I ordered their soup of the day (granted it was the end of the day), they gave me a bowl of room temperature broth, instead of a hearty soup that I was expecting. It is in a Korean neighborhood which I thought was great, since there isa Korean restaurant onsite, and there is an ice cream shop on the same street that seemed to be the spot to get ice cream. You can't beat being close by to Macy's flagship store (7 floors!) (a must see there is even a floor numbered 1 1/2!). Also, there is a drug store (Duane Reeder?? on the same block (to buy drinks, toiletries, etc), a specialty cosmetic store around the corner, and a quaint small park in the middle of broadway... I'm sorry but you can't beat this hotel. I was going to book at a Westin but so glad I did not since I drove past it and it was right next to a&quot;gentleman's club&quot; .	
Jun 20 2007 	perfectly adequate	I had a fairly small size room, but it was clean, modern and comfortable. The bathroom was clean and had plenty of towels. The air con was a bit noisy - but I could sleep through it. The service was prompt and pleasant. I have no complaints.	
Jun 19 2007 	A room for the night but thats all	My travelling companion and I stayed at this hotel in June and it was very very busy in the sorrounding area, more so than when I stayed 'uptown' 18 months ago. The hotel itself is OK, although the room we were allocated was very dark and the lamp wasn't working. The bathroom you could hardley turn round in as it was so small- but that didn't cause too much concern as we took the view that we were just in our hotel to sleep. At least it was nice and quiet at night considering it was so central. On one hand it is great that it is next to Macy's and the Empire State Bulding is around the corner and Madison Square Gardens is a block away, but on the other hand this makes it so busy. It is difficult to walk out of your hotel in the morning trying to avoid the hoard of tourists who clamber every inch of the pavement. Hustle and bustle is at its premium. Because it is so near the touristy areas, there is little in the way of bars and restaurants nearby. In fact the immediate area outside of the hotel is a bit dingy, so it is a case of having to get on a subway or taxi to either Greenwich Village (which was lovely) or uptown. Having stayed on 57th Street before, near Central Park, I would much prefer that area. It is quieter, slightly more geared up for the more discerning tourist and there are loads of lively bars and restaurants. Even though I was a tourist ion New York, I didn't want to surround myself with other tourists and I especially didn't want to eat a Korean in the nearby vicinity each night.Each to their own - but probably wouldn't stay at this hotel again.	
Jun 18 2007 	Good Hotel Great Location!	My husband and I stayed at this hotel. The staff was very friendly - especially the staff at the concierge desk - particularly one gentleman named Jose. He helped us figure out the subway routes and which stops to get off on and was very helpful. They helped us hail a cab several times as well. Upon arrival they securely stowed our luggage as we arrived before check-in time. The staff in the on-site restaurant were friendly too. The room was a tad small but 90% of the hotel rooms in NYC are small too. It was a good value for the price. It's located right by the subway so it was never difficult to get anywhere as we could hop on the subway literally right outside the front door - which was a great plus I thought! The only minor complaint I would have would be that the thermostat in the room was a bit touchy and it took us about 1 1/2 hours to get the room to a comfy temperature. Other than that, I would recommend this hotel to anyone.	
Jun 15 2007 	Great location but stay somewhere else	My experience with Radisson hotels is generally very good, but this one is a miss. OK, they have great beds, but that's it. Service is poor. I had a huge corner room with 2 bathrooms, sofa, fridge etc., but no hangers and nowhere to hang my suit! My suggestion is to stay somewhere else.	
Jun 1 2007 	Security Breach at this hotel - exercise extreme caution	Recommend anyone wishing to book to stay at the Radisson Martinique use careful consideration as I stayed there back in April 2007 and had a $ 200.00 pair of shoes stolen from hotel. What's even more disappointing is the extremely poor customer service I have received since then with having to deal with numerous people (being thrown from person to person with no-one in the chain taking accountability) and the hotel chain using classic stalling tactics to brush the whole thing under the carpet.Just writing this as I feel that as a fellow traveller don't want anyone else to go through the hours of various modes of communication that I have had to endure for the hotel still to disregard the matter and not take it seriously.Try Starwood, Marriott and Hilton for better all round security and customer service in case you ever have to deal with a situation like mine.	
May 28 2007 	Yes A Definite Rat Hole	I have to agree with the many previous reviews that although this hotel is in New York and therefore in a great location, it is better to stay elsewhere. The rooms are indeed small and dirty, the restaurant, food and service are truly nasty, the concierge does not know what she is talking about and couldn't care less. The women at the gift shop/sundries bar don't know where the department stores are, won't give you change or directions or the time of day; but they do have a nice brass shingle that says &quot;concierge&quot;. The mini-bar sign sums up the hotel philosophy: basically, don't get comfortable and put your stuff here! The toiletries couldn't be cheaper or more harsh, and at over $400 a night. The elevators are incredibly small, old and overcrowded; the front desk moves at a snail's pace with long line-ups. The door people won't hold the doors open for you especially if you have luggage. The doorman who is supposed to get cabs spends most of his time singing to himself and avoiding you. Front desk treats you like you are some strange interloper and shows no courtesy. A complete crap experience which will sour your visit to a wonderful city.	
May 26 2007	Great Service with a beautiful room	My sister and I and her 2 children spent last Saturday night in NYC at the Radisson on Broadway. We had the greatest time, thanks to the service we received at the Radisson by wonderful man named, Redmond, upon our check in. We had a reservation for a standard room but I asked at check in for a room that would be big enough for the 2 children. Redmond gave us a room with a king size sleep number bed and 2 rollaway beds for the kids on a high floor with a beautiful view of the city. We couldn't have been more pleased. The room was beautiful... The Radisson was very conveniently located 2 blocks from Penn Station and we could see the hotel sign immediately when we walked out of the train station on 7th Avenue....that was a relief for us...I was afraid we wouldn't be able to find it.... It was a short, safe walk to Times Square and the subway was right out front... We loved the Radisson and would stay there again......we were impressed by the service we received from Redmond when we checked in....it made our day!	
May 15 2007 	The Radisson (Rat Hole I Sum!) NYC 32nr 	The Radisson (Rat Hole I Sum!) NYC, 32nr &amp; Broadway This hotel has great potential and an outstanding location. Execution is lacking. Front Desk staff had a pleasant, albeit, New York vibe. The elevators however, are a new twist on Three Card Monty: One had duct tape on the floor, choice number two had squeaks of gerbils on wheels providing vertical lift (thank you Richard Gere), and number three seemed to work just fine. Fat people: Stay away! The size of the room equals New York generosity, Tight! At over $400 USD/night, I have enjoyed an Oakland Ca. Motel 6 that was 1/8 the price and 1/3 bigger. A four-night stay ran over $1,700 USD. Fat people will run away when they see the mini-bar. A sign says ‘Do Not Store Personal Items” on it. It blinks advertising messages and “sales” and “discounts” on the LED display. The in room safe is below and integrated in the mini-bar. How cold! Chrome-Dome: Sometimes you just got to go. While going, I noticed the filth on the chrome drain underneath the sink. Icky! When rates exceed $200/night, a guest should expect body care products of superior (read; Aveda) caliber, not the knock off no name items supplied. They sufficed, yet failed to excel in delivering value. Unacceptable at the rate paid. The balance of the room was fairly void of dirt disasters, but the AC was difficult to operate as was the stops preventing more that a 4” opening of the window overlooking Broadway and the park below.  Access to a subway stop without crossing a street was wonderful. The in house restaurant was marginal, and typical of the Manhattan new food service paradigm: Huge, low quality portions with illegal workers delivering labored English as a second language communication. Bring a Russian interpreter for services; otherwise you’re gambling like a Vegas buffet. Bottom Line: NYC is truly expensive, and if you’re picky, you’ll need to drop several hundred dollars more per night to enjoy satisfaction. This is no deal. Any discounts on shopping you enjoy will be eaten up by outrageous food and lodging costs. Go to Hawaii, the weather and recreation is better.	
May 11 2007	Great hotelexcellent location	My husband &amp; I stayed here for 3 nights ( 4th-6th May ), I have stayed in a few hotels in NYC and was very pleased with our choice at the Radisson Martinique. Excellent location-especially for new visitors to the city, as it is on the doorstep to the subway, a short walk away from the Empire State and 42nd stree/Times Square. The rooms was clean and a decent size for NYC especially as most of the time spent is on sightseeing. We were on the 5th floor and it wasnt especially noisy considering the location and we were able to sleep! The service at the hotel was brilliant, the front desk were very helpful ( printed out addresses of places I was looking to find! ), the gift shop gentleman was always smiling,the bellmen couldnt hav been more helpful and organised a town car to get us to the airport too -very prompt service too! All in all this was an excellent stay!Manchester UK	
Apr 26 2007 	Not a good hotel if you are a business traveler.	Not a good experience. I travel frequently for work and stay at hotels about 150 nights/year. I usually stay at Marriots and Hiltons but they were all booked up for this last minute work trip. I will not be staying at this hotel again! The 'free' wireless was a joke. The signal was so weak in my room that it didn't work. The rate I booked also was supposed to include a free breakfast but upon check-in, they had no idea what I was talking about. The manager finally did provide a coupon for it after I complained. Also, I was under the impression that all rooms would have the Sleep Number bed, which is Radisson's big selling point. This was not the case; I just got a normal, bad hotel bed with typical hotel polyester bedding.	
Apr 20 2007 	Bad service but Great location clean hotel	This is a great hotel with great location. The room was clean and the service at the restaurant was pretty good. But, the services provided by manager (s), bellboys, doorman and what not are just plan bad. Seems like they are just not interested to serve you. It took us 20 minutes to check in because the guy at front desk had to finish 'some stuff' before serving us...so we waited.Other than that, this hotel is worth your money.	
Apr 20 2007 	Fab hotel!	My daughters and I went to New York to celebrate my 50th birthday. RMartinique was highly rated on tripadvisor so I booked it. We were NOT DISAPPOINTED. In fact, we were delighted. From the very first greeting by the cheery doorman to the last farewell, we were made to feel welcome and special. They could not do enough for us, nothing was too much trouble - the hotel's motto seems to be 'no problem!'.The Empire State Bldg is the hotel's back yard, Macy's its front. Other attractions are easily accessible and the subway is right next to the front door - it could not have been better placed.The rooms are airy and spacious by New York standards; the lifts work well; there is a safe in the room for which you have to pay but the safe in the lobby is free and accessible 24-7.The hotel is very flexible - on the last day, the hotel kindly agreed to us checking out at 1200hrs instead of the usual 1100hrs; then we wanted to store our bags till 1700hrs - the hotel kindly obliged again. Remember: 'no problem!'.We had literally lived in Macy's and other similar enticing establishment along 5th Ave so our bags were full to bursting. Understandably, we needed help to take our cases down the steps of the subway at 34th St. A VERY SPECIAL thank you goes to Mickey the Bell Capt (2nd from left in the photo) who smiled and just said, yes you've guessed: 'no problem ma'am'! He got his colleague and together they carried our cases down the blessed steps. This is service beyond the call of duty, for sure, and most appreciated. The only problem I had was that the room did not have a kettle, only a coffee maker so until such time as I got to the hotel restaurant to sample the excellent breakfast which did include tea, I was a tad grumpy in the morningSo: if you want a terrific hotel in the heart of Manhattan and don't want to take out a second mortgage, go to the Radisson Martinique - if you like tea, do take a portable kettle along.And when you see Mickey, tell him we said hello......;-)	
Apr 18 2007 	Loved it!!	What a great hotel! Perfect location - right in the middle of everything. Subway right outside the door. We could see the Empire State Building from our room. It was a small room, but we didn't care. We had enough room for the two of us. Can't comment on any extra service as we didn't require any. The concierge was very nice. They were all very helpful directing us to where we wanted to go. I would absolutely stay here again and would recommend it to anyone.	
Apr 17 2007 	Rude Manager	I stayed one week on April at the Radisson Martinique. It was ok, great location for the money.My only complain is about the Fitness Center, there is NONE, I found a tiny smelly and hot room at the basement with two old treadmills. At check in they give you your key room in a small envelope that says “Our Goal at Radisson is 100% Guest Satisfaction, if you are not satisfied with something, please let us know and we’ll make it right or you won’t pay” It’s a pity the manager never read this. I went to the front desk and talked to him about the lack of fitness center and he couldn’t care less. He was rude and didn’t try to be helpful at all. The rest of the personal at the Hotel is extremely nice.	
Apr 17 2007 	Excellent Hotel	We just returned from a weekend in New York. We stayed at the Radisson for 2 nights. (One of these nights was weather related due to flight cancellation). The check in was quick and efficient. We had booked a standard room. We received free breakfast from AAA. We used the concierge service to book tours and to get directions. The staff was extremely friendly. The doormen were great about hailing taxis for you. The location is great. The rooms are great. There was absolutely no noise which was excellent for such a centrally situated hotel.I would recommend this hotel to couples or families and would definitely stay again!!	
Apr 14 2007 	Excellent hotel in great location.	Stayed in this hotel in April 2007 for 6 nights. The check in was quick and efficient. We had an executive room on the 18 floor which was spacious,clean and had a small kitchen. There was no noise which was excellent for such a centrally situated hotel.Access to the 17th floor executive lounge for complimentary breakfast and evening cocktails etc was exceptional. Very centrally located hotel only 10 mins walk to Times Square and 5 mins to Empire State. Would recommend this hotel to couples or families and would definitely stay again!!	
Apr 2 2007 	Excellent for a travellers hotel in New York	We stayed for five nights from 21st to 26th March 2007.We were pleasantly surprised as normal 3 star New York hotels offer postage stamp size rooms. Ours was clean and spacious with comfortable amenities. The staff were friendly, polite and helpful.The location of the hotel is excellent offering a subway station just outside that has direct lines to uptown Central Park &amp; Bloomingdales as well as direct services downtown to Ground Zero, Brooklyn Bridge, China Town &amp; Little Italy.Macey's, Penn Station, Empire State Building &amp; Times Square are all within walking distance.A money saving tip if you are flying into JFK is take the Sky Train to Jamaica and then pick up the Long Island Rail Road into Penn. If you are lucky the journey take about forty minutes and costs $10 per person instead of the $70 cab fare. Only do this if you have a minimal amount of luggage.On the whole we would thouroughly recommend this hotel if you are looking for a good travellers hotel in New York. Do look around for deals, we got five nights for the price of four, as the normal starting prices are high even for New York.	
Mar 30 2007 	A central hotel close to everything	This a centrally located hotel within easy access to all the New York sights, the Empire State Building is right behind on the next block and is open until 2am ideal for insomniacs. We arrived at the hotel at 12.15am and were unable to have the room which we originally booked through the agent, no change was available as the hotel was full on the Sat night. We were changed the next day for the rest of of our stay together with full buffet breakfast which compensated us for the loss of the exec room for the first night. Hotel is comfortable, the number sleep beds are great, the staff very friendly, lifts are a little slow and creak under little weight, breakfast was plentiful and the staff most helpful and friendly.Concierge was very helpful with tours on our first morning. Take the two day bus pass and do all the loops, they really give you a good view of the city and if you want to go back to a certain attraction you can either hop off the bus or walk. Yes walk, every where is within walking distance. There is a subway station at the corner of the block under the hotel and the subway is as safe as the London Underground, we travelled back from South Ferry Terminal to Penn St Station $2 for a single ride anywhere not bad @ £1 to $1.9. If you have a late flight back after the 11am check out the Bell captain will look after your cases until you get picked up, they will even call for the shuttle you've booked when they dont turn up on time. Full marks to that.	
Mar 27 2007 	Acceptable but lacking	Stayed Friday and Saturday nights, Location is great, staff friendly courteous, had to call to have maid service at Sat. 6:00 pm. cereal available Sat. am but not Sunday am. I've had better for $400 a night but it is New York...	
Mar 20 2007 	Five stars!!	The Radisson Martinique is absolutely awesome. It's a little more expensive than other hotels in the area, but it's worth it. As a jetlagged traveller, it was just wonderful to get to my room to find a comfy, clean bed, a bathtub, cable TV and free wireless internet access. The breakfast was amazing - a full American and Continental breakfast served in the restaurant.The staff were very friendly and helpful. It's in a great location, too - there's a subway stop right underneath the hotel, and it's only 1 block from Penn Station, Madison Square Garden and Macy's.	
Mar 17 2007 	Enjoyed Our Stay	I recently stayed with a friend from out of town at the Radisson Martinique for a leisurely weekend. We were originally booked at another &quot;hotel&quot; on the upper west side (but that wound up being a mess). So we had to find another hotel quickly and fortunately, the Radisson was very accommodating. They took us on short notice (same day). We got a great AAA rate, and the staff was very friendly. The lobby was very nice, the check-in was smooth, the hotel was very well maintained and our room was spacious, clean and well furnished. We even got full complimentary buffet breakfasts for two, for the entire weekend. The room service food wasn't great, but the restaurant itself was good. The neighborhood is right in the heart of midtown's action - close to everything...fun nightlife, great shopping, and a good multicultural vibe of people. There seems to be a big Asian community in the area, so the Korean and Sushi restaurants, bars and clubs are very authentic. Our stay was fun and very comfortable. I highly recommend it.	
Feb 28 2007 	Great location good hotel	After staying in a rubbish hotel down the road for one night, the Radisson seemed like an oasis!The conceirge was helpful, the rooms clean and breakfast good but not outstanding. The room had everything you would want, and although my room was not very spacious it was very comfortable.It was a nice and consistent chain hotel, in an excellent location. I would recommend!	
Feb 26 2007 	Busy Hotel Busy Location	The Martinique is a busy hotel, at a very busy corner. The hotel sits diagonally across from Macy's and right on top of the a Subway entrance for 34th St Station. The immediate street is loaded with Korean restaurants, many open 24/7. Since we were with children, we were not given permission to try any of them. But their menu's looked good and prices were reasonable.The room was clean, the beds were comfortable and the heat worked well. Only issue was that a lot of water dripped out of the shower no matter how carefully we adjusted the curtain.The staff was helpful and polite. We asked them to hold on to our bags until later in the night on the last day of our stay. Didn't eat anything at the hotel, since there were so many other options across the street or around the corner. Only issue was that we didn't receive a non-smoking room as we had booked. We opened a window to air out the room and weren't really bothered but there was a tobacco smell in the corridor. We didn't feel like changing rooms since we were only staying for two nights.	
Feb 11 2007 	Good hotel but slightly overpriced	I stayed one night at Radisson Martinique in NYC in the middle of the summer in July. I got a room very high in the building with an amazing view and a quite spacious room to be a single room with all the nescesary ammendants with and luxurious bathroom. The location is absolutely brilliant and the staff is absolutely outstanding. The only things I could complain about is that there was some problems with the Mini-bar that was locked by remote and couldn't be opened even by the staff, that there was no breakfast included with such a high price and that it was, like I experience every Radisson Hotel to be, very overpriced in accordance to what you get. But don't get me wrong, it's really a luxurious hotel, but that thing with the breakfast made me dissapointed.	
Jan 20 2007 	great stay great location	Have always stayed at Crown Plaza in Times Square. This time stayed here for a change. This hotel is excellent. Was remodeled last year very nicely. Very clean rooms, quite at night, and gracious staff. I preferred it for location, price, and service. Subway station outside door about 20 yards. Great Korean resturant next door. Spent 5 days here Jan 11-15 and will stay here again. Easy walk up Broadway or Ave of Americas to Times Sq (10 blocks). Very clean streets and well lit even at 4am. Empire State Bldg next block over, Macy's across street.	
Jan 17 2007 	I loved this place!	I've stayed at a lot of hotels in NYC and except for the Ritz, this is my favorite! The location is so central and easy to travel from. You can jump on the subway or catch a cab right out front.I ended up with a handicapped accessible room and it was huge...especially the bathroom. It was also very clean and the beds were comfortable.I had no problem checking in early.The restaurant downstairs was perfect for breakfast.The one bad thing I could say is that the walls are a bit thin so if your neighbors are loud you are going to hear them.	
Jan 16 2007	Loved the Radisson Martinique	Met every expectation. Paid £75 per night for a double room for 4 nights.Location was superb! Housekeeping excellent. We weren't flying home until late on the last night and were offered a late check out for £45 which allowed us to use the room until 6pm! (we could have checked out at 1pm at no additional cost.)Would definitely recommend this hotel for those wanting to stay in the heart of NYC.	
