	Good stay apart from lacking service hospitality	I and my girlfriend spent one week in New York to celebrate her 30th birthday and we spend four of those nights at Carlton and the remaining three at The Surrey which was a much better choice in every way (see separate review). Given the competition of New York hotels in this price range, I would not recommend nor stay at the Carlton again.Pro's:- Location, close to pretty much everything including two subway lines making transport to e.g. Grand Central or points south (Union Square, Financial District) very easy- Quality of the breakfast at the in-house restaurant Country- Well-priced (by NY standards)Con's:- Small room (we had a Deluxe room)- Quantity of the breakfast (we have breakfast included in our package)- They charged us $50 for a three minute US long distance phone call- Lack of customer service. The front desk and bell boy service was not what you expect from a hotel of this standard (given the price tag). At check out, when I asked for help with our luggage they just pointed to the elevator. The friendliest staff there were the maids and porters who would always say greet you in a kind manner and have a little chat with you.	
Aug 27 2006 	Great service rooms food and value.	This hotel was a great find. For a very reasonable price (by New York standards), we were only a short walk from NYC's best shopping, attractions and restaurants. The service was flawless. The rooms were small, but very comfortable, charming, and very clean. I travel to NYC quite a bit and this hotel was one of my best accomodation experiences. I loved it. I will absolutely go back and have recommended it to my friends &amp; family.	
Aug 23 2006 	Comfortable	Modern, pretty lobby, helpful bellman, quick check in/out, clean modern room, good A/C, really quite ample for most guests.We thought the doorman who told us he'd get us a cab to facilitate us getting to the theatre on time took HIS time and squandered a few opportunities to do just that---we walked instead of waiting. Other than this, personnel were quite consciencious and helpful.I didn't have my reservation confirmation number on me when I checked in, and was told that I'd need to provide it in order to guarantee the quoted rate. My check-in was not delayed due to this, but when I asked to use a computer to access my email to retrieve the confirmation number, their business center wanted to charge me $6 or so for a half hour of usage (I needed about 45 seconds worth). I thought this was a new definition of 'chinsy', but by the next morning the front desk had somehow located the confirmation number on their own and the point became moot.	
Aug 20 2006 	What is not to love	I put in alot of research before I booked this hotel. I read all of the reviews and thought this hotel has received the most compliments. I took a chance and booked a week stay with my sister. This was my first trip to NYC. When I arrive to the hotel I was immediately greeted by the Doorman. I checked in went to my room it was fabulous. I went to the concierge desk an there was no one there so I approached the front desk for help with directions. Tara at the front desk was spectacular, she took out a street map and gave me all the info I need and more. I was WOWed by her service. I am definately coming back to this hotel.	
Aug 20 2006 	Fantastic hotel!	This was my second trip to the Carlton. Two years ago when the hotel started to undergo construction, my husband and I went down over the holidays! I was thrilled to see that most of the renovations have been completed! THE HOTEL IS BEAUTIFUL! The lobby was sytlish and impeccable. It is now so sleek and modern, I felt like I was staying at the Ritz Carlon; not the Carlton!! The rooms were also very nice. Our view wasn't the best (we booked with a discounted rate); however, they were clean and completely new. The bed was comfty and the bathroom was pristine. As for the hotel staff: they were wonderful as well - especially Topher and Stetson (the conseirge)! We really wanted to see &quot;Jersey Boys&quot; while we were in town overnight. Topher scored us premium seats for that evening without a blink. That really made our trip!The only negative was the parking garage (which is not part &quot;owned&quot; by the hotel). It is right next to the hotel and convenient. It was easy to get in and out of and they were careful when parking it. However, when we went to retrieve our car after checking out, we found that someone took two drinks out of our cooler which we used for the long roadtrip. FYI: do not leave valuables in the car! It creeped us out to find the cooler top open iminus two soft drinks and water on the seat!! I highly recommend this hotel.	
Aug 5 2006 	Great Hotel	The Carlton on Madison is a wonderful hotel. After a lot of researching, I was able to get a great weekend rate for a deluxe king room on Travelzoo[-] for $204 per night. The hotel offers an excellent value for the money.Location:The location is very convenient. It is on Madison Ave between 28th and 29th in Midtown Manhattan. There is a subway stop one block east of the hotel at Park and 28th. It is within walking distance (few blocks) from the Empire State Building and Grand Central Station. Times Square and the theater district was a $10 cab ride. There are lots of dining options and shopping nearby. It is in a relatively good neighborhood and felt safe walking at all times. Arrival:Upon arrival at the hotel there was a friendly uniformed doorman and valet who opened the door and offered to assist with luggage. Friendly but never stuffy or rude. The lobby is amazing for a hotel its size: soaring ceilings, a tranquil two story waterfall, ultra suede padded walls, and beautiful well-kept comfy furniture for lounging. The hotel lobby décor is modern and warm. Check-in:Check-in was quick and efficient. Ethel was friendly and made me feel very welcomed after a long flight and drive from LGA. I arrived early afternoon around 12:30 pm before the 3:00 pm check-in time. I had requested a room with a view of the Empire State Building but due to construction of neighboring buildings at the time, I was told most the of views would be obstructed anyways. I was offered to wait (not forced) till 3:00 pm for the room with a view but declined and asked for a room available for immediate check-in. No problem. Seconds later, I had my room key in hand. Ethel also took the time to explain the various amenities of the hotel and other services which I thought was very nice. Room 529The hotel is shaped like “J.” The rooms on the outside of the J face the street and the interior rooms don’t have much of a view. If you want a view, try the Mandarin Oriental or the Trump Hotel but personally there’s not much difference to me for a room with a view. The hallways are bright and airy in yellow muted tones and are wide easily accommodating two people passing by. There were a few trays from room service in the hallways but were whisked away within a reasonable time period. The room is nicely decorated in a neutral yellow tone with beige and gold accents and was very clean upon arrival. The room was very large by New York standards, actually very roomy. I have stayed in other New York hotels (supposedly 4 stars) where the door bumps the bed. There was a canopied king bed that was very comfortable, overhead reading lights, flanking nightstands, an alarm clock radio with I-pod docking station, armoire cabinet housing the TV, safe, iron, a few drawers, and limited hanging rod space. There was also a small bench at the foot of the bed and a writing desk with a snack basket. The desk offers a small workspace though for the business types. The bathroom was equally plush with a marbled tub/shower combination, marbled sink area with plenty of counter space for toiletries, and a toilet area off to the side. The water pressure is excellent for a building its age and the hot water supply was very responsive. There are the usual shampoo, conditioner, lotion, face bar, and soap bar all in excellent sizes for use and from Penhaligon. There are no ice makers on the guest floors but must be requested through room service. The first night ice was requested, it literally took two minutes from putting the phone down until the knock on the door. On the second request the following day however, the ice never came. After waiting for more than an hour (ahem) we decided to leave. Upon return, the ice was there eventually. That was very disappointing. The Concierge did inquire about the ice the following day and apologized the ice was delivered to the incorrect room. Services/Amenities:The Concierge, Stetson, was very helpful and offered great suggestions for dining and directions. Bella Napoli an Italian eatery with excellent pizza is up the street on Madison. The hotel restaurant, Country, is adjacent to the hotel and seemed beautiful and pricey but did not had a chance to eat there. Every time we arrived back at the hotel, we were greeted by name by the front desk staff, the doormen, and concierge. Great job. There was also a 24hr business center with two computers with internet access and printers attached for rental for $5.95 for 15 minutes, fax machines, and ATM. A great touch is that printing boarding passes for your airline check-in is free! It’s the little things that count. Hotel guests are also entitled to complimentary use of a nearby gym (I forgot the name). I did inquire further and learned it does not have a pool in case you are wondering.Checkout:The bill was delivered the night before checkout under the door. Everything was in order. No hidden charges or surcharges. Check out was also available on the TV but I decided to check out at the front desk and thank the staff. Everyone was extremely helpful and friendly and I would not hesitate to come back to the Carlton on Madison. It is an excellent hotel and rightfully on Travel + Leisure’s 2006 World’s Best 15 To Watch List.	
Jul 19 2006	Excellent Hotel Excellent Deal	When I was looking for a place to stay for my Fourth of July weekend trip to Manhattan, I picked the Carlton based on reviews I read here and on other websites. Those reviews were not wrong. Not only was the Carlton a deal compared to similarly rated hotels in Manhattan, but the good reviews were well-deserved.Before I arrived in New York, I e-mailed the hotel and requested a room with a view of the Empire State Building. Not only did they grant my request (a 10th floor room with a spot-on view), but they upgraded my room from a queen-sized bed to a king-sized.As you can see from the pictures I took as soon as I walked into the room, it was clean and very nice. The bed was more comfortable than any hotel bed I've slept in (even more comfortable than my bed at home). The iPod dock/alarm clock was a nice touch since I have an iPod; I was able to charge it during my trip and wake up to my own music. I've read some reviews that complained about the room temperature, but my room was perfect even though it was 90+ degrees outside (I can't vouch for the winter room temperatures). The room service is very pricey, but that didn't bother me as I was able to find plenty of good places to eat nearby. If you love coffee or tea, check out Keko Cafe down the street on Madison at 30th Street. It's a small, slow-paced cafe, but the coffee and tea are fantastic. The neighborhood is quiet despite it being in Midtown; it was a far cry from my previous experiences staying in hotels closer to Times Square. The staff was courteous and helpful. At one point I had trouble setting a new code for the in-room safe. I called down to the front desk and they immediately sent someone from Security to my room to show me how to set it properly. All in all, I loved my stay at the Carlton and not only do I recommend it, but I am already planning to return to Manhattan in a few months and I'm staying at the Carlton again.	
Jul 10 2006	OUTSTANDING in every way! The Carlton on Madison	My boyfriend and I recently spent 3 nights at the Carlton on Madison and I cannot say enough about the venue AND the staff. Funnily enough we chose this particular hotel based on the on-line reviews, and now I find myself compelled to write my own glowing review about our outstanding experience at the Carlton.The hotel is beautifully decorated and the rooms (while Manhattan sized) are lovely in every detail, which in and of itself would not be enough if the bed and bedding were not so luxurious and comfortable. I am by my own admission a customer service stickler and fully believe that while often a difficult and thankless job, folks in the service industry are there to do just that - - service the patrons who choose their venue - - and the Carlton staff - - - AT EVERY LEVEL, clearly subscribe to the same theory. I cannot say enough about the staftt at the hotel, from the front desk, to the concierge, the doormen, the bellhops, the room service wait staff and the restaurant staff. SUPERB one and all, without exception!I would highly recommend the Carlton if you are looking for excellence from the venue, its food, and its staff. I hope your travel partner is as amazing as mine and trust that your hotel experience will be as wonderful as ours!	
Jul 8 2006	Comfortable if a little small	This lovely hotel was beautiful. As you walk in, the large, airy and atmospheric lobby of the hotel beckons you in. The staff were friendly and helpful. Rooms are on the small side. Comfortable with luxurious bathrooms. We were upgraded from a double to a king room. Views were of the back of the hotel and pretty non-existent. Overall, I would rate this hotel highly because of its location, price and pleasantness.	
Jul 8 2006	Stylish excellent value for money	The Ritz Carlton has been refurbished fairly recently and our room was in fantastic condition, beautifully furnished and not a bad size for New York. The room had 2 double beds, which gave my son and I plenty of space. The room was tastefully furnished in Art Deco style, with lots of opulent fabric drapes; this was also true of the bathroom. Beautiful, thick, top quality robes were available for our use. The air conditioning was quiet and efficient, and was definitely needed as the room would be stuffy without it. The safe didn't work, which was annoying, and we had to use the safety deposit boxes in reception. They tried to repair the room safe within 5 minutes of me reporting a fault but were unable to do so. The repair man told me that all the safes were being upgraded floor by floor, so hopefully this won't happen again. The lifts were always working and we never had to wait more than a minute (I understand this is sometimes a problem in hotels in NYC). The hotel's restaurant is trendy and up and coming and if you want to eat there it is advisable to book in advance as we could not get a table.All the hotel employees we came into contact with were extremely helpful, polite and knowledgeable. The doorman arranged our return airport taxi, which turned out to be a luxury air conditioned limousine, which we were really chuffed with. We requested 2 beds in the room and non-smoking, which were provided no problem.The hotel's location was perfect for our needs. It is 5 minutes walk from the Empire State so you can get there early and beat the queues. There are a couple of subway stations nearby, which make it easy to get to the Financial District, Chinatown, Bloomingdales, Central Park, etc.There are some cheap eateries around. We really loved Bagel Maven for food and friendly service, which is about 10 minutes walk.All-in-all, an excellent stay and I would definitely recommend it.	
Jul 5 2006	Excellent hotel....	My sister and I stayed at the Carlton on Madison Avenue during our stay in New York. We had a twin room, which was spacious, well-furnished and very clean. The beds were probably 'the' most comfortable beds we've ever slept in!! The only criticism we had was that the bathroom was tiny in comparison with the rest of the room - but with a little squeezing here and there, it's fine. It was clean, and everything was in working order. The water pressure in the shower was amazing.. so all in all, the room itself was great.The location of the hotel is great - its a couple of blocks away from the Empire State Building, Macys, the Manhattan Mall, Broadway etc.. a lot is within walking distance. Time Square, Greenwich Village, Soho, Meatpacking district are a cab ride away - they're not too far, but there's always loads of traffic in NYC, so make sure you take that into account.Whilst in NY:-Go to Woodbury Common - fantastic outlet village where you can pick up real designer bargains, if you're into that kind of thing. You can get a Grey Line Coach from one of the streets off Time Square. Takes about an hour/hour and a half to get there, and costs roughly $38 return.-Do the Downtown Open-top bus tour. Again run by the Grey Line Coaches. Our tour guide was fantastic. Was fun and informative, and it takes you round all the 'need to see' sights in Manhattan.-Try and catch a Broadway Show. My sister and I saw Beauty and the Beast and the Lunt Fontaine Theatre. It was brilliant, and we'd recommend it to people of all ages. If you want to catch any Broadway show, go to TKTS on the day you want to go to get discount tickets. This is of course for those of you who don't really want to fork out $100-$150. My sister and I paid $56 each for our tickets, which were right at the front. Our view was amazing (they were orchestra tickets).-if you're into Sex and the City, do the SATC tour - it's brilliant and loads of fun. Again, this is about $38 and worth every penny. You don't have to be an afficionado of the cult series to enjoy the tour. It lasts about 3 hours and you're taken to and past the main sights that featured in the series. You stop off at various places/shops/bars etc which featured in the series. -get the Staten Island Ferry. It's a cab ride away from the hotel, and is free!! You can see the Statue of Liberty. You won't see it that close up, but you can get some decent photos!.Eating out - My sister and I did not eat at the hotel restaurant, but we did have room service twice. Both times, the food was not all that great, and was pretty expensive. There are lots of restaurants and delis which are in walking distance from the hotel, so you're probably better off going there for something to eat.We ate at Dos Caminos and Tribecca Grill whilst in NY. Both restaurants are pretty pricey, but well worth a visit. I personally preferred Tribecca Grill (Robert De Niro's restaurant) - the food was great there!!If you want a good breakfast, try the 'Tasty' deli which is a 5 min walk from the hotel and is on Madison Avenue itself. It's cheap and serves great food. The staff at the hotel are great, in particular the doormen and the guys at Concierge. Topher and Patrick at Concierge are fantastic and will help you with pretty much everything. Ask them for more advice with Broadway shows, dinner reservations and tours of the city - they're very helpful.All in all, NY is a fantastic city with an abundance of things to do. The Carlton is a great, reasonably priced hotel which is central. There are some building works going on nearby, which only really affected the view from our window (there was no noise etc), but did not hinder our holiday in any way!	
Jul 2 2006	An Excellent Choice	I have just returned from New York, where myself and my daughter stayed at this hotel. Everything about it was above average....the service was excellent....the room was more than adequate.....the location was ideal, if you want to be close to everything, but not in the middle of it all.The one thing I would say (perhaps it's a standard thing in the States)...is that each morning we had to call room service for coffee..... perhaps, basic tea/coffee making facilities in the room would be appreciated.We ate dinner in the hotel only one evening.....it was very good.I would recommend this hotel to anyone visiting NYC....I would certainly use it again...	
Jun 27 2006	Beware of that construction site!	Accounts of the construction site on the north side are true. If your aim is to spend nights out enjoying yourself in NYC then having a lie-in in the morning, this isn't the place for you. You cannot sleep after construction work begins.I would also agree with those who say that the hotel's main feature is the lobby: the rest is pretty uninspiring. The living room in the suites is very large but very featureless.Personally, I could not understand the rave reviews of breakfast. The room is gloomy and the food is average.	
Jun 11 2006	The Carlton Treated Us Like Royalty	After discovering a bedbug at a neighboring hotel (Manhattan Red Roof Inn), my sister and I went on the hunt to find a new hotel at 6:00 a.m. on a rainy Saturday morning. After looking at many overbooked and shabby hotels, we happened upon the Carlton. The desk manger, Annisa, sympathized with our situation and showed us three different rooms. All three rooms were roomy, clean, and well-appointed. We mentioned to Annisa how we wanted to see The Color Purple and she told the concierge to start investigating for us. We were really impressed with her dedication to customer service. We did not request the help with the tickets, but she made it her business to assist us. The concierge, Topher, was a joy to work with. He hunted down wonderful seats to The Color Purple and also took the time to research a variety of restaurants near the theatre for us. The Color Purple was phenomenal, a definite must see!!! From the bellmen to the front desk personnel, the employees at the Carlton treated us like royalty. The accommodations were clean and comfortable. While it was a little bit out of the way and much more expensive than the other hotel, it was well worth the money. Great place, I would stay again.	
Jun 8 2006	Fantastic	I would like to say a huge thank you to the staff at this wonderful hotel. We picked this hotel from others as the reviews were very good. We arrived at the hotel at midday and was able to check in straight away. The room was lovely plenty of space and just as the picture on their website.The staff were extremely helpful and couldnt do enough for you.In the four days we didnt experience any problems and will definately book again.From our experiences II cannot recommend this hotel enough.	
Jun 7 2006	Just OK	I am just back from three nights at The Carlton on Madison. I was disappointed in the hotel given the many very positive reviews on this site. Other than the beautiful lobby, the excellent Country restaurant and a reasonably good location, I thought the hotel was average at best and there were certainly some below average features which I have listed below. All of the staff that I interacted with were very pleasant.1) The rooms and bathrooms are very small - yes, even for NY. The bathroom door cleared the sink by a millimeter at most. The shower curtain (as another reviewer noted) had an industrial look and had noticelable mold on it. The closet was small enough that the hangers did not hang in it properly - they bumped into the back wall and had to be turned at an angle. I was alone and that made the size workable but I would hesitate to recommend it for two people.2) The free Wi-FI was a case of &quot;you get what you pay for&quot;. My signal fluctuated between &quot;Low&quot; and &quot;Very Low&quot; and was essentially useless most of the time.3) My 6th floor room which was on the north (the 29th Street) side of the building was very loud at night and there is construction going on immediately across the street (they start at 7:00 AM). They sold this to me as an &quot;Empire State Building view&quot; at check-in (but did not mention the construction), and from the right angle, there was a view of the ESB. 4) Although I had booked a non-smoking room, the room smelled heavily of smoke upon check in.5) For a recently remodeled hotel, the room carpet looked worn and dirty. There was also a stain on my desk chair. The comforter was nice enough but the sheets were of very low quality for a hotel charging these kinds of rates.6) The room safe was inoperable the duration of my stay.7) This is one of those hotels where you have to call room service to get ice.Overall, I didn't think the hotel was terrible but I can't see staying here again when there are so many other alternatives at this price point.	
Jun 4 2006	Loved The Carlton at Madison Avenue	Enjoyed my stay. Room is a little small, but very clean and comfy. I choosed the hotel based on tripadvisor.com reviews. Thanks for other reviews.	
Jun 3 2006	Very promising but needs a little work.	My friends and I recently had the opportunity to stay here. We are native new yorkers who embraced spending a night out in the city for fun. This hotel proved to be a good choice with a few, minor exceptions. The room itself was plusher than other, trendy nyc hotels and has a boutique feel to it. The size was decent by nyc standards and my request of the popular &quot;Chrysler Building view&quot; was granted. The lobby is lovely and the staff is very accomodating. Now for the minor issues-there were some noticable stains on the carpet as well as the desk chair's cushion. These were obvious and should have been remedied long ago. Another issue was the unsightly, not to mention gross mold growing all over the shower curtain. My friends did not seem to mind but I have had the opportunity of staying in many nyc hotels and have never seen moldy shower curtains! I did bring these issues to the manager's attention after checking out. He apologized and sent me a personalized email but that was that. My hope is they have corrected these issues for the next guest. On another note, we had the priviledge of dining at the hotel's restaurant, Country for breakfast. The restaurant was crowded but they managed to seat us promptly without a reservation. Boy were we lucky! The food was absolutely delicious and the service was impeccable. The maitre d was such a doll-he went out of his way to help me recover from the night's celebrations. All in all this is a lovely hotel. You can expect a nicely appointed room, a friendly staff and a wonderful restaurant should you chose to dine onsite.	
Jun 1 2006 	Biz traveller who found it very underrated	I went here based on the price and the reviews on this board. One previous reviewer in particular mentioned that when the construction is finished, it will be a hidden gem (or something like that). He was right. The construction is done and it is really impressive. The staff is very helpful. The rooms are spotless and although small, I've been in smaller NY rooms. The lobby is beautiful but more neo-NY style instead of old world charming. They have a membership at a great health club a couple blocks away. I forgot my ID and instead of heading back to the room, the staff called ahead to say that I was coming. I had wireless in my room but my partner didn't have it in his. And each room is different since it's an old building. I know that many people like myself come to this site and are sometimes skeptical but you shouldn't be. I have a high bar and the mere fact that I'm taking the time to write this should tell you that it is a place you will enjoy.	
Jun 1 2006	Simply the Best!	My husband treated me to a 4 night stay at this gorgeous hotel as a 50th birthday present. It was the best present ever! Prior to our arrival my husband had emailed the hotel and requested a room overlooking the Empire State Building. After a speedy check-in, we went to our allocated room and found it to be rather small, with a dingy view overlooking a dark courtyard. My husband immediately approached the front desk and we were given another room at once. This one was also small and still no view. Hubby again went to the front desk and was informed that all the rooms with views were booked out, but if we didn't mind waiting until the next day, we would be accomodated. This was the start of superb service from all the staff at the Carlton. The next day they not only allocated us a room with spectacular views of the Empire State Building, they also upgraded us to a King size room (much bigger and even more plush!) at no extra charge. The room safe was out of order, so the staff gave us the use of a safety deposit box, again without charge. All the staff were friendly and attentive, with special mention going to Patrick, the concierge who always had a smile and some useful tips for us. Nothing was too much trouble! Also, the female security officer who helped us daily and the young lady who sorted out our room for us (Anel) deserve special mention! Anel even extended our last day's checkout time so that we could enjoy a little more of this vibrant city!I am already planning a return trip!Rita Ogden	
May 3 2006	Great Hotel!	We stayed at the Carlton over the Easter long weekend in April and we had a great experience. The Concierge, Topher was his name, suggested some great brunch places and booked our reservations for us. He was a pleasure to talk to and so very helpful! Miguel and Hesus were also a big help. They took care of our luggage and arranged our transportation to the airport. They were so friendly and genuinely nice people. The bed in our room was unbelievably comfortable, no sleep complaints at all! The room was very clean, with a beautiful bathroom as well. The free wireless internet acces was a great plus! It was great coming back to our room after a long day of walking and shopping! Great location too. We booked through Expedia's flight + hotel package, highly recommend this option.Overall, an amazing experience, will definitely come back!-visiting from Toronto	
May 3 2006	Choose this hotel there should be no regrets!	We chose this hotel based on Tripadvisor reviews.More than happy with the choice!Central location, near the subway (local stop - not express!) and walkable restaurants.(Mexican Ixta East 29th, superb food &amp; service - slightly pricey, Heartland Brewery Union Square)Courteous staff, bedroom fine, clean and comfortableA couple of minor poiints:No tea/coffee making facilities and what size is a &quot;queensize&quot; - comfortable but a bit small?!I would have no hesitation in recommending a stay here.	
May 2 2006 	I've found a new hotel!	I've been staying at overpriced 'boutique' hotels in New York for years now and have up till now never been satisfied with them becuse of the rates I've been paying. I stayed at the Carlton because my usual accomodations were sold out and was absolutely delighted with what I found. The hotel was beautiful and the staff was wonderful. The young man at the door was particularly nice. I didn't have time to have dinner in their restaurant, but it was filled with people, so it seems popular. This all came at a rate about half of what I had been paying in the past. All in all, I've found a new hotel!	
May 1 2006	The Home I always wanted	As a result of work being done on my apartment, I had the pleasure of checking into the Carlton on Madison for almost one week. Besides shortening my commute (#6 Subway one block away), I was treated royally by the amazing staff at the Carlton. (My Co-op Doorman never made me feel so welcome!) After a quiet restful sleep, I started the day with an amazing Almond Crescent and coffee delivered to my room with the Newspaper. The opulent bathroom, wishes of a good-day on my way out and the wonderful vibe of this New York neighborhood made my time away from home a luxury vacation. Returning to the beautiful lobby after work, greeted by the Carlton Family, I was tempted plop down in one of the comfortable chairs, order a drink and soak in the energy of the space. Hmmm, maybe I should re-do the floors; that should give me about five more days of the good life at the Carlton!	
Apr 29 2006 	Great Time	I stayed at the Carlton and I thought it was a great hotel. The space is beautiful and the neighborhood has a lot of great restaurants. Staff was wonderful to everyone in my group. For the value it was excellent.	
Apr 27 2006	Best time ever in N.Y. thanks to the staff at the Carlton!!	Made us feel like Kings and Queens as soon as we stepped out of the cab in front of the hotel. Did not have a single complaint, price was very reasonable, room service was great and they even helped us get into a show that I did'nt even know about.We will be back next time we are in N.Y..Thanks Keep up the good work.	
Apr 24 2006	Great deal for Amazing design	Great price ($300) for a hotel with phenomenal design and service. Loved the restaurant and room service...staff was genuinely nice, now what I expected from a NYC hotel. Location was great for business, and close to the subway and walking distance to Union Square. Had a great dinner at Country and a great little Italian place called I Truilli. Nice neighborhood that seems to be on the rise.Would definitely return and have already recommended it to friends. The lobby is one of the most cleverly designed for a restored antique hotel.	
Apr 24 2006	Simply fantastic!	The Carlton on Madison Avenue proved to be an amazing get away from the hustle and bustle of the city. Having stayed at the Carlton before their recent renovations, I was pleasantly shocked when walking in the doors. They have recently added an entire restaurant and a lobby adorned with a waterfall and a restored Tiffany's glass dome! It was beautiful. The restaurant served meals that only a 5-star restaurant could provide, and the prices were fitting. The waitstaff was friendly and fast, and provided a pleasant dining experience.The rooms are extremely comfortable, and large for a NYC hotel, with beds that are so plush and comfortable it's like sleeping on a cloud! The rooms were kept clean and bathrooms were refilled every day. They were quiet and provided a great escape from the city's noise. I enjoyed the beautiful decor- it really made me feel at home. They are even stocked with a Bose iPod dock for us technological types who don't go anywhere without our iPods. I had forgotten my charger, and it saved the day!In addition, I found the employees to be friendly and accomodating. Check-in was quick and pleasant, and checking out was made simple by a program that you could access through the TV in your room.The location was perfect... in walking distance of the Empire State, Chrysler Building, Times Square, and Grand Central, and only a short cab ride from the major theatre districts and other sight-seeing areas. Overall, I loved the Carlton and plan on staying there again as soon as possible!!	
Apr 24 2006	Great Find!	I must have passed this place a thousand times in the past thirteen years that I have lived in New York, but never stopped to notice until my husband took me to Country for our anniversary dinner. The food was exceptional, but the service was simpley ok. We ended up staying for the night and I LOVE the hotel! The bed was more comfortable than my own! The pillow cases felt like satin on my face. The decor reminded me of a smaller, more modern Waldorf. The front desk person who checked us in was very friendly, i wish i had gotten her name, but the rest of the staff was great as well.	
Apr 24 2006	Wouldn't stay anywhere else!	This hotel is amazing. From the minute we walked in the door, I felt like a celebrity. The Carlton is absolutely beautiful, and the staff was so helpful at all times. Being from outside the city, it was perfect staying in a hotel with such wonderful staff. The rooms are beautiful, the service was impeccable, and I could've slept forever in those beds!! By far the nicest hotel I've ever stayed in, and I would recommend it to anyone!!	
Apr 24 2006	Woderful ambiance	The Carlton has done some fabulous renovations. The lobby is spectacular as are all the public rooms. We had a quiet room with super beds and other amenities. The location was just perfect for our nedds and the staff very helpful.	
Apr 24 2006	Loved it!	Beautiful property, the renovation was fantastic. The staff couldn't be more friendly and the lobby is amazing. We loved the food at Country as well. All in all, it's a great value - check it out before the secret gets out.	
Apr 20 2006	Pricey for overall quality	The classy but dark hall already gives an indication of what will follow in the rooms. We spent a total of three nights during Easter. We booked our rooms a month in advance and were left with a completely different choice as compared to our initial booking, including smoking rooms when we clearly indicated our preference for non smoking ones. The hotel has undergone a complete renovation, but the rooms are small and very dark. Moreover, we got bitten (in three different rooms) by insects, which turned out to be fleas. We indicated it to the management of the hotel, which was helpful enough to move us to a different room, but expressed its doubts concerning our experience with the hotel's hygiene. We might have been simply unlucky during a certainly busy holiday period in NYC, but it should be stated for the record and, hopefully, for greater improvement of the hotel's conditions. In addition, it is regrettable that the hotel staff aims at his/her own personal profit when assisting clients (got very different and misleading indications from the reception and the bellboy concerning transportation from hotel to JFK and ended up paying a difference of 20USD more!). Finally, in a hotel of such rate/category, it is a pitty that internet access is charged at a quite high price.	
Apr 13 2006 	Not very good for Business Travelers	Would not recommend this hotel for business travelers.As soon as you enter the hotel, there is a stairway down to the checkin desk. There is NO escalater or elevator to help you with your luggage down to the lobby.Each morning, I had to ask for a &quot;refill&quot; of the toiletries (shampoo, etc.). Housekeeping did not automatically replace the empty ones with full ones.The restaurant in the hotel had terrible service. It was definitely not worth the price.When checking out, I needed to leave my luggage with the bellhop until I returned later that day. It took at least 30 minutes before I ever got my luggage. If I did not mention that I needed to catch a train, I might still be waiting!I would not recommend this hotel.	
Apr 12 2006	Location Location Location	Spent 3 nights at the Carlton for my wifes 30th Birthday. Apon arrival was greeted and told that our room was ready , great news as we arrived in the morning and had only expected to drop off luggage.Room was small but clean and view from window was excellent. Clear view of the Empire State Building.After quick shower we walked (4 blocks!!) to the ESB and then onto Times Square etc.As we were only staying for a short while we didn't spend too much time at hotel but staff couldn't have been more helpful. The lobby is massive and if you want a quiet 5 mins take a seat and relax.Idea for travellers on a budget, get coffee etc from Dunkin Donuts on the corner before starting your day sightseeing.Final joy was when asking for taxi back to airport, they sorted a limo transfer!! All this cheaper that preset taxi fare $45 from airport.Would book again for next stay, planning to do so later in the year.	
Apr 12 2006	A flawed gem of a place	&quot;Characterful&quot; is a term euphemistically used something that's not quite up to scratch, but you can't help to forgive otherwise. The Carlton is such a thing.We stayed there 27th March to 2nd April and was impressed with how friendly and courteous the staff are without being obsequious. We found our room, a Deluxe Queen, on the 11th floor, to be adequate if a little on the small side; but having read reviews about NY hotels in general, I would probably say it was bigger than expected.Bathroom is nicely appointed, if very small for 2 people and some of the detailing wasn't quite what you'd expect from a place with such lavishly decorated public areas.I had breakfast once in the dining area and, being a former chef, can say that whatever comes out of that kitchen (I had a sneeky peek at dinner service...) would not disgrace a Michelin starred restaurant. It really is that good. The evening Prix Fixe menu at $85 per person for 3 courses + Petits Fours and coffee seems outstandingly good value!!!We ate in the Mexican (Ixta) on East 29th and the Chinese next door to that too. Wonderful places both and highly recommended. 28th Street subway is a 1 minute and there is a great deli on the left past the restaurant where we ate sausage (and cheese and egg for the missus) for a couple of bucks a piece. Magic!I would, and have(!!), recommended the Carlton and would definitely stay there again. Anthony, if you're reading this, your room's been sorted mate!!	
Apr 9 2006	Absolutely Fabulous	4th visit to NYC and by far the most comfortable and enjoyable - the hotel was fantastic and the service offered by the hotel staff was second to none.One thing which did let the hotel down was the restaurant. Had breakfast in there once and room service once and neither were a pleasant experience. My tip, don't waste your money in there!	
Apr 9 2006	Worth It	I live in New York but always try to find nice hotel rooms for a good price when my boyfriend comes to town. We stayed at the Carlton on Madison this time and it was worth the extra $40 above what I usually try to spend. I booked it on the hotel's website for $239 a night. We stayed in a regular room on the 6th floor (room 612). The bed was perfect, the furnishings were all very nice (dark wood, good condition), the bathroom was awesome but had a small shower with not so great water pressure. It was a little loud because of construction on the old church on 29th street. The room service is a must. The food is a little expensive, but so so good. It comes on a huge heavy wooden tray that we set in the middle of the bed. The only complaint is the front desk service. Upon checkout they screwed up our bill and are still trying to fix in in the computer. I don't understand what is going on there. Also, I asked for a bucket of ice and it took 3 phone calls to finally get it.	
