	Everything was wonderful except the size of the rooms.	If you are by yourself or staying with just one other person, this hotel is a great choice. My husband and I both said that we would absolutely stay here again..... as long as we were by ourselves. We stayed here for 2 nights over Thanksgiving with our 1 year old and 2 year old and the room was WAY too small for the 4 of us. The room we stayed in (611) was not much bigger than the Queen size bed that was in it. However, room size aside, the hotel was great. It is located very close to the Subway on the 6 line. The staff was very friendly and helpful. The lobby was nicely decorated with leather couches and fresh flowers and the attached restaraunt is very nice. They served a great breakfast with croissants, bagels, juice, yogurt, fruit, etc. And for the price, it was FABULOUS! We found a deal on the internet where we only paid $139/night. However, NYC kills you on taxes: $12.34/night State tax with $8.17/night city tax and a $3.50/night Occupancy tax.	
Apr 26 2007 	Spot On!	Excellent location and great value for money. A quiet and decent size room (6th floor), large enough for 2 comfy double beds, 2 girls, 3 suitcases and daily increasing piles of shopping bags. No view but not important when all you're doing is sleeping there. The bathroom was more than fine with a great power-shower. Staff were pleasant and helpful. Breakfast was basic but tasty and did the job of fuelling 'til lunch. The location was superb, right on the no.6 subway at 28th making it ridiculously easy to go up or down-town. My friend and I would definitely stay there again, without hesitation.	
Apr 25 2007 	loved the hotel	When looking for a place to stay for one night, had a hard time finding something reasonable. This hotel was great,the room was totally clean, the staff were helpful and friendly and the breakfast was very good. I would stay there anytime I come to New York.	
Apr 20 2007 	Fantastic place to stay	We stayed at this hotel for one night and loved it. The bed was HUGE and incredibly comfortable. The hotel does a free DVD rental service which is a great way to chill out for a couple of hours in between full on sight seeing and a night out on the town. The bowl of Hershey's chocolates in the lobby make you feel instantly welcome and with an excellent curry house next door and the fantastic Penelope's up the road on Lexington for brunch, this is a brilliant location, within a stone's throw of the Chrylser and the Empire State. I would recommend this hotel to family and friends as a great place to stay in New York. It is art deco in style and feel and the staff are warm and friendly. Enjoy!	
Apr 18 2007 	Great deal in a great city...	Decided to find a cheap hotel room on-line for a last minute New York trip. The Park South Hotel came up as a &quot;three star hotel&quot; available at a great $170 rate. After staying there, I'm not sure I agree with 3 stars (maybe 2.5) but nevertheless, I was happy with the room &amp; service I got for &lt;$200. For the price I got a nice, quiet queen sized bed, free wi-fi, and a free continental breakfast each morning. The green line was also just a half block from the front door!If I needed to stay in New York City again for less than $200, I'd gladly stay at the Park South again.	
Apr 17 2007 	Fantastic mid range hotel (u won't find better in NY!)	Stayed in this hotel for 4 nights and had a great stay. Could not have asked for a nicer room but did get a complimentary free upgrade and was told other rooms were smaller, so nice of the front desk to do this. The cleanliness is of a really high standard with crisp cotton sheets, beautiful fresh towels and nice little toiletries. You also get a free newspaper every morning. This hotel really lays on a lot of special touches such as free complimentary breakfast between 7-11am, which is fantastic - a selection of yummy fresh pastries, real orange juice, hot drinks and all is a buffet style eat as much as you like. There is also a permanently stocked bowel of hersheys chocolates on the front desk! If you take a laptop you get free Internet access, otherwise there is a really nice business centre in the basement that you can ask to use. One street down on E 27th is a really nice restaurant called Blue Smoke, which has a Jazz venue underneath it but the hotel also has jazz on a Friday and Saturday. The subway is on the corner of the street and there is a Duane Reade (convenience store) with entrance on Park South. There's a DVD library that you can use, so ask to see the list at the front desk. Also a small gym. Finally, have read some other reviews which comment on the staff not being friendly. This was definitely NOT my experience and one of the porters was really helpful with my constant questions about public transport. He recommended the PATH train (pick up at 23rd or 14th) which takes you to a shopping centre in New Jersey called Newport! Really great hotel and comes highly recommended as a good central base for going up or down town. You can literally walk all over New York from here.	
Apr 17 2007 	Great hotel - especially for the price	spent ages finding a hotel as rates were all very high and reviews mixed - saw this one and got a good rate on their site - $199 for standard twin room with 2 beds - room was average size for NY - (have stayed in NY a few times and they are similar to London sizes ) but big enough for 2 friends - seemed newly decorated - great shower - the twin bed rooms are larger than the doubles for same price - we saw them as they were being cleaned so for the best sized room ask for 2 beds. Most rooms face the back so they are dark but thsi means they are quiet - any rooms facing the street in NY will be noisy - did not hear much noise from other rooms at all breakfast was great for continental and served till 10am- staff helpful - great location as is close to uptown shops/museums and also easy to go to downtown for boutiques and bars/ restaurants - subway stop a few meters away from hotel door. would recommend and stay again - had business centre for using internet to check out restaurants etc- dvds to borrow if you felt like it &amp; the bar/ restaurant looked great - was always full and buzzy - but as we always ate out we did not try food. there is Les Halles french/American brasserie around the corner from hotel which was buzzy and good. restaurant tips - always book ahead if you can for Sat night - we tried about 15 places and all full because we left it till Sat morning to try themCUba - on 222 thompson st is great - buzzy smallish live music a cigar man and great food - and 5Ninth for bar/restaurant in a 3 storey brownstone townhouse with garden in Meatpacking district on LIttle West 12th - near the Buddha Bar - also Mai House is good Viet/French and beautiful decor - cocktails etc all in all a great stay and especially good value - stayed mid APril 2007.	
Apr 11 2007 	Lovely Hotel	I visited the Park South Hotel in December 2006 for a Christmas Shopping trip. The hotel was fantastic, lovely big room, large beds with plenty of towels and dressing gowns.  The staff couldnt be more helpful from giving us resaurant recommendations to telling us how far tourist spots were away to booking our helicoptor ride.  The hotel is centrally located, with everything within walking distance, with some very nice restaurants situated nearby. The hotels bar and restaurant was fantastic and we had a lovely meal on the last night there.  I would recommend anyone to stay in this hotel as they offer fantastic weekend and holiday rates, are in a great area and have great facilities.	
Apr 5 2007	Rooms Need Better Light!	Nice little hotel, regular rooms are small, I had a superior room on ground floor which was nice, clean and roomy. The elevators are extremely small. Rooms are dark, need more lights.	
Mar 27 2007 	Great Value for Money and Good Location	The Park South hotel on 28th Street, New York, is ideally located for anyone wanting to take in the sights and sounds of the city. A stone's throw from a subway station it's easy to get to both above ground and below. The subway line takes you right through the heart of the city - plus it's easy to walk almost anywhere in Manhattan.For the price (I paid US$215 before tax) it's a great hotel. Rooms are not huge or particularly charasmatic, but plenty of space to navigate the bed and you don't feel too cramped in. Most, though not all, rooms have a (quite small) bath tub, and the complimentary toiletries are very nice. The bed was comfortable, and there was very little noise from outside or other guests. The TV reception was a little fuzzy, but I didn't go to New York to watch TV, so that didn't really bother me. Breakfast was a continental selection of meats/cheeses, breads, croissants, cereal, fruit and yogurt, tea/coffee/juice. All perfectly edible and good enough to set you up for the morning. Weekdays there are complimentary papers left outside your door. There is a apparently a business centre and fitness room in th ebasement, though I couldn't actually find them. I am sure if I'd asked there would have shown me. Staff were friendly and helpful, and there is a left luggage service if you need to check out way in advance of your onward journey.All in all, I would recommend this hotel for travellers who want a fairly decent base camp, but don't want to pay ridiculous prices.	
Mar 19 2007	Highly recommended	Ok so we were upgraded to a Junior Suite - but the room was BIG, very comfortable, huge bed, good bed linen, large sofa, coffee table etc. Service was acceptable. Our only complaint was one bath robe instead of two!! Now that's not bad! Was great to have breakfast thrown in and the subway station a 1 minute walk.	
Feb 21 2007	Great base for NYC trip	Okay, so the front desk staff aren't as effusive as they might be, and the breakfast is a little limp, but the staff are helpful and professional when they have to be, and the rooms are spotless and the beds are supremely comfortable. For a week in NYC whether on business or pleasure, it's a great little place to come back to exhausted at the end of the day and just collapse in your room for a few hours, blast yourself under the power shower and then head back out again.Perfectly placed in the middle of Manhattan, right next to a subway line and yet just off the beaten track I'd recommend it and would definitely go back.	
Feb 3 2007 	nice little hotel	this is a very nice little hotel and a great value. It is not fancy but the rooms are in good shape and the service is good. I recommend this hotel.	
Jan 20 2007 	Preferred hotel when I stay in NYC!	I have become a fan of this little hotel in NYC, having stayed there 3 times over the last 6 months while I'm in NYC for business! For the very reasonable price you pay (around $200 for a standard queen room, if you book early enough), you get a really clean room, firm bed, excellent towels &amp; toiletries, free (wired) high speed internet, morning newspaper, &amp; TV w/ DVD player! The price is extremely reasonable for a hotel off of Park Avenue in NYC. Extra perks include the Black Duck restaurant (amazing food, typical snooty NYC service...think of it as part of the &quot;NYC charm&quot;), and the fantastic Copper Chimney (India food) next door. The front desk staff has always been cheerful and friendly. I think some guests may mistake the New Yorker charm as &quot;attitude&quot; or &quot;surlyness&quot; - to that I say, loosen up!Can say enough good things about this hotel. One minor thing is they sell out quickly (smaller property) and I've had to go to much pricier hotels ($300+/night) because I booked too late!	
Jan 15 2007 	great little hotel	Terrific hotel for the price. Very tiny room but good location, pleasant staff and great breakfast. We travel to NYC about every 4 weeks and would definitely stay here again	
Jan 9 2007 	Absolutely the worst service	The staff at this hotel seems to have attitude problems. Front desk and all other staff very unhelpful and somewhat indifferent during my 3 week stay, but what could one expect staying in such a 2-star category hotel of this class. I happened to be on a long business trip and this was the contracted hotel, otherwise I would have left after one night. The worst came right after check out -- as soon as they charged my credit card and got their money for a 21-night stay (a good sum deserving at least a 'thank you for your stay' type of thing but no), they became even ruder by the instant. I told them that I left something and needed to go back up to quickly fetch it. The receptionist who had checked me out practically screamed at me &quot;What you mean you didn't clear out your stuff before check-out??? -- if you go back up housekeeping will be all over you!&quot; were there exact words. After much obvious fuss, they said that they will need to take a copy of my passport before they can let me back up (they should already have one on file from when I checked in) as if I were going back up to steal something (had I wanted to steal their towel or ashtray, I very well could have done so before proceeding to check out!). They finally let me back up but had another staff follow me up and accompany me while I grab my bag! The absolute worst hotel with absolutely the worst staff whom probably never received proper training on how to deal with simple guests' request. I will never step back into this hotel and advise anyone planning to stay here to expect to face the very rude staff.	
Jan 2 2007 	Very happy with our stay	We stayed here for New Year's Eve and had a very positive experience. The hotel is in a great location with plenty to do within walking distance plus a subway station on the same block. The rooms were typical NYC size but very clean and tidy. We didn't take advantage of the free continental breakfast but I did check it out and it seemed decent. The rooms have normal size towels and a bathrobe which is a big bonus for me. The only downside was thin walls so I could hear the guy in the next room laughing at whatever he was watching on tv but it wasn't a big deal. For NYC, this is a great deal.	
Dec 29 2006	nice	Rooms not very spacious , although very clean. Good Bathroom with nice products.The thing is that if you get an inner room you hear the air conditiong machinery. My girlfriend and I slept with earplugs and no problem (except the 1st night due to jet lag).Location is good, as there's an underground right at the corner.Breakfast is very nice.Staff is not very nice.I	
Dec 29 2006	Nice stay	Hello, we really enjoyed our stay at the hotel for 2 nights from Dec 26 - 28th. Booked on Quickbook - 1 qeen for $149/night. Very clean hotel, nice room (bit small, only half a closet really). We were onlty there for 2 nights so it was not an issue. The only complaints - the room was warm even with the heat off and did not have a view. I was very pleased with the hotel for the price we paid. We arrived at 1:15 pm and got to the room within a few minutes of check in I asked for a room away from elevator and they front desk was very accomadating. I'm a light sleeper so noise bothers me. I always use earplugs in hotels no matter where I'm staying. I bought a pair at the drug store around the corner. The hotel offers discounting parking down the streeet at 20/day. Subway 1/2 block was very convient. Lots of restaurants in the neighborhood. Breakfast was good. No complaints. The place looks like it's brand new. I would recommend it.	
Dec 26 2006 	Nice hotel good breakfast 	We stayed five nights at the Park South Hotel and really liked it. The location was pretty good and the subway stop was 1/2 block away. Breakfast was very good with warm, fresh bagels alongside sliced meats and cheeses. We had a glass of wine one night in the bar, which was great. Hotel staff was helpful each time we spoke with them, so I am lost on the post about the unfriendly staff. The only problem we had was that our room (#201) was right by the elevator, so it was noisy. We thought it was the pipes making noise for the first couple of nights, then realized it was the elevator. We were so tired after jam-packed days exploring that it did not bother us while sleeping. I simply would not stay in any room ajacent to the elevator. Overall, nice place, and we'd stay again.	
Dec 5 2006 	Loved it	This hotel has an old world European feel. The subway is close by, the prices reasonable, the rooms large in comparison to Midtown/Times Square, lots of good restaurants in the area, great service, cool bar that doubles as a free European style complimentary breakfast buffet in the morning. I go to NYC at least twice a year for work and although this is a little bit of a trek it is totally worth it.	
Nov 27 2006 	A total Delight!	My wife and I had a simply perfect stay at the Park South in room 714 from Nov. 22 to 24, 2006. Everything was perfect (except the Thanksgiving Day weather and the lovely facilities more than helped make up for that rainy day- there was even a great free DVD lending library). The reservation desk (both online and on the telephone was easy and totally nice to deal with. Checking in and out were instant and seamless, the room was spotless and housekeeping was great, the bed was wonderful and the soundproofing was all one could ask for and everything was 100% odor free and the towels and linens were among the best we have encountered. The room wasn't huge, but it was very adaquite and the bathroom was wonderful too. The breakfast buffets were wonderful in their quality and variety and the hours were too generous to be real (7AM to 11AM)and the setting just too good to believe. The door staff and bell staff were fabulous and the business center was a lifesaver as I had forgotten my laptop. We checked a suitcase (no charge)in their keeping the afternoon we checked out and dropping it off and picking it up didn't take 30 seconds in total. Every member of the staff we encountered was a cheerful and courteous delight! They have a wonderful hotel in a great location and a staff that does nothing but reflect credit on their hotel. We have stayed at several other hotels in Manhattan in the same price range and they are simply not in the same league quality and service wise. They were acceptable ,but he Park South was a complete delight and we will be back! We of course look forward to returning and to trying a dinner (or two) at the Black Duck (which was the setting of the breakfast buffet and a lovely venue). There was even a nice follow up note and thanks to the Park South and its staff for a perfect and totally delightful stay	
Nov 26 2006	Lovely hotel good location	We recently visited this hotel twice - once for four nights and then again for just one night - and were very pleased with it. One the first visit we were in a queen size room which is quite small. I would recommend getting a king size room, which we were upgraded to on our second visit. However, the rooms are well appointed and the bathrooms are lovely.The price we paid included an excellent breakfast of bagels, meat/cheeses, pastries, cereals, fruit, tea/coffee and juices. This was a real bonus as we were expecting to have to go out for breakfast each day.The business centre offers free internet access.I notice a few reviews with negative comments regarding staff. Our experience couldn't have been more different. All the staff that we dealt with were very friendly and helpful, even when we were checking out at 2.15 AM. If I were to complain about anything, it would be that the bar was not open late enough. We arrived at 11.30 PM and it had already shut.	
Nov 11 2006 	Worst staff ever	First impressions were good. The entrance to the hotel is very smart and the corridors/ rooms are all tastefully decorated. Breakfast was included in the rate and was very good -lots of choice and very good quality. We were there at 7am though, I don't know if things are as good later in the morning.The thing that spolit our stay was the off hand attitiude and rudeness of the staff at reception. Anytime I made any enquiry, I was made to feel unwelcome. When I enquired if tea/coffee was available in the hotel, I was told to use a deli down the road, but worst of all was the complete disinterest by reception when my pyjamas disappeared from my room.I probably wouldn't choose to stay here again unless the room rate was so good, I couldn't refuse.	
Nov 11 2006 	Great Location	If booking this hotel, avoid room 108 at all costs. This room backs onto an extremely noisy A/C unit and is just off the foyer, so has people passing constantly. We slept in this room for one night and had to be moved for the the second night of our trip. We were offered no other compensation, despite voicing our dis-satisfaction and this in a city that prides itself in going above and beyond when it comes to customer service.The reception staff at this hotel are extremley rude and are not helpful at all. Infact, these were the only rude New Yorkers we came across.Great location and a good continental breakfast. Rooms clean although small.	
Oct 24 2006 	Good Hotel	We stayed in this hotel for three nights. Superior Room was small but ours had two double beds. Internal View facing a wall which made the room dark even in sunlight. Closet very small and inadequate. Upside was the clean modern bathroom, TV with DVD player (200+ DVD's to select from), and the continental breakfast (good choice and included in the room rate.)Subway nearby and transport required to most of the sightseeing attractions. We used cabs most of the time.	
Oct 17 2006 	Room OK; staff very rude and unpleasant	Room was fine, although small. The staff is unpleasant, even rude. Front desk unhelpful. The worst experience I have ever had.	
Oct 16 2006 	Good rooms and value for New York	We stayed for five nights at beginning of October and had booked a superior queen. We were pleasantly surprised by our room - it was large and well furnished. It had 2 double beds with good quality bed linen. There was a fridge, coffeemaker, safe and TV with DVD. There was also free wireless internet - however hanging space was reduced to make room for desk. (There was also free computer access in the basement including use of a printer)Bathroom was small but clean and with great range of good quality toiletries , plenty of towels and a bathrobe.We had room service one night from Black Duck and found food excellent.Breakfast was adequate, with a good variety of breads - nothing exciting but saved bother of going out to look for somewhere to eat.Hotel was pleasantly decorated with prints of old New York. There was a small library above lobby with books about New York and DVDs could be borrowed from reception. Staff were unobtrusive but efficient and stored cases on last day without any problem.Location : right beside subway and close to Park Avenue. However you did need to use subway, bus or cab as location meant it was quite far from main shopping areas and attractions. It meant that journeys involving a change of train could take quite a while. It was too far too walk all the time as it was uphill towards midtown.Conclusion - good small hotel with all the amenities (and more) of some the larger more expensive hotels, but a bit far from the main tourist areas. Good value for New York	
Sep 27 2006 	Large Room for NY	This is the second time I have stayed in the Park South Hotel and it has positives and negatives. The positives are that the rooms are on average larger than other rooms I have stayed in NY. They also offer free internet (with a cable) and rooms are clean to a decent standard.On a negative side the area where the hotel is situated is not that great. The street is dirty and their are hawkers on the street if you arrive via Park Avenue. This can be a bit disconcerting and a bit intimidating if you are not used to living in a big city. One strange thing is the breakfast. Its a fairly limited choice with cereals and some pastries but they put all of the cooked meats and cheese on top of each other on the same plate. For vegetarians this is not good and if you ask for cheese etc which is not been with the meat they give you an odd look.Overall if you are looking for a hotel outside of Times Square which has larger rooms and is clean then this is okay but it has no wow factor of some of the larger hotel chains.	
Sep 18 2006 	Exceptional hotel for your money	With hindsight we wished that we had spent the full 10 days of our visit to New York in this hotel. We stayed here for the first 5 days and the remainder at the Milford Plaza (regretfully). Our room (Room 511) was a small double on the side of the hotel. No view, but that meant no traffic noise either. The adjacent Black Duck Restaurant was the venue for breakfast and/or dinner. Breakfast was continental buffet and plenty of it! Clever how they lit the restaurant in the evening with not much more than candles in small glass tumblers. It gave a classy feel to the place together with the live jazz on Friday and Saturday nights. We had dinner on two occasions and were well impressed with the standard of the food.Bed sheets were changed daily, free newspaper and internet access, helpful staff....I could go on. Only criticism was the lack of closet space in the room.	
Aug 25 2006 	Just OK	This hotel has its pluses and minuses and in the end, I'd say it met my expectations for the price range.On the plus side: very clean, recently renovated rooms, comfortable beds, quiet (and my room did overlook rooftops but not noisy at all), air conditioning worked well, luxury toiletries, good locationOn the minus side: Superior Queen room is TINY, no full length closet - just hooks on the wall and a half length pantry like cupboard, coffee makers on request only, only furniture for sitting is the desk chair or the bed - if you use the desk chair no one else can get around the room without you getting up - unless they cross over the bed!, housekeeping always forgot something - toiletries, towels, facecloths . . . front desk staff unapologetic and cool. Service was below average, no friendly welcome, no concierge.Ok for a short non-business stay.	
Aug 21 2006	Nice but Noisy	Actually a very nice hotel with nice rooms and bathrooms. I didn't really think the rooms were tiny as some of the other reviewers have stated. I agree that the breakfast buffet is great as is the restaurant. We stayed for 4 nights at the beginning of August. The main problem we had was that half the hotel overlooks a rooftop which is covered with compressors for airconditioning/ventilation/heating. We didn't sleep at all even with earplugs. At first we were on the second floor and when we asked they moved us to the 7th hoping the noise level would be lower, but no luck. They are obviously familiar with this problem. If you can sleep in an airplane, you'll be fine. If not, definitely ask for a room away from that side. This may also only be a summer problem when the AC is on. Despite all we did enjoy our stay.	
Aug 10 2006	Lovely hotel and good value hotel for NYC	We spent four nights at the Park South Hotel in June 2006. We paid around $200/night for a queen size room (this is a double by UK standards) and were not disappointed. The rooms were a good size, very clean, with a decent shower and nice toiletries. If you are looking for somewhere merely to sleep and are not planning to spend too much time in your room then the size of the room is perfectly fine. The room was nicely decorated and the bed very comfy. We had an aircon unit which whilst a little noisy (more irritating probably to those of use who are not used to getting air con units in hotel rooms!) kept the room cool. The continental breakfast was great, plenty to choose from. The staff were really helpful and friendly. The hotel is well located in midtown, a 10 minute walk from the Empire State Building, with a subway station at the end of the block which we made great use of. I would definitely recommend use of the subway, it is cheap and very easy to use and saves a lot of time and energy, especially if you only have a few days in NYC. The only downside to the hotel was that the first room we had (can't remember the room number but it was on the same floor as the reception desk and quite near to the reception) was located right next to the generators so it was very noisy. I asked reception if we could move rooms but there were none available (we had arrived at 9.30pm and it was the last room left). However they did say that they would move us to a quieter room the next day and that they would move our bags if we left them in the room. I was a little sceptical but lo and behold the next day on returning to the hotel we had been moved to the same size room a couple of floors up. We could still here the generators but I'm guessing you could probably here them from most rooms anyway. So I was very impressed by this and generally the quality of the hotel for the price. I would definitely recommend it to anyone on a similar budget as it appears that most hotels of a similar quality in NYC are a lot more expensive than this one.	
Aug 9 2006	Great hotel at a more reasonable price than most!	A family of four adults stayed at this hotel for three nights in August, 2006. The room ( a double-double) was a more generous size than expected and had big windows, but the bathroom was a bit small. The hotel looks newly remodeled, however there was a slight musty smell when first entering the room. Overall, everything was exceptionally clean and comfortable. Since we stayed during a 100+ degree heat wave, I was concerned about the air conditioning but it worked great....got as cold as we midwesterners like it! An added plus was the inclusion of a better than average continental breakfast, coffee maker in the room, and a small empty fridge for our use free of charge. Staff was friendly and helpful, and the location was perfect for us...steps away from Park Avenue and the subway. I would definately stay again.	
Jul 30 2006 	Terrible customer service!!!!	The Park South Hotel in New York city on 28th street has the worst customer service I have ever experienced. They claim to offer a 24-hour cancellation option prior to arrival. However, when I called at 8:30pm the evening before, they were adamant that it was ‘too late” (according to the person on the phone, I had to call be before 3pm for it to apply). And so we are being charged. I explained (accurately so) that I was never told that I have to call before 3pm…just 24 hours prior to arrival…and I’m not arriving until 9pm on the day of check in!!!He said, “too bad.” I asked to speak with the manager and he/she was not in but could call tomorrow… which is definitely less than 24 hours. I asked for the manager’s name and he wouldn’t give me one. It sad, that this is how the Park South Hotel in New York makes their money. On travelers who never stay at the hotel!!! Lowest ratings ever!!!!	
Jul 22 2006 	Staff very responsive	Stayed for three nights with my partner and teenage son. While room was very small, it was clean and beds were great. Spotless bathroom (I'm picky) was also very small. We are small people so didn't care. Since I am allergic to feathers, I asked for a replacement for down duvet, and they came immediately and remade the whole bed, as it had a featherbed (I didn't realize this and would have slept on it- which would have made me sick). The staff was lovely.Continental breakfast was also nice; a great value. We paid $207 for three adults through Quikbook.	
Jul 22 2006 	Great hotel!	This hotel was great! It was very clean and comfortable. The continental breakfast was terrific. I would highly recommend this hotel.	
Jul 20 2006 	Great place	Good, clean quiet hotel at a decent price ($175) Stayed here 4 days- only problem was that internet access was a little spotty, but not a big deal. Continental b-fast was boring, but most are. Staff was pretty cool.	
Jul 11 2006	Definitely Above Average	I recently returned from this hotel and thought it was very good. I have stayed at fancier places, but this hotel did the trick for a quick weekend. My friend and I shared a room with two double beds and had plenty of space. Although there was no dresser, there was a small closet with some built in drawers we were able to use. Otherwise, we just left our things in our suitcase, which was fine for the couple of days we were there. The room looked as though it had been recently remodeled: the beds had wonderful duvets and plenty of pillows, and the bathroom had beautiful white tile everywhere, new fixtures and pretty crimson walls. Each night, there was a turn down service where the maid would come and turn down the bed, fluff the pillows, put a velveteen bag of chocolates on your pillows, and draw the shades. (It was wonderful after a day of pounding the streets of the city to come back to that). The daily breakfast was fantastic--many types of bagels, english muffins, toast, granola bars, nutri-grain bars, croissants, danishes, muffins, cold cuts, cheeses, cereals, yogurts, boiled eggs, fresh fruit (whole bananas, oranges and apples), juices, milk and coffees. You could not leave hungry if you tried! The staff was very helpful and accommodating to our needs. The hotel also has a lovely bar and restaurant--The Black Duck--which has been well reviewed in Zagat Survey. The neighborhood, while not my favorite in NYC, was good. Cafe 28 is only a couple of blocks away--has a great salad and food bar, as well as bakery and gourmet items. There were several interesting looking Indian restaurants nearby, although we didn't try any. The 4, 5, 6 is very close to the hotel and the N, Q, R, W subway is a few blocks down 28th. A great value for under $200/night. I would definitely return here.	
Jun 27 2006	Happy Experience at Park South	Just got back from a good three-night stay at the Park South Hotel. I was quite happy with the hotel in pretty much all respects. The hotel has a stylish, minimalistic decor without being over the top. Size of the room was fine, especially for NYC. Location was good esp if you enjoy the Gramercy Park/Murray Hill area. Tons of restaurants within a block--many Indian (hence the nickname, &quot;Curry Hill.&quot;). Subway 1/2 block away. Free continental breakfast was great (and till 11:30 in the morning)! I do agree with some reviewers that the front desk clerks are very no-nonsense; they were def on the &quot;cool&quot; side. Still, I had no problems. Includes small fitness center and free computer/Internet access in the small business center on the lower level. And very nice bathroom soaps/shampoos too. Got a good price on Quikbook (under $200/night). Recommended.	
Jun 25 2006	CHEAP BUT NOT WORTH THE LOW PRICE!	My wife and I spent 3 nights at this Gramecy Park hotel over Memorial Day week-end 2006. It was a last minute get away, and we wanted to be frugal in this very expensive city. That was my primary motivation behind my decision to book this hotel. We paid $185 a night which is extremely reasonable for Manhattan. After our stay at the Park South Hotel, I wish I had spent more money for a better hotel.The room was unbelievably small even for New York City. We peered around the room attempting to locate the closet, finally realizing there was none. We left most of our clothes in the suitcases and hung up what we were wearing that day on hooks extending from the wall. It was past midnight when we arrived after the usual New York airport delays, and both of us were a bit hungry. Knowing that we were in the city that never sleeps, we asked the person at the tiny front desk in the ersatz lobby what restaurant might be open at that hour, and he warmly and helpfully told us to walk down Third Avenue and see what was open. Thanks. Unfortunately, there was not one place serving food after 1:00 A.M. on a Friday night in this section of Manhattan. We eventually went to a 24 hour grocer and bought munchies to eat. Although the bathroom had a great shower with a &quot;rainfall&quot; shower head, it was miniscule with no place to put your toiletries. We also used our suitcases to store toilet articles. The bathroom was not particularly clean, and there were some frightening looking stains on the wall. The air-conditioning in the room worked when we first arrived, but it seemed as if the hotel decided to turn it off at night. Thus, the room was very uncomfortable to sleep in. Ambien did help us get some rest. We tried to use the work out room in the morning, only to discover it had only one treadmill, one step master, and one weight machine. My wife allowed me to usurp the treadmill, and I did work out. However, there was no air-conditioning in this basement room, and I almost passed out from heat exhaustion. On the positive side, the hotel restaurant was cute and had live music. The subway was a block away, and a visitor could get where they had to go quickly. However, if we were more inclined to take the time, my wife and I would have switched hotels. Yet, with three days in the city, we did not want to waste our holiday looking for another hotel. I cannot recommend the Park South Hotel. Bright colors, nice towels and a good shower head do not excuse ridiculously tiny rooms, no closets, lack of service, and a general grunginess. The Park South Hotel is one step up from a basic hotel that might suffice if you are 20 years old.	
Jun 21 2006	Nice Hotel	I slept in this hotel during 3 nights. It is situated well (There is a subway station near the hotel). The hotel is clean, the nice decoration. On the other hand my room was a little bit dark. But otherwise my room was pleasant.The staff is very competent and nice. I had a problem in the bathroom, same evening a person came to repair. My room was cleaned during the day. The restaurant is nice, the breakfasts were good.The last day, the reception confirmed the flight with the company . They guarded me my luggage in the morning, and they are called a taxi to drive me to the airport, in the afternoon.. Very good stay. I recommend this hotel.	
Jun 20 2006	Great value and then some	We just came back from a 4 night stay at the Park South Hotel in Murray Hill: we'd recommend it in a heart beat. For $182 a night (which is a great price for NYC) we had a big room, two double beds. The beds were excellent, as were the linens and bath products. The breakfast that was included was by far and away the best we have ever encountered for a continental breakfast: it included hard boiled eggs, a selection of meats and cheeses, yummy pastries, fresh fruit and more, as well as two dedicated staff who kept refilling throughout the morning. Front desk staff was friendly and helpful. The only downsides were a lack of closet space and the location is a bit off the beaten path: we did discover, though, that you could walk a couple of blocks west and jump on a direct train to Times Square and the theatre district. Oh! And the hotel air conditioning worked amazingly well, which was important since it was the first heatwave of the season.	
Jun 9 2006	Nice hotel comfy beds friendly staff yummy breakfast!!...	We have just returned from a trip to NY and stayed at the Park South Hotel for seven nights. It was really convenient for getting around Manhattan. There is a subway line within yards of the hotel which means you don't have to worry about cabs.The hotel staff were friendly and made us feel really welcome and provided us with advice about getting the best deals from excursions. We had a small problem with our toilet, in that it got blocked, but the staff immediately upgraded us to a larger room for the rest of our stay. The rooms were kept really clean and the air conditioning was pretty good.The breakfasts were also good. Great selections of bagels, croissants, pastries, muffins, fruit, cereals, tea, coffee and fruit juices. Plus, if you're a chocaholic, they keep a huge bowl of little chocolates down at reception, which is a much appreciated energy-boost after you've been walking around the city.If we were to visit NY again, we would have no hesitations in returning here!	
Jun 6 2006	nice hotel	Group of four girls on a shopping trip to NYC so location was important - this was a good central hotel. It's quite near the Empire State building so that's a good landmark when you're trying to make your way home! Breakfast was included the price - eventhough it's only Continental (no cooked pancakes or the likes), there was a massive amount of food to choose from - bagels, different types of bread, cereal, yoghurts, tea, coffee, etc, etc..The rooms were very clean and were always nice and tidy when we got home in the evening (no mean feat given the amount of shopping bags that were mounting up over the days). There is a lovely little bar/restaurant open in the evening with cocktails reduced during 'happy hour' so it was often a nice way to relax in the evening before heading out for dinner. Didn't eat in the restaurant so can't say what that was like. Overall, would very much recommend this hotel as a great base for your stay in NY.	
