	Great Hotel	This hotel is a great find considering it is in Manhattan, if you love Broadway and that is part of your reason for coming to NYC, stay here. Its very close to the broadway theatres (Especially the Gershwin, where &quot;Wicked&quot; plays..one block away). The rooms are very small and are great if you are traveling alone or with your spouse. I would NOT recommend this hotel if you have children with you as most of the rooms are single twin beds or double twin beds. Other than that, the rate was great and although the hotel does have a restaurant, I found it too expensive and there are cheaper places to eat, you just need to walk around and explore until you find something that appeals to you.	
May 28 2007 	Fabulous clean hotel with great staff!	The running theme in the reviews for this hotel are about the small rooms, and mine was no exception (only about 24 inches surrounding the twin bed on all 3 sides, and had to step OVER the toilet to enter and exit the shower!). However, I can't say there wasn't enough room for my luggage or toiletries, the small armoire provided plenty of room to hang my clothes, and there were lots of electrical outlets available to charge my cell, camera battery, MP3 player, etc.The room was SPOTLESS, and the maid did an excellent job daily. The down comforter and pillows were comforting after long, tiring days sightseeing, and the sheets were always sparkling white and crisp.The staff was super friendly...can't recall one instance where I passed by a staff member when I wasn't greeted with a smile and friendly &quot;hello&quot;. They were super-quick with special requests and seemed genuinely happy to help with their knowledge of the city.The view from the room was a dark, ugly airshaft, but I saw this as a plus because it kept out street noise which, along with the thick walls between rooms, made for a very quiet stay.My only complaint about the WJ was that one day during my 4 night stay they turned off the water for maintenance with no notice and I was caught half-way through my shower with no water pressure. I see this as a minor inconvenience and isolated incident that would not keep me from staying at the WJ again.	
May 28 2007 	A detailed review of the Washington Jefferson Hotel and immediate surroundings	I need to start by saying that when you’re in NYC either for the first time or anytime, the most important thing is where you’re LOCATED. However, when you’re lucky enough to find a perfectly located hotel AND one with high standards and cleanliness, you are really lucky!And this is the case with the Washington Jefferson!When I emerged from 42nd street station (on the E line (blue) from Jamaica) I thought I should just catch a cab as this was the first time visiting this hotel and I had no idea where it was. The taxi driver hadn’t heard of it either but after showing him the address, took me straight there. The ride was quick, costing just $4.50 I was too early to check in (as check in is 3:00pm and it was only 12:00pm), but the very friendly front desk staff looked after my bags. This was a perfect opportunity to do a bit of sight seeing and “top of the rock” was top of my list. The Rockefeller plaza is only a 10min slow stroll away! This was a fantastic experience, but as I did so much in NYC I cannot go into great detail. I will write reviews for the sightseeing experiences I encountered (some good and some not so good) in separate reviews on Trip advisor!When I returned to the WJ I was given the key to my room. I had previously requested a room on a high floor as this should reduce noise pollution from traffic and air con. The room was nice and NOT as small as I had expected. I was very pleasantly surprised. I’m guessing this room was unique as I was really expecting a shoe box after reading previous reviews. I took pictures with my mobile phone so when I figure out how to post them, I’ll put them up and you can make your own mind up. RoomsThe rooms are very well equipped with a docking station for your I-POD (which also works as a radio), a large wall mounted TV and in-room complimentary safe. I was on floor 6 (top floor) and although the elevator waiting time was a little on the slow side, it was definitely a floor I would recommend.Now, with regards to noise. Although I was on the top floor, there was a considerable amount of noise pollution, but not from traffic. The room overlooks a kind of square shape and at the bottom of the shaft is the air con system. Because of the square shape, the noise echoes up and is very noticeable on some nights and this is from the 6th floor so I imagine the noise must be a real nuisance if staying on a lower floor.Apart from that, my only other complaint was that the carpet in the room seemed a little on the old side and I counted 2 large stains. But really, this is a MINOR complaint. The rooms are spotless and replenished on a daily basis.The hotel is excellent and connected to a sushi bar and although raw fish is not my thing, you cannot smell any unpleasantness from the restaurant. The location is superior. Overall, this has been a bloody good find!FOODIf, like myself, sushi isn’t your thing, there are some of the finest food establishments on your doorstep. The WJ is situated in an area known as Midtown or Hells Kitchen and the “restaurant row“. Although I never bothered with restaurant row, I will recommend Rays Pizza (around the corner from the hotel) as this was the best pizza in Manhattan and they knew it. And at $2.99 a slice (Massive slice) I was more than impressed. They also sell subs, pasties and lots of other tasty NY grub!Also, I cannot recommend the Cosmic Diner enough for breakfast. I ate here every morning and it was really cheap. It was difficult to spend more than $10! I ordered scrambled eggs, pancakes with syrup and refillable coffee and I think it came to about $7. The pancakes were huge and the coffee was probably one of the best cups I’ve had in a while in NY (better than Starbucks and cheaper!!). The portions were so generous, I couldn’t finish them and I can eat for England! This is on the same side as Rays Pizza but about 5 shops down. Opposite Cosmic diner but a little further down in the direction towards central park was a Bagel place. I cannot remember the name, but the bagels with cream cheese were mmmmmm! NY cuisine is personally my favourite, but not for the weight conscious…FINALLYIf the size of the room is the only thing putting you off booking this hotel, you’re crazy. I stayed in the executive room at the Hilton London Kensington this Easter and this room was smaller than the room at the WJ!What do you need your room for in NYC? Sleep and shower. If you plan to spend long periods of time in you hotel room, then maybe New York is not a city you should be visiting. There is SO much to see and do in this city that any time spent in your room is wasted time in my opinion! I am a frequent traveller and I’m very critical, but I WILL definitely return to this hotel at some point. I would give this hotel a well earned 8/10. Well done Washington Jefferson ad I hope to see you again soon!	
May 17 2007 	Love on the second sight !	We payed around 120 USD for 2 PAX.The first room we got, was just unvelievably small, 20 cm around the bed, clean, in the bathroom you could sit on the throne, brush your tooth in the sink and wash your feet in the shower, all the same time, so narrow everything was !We had 2 suitcases and couldn't open them, had to get something out and then hide them again ...We spent one night and it was to much for me, I complained gently to a very nice porter and he managed to get me a better room.Then it was love on the second sight ! Good space, small toillet but clean and functional, good air, clean and good internet access.Would definetely go again if the same room was available.Location is wonderful and this price too. !	
May 8 2007	Not for the solo claustrophobe	I had read on this board that the rooms in the Washington Jefferson were a little on the small side, but 'ok by european standards'. However I did get a shock when I entered my 'single twin' room, which was about the size of a large shoebox....even by japanese standards it was small, hence my heading not for the claustrophobic.On the plus side, the bathroom was recently decorated and nicely appointed, and the alarm radio accepted an iPod, so providing plenty of options fopr aural entertainment.The location of the hotel was also good - two blocks east of Broadway and close to all the action, so no complaints there.And finally the staff were great - friendly and helpful. so if you don't mind a confined space but are looking for inexpensive friendly lodgings in a lively part of town, this could be ok for you.	
May 6 2007 	Wow what a fab hotel !!!!!	I have just returned from a four night stay with my friend to stay for the first time in the city of New York. We travelled from England and we were very pleased with the location of the hotel and the amenities.On arrival to our room we discovered we had been given a single queen room, when we had specifically booked a twin room through expedia. The staff were very helpful and although we couldn't swap to a twin room that night because they did not have one available, we were promised a twin the following day, and after a fab day exploring NYC we arrived back to the hotel to find all our bags had been moved for us, and we had a great twin room on the second floor.Only one setback the noise levels from bed near window were high but nothing a simple pair of ear plugs couldn't help ! After all this is New York the city that doesn't sleep.The room is small but more than adequate and lived up to the photos we had seen and more !!!! The level of cleanliness was second to none ! spotless white bedlinen and clean fresh towels every day. There was an iron and ironing board and even a shoe horn and polishing cloth for shoes, the attention to detail was just great.The staff were extremely friendly and courteous and a good laugh too what more can you ask !!!Location Location Location !!! We could walk anywhere in minutes, from Broadway to Times Square and the Rockerfella Centre was so close! You have to do &quot; Top of the Rock &quot; on the observation deck at night ! WOW ! We had a thunder and lightening show with the Empire State Building in the centre of it, it was amazing !! If I was ever in New York again I wouldn't hesitate to use the Washington Jefferson Hotel.	
Apr 27 2007 	A closet called a "room"	I spent two nights (Apr 20-22) at the WJ hotel on 51st, NYC. I shared the room with a friend and we were both very surprised to be given a room with a full size bed since we had requested two twin beds. On top of that, the room was EXTREMELY small, with a very sad view to a stone wall. The &quot;closet&quot; was a hole on the wall, there were no doors. The room was so tiny that my friend (who had arrived the day before I did and would leave after my departure) and I had to live out of our suitcases during our whole stay in the hotel for absolute lack of space for anything. For the same reason, I kept my toiletries on the window sill. I avoided as much as I could spending time in the room because it was so small and dark it was almost depressive. Immediately upon arrival, I requested at the concierge to be moved to a room with two twin beds (as requested on the reservation), just to be told that there were not any available. The next morning I renewed my request and received the same answer. Back home, I sent an email to the WJ director of sales, Max Izmaylov, who promptly answered back and told me he would investigate the case. That was the last time I heard from him. Needless to say, I am not happy with the service or accommodations I was provided at the Washington Jefferson Hotel and I cannot recommend it to any traveler.	
Apr 23 2007 	Excellent for a short stay!	This hotel is a great find!! I booked directly on the WJ website and paid $170/night. The absolute pluses were the perfect location and the cleanliness. The room was spotless - perfect white sheets, comfortable bed, spotless carpet, beautiful shower. Yes, the room is very small - I booked the cheapest room they had and it was t.i.n.y. Definitely do not book it if you are tall - I am 5&quot;8 and my feet were hanging off the bed. :)) However, I was only spending one night there and considering that I was travelling alone, I was most concerned about my safety, location of the hotel and its cleanliness. WJ exceeded my expectations! The staff was very friendly, accomodating and helpful.	
Apr 19 2007 	Good value especially considering the location	This hotel is excellently located very close to Times Square and Broadway and very well priced for this location. Although the rooms were a bit small, this is normal for mid-price New York hotels, and they were clean, well equipped and recently decorated. The staff were friendly and helpful. Our only problem was a mistake with the bill, but this was honourably and quickly sorted out once we were back in the UK and were able to feed back our original booking information. To avoid this, ask for an email confirmation of your rate when booking and take a copy of the email with you. Then ensure that the correct rate is shown on your registration card for all nights of your stay. However, this problem apart, we would thoroughly recommend the Washington Jefferson	
Apr 17 2007 	My Stoop-My Neighbourhood	We had heard and read good reports of the WJ and we were not disappointed. Our room was quite small but spotlessly clean. The bathroom was a real treat with lovely toiletries, an excellent shower and lots of towels. Our bedlinen was changed daily. We were on floor 3 and found it very quiet and conducive to great sleeps. The staff are so friendly and always on call if one needs any help. The location is excellent..in The Theatre District..and there are excellent diners nearby like The Cosmic Diner on 8th and 50th. Do not miss The Westway Diner, though, further down on 8th possibly between 43-45 st or thereabouts. We sure loved our stay in our neighbourhood and would not want to stay anywhere else in NYC. We deliberately left some boots behind..and were emailed by the hotel on this.That is what I call service. Trust me-GO there..The WJ rules Ok..in fact... Brilliant!	
Apr 9 2007	great location good price	My sister and I stayed in a deluxe room with 2 twin beds on 3/25/07. Like other reviews say, the rooms are small, but we were perfectly comfortable in our room. We only stayed over for one night, and were out on the town for much of that. The beds were very comfy, and the bathroom was fairly large (and great shower!). I wouldn't recommend having more than 2 people in the room, because it might get too crowded, but I thought it was fine for two. The location of the hotel is wonderful - we were 2 blocks from the theater we went to, and close to the subway. There are a ton of restaurants nearby, including one right across the street called Maria Pia. We had dinner there and it was delicious. There were only two things about the room that I didn't like. First was the small section of wallpaper peeling near the ceiling, and second was an indent/hole in the wall right behind the bathroom door. It was obviously made by the bathroom door handle hitting the wall, so they should just put a bit of padding on the handle to avoid damaging the wall. Overall I was happy with this hotel. The rooms were clean, the staff was friendly and polite, and you can't beat the location. I also liked the iPod dock in the room.	
Apr 2 2007 	Good Price	The hotel is a good budget hotel. The rooms are tiny. There was maybe 1 foot of room around each side of the bed and maybe 5-6 foot at the end of it. The bathroom was so small you had to leave the door open to wash properly at the sink. The hotel staff were professional but not very helpful. The hotel has a shushi restaurant attached to it which really isn't my thing. I ended up at the local Mcdonalds, about 2 blocks away, for my breakfast. The hotel is 2 blocks from the nearest subway station and Broadway. It has a great location and a great price for New York, but you only get what you pay for.	
Mar 30 2007 	Good Value Good Location for NYC	You get what you pay for. In NYC you pay double for the big names (Hilton, Marriott etc). This hotel is small, in a great location (near Theatre district, short subway ride to midtown business district).The service and peole are top notch. They are making the best of the facility. The rooms are SMALL. The temperature seems to be controlled centrally, not in each room. And the street noise is definitely noticable, and I was on the fourth floor.But for a quick trip where I spent all of 3 hours awake in the room I would do it again. The bathroom was modern and clean and the TV worked fine. The price and location were worth it. If you are used to collecting points at the major chains and expect that kind of experience, don't come here. But if you are a bit adventurous, you have nothing to lose.	
Mar 26 2007 	Great Location but a little noisy	Excellent location close to Times Square etc. The room was pretty small but with a 6' bed and very modern including an i-pod dock to listen to your own music. There was a &quot;time out&quot; guide and other information for travellers which was also very useful.The staff are very friendly and accommodating. The room itself was spotless and had a great shower (no bath).The only criticisms are the heating (or lack of) which was very old fashioned and absolutely covered in dust which made a terrible noise when it came on and the noise outside. The windows are not double glazed and the noise was so bad I was convinced that the windows were open when we first got there. It didn't help that there was building work going on a few blocks away which started early each morning.Overall it's a great hotel in a great location - just take your ear plugs!	
Mar 25 2007 	location location	Stayed here 19/3-22/3. Location,location,location!!!Perfect for short trip with not to much time to spend in room.As said many times before rooms not huge,but bathroom very impressive. (shower only). Only real gripe no tea/coffee making facilities. Staff friendly ,housekeeping very impressive. Would definately go and eat on 9th ave between 51st and 54th street, especially the road with the Chinese on 1 corner, lunch special $6 and the grill on the opposite corner(best value breakfasts).	
Mar 19 2007 	Loved it	Was supposed to stay here with my bf for one night, but we actually stayed two extra nights, and we would definitively go back.The room was not very big, but that didn't bother us. It was clean, the staff was nice and made the hotel feel exclusive. Great location too! Close to everything, Central Park, Empire State, Fith Ave.	
Mar 19 2007 	Overall a fair hotel	The Washington Jefferson hotel is undoubtedly a great location, close by to Times Square and one block from the subway.The service from staff is excellent. However, you get the feeling that the hotel is trying to be something that it isn't. The lobby lures you with its marble and swanky chandeliers. However, it’s a shame that the remainder of the public areas don't live up to this initial expectation. The elevator is cramped and the hallways are tired. The room itself was functional but compact. There is little in the way of wardrobe space, but the bed was extremely comfy. I would recommend that you avoid a room facing the street, as it was particularly noisy. It is worth noting that are request for a quiet room was not honoured. I would also point out that if staying in the summer the hotel doesn’t have air conditioning. Another reason not to have a street facing room with all that noise when the windows need opening! Heating during our stay was pleasant and overall I would say this hotel is an ok tourist class hotel ideal for short breaks.	
Mar 17 2007	sleep on a board	hotel was nice enough but the bed was HORRIBLE. I had them move me to another room because it was so bad - and I never complain at hotels, usually just put up with it. I seriously probably got no more than three hours of sleep. The room that they moved me to was just as bad.	
Mar 17 2007 	Loved it	I have just come back from 4 nights staying at the Washington Jefferson. It was great, good location walking distance to all the sights. Starbucks 1 block away and a great 24 hour diner ( cosmic diner) also 1 block away as well as the ny tour bus only a couple of blocks walk . The staff were great, nothing was to much trouble, room serviced everyday, lovely comfy bed. The room was small but who spends that much time in their room in NY. I travelled to NY alone and at no point did I feel unsafe in and around the hotel. overall great hotel with great staff would recomend.	
Mar 16 2007	Certainly Adequate	During a vagabond walking tour of NYC I dropped in to the WJ and was quoted a very reasonable price. The location was exceptional and my bed was very comfortable. I was especially impressed with the quality of bathroom facilities. The primary negative was the location of my room on the second floor with a window to the street. People yelled and caroused until about 3am. I found the service personnel to be very courteous and helpful. I would stay there again.	
Mar 15 2007	Great base for weekend stay	Booking the trip to New York only five days before going, I was worried about the type of hotel I would get for the budget I had. This was my husband and my first time to NY so didn't really know what type of accommodation to expect. We flew into Newark, train in Penn station then the E to 50th street subway station, with the WJ only a minutes walk from there. We had no problem checking in at 7pm and were given a room facing the street on the 3rd floor. The room was quite small but had a lovely neutral decor, queen size bed, cable TV, iron and ironing board, safe, dresser and bathroom with a double shower. The bed was comfortable and bedding comforting. Had a slight problem with the heating on the first night and nearly toasted so slept with the window open but didn't have much traffic noise (apart from the constant beeping of taxi's - seems to be customary in NY). The location was great for us, only a couple of blocks from Times Square, Rockefeller Centre and Central Park. We walked literally the length of Manhattan from Central Park to Battery Park and took practically all the sights in along the way so were thankful that the subway station was close to the hotel. A great base for a weekend stay. Travellers tip, if you don't want pay and queue for the boat to Liberty Island, jump on the free Staten Island ferry which gives you a great view of Liberty Island and the Statue, Manhattan and Brooklyn Bridge. Also, if you want to go up to the observation deck of the Empire State, try and go around 3-4pm (allowing queing time too) to get to see the city during the day, dusk and by night.	
Mar 12 2007	Great secret	Stayed here for a week, first time in New York. Girlie Holiday. Booked a double room, clean, spacious, gorgeous shower room, no tub but not a prob for us we all pref showers. Staff were excellent and more than helpful. Location was excellent just off Broadway walk to everywhere from hotel, central park, all the shops, tours and attractions. Hair dryers an straighteners didnt work big prob for party of girls!! Hairdressers around the corner not the same as getting it done at home but did the job. Got great deal which we were all happy with and even more so when we realised exactly the location. Will definitely return loved the City an the hotel. Would recommend to anyone. Luv Party of Irish	
Mar 10 2007 	Nothing better than ok	This hotel is NOTHING better than OK. Anyone that write rave reviews about it must have been at another hotel...Would I stay there again? YES....but only because when you are in NYC all you really need is a bed for a few hours.Rooms about the size of a queen size bed, taps were backwards so the hot means cold and cold mean hot.Location is the best part....one block from times square, couple from radio city, letterman, central park.Overall, just a bed to sleep in and nothing more. If that's what you are looking for, book it....if you would rather a bit of glamour, DON'T STAY HERE!!!	
Mar 4 2007 	WJ is Just OK	I began reading all the trip advisor reviews after I got stuck with the WJ through priceline ($125 was my per-night bid accepted by the WJ Hotel in the midtown west area of Manhattan). Was there from February 23 though March 2 2007. Here's my two cents' worth:We got the standard room with a single queen bed. I was so afraid that the room would be castrophobic (after reading all these TA reviews!) that I called in advance to make sure we got a room that at least had a tub in the john. (Some of the standard rooms have showers only and no tub). Must have called there about 5 times before I ever was able to talk to someone live and in person before we arrived. We got the room with the tub just by asking.Once we did arrive (at 9:00AM), the concierge was very helpful about taking our bags (and laptop) into a locked area until we could check in at 3:00PM. The hotel location is marginal at best. The House of Brews with 80 beers from around the world is a few doors down...and a couple higher-end restaurants are across the street. What I wanted and needed was a self-service laundromat. Was Very grateful to find one on the same street and just a half-block up towards 9th Avenue...but that place is closed as of this past Saturday (another story). Too bad because I paid only $15 to have 18 lbs. worth of laundry done at that place! I have no clue what the hotel would have charged to have our laundry sent out...but after being burned on a cruise back in 2000 with a $100 laundry bill...I didn't want to repeat that mistake in judgement ever again!If you walk up the block, you end up on 9th Avenue where a lot of various Hell's Kitchen restaurants and bars are. If you walk down the block, you end up on 8th Avenue which doesn't have much in that immediate area but a Rite Aid store (for pick up pop/juice/munchies). No room service at this hotel by the way. It is attached to a sushi-type restaurant. Didn't go there, but it appeared high end.The hotel room itself was small. As in I'm on my side of the bed and can reach to touch the wall small. My daughter was with me...she could do the same on her side of the bed. No place to hang clothes...no drawers...no nothing except two very small nighstands on either side of the bed...and the t.v. (as has been mentioned here before) up in the corner ceiling. T.V. went out after the first night. Manager said they were having problems and it'd be corrected by that evening. Thank goodness it was corrected because no t.v. to watch in a room that small would have been a nightmare!Keys to get into the room is another story. Got 3 or 4 replacement card keys while we were there; mine never did work to get into the room all week long.Bedding was o.k. I don't know why there is such a big deal made about down comforters or pillows, etc.; the mattress is on a wooden platform and all I know is that my back was killing me about every morning when I got up!The bathroom was small (what else did you expect?) and the soaps/shampoos/body lotion wasn't anything special. Not Molton Brown...not organic or fancy-schmancy...just boring and somewhat stinky to boot!Elevator went out one day; very bad since that was the day I took the laundry out in my 20 lb. huge suitcase...and down 5 flights of stairs by myself. YUCK!Good news! New York Times everyday...but you have to get it yourself by asking at the front desk where the papers are held on a back countertop.So---what grade do I give the WJ (Washington Jefferson) overall? For $125 a night....a C maybe C+. I've been going to Manhattan for the past 20+ years and have stayed everywhere from the Kimberly to the Beacon from the Sheraton Towers to the Olcott to private apartments. The WJ is just o.k. And that's my two cents from Mary in SE MI.Have a great vacation whereever you go!	
Feb 25 2007 	Great location and service!	For getting such an affordable price through Hotwire, we were VERY pleased with this hotel. It's hard to beat the location, within minutes of easy walking to many major attractions (Time Square, NBC, Radio CIty, Central Park, Broadway, etc.) The rooms were very small, but very nicely appointed, with a comfortable bed and a nice bathroom. The only real issue I had with the hotel was the heating-the radiator kicked out too much heat. We called for help and they tried to turn it down, but was still too warm. The only way to cool the room was to open the windows, letting in street noise. Other than that, the employees were always very helpful and friendly, and I would definitely recommend this hotel for those who are budget minded but enjoy great location!	
Feb 18 2007 	Bait and Switch	The Washington Jefferson was adequate, not memorable. You expect small rooms in NYC and this was no exception. The only way to regulate the heat was by the degree to which you opened the window (and this was in February!), so usually the room was too hot or too cold. But what most annoyed me was the price. I reserved a room on the hotel's own website for around $160 per night for two nights. When I arrived they told me there had been a price &quot;adjustment&quot; and they charged me about $20 more per night. Not so much that it was worth the time and effort to find another place to stay, but if I'd been quoted that price to begin with I would have booked elsewhere. It's probably illegal, certainly unethical, and I will not, of course, go back.	
Feb 10 2007	location location location!	I went to New York this week to see some plays and chose this hotel for it's location. It was within walking distance of all the broadway shows. Our room was SMALL , but that's new york. It was clean and quiet. The bed was very comfortable. If you have trouble changing channels on the tv, you must point the remote at the cable box that is on top of the tv which is mounted on the wall. There is only a sushi bar in the hotel but directly across the street is an excellent Italian restaurant whose name escapes me.	
Feb 2 2007	Great Hotel!	Great hotel- I was sort of hesitant due to some other reviewers complaining about the size of the rooms or the remodel but I was very happy with my stay. My room(booked at the cheapest rate) was plenty big. The bathroom was spotless and well appointed. They have great TV selections(not that you need a TV when in NYC) and also WiFi and LAN cable.Enough has been said about the location so I won't add to it other than to see if it RIGHT there.I will gladly stay at this hotel again in the future.	
Jan 29 2007 	A Great Hotel	Judge a hotel on three basics: (1) location, (2) beds, (3) bathrooms. The location is ideal for Broadway, Lincoln Center, restaurants--all within easy walking distance. The beds were terrific--firm and dressed with down comforters. The bathroom was spotless and attractively appointed. As a bonus, the staff was always pleasant and helpful. I will stay at the Washington Jefferson whenever I return to NYC.	
Jan 21 2007	Great location - great hotel!	I have just returned from a 7 night stay at the WJ Hotel. Do NOT believe the harsh reviews on this hotel! We had a twin standard bedroom (room 635 - see uploaded pictures) which were had more than enough space for the two of us. The rooms in New York ARE small, but we fit in nicely and there was room enough for our suitcases.The beds were great and firm, the downs were magnificent! The bathroom was quite large, nicely designed and had a bath tub. Fresh linnens and towels every day.The staff was more than helpful and extremely friendly. They helped us getting a reasonably priced personal transfer to the airport (we used Super Shuttle TO the hotel - big mistake!).The location was great - a few mins walk to Times Square (but without all the noise). Also in walking distance to Central Park and Midtown attractions such as Top of the Rock and Radio City.All in all a great hotel - however it would have been nice to be able to eat breakfast there, eventhough there was a lot of opportunities around. For dinner we can definetly recommend the fabulous burgers at the Montana Grill a few blocks east on 51st street and for the finer dining; The London NYC hotel (a Gordon Ramsey Restaurant).	
Jan 18 2007 	Grrreat Hotel	Stayed in this hotel in January 2007 and can say no bad things about it. The hotel staff were extremly friendly and catered to all our needs and sorted any problems and queries we had quickly and efficiently. The rooms were a reasonable size and as you dont go to new york to stay in your hotel was more than adequate. The rooms were always spotless with fresh linen and towels everyday, the bathrooms were lovely with a great shower with round the clock hot water. All in All the washington Jefferson was a great experience in an excellent location. Only 5 minutes from Time Square!! Highly Recommended!!	
Dec 30 2006 	Great value friendly staff	We booked the hotel through priceline-two rooms for 2 adults and 3 teenaged kids. While both rooms were booked with 1 queen bed in each, we called the hotel in advance to ask if we could have one of the rooms with twin beds -- they told us they could not guarantee this, but would provide if available, and they were able to give us one twin-bedded room (no upcharge) on check in. This was quite a bit larger than our room with the queen, and allowed us to set up an air mattress for our third kid without problems.Rooms were clean, if small, with nice amenities (hair dryer, nice toiletries, good water pressure in shower, thick towels). A few problems --- leaky radiator in one room, balky key cards that required several tries to work, and -- most annoyingly -- a safe that wouldn't open (with our valuables inside!) due to low battery. However, when we'd call about problems, hotel staff responded quickly and cheerfully fixed the problems. They were also nice about allowing us to check out an hour late. Overall, I think this hotel is a very good value, considering the excellent location.	
Dec 25 2006 	Really Great Experience	I was very impressed by the quality of the small rooms at the WJ. The linens, comforter, and amenities were all high quality. Yes, my room was small, but it was more than sufficient for my needs as a solo traveler. And, the location is superb. I have grown to really enjoy the Hell's Kitchen side of the Theater District with its many restaurants and neighborhood 'feel.' My Hotwire rate was USD 112 a night plus taxes over the Christmas weekend. A real steal for a very fine accommodation.	
Dec 6 2006 	Fabulous gem Great location!	Went to the city for the first time. We were nervous because we booked the hotel over Priceline. This hotel is a fabulous hidden gem. There is an outstanding Italian Restaurant Vice/Versa across the street. It is within walking distance to every major attraction that New York has to offer. We were able to walk to the theater at night. We also did the hop on/off grayline bus tour. We would highly recommend this tour if you only have a short time to explore the city.The hotel rooms were small, but more than adequate. They have incredible toiletries from Austrailia. All and all it was an amazing experience!	
Dec 4 2006 	Great Location!!	My wife and I booked the WJ (Washington Jefferson) through Priceline.com. We were a little worried, but everything was great. The WJ has a great central location. It is located in a nice neighborhood near good resturants. We were a five minute walk from Time Square and Rockefeller Center. The rooms are small but very clean. The staff is very friendly and helpful. We would stay at the WJ again.	
Dec 3 2006	Washington Jefferson - Loved it	Washington Jefferson on 51st street / 8th Ave, just outside of the action, close enough to get to it easily though. Loads of restaurants very close, theatres are close as well, easy to get to Time Square or Central Park. Close to subways, bus terminals or Piers for ferry trips. The Hotel itself, with a gym (if you have enough energy after all the shoppijng!) is exceptionally good value, very very clean, nicely set out bathroom, with good shower (always loads of hot water), nice complimentrys in the room and fresh flowers every day.Breakfast is not available, but a minute outside to 8th avenue wheres theres loads of eateries, to suit all pockets.You do get what you pay for, but the Jefferson was certaily value for money.	
Nov 20 2006 	Need a backache?	I was lured to this hotel because of its location and 3 1/2 star rating. For the price (about $350/night), I figured I'd be getting, at the very least, a comfortable night's sleep.Don't fall into the same trap!- Room size: 12' x 12'. No closet, only a 4 ft. armoire without enough length to hang a knee length dress. Miniscule bathroom, as well: it was literally impossible to sit straight on the toilet without my knees hitting the wall in front of me, and there was no counter space whatsoever.- Mattress. The bed was platform-style: there was no box spring or padding underneath the unbearably hard mattress. The mattress pad was 1/16 &quot; thick and was useless; frankly, I've slept on floors more comfortable. Since sleep was impossible, I spent half the night contemplating the availability of egg crates at the Macy's home store. My mother, who was staying with me, woke up the next morning with crippling arthritis pain. - Noise. An air conditioner was permanently installed in the window, even though it was November. The sounds of Times Square and bar patrons filled the room until 2am. There was about an hour of quiet before the garbage trucks started in around 3.- The Good News: Great location, about a five-minute walk (through Hell's Kitchen) to Times Square. Rooms were clean and nicely decorated, with the exception of the TV, which was on a hospital-style ceiling mount. Front desk and bell staff were courteous and friendly.- Bottom line: My mother and I spent one night at this hotel, then spent the following morning trying to find different accomodations. After some argument, the hotel management refunded us our deposit, and we moved down the street to a hotel that cost $150 more each night. Lesson learned: stay at a chain hotel, and don't rely on travel website's reviews!	
Nov 12 2006 	WJ not ok !	TripAdvisor member DUBLIN, IRELANDNo air-conTiny rooms - dark and gloomyDraught from window - we had to plug ours with towelsNo soundproofing - at least that I could hear !!No facilities - not even a tea/coffee maker in the roomGood location - operating standards let it downOver-priced, over-rated (by itself), over-assured and under-performing	
Oct 17 2006	Excellent location	I was pleasantly surprised at the location of this hidden gem. I agree with the other reviewers that the rooms were much too small. However, they served the purpose. The room was clean and well supplied. I would've liked to have had better control of the room temperature/heat via thermostat control/etc. The staff was very courteous and friendly. I did not go into the Japanese restaurant on site as I had other plans, however, it looked great.The location was great. You are right in the middle of everything. I would recommend this hotel to anybody on a short trip to NYC.	
Oct 16 2006 	Excellent Value	I got a fantastic deal on this hotel from Priceline - So I worried that it would be a dump.It was not. It was very clean and perfectly adequate - much better than I would ever have expected for the price.Yes the room was tiny, But I've travelled extensively in Europe and paid much more for rooms that were just as small and not nearly as nice or as clean.It was a little off the beaten track, but that meant the there was no street noise - and my room faced the street.I will stay here again.	
Sep 30 2006	Women traveling alone beware	I stayed at the WJ one night while in NYC for business. Upon check-in, the desk attendant was very sarcastic and asked me questions like &quot;why was I only staying one night&quot;. He also read my room number out loud when handing me my key. I didn't have any further trouble while on site, but found out later the next day from the receptionist at my office that the hotel had called and demanded my cell phone number due to some &quot;problem on my floor&quot; (fortunately, she didn't give it to them). She offered them my voicemail but they didn't leave a mesage. Meanwhile, I had checked out three hours prior to when they called, which they would have known because I handed my key in to the desk in the envelope with my room number on it.Travelers should know that the hallways and rooms are extremely small; I would not recommend this hotel for families or those traveling with a lot of luggage.	
Sep 26 2006 	Great staff	My daughter &amp; I stayed for 2 nights in this hotel last week on our first trip to New York. We got this hotel from a Priceline bid so did not know what to expect although my experience with Priceline has been generally very positive. We did not mind the smallness of the room as we were there to visit New York, not dwell in our room. It is in a great location &amp; we walked to so many of the things we wanted to see. The bed was very comfy &amp; the STAFF were superb &amp; made us feel most welcome. Our only complaint would be a bit of noise but this was from other guests who did not have the common courtesy of being quieter when in the hallways. This could not be prevented in any hotel. I would gladly stay here again rather than pay double/triple the price for a few more amenities. I have found Trip Advisor a most informative site for getting feedback on places &amp; used it extensively for a recent trip, so thought I would submit a comment to assist others when making a choice for their accommodation.	
