	Great location great service and comfort at the best quality/price!	This hotel is a gem. If you like smaller hotels with attentive service, this is the place! The whole staff is very nice, polite , smiling at all times, from front desk to housekeepers, breakfst staff etc. Breakfast is included and is very good, including good coffee. Rooms are clean but a bit small.But who cares, we are in NY to visit and shop, not to stay in the room! The location is perfect, litterally 2 blocks from Penn station, Macy's, Empire State building etc. We even walked all the way to Times Square, Broadway and Central park (need time for that however!) I will go back and recommend it anytime! The price makes it even more attractive : app. 250$US for room with 2 double bed) .	
Feb 17 2008 	Great Location	Great location - just 2 blocks away from Madison Square Garden, Manhattan Center, Penn Station... Not a long walk to the Empire Stat e Building or even Times Square!Great hotel, staff friendly. . FREE WIRELESS INTERNET!!!Nice sized room and bathroom, esp for NYCity!!!!Clean, free breakfast that we missed each day.... No bar at the restaurant that is right next door, although food was good. Rooms have a mini fridge, microwave and coffee maker!!!!! and FREE BOTTLED Water which was wonderful!!!!I would definitely stay here again!	
Jan 27 2008 	Quiet boutique hotel	I stayed at the Wingate for seven nights in January while on business in New York city. I selected it from one of several suggested by my travel agent because of its location - minutes from Macy's, Madison Square Garden and several subway lines. It is on a quiet part of 35th street between 7th and 8th Avenues. From my arrival to departure, I could not have wished for a better hotel or location. The staff were courteous and friendly. On arrival I asked for a quiet room and was given a room on an upper floor. My room was spacious, clean and well-furnished with easy chair, desk and chair ( with WiFi access), HDTV and very comfortable bed. The bathroom was light, clean and well-appointed. The room was well serviced every day. Coffee, tea and bottled water were provided free of charge daily. Breakfast was included - fresh fruit, scrambled egg, bacon and waffles as well as the usual fare. All in all, a great room and hotel to return to after a busy day or night. I'd return and with my family.	
Jan 26 2008	50th birthday surprise	This was our first trip to New York. I had researched various hotels prior to settling on this one (mainly as a result of the reviews on trip-advisor).The hotel is very centrally located and is just a couple of minutes from Maceys, 5 minutes from the Empire State building and 10 minutes from Times Square.We found the staff to be friendly and helpful.The beds were exceptionally comfortable and the room itself very pleasant.The breakfast was what you would expect in the U.S.A. The dining room is quire small but we always managed to get seated (perhaps because the hotel wasn't overly busy).In all, I will have no hesitation in booking this hotel again when we return.	
Jan 15 2008 	Christmas in New York	This was our first visit to New York arriving late on Christmas Eve from UK. Prior to arrival Elvis Gonzalez, front desk manager had been most helpful providing us with excellent advice. We liked the hotel and were given a high floor room on the 17th floor so noise was never a problem. The location was excellent for walking and for the subway though getting a taxi was a problem on this one way street. Excellent proximity to Maceys, Emprire State Building and Madison Square Garden. The front desk were really helpful with our tourist questions that they must have heard a thousand times and we really appreciated that. Breakfast was a disappointment as on Christmas Day and the two days after, there were no tables to sit at, they run out of eggs, bread, cutlery etc and they just could not cope with the number of people in the restuarant. I think that this hotel is designed more for the business person than the tourist.	
Jan 4 2008 	Great Hotel and Location!	I stayed here recently, and I have to say out of all of the hotels I have stayed at in NYC I have to say it made my top 5. The room was clean, the staff was friendly, and the breakfast bar was great! We picked the hotel because of it's close proximity to Madison Square Garden. We felt very comfortable walking back to the hotel after our concert was over. It was in a great shopping area also with Macy's right down the block. I would definately stay at this hotel again. The only complaint I have is that since the hotel is small, they don't have a taxi stand outside. When we left, the front desk was a little busy and declined to call a taxi for us. They told us to walk up the street and hail one.	
Dec 31 2007 	Didn't live up to potential	The price and the room were both good (for Manhattan), but the operation of this hotel frequently disappointed us.Housekeepers didn’t come to make up the room until about 4:00. When that happened, our family couldn’t go occupy the SMALL common area of the hotel, because it was overflowing with the luggage and bodies of guests waiting to check in.Breakfast was a complete disaster. On 12/24, when breakfast was supposed to go from 6:00 to 9:00, they ran out of OJ and eggs by 8:15, and bagels shortly thereafter. The line for the waffle-maker then got so long that nobody could get to the coffee. Even on a good day, the set-up of the breakfast buffet is an ergonomic nightmare, and needs to be fixed: first milk pitchers, but no cups/glasses; then eggs and bacon; THEN plates; bagels/bread, followed by toasters; next napkins/silverware (not with the plates?), THEN butter/jelly for the bread; fruit; yogurt; cold cereal &amp; bowls (remember where the milk was?). You can get a very inexpensive breakfast on the corner of 35th and 6th Ave., but breakfast is one of the things that made this place a supposed bargain.The hotel has no parking.	
Dec 31 2007	Loved it so much booked again for 2008	I booked this hotel after extensive reseach on the internet, most hotels were hugely overpriced for the time we wanted to travel, I admit this was not the cheapest but it certainly wasn't anywhere near the most expensive. This was the frirst time we've been to New York and all we heard from friends were horror stories about small hotel rooms and bad service etc. As this hotel in new the rooms were a reasonable size and the fixtures and fittings are all new and quite modern.The staff were really friendly and helpful but not at all overbearing which is one of my pet hates, i can't stand all the fake 'have a nice day', I like to be left alone to get on with my holiday.The location is great, far enough away from Times Square and the crowds but near enough for a short walk and it is literally seconds away from Macys. The hotel is not on the prettiest street but we felt safe, The street is not filled with shops and yes you can hear the binmen and some noise in the morning, but hey you are in New York the city that never sleeps.Make sure you take advantage of the breakfast it was great, I would highly recommend the make your own waffles!!!	
Dec 22 2007 	Pricey but hey this is New York!	I stayed at the Wingate for 2 night in November 2007. My room cost £220 per night, which is expensive for a 3 star hotel, but after hours of research I gave up on finding anything cheaper or better (I was getting quotes of £400+ per night for 4 stars!) I understand this is New York, but compared to the £110 I was paying at the 5 star Mandarin Oriental in Miami where I had been staying a just a few days earlier I felt this to be rather inflated. But hey market forces and all that.The Wingate ended up a good choice in the end – it was on the same street as Macy’s and it was just around the corner from the Port Authority Building where I go to catch the bus to make my yearly pilgrimage to Woodbury Common.Despite being close to Macy’s the Wingate is slightly off the beat and track and the hotel itself was not easy to get a taxi from. When I went back to JFK I booked a car through the hotel to collect me instead. This was my only other grumble about the hotel as I sat in reception for over 30mins waiting when the car was outside but the staff on the front desk failed to tell me… good job I left plenty of time getting to the airport through the infamous NYC traffic!!!!!My hotel room was clean and had its own heater / ac unit. Each room has its own fridge and microwave, plus coffee making facilities. There was also an inclusive continental breakfast downstairs behind reception. View was a typical NYC view, of the next high-rise hotel block! Useful Business centre downstairs, with access to free internet and a printer, which meant I could go to the airport armed with my boarding pass and pre-booked seat. Finally I would just like to share my ‘wisdom’ on NYC – this was the fourth time in 4 years that I have been to the big apple. The flights get cheaper and cheaper, the £ and Euro get stronger, but this influx of ‘bargain hunters’ is meaning that Midtown Hotels just get dearer and dearer as demand for accommodation gets stronger and stronger. Don’t let this put you off though! Plenty of bargains still to be had though!	
Dec 20 2007 	Noisy but nice	We travel a lot in Europe and the US but this was our first trip to NYC. Travelers included me, my wife, my 20-year-old daughter and her boyfriend. We were there a few days before and after Thanksgiving (Nov) 2007, partly scheduled at this time to see the Macy's Thanksgiving Day Parade.Overall we enjoyed our stay. Hard to compare with other NYC hotels as, again, this was our first stay in the city. The room was comfortable, particularly the beds, and everything worked fine. The staff was friendly and helpful with regards to hotel features, etc., though know very little about the surrounding area.The hotel location is fantastic. While there is a terrible view (typical NYC narrow street &quot;canyon&quot; with trash on the sidewalk each morning) it was only a block from the west entrance to Macy's and about two blocks to the Empire State Building. Walking distance to virtually everything, and only took us about 15 mins to get to Times Square and about 30 mins up to the south side of Central Park.I really only have two complaints about the hotel, and one of them they can't really do much about, which has to be the noise. No wonder NY is the &quot;city that never sleeps&quot; as it's next to impossible with constant police sirens. Literally ALL NIGHT LONG. I doubt there was a 10 min stretch without it. The solution? BUY EARPLUGS at one of the numerous pharmacies. Also, it MIGHT be slightly better on the other side of the hotel. We were facing 35th Street so all the noise from Broadway traveled down the canyon. If you were facing the inside of the block (north, for example) then it might be a LITTLE better.The only complaint they can really do something about is the breakfast. Granted, we were there at a busy time and the breakfast area was not planned to hold everyone at the hotel, or presumably even a fraction of that. Only about 20 people can be seated at once, with usually only one of the two waffle makers working, which could mean a 20-minute wait. They usually have eggs and sausage providing you're one of the first 30 people through in the morning, otherwise they run out. Ditto for the coffee. There are also a few donuts, pastries, and yogurt. What they have is plain but decent -- they just don't have enough of it on a busy morning. Fortunately, being NYC, there are a couple $5 breakfast places within a one-minute walk (on Broadway.)I wouldn't mind staying there again, though since NYC is so big, we'd probably look at staying somewhere up near Central Park as we didn't get much opportunity to explore that area. For midtown, though, we were happy with this hotel. Also, be advised that booking early saves money... my daughter booked about six months out and paid less than half of what we paid booking three months out!Hope this helps!	
Dec 17 2007 	Warm and friendly ....the best!	After very long flights from Australia my husband and I had a chilly weather welcome to New York. The Wingate Inn Midtown was an excellent choice for our stay in Manhattan. Only twelve months old this accommodation included complimentary breakfasts. Boy... did I enjoy those make-yourself waffles! Internet and use of gym were free. It is only half a block from Macy's Department Store so the position was perfect. Very friendly staff greeted us at the desk. We had two full days to explore the city and take in the beautiful sights of the Christmas lights and decorations. We booked at a &quot;special price&quot; and couldn't have done better.	
Dec 16 2007 	Love the Wingate	As other travelers have written, the Wingate is a great hotel. The location is perfect for seeing NYC sites: it's an easy walk to the Empire State Building, Times Square, Bryant Park, Grand Central Station, even Rockefeller Center, Fifth Ave, Chelsea, and much more; it's also just 1-2 blocks to train and subwaystations for access to sites further afield (e.g., downtown to Financial district, uptown to Central Park/museums and beyond, as well as over to Brooklyn &amp; Queens). There were a few comments in this forum about the safety of the areaat night; the desk clerk reassured us that it was fine and it really was, even for folks as conservative as we are; returning around midnight a couple of nights, we felt completely safe. The staff are all so friendly, very helpful, and as others have stated, willing to keep your luggage for you if you should be arriving early or leaving late. The rooms and bathrooms are nice and large by NYstandards. There are lots of little eateries in the neighborhood, sit-down of course as well as salad and hot-food buffet take-out for those who may wish to take something back to the room (which had a small fridge, microwave, and also asafe).	
Dec 14 2007 	Great Hotel 	We recerntly stayed at the Wingate for 7 nights, this hotel was great. The rooms and beds are huge and the staff are so friendly and helpful nothing was too much trouble. The hotel was in a great location, we were able to walk to Macys, Times Square, Empire State and Madison Square Garden.Breakfast was great, we didnt eat it every day but the waffles were a treat.A useful tip for anyone going to visit the Empire State - buy the express ticket on line before you get there, it lets you walk to the top of each queue, when we went there was a waiting time of 1 hour to get to the top, we by passed this and got up in 5 minutes. You are also able to walk to the top of all the queues coming back down. This is well worth it especially if you dont have much time in New York.All in all the Wingate is a brilliant hotel and the location is even better. Would stay here again and have recommended it to people who I know are going to New York next year.	
Dec 13 2007	Excellent	Stayed at this hotel 4-7 Dec 07. The hotel in an excellent location midtown just a block from Macy's and easy access to most attractions and subway. The rooms were clean, well maintained, good size and beds comfortable. There were plenty towels in the bathroom and there was a wall mounted plasma TV, fridge, microwave and coffee machine in the room. All the staff were very friendly and helpful and breakfast was great. The hotel lobby was very small but hey, so what. Would definitely recommend this hotel.	
Dec 8 2007 	Excellent Hotel choice	Stayed there over Thxgiving weekend. Overall a very good choice for NYC. Centrally located with the advantage of being a little outside the Time Square madness, still close enough to walk there.Rooms are very clean, well appointed and good size for NY. All amenities.Staff was very nice, breakfast a little crowded, but overall good selection.Make sure if you do need 2 Double Beds to call and re-confirm that this is what they have reserved for you. We had reserved a double Queen and when we got there none was available so they ended up giving us 2 king rooms instead (but that was because the hotel was not 100% booked)...Would stay there again.	
Dec 7 2007 	Nice clean hotel	The hotel was really nice and clean. The bathroom was big and had a full bath. The staff was helpful and friendly. We stayed on the 15th floor facing the street. Even though we were high up we could still hear the garbage man at around 6:00am. But besides being woken up everything else was good. We would definitely stay here again.	
Dec 6 2007 	New York 2	stayed at the wingate hotel 21st to the 28th of november, had two rooms with three teeensand myself and wife.The kids loved the breakfest, rooms were comfy and roomy. The location was fantastic for empire state, macys and time square, staff really helpful. The only down side for me anyway was the lack of a bar after all that shopping, it is supposed to open on the 7th dec, it would be interesting if it does!!!!! hope this is helpful anthony188@btinternet.com	
Dec 2 2007 	Comfortable friendly but beware of overbookings!	We had a very comfortable stay here. The room was spacious (by NYC standards), clean and very quiet. The staff (front desk and housekeeping) was beyond friendly (smiles, eye contact and seemingly genuine interest in being helpful). It was nice to have the complimentary breakfast, but the food was nothing to write home about. But, hey, it was free and when you're in New York, free anything is great! We were on the backside of the hotel and it was very quiet. This place appears to have really good soundproofing between the rooms and floors as we never heard a peep from anyone, even though the hotel was full. We did, however, have virtually no cell phone signal in our room and had to head down to the lounge on the second floor to make any phone calls. No big deal, especially because local phone calls were free. One recommendation, though. Try to arrive earlier in the day as the hotel was oversold on the night we arrived. Perhaps this was a fluke, but it'd be a pain to travel all day and find yourself without a hotel room.. We got the last room. I felt bad for the 3 parties that were just arriving as we were getting into the elevator. Also, there aren't a lot of restaurants near the hotel serving dinner after 10:00 pm. We had quite a long walk trying to find a place open for business the night we arrived. However, the location is great as far as convenience to the subway, etc. Nice hotel!	
Nov 14 2007 	Problems	Problems from the start. If you sleep facing the main street, and happen to be on a lower floor, you will hear the pounding of a recycling truck right across the hotel. It lasts until 4am, and is loud!We were moved to a different floor, only to find the ice machine dispensed ice all night long on its own! And it wasn't quiet either! The location is ok, staff not bad, but not good.2/10	
Nov 6 2007 	Best Quality for Value	Checked in Friday, stayed 3 nights. Room 602Room was extremely clean and comfortable. This hotel is tucked away on 35th street just 1/2 block off 7th avenue. We walked here from Penn Station with our luggage no problem. The total experience was a great one. Mind you this was at a rate of $399.00 per night, which I think is outrageous but other hotels of this type were at $459 and above. We took subway throughout all of Manhattan easily from this location. We walked till very late at night and felt very safe. The hotel is fairly new, no restaurant on site so no room service, this was not a problem as there are many restaurants near by. The rate included a breakfast every morning, eggs, bacon, sausage, waffles, fruit, yogurt, bagels, cereals, juice, etc. Rooms had flat screen TV, on wall, also came with microwave and mini fridge, coffee maker, no mini bar stocked with overpriced items. Staff all friendly and helpful. Would definitely recommend and stay here again. By the way if looking for inexpensive place to eat, try the department store Macy's just around the corner. In the lower level they have a &quot;Marketplace&quot;, salads, sandwiches, hot foods, pasta, etc all at a good price. Wish we would have found this sooner. All too often we ended up paying high prices for rude service and bad meals at other restaurants in Manhattan.	
Oct 24 2007 	Lovely quiet good breakfast and central	This hotel is great value. Huge Kingsize beds, rooms and bathrooms. Lovely bed linen, very clean with a complementary breakfast of pretty much everything you could imagine including nice waffles! It is around the corner from Macy's and a few streets from the subway to go up to Central Park or down to Soho.Our room was at the back of the building with a dull view of another building, but it was perfectly quiet, which is good considering the constant traffic and siren noise in NYC.We had stayed at the Beekman Tower hotel which was a dive compared to this place. I recommend it. Plus the staff were great, sorted us out taxi's and loads of other stuff.	
Oct 16 2007 	Great hotel for the price!	We actually found this hotel by doing a search on one of the travel websites. After disgust about using one of the &quot;traditional&quot; online booking sites, I decided to give the Wyndham a call and they actually gave it to us *BELOW* the price even listed on the hotel website! The location was right off of Seventh Ave. by the Fashion District, which is about 6 blocks away from Times Square. Really great location and the service was excellent! I've stayed in boutique hotels throughout the city and this was by far the best &quot;chain&quot; hotel for the money. The room was nice and spacious, clean, and comfortable. Nice size, especially for other hotels in the city. Take advantage of the free Wi-Fi throughout the hotel. Free breakfast as well, although a little questionable.All in all, great experience! Definitely would stay here again!	
Oct 7 2007 	Great Price! Great place!	What a find in the heart of Manhattan! Right around the corner from Macy's and Madison Square Garden this hotel has a lot to offer. Nice size rooms even for our family of four (2 adults and 2 teenagers). Not the greatest views, but for the price the rooms are clean and comfortable and the hotel is in close proximity to public transportation. Don't let the side street scare you at night-it's just half a block from the main arteries and we felt safe walking back at night from Times Square and the theatre district. There are two computers that are very accesible. One on the second floor overlooking the lobby and the one on the lower level is less busy. Also, the breakfast is very good with a nice selection to choose from and great coffee! The staff is especially helpful and very accomodateing. Will definitely stay here again. I hope I didn't ruin our great find by telling too many people!!!!!!	
Sep 26 2007 	comfortable hotel fantastic location	We stayed at the Wingate Midtown Manhattan from Aug 25 to Sept 3, 2007, and it was an enjoyable experience. The hotel is new, the rooms are fresh with very comfortable beds, and a flat screen TV. The complimentary hot breakfast is excellent, with make-your-own waffles, bacon and sausages. (It could use a little variety though; we stayed there 9 nights, and the breakfast was the same every day).The location is perfect, it is in the heart of the fashion district, with Macys and so many other shops and attractions (Borders, Madison Square Garden) a two-minute walk away. Subway stations for the main lines are at the corner of the street, or a short block away, including Lines 1,2,3, A, C, E, Penn Station and other main lines. Hence, the hotel is so easily accessible by subway, train, and bus.The staff, every man and woman, were courteous, friendly and helpful. Any request we made was promptly and cheerfully attended to, even if made in the wee hours of the morning. You appreciate that kind of service, especially after an exhausting day, or after 20 hours of air travel.(As an aside, I should mention that we arrived at JFK airport at 7:45pm, and made the mistake of calling for an AIRLINK NYC shuttle at 8:30pm. Not only was the driver late by an hour, he went around the 10 terminals of JFK for almost 2 hours until he filled his van. Then he did not know the location of the hotel. So, we arrived at the hotel 4.5 hours AFTER we called AIRLINK! We strongly advise travelers against using this shuttle service. Use SuperShuttle instead, which is reliable and efficient).There were, of course, a few problems (no hotel is perfect). When we arrived at the hotel at 1am, all rooms had been taken, so we were placed in room 305, which is a room designed for handicapped guests. Hence, there was no bathtub, and no closet for clothes (just an open rack). More importantly – and this is critical to business travelers – there was no mobile phone signal at all in that room, perhaps because the room was at the back of the hotel, with tall buildings around, and it was a low floor. This may be true for all No. 5 rooms in every floor, so travelers should specifically request not to be placed in that room. We complained, and were transferred 2 days later to room 1204, and that room was perfect. It was larger than our previous room, and because it was fronting the street, I could easily get a mobile phone signal in the room. There was a tub and a closet. And the TV was facing the bed, while in the previous room, it was crammed on top of a drawer to the left of the bed, making it uncomfortable to watch. Travellers should ask for high floor rooms facing the street to get the best deal.On the whole, we would highly recommend the hotel to business and leisure travelers.	
Sep 25 2007 	This a fantastic deal in NYC!	We stayed in Sept 22-26 2007. Read all the reviews and checked out their website. We were thrilled that they were all accurate! The Wingate on 35th in NYC is an amazing deal in a city that charges hundreds of dollars for a worn out looking room. The hotel is EXACTLY like it's pictures and claims: big room, up to date furnishings, free bottle water, refrigerator, microwave, breakfasts, a business center, a real closet and helpful staff. The only downside is the location on 35th street...not the prettiest street in the city. However, it's conviently located so you can easily walk to many of the sights, loads of restaurants, etc. Would definitely stay here again!	
Sep 19 2007 	Great service and value!	My husband and I stayed one night (Saturday) at the Wingate. It is located in the Garmet District and just a couple blocks from Madison Square Gardens and Penn Station (Amtrak or buses). It's a great location if you want to do a lot of shopping! We arrived before check-in and our room was not ready, but they held our luggage. The front desk was very courteous, friendly, helpful, and referred to us by name. The room was clean and we had a room on one of the top floors (which we prefer to decrease street noise). I would recommend requesting a room NOT on an ice machine floor. The ice machine is located in the hallway next to a room (I'm sure it made it a very noisy stay for someone in that room). The free continental breakfast was a nice treat! They had hard boiled eggs, waffles, juice, coffee, bagels, fruit, yogurt...good enough to get you going in the morning. This hotel offers FREE wireless internet as well. There is a microwave and refrigerator in the rooms. We enjoyed our brief stay at the Wingate and we would recommend to others...and it was inexpensive compared to other hotels in the Manhattan area.	
Sep 17 2007 	Great Value in NY	We were looking for a family friendly, reasonably priced, comfortable, clean hotel in a central New York area. We found it here, and more. The rooms were very comfortable, with nice bedding and a sitting area. They were clean, modern, and nicely decorated. The hotel is within easy walking distance of Times Square, Macy's, shopping, and the Greyline terminal. The Greyline is the best tourist trap I have ever seen. We were able to hop on their buses and see all of NY in one day, including a tour to the top of the empire state building! This was a great place to travel with kids because the rooms are very well insulated from each other, they provide portable cribs, a decent breakfast, and they are close to everything.	
Sep 11 2007	Great Hotel	Stayed at this hotel 1st week of September 2007and have to say this hotel is very good. Location wise it is very central to Midtown Manhattan, and Times square and Central Park are within easy walking distance. the Empire State building is less than 10 minutes away and Macys for shopping is 5 minutes walk so over all this is an excellent location.This hotel has very high hygene standards and room service is excellent. The staff at this hotel could not be more helpful and are of excellent mannners and courtesy and have to say its a pleasure to speak to them. So overall i would recomend this hotel to anyone looking for a good Hotel and good location and excellent cleanliness.	
Sep 9 2007	A good small hotel in the centre of midtown	I will keep this short as the hotel already has a lot of reviews on this site. The good: - Hotel is very clean - We had rooms at the back of the hotel (the twin rooms are at the back, the king at the front) and it was very quiet. Virtually no street noise which is unheard of in the area- Location is excellent (times square 10 mins, Macys 3 mins, Empire State 10 mins)- Rooms are a decent size - Staff are eager to help and friendly- Free breakfast and free water in the room each day. The not so good: - Facilities are little lacking, for example no bar, restaurant or room for getting changed once you have given up your roon on the last day- The road the hotel is on isnt that great at night... however it is literally a 40 seccond quick walk from seventh av so we didnt find this a problem. Overall we had a great stay and if you want to stay in the midtwon area this hotel is an excellent choice for the cost.	
Sep 7 2007 	Fantastic	What can I say that hasn't already been said,clean,big rooms,even our room with 2 doubles and a wheelchair to store,the staff were brilliant,they would ask you about your day where you had been all very pleasant with good personalities,ask if everything was ok no problems all of them from the cleaners to the desk staff,everybody would help you anyway they could.As for a former comment about being dark and scary,I was never scared walking down the street with my wife from wherever we had been in New York,I actually felt safer walking the streets at night in New York than in my home city of Manchester Uk.I would recommend this hotel to anybody,in fact I did today to a workmate who fancies visiting New York.If any of the staff read this reviews THANK YOU ALL,for making my stay,which was my 3rd visit so good.Didn't take any photos of the room as the photos on the hotel website are a true picture of the rooms and amenities.	
Sep 6 2007 	Wingate keep the word	I've booked my room in large advance for my 10 days vacation in NY; I've been in this wonderful town several times before and I know perfectly that in Manhattan you can fall in trap also in expensive hotels.This time I've carefully read all the valuable reviews posted on tripadvisor before any decision and thanks to them I've taken an excellent choice.Even if I'm Italian I write this review in English in order to make it available for a larger number of users; in this way I hope that my review will be useful as those I've read.The hotel is extremely clean and everything seems brand new: this is particularly remarkable in a city where often the hotels shows the signs of their oldness.My room was spacious and very comfortable (especially the wonderful bed) and I've appreciated the complimentary water (pay attention: only the water with the apposite label is free; the bottles in the fridge are with a fee of 5 dollars as you can read in the cap).Oddly there's nothing else in the fridge with the exception of the water: I've found this point a little bit strange actually.Unfortunately I've to confirm the main fault that other users have recorded: air conditioning is extremely noisy and I was compelled to turn it off; this can be a significant discomfort in the hottest periods of the year.I hope that the staff is able to read this repeated signal in the reviews in order to do something to solve this problem.The complimentary breakfast is really a bonus: generous, assorted and pretty good; appreciable also the 24hour gym (even if I've never taken advantage of it).Noteworthy the internet connection, not limited to high speed connection in room: there is a computer in the business center, with free connection for all the guests lacking of a laptop.Regarding the location I've to deny who spoke about a dangerous zone: the 35th street is not the most luxury part of the town and is quite dark and dull especially during night hours, but there's nothing dangerous here.Honestly I prefer all the midtown blocks placed beetween Central Park and Times Square, but only for their glisten appearence, not for safety reasons.Totally useless add other candid pictures, since all those you can find now are really trusty.Finally, considering the price I' ve paid for my king bedroom, 160 dollars per night, I can consider this hotel very good...it could be excellent with some slight improvement.	
Sep 5 2007 	A very very good hotel	A very very good hotel situated in an excellent location. Walking distance to Times Square and to the subway station too. We (4 adults) stayed in 1 non-smoking 2 double beds room. The room was quite spacious and clean. The attached bathroom was also clean and very nice. The hot breakfast was very good. For the location and the size of the room, the priced paid was very good. All in all a very good hotel.	
Aug 31 2007 	Fantastic! great staff and lovely room.	We went to New York in June on our honeymoon and trawled through hotel and hotel on this site to find one which didnt have bad feedback which I have to say was a hard task... this was the only one with no bad feedback so we booked it. We were not disappointed. On arrival the room was not ready and there was a little mix up with rooms but it was ok, sorted and they were professional and put it right. The room was lovely (we had a penthouse suite top floor with balcony) I can highly recomend one of these rooms, the bed was huge, the aircon whilst noisy in the day time was suprisingly quiet at night. The location is perfect for the first time New York visit as its round the corner from Macy's and the Empire State.All in all a fantastic hotel, no restaurant but hey its New York! and if you want to stay in the hotel they have a fantastic array of take out menus to choose from who will deliver to the hotel for you and the staff are happy for you to bring food in at any time.A great hotel and a trip of our lifetime.	
Aug 28 2007 	Ok by Day don't gou out at Night	We travel to NYC about every 4-6 weeks and have stayedin almost all the hotels. We have many of ourbusiness wholesalers there in the city. We likestaying near the Javitz and near Macys as it is walkable to the many things we do and less crowdedthan midtown near Times Square. We heardthe great reviews on Travel Advisor and decided to give this a whirl.Be aware that there is no bell hop at this locationand if you have a lot of baggage there will be no one to help.To catch a cab you also have no bell hop and mustgo down the block to Macys to pick one up, not sogood when hauling all your luggage. Otherwise youcan do what we did have them call a car for youto meet you at the front door. Rooms are smalland clean. Breakfast is nice but very very crowdedthey did not allow enough space.This hotel is located in the garmet district and after 6pm the place becomes dark and full of very interesting characters.Most of which you could do without gatheredin clusters. There is not a security guard onduty at this hotel either. No one outsidemonitoring anything.There is very very little light while walking backto the hotel after dark and allthe business that surrounds the area is closedwith their garage door down and clustersof men that are gathered around.It is only about a block and half from Macys butafter dark it is a long long walk! DId not feel safe at allthere. If you are traveling alone or with another womanI do not recommend staying there if you planon going out after dark. Before dark is fine.For the money The Radisson is in a much betterarea with lots of light and lotsof security and it includes a bell hop and easy access to cabs .	
Aug 27 2007 	Two Thumbs Up!	This hotel is great! I am picky, especially about cleanliness. Rooms were spotless and large, wifi was great, and AC worked well. Breakfast was more than I expected as well. I will be staying here the next time I visit NYC.	
Aug 27 2007 	Little Gem	I came accross this hotel while visiting New York with a friend last April. We were not entirely happy with the hotel we booked and another tourist we were chatting spoke very highly of her stay at the Wingate. We called into the hotel to enquire and they told us about a special rate that had just been advertised, $120 for the room, very reasonable for NY! The staff were extremely helpful and pleasant and could not do enough to assist us. The room was beautifully decorated if a bit small. A twin room consisted of two extremely comfortable double beds, good sized bathroom, tea/coffee making facilities and a microwave. Internet access was free and very fast which does not seem to be common in NY hotels.I would highly reccommend this hotel, it is close to all the action and shopping, I would definitely try to stay again on my next trip to New York.	
Aug 24 2007 	Great hotel	I can only confirm all the positive things that have been said so far about this hotel.A few minor points:- Slow elevators. I once spent over 5 minutes waiting for one.- Breakfast area can get pretty crowdy. - Loud A/C.Overall, a great hotel. Relatively quiet yet central location, close to the ACE &amp; 123 subway lines (Get a $24 unlimited metrocard if you stay a week!).	
Aug 23 2007 	Great budget hotel	We had 2 rooms at the wingate, one for my parents and one for my husband, 18 year old son and myself. Both were comfortable well looked after and none of us had any complaints. The staff were always on hand and always keen to help. The position in the Garment district is great, most things being within walking disatance. The view and the street that the hotel is on are not particularly inspiring but then that is not what you are going to New York for I would assume.Breakfast was brilliant and the 'cook your own waffles' was fun.Complaints from previous reviewers re the scarabbled eggs were interesting. The hotel has wither reviewd its egg supplier, changed its cooking method or some people are just to darn fussy because all 5 of my party could not see a problem. The fact that the room price included breakfast was good enough for us!!. I would recommend thsi hotel to friends and I would go back.	
Aug 22 2007 	The Best Deal In Town	My wife and I stayed at this hotel for two days (8/19 - 8/21) and after scouting out the other hotels we were going to book with, we are convinced we got the best deal. We had wanted to stay at three other hotels and actually canceled on one after reading the reviews for this hotel. We were not disappointed. Our room seems brand new. The fixtures, toilet, sink, tub, countertop were all premium quality and spotless (no mildew even under scrutiny). The bed was extrremely comfy. The sheets / bedspread were spotless and premium in feel. We also had a fridge and microwave! Wow.We really appreciated the fact that so many things were included in the price at no extra charge: internet access, business center access, bottled water, luggage hold (because we arrived too early), and free hot breakfast (unheard of!).Finally, the staff was extremely helpful. They gave us great suggestions for food and directions.Our only complaint is that the air-conditioning fan is fairly loud. But man, does it do the job. It cools down the room in five minutes flat.There is no question we'd come back to this hotel again.	
Aug 21 2007 	Wingate- it's a winner!	We stayed at the Wingate for 4 nights with our teenage children. The Wingate is located smack-dab in the garment district, which means that it is fairly quiet at night when you need to sleep. The hotel is very clean and well-maintained. The rooms are a good size for Manhattan, and ours included two double beds, a large desk, microwave, small refrigerator, flat-screen television, and a generously sized bathroom. A deluxe continental breakfast was included each morning in a lovely room at the back of the hotel. The location is perfect- 35 th street just west of 6 th avenue. I was kind of shocked at how nice the staff were- some of the people in the stores in New York tend to be rude. This hotel is extremely good value for the money. We are so pleased with our stay, and we will definitely be back!	
Aug 20 2007 	Excellent Value	We stayed at the Wingate of Wyndham for 5 nights and would stay there again if we return to NYC. It is very centrally located and close to Penn station which is very handy when catching the 7.15am train to Niagara Falls.The room was very comfy and spacious with an awsome shower. The only downside is that most rooms have an air vent which is quite noisy. Staff were very helpful and were able to recommend a restaurant close to the hotel when we arrived quite late in the evening.The breakfast spread was quite impressive with the waffle makers in high demand. Get in early or you'll miss out. We paid $US290 per night (taxes included) which I thought was a bargain for this standard of hotel in August.	
