	A very good choice	The Stanford is well situated in Korea town, close to Macy's and good shopping. Although we were in NYC on business we also had some downtime so we were able to enjoy the delights that the city had to offer. The rooms are on the small side, and there is only one elevator but this did not present a huge problem for us. The bathroom was clean and the sheets and towels smelled freshly laundered. We were at the back of the hotel so we overlooked other windows but this did not present a problem either as it was quieter than being street side. If you craned your neck you could just about see the sky so you were able to see what the weather was doing and dress accordingly. Breakfast was bagels, doughnuts and other carby things - buns, rolls, toast etc, but this was ok too. The staff were very helpful and pleasant. As this is in mid-town we did struggle to find restaurants other than Korean ones which stayed open late.	
May 21 2007 	great place to stay... if you're homeless!!	Where do I start?! Hotel's website looked great... price wasn't too bad... booked online.. Check in is at 3:00pm.. upon arrival.. they told us our room wasn't going to be available til atleast 3:45.. not so conveinant when you have your hands full of bags and places to be!! After arguing for a good 10minutes... they said they could give us another room.. (by this time ... our bags were already in the room we were supposed to have!) so we switched rooms.. after the hassle.. the manager said he would extend our check out until 3pm the next day.. which was a plus- or so we thought!! We had reserved a non smoking room.. and the room they moved us to definatly had the lingering stench of old stale cigarettes! It was discusting!! The room was an oven.. with no way to contol the temp... we had the a/c cranked and all that was coming out was hot air!!! The shower had no water pressure .. and it was close to impossible to try and control the water temp.. i took a lovely scolding hot shower!! We got back to our room the next day around 2:15pm.. and to our suprise.. we were locked out!!! apparantly.. when they decided to give us late check out because of all the OTHER PROBLEMS... they never thought to reset our card to let us into our room til 3:00!!! Over all.. the whole hotel situation was a complete nighmare!! It was not clean.. you could not understand the staff... and it was just a big incoveinance... I would not reccoment this hotel to anyone... unless of course... you're homeless!!!!!	
May 6 2007	LOCATION LOCATION!	A block from Macy's, two blocks from the Empire State Building. What more could you want for under $240 in New York. From April 19-25, 2007, five of us split a suite that had two double beds and a pull-out couch. When we discovered the couch's mattress was thin and lumpy, the staff quickly brought in a cot that did the trick. Our 5th-floor room was clean and had a surprisngly big bathroom and good shower pressure for five women! The in-room safe was a bonus and the only thing missing was a coffee maker. Luckily, we noticed online that it didn't come with one so we brought a small one. The breakfasts needed more fruit than the apples and bananas (that disappeared fast) and the staff's reluctance to let us take trays back to our room instead of dining inside was annoying. It's not easy carrying a cup and flimsy paper plate! Other than that, staff was helpful and quickly filled our requests for more towels and ice.The windows partially opened, but a few days of hot weather made the room stuffy and the air conditioning -- if there was any -- didn't work well.Our first room was mistakenly non-smoking so we were switched the next day. It didn't face the street like the first room and that was great -- no honking horns throughout the night! Sure the elevator was small, but no big deal to wait or take the stairs. I'd recommend the hotel to budget-conscious travellers who want a convenient location.	
Apr 15 2007 	Exceeded Expectations!	We checked in Monday 4/9 and were shown to a lovely, large-ish 5th floor room at the front of the hotel, facing 32nd St. The big &quot;S&quot; in the hotel stanford sign was just outside our window, but the curtains were more than adequate to block the light at night. Our room was a king deluxe (with sofabed). The room was tidy and clean, and very comfy. Bath was large and exeptionally clean, which I appreciate!Heating was not an issue, it got cold outside and our room was warm but not too much so. Windows opened, which we loved. Hotel staff were awesome - we asked for extra pillows &amp; blankets &amp; received same quickly &amp; with a smile. We were prepared for long elevator waits, only 1 lift for the whole place, but this was not a big problem. Toughest was getting a ride down, and we took the stairs down often as not rather than wait. Never had a wait going up, and had no problem getting the elevator DOWN on check-out day with all our bags.Cafe Muse downstairs for coffee &amp; pastry was very nice. Prices higher to dine in, FYI. Never did try the breakfast offered in the 2nd floor lounge, Maxim. Didn't find any karaoke in there, to our dismay! Guess it's quiet mid-week. Front desk staff were wonderful. I knew Korean was the first language in this area, and was prepared for that. The hotel's Korean restaurant, Gahm Mi Oak, was very nice. NEt Zone across the street offered internet access with hotel coupon $2 for 40 minutes. Can't beat it. Did not encounter any issues mentioned in previous reviews about blocked fire exits &amp; fumes, tho I confess I was concerned after reading the February 07 reviews! No such problems AT ALL. Checked out Thursday AM with NO COMPLAINTS. Great neighborhood, excellent hotel staff from front desk to housekeeping to bellman. Held our bags after our checkout on Thurs &amp; helped us get a taxi &amp; load out later that day. We had a great experience &amp; would be happy to stay here again.	
Feb 28 2007 	Strong petrol fumes blocked fire exits!	We booked the Stanford having read average to ok reviews on a few websites, and given the excellent location and price.We checked in during the evening to be given a tiny and shabbily decorated double double room. After a request at reception we were moved to the 11th floor with no questions, although the room was stifling (with no offer to adjust the room rate as we were downgraded to a queen room, which had not been available on their booking site). We noticed the extremely strong fumes in the lobby and lift shaft, but put it down to something outside in the street that day.The bathtub in the new room didn't drain for several hours, the fumes were consistent and actually stronger throughout the night (they came into the room), and the heating could not be turned down. To cap it all off I noticed that the fire exit to the end of the corridor had been blocked by three mattresses - and in the morning my husband found out that the only other fire exit had also been blocked by furniture. The excuse given by reception for the fumes was that the boiler/boiler room had been cleaned out the day before. The Reception manager actually had a conversation with a porter saying &quot;can you smell anything? No? Me either&quot;. The exits had been blocked due to building work on the 12th floor. We checked out two nights early and moved to the Radisson next door, which was slightly more expensive and infinitely better.	
Feb 27 2007 	I will not stay there again	I stayed at the Stanford from Febuary 20-22. I've stayed before for business, because the location is great and the prices are unbeatable. However, this time the hotel was unberable. The room was extremely hot and dingy. The bathroom floor had hairs on it and the tub had a ring of soap scum around it. On my second night I encountered a huge roach that crawled right across my bed. I called the front desk and they offered to kill the roach. After a few minutes of arguing they gave me another room that was so noisy and unkept I didn't sleep the entire night. I will never stay here again and I would advise spending a little more for a guarenteed clean and bug free room.	
Feb 27 2007	Location but low quality.	Location is excellent for this hotel, right next door to the empire state, macys, and broadway. Cheap taxi ride to anywhere on the island.Downside is the quality of the hotel. We had a junior suite, the room was very hot, even with the heating down to a minimum. The radiator banged and clonked during the night, the room was full of static electricity, which may not sound a issue, but it was!! The beds were old and made out of metal, bathroom was ok, shower and taps etc very old.One lift, this was not really a huge issue, you just had to wait a few minutes.Hotel lobby staff were good, addressed issues, ordered taxis, etc Overall the location is excellent, room is poor.Many thanks	
Feb 25 2007 	A great bargain in NYC	The Good:Big Room with a couch and renovated bathroomGreat LocationVery Friendly StaffThe PriceThe Not So Good:The room was so hot that we slept with the windows half open (it was 25 degrees outside) and it was still 75 degrees in the room.It is on a block known as Little Korea so every newspaper was Korean as was most of thhe staff, so communicating was a bit of a problem.	
Feb 25 2007 	I wouldn't recommend it...	I stayed at the Hotel Stanford for one night in early February 2007, it should have been three but I moved out after one night.The main problems for me were banging pipes so loud that I found it impossible to sleep, a room that was very warm with no means of turning the temperature down and a petrol-like smell that was in the lobby and corriders (which I could also smell in my room).Location is good, but that is the only thing really going for it. I complained at 6am when I could bear it no longer, but still I had to pay in full for a sleepless night. I'm not much of a complainer, but my minimum for a hotel room is the ability to sleep!!	
Feb 16 2007 	Location Location	I stayed at the Stanford in Nov 06. I couldn't fault the hotel or location. When you are budgeting for a trip to New York, look no further. You can reserve the suite for as little as $249 a night and it takes 5 people very comfortably (2 double beds and a pull out couch). The bathroom is not very modern, but the room was very clean and spacious. The location is amazing, right across from Macy's and a 5 min walk to Times Square. Right in teh centre of everything. The staff are not very approachable, but since we only spoke to them when checking out, we didnt care!! Anytime we needed extra towels or ice or anything at all, they were delivered promptly. The hotel itself looks a little shabby but it is clean. There is only one lift but with everyone out for the day, i never had a problem. I would thouroughly recommend this hotel.	
Feb 15 2007	great value	Best rates compared to similar hotels in the area. Clean, safe, not many amenities or perks, but who cares? Great,convenient location suitable for leisure travelers who are not going to spend a lot of time in the hotel. The only negatives I can think of were the following:Low water pressure in showerRoom was too warm, no way to regulate the temperature.Only one small elevator in the entire hotelRegardless, I will come back and recommend it to others.	
Feb 11 2007	Great Find	This is a great hotel for downtown NYC. Location: You're less than a block from the Empire State Building, two blocks from Penn Station, and practically across the street from Macey's. Price: I paid less than half of what people were paying in the next hotel over. I booked through the Stanford's own website, which was cheaper than any of the Hotels.com-type sitesService: Excellent. The staff was definitely geared toward international customers, so don't expect any trouble with that.Rooms: Small, but quite livable (what do you expect in NYC?). They're recently renovated and very clean.Caveats: Don't plan on sleeping in, as they have an extra charge for checking out after 10 a.m., which increases the longer you stay. Don't expect much of a view, either; ours was over an alley. The thermostat in our room was broken, so when we arrived it was uncomfortably warm, but opening the window for ten minutes solved that problem. All in all a great hotel.	
Feb 8 2007 	Good value hotel with brekkie and karaoke!!	Good value hotel in a great location 30seconds from the Subway, 5mins from Macy's and the Empire State.This hotel is right in the middle of Koreatown and is Korean run.Whilst this hotel doesn't provide luxury, you get a decent sized clean room with breakfast (bagels, donuts, toast, juice, coffee, fruit, instant Korean noodles) thrown in!There is a small bar which seems to specialise in Jazz and Karaoke. We went quite late on the Friday night and it was incredibly friendly and good fun, with good quality jazz and appalling quality karaoke (except ours obviously!)Seemed to have a few regulars, mostly musicians who popped in as the night progressed.In response to some of the earlier reviews, there is only 1 lift and it was a little slow but hey we were on holiday so why rush?The room was hot initially but the room had a thermostat whihc worked and we were able to open the window. (that said it was -15 outside so we were glad of a bit of warmth!)As I said this hotel doesn't provide luxury ( when I say above average I mean for the price) but it you are going to see New York, and not the inside of your hotel room give this hotel a go.	
Feb 7 2007 	Excellent Location	Stayed here for 6 nights in September 06. The location is excellent with the Empire State and Macy's literally round the corner, about a 10 minute walk from Times Square and it has a subway station at the end of the street. Friendly &amp; very helpful staff, clean rooms that are serviced every day. Rooms are small and basic but for the location and the price it's a great place to stay. No complaints at all, would recommend it.	
Feb 1 2007 	Do it for budget reason only	I stayed in this hotel for 2 nights only. A double bed non-smoking room that came to about a little over $310.00 for a couple nights. The front desk agents and the doormen were very nice and friendly. They always smiled at you. Unfortunately, as soon as I entered the hotel, there was this strange and unpleasant smell in the lobby, which I later found out it was also in the elevator and the hallways. In fact, the whole building reeked of it! The odor was similar to a mixture of gas and cigarette smoke. By the way, they gave you a breakfast coupon upon check-in. I did not have breakfast at this hotel, so I don’t know what kind of breakfast food they provided. The elevator was very slow. If your room is only on the fourth floor or lower, just take the stairs. It’s faster that way.The hallways were small and narrow. There was not enough room to stretch your arms.My room was up on the 8th floor and just might be the smallest one in the hotel. Or maybe all double bed rooms were that small. The bed was OK, a little bit too firm for me. There was a small TV with basic cable and a VCR in the room. A decent size of desk and a refrigerator in the closet. If you need to use iron and ironing board, you will have to request housekeeping to provide them. There was also a small safe in the closet, which I didn’t use. Window was small and the view outside was nothing spectacular and I could see a parking lot in the next building. I actually like the bathroom. It was small but very neat. Your basic toiletries were there – soap, shampoo, shower cap, and there was this small toothbrush and toothpaste sealed in plastic wrap, which I don’t recommend using.Now major complaints with my stay in this hotel:1. There was this LOUD clanking noise coming from the heater. It sounded like there was actually a construction in my room! The noise was sporadic. You could hear it a few minutes in the mornings, afternoons, and evenings.2. The room was actually too warm for me. You’d think since it’s winter you wouldn’t be needing A/C. I had to open the window because it got too hot in the room and I couldn’t turn off the heater. I think the control was actually broken.3. There was not enough light in the bathroom and the bedroom. Ladies, if you need to put your make-up on in this kind of light, forget about it. 4. Did I mention about the smell in the elevator and the hallways? Plus, it was a non smoking room, but somehow I still could smell it. If you’re on a budget like me, then by all means, stay at this place. If you’re not hard to please, then you’d be fine at this hotel. Besides, the location can’t be beat. It’s in midtown, 3-4 minutes walking distance to Macy’s, Manhattan Mall, Victoria’s Secret, etc. Less than 10 minutes away (walking) from Madison Square Garden. And the subway stop (N/R/W/Q) was literally a few steps away from the hotel.But if you have some extra money to spend, please find another hotel. By the way, the Lincoln “taxi” cabs out front charged less than others. Most drivers I saw were Korean (makes sense since the hotel was in Korea town). The trip to JFK only cost $45.00 plus toll fee (about $4.00) and tip. I’ve taken these Lincoln cabs where they charged $60.00 to $80.00.	
Jan 4 2007	GREAT VALUE HOTEL	Stayed at the Stanford from Dec 28th - Jan 2nd. Overall very impressed with the hotel considering the price. Great location and very clean room, good sized bathroom. Breakfast was also more than adequate. Room did get very hot during the night, but nothing to complain about. Would rather be too hot than too cold!	
Jan 2 2007 	Excellent Last minute Find	We stayed in this hotel November 4th 2006 for 4 nights. Due to the marathon being run the same weekend, rooms were hard to find at a reasonable rate.After reading several reviews on this web site I booked our stay. What a very well run, clean hotel. The staff were friendly, the rooms were very well maintained each day. The adjoing restaurant and coffee shop seved excellent food. The loctaion of the hotel is perfect for exploring the city and is centrally located with a very short walk (1 minute) to the underground, Times Square about 20 minutes walk, the Empire State Building is in the same block and is a couple of minutes walk away.In previous reviews people have mentioned that the elevator is too slow, it is slower than modern elevators but whats the hurry? take it easy and remember that this is an old building and once you enter the street the pace of life speeds up ten fold, so it's nice to have a nice relaxing enviroment. The heating was also mentioned, it is very warm however I did find the control located behind a cover at the side of the radiator which cooled the room down to a more comfortable temperature.I have stayed in numerous hotels and even the more expensive ones have flaws which you wouldn't or shouldn't expect for the price you pay.The Hotel Stanford gave excellent value for money and exceeded our expectations and I would definately return there in the future.	
Dec 24 2006 	Big Room	We normally aim for shared bath hotels but couldn't find one with rooms available and the Stanford was about the cheapest hotel we could find with good reviews.We paid at $219 for a very large room -- I'm thinking they call it a King Suite. Given that our flight was 5 hours late and we arrived at 1am, I would be lying if I didn't say it was nice having the bathroom in the room!The hotel is in the Korean part of Manhattan very close to Macy's. The staff is all Korean. Personally I think it's pretty cool seeing and being in the little neighbors within NYC.Our room was right on the street -- next to the hotel's sign. A bit noisy the first night but didn't hear a thing the second.The bed was very comfortable. The room was huge. Lots of hot water in the shower. There is a subway stop right at the corner.Big complaint is the elevator situation -- there is only one and in the morning it always fills up with people and their luggage from higher floors. We gave up and bounced the luggage down the stairs.	
Nov 23 2006	good for last-minute	This hotel is nice enough for last-minute, if you decide right before coming to New York that you will be staying at a hotel. It's nothing special--the tiles in the bathroom are a little dingy, the bedding is suspect/yellow, and the television has bad reception. But the rooms are spacious for New York and there's nothing outstandingly repulsive about this place, which is good for New York. Overall, I'd go some place else if I had an extra $100 to spend on hotel stays or I plan to be staying awhile in New York.	
Nov 10 2006 	Could be better!!!!	We have just returned from a 7 night stay at Stanford Hotel.The hotel was very centrally located and you could get to most of the tourist attractions by walking or taking a yellow cab (which was relatively cheap). The staff were very friendly and helpful and answered our questions when we needed help.If you are going soley for shopping the Hotel is 5 minutes away from Macys (where there were a lot of baragains).The hotel offered a complimentary breakfast. This was a good way to kick start the day.However, on the day we arrived the intial room we were allocated too was a smoking room, which was very dirty and needed a thorough clean. However, when we informed them that we requested a non smoking room our room was changed the next day to a room on the non smoking floor. (Rooms are only allocated depending on avaliablity, so even if you request a non smoking room it doesn't mean that you will get one when checking -in).The non smoking room we stayed in was very clean and cleaned each day to a high standard. The room temperature was very hot and this was controlled centrally in the hotel, which meant that you could not turn down the temprature in the room. The room air conditioning unit was of little help when the tempature was high.The greatest pitfall of the hotel was the elevator. The hotel has only one which was highly inconvienent and took time to arrive when called for.	
Nov 8 2006 	Great Hotel	We just returned from the Hotel Stanford. We had a King Suite with a sofa bed. Our room had been renovated and was very nice. Huge bathroom. We were on the 11th floor. The only complaint I had was it was very hot. We called both nites to have the heat turned off and the air turned on. The continental b'fast was very adequate and the staff very nice and helpful. Told us which subways to take, sold us tickets for the Empire State Building so we wouldn't have to stand in line. Great location. Very good value.	
Nov 2 2006	Good value nice hotel good price	For a reasonable price (but a NY price) you get a nice and clean room in a very centric area. Very recommendable, I will go back when visiting NY again.Only BUTs: although the rooms are spotlessly clean when you arrive, little cleaning takes place during your stay (2nd day, 3rd day). Also upon arrival, strange smell in the rooms, some kind of pipeline smell. Later you never notice it again.	
Oct 24 2006	2nd trip Not Impressed	I should have remember the first time, no air conditioning! You would think in October you wouldn't need it, but at 80 degrees in the room, you do. Staff very friendly, bedding very old and dingy. Breakfast is very limited, but excellent location.	
Oct 15 2006 	A great find!	Friendly, clean, hospitable hotel in a great location. For the price it offered everything we needed for a girls shopping weekend. Also had twin rooms available, these had seemed a bit scarce in the cheaper hotels when we were booking. View from window was a brick wall but we weren't there to spend time in the room and the room was spacious enough to parade and store the bargains from our shopping trips. Easy to walk to many places of interest and there was a subway very close that allowed us to explore further afield. The lift was not a problem for us and we didn't need to wait very long on any occasion. It was small but comments on this site had led me to expect something much smaller.Reception staff helpful and they sorted out a shuttle bus for our return to the airport which saved us money. Breakfast was a bonus with reasonable variety to kick start our day.We both felt that the hotel was safe and we would not have any hesitation in staying there in the future.	
Sep 28 2006 	Great Hotel Excellent Location	We had originally booked the Thirty Thirty Hotel but after our Sunday newspaper investigated it we cancelled and spent ages looking for another hotel on Trip advisor - We eventually settled for The Stanford.After reading some of the reviews I was abit nervous but I was really surprised - Yes its in the middle of Korea Town (basically just the street is on )but only a short walk to the end of the street and your in typical New York. The hotel staff were friendly and the lift wasnt that bad, ok we had to walk down the stairs once but not bad for 5 days we stayed there. The room was spotless and the bathroom was immaculate. Only downfall was our window looked onto an alley and the window was dirty but we were to busy out enjoying New York to care.New York was fantastic and cant wait to go back - The hotel is perfect for exploring with the Empire State Building just around the corner and a subway at the end of the street.I would certainly recommend this hotel and would go back to stay.	
Sep 25 2006	Not bad at all!	The staff was friendly, rooms clean and of decent size. The location was pretty amazing - especially for the price. I would definitely stay at this hotel again.	
Aug 17 2006 	Good but doesn't feel like New York.	As I say in my title, it was definitely good in most aspects. Comfortable well furnished rooms, included a small fridge and we were lucky to get a room at the rear top floor with probably one of the best views in the hotel (over the roof of a smaller building to the shopfronts on the next street - but better than straight into a brickwall as in some hotels!). For the price and based on my previous stays in NY hotels, I was very impressed with the type of furniture in the room and the cleanliness and the included breakfast.The lift is PAINFULLY slow. We were on level 12 and I once took the stairs all the way down faster than the lift! (elevator)The location is reasonable. It's central, but we stayed in another hotel that I will rate as a better location (for tourists) and also better all round even though it was cheaper and a lower rating. This is quite a few streets below Times Square but it is literally 5 metres to a subway station that has two lines running through, so that makes it up.The other let down was as I say in my title - &quot;not very New York.&quot;As with other reviewers, I won't fault them on their service. very attentive and eager to help - and I had several out of the ordinary questions for them and a package delivered. All handled well.But this is New York! I expect loudness, arrogance and a bit of attitude. When we arrived and walked in, I was instantly disappointed. No bustling atmosphere and the staff had VERY thick accents, sometimes hard to understand. (This hotel is in the middle of Korea town). The hotel was also heavy with international tourists and this is not a problem of itself, but I wish I'd known before. I was expecting to be in a hotel full of loud Americans. For New York atmosphere, the hotel we stayed in later compares ten times more favourably than this.Sometimes at breakfast the waiter would talk cheerfully in an Asian language to Asian guests and then respond nonchalantly in muddled English to us. I found this disconcerting - I expect all guests to be shown the same level of service and attentiveness.	
Jul 16 2006	A Very Very Enjoyable Stay!	In July, my friend and I stayed at Hotel Stanford for 5 nights for our vacation. We had a lovely stay without any problems. The front desk staff were very helpful in asking our questions about getting around New York. We had a room with 2 twin beds, tv, mini fridge, phone, and a clock radio. The beds were very comfortable and the room was very quiet (we were on the 9th floor). We requested an upper floor since we were afraid the noise from the karaoke lounge on the 2nd floor would travel to our room. Unfortunately, we had a view of a brick wall but we didn't care. There was daily housekeeping - beds freshly made and fresh towels were given to us. We requested an iron and ironing board without problems. On our last day, we did not receive fresh towels so we requested them from the housekeeper on our floor. She was so apologetic about her slipup that we gave her a tip for delivering the fresh towels. Overall, the room was clean and tidy once we came back from our daily outings.The big bonus is the complimentary breakfast in the morning. There was plenty of coffee, tea, cereal, milk, sliced breads, bagels, sweet pastries, juice, and fruit. We even saw Korean instant noodles! The hotel is located in the middle of Koreatown. Thus, you will see a number of Asian clientele. Absolutely delightful since food in New York is rather expensive. The breakfast staff was very polite and helpful. The hotel is very close to the major sights like Time Square, Theater District, Macy's, Empire State Building, Fifth Ave shops, and Penn Station. The subway was only a few steps away. There was a great 99 cent shop nearby which provided us with cheaply priced food, cold drinks, and toiletries. A big bonus for tourists!There are some minor annoyances. There is only one elevator in the hotel. You need a lot of patience to wait for it. We took the stairs when heading downwards. The shower pressure isn't as strong as I would have liked but it works well. Overall, we had no problems whatsoever with the hotel. I think it's a little gem that needs more advertising amongst the highly expensive New York accomodations. We will definitely stay at Hotel Stanford again.	
Jul 11 2006	Great place to stay--Hotel Stanford NYC	In June, my 2 college-aged daughters, myself, my friend, and her college-aged daughter stayed at the Hotel Stanford. We were very pleased with our stay. The location was the BEST! Close to many things. We walked to Times Square, Rockefeller Center, Empire State Building and even Central Park to name a few. A subway station was close by which we also used. We had no problems with check in and check out. The room we had consisted of 2 double beds, a couch that rolled out, and a small refrigerator. There was plenty of room for all 5 of us. The bathroom was also clean. When we called for extra towels and washcloths and they were always promptly delivered. We had the continental breakfast which was ok. It consisted of pastries, toast, bagels, cold cereals, and some fruit. Get there early for the best selection. On our last day our flight did not leave until 7pm and they locked up our luggage after we checked out which allowed us a few more hours to tour the city. We felt very safe staying there and touring NYC. We had a great time and I would definitely stay there again.	
Jun 17 2006	Great in many unexpected ways!	Just returned from a very pleasant 6 night stay at the Stanford. This mother-daughter trip to NYC was a graduation gift to our daughter. Shopping, sights, and shows were the focus of our trip - and we wanted a hotel that was conveniently located, safe, and clean. Not only did the Stanford meet our expectations, it exceeded them. How so??? Two reasons ... #1) The STAFF were amazing. Everyone from the front desk staff, to the doormen, to housekeeping was responsive to our every request and eager to offer assistance. On one stop by the front desk, my daughter asked about where she might get a hair appointment in the neighborhood. Without hesitation, the desk clerk picked up the phone and arranged an appointment with her stylist for that same day. On a daily basis, the staff provided us with information and assistance that made our trip go smoothly. #2) The LOCATION - on 32nd W between Broadway and Fifth Avenue! Subway station at the corner, Macy's around one corner, the Empire State Bldg around the other --- and, an added bonus for our Korean-American adoptive family ... the Stanford is smack in the middle of Koreatown! Wonderful Korean restaurants and shops all along 32nd St. Within a day of our returning home, we were recommending the Stanford to others in the Korean-American adoptive community. We'll definitely return to the Stanford.	
May 29 2006	Overall good hotel	Overall good hotel for NYC,excellent location very clean rooms and a nice bathroom.	
May 2 2006	Good deal!	My friends &amp; I booked this hotel for our April visit to march in the protest. We got one of the larger rooms, for 3 (two doubles &amp; a sofa pull-out). Check-in was quick &amp; easy. The room was clean, comfortable, &amp; quiet. My only complaint was the very slow elevator. It was also larger than the room we had at the Avalon when we stayed there in February. The hotel is in the middle of Korea Town, between Broadway &amp; 5th Avenue on West 32nd Street. Although it offers a free breakfast, we never ate there since we either got up too late or had to be elsewhere at breakfast time. The Brooklyn Bagel Cafe on the corner of 5th &amp; W. 32nd is a good place to stop &amp; they have 2 internet terminals upstairs where you eat. The Empire State Building is around the corner. There are 2 drugstores &amp; a Starbucks (if you must) within one block of the hotel on 5th Avenue as well. For an interesting cultural experience, get the body scrub &amp; massage combo at Spadium a couple of doors down towards Broadway from the hotel. :) Apparently they don't get too many Americans because one of the guests spoke with me in the sauna &amp; asked how I liked America.	
May 2 2006	worth the price	I just got back from NYC after staying at the stanford for 4 nights. It was pretty much what I expected. The rooms were decent sized..and it was clean. Nothing fancy or extra but fine for getting ready in the morning and sleeping at night. The staff was very helpful and nice. The breakfast in the moring was good..a lot of bagels and bread...I wish there had been some fruit or other things like that...but it was included and got us on our way. I would stay here again if I was looking for a budget hotel.	
Apr 19 2006	great hotelbig rooms	stayed for 6 nights in the stanford hotel.our room was a deluxe king size with a huge bed and a real comfy seating area with sofa bed, if needed.great bathroom,black marble tops and sparkling clean.tv,video and fridge plus an in room safe.our room was 805 at the front of the hotel.free continental breakfast was very handy but you need to get down early as the room is small.staff couldnt be faulted,polite,helpful and held bags for 3 hours prior to taxi to jfk.we were well pleased with our stay,room booked direct with their website for $1238 all in.good deal for such large rooms in manhattan.my only minor gripe was that the bar lacked any atmosphere,this is a problem for most of us irish!go ahead and book,its dead on!	
Apr 12 2006	Close to Empire State	Stayed in the stanford for 5 nights and thought was generally good. We were on the 3rd floor so the view from the windows was a brick wall. This however was not a problem for us. There was a bar on the 2nd floor and I was surprised that no noise travelled to the room. Complimentary continental breakfast was great, bathrooms were very clean and overall the room was not a bad size. The hotel was very close to both The Empire State Building and Macy's. I would not hesitate in staying there again.	
Apr 12 2006	Great Hotel-Slow Elevator	We arrived and the service was excellent. Our room was spacious with a large bathroom. Water pressure was perfect...the place seemed quite clean but older. They provided a fine Continental Style Breakfast which was perfect for us and saved us many breakfasts out. We were surrounded by primo Korean restaurants..and we never went wrong going to them. Our only complaint was the lock on our door. It would never work with our &quot;credit card key&quot;. Almost everytime we came back we needed to go to the desk and get a new key. The price was within our range...the last time we went to New York we stayed in Queens and took the bus or the subway into town to save money. This was a splendid place...we could afford it &amp; we could walk everywhere. Greeley Square was beautiful and Times Square and the plays were only a nice walk away. The day we left, a Sunday, 7th Ave. was shut down for a street bazaar and we did wonderfully...got a pair of silk king sized sheets and other things. Excellent!!	
Apr 8 2006	Excellent base for a long weekend in New York	My daughter &amp; I have just returned from a perfect long weekend in New York. Too perfect infact which made going back to work even harder! We had a spacious twin room located at the rear of the hotel (with fridge, safe &amp; a lovely bathroom)which was very warm and the only noise that could occasionally be heard was traffic sirens. Ok it wasn't a room with a view but then again - Skyscrapers and tall buildings are all part of New York arn't they? The staff were very helpful and the guys serving breakfast in the breakfast room always had a smile on their face and were very courteous. The Breakfast choice of cereal, fruit and pastries certainly suited our needs. There are lots of moans and groans on tripadvisor about this hotel but when booking the Stanford Hotel, I booked for a warm, comfortable, clean, atmospheric base in a central location for the sights and shops and I certainly got what I paid for. For those looking for real 5* accommodation in New York - Remember you have to pay for it!! The Stanford Hotel was an excellent find for everyday comfort.	
Mar 16 2006	A hidden gem.	Just blocks from Madison Square Garden, a block from the Empire State Building. This is a great place to stay for an incredible price.	
Mar 15 2006	The location is OK.	I used Trip Advisor extensively to research our wedding and honeymoon and thought that it would be a good idea to give feedback.We stayed at the Hotel Stanford during the Blizzard of '06. The heating in our room didn't work at any time. We asked and asked and asked and asked for it to be fixed. Five nights without heating in the middle of winter isn't a good epxerience. One day, there was a smell coming out of it, but no heat. We were so cold, we would wake up in the middle of the night shivering. My husband kicked up a bit of a fuss, but to no avail. We both ended up with head colds from staying here - just in time for our wedding! I wouldn't stay here again if it were free.	
Mar 10 2006	Friendly 	Spent 3 nights with my daughter at the Hotel Stanford. Had read the hotel was in Korea Way and was not sure what to expect - I needn't have worried, everything was fine. The hotel is run by Koreans and there were many Korean/Asian guests there, as well as plenty of Americans and Europeans. The reception staff were always helpful and polite. I had tried to ring a friend on a local number from the room but after several efforts still couldn't get through - went to reception to make sure I wasn't charged and the member of staff said because I'd tried more than 3 times it automatically charged me. However, he could see I wasn't lying so he deleted the charges from my bill and even rung the number for me from reception and handed the phone over - I didn't get charged at all! We left our bags in the secure area at reception on our last day and this was no problem either - just gave the concierge a well-deserved tip when we collected them.the hotel is very convenient for all major sights - ESB and Macy's just a few minutes walk; also Manhattan Mall and Penn station. We walked pretty much everywhere - right up to Central Park but also used the subway to get to Greenwich Village and South Ferry to go to Ellis Island. Had no problems and there's a subway station just a few steps from the hotel. There's also a little cafe right next door for your coffees &amp; hot chocolate &amp; cake! The breakfast is basic: cereal, bagels, pastries, juice, tea, coffee and some fruit available. It's served in the small bar area so can get busy if you go at the wrong time! All served on throwaway plates/cups as they don't have a restaurant - but this is not a problem and the atmosphere is very relaxed. There's only one lift but we didn't have to wait too long ever. No view from our twin room, but the room was very spacious for New York, as was the bathroom, and everything clean and tidy. The best thing was there was no traffic noise from the room which meant a good night's sleep after all that sightseeing and shopping!Would definitely recommend for the price range.	
Feb 26 2006	Very psitive experience would stay there again	My husband and I visited NYC for the Westminster dog show in February and stayed at the Stanford Hotel on 32nd street. We had asked for a non smoking queen and when we got there they only had a double which we took for the one night. They told us we could change to a larger room the next day which we did. They gave us a lovely king sized room with a sitting area which was nice and it had a beautiful bathroom. The staff were extremely friendly and helpful.We found the rooms to be very clean. We enjoyed our stay very much and would definately stay there again.	
