	location is everything	i will agree with some of the earlier posts ,The decor does look slightly tired ,It could possibly do with a facelift ,BUT the location is superb ,the view of central park is spectacular,the subway is 2 minutes away ,as are 5th and 6th avenue.times square is 15 minutes walk as are the rockefeller centre and empire state building .A great alternative if you cannot afford the Plaza ,Ritz or Trump ,overall good value for money.	
May 25 2007 	Pleasantly surprised!	I was pleasantly surprised when I walked into the lovely lobby at the Park Lane Hotel. I was even more surprised when I opened the door to my spacious and well decorated room. (The room looked like it was decorated with antiques in a blue/orange motif.) The room is much larger than you would find in other NYC hotels. Having stayed at another Helmsley hotel on the other side of Manhattan (which I did not care for at all) I was not expecting this hotel to be so luxurious. I stayed only one night on a weekend, and wished I could have stayed longer. The location is excellent for walking through Central Park and is close to Carnegie Hall. The shopping nearby is, of course, phenomenal.You will not be disappointed if you stay at The Park Lane.	
May 23 2007 	Fantastic!	A wonderful option @ a wonderful location! Stayed for one night whileattending a fundraiser. The room had view of central park, was extremely spacious, huge closets, clean bathroom with comfy towels, well equipped w/ kits, flat screen tv. Staff was very helpful and attentive. If you want a great breakfast, Sarabeth's is two door down!...Bergdorf Goodman's is only steps away and has some wonderful shopping, food and hair salon!	
May 12 2007	Great hotel better than expected	We were invited to New York to be a guest on a talk show. Our stay in New York was very short...actually less than 24 hours. After reading such awful reviews on other sites, I was kind of afraid to stay there. I kept saying to myself, the show would not make us stay at a rinky dink hotel....I know they wouldn't.We arrived May 8 at around 10 PM. The hotel lobby was grand, and the receptionist were friendly, kind and well mannered. We were quickly escorted to our room which was pretty large. The bell hop put our luggage away, turned on the lights and the TV, and wished us a great night. Our bed was already turned down, and chocolates were at the bedside. There was fresh fruit and Fuji water on the table....nice touch! The plasma TV was a very nice touch, since it is the first hotel that I stayed in that has such a feature.The bathroom was clean, the grout sparkling white. The sink was deep. There was a magnify mirror which help me see every unwanted blemish on my face. A blow dryer was mounted, but we did not turn it on, The bathtub/shower combination was nice. The water pressure was good, the water hot. I did not experience standing water in the tub like I read in other reviews which actually made me nervous. There was absolutely no problem with the sink or shower. The towels in the bathroom were the biggest I ever came across in a hotel. I have large hips, and the bathtowel covered me very well, and there was extra to go around. There were soap, shampoo, conditioner, shower cap, shoe polisher, lotion, etc... on the bathroom counter top for your convenience.The beds were super comfortable. I fell asleep that night and did not awake until the AM. We were only on the 12th floor, so our window view was of another building. If I was staying longer than 12 hours, I would have wanted a better view.  The hotel is located right across from Central Park on the corner of Avenues of the Americas. The night we got in we went for a walk which was around 10:30 PM, and within minutes we were at Radio City Music Hall, Rockerfeller Center and the NBC studios. We ran into an artist on the street who was doing portraits, and for $5 and nearly 1 hour sitting, my daughter got a awesome portrait which was almost a replica of herself.We did not eat at the hotel, and we did not order room service. There are plenty of deli's, etc... in walking distance from the hotel if you don't mind walking a short distance. Overall, I had a great experience. I would stay here again especially in a room with a view. I would also recommend this hotel to anyone,	
May 1 2007 	Great hotel !	We stayed at the Helmsley P.Lane for 8 days in April. Check in was very quick and we were given a room on the 44th floor with a fantastic view of the city and Central Park ( see photos). I found out that it was one of the rooms that had been renovated on the top floors ( those who end with 10 ) , elevators were just fine, hardly had to wait more than 30 seconds to get a ride up to our room.Wi Fi worked just fine, had no problems connecting to the internet. The hotel is very well situated and i found the people at the reception very friendly and attentive. We did not eat at the hotel's restaurant , but room service was excelent and the rooms were spotless clean and the bed was very confortable. Every morning there was a copy of the NY Times waiting for us at the door. Plasma TV was great too !I can only recommend this hotel to everyone, i could not recognise any of the bad stuff that i read on other reviews !Couple from Danmark, Europe	
Mar 28 2007 	The Grand Lady is still Grand	I was a guest at the Park Lane many years ago and on a recent trip, after reading online reviews, I decided to revisit.We were not disappointed. Yes, some of the rooms were a bit dated, but that is true for many of the older hotels. The room was spacious by current standards, the room was clean and the bathroom was very clean. We even had a nice view and a king size bed. Room service was prompt and showed an extraordinary attention to detail. The restaurant was a bit pricy but not out of line for a New York hotel. The lobby is impressive but most of all the staff was fabulous. I would certainly revist the Park Lane and recommend it to others. P.S. The cost of the stay was much less than other New York hotels of similar quality. The Grand Lady is still Grand.JPW, Wilmington Delaware	
Mar 23 2007	Faded Somehat Neglected But Still a Good Choice	The Park Lane was a frequent stop of mine in the '80's. The location and park views were, and remain, unmatched. I hadn't stayed there in twenty years when I came across a great price on TripAdvisor. Completely unlike me, because I had stayed there so often before, I booked the room before reading the reviews. Then I read the reviews and then I was concerned. But time was short and I decided to proceed. Some of the negative comments leave me baffled, for instance slow elevators and rude, indifferent staff. I was on the 29th floor and never had to wait for an elevator and they were extremely fast. All staff were friendly and helpful, well above average. Some complain about turn down service. Well I'm not in NYC to be in my room in the evening and love to return to a turned down bed. Simply leave a Do Not Disturb sign on your door if you object. But the Park Lane's turn down service is the best: bedding, chocolates, trash emptied, towels replenished, room tidied. What's not to like? What I do have to agree with is that the rooms are very much in need of an update. The furniture and decor make it like entering a time warp; in fact, nothing has changed since I was last there in 1986. It's sad that what should be one of the premier hotels in the city has been allowed to age so. Despite this, housekeeping did a superb job with what they have and my room and bathroom were immaculate. Also park rooms are quite spacious, although non park rooms are only average in size. So, if you want a super location, are fortunate to have a park view room, want a friendly, clean hotel and are willing to settle for out-of-date decor, then the Park Lane's a good choice. On balance, I'll definitely go back. But Leona, please spend a few of the billions Harry left you and bring the Park Lane back to its former glory.	
Mar 21 2007 	Feel like a celebrity!	Located right across from Central Park, this hotel will make you feel like royalty. Horses and carriages await across the street while the hotel staff is quick to answer your every request. And I do mean you will feel like a celebrity. At one point, we walked out and found ourselves flanked by men with machine guns. Apparently, a celebrity or dignitary was next door at Mickey Mantle's restaurant and the extra security was necessary.Our room on the 32nd floor was utilitarian but comfortable. Lots of thick rich towels, robes, and slippers. Flat screen TV and wireless Internet provided with no issues. We were missing a refrigerator from our room but when mentioned at the front desk, they were happy to provide one. Although upscale, they still use the horrible scratchy fingernail-catching bed covers. Room temperature is tough to control but we coped by turning on the fan and and raising the heat. Elevators are plentiful and fast. Staff is very attentive and pleasant. Location is perfect and within easy walking access to everything from Times Square to Central Park, from Rockefeller Centre and Radio City Music Hall to some of the best restaurants in the city.Tour buses are just across the street and the subway is just down the block. Very convenient! But very expensive if you don't watch for a sale. We would stay here again in a heartbeat as long as we can catch a reduced rate.	
Mar 21 2007 	Careful with the concierge!	We had a wonderful stay at the Helmsley Park lane: the hotel is in a great location, our room was great, spacious, modern and sophisticated.The hotel restaurant has a very nice view but is really expensive. Worth going for a coffe and a croissant just to read a newspaper and feel rich. But we had a very unpleasant experience with a dishonest concierge. I asked him for tickets for the Blue Man Group and he told us they were very, very difficult to find but that he would still try to get them for us. He got back to me with a US$ 400 ticket (I was lucky that night, he said). I said no thanks but just out of curiosity called the theatre. They had tickets for any night of our stay and we bought, for less then US$ 200, tickets in a great place for that same night. I should've called the police!	
Mar 16 2007 	A Mixed Bag	Before I travelled to New York I read, as a matter of course, all the reviews on TripAdvisor with regard to the Park Lane. I really wanted to stay here as it is central and has views of Central Park from some of the rooms. Having read the reviews I was somewhat hesitant in booking the room but thought, how bad can it be as I was only going to be there for two nights!Before I booked the room I thought I would ask the Park Lane to defend their hotel and give me some level of reassurance as to the state of the rooms. Despite emails to several people, including Mr Anoussis the general manager, I received absolutely no response. I made an assumption that the hotel staff could not make any assurances on the basis, they did not have any faith in their own hotel. This was a shame, but in such a litigious environment perhaps not so surprising.Regardless, I decided I would book the hotel. My opinion is this…On the minus side. The rooms are a bit dated, in fact think 1970s (‘Whatever Happened to The Likely Lads’, Paisley print shirts with long wing collars… that kind of thing!) and you’ll have an idea about the décor. Possibly kitsch, but that really depends upon your taste. Personally I was not bothered one way or the other.The bathroom, like the bedroom, was in need of a refurbishment (or at a minimum a good steam clean). There was a fridge in the bathroom, which is a nice touch, but not one we took advantage of. As I could not find an ice vending machine I made the assumption you needed to take ice from the fridge or call room service. Again, the room is very 1970s (purple wallpaper on the walls… and ceiling! Interesting but dated wall lights) and the fixtures are showing their age… except the hairdryer.In general, let me repeat, the room is dated and really deserves a remodel in my opinion!But then we have the positives. Ignoring the unanswered emails, I found the hotel employees to be pleasant, helpful and a real credit to the hotel. The room was of a good size, plenty of hanging space and drawers and in a nod to modernism there was an LCD TV on the wall. The safe was interesting too. Rather than the ‘think of a number’ type, it uses your credit card, simply swipe it through to lock and then use the same card to unlock.But there is one really great reason to stay here… the view. If you get a park view room the down sides fade into insignificance, well… they did for us. I spent an hour sitting on the window ledge looking over the park and reading the paper… didn’t even notice the wallpaper behind me! And it is as pleasant at night as it is during the day.Right outside the door, you have 5th Avenue and its sensational array of shops. Or you can hop on a horse drawn carriage for a trip around the park, they park right outside the hotel… but can be a little pricey!So all in all, I recommend this hotel so long as you are looking for a sensational New York vista at a reasonable price and can live with dated but functional furnishings. Make sure you get a park view though!I guess it is also worth considering, if the hotel did refurbish… the clientele would foot the bill. The neighbouring hotels also offering views of Central Park (Ritz, Trump, Jumeriah) probably have better furnishings, same view but are in a very different price band. Also worth considering that with property prices still booming in Manhattan (regardless of what happens in the rest of the US) there is always the possibility Helmsley will take the same route as the Plaza just down the street which has closed as a hotel and is being converted to condominiums, starting around the $1m mark and going up… considerably.Hope that helps!	
Mar 5 2007 	Needs a renovation	Here are the positive aspects first. The location is unbeatable and the park views are outstanding. The lobby, bar, breakfast, elevators, concierge, and staff were adequate. Our room had a flat screen tv and great internet connection, but no refrigerator.Our room did not have a shower curtain, mattress pad, or bottom sheet. These were problems that could be corrected. The decor was dreadful. The furniture and carpet were very worn and stained. The bathroom needed updating (badly). So it just felt dirty whether it actually was or not.However, some in our party had nicer rooms which had been somewhat updated. Their rooms were blue, and they had a city view. Our rooms were red, and there was not a view. The prices were the same.The halls also need updating.I've stayed at this hotel many times over the years because of the location and the price. I thought the decor was tacky and gaudy even when it was new, so it's just not my taste. But now it's just too worn out.The location is so perfect that many things can be overlooked. But I won't be back until there is a renovation.	
Feb 12 2007	Comfortable stay for work or sightseeing	I traveled to the Helmsley Park Lane for work and was very pleased with the location. The hotel is situated one block west of 5th Avenue and directly across the street from Central Park. CBS, FAO Schwarz, Tiffany's, Henri Bendel's, Rockefeller Center, St. Patrick's Cathedral and MOMA are all within walking distance. I had a double room facing the city. The tapestried headboards and aging furniture weren't as noticeable as the great view. Their was ample closet space, a minifridge under the bathroom sink, and a flat screen TV. The front desk manager was lovely but her staff seemed listless. The concierge was helpful. The bartenders at Harry's Bar were attentive. The housekeepers seem ever present so use your 'Do Not Disturb' sign if you want to avoid the housekeeper's 10:30pm knock for turn down service. Their is a small workout center on the lower level. I was looking for an Elliptical machine but this hotel doesn't offer one. The Cybex machines were great though. Overall, my stay at the Helmsley was comfortable and I would stay at this hotel again.	
Feb 1 2007	Why the bad reviews??	After reading other reviews about this hotel on Tripadvisor,I wasnt sure what to expect when we pulled up outside in the taxi.When we got to the desk the receptionist said our room was ready on the 21st floor(city view).The room was spotlessly clean,large and with a great view.Never went into the bar...as we spent most of our days shopping!!I did find everyone on the desk very helpful.I read one review that said the lift was slow....all the lifts were like the speed of sound!!The guys on the doors were always helpful.A tip if you dont want to have breakfast in the hotel there are 2 good delis nearby.The Green cafe,just outside the back entrance to the hotel and Angelos on 6th Ave...both cheap and great food.So maybe I got lucky,but I found the hotel great and the location,probably the best in New York.	
Jan 13 2007 	decent rooms very bad service	The positives: The room and bathroom were clean and spacious. The bed was comfortable. The hotel is located right in front of central park and the location is certainly a plus point. The negatives: The staff of this hotel is very disorganised, unhelpful and SLOW. I had booked this hotel many days in advance through my travel agent and made complete advance payment for the room. Before my arrival in the evening at about 6 p.m., I called the front desk to ensure that everything was in order and was told that there was no booking in my name! I faxed them a copy of my payment confirmation and booking details, not once, but thrice, and was assured that the hotel staff would look into the matter. Upon my arrival, it was obvious that the staff members had not done anything about my case. They continued to tell me that there was no booking in my name and refused to let me check-in without obtaining my personal credit card details. Because I had to leave for a meeting urgently, I took the risk and provided them with my personal credit card details and was given a room after a long wait. I was told that the problem could be sorted out upon my return as the front-desk staff would be available upto 11 p.m. When I returned at about 10 p.m. the person on duty said that he could not do anything and that I would have to speak to the morning staff! I was awfully worried about being double charged. In the morning I called my travel agent and asked them to help me sort out the problem. Since they have a tie-up with this hotel, the matter was finally resolved.For a one night's stay, I could have lived without the headache and stress that I was put through.All the best!	
Dec 30 2006 	Don't waste your money	We recently stayed at the Park Lane for four nights. Our first problem was the room was not as explained to me when I made the reserrvations. After complaining, the necessary changes were, hesitantly, made but only after the bellman interceded for us.. The first room was dreadfully furnished and the bed actually sank in the middle. The second room was only larger and the bed didn't sink. The towels and robes were terribly rough and the slippers were mens large. There were numerous stains on the carpet and adequate reading lights were lacking. The A/C didn't cooladequately, so the first night was uncomfortable. Room service was the only pleasing part of my experience but items were omitted on every order. Most of the staff was too hurried and didn't have a friendly, helpful attitude. The entire hotel needs upgrading badly. I will absolutely never stay at this hotel on my next trip	
Dec 29 2006 	Location Location	This hotel is nice and has a great location. Sadly, we had a bad experience with an employee there and will not be back. The staff seemed friendly enough but not above-and-beyond service like the price implies. I am sure there are other places to stay that are cheaper in the area.	
Dec 15 2006 	There are better alternatives	My rating is probably generous. The only reason I gave this hotel the rating I did was because I received good service, which is rare in NY hotels. The room however, was a dump - small, old stained carpeting, peeling wallpaper, and outdated fixtures. The room just needed a complete overhaul. My company paid way too much for me to stay there. There are better alternatives for a similar price. I take many trips to Midtown Manhattan for business and I know from experience that most hotels in the area are dreadful. My favorites are the Essex House, which is right down the street from the Park Lane, or The New York Palace Hotel. Both have nice rooms and good service. I will stick to these two trusted favorites going forward. I do have one disclaimer, however, and that is that the Essex House has changed management since I have stayed there on a more regular basis. Therefore, I am not sure if anything has changed for the worse.	
Nov 29 2006 	Fantastic Location Good Service	My Girlfriend and I stayed here for the Thanksgiving holiday, decidedto sample the Holiday menu that was prepared for the guests.]I too have stayed at the Ritz and several other fine hotels of 4-5 star category. The views from my room upon arrival were of magnificent or betterCentral park with horse drawn carriage was just only a small -partof the grand view I had from my room. Plasma Tv and comfy bed only made it look and feel better. The hotel is located in NYC and of course the buildings are older compared to other cities like Miami/ Houston. But The rooms were extremely clean nicely decorated for the given location and age of buildings there.M y Thanks giving dinner outrageously delicious I had never had a Turkey so good ;it tasted as if it were just caught from the forrest.As well as the Wait Staff who only addressed me as Sir every time I was spoken too .It is my second time I stayed here I have been to the Hilton and I can only say that my stay here far surpassed my NYC stay at the Hilton. Location is great right near 5th ave and Tavern on the Green. Great weekend retreat especially during the holidays.	
Nov 20 2006 	Stay Elsewhere	This hotel is truly horrible. The rooms are in desperate need of updates. The previous reviewer who cited stained carpets, peeling wallpaper, etc. is absolutely spot on. In addition to the aforementioned issues, we also had a leaking sink in the bathroom (managed to soak the entire floor) and several burned out light bulbs. Additionally, we had some issues in which we did not feel the staff was very accommodating to our modest requests. The view is fabulous, especially in the fall. That is the only thing this hotel has going for it.	
Nov 8 2006 	People actually PAY to stay here!?	This hotel is very old, worn and in a state of disrepair. It's only redeeming grace was the wonderful view of Central Park that greeted me when I got out of bed in the morning. Problems noted included:stained carpetscracked headboard on the bedrusty door hingespeeling wallpaper and paintstained/worn floors in the bathroomlitte bugs around the shower fixtureholes in the walls from previous picture hangingsThe staff seemed pleasant enough, but they must take a lot of abuse from people who are outraged to pay such high prices for such a low quality hotel! I stayed here for business so didn't bother to complain (since it wasn't my $$), but had I paid for this from my own pocket, I would have been VERY disappointed. Yes, the views and the location are great -- but, as someone who used to live in NYC, I am amazed that a hotel with such low standards has managed to stay in business. The Helmsley hotel near the UN is in much better shape. Or, skip Leona's empire all together and stay somewhere else!	
Nov 6 2006 	Great position - awful hotel	As others have said, the position of the hotel is first rate (right between 5th and 6th, on Central Park South) but this cannot make up for a hotel that is faded and staffed by some of the rudest people in New York.Main complaints:-Bathrooms are old and stainedDecor is uglylifts are slow and inadequate leading to very long waitsno loungeno coffee shoprude and unhelpful staffthe darkest bar in NY45 floors but only one staff member at check inGood things:Free internetpositionclean roomsnice breakfast room (but expensive and slow service)In summary there are far better hotels in this area and at just the same price	
Oct 28 2006 	Very Overrated Lacking Business Ethics	The bellman let the cab drive off with one of our bags, for starters...the management ducked responsibility. The rooms were not up to par. If this hotel qualifies for Leading Hotels of the World, then so do most of the 3 star hotels in major cities. That is what I would rate it. I have traveled extensively, and have never been more disappointed, although the price was surprising low when I booked it. I guess I got what I paid for in the room, but the greatest disappointment was the complete lack of ethics by the management. After the bellman failed to get my wife's cosmetic &amp; jewelry bag out of the trunk of the cab, which arrives on a dimly lit Central Park Ave S street, only the bellman had enough moral terpitude to admit the mistake. While he admitted it was his job to get the bags out of the cab before it sped away, the hotel manager quickly started to duck. His only face-to-face comment was &quot;How do we know the bag wasn't left at the airport?&quot; When the bag turned up at the local police precinct, turned in by the cab driver the next morning, then you would think the hotel management would recognize the malfeasance on its part. No, they just refused to meet with me, sending the chief of security (a former NYC beat cop) to meet with me and deny liability. I was assured a manager would contact me before checkout, but when the time came and no contact, the manager again ducked out and claimed to be 'on the phone.' (I could see him talking to staff in a side room.) I was only able to file a report and document my claim (all of the valuables (jewelry and makeup, etc,) were gone from the bag when it was turned in to police) after having a heated exchange with the head of security. If I weren't a lawyer, they might have intimidated me. Be prepared for a fight if you have any problems at this hotel. The rooms, I might add, are partially renovated on some floors, but still have 50 yr old fixtures and doors. The 'deluxe king city views' were marred by a buidling renovation across the street, with big blue sheets of plastic and construction workers peering into the rooms. We looked at a Park view room, but it wasn't renovated and reminded me of a Super 8 we were forced to stay at one time. Yuck. Oh yea, when I read on Trip Advisor (after booking) that there was renovation going on and some rooms were not renovated, I personally called the hotel reservation to ask if that was the case and they assured me that there was no renovation going on and all the rooms were recently renovated. A BOLD FACED LIE! Do yourself a favor and stay somewhere else.	
Oct 23 2006 	The Cheapest Rooms Overlooking Central Park!	This hotel gets razzed a lot. If you book a room that does NOT overlook Central Park then you'll be paying too much for what you're getting qualitatively. There are certainly a slew of finer NYC hotel values in the $300-$500 range.I stayed overnight during a quick city visit with my wife. She loved the views of the park (the title above prompted the booking) and she's not picky (jackpot!). Realistically - critically - the room decor was a bit garish, and wear and tear shouldn't be evident in rooms of this price range - but it was, with a prominant carpet stain and minorly damaged wall paper in the bathroom. One telephone (of two) was inoperative. At check-in, we were given a room with two queen beds rather than a king as booked...The autumn views over the park were lovely though. If that is your goal (it was mine) then you can't get it for less. Park front competitors all charge at least 30% more for (a better room with) the same view. As a result, my wife and I enjoyed the beautiful views and overlooked the shortcomings.&quot;Queen of Mean&quot; octagenarian Leona Helmsley lives on the top floor of the hotel. Perhaps that vibe accounts for the property's shortcomings. The location of the hotel however couldn't be better otherwise.	
Oct 10 2006 	Needs some renovation	This hotel was ok. The location is perfect, facing the park. The desk clerks were nice and the bellhop who retrieved my checked luggage was extremely helpful. The room that I had was dated and worn out. It was sort of gaudy in a baroque way. The bathroom needed some work, for instance the mirror was loose on the wall. Slow elevators. Perhaps I would stay here again- if I found a bargain I would not be opposed because of the location, but I would not highly recommend this hotel to a friend.	
Oct 2 2006 	The Worst hotel I have ever stayed at!	The bellmen smarted off when we walked in the door. We were colleged educated and they turned their nose up at us and said, &quot;What is this?&quot; They were EXTREMELY rude. It was a group of nineteen people. The service was terrible. Our rooms were not ready and we did not get the rooms we had paid for. Room service would not answer several times. We had to have a roll a way (because they messed up on the reservations) and it took them TWO hours and by this time is was 11:30 at night. The roll a way had a terrible odor and was from the 1960's. It was just a terrible experience. It was not very clean. I will never stay at this hotel again.	
Sep 14 2006	OK but . . .	I was there August 10-16 with two rooms. I've stayed there before several times and liked it. Its faded over the years, but the location next to CP is great if you like to be away from the bustle. All employees but one testy and frankly unfriendly check-in clerk were nice and helpful (all the other check in people looked friendly). It rained hard the 10th or 11th and on the way to dinner, the doorman literally waded out in the street and got himself soaked to get us a cab. Room service was always responsive. The rooms are well decorated but while theyre are &quot;OK&quot; some annoying things: Lighting is dim at night even with all lights on so I had to read anything right under a lamp. My room's toilet was askew from the wall; a hole in the wall under the sink was visible from the door and a bit unsightly. The toilet in the second room was inoperable at check in. They fixed it right away when we called, but then it leaked. Another call to fix that. The new TV's they've put in often have patchy reception. The air conditioning fell flat after 11pm or so.The Breakfast menu in &quot;Room With A View&quot; is good but a bit old hat and unreasonably expensive. Its worth it once to look out at the park. The people there are nice too. Last: don't be fooled by promises of a park view upgrade: we could not get one even when the booking agent insisted it would not be a problem b/c they would not be full in August and we were return guests etc.	
Aug 19 2006	Awesome Place	This hotel is situated right across the street from Central Park. You really should check out this hotel, it is very clean , excellent beds and the water pressure is awesome. They have a turn down service, where the maid comes in and folds your comforter down and then she leaves chocolates on your pillow every night/.The rooms are very spacious for New York City. Did not see any bugs whatsoever. and you get a fridge in every room. The televisions are plasma with satellite programming. Furniture is very classy . If your looking for a hotel for a long weekend in New York City, this is the hotel for you, prices are reasonable.Toronto , Ontario Canada.Take the tours on the buses they are great and cheap ,	
Aug 15 2006 	Little Secret	I guess the bad reviews on here are for the people who got the &quot;older&quot;rooms. I spoke with the front desk and when you are nice you are treated nice. They informed me that 1/2 of the hotel was rennovated just 6 months ago. Thats right BRAND new rooms. The deor is simple and elegant. I actually am going to steal the way the designed the bathroom. Ask for a New room and you will not be disapointed. We paid $225.00 had 2 beds and a HUGE room is was room 1511. The concierges eresta and Anthony were both very helpfull, and i found out they worked for the Plaza before, they know exactly what they are doing. We also had a great time at Qualtiy Meats a new rest, next door.	
Aug 1 2006 	We hated this hotel.	We arrived late on a Thursday evening. The check in process was straight forward and the staff helpful enough. It is the decor and the room that were terrible. Our room had a very tired feeling, the wallpaper was old, peeling and shabby, as was the carpet. I didn't even want to try the bed. The bathroom was dirty, with limescale and mould, the fittings were rusty and the 'mini bar' was in fact a very small, very dirty, very shabby, smelly little fridge on the bathroom floor with one of it's four legs missing (it listed like a sinking ship). What really got me was the fact that the room had a big plasma TV and Internet access with a wirelee keyboard. How much did that cost? Why wasn't the money spent refurbishing the hotel? Ironically for the hotel, we immediately opened our duty free vodka and used the expensive in-room Internet/plasma TV system to check out other hotels in the area and promptly booked into the Hilton on 6th Avenue round the corner - a far better hotel.	
Jul 26 2006	Never Again!	All I can say is VERY disappointing. Rarely have I seen a hotel staff so disinterested in providing service. We were out and out ignored by the bartender, dismissed by the concierge, and abandoned by the bellstaff. Our room never got below 77 degrees despite numerous service calls. The decor was underwhelming. I cannot believe that such an expensive piece of real estate (smack dab between the Ritz and the Plaza facing Central Park) is run so poorly. We will NOT be returning.	
Jul 20 2006 	Great location	The decor is a little over the top but really nothing that bothered us.The amenities were tidy, the lifts relable, the staff friendly enough, free internet, a great LCD TV, and the location outstanding. The hotel overlooks Central Park and is one block from 5th Avenue. It is close to Museum of Modern Art and the Rockefeller centre.There is a small fridge with no mini bar in the bathrrom.There is a nice little deli (out the backddor, on your right) serving a range of breakfast options at good prices and it even had decent coffee.	
Jul 20 2006 	Disapointing	I arrived at the hotel around 10:00am to drop off luggage. My room was not available and I understood this. The front desk told me I could check in at 3:00pm. After walking through the hot city all day I wanted to relax in my room and tried to check in again at 3:30pm. The room was still not ready and there was a line of people with the same problem. The room I was assigned to around 4:30pm was disgusting. The bathroom was falling apart, the air conditioning did not work, and the headboards were stained. After many complaints to the front desk I was assigned another room. The room was a bit cleaner, but still no good air conditioning. To top of the disappointment with my room, I check out after the weekend and the clerk told me there were no additional charges since I booked the room from Hotels. I noticed the following week that the hotel charged my visa for the stay anyway. I'm working with my visa company to cancel the charges, but I tried working with the hotel directly and I could never get through to anyone. Huge disappointment in NYC with so many other hotels to choose from.	
Jul 19 2006	I don't get it???	After reading all the bad reviews about this hotel on Trip Advisor, I was a bit apprehensive to have chosen this venue to spend a week in with my daughter on a trip to New York City, from which we have just returned (July, 2006). Happily, my fears were not realized. Everything about this hotel was perfect--even the price. Not one thing that all these people compained about happened to us. I travel to various parts of the world about about 2 months out of the year, and have stayed in many, many hotels, usually 4-5 star. I suggest that those of you who found this hotel lacking in anything spend a few days in a five star hotel in Mexico.	
Jul 17 2006	Don't trust that Leading Hotel!	&quot;LUXURY SET'S THEM APART - LEADING HOTELS BRINGS THEM TOGETHER&quot;- I stayed in this hotel for two nights (room 4506) and it probably was one of the worst Leading Hotels I stayed in. I generally wonder, what the quality testers, Leading Hotels writes in ervery newsletter of the Leaders Club about, are doing, when they are checking a bad facility like this?- Room 4506 generelly needs to be refurbished in the bathroom. - There was no minibar available. In the bathroom (!!!) was an old, icy but empty refrigerator which was disgusting. - The alarm clock didn't work but was repaired at the first evening. - The turn-down simply was forgotten the first evening, the blanked I moved away was dirty at several parts. - The turn-down the second night only put the dirty blanket away. The curtain wasn't close and the paper basket wasn't emptied. - A pressing service at the later evening wasn't possible, the pressing utilities in the room were old, damaged and dirty. - There were no frottee-slippers available. The housekeeping told me to contact the concierge, the concierge told me to contact the housekeeping. Together they told me, I should buy some slippers next morning in the gift shop. I needed the sleepers because of the ugly bathroom and carpet in the room and so I decided to step out to the neighboured Ritz-Carlton, asking them for frottee-slippers. I appollogized, that I was staying in a Leading Hotel and got the slippers complimentary within two minutes in the typical Ritz Carlton charming way. - There was one bell man for storing luggage in the lobby - seven (!) guests were waiting for service and complaining. I won't stay there anymore.	
Jul 10 2006 	Lots of technical difficulties and just nasty. Can't believe this is a LHW	I had high hopes, but I can definitely see why this hotel is ranked so low on this website. The only redeeming quality is the location right on Park by central park. There are other options right nearby, trust me don't go here! It's cheap compared to the other nearby hotels like the Ritz, but there are reasons for that...The front desk people are not interested in being nice or helpful. I pre-requested a high-floor room. I reserved a park view room, and wanted one that was high. The front desk person said &quot;sure&quot; when I mentioned that, and then gave me 7th floor. I asked again, she told me the only other option was a no-park view, smoking, double-bed room. So I took my 7th floor room. It had what I would consider a partial park view, I could see the trees right across the street.As most the other reviews mention, the decor is hideouos. White floral upholstery. Purples and silvers for walls and carpet. I could see how if it was in good shape that some of it might look good. The walls I could tell WERE nice at one time. But now they're just stained and nasty. But the fugly couch - why?? The hallways are really bad gold plant pattern wallpaper or something, like Donald Trump's blind grandma decorated this place. Tacky - but in a not fun way like the Madonna Inn in California, just tacky in a painfull, hurts to look at sort-of way.Then the actual problems began. Tried to watch TV, but the TV wouldn't work. It had to be re-booted apparently. I called for help, and was treated really rudely by the front desk. The tech person tried to reboot me remotely, and said to try again in a few minutes. So 20 minutes later the TV still didnt work. Called again, and they said theyd send someone up. He came 30 minutes later, to turn the power button on and off and leave before seeing if it worked or not, which it still didn't! All I could see was some sad poodle (Leona's?) image with lines flickering through it.So I gave up on tv and went to take a shower...So, I noticed the water wouldn't drain. The drain plug was broken shut. Had to call the front desk to be mistreated once again, and they sent up a person to fix it about 30 minutes later.No minibar, which was disappointing. The AC was a joke, didn't do much at all. From the 7th floor I could hear street noice, but not enough to be more than a distant faint murmur so that was totally fine. They left some really bad chocolates in my room as well.Do yourself a favor and choose some other place, this hotel needs some serious changes.I will say though the bed was comfortable.	
Jul 7 2006	Park Lane Holds Its Own On Central Park South	I stayed at the Park Lane for two nights in July and after reading the reviews on here I was a bit nervous. However, my stay could not have been any better! The staff was helpful and friendly, the tv and internet worked fine, the room was clean, and while the style was a bit old fashioned the room did not feel stale or musky. The location is excellent-near subways (N,R,W,1), great shopping (fifth avenue, barneys), and places to eat (Whole Foods!!). I had a great city view room with a king bed on the 21st floor which faced out to 58th street looking south for 210.00 a night. My only problem was when I called to confirm my reservation they had me for one night when I requested two but they changed it with no problems. I would definately stay here again!	
Jun 7 2006	Great hotel!	My husband and I stayed at The Park Lane Hotel for 5 days in March 2006. The location of this hotel is excellent.The room was a little oldfashion, but it was very clean and large. The staff was very friendly, and helpfull. We didn´t have any problems.If you like the oldfashion look, you would find this hotel beautiful.The next time we visite NY, we are deffenetly staying at the Park Lane Hotel.	
