	Okay to stay at this hotel.	Liked this hotel eventhough it is in a funny area. 24 hr auto shop across the street, stables for the Central Park Horse just up the street and high rise building construction on one side. It looks like it's in the middle of nowhere but it is in fact close to everything. Felt safe enough to go out for a smoke at night. Not the biggest rooms but clean and the staff was friendly and recommanded an excellent restaurant for dinner.	
Sep 21 2005	Great Hotel	The staff was great...very helpful and courteous. The room was always clean and it wasn't as small as some other NY hotels. Breakfast was OK, with coffee, juices, and breads. Although the hotel is located on a street among garages and a few blocks from Times Square, I felt safe and I would stay here again for the price.	
Sep 6 2005	A great hotel	Stayed there September, the rooms were spotless and well cleaned. The staff were very friendly and helpful.Breakfast was A1 and plenty of machines for late night snacks.The hotel is situated in a quiet part of town , even with the taxi repair shop / fire house nearby, much quieter than hotels I have stayed at in 34th Street.Only a short walk to the centre and ideal for attractions like the Circle Line/ US Intrepid.It did what it says on the tin .......	
Aug 28 2005	Bargain	I booked this hotel last minute as my first choice hotel was not available for the entire stay. After reading the reviews on Trip Advisor I was expecting an average hotel in an iffy area but was very pleasantly suprised.Most importantly the hotel, our bedroom and bathroom were immaculately clean. The rooms weren't overly big, but not so small that we were uncomfortable. We were on the 11th floor and had a view of the Hudson from our room which was nice. Breakfast was complimentary and buffet style - Cereal, Toast, Juices, Tea &amp; Coffee, Fruit, Bagels, Doughnuts.The hotel is on 38th Street between 10th and 11th Avenue and is located amongst numerous 24 hour taxi repair garages. This means that there are constantly people around and I felt completely safe walking to and from the hotel at night. Although there is not much to do or see in the immediate vicinity of the hotel it's an ideal base for sightseeing. A 10 minute walk in either direction will take you to the nearest Metro Stations at Penn Station / Port Authority Bus Terminal where there are also plenty of shops and restaurants. A 15-20 minute walk will get you to the Empire State Building and it's also a similar distance to Times Square. I saw some horses near to the hotel on my final day, however I did not notice any poo smells as reported by other Tripadvisor users!	
Aug 23 2005	It's a yes well worth it!!!!	This is my second time in NYC and the first time I stayed in a 4**** hotel in front of central park for double the price. The walk to time square is about the same but the rooms here are without a doubt much more recent. The airconditioners are new, the water pressure and temperature are 10 on 10. The drawback is the 24 hours bodyshop in front of the hotel and you don't feel like a million bucks coming out the hotel. The area is not like central park but for the price, any day for me. You also get parking for 21$ a day 25$ for van or 4X4 but I negociated for 21$ a day for my 4X4. Also, internet access is free, a continental breakfast is included (toast, cereal, pastery) and the service is excellent. Hope this helps you in your choice.	
Jul 29 2005	What a jewel !	Ok so this hotel is on W38th between 10th &amp; 11th avenue and yes its about a 20 min walk to shopping and sightseeing areas but I LOVED this place.In fact I am organising my next NYC break and this is where I'm going to stay.Clean rooms with very clean bathroom (a big factor for me), and nicely sized, very friendly staff, lovely complimentary breakfasts.My cousin stayed at the Pennslyvannia on 34th &amp; 7th and it was such a pit, gross bathroom and such small rooms you knock things over.This hotel is such a great find, hidden away but well worth the price.You must be prepared to walk, which frankly is the best way to see NYC.Its not far from Penn Station which has links to the Long Island Rail Road from JFK's Airtrain station Jamaica Center. 30mins from leaving the airport I was in Manhattan and less than hour from leaving the airport I had checked in to my room.Try this place, you won't regret it.	
May 23 2005	Best Western was nice	The Best Western by Javits Convention Center was very clean and comfortable. It is just around the corner from the covention center so it's very convenience for those attending trade shows. The employees were very friendly. They serve continental breakfast every morning and also have free internet access via ethernet which they will provide if you forget yours.	
May 12 2005	A pleasant suprise!	My partner and I have just returned from 5 days at the Best Western Convention Center Hotel and I must say im impressed. The room was spotlessly clean and the size was accepatable. The staff were friendly and the cleaners always greeted us with a smile. Breakfast consisted of bagels, muffins, doughnuts, toast, cereal, juices and tea/coffee. I thought the hotel was located in an ok area, at no point did I feel unsafe, and it was only half a mile from time square!! My only gripe? The hallway outside our room smelled quite strongly of smoke.	
Apr 23 2005	fair deal clean and new	close enough to walk everywhere in midtown. I traveled with a nine year old and we were able to get around easily on foot.staff was helpful and polite.... room was newer, neat and clean although seemed small... but I stayed at the Hilton before and the room wasn't much bigger and was at least three times the price.They checked our bags and held them after check-out until we were ready to leave. The hotel staff greeted us each time we entered and left and appeared to know that we belonged at the hotelthere was plenty of food at the free continential breakfast as well as a large, comfortable area to eat....food was replenished as needed and the staff was attentive to the buffet arearecommend it for a short stay in the Times Square area	
Apr 11 2005 	very impressed	I was very surprised and impressed by our stay at Best Western Convention Center Hotel. It was a little out of the way, but in NYC you must get used to walking anywhere you go. I do not think there is a place in NY that has an &quot;ideal&quot; location. The only complaint I could find was that the rooms were extremely small. Of course, you are only staying there to sleep, so that shouldn't matter. It was clean, the beds were so comfortable, the maid came every day to clean up and give fresh towels. The staff was friendly and outgoing. I highly recommend this place. Yes, it might smell a little like horse poop outside, but you can get used to it. Plus, when are you going to be standing outside anyways. I suggest seeing the firestation right up the road where there are some cute, outgoing firemen. So, if you are looking for a nice, clean, good price hotel...stay at the Best Western Convention Center.	
Feb 7 2005	Good clean friendly hotel	I booked the hotel for a shopping trip to NYC after reading the reviews on this site. The hotel was basic but a really good base for exploring New York. It IS in a good location if you don't mind a walking! A cab garage is near by so it was v.easy to hail one if needed. We felt that the area was safe if you were sensible and we walked back every night. (There were 4 of us). Our only complaint is that the breakfast area is far too small and the queues for a coffee in the morning were silly! It wasn't worth waiting for when Times Sq is a couple of blocks away or you could get a good cuppa from the deli on the corner.	
Dec 10 2004	The Hole		
Oct 24 2004	Good value modern clean		
Aug 13 2004	Loved it		
May 9 2004	Very handy for Jacob K Javits convention center...		
Apr 8 2004	if you are 73 and reading this then yes the walk is relative!		
Feb 29 2004	Great Hotel in iffy neighborhood		
Dec 12 2003	Too far away		
Jun 28 2003	Bait 		
May 12 2003	Exceeded my expectations		
Apr 24 2003	Good Hotel not so great location!		
Oct 28 2009 	Hotel @ NY: consigliato!		
Aug 7 2009 	Une vraie bonne affaire à New-York		
May 19 2009 	Vraiment tres bien !		
Mar 27 2009 	bon rapport qualité-prix		
Mar 26 2009 	Très bon rapport qualité prix pour NYC		
Dec 6 2008 	hotel trés convenable à Manhattan		
Dec 4 2008	Bon hôtel moderne propre bien situé		
Sep 28 2008 	Assolutamente sconsigliato		
Jun 18 2008 	Mi estancia en Nwe York		
Jun 10 2008 	hotel senza troppe pretese		
Apr 17 2008	malas instalciones		
Mar 19 2008 	Hotel Pratique Propre Sympathique et Calme		
Feb 15 2008 	Se ritornassi a NY andrei in questo albergo		
