	I am not sticking my neck out here---great hotel.....lol	Stayed here for 2 nights. Excellent staff,especially the breakfast and wine and cheese staff.Front desk staff very good also. I agree with the Irish girls,Dos Caminos ,is a good restaurant just around the corner.You are in a very good location and can walk everywhere.You cannot go wrong with this hotel,the value of the breakfast and wine and cheese makes up for the extra dollars you spend.	
Dec 27 2008 	I'll be back!	I just returned from a solo trip to New York to spend Christmas with my sisters. I'm not fond of traveling alone and I really like spending Christmas at home but...My stay at the Hotel Giraffe was truly great. From the moment I checked in after a tough travel day from the west coast until my 5:30 am check-out, I felt right at home.The staff was friendly and gracious from the front desk and bell-staff , to the lovely women who served at the morning breakfast bar (which was grand), to housekeeping. The room was lovely and the amenities were just what you would expect in a fine, well-run establishment.Thank you Hotel Giraffe! I'll be back in New York often to visit my sister and my home there will be your hotel!	
Dec 27 2008 	Mostly lovely!	We have just got back from a 3 night Xmas break at The Hotel Giraffe. I spent far too much time looking into the 'perfect' place to stay with our 18 month old little girl. Wanted it to be that extra bit special. It was important that we got a one bedroom suite (Separate lounge and bedroom) and they are not so easy to come by in New York, without paying a small fortune, especially if you want the quality too. Not that the Giraffe is at all cheap but you expect to pay a bit for a quality Hotel in NY. The lady who answered my initial reservation enquiries was very efficient and helpful, via email. Always responding quickly to my requests. So a good first impression was made. We were recc a good place to eat on Christmas day. Turned out to be great so thanks for that.When we arrived early our room was ready which was great. Allowing us to check in at 1pm was most appreciated. The room although very dark was comfortable and the extras such as robes,bottled water, toiletries and even an umbrella in the closet! Added a nice touch. Shame we forgot the ipod as there was a dock in the bedroom. Rooms very clean. Cold on a evening and found it difficult to get the right temp and noisy a/c. Not noisy from outside though, guess it depends where your room is located in the Hotel. Good spacious bathrooms, although not so keen on see through doors! Possibly done to help with light. Not so good if you are on the shy side....Breakfast was fresh and more than enough. Disappointed there were no highchairs in the Hotel. Spent a lot of time chasing our little sweetheart around the lobby with a croissant (Hopefully not irritating other Guests!)The complimentary wine on an evening was very welcomed.The lovely lady playing the piano was very sweet to our little girl, thank you, it really made us feel more relaxed.One of our gripes is that it didnt feel very Christmas like in the Hotel. We had really wanted it to be special with been away from home, and expected it to have more of an atmosphere. Felt it lacked something. Guess we would still have this opinion if it wasnt Christmas, too.A Christmas tree in the lobby would have been nice. Don't expect the staff to break out into 'Jingle bells' when we enter the lobby, but a little cheer would not have gone a miss.Don't get us wrong most of the staff were friendly (Jose and the other guys on the door were very courteous, nothing too much trouble) Unfortunately a couple of others on reception lacked the same enthusiasm, which let it down really. A few more smiles would have been nice.When we come back to NY we will most likely try somewhere else, but we'd definately say to give Hotel Giraffe a try. Some nice touches/extras, make it overall a good place to stay.	
Dec 8 2008 	highly recommend	I've stayed at this hotel four or five times now. The service is excellent, and the accomodations are quite lovely. Can't beat the convenient location, as it is very near the subway with lots of taxis and busses. A light breakfast is included in your stay in the lobby, or for an extra $5 you can have it delivered to your room. The staff is very friendly. This review was written by a demanding sophisticated traveler, and ex New Yorker.	
Dec 4 2008	Great Service	I stayed at the Hotel Giraffe over Thanksgiving weekend with family to see other family and friends. The service was excellent: friendly and accommodating. Free access to the nearby (three blocks) New York Sports Club was most appreciated. And complimentary wine and hors d'oeuvres every evening in the lobby are not to be missed. One word of warning: avoid the paella at Barna, the restaurant in the basement! Kind of amateurish.	
Dec 4 2008 	Do toilet rolls really need a ribbon?	The Hotel Giraffe stands out from the sort of anonymous chain hotels so usually found in the middle of major cities. The service is efficient and courteous without being sycophantic. The rooms, although they're the typical box-shape, are comfortable and roomy enough. The facilities are to the standard you'd expect for a upper-range hotel. The location is superb, a few minutes' walk from the Empire State Building, but the stretch of Park Avenue is safe and comparitively quiet (but that's still noisy to anyone not used to the 24 hour roar of a city). We could have lived without some of the so-called luxury touches like the ribbon around the toilet roll, and the only way to access the Cable TV decoder was to keep the cupboard door open, which was so wrong. But overall we enjoyed our stay here. It wasn't the most exciting, glamorous or stylish hotel we've ever stayed in, but it was an ideal place to stay for a holiday in central Manhattan.	
Dec 3 2008 	Top location	My boyfriend and I stayed at Hotel Giraffe over Thanksgiving weekend. The hotel is in a fantastic location and within easy walking distance to key sights such as the Empire State Building, Fifth Avenue and Grand Central Station. The staff are very friendly and helpful, and are happy to research information on attractions, bars and restaurants.The roof terrace would be great in summer but the views aren't spectacular.The cheese and wine offered is average. There is only 1 white and 1 red to pick from so you can't be fussy. The cheese is bland and low quality, not up to scratch if you like your European cheeses.I would definitely stay here again, but would also research other hotels.	
Dec 2 2008	Awesome!	We recently spent a wonderful Thanksgiving weekend at the Hotel Giraffe. The staff and service make this hotel a winner. Last year, we stayed at a larger chain hotel and there is no comparison to the level of attention and customer satisfaction the Hotel Giraffe offers. The best recommendation is knowing that this is my hotel of choice when I return to New York next year.	
Dec 1 2008 	When you want nothing but the best!	I have been staying at Hotel Giraffe for the past 8 years and it only keeps gettting better and better. This hotel is more like your private apartment in the city!The staff knows your name and the atmosphere is so calm and relaxing in the heart of the bustling city.Hotel Giraffe is the city's best kept secret......I will be back!!John PerezHouston, Texas	
Nov 30 2008 	Great location great hotel.	Loved this hotel. It is nice, clean, and comfortable. The French doors leading to the little balcony are a wonderful touch, and also they make the room nice and bright. (I also loved the switch-operated screens for the blinds at night). It is quiet at night (other than the occasional sirens from police etc which I imagine are unescapable anywhere in the city), and much more tranquil an area than Times Square, for example (read: you can go out but when you go home to bed, you actually get to sleep).The room was an oasis after walking all over the city. The location is amazing. Go uptown and shop or see museums. Walk right out the door and Madison Square Park is a block away and shops not much further. Go downtown and wander. The service was very good, although a few more smiles would be nice.The breakfast was simple but really just what you need to get your day started.We would definitely go again.Of note, I booked through the hotel website and got a deal. Look at the packages, you can do better sometimes.	
Nov 27 2008 	Wonderful stay	We have just returned from a 4 night stay and had a wonderful time. My husband and I took our 2 sons aged 19and 22 and we booked a double, double which was a fair size. I requested a high floor and we got a room on the 11th floor.. It was a birthday celebration and wine and chocolates were left which was a nice touch on arrival. We found the hotel to be very relaxed and comfortable and most of the staff to be very helpful, we would definately stay here on our next visit and would highly recommend it.	
Nov 25 2008	A Superb Experience	We just spent 4 nights at Hotel Giraffe. From check in to check out, every element of our stay was superb. Extremely well trained and attentive staff. Very helpful with restaurant recommendations, directions and every detail of our stay. A Great value through their 21 day advance booking at a discount plan. The rooms are beautiful, maintained as if new yesterday, and serviced very nicely each morning and with turn down service each night. A nice quiet location away from the traffic and noise of Midtown, but extremely convenient to everything, whether by cab or subway.Would recommend to anyone who wants to enjoy a truely boutique atmosphere!	
Nov 14 2008 	Taxi !! To City Hall please - we're getting married !!	Went to NY in September to get married and Giraffe certainly met our expectations.Very helpful staff sorted out our baggage on arrival as we were too early to check in to our room and needed to get to City Hall straight away to get our marriage licence. Room was superb – plenty of space, clean and tastefully decorated and furnished. We did have a balcony which you could just about stand on but only a view of 26th Street. Had I known beforehand I would have requested similar type of room on Park Avenue or not bothered with balcony at all. Staff continued to be helpful throughout our stay, not that we wanted for much, advising the best place to buy the wedding bouquet, sorting out the taxi to Central Hall on our wedding day, etc.We did use the roof top bar one evening but a bit disappointed – very small and when we were there full of very loud, brash, drunken office workers. Many previous reviewers have mentioned the cheese and wine evenings which certainly went down well after days out and before hitting the bars and restaurants in the evenings. However not sure how happy they were about people serving themselves drinks but unavoidable as waiting staff would often disappear. Tried out several local bars – favourites include Pete’s Tavern,129, East 18th Street and Molly’s Pub, 287, Third Avenue. Only let down was 230 Fifth, 230 Fifth Avenue -boasts spectacular views of the Manhattan Skyline. The picture of the view must be taken from a point above the drinking area as once you sit down your view is blocked by bamboo screens and service appalling – we gave up waiting. Only slight glitch was at the end of our stay when our bill included several items charged to our mini bar even though we hadn’t had anything from there – in fact the door to it was so stiff I thought I had broken it the one time I did open it. However this was resolved although no explanation as to how this could have happened. In all we would certainly recommend the hotel and are already considering it as the venue for our first anniversary next year.	
Nov 11 2008 	Wonderful hotel...again	My husband and I had previously had a wonderful stay at Hotel Giraffe in 2006 and so when I planned to take my mother for a birthday trip to NYC I didnt hesitate to book into the Hotel Giraffe again.We had a Exec double which was perfect as it had 2 double beds and the room had plenty of space and a lovely bathroom. The beds were really comfortable.The hotel is spotlessly clean in all areas. The hotel is lovely as it is quite small and personal but the service is never intrusive. The breakfast served in the lobby is lovely and the perfect start to a day sightseeing in NYC.I think my favourite thing about the hotel is how relaxed and calm it is - sometimes New York gets quite hectic and it really did feel nice to come back to the tranquil peace of the hotel giraffe to chill out.The location is also perfect as it is literally 1 minute walk from the 6 subway route and so really easy to get everywhere in the city. There are also some lovely restaurant on the block which are really handy if you dont feel like getting a cab anywhere.Try Dos Caminos for a great, and busy mexican right next door Blue Smoke for a truely american rib experience ( just round corner on 27th)Brilliant hotel and would never consider staying anywhere else in NYC.	
Nov 11 2008 	Best of Gramercy	This hotel is as wonderful as Gramercy Park hotel was terrible.We stayed here for a medical conference and didn't want to be at the large hotel near Grand Central.Hotel Giraffe staff, service, rooms, cleanliness, breakfast, all top notch. Lobby relaxed and comfortable to visit with guests, room was spacious with balcony. Everything perfect in a great location near lots of fun restaurants and easy access to Times Square or the Village.Carol Colitti Levine	
Nov 4 2008 	Wonderful!	We stayed for one week at the Giraffe and I cannot praise it enough. We had a deluxe room with 2 double beds for our family of 4 (including 2 teenage daughters). Room was very attractive and of a decent size. Particularly liked the electronic blinds - it was great first thing in the morning to lazily press a button by the bed and with a clunk clunk, the blinds lifted to reveal New York. It felt like being in a James Bond film. The room also had a balcony which must be quite rare in the city. Every evening we came back after a busy day to find music playing softly and the beds turned down with chocolates left on the pillows.Initially when we arrived I wasn't that keen on the look of the main lounge area, I think it needed some softer lighting with table lamps. Although in the morning it was bustling and jolly with guests at breakfast. We thought the breakfast was exceptionally good. Wonderfully fresh food, including bagels, croissants, rolls, fresh fruit salad, cereals and yogurts - daily papers to read too. The lounge had a lovely informal feel to it in the mornings.Most evenings we made use of the complimentary wine and cheese. We tried to make an effort for this as New York can be so exhausting that it was great to get back and relax with a glass or 2 of prosecco before heading out to dinner. A pianist playing on a grand piano too.Location wise, we thought it was perfect as it is just a couple of blocks away in either direction to the subways on 23rd or 28th street, and only 2 stops to Grand Central Station, with just one change from there to Times Square.Even though the reception desk is very small, we found the staff to be very courteous and helpful. They were only too happy to telephone various tours we wanted to be booked on.One of the highlights of our trip was to see the New York Knicks playing at Madison Square Garden. A real showbiz/sporty extravaganza! Only about 20 minutes to walk back to hotel afterwards.Grand Central Station also just has to be seen - it is spectacular. The food market inside is a rival for the food hall at Harrods.Empire State Building - go up in late evening. We went at 11pm (closes at 2am) and there were no queues. Wonderful night time vista.Take a 2 hour bike tour of Central Park to see all the best bits.Get half price tickets for most of the shows at TKTS in Times Square. Opens at 2 pm.Ellen Stardust Diner in Times Square for singing waiting staff. Loved it. Food is extremely ordinary, but you don't go for the food!Did about 4 main sights every day, so the relaxing drink back at the hotel was very welcome.Back to the Giraffe. Do not think we could have found a better hotel. Loved it (and I am quite hard to please!)	
Nov 2 2008 	Disappointing and over priced	My wife and I recently (end Oct 2008) stayed at the Giraffe for three nights - in short don't believe the hype on this page (some of it is I believe written by the hotel itself) - it is a perfectly ok place to stay but for what it is the hotel is expensive - it is not a &quot;boutique hotel&quot; or luxurious although it tries to claim it is - it is in fact rather worn/tired with some of the staff being pretty indifferent to the concept of customer service - you would be just as well off in a holiday inn or similar such place for a lot less money. There are some genuinely smart boutique hotles in NYC - this is not one of them.	
Oct 20 2008 	Down with chain hotels try the Hotel Giraffe instead	The Hotel Giraffe is very nice and more personal than one of the chain hotels. The breakfast is just right, fresh fruit and bagels, and wine and cheese every evening is a nice after-shopping treat. I liked the decor of our room, which was pretty spacious for NYC. I give it a thumbs up.	
Oct 20 2008 	Great location	We booked this hotel for a 3 night stay for 4 of us (myself,hubby and 2 daughters aged 18 &amp; 20).We shared a double, double room which was easily big enough. Good sized bathroom with used toiletries replaced daily.Spotlessly clean, comfortable beds.Good breakfast and wine and cheese provided early evening(although we were never back in time for it). Great location - we walked to Central Park, Times Square and everywhere in between! Staff very helpful an pleasant. Would definitely stay here again.	
Oct 19 2008 	Midwestern Charm in NYC	I had heard good things from friends about the Hotel Giraffe and its reputation is well earned. It's a little pricey, but they do so much extra for the guests that you feel like they really appreciate your business. Check in was simple. When we arrived there was a complimentary wine and cheese assortment with live music. In the very busy NYC, this was such a relaxing break. The room was very beautifully decorated and extremely comfortable. The breakfast, included in the rate, is another amenity that makes hectic NYC so much easier to manage. The location at 26th and Park can't be beat. I highly recommend this hotel and will gladly return again in the future.	
Oct 19 2008 	Continue to maintain high standard	This was our fourth stay at this hotel, stretching over a number of years, and we were impressed by how they have consistently kept their high standards. Service is excellent - staff is helpful, pleasant and informed. The hotel is very well maintained, which is often not the case with boutique properties. An inviting, comfortable place to stay!	
Oct 14 2008 	Hotel Giraffe is a gem!	I'm a New Yorker who was looking for a short getaway in my own city. I found it at the Hotel Giraffe. The location is close to the subway and central to many parts of the city, including Greenwich Village, which I wanted to explore. The hotel room size was ample with nice amenities, including robes and flat screen tvs. I loved the lobby with its comfortable seating; a great location for the complimentary breakfast. I'd like to return in the summer and spend more time at the rooftop seating area, which also looked relaxed and comfortable.	
Oct 13 2008 	Great Little Boutique Hotel	This is a great little hotel in a non tourist location. The staff is exceptionally friendly and helpful. They offered a breakfast in the lobby that was just right and a wonderful wine and cheese reception at 5 daily. The rooms are spacious and comfortable. It is conveniently located close to the subway and numerous restaurants and shops. There is a wonderful city park (Madison Square Park) just one block to the west that was a great place for our 7 year old daughter to play. We really enjoyed our stay there and wouldn't hesitate to go back.	
Oct 5 2008 	Absolutely Perfect!	I cannot recommend this hotel highly enough! We chose the hotel to celebrate my birthday and also to spend our first trip to New York. We were looking for something central, but also out of the main tourist areas, and with a certain uniqueness. The hotel was perfect on all counts. We found the staff to be excellent, nothing was too much trouble, and they helped make my birthday very special. The room was gorgeous and comfortable, we had a view all the way down Park Avenue South from our balcony, the cheese and wine was great and we found the location to be perfect - there are several great restaurants nearby - A Voce and Dos Caminos - and a subway stop a couple of minutes walk away. The hotel was everything we were looking for. We would definitely stay here again and have recommended it to all of our friends already!	
Sep 28 2008 	Fantastic Hotel Giraffe	We stayed at the Hotel Giraffe in Sept 08 as our last fling before our baby arrives, and had a fantastic time. The room itself was spacious and had a cute balcony to watch the world go by. The bed was comfy with a selection of pillows, the bathroom was clean and well stocked. It was the little touches that made it special though - robes and slippers, luxurious toiletries, complimentary bottles of water, and an iHome dock so we could play our own music. We were on the 11th floor which is definitely recommended as the street noise can get loud.The staff were always very efficient and polite, and so helpful with information and taxi-catching. The continental breakfast was fresh and a real treat, and the wine and cheese evenings were a lovely way of unwinding after a hard day's shopping. The Barna roof terrace was also a fine place to have a cocktail before heading out for the evening (and the tapas was delicious here too). Room service is from the Barna restaurant downstairs and was quick and plentiful.The hotel is located in a great neighbourhood - great restaurants and bars to suit all tastes and styles, close to the subway and it was very easy to grab a cab on Park Ave. Madison Square Park is only a short block away and we had a lovely few hours with a picnic there - just pick up some take out on 23rd street and enjoy the greenery and calm for a while.In all, a fab hotel and a great location - highly recommended!	
Sep 19 2008 	Wow What a Great Escape!	Usually my business trips leave me in boring and uninspiring hotels, though this time around I splurged and went for something different. Different is what I got! The Giraffe was incredible! After a long day of dealing with unrelenting clients, Wine and Cheese available in the lounge was outstanding. The staff was helpful in helping my navigate my way around the city, even providing me a map and highlighting some must see spots for me. The room was beautifully appointed and very cushy, which I like. The only downside of my stay was that the room next to mine had a small child that was screaming two of my four nights. Babies cry, but by all means, stick a nipple in the poor kids mouth or something!All and all the stay was great. Im from LA, so dealing with Taxis was a bit off for me, but I got into the swing of things quickly.I will definatly be returning.	
Sep 18 2008 	Stick your neck out and try the Giraffe	This hotel is well located and very friendly. Between mid-town and Soho/Greenwich Village, the hotel is near several great restaurants within a short walk, and subway stops just a couple of blocks away on Park Avenue.Breakfast was fresh and basic--fruit and pastries and bagels--which my wife said were authentic New York style.Our room was quite nice, but we'd suggest avoiding the 12th floor where we stayed, as the outdoor bar goes well past midnight most nights, and there is a meeting room directly adjacent.Our tv was hard to figure out, but the staff helped us each time we were having problems. There is no business center, but there is a single computer in the lobby available first come first served.Rates were competitive. We would stay at the Giraffe again and recommend it to friends.	
Sep 18 2008	Perfect Choice	This was our first stay in a New York City hotel. The location was just what we needed, away from the Time Square crowd, yet close enough to things when walking, taking the subway, etc. The room was large by NY standards (I had been in town on business), the decor was fun, the staff attentive. The lobby was great with breakfast in the morning, all-hours espresso machine, wine/cheese/piano in the late afternoon. We had an issue with a too-soft bed that was resolved quickly. The only negatives were the spotty internet availability and that the staff could have been a bit more knowledgable about simple issues like the subway, tourist attractions, etc. Since it was too small to have a concierge, the people at the desk should have known a bit more. We would definitely stay there the next time.	
Sep 17 2008 	A great place in the chaos that is NEW YORK CITY!	After scouring the web for what seemed an eternity for somewhere to stay for my New York trip, I came across Hotel Giraffe. I was thrown by the name initially but after I checked out their site, I knew that this was the place I wanted to stay and, I wasn't disappointed. I had the deluxe queen room which was nice and spacious. A nice and clean bathroom (which I'm always a bit weary of) and attentive staff. The breakfast selection was enough to get you started on your day and the wine and cheese evenings were a perfect way to relax after a day on the streets before heading out to dinner. All in all, Hotel Giraffe added greatly to my New York experience and I would definately stay there again on my next visit.	
Sep 7 2008 	New Favorite Hotel	What a lovely hotel! Traveled with the 2 year old again and it went perfectly. The breakfast daily was so convenient, and one day when we woke up late Jasmine was kind enough to bring breakfast to our room! Desk staff were very helpful and patient! Love the neighborhood, not a fannypack in sight! Very clean room, spacious and well-appointed. Free internet was a bonus, too. I will definitely stay there again!	
Sep 4 2008 	Great Hotel Great Location	What a great hotel. We can't wait to go back. Large well appointed room. Clean and comfortable. Breakfast great. Wine and cheese reception a great experience as well. Exceptionally friendly and helpful staff. Close to subway stops and other main attractions in NYC	
Aug 27 2008	Giraffe is a perfect New York perch.	I was in New York for five days to deliver my son to college. My sister came up from New Orleans so that we could have some fun in the city. The staff at Giraffe--mostly a group of very affable young men--were welcoming and helpful. Our double bedded room was BIG by New York standards, the furnishings were modern by warm, beds comfy and the bathroom very nice-sized with nice toiletries. Loved the bath robes. Really, really loved the fact that there was almost always a little something to drink or snack on in the lobby. Made it feel so comfortable and personal. Just a wonderful, easy place to be in New York.	
Aug 19 2008 	Giraffe a pleasant surprise in NYC	An excellent small hotel - room was lovely and very clean, maid service excellent, very nice breakfast in lobby which we took to rooftop patio, complimentary wine/cheese each late aft., staff were friendly and helpful. top floor is popular for weekend events so place can be busy but if you know this, no problem! handy to clothing shops nearby heading south on 5th ave.	
Aug 19 2008 	A wonderful stay at the Giraffe	Last weekend my family went for a quick trip to New York City. We were looking for somewhere nice but not too expensive to stay and the Giraffe exceeded all of our expectations. The service from everyone, particularly Jose, was outstanding; always present and eager to help but never intrusive. The rooms were gorgeous with nice amenities and plenty of room for 3 of us with two double beds. I really appreciated the amount of natural light during the day and then the shade that lowered at night to block out all of the lights of the city. It is not a huge room, but it served our purposes very well. The decor was simple and elegant. The beds are a little hard and the pillows were a little soft, but they do provide harder pillows in the closet. Once I used those the bed became very comfortable. The bathroom was also quite spacious for such a small room and I particularly appreciated the cloth they provided to wipe the steam off the mirrors after exiting the shower. I personally enjoyed the lobby area just to sit and read a book or enjoy a cup of coffee. It has plenty of natural light and high ceilings with classic decor and beautiful flower arrangements. It was a great setting for breakfast, afternoon tea and wine and cheese in the evening. The breakfast was your standard breakfast, but the coffee was good and everything was always fresh. Wine and cheese in the evening was a great way to unwind after the day and before going out to dinner. If you are looking for a boutique hotel in New York with a wonderful location and exceptional service, the Giraffe is the place for you!	
Aug 18 2008 	Consistently Great	Second time at Hotel Giraffe was the same great experience as the first. We were celebrating a birthday and I had indicated this when I booked the room (on the hotel's site). A bottle of champagne was waiting on ice when we entered our room, compliments of the hotel. And chocolates! The wine in the evenings, breakfast in the morning, and warmth and helpfulness of the staff make up for any price difference above other Manhattan hotels- you just won't find this level of quality any cheaper. We loved the robes and slippers they have hanging in the closet. The staff was super helpful with directions on the subway system, restaurant picks (try Ray's pizza or Porchao just across the intersection), and recommendations for a night out. We will stay here again, without a doubt.	
Aug 13 2008 	Excllent smaller hotel in New York	We stayed at the Hotel Giraffe for two nights and thoroughly enjoyed our experience. The staff was polite and helpful. The room was clean and comfortable, and the breakfast in the morning was wonderful. There were a few small holes in the sheets the first night which we thought was a bit shoddy, but the complimentary Prosecco which appeared in our room for our anniversary more than made up for it.	
Aug 11 2008 	Nice	My husband and I stayed at Hotel Giraffe this past weekend, it was a combination Birthday/Anniversary celebration. I noted that when I made the reservation, but unlike many of the other guests, we were not greeted with wine or chocolate in our room. I know that is a courtesy, but if you do it for one guest, you should really do it for all guests. The hotel is charming and as another reviewer added not a cookie cutter, chain hotel. We especially liked the complimentary wine and cheese evening reception. On Saturday we went to a 2:00 show and then checked into the hotel, it was so nice to have a few glasses of wine and a snack before heading off to a late dinner. The only thing disappointing was there wasn't a piano player when we were there. Unless he/she came after we had left.Anyway, the rooms are spacious and clean. I was pleasantly surprised that our room had a balcony overlooking the city. It was very romantic and beautiful. Of course the traffic was loud at night, but I have learned from experience to always travel with a fan for some &quot;white noise&quot;. So, it wasn't too bothersome. The beds weren't very comfortable, but I don't think that's uncommon in hotels, at least from my perspective. I think the decor could be kicked up a notch, but it was above average nonetheless. The continental breakfast was nice, but nothing fancy. The coffee was weak and the &quot;cappuccino/espresso&quot; machine was like something out of a convenience store and it either wasn't working well or just wasn't tasty. It was also very crowded and difficult to find a seat to eat in the morning, this was a little annoying, but we got over it.The staff was friendly and helpful. They held our bags and our car until after checkout so we could stay in the city longer, so that was nice.The one thing that was really great about the hotel was the rooftop bar. My husband and I headed up there after dinner to have a drink and it was a quaint/romantic place to relax before going back to our room.Overall I would recommend this hotel to a friend and would stay again in the future.	
Aug 7 2008 	Whats all the hype about?	OK took trip advisors recommendation....was not overly pleased. Did not care for the area. I asked for a room on a higher floor which I got but the hotel is so small you hear noise ALL NIGHT. Beds not to comfy. Otherwise ok clean rooms, breakfast is free and fresh (the bagels are really good!). Staff ok. Its was an OK stay not really worth the money though.	
Jul 29 2008 	Giraffe is Amazing	Years ago my husband stayed at Hotel Giraffe for two months on a work assignment and loved it, so this year when it came time for us to plan a trip to NYC to celebrate my birthday he recommended we choose the Giraffe. I am so glad he did. We had an incredible experience at this hotel over a 5 day period in July. The hotel is conveniently located in a great neighborhood, just a couple of blocks from the #6 subway train. We felt welcomed by the complimentary bottle of champagne and chocolates the staff placed in our room in honor of my birthday. We were also upgraded to a very comfortable suite with a balcony at no extra charge. The hotel lobby was a great place to relax each day. It featured a complimentary continental breakfast each morning and a happy hour each evening. The quality of the food and beverage options was very nice. The rooms were clean and the daily maid service was first rate. The hotel had a night club in the basement that got pretty crowded each night. The staff managed the crowd via a separate entrance so we never heard any of the club noise from within the hotel. In fact we would've never known they even had a club had someone in the hotel not mentioned it to us in passing. The only noise issue we had to solve was the street traffic noise coming through our 4th floor window at night, but we simply closed the thick fabric blinds before going to sleep and that solved the issue. This hotel was incredible - the personalized attention, the clean, spacious rooms, the modern decor, the amentities and the location. We will definitely be back!	
Jul 26 2008 	A mixed bag and a nice try	Hotel Giraffe really was like two different places. At night, the elevators were full of drunk, yelling hipsters and 20-something tourists (maybe they were guests) going to and from the rooftop bar. In the morning, at breakfast, it was mostly older folks--and I mean *older* older; I wondered if these people heard all the noise the night previous or whether it worked out fine because they couldn't hear that well. The place overall seemed to have a veneer of modernity and sophistication about it, but just under the surface was a lack of quality that broke the illusion. The rooms were nicely decorated, and efforts were made to lend upper-end feel, but look closely at the details--a plain institutional box of tissue, an unwrapped roll of toilet paper, creaky old air con units--and it tells the story. This kind of &quot;playing at being a hip hotel&quot; theme persisted elsewhere too: desk staff whose suits didn't fit quite right making strained efforts at cordiality, but clearly not paying attention to guests or very practiced in their jobs; breakfast staff standing by to pour each guest a cup of coffee at the bar, but then disappearing for minutes at a time requiring me to serve myself (I didn't mind, it was just awkward since they had this stand-by-to-serve thing going on before). Overall, I guess the impression is &quot;nice try&quot;. At this kind of rate, though, I'd prefer to stay someplace that knows its business and has hospitality down pat-- thoroughly nice instead of just trying.	
Jul 23 2008	Great rooms at a great price	Stayed here with a couple of friends for a girls weekend away. This hotel worked out very well for us -- the size of the room was amazing for a NYC hotel. Enough room for 4 girls to spread out without bumping into one another!! We were excited to go downstairs for the nightly wine and cheese bar, however were disappointed with the wine choices. Overall, a good hotel at a convenient location!	
Jul 22 2008 	Hotel Giraffe excellent	We stayed at the Hotel Giraffe for a long weekend from July 18 - 21, 2008, and I can't think of a single bad thing to say about the place. Service was great, room was immaculate, location very central. I wouldn't hesitate to recommend it to anyone. We will definitely stay there on our next trip to NYC.	
Jul 20 2008 	Fantastic boutique hotel	We loved staying at Hotel Giraffe. The room was larger than I've experienced before in Manhattan. The food provided - breakfast, wine and cheese, and more - was unique and added to the friendly feel at the hotel. I would definitely stay there again.	
Jul 20 2008 	Hotel Giraffe: still a great place to stay!	Not much is as good as it used to be . . . except the Hotel Giraffe.We stayed there three years ago and loved it. We loved it again for the second time.Though we arrived early, and we expected to wait, our room was ready within minutes. The room was immaculately clean and well decorated. Maid service was excellent. We especially enjoyed the afternoon wine and cheese and met many other interesting guests.We came to NYC to see five Broadway shows and wondered whether the hotel's location was too far out of the way to be convenient. It wasn't. Everything we wanted to do was a short walk or a short cab ride away.Hotel Giraffe is like a stylish European Hotel. We'll be back again.	
Jul 18 2008 	Loved The Giraffe	We stayed at the Giraffe for a few days on a sight-seeing visit to NYC with our two teenagers. Our accomodation was clean and beautifully decorated and consisted of a separate bed-room and living room with sofa-bed (and extra tv !) for the kids.We cannot praise the Giraffe staff enough - from reception to breakfast bar to concierge/doormen they were friendly and helpful. We had a problem with the pick-up of our hire car on the morning of our departure and the receptionist volunteered to help us sort it out, and spent quite a while doing so. Great service!	
Jul 15 2008 	Great service. Great ammenities for price.	Wanted to stay in a different part of town than my typical business trips to Midtown, so stayed here and loved it. Its in a great neighborhood with plenty of shopping and restaurants. Quick walk to Union Sq. The ammentities like free Internet, Free breakfast, free wine at happy hour each evening made it so nice to not be nickel and dimed. The rooms and bathrooms were trendy and nice size. I'd stay again for sure!	
Jul 13 2008 	Love the Giraffe	My husband and I just returned from a fabulous 4th of July weekend at the Hotel Giraffe. This was our second time staying at the Giraffe and we will return in the near future. The front desk staff are very helpful and check in/out a breeze. The rooms are large, bathrobes are provided and the bath products are very nice. Especially love the complimentary wine and cheese evening reception with the piano player adding to the ambiance. Not a cookie cutter, chain hotel, the Giraffe provides both value and an oasis of calm within NYC.	
Jul 6 2008 	Fantastic NYC hotel!	We had a one-night getaway for our anniversary to New York City, and took a lot of time researching and reviewing hotels. Trip Advisor had it right again!! The Hotel Giraffe was wonderful! While a bit expensive, even for NYC, the rooms are large, the breakfast was VERY nice (bagels, yogurt, fruit, pastries, coffee, etc.) and they also had complimentary beverages and cookies all day. They had a cocktail hour w/ complimentary wine/champagne and cheese too. So, at least you get something with your money! I mentioned it was our anniversary and they surprised me by upgrading our room to a suite. It was HUGE and beautiful. The decor was classy but not overwhelming. It had a small balcony, too. The staff were extremely attentive and friendly. I asked the concierge for some advice on where to go, and they even printed out a train schedule for us when we were unable to get our computer on line. I highly recommend this hotel for a wonderful experience in the city!	
Jun 30 2008 	A great experience at the Giraffe	Being a woman alone in New York was daunting but having found the Giraffe I felt secure and pampered. The breakfast and the evening wine and cheese hour was especially welcoming. My room was large and luxurious with everything from umbrella to slippers provided. Although a long way from the Museum mile there was excellent subway connections and the advantage was it was within easy walking distance of the great shopping in Soho and Greenwich Village.	
