	Kimberly Suite	We had a two bedroom suite with an outside deck with limited but nice views from the 19th floor. Full compact kitchen, two baths, really nice older hotel. Lots of action by the lobby and out on the street.	
Feb 5 2007 	Disappointing Stay at the Kimberly	We chose to stay at the Kimberly because of its excellent reviews. Unfortunately, we were horribly disappointed. While the Hotel Manager was very nice, the Assistant Hotel Manager/Concierge was argumentative and rude. Additionally, the gentleman at the front desk technically did his work by checking us in, but he was not very helpful with our questions and acted like he'd rather be anywhere else than working at the front desk.The linens and towels in the room were beautiful and top-class. Unfortunately, the room itself was quite shabby and run-down. It was very obvious that this property was a converted apartment building and that no one had bothered to renovate this room (on the 4th floor). It was quite nice having a suite, but, once again, the furniture was old and worn out, the tvs were definitely old (compared to state-of-the-art tvs we've experienced at other hotels), and the room just looked terribly old and run-down. It was a huge disappointment from what we had been anticipating from reading other readers' reviews.At the front desk, there is a display of a letter from Jimmy Carter. I'm sure he had a much nicer room.	
Jan 5 2007 	Excellent stay at 'the Kimberley'	My wife and I stayed at the Kimberley Hotel for six days over this Christmas period.The Hotel met all our expectations:Although the foyer is on the small side all of the staff are polite and very efficient.Our room was very large containing numerous storage cupbords, large wardrobes, two TV's, a bed wider than it was long (&amp; very Comfortable), lounge area with a three peice suite and coffee table, Kitchen aea with all neccesary appliances, balcony.The only minor disapointment was that the bath was small, more of a huge shower tray and the shower was really powerful.Finally our moring breakfast was something that we both looked forward to. Basically a buffet with every style of breakfast food available including a designated egg man. Fantastic it was a pleasure tipping such service.	
Dec 28 2006 	My Family Still Raves about the Kimberly Hotel	This trip to New York was for our 2 daughter's (ages 6 and 8) &quot;birthday extravaganza&quot; weekend. We traveled to NYC on December 2 and 3rd to do the American Girl, Rockefeller Center, Radio City Music Hall, Central Park activities and had a blast. The Kimberly was perfect for our family of 4 and for friends of ours who traveled with us with 3 kids. The hotel was clean and nicely appointed. The location was fabulous and the staff, amazing. Harry, the doorman, was so kind to the children, he not only spoke to them, but played with them and made them feel like they were really welcome at the hotel. We will definitely go back to stay at the Kimberly.	
Dec 23 2006 	Lovely stay	we stayed 3 nights form oct the 19th, we both found the hotel and the staff excellent, it was our wedding anniversary on the 20th and there was a bottle of wine in the room when we returned in the afternoon which was a lovely touch, we were on the 17th floor facing the street, but although it was noisey 24/7 it was not overly so and was after all what we were expecting from NYC, the location is great, we are walkers so we only used the subway once, and everything is within distance, we booked through the hotel website well in advance and were able to get a suite when all the other sites could only offer a room for the same price so it is worth checking that out before booking,all in all a great place to stay and will certainly stay again when in town.	
Dec 13 2006 	Splendid!!!!!!!!	This hotel is Great! It is in a brilliant location very close to three subway lines which is helpful for when you want to visit the attractions. All of the staff were friendly and helpful especially Raulph the doorman who gave us lots of resteraunt recommendations. Thee rooms were clean and comfortable and the addedextras e.g. robes, free internet access etc were great.The rooms were large by NYC standards and you have never felt beds like the ones at the Kimberley - Think goose/duck down and lots of it!! fabulous!If you have the capacity to afford the Kimberley the location (10mins walk from Rockerfeller and central park) and the great hotel atmosphere especially at Christmas are well worth it. Pictures to follow!	
Dec 5 2006 	Fantastic Stay at the Kimberly	We just returned from our holiday weekend in New York. Our stay at the Kimberly Hotel was fantastic. The location fit our needs well. It is located right around the corner from the Waldorf. We walked to Rockafeller Center, St. Patrick's, the American Girl Place (we have two young girls... it was a must), the famed store-front windows and Broadway/Times Square. It was under $10 for a cab ride to Macy's. Our one-bedroom suite on the 28th floor was perfect (ask for a high floor). The room was very clean and the linens were remarkable! The bed was extremely comfortable and was just perfect after long days walking around Manhattan. The view from our balcony was incredible. We took in the Breakfast Buffet at the hotel restaurant on Sunday morning. The made-to-order omelets were great with several selections of fruit, meat and more.The Bellman, Concierge, Valet, and Front Desk people were all polite and very helpful... without exception. They treated us very, very well.The is the perfect place to stay when visiting Manhattan with the family!	
Nov 23 2006 	lovely hotel great location	stayed in a one bedroomed suite for 4 nights room dated but very clean.Doormen very helpful,delis close by for breakfast .Didn't find new york lunchonette that great.Beds comfortable sofa bed just ok	
Nov 23 2006 	Great space for 5 adults at the Kimberly	We had a very comfortable suite at good rate for 5 adults. Convenient location for shops/transport etc. Staff very friendly. Rooms very clean and a great views from the 30th. Some minor wear and tear in room but nothing significant.	
Nov 6 2006 	loved the kimberly	We stayed at the Kimberly on the weekend of the NYC Marathon. The location is very convenient- the corner of Lexington and E.50th, one block from a subway stop. The room was immaculate and the beds were wonderfully comfortable. The staff was friendly and anxious to please. I will definitely stay at Kimberly on future trips to NY.	
Oct 26 2006 	Great location large room decent price	Per the recommendation of one of my colleagues, I stayed here on a recent business trip. By NYC standards, the room and bathroom were large. Both were clean but a little worn around the edges--small chips on the furniture, some staining on the grouting in the tub, etc. However, everything I needed was there: two very comfortable and luxuriously dressed beds, iron/ironing board, hairdryer, bathrobes, small fridge, good sized closet and, down in the lobby, staff members that were very polite and eager to please. Staff quickly got me a cab when I needed it, but the Lexington/51st Street subway stop is literally just around the corner. I paid $255 a night, and although that's not cheap by any means, it is a very competitive price for NYC right now. Given its convenient midtown lcoation--Rockefeller Center is a couple of blocks away--the Kimberly was perfect for my trip.	
Oct 23 2006	okay place great location	I booked this trip 6 months ago and got a good price of $255/nite when most comparable places were over $300 at the time I booked. I think it's worth the money I paid, but nothing more. Front desk staff was nice but not terribly knowledgable nor seasoned. We checked in late (11pm) and were given a room with 2 double beds instead of the queen/king we'd requested. (It was our anniversary). They said they never &quot;guaranteed&quot; those requests, but said they'd check in the morning. Sure enough, they moved us the next day (had to repack!!) to a room in the front of the building w/ a king bed. Double paned windows reduced the street noise just fine (we're used to a little urban noise). Size was decent for a NYC hotel room; bed and linens were really nice, and there were 2 dressers and a small closet. Bathroom was okay, but NO counterspace or any place to put toiletries. (The first room we had actually had a lot of counterspace AND a separate dressing room with a counter.) Overall, the place needs sprucing up - chipped surfaces, dusty fixtures (including the coffeemaker!), showing its age. There are 3 other hotels in the same block which, at times, have had competitve prices. They all looked nicer. Restaurant next to the hotel looked JUST okay (I&quot;m a food snob); the bar was fun, with impromptu opera and jazz singers taking the mike. The best bagels in the world around the corner on Third Ave. Great location in Midtown East, easy to get up- or downtown by walking. Subway stops close to get anywhere. Not a bad experience for the price and location.	
Oct 18 2006 	Excellent Choice for Familes	Our family of four just returned from a lovely 4-night stay at the Kimberly. Our one-bedroom suite was spacious and well appointed, although my son preferred to sleep on the sofa itself rather than the sofa bed. The bed linens, robes and towels were of very high quality. Having a kitchen is a godsend when traveling with children in an expensive city. We were on a low floor on the back, which meant that we had no street noise (a very welcome change from our last stay at a different NYC hotel), but the proximity to the air-conditioning units meant that we couldn't use the balcony. There was plenty of closet space. The bell staff and doormen could not have been better. The location - a fairly quiet hotel-laden street - was excellent as well.We enjoyed our stay and would not hestitate to return in a minute. Moreover, considering the price of even modest hotel rooms in NYC during the &quot;peak&quot; month of October, I thought we received excellent value for our money/	
Oct 14 2006 	Cozy Little Place	The Kimberly was wonderful. It was full yet I never heard any noise from the hallway. My bed was extremely comfortable; I rarely sleep as well as I did on this visit. The staff was professional. My air handler was a little noisy but everything else was great. They even had Neutrogena products in the room; nice!	
Oct 9 2006 	The PERFECT hotel for a family vacation	My husband and I took our 14 and 16-year old daughters to NYC for 10 days, and I CAN'T RECOMMEND THIS HOTEL HIGHLY ENOUGH!I used to travel to NYC on business every few weeks, and finding a spacious hotel room at ANY price can be a challenge. I really wanted the girls to see New York, but I was dreading sharing a cramped space with all of their stuff...I thought we would be climbing all over each other and their 30 pairs of shoes. But we stayed in the Executive One Bedroom Suite at the Kimberly for $420/night, and it was HUGE...king bedroom and nice masterbath, second 1/2 bath (godsend!), large living room/dining room combination with pull-out sofa bed (queen size, I think), fully-equipped kitchen (nice way to save a little money in an expensive city!), dining room that seats 6, balcony with a view of the Chrysler building, and 5 closets. Compare that to any accomodations for 4 in Times Square -- or even an apartment rental -- and you'll see what an incredible deal that is. (Book early...I think they only have one with a second half bath). They also have luxury suites with upgraded bathrooms, but this was very nice and perfect for our family.Great location in mid-town so you can get anywhere you want to go easily. I highly recommend this hotel, especially for families with teenagers (btw: I didn't think it was possible, but we spent 10 days on vacation with our daughters and never heard &quot;I'm SO BORED&quot; once!....Worth every penny!)	
Sep 17 2006 	A good not great option for those needing suites.	Stayed at the Kimberly Sept 11-15. Had stayed at the Waldorf previously but needed a two bedroom suite with kitchenette and this fit the bill. The location is superb; easily within walking distance of any midtown adventure you would want. Staff: Very accommodating, especially the doormen. Although on arrival, our check in person (the blonde) kept us waiting while she finished a personal call. On departure our doorman had a tough time getting a taxi and walked down the street to Lexington (in the rain) to flag one going south and get it down our way. Room service was generally good; however, we did have to call down twice on one request. Facility: Know in advance that this is a converted apartment house. Thus the lobby is small and congestion around the elevators (if they are running) is not unusual. The elevators are old and unreliable as has been posted before. One of the two was out of service for our entire stay. The one remaining elevator was over challenged to support both client and hotel staff needs. After the first day, every time we left our room we started making bets on: 1) how long it would take to get one to our floor (the 24th), and 2) how many times it would stop on the way down. The hotel management tried to make amends for the inconvenience and offered a free breakfast at their Ferro’s restaurant for all clients. Bedrooms are nicely sized and the linens are superior. The bathrooms are nicely appointed; however small. The blow-dryer must be used standing up….my wife did not appreciate this feature. Our two room suite was in need of a really good cleaning and paint job (the breakfast bar had been touched up with paint that didn’t match). Screening of upholstery condition left something to be desired. We discovered one sofa pillow that had what appeared to be vomit on one corner as did part of one sofa cushion…..and it wasn’t fresh. We had a nice balcony with a great open view. It faced the Chrysler building and it was fun to watch the lights disappear in the lowering fog. The kitchenette offers all necessary items (including corkscrew) and we made a quick trip to the Food Emporium on 52nd and 2nd and the Beekman Liquors store at 500 Lexington to stock up. Note that Beekman only carries high end wines and liquors at commensurate prices. There are no deals. Our doorman later suggested Diplomat Liquors on second, also about two blocks away. The refrigerator/freezer has two ice trays and you should take every opportunity to keep them filled (check whether the freezer setting is on full cold otherwise it’ll take a while for the ice to form). There are no other ice machines available except the one in the basement which is accessible only through room service. Would we go back? Probably not as a couple. If we had another couple to travel with again and wanted the suite option we’d consider it.	
Sep 15 2006 	Great Location and Value!	I've stayed in New York many times and thought the Kimberly was the best deal for the money, particularly if you have a family. My sister, two nieces and I had a one bedroom suite with two beds, kitchenette, living room, and balcony (which the girls loved). The beds were very comfortable and the kitchen was well-equipped and convenient for breakfast, quick snacks and &quot;happy hour.&quot; I felt we had plenty of room to spread out, keeping in mind that hotel rooms in New York are usually small. A word of caution, however, this type of room is not guaranteed. Another friend and her two daughters were with us and they also had a one bedroom suite, but no balcony and a king bed (although I requested 2 doubles for both rooms when I made the reservation with Express, which is now Quikbook). The only negative is the pull out sofa - it's uncomfortable, but we just requested a bunch of pillows and it worked fine. It's very well located for shopping, sightseeing and the park, with the theatre district about a 10-15 minute walk. The subway is also convenient and taxis are plentiful. The staff couldn't have been nicer, especially the bellmen and doormen. Part of our group was taking the train to DC and they were able to get all of our luggage in the trunk (and young girls don't pack light!).	
Aug 31 2006 	Fantastic hotel !	we stayed in a one bed suite with a king bed and seperate living room which had a pull out sofa bed-ideal if you have children as we have. The room was beautifully appointed with a kitchen full of the necessary cutlery etc, and we were most impressed at the standard of the towels and linens but best of all was the fabulous bed which is probably the best we have ever encountered in a hotel. The hotel is in a great location close to the subway on lexington and has a good irish pub just two streets away and numerous coffee shops in the area. The staff were great especially Harry the doorman who made our seven year olds day every time he greeted her with a high five and a hiya princess! We would definitely stay here again as the location, service and standard of the rooms are wonderful for the rate that this hotel charges. I would certainly recommend it to everyone.	
Aug 20 2006 	It was pretty good!	My family and I stayed at this hotel for two nights. The lobby is tiny, but very warm and welcoming. We stayed at a one bedroom suite. The rooms were at a very reasonable price: about #300 per night. They were quite small, like the lobby, but very comfortable. I liked that there was a fully-equipped kitchen, and a nice dining room. The beds were relaxing, but the queen sized sofa bed was too springy and when I woke up, my back was aching. There were great amenities, but the Internet access is a little pricey. (I mean, $7.95 for 24 hours!) There is a printer/fax/copier on the desk too. The service is extremely friendly; they are polite and very kind to children. The dining here is great too. I have tried their breakfast buffet, and it was very good. On weekdays, the breakfast buffet is free for people staying at the hotel, but for outsiders, it is not complimentary. Overall, it was a very nice stay at the Kimberly Hotel.	
Aug 19 2006 	Great Giirls Weekend!!	Just back from a great ladies getaway for a long weekend of eating, shopping, theatre-going and laughing! The Kimberly was an important factor in our enjoyable escape. The doormen were all very helpful and charming. The room was very comfortable,quiet and spacious ( by N.Y. standards) and the bed very comfy. The A/C worked very well during our extremely hot weather. Having been many times to N.Y. this hotel ranks highly in my mind. Location is ideal......close to Bloomingdales- 5 min. walk...and not far from Rockefellar Center and Fifth Ave. Fine breakfast places nearby.	
Aug 14 2006 	loved this hotel!!!	I can't remember when I've stayed in a nicer hotel. The location was wonderful. The rooms are small but very comfortable. At night your bed is turned down and they put music on from the bose clock radio. There was a good size refrigerator and icrowave. The refrigerator even had an ice maker. There are plush terry cloth robes you can use. There's even a pillow menu. You can chose from 1 of 10 pillow types. The bathroom is very nice and clean. If you want a nice view you're going to have to sacrifice quiet. The inside suites are facing other apartment buildings but the upside is the room is quiet. There's a great lunchenette right down the street. We ate both dinner and lunch there once. All in all I think this was a great hotel. I would go back in a heartbeat.	
Jul 28 2006 	not great when NY is hot	i read how great this place was and must admit i was quite disapointed. I stayed in 3J. I arrived last week sunday to the NY heat wave to discover that i was never going to get the room cool with the 100 year old airconditioner that seems to exist in so many old ny hotels.Other than that the stay was fine but nothing memorable. Maybe a touch bigger than the cool boutique hotels, bed was good, but otherwise disapointing after reading reviews. Going to try the sofitel next week when i am back	
Jul 19 2006 	That's right - believe the great reviews!	My family of four stayed at the Kimberly from June 30 to July 11, 2006. It was our first trip to NYC, and the hotel was fabulous. The suite was great; plenty of room for the adults in one room and the children on a queen sized pull out sofa bed. The location was terrific; subway entrance to the 6 on Lexington was literally around the corner. Easy walking to Rockefeller Center and 5th Avenue. Any questions or concerns were promptly handled by the extremely friendly staff. The full kitchen was wonderful. With Ess-A-Bagel around the corner, we were set for breakfast for the entire trip. We definitely recommend the KImberly, and plan to stay there again when we have the opportunity to return to New York.	
Jul 13 2006	Believe the great reviews!	We thoroughly enjoyed everything about our recent 6 night stay at the Kimberly. The staff is helpful, friendly and courteous. The Kimberly resides in a safe and centrally located part of Manhattan. This was our first trip to NYC and we were able to walk or take the subway to any part of Manhattan with little or no direction. Our hotel room was nicely appointed with a great bed and full kitchen. We took the subway to Union Square for groceries at Trader Joe's and/or Whole Foods and saved a lot of money preparing our own meals using all the dishes and utensils provided. Also, our suite was the quietest room we've ever stayed in; we heard no &quot;neighbor noise&quot; the entire time! Believe all these positive reviews - this is a wonderful place to stay and we will do so again on our next trip to the city.	
Jun 25 2006	Superb Kimberly	My husband and I stayed here June 8-15, we were very pleased with our suite, noise was not a problem, (ear plugs provided but not necessary) The staff were courteous and pleasant, and efficiently handled our few requests. We were very impressed with the doormen, not only were they helpful, they rushed to open doors and always greeted us with a big smile. Great location, and the river cruise is an added bonus. Will definately stay at the Kimberly again, and will recommend it to our friends.	
Jun 25 2006	Great Location!	We stayed at the Kimberly from 6/11 to 6/15/06. Great hotel, location, service!! We were given hotel options by our travel agent and after checking the reviews of all on tripadvisor.com we selected The Kimberly (145 East 50th). The room size was perfect (small apartment size) and very clean. Was better than any other hotel we have stayed in....bed was so comfortable and the down pillows were an extra touch. The hotel staff were very friendly and professional....especially Edgar (night desk) and Ralph (doorman). You can't beat the location as it is close to restaurants, museums, United Nations, etc.. At night we felt it was very safe to walk to dinner or just walk, walk, walk. We ate almost every morning at the New York Luncheonette two doors away....good food at reasonable prices. A block over, AuBonPain is great for pastries, coffee, bagel. Subway entrance is really close to the Kimberly and we took advantage of that by riding to Union Square to Havana Central (delicious Cuban food!) for dinner. If you are looking for a quiet bar/lounge (with windows for people watching) then try Lily's which is just a block over from the hotel. Really can't say enough good things about this hotel. Would definitely stay there again!	
Jun 22 2006	Fantastic elegance location and service .	I simply will not stay anyplace else. We have lived in NYC and this was the best of returns. The location ,near the Lex subway, the bus, the restaurants, and Bloomies , is wonderful .It is the staff from the doormen , who run the street, to the concierge and all the others who make your stay so enjoyable. Very confortable rooms with storage that is unusual. Beds to die for!	
Jun 13 2006	Excellent	Excellent Hotel. Large Rooms, Well-Appointed and Clean. I wish I could have stayed longer.	
Jun 5 2006	Clean Convenient Kmberly	Kimberly is a clean convenient hotel close to the Grayline Tour bus stop and number 6 (1 block) train. We requested a King bed and when we arrived we not only got a King but were upgraded to a suite with a balcany. Did not eat at the restaurant looked good and they do offer room service. Staff was very attentive and always had a smile. Location was good, far enough from Times Square but not to far that you couldn't walk.	
Jun 3 2006	Just as wonderful the second time around	My husband and I spent 5 nights here from 5/25 thru 5/30. This was out second stay at the Kimberly and it was again a great experience. We had a one-bedroom suite on the 20th floor overlooking 50th street. Having an in-room safe, two tv's, a full kitchen, and such comfortable beds make this a home away from home. We paid $279 a night plus $10 a day for internet service . . .certainly not cheap . . . but moderately priced for NYC. I'm sure we'll stay there next time we visit the city.	
May 30 2006	Wonderful Place	We stayed at the Kimberly Hotel over the Memorial Day Weekend. We loved it.I went down with two of my friends for a weekend of theatre, dinners and shopping.Great location and most important a great staff. We had a beautiful room with a terrace and wonderful beds. The comforters and sheets were great.I plan on coming back here in October.	
May 25 2006	Great Stay	We arrived very late at night and on the way to the hotel from the airport we were pretty tired from traveling. We arrived at the hotel around midnight and after unloading and checking in, we all felt wide awake. We decided to walk around a little bit, and boy are we glad we did. The area was so alive and we felt safe walking around at that time of night. The subway is right around the corner and everything is so easy to get to from here. Great walking area. You get a great feel of the big city here. The staff was so pleasant the entire time. We stayed on the 28th floor so we didn't hear alot of street noise. The streetnoise we did hear was pleasant sounding because after all, you are in a big city and it's a big part of it. We had a great balcony. Our room had plenty of space and we did not feel cramped at all. We felt it was the size of a small apartment. When I return to NYC, I will plan on staying here again.	
May 9 2006	Fantastic!	The Kimberly is, truly, a gem!! Stayed for three wonderful nights in the &quot;two story&quot; and cannot say enough good things about the accomodations and the staff. From the moment we arrived, we were greeted with warmth and the utmost in hosptitality. The beds were glorious- down mattress pads and comforters!! Soft sheets!! Thick plush towels!! And the location cannot be beaten- perfect central location. I wouldn't even consider staying anywhere else in the future.	
Apr 28 2006	Superb New York Hotel	We spent a fantastic 3 nights , 4days , at the Kimberley this April. The staff from the moment we checked in to the moment we left were first rate.They were all polite , attentive and very friendly without being overbearing.Our room was the best we have spent in a Hotel anywhere.It was actually a suite including small kitchen area , Lounge , Bedroom and bathroom.It was spotlessly clean and the Kingsize bed was just fabulous.I snore a lot ( Allegedly ! ) but even my wife could'nt here me we were so far apart .She was also very impressed with the standard of the bed linen.We will certainly book this hotel for our next Visit.Andrew and Julie Newsome UK	
Apr 27 2006 	Loved the Kimberly	I travel to NYC quite often and always was searching for 'the' hotel...now I've found it! This is the best New York City hotel that I've ever stayed in, by far! Courteous staff, gorgeous accomodation - I've let colleagues and friends know and I wouldn't even bother trying any other hotel now. The location is great with a good deli close by and the proximity to all the stores - I could go on......	
Apr 16 2006 	Such elegance!	I loved The Kimberly! It's small, as hotels go, but I never felt claustrophobic in it and especially not in my room. The parlor was comfortable, the kitchen surprisingly complete, and the bedroom was QUITE spacious with an awesome bed. The staff was delightful, especially the doorman, an older African American man, who was quick with a smile and never, ever gave me the feeling he was looking for a tip (which made me tip him more!).It's conveniently located to many midtown attractions and also the subway at 51st and Lexington.I would definitely stay here again, but word to the wise: make sure you get your car out of the garage within a 24 hour time period or they will charge you for an extra day, even if you're only a minute or two late!	
Apr 4 2006	Annual Girls Trip	I travel to NYC with my Best Friend every year. It seems more of our friends join us each trip. This past year we had a party of 4 so we rented a 2 bedroom suite at the Kimberly. It was so perfect. The most spacious room we have ever had in NYC. We had a private balcony and the bedding was dreamy. We did not use the kitchen except to store cold drinks in the fridge. They even provided us with umbrellas when it rained. I would and have recommended this hotel to others and will be visiting again myself. This only downside was one of the girls slept on the pull out sofa bed. It was not at all comfortable while the rest of us has luxury bedding.	
Mar 30 2006	This hotel is in a great location.	I stayed at the Kimberly Hotel with my two teenage children in March 2006. We were in a one bedroom suite which was very large in relation to other New York hotels I've stayed in. The two double beds were comfortable, but the pull out sofa was horrible. The staff was very friendly and helpful save for the cleaning staff. They were unfriendly and loud in the hallways. I cannot say enough positive things about the bell and door staff though. They were very attentive and never hesitated to help us find a cab and our luggage was tended to quickly. If you want a location that is within walking distance of Central Park South, Rockefeller Center and Times Square than it's perfect. Personally I prefer staying in a quieter neighborhood and taking the subway or a cab to midtown. Overall it's good value for the price.	
Mar 22 2006	Nice location	I spent 5 days with my two teens at the Kimberly Hotel. We had a one bedroom suite which worked out quite well for us. We had a good rate with Expedia. I considered upgrading to the luxury collection which is the renovated upper floor area but it would have been an extra $ 200/night. Also, I had read that the sofa beds are not comfortable (this is an UNDERSTATEMENT) the springs dig into your back! The hotel has a $ 30/night charge for rollaway cots. The beds in the room were quite comfortable and also had a remote control to lift the head and foot rests for the mattress but only one worked...On the positive side, the hotel is in a perfect location. We walked to the Rockafeller centre, Times Square, Fifth Avenue, etc. The Starbucks ( 1 block west) is a fast and easy spot to grab breakfast. This was better than the breakfast buffet in the hotel. I would most likely choose this hotel again as it is centrally located and in a safe area.	
Mar 6 2006	Terrific Trip!	I planned the trip to NY as a surprise to my husband for our 22nd Wedding Anniv. I got tickets to the Met for La Traviata and then searched for a hotel online. The Kimberly met and exceeded expectations...it was roomy (we had a suite), clean, comfortable and had great views. The location couldn't have been better, very close to shopping, Rockefeller Center, the subway...everything. I wouldn't hesitate to recommend it to anyone...for the price it was GREAT! Do not expect the St. Regis or the Palace, but a European Boutique Hotel and you won't be dissapointed. Along the lines of a Hotel Monaco....Restaurants: DeGrezia just east on 50th from hotel is great for dinner...Deli's don't miss Maxie's or Roxy's at Times Square...also &quot;21&quot; Upstairs was very romantic before the Opera!	
Dec 28 2005	Perfect for a Girls' Shopping Trip	Three friends of mine and I stayed at The Kimberly from December 1 until December 4, 2005. We're in our thirties and have each traveled extensively. We stayed in a two-bedroom suite on the 27th floor. It was a corner room with a balcony. We had more space than we could have ever put to use. (It did come in handy for all the shopping bags.) The staff was fabulous and the location was ideal for our purposes. The decor in our suite could be updated but really, how much time do you spend in the room when in NYC. It was exceptionally clean and the beds were to die for. I would recommend this hotel to anyone except those looking for an extremely posh and romantic hotel for their stay. We’ll definitely be back!	
Dec 26 2005	Great for Families	We stayed at the Kimberly Hotel Dec. 11-14 in a 2br suite. It was very spacious for a family of four adults and one small child. I was quite impressed with the cleanliness of the suite. We arrived early and our room was already available. The staff is very considerate and helpful, most especially the doormen. We were always met with a smile whether we were coming or going. I found the location ideal as it was central to most of our activities and with very little street noise. The walk to Times Square is short as is the walk to major shopping.Some of the furniture did look a little worn but considering the the space you get get for such a reasonable price in NYC, it was perfectly fine. I was very pleased with our stay at the Kimberly and would highly recommend it, especially to those on a budget and with children.We will definitely stay at the Kimberly Hotel again!	
Dec 20 2005 	For the amountof space no complaints!	I booked into The Kimberly the week after Thanksgiving for 5 nights after reading reviews here. Got a nice deal thru a web reservation service. The lobby was much smaller that I anticipated, but who spends time in the lobby? The room was VERY spacious by NYC standards. Had freinds staying around the corner, The W, and I visited their room.....TINY. They actually ended up staying an extra night in my room as I had the pull out sofa in the living room. I really like the balcony. It is nice to be able to walk outside and check the weather! The staff was very freindly, esp housekeeping! The receptionist tried to upgrade me to one of the premier suites but didn't have one for all 5 nights. The steak house adjacant served a good meal, but I would have appreciated better service at midnight with only 4 other tables in the place. They serve until 2am. I would stay here again at a discounted rate. Their published rates are much too high for the calibur of the property.	
Dec 15 2005	It is what it is....	Spent a long week there for business. The room was spacious with a full kitchen and sitting room It was clean and the bed was soft but comfortable. The work space provided was very small and the lighting was poor. I felt like I was checking my email in the dark most afternoons. It feels like an older apartment inside. The staff was nice and helpfull with several requests I made. One downside, one of the elevators broke and the on that was left was very slow. I walked down 12 floors to go out to dinner...happy that I wasn't on the 30th or having to walkup. It was fixed that night so it must have just been something small.	
Dec 8 2005	Fantastic Hotel	We stayed at The Kimberly Hotel, 145 E 50th Street, New York for a total of 6 nights in November and would recommend it to anyone for it's location, friendly staff, size of suites and comfort value. Perhaps not the cheapest of hotels but we could not fault it in any way. Suite had everything - large bedrooms with oh so comfortable beds, great living area and kitchen, spacious bathrooms with every comfort, everything spotlessly clean and the added bonus of a balcony with the breathtaking view of the Chrysler Building.It doesn't get much better than this.We wouldn't stay anywhere else now when we visit New York.	
Nov 30 2005 	Best service best value in Midtown	I stayed at the Kimberly for the first time this week and at every turn, was suprised and delighted by the unparalleled service and amenities they provided during my stay -- from the complimentary upgrade to a suite, to the personalized note and free gift from the manager (completely unexpected), to the extremely attentive staff and the most comfortable bed I have ever slept in outside of my home! All this for less than $300/night? That's unheard of for Midtown. Plus, the location cannot be beat -- it's 1/2 block from the Waldorf-Astoria. I LOVED this hotel and will definitely be back!	
Nov 29 2005	Great Location and Room	I have stayed at and complained about many touted 4.5 and 5 star resorts. It is rare, therefore, that I would fully endorse any accommodation. However, staying at the Kimberly made my family and my first trip to New York a truly wonderful experience. The room was spacious, clean and well decorated. The only drawback was the less than friendly employee on duty for customer service. On the other hand the rest of the staff were so great that her less than helpful disposition seem so contrasting.	
Nov 26 2005	Suite Dreams	The Kimberly has an excellent location, terrific staff and extremely spacious suites in a city where visitors regularly pay over $300 for tiny box-sized rooms. But, unless you are staying in one of the top-priced suites, the Chrysler, Ambassador or Empire, don't expect to be utterly thrilled. Our 1-bedroom suite was roomy and well-appointed with large windows in both bedroom and living room (with balcony), but they hardly mattered, as they looked out onto a dingy blue building directly across and down to heating vents and compressors. This meant the room stayed dark even though we had sunny weather during our 3-night stay. The upside of being on this side, was that the drone of the equipment below was perhaps preferable to NYC street noise, even on the 15th floor. As mentioned in other reviews, furnishings are somewhat dated; my husband thought the lamps were particularly ugly, however everything was clean and in working order. Two terry robes were provided, one TV in each room, a CD player in the bedroom, full bath with Neutrogena toiletries, lots of closet space and drawers, extra towels and pillows, a well-equipped kitchen, comfortable bed with good linens and down duvet, big couch, soft chairs, dining table and chairs, desk with fax machine and in-room wireless or ethernet-cabled high-speed Internet, - on the whole better than many a working New Yorker's apartment. Like anywhere, your impression of The Kimberly will depend on your expectations. I had a good idea of what I was getting into from reading many of the other reviews, both favorable and not. We left feeling satisfied with The Kimberly, but somehow it did not earn our affection as a favorite hotel. As long as it remains competitive price-wise however, it will be a contender for future stays.	
Nov 14 2005	Superior service 	We do not normally write and express our views but we had such a great week at the Kimberly that we felt it necessary. We knew the location was good having stayed at the Waldorf the previous year but the service at the Kimberly was far superior. The staff were always pleased to see you and provide assistance. On entering the lobby Gregory always greeted you with a beaming smile and made you feel welcome.The one bedroom suite was just as expected, very clean and spacious. It was a haven to be able to return put your feet up and have a hot drink whenever you liked from the comlimentary filter coffee or tea.The small kitchen was well fitted with gas hob/oven, microwave, fridge/freezer, toaster, coffee machine and there was even a dishwasher!It was great to be able to get to all parts of Manhattan quickly from the nearby metro lines and Fifth Avenue and Central Park only a few blocks away.We didn't expect to receive such a personal service but that is exactly what we got. Congratulations to the Manager and all the staff.	
Nov 4 2005	Every year	Unless you just want to pay for over the top luxury, why stay anywhere else? The Kimberly is part of why we love NYC. Great staff. Great rooms. Great location. Can't wait for next year, it'll be our fifth year in a row at the Kimberly.	
Oct 16 2005	Wonderful	October 12 - 15. Loved this hotel. Suite was clean and comfortable and staff was very professional and extremely friendly and courteous. Nice safe location.	
