	Quiet Haven Amidst the Noise	We celebrated our wedding anniversary with a trip into NYC and enjoyed the quiet of the Ritz Carlton. Our room was on 6th Avenue, but we were able to see Central Park. The room was spacious, spotless and serene. The service is impeccable. This hotel is highly recommended!	
Jul 27 2007 	A very special experience-cannot wait to return!!	What an exceptional stay this was. I had a terrible experience with one Ritz Carlton, and a disappointing experience with another one. I figured either &quot;three strikes and you're out&quot; or &quot;the third time is the charm.&quot; I am glad to say this was absolute charm from start to finish! This is a gorgeous hotel, and unlike some other reviewers, no one in the lobby seemed to care that I was dressed in sweats when I arrived. In fact, despite the fact that there was a mix-up (not their fault) with my reservation, they promptly accommodated me with a park-view room at 11am. A delightful surprise. Similarly, when I was heading out to dinner (around 5:30 on a Saturday night) and asked the bellman for the use of the hotel's Bentley, he promptly called the driver over and he drove me right to my restaurant. No waiting, no hassle, nice conversation, and a wonderfully comfortable ride!Shannon and Rosa at the front desk are lovely. They could not have made my arrival any nicer. Shannon escorted me upstairs, stopping along the way to show me the spa and the club lounge. It was wonderful. The room itself was beautiful, and huge! I absolutely loved every aspect of it. Others have mentioned the comfortable beds and Fekkai bath products. I concur. . .they are all wonderful. The slippers actually fit--a nice change of pace!! I returned to my room after lunch and an afternoon of shopping to find a cd in my room from the show I had seen the night before. With it was a note to please enjoy the cd as a gift from the hotel and a reminder of my trip to the city. It's that extra touch that makes the difference. Similarly, I mentioned to the concierge in the club lounge that I really wanted to know how the last Harry Potter book ended (I was in town the weekend it released), and he promptly produced one for me to read while I was there. Talk about resourceful!!I also took advantage of the La Prairie day spa, at which they promptly accommodated me with a same-day appointment. My facial with Mary was exceptional, and the reception staff were outstanding.Overall, although expensive, I think this hotel is worth every penny. I am definitely looking forward to the time when they reopen their restaurant, and cannot wait for my return trip next year!!thanks for a wonderful weekend in the park! I will most certainly be back!	
Jun 25 2007 	Certainly one of the best!	We stayed in the Ritz-Carlton for our wedding anniversary with some special requests. Although the hotel could not guarantee these requests on beforehand (like room 2214, give it a try!), we discovered upon arrival they had made some special preparations (like champagne in the room and a very friendly and personal card) and granted all of our wishes. Service was excellent throughout our stay - from doorman to reception to room service. This is really a top hotel and certainly one of the best we visited so far world wide. Enjoy the wonderful view from the upper floors!	
Jun 5 2007	Other Ritz properties can learn from this one.	Past Ritz's I used were Amelia Island, SanFran, and Palm Beach and to date, the Ritz has been good, but NOT Four Seasons quality. The Ritz Central Park however is a pleasant surprise and management at other Ritz's would do themselves good to visit this place. ************************************ *PRE-ARRIVAL: NO problems on the phone and concierge was fine reserving a sedan from Penn Station. *LOCATION: Took 25 mins from Penn Station, and it's right on Central Park. Close to Times Square and Broadway in a more subdued part of town. *CHECK-IN: GREAT. Wonderful greetings and bags are taken within 60 seconds. Front desk was expecting us by name. They had suites and wouldn't upgrade me, but all was well and they escorted us to the room. *LOBBY: Lovely, typical Ritz. Lovely decor, floral arrangements, lounge area and kind of a sanctuary in NYC. *ROOM: Park View room. 450 square feet, and the pic on their website is very accurate. Very comfortable bed, typical high thread count sheets and good pillows. Surprisingly the air conditioning was almost of proper strength for IMO, you should be able to sleep comfortably with a blanket. There was decent lighting in the room and the view of Central Pk was lovely. I suggest not being lower than 11th floor for this. Nice marble bathroom with upscale toiletries, robes, and seperate shower. The water pressure was LOW and erratic throughout a shower. Sometimes I think hotels are using the recent enviro-fashion to skimp. Sure we can make adjustments, but decent water pressure shouldn't be outlawed either. *SERVICE: Everyone was friendly and great. Phones, room service, concierge. The concierge IS helpful and goes beyond merely making you a reservation, or looking things up in Zagat that you already know. *HOUSEKEEPING: No problems. Just what you'd expect at a Ritz. *ROOM SERVICE: We ordered it once and the delivery was prompt, friendly, accurate, and warm. Food was good. *DINING: We ate in the lounge which doubled as restaurant as they remodel. I'm a comfort-food guy and SURPRISINGLY, the food was marvelous. 3 mini burgers were great, fries were hot and crisp, service was perfect. Next table ordered a type of garlic pasta and just from the smell I could tell it was well prepared. *WORKOUT: I forgot to use this as I usually do. But I'm sure it's nice. The burgers sure were :) Enjoy, and safe travels to all of you.	
Jun 2 2007 	Great but....	We stayed here before our wedding for a long-weekend May 2007.This is a strange one. Yes it a top-notch highly sophisticated, high-brow establishment, yes the staff are very professional, yes the rooms are amazing with beautifull furnishings, marble floors and telescopes so you can bird watch into Central Park. However for us there was something missing, the feeling that we could relax.Not the fault of the hotel itself but i have never felt quite so threatened as when we entered the lobby of the Ritz Carlton, dressed in tracksuits after 23 hours of travel to be greeted by the looks of other guests that shall we say were not exactly welcoming. That left a lasting impression that when combined with the general atmosphere of the place meant we did not feel like we were able to relax.Yes the rooms are spotless with due attention to small details, the bathrooms are particulalry impressive with marble flooring and gold decor, yes the staff remember your name,smile and tell you the weather-forecast for the day as you leave in the morning but how sincere it all is and how long it lasts depends on how much money they think you'll spend.We were too afraid to eat in the hotel given some of the other guests but i will say our request to have breakfast in bed on our last night was left hanging on our door even though a newspaper had been delivered and the sign would have been clearly visible. It 's about $37 dollars for a Brandy and coke from your mini-bar so bring lots of cash folks.And no review would be complete without pointing out the views over Central Park, and the relative peace and quiet you get staying here as opposed to the many more centrally located hotels elsewhere around Times Square and the like.To conclude come here if you want to impress and put on a show of materialism and wealth, say for a wedding anniversary . If you just want to chill out and need a base to explore what is a truely amazing city then save some cash and set-down elsewhere.	
May 27 2007 	Out of this World	Our daughter gave us an elegant retreat to any Ritz, we picked the Central Park location. Now, we are spoiled when in NYC.The service goes beyond any New York properties, we have ever stayed in. We had access to the Club lounge, the food was so good, we didn't want to miss any presentations. The conciergeintroduces you to the Club, on the way to your room. When we entered the first time, it was quite impressive when they called us by our names. We happened to mention we were in the city for Mary Poppins, when we came back into our room, the same concierge had the soundtrack playing, and told us to take it home, as a memento of our stay there. Again, quite impressive. The room was incredibly clean. The mattress was very comfortable, best of any hotel. Everyone speaks to you, and asks about your stay. My hair was the best ever, even in the humidity, due to the Frederic Fekkai toiletries. My stay there in NYC made me feel like a queen! I cannot wait to return!	
May 10 2007	Missed it by "very much"	I paid $895 for a standard room on the third floor looking at 7th Ave. I understood that from the reservationist, so I wasn't surprised or dissappointed. Being in the hotel business, I am not use to spending money to stay at hotels, but I figured it's The Ritz and I didn't have a connection. The arrival experience was fine, but it was very very in my face. I was out of breath by the time I got to my room. It was all down hill from there. There was a light out in the bathroom (no big deal) and it took 4 times to get it fixed (big deal) and it didn't get fixed until I was checking out. It was the main light so I couldn't see when I needed to shave and that was a problem because I cut myself and bleed on my only white shirt. There was three inches of dust on the picture frames over the bed. There was chipped paint on my chair and chipped paint all over the walls. I only had two pillows in the entire room and they were horrible. The bed wasn't even close to The Algonquin Bed or The W bed. The sheets weren't even close either. The service in the lobby was flat and I had to get up to get the waitresses attention. It took 45 minutes for me to get an appetizer and when I received it, it was terrible. Every time I walked in I heard the bellmen and doormen speaking about their personnal lifes. One person is having problems with his wife and the other had chicken soup for lunch. I don't usually care about this kind of stuff, but I was there to review what it's like to stay at the &quot;best hotel in NYC&quot;, it wasn't good. I stayed in The Ritz in Orlando and it was amazing. Great service when you needed it and when you didn't they were gone. The cleaniness of the rooms was amazing--favoriate hotel in the world.The Ritz in NY is not worth the money--trust me. There are many great boutique hotels in NY that are half the money. Really wanted this to be a great review. Sorry.	
Apr 6 2007 	Perfect Stay!	I have stayed at many Ritz Carlton Hotels, and this is the nicest one by far. My husband and I took our two sons, 13 and 9, here for Spring Break. The location is fantastic- right at Central Park's ice rink, a block from 5th Avenue shopping, close to Broadway...Our suite was not ready when we arrived. The front desk staff assured us it would be ready in 20 minutes and offered all 4 of us a complimentary lunch in the lounge. The food was delicious, a harpist was playing, and we enjoyed relaxing in the beautiful room.Our room was ready as promised by the time we finished our lunch.We stayed in a Deluxe Park View Suite. It was very pricey but absolutely worth it. The suite was impeccably clean and our housekeping service was perfect. My husband asked for a few extra shampoo bottles, and she left over 15 extra bottles for him! A nice plate of cookies and drinks were sent to our boys compliments of the manager.The view of Central Park was mesmerizing. We could even see the ice skaters! It had 2 large, fabulous marble bathrooms. The bed was the most comfortable that I have ever slept in. The room actually reminded me more of an apartment than a hotel room.Same with the feeling of the entire hotel. We felt like it was our home. The Club Lounge is a must. Six different food presentations daily-of the highest quality. The concierge was fabulous here!The hotel has its own Bentley that will drive you to a nearby restaurant or Broadway show. We were lucky to ride in it twice- compliments of the hotel! We felt like royalty.I don't have a single complaint about this hotel. I can't wait to stay here again. It is expensive, but worth it!	
Mar 1 2007 	Best hotel service I've ever experienced	Organised a last-minute stay here with husband and our five year old, during THAT snowy week in Manhattan. From the moment we stepped out of the cab, someone, somehow, knew who we were and we were warmly and kindly greeted . Within half an hour of arrival, a lovely team member knocked on the door with toys and box of chocolates for our daugher (it was Valentine's Day next day). Room and bathroom was extremely comfortable. well equipped and well presented. Surprisingly child-friendly hotel! Would not hesitate to recommend it to anyone with young children.	
Feb 28 2007 	Superb! Small 	I stayed here with my wife and three children (18,16,12yrs) for our anniversary. We got a great deal on an Avenue Suite which accomodated us all (including two bathrooms.) We stayed for 4 nights from Feb 18th-22nd 2007.First impressions: the hotel is very private. The lobby is small but opulent and the bar is awesome although we stayed at club level. Club level is definitely worth the $50 per day. You get six food presentations and drinks (the Hildon water is particularly nice.) The quality of the food is excellent and especially the desserts! There is a great conciege called Hatsumi - she is really cool and helpful.The rooms are great. And Frédéric Fekkai toiletries are stocked as standard. The service is really excellent.We have frequented other Ritz-Carltons around the world. This one is definitely different. Much smaller and less ostentatious.Also the gym is well appointed.Overall, you will get what you expect from a five star hotel!They do go out of their way to accomodate you.	
Jan 30 2007	Fabulous Weekend	We just returned from a weekend stay at the Ritz Carlton Central Park. The service we received was amazing. From the champagne and chocolate covered strawberries to the cd from the play we had seen that day, the guest services department went above and beyond. Our parkview room was superb. The room was comfortable and elegant and the Frederic Fekkai bath products were wonderful. It was great waking up to the view of central park and seeing the ice skaters on the rink. The horse and carriages were lined up outside the hotel (across the street). It was a truly special scene. I highly recommend this hotel for a romantic weekend or any time. I can't wait to go back!	
Jan 14 2007 	TOP NOTCH!!	I can not say enough about this hotel. I have stayed at many other Ritz Carltons but this one, by far, surpassed them all. The level of service is beyond outstanding. The staff, from bellman to front desk, to guest relations, could not do enough. As soon as myself and my 8 year old daughter checked in everyone greeeted us by name. I don't know how they all knew us literally right after check in, but they did. We booked a deluxe rm with the American Girl VIP package. (If you have a daughter you probably know American Girl). There are a bunch of added amenities with this package. Guest Relations called me 3 days ahead of time to find out what kinds of things my daughter likes. When we got to our room (which by the way they had upgraded us to a large suite) there was all kinds of presents waiting there for my daughter. She was so happy! The room was immaculate! Room service was prompt, accurate, hot and delicious. It is worth every single penny!!!!	
Jan 2 2007 	A true GEM!	I have stayed at the Ritz on Central Park twice, both times have been a fabulous experience. Friendly staff, very helpful and attentive. Great room, comfy bed and love the Frederick Fekkai toiletries!	
Nov 29 2006 	New York's finest hotel	This is the best hotel in New York - over the years i have stayed in many for business and pleasure, but if you are spending your own money and want value and a lovely place to stay, this is the place.We had a park view room and waking up was a pleasure. indeed the curtains were never shut.What sets this hotel apart is the location and the extra amenities - the bar is one of the best in NY and the concierge can't help enough and it's all done unintrusively.	
Nov 13 2006 	Too many mistake for a Ritz Carlton	My wife and I just returned from a weekend stay at the Ritz Central Park. We requested and recieved a park view room on the 10th floor. The room was great and the view was worth the extra expense. At first we were impressed with the attentive staff and the overall ambience of the hotel. We requested tickets for a sold out show and the concierge came through albeit at a significant premium. The stay would have been prefect if not for three problems. First, the only belt I took was missing after the housekeeping staff cleaned the room. We looked everywhere but the belt never appeared. We certainly do not think it was stolen but feel that it was gathered up in the linens and mistakenly taken from the room. We reported this to the front desk and so far they have not found it. We requested dinner reservations at a new restaurant on the hotel's recommended list. The conciere desk printed out a confirmation which included an address for restaurant. Infortunatley, the address was incorrect and we did not realize it until our taxi had dropped us off and left. We finally made it to dinner 45 mintutes late and our table was gone. The next morning before leaving for the airport, I pointed out the problem to the concierge. While he was apologetic and expressed a desire to compensate us for the mistake, he did not offer to do anythihg. I would have thought he would have offered to take us to the airport in the hotel car. Finally at check out, a bar tab that was not our charge was on our bill. GIven the price of the room, (over $1000 a night) three significant mistakes in two days is not acceptable and not up to the standard of a Ritz Carlton.	
Oct 30 2006 	Lovely Visit	An absolutely lovely hotel. The only thing lacking was the view, but that was due to budgetary constraints. Simply out of curiosity I looked at a suite that overlooked the park, but the rack rate for that room had way too many zeros in it. However, if one has the means, I'd definitely recommend it. An incredible view from a room with beautiful millwork and all the comforts that made this midwestern kid wish, for just a moment, that he was Gordon Gekko so that he could enjoy such a room. This hotel truly made my stay in NYC sooo magnificent. We were originally staying at the Ritz in Battery Park, but didn't care for the location or hotel so we moved to Central Park. The staff was attentive, security is great, location works well for business, restaurants, entertainment, sightseeing and shopping. The only odd thing was the paparazzi constantly hanging around outside of the main entrance. I found them irritating, and I'm not even famous. The room was extremely comfortable, quiet, clean and traditional with a beautiful marble clad bathroom. I look forward to returning.	
Oct 15 2006 	Nice trip to New York	My wife and I took a trip without the kids and needed a great location - the Ritz Carlton delivered that. Very courteous and professional service from the front desk to the bar. Rooms were not huge but very well approinted, especially the bathrooms. The lobby was elegant. The beds were extremely comfortable to the point of encouraging you to oversleep. On the downside, the cable didn't work - maybe just a loose connection - we were so busy that we didn't realize it until the last morning when we were checking out. I would definitely return. The room was expensive at around $900/night but we visited other very well-known Manhattan hotels in the $600 range and felt cheated as they seemed worn. The other hotels had lobbies full of poorly dressed gawkers whereas the Ritz seemed to give you a more secluded feel which we enjoyed.	
Oct 11 2006 	Tries at service but problems possibly inherent in building	I initially checked in expecting the Ritz-Carlton service and experience especially since the New York Central Park branch has had a number of positive reviews.The staff were indeed very friendly, given New York City standards, and put me in a deluxe 9 series room due to my extended 3 week stay.However, by the 2nd night, rumbling/rattling sounds were vibrating through the room and disturbing my sleep intermittently. It worsens during the day. I immediately thought of the review of another guest about trains and called front desk for help. After 2 visits by engineers, I was told it was the elevator and moved to a 3 series room; but not before being misinformed by the front desk that the 3 series room had a &quot;larger wardrobe space&quot; and told to go to the wrong floor first and being embarassed by the guest already occupying the room who was in the midst of drying up after a shower. On talking to the night manager, who apologised for the misinformation but said he couldn't do much except for giving us a wheeled clothes rack in the room, I went to sleep somewhat soured in my experience but hoping to get some sleep. Unfortunately, I was awakened again by rumbling/rattling sounds the next day.I've resigned to sleeping with uncomfortable ear plugs but I'll NEVER stay in the Ritz-Carlton New York again. For the price you pay and the promise made by the chain, you'd expect more. This hotel is nowhere near the Ritz-Carlton standard of other hotels I've stayed in.A definite disappointment.	
Oct 1 2006 	A disappointing stay	We love the Ritz-Carlton hotels......we've stayed in Orlando twice this year, St Thomas and New York a few times. I'm starting to wonder if the Central Park location is either too busy or just don't care anymore.Last night we went to dinner...( we were out of our room by 5pm ) and returned at 9:30. When we walked into our room, we realized that turn down and towel service had not occured. It was very disappointing. We called the front desk and asked if they changed their policy on turn down service, they replied that they have till 10pm to complete that service. I'm not sure that answered our question and is not typical of Ritz-Carlton hotels. We then asked for towels in order to shower in the morning(there was only 2 upon our arrival)....after waiting over half and hour (we were getting tired and wanted to sleep) we called again and the front desk said she sent them up and she has no idea what happened. Does that sound like Ritz-Carlton to you? After a call back by the front desk a woman brought towels to our room and told us of her woes on how busy she is and they just couldn't get to our room tonight. I can get that kind of response at any hotel.....not at $700 a night.Needless to say, I was very disappopinted in the service. No one apologized or showed any remorse for inconviencing us at 10pm on a Saturday night. I'm used to a different Ritz-Carlton. It's too bad.	
Aug 8 2006 	There is a subway train under this hotel!	The Ritz Central park was nice but none of these reviews mention the fact that this hotel sits right atop a subway tunnel.Maybe I noticed it because we took a nap once we got into town around 1:00 PM. After hearing a constant rattle every 5 minutes and the room shake I had to call maintenance.Well, sure enough it was the subway. Not much you can do about that!! Not so bad at night but during the day... forget taking a nap!Also I agree with all who say this hotel is way to much buck for the bang. I am a travel agent and stayed on TA rate so my price was only a 1/4 of the $1000 rate these rooms command. If I'd have paid full price I would have felt incredibly ripped-off for the small rooms and sub-standard Ritz feel.Definitely save your money and avoid the premium on this one.	
May 12 2006	It's a Ritz experience!	Flying from SF, my wife and I decided to do a stopover in NYC. We stepped it up and stayed at The RC at Central Park. The RC gives all the sensory one needs - great hotel with great service from the greeting to to the last 'come again and have a safe flight!'. She went shopping while I stayed in our lovely room relaxing and finishing up paperwork before the transatlantic flight to London. Walking outside of the RC and thinking &quot;Wow&quot;, I'm in NYC - which way do I want to explore???? Only in NYC!!!The room was super quiet. The only sound we heard at night was our air conditioner. We like our room super cold - on the 64 degreees side. The air conditioner thought we were crazy. It would stay around 67 all night long. Service was abit spotty in the beginning, took 1 hour to get my luggage up to our room. The RC was sold out the night before. After that, smooth sailing at the RC.	
Apr 19 2006	Loved the Ritz-Carlton New York Central Park	As a treat I took my Mum and Sister to New York for a long weekend. In my opinion this hotel cannot be faulted. It is in a perfect location just a few minutes walk from 5th Ave. The rooms are decorated to a really high standard (the bed is too comfortable!) and the bathroom is exceptional. The view from the room overlooking the park was great to wake up to every morning. The staff are incredibly friendly and helpful especially Jenny on reception, Felix and Eric the barman. We did take advantage of the courtesy Bentley as suggested in another review. If you are going to New York and want something a bit special then stay here. I cannot wait to go again!!	
Apr 2 2006	Great Hotel...............	I like Ritz Carlton hotels as well as Four Seasons hotels. The RC Central Park is probably one of the nicest RC properties I have visited which includes, CA, NO, FL, HI, DC, GA et al. The location is perfect. The service is excellent. I love Norman the bartender who is a super nice guy. Our room overlooked the park and had a great view. The room service, valet, housekeeping, doorman were all very nice. I have stayed here twice in the past year and look forward to returning again soon.	
Mar 24 2006	great hotel	my husband and i stayed here for three nights from 17th til 20th march we thought it was an excellant hotel, we had a park view room on the 14th floor which has a fantastic view. the room was a nice size the bed was really big and comfy and the bathroom was great.the staff were all very helpful and friendly. Celine behind the bar was great to talk to. we used the hotel car twice which was great.Only downside was the drinks were so expensive and no coffee making facilities in the room.i would stay here again as the hotel was lovely and it is in a great location.	
Mar 19 2006	Loved the Ritz	The Ritz at Central Park is in a great location--within walking distance to shopping and restaurants. Also, it is close to the subway to get around the city. The room was reasonably quiet (our room was on the 10th floor overlooking Central Park). The staff were wonderful and the room/bathroom were clean and spacious by NYC standards. The hotel had a complimentary bottle of champagne delivered to our room to celebrate our first year anniversary. Even though everything was expensive (we expected the cost), it was well worth it.	
Feb 12 2006	All About the Bentley	I feel compelled to begin by confessing that I never liked the Ritz-Carlton portfolio. The rooms they show in their ad campaigns often remind me of my grandmother's condo in Boca, and the whole &quot;Ladies and Gentlemen serving Ladies and Gentlemen&quot; slogan seems a little pretentious. It's almost like Madonna trying to fake a British accent.Despite my negative first impression, I decided to stay at the Ritz Central Park because of its rave reviews on this site as well as its outstanding location. Needless to say, with the rate that I was paying, I arrived with high expectations.The moment I got off the cab I realized that the location is indeed stellar. The lobby is intimate and the check-in process was flawless. Excellent service free of &quot;ladies and gentlemen&quot; attitudes. Elevator access to guestrooms require guestroom keys, which I think is an outstanding idea to ensure the safety of guests (especially single female travelers).Although I had a deluxe room that looks into the building's courtyard (i.e. mechanical space), my room was well appointed. The design scheme is more conservative/traditional than the Four Seasons or Mandarin Oriental, almost like a newer version of the Carlyle. The room is slightly smaller than the standard rooms at Four Seasons, though significantly larger than such Upper-East-Side gems as the Carlyle and the Mark. The four-fixture bathroom is modern and cozy, although I find it strange yet pleasurable that there are windows next to the toilet.Given my favorable review thus far, you may wonder what prompts me to award this hotel three stars rather than five stars. As the subject title suggests, it's &quot;All About the Bentley&quot;. My friend, who is a frequent guest of this property, reminded me on numerous occasions that I must use the hotel's house car. It is basically a Bentley that the hotel uses to take its guests around the midtown area free-of-charge. As the car service runs on a first-come-first-serve policy, I headed down to the lobby at 7:15 for my 8:00 dinner appointment 15 blocks away, and instructed one of the bellmen that I wanted to use the house car. The bellman responded by asking me to wait in the lounge. I asked how long would the wait be, and he answered &quot;15 minutes&quot;.Two glasses of Sancerre and too many cashew nuts later, I became impatient. It's 7:45 and car-less. I walked out to see if everything is okay, just to witness a couple handing a bellman tips, and immediately directed to the Bentley. Strange, I thought. I approached the bellman and asked if there's another house car coming soon, and he said, &quot;No, this is the only one, it just came back&quot;. Interesting. Car left during the discussion. I asked, how long have those people waited, for I have waited for half an hour in the lounge.He said, &quot;You should have told me you wanted to use the car, otherwise I wouldn't give them the car&quot;. It turns out that those people were never in the line, but due to miscommunication on &quot;my part&quot;, I was overlooked. Needless to say, I was furious. &quot;I told one of the bellmen&quot;, I said, &quot;where is he now?&quot; &quot;Went to dinner&quot;, he said, &quot;you never told me&quot;, as if it's my fault. Okay. &quot;Is it because I didn't tip you?&quot; I asked. He said, &quot;No...&quot; I got myself a cab and left.The next afternoon, I had a business meeting and saw the Bentley parked in front of the hotel. The same bellman was there. I gave him tips and asked if &quot;this time I could use the car&quot;. I can be a jerk when provoked. Three seconds later I was in the car, which is really quite nice.Will I come back? Without the Bentley incident, maybe. With the Bentley? No way. Meanwhile I will return to the Four Seasons and the Carlyle, both of which don't blame their guests for staff miscommunication.	
Jan 28 2006	disappointing	We needed transportation back to the hotel after the ballet and the best the hotel could do is a car for a minimum 2.5 hours at $95/hour. After paying $1200 for a suite, I thought they could have done better.	
Jan 27 2006	A truly special place.	OK, so you pay through the nose to stay here, but does that matter if you get your money’s worth? Of course not, and as one who has stayed in a number of other top-end hotels (The Waldorf in New York, The Savoy in London) the Ritz-Carlton is the first place I’ve ever been that has, without exception, failed to disappoint.My wife and I were staying here for 6 nights with our 4 month old daughter, and as it was our first time travelling as a ‘family’ we were just a little apprehensive. Having got only a slight reduction on the standard rate by contacting the hotel directly - $675 a night for a Park View Room – our expectations were pretty high. Check-in was quick and efficient and the room was beautiful, complete with the promised view of Central Park. The only slight down side was that we were only on the 9th floor, so the view was more of trees rather than the park itself.The following morning, 7.30am, upon flushing the toilet the bathroom flooded. Big time. Called reception, and a maintenance chap was with us in 3 minutes, followed by two other staff armed with mops. A manager followed shortly and we were offered the option to move rooms, which we took, and were moved up to a similar room on the 20th floor. Much better view, and they threw in complimentary breakfast in the room every morning of our stay as compensation (probably over $400 worth of breakfasts). They even refunded the tips we made to room service. OK, so it was a shame the first room had to flood, but these things happen, and the real test for a quality hotel is how they react to such problems. In the case of the Ritz-Carlton, it was handled perfectly, and we were more than happy with how we were dealt with.Other points of note? The bathrooms are great with wonderful showers, the bed provided some of the best nights sleep I’ve ever had, the lobby bar is a shining example in understated elegance, and the level of service from every member of staff – from managers to maids and doormen – is exemplary. Just make sure you carry a pocket full of loose dollars for all that tipping!	
Jan 12 2006	V. Nice	Stayed here for five nights. Romantic trip to experience New Year's. Park View Room expensive but view was great and worth it as a &quot;special treat&quot;. Great location to stay. Staff very friendly. Got breakfast one morning - unsurprisingly it cost an arm and a leg but surprisingly the quality of the food wasnt great.....	
Dec 3 2005	Not worth the money-	My wife and two children stayed in a suite at the Ritz Carlton and I was not all that impressed. Rooms were nice, clean and well appointed. But dresser had broken drawer, hard to monitor temperature of rooms.Bathrooms were wonderful, clean and marble throughout. But rooms were small.Lobby was small and the bar area was nothing special.Didn't really care for the pro athletes wearing muscle shirts and adorned with bling using profanity. That was a huge turn off. If you are going to charge top shelf price- enforce the dress code!! I complained to the front desk about the language and the staff was apologetic but really not willing to do anything.Overall nice but I would not rush back there, lots of great hotels in NYC for less money and equal accomadations.	
Oct 23 2005	Great Anniversary!	My husband and I stayed here on for our tenth anniversary. I must say that Marek, (not sure how to spell it) the hotel's driver was FABULOUS. He not only drove us to two venues, but also recommended some great places for cocktails before our anniversary dinner. Take advantage of the hotel's car if you can get it... very nice! The concierge was great getting reservations at the restaurant of our choice... La Bernardin. Champagne was sent to our room, along with fabulous chocolate-covered strawberries. The bar of the hotel was great, with a great mojito (at closing... sorry, bartender!) All around, a GREAT experience. Be prepared to pay dearly for everything... breakfast, coffee, the room, but for a special experience... it's worth it!	
Oct 10 2005	Wow!	We came to this hotel for our wedding night - the staff pulled out all the stops for us and were amazed at the high standards of service and attention to detail.The hotel is very expensive but worth it. We stayed in room 2214 on the 22nd floor and were lucky enough to have the most spectacular view out over Central Park - it was breathtaking. If you can, take afternoon tea in the Star Lounge - the service was great, and the surroundings are beautiful.The hotel sent champagne and strawberries to our room and even made us the most fantastic wedding cake which was a complete surprise - we couldn't have asked for more. The great thing about this hotel, is that the staff here made a huge fuss over us knowing that it was such a special occasion, and paid attention to every detail. We lost count of how many of the hotel management came to congratulate us - it was fantastic and we felt like royalty. If you can, stay here.	
Sep 23 2005	Quick Weekend in NYC	It was a busy weekend in NYC and all the hip hotels in Lower Manhattan were booked. Luckily, I was able to secure a Deluxe King room (had to settle for the 3rd floor). The rooms are incredibly spacious by New York standards and the bathrooms are over the top! Frederick Fekkai products, great finishes. The bed and linens are fabulous!The Lobby is tiny, but the location cannot be beat!Highly recommend staying if you want Central Park location.Classic Ritz Carlton service!Superb!!!	
Sep 21 2005	SOOOOOOOOOOO Fabulous!	We stayed for a week and had club level access. This place is just about the best place i have ever stayed. The service, the room, the food, the friendliness...absolutely fantastic. The location couldn't be better. I will never stay anywhere else when we go to New York.	
Jul 31 2005	Superb	My wife and I stayed for three nights in July 2005 to celebrate our tenth wedding anniversary. I booked through Amex platinum travel and had a great rate of $685 for a Park View King room which included breakfast. Upon checking in, we were wished a happy anniversary and the high room that I had requested was given to us. We were also given late checkout until 1600 and were invited to use the Club Lounge for the duration of our stay. We were escorted to our room on the 18th floor and the usual explanations given. The main area of the room had a king bed, which during the day had a geat selection of daytime pillows, an easy chair, table, desk and chair, TV, DVD, Satellite/Cable and a great selection of storage space. The room also had an entrance foyer with table and lamp and a closet. The bathroom had a separate WC with door, bath, one wash basin and separate shower cubicle. A super selection of designer toiletries was constantly replenished. The best part about the room was the two picture windows with fantastic views over Central Park.We made use of the Club Lounge on every day of our stay. The welcome was always personal, warm and genuine. The service at all times of day was professional and efficient. The ambience was casual in spite of the quite formal surroundings. The food and beverage selections were imaginitively presented and the quality never faltered.The atmosphere in the Lobby bar was that of a private club. It's position allows guests to view the comings and goings of the hotels famous and not so famous guests. We did not eat at the hotels restaurants but the menu looked very good at prices you would expect to pay at a hotel like this in the city.My wife had a spa treatment in the La Prairie Spa and was very impressed.The location of the hotel is second to none with the greenery of Central Park and its activites just across the street. Times Square is in easy walking distance.We thoroughly enjoyed our stay at this hotel and would not hesitate in returning again. The service and attention from staff is first rate and personal. A bottle of champagne and a tray of chocolate dipped strawberries was even sent to our room to help us to celebrate our wedding anniversary, as if this extra touch was needed!	
Jul 22 2005 	Nice but...	Overall:Very nice hotel as expected. Fairly clean, although there were some flies in the club lounge. There were several minor issues that most people would probably overlook. I would not go back because I felt the Pierre was a much better hotel overall.Room:Deluxe King was well decorated and had good amenities. There was only one regular chair, which made In-Room Dining a bit difficult. Typical, large Ritz bathroom which is about half the size of the actual guestroom. My wife and I did not find the bed and pillows to be comfortable.Club Lounge:Very inviting atmosphere but not much variety in food. Food quality was not too great either.In-Room Dining:Food came very quickly. The one time it was delayed, I received a call telling me it would be another 5 minutes. However, it took over an hour and 2 phone calls to have them remove the table from the room (on 2 occasions). Food quality was average.	
Jul 18 2005 	it doesnt get any better	i travel quite frequently and i was blow away by the staff at the ritz, they were attentive without being obtrusive, every request was answered with &quot; it would be my pleasure to take care of that for you&quot;. the room was huge by nyc standards, very comfortable bed, nice spa products, separate shower and tub. absolutely loved it and will most definately stay there whenever i am in nyc .	
