	FIRST CLASS ALL THE WAY	Stayed at the Bryant Park Hotel for a quick overnighter with my friends. The room was gorgeous, bathroom was beyond amazing, and the amenities offered were first class.After running around the city looking for a fun place to go, we ended up at the Cellar Bar and were mad that we didn't come earlier! Music was great, crowd was fun, and the staff was very nice and funny.Only downfall was the &quot;late night&quot; menu -- food was obviously microwaved, but what else can you expect at 3 a.m.?	
Dec 16 2007 	Poorly Managed Uncomfortable	The Bryant Park has a prime location, a hip vibe, and large rooms, but I will never, never stay there again. Our street-facing room, with a view of the park, was so loud (although it was high enough that one would expect otherwise) that we could not sleep. It should have been a red flag that the hotel provided two sets of earplugs with the bath amenities, yet no shower cap! First there was the pounding music from the bar downstairs, which carried up more than a dozen floors. Then there was the night street construction and related car horns. In fact, the hotel's windows are of such poor quality that just the ambient city noise was too much to bear, and the winer cold came right through the glazing. Since our room was nearly $600 a night, it's reasonable to expect insulated windows with thick curtains that buffer noise and cold -- as most hotels at this price point would provide. The Bryant Park has sheer curtains with roller shades beneath them, which is in keeping with their minimalist look but is an absurd choice of style over the comfort of their guests.As for the minimalist thing, it only works if materials are of the highest quality and are well maintained. Our room had three boards raised and partially detached from the floor, and both the veneered desk and table were badly water damaged. The travertine marble in the (large) bathroom was chipped and grimy at the grout joints. Poorly done caulking ran around the edges of the bathroom, and gaps had opened up around the tub. Water leaked from under the shower door, so that we had to mop up a mess every time we showered (good water pressure, though). There was rust and corrosion from the leak at the door hinge (very ugly) and mildew had invaded some of the unmaintained grout joints in the shower. Most of the towels were worn enough that if they were in my home they would have been relegated to the dogs. The floor had been treated with a glossy sealant that just accentuated the poor condition of the stone. Although the Molton Brown toiletries (just the basics) provided are of good quality, the shampoo, conditioner and shower gel were not replaced when more than half empty. Most hotels provide extras when they see that the products have been used. You should not have to ask.It concerned me, too, that the bath tub was extremely slow to drain. This indicates clogged plumbing, which is very unsanitary.Housekeeping is uneven. There was dust under the sofa, and the aforementioned mildew in the shower. The area rug (supposedly Tibetan but of an acid purple that would never appear in a true, naturally dyed Tibetan rug) was poorly vacuumed. The extremely firm bed was nicely made up with good quality sheets but medium quality pillows. Nothing is provided with evening turndown (no bottled water or chocolates), and we did not even have the evening service most of the nights we were there because the maid came by (inexplicably) at 6:00 or 6:30, just when guests are most likely to be in their rooms getting ready for an evening out. Furthermore, the maid pounded on our door before 8:30 one morning! I learned to use the privacy button after that. Even the main lobby was poorly cleaned. While I was waiting to check out I noticed dark splash and drip marks down the side of the red lacquered concierge desk. Whatever had spilled had been only partially wiped off. Things like that make one doubt the cleanliness of the entire hotel.The too-popular bar downstairs is a problem for hotel guests, aside from the noise that assaults you when you enter the hotel lobby. Guests must show their key cards to a guard to access the hotel elevators, and we often had to push through a crowd of rowdy bar patrons to get into and out of the entry lobby (which is darkened, club-fashion). When we returned to the hotel late on a Friday night, we encountered a very drunk bar patron and her two friends having an argument in the lobby (right in front of the elevators). No hotel employee was there to control things and, oddly, the fellow who usually guarded the elevator bank was gone (just when he was needed).It's evident that The Bryant Park attracts a certain crowd, and it's possible that I am simply not in their demographic. But all hotels are managed in the same way, and my conclusion after spending several nights here is that this is a poorly managed hotel. Uneven housekeeping, poorly maintained facilities, and the choice of style over the comfort and convenience for guests -- all add up to a hotel that I will avoid in future.	
Dec 6 2007	Draconian cancellation policy	Please be aware of the very unpleasant cancellation policy of the Bryant Park. I needed to cancel my reservation with just 24 hours' notice. I would not have complained about a reasonable cancellation charge.However, I am being charged for a full one night's stay, because I did not give at least 48 hours' notice before cancelling. This, of course, amounts to hundreds of dollars, because I had booked a junior suite for myself and my two teenagers.	
Dec 5 2007 	Wonderful weekend getaway perfectly clean!	It's been a while since we stayed, but we had a wonderfully romantic spring weekend here and I can easily say that it was one of the nicer hotels we have stayed at in this (discounted) price range in nyc. Over the years, we've moved farther from the city and try to take a &quot;vacation&quot; to new york every year even though we only live 100 miles away. Check-in was painless. You receive complementary drink tickets for the downstairs bar with arrival. In your room, you have a note to greet you with some trail mix to tide you over until you have settled in enough to hunt for dinner. The room comes with amazing tv and stereo equipment, a loaded (though pricey) mini-bar, and comfy robes and slippers. The room and bath were spotlessly clean with very comfortable bed and linen. The shower was lovely and we both could practically swim in the tub, which is hard for us normally as my husband and i are both tall. The bath accessories were molton brown. Some bath salts and a couple glasses of wine and new york lights through the window. . .For those of you not familar with the city, the front desk is very helpful at making reservations and suggestions, giving directions, and even finding us a liquor store that would send over a bottle of wine (we didn't plan ahead so well). Since it is midtown, it's not far from either train station or the subway. In warm weather, bryant park and the library provide a lovely area for sitting and people-watching. This is a great location for those who want to do some things uptown and some downtown in the same visit and of course if you want to do the whole theater and 5th avenue shopping thing it's ideal. Plus the major museums are all within walking distance in nice weather. While there is food in the area, this is midtown and the cozier neighborhoods with more unique restaurants, bars, and shops are a subway ride away. However, we managed, without exhausting ourselves, to have dinner in the east village, brunch in the west village and upper west side, lunch at a festival in chinatown, a nap on the lawn in central park, and shop at the markets near soho. If I changed anything, it would have been to ask for a higher floor for even better views.	
Nov 28 2007 	Perfect Hotel For a Trip To Manhattan	The Bryant Park Hotel is a great hotel. It is in a central location...right across the street from Bryant Park. There are plenty of restaurants withing walking distance of the hotel...not to mention, some very good late night eateries. The staff at the hotel are very helpful and friendly. And the rooms are amazing. I really like minimalist decorating, and i thought it was great to see a room that had the very least that you need. Its basically a bed, a tv, a closet, and a bathroom. However, they pull it off very well....and with class and style. I would definitely recommend this hotel to any of my friends and family.	
Nov 27 2007 	Great location good room with facilities nearby.	I'm not sure that I can add so much, but nevertheless...The hotel is in a great location. By Bryant Park subway and equi-distant from Times Square &amp; Grand Central, you are very close to excellent public transport as well as the location between 5th &amp; 6th meaning you can easily hail a cab up or downtown.Bryant Park itself is lovely and holds an ice-rink in winter and concerts/ films in summer. The direct vacinity has also improved in recent years, so there are now some nice delis and patisseries near to the hotel. This is good, because the hotel has limited facilities. There is a very trendy bar (more a nightclub) and very chic restaurant. Both are quite well known, but not necessarily what you want/ need from a hotel.The rooms are a very good size for New York (read standard by US standards) and have all mod cons. I easily set up my laptop, plugged in my i-pod, flicked on the telly and mooched around in my bath robe. I was also surprised that I liked the decor - which look rather cool on the website but I thought worked well in real life. Indeed, it made a great NY apartment for my stay.The downside, I think, is a lack of basic hotel facilities. There is no real communal area. When I returned at 5pm on my last day to collect my lugage (having checked out earlier) I was told that there was no bathroom. After what can only be described as a farcical conversation with the Front Desk, myself and the man who guards the lifts from non residents, I was allowed to visit the bathroom in the nightclub. (I had to point out that they clearly did have a bathroom and then on finding the restaurant only opened at 5.30, the guard man said that I could not visit till then....).I then had half an hour to wait for my car service and spent this sitting on a window ledge in the lobby. The lobby is functional (for checking in), looks great, but realistically, I would have liked a seat and a coffee. So if the room and location matter it is great and I'd suggest better than many of its boutique counterparts. If facilities matter, I'd suggest elsewhere. On a personal note, I'd recommend it to a friend who knows NYC, but I'd send my Mum to the Pierre.	
Nov 25 2007 	Bryant Park Hotel -- Perfect !	The Bryant Park Hotel is the best NY hotel we've ever stayed in. The Bryant has a contemporary look and feel. The rooms and bathrooms are larger than we've experienced in other NYC hotels. The hotel was immaculate, not only in the lobby, but in the hallways, room, and bathroom; not a fingerprint around doorknobs/locks and light-switches was seen. The front desk staff was very friendly and accommodating, and not in the &quot;have to be&quot; kind of way, but sincerely, like they really enjoyed people and their job. The location of the hotel, right off 6th, across from Bryant Park, is perfect - just close enough to the center of things without being in the noisy middle of it, and my daughter and I felt completely safe in this neighborhood. If driving into the city, you get a very reduced parking rate at a garage 4 blocks away - a closer one would be nice, but for $22 for 24 hours and a very nice and professional staff as well, the walk was worth it. And the room rate, they vary so search online - hotels.com worked best for us this time.	
Nov 25 2007 	Stylish hotel amazing beds and bathroom!	This is a very hip hotel, but not snooty. It has a great location right across from beautiful Bryant Park and the New York Public Library. It's in a gorgeous historic building just off Fifth Avenue. The interior is completely modern and stylish. There is a famous painting of this building by Georgia O'Keeffe. It's called &quot;The Radiator Building at Night.&quot; I loved my guestroom overlooking Bryant Park. Very comfortable bed, big flat-panel TV, great sound system, ample closet space, lots of windows. Even a sound machine to cover up the noises of the city. The bathroom was incredible: Great big tub for long bubblebaths, separate shower with invigorating water pressure, fragrant Molton Brown toiletries, thick towels, even a view of the city while brushing my teeth!	
Nov 23 2007 	great location but thats about it.	My husband and I have jusy returned from a four night stay in the Byrant hotel,we chose it after reading the rave reviews on trip advisor.The location is fantastic and the rooms are well laid out very well serviced etc. I would not reccomend this hotel because of the snooty attitute of quite a few of the staff which made it very uncomfortable, it was not a hotel to relax in just one to be seen in if you were of a certain age and dressed in a certain manner.	
Nov 22 2007 	Didn't live up to the hype. Lack of attention to detail.	We chose this hotel for our recent long-weekend trip to NYC based on the multitude of 5-star reviews on numerous sites, unanimously praising the attentive service and room amenities at this hotel. On the bright side: the valet attendant and bellman did live up to expectations, the main shower head was heavenly, and our room was in a secluded corner on the 16th floor with a fabulous view of Times Square. They provided a noisemaker, Bose alarm clock, iPod speaker device, flat-screen TV, fax machine, very basic hair dryer, and nice roomy safe. They also provided a plastic-wrapped Rubbermaid mat for the shower which is reassuring for sanitary reasons. The location was fantastic, with a subway entrance just a few doors down, much closer than it appeared on the map. And the room furnishings were a bit more sterile than they appeared on the website, but the room itself was spacious and impeccably clean.Disappointing: Several of the front desk attendants gave off a snooty vibe, both in person and when calling the desk. The hand-held shower head had poor water pressure and lots of mineral deposits, making it nearly useless. The bed was uncomfortably hard and the total opposite of luxurious - we asked for a mattress pad and they added a super-thin layer under the sheets which did not help much at all. The 'entertainment planner' kept me waiting on hold then forgot my question not once but twice, and by the time they got back to me with info regarding jazz clubs, it had just become too late to make the show. The lighting in the bathroom was inadequate, and the main light was blocked by the makeup mirror which is just poor design. The temperature controls in the room were imprecise and had us waking up to adjust it several times each night. My iPod would not fit into the tight connection port on the speaker box, and the flat-screen TV was misconfigured so everything was stretched out and pixelated. (Not a big deal as we didn't travel to NYC to be couch potatoes, but it just shows lack of attention to detail.) They provided 4 plastic-wrapped Q-tips which I thought was a nice touch, but then did not bother to refill them when they were gone. Our first morning there, we were rudely awoken by loud noises of walkie-talkies right outside our door - right around 7AM - despite the 'do not disturb' light being on. Regarding the gigantic palatial bathroom (their 'killer feature'), I should mention that within the last month, we stayed at the Soho Met in Toronto, which boasts a bathroom with the identical configuration, which we loved and were looking forward to experiencing again. (Looks like the Four Seasons has the same one too.) However, the Bryant Park's version is in fact a slightly inferior copy - no heated floors, much poorer lighting, non-functional hand-held showerhead, clumsily-placed sink faucet, and a plain tub faucet instead of hand-held. It was a definite disappointment despite its acknowledged enormous dimensions for midtown Manhattan. Sometimes it's not just about size though.So, to recap: snooty / inefficient service, lack of attention to detail, and disappointments everywhere. Would I recommend it? Only reluctantly due to the great location and spaciousness - just don't expect anything mindblowing for the money and you should be okay.	
Nov 14 2007 	Perfect weekend at a perfect hotel	As a travel agent for the past 30 years, we are always looking for a hidden gem and this is it. The location is perfect. The staff was wonderful. (special thanks to Chris-manager, Paul in reservations, Loretta in accounting- I talked to them so many times before arriving -I felt like we were family). Justin and Lloyd were excellent bellmen -with loads of information.Please keep in mind we were 2 women traveling with our kids-ages 11 and 15 and they LOVED it. This past weekend was a little cloudy and rainy and taxis were just not available. We were able to walk (or subway) everywhere. (Subway station three doors down).Three years ago we stayed at the Plaza and thought that was a great location--this beat it by far. Bryant Park is very charming and right across the street. PAX -great deli food- down the street . The rooms were spacious, neat and clean. Special thanks to the &quot;hidden&quot; maid for room 1502.Try Da Nico's in Little Italy for great food at an affordable price. Take the subway train F to SOHO to enjoy a new shopping experience. Little Italy is great but Chinatown for purses is very overwhelming and not at all a bargain. The purses are just not that great anymore and look fake--so we pasted on those.Don't just take my word for it--the next time you are planning a trip to NYC -try this great little hotel. (no big lobby--but who stays in their hotel lobby when they are in Manhattan.) Bryant Park Hotel----see you again in 2008!!!	
Nov 3 2007 	The Bryant Park Hotel Sublime Contemporary Style	There is only one place to stay when visiting Manhattan New York, The Bryant Park Hotel situated next to the New York Public Library, 5th Avenue and the most chilled well thought out park space equal to to the best in any city in the world, the Bryant Park. The hotel is housed in the 1924 American Radiator building with its coat of black volcanic coloured walls and hair of gold trimmings on its gothic styled rooftopThe Bryant Park Hotel operation comes into action the moment you reach the entrance, with very helpful staff taking your luggage and welcoming you to its establishment. Upon entry, you enter a small lobby, which was designed with a sophisticated knowledge of interior design contrasting dark walls and red furnishings, which compliments each other extremely well. At the reception desk the staff, dressed in black smart uniforms greet you with a welcome smile and guidance upon checking you in.To go to your designated room, you walk a dimly lit walkway with a LCD TV screen showing the latest fashion shows with fashion magazines neatly laid out to flip through. Then you enter a darkly lit music accompanied background music elevators, which intensify the mystery of what to expect when you reach your room. I stayed in a junior suite and let me tell you, they identify this hotel as boutique, but in terms of space the room compares well to any large traditional hotel room your ever likely to visit. However, that is as far as comparisons go, for the interior was bright, airy with hardwood flooring, quality minimalist but practical and very comfortable furnishings, sumptuous beds and bedding all made from high quality material, large LCD TV and Bosse CD player. The bathroom has lots of lighting, marble, very large mirrors, lots of counter space, walk in glass door shower and lots of towels for various types of uses and not forgetting complimentary bath robes and slippers.The Bryant Park Hotel facilities also include the world-renowned very fashionable Koi restaurant with its sushi and fusion Asian cooking, which is an elevated experience not only in terms of your taste buds but also where your latest designer outfit compliments the decor and ambiance. There is also the Cellar Bar with its dark cavernous space, which is an upmarket club in itself, maintained by very attractive staff who serve great cocktails and supply fusion of music from rock to RnB to Hip Hop to classic Pop.This hotel was not designed for the masses, but for the truly sophisticated fashionable artistic elitist among us who know sublime contemporary style when they come upon it, that being The Bryant Park Hotel.	
Nov 1 2007	fab hotel - great location	Hotel is on the best small park in manhatten mid town and right where you need to be for exploring the city. The hotel is very individual and is has a really cool feel to it, no clutter, rooms are simply fitted out but stylish.Great beds, cottons, bathroom with huge bath and power shower. We had a junior suite, with good lounge area, plasmas wi fi and all the stuff that you expect to be there - is! Staff are discreet and helpful, cellar bar is great, but can be booked out privately quite often. If you are a Hilton, Marriot, bed in a box fan then give it a miss.	
Oct 25 2007 	Amazing Location - Funky Hotel - Great Experience	A great stay at the Bryant Park Hotel.We were in New York for only 4 days, so wanted a place that was as central as possible - we really couldn't have done much better! As you can probably gather from their website - Bryant Park Hotel is very trendy, red-lit lifts, funky music in the Lobby, doorman that look more like bouncers (though were very pleasant) and lots of subdued lighting. If that's not your thing - I'd think carefully about booking here. There's even a &quot;late-night party menu&quot; of sushi and White-Castle (amongst others) which is guaranteed to appeal to the more hardcore party animals. I'm pleased to say however that this didn't mean the hotel was noisy through the night.The staff were great, though only 1 out of the 2 Concierges we met were particularly helpful / knowledgeable. However the front desk staff made up for it, helping us out with online airline check-in, printing boarding passes, looking after our luggage once we'd checked out, letting us use the fitness centre bathrooms to freshen up before our flight (9pm so we'd spent the day out after checking out in the morning) and just generally being helpful. Also there's two room services a day, as with many big-city hotels these days. We even had a third service on request one day which was nice. Rooms are great - very modern with LCD TV's and gorgeous, well equipped bathrooms. A minor niggle was that there was no free Internet access, with the hotel charging about US$10 / day for the service. That's outdated guys! Also - breakfast was pretty pricey, I'd recommend an amazing patisserie which was about 3 doors away (out the front of the hotel and go left) which did excellent pastries &amp; coffee. Location wise - brilliant, on the corner of 5th Ave &amp; 40-42nd St, you can walk to Times Square in 5 minutes, Rockefeller Centre in 10, Grand Central in 10, both Macy's &amp; Saks in 10. Plus you're within 10 minutes walk of nearly every major Subway line. Can't do much better!We both loved this hotel, my girlfriend has already said she'll be back to stay there for her Hen weekend in a few years time!	
Oct 21 2007 	Fantastic Hotel/Service and Location!	We stayed at the Bryant Park just a week ago and wish we were still there! Having been to NYC a few times, this was by far the best hotel and indeed location. We were greeted with slick and friendly staff who checked us in quickly and could not do enough to help us throughout our 4 day stay.We stayed in a Deluxe room which was excellent, minimal and top quality in every way. A luxurious feel bathroom with Molton Brown products and loads of space throughout. The hotel was extremely quiet particularly for such a central Mid Town location, it was a haven from the craziness outside. The Hotel's Cellar Bar was a great place to start your evening with once again great service.In terms of location it couldn't have been better, walking distance from all the Mid Town sights and sounds, a Subway station 30 seconds away to easily get around the rest of Manhattan, and fronted by the lovely Bryant Park itself. Overall we could not fault anything, it was an excellent trip, NYC was as exciting as ever, and the Bryant Park Hotel was simply spot on, we will definitely be going back there.	
Oct 16 2007 	great location great hotel	we stayed for three nights in october 07 and loved the hotel. (junior suite -2201) nice and spacious (tho the bathroom needs a bit more storage rack), room clean fresh light and airy, staff extremely helpful and courteous. we used the concierge for rest booking and they did a good job in getting a table at nobu with short notice. overall very highly recommended. ps: ask for a higher floor room overlooking the park	
Oct 7 2007 	My newest favorite hotel in NYC	My newest favorite hotel in NYC. The rooms are spacious, relaxing and quiet with great views over bryant park. The hotel is in a great location for tourists as so much is within walking distance.The staff are always smiling and every service exceptional.The Koi resturant a delight for sushi fans.I would be disapointed to stay anywhere else after being here.	
Oct 4 2007 	An elevator like a tiny bordello but otherwise thumbs up!	First and foremost, do NOT order the room service pancakes. I know, sometimes it's early, and you're starving and already late, and you think , &quot;oh, how bad can those pancakes be? They're like $99! They have to be at least okay!&quot; Wrong wrong wrong! Dinner service (from Koi) was a zillion times better, though portions were on the small side.The hub and I checked in with our toddler the day after Fashion Week ended. The staff was very nice the whole time. Let me tell you something though - don't book a room located at the front of the hotel for the day after Fashion Week, or whenever they're setting up/taking down something in the park. It is crazy noisy. I'm used to city noise, but it'll definitely bother folks who aren't. Someone commented that the sound machines in the room seem cheesy, but they're there for a reason - you'll drop to your knees and weep with gratitude when you need them! Granted, we were on the fourth floor right by the park, so all the action was right there.I liked the Molton Brown bath amenities, but they weren't replaced the second day, which was a bummer, 'cause hey - Molton Brown! This is perhaps because there's a shelf of Molton Brown for sale in your bathroom, conveniently enough. The bathrooms are huge and amazing: marble everything, deep tubs, rainspout showers, or whatever those are called.I find it amusing that the hotel sells sex toys but doesn't stock them in the room; you have to call down and have someone bring the stuff to you, which seems like it would be awkward. There are scads of free magazines by the elevators wih titles so hip I've never heard of them. Security is pretty good; you have to flash your key in order to get upstairs. The elevators are hilarious: tiny, dark and lit red, club music that sounds like it's playing in a tin can. The rooms themselves are spacious and lovely. We got the room a level up from standard, and it felt like a junior suite with a sitting area and big foyer. Again, the staff seemed genuinely pleasant and were always helpful and nice to interact with. Great hotel, but somewhat of a splurge.	
Sep 18 2007 	favorite ny hotel	I stayed at the Bryant Park Hotel for 10 days in April for a special occasion and then have stayed there since about 5 more times. This is my favorite NYC hotel. The front desk personnel to the handsome men who open the doors and take your luggage to the sweet and accomodating housekeepers are all incredibly helpful and professional. The rooms are chic and modern and include nice little extras like privacy buttons right next to your bed and your choice of falling asleep to the sounds of ocean waves or soft rainfall. Most rooms have beautuful views of Bryant Park. The bathrooms are large and sleek with rainshower heads, deep tubs and the most wonderful Molton Brown bath products. The bathrobes are soft and the LIGHTEST hotel bathrobe I've ever worn. You know how you wear a hotel bathrobe and it's so heavy and uncomfortable you'd rather wear nothing? These robes you will want to buy. There is a wonderful Japanese restaurant and a classy night club right on premises. I love this hotel for its location, its look and feel, but mostly because of the wonderful, happy and professional staff in every department!	
Sep 14 2007 	Book this hotel today.	Over the years I have stayed in so many lovely hotels in Manhattan I feel a little jaded. Yet, mention the Bryant Park Hotel and I feel giddy with excitement. This hotel is my new love. This hotel is absolutely perfect. The staff, the service, the amenities, the location, the rooms, the design, it's all perfect. Rumor has it that Leonardo DiCaprio stays here.Hmmm. To top it all off, the brilliantly redesigned Bryant Park sits across the street beckoning me over for my morning coffee, I succumb.	
Sep 14 2007	Super Weekend	I need to tell you how much fun we had staying at Bryant Park. Every single employee we encountered was nicer than the last. Of the many times I have stayed in NYC, this was perhaps the most enjoyable. It would be hard to give you names of the best employees, because all were so nice - from the doormen to the people at registration to the concierge. I would love to return. K L	
Sep 12 2007 	Fantastic Stay and a Great Location for the Money!!	I can't say enough about the staff at this hotel. They really make you feel welcomed and are extremely attentive. And, the rooms are spacious with very large bathrooms. This is rare for New York City where the standard m.o seems to be small, smaller and smallest. My room had an Ipod docking station, flat screen t.v and a very comfortable bed. For the price, you can't beat it and I would absolutely stay there again. You are only a few blocks from Broadway and Times Square but the property is tucked away on a side street that is quiet and peaceful. I've stayed at other trendy spots such as the Hudson where the staff definitely sports an attitude. You will not find that here. This is a hidden gem and I will definitely return to the Bryant on my next trip to New York.	
Sep 6 2007 	Loved it!	We spent 3 nights here at the end of July. Everything about the place was awesome. The rooms - modern, with a great bathtub and plasma screen tvThe staff - so friendly and helpful, at all timesThe location - across from Bryant park, which is really nice, and right near the subwayI really have no complaints, and I would definitely stay here again in a heartbeat!	
Sep 2 2007 	I Heart Bryant Park	Yes i spent many hours searching for the best hotel deal in NY, what with this being my first time there and all. I was worried about being in the right area especially because I was a female travelling alone. I arrived at the BP late on Thursday night (coming from London) and had pre arranged a massage in my room. Fab! went straight to sleep after and this meant I awoke nice and early and was able to go across to the park and see John Legend play for the summer in the park shows. It was such a great atmosphere. The hotel room was definately big enough (i had a standard room) and the bed was amazingly comfortable. I didnt hear any noise from the bar below (had been worried about this before arriving). Everything i needed was there, and the staff were all extremely helpful and friendly. I could only book 4 nights here and then the other 5 i stayed at the Casablanca, which was also great but i kind of wish i could have stayed at the BP the whole time, as it was probably better for a single 30 yo woman, and the other hotel better for families/couples. I also loved the Pax food shop on the corner, great for getting breakfast and going to sit in the park! Great experience at this hotel and would love to stay there again. By the way, i paid $295 pl tax per night and at this time of year was good enough compared to some other 4/5 star hotels.	
Aug 30 2007 	Perfect location great value	Although I'm not that familiar with New York prices, this hotel seemed very reasonable for a 4* in midtown Manhattan: we paid approx GBP125 (USD240) per room per night for a 'Superior' room (booked as a package via Expedia). Not sure if they're always that competitive but it seems so based on other reviews. For the price you get a great location: obviously midtown Manhattan is convenient (the Villages and Soho to the South, Central Park to the North, Broadway theatres and Madisson/Park Avenue shops on the doorstep etc) but this hotel's biggest advantage is Bryant Park itself, one of New York's finest. Well manicured, cultured and calming, largely due to the spillover from the city's beautiful public library that occupies the eastern end - it's a great retreat at any time of the day. Apart from the benefits of its location, the hotel also has a lot of style: an historic skyscraper (Art Deco) painted in black with gold highlights; a hip and young crowd in the cellar bar (maybe too young?); attentive and friendly staff. The room we had was great too but partly because we got lucky - our window opened onto a terraced area with a table and chairs (only a few floors have these, ours was on the 14th). The room was in the 'Superior' category (the lowest) which was a good enough size (but may have felt small without the terrace) and had all the amenities you'd expect of a modern 4*: flatscreen TV, luxury toiletries (Molton Brown), bathrobes, minibar with ice bucket etc. All in all, I rated this hotel very highly. The staff were great - very responsive to any request and almost always friendly (that's special for New York!). It has a great midtown location with a charming park immediately opposite (which reduces the noise levels, also special for New York). With all this, the room rate represented great value.	
Aug 25 2007	Favorite Manhattan Hotel!!!!	I visit New York City at least once a year and I wish I had known about this hotel sooner! The other hotels I have stayed in are The Waldorf Towers, The St. Regis, The Marriott Marquis, and The Ritz-Carlton Central Park. THIS hotel tops them all! Love the location - right in the center of Midtown, LOVE LOVE LOVE The Bryant Park across the street. The entire park has wireless internet, four refreshment kiosks which serve breakfast, many lunch and snack selections including delicious hot pastrami on rye and signature salads and soups, smoothies, many coffee selections, etc, etc, an old fashioned merry-go-round, four acres of beautiful shady landscaped park complete with spraying fountains and plenty of tables and chairs so that everyone can find seating somewhere in this peaceful oasis in the center of all the noise, bustle and madness that is Manhattan. Since the hotel is across the street it too shares this same peaceful feeling - approaching the doors of the hotel (which are always attended by very fun and friendly doormen who go out of their way to be helpful and make you feel welcome -and who always remembered our names) you immediately begin to feel the calming effect the shady green park provides this very lucky street in Midtown. Its like finding a special escape every time you return to the hotel.Now for the rooms - WOW - I had a junior suite, huge, with gorgeous decor and hardwood floors, floor to ceiling windows (our ceiling had to be 12 feet high at least) a huge huge huge terrace, and a bathroom that is UNBELIEVABLY HUGE the shower is big enough for two people, the tub might just be big enough for three people! wonderful Molten Brown toiletries, fabulous beds and pillows - just an amazing room. I could go on and on. The location, room, service and attention to detail make this hotel an exceptional value - I highly recommend it ! Oh, and the dark elevators with the techno music are a very cool and trendy touch! Enjoy this wonderful gem!	
Aug 23 2007 	Fantastic hotel and service	Stayed at the Bryant Park for a week as a tourist and thought this was one of the best hotels I've ever stayed in. The staff were incredibly helpful and welcoming, the front rooms are spacious and have a phenomenal view of Bryant Park and the location is perfect for visiting Manhattan.The nice touches really made the stay, from the luxurious bath and shower to the incredibly helpful concierge / entertainment planners (thanks Marco!) who recommended genuinely great places to go every day.The only thing I didn't like was the internet in the room - the in-built browser is a bit old so to check emails we had to use a kiosk a couple of doors down.I doubt the feel of the hotel would suit all - it feels like a very trendy bar - but as a young couple staying in NYC for the first time it was perfect and next time I'm in New York (business or pleasure) I'll definitely stay here.	
Aug 21 2007 	Trendy hotel	Great location, beautiful interiors. I stayed there twice once as a tourist in NY and once in June 07 when i was in NY for business and i didn't think there were set up for business traveler. I called at 6 a.m and asked for an iron and i left my room at 7 and the iron was not there yet. Internet conncetion was very bad and no one there to help. I couldn't check my email for 2 days i was there. As a tourist the first time i loved it, everything was great.	
Aug 21 2007	Great experience	The customer service at this hotel was excellent. The reservations staff were professional, friendly and attentive to details. The Entertainment Planning/Concierge was also very helpful and took care of all our requests. The rooms were spacious, clean, high-tech, and quiet. The Cellar Bar was a great spot for a late night drink - very hip. Location of the hotel is one of the best in the city - we would definitely go back.	
Aug 15 2007 	Just Wonderful!	We booked a block of rooms at the Bryant Park for my daughter's wedding. Everyone was thrilled with the spacious rooms; the beautiful views of the Park; the high tech gadgets and best of all the central location. It was an easy walk to theatre, Museum of Modern Art, and Fifth Ave. shopping. Thank you to the kind concierge staff for putting up with all our wedding frenziness. I know that all our guests will return to the Bryant Park for future New York visits.	
Aug 6 2007 	Definitely worth the money!!	I have stayed at many hotels, and I give this one the highest rating. At the end of a busy day in New York City, we looked forward to returning to the hotel. It was trendy and calming, with a peaceful, clean, minimalist furnishing style. Fun, professional doormen offered a personal greeting at the door welcoming us back. The hotel has all the comforts you want - amazing hot showers, a deep soaking tub and updated electronics. The bed and sheets were amazing!! We highly recommend it!!	
Jul 31 2007 	Great Location Midtown Trendy Spot	Great place to stay in midtown Manhattan. Excellent rooms, friendly staff, spacious room compared to other places. Trendy and modern atmosphere, fashion magazines in lobby, etc.I would definitely stay there in the future. Restaurant Koi is great, and Cellar Lounge is hip for dancing/late night drinks.	
Jul 25 2007 	Perfection in the Park!	The Bryant Park Hotel is an oasis inside the city. Located next to beautiful Bryant Park in Midtown, you get a great location, the amenities of a premium brand hotel and the comfort and ambiance of a boutique hotel. I am very picky when it comes to hotels and this one gets gets top marks across the board. The staff is friendly, courteous and on the ball. The rooms (I stayed in a Junior King Suite) are beautifully appointed, extremely spacious and packed with great Molton &amp; Brown amenities, gorgeous towels and great bathroom fixtures. The wood floors are a welcome relief from the typical dusty carpets that you get in most hotels. The room is very quiet; I never heard another person on either side, top, bottom, or in the hallway. The room was designed with the minimilist approach (meaning you won't find heavy, ornate furniture), which compliments the overall aesthetics perfectly. NYC hotels can be tricky and sometimes even some of the best known ones are disappointing. The Bryant Park Hotel is the perfect anecdote for anyone who is tired of big, convention-style hotels and leery of smaller unknown boutique hotels. I would highly recommend it and plan to stay there again.	
Jul 24 2007 	Excellent Boutique Hotel	Hotel was Hip and trendy without being over the top. Excellent friendly staff. Room was lovely and cool and clean with really nice bathroom! Great bar and restaurant. Beautiful park opposite the hotel which is great fro coffee and a danish in the morning. Central to most things-you can walk to 5th Ave, Rockafella, broadway, times Square and Grand Central Stn. Definitly will be staying there again.	
