	Fantastic Hotel Great Location	We stayed at the Blue Moon Hotel during November and had a great time.The hotel is lovely with little bits of history all over the place.Our room was lovely and with plenty of room, it also had a small balcony over looking the Williamsburg Bridge. The bed was firm ensuring a great nights sleep. The bathroom was well appointed, but you had to flush the toilet a few times for it to clear. The shower was powerful, but the towels for drying yourself were on the small side.The front of house guy who we met on our first day, Paul, was fantastic. So friendly and full of information. He really made a difference to our stay.We would definitely stay there again. The hotel is in a great location for getting around New York and the neighbour hood has some lovely restaurants in strolling distance.	
Aug 13 2007 	They have the potential but they miss to the point of infuriation	Wow, what great place the Blue Moon could be. Unbelievably, they seem like they’re actually trying to keep guests away. There is no way a hotel would try to infuriate guests like the Blue Moon did to us. Or would they?I’ll start by saying that I originally booked the Marx Brothers room (a “luxury” room) at $790 per night, for two weekend nights. A couple of weeks after I booked, I saw on their website that the price dropped to $740, but when I e-mailed and asked for the lower rate, Antonella (assistant mgr.) said “You booked at $790. Even though the rate dropped, you must keep that rate, as everyone who booked at the same time you did is paying the $790 rate.”I didn’t think too much of it, because it wasn’t a lot of money, but a week later I checked their website yet again, and the rate for the same room class (“luxury”) dropped to $665. I called and asked them to honor the new $665 rate. Well, Antonella would not honor the $665. I asked her “you mean to tell me that you’re going to make me cancel the reservation, then call back in five minutes and re-book for $665?” Her response was “I cannot change the rate. There is nothing I can do.”Well alrighty then. I cancelled my reservation, and immediately called back and booked the same room at $665. That was a great use of my time (and Antonella’s time as well).So we arrive at the Blue Moon around 11:00 a.m. It’s pouring rain, my husband drops me off to park the car, and I run into the lobby with 3 pieces of luggage, an umbrella, and I’m dripping wet. The front desk clerk (whose name turns out to be Antonella), didn’t say hello, but immediately said “Check-in isn’t till 3:00, your room is not ready.” I said “you don’t even know my name, how do you know my room isn’t ready yet?”I gave her my name, and she checked her computer, and indeed my room was ready. Why is everything a battle at the Blue Moon? It’s not only unpleasant, it is also more work for the guest AND the front desk.As others have mentioned, the hotel requires guests to leave the room key when they go out. When you return, you say “I’m in the Marx Brothers Room”, and they give you your key back. I asked Antonella if they have any procedure for matching the room with the guest who returns, and she barked back at me “what kind of stupid question is that?”Um, I’m sorry.Our room, the Marx Brothers room (6th floor), was fantastic. Gorgeous drop-dead view of Delancey Street, the Williamsburg Bridge, the Empire State Building, and the tenements of the Lower East Side. It had an enormous terrace, a very large, sparkling-clean room, a refrigerator that didn’t have “eyes” if you moved things around, and a decent shower. Worth $665? You bet……except:(1)to flush the toilet, you had to hold the handle down until the flush was “complete”. I could have put up with that, but there’s more…..(2)A window lock was broken, and the adjacent apartment building had its rooftop right next to the window, with last night’s party remnants visible (empty rum bottles, empty beer bottles, etc.) I wanted a lockable window, so my husband had to jerry-rig a lock from a couple of pieces of metal he had in his suitcase. I would not have been able to do this on my own, and frankly, I was afraid to bring this up with the charming Antonella.(3)No bathrobe. For $665, I’d expect a bathrobe. In fact, I don’t think I’ve ever been to an NYC hotel at $300 or more that didn’t have one.(4)They give you enough soap and shampoo for one person with a small body and a crew-cut. When I asked for more, Antonella said “that is the guest size we give. I have no more, the cabinet is locked.” It was no problem for me to go out and buy more at the local drugstore, but again, at $665 per night, is this the kind of relationship you want to foster with your guests?(5)Ah, breakfast. We arrived at 7:20 a.m., twenty minutes after breakfast started. Antonella was not at the front desk, other person was much more polite, but there was no coffee, no juice, no sugar, no milk. I asked about breakfast, and he looked at me and said “I was waiting for a guest to arrive.” He didn’t move, didn’t do anything, just looked at me, and finally I said “I’ve arrived.” He made coffee. I had to ask twice for sugar substitute. I had to ask three times for milk. He simply would not address the juice issue. Finally my husband said to me “forget it. Let’s go out.”These may seem like little things, but they are details that any other upscale hotel would have covered. And at the absolute worst, a warm smile and an “I’m so sorry” goes a long way. Were it not for the front desk staff that I encountered, this would have been a 4-star or 5-star for sure, because the room, as I said, was outstanding.For those of you requiring authenticity, keep in mind if you stay on floors 6 or 7, you lose the authenticity of the old tenement, as these floors were add-ons. This can be easily seen just by looking at the outside of the building. That was not a problem for us, as I didn’t care about the authenticity.I would stay here again in a heartbeat if they paid more attention to these details. I would also stay here again if they got front desk people who cared about the guests. But the way it is now, it’s just not worth the money.	
Aug 6 2007 	Noisy Bad Neighborhood 	We normally would concur with the many reviews here and say that you wouldn't go wrong with the Blue Moon. Certainly the lobby is new, the rooms are new, beds firm with new showers. Then it is time to sleep and you wonder -- where is this noise coming from? First it is the garbage truck, then the Sysco restaurant food delivery, the oil delivery and by 6 a.m. you are wondering why you didn't get a wink of sleep! Then the doors start slamming -- the key system requires you to slam the door. The problem is the hotel is right on a street that has 4-6 restaurants and the deliveries come early -- I mean very early. It is just awful on a Monday a.m. We were on the 3rd floor in the Ella Fitzgerald room facing Orchard Street.When we approach the desk clerk in the a.m., he agreed to move us to a quieter room in the back. We got back to our room at night and nope, they decided not to move us! The owner came out and said it was our fault making the request of a night manager vs. a day manager. Huh? He then walked away with no response. &quot;Tough luck,&quot; he mumbled -- &quot;unless you want to upgrade, that is the only room we have.&quot; So here we are with another night ready for all the noise coming right through the uninsulated front windows and the slamming doors. I can't wait to check out!!!If you don't mind sleeping a wink, this place is great. And bring your earplugs unless you are stone deaf!!!!And by the way, the pillows are cheap, the shower won't drain, the shower is set too high so you will bump your knees, and the flat screen tvs are no bigger than a picture on my wall -- a joke, really. The breakfast is stale bagels, day old pastries and Tang. The front door is locked after 9 p.m. and all the restaurants in the neighborhood have bars on the windows -- let's just say, this is not the safest neighborhood in NY City. I felt safe, but you won't.Bottomline, you can do better.....much better.	
Aug 1 2007	Quirky but nice	Quirky experience--more like an inn than a hotel. They try to play up the 1920s New York feel, to general success. Rooms are simple and nice. Antique furniture, such as wire framed beds, is a good touch. Bathrooms are clean and reasonably designed. Location gives you direct access to the lower east side and areas of chinatown that you might not experience otherwise. Not near the city's hotspots, but near some interesting pieces real-life New York (and historic New York). Easy access to the Lower East Side nightlife. Not too far from East Village.A bit pricey for what it is--I waited for it to go on sale (certainly not going to spend $700, which is rack rate)	
Jul 31 2007 	Unique experieince at the Blue Moon	A truly unique experience. Beautifully refurbished, historical hotel.A great deal, considering it was only priced a few dollars more than the Howard Johnson down the road. A four-star hotel for just a few bucks more than a two star hotel? 300 thread count sheets, huge rooms, what a deal!But it is also a historical experience, starting from entering the lobby.Right next to the Tenement Museum.The owner gave us a tour and explained how the buiding was a time capsule, boarded up since the thirties. When they opened it up to refurbish they found many treasures which they kept and included in the decoration--fascinating.On the walls were the doors to the coal ovens in each tenement apartment, the tiles above the hearth line the lobby. Old cards, invitations, and newspapers from when the building was a printing shop were framed in collages on the wall. Medicine bottles, pill boxes, and other found treasures are part of the interior decoration.The owner is an artist, commited to the preservation of the past. How many people would take the time and effort to explore and preserve such a historic site?Finally, you can tell the attention given from guests just by looking at the reviews and seeing the manegment's response. Almost all have a response!Skip Times Square Hotels, and stay on the Lower East Side for a unique, historical, comfortable, experience.	
Jun 24 2007 	A Home Away from Home in the Lower East Side	The Blue Moon may not have all the luxury extras, but the hotel is gorgeous, the rooms spacious and clean, and the location and charm can't be beat. Some friends stayed further uptown in a more &quot;posh&quot; establishment, and had nothing but complaints. I'd live in the Blue Moon if I could afford to!	
Jun 12 2007 	We can't wait to come back	We had a fantastic stay at the Blue Moon Hotel. This was our first visit to New York and we wanted to stay in a small boutique hotel. The Blue Moon was everything we hoped it would be, helpful friendly staff, spotlessly clean, wonderfully eccentric. The Lower East Side may be a little ordinary during the day but at night it comes alive, terrific restaurants and bars. We loved New York and staying at the Blue Moon enhanced our adventure.	
Jun 3 2007 	Great atmosphere in NYC	This is the place to go to if you want to stay away from the conventional huge/amenity packed hotels where the service may reach excellence but the atmosphere is something you can just dream of.The room names ( mine was &quot; Tommy Dorsey &quot; ) gives already an idea about the age that inspired the renovation of this nice little building in 100 Orchard street, where original pieces found in the basement during the works have been reallocated all over the hotel. Courtesy at reception, basic but nicely arranged breakfast buffet in the little entrance hall and spacious rooms made my stay really enjoyable.Original room doors, restored to perfection, have original locks, that you need to get used to for leaving or getting back into your room, but that's part of the game....	
Apr 30 2007 	A most enjoyable stay	We very much enjoyed our stay at the Blue Moon Hotel. The proprietors were lovely, and very proud of their property, which is beautifully maintained and very clean. They were extremely helpful and pleasant, and full of recommendations for current attractions in the New York area. The rooms are comfortable, and quite large - such a pleasure in New York. The breakfast of fresh fruit, bagels, and lovely Jewish pastries was tasty and very filling. Our only critique was that we would have loved a couple of additional bathtowels but we will certainly stay again!	
Apr 9 2007 	Lower East Side Genealogy	I decided to do some family genealogy and take a tour of the Tenement Museum on Orchard Street. When I heard about the Blue Moon Hotel and its historical interest, I thought it would be a wonderful experience to stay in the neighborhood where my greatgrandparents spent many years of their life. The Blue Moon Hotel was worth every penny. The service was excellent and my room was overly comfortable. It is quite obvious that the owners of this unique hotel spent countless hours and capital in differentiating the Blue Moon Hotel from its peers. It reminds me of the setting of a European hotel. For those who want to visit the Lower East Side, I would highly recommend staying here.	
Mar 30 2007 	Total incompetence	The staff at this hotel all of the way up the manager are totally, totally incompetent, definitely stay away! My initial reservation was totally botched by someone who sounded like a teenager answering the phones. Then when I called to cancel my reservation I discovered that the mistake had never been fixed. Even worse yet, despite cancelling, my credit card was still billed and after 6 calls and several e-mails to the hotel, including Leah the manager I was never responded to!! I have never never had an experience like this at any hotel in my life!	
Mar 27 2007 	A Charming Hotel in a Historic Neighborhood.	The Blue Moon Hotel in New York City, a renovated tenement building, was referred to us by friends as a must. It is on the lower east side of New York an old, old neighborhood known for its immigrant population at the turn of the 20th century. We had been to the &quot;east side&quot; quite a while back and were astonished at it's revival and vibrancy.The Blue Moon lobby is entrancing. Not only is it welcoming it is tastefully furnished and contains items found during the renovation of this original tenement building.such as a coal oven and stove, a Coca-Cola ice box complete with bottle opener. Magnificent marble floors which inlcude some of the tiles found throughout the oldtenement... The room we were given was The Milton Berle room. All rooms are named after vaudeville stars including Fannie Bryce, Eddie Cantor, Sophie Tucker.  We were amazed at the size of the room. Much larger than anyroom we have ever stayed in in New York. It could easily sleep four and had a table and two armchairs. There was also a refrigerator stocked with dri nks next to a very convenient sink.. There were two dressers, one of which was tall and included a desk that opened. The oldtime closet was roomy. It contained an ironing board and iron and a safe. The windows were huge. We were told they were the original windows with the original wooden frame.and could actually beopened! It was not noisy at all during the day, as it often is midtown and at night it was so quiet it was like being in the country. The shower/bathtub in the bathroom actually had a door, making it much more comfortable than a shower curtains. It was mticulously clean, as was the room and hallways. Having large soap bars, shower gel, toothbrushes and toothpaste was a nice touch.A more than continental breakfast is available to all guests whichincludes bagels, bialys, cream cheeses, rugelach, pastries, freshly squeezed orange juice, freshly brewed coffee and tea. After such a breakfast, our next meal was around dinner time. Just being in this guest friendly historical building was a definite plus for our trip. We look forward to our next trip when they will have a kosherrestaurant that they are in the process of adding on the premises.Rosita FinkShaulzon24@yahoo.com	
Mar 25 2007 	Wonderful nights at the Blue Moon	The service that we recieved from the staff there was excellent. The beauty of the hotel and the rooms really made the stay wonderful. Being it my first time to NY the staff was very helpful in suggestions and directions around town. The all over experience of the stay at the Blue Moon was wonderful and I know we will be back in no time to visit.	
Mar 21 2007	Special one-of-a-kind experience!	Stay at the Blue Moon if you're interested in warmth, graciousness, and hospitality. We recently stayed one night at this charming 22 room hotel and can't wait to have an opportunity to return. The rooms were large and extremely clean and the ambience was delightful. We were looking for something out of the ordinary and the Blue Moon didn't disappoint. It's truly unique in a city full of the same old run of the mill hotel chains.	
Mar 19 2007 	Character Beauty and Charm	I have stayed in my share of New York hotel rooms, and I can honestly say that the Blue Moon Hotel on the Lower East Side was the best one yet. It was amazing to find such a comfortable and homey ambiance in a &quot;city hotel&quot;. The staff was exceptionally polite and friendly to a fault, and the Frank Sinatra room was not just comfortable; it was beautiful. A far cry from the cookie-cutter rooms you see at most of the hotels in the city. But don't let the quaint atmosphere fool you - this hotel had all 21st century amenities including wireless internet access and flat screen televisions. As a traveling clergyman, I find location to be at least as important as quality, and the Blue Moon delivers. This hotel is perfectly suited to all the neighborhoods in the Lower East Side and downtown Manhattan and a short walk from New York's famous subway system. In short, if you're just looking for a place to lay your head at nights while in NYC, the Blue Moon Hotel is more than adequate. But if you're looking for your hotel to be a part of your New York experience, a memorable hotel with character, beauty and charm (as well as exceptional comfort), the Blue Moon Hotel is the only place you need to go.	
Mar 19 2007 	A bit of Europe in NY	A great little European style hotel in a big city. Have stayed in similarly priced hotels in NY before and none compare to the hospitality, the spacious, spotless room (I was in the one of the smallest too!) and the quiet (I was facing the street.) Would highly recommend for those seeking unique.	
Mar 12 2007 	The Blue Moon is a Gem	The Blue Moon Hotel on New York's Lower East Side is truly charming. The Hotel is a meticulously renovated tenement building.The rooms are very large for New York-- nicely decorated and immaculately clean. The technology is up to date, with internet access and flat screen TV. I have stayed there twice, and both of my rooms (the lowest priced) overlooked Orchard Street. The neighborhood atmosphere is unlike any I have experienced in a New York hotel. It is an easy walk to the East Village, Chinatown, SoHo and Little Italy. Everything else is only a slightly longer walk or a short taxi or subway ride away. I stayed at the Blue Moon the first time because it was near the theaters and other activities I had planned. The second time, I returned because I liked the hotel so much. The old fashioned practice of leaving your key at the front desk when you step out (and the fact that the front desk is staffed 24 hours) made me feel very safe. The Blue Moon is very unique-- like an old time inn, but with the modern conveniences. It would be a pleasure to stay at such a place in any city, but the fact that it is in an historic New York neighborhood makes it extra special.	
Feb 28 2007 	Quaint charming boutique hotel	I stayed one night at the Blue Moon when I was in New York for a business trip. I absolutely loved it. I plan to stay there again whenever I'm back in the city, for work or pleasure.The entire hotel is simply lovely and my room, the Ella Fitzgerald, was so much more satisfying than any other hotel I've stayed in in New York. It was clean, comfortable and tastefully decorated. I am used to shoebox-sized rooms in NYC and this was definitely bigger than most. I loved the free wireless Internet in the rooms as well.My room had a fridge, coffeemaker and a flat-screen television. I loved the antique desk, wrought-iron bed, the warm coloring on the walls and the cool light fixtures. Bathroom was large and well-stocked with the essentials.The staff were so friendly and colorful. I wished I'd have had more time to chat with everyone I encountered. I'm no country-bumpkin, but New Yorkers make me nervous - except for the folks at the Blue Moon. Perhaps I've stayed in too many of those painfully hip hotels and have been scarred by them? I highly recommend that folks take time to check out the antiques and the paintings in the lobby. Beautiful. I felt like I was walking back in time. There was a lot of love put into the hotel, and a lot of respect given to its history.I read some other reviews about noise and I will say that there was quite a bit of street noise that rose up in the early hours, but, um, it's New York. City. I remembered thinking of Frank Sinatra as I pulled the pillow over my head and appreciated the fact that it is, in fact, a city that never sleeps.I'll definitely be back and have already recommended it to others.	
Feb 28 2007 	Inspired by the Blue Moon Hotel	Thoughtfully, tastefully and authentically restored to its 19th-century ambience, The Blue Moon Hotel provides a wonderful oasis conveniently located in downtown Manhattan. All the woodwork, accessories, furniture and even the decorative tin ceilings in the elevator have been restored by hand, allowing even the casual visitor to &quot;step back in time&quot; and be an aristocrat for an evening. Within easy walking distance of several restaurants and the subway, the Blue Moon Hotel provides great accommodations at a great price--particularly for New York City!I was even pleasantly surprised by the continental breakfast items, available gratis round-the-clock, including fresh fruit; assorted muffins, bagels, rolls, croissants &amp; bread. Even in New York, where almost everything is impressive, you're sure to be inspired by this urban gem.	
Feb 19 2007	Cookie but cool	Well what to say? On arrival we checked in with the very personable night porter. We were given keys to the Ella Fitzgerald room which we duly made our way to. On opening the door the initial reaction was wow! however this was shortly followed by the realisation that somebody else already occupied this room! On reporting this we were duly upgraded to the John Garfield room which was slightly larger, however the difference in room was a balcony. Not much use in New York in February!! The next morning we contacted check in to see if we would be moved to the original room or to stay were we were. The result of this was a 'Double Upgrade' to the Abbot &amp; Costello room. This time there was no visible sign of an upgrade apart from the assumption that anybody in a 'Comfort' room only drinks decaf. This is the first time I have been 'Double Upgraded' and found the first room the most impressive! Other than the room issues the stay was very pleasant. the rooms (all three) were very pleasant. everything you would expect from a hotel; tea/coffee facilities, iron, safe cable, etc... The hotel is perfectly presented, clean, comfortable and very picturesque with a very laid back attitude. The staff although slightly cookie were very friendly. Wise lunch reccommendations (Bar 89, Lucky Strike) and stay away spots (Times Square) are worth heeding. Definitely a good place for tourists who want to taste a bit more of the authentic New York rather than TGI's and the Hard Rock.Overall well worth a visit and would definitely stay again	
Feb 6 2007	I stayed the weekend at a boutique hotel that gave me a room like an apartment	When I travel I usually like to find a hotel with character, not just a place to get a good night's sleep. I'm impressed with the Blue Moon because it wasn't just built from a business plan designed to maximize profits from &quot;X&quot; amount of square feet. This is an impressive boutique hotel and a welcome addition to Manhattan. My room - and I got to see some of the other 22 rooms during my two-night stay - was really large. It had its own bedroom area, mahogany furniture, a bathroom with a great shower, and a view from the windows - huge windows! - that allowed me to look over the rooftops of the Lower East Side buildings and see New York, both during the daylight hours and at night. If I was making a movie, this would be on my list of locations.I spent time speaking with the owners. The story of how they restored an older NYC tenement building (the Tenement Museum, in fact, is right across the street) with authentic detail from the building and from the period, and then added original artistic treatments, is a tale of love and total commitment to a project. Sit in the cozy lobby and you'll see people on the street peek in through the windows and then walk in to ask about this special hotel on Orchard Street. There are travelers from abroad who have discovered the Blue Moon and I heard one almost promise he'd be back with his wife. Great stay and I wish them lots of luck. When they open the restaurant I'll be one of the first customers.	
Feb 5 2007 	loved our stay	We just returned from a visit to the Lower East Side where we stayed at this charming hotel. It's a very warm, small, friendly, old-fashioned hotel located in an old tenement building next door to the Tenement Museum. I happen to love this area and am fascinated by the history of the neighborhood, so that helps.  But notwithstanding my predisposition to love the Blue Moon for its history and quaintness, everything about the hotel was great. We had a very comfortable room, nicely decorated, and an attractive, bright, clean, new bathroom.  The staff were so friendly! They always greeted us with smiles and remembered who we were in all our comings and goings; asked about where we were from, talked about the neighborhood, offered us coffee and tea and kosher baked goods from local bakeries. The hotel was very convenient for our needs over Fri. and Sat. You might want to ask about their plans for Fri. night and Sat. meals, something coming up in the near future. I can't wait till our next visit!	
Jan 22 2007 	Great location!	The Blue Moon Hotel is located in the now trendy Lower East Side right next door to the Tenement Museum and a step away from everything. I went shopping on Orchard Street, walked to Chinatown and Little Italy. This is a hotel with an incredible personality. The outside is stunning, and after walking into the hotel, I immediately felt calm and relaxed in the beautiful lobby. The owner is an artist who paid meticulous attention to the décor with some of his own paintings adorning the walls. I was thrilled with the accommodations; my room was exceptionally beautiful, comfy, clean and new. Did I mention NEW? Everything was brand new- bed, blanket, pillows, dressers, fixtures, coffee pot, fridge and flat screen TV (Monk would be proud)! The bathroom sparkled and came equipped with a deep tub which I soaked in after my day of shopping. This is one of the few hotels I felt confident enough to lay down on the carpeted floor sans towel to do my yoga poses. The temperature was easy to control and I kept it nice and toasty. I heard that a wedding party was coming in on my second night there and was bracing myself for the festive partying, but to my surprise, no noise… nada, not a sound, slept like a log and I am a very light sleeper. Great breakfast, free NY Times, what else can you ask for?	
Jan 21 2007	You'll appreciate this quaint hotel!	If you are looking for a charming hotel in the heart of the lower east side, you will truly appreciate The Blue Moon Hotel.The owners lovingly restored the building and used original materials to create a wonderfully aesthetic little gem of a hotel. The display of craftsmanship used throughout the entire hotel will continually amaze and delight as you view the original tiles, woodwork, fixtures, etc. and feel the history of the building. You'll love it.The original artwork by the owner displayed in the lobby is stunning as well, provides the &quot;hip&quot; element.There is real warmth that comes from the family style atmosphere the onsite owners convey, and the staff is genuinely helpful and concerned that your stay is as pleasant as possible.The rooms are large, the bed is comfortable and cozy, and there's a flat screen TV in each room (cool).I highly recommend this hotel.	
Jan 14 2007 	Surely Better Than Expected!	At the start of January I had to be in the Lower East Side for Business reasons, and I am highly content with choosing the Blue Moon Hotel. I found the property through Expedia, but I always book direct because it comes out to be cheaper. The rate for my room was great, and the room itself was just better than expected. At first i thought, because its a small hotel, I would surely get a small room, but I couldent have been more mistaken. Plenty of Restaurants were close by, so everything was convenient. I couldent have asked for more.	
Jan 9 2007	Great Hotel	we spent 5 nights over the new year at this hotel and we found it very comfortable and nicely decorated and very clean, All the staff were very helpful and really nice as were other guests staying there. We thoroughly enjoyed our trip and the owner was really good at pointing us in the right directions for places of interest and helped us with the new york subway system . Cant fault it-coffee pot on in the lobby at all times and a wonderful selection of Teas to quench your thirst on arriving back after a tiring day out sightseeing. would certainly recomend it. Bagels and coffee in the morning really set you up for the day and constant hot water in the rooms. Rita	
Jan 3 2007	Blue Moon: A splendid experience and special place to stay	The Blue Moon Hotel is absolutely wonderful, we especially enjoyed meeting the staff, they are fantastic, we loved them all. The hotel has beautiful decor, the rooms are comfortable, spacious and clean, though the best part were the owners and employees. We will definitely come back often and soon.Kim and Lisa	
Dec 31 2006 	What a surprise!		
Dec 27 2006 	Wonderful unique experience		
Dec 27 2006 	Great deal as well as a wonderful stay!		
Dec 26 2006 	the blue moon: an oasis in the city		
Dec 10 2006 	A great hotel		
Nov 13 2006	We will never go back - too much money for too little!		
Oct 11 2006 	Dogs are kept in cages I heard. No hot water. TP is cheap.		
Sep 19 2006 	Definitely not a 3 star hotel		
Jun 22 2006 	Book this hotel only if you are desperate		
May 11 2006	Charming but missing some basics		
Jul 26 2009 	Très charmant et paisible		
Jun 16 2009 	Un moment inoubliable		
Mar 2 2009 	Fuyez arnaqueurs hotel sordide		
Jan 18 2009 	Gente simpatica		
Dec 11 2008 	Muy recomendable		
Nov 16 2008 	Great!		
Oct 23 2008 	Hotel histórico con un servicio personalizado y eficaz		
May 21 2008 	Un hotel charmant et spacieux à New York !!!!!!!!!!!!!		
May 12 2008 	Ein kleines gemuetliches Hotel in Lower East Side		
May 12 2008 	Un'atmosfera speciale in uno splendido hotel		
Apr 27 2008 	Das Blue Moon NYC - ein Leckerbissen unter den New Yorker Hotels		
Apr 5 2008	vacanza fantastica al bluemoon		
Feb 12 2008 	diamant caché		
Oct 17 2007 	Nett aber zu teuer		
