	Best hotel for value in NYC	My mom and I recently stayed at the Ramada Eastside for Thanksgiving to enjoy the Macy's parade. The hotel is in a good location and we could walk to everything. Continental breakfast is included in room price, which is nice. Our room was compact but very clean. We had a coffee maker (which is rare in NYC), flat screen tv, comfortable queen bed, and for the price and location, we would definitely stay here again. If you want a cozy, nice, quiet, clean, safe, convenient, and reasonably priced hotel in Manhattan, the Ramada Eastside is the best value!	
May 4 2007 	For the price it's a great value	Evidently, it's gotten a lot more expensive to stay in the city since I was in NYC the last time (2001). Hotel rooms are commonly hard to find, especially when the Tribeca Film Festival and Yankees-Red Sox are going on the same weekend. We luckily were able to secure a room at the Ramada Eastside at 30th &amp; Lexington. Three blocks away is the 28th Street subway stop for the 6 train, which will get you to Grand Central and from there just about anywhere in the city you will want to go. The rooms are nothing special, but they are clean and have very comfortable beds, which it appears they are about done replacing. Continental breakfast and free internet in their business center are pluses. There is a connecting coffee shop off the hotel lobby and a decent Italian restaurant right next door to the North (Trattoria Belvedere). Another good restaurant is Les Halles, which is about two blocks away on Park Ave South. We found the location of this hotel to be good, especially since we couldn't find any other hotel rooms available for less than $350 a night. I would stay there again if I couldn't get a room through Priceline.	
Apr 12 2007 	Great	We stayed at the Ramada Inn 30th and lex in Manhattan. It was me my wife and three kids. The room was large with two queens and a roomy bathroom. The location is great. Quiet at night and centally located. A great Itailan rest across the street as well as a great Chinese/ suishi joint next door to the Itailian place. We ate at both places and it was reasonable, both kid friendly.Best part of stay was the new temper-pedic mattresses( next bed I get will be one) and the free breakfast! Bagels, cereal, juice, toast, yogurt, waffles Kids loved it and it all tastes great when free. 189.00 a night room was spacious and clean. Only problem we had is the morning we left no hot water they were having a problem. BED BUGS IS BULL*****. I read it on another review. I am hard on hotesl and restaurants, hard to please, but I cannot complain about the Ramada or restaurants across the street	
Mar 28 2007 	It's fine it's clean and very easy on the wallet!	We stayed at the Ramada Inn Eastside from March 22nd to March 27th. The price was the lowest I could find in Manhattan for a Murray Hill hotel room with its own bath (179-189 a night). The hotel staff seemed nice, the hotel lobby was very clean (in fact the hotel hallways smell kind of like bleach), and the room was just fine. Remember, this is the Ramada Inn, not the W Hotel, so don't expect lots of space or luxury. But do expect a smallish room (about the size of a typical American bedroom) with a very comfortable bed, a TV in an armoire, desk and chair, night tables, lamps, iron, blow dryer, phone, coffee maker, shampoos, several towels, etc. And a generous free breakfast is served on the lower level each morning. For the price, you could do a lot worse than this solidly middle class hotel! This was a safe and comfortable place. And there were absolutely no bugs! Believe me, I checked this out thoroughly after being terrified by reading reviews after I'd booked the room. The only complaint I had was that the ceramic tiles in the bathroom need to be regrouted as the grout looks kind of stained as years go by, which is not a big deal, just not appealing to look at. There is nowhere to put anything in the bathroom--any little shelf would have been nice. I couldn't put anything on top of the toilet tank because it was slanted, and the little pedestal sink had no room to put anything down. So the hotel management should consider adding a little shelves to the bathrooms. Other than that, this was a fine place to stay for the money.	
Mar 20 2007 	Very clean gracious staff will stay again	We just returned from an 8-night stay here. The room was very clean, and we were comfortable the whole time. The weather outside went from 70F the start of the week, to 25F near the end. The room was always comfortable, and we hardly even had to turn on the heat/AC. The rooms are not huge, but we stayed with two kids, and had plenty of space. The building is not new, but seems to be maintained well, and they have clearly done a lot of work lately (new mattresses, carpets, paint, fixtures). The breakfast is normal continental fair, but was a huge money saver. Toast, bagels, donuts, oatmeal, juices, fresh fruit, yogurt, coffee/ energy drinks. Eat well, 'cause the rest of your day in NYC will cost a lot!The staff were all very courteous. Maids were friendly and trustworthy. A plugged toilet was fixed in less than 5 minutes.We will stay here again.PS As a first-time visitor to NYC, EVERY stereotype I had was shattered. Sure, I saw a drunk on the subway, but nothing like what I expected. Everyone was very cordial and helpful. I felt much safer here, than in Chicago or LA. Of course, you have to be aware of your surroundings, but relax and enjoy yourself!	
Mar 19 2007 	Great value and pleasant staff!	I stayed here with my wife and two young children over St. Patrick's day weekend. Overall we were very pleased with our stay. Our room with two queen beds was larger than expected (I understand that some of the single bed rooms are very small), the hotel was very clean, the Continental breakfast was excellent, the staff was courteous and helpful, and the location is very good. This hotel is a good value and I would consider staying here again.The only real negative is that there is no onsite parking (there is a discounted public garage 2 blocks away), and to unload our vehicle we had to double-park in front of the hotel. However, this was a minor inconvenience in the grand scheme of things and it is generally expected in New York city.	
Mar 17 2007	Best Hotel on Eastside of NY	I have stayed at the Ramada Inn Eastside on numerous occasions. Ramada is an excellent hotel. The hotel is spotless. The accommodations are Superior! The people are Outstanding! 5-STARS!	
Mar 12 2007 	great location great price	I just returned from a trip to NYC and a stay at both the Ramada Eastside and the W hotel-Union Square. For the record, I have stayed at this Ramada two times before (in the span of the last two years) and did not have any of the negative experiences as mentioned in other travelers' posts. I was very pleased with the new memory foam mattress in my room at the Ramada, it was actually more comfortable than the mattress at the W! I do also want to mention, that the rooms at the Ramada are small, and the decor is a little worn, but for the price, you can't beat it! The location is central to everything and in my opinion, it is a extra added bonus that it is located in a mainly -residential area. I will also echo the sentiments of earlier posts about the Brasil Coffee shop and the Trattoria Belvedere next door. Both were outstanding! Especially the Trattoria!! The owner was very gracious considering the fact that we were a party of 8 (including two children) with no reservation - we were seated immediately!! The food was spectacular - this coming from a family of italians! Be sure to visit if you can, and leave room for the homemade Tiramisu - it's on the house!	
Mar 7 2007	Clean and comfortable rooms.	Visiting from Canada, staying at the Ramada Inn hotel in New York , 161 Lexington was a wonderful and new experience. It offers the best breakfast, fitness center, room services and clean rooms. The rooms offered new temper pedic beds it was very comfortable and health to experience. This vacation was much better than the other hotels I ever visited in all my years of traveling. But what I really liked was the location of the hotel, located next to the best Brazilian coffee shop and shopping areas.  Over all the experience was a joy and a lovely trip. I would recommend this hotel to any of my boss and family member. I was an excellent and way to enjoy a vacation hotel. Aftab Shaid from Canada	
Feb 27 2007 	Update on Beds Bugs and Broom Sticks	I stayed at the hotel from 21st of Feb till 23rd. The hotel was clean and well run. The hotel has replaced every single matress and has been cleaned from tip to toe, in January, you'll see that the negative posts are from people that stayed there in November. After reading the posts I had a sleepless night, the night before I was due to arrive in New York, Im from London, UK. Anyway I was really tired, and without anywhere to go late at night I arrived at the hotel. The staff were really nice when I asked if I could pre inspect the room for bugs before I moved in. The staff did not complian but took me to the room where i proceeded to remove the bedding sheets and check every nook and crany of the room (which is a little small but not claustrphobic) I did not find any bugs or even signs of bugs. So I would happily stay there again. I beleive the hotel when they say that they cleaned the place in Jan, Bed bugs are a common problem in many hotels because patrons bring them in so clearing bugs is a constant battle. But the room was clean the breakfast is ample and tasty, the staff are pleasent, the guests are middle class, clean and i had a great experiance, If you are comming by car use the icon parking because they have a special deal which the hotel can explain, it will save you some money. I thought i would put the record straight.	
Feb 26 2007 	A decent stay at a great price	My wife and I stayed here this past weekend. Overall, it was a fairly good stay for the price (we paid $139 per night for 2 nights). The room was small but clean, although the elevator had a strange aroma. The staff was ... average. Definitely not rude, but indifferent, as if they didn't really care that we were staying with them. The location was quiet and central to much of Manhattan. As others have said, the coffee house next door is fantastic. One caution if you are driving into NYC and planning to park: the parking garage, although close, had an incredibly rude attendant. Not only could I not understand what the angry gentleman was saying, but he literally peeled out in my car as he pulled it around for us to get in. I *think* he was mad because I didn't tip him, but I normally don't tip for rudeness. ;)	
Feb 8 2007 	Once bitten.....twice bitten....three times bitten then we lost count	My partner Colin and I were bitten badly whilst staying at in the Ramada Eastside in New York between the 8th and 13th of November and the response that we received from management when we complained about the same was totally unacceptable.During the first two nights we received a number of bites to our legs and lower torsos. We could not be sure that these happened in the room until on the third night we noticed small dark creatures in the bedding. We were absolutely horrified and at approximately midnight Colin went downstairs to reception to request that something be done about it and that we were movedto another room (although we would have preferred to be moved to another hotel if I'm honest!).At reception Colin was given a can of &quot;Raid&quot; fly spray and told to spray it around the room. When he said that this was not good enough I understand that the manager was contacted via telephone and told a member of staff to change the sheets in our room. So Colin arrived back and sprayed the bed and carpet with &quot;Raid&quot; and then a member of staff turned up with clean sheets which Colin helped him to put on the bed. Alas this did not seem to do the trick as we were bitten some more before the night was through.The next morning we were given a new room and had to move all of our belongings. We were told that had to wait until the next day (Monday) to speak to Victor, the manager, to see what could be done for us. That night Colin and I felt rather unwell, a bit sick to be honest. We read the instructions on the can of &quot;Raid&quot; and discovered that it was poisonous and if it came into contact with the skin medical advice should be sought. And this we had been told to spray in the room and on our bed! The next morning, when Victor was finally located he took us into his office and called in a man who was seemingly some sort of pest controller. He told us that he had been to the room and nothing could be found but this was not to say there wasn't a problem. He and Victor confirmed that another guest had complained of the same thing within the last two months but they just couldn't find what the problem was. I was rather stressed at this point and told him I was worried about the &quot;Raid&quot;especially since I am pregnant. He asked what we would like him to do for us and we said we didn't know as we are not the sort of people to complain usually but this was all just too much. He offered 10% off one night's stay at the hotel which we told him was not acceptable as we had put up with three nights in a bug ridden room. He said that he could not offer anymorethan this so we asked him for details of someone to complain to. He tried to give us his own business card which we did not accept and then the name of someone who worked in the reservations department. At this point we said we would look on the internet and find the company's formal complaints procedure. He then said he would call his manager and see what more could be done. A few hours later we contacted him and were told that the best that could be done for us was 20% off one night's stay and reimbursement for insect repellent andantihistamines that we'd had to buy. We were so fed up at this point that we accepted - we just wanted to get home to be honest. We complained via the company website and requested adequate compensation for our experience and assurances that the same thing will not happen again to other guests. They would not offer us anything else so I emailed the Chief Executive via his blog but we have heard nothing.So to summarise we would say AVOID THIS HOTEL AT ALL COSTS. New York is a fabulous city but our experience of it was tainted somewhat by what happened at the Ramada Eastside.	
Feb 7 2007	Beware The Bed Bugs Dont Bite	I stayed at this hotel for three nights, the accomodation was of an average standard comparable to a UK Travelodge except with the addition of bed bugs/ mites. I left the hotel covered in bites and with the fear my luggage had also been infested. I believe other budget hotels would be of the same if not better standard but without insects sharing your room.	
Feb 5 2007	Brilliant!	I'm a few months late with my review but I loved the hotel!Fair enough it wasn't the Waldorf but it met our requirements!Thought everything looked really clean and tidy until the last day when we were looking under the bed and found a condom wrapper which was disapointing.Loved the breakfasts - managed to put on 10lb in 5 days with all those doughnuts! It was enough to keep you going nearly till tea time.Thought the staff on reception were very helpful and also the week day breakfast and room cleaning staff were very friendly indeed!Loved the Murray Hill diner just up the road - very popular on sunday mornings!The location was great we were quite handy for most things and all the walking helped burn off the calories from the breakfast!!This is a great place for tourists who are wanting a 'base' to sleep.	
Jan 20 2007 	What a find	Easy check in.  No view considering we wanted a smoking room and only the 4th and 5th floors are for smoking. We really weren't in the room all that much. Clean room and bathroom. Great water pressure for shower (Watch out for that step into the bathroom). No complaints regarding the slow elevator (Maybe they are reading the reviews and stepped it up a bit?)Italian restaurant next door (Trattoria Belvedere) was awesome. The owner was on premises and introduced himself to us and we also received a complimentary glass of Italian desert wine with our coffee. The service was wonderful. The food was incredible!!!!Deli down the street open 24 hours (what a godsend). Anticipating my next excursion to NY and would definitely book this hotel again!!!	
Jan 14 2007 	Fine if you don't mind bug bites!	My company booked me in this hotel while I looked for an apartment. Like another reviewer, the room felt like a sauna when I walked in. I called the front desk and asked about air conditioning since it would only blow hot air... after telling me, &quot;You don't need air conditioning,&quot; they sent someone up to &quot;fix it,&quot; and by that, I mean they sent someone to open a window... which I didn't close during my entire stay (5 nights). Anyway, that was only a minor inconvenience. The reason why I departed early from what should have been a 3-week stay was that I was being eaten alive by bed bugs or spiders or something while I was sleeping. I was bitten 3 nights out of the 5 I was there... on the last night, I incurred 6 bites. I'm more allergic than most to bug bites, so they swelled to welts about 4&quot; in diameter. It was quite unpleasant and made a great impression to my new co-workers at my new job. The hotel said they've never had such a problem... but the proof is undeniable, and I do have some lovely photos that I am not going to post at this time. But they exist. It's been a week and two days since I switched hotels... I have been bite-free ever since I left, so I'm pretty sure that all the little critters are still looking for another arm to bite at the great Ramada Eastside.I wasn't going to post reviews online, but Victor, the manager, has decided to not return my calls-- even though the front desk encouraged that I talk to him with my complaints. I wouldn't recommend this hotel to ANYONE. It's cheap for a reason.	
Jan 3 2007 	A real find in New York	I spent two nights here in late December 2006. This is a very reasonably priced hotel for Manhattan. I booked a single and the room with double bed and TV was small but sufficient and with a spacious and clean private bathroom. Free buffet continental breakfast was excellent with fruit (oranges, apples, bananas), orange and apple juice, yogurt, bagels, donuts, pancakes, cream cheese, peanut butter, jam, cereal (muesli and corn flakes), coffee, tea, cappucino.	
Jan 1 2007 	Happiness in the Big Apple	Our family of four (incl. two teenagers) was looking for 'economical' accomodations for a few days around Christmas in Manhatten. After looking at numerous websites and lots of reviews, I decided on the Ramada. We've never been to New York City before, so it was a bit of a shot in the dark, but overall I was very pleased. One note on price. After getting over the relative high price of all NYC hotels, after booking the Ramada the price quoted, despite listing 4 total people on the reservation, was the 'single' price. The actual price for four was about $30 more per night. Make sure you double check the rate based on the actual number of people in the room. The hotel location turned out to be nearly ideal. Transit to/from LaGuardia was fairly painless, even leaving on a Friday afternoon. The hotel sits at 30th and Lexington, about a 5 minute walk from the nearest subway, 10 minutes from the Empire State Building, 15 minutes from Macy's and 20-25 minutes from Times Square. The hotel neighborhood is relatively quiet, with a number of 'hole-in-the-wall' restaurants nearby. We actually had dinner on Christmas night, when we arrived, across the street in a Chinese noodel house (ala The Christmas Story) but our biggest surprise was the quaint Italian restaurant (Trattoria Belvedere) right next store (yellow awning in picture). Moderately priced with a cozy atmosphere, I'd definately recommend this place if you want something good and very close. Our dinner for four, including a bottle of wine, was just over $100...a real bargain for NYC.The hotel itself was about what I expected. The room was small, so with two queen size beds there wasn't much elbow room, but everything was clean and the bathroom looked to be recently renovated. Our room was on the 11th floor, facing opposite 30th street and we barely ever noticed street noise. Could even see the Empire State Building from our window. The free continental breakfast was above average. The dining room and food layout was very clean and well stocked, with an attendant available for any need. The food included donuts, bagels, yogurt, cereal, fruit, microwavable pancakes, and a full range of beverages. Definately a cost-conscious bonus not needing to purchase breakfast everyday. One comment on the coffee. I'm not a coffee drinker, but my wife was less than thrilled with the home brew, but there's a coffee house next door (see picture) so for a buck fifty, you're covered.All in all we were very pleased with the choice, and based on price, would certainly consider returning our next time in the Big Apple.	
Jan 1 2007 	Ramada Eastside Great but Beware the Heating System!	Trip Advisor, once again, led us to a very good hotel in New York City. This one is exactly as described on Trip Advisor. $147 a night in late December! You cannot beat the price here. It was also clean and comfortable with a friendly staff. Even a small workout room and free breakfast. Great location. Close to the subway; close to just about everything in NYC. One word of advice: learn how to operate the heating system. Our room, the first night, felt more like a sauna. We turned the heating system &quot;off&quot; but it was still cranking out the heat. We opened the window, but then had to deal with the sounds of NYC! Anyway, we finally spoke with someone at the front desk. Evidently there is a &quot;valve&quot; on the bottom of the heating unit that should be &quot;closed.&quot; Thanks to Trip Advisor and all who post on this extremely valuable site.	
Dec 26 2006	wouldn't stay again unless prices were extremely high at other hotels	Read about applecore hotels.com in local paper. Prices were very steep at other hotels during Christmas. Read trip advisor reviews. Stayed one night at $242 including taxes. For that time of year, it was okay, but wouldn't recommend during low season. Very tiny rooms, step up to bathroom. Julie, staff member, not so friendly. We couldn't get smoking king, so we took queen even though fellow at desk said king would be ready when we got back. He had left and Julie was there and was very matter a fact that there were NO smoking rooms to begin with. That wasn't the end of the world! It is clean and in a good location and very nice people were staying there. Just be aware it's not at all like regular hotel rooms in NYC. We love the Affinia chain.	
Dec 21 2006 	Very good and reasonable price.	We stayed for five nights during December 2006. OK, so the hotel is basic but is more than satisfactory.After catching the bus into Penn Street Station it was just a short 15 minute walk away. Check in was quick and easy.The room was just large enough and a bit of a squeeze. We found that the heating could not be turned down so it was rather hot in the room. The coffee making facilities weren't great but we managed with the filter machine that was provided.The free continental breakfast was a great start to the day. Again nothing fancy but got you off to a good start. Coffee, bagel, doughnuts, fruit it was all available together with a paper.We also had free internet access in the business room which again was great and we used several times.It's location is great for eating out. Loads of places going up Lexington Avenue to pop in and eat something. The coffee house next door is super. A must. The Italian resturant next door I can also recommend.So to sum up. Great location with just a 20 minute walk to Times Square, reasonable price, clean, friendly and quiet. I will be there again next year for sure.	
Nov 28 2006 	Thank God for the Ramada Eastside!	Trying to find a decent, clean place to stay in NYC that doesnt cost a fortune is always a challenge. We paid $150/night over Thanksgiving--that is a deal! Thank God I had purchased the Frommer NYC guide and it was recommended. We arrived early and were able to check in immediately. The front desk staff was very friendly. Our room was small but clean, comfy and warm. The sheets were immaculate. The bathroom was remodeled and clean. Great water pressure! The maids came daily and restocked our room with clean towels and soap. The continental breakfast (free) was good, bagels, coffee, muffins, even pancakes. There is even a small gym. Super, safe location with everything within walking distance. Great coffee place next door. Thumbs up! I have already recommended this place to my sister and we definitely will stay here again.	
Oct 18 2006 	Great location. Great hotel for the price.	While not overly fancy this hotel was great for our 6 night stay. Check in was quick and when we asked for extra towels and pillows they were delivered when we came back from dinner. The required number of towels were also replaced each day the room was cleaned so we never had to ask twice. The hotel is kept quite clean.Room size: it was a little small but keep in mind there were 4 adult women staying in it. It was large enough for the amount of time we spent there.Breakfast: it was great. There were muffins, bagels, fruit, yogurt and suprisingly waffles and pancakes. For those who were dissapointed in the breakfast your standards are way to high. It is free after all. With all the deli's and coffee shops surrounding the hotel i'm sure you can find a suitable alternative.Location: amazing. walking distance to empire state building and many pubs, restaurants, clubs, etc. It's only about a $7 cab ride to Times Square. I can't say enough good things about the location.There is a coffee house attached to the hotel that has the best vanilla latte and cocamochanut blended drink. Great service. Great coffee.The Italian restaurant on the other side of the hotel was amazing. The waiters were extremely attentive and friendly. The food was spectacular (i had the ravioli). We were so full afterwards none of us ordered dessert but the waiter brought over some fabulous tirimasu &quot;on the house&quot;. it was amazing.I would absolutely stay there again.	
Oct 18 2006 	pleasantly surprised	Stayed for 5 nights from September 25, 2006 and really liked it. My room on the 7th floor had a nice view south and the room was a good size and spotlessly clean. The room was cleaned and restocked early eachday and was ready on a couple of days when I came back at lunchtime. The breakfast downstairs was average for a continental buffet set up at a chain hotel. The staff were friendly and helpful. The location is good eastside a few blocks from 5th Avenue and the Empire State Building. Would stay here again. The only odd thing was that the bathroom was up one step which wasn't a problem for me but could be for some I guess. Great value for the price in New York.	
Oct 9 2006 	SUPER LOCATION	Some friends and I stayed here for my 30th birhday in April 2005. We took the train from Jersey to Penn Station at Madison Sq Gardens. The hotel is very close to everything, MSG, Times Sq, all the shopping, and Empire St Building. There was a deli right across the st for beer, breakfast sandwiches and drinks etc. Subway access about a block away. Easy to grab a cab. I didnt have any complaints about the hotel, we weren't in it much. The room was nice and clean. I would stay here again for the location. with friends, but would find something a little nicer and bigger for family trip.	
Sep 28 2006 	Brilliant Location!!!!	Having arrived at the Ramada Inn Eastside with no luggage as it had not followed us from Chicago and was supposed to come on the next flight, the girl at reception was quick to offer us a pack of toiletries each and direct us to the closest convienience store that was opened!! Quick check in. The rooms are average size but very clean and have air conditioning. Being on the 11th floor we had a great view! The cleaners were in every day of our 5 day trip to make the bed,empty bins,give us new towels and have a general tidy up! I enjoyed the breakfast, with cereals,fruit,bagels,pancakes,waffles,bread to make toast,donuts,tea,coffee and fruit juices, although my boyfriend said he would have prefered a hot breakfast but I def had no complaints!!This hotel is in a brilliant location, minutes from great nightlife, restaurants and shopping in every direction and all the usual siteseeing opportunities!I would definately return to this hotel!!	
Sep 13 2006 	Great location fab views from top floors	The staff weren't exactly friendly, but I can't fault the hotel for any other reason. Great location, and from my room on the 11th floor, fab views downtown. Clean room and comfortable bed, great rate for a midtown hotel and very helpful having breakfast available at no extra cost. Would definitely stay again.	
Aug 28 2006 	It was GREAT!! Excellant location!	We stayed at this hotel during the entire first week of June, 2006. It is in a very good location of Manhattan, close to everything, including the main Subway 6 line. Restaurants galore in the area. Lots to do! The free breakfast every morning was GREAT!! Stay here!!!!	
Jul 2 2006 	Loved this Hotel	This just blows my mind to hear and read all of the negative reveiws. My husband a professional comedian and myself stayed here in Dec, the week of Christmas. I plan on making reservations again in Jan 8-13. I fell in love with the clean simplicity of the hotel. Our room was spotless, We even set a Christmas Tree up in our room and hung stockings. It was home for the week, The staff were incredible. The breakfast was nice. I have read how hot the heat was in the rooms during winter months. We simply opened a window . It was great and cant wait to come back ,. Were making a move to the city shortly. Hey have you seen the flying roaches in FLORIDA? Even the RITZ has bugs. I have personally reccomended this hotel to 20 people and have all stayed. Very Happy with the accomedations. Sorry for those of you that didnt have a good stay .	
Jun 23 2006	Loved the Ramada - slept like a baby - great location - great price	If you read all the other reviews - you will hear stories of bed bugs, old hotel, staff rude and unhelpful, but if you travel often and don't wish to spend a great deal of time in your hotel - and would rather spend the dollars saved on a great dinner - this is the place for you - we never saw any bed bugs and stayed three nights!!!The hotel is in a great location - the breakfast is adequate - the hotel is old - but that adds to it's charm. We found the staff to be very friendly and only too willing to indulge in World Cup Soccer conversation. Please do check out the most excellent coffee shop next door Brasil Coffee house - it is a gem and I cannot stress enough try the Italian restaurant Trattoria Belveder - this is by far one of the most finest italian establishments we have ever frequented. Please do ask them about their specials - the host insisted we try his dessert - which was complimentary - it was all we could do to make it next door and collapse we were so full!!!This location is so close to everything - you will be amazed. For the ladies with tired feet after a day's walking next to the Trattoria - there's an excellent spa - with pedicures for $20 - they even gave a free back massage!!!Have fun!!!!	
Jun 16 2006 	What a dump	I spent a week in this hotel in June and would have moved out immediately if I was able to find anywhere else to stay. The entire hotel and corridors smell mouldy. When checking my room on the final day, I peeked under the bed to make sure nothing had been left behind. I found that I had been sharing my accomodation with a pile of used condoms. They were not mine, and had therefore been there all week. I reported my disgust to the management but the entire response was a mumbled appology. I would never ever recommend this hotel or stay there again.	
Jun 6 2006	Decent choice for the price	My boyfriend and I stayed at the Ramada Inn this past Memorial Day Weekend. Overall the facility was decent. We had a small corner room on the 7th Floor. The room was on the small side but it had all the necessary amenities (tv with remote, radio, lamps, desk, ironing board and iron, hair dryer) and was clean. I was especiallly pleased with the size and condition of the bathroom. The shower control knob was a little loose but that was the only issue with the bathroom. We had a slight problem with the iron (had to jiggle the cord to make it work) and the service could have been friendlier. Since I am from New York I didn't need to interact with the staff frequently but I expect someone from out of town might appreciate better/friendlier service.The biggest problem we had with the room was the presence of bed bugs. I found a big one on the blanket one morning which was disgusting. When I complained to the manager he said these things happen and offered to have the maid flip the mattress and vacum it. I'm not sure either of these things were done but we didn't see anymore bed bugs. Overall I would recommend this hotel for a budget traveler who doesn't plan to spend a lot of time in the room. This hotel has a great location and the price is good. However, I will probably look elsewhere first before staying here again.	
May 11 2006	It's fine	My wife and I stayed here for two nights at the end of April, our favourite hotels and all other well know (and more expensive) being fully booked. We found it a perfectly acceptable place to stay. Rooms are small but clean and comfortable. A good llcation, being neither too noisy or too quite. All in all remarkable value for money and whilst not the standard of hotel that we would normally book into, we were satisfied.	
Apr 30 2006	Quiet and Comfortable	Great hotel for the price and the city. I spent 3 nites here and with my AAA discount the room rate was $140 per nite. Located on the east side, the hotel is a bit off the beaten path. However, the hotel is a short walk to the subway (Lexington line). Or if you prefer, the bellman will quickly hail a cab for you. The rooms are small but comfortable and newly renovated. Room rate included cable TV, some nice views of the city, and free breakfast. Staff is friendly enough (NY standards) with efficient room service. I have found a new favorite place to stay when in Manhattan and it is the Ramada, east side.	
Feb 17 2006	Solid Choice	Good location - friendly and capable staff.Recommended for a traveler seeking great value for $$$.	
Feb 15 2006	Take my breath away	When I came to the Ramada Eastside Hotel, I was expecting a lot less for the price I paid. I have travelled the globe many times over, stayed in hotels around the world and definitely would count this among the few really great experiences I have had. Everyone tried to wow me! Off season prices with 5 star service - what more could one ask.I was pleasantly surprised at the Front Desk's prompt service - they even asked me which way I'd like to face - they had rooms facing North/South on the Avenue as well as street facing, non- smoking ofcourse, and I got a room high up facing the north of Manhattan - beautiful view. The rooms were delightful and sooooo clean - I couldn't find a speck of dust anywhere. The sheets were white and soft and smelled so wonderful after a long flight. When we asked for extra pillows, we were told they were in the closet-which they were. I had my two kids (one girl and one boy)with me and although we had a room with 2 queen beds, we all wanted our own beds, so they sent up a rollaway at a small fee to take care of that problem - all in a matter of minutes. We all drink tea and when we asked, the coffee in the room was promptly replaced with tea-bags.Breakfast was more than adequate - the kids were pampered by the attending lady who was more than gracious, going out of her way to get us whatever we needed. I needed a postcard mailed and the front desk took care of it right away-even though I had no stamps!With 2 growing kids jumping around New York, we constantly needed food, and although there are no microwaves or fridges in the rooms, the Manager invited us to use his fridge and the microwave in the B'fast room whenever we required-saved us quite a bit there. Besides which, my son's antibiotic was easily stored overnight in the fridge. This is what makes the difference - makes you feel at home so to speak.The next day, although we were checking out, we were able to store our luggage at no cost while we did the rounds of the sights-the front desk gave us some really useful tips-how to get up to the Empire State building viewing deck without waiting in line-can't beat that huh!When we left for JFK, we had a limo waiting at the same price as a yellow cab. Beats trying to flag a cab down at rush hour while you're glancing at your watch every 30 seconds. All in all a fabulous experience - I've since recommended it to atleast 20 people - its a secret little hideaway.	
Feb 14 2006	Nice	We were there Thanksgiving weekend. The rooms we clean and not any smaller than other NY hotels we have been in. The breakfast was more than adequate. Nice location. Easy walking distance to most of the places we wanted to go. Nice residential neighborhood. I have only 2 minor complaints. We had a discrepancy with the rate we had booked through cheap tickets and they wouldn't deal with it at the hotel - we had to call cheap tickets after we got home. We ended up paying more for one room than we did for the other. That all had to do with weather or not they charge extra for more than 2 people in a room. The other problem was the heat. It would not turn off. We reported it after the first night and they came up and opened a window.We enjoyed our stay and would probably stay again.	
Feb 8 2006	Fantastic location and Great Deal	Stayed at Ramada East Side last Month and found it to be a real nice place. The coffee shop &quot;Brasil Coffee House&quot; has the best coffee. Rooms were very clean and the staff helpful. Complimentary breakfast was not expected but came as a bonus. will recommend every one travelling to NYC. Best kept secret in NYC.	
