	Amazing Service!	I was so happy with the overall value of this hotel. The service was incredible - the location was awesome - and the rooms were comfy!!! I loved the breakfast in the mornings - great coffee!! The free internet service was extremely helpful.... There was a complimentary bottle of Perseco and chocolates in the room.... Wine at night.. awh....The room was pretty good size - for NY, especially. They offered passes to the gym, but who wants to do that on vacation? I found NO complaints at all with this hotel. We could walk to 30 Rock and to Central Park. Subways are only a few blocks away... and 5th Avenue is only 1 block away! It doesn't get better than that.	
Jul 25 2008 	Great stay at The Hotel Elysee	We just returned from a five night stay at the Hotel Elysee. We had read all the wonderful reviews they have received and were hopeful that they were accurate. Everything is true. We had two connecting rooms, guaranteed by the hotel for our college-aged sons and ourselves. One room had two double beds and the other a king. The rooms were lovely and spacious. They were private and quiet although only on the fourth floor. We had read that the rooms might be noisy but there was very little street noise and a nice street view. The location of the hotel is great. The breakfast and the wine and cheese in the club room are wonderful. This made our stay truly relaxing. We could go to the club room at anytime also for cookies, tea and coffee. Also the free internet in the rooms and computer in the club room are a great value considering that most New York hotels charge for this service. We had an air conditioner burn out in our room and it was fixed promptly with very courteous service. The front desk staff and bellman were always helpful and very nice. Overall it was a great experience and we will return.	
Jul 25 2008 	Fabulous experience	Originally were supposed to stay 4 nights to celebrate our wedding anniversary, but had to cut the trip short and only able to stay one night. On arrival, were told we'd been upgraded to a suite. It was beautiful and service at every step was excellent. The club room where complimentary cocktails and continental breakfast are served is very pleasant and comfortable. The Elysee atmosphere is definitely &quot;old world European&quot; and the furnishings and decor reflect that - very pretty. Not inexpensive - but good value for the money. We hope to return to Hotel Elysee.	
Jul 8 2008 	Wonder Place to Stay	We had a layover in New York City and had never been there before. We were looking for a hotel close to some of the cites and easy to get to and from both JFK and La Guardia Airports.We were able to walk to central park, time square and eat at Carnegies Deli all from this hotelThe Hotel Staff was very helpful. The hotel rooms were great. I would staff here again.	
Jul 8 2008	Still a winner...	We have been staying here for years and it is always our first choice. Small, safe, well located...it is a gem. Rooms are on the small side, but adequate. The amenities of the hotel make up for it. Adult oriented and very international. Hope to go back.	
Jul 7 2008 	Great hotel and location	Stayed for three nights after checking many hotels in Mid-town Manhattan. Rooms were clean, could use new carpet. A/C somewhat noisy. Staff and location made up for this. Complimentary continental breakfast could be easily upgraded to include a couple of hot items, such as oatmeal, eggs other than hard-boiled, and a toaster would be nice for the bread offered. Complimentary wine and cheese should be offered on weekend nights also. Would recommended and stay again, compared to nearby hotels.	
Jul 7 2008 	Wonderful Stay	My wife and I stayed at the Elysee for 7 nights in June. The stay as wonderful, with excellent care shown by the hotel staff.Breakfast was provided daily at the lounge. I shouldn't be complaining, but I guess about the only issue I have with this was the lack of variation when it came to the breakfast buffet menu. Otherwise, as I have said, my wife and I was given perfect service, and we would certainly stay there again if we do visit NY.	
Jul 6 2008 	Excellent but could be better	This is a wonderful property in a good location in Manhattan. The staff were very accommodating, and our suite was very comfortable. There were two things that kept me from rating this as excellent. First, the club room, which is where continental breakfast and afternoon wine and hors d'oeuvres are served, both complimentary, is understaffed. As a result, tables are not bussed in a timely manner, and it was often difficult to find a place to sit at breakfast. Second, the hotel does not have a fitness facility on premises. They have an arrangement with a health club several blocks away, and although that might not be uncommon in Manhattan, I still think that is a negative. Otherwise, our stay there was very enjoyable.	
Jun 30 2008 	Our favorite hotel in NYC	I brought my daughter to NYC this past weekend for her 10th birthday and we stayed at the Hotel Elysee, as our family always does when we come to NYC. We have stayed at a variety of Manhattan hotels over the years, but once we had been to Hotel Elysee a few years ago, we never have stayed anywhere else, whether it is my husband and I travelling together or one or both of us with one or both of our daughters (now 10 and 13). The hotel is lovely, the staff courteous and helpful --- and the location couldn't be more convenient.	
Jun 27 2008 	The Best	Wonderful location; convenient to midtown without being in the awfulness of Times Square. Knowledgable and friendly staff. Only problem- it is expensive. Plus side- it is worth it.	
Jun 24 2008 	Rare Find	This was our first stay at the Hotel Elysee and it was a very memorable one. I loved the quaintness of the hotel. The staff was very helpful and always polite. Our room was a very comfortable size and very nicely decorated. I would definitely return to the Elysee.	
Jun 22 2008	Loved our stay!!!!	Stayed at the Hotel Elysee for three nights and it was wonderful. The room was large for New York, very clean &amp; quiet, (a plus in midtown NY!) Staff was very helpful &amp; the continental breakfast &amp; evening wine &amp; snacks was an added plus!!	
Jun 20 2008 	Fabulous Hotel	The Hotel Elysee is well located in Mid-town. The room was lovely and very comfortable. We especially liked the breakfast and cocktails on the 2nd floor. The staff was courteous and professional and our every request was met. I left an item in the room and it was sent to me the next day. We will definitely return to Hotel Elysee.	
Jun 13 2008	Loved the Elysee!	The room was HUGE. The staff anticipated our requests. The bell man arranged tentative airport transport without our asking. We had only to approve his choice.Since our flight didn't leave until 8 pm, the use of the club room and a place to change our clothes transformed the last day of our honeymoon.We had moved over from the Waldorf (having wanted to try it once in our lives)--no comparison. How can they get away with charging 50% above the Elysee?We want to come back, they made us feel more than at home!	
Jun 8 2008 	Loved the Elysee	We have stayed at several hotels in NYC but the Elysee is by far and away the best. The room was excellent and we had a fantastic terrace which was great as the weather was good. Continental breakfast is ok, filling, with a good selection. Free wine and canapes in the evening is a definite bonus! The room we had was a double and definitely not small, in fact by NYC standards, it was positively spacious and the bathroom was beautifully appointed and spotlessly clean. The staff were absolutely fine, very helpful and friendly. We tried the Monkey Bar and restaurant in the hotel, and would definitely recommend this. Some of the dishes were unfamiliar (although we are widely travelled) but our server was really knowledgeable and helpful when it came to choosing our dishes. We had a good meal and will go again.Also, the location of the hotel is excellent and contrary to other reviews on TA, we did not find it noisy. I am really glad we cancelled our Hilton reservations and chose this hotel instead - we will definitely book again!	
Jun 7 2008 	Will never return to this hotel	My wife and I had booked a 5 night stay in this hotel having chosen it on internet. Upon arrival, we were received by the most uncourteous front desk person I have never encountered in my long years of travelling. I had a question on the hotel debiting my credit card of the overal bill in advance, question to which that person answered that if I did not like it, I could go to another hotel in NYC ! Since the cancellation notice was 48 hours, we left the hotel after two days stay. I had asked to see the hotel manager, who, of course, never showed up.A part of this extremely unpleasant experience, the hotel is just very, very average. Location is OK, hotel is quite noisy. Breakfast was mediocre, and the so-called evening drinks were nothing but an indifferent wine with cheap cookies.Needless to say will never return to that place again.	
Jun 2 2008 	Enchanting Elysee	My husband and I were enchanted by the Hotel Elysee during our two night midweek stay. We chose the hotel solely because of its proximity to the Museum of Modern Art. Little did we know we would fall in love with nearly everything about the place.If you've ever stayed in a small hotel in Paris offseason, you know how it feels to have all the benefits and privacy of a hotel stay with the warmth and hospitality of a visit with good friends (who also happen to have a lovely home).The moment our taxi driver dropped us off a couple of hundred feet short of our hotel, the Elysee bellman rushed over to welcome us and take our luggage off our hands. When we walked into the lobby, four fresh smiling faces greeted us from behind the reception desk. These young men and women couldn't have been nicer or more helpful, and I swear they never go home or sleep! Our room was on the seventh floor and faced the street. It was small but impeccably decorated and laid out. There was a wee bit of street noise but nothing unusual or jarring. We had a gracious sitting area where we enjoyed a bottle of champagne, a desk (with free Wifi) overlooking the great architecture of E. 54th St., a handsome marble bathroom with a terrific shower, a very, very comfortable bed, and tons of closet and drawer space. After long days of sightseeing, dining and shopping, we enjoyed coming &quot;home&quot; to &quot;sit a spell&quot; in the second floor library and dining area. There's nothing like some coffee, cookies, and a few minutes of quiet time on a comfy couch to reinvigorate you before a big night out on the streets of NY. The daily breakfast and happy hour were simple, but gracious, touches that added to our comfort and relaxation.The Monkey Bar next door was a great place to meet friends before heading out for dinner -- everyone in NY seems to know that spot.We've visited New York 10-12 times over the years, and we try a new hotel each and every time. After this trip, I no longer feel the need to do that -- I'm ready to make a commitment. My husband and I agree that we will return to Hotel Elysee -- at last, we've found our little New York home.	
May 30 2008 	Elysee is great option	Always love the location of the Elysee. Staff was friendly and concierge helped to make dinner reservations. Room &amp; bathroom were on the small side and could use updating. Would stay here again...for the right price!	
May 27 2008 	European feel good Manhattan value	Our family stayed at the Elysee over Memorial Weekend. We had two rooms, one in front on the 4th floor, and one in the rear on the 8th floor. Neither had a terrace or any special feature. The lower front rooms should be avoided due to noise. The windows are single glazed and every street noise comes in, almost amplified at times--conversations across the street could be heard, but garbage pick-up was the worst. ASK FOR UPPER AND REAR!!!That being said, the hotel is very well located in midtown, and is a good value for Manhattan. It felt very like a smaller European hotel--smallish rooms, but well kept. Minimal lobby, but pleasant concierge and bell staff. The breakfast buffet was nice--not special--but the staff went out of their way to help--toasting bagels and so forth. The weekday wine and cheese hour is also nice--I wish it were on the weekends as well!The Monkey Bar restaurant was fun. The food is Asian fusion, served family style, and is quite good. I have no idea why Open Table limited available reservations to 6:30 and 8:15--we went into an absolutely empty restaurant! I also did not sense any dress code (jackets for gentlemen) on the weekend--it seemed quite low key. I recommend the Elysee for a good midtown value and a small, European style stay.	
May 27 2008	Excellent Boutique Hotel	We selected the Hotel Elysee for our 10 year Anniversary. We have stayed at other upscale hotels in the city but liked the warmth and the intimacy of this property. The staff was very gracious and welcoming. The only minor difficulty was getting a taxi for dinner. (Leave extra time for the bellman to hail you one!!!)We will definately return to this hotel.	
May 20 2008	Fabulous in every way	A fabulous hotel in every way. Great location, beautiful room and helpful staff. The buffet breakfast was lovely and the afternoon wine and nibbles were very welcome. We were really happy with the hotel and would definitely return.	
May 19 2008 	Elysee A Disappointment	I expected a luxury hotel and not a step back in time. While the hotel may have been a jewel some years ago, at not time do I expect to encounter dust (on top of the armoire and on the headboard). Lighting was dim everywhere, the elevator was slow in arriving every time and the bathtub had all the height of a wine bottle. The hairdryer had tubing attached to it that looked like central vacuuming and I wondered if they had Ernestine on the switchboard somewhere. The continental breakfast was nice enough but for the price, I was very disappointed in the hotel.I'd asked for a room on a high floor to avoid street noise and was not given one although I booked more than a month in advance. The noise was noticeable immediately. I asked to be moved and was put on a lower floor facing the 'courtyard' which is a large grouping of fan coil units which was noisier than the traffic had been. My planned four night stay turned into a one night stay and a search for something nicer. I found it at The Millenium Broadway which exceeded expectations.	
May 12 2008 	Elysee = Perfection	New York City is the epicenter for so many of the world's finest things: food, fashion, business and finance, etc. So it always stuns me when I see chain restaurants and hotels packed with tourists when so many unbelieveable options exist to truly have that quintessential &quot;New York Experience.&quot;My wife and I came here for a week long vacation and to visit family. We chose the Elysee for its close proxmity to shopping, restaurants, and entertainment. It came through in every way imaginable. The rooms were clean, elegant, and comfortable. The staff was incredibly accomodating and offered world class service. When you stay at the Elysee, you really feel like a guest in a someone's home instead of some drone in some 40 story monolith with a fanny pack and an I heart NY t-shirt on. John the general manager personally went out of his way to make sure we had the best vacation possible. It was that small attention to detail that truly made our vacation as relaxing and memorable as it could be.PROS: Close to subway, world class restaurants, shopping, Central Park, excellent service without being overbearing, clean and comfortable rooms, free breakfast, free happy hour with wine and snacks, SERVICE, SERVICE, SERVICECONS: The hotel could not do anything about it raining our last day there.Rest assured, the Hotel Elysee will meet your expectatios and more. If you have never been to NYC, do NOT eat at TGI Friday or Crapplebee's, do NOT stay at some chain hotel. Stay at the Hotel Elysee and revel in the outstanding service, quality rooms, and perfect location.	
May 7 2008 	Fabulous find in Manhattan	Our 6-night stay at the Hotel Elysee was all we had hoped forand more! Our room (junior suite, no. 144) was perfect -- including THE most comfortable hotel bed we have ever slept in! The entire staff was attentive, gracious, courteous and helpful, from the concierge crew to the young women who delivered our room service breakfasts to the doormen and bellmen. The location is unbeatable -- close to all the shopping anyone could want, plus Rockefeller Center, Central Park, and many terrific restaurants.An added bonus is the Monkey Bar restaurant downstairs -- we ordered room service dinner two nights we were there and marveled at the quality of the food. We are from California's Wine Country, a bastion of fine dining, but no meal we've had in Sonoma or Napa rivaled what Chef Christopher Cheung is turning out at the Monkey Bar. Bravo!Having walked through the likes of the Waldorf-Astoria, the Palace and other grand hotels nearby, we would still opt for the boutique charms of the Elysee. Having such a lovely and comfortable place to return to after each day's adventure made our New York sojourn special indeed. Worth EVERY penny.We look forward to our next trip to Manhattan, and will definitely plan to stay at the Elysee.	
May 1 2008 	Perfect in every way!	We just returned from a 2 night stay at the Hotel Elysee, chosen on the basis of these reviews. What can I say besides &quot;perfect in every way&quot;? Fabulous location, first-class restaurants all within walking distance (and even across the street), adorable ambiance, lovely spacious room, European feel, fantastic breakfast and week-night wine and cheese reception that comes with the price of the room, a reasonable price for that great a location, helpful but not overly cutsey front desk staff, free internet, I could go on and on. Suffice it to say that we will now be staying at Hotel Elysee on every NY trip. Never have to stay in another over-priced large chain again. I would only recommend booking well in advance since this hotel gets consistently great reviews.	
May 1 2008 	Great location 	Hotel Elysee is the third of the four HK Hotels at which I've stayed in NYC (Library Hotel &amp; Casablanca Hotel are the other two). All have offered reasonable rates (by NYC standards), with some very nice amenities not usually found for that price (extended continental breakfast &amp; evening wine reception). The room at Hotel Elysee (which is in a very convenient location in midtown) was the largest of the three hotels &amp; very clean (my FIRST &amp; most important criterion). While the AC/heating unit was a bit noisy, I could find no other fault with the room. Comfortable bed, quiet, beautiful marble bathroom, large closet, complimentary robes, etc. Staff was very pleasant, although having been to the city many times, I did not ask for restaurant or other types of recommendations/conceirge services.Considering the large chain hotels (Hyatt, Marriott, Hilton) had rates that were almost twice the cost of the Hotel Elysee--with very little/no &quot;charm,&quot; I would never stay at one of those again as long as I could get a room here.	
Apr 29 2008	Up to our expectations	An excellent stay at the Elysee. We had a wonderful large room on 14th Floor which had a balcony and view which was just what we asked for. The breakfast and afternoon cheese and wine were really enjoyed. The hotel is ideally situated close to main attractions and Central Park and just across the road from Metro but in a very quiet road. Would definitely stay here again.	
Apr 16 2008 	Great value 	We made our reservation based on other Trip Advisor reviews and were very impressed with the hotel. It is an excellent location in the heart of things yet tucked away so that is quiet. We stayed on the 14th floor and our room had a beautiful, large balcony. We knew hotel rooms in NYC were expensive and thought that we would get an average room for big price, but we both feel that the hotel far exceeded our expectations. The quality of the furnishings and bedding and amenities are top-notch. The helpful and knowledgeable front desk crew were able to provide us with good information and recommendations. The breakfast and afternoon refreshments were top quality. Also having free access to the internet in our room and access to a computer in the breakfast room was a huge plus. We will definitely stay here on future trips to the city and will highly recommend this hotel to our friends.	
Apr 8 2008 	One of the best in NYC - You'll love it	If you like French style, you'll love this hotel. This is one of my all time favorites in NYC. The hotel is very conveniently located for everything in midtown. You can walk to most shops and attractions. The rooms are very traditional. Bathrooms are beautiful with wonderful thick towels. Complimentary breakfast is served in the Club Room every morning and they also offer a complimentary wine and cheese reception late afternoon to early evening. Other beverages and snacks are also available free of charge. It's a great way to relax late in the day after seeing the city. This hotel feels like a home away from home and we chose it because of the traditional look. Fun place to stay.	
Apr 2 2008 	Would stay there again!	Our first stay in Manhattan in awhile. This Hotel is just beautiful!The suite was spacious and spotless. The bathroom was beautiful. The bed was wonderfully comfortable. The staff could not have been nicer or more competent. We will definitely be going back there.	
Mar 31 2008 	Underwhelmed vs expectations	We expected more for our ~$375 a night. While our room was fair sized (for NY standards) and had a nice bathroom, there were some issues with the property. First, the heating system in our room was extremely noisy when it kicked in. We were awakened every night at least once as the heater/radiator clunked and clinked into action. Second, with only 1 elevator for the entire hotel and 15 floors of rooms, we always waited several minutes for the elevator to arrive. Last, the bed linens were clean, but scratchy - again not quite up to snuff for the price.On the plus side, the morning breakfast was a great convenience. And the afternoon wine and cheese was a nice surprise.	
Mar 28 2008	We loved Elysee Hotel	We were looking for a 4 stars hotel because I went with my girlfriend last June.One of things I liked more was the location and that it was built on the first of 20th century it has been refurbished at all.We made the reservation on [-], it was nice because I had to modify one date to check in and between the hotel and gumtrip.com resolve the problem quickly.Other things We liked very much was the staff, they knew many original places to recommend us of the city and the fancy rooms.I have a good opinion of this hotel.	
Mar 27 2008	Excellent Hotel!	My daughter and I had a deluxe king room at the Hotel Elysee; it was a large room by NYC hotel standards and well decorated. The complimentary breakfast was very good. The staff were very accomodating and helped us with restaurant reservations. I stay in New York frequently and this is, by far, the best hotel experience I've had in some time. Highly recommended.Karen Gettman	
Mar 20 2008 	Great stay	+: Great location, good size room for Manhattan, comfortable bed.-: Could be better selection at breakfast, street noise.	
Mar 12 2008 	Top Spot!	First time at this hotel and really liked it. Firstly a very good location right between Pk and 5th so good for business and shopping. Very low key, low rise compared to most hotels I've stayed at in NY but better for it. Very welcoming staff. Room was just great and surprisingly big for the price. Bathroom good also. I have to say that staying on the back on the 4th floor the noise of the air conditioning fans was quite extreme but as I wasn't staying for long I was not that bothered but I know if I'd come with my wife she would have been very upset by that. If you have the choice you need to try and get higher or at the front. I had a great lunch at the small italian - Cellini - opposite the hotel and I recommend that also. (about $30 for lunch with a glass of wine). The complimentary breakfast on the second floor from 7am is excellent and you have a huge choice of cereals, pastries,croissants, fruit, various coffees etc. Very comfortable room with loads of the days papers etc. I didn't try the complimentary wine in the evening or the Monkey bar which looked good. All in all a great find and I can't see anybody being disappointed with a stay here. I shall certainly be returning as this is one of the only hotels in central Manhattan which comes within my companies budget. If you can't get in here my brother stays at the Warwick just nearby and likes it.	
Mar 3 2008	Awesome location AND service	You can't find a better location with a reasonable price. I have stayed there twice and both rooms were perfect to a detail. The concierge desk is staffed with perfect gentlemen, and your wish is their command! The Monkey Bar next door and wonderful restaurant allows you to return from your daily activites and then never leave the property. A very ample variety of breakfast foods are served on the 2nd floor parlor, and tea and coffee and a business center are available there all day. I won't stay anywhere else in midtown!	
Mar 2 2008 	Great place for an Anniversary!	Staff was fabulous, went out of their way to see that our stay was great. Excellent restaurant referals. Quiet clean rooms. Will go back!	
Feb 28 2008 	Newly found gem	Elysee was recommended by friends who have been longtime patrons of the hotel and our visit confirmed their praises. Entire staff - - (front desk,maids,bellmen,clubroom staff) could not have been more pleasant and accommodating. Couldn't ask for a better location.Our suite except for the relative smallness of the bathroom was well appointed and most comfortable. The hotel is quiet and a wonderful respite from the hustle and bustle of the city just outside.The offerings of the clubroom in all aspects were exceptional. I have stayed in many four and five star hotels in New York and will prefer to return to the Elysee.	
Feb 19 2008	Wonderful stay	The staff are always friendly; the location is convenient to shopping and museums, located close to bus and subway lines. Breakfast and afternoon tea is delightful.	
Feb 2 2008	Genuine good service and an overall nice hotel	I have stayed at this hotel for few nights three of four times a year for over a decade. I am motivated to leave this review to recognise that it isn't easy to delivery the same level of service over such a long period of time, This can't be any individual, it has to be the result of the hotel's culture. The breakfast is good, the wine and cheese in the evening generous and enjoyable. There are a range of room types but all with the same style of elegant, albeit a little faded decor. While my friends stay at more well known hotels in the area and I have tried them too, I return to The Elysee and am never disappointed.	
Jan 28 2008 	Wonderful boutique hotel in the best part of Manhattan	The Elysee is a wonderful small hotel with excellent staff at a great location. Great staff, cookies and coffee in the PM and breakfast in the AM. The most civilized hotel in NY for my needs. Not a kids hotel, but an adult location for the discerning NY tourist and person to stay for personal or business needs.	
Jan 20 2008	first time at Hotel Elysee - loved it!	We loved everything about the Hotel Elysee. Our room was very comfortable, spacious and clean. We enjoyed spending time in the club room on the second floor, for breakfast and afternoon snacks, and as a quiet place to meet with old friends we hadn't seen in years. But what made our stay so memorable was the staff. Everyone - the manager, the front desk/concierge men and women, the waitresses in the club room, the porters and cleaners - all were exceptionally friendly and attentive. During our stay, we came to see the hotel staff as a happy family sharing a genuine interest in ensuring that we, as their guests, were perfectly satisfied at all times. We will definitely stay at Hotel Elysee again when we are next in New York.	
Jan 18 2008 	Couldn't have asked for more	Our trip to New York was made all the more enjoyable by staying at this hotel. What drew us to the Elysee was the fact that a complimentary breakfast was included in the price. What a breakfast! Continental it may have been but there was always plenty on offer wwith the curteous staff always ready to replenish an empty plate. The evening brought wine along with biscuits, cheese and various other nibbles. Again this was complimentary and far exceeded our expectations. The room was very comfortable and clean with fresh towels every day and the bed turned down at night. The staff were all very friendly and keen to help. The location of the hotel was ideal for us being away from most of the biz but still within walking distance. I would certainly go back to the Elysee if making another trip to NY	
Jan 14 2008 	Excellent Hotel !	We stayed at the Hotel Elysee in New York City on a Saturday night. Our room was on the concierge floor and we had a balcony. The breakfast on Sunday morning was very similiar to an upscale European hotel's. The service was beyond excellent - every step of the way - from arriving to departing - the service staff could not have been better. We wanted a cup of tea at 12:30 a.m. when we came in for the night and we got it immediately. And the room - beautifully furnished with the most comfortable bed. I truly look forward to staying at the Hotel Elysee again.	
Jan 14 2008	Hotel	Staying at the Hotel Elysee is a wonderful experience. Located in one of Manhattan's most desirable areas, acess to any of the City's attractions is easily within reach. The Hotel itself offers a calm serenity. The lobby and rooms are beautifully decorated. Each room a little different (some have terraces) makes staying here more interesting. The hotel also offers a Club Room serving a lovely continental breakfast and wine and cheese in the afternoon. The staff is informative, helpful and friendly. This hotel is one of the best kept secrets in New York City.	
Jan 11 2008 	Fantastic!	The Elysee is a place my family and I stay for both business and pleasure. The location is ideal and perfect for sight seeing. It has all the conveniences of a large hotel, but with the quaintness and charm you can only get at a boutique hotel. The staff is more than willing to help you with anything you need, and only makes your stay that much more enjoyable. We wouldn't stay anywhere else.	
Jan 8 2008 	Wonderful Experience!!!	My recent stay at the Elysee was just marvelous! The moment we arrived the staff was friendly and courteous from the Doorman to the Front Desk and even the attentive young ladies in the Breakfast room – all were there to please. The room was wonderful, exactly what we expected. We were worried at first about a front facing room, as I've read complaints about the noise, but that concern was put to rest after the first night as noise was minimal especially given we're in midtown Manhattan (although the bed was so comfortable I could have slept through anything)! My final comment will be on the bathrooms as my wife and I are very fussy about these things. Although a bit small for our liking it was impeccably clean and the marble was an extra nice touch. The Elysee is our new favorite hotel in NYC as the value, location, and staff far exceeds any of our previous experiences in New York.	
Jan 6 2008 	We will be back!!	My wife and I recently spent a great long wknd in NY at the Elysee. The staff is wonderful and the &quot;extras&quot; are a huge perk! We especially loved the wine reception on Friday evening.. a great way to start the night!The rooms are spacious and very clean. Hotel location could not be better!	
Jan 3 2008	good location good value	For the price and the location it is a good value. My room was a little shotty and they need to lose a bit of the faux French theme, but overall...I'd stay there again.	
Dec 27 2007	Not what I Expected	Pluses - The location is very convenient for the sights of Manhattan. The complimentary wine and hors d'oeuvres were good. The complimentary continental breakfast was average. Minuses - Not what one would expect for the price. I stayed a week with a group and we had rooms on various floors in the hotel. We looked at each other's rooms. Some were very small, all had extremely small bathrooms, some had no minibar. At least 3 rooms on each floor are next to the elevators and you can hear them at all times. I was surprised the soaps were never changed and they were getting thin by the end of the week. My radiator clanged, banged and gurgled loud enough to wake me a couple of times a night. I reported it and was told, the system is old nothing can be done about it. One of my friends had no heat for 2 nights because it took that long to fix a faulty thermostat. The hotel states they have a concierge service, but when I asked about the harbor tours, I was give a couple of brochures, one dated 2005, that was it. Service was at best mediocre. (Get used to opening the front doors yourself) Even if they cut the price in half, I would not go back.	
Dec 18 2007 	Loved the Hotel Elysee	We spent 2 nights at the hotel and every thing was wonderful. The hotel staff were extremely friendly and helpful. Our room was newly renovated and very clean and the bed and pillows were the most comfortable of any hotel we have ever slept in. Breakfast was very good and it included plenty selections of tasty fresh fruit, pastries,breads, bagels, cereal and even boiled eggs. The hotel is in a great location and within walking distance to 5th and madison Aves. for shopping, Rockefeller Plaza and a very short cab ride from the train station. We really enjoyed our stay and will return there again!	
Nov 26 2007 	Great overall experience	We wanted to go the the Macy's Thanksgiving Day Parade and stay somewhere that was close. We were able to walk from The Hotel Elysee to Broadway within a few minutes and get a great viewing spot. We were also able to walk to The Rockefeller Center and many great places for shopping the night before. The room was beautiful and clean and had everything we needed. Not being very familiar with Manhattan, the staff took very good care of us from parking our car at a very affordable rate to giving us directions and insight to things to see and do in the city. When we stay in Manhattan again we will definitely be back to the Hotel Elysee.	
Nov 25 2007	Elysee good place to stay	Really enjoyed our stay, room was very pleasent, housekeeping was excellent. Breakfast a bit mundane(I dont want to see a boiled egg or a begel for about 6 months), drinks and canapes in the evening were a really nice touch. Food in the monkey bar was good but spoiled by the extremely high price of alcoholic beverages, would have used it more if it was not so expensive.Overall experience was excellent.	
Nov 20 2007 	An Excellent Stay at Hotel Elysee	My husband and I spent a week at the wonderful Hotel Elysee. It was my first visit to NYC, so it was great to be within walking distance of 5th Avenue, Central Park, MOMA, Rockefeller Center, and Broadway. Our room was spacious and comfortable and, thanks to the friendly housekeeping staff, it was kept spotless throughout our entire stay. Before and after my long walks around the City, the Bellmen would always greet me with a smile and pleasant conversation – they were also extremely helpful with directions. I surprised myself by spending quite a bit of time in the 2nd floor lounge area. The space is large with many comfortable chairs and couches. The complimentary breakfasts had a great selection of breads and pastries and the attendants were so pleasant and always willing to help/clear away plates. In the afternoons, I’d go back to the lounge for the cheeses, cookies, and other snacks. The Front Desk staff made a number of great dinner (and lunch) suggestions – any suggestion was always followed by the offer to make a reservation for us. I appreciated the free wifi – even though the hotel provides a computer with access to the internet for guests, it was nice to be able to sit in the lounge with my laptop in the afternoons to catch up on my email. I’ve stayed in many hotels around the world and this was definitely one of the best experiences I’ve had – across the board. Sometimes, a hotel will be in a great location, but so poorly-run that it just ruins the experience. That’s definitely not the case with Hotel Elysee. This hotel’s in a great spot and it’s a tightly-run ship, with fantastic staff at every level. We will definitely return!	
Nov 9 2007	Marvellous oasis in NYC	We loved everything about the Elysee. Our rooms were excellent - spacious and elegant with good marble bathrooms, which were kept spotlessly clean. One of our rooms had a beautiful balcony with potted plants and lovely terrace furniture. Both rooms were quiet and located high up in the hotel - exactly as we had requested. Our email dealings beforehand with the staff were most efficient, and they provided everything we had asked for. On our arrival the reception staff were incredibly pleasant and this attitude was mirrored by all the staff we met throughout our stay. The US can certainly teach us Brits a deal about customer service, which was impeccable and so pleasant throughout this hotel and throughout all NYC. The club room on Floor 2 was just marvellous and very well serviced. We thoroughly enjoyed using it as a bolthole when we were whacked in the late afternoons. Coffee and tea were always available and the prosecco, wines, and cheese and other nibbles were greatly appreciated as aperitifs and appetisers before we went out in the evenings. Although it is 'the thing' to go out for breakfast in NYC, we much preferred to have the lovely breakfast at the Elysee at our leisure, when we could plan our day in comfort. The location of the Elysee is superb - two blocks from 5th Avenue, a short distance to Central Park, Rockerfeller Centre, Grand Central station, UN building, Lincoln Center, and near enough but fortunately not too near Broadway. We found that area tacky and were delighted that our hotel was not located there. In summary, we would have found it hard to better the Elysee in any way. We much prefer smaller, quiet and elegant hotels and this is as good as it gets.	
Oct 26 2007 	Lovely room well situated	Pleasantly surprised to find lovely, tasteful decor at the Elysee. The room was decorated in shades of pale yellow and light blue, with botanical prints on the walls. Tiny bathroom, but so what! The entryway with work desk and lamp was a nice touch, as were the included continental breakfast ( of good quality) and evening snacks. The staff at check-in and check-out was very courteous. The stay was quiet and lovely. I would be delighted to return to this conveniently located hotel (even though the bed was not the height of comfort)!	
Oct 22 2007	Great location!	Location excellent - a quick walk from Saks! Breakfast featured whole grain rolls that we Scandos like and freshly squeezed orange juice, which made up for the dismal filter coffee in thermos jugs. Lovely room, bigger than expected, but it was unusually hot and humid outside, and the air-conditioner even at the highest setting was weak. Single slow elevator and a full hotel meant waiting a bit.	
Oct 19 2007 	Oasis in the Desert	My wife and I recently spent a week at the Hotel Elysee and found the ambiance charming and the staff very friendly. Upon our arrival we were welcomed as if we just arrive home by the hotel’s doorman and front desk staff. We had arrived before check-in and the staff held our bags while we explored the sites and sounds of New York. Upon entering the lobby we were surprised by a beautiful centerpiece of flowers which illuminated the room. Unlike many hotel rooms in New York City, our room was spacious and the furniture in excellent condition. Additionally, I enjoyed using the free wi-fi.My wife and I were skeptical of the complementary breakfast that the hotel offers, but found it to be a nice touch, as they offer a assortment of goodies, including coffee, tea, a wide variety of pastries, and fresh fruit salad, along with a number of periodicals for your reading pleasure. The hotel is centrally located and within easy walking distance of Central Park and plenty of shopping. On multiple occasions, we contacted the hotel concierge for restaurant recommendations and they made excellent choices and reservations without prompting. I would highly recommend the Hotel Elysee and look forward to many comfortable visits.	
