	Clean pleasant convenient hotel.	My husband and I stayed here over Thanksgiving (2 nights). We purposely chose a hotel away from the craziness of the parade route, even though we knew we'd be going to watch it. This hotel is located less than one block from the W 4th St. subway entrance (a pleasant surprise), making it easy to come and go as we pleased. We quickly learned when getting off the subway here to follow exit signs for W 8th St. (not W 3rd). That brings you up to the Waverly Place and W 4th intersection, closest to the hotel. The hotel lobby is small, but clean and nicely decorated. There is only one small elevator, which was not a problem until morning hours when we had to wait for it to arrive. Continental breakfast was typical (croissants, muffins, fresh fruit, cereal, etc.) but I noticed people were waiting in line to be seated when we had finished. Glad we got there early. Our room was spacious for New York (if you can walk around the bed, it's spacious), and the bathroom was very clean and nicely appointed. I did not find the mattress that comfortable, but liked the bedding. The room was stuffy so we used the AC and it worked fine. Our windows looked out onto another building, but the view was unimportant to us since our plan was to go out and DO things vs. look out the window. However, it was a bit disconcerting to have no blinds/shade in the bathroom; just the bubbly privacy glass. And there WAS a room across the way where someone could have enjoyed voyeuristic views, I suppose. I just kept the bathroom light off. All in all, a pretty good experience.	
Oct 9 2007	Great hotel great location	Manhattan is a very expensive place to stay so relatively speaking, the Washington Square hotel is a 'bargain' - even though 4 nights there cost over £500! The location can't be beaten - right opposite Washington Square which is a great, safe place to hang out at weekends listening to the buskers. There's also a subway station literally two minutes away and a 24 hour drug store. The staff are really friendly and helpful and the door staff can give you great tips for places to eat. The free breakfast of a toasted bagel and fresh fruit is also great for those days when you've had your fill of American sized breakfasts! The rooms are small by American standards but we had no complaints - who goes to New York to stay in their hotel room anyway?I will definitely be staying here again.	
Sep 28 2007 	Great staff nice hotel and the best location	I booked this hotel mostly because i wanted to live in that area and there are not so many hotels there, atleast not with good rewiews. I took a single normal room and it was good. A little bit small but who cares. It was clean with a nice bathroom and TV. Breakfast was great in the lovely restaurant and the staff was very welcoming. Next time i come to New york i will defenetly stay there again	
Sep 19 2007 	Great Hotel Great Location	We booked this hotel mostly because of the location and we were a little nervous because of certain reviews on this site. We did take the advice in other reviews and booked a Delux room.We were not at all disapointed. The staff were very friendly, always greeting us and offering help and assistance whenever we needed it. The rooms we did not consider small, they were spotless and modern. Complimentary smellies, good quality towels and lovely robes. The complimentary breakfast (given that most hotels these days are room only) was excellent, fresh fruit salad, lovely muffin/bagel basket, endless fresh coffee and endless freshly squeezed orange juice. And fortunately we never had to que on the stairs to get a table.The location is what originally sold us on this hotel and it was perfect, in the middle of Greenwich Village, so we were surronded by nice bars and restaurants - try the olive tree on nearby MacDougal Street and within walking distance of the shopping delights of Soho! The subway is a 1 minute walk away.I will certainly be reccomending the Washington Square Hotel to friends.	
Sep 17 2007 	Clean quiet friendly...and a great location	I stayed at this hotel for 3 nights (Aug. 20-23) with a friend, and we were both pleased with everything we received. The room we got was a twin, as promised. Although the room was small, it was spotlessly clean, and its location on the 8th floor provided peace &amp; quiet. The daily breakfast was adequate and was included in the price of the room. The desk staff was helpful during check-in and check-out, and always had a friendly greeting whenever we passed by on our way in or out. The best feature of this hotel is its location in Greenwich Village, overlooking Washington Square. It places you smack dab in the middle of the cool areas of lower Manhattan (the East &amp; West Villages, Chelsea, Soho and the Lower East Side), which are all within easy walking distance. The 6th Ave./8th Ave. subways have a station entrance at the end of the block, at Waverly Pl. I have stayed at 6 different hotels in NYC over the last 25 yrs. without repeating a stay. The Washington Square will be the first NYC hotel that I will stay at again...and again.	
Sep 17 2007 	Excellent Value for Money	We were expecting a small room and we got one. However, it was very functional, had everything we wanted, including a hair dryer, TV, iron and ironing board. The room was very clean, with good quality towels, changed daily and complimentary tolietries.The hotel is in an excellent location with a subway station just 200 yards away and many good bars and restaurants nearby. The front desk staff were friendly and helpful, despite what some other reports have stated.One downside was the complimentary breakfast. No matter what time we went for breakfast, we had to queue on the stairs while we waited for someone to come and show us to a table. Then when we finally got a table, the service was slow and somewhat lacking. The one day we decided to order something cooked, at an additional charge, they got the order wrong. After that we decided to eat breakfast outside at one of the many good and inexpensive diners in the area.We visited the hotel bar once, but almost $18 for two beers was a little excessive, so we didn't go there again.At the end of the day, the hotel was excellent value for money, although the bar wasn't and the breakfast problems would not stop us staying there again. Most hotels are room only, so treat this one as such and you can't go far wrong.	
Aug 28 2007	Pleasant enough hotel	I agree with OKCowgirl on most of the points. Further:1) Ask for a room facing MacDougall St. I was on the 2nd floor in a deluxe room and heard absolutely nothing. 2) The bed and pillows in the deluxe room were great. 3) I thought the breakfast was fine. I was surprised to have a bowl of fresh fruit. The bagels and muffin were soft. 4) Turn right onto Waverly Place and there is a Duane Reade 24hr pharmacy. Note the subway station next door.	
Aug 26 2007 	O.K. place to stay	O.K. Hotel. Lobby nice. We stayed on the third floor. The room was smallish with a queen bed. Clean, no mold in the bathroom grout, but make no mistake this ain't the Ritz (also not the Ritz price!) This room was very European (read small room area, small bathroom, one chair at the dresser) The bed was comfortable, clean and the A/C good (but a bit on the noisy side). The T.V was mounted high on the wall...I felt like I needed to look for a place to insert quarters to operate it...... It's away from the street so there is no outside noise.; However, one of the doors in the immediate vicinity needed its damper replaced, because we could occasionally hear it slam, even with the A/C running. The hallways are very English, small and winding (no big deal, but you can get turned around if you are not paying attention)My biggest gripe is that the hallway smelled like a locker room and if you have a very sensitive sniffer one can faintly smell it in the room. The hallway was not air conditioned and was hot and stuffy. The hallway on the third floor looked like it was in the middle of a renovation as the white plaster &quot;swirling&quot; on the walls was worked around some old existing wall tile decoration lending a &quot;cheap hotel&quot; feel.The attached restaurant was excellent for dinner and reasonably priced, but the &quot;free&quot; continental breakfast was disappointing; The staff seemed in a hurry and not very attentive. I believe it is a different lease operation from the dinner business as it had a different feel, different staff and no one was proficient at speaking English.&quot;Dittos&quot; with the other reviewers regarding the convenience of the location. Overall a nice inexpensive (for NYC) hotel.	
Aug 13 2007 	Get what you pay for	I` ve stayed before &amp; like the location &amp; price.This time the room was gloomy and the air con so loud.The breakfast staff were just awful. Not a smile or thank you between them all. We ate breakfast elsewhee after the second day.But it was booked for it`s location and because it was suppose to have Art Deco features (not fab) - you get what you pay for, however we wil probably go elsewhere next time we visit NY.	
Jul 29 2007 	Good Hotel in Greenwich Village	I was attending a conference at NYU and stayed at the Washington Square Hotel. Overall, it was not a bad stay and I would stay again in order to be close to NYU. However, here are some observations to help you decide:- Some of the bellmen were WONDERFUL in giving reccommendations, subway tips, etc!- Elevators, hallways and rooms were very small!- window A/C units - there is a &quot;light switch&quot; to turn it on!- Nice little bar and helpful bartenders- My room did not look over the street, so it was quiet. Some colleagues had street facing rooms and they said it was really loud at night (garbage trucks, etc)- Shower curtain was hung too high and stuck to me in the shower - i ended up leaving it open because water got everywhere anyway!- Front desk will give you a nice map if you ask- Nice beds (queen is biggest), with pillow top mattressesIf you are looking for luxury and roomy, keep looking, but if the location suits you and you are looking for a safe, comfortable place, this may be it!	
Jul 27 2007 	A Plus from our whole group	We also have a glowing review for this hotel. We had 4 women stay in one room. Got the deluxe (over the superior) and had ample room for four sets of luggage plus all the shopping purchases. We had a corner room, 221, that had a view of the square and windows on two sides. Our bathroom was roomy and had two sinks. The room had two double beds, a long table vanity, one sitting chair, chest of drawers, and a 3 nighttables, everyone had their own space. The beds in the deluxe room were dreamy, soft top mattress with fluffy white comforters. The a/c was one wall unit but monitored itself on and off and seemed to keep up fine in July weather. Very convenient to subways and restaurants. The staff was friendly, and helpful, from front desk to security and doormen. It was nice staying on the 2nd floor because we could take the one flight of stairs instead of waiting on a somewhat slow elevator. It is a quiet neighborhood so being on a lower floor didn't matter.	
Jul 22 2007 	I highly recommend this hotel	What a great hotel for $235/night in such an expensive city. We arrived early, they stored our bags no problem and based upon recommendations here we requested a deluxe room on an upper floor. Upon our return, we were given exactly that on that on the top floor. It was plenty spacious, super clean, had a nice bathroom, windows on either side of the room, one with a view of the park. The room had been recently renovated and looked just like the picture on their website. We were right next to the elevator but never heard it. The AC, a window unit, was new, worked fine and wasn’t particularly noisy. We didn’t visit the bar, but did enjoy the nice complimentary continental breakfast of fresh fruit, juice, coffee, muffins and bagels (yes, no cream cheese) in the pleasant restaurant. Everyone, even the night staff, were very nice, especially the woman who checked us in and was so accommodating of our specific room request. We noticed people working there on continued improvements to the property (though that didn’t at all take away from our visit). The location was perfect for us being so near the neighborhoods we were most interested in. The subway was less than a block away giving quick, easy, no-transfer service to the heart of Midtown. I highly recommend this hotel. Thank you to all the members who wrote reviews and helped us make choices that made for such a nice stay.	
Jul 9 2007 	Wonderful place to stay	I stayed at WSH for eight nights. My room was very nice, not tiny, and had two windows with a partial view of the park. I thought the staff was generally helpful and friendly, some more than others, but none were even close to what I would consider rude. The free breakfast was great. The meals I had in the dining room were very good, the wine list was interesting, and the prices were not unreasonable. The location is great. I would not hesitate to stay there again or to recommend it to a friend. I think the key is to understand that you are not staying in a resort, and if you care about room size or view, ask for a room that fits your expectations.	
Jul 8 2007 	Pleasant Surprise	My wife and I have just returned from a long weekend trip in NYC and the Washington Square Hotel was a wonderful experience. From the staff to the room and to the friendly and always helpful lobby security I would not hesitate to stay here in the future. After reading several negative reviews we was frankly a bit skeptical, but after arriving our doubts were set at ease. The rooms are plenty big enough...the most pleasanr surprise afeter reading how small the rooms were. We have stayed at a boutigue hotel in London UK in the past and the rooms there were much smaler than the WSH. Being in the village and close to NYU, Little Italy, Chinatown, and the subway stations at either W 4th St or Union Square is also a plus. You can also walk 2 blocks west on W 4th st to Joe's Coffee house for some of the best cappucino and pastries in NYC. Overall a very pleasant stay in a quaint and quiet hotel....my hat's off to all the staff at the Washington Sq Hotel for making our stay enjoyable	
Jun 28 2007	location	The main reason to stay at this hotel is the location. If you are interested in the West Village or the NYU campus, it is one of the only choices and actually a pretty good choice at that. Makes you feel part of the true NY neighborhood of Washington Square Park. With the small rooms and breakfast included, you are reminded of an older European hotel. I have stayed there several times and will go back.	
Jun 13 2007 	overall great experience	To anyone who has never stayed in New York city please be advised hotel Rooms are small unless you are staying in a 5 star paying the big bucks!! However if you are looking for clean and good value for your money than the Washington Square hotel maybe for you. This hotel is not in the tourist area ie: Times Square , Broadway. You would not find a hotel in that area as nice for the price. This hotel is in a great location if you are interested in staying in Greenwich Village and would like to be near Soho , Little Italy, China town , Canal street and more. There are great patios where you will be sitting with locals where the food is good and much better priced. The subway is around the corner and there is always a cab. We stayed for 3 nights and will not hesitate to go back.1. The room was clean ,and updated, the washroom had everything you needed it to ..plenty of clean towels ,hair dryer ..shampoos and soaps.2. I read where people complained about the rude staff...well we were there long enough to see different staff members with shift changes and they were all friendly and were helpful with any questions or requests we had. 3. The contintental breakfast was nice as well , we were seated and asked if we would like coffee or tea, than brought a selection of toasted bagels , muffins and bowl of fresh fruit with orange juice.I have always read reviews on here and have taken them with a grain of salt and I suggest you do the same. I have tried to be as honest as I can with this review. I am well travelled and have stayed in many hotels all over the world.Hope this helps, Mary	
Jun 5 2007 	Nice breakfast and good location but poor rooms and rude staff	I will give WSH its due--the breakfast was great and the security man was excellent--friendly and attentive. After that and the location, not much I can say to recommend this hotel. I booked and confirmed (two days prior) a room with one queen-sized bed. When I checked in and went to the room, it had two double beds. I went back to the front desk and the clerk told me that they were queen beds, which obviously was not true. Then they tried to appease me and told me that this room with two double beds was an &quot;upgrade&quot; that I should be happy. I told them that since we were planning to only sleep in one bed, this was actually a downgrade for me. In response to my concerns, another staff member literally said to me that there were &quot;plenty of hotels in NY&quot; and to go find another one! When I asked why my confirmed room was not available, the manager said that they allow people to stay in their rooms if they decide to extend their time at the hotel. I can't imagine a hotel adopting this policy as this could confuse all the reservations that were made. In my experience, if I want to extend my stay at other hotels and the room is not available, I have to either leave or change rooms. Hard to believe that this really isn't their policy. OK--enough about the staff, let's focus on the rooms. The beds are not comfortable and the rooms are basic, to say the least. However, I could put up with this if the staff hadn't been so rude. As I said, I couldn't recommend this hotel unless there wasn't much left in the area.	
May 19 2007	Location location location	We had a wonderful stay at the WSH and the staff could not be more friendly and helpful. The standard rooms are small, but recently refurbished and clean with comfortable beds. Many do not have external views. Do not stay here if you want a hotel with guaranteed quiet room and great views. The best feature is the location which is right on the Park. You can walk in any direction from here and find fantastic restaurants, cafes, clubs and bars. Music is everywhere, jazz in the streets, blues in the Park, opera in the restaurant along the road. The famous people to have stayed here in the 60's when it was a residential hotel include Bob Dylan with Joan Baez, Barbara Streisand &amp; many others. Good complimentary breakfast served until 11 am. Highly recommended, but remember to pack your earplugs for a good nights sleep.	
May 17 2007	Not for me	The location is great, as is the pricing. After that, there's not much to recommend the property. The rooms were small, but I expected it would be so for the price. I was trying to view it as a edgy, village experience, but mostly it felt dingy and not clean (dirty would be overstating it). The room color was drab, the window AC unit noisy and inefficient. The single elevator carried the trash and the guests. You get the idea. When I strategize how to get into and out of the shower without bare feet, it's not a place where I'll return.	
May 11 2007	Beyond expectation	Was recommended this hotel and used Tripadvisor to research it a bit more - all the positives (and only a minor one or two of the negatives) all held true. Room was very large by New York Hotel standards, comp breakfast was a surprise joy, and staff were a mix of 'couldn't be nicer' and usual New York/look after yourself, we just let is slide. Location is second to none. Bar served great cocktails (though it's a bit of a pokey bar, it's best to move further afield!)Negatives? Okay the grumpy night staff and the teeny tiny closet, but that's all that's stopping me give it 10 out of 10.	
May 7 2007 	great location unwelcoming staff	You couldn't beat the location -- quiet street right in the Village. No other area we'd rather be in. As previously mentioned though, rooms were tiny. We stayed for a week (Christmas time) - first room we were given had no windows and no space to move around. Felt claustrophobic so we moved to a larger room with 2 windows. Much better...Front desk people just had no interest in making us feel we were welcome. They would just chat with each other mostly.Still we weren't there for the hotel and it was a great holiday watching jazz, eating great food, etc.	
May 4 2007	Hated this hotel	We have one more day to stay at this hotel and we are counting the hours. It's not just that the room is tiny, we can't understand how they can expect twopeople to stay here for 3 nights in a room with three drawers only. There's a card chair to sit in but it's also being used currently to hang our jackets.The closet is small as well. The staff is perfuntory and rather inattentive with exception of a security man in lobby. He seems to double as a bell boy but a bell boy who only shows you where the elevator is and then you're on your own! i'd rather stay at a Motel 6. The front desk people seem inept. We booked a limo one evening for a Saturday. The next morning there was no record of this reservation. I asked for a sewing kit and was told by woman clerk to go to the drugstore. Another clerk overheard her and pulled a sewing kit out of a drawer filled with them. Poor training here. The bed is so short that it didn't accommodate my 5'6&quot; frame.Lots of construction going on here also so 7AM was the latest we could sleep here.Pluses: The comp continental breakfast was a plus as well as the location across from the park. But we would never, ever stay in this so-called deluxe Queen room again.	
Apr 27 2007	Stay here time and time again	No hesitation in recommending this hotel. Have stayed here on numerous occasions and if anything, this lovely hotel just gets better and better. Good location, excellent attentive staff and very comfortable rooms - reasonably priced too.	
Apr 25 2007 	Great location characterful hotel	We stayed at the WSH in mid-February 2007 and really enjoyed our stay there. The location is brilliant - really near to loads of great cafes, restaurants and shops - and has much more character than the rather soulless hotels in midtown. We booked a deluxe room which had obviously been fairly recently refurbished in an art deco style and which was a reasonable size. It also came with a view of the Park and of Babbo's across the road! My only niggle with the room was that the radiator was tiny and it was a little cold. We did manage however to obtain extra blankets.The bar staff were very sweet - we hadn't tried bourbon before so the barman let us try a sample of the most popular for free and suggested that we might like also to try a Manhattan. Other staff were friendly enough - we like to keep ourselves to ourselves so don't like over intrusive staff.Breakfast was included in the price and was fruit salad plus a basket of toasted bagels and muffins. All in all a great stay and I would highly recommend the hotel and the area.	
Apr 25 2007 	Wouldn't stay anywhere else	New York is expensive, so you really need to save cash where you can. Yes, the rooms are tiny, but there is so much to do in the village, you're not in the room that much. This place is in an excellent location, so close to the subway that you would never have to take a pricey taxi. The staff was super friendly and helpful. I really wouldn't stay anywhere else. I even had my mother stay here once and she loved it too.	
Apr 19 2007 	Cozy hotel great location	We stayed at this hotel for three nights. I was attending a conference at NYU and my wife was doing art business. We travel to New York a lot. My wife is an artist and her gallery representation is in Chelsea, and her father, a New York City native, lives in midtown. We spend almost all of our time downtown and are constantly looking for good places to stay in the Village, SoHo, or Chelsea, and thought we would give this one a try, given my business at NYU. I have to say that this was my favorite place to stay downtown so far, for the money (I think we ended paying about 250 a night--it would be more between Labor Day and New Year's, I imagine. But you can spend that much in NYC and end up in a dump, and as we all know, star ratings for NYC hotels mean nothing--you have to know the place).To begin with, the location is fantastic, with easy walking distance to some of the best streets and shops in the city (Bleecker St.., for example, with the fabulous Murray's Cheese Shop and Amy's Breads, is only a few blocks away). Good subway access nearby as well, and right off Broadway.We often stay at the Solita SoHo hotel, at Grand St. and Lafayette (about a 15-20 minute walk down Broadway), and found this hotel better for the same money. To begin with, our room was very large by New York standards--much larger than the Solita--had a very nice bathroom with good light, and included free internet access. The furnishings, linens, etc. were relatively new and in excellent condition, and the decor was tasteful and Deco-flavored.The building has a lot of character and charm and has the feel of &quot;old New York,&quot; as that part of the city does. And by &quot;charm&quot; I don't mean &quot;old and broken down.&quot; Quite the contrary, the building is in excellent shape, with a nice, spacious lobby, very good elevator, a nice, cozy little bar right off the lobby, and a good bar and restaurant (the North Square) attached, where a nice continental breakfast was included in the rate (an excellent muffin, fresh fruit, and coffee and juice--not a big deal when you're surrounded by great coffee shops, but nice nonetheless). We found the service to be fine, though as with most New York hotels, it depends a bit on who is working the desk and whether you run into any serious problems, which we did not. We found the staff friendly, helpful, and warm.In short, if you want to stay in the Village, and you don't want to stay (or pay) in a larger place like one of the Grands downtown, this is an excellent choice, with a very good combination of character, service, and amenities. And the location is as good as it gets. This is where we'll stay from now on when we visit NYC, and that's quite a compliment, given how often we go there.	
Apr 19 2007 	great Hotel.	I was recommended to stay at this hotel by one of my mates in London. This hotel is great, nice and cosy and very relaxed. The staff are all really friendly and really liked the Ambience.For the price and the location of this hotel you cannot beat it!Make sure you book a deluxe room as the others are not so cool.I have been back several times now and always stay at the Washington Square which I find is one of the best hotels I have stayed in for location and value for money.ANYONE FROM THE UK STAY HERE!	
Apr 15 2007 	Great Village location character and price!	We stayed here for two nights, the Thursday and Friday of Easter weekend 2007. We arrived in the morning and check-in is not until 3 p.m., so we arranged with the doorman to store our luggage and come back later, which was no problem. The front desk noted our request to have a room on a higher floor, and this was the case when we returned. Everyone we dealt with was very helpful and pleasant.Our room was quite comfortable and very clean. There was some noise from the street the first night, but it did not last long. We faced onto McDougall with a view of the park; I can imagine there would be more street noise in the summer. Our room was right behind the elevator, but we did not hear it at all. The hallways are somewhat narrow but appear to have been painted and carpeted in the last few years. Judging by the decor of our room, we may have had a superior room rather than the deluxe room we booked; if so I would recommend the superior as some other reviewers have. It was not overly large but fine for two people.The hotel is central to everything we wanted, including several subway lines. We had breakfast in the restaurant both mornings. The food and service is good, though a bit expensive. We ordered from the menu instead of having the included breakfast (which is coffee, fresh-squeezed orange juice, a dish of fruit salad and a basket of toasted bagels with jam and butter). There are many choices in the area, and we will probably try other cafes or restaurants next time. We did not have lunch or dinner in the hotel, nor did we try the bar.The doorman on the Thursday was very friendly and recommended various places to see and things to do. And the doorman on Saturday actually ran down the street to catch up with us &amp; let us know that the front desk had discovered they had charged the wrong credit card (I had changed from the card I used to make the booking, but they put the charge through on the original card &amp; I did not notice). This was corrected with profuse apologies.Again, our flight was well after check-out time, but leaving our bags was no problem, so we were able to enjoy the rest of the afternoon. Even the maintenance guy that took our bags was friendly and chatty. There may be some staff at this hotel that are not welcoming, but we did not meet any, of the eight or nine that I can recall.We did a lot of online research before deciding on this hotel, and for the price I think this is one of the best choices. The location is unbeatable, the hotel has so much character compared to a chain hotel, and in New York you can easily pay double for the same size room elsewhere. Our experience was good, and we spoke with several guests who were repeat visitors because they liked the hotel and the price.	
Apr 10 2007 	Fantastic Locatation Great Interior...	Whilst this hotel is in a fantastic location and is generally a great place to stay, I did find some of the front desk staff rather sullen and unwelcoming. Only 2 of the 6 or so staff were actually friendly.Make sure you book a deluxe room with a view otherwise you'll end up with a brick wall outside your window making the room very hot and the noise of the ac unit unbearable.Other than that....highly recommended!	
Apr 9 2007 	Location Location Location	I expected much more from this hotel. It is true that there is nothing around for a similar price and the location is fantastic if you wnat to stay in the village, but that´s it.I paid 220 USD , plus taxes, for a room no bigger than a bathroom. To open the door I had to move the suitcases because there was not place for the suitcases. The wardrobe was about one square meter, or less.The air conditioning unit was not fixed properly so the cool air came into the room. The room was very noisy ( you can hear the street noises even in 9th floor ) and the pipes in the bathroom make funny noises all the timeStaff: very unfriendly. They never helped us with our questions or with our luggage. the last day they forgot to ring the limousine to get to the airport ( a service that they recommended ) and we almost missed the plane. They said that the car had a flat tyre but it was no true.There is an exception: a short man with a beard, very nice and helpful.Next time I will go other place or I will book an apartment but I do not want to stay in this hotel anymore if it costs more than 100 USD	
Mar 26 2007 	Clean great location	Half the price of other NYC hotels if you book ahead of time, right in the middle of cultural and interesting things to do and see, no frills hotel, impeccably clean, spotless bathroom and linen, safe, friendly enough as I don't aim to befriend the staff, 6$ cab ride from Javits, 7$ from madison area, same for trendy tribeka shopping, diners, shops, street vendors... and right across the street from washington square. only complaint: horrible pillows.	
Mar 20 2007 	Great location!	This hotel was in a fantastic location right in the middle of Greenwich Village... The staff was nice, the bar was cool, and the hotel was walking distance of great nightlife and restaurants. You definitely are paying for location, the room was tiny (but clean) and non-descript...	
Mar 6 2007 	Convenient location good value	Room was a bit shabby but very clean and the bathroom was immaculate. The location was brilliant, walking distance to most sights in the village. Although the room temperature was fine, the lobby and hallways were overheated to the point of being unbearable. The hotel can be very noisy, and various slamming doors and guests running up and down the hallway shouting can be heard quite loudly in the room (especially at 3 am).I did have one issue with the front desk. My flight was delayed by several hours because of weather and I had called to arrange with the front desk to have a friend who was meeting me allowed to check into the room before my arrival. They assured me that this was no problem, however, when she arrived they would not allow her to check in because she didn't have a credit card and suggested that she sit in the lobby and wait for me (for 6 hours). It took several more calls to sort this out and they finally let her into the room about an hour or 2 before I arrived.	
Feb 27 2007 	Fab hotel - but don't drink here!	We stayed at the WSH for 5 nights in mid Feb. The room was great - although there was something mad going on with the heating in the bathroom and the room was like 1000 degrees, even with the aircon on!! (slightly odd in the middle of a snow storm, but reception weren't bothered about wasting energy) The location of this hotel is great - right in the village. So much nicer down here than up in dull midtown. Great restaurants and bars are on the doorstep - which is a very good thing, as we found that the bar staff in both the cafe on the first floor and downstairs bar were APPALLING!! (Except one girl who ran the cafe on a Thursday evening - she was friendly and helpful!). The staff NEVER smile and frequently ignore guests and walk away from them while taking their order. This is likely to be due to the fact that service is automatically added on to the check here - so make a stand if you don't feel like paying the service!!I would go back to WSH - I just won't have a drink there!	
Feb 24 2007 	Highly recommended	We've just returned from a 3-night stay at the Washington Square Hotel and really liked it. We had a deluxe room which was beautifully decorated, and I really appreciated the robes and the fact an umbrella had been provided in the room for us! The windows showed a fantastic view of WS itself, although I was a little disappointed the 'curtains' were just for show and didn't close (there are regular and blackout blinds as well). Breakfast is served until 11 am, which is perfect for us, and was fruit salad and bagels/muffins although there was no cream cheese, which I would have appreciated.The area around the hotel is fantastic, really bohemian with loads to look at and fab bars and restaurants. Try Quantum Leap for cheap and healthy food if you're a veggie, Chumley's for great beer (especially the pumpkin ale) and check out the chess clubs nearby. I was amazed to see scores of people playing games well into the night!I'd have given the hotel 5 stars but the door staff were a bit scary, dressed all in black, although friendly enough. They made me a little uncomfortable.All in all though, I'd really recommend the hotel. It's lovely, in a great area and worth the cash IME.	
Feb 20 2007	Great Little Hotel!	This is a nice little hotel....great location, right on Washington Square, 2 blocks from the heart of West Village, same street as the most historic residential real estate left in Manhattan today, walking distance from Soho. Gorgeous foyer, staff is what you'd expect in most NYC hotels, efficient within their capabilities, rooms are modest and quite small, but adequate. Not adequate for a long stay with lots of shopping however! I've stayed there twice, once with company, and another time on my own, in a single bed room. That room was a little sparse i must say, but it suited my purpose at the time, and it was available. Nice little restaurant in the basement. If you sit over by the street window, you could have a direct view across to Washington Square Park and watch life go by while having a sumptuous breakfast (which if i remember correctly was one of the best i've had). Just a few steps away from 6th Ave and a fast taxi ride uptown.	
Feb 14 2007	Location great; service appalling	Our maid was wonderfully welcoming, and most of the security guards were friendly enough; but the reception and wait staff made our experience at the WSH less than acceptable. By the end of our 11 night stay, we felt that:- every time we entered the lobby we were aliens and not paying guests (but for two security guards who greeted all visitors warmly, the security and reception personnel all stared and eyeballed);- the reception staff were gruff;- wait staff serving continental breakfast (included in room price) had their minds on anything but service, treating guests like cattle; and- included breakfast is adequate, but unsatisfying and predictable after a couple of sittings.The location is, however, outstanding; and the property seems well maintained. Rooms are small but functional and accord with the price.	
Feb 14 2007 	Gem in the village	This was my second trip to the WSH and I was very happy again with my choice. I would always book a deluxe room, they are far nicer than the regular rooms. The location is prime for me. This time I feel like I had a slightly larger room, with a fabulous view of the park.The rooms though small, are spotless. Staff very helpful, and the location is not to be beaten. I will return	
Feb 6 2007	Great Hotel!!!	I stayed for two nights at the end of January 2007 and found this property to be delightful.After reading through most of the reviews here, I followed one travellers advice and when I booked, I requested a Deluxe room several floors up in the Annex. Also, I booked directly through to Hotel website. I have been told that hotels will pay attention to how the reservation was booked and show preference to those who do NOT use a reservation service. Upon checking in, I was guided to my room by a hotel employee and was delighted to find it clean and properly stocked with everything promised. It did take me until the next day to figure out the nightlight in the bathroom, though. The shower was sparkling clean and the water was easily adjusted - hot water plentiful. The water pressure was great and the shower head was terrific. The bed was made up with 4 large pillows (with another in the closet) on 1000 thread-count sheets. There was a safe in the closet (note: customers need to request the key from the front desk if they choose to use it) and plenty of hangers as well as shelves for shoes, bags etc. Breakfast was included in the cost of my stay and consisted of a good sized bowl of fresh fruit, a half of toasted bagel and a small muffin. There were jams and butter for the breads and I was also served a small glass of juice and tea or coffee. In the evening I visited the lounge and was attentively served by the bartender who poured generously.I do have one suggestion to make, which I shared with the staff. I was woken up all three mornings by a room door slamming nearby. I did let the staff know it would be a good idea to try to eliminate this by putting signs on the inside of the room doors that request they be closed quietly between the hours of 11 pm - 9 am. Hopefully they will do it, because I intend to stay at this hotel again.	
Jan 28 2007 	wonderful location but pricey	I stayed at Washington Square Hotel for 5 nights at the beginning of January, and I agree with most of the other reviews: the location is its main attraction, and I really recommend it if you want to be in a less touristic but much more interesting area as the Village, that's lively, beautiful and with a wonderful choice of restaurants, bars and music venues at walking distance. Also, the hotel it's close to the subway, so you can reach any part of NY very easily.But the hotel itself costs a bit too much for what it offers. The decor and atmosphere are nice, and the staff is helpful, but go for the deluxe rooms, as I understand that they are bigger than the one we've been given, that was small even for NY standards, with an extremely tiny cupboard (no way to unpack your luggage), not very comfortable bed and not terribly clean. Also, the breakfast is &quot;continental&quot;, but there's no buffet so you don't have any choice and if you are a big eater or want to skip lunch (as I do), you'll end eating breakfast somewhere else. In general, the feeling is that they don't try very hard because they know that the location is unbeatable and (as far as I know) there is no alternative of the same level in the area. But you don't go to New York to spend your time in your hotel room, so the location is still the most important issue. And walking in Washington Square on a sunny morning or around Bleecker St. at night makes up easily for a smallish room...	
Jan 22 2007 	Funky but not very functional	I stayed at the Washington Square Hotel in early December, 2006. I liked the funky decor and didn't mind the &quot;European&quot;-style (i.e. amazingly tiny) room, and the location can't be beat if you want to explore the Village, MPD and downtown. The price was not bad, either, and the room was very clean.However, if you stay at this hotel I strongly advise that you request a room not facing MacDougal Street. The rooms all have AC/heating units in the windows, rather than built into the walls, which means that it's impossible to close the windows against the street noise, which can be considerable on that busy street. (Due in part to the fact that Mario Battali's popular Babbo restaurant is located about twenty yards away.) I got basically no sleep on the night I was there, due to the constant banging, clanging, honking and shouting. Also, the bed felt a little bit strange -- weirdly convex -- and wasn't very comfortable. Overall, I wouldn't give this one a very strong recommendation, though I can't say for sure whether my experience would be typical.	
