	Disappointment	I had high expectations for this hotel given its reputation, and was really wowed by the architecture upon entering. Things went mostly downhill from there. The staff lacked the warmth and willingness to assist I would expect from a Four Seasons. This was obvious from the moment we checked in, but got worse when we notified the front desk that we had no hot water. They said they would flip a switch and get the hot water running, but that did not happen. When we called again, they finally sent a repairman (rather than simply send us to a room that had hot water). He still did not get it fixed. After calling one more time and getting blown off, we just shivered for the rest of our visit (it was snowing outside). Smaller issues, but ones that I would not expect at this hotel: dirty dishes stacked up and abandoned on a tray next to us at the restaurant; a 45-minute wait for room service to bring granola and coffee, with no explanation offered. The room is big by NY standards and of course the location is great, but St. Regis and Ritz-Carlton are far superior in terms of the appointment of the rooms and service in this area.	
Oct 14 2006 	Outstanding the most memorable part of our visit	We checked into the FSNY on a Monday following a weekend at the Library Hotel as part of a surprise trip for my partner’s 40th. I had booked a deluxe king (floors 5-29, street view) direct with the hotel for their online rate inc. breakfast exc. tax of $975. We had been in NY over the weekend with great weather so decided to check whether there was maybe a terrace room still available we could upgrade to - on the lower floors, but it would be nice to have some outside space. I mentioned this to the wonderful receptionist who checked us in, who had very subtlety noted in the booking my partners birthday, and said he would have a look and see what he could do. All the terraces were booked but with some checking he said he had managed to locate a suite on their 50th floor which had two terraces! He wrote down how much the room normally went for and then how much extra we would need to pay on top of our current rate and we instantly wrote off our holidays for the next couple of years and jumped at the chance. Because they weren’t expecting any guests in the room that day it would take an hour or so to send in their crack team of housekeepers and the room would be available for us no later than 3pm. In the meantime the check-in person escorted us to the restaurant where we were seated straight away and enjoyed a marvellous lunch (the steak was the best my partner has ever tasted).After lunch we explored our new location, just round the corner from Central Park and the amazing shops on 5th Ave and returned at 3pm to pick up the keys (bags efficiently already taken up to the closet in the room). We’d done a brief tour of the hotel ourselves out of curiosity when we first arrived so just collected the keys from reception and let our ears pop as we shot up to the 50th floor and headed to our room. Oh my, oh my, oh my….Just as we first opened the door we saw the ‘office area’ which had its own desk with TV, fax/printer and sliding doors onto the ‘East Terrace’. I was still wondering at these marvels when I heard ‘your not going to believe this’ gasps from the other half when he walked further into our main bedroom/living area. I nearly fell over the couch looking at the views straight ahead of the Chrysler building and the Empire State Building - we had queued and paid good money to go see these sights up at Top of the Rock the night before and now there they were, on tap! Once we had got over that shock we moved across to the west side of the suite and down the corridor to the very grand marble bathroom with TV, closets, and the West terrace, with views to far right of central park. I may be paying it off until my 40th birthday, but those first impressions and the whole experience at staying at the FS were priceless… In fact we wrote off the rest of Monday and didn’t leave the suite at all – we had THE most memorable meal via room service (this time steak for me), nice ½ bottle of wine (Pinot Noir from Oregon) and to top it all, a surprise birthday cake was sent up by ‘special services’ with a lovely welcome card, all laid out by the room service waiter on the terrace table. Absolutely stunning evening. Bathroom is huge, marble and luxurious, with Bvlgari toiletries, and a small LCD screen next to the sinks. Also nice inlays aside the deep bath, great for candles and a relaxing soak. We did however get brown bathwater which put us off. Shower was fabulous. There is also a bedside Bose clock radio pre-set to some great stations that has marvellous sound. We had breakfast in the restaurant area for 2 mornings, which I must admit was a bit confusing - we had booked ‘breakfast inclusive’ so wasn’t sure which option we were supposed to choose from (found out with a call it was the ‘American’). When presented with the bill each time we had to inform the service staff it was inclusive. On our last morning we had breakfast in our room and kicked ourselves for not having done that sooner - so much more comfortable, with all the choices there and you can take your time. Would recommend having breakfast in your room, or you may end up sitting next to a couple of high-brow business men, one who was sacking the other, as we found one morning! Lovely selection of fresh fruit, two eggs how you like, pastries &amp; juice, smoked or Canadian bacon etc. Over our 3 night stay we had wonderful cocktails and nibbles –would recommend the back bar close to the restaurant, it’s busier than the one to the front but has a more extensive bar menu, better complimentary snacks, and for us anyway, friendlier staff. We put the poor concierge staff through their paces by requesting a table at one of the most popular restaurants in NY at 7.30 pm that night, but they were able to oblige even then. The doorman on the 58th exit recommended two fabulous Italian restaurants nearby for lunch. We booked a car via concierge for our transfer hotel to airport which was seamless. The whole experience was momentous. If you can, do.	
Oct 8 2006 	4 Seasons quality and ...	I may be a bit critical only 'coz of being a loyal Four Seasons customer that believe in their quality as well as the price paid for this particular property (US$695/nite excluding all other taxes and this is a B&amp;B package). Having said that, I do like the rooms, spacious on the 23rd floor, with LCD TVs (one in the bathroom), a big glass shower with a sit down bench, a nice music pipe in system, marble bath tub (big), etc. Towels and bathrobes were thick and comfortable as were the sheets in the bed. See attached photo for room details. One thing that I had found that was unacceptable was the mold in the brackets that hold the shower bench together. For an expensive 4 Seasons, the cleaning should be more thorough.We had a King bed and a little sitting area that overlooks a buidling that has a penthouse rooftop garden that was quite pretty to look at. I especially like the dresser area - big walk in with lots of room for his and hers and enough drawers for his and hers ! (usually most hotels have only 3 sets of drawer but this room has 6 !!!). Check in was swift and efficient, things (breakfast, gym, etc) were explained and indicated to us so we didnt have a problem finding our way around. Gym was adequate, I especially appreciate that they have a fridge stocked full of bottle water rather than the usual water cooler.Breakfast was good (dont know the price coz we had a package) but nothing amazing. Location is great if u like to shop. We (husband and I) especially enjoyed the bar which makes a good martini (and what a variety !!!).All in all, we had enjoyed our stay, staff are friendly, good amenities and location. We will return but this time if I see another moldy shower, I will inform the hotel about it. It is just not acceptable for a 4 Seasons that one has to pay $695/nite.	
Jun 12 2006	Best In New York	Having previously stayed at the Trump on Central Park (getting a bit worn), and the Ritz Central Park, I have to say that my last stay at the Four Seasons is making me lean towards them. First of all the hotel itself is immaculate - everything looks like it is brand, brand new and there is not a feature out of place. Secondly the service is exactly how is should be (but is not always the case) at a four seasons hotel. Sebastian at the front desk was great and assigned me a corner room overlooking central park and 58th st. on a high floor....ask for the '11 series of room on a high floor - lovely configuration for a king bedded room - about 500 sq. feet with small dressing area - perfect for 1 person. Door and bell staff were great, always welcoming me back after I returned each day and running up and down the street to get me a cab during rush hour. When no cabs were available they put me in a complimentary Rolls Royce Phantom, one of their two complimentary house cars (the other one is a Maybach!). On another occassion I left the hotel with an almost empty bottle of water in my hand. Randi the doorman on the 58th st. entrance whipped out a new bottle of water to take with me on my way out. Concierge were fabulous, very witty and charasmatic with some superb recommendations - listen to everything they say to you about the city, transportation and dining - they really do know what they are talking about - Helen and Reynold are great. The service in the hotel's restaurants is both proffessional and personable - our waiter (ultra camp) had us in stitches with his opinions on everything from the world cup to his newly designed uniform. He comped us all desserts if we &quot;promised not to tell his manager!&quot;. Food however is just good hotel food, nothing spectacular and very, very expensive (think $35 for a burger or a caesar salad). Much better places to go in New York, although their new restaurant Atelier de Joel Robuchon should help them compete with some of the better restaurants in the city when it opens next month. Housekeeping service is unbelievable. I bought a six pack of diet coke from a store which I left in my room - the maid filled a large ice bucket and placed the drinks in the bucket so they would be chilled on my return to the room. All my clothes were refolded to perfection and a cigar ashtray was left for the cigars I bought (they were actually a gift for someone else, but nice touch anyway). Tipped the turn down lady $10. Spa service is fabulous, I was &quot;welcomed back&quot; by the spa attendand who remembered me from my first stay 3 months ago! There is no pool though but there is a jacuzzi/steam room. The spa itself is not as impressive as other areas of the hotel...a little small and in the basement....it's all service based with this facility.You have to pay for the business centre ($1 a minute for internet access) and it's only open during certain hours....not impressed with this. At other four seasons (e.g. Boston) it is complimentary and open 24 hours.Overall the hotel is the best in new york. Every staff member is genuinly hospitable and helpful, and basically thinks for you so you can spend your time enjoying yourself or maximising productivity (if you're a business traveller). However be prepared to pay for it....by far the most expensive hotel in New York in every way. Expect to pay $850++ per night for a standard/deluxe king room. If you can find a room for under $700 a night, e-mail me.	
May 8 2006	Fine Hotel with One Caveat	The Four Seasons, New York is an all-around excellent hotel. As would befit a Mobil Five Star and AAA Five Diamond property, you are put in the heart of the shopping district (5th Avenue) and are a close cab ride to most of the popular tourist attractions. You are in a posh location and you certainly pay for it. I booked a Superior Room and was generously upgraded to a Deluxe Room with Terrace and it would have been nice to utlize the furnished terrace for an in-room dining experience, but it was freezing outside (I went the week after the snowstorm in NYC in February). The prevailing rate for this room is $895/night. I paid roughly $600ish a night for two nights and my third night was free. At that rate, I don't have much to complain about. From what I gather, this hotel caters mostly to business people on an expense account and is usually fully committed (sold out); accordingly, for those guests concerned about the carpet on the guest floors being a bit soiled, or worned out...this place may not be for you. If you are pretty mellow when you stay at hotels, this hotel won't disappoint. Keep in mind while this hotel does its best to keep everything looking clean, this is first a SERVICE-ORIENTED hotel. Otherwise, the rooms themselves and public areas of the hotel are immaculately maintained and furnished. The elevator banks are divded into two sections (one for Lobby Floor to 21?) and the other (21? - whatever the highest floor the hotel occupies). There were very quick. Each side has three elevators. The gym is stocked with chilled towels, juices, and fruits for your enjoyment. The room was very modern (style wise) and that is the theme I guess at this hotel--which is good. I am not into the traditional look (think Ritz Carlton, etc.). There were electronic controls to control to window curtains from your bed. There was sufficient lighting and unlike the bathroom, you can moderate how much light you want. The A/C Unit is not powerful as it should be or I just don't know how to use it. The wall-mounted plasma TV swivles so anyone in the room can watch. There is a DVD player and a fax/copy machine inside the room. Room was isolated just fine. You have an abudant amount of closet space. We stayed for three nights and there was enough space and then some for both of us.The bathroom is done in marble and is simply spectacular. I loved it. Separate bathtub and shower. Amenities (soaps) were nice. Bathtub filled up quick (60 seconds as advertised, I am not so sure, but fast enough). The small LCD TV in the bathroom is a nice plus. There was an excessive amount of lighting in the bathroom however--if you like light, then that is good for you then. I only had breakfast at the &quot;Lobby Lounge&quot; during my stay as it was included with my rate and the food was just average. American Breakfast during my stay was $35-$38 per person. Room-Service was prompt and expensive (but that is expected-- expect to add to your order: service charge, taxes, gratiuty, and delivery charge). I didn't order anything spectacular from both dining outlets in the hotel, just french toast and eggs and breakfast meats. If you want to eat in your room and want to bypass the service charges that accompany ordering room-service, go downstairs and order at the restaurant &quot;to-go.&quot; The breakfast credit was around or close to $100USD with a breakfast package. 57/57 Bar was very energetic when I went around 10 o'clock on a Saturday night. Even as hotel guests, we had to wait 10-15 minutes to be seated. I just went to the bar and ordered a drink and took it back to my room. A Long Island Iced Tea sets you back $17.Housekeeping did an amazing job cleaning the room during the day. I declined turn-down service but I imagine it is up to par. When I did request some items (tolietries) from housekeeping it sometimes took in excess of two or three calls to have my request fulfilled.My biggest qualm with this hotel is their Concierge. Before my stay, I like to make contact with the Concierge to see what they recommend and most of the times I reach them, I am put on extended hold times (probably due to being inundated with guests at the hotel). There are usually four or five Concierges working at a given time during the day. Everytime I called during the day (New York time), I was asked to hold. This happened on several occasions when I called from my hotel room (holding). In some cases I would just call the Front Desk and have them relay a message for me (which worked quite well). Your best bet to reach a Concierge and have their undivded attention is probably later at night (9 o'clock PM EST). They work late I remember being up around midnight and the Concierge was still answering phone calls-- a plus. When you talk to them, they are generally helpful and very nice. All of my requests were meet and processed efficiently. P.S. A bag of M&amp;Ms that you can get for $.65-.85 costs $5.00 at this hotel in the mini-bar. I purposely ate one bag and replaced it with a store bought one just for fun. The hotel has a $400,000+ Maybach that it uses to transport guests around town (limited radius) that you should check out, or better yet, use.	
May 8 2006	A great hotel	This Hotel is always going to be a safe bet if you can afford it! It met our expectations in every way, especially the service levels; the staff have an excellent professional and friendly attitude without any stuffiness which you find sometimes in expensive places. The breakfasts are fabulous and it is well worth booking for breakfast on an inclusive basis otherwise it'll set you back $100 for two. Avoid room service - $32 for two cups of tea and even worse for liquor which you have to buy by the litre at $180. The Spa treatments we ghad were good though the environment is only average. The location is unbeatable for being central to the main shopping area and Central Park.	
May 1 2006	Wow!	Nothing more to say than if you can afford it - stay here! It's an incredible experience. And don't miss breakfast, lunch or dinner at the 57 restaurant - everything you ever dreamed of in high-dining experience. Can't wait to go back.	
Apr 23 2006 	Service just a bit off	My husband was booked into the Four Seasons for a business meeting, and decided to bring me along and extend the stay in celebration of our anniversary. When we checked in the front desk was aware that part of the expense would go to the company business coordinator, and part would be charged to us. We were shown to our rooms, and welcomed the brief introduction to the room. (One neat feature was that the curtains opened and closed on a switch, which other people didn't find on their own.) The rooms are stark and modern, devoid of decoration. The bed, chairs and sofa were very comfortable. It was great to have a fax in the room; I believe it was a copier as well. The bathroom was lovely, although a second sink would have been nice. The tub was wonderful, and filled in 1 minute! We were pleased with the fitness room; there was a comprehensive amount of equipment, towels and headsets ready on each item, and drinks to keep hydrated. The restaurant was under renovation, but there was service in the lobby restaurant. We opted to have only one breakfast there; as others have noted it was quite overpriced despite the service, and nothing that special. Perhaps other meals are better. The lobby bar was busy, and we didn't really appreciate being seated at a coffee table with 4 strangers on our anniversary. My husband had a suit pressed (nicely done and quick service). The concierge desk was quick and helpful. The doormen were excellent, friendly and funny. The part that took away from our stay was the last 18 hours. At about 5:30 on the last evening, the bell rang. I'd just stepped out of the shower and hadn't put on the privacy light as I was afraid I'd lock out my husband who was jogging. I opened the door because I saw the housekeeper with my husband right behind her. We told her we'd be leaving in 1/2 hour, and asked if she'd come back. She asked if we'd like anything, and we asked for ice, which she left. She asked if there was anything else, and we said no. I guess she took that as &quot;no need to come back&quot;. When we arrived back late that night, she hadn't returned, so there was no turndown or dry towels. The next morning, we were scheduled to check out. We started to pack, then went down for breakfast. While we were gone, housekeeping came in. They got rid of the soap by the sink, and replaced it with a new wrapped soap. They'd replaced all the towels and placed new shampoo and conditioner in the shower, and put the sticker on the toilet roll. It felt like they were getting ready for the next guests before we were gone. We had to wonder when we washed our hands if the hand towels would be changed before then. Then, when we got to the desk, despite the instructions to split the bill, it hadn't been done. All charges had been put on the company card. The woman at the desk really didn't want to split out the charges; she said it would be extremely difficult. When we asked if she'd put the charges onto our card, she said that would be even more difficult, and that the bill had actually already been sent to our business group coordinator. We're now facing the time consuming task of sorting this out on our own; it shouldn't have happened. We did have a lovely stay, but felt that they didn't quite live up to their reputation.	
Apr 12 2006	Worth every penny-all nine bazillion of them	Our family of four stayed at the Four Seasons in New York this past March, and it completely lived up to our super-high expectations. Deluxe rooms: We had booked two deluxe adjoining rooms for a family rate (2nd room at half-price). Each room consisted of a large bedroom with a sitting area, and a gorgeous, huge bathroom. Our two rooms were parallel to each other, so if we were in one room, our kids would not be able to see or hear us in the other room even with the doors open - while that might sound great to the parents out there, we knew our little boy would be really scared. However, I would definitely recommend the deluxe rooms for any couples or solo travellers.Front desk: The front desk was absolutely wonderful about showing us a suite immediately, and that was what we upgraded to. Yes, it was twice the cost, but our son was a lot more comfortable because it was pretty much an enormous apartment.The suite: It was probably about 1800 square feet, with two bedrooms, two and a half bathrooms, a living room and dining area, a large walk-in closet and views in three directions. The decor was clean and modern, without being intimidating or stuffy. The views: I knew I was a little afraid of heights, but I was seriously dizzy for the first 24 hours in the suite. And, I was freaking out because we were paying a lot of money and all I could think of was the possibility of the building falling over. But, just as one of the employees assured me, I got used to it and actually could enjoy the view by the end of our stay. We could easily see the Hudson River, the East River, the Chrysler Building and the Empire State Building. We had a small glimpse of Central Park. Our views really looked like something from a postcard of NYC.The beds: Perfect. Sheets, blankets, comfort - perfect.Service: Perfect. I swear that each employee we encountered went out of their way to say hello and make us feel extremely welcome. The doormen were especially wonderful and helpful.The lobby: Breathtaking. Room service: OK, this is really the only complaint I have. We ordered dinner one night, and several of the food items were incomplete or wrong. Several of the dishes were lukewarm. The overall quality of the food was really just average - almost like average diner food. Concierge: Thoroughly professional, friendly and helpful. Within about a minute of asking for a local restaurant recommendation, we had printed directions in our hands as well as the suggestion, &quot;And may we call them to let them know you will be arriving soon?&quot;Location: I felt completely comfortable walking around this area with our children. Overall: I would bring our family back in a heartbeat, even with the shock-inducing rates - as soon as we can afford another visit!	
Apr 10 2006	Four Seasons Triumphs!	Once again Four Season triumphs. We had an executive room, plenty big enough, with a fabulous bathroom and walk in shower. Beds great cleanliness superb. Service however is always a trade mark of the Four Seasons. Let me give you an example. My thirteen year old son collects old car number plates from most countries we visit. He was having trouble finding one in New York despite Stephen, one of the concierges, trying to find one for him.The day before we left Stephen had still not located one, but had gone to the trouble of bringing in one of his old number plates from home as a gift, refusing any payment! Other hotels read and weep!! We were also chauffered around in a brand new Rolls Royce Phantom(and a Maybach) as their courtesy car for short trips. Great rooms (the hotel has undegone a major refurbisment in the last two years)great location, great staff, and service out of this world, what more could you want!	
Apr 9 2006 	Perfect Views	We had a wondeful time here. Stayed in room 4410, with perfect views of the city and Central Park. Make sure you get a view of the Park. Bath tub was great and the bed was as advertised. My only critique is that they should have wireless Internet access. Will definitely return.	
Mar 6 2006	Best Hotel in New York	This was our second stay at the Four Seasons New York and it is by far the best hotel in Manhattan. We love the location, service and rooms. The service from the front desk to the restaurant were spectacular. Not a detail overlooked! We had a park view executive suite which was very spacious and comfortable. We love the plasma tv in the bathroom! We have been fortunate enough to stay at numerous luxury hotels in New York including the Ritz Central Park (HORRIBLE!)and the Mandarin Oriental but none come close to the pampering and luxury at the Four Seasons!	
Feb 26 2006	Use the hotel maybach	My wife stays here all the time on business but this was my first. When we checked in for a romantic weekend in August, everyone was out in the hamptons. empty. it was great! they upgraded us to a tower room on the 36th floor, nice views of central park. I think we had a rack rate of 575. We would walk through the park every morning and have our tea. I am not a city type, but she loved it. Mostly formal attire walking through the lobby. But no one batted an eye at my shorts and flip flops.I hate trying to sleep in manhattan because of the noise but managed very well on this high floor. We had stayed at the hotel gansevoort for a week in april. those rooms are small &quot;hipster-boutique&quot; style. very loud in the meat packing district. FS much bigger, quieter. Also, there are a ton of wifi hot spots at this location if you have a wifi card. On checkout, we went to hail a cab but the doorman wouldn't hear of it. He put us into the hotel Mayback gratis. We never wanted to get out of that car. It only seats 2 back there. Someone told me these Maybach limos cost 350,000$. Tipped the driver 20$. Best deal in NYC.	
Feb 12 2006	Lived up to expectations	My husband and I recently stayed at this hotel for a long weekend break. We had high expectations (but some concerns having read postings on this site). We had a thoroughly enjoyable stay. We were upgraded on arrival and found our room to be comfortable and spacious. The staff we encountered were polite and efficient, specifically the concierge who was marvellous. The restaurant bookings that were made on our behalf were excellent, and we received superb service as Four Seasons guests while dining. Having heard about the outrageous price of breakfast, we asked for a recommendation for a local diner and were directed to a fabulous place just a few minutes walk away. Two small disappointments - the main restaurant was closed for renovation and dinner in the alternative lounge bar was just average (but very expensive). On departure, we waited 15 minutes for the doorman to hail us a cab, and in the end had to do it ourselves when what were clearly 'regular' guests arrived and we were promptly and rudely forgotten.	
Jan 22 2006	Disapointed	Stayed at this property with my two dogs using a free night certificate I had received from Four Seasons. I live in NY, but needed to stay at a hotel one night after a terrible wind storm knocked out power to my home for four days. I had stayed at the hotel four months after it opened back in the late 90's and was truly impressed. However, this stay was a disapointment. The room decor is stark and cold. The carpeting both inside the room and in the hallways was stained. The bed felt a bit worn and not as comfy as I remembered it. The food at the hotel, particularly breakfast, is outrageously priced (about $80 to $100 for two, with tip and taxes). Worst of all, the service at the hotel is inconsistent. Reception staff were welcoming, but other staff were not as obliging. When I called housekeeping to inquire about why I had still not received the dog bowls I requested 20 minutes prior, there was no effort made to apologize or expedite the delivery even after I explained that I needed to leave the room for a restaurant reservation. There was only one doorman stationed at 57th Street to handle guest needs and I had to wait 45 minutes for my car! When I came across a maid who was doing turn-down service on our floor, I asked her to do our room while we were inside because once we left, we did not want staff to enter our room alone with the dogs present. She refused to do our turn down at that time, saying someone else was assigned to our room and would come later. I am an avid fan of Four Seasons hotels, but management does not seem to be on top of things here. Maybe I was spoiled, having just returned from the Four Seasons-George V in Paris five days before this.	
Dec 27 2005	Don't be afraid to bring the kids!!	My husband and I have stayed here twice and I can't say enough about how fabulous this hotel is. The first time was pre-baby, and we loved it then for the terrific service, the large, immaculate rooms, and terrific food. This time around, we brought our 16 month old daughter. She got the full Four Seasons royal treatment, with a special stuffed animal, washcloth and terry bath toy to keep, diapers, wipes, her own baby toiletries, a diaper champ, full sized crib with sheets, blanket and bumper, etc. (This was all in the room when we walked in.) I am sure that these reviews have already gone on and on about how gorgeous the hotel is, how attentive, courteous and helpful the staff is, and how they have thought of every detail in both the rooms (gotta love those marble bathrooms!) and the service, so I want to focus on how kid-friendly they are.We have been to a number of Four Seasons, and though they are among the nicest hotels in the world, I have never felt that my daughter was unwelcome. Still, I was a little nervous about New York, as it is a little less casual than some of the other locations.We ate in the 5757 Restaurant (which by the way has excellent food) twice - once for breakfast and once for dinner. At breakfast, my daughter was given crayons and a coloring book (not just a placemat), and her food came in Barbie dishes with toddler-sized silverware. The hostess brought her a small stuffed animal during our meal, and the server as well as the other staff in the restaurant all waved to her and generally were very attentive and kind.At dinner, two separate staff members brought her stuffed animals to keep (she really made out with the toys during our stay!). She threw a pacifier on the floor at one point, and a staff member ran over before we knew it, picked it up, sanitized it and returned it on a plate right away. The staff was willing to (and did) bring pretty much any dish we requested, both for our daughter and for us. At one point, my daughter saw a waiter walking by, and held out a piece of pasta toward him. He whipped out a silver tray and held it at her level and she put her pasta on it, and he disappeared to clean it off! That's how over the top they go to back up their claim that they are kid friendly! (Each time we called to get restaurant recommendations, they reminded us that their restuarants were kid friendly.) Even housekeeping paid attention to every detail - down to laying my daughter's stuffed animals in her crib with their heads on her pillow.Bottom line is, this hotel is great for anyone. Yes, it is expensive, but you get what you pay for. If you want amazing service, beautiful, large rooms, and terrific twice-daily housekeeping, stay here. And don't feel that you need to leave the kids at home!	
Dec 23 2005 	Loved the service.	This place is oustanding! The staffs are friendly; from the bellboy outside to the waiters inside the 57 restaurant are all respectfull and helpful.We stayed at 2803 and the room is so spacious, luxurious, and excellently provided. The view outside the windows are spectacular; from having a drink by the window to watching the golden sunrise in the morning is an experience I will never forget. I would love to be back again!	
Nov 18 2005	Top marks for design	The most striking thing about the Four Seasons is the beauty of its design. It's just incredibly classy for an American hotel: tasteful, elegant, stylish and imposing yet relaxing. The reception area is glorious and all the public areas feel a world away from the bustle of the New York streets. The rooms are huge, too. Light wood makes them feel spacious, but the sitting areas and classy bathrooms are achieved by devoting real space to them. Too many places in New York can feel like a rabbit-hutch, but there's no danger of that at the Four Seasons.So why one star short of perfection? Well, it's not quite stress-free as a place to stay. One day my room wasn't made up until almost 4pm; requests for things missing from the room (a corkscrew, a battery for the wireless keyboard) took a fair while to process; and the check-out procedure was complicated by the wrong charges being assigned to my account. They're comparatively minor things, but given the prices it's not too much to ask for them to be sorted out. Worth noting the maid said the delay in cleaning the room was caused by too much work for individual staff members.And beware some of the extra charges. The limo service from the airport is efficient, but it should be at $175. On planning the return trip to the airport, the concierge kind-of declined to come up with an alternative to the limo - even though a cab outside the hotel would have been a third of the price.It's still one of the very nicest places to stay in the city, and you'd have to be Mr Hyper-Pernickety not to enjoy it to a very signficant degree. But it could do just a little bit better if it wants to be one of the world's greatest hotels.	
Oct 30 2005	very average room at the 4seasons nyc	stayed on the 48th floor with a spectacular room, with some issues. the room is extremely average for a fourseasons. the decor was like a dorm room with very few amenities. the location is good, the lobby is beautiful. I would choose the ritz or st regis next time.	
Oct 9 2005	was it worth it?	not perfect but..... restaurant needed later hours for a friday night. and saturday was brunch til 2:00pm. we wanted lunch. room service was nice and a treat, however it was expensive- 17% gratuity, $6.00 room charge and an additional 13% tax. we loved our anniversary package, and being called by name was great. don't call down to the conceirge or you will be on hold for up to 20 minutes, it's better if you just show up. the house cars were a real convenience and they were free. we were driven in a royles royce and mercedes sedan. the spa was wonderful. i had the waterfall facial and it was superb, i was disappointed that some of the spa services were advertised but no longer available. overall- very expensive but worth it if it is your anniversary	
Oct 2 2005	A shame for such a price	Waitress from the bar were really bad.Plus the hotel is really average. In our room, it smells as if something die !!!!Not acceptable when you pay such an high price !!!	
Sep 30 2005	Perfection	There is something magical about the FS New York. From the moment you step into this hotel you relax completely due to the amazing staff, the fantastic guest rooms and impressive public areas. We stayed four nights in a deluxe room and enjoyed it fully. Awesome bathroom with great water pressure and great Bulgari toiletries.In most hotels there are small details that start annoying you after a while but this is not the case here. It's truly perfection in all details.The gym is quite well equipped but it could be improved.We were told that the restaurant Fiftyseven Fiftyseven will close completely for three months during the winter for remodelling. Definitely among the world's best hotels.	
Sep 5 2005	Excellent Stay at an Excellent Property!!!!	You will love the Four Seasons!!!!!!We just returned from our stay at the Four Seasons and we loved every minute of our stay. We stayed in a Deluxe Room and the room was very spacious and comfortable - everything you could want in your home away from home!!! King sized bed, separate changing area, seating area w/ desk and couch, marble bath w/ stall shower and separate bath. Flat screen TV (w/ swivel) in bed area, as well as a small flat screen in the bath. Aside from the wonderful accomodations, the staff was friendly and attentive to any requests. Room service was a treat, especially loved the breakfast - food was always delivered by the time stated and served at perfect serving temperature.We absolutely loved every minute of our stay and can't wait to go back!!!	
Jul 25 2005 	The best	Many people point to the Four Seasons, NY as the best hotel in the country and I can't really argue with them. I've stayed there a countless number of times and I have never found another hotel half as good as this. They do everything better than everyone. The rooms are magnificent, but fairly simple. Very luxorious, but not like the Ritz-Carleton where every room looks like the living room of a Bel-Air mansion. The bathrooms in every single room are to-die-for. I never want to leave the showers and the bathtubs are full in like 60 seconds.The beds are amazing and I even ordered their pillows for my bed at home.The staff is so unbelievably courteous and can help you with anything. I don't know what else to say. I've never once met anyone who does not like this hotel. It's as close to perfect as can be.	
Jul 12 2005	World Class and they charge for it.	We really enjoyed our stay after having spent a previous night at a nearby, so called, trendy hotel. The beautiful lobby of the Four Seasons and the huge flower arrangements makes you want to sit down and take it all in.Luxurious room on the 27th floor with a view of Central Park. Loved the bathroom and dressing area but could have used a second sink. The bedroom is nice but a little austere. Wonderfully comfortable king bed. Our weekend rate was around $575 which was better than the weekday $700 something. Don't think I'd bother to stay a week at those rates. Breakfast was excellent in the main dinning room but our lunch in the lobby lounge was way below average. Ask the Concierge about the Executive pass for the Empire State Building. (you get to skip all the lines)	
Jul 5 2005	Best Hotel in the USA...	Honestly, I dont even know where to begin when talking about the Four Seasons in New York. It is the finest, most luxurious, beautiful hotel I have ever stayed in. From the moment you walk into the towering hotel, the lobby almost takes your breath away. As we all know, Four Seasons Hotels pride themselves on pampering their clients. This hotel brings that to a whole new level. There wasnt a single person who didn't address me by my name including the chamber maids. Due to the hotel being less busy on the weekend we were given a luxurious upgrade to a suite on a high floor. The room was amazing, plasma screen tv's, DVD players, electronic switches to control the window shades. I really cannot say enough great things about this hotel, I have traveled all over the world and stayed at many fine hotels, but nothing comes close to the Four Seasons in New York.	
Jun 28 2005	Presidential Suite	My husband and I just got back from our weekend getaway trip to new york city. We stayed in the luxurious presidential suite 5101. We always always stay at the four seasons when we come to new york because of its great location. It is right in the heart of the action...high end shopping, great restaraunts and central park. However, this trip we decided to treat ourselves and stay at the newly designed presidentail suite. The second we walked in to our room we were amazed. The view from this suite was not to be believed. Every little detail of this room was amazing. I would highly recommend this suite to any guest looking to try something new at the four seasons or even just want to expirience new york at the highest degree.	
Jun 18 2005	Fabulous Hotel	What a fantastic hotel. Great location for Central Park and Fifth Avenue. Service standards excellent and room wonderful. We had a large double room overlooking the front of the hotel. Beautifully clean and great attention to detail. Bathroom wonderful. The claim the the baths fill in 60 seconds is true and the Bulgari products are a favourite. The gym and spa are on the lower ground floor are good. The bar on the main ground floor is a great experience, although the cost of gin and tonic is expensive. Great three day stay and will definitely be back.	
Feb 20 2005	Don't bother	I just returned from having lunch at the Lobby Bar at the Four Seasons. I was very disappointed in the very stark decor and small size of the public rooms. The service was very poor considering this is supposed to be a five star hotel. Lunch for three people, without alcohol, was $200. For this princely sum we received average service. I was with my 10 year old son and they didn't provide him with a place setting until I asked. They forget my husband's beverage and my dessert was so small it was annoying. There was also almost a 10 minute difference between when I got my dessert and when my son and husband were served their's . At the table next to us there was a full figured woman. I heard her order a club sandwich and the same lousy waitress we had told her it could be made in a low calorie version. The woman had not asked for that. I felt embarrassed for her. I have lived off and on in New York all my life and have eaten in almost every 5 star restaurant in town. This Four Seasons Hotel was substandard.	
