	I LOVE SOHO GRAND HOTEL!!! ;)	Hello there,I stayed at Soho Grand one time but it was a fantastic experience. The room was very noisy the first day so I asked to change the room and they gave me one at the 15th floor with great views. All staff was very nice and helpful so I left good tips ;) I am going back in January and have booked it again there.Relation quality - price: Excellent.	
Aug 26 2006	Mother-daughter trip	I took my teenage daughter to NYC for an &quot;end of the summer&quot; mother- daughter trip, and the Soho Grand was the perfect hotel. Not only is the staff professional and helpful, but the neighborhood was hip and active! We could have stayed &quot;uptown&quot; in a stuffy hotel......but really enjoyed the neighborhood, and spent very little time in the room! Which, by the way, was similar to an apt. that I had rented 20 years earlier in the village,but much more luxurious!My daughter was able to meet friends in the &quot;garden&quot;, and hang out in the lounge, instead of &quot;going out&quot;. We will definetly come back to the Soho Grand!	
Aug 21 2006	A wonderful hotel for a weekend getaway	My husband and I had the opportunity to celebrate our anniversay this past weekend with the Soho Grand's special Anniversary Package. We stayed only one night...but the experience was really great...thanks to the wonderful amenities provided by the hotel. Besides encountering a supremely gracious staff, we were bowled over by the bottle of Veuve Cliquot which was waiting for us in our room...along with the chocolate covered strawberries and rose petals at our bedside. What a nice way to start our stay! The hotel itself is beautiful...the epitomy of Soho chic...and the location can't be beat...if Soho is your favorite NY neighborhood...as it is mine. Alas...Soho has been overrun by way too many people during the day...but the hotel is a welcome respite from the hordes on the streets. Yes...the room was beautiful and comfortable...though too small...but isn't that the case with all chic NY boutique hotels? The full complimentary American breakfast was great All in all...a great hotel experience at a really fantastic price. It isn't often that you spend time in a hotel without thinking you are paying way too much money for your stay. As a seasoned business traveler, I would say that The Soho Grand ranks at the top of my hotel experiences.	
Aug 12 2006 	The Grand IS Grand	We have stayed at The Parker and a few Ws throughout Manhatten...From the second we gave our car to the valet at the Soho Grand, we knew it was going to be good. Everyone was very professional and friendly. They went out of their way to make sure our room was as requested.When we wanted to take the subway instead of cabs during rush hour, the concierge made sure we knew the exact trains and stops we needed. We see no reason to stay elsewhere in the future.	
Aug 9 2006 	Great hip hotel!	The Soho Grand provides great guest service! We were very impressed with it's location and unique amenities. The bed was absolutely dreamy and there were actual opening windows including one in the bathroom! We booked the 'Seduction in Soho' package. The champagne at check-in was fantastic, however the shopping discounts were not great and were available at stores that we had no interest in. All the other details of the package are true to the Internet advertisement and wonderful. I would book at the hotel Web site directly, in addition, be sure to sign up as a Grand Guest. I believe you have to sign up seperately if you plan to stay at it's sister hotel - Tribeca Grand.We will definitely stay there again!	
Aug 8 2006 	Grand Indeed	I recently stayed in Manhattan for four days on business. I am from there originally and am very picky about hotels. The neighborhood itself is fantastic - you can walk to everything and there are tons of restaurants, bars and shops nearby. The hotel itself is brilliant. You walk into a somewhat subdued lobby where only the concierge desk and elevators are located. The main lobby/bar/restaurant are technically on the 2nd floor so you are able to bypass all of the hubbub by slipping up to your room from the main floor elevators. The rooms are small (but what rooms aren't in NYC) but well-placed furnishings and comfortable ammenities abound. The flat-screen tvs with DVD players are a huge plus. The bathrooms are really a decent size, as is the closet (rare in NYC). The bed is extremely comfortable and most rooms have great views. I stayed on the 8th floor and had a lovely south-facing view. It's nice not to be facing an air shaft!I ate at the restaurant/bar and visited &quot;The Yard.&quot; All were highly enjoyable. The staff were also very friendly and accommodating. For the location, ammenities and service, I can't say enough great things about this hotel. I will definitely be back.	
Aug 7 2006	Loved the stay. Great room friendly staff.	Lovely stay. Nice check-in experience (towels &amp; champagne). Room was good size (was expecting a smaller room which is typical for boutique hotels). Staff very friendly. Compared to other hotels (eg 60 Thompson) the rates were preferable.	
Aug 6 2006	Fun in Soho	What's not to like about checking in and being rewarded with a chilled Champagne cocktail right at the desk? A pet goldfish in the room kept me company for the brief time I was awake and not roaming about the area. The Concierge gave great recommendations for casual lunch and breakfast in Soho. The room was much roomier than what I recall from my last visit (or maybe my expectations of New York hotel room sizes have gotten smaller), the linens were nice, and the staff was very friendly. I love the Soho Grand and they acted like they loved me, too. It was a pleasure to stay there and I'd happily go back again.	
Aug 4 2006	Very hip hotel	We stayed at the Soho Grand for a long weekend under the Seduction in Soho package - excellent value. This was booked on the hotel's web site - I could not find cheaper rates anywhere else.Our room was excellent and decor was what you would expect at a boutique hotel - trendy.All the staff were friendly and helpful - they even arranged for a limo to collect us from the airport. Contacting us by email before the trip to check if we have any special requests was a nice touch.We most certainly recommend the Soho Grand.	
Aug 2 2006 	What a cracking view	went to stay at the Soho Grand on the advice of a friend of mine, and boy was i pleased i did, what a great hotel, nice staff, easy to navigate the whole of manhattan from, lovely to walk around soho and greenwich. the hotel gave us a room looking uptown directly at the empire state building and the Chrysler building, i loved it, loved new york more than i thought i would, i think it was because of the hotel............recommend it to anyone....	
Jul 31 2006 	Great NYC hotel	Great service, they really go out of their way to accomodate guests. Smallish rooms, but typical for the NYC. The hotel is &quot;hip&quot;, but not too hip that they forget how to treat their guests. The perks were a welcome treat, and really good as a &quot;Grand Guest&quot;. I will certainly stay at the Soho Grand on my next visit to New York. Overall, a wonderful NYC hotel!	
Jul 31 2006	Don't believe the good reviews - STAY ANYWHERE BUT HERE	My wife ordered the &quot;Producers VIP weekend getaway&quot; which was heavily promoted by them. According to the package we were supposed to get tickets to the producers broadway show and stay at the Grand King room.In realty they made a mockery of us. Called us up after we arrived in NY to let us know that the tickets were sold out (so much for the &quot;VIP&quot;) and that we could go to another available show (which was complete garbage). When we explained that the only reason we came was for this show and asked that they refund our money (as per the terms of their offer) they refused.They ruined our weekend, cost us money, and now we have to deal with doing a chargeback to get our money. Several calls to the hotel showed us that there is 0 customer service there. Everyone is dodging bullets and hangs up to phone when there are problems. STAY AWAY FOR YOUR SAKE!	
Jul 26 2006	THe SoHo Grand is the best place to stay in NYC	Since January of this year I have stayed at the SoHo Grand 5 times and everytime has been incredible. I have traveled to NYC many years and have stayed at many different hotels, mainly in mid-town but I will never stay anywhere else from now on. The service is excellent in every area of the hotel. The doormen are so friendly ( even remembering you from previous stays), the front desk is extremely professional yet personal. The rooms are so beautiful and comfortable. The view is incredible. THe concieres are absolutely the very best. Every restaurant they have recommended has been excellent, ones that I go back to again. If you need show tickets, they can get them. They really help with anything you need. I have traveled extensively and I can truly say that this is my favorite hotel. I will not stay anywhere else in NYC and tell all my friends about it. The SoHO Grand knows what customer service is all about and everyone of their employees buys into it. You can tell when a place is managed well by the pride that their employees display and every employee in that hotel is proud of their job and works very hard to make every aspect of your stay perfect.	
Jul 26 2006 	SoHo Grand -City chic	We have stayed at the SoHo for our anniversary for the past four years. This year we booked the Anniversary weekend package which was a great deal- champagne, chocolate dipped strawberries, free breakfast, rose petals- all at a better price than a regular weekend reservation. The staff here is always courteous, the rooms small but adequate, and the bar/lounge area is one of the nicest I have seen in the city. It is a contemporary styled oasis in the most exciting section of New York- great restaurants and unbeatable shopping	
Jul 25 2006 	Great Location and Friendly Staff	Hotel offers excellent location for exploring the SoHo, Tribeca, Greenwich Village neighborhoods. All the staff I interacted with were friendly and helpful--the doormen always gave a warm hello, Carrie the concierge recommended wonderful day spas, the front desk attendant kindly allowed me an early check in. Internet access available free in the Business Center. As a member of the Grand Guest program I received free continental breakfast delivered to my room each morning and a complimentary snack my first evening. There is a also a handy machine on each floor with complimentary hot beverages. In a town like New York, the extra value offered at this hotel is a definite plus. I also booked the Birthday package, though it was not my birthday, and received yummy cupcakes, a wonderful giftset of shampoo and conditioner and a compilation CD. I booked a King Deluxe room. Not exactly sure what made it a Deluxe room, however I have no complains. The bed was amazingly comfortable which is the most important thing to me. The two day spas I visited were Euphoria in Tribeca and Banyon Citispa on W. Broadway. I highly recommend both. On West Broadway just up the street from the hotel check out Satellite Paris for amazing jewelry and relatively affordable prices. It's the company's only store in the US. Restaurants I visited on this trip were Nobu in Tribecca for lunch. Got there at 11:45 when it opened and the place was mobbed already, the Risotteria in Greenwich Village which besides offering an awesome selection of risotto, pizza &amp; panni, specializes in gluten-free dishes, and Salt on MacDougal which was also wonderful. All in all, a great weekend, can't wait to go back!	
Jul 24 2006 	Not Good – Stay Somewhere Else.	Hello,Actually no I did not have a good stay and checked out the next morning. Here is a list of all the things that went wrong:1.The bathroom on the lobby floor was in such a bad state that I didn’t go to the bathroom. I brought it to the attention of the brunette at the front desk and she didn’t seem to care. 2.My room smelt a little moldy.3.The bathroom in the room definitely needs updating: tub, sink, and shower dated back at least 20 years. 4.The room was very small even for NY standards. 5.I booked three rooms for our company meeting and they charged all three rooms to one of our employees for the entire expected trip of 4 days. Poor guy couldn’t use his CC. 6.One of our employees came in 2 days early and since I booked the rooms they wouldn’t let him check in. I had put in the notes area that this room was for him, but they failed to acknowledge that. He had to track me down between flight and get me to call the hotel. 7.The front desk staff is not helpful at all in any way shape or form. 8.On the day we checkout Jessica Simpson was leaving the hotel and I gave my baggage tickets to a bellman and he lost them and it took me over an hour to get my bags back. “Can’t imagine what Jessica Simpson sees in that hotel”9.The hotel isn’t located in a very nice area of soho, you have to walk a few blocks away to get to the nicer shopping area of Soho. 10.Gee my list can go on and on but I’ll stop here.Thanks, Camie	
Jul 17 2006	the Soho Grand is fabulous!	We spent one night there for a 50th birthday celebration in NYC. The room was spacious, and confortable with a large window overlooking Soho. Amenities were great, flat screen TV, DVD &amp; BOSE CD/Alarm clock, outside garden &amp; lounge area. The staff was professional and attentive to your needs. The birthday celebration package included champagne at check-in, early check-in and late departure, complimentary drinks and appetizers in the lounge, a music CD and special gift in the room, all for the same price as the regular room. A must stay, we will definitely go back again.	
Jul 17 2006	Soho Grand...great spot will return	Hotel was easliy accessible and had a friendly staff to assist from the minute you arrived. Hotel is decorated in a very industrial look, very cool. Room was clean and comfortable. easy walk to little italy, greenwich village and china town.	
Jul 12 2006 	Great place	Upon arrival, the doorman was very helpful and friendly. In fact, all the people employed there were courteous, knowledgable and professional. The decor is very trendy and attractive. The public areas of the hotel kinda reminded me of being in the middle of a stage or movie set. Visitors tended to be young, urban and stylish. Very eclectic and interesting atmosphere. I would definitely stay there again on future visits.	
Jul 11 2006	never again!	j haven't had a stay this unpleasant in a long time! i am a demanding customer, but these guys are just amateurs! this is gonna be a very short review because i have no words to describe all the wrong things in this hotel. the service is just horrible! everything from laundry to guest relations is just not functioning. never going to stay here again	
Jul 11 2006	Expensive Dirty Bathrooms	We stayed one night at the SoHo Grand. The area is amazing and perfect for those restaurant and shopping savvy guests. However, the rooms at the hotel were not quite as pleasurable. The bathrooms were modest and also very dirty with hair and soap remnants from the previous guests. The shampoo, conditioner and body lotion samples were only half filled which gave the appearance that they were reusing those that were left by previous guests. The staff was polite but not overly friendly. Would choose another hotel in the SoHo location but wouldn't stay at the Grand again.	
Jul 10 2006	A great hotel	The best hotel in the world to travel with your dog. The bar/lounge is the best in the city,and you may sit there with your dog too. And the doormen are marvelous.	
Jul 10 2006	Soho Grand is indeed Grand	This was not our first stay at the Soho Grand, but it was among the best. We took adventage of the 'Anniversary' special, and it was just fabulous. From the moment we approached the front desk to check in, where we were offered a glass of champagne, the staff was uniformly friendly and professional. New York in July can be a bit steamy, and a refreshing cold towel was offered at check in as well. Our impeccably clean room was adequate in size, perhaps a bit smallish, but fine for two. There was a bottle of Veuve Cliquot champagne on ice, chocolate covered strawberries, a candle, and a long stemmed rose waiting for us in the room, a perfect complement to our romantic weekend. The king size bed had some of the finest linens I have ever seen, soft, smooth, and ultra luxurious. The towels and bathrobes were Frette, ditto the soft and luxurious. When I had occassion to call the front, they greeted me by name, and there was a personalized note from the General Manager on the table in the room; they really try to make you feel like an valued client, and it is a nice change from most other hotels! The room also featured a large screen flat-panel TV, a Bose CD player (with a small but hip CD collection to choose from), and high-end soaps and shampoo. Location is great, walk to shops, galleries, and some of the best restaurants in the world. The package also includes a full American breakfast in bed...	
Jul 6 2006	Soho was impeccable	My stay this time was four nights and 5 days. The experience was magnificent!From the Doormen who took me in and escorted me out, to the housekeeping dept that I never once saw during my stay but my room was spotless every day, to the service in the bar and restaurant, it was all fit for a Queen!!Even my last day when I went to eat my last meal which I wanted to have breakfast, it was past the time and into lunch. The host saw my disapointment and accomodated me with a breakfast menu, this is just to mention one little accomodation out of many I received during my stay.I want to thank all of you for making my trip to NY so enjoyable!	
Jul 6 2006	Outstanding	I stayed at the Soho Grand Hotel in NYC from July 2nd through July 4th 2006 and it was one of the best hotel experiences I have ever had. The hotel was immaculate from the lobby to the lounge to the guest rooms. Service was incredible and catered to any needs. I would highly recommend this hotel and would stay there again.	
Jul 5 2006	A Grand stay in Soho	Just spent another night at the Soho Grand and have had several stays of 2 or 3 nights since 2001. This is a great hotel, with great service in a great location. The rooms are fairly small, as most NYC hotels are, but the space is utilized well so they do not seem claustrophobic like rooms at The Hudson, Paramount and countless others. It pays to join their grand guest program on their website as you get great rates (especially at their slower times) and perks like free bottle water, fruit and cheese on your arrival.There is plenty to do in this great neighborhood with everything in walking distance (unless of course you are heading to broadway!).	
Jul 5 2006	Service some of the best I've had...anywhere	Having already stayed at a couple ofl other New York properties and eaten at various high quality restaurants, I assumed that nonchalent service was just something you'd have to put up with in New York. However, at the Soho Grand I was greeted warmly, provided an excellent room with a view of the New York skyline and spoken to in a friendly courteous manner by every member of staff I encountered. A few drinks in the hotel bar were an enjoyable way to end the evening. Having stayed at 5 star hotels in other cities around the world, I can honestly say that this is up there service-wise with the others. Something I would not have anticipated after my other New York hotel experiences. And the rooms are pretty good too.By the way, I later stayed at the Westin Times Square. I would have stayed an additional night at Soho Grand, but the deadline for cancelling my Westin reservation was up. Although the Westin is a nice hotel facilities wise, the service was not. The check in guy couldn't find my reservation, then condecendingly asked me if I had the right hotel. I quoted my Starpoints number and it came up - no apology. No help with my bags, and when waiting for an elevator to my room with my bags, a porter with a trolley full of other bags moved quickly to make sure he got in the elevator before me (thereby filling it up) so I had to wait for the next car. Similar lack of service quality was experienced at check out and attempts to get a taxi. The only exception being the male concierge who was very helpful in advice on airport transport (hire cars etc).	
Jul 3 2006	Excellent!	Excellent hotel. Very service oriented. Even had a goldfish in the room for my husband with a note from me as I requested. Beats any hotel we've stayed at in NYC. Would absolutely recommend and stay there again!	
Jun 28 2006	SoHo Grand is one of our favorites in NY	SoHo Grand is top notch. As native New Yorkers who now live elsewhere, we travel to NYC frequently for family obligations. We always stay at SoHo Grand. Service is wonderful, rooms are nice size, location is terrific!! Great vibe to it as well. Highly recommended!!	
Jun 28 2006	First Class Service!	To stay at the Soho Grand is to be treated like royalty. The staff is attentive, polite and accomodating in every way. Any time I called for something it was delivered within minutes and everyone is courteous and helpful.The decor is grand (as the name suggests) and the rooms are cozy with Bose stereo alarm CD radios and flat screen TVs. They even have a DVD/CD player with a selection of CDs you can try out and purchase. You can borrow a bike to ride, an iPod to listen to, and even have a goldfish if you get lonely (all inlcuded in the room price)!As they welcome pets, I was able to bring my dog into the lobby when I checked in and out, I could order dog food and treats, even a bed if I needed one, and they had water for him outside the hotel in the &quot;dog bar&quot;. Highly recommended.	
Jun 25 2006	SoHo Grand Perfection	I wish my stay at the SoHo Grand could've been longer. The hotel is very unique and very hip. The interior is like nothing I had ever seen before. Everything about my room was perfect - bed, size, bathroom and comfort. The concierge knew a lot of NYC and was able to give me some great suggestions for restaurants and shops. The restaurant/bar had great food and the DJ played a great selection of music - Ramones, Blondie, techno, dance. And right out my front door were all the great shops of SoHo and the Village. I will never stay anywhere else when I visit NYC.	
Jun 16 2006	Fabulous stay at the Soho Grand	We booked a package deal through the Soho Grand site about one week before we were scheduled to be in New York. The package deal was aobut the cost of a basic room, but with some extras-- including a room upgrade to a corner King (we had an amazing view of the Hudson on one side and to the south/east on the other), breakfast each morning, and a late check-in and out. There were flowers in our room (and chocolates), and some fun bath confetti (it was a &quot;romantic&quot; package theme). The bed, including the linens and the pillows, was pure luxury. I have never stayed at a hotel where the bed was more comfortable than my own. The bathroom and room size, while not huge, were both spacious for NYC standards and well-designed. The breakfast each morning was perfect, with fabulous coffee, delicious pastries, eggs, and fresh fruit flecked with bits of fresh mint. That and the NYT outside the door (even on Sunday) was the best way to start our day. It was so much so that we didn't leave the room until the early afternoon.The staff were extremely nice and friendly, without being intrusive. The public spaces of the hotel were lovely and uncluttered, and we especially enjoyed all the people who brought their pets. It's obviously a very pet-friendly hotel.The location is spectacular-- lots of do and see in the immediate neighborhood, and just a few blocks away from several different subway stations. We loved the Soho Grand -- we don't routinely spend that much on a hotel when we stay in the city, but it was worth every penny.	
Jun 12 2006	Service With Style!	I am a woman with the most complicated taste... and I was pleased with the Soho Grand's style and amenities. The rooms are terribly small, but the service was spectacular, the food (especially the Mac &amp; Cheese) fantastic, and the toiletries unparalled (So good, in fact, I walked for an hour to find the tiny shop that makes them... so that I could spend $160.00 on a bottle of lotion). Although this hotel didn't have the giant gym, the oppulent spa... the staff made it feel as though any wish was thier demand. I would recommed this hotel to my most high maintenance friends...	
Jun 12 2006	The Soho Grand is grand!	I used to live in NYC, but since relocating to the eastern end of Long Island, my husband and I still like to spend the occasional weekend in Manhattan. This has become somewhat challenging since the birth of our son, who is now almost a year old. Most hotels, as you know, will take every opportunity to charge you for anything, and we've become accustomed to this, especially when we need a crib in the room (this averages about $40 per stay, in our experience). I am delighted to report that not only does the Soho Grand have a complimentary program for people with babies, which includes a crib and baby toiletries, everything else was wonderful as well. We joined the Grand Guest program, which gives you 10% off your room and a welcome ammenity. We choose the fruit and cheese basket, which was a lovely and ample treat. We also booked the Seduction in Soho package (there are many other packages available), which included 2 cocktails (at $12-18 a cocktail, this was quite a nice surprise), late checkout, early check-in, chocolates, glasses of champagne, and a full American breakfast for two. Freebies are often subpar, but not here. Our breakfast was delicious - the eggs were fluffy and the scones buttery. The staff were accomodating without being fawning, and were very helpful from the get-go. A doorman pointed out a free parking spot on the block, though he could've easily hawked the hotel's $45 parking. Our baby spit up on the sheets in the middle of the night, and someone cheerfully came and changed the sheets for us. When I didn't have change for a room service tip, the server was very gracious and said that these things happen and told me not to worry about it. Of course, that made me want to hunt him down and tip him even more once I got change, which we did! I have nothing bad to say about this hotel and wholeheartedly recommend it. It's in a great location, the rooms are a decent size, and the perks are endless. It's our official hotel in the city now - can't think of higher praise than that!	
Jun 8 2006	a very mixed experience at the Soho Grand	The greatest assets of this hotel are its location and its style. I had had a mixed experience on a previous stay but because I needed to stay in the area again, I decided to give the Soho Grand another try. Upon arrival I had prompt, friendly service at the front desk. It then took over 45 minutes of waiting and a phone call on my part to get my luggage brought up.On the positive side, my room was very clean, well soundproofed, and offered a stunning view of Manhattan. Housekeeping service was good and responsive to my needs.On a less positive note, some of the furnishings are in poor, shabby condition and there is clearly no thorough checking of rooms prior to their occupancy. On a previous stay I had a defective TV set. This time, the TV set was fine but the floor lamp did not work, as its light switch was very visibly broken. It was replaced to my satisfaction.The in-room telephone was also defective. Every single attempt to call either guest services or room service would result in interrupted connections -- that is, when I managed to get a dial tone. I requested that my in-room phone be checked and replaced if need be. I don't know whether it was. If so, the second phone also had problems. My last call, to request luggage pick-up as I was checking out, was cut off (as usual). On my second try, the staff member at the front desk told me that the line was not functioning well that morning. Since it had not functioned well for the past six days, I was sadly not surprised.By the way, that request to have my luggage picked up was not followed through. I had to call yet again twenty minutes later, at a time where the hotel did not appear to be particularly swamped with arriving or departing guests.The room service staff was prompt and courteous. However, not once in six mornings did the room service tray include a plate (never mind two) for us to eat, say, the pastries from the continental breakfast. I was disappointed by the room service menu. I found it, like the hotel itself, heavy on concept and light on satisfaction. The good-quality deli across the street from the hotel became, by default, my daily source for more appealing options.The doormen were helpful, friendly, professional. But they didn't make up for the various annoyances that popped up during the stay and that pointed to a lack of true attention to detail. For this very steep price, a stylish hotel should not neglect basic good service to the degree that the Soho Grand does.	
Jun 8 2006	Polite efficient helpful	Pleasant room with a nice view Uptown. Everyone I dealt with was polite without being too formal and very helpful. Managed to get me a table at the Gramercy Tavern on very short notice. I'll go back.PH	
Jun 5 2006	Fabulous hotel the epitome of NYC	I arrived very late after a delayed flight from London for my stay at the Soho Grand Hotel and everyone from the doorman to the reception was very friendly. The bar is open late with a funky laid back yet sophisticated atmosphere. Great location, went for a morning run along the river and central to numerous places to eat and shop. Good size rooms as well. I would recommend.KimmberlyLondon, England	
Jun 4 2006	great location	We love staying here. This was our forth visit. The location is great near shopping and restaurants and we always get good service. We like the modern decor.	
Jun 4 2006	Loved every thing about it !!!	We are a 39 and 42 year old couple who just came back from 3 nights at the Soho and absolutely LOVED IT!!! First of all it is important to take everything into perspective. We are talking about New York City. Rooms are expensive and small, and a view is usually non-existant. So, for me personally, what makes a good hotel is the rooms, comfortable beds and living space, friendly staff, great location, and good amenities. The Soho Grand has all those things.The rooms are average small but definately comfortable. The way the furnishings are placed definately makes the room appear and feel larger than it is. Beds were extremely comfortable with down pillows and fluffy duvets, plasma TV;'s are a nice touch, bathroom was also small but very well laid out. The rooms felt new and fresh to me. Good airconditioning and the window also opened if you prefered. Only had a pedestal sink but there was also a shelf and table in the bathroom to allow you to lay out your things comfortably while you get ready. Showers were marvelous - great pressure and nice and hot. Tons of towels. Yes it is true that there isn't a coffee maker in your room (although the in-room bar is very nicely stocked with a nice assortment of drinks and goodies) but there is a marvelous machine on every floor that made good coffee, hot chocolate, water for tea, etc. I was very comfortable strolling over in my PJ's or robe - never saw anyone anyways (regadless of where you room is, couldn't be more than 30 steps or less). Complimentary continental breakfast was a nice touch each morning - fantastic pastries and coissants. Hotel amenities were perfect for us. Fantastic lounge and restaurant. Very cool and chic - a bit on the expensive side, but the quality is good.Service was fantastic - from the front desk, to the conscierge, to the cleaning staff (turndown service was very nice also), to room service....everything was quick and everyone was extremely polite.The location was superb!!!! We had had enough of uptown and midtown, so this time we decided to stay in soho so we could spend our limited time in the great neighbourhoods of soho, grenwich, etc. This hotel is in the BEST location!!!! Right on West Broadway. Within 50 steps you have amazing restaurants and shops at your disposal. Oh yeah, forgot to mention - taxi fares from Laguardia airport to hotel were also a nice surprise. To the hotel was only $24.00 and from hotel back to airport was $33.00 (we got stuck in traffic) - much less than the other fares that I have been reading. Taxi fares uptown to Rockefeller Centre/Saks/Lord and Taylor/5th Avenue Shopping approximately $10.00.We definately recommend this hotel to anyone looking for a boutique style experience in a hip, cool and relaxed area of soho and greenwich area. We definately would and are going to come back again. In fact we wouldn't stay anywhere else anymore.Go and enjoy!	
Jun 3 2006	Soho Grand is all around excellent!	We go to NYC several times throughout the year..whenever we stay overnight we stay at the SOHO grand. The grand is sheek &amp; sophisticated...From the pretty staff,l to the room ,to all the added touches they offer....my favorite is the fish! ( if you are not bringing your own pet- which is allowed, they offer to supply you w/ a &quot;pet goldfish&quot; to keep you company during your stay- he is generally in your room upon arrival)....the location is great for walking ...lots of shopping, restaurants, &amp; galleries-perfect for those artsie types....into town...a $20(ish) cab ride..the price is not cheap, but they do sometimes offer fun packages &amp; off peak season it is definitley a good buy! As fussy as someone like myself is, I can't say anything bad- even if a mistake is made, ( hey we're all human!), their recovery is more than satisfactory! hope you to enjoy.	
May 31 2006	Not so grand	For the price and reputation, the Soho Grand did not meet my expectations. I stayed here in May 2006 as part of a wedding party and was fairly disappointed with the service. The reception staff was stuffy and unaccomodating. Even though I called ahead one day before and that morning, I was unable to check in one minute before the offical 3:00pm check in. When I requested extra towels, I did not receive them for 2 hours when the room was made up. The room was small, typical for NY, and the bed was comfortable. While the hotel was clean and modern and the location was great, I felt that the hotel was overly pretentious and ordinary for it's service level and price.	
May 30 2006	Enjoyed staying at the SoHo Grand Hotel in NYC	Although I only stayed overnight at the SoHo Grand Hotel my experience was above average. The bed and room was comfortable. Basics like coffee, tea, hot chocolate were compimentary, available at all hours of the day and night. Service was immediate. I met a friend there, coming from New Jersey. The hotel staff coordinated our arrival without any issues. All staff were polite, friendly and accomodating! The service had a very personal feeling.	
May 30 2006	Excellent B-Day Package	I took my husband to NYC for a whirlwind tour, starting with our stay at the Soho Grand. Booked the B-day package (Cupcakes, champagne toast, free gift, early check-in/late check-out, etc.) Overall we were very happy and would certainly visit again. I must admit I was a bit nervous about my choice after reading Fodor's 2006 (old and tired decor) and some of the 1 star reviews on Trip Advisor, but we found nothing of the sort to be true.The staff was nothing but gratious. We had 1 snafu (No champagne toast as promised upon arrival - we had to ask twice, but very apologetic and friendly about the situation).The room was great - contemporary, view of uptown as requested, etc. Loved the cd selection for the Bose radio and the flat screen TV. B-Day cupcakes were the best I have ever had (And I am not a cake person).We loved the location of the hotel - minutes by foot to all the cool shops/restauarnts etc in SoHo. The Grand Bar was great - good drinks, great apps (didn't have a full dinner), and great music. It was a happening scene, but not a &quot;SCENE&quot;, so we felt very comfortable.We tend to be pretty picky (will never stay at another &quot;W Hotel&quot;)- and we both thought this hotel was great.	
May 26 2006 	bad for a 5-star hotel	I had issue with my card keys every day and had to go down on a slow elevator to the reception all the time. Sometimes the hotel staff happened to be there and they helped me. (they were actually nice) But the reception was usually shorthanded and I had to wait for a while...it made me feel miserable at the end of the day, when i was looking for a relaxed bath!The room was not throughly cleaned, and in fact I found more than one grass particles on the floor, fortunately before I inujured myself. Amenities were not replenished until I leave a note to ask for.. (I tipped! fyi)Coffee maker is not in the room, while there was a big coffee machine outside along with ice maker. Many people went there in their bathrobe.. so did I..even though I once was taught not to go out of the room in such an attire :p Afterall it was a five-star hotel, so you can expect comfort to certain extent, but I thought I could expect more! (my rating is based on my expectation for the hotel of that grade, just let you know.)	
May 23 2006	Loved the Soho Grand	I love being spontaneous and the unexpected, hence I love visiting NY. I also like something to ground me. The Soho Grand is what I use for that. I always make sure I stay there.	
May 16 2006	SoHo Grand Top Notch Service	Just returned from a weekend at the SoHo Grand. My second stay there and the service continues to be first rate. Each and every staff member we encountered was warm, friendly and helpful. The rooms are no larger than the average NYC hotel, but they are well appointed and what the rooms lack in size the hotel makes up for in amenities, service and location. Besides, what are you doing in your room when you can walk out the front door and enjoy SoHo?	
May 15 2006	loved the soho grand	we loved the area, great location in soho. the rooms are small but comfortable, great amenities. we were on the 14th floor. pretty quiet. we really enjoyed our stay. the architecture of the hotel is very cool.i would recommend this hotel	
May 8 2006	Soho Grand is GRAND!	We chose the Soho Grand because it is in an area we love, and because it welcomes our pet dogs with open arms and doggie treats. As an added bonus, the rooms are extremely comfortable, the service is impeccable, and they give very good discounts to their returning guests. I would highly recommend the Soho Grand for anyone visiting New York.	
May 8 2006	Grand Hospitality	As a relocated native New Yorker, it was a delight to visit my home town and stay at the SoHo Grand. Every member of the staff from managers to housekeeping couldn't have been nicer. The atmosphere is one of downtown sophistication, the service is like being at a family estate.	
May 7 2006 	our goldfish had great views	Dear Ian,We love the Soho Grand........thank you so much for your consideration.There were a few times we had to get new keycards because the ones we had failed. This meant a trek back down to reception. Luckily my wife and I were born with fortified bowels.Nevertheless, the only serious complaint was that we didn't recognise our goldfish after his water was changed.Thanks again,Paul &amp; Kai	
May 6 2006 	A great place to stay!	I liked this hotel so much that it is now at the top of my list of places to stay at in Manhattan. I was travelling for business and it was so refreshing to stay at a hotel that was not full of &quot;suits.&quot; Since it's located in Soho, the clientele is very young, hip, and artsy. The staff is very accomodating and efficient. My room had a terrific north view of the city and was very comfortable and cozy. It did not feel like a hotel room. Another plus of this hotel is that it allows pets. I highly recommend this as a place to stay.	
