	The Manhattan Club	I found this hotel to have very comfortable accomodations. Travelling with a family or group, it is ideal as a place to sleep and relax. The services were excellent, catering to just about every need and giving excellent suggestions, whether it be for dining or theatre or a museum. The location is perfect. Right between Times Square and Central Park and across the street from Carnegie Hall	
Nov 16 2007 	Great location...but	After being contacted almost weekly for months by the marketing department we decided to give it a try. We arrived early and our bags were Totally unimpressed with the suites and the price. When we indicated that we were not interested we were asked &quot;why did you come&quot;? Well you called us weekly for months and you offered Broadway tickets plus some was our answer. Clearly the &quot;top seller&quot; was not happy with us. Was actually somewhat rude after learning our decision. Anyway the perks were great. Got to see Phantom of the Opera, Central Park and everything else within walking and subway(first time to NYC) The room was small and rather drab. The elevators were dreadfully slow. Would not recommend unless a fantastic deal can be obtained. Location is great.	
Nov 14 2007 	liked the manhattan	I stayed at the hotel last week with my wife and 2 teenagers,the location is great its a short walk to times square, its beside central park ,the hotel was clean enough,the staff were friendly ,the only problem was that we booked a quad room (the biggest available)which we presume would have consisted of a double bed an 2 singles beds,what we got was a double bed and a sofa bed shoehorned into 1 room which made it a very crowded few days! Its a nice hotel if you go without children,but be wary of the phonecalls home,we were charged 250 dollars for 8 short calls to ireland .	
Oct 31 2007 	Good location but....!	We recently stayed at the Manhattan Club Hotel. Dislikes:The reception staff were not overly friendly. A genuine smile would help!The room was not adequate for 4 people, as it had only one double bed &amp; one double sofa bed to accommodate us. The extractor fan in the bathroom was not working &amp; when we phoned reception, we were told the fan wasn't working. No suggestion given as to when or if it would be fixed.The elevators were very slow and too small.Likes:Good location. Short walk from Central Park &amp; excellent diners.Bellboys (except for one) and the concierge were very friendly &amp; helpful.One of the chambermaids we met was very friendly &amp; had a genuine pleasant smile.The kitchenette was a bonus, with cutlery &amp; plates etc supplied.The beds, while inadequate, were comfortable &amp; the kitchenette, &amp; bathroom were spotlessly clean. Loved New York. Will be back again but not to the Manhattan Club!	
Oct 29 2007 	Great Location not hotel	I stayed at the Manhattan Club for a Saturday night. I contacted the Manhattan Club in May regarding a June stay, but they did not have anything available. They contacted me back in August, saying that they had a special. It was one night, a condo presentation, a room at their hotel (not another one), and a gift of theater tickets or dining. I thought it would be pretty good, so we went for it, there was 3 of us. We arrived very early saturday morning, checkin was at 4:00, we arrived at 9:00. The lobby was not crowded, we gave the bellman our bags to hold, and we went to breakfast. At 2:00, we had a tour. On the 2nd floor, the lady gave us her speech, and we toured 2 rooms on the second floor. They were okay, but not what I expected from the Manhattan club. I did not care for them, nor the outrageous price they go for a week, so I did not buy it. They were very nice about it. I got 150 dollars in dining, a choice of 7 restaurants, and they were pretty good. Brooklyn dinner was great, and for dinner we had Bond 45, which was okay, but very pricey for the amount they give you. Room: The hotel room we had was on the 21st floor. It was a 1 bedroom suite if you can call it that. It had a small table, a pullout couch, 2 closets, 2 flatscreen tvs, and a bathroom. The decor and colors were drab. The bathroom was not nice. It was cracked tiles, dirty shower, peeling ceiling, smelly. The beds and pillows were very uncomfortable. Hotel: The hotel itself was okay. The lobby was very nice, but not as nice as some. It was small, the guest relations workers were rude, but the concierge was nice. The elevators were extremly slow. The morning we checked out, we waited 12 minutes on the 21 floor for the elevator. Location: W 56th Street was a great location. There were tons of restaurants by it, and it was right next to Broadway. Within walking distance to the world. 3 blocks to Central Park, which was very nice, great restaurants near include the Park Diner, Brooklyn Diner, Applejacks Diner, and many more. Broadway was to the left of the hotel. We walked Broadway to 40th and back to the hotel in the rain. It was so fun, great to see. There were tons of vendors on the street, and of course, the theaters and shops of broadway. I reccommend TKTS, the halfprice ticket place by the Marriott Marquis. They sell half price tickets to every show they have. We got the Phantom of the Opera. The line to wait was not long at all, under 5 minutes. Overall, I would not go back to the Manhattan club, especially for the price. There are plenty of hotels just as nice or nicer than it.	
Oct 29 2007 	Great Hotel Fab Location	I booked this as a treat for my daughters 13th Birthday and we had a great time. Room was spotlessly clean, good view outside and we had no trouble with the lifts!Staff I would say were polite but not as freindly as other people we met. Although when I had a problem (not to do with the hotel)the Manager was very efficient in sorting it out speedily for me.The location and standard of the room/suite means we would happily reccommend this hotel.One tip, book express passes for Empire State Buliding, well worth the extra cost, you get treated like royalty and we were up to the 86th floor within 5 minutes of entering the building, by passing massive queues.Fab delux deli around the corner and Central Park 5 minutes away, as is 5th Avenue.At the Rockerfeller Centre try the Rainbow Room for cocktails with its fab views. It is walking distance and well worth the mortgage busting cost!	
Oct 27 2007	Great value	Wife and I recently (Oct 2007) stayed at the MC. Great value during the week. Nice sized room with modern bath, flatscreen TV with lots of cable channels, 2 wardrobe closets. Great location, across from Carnegie Hall, a couple of blocks from Central Park South, walking distance to braodway theaters. great restaruant (Red Eye) across the street, Carnegie deli around the corner, 2 blocks from 5th Ave shopping. We'd stay again.	
Oct 18 2007	A great place	I have just stayed at this hotel, which is in an excellent location.I read a lot of bad reviews about it prior to going, but was more than pleasantly surprised at how nice it was. The room was well furnished, very clean and comfortable. Booked as a package &amp; not as a time share exchange, the check in took less than 5 minutes. I did note that there was chaos on a Sunday check in, which looked like they were all time share guests.I have to admit that the reception staff were not as friendly as in other hotels I have stayed in, but nor were they rude.I would most definitely stay there again.S.S.Toronto	
Oct 9 2007 	Good Location - Bad Hotel	Stayed at his hotel in September, had booked a one bedroom suit and was given a studio apartment, but as there was three adults and one being my stepson who is 19 it was abit embarrassing when getting ready, Location good but hats about it. Staff unfriendly and not helpful what so ever..Would not recommend this hotel to anyone, stay in a neighboring hotel around the same area..Rooms and windows could do with a good clean room smelt musty.Really enjoyed the holiday and weather was lovely, but would stay some where else next time.I hope these reviews are read so they can make it better.	
Oct 3 2007 	Not sure we would go back..	Although we arrived early (2:30) we were not allowed to check in. The front desk, although not all that busy, were not the friendliest sort.. We didn't get our room until 4:10pm. And I think that is because we wouldn't go away. Other guests that were owners, were equally annoyed. The bell staff at this time was attentive. We had a 'stand-alone&quot; room with a bar fridge and microwave. The room was on the 2nd floor, and although it was totally refurbished, we faced the inside with frosted windows, Could not see out, and had to phone the front dest to find out what the weather was like. The queen size bed was very comfortable, and the hide-a-bed was okay. But very difficult to move around when the sofa bed was pulled out, plus couldn't get into the fridge. On the day of departure, we had to leave early to catch a flight. We had asked for a bellman, but they never showed up. So we went down to get a luggage trolley and did it ourselves. Our car, that was waiting, charged us for the delay. I will say that the location is excellent, and we had no problems with the elevators.	
Sep 22 2007 	Comfortable well-located hotel in midtown Manhattan	The Manhattan Club was better than we had expected after reading TripAdvisor reviews. We stayed in one of their newly renovated Metropolitan Suites on the second floor. Though the room was small, everything was clean and new. A small kitchenette area with a microwave,sink and refrigerator was a plus. The bathroom was modern and a reasonable size. The bed was excellent. The elevators ARE slow, but not impossibly so. (We walked from the main floor using service stairs, but one of our party was on the 15th floor.)The staff at the front desk and concierge desk were consistently pleasant and helpful. Overall, given the extremely high prices of midtown hotels, this was a good choice.	
Sep 16 2007 	Wonderful Place To Stay	We just got back for a 4-day stay at the Manhattan Club. It was an ideal location, our junior suite was clean, nicely furnished and larger than most accommodations in NYC. The only negative comment we have is that they let no one check in before 4:00 P.M. Suddenly at 4:00 P.M., all the rooms were ready. We got caught in a terrible rain downpour and were soaked by the time we arrived at The Manhattan Club at 2:00 P.M. we kept checking to see if we could get into our room to change into dry clothes: however, that was not going to happen. We did not let this spoil our stay. The accommodations were excellent. I would not hesitate to stay there again.The SimmsVirginia	
Sep 11 2007 	Small But Comfortable	My son and I stayed at the MANHATTEN CLUB in early July and we had a very nice time, Rooms were a little on the small side if for four people (JR SUITE) But for us it was fine.They say FIRST IMPRESSIONS LAST and having worked in the industry myself and at the front desk, It was a disappointment to find that most of the REVIEWS I READ about this place before we arrived were true regarding the RECEPTIONIST STAFF. There were no smiles and even a little small talk can go along way to someone when they first arrive in a new place, I just couldn't believe how unfriendly they all seemed to be.Thankfully the rest of the staff made up for it. The BELLBOYS are very nice, I'm sorry now i didn't write down there names, but they're great. Tthe CHAMBERMAID was the CLUBS BIGGEST ASSET very nice and very friendly.I was always brought up to believe that a smile doesn't cost you a thing but a frown can cost you the earth. I'm afraid the reception staff in the place are costing it the world and if i were the boss here it would be the one thing i would SORT OUT, BIG TIME!!!!All that aside it is a great location, close to all the usual things to ee and do and we will go back.NEW YORK is a geat city and i'm glad to say I found it to be a very safe place to be.. Don't be afraid to do your own thing and if in any difficulty just ask one of the street vendors, They are very good and seem to know the city better than most. If in a hurry or only there for a couple of days get the day pass on the subway ($7.00 AND KIDS GO FREE) and get on and off all over the city as you please. Hope all who read this and go, have as nice a time AS MY SON AND I HAD.	
Aug 26 2007 	Great Short Getaway	As has been previously stated, The location is great.The employees were friendly and helpfulGood size unit i BR, with large BR, 1and 3/4 baths, modern and clean.Yes the elevator's were a little slow but not a big deal.Would go again.	
Aug 25 2007 	Great Location 	After researching other hotels in New York City, we opted for the Manhattan Club for seven nights through our time share as an extra vacation purchase. The value was similar to a normal hotel room and we had a 1 BR suite, which was perfect with our sons, ages 12 and 10. The 2 baths were wonderful, as was the kitchenette. The location was fabulous, within 3blks. of Columbus Circle (Central Park), half block from Carnegie Hall, and 10-12 blks. from Time Square. The concierge was always very helpful in directions to the correct subway station, two within 1-3 blocks from the hotel. The bellman was even relentless in getting us a taxi to the LaGuardia Marriott on Friday afternoon at 5pm rush-hour!! The maid service was spectacular, complete with Bath &amp; Body Works toiletries. This was our first trip to NYC, which was a little unnerving for small town mid-westerners, but we felt very welcome and New Yorkers were very friendly and helpful. We would highly recommend The Manhattan Club and NYC as a great family vacation destination.	
Aug 24 2007	Great location and excellent room	We stayed at the Manhattan Club for a week in August and found the place to be quite adequate in all departments. The location is excellent with quick access to the subways, Central Park is 3 blocks and many shows we were able to walk to. Restaurants near by.There were 2 teenagers and 2 adults and the 1 bedroom suite was ideal with 2 bathrooms. Would definately stay there again and or recommend to others.	
Aug 16 2007 	Very pleasant stay	We stayed for two nights on July 24th and 25th, 2007 and found this hotel to be very pleasant. It is in a great central location, being a few blocks walk to Times Square in one direction and a couple of blocks walk to Central Park in the other. The lobby was nice, with an inviting sitting area. The first room they gave us was very spacious and well-appointed, but it smelled of smoke despite being on a non-smoking floor. They quickly gave us another room (room 1425), which was a bit smaller, but still roomy enough for three adults and a baby in a bassinet. It had a king-size bed (very comfortable) and a pull-out couch. The bellman waited with us the whole time and was very friendly and talkative. There was not much of a view (we could see down to the corner where the Wellington Hotel and the Ben Ash Deli is), but we weren’t there for the view. The room was very clean and the bathroom pretty, with nice soaps, lotion, etc. from Bath and Body Works. The kitchen nook had a sink, fridge, microwave and coffee maker and was in a nice modern black. The A/C was powerful and much appreciated! We enjoyed our stay here very much.	
Aug 13 2007	Perfect Location 10th to 12th Aug	we decided to make this trip on impulse simply because we had extra points and believe it ,we found a 1 bedroom suite on line with 10 days notice this was a points exchange,we did not have to call anyone,very costly for 2 nights/ friday to sunday to say the least,but we had to take the opportunity,since it is said its virtualy impossible to get a reservation especially an exchange.checkin was a breeze maybe 3mins this was at 7.30pm we did valet parking did not use the car again until departure of which we called 10mins ahead at found it waiting for us,very nice. indeed checkout was a breeze too .one thing though it gets busy at the lobby ,but they have alternative checkout dropoff points,where you dont have to go to front desk unless you have to.renovations are going on in the front of the clubso there is scaffolding right now,if its anything like the future pics show its going to be beautiful1 bedroom suite is fair in size not your typical new resort size but fair size with 2 full bathrooms small kitchenette type place with fridge and microwave.there is a surprisingly small tv maybe15 inch in the living rm and bedroom,with cable service.flat screen lcd/plasma would be nice and definately create more space taken by the huge tv cabinets they say they are in the process of upgrading these really old tvswireless internet was not available in rooms for free ,but if needed you can use internet at the business ctr on the 26th floor,together with gym ,bars ,etclocation is unbeatable ,it is worth it for the location alone the suites are not out of this world but comfortable.we did not interact much with staff but the little we did was pleasant no problems like some reviews hereah !!! the elevators ,they are small ,we were in and out of the club alot but the elevators were fast.2 serving main lobby abd i think extra on the side ,service elevators i believe.for all intent and purposes we enjoyed our stay ,but the bills add up,parking ,room service,wireless internet	
Aug 10 2007 	An amazing experience!!!	So far in my traveling journeys, I have had very little bad experiences, and many, many great ones, &quot;The Manhattan Club&quot; being one of them.I was a little weary I must admit after reading quite a few reviews, but after my week stay there, I was quite impressed. So impressed, that I would definately love to come back to this hotel.After being greeted by the delightful hotel staff, we were blown away by our 1 bedroom suite with 2 spacious bathrooms, 2 plasma tv's, a nice size modern room (compared to New York standards), and a very comfortable king size bed.The greatest thing about this hotel is the location. You virtually are in the heart of everything, and if you want to go out further, just roll out of bed right into the subway. Thats how close you are.There is a ton of dining options around you. If you need help finding out a type of food, just check with the concierge, Furthermore, if you want to save a little on food, there is quite a few grocery stores in the area which would be perfect for your mini fridge in your room. Just a heads up, coffee in your rrom costs $2 per pack.. Just go to the grocery store, and buy your coffee, filters, etc. There is a coffee machine there for you use.Maid service is there daily for the mandatory $25 fee you pay per day, and it is worth it coming back to our freshly clean room.There is a business room on the 26th floor with over 6 computer terminals one of them being a a mac. There is also a nice size weight room with pretty modern machinery.I would definately come back here, and not only had an amazing time in New York, but was very impressed with everything as a whole.	
Aug 6 2007 	Location Is Key In NYC! Hotel undergoing renovations soon!	Location, location, location. You really can’t find a better location than this one! The subway is just around the corner and you are in the heart of NYC. The lobby of the hotel appeared clean and welcoming. It was always nice to walk into the nice, air-conditioned lobby after walking around in the heat. The elevators were kind of slow, but not to the point where I threw a fit. There were 2 main elevators in the lobby and 2 service elevators. I also found out that the hotel next door had 2 elevators, but they only went to the 9th floor so you would have to take the stairs from there if you were on a higher floor. The stairs were connected to both hotels, so you could access your floor by using their elevators and then crossing over to the Manhattan Club side through the stairwell! The 1 bedroom, 2 bath units were small, but comfortable. It was nice to have the little mini-bar in the room to store leftovers and drinks in the fridge. I heard that the Manhattan Club was getting remodeled either this year or next year. I believe it is do for a remodel. There is not much storage in the room for your clothes and the TV in the living room is tiny (but who watches TV in NYC anyways!). They plan on replacing all the TVs with flat screens which should free up some space in the room. I thought the bathrooms could also use a little updating, but they weren’t bad as is. I loved the Bath and Body Works lotion, shampoo, and conditioner! We had house keeping service every day. They were very noisy in the morning when cleaning other rooms. They always let the doors slam shut when they went to get their cleaning supplies. So, if they happen to be in your hall, forget about sleeping in!I would recommend this hotel primarily for the location. We didn’t spend much time in the hotel, but when we did, it was comfortable. I believe it will be really nice next year after all their renovations.	
Jul 23 2007	Great Location	We finally got a trade into the Manhattan Club. The location's great, a block from the subway station, right next to 7th ave and 2 blocks from Central Park. Like in the other reviews that I've read, the front desk people were not friendliest people. Not rude, but expressionless. It was a hit or miss with the elevators. Sometimes the elevator was there within a minute and other times it was so slow that we took the stairs. We were in room 1207 and there's not much of a view unless you like looking at the outside walls of the other units. We had a 1 bedroom suite. The bed was hard and the room was small compared to other timeshares that we stayed in. I was told that all rooms or hotel rooms in Manhattan were small and that this was quite large. We had 2 bathrooms and they were clean and with marbled counters and gold tone fixtures. I thought the room was dark too. The water pressure in the shower was good. There was a kitchenette and we kept sodas in the refrigerator. There were alot of police cars and police on horseback in the area. I felt it was very safe.	
Jul 20 2007 	What a wonderful holiday friom a british customer	We stayed here during june and july and can say was dubious following reading various reviews , however we loved it. The hotel staff yes were short with us however helpful to us , probably due to the nature of their job. I was waiting to book in and a &quot;american lady &quot;was complaining that her safe wasnt working and wanted IMMEDIATE action....... get a grip its a safe surely will wait 15 mins. The room was spacious and clean, yes following a comment the windows were slightly dirty however its Manhattan and 20 floors high cant be cleaned every day !!!!!!!The place was central for everything and we hardly were in the room so not as important as if it was in the middle of nowhere.The only people i saw complain were the americans maybe they have different standards to the british but i certainly wouldnt complain about ths place and the service.The lifts yes could be delayed however they were no way as bad as people state also no air con in the business centre however does it matter unless you want to spend all your holiday on the internet.The place was lovely and seem to be a victim of their own success and no doubt will get moans but doesnt everywhere. W have been all over the world as you can nick pick about everywhereThis is in the middle of mahattan what more could you ask for 2 streets from central park, broadway , 5 th Avenue and Time square and new yorkers are friendly no matter what people say you smile and talk to them they will be friendly back I would recommend going there and to the manhattan club we waited 9 months and it was well worth the wait.one thing i would say DONT BELIEVE EVERYTHING YOU READ , TAKE A RISK AND USUALLY PAYS OFF .	
Jul 14 2007 	Horrible timeshare/hotel (Manhattan Club)	I recently stayed here for 1 week + it was AWFUL!!!! DO NOT EVER GO HERE!! Every employee at the check-in desk + concierge desk was rude and obnoxious and had their hand out for a tip! There were many unhappy guests and owners (timeshare property) in the lobby who hated it + are making it known to management. But management doesn't seem to care! No air conditioning in the lobby or elevators or computer room-- what, are they that cheap?? The whole place needs a re-do, too. The windows were so filthy you couldn't even see outside. Many things were missing from the room at check-in. The bed was awful. The shower barely had any pressure. The only good thing about this place was the location, but it sure was not worth it to stay here. There are hundreds of other places to choose from, + believe me, myself + the many others I spoke with in the lobby will NEVER STAY HERE AGAIN. RCI (the timeshare owner) is being made aware of the very poor quality of the employees + the place itself. STAY AWAY FROM HERE!	
Jul 10 2007 	Smile ! It won't hurt!	We were in Manhattan for a week of site seeing. Check in was prompt, even though we were there 30 minutes before check in time. The bell hop was very helpful with getting our bags loaded onto the luggage cart and delivering them to our room. We had a one bedroom suite facing the street. It was very spacious with room enough for a blow up mattress in the living area. The bathrooms were clean and well stocked with Bath and Body Works products. The downside to this property is that there are 4 elevators and usually only 1 was working. There were times when we stood for 10 min waiting for the elevator on the 18th floor. Other than this we didn't encounter any problems until the morning of check out. We called for a bellhop or a luggage cart, and called for our car to be brought around from the parking garage. After waiting 15 minutes we hauled all of our luggage out to the elevator. After waiting forever for the elevator we finally made it downstairs to be greeted by one of the other guests loudly complaining that he couldn't get his car to the front of the building because ours had been sitting there for 10 min. If the hotel is short staffed they should say so, instead of saying they will send someone up with a luggage cart right away. Also, training on how to smile and be friendly to the guests might be in order. After we checked in the staff virtually ignored us. Other than these minor things, our stay was VERY comfortable!	
Jul 4 2007 	Old and Tired	My fiance, her mother, and I stayed here as a last minute trip to new york. The room was booked by the mother via her time share company. She always talked about how hard it was to get a room here and yada yada yada. Well we booked it and I actually looked forward to it. It seemed like a great location and if it is so hard to get a room it must be nice. Well we get there and the front is being rebuilt/refurbished. No biggie it seems like every building in New York has scaffolding in front of it. Inside I see people wating around the lobby and the bell hops running around. We walk up to the desk and ask about our reservations. They have no idea what we are talking about and give us a blank stare.....great. Well after making calls and talking to managers it gets straightened out and we find out the room will not be ready for hours and to leave a number and they will contact us while we walk around New York. After a few hours and no call we make our way back and find out we still have nothing. At this point we just hang in the lobby because we wanted to change our clothes, get refreshed, etc. After about another hour they finally show us to our room. The room used to have a balcony, but that door has since been screwed and siliconed shut. The balcony has been filled with rocks and now its looks like something you would like to go out on, but can't. I got the feeling like I was in a nice hotel, but 10-15 years late. Everything in the room was dated. The sink in the bathroom had spinder cracks in the finish and the gold touches had lost their luster. It was fun to just think back 15 years ago at how nice this place probably was. The location is great and is very central to a lot of fun activities. Overall the service was lack luster with the best service being the bellhop who did crazy whistles to get a taxi. This hotel reminds me of an old lady that you look at and know she used to be hot, but now she is just worn, torn and run down.	
Jul 4 2007 	not nearly as bad as some of the other reviews	After finding out that I would be staying at the Manhattan Club, I checked this site for the reviews...I was hesitant after most things I read...I basically thought we were going to be staying in a dump, but when we arrived I was pleasantly surprised...The lobby was very clean and the front desk staff were helpful...no rooms were available at the early hour, so we checked our bags with the bellmen...that staff was mostly helpful except for the older Asian man who continually complained about his back hurting...he also acted as if we were an inconvenience when we came back to get our bags...upon entering the room, it was very clean...I was really surprised to see a 32in flat screen mounted to the wall (reception of all local channels sucked, but there were a ton of cable channels that came in great)...the size was great for 2 adults...we had a &quot;jr suite&quot; with the one bed and couch that doubled as a bed...both of which were comfortable...the room even had a little kitchen area with a microwave, sink and dishwasher...plates and all utinsels were included...the in-room safe was in such a position that the door wouldn't open all the way, therefore making it impossible for me to store my laptop while exploring the city...the bathroom was a bit small...there was no counter space at all...I suppose they didn't consider that when people travel, we bring all of our crap and there was no place to put them in the bathroom as the sink was a stand-alone...the shower was decent size, however. Our room looked completely remodeled...there was even FREE WIRELESS INTERNET in the room, which was also a nice surprise...Housekeeping was a charge of $15 daily...they called just about every morning and woke us up to see if we wanted our room cleaned...and some days they called multiple times...that was really annoying, as we couldn't sleep in...The elevators weren't as slow as I was expecting, or as some of the reviews would suggest...there are really only 2 elevators to service the entire hotel...there are also 2 service elevators for guest use...that was a nice secret when the line in the lobby was long...it didn't seem like most people saw the sign for the additional elevators around the corner from the front desk...besides the housekeeping calling, our week long stay was a fine one...the room was great for the most part...I'd recommend it...	
Jun 13 2007 	This place is a scam!!	We have been owners at the Manhattan Club for about 7 years and have seen this place go SERIOUSLY downhill. Can't book a room for the rest of the year,even though it was in March when we tried....maintenance is non-existent although the fee continues to rise...the place is oversold and is looking seedy(where does the maintenance money go???).We bought because of the great location and convenience of always having a place to stay in the city.What good is it if I can't book accomodations that I pay maintenance and taxes for?The elevators have never improved although the management would like you to think they are improving THE MANHATTAN CLUB experience .Our last 4-5 visits have had multiple visits from their maintenace department for non-working items in the rooms....the tv's are museum pieces and the front desk acts as if you are bothering them if you have questions or problems with the room...STAY AWAY!!!!!!	
May 21 2007 	Excellent location	Stayed for a week in May 2007. The location is fantastic in the centre of Manhattan - superb for all major sites, a short stroll from5th Avenue, MOMA, central park and the main tourist sites. Apartment was spacious and I would recommend just on size and location alone.We did find it a bit noisy, but then New York is very noisy. We had a1 bed suite which had 2 bathrooms both with shower and marble fittings, separate bedroom with enormous bed and a small lounge with sofa and chair - both the lounge and bedroom had TVs. The decor is heavy (lots of brown) and we found it to be a dark unit (2118), however everything was in good order. Maid service was $25 per day and that included fresh sheets and towels, a thorough clean and replacement of used items such as shampoos coffee etc. Had a small kitchen with good size of fridge, microwave, dishwasher and coffee maker. Ideal for heating up microwave meals but not for full cooking.Size was fine for 2 adults, but would not recommend for 4 adults unless you were very close! Re the lifts then they are slow - howeverit is not a problem unless you make it one. Can also recmmend the breakfast in the members lounge - for $12 fresh fruit, yogurts, bagels, juice and pastries - as much as you can eat - also we took fruit for lunch and the odd toasted bagel and they even wrapped it for us! $12 might sound expensive but the quality is lovely and so isthe setting. Evening drinks are also served. There is also a businesscentre on the top floor with free access to the internet and printingwhich we found to be very useful. Re the front desk staff then they do what they are asked but no more - and we did find them a bit surly, but could just be New York!. One last tip - beware the concerige and town car transferes to the airport. Our taxi in from Newark cost $61 inc tips and tolls, we were told that the town car would be about the same. However once we were enroute the price changed and it ended up costing us $90 - all because the concerige told us it would be about the same price and we did not have to worryabout the meter! Next time I'll take a taxi.If you want to do a bit of self catering then I highly recommend the supermarket in the basement of the main shopping centre at columbus circle - 2 blocks away. All the usual stuff plus fantastic fresh fruits and salads and all manner of freshly cooked take out food, sushi bar, juices etc - and you can also eat in in a cafe style.	
Apr 19 2007 	Do Not Buy -- Huge Ripoff!	What a scam!I have been an owner for 10 years, and it has been a true shame to watch this once convenient property go sour. There are several reasons to stay away from this dump.(1) The maintenance is shoddy. The property is poorly maintained. Wallpaper is coming off the walls, the carpet is tearing and the furniture is old. The elevators are also hideously slow. (2) It is impossible to book a room less than 9 months out. I like to go to New York City on a whim. When the Manhattan Club brokers sold me 2 weeks, they promised that I would be able to. For the past 2 years, I have not been able to book a stay on either a weekend, or a weekday. It is a big disappointment.(3) The timeshares are oversold . A relative was sitting in his office this summer when he got a cold call from a Manhattan Club rep trying to sell him time. Additionally, every time we stay there, a rep calls the room trying to sell us another week. (4) $2,000/yr in condo fees and I can't even book a stay.(5) The staff is unhelpful and unfriendly. Sometimes there are even labor disputes. During one stay, a crowd of people were picketing outside. (6) In hindsight, I should not have bought a timeshare (waste of money, a scam, always more supply than demand) but when I did, the concept was so new for New York City, the sales people promised good things, and the property was nice. At this moment, though, the Manhattan Club is an utter joke. Buyer beware.	
Apr 19 2007 	Would reccomend this to anyone.	Dont believe all the bad reviews. We travelled from the UK and found the 1 bedroom suite to be exactly as picutred and descibed. Very clean prompt service and very friendly staff. The lifts could get slower in busy times but then it is a large block and there are other lifts away from the the main lobby. Daily maid service provided and we were not charged for this. We have 2 boys and although it states an extra roll down bed is $20 dollars a night again we were not charged. Could not fault the standards but would have liked a kettle for us british tea drinkers. The location is the finest, just off the noise but in the heart of manhattan easy reach of all areas on foot and a subway close by for longer journeys. Best breakfasts at the Park cafe just around the corner.	
Mar 10 2007 	Great location	We booked the Manhattan Club in May 2006 for our stay in March 2007 and it does seem to be quite sought after. The main reason is the location, right in the heart of Manhattan. We read some of the reviews and they did seem to be quite mixed. We found the reception desk staff to be friendly and helpful and the concierge desk was excellent. The lifts were a bit slow in the busiest times but that didn't seem to present much of a problem. We had a one bedroomed apartment on the 12th floor and it was spotlessly clean and nicely decorated. It could probably do with a bit of updating now but we had no complaints about the accommodation at all. We did however find it a bit strange that there was no kettle, only a coffee machine but we improvised with that! If you intend to self cater then the partial kitchen is quite limited but we didn't feel that this was of concern to us. The central location was fantastic and all the great sights of Manhattan were either within walking distance or reached via the nearby subway. There is a daily charge of $25 for maid service and this was well worth it. All in all a great place in a prime location.	
Feb 22 2007 	Enjoyed our stay.....	My husband and I spent a long weekend at the Manhattan Club along with our 2 children, ages 6 and 8. Overall, we thought it was a great place and would stay again.We had no issues with the front desk, although we only saw them once at check-in and no issues with the concierge, who we also visited once. Elevators were fine, doorman hailed us taxis, place was nice and clean, etc.My one negative comment is that the bed is SO hard it's like sleeping on a pile of bricks. I know that some people prefer hard mattresses but this was ridiculous. With all of the hotel chains putting in extra thought about luxurious bedding and beds, I think it's time for The Manhattan Club to jump in and join the bandwagon.We enjoyed the convenience of the location, which is truly outstanding as well as the spacious accomodation of the 1BR which includes 2 large marble bathrooms and a kitchenette. Can't beat the value in Manhattan!	
Feb 15 2007 	Great Location	We didn't orginally book this place, our first choice wasn't available so that's how we found The Manhattan Club Suites. The location of the Manhattan Suites is ideal for exploring the entire city as it is very close to the majority of metro lines. Our metro tickets were put to great use and found the metro to be quite safe. It was our main mode of transport as we had to squash in our sight seeing and shopping in 3 days. Central Park is only a 5 minute walk from the Suites, which was a treat. There are deli's, pizza places (quite rude but such tasty pizza slices), supermarket (a 5 minute walk away), bars, we could even walk to the theatre where we had booked tickets to see a musical - all in all we were very happy with our base.We found the reception staff to be quite rude and dismissive of their visitors - they made us feel very inferior - but we only dealt with them on a transactional basis. We asked the cleaning ladies and porters who were so much friendlier (and great at their job) for directions.We had informed the hotel that there were 4 of us staying in a room, and as the rooms had only one double bed that meant 2 had to sleep on a sofa bed. We were informed very rudely by reception that what we had was a room for 4 people and all the rooms were like that. But we used up all our energy during day so we just crashed there.I would not return as my friends and family have stayed in better accomodation for the same price range.	
Jan 2 2007	Good value...but	We've stayed here before and very much enjoy the size of the rooms, the location and the value. All of these things are unchanged from our last visit.The condition of the hotel does seem to have slid a little in the last year or so. It's not dirty or broken, just not all sparkle and flash. The maid staff is top-notch as is the bell staff. Friendly, fast, efficient -- really the best I've seen in years.The front desk staff and concierge are not helpful in any way. There is no longer a doorman to hail cabs for you, the concierge just tells you to walk around the corner to the Park Central. That will work, but it just seems a little rude.All in all, another great trip to the Manhattan Club. I might try a first class hotel next time, though.	
Nov 18 2006 	Penthouse pampering	Prime location central to the best of everything in Manhattan. The penthouse suites are quiet and spacious. The managers are attentive and the lounge is a great place for pre or post dinner cocktails. The only minor setback is that the elevators to the 26th floor can be slow.	
Nov 6 2006 	What a Bargain	This is time share complex is available for limited stays to tourists. Centrally located to subway near Carnegie Hall on 200 W. 56th St. Junior Suites very spacious and clean. Microwave and mini-refrigerator provided. Bell staff courteous. Very reasonable rates available on web site. If you agree to listen to optional time share presentation, your net cost for lodging will be a lot less!	
