	Great Location	My friend and I stayed at the Comfort Inn in November for a week. We found the reception people most helpful and friendly. The food in Brendan's was very good, don't forget to use your key room card to get money off-we did-and they don't ask!!! The hotel may be a bit dated, but it was very clean. What a fantasic location. The subway, Macy's and the Empire State Building within 5 minutes. On the whole we loved our stay here. A bit of paint would help brighten it up. It was noisy at night with the dustbins being collected and the New Yorkers do like to use their car horns!!!	
Jan 17 2007 	stay nowhere else!!	My husband and I stayed here in October 2006 and could notfault it in any way. Location was absolutely brilliant, our roomwas spacious with a wonderful view of the Empire StateBuilding. The included breakfast was excellent -a welcomeextra to other hotels. The adjoining restaurant/bar was alsoa very welcome haven on our return from sightseeing - thestaff there as in the hotel were extremely friendly and thequality of food was excellent. As a british travel agent I havealready recommended this hotel many times and will certainlystay there again on ou return to New York - hopefully very soon!!!	
Jan 14 2007 	Great Location Great Value!	I have never written a review but felt I just had to after staying at this hotel. This was our first trip to New York City and we worked very hard to research the best price, location and amenities. This was a family reunion so we reserved 3 rooms total and each one was a little different from the other. We were traveling from December 26th through December 29th 2006. This Comfort Inn was adorable because it was a &quot;boutique style&quot; so you didn't feel like you where in a typical cookie cutter chain hotel. It was located on 35th street between 5th and 6th so it was walking distance to the Empire State Building, around the corner from Macy's and many other shops and even had an attached resturant ( with the best pizza I've had in a long time I might add) where you recieved a 15% discount as a guest at the hotel. This was also where the contenential breakfast was served each morning. With four teenages in our group it was enough to fill them up so all we had to buy was a hot dog on the street for lunch and then a nice dinner. A half a block away was a Starbucks, 24 hour drug store , subway station and deli. Across the street were two irish pubs (not loud) and parking. Upon arrival our rooms were ready early and we checked right in. There was also a very friendly and helpful bellman at the curb to help us unload. He was also there the day we left to help us load our car.The rooms were not huge but were very clean with new up to date bedding, new carpet and very comfortable beds. The bathroom was also very clean and adequit for our needs. It's easy to see you are in an old building when you are there with the old marble and wood staircase and very small eleveators but that really added to the charm of being in NYC!I am very picky about hotels and I thought this was great. If you are looking for the best value with an ideal location, look no further. This is the place to stay.	
Jan 14 2007 	What a view	No problems at all with check-in. We had two adjoining rooms with a connecting door. Very clean, great rooms. Expected to see buildings literally outside the window but was amazed to look out and up and were literally next to the Empire State Building. Amazing sight. At night could see the clouds swirling round the top it and lit up in red, white and blue. The position of the hotel was perfect. Literally out of the door and turn left and at the end of the block was Macys and the Empire State Building around the corner. Time Square and Grand Central within east walking distance. Breakfast was excellent. Great choice of cereal, fruit, bagels, bread, cakes etc. Are planning on visiting New York again next year and will definately go back to the Comfort Inn Manhattan	
Jan 3 2007 	okay	We stayed in this hotel for 6 nights, Front desk staff were very nice and helpful. Location is excellent, literally a two minute walk to Macys.The room itself was a bit on the small side, but we managed, four of us in it, two double beds were bit smaller than usual. Room was clean and serviced every day. Toilet had a mind of its own and flooded the bathroom, another day flush handle came off!!Didn't think much of the breakfast that was included in hotel price, was mank actually, so we ended up ordering a fry instead one morning which was lovely.. Next morning we went in for another one in Brendans bar and asked for fry again, you'd think we asked the girl to kill a cow and pig with the way she looked at us, she was so ignorant and unpleasant we got up and walked out, and she was Irish we thought she's be ok but we were wrong!!!Would def stay here again, so convienent staff are lovely and helpful in this hotel, but would rather starve then go to Brendans Bar for breakfast..	
Jan 2 2007 	Comfortable experience at the comfort inn	My family and I stayed at this property Saturday, the 22nd-Thursday, the 27th. Overall, the property was a great experience for us. The building has a lot of beautiful old architectural touches, which make it very charming. When you arrive at the hotel, you should go get a luggage cart and unload. There are 2 parking garages down the street. The one on the hotel's side of the street offers discounts for staying at the Comfort Inn. The one across the street from that, however, does not offer discounts. When we walked in to the hotel, there was a small but comfortable lobby. The staff was friendly and helpful. When we got to our room, it was real nice and bigger than most New York City hotel rooms. Breakfast was pretty good. They had food like waffles, bagels, donuts, fruit, etc.It can get crowded, though. Some Warnings to adhere to: The elevator doors are only as wide as the luggage carts. In the elevators, you may feel some bouncing when there are a lot of people in them. Be careful of the front step up to the door when bringing a luggage cart. There are no individual thermostats in the rooms, so it can get warm at night.We are very close to everything including the Empire State Building, times square, 5th avenue and a whole lot more. I would not mind at all going back to the Comfort Inn.	
Dec 29 2006 	Great location good price	Very friendly staff, courteous and helpful. Let us check in early (noon) with a 2 bed room vs. a Queen plus sofa. Only complaint with room--shower would get very hot and then very cold and some mold (?) on the ceiling in the bathroom... Size of room was fine (not too small like some reviews say), location of hotel GREAT, beds comfortable, cleaning staff very friendly, continental breakfast ample, allow you to check your bags at the end of your stay and hold until later in the day...For the price, probably hard to beat. Feels very safe, front desk staff always around and aware.	
Dec 19 2006 	Great location 	Just returned from a four night stay in NYC with 7 friends/family members and we were all more than happy with our experience of the Comfort Inn Manhattan. We stayed in 4 of the double rooms which have previously been referred to as small. In reality, these rooms comfortably accommodate a double bed, a large TV, table &amp; chairs, 2 adults, 2 suitcases and plenty of shopping bags! What more could you need!? Some of the rooms on the lower floors at the back of the hotel are a little dark but, to compensate, you won't be bothered by street noise. As for breakfast, there was plenty of choice, availability and seating whenever we turned up.If you're looking for a decent hotel, great location, value for money, comfortable rooms and polite &amp; cheerful members of staff - that's exactly what you'll find here!	
Dec 5 2006 	Great location good for families	Great value - great location. Rooms are on the small side, but considering the price and the location it's worth it. Just a short walk to Macy's and the Empire State Building. Breakfast was a bit weak, but it was free (always lots of people - but I went at Christmas time). Would recommend this hotel, definately.	
Nov 27 2006	ny chick	stayed at the hotel in september.brill location.10min walk from times square.everything within walking distance.was expecting a small room when we arrived but it was huge for ny.will defo stay at it again as i am going back next year.the restaurant is amazing-best food i tasted in ny.friendly staff and quiet.	
Nov 22 2006 	Fab Hotel	Myself and my partner stayed here for 3 nights and had a fantastic time! Hotel is ideally situated just around the corner from Macy's!! and the Empire State Buiding. Rooms are clean and spacious. Hotel also has a fab coffee bar next door! Staff very helpful, especially Benny. A true star! All in all a wonderful time was had.	
Nov 20 2006 	Brill Location!!	My Husband myself and my 14yr old daughter along with my Brother and sister in law stayed here at the end of October for 5 days.All I can say is that we all had a brilliant time.The reception staff were polite and helpful nothing seemed too much trouble.Rooms are slightly dated but they are clean and comfortable. Bathroom was spotless with a brilliant power shower and bed linen white and crisp.The beds were among the most comfortable we have ever slept in.Just what you need after a hard day sightseeing.The location was brilliant.Coming out of the main entrance turn right and 200m down the street was Macy's turn left and walk 200m and you were at the Empire state building.We were a 10 minute walk from times square.There is a buffet breakfast in the morning with cereal fruit juice boiled eggs bagels toast fresh fruit coffee and the biggest donuts i have ever seen in my life.It was more than enough to set you up for the day.Can I also recommend Brendans the bar that is attached to the hotel.We had a meal there one night which was really good.My daughter was always welcome as well if we popped in for a drink before going out.We would certainly use this hotel again and recommend it to friends.	
Nov 16 2006 	Fantastic time	I stayed at the Comfort Inn in Manhattan for 4 nights with my boyfriend last week. We had a fantastic time and I thought the hotel thoroughly lived up to some of the great reviews it has had on this site. Being from England and also a keen sports fan I was espiecally pleased when I found out that Brendans bar next door showed some of the English football games so I got to watch Spurs V Chelsea on a sunday morning which was a bonus!Our room was spacious, clean although the toilet did get blocked once but that was dealt with efficently by the staff and casued us no real trouble. The free breakfast is great, i espiecally enjoyed the giant bagels and it was certainly enough to start the day. We ate at O'Rileys over the road twice and found it great value for food and generally a nice atmosphere. Macy's is a good shout as it is so near but I think if you are after some really decent more smart range clothes then Blommingdales is the place to go, espiecally for jeans if you like your brands!If I came to New York again I would not hesitate to stay at the Comfort Inn...overall a great little hotel	
Nov 5 2006 	great location and nice rooms for a city holiday!!!!!!	great location with easy access to everything, half a block from subway and Macy's one block from empire state and 10 minute walk from times square. hotel was clean the rooms were a good size. the breakfast was nice. plenty to eat. very helpful staff. overall a good hotel for a city holiday at a good price.	
Nov 1 2006 	Great Location-bad rooms!!	We stayed at this hotel in August for 5 nights. We were in a room on the 8th floor- with a view of a backside of some building(didn't really bother us)First the plus points:we had a smooth check-in( although we'd asked for a non-smoking room which we didn't get but the room we got thankfully didn't stink of smoke!)Great location- its a walking distance from most famous tourist spots, macys and empire state building are less than 1/2 a block away. Also, in NYC streets can be very lonely at night but 35th Street where this hotel is located is well lit as it it has a 24hr parking lot which is very well lit and a lot of people are around even at night.Friendly StaffAC in the room was nice and cool!Decent breakfast- though we got bored of it by the 4th day.. Now, the negatives:The Room: it was very very small.. this place is ok for a couple of nights but as we realised, when u stay for 5 nights u need more space especially when the shopping bags start piling up towards the end of the trip!Bad Bathroom: Apart from the fact that it was really small, it was not done up at all- the tiles were old and dirty, the towels were ok, it was just like a shower and toilet were fit inside a tiny dirty tiled room.. u know how good most hotel bathrooms are these days.. this was sad! U didn't wanna spend more than 5 mins in there!! U know it got worse since we were there for 5 days! U can put up with these things for 1-2 nights not more.The BED- I have never seen such a small DOUBLE bed.. U r sure to kick the other person atleast once , if not more! We could hardly sleep for 4-5 hours due to this .I'd say if its only location u care about this place is good, but if like me, U need a good room too.. then look at other options. I'm sure there are better hotels at similar prices. I won't stay here again.	
Oct 11 2006 	Excellent!	I was very pleasantly surprised with this hotel. It's location is excellent and, compared to other hotels in NYC, very reasonably priced. It's next to Macy's and the Empire State Building and right on the subway line that took us straight to the ferry for the Statue of Liberty and then right to Central Park for a wonderful horse and carriage ride. We then had a leisurely walk to Times Square and back to the hotel. The hotel had a wonderful &quot;old new york&quot; feel and the staff was the friendliest and most helpful we met in a long time. The only negative was the breakfast -- I'm not a fan of continental breakfasts, but those who are would love it. I would absolutely stay here again and I highly recommend it to others.	
Oct 8 2006 	Really good location	Visited this hotel in September, had a really great time. The hotel is in a really good location. It's on the same block as the Empire State building, Macy's is just a 2 min walk and Times Square is within walking distance. The hotel it's self is alittle dated but it was fine for us. It was clean. The room was not a bad size. The shower had plenty of hot water and was powerful which was nice to come back to after walking around the city all day. The breakfast which was free was fine. It had a selection of bagels, breads, cereals, pastries, fruits and yoghurts. At the reception area they had free coffee all day, which you could just help your self. The staff were all really friendly. Overall had a fantastic time in New york. I would say the hotel though is more of a base as your out all day anyway. But if you like to spend alot of time in your hotel your probably better booking a different hotel as the hotel is basic.	
Oct 4 2006 	central to everything	Stayed here in September with a girl friend for our 50th birthdays.We weren,t expecting anything grand as it was quite a cheap hotel, but we were well chuffed. The room was quite large with two queen size beds, tv, safe, air con, it was on the 10th floor at the front. No good views but we didn,t mind. The shower was really powerful. Everything was really clean which was our main concern. Breakfast was included in the price, bagels, eggs, cheese, muffins etc. but it was quite adequate.Staff were very nice the only thing I missed there was no kettle in room so everymorning you had to traipse to the lobby for tea or coffee, that was a bind if you like tea before you open your eyes. Would definetly stay here again as it was central Macy,s at top of street, Empire State round the block. Had a marvellous time	
Sep 17 2006 	Fantastic 	Fantastic staff, only too eager to help with directions, bookings for shows or travel to airport.The breakfast buffet was excellent, good choice if you get up outta bed early enough.Hotel is situated close enough to shops (Macy*s), the subway is a two minute walk away.Have stayed here before, and will stay here again.Thanks for a great holiday!	
Sep 6 2006	worth considering	I stayed at this hotel from 28th aug 06 for four nights with my family and friends which included an 18yr old and 22 yr old. First impressions, to be fair, were that it was a bit tired and in need of a bit of attention to decor and paintwork.. However, after a while we realised that the Comfort Inn is quite adequate for a stay in New York. Our friends had stayed at a superior hotel in Times Square last year and said that even though the Comfort Inn was a lower grade hotel, it had better facilities. Such as ice and drinks machines, ice buckets in the rooms and provided continental breakfast. Also they said the beds were more comfortable. The breakfast is adequate and a welcome change to having a cooked breakfast each day, healthier too!! The rooms were fine, bathrooms were ok and there is an abundance of fresh towels and flannels each day. If you run out of any toiletries they offer to replace free of charge where possible. Staff were courteous. I have a fear of lifts and was put off at first as they are quite small, but I got used to them. Hotel is walking distance to Empire State, Macy's and 5th Ave. In fact we walked to Times Square a couple of times. Quicker than cab! The only thing I would say against is that they do not have double glazing in bedrooms. But after a tiring day in New York, believe me, you will sleep through any traffic noise.I am a travel agent and have been to some wonderful hotels over the years. Whilst the Comfort Inn is a 2 -3 star hotel, I would have no hesitation in recommending it to families, friends, young people and those who would rather spend money on food, sightseeing etc than just having a classier room where all you do is go to sleep. Clean, comfortable beds, breakfast, ideal situation, what more do you need?	
Aug 27 2006	Mediocre	Stay at this hotel if you simply can't afford NY hotel prices. Rooms are small and dark.	
Aug 20 2006 	No No NO!	If you can afford a little more then please look at ur options. Relieved to finally arrive at the establishment, I was yet to experience the worst part of my holiday. Squeezed into the elevator to be welcomed by a stench of stale cigarettes on our floor. Through a &quot;badly needing refurbished corridor&quot; to our room, I gues it could have been worse, although i dread to imagine. The room was passable, the sheets were clean. There was a brick wall outside the window but that didnt really bother me, i was just worried about the cleanliness. It was clean. The toilet and shower were especially clean as well. However there was what i think.. no actually im not even sure what it was.. but there was something covered up with a metal casing in our room. It was almost like an old radiator that was filthy, rusting and well quite literally should not have been there. There is a free breakfast on the go, but lets just say i can understand why it was free. Unfortunately this hotel was booked as a package from my travel agent, so I naively chose to stay here. Some of the staff were lovely and the location of the hotel was simply perfect. The person i was travelling with accepted the hotel and thought it was not bad at all. I guess it just wasnt for me.	
Aug 8 2006	Great location - dreadful hotel!	This hotel has a great location - and if you get a room with a view of the Empire State Building (which we did) it will blow you away!Accomodation is basic and clean(ish). My main problem concerns the front desk. I was left an envelope by a relative for collection by me. When I enquired at the front desk I was told that there was no envelope for me. I asked a couple of times in case there had been a mistake - but the envelope never appeared. Now I'm sure you're wondering why this is an issue? When I got back tothe UK I was told that the envelope contained a thousand dollars. It had been left by my uncle - a Catholic priest! I'm sure you can all understand who I believe!To say the stay was sullied is an understatement! AVOID!!	
Aug 5 2006 	Great hotel!	My husband and I stayed at the Comfort Inn Manhattan for 4 nights in July....again!! We had stayed there on a previous visit 4 years ago, and I stayed there with a friend last October. Obviously, if I wasn't happy with the place I wouldn't be going back there again and again!!!!!!!!!! Our room was fabulous, on the 5th floor, no noise at night, lovely and cool with the air conditioning, fine bathroom, TV etc. We ate in Brendan's one night, and out of the other local restaurants, found the Playwright the nicest. Fabulous location, only a few minutes walk to Macy's and all the other attractions of 34th Street. Also an easy walk into Times Square, or to 42nd Street. Once again, we are very happy with our stay, and would recommend it to anyone.	
Jul 24 2006 	great base hotel	My husband and i stayed at the comfort inn for 2 weeks in july.This is a great base for all that New York City has to offer.We had a room on the 6th floor at the front of the hotel, and we found our room to be fine for our needs.The complimentary breakfast is totally adequate, and certainly sets you up fpr the day.We would definately stay there again.	
Jul 7 2006	Great Location Nice place to stay	I just spent 9 nights here in late June with my two teen sons. The location was super. A bit away from Times Square, but in the middle of Manhattan. We could get anywhere uptown or downtown within minutes on the bus or subway, or a $5.00 cab fare. It was nice to be apart from all the tourists in Times square. I loved shopping Macy's Herald Square. Just a half block away. Lots of restaurants close by. The buses run up and down 5th and 6th avenues, so close for getting around. Breakfast was just great, staff were really nice and helpful. Absolutely NO bugs, No street noise at night. Quiet and comfortable rooms. I would definitely stay again. Air conditioning worked fantastic after a hot humid day.	
Jul 7 2006	location location location	We stayed in the Comfort Inn Manhattan in May of 2006. It was a great location, which was in Herald Square next to Macy’s on 35th and Broadway. Vinny was very helpful by taking our luggage and letting us store it before we checked in and after we checked out. The workers at the hotel were very friendly. The room was small but nice. The shower sometimes got cold but what do you expect with a 100 year old hotel. The hotel was neat because it was older and had character. If you go, check out the old railings in the stairway. The stairs and the old mail slot next to the elevator have a lot of character. There is a nice Irish pub next door and down the way. The 32nd ‘N’ stop is right next to the hotel. The price was very reasonable compare to other hotels in the area. The breakfast was included and it was really good. I would recommend this hotel if you plan on visiting all the sites. We were very close to all the major tourist sites.	
Jun 18 2006	We'll be back - again!	My husband and I stayed at the Comfort Inn, Manhattan last month for 4 nights, it was our second time to stay there and we were once again impressed. We had a great room on the 12th floor with a view of the Empire State which we loved. NYC was roasting when we were there and the air conditioning in the room made it a cool oasis from the city heat. The room was clean, the hotel is in a great location, the staff are helpful and the breakfast ample. What more could you want?! We will definitely return to the Comfort Inn on our next trip to New York.	
May 17 2006	missing you already	Myself and my boyfriend recently stayed at the comfort inn manhatten and really enjoyed our stay there. The breakfast was very nice especially the doughnuts and waffles.The location was fantastic for the empire state building, macys, times square. We saw Tom Cruise and Matthew Broderick while we were there too.Brendans food was excellent too and the irish bar accross the road so will definately return to stay hopefully for longer.The staff in reception were lovely too so hopefully we will see you all next time.I will be recommending this hotel to everyone.	
May 6 2006	Fantastic hotel and location	My partner (now fiance after our visit to the empire state building) and I stayed at the Comfort Inn for 5 days at the beginning of April and could not fault the place in any way. Our room had 2 double beds, plenty of room for all our shopping bags (most important) and the bathroom had all we needed. We always found the shower to be warm and very powerful, exactly what you need after a full days shopping!! The hotel also provided a safe for a reasonable price which saved carrying large amounts of cash or passports around each day. There was also a hairdryer and iron and ironing bored included which made life easier!!The staff in the hotel where very welcoming and Alex helped with any queries including arranging our return transport to JFK which was great value for money. Location of the hotel was fantastic, just metres from the subway station and walking distance to almost eveyrwhere! Macy's was at the end of the block and the Empire State building just one block away, both a must see!! Although comfy shoes definately required!We both loved the comfort Inn and would definately stay here again!! Do you want to go to New York to stay in a posh hotel or stay in a very clean and reasonable place like this and have alot more money to spend in the shops??? i know which i'd choose!!If you go to New York i'm sure you will have a fantastic time, I know we can't wait to go back!!! Have a great holiday x	
Apr 18 2006	Convenient Hotel	We stayed at the Comfort Inn for 4 nights. The best part of the hotel was that it was convenient. Our room was very small, we were told we would have a queen sized bed and was given a small double and it was very noisy (we only managed to get 3/4 hours sleep per night) due to the noise outside. The breakfast was adequate and most of the staff were friendly enough (Alex was the best), but next time we would like to stay in a hotel which is more luxurious. We would rather have 2 nights in a nicer hotel than 4 nights here. You get what you pay for, but none of the hotels in New York are particulary cheap and we felt for the same money (or not much more) we could have chosen a much better hotel.	
Apr 15 2006	Hotel in excellent location	We have just got back from a 7 night stay at the Comfort Inn Manhattan. The hotel is old and the two elevators are very slow but this hotel was fine. Our room was very spacious and clean,it had a comfy bed, iron and board, hairdryer. The shower was ok but hard to get the right heat, water either too cold or too hot. Apart from that, we had an excellent view of the Empire State Building! The breakfasts were great, coffee, bagels, doughnuts, fruit, cereal, toast. The best thing about the hotel is the location. It is ideal for Empire State, Macy's, subway, etc.. I would like to stay in a posher hotel next time but if money is tight then this hotel does the job.	
Apr 14 2006	Brilliant Location!	We recently stayed at this hotel and had an absolutely wonderful time. The location is ideal. Just one block away from the Empire State Building and a five minute walk to macy's and times square. Although the rooms can be a little small, they are spotless and comfortable. The free breakfast is excellent. A wide range of bagels, cereals, toast, juices, porridge, coffee, teas and doughnuts and you can eat as much as you want. The perfect start to the day as it can be quite dificult to find somewhere for breakfast in this city. We had a room on the top floor so it was very peaceful at night. The staff are extremely friendly and helpful. This is a wonderful hotel and excellent for the money! Already planning my next visit!	
Apr 6 2006	Great Location!	We visited on March 31, 2006; We only stayed overnight, but it was a great location and very comfortable. The room was small but we had 2 double beds and the bathroom was very clean. We had not requested a non-smoking room so this was a smoking room. Except for the ash tray found on the dresser, we could not tell that it was a smoking room. Everything was extremely clean and very decorative.I would recommend this hotel; the price was good and continental breakfast was great. They served us next door at Brendan's Bar &amp; Grill; we also ate lunch there and the food was great!.	
Apr 6 2006	nice stay at Murray Hill	We recently had the pleasure of staying 5 nights at the Comfort Inn Manhattan at Murray Hill. It was built in 1902 and had a wonderfully nostalgic aura about it.The staff were all friendly and efficient, except for Alex-he was just outstanding!Our days weren't complete without a visit with Alex to find out the best places to see in N.Y.The rooms were comfortable and clean, and the continental breakfast was just enough to start our day. We highly recommend a stay here when you visit N.Y.	
Mar 29 2006	Excellent location good place to stay i will come back!	I have spent 6 nights in NYC and I stayed in Commfort Inn. Location is excellent in Midtown between 5th and 6th Avenue, just one block away from Empire State. It is also very near of subway station just few meters from the hotel.They serve continental breakfast and this is a plus because it's hard to find breakfast included in NYC. Breakfast is not served in the hotel but in Brendan's a kind of Irish Pub/Restaurant but you don't have to go out of the hotel because there's a comunicating door between the hotel and the pub.Room was basic but clean and big enough, bathroom was also clean and nice but a bit narrow. There was just a strange (humidity I supose) stain on the ceiling.35th street can be a bit noisy at night so try to get a room in top floors.Staff is very helpfull and kind.When I come back to NYC I will stay in Comfort Inn.	
Mar 14 2006	What a gem! Perfect location top service!	This hotel was pefect for us. We were five budget travelers in NYC for five nights. The room (#405) wass't very big, but we did have five people sleeping in it. The sheets and pillows were superb, something I'd expect from a five star hotel. The bathroom was old but recently renovated so it was comfortable. The free breakfast was great, a selection of bagels, donuts, juice and cereal. Unfortunately there was no hot breakfast, but you wouldn't really expect more from a 3 star hotel. The location was simply perfect. I would not have wanted to stay anywhere else in NYC. We had a metro stop a mere two minute walk away, Macy's at one end of the block, 5 Av at the other, the Empire State Building across one block and plenty of food shops to eat at nearby. We always felt safe in this neighbourhood. The people at the front desk were very efficient and friendly, especially Alex. Just don't jump up and down in the lifts, because if you do, you will cause it to stop (like we did) and get stuck there for 40 minutes whilst they try get you out. I would return to this place for sure, and would recommend all my family and friends to stay there too!	
Mar 10 2006	I love the Comfort Inn	I have visited the Comfort Inn for the last 7 years and was a little concerned about some of the recent reviews but on my 8th visit I was not disappointed. Yes the hotel is a little shabby (but that's part of its charm) but hey you get what you pay for - and you don't spend all your holiday in your room. I had a lovely room on the 3rd floor that had a new carpet, new bedding and it looked as if the bathroom had had a spruce up. If like me you like to shop in New York save your money on fancy hotels and have more shopping money. The complementary breakfast is adequate and the Comfort Inn cannot be rivalled for its location - Macy's at the end of the street one way and 5th Avenue at the end of the street the other way. The staff are great and also the car service they use to take you back to the airport. Thank you - I shall be there for my 9th!!!	
Feb 21 2006	It is what it is	I'm absolutely amazed at the number of reviewers from the UK who had issues with this hotel. I mean...I've been to England and this is on par with places of similar price there. For what it is, the Comfort Inn is great.The building is over 100 years old and rennovations have been...selective. We had room 612. It's one of the larger rooms, having a feeling of a cruise ship state room. The ergonomics of the room leave a lot to be desired. When getting ready in the morning be sure you close the toilet lid, lest something jump off the sloping glass shelf and into the bowl. The small modern pedestal sink contrasted nicely with the smallish, sloping porcelain tub from the 20's. In fact, everything sloped in the room. The hallways are extremely narrow and covered with the most hideous, awful carpet. If you made a wrong left turn in our hallway, you'd tumble down a steep, narrow marble staircase, never to be heard from again.The room had recently been refurbished, new carpet, wallpaper, bedding and curtains. The room was still...odd and old. The baseboards could have used a lick of paint, about the tenth layer. The radiator covers had quite a few coats of paint too. The furniture had seen better days.But all in all you can't beat the location. The staff were all friendly and helpful. The breakfast was more than ample. There were 38 cable TV channels. The Korean place across the street was great for dinner. The Playwright Pub makes a great burger. The coffee place next door has a hot cup and a pastry available at any time.As for those who complained about the price for what you got, I'm really curious where the new, clean, cheap hotel in Manhattan is. I'm entirely convinced that it doesn't exist. If you want a good value for the money, a great location and a comfortable place to sleep, this will do the trick.	
Feb 21 2006	Great little hotel	Recently returned from my second trip to New York and have to say that the Comfort Inn Manhattan was a great place to stay. OK it could probably benefit from a bit of redecoration but it's clean and the staff were all very friendly and helpful. The room was a good size, we had a double and a single bed and there was plenty of space in the bathroom.Having a safe in the closet was very useful and there were plenty of hangers and space for my clothes.We had a room on the eleventh floor and had a great view of both the Empire State and Chrysler buildings from our window. The breakfast included in the price of the room was good (especially the donuts!) and the cooked breakfast was great for a few dollars (highly recommend the pancakes). It was also very handy having a constant supply of tea and coffee in the lobby. Brendans restaurant also does a fantastic evening meal and the bar was a great place to hang around in whilst we were waiting for our airport transfer.The other great thing about this hotel is its location. A minutes walk to the nearest subway and 3 minutes walk to Macy's, with Times Square, Manhattan Mall and Fifth Avenue shopping also within easy walking distance.I would definately stay there again as it is a great little hotel that is certainly value for money.	
Feb 20 2006	Great! (For a 2 star)	Myself &amp; 3 other ladies (aged 32 to 62) stayed here last weekend and we were all very satisfied (and relieved, considering some of the reviews!) and would definitely recommend this hotel if you want to stay in central Manhattan (literally 2 minutes walk from Macy's) on a budget. We paid $154 plus tax per room per night incl. a self-service eat-as-much-as-you-like unlimited continental breakfast of bagels, cream cheese, bread/toast, juices, cereals, freshly brewed coffee &amp; tea, fruit - with an option to pay extra for a cooked breakfast with about 8 choices. Yes, it was on paper plates with plastic cutlery, but you can't have everything - remember, it is a 2 star. Staff very friendly, though we had nothing to complain about so not much dealings with them! We had 2 rooms on 9th floor with 2 double beds in each. Room 903 faced the street, hense very noisy at night (although we did have the window open), even though we were so far up, but this was our only complaint. It had a big bay window, fridge, microwave, safe, loads of storage for clothes (and shopping!), very comfy beds, lovely modern bedspreads, bathroom spotless with excellent pressurised shower, 4 each of bath towels, hand towels &amp; face cloths, all changed every day. Can't complain at all. Room 911 along the corridor was slightly smaller but with same amenities, and its window faced a brick wall, which wasn't great, but hey, we didn't have time to be looking out the window! It also meant it was a much quieter room. No noise of pipes. Lifts working perfectly during our whole stay. Bar adjoining hotel (residents could access it from lobby without going outside) was lovely - quiet in the afternoon &amp; buzzier at night - seemed to be very popular with non-residents too. Served food, though we didn't sample. Table service for drinks was excellent. Lobby is small but very attractively decorated with lovely couches and beautiful flower arrangements and unlimited 24 hour tea &amp; coffee machine. Really, as far as we could see, this would be rated a lot higher than 2 star in some other countries. Sure, you need to turn a blind eye to the odd bit of peeling paint/yellowing walls, but nowhere near as bad as we expected. Just remember, it IS a 2 star! And it IS in the most convenient location of Manhattan and it is a helluva lot cheaper than many hotels around there with the same standard! Go there!	
Feb 17 2006	It's a deal...no 2 ways around it!!	Okay..it's old. It's a little in need of a few repairs. Needs a little paint. Hey...who doesn't. If you don't like this place, then you would never visit your favorite, old aunt for Christmas.The Comfort Inn Manhattan is your old maiden aunt who is the most charming, excentic, formally beautiful lady you have ever met...and she has seen it all, too.Expect the worst from her and you will, indeed, be delighted by her staff (Alex is a real pro at multi-tasking) and the unbelievable centrallity of 35th St. Did I mention that she smokes a cigarette now and then and doesn't clean the floors too much, but she makes sure you have clean sheets and towels everyday? And she goes to great lengths to serve you a wonderful, filling breakfast in her antique dining area every morning!!! What a gal!!My wife and I stayed there for 4 nights in a 2 bed double on the nighth floor. Clean, neat, but no view...but who cares. Where do you think you are...Hawaii? Get out there and have fun!!!If you want to regulate the temperature....run the AC if the the steam heat is a little hot....it worked!!!!The stairs are very stylish, with the iron railing and the marble steps. They do not makem like that anymore. And, hey...both elevators work!!!! Had to wait maybe 20 seconds one day. Love it!!!We went to CNN tour, Wall Street, Chinatown, Grand Central Station, all of Times Square, saw Donald Trump at Letterman, Michael Moore at The Daily Show, Spamalot, Wicked and Westminster Doggy Show for the hound and doxie picks and the best of show later that night. If we had a view, it would have gone unnoticed. If you go to NYC, you go, go , go and then sleep.For all those who slammed this wonderful dusty old gem, go to the $400 a night places and grumble about how much everything costs. Leave your pride at home and enjoy the greatness of NYC. What a place.And we did all of this right after the Blizzard of '06.Go, spend your money on the things that count, and have fun!!!!!Kevin and Liz from Charlotte	
Jan 27 2006	Good location.....but the hotel left a lot to be desired	I was disappointed with my 5 night stay at the Comfort Inn Manhattan. The hotel was in a desperate need of updating, the rooms were small, the noise from the pipes kept me awake most of the night, the reception staff were unhelpful (with the expection of one man) and the bathrooom needed a good clean.On the plus side, the hotel is in a good location and the bar next door was nice. I did not feel that this hotel was good value and would not consider staying there again.	
Jan 27 2006	You get what you pay for!	For a two star hotel in the most ideal location in Manhatten, the Comfort Inn was great. OK - It looks a bit tired in the (recently refurbished, the floral bedding has gone!) rooms and the heating / air con has a mind of it's own, but it was clean, comfortable and perfectly adequate. The staff WERE helpful - especially Alex on reception, and everyone was friendly. The breakfast in Brendan's next door was plentiful and the bar itself proved a useful place to relax after a days shopping or sightseeing. For the price and location I would recommend it for a short, no frills break. We would go back...	
Jan 23 2006	Try some place else	The staff was not helpful, the room was tiny and not what I had reserved. Very run down, needs a lot of work.	
