	Nice hotel	I agree with great service and very nice room. We upgraded to a one bedroom suite and it felt like we were in our apartment in NYC. A nice apartment at that. Everyone was very helpful.Now onto the opinion side of things. This is a great hotel if you want to be in a residential part of NYC and not close to the big attraction. If you want to party, stay in the meatpacking district. This is not a party hotel. It does have a nice bar downstairs, but you are not getting in at night just because you stay there. The rooftop was a dissapointment because it was enclosed and stuffy and not much of a view. If you wanna party ,stay at the Standard. If you want a rooftop, check out the Gansevoort. This hotel just seemed dark and stuffy. The W-Union Square, which is close by and closer to hustle and bustle, looked more airy and more people hanging out in lobby.I think I was just looking for a little bit more fun hotel. This hotel is a good place if you want a quiet getaway to NYC and want to stay in your room. Which I don't know who is looking for that? Celebs that don't want paprazzi? It is a &quot;nice hotel&quot; just not what I was looking for this time in NYC.	
Nov 1 2007	I love it but...	There are several things to love about the hotel:The products are awesome, the shower is fantastic, the entire hotel has a great smell, the beds are super duper comfy, the windows open for fresh air, access to the rooftop is fun (and i had a star sighting) and the floors are hard wood, which to me says &quot;cleaner than carpet!&quot;BUT, as much as I love the hotel, there were several service problems that I encountered:1. Slow: I checked in at 5 or 6 PM and my room wasn't ready! checking me in took almost 30 minutes!2. The Park:Got the key to the park from the front desk. They don't give you the key, but instead send a bellman to let you in. The bellman was supposed to come back to get me in 20 minutes, but the bellman never came back. I even called the hotel twice. Some lovely neighbors with a key had to let me out. 3. BIG Mistake:I made a reservation for one day, but wanted to stay for two. They said &quot;no problem, but you'll have to take another room and we'll move your belongings for you.&quot; &quot;No problem,&quot; I say and went about my day. When I went to get the new key and go to my new room, I walked in on people who were already given the room! Did I get an apology, no? Did i get anything comped, no! I don't know what happens behind the desk, but it's not good and it's really inefficient.4. DVD?Ordered a DVD from their list and it never ever came.All in all, I love the hotel, but they made a ton of mistakes. I would never pay to stay here, but it's on my list of corporate preferred hotels, so yes, I would stay here again, but not on my dollar.	
Oct 22 2007	Disappointing	I agree with the negative reviews below. I feel the hotel tries to be too many things to too many people. It's a fashionable nightclub-type place for New Yorkers and attempts to be a hotel as well. We stayed in a room just below the roof top bar and the thumping from above was just dreadful. We had just flown in from Europe and wanted a rest and there was a private party going on above us. The way I see it you're either a hotel or you're a nightclub, not both. OR at the very least sort out your noise insulation. And pls pls pls repair the screeching lift - it's embarrassing . We left at 1am on our first night.	
Oct 6 2007 	Have a drink and stay elsewhere!	All style and no substance. We stayed here last night for our anniversary.I work 10 blocks away and we live in a NYC suburb and have stayed in most of the hotels in NY. The much acclaimed roof bar was closed for a private party. The restaurant got an awful review in the Times this week so we cancelled our reservation. We scheduled massages in the &quot;spa&quot;. When I called to confirm upon arrival, I was told we had no reservation, after being left on hold for 15 minutes they figured it out. The &quot;spa&quot; was 2 roomd with paper thin walls in the small gym without music,candles and only threadbare towels. I could here every step from the treadmills. The therapist arrived 10 minutes late from a previous appt. downtown.To top it all off, when we returned to our room at 11pm after dinner,it was boiling hot. The A/C was not functioning. After someone came up and was unable to fix it, the manager offered us a new room,and gleefully said it was an upgrade(gee thanks at midnight I was thinking of getting in my car and driving home).Needless to say not the best anniversary. In all fairness,I must say they were apologetic and did not caharge for the room.Lots of better choices in NY	
Sep 26 2007	Great Experience	I had stayed at a few of Schrager's hotels (Mondrian, Delano, and the Hudson), but this looked nothing like them. The Gramercy Park has more personality to it, which I like, and more interesting decorations. There's some serious art in the lobby, bars and even in the rooms (Basquiat, Twombly, Hirst, Warhol, Schnabel) so the overall feeling is more bohemianthan modern. There's a garden bar on the roof for hotel guests, which is really beautiful, and a Chinese restaurant from Nobu that opened right after my stay there. The staff was very attentive, and despite my short stay, managed to remember my name—the mark of a great hotel. It's a shame that tourists don't normally get to see the Gramercy Park area, so I'd highlyrecommend the GPH for anyone that wants a completely different type of experience.	
Sep 19 2007 	Treated Like Royalty	From the moment the handsome doorman opened my cabbies door and I was ushered into the art filled lobby of the Gramercy Park Hotel, I knew that my weekend stay at Ian Schrager's hotel was one I would remember forever. I was impressed with the size of my bedroom as I remember hearing stories about how small Schrager's hotel rooms were known for. I felt immediately at home in the unique room -- though my home certainly wouldn't compare to the glamour of the space... The drinks were amazing in the Jade Bar - I love the intimacy of the little bar - the perfect place for a sneaky afternoon glass of wine -- and the roof terrace was gorgeous... I'm surprised there weren't busses of tourists trying to get up there as it has to be the best view in the city.I would recommend the grammercy park hotel to anyone who needs some TLC for weekend in new york.	
Sep 18 2007 	loved the public areas hated the rooms	The Rose Bar and the Private Roof Club are great -- very enjoyable, and lovely atmosphere, (especially the roof club which is wonderful for afternoon drinks) but even that doesn't balance out the rooms which are so anticlimactic I felt I had to leave the rooms to appreciate being there! Roomservices was disappointing and my morning coffee was always so cold when it arrived. Despite booking multiple rooms (I traveled with a big group of friends), when we tried to reserving a table at the Rose Bar, the staff was uncooperative. Worse yet, they gave us a problem at the door when a few friends joined us that weren't guests of the hotel -- and by problem, I do mean they were quite rude! I'd definitely recommend W the Court over this any day -- their rooms are bigger, their bar is nicer, and all their staff is much friendlier.	
Sep 18 2007 	Have never in my life had a worse experience	My fiance and I decided to treat ourselves to a weekend in the city after our Jetblue flight to California was cancelled. It has taken me this long to write this review because I get so upset just thinking about it. The service was absolutely abysmal. At $500 + a night, one would expect to be treated like a guest. Not so here. I left in tears on Sunday.	
Sep 18 2007	non pareil! incredible!	Incredibly chic, incredibly beautiful, and aesthetically pleasing in ALL ways. Anything you needed in a hotel room was already there, beautiful crystal, luxe cotton velvet draperies, mario badescu bath products in the bathroom, hand set ceramic tiles, deep english bathtub...exquisite color scheme, sage green and claret, walnut floors. NO NOISE whatsoever in room. Attentive and gracious staff. All of these things and more will make this my hotel of choice in NYC. So beautiful one could come to the room and never leave to see the city. Jade bar and adjoining salon very romantic. 5 stars.	
Sep 17 2007 	Beautiful Hotel not so beautiful service	I' ll start out with the good points... the bellmen were wonderful and inviting. The bellman we had were engaging and professional everytime we came in contact with them. The lobby is beautiful and original with a royal feel to it. The rooms are very English feeling with dark colored walls and rich fabrics, I thought the room was amazing and the bed was very comfortable. The location was close to just about everything and the neighborhood is pretty quiet and very posh. The roof top bar has a wonderful view and a charming atmosphere. The bad side of our hotel stay had to do with the placement of our suite on the third floor, we very unfortunately were right above the bar which at night on the weekend can stay open until 4:00 am. I called three times about the noise, the first was around 11:30 and was told the music would be turned down. We left the hotel for about an hour and a half because we could barely hear the movie we rented.We came back and the noise was still very loud(continous thumping of the bass), I called the front desk again and was told the music would be turned down. At 2:30, I called one last time saying the music was too loud and was told by the front desk that my complaint had been brought to the manager's attention and that they had turned down the music already. At that time I was also told we only had about an hour and a half left before the bar closed and that it was very late so we could not change suites at this time. I have a hard time being diplomatic about noise when the main reason people go to a hotel is to have a place to sleep and at $800.00 a night I do expect to be able to go to sleep before 4:00am if I chose. The lack of hospitality at the front desk and the room attendant vacuuming outside our door at 9:00 the next morning just added to my dislike of the service(remembering we were awake until 4:00). I spoke again with the front desk the following day, inquiring if the bar would be open till 4:00am again on Sunday night they said &quot;No&quot;, but when I explained about our sleepless night, I got a shrug and an &quot;Oh Really&quot; , but not a sorry or is there anything we can do to make your stay more pleasant. I feel this &quot;beautiful&quot; hotel should invest in some hospitality training and also they have been open awhile, they should know not to place people in the rooms above the bar due to the noise on the weekends. No matter how nice a hotel looks, it should feel even better....	
Sep 7 2007 	excellent gramercy park hotel	gramercy park is a new gorgeous hotel in new york, trendy, sophisticated,with a beautiful lobby (mix of contemporary and gothic) and a stunning terrace where you can have brekfast or have a evening drink.rooms are not too big but good size for ny with very confortable beds,service is always attentive and the restaurant at ground floor really excellent,with a tuch of newyorker social life.we found this hotel much better than the oldest fashion trendy soho's hotel as mercer and soho grand.only the consierge is not too friendly.i defintly suggest gramercy if you like new fashion chic hotel.	
Aug 20 2007 	Wonderful stay but . . .	Me and a co-worker just got back from a weekend at the Gramercy Park Hotel. We were really looking forward to it because of the outstanding location and the beautiful property that this hotel is reputed to be.On check-in the service was excellent, though we were not offered an upgrade from our poor view/quite small room. And I could see the hotel was not at capacity.The room was lovely, great furnishings, nice touches. The service excellent. The rooftop was breathtaking and we had a drink there in the evening as well as breakfast the next day. The rooftop is now on my personal top 10 things not to miss in NYC.The only slight issues we encountered were at the Rose Bar. We were there with a couple of friends, we had a midnight reservation and arrived at around 9:30. After our tab was at about $700 of drinks they told us they may ask us to leave as the tables were reserved. I told them that we, in fact ,had a reservation. She said we may still have to move. I appreciate that they need to accommodate their patrons BUT it was not busy (it is August) and we were guests of the hotel. She never mentioned it again, nor did she apologize, so we never quite knew where we stood until we left at around 1:30. It certainly made, at least me, feel less than welcome.And on another note, the next morning housekeeping came to our door twice and asked us twice how long we would be before checking out. Shouldn't we be asking them that??Other than those two very slight considerations, my experience at this lovely, well run, beautiful hotel was wonderful and I highly recommend it to any who enjoys better hotels and wants to avoid the big boys (Ritz, Mondrian, etc.).And I could not review this hotel without mentioning the sheer joy of being surrounded by the magnificent artwork.	
Aug 18 2007 	Grand Hotel with an eyeblink to Art	It is a Grand Hotel. I want to say that first. But the more you get to know GPH, the more it will surprise you.I had stayed three nights at the NY Palace (between 50th &amp;Madison) and changed hotel for my last night in NY.This hotel is a 5 star NYC Hotel but you can easily understand that is different.It's not where grand hotels are. It's in the Gramercy District, where Lexington finishes just on Gramercy Park. Great location if you want to visit SoHo or TriBeCa.It has not the staff that luxury hotels have. The management must have organized sort of a competition among the nicest girls and guys of NY to find its employees. Beautiful girls at the reception or goodlooking bellmen in black tie (different uniform form hotel luxury hotels) will welcome you on your arrival. I have to mention even the friendly and helpful Concierge Staff.Beyond the entrance door, in the lobby, Warhol and Basquiat paintings make you step back. Everything in that lobby tastes of art.Have a drink or play pool onthe red leather pool table in the Jade Bar. You'll see NY moving in that place...I've personally tried a One Suite Bedroom. Great! As many amenities as a modern luxury hotel should have and more maybe... iPod nano with ready-to-go playlists and JBL On STAGE II Speakers will give a rythm to your stay. I also appreciated the 2 26 inches LCD TVs, the Mario Badescu Lotions, the design bathrooms with Frette bathrobes and the great italian Linen.Once you've seen your room you have to know that it is a Bazar...YOU CAN BUY ANYTHING YOU SEE IN YOUR ROOM, not the beds I mean, but umbrellas, ipods, crystal glasses and prices are often too high.Poor Breakfast. I had breakfast included rate and so I got it but they'll charge you 10$ for a Cappuccino!!!! that is pretty unfair as we had to pay for hot beverages and no one form the hotel had mentioned that!!!Prices. I got a deal for the suite at 400$ (as there was an offer for August) but prices are about to raise vertically... the normal rate for that suite goes from 1100$ to 3500$.Try GPH at least once when you go to NY. I'm sure you won't regret your previous Grand Hotel.	
Aug 13 2007 	Worth every penny!	Having stayed at the Manderin Oriental and the Soho Grande, we had very high expectations but we wanted a change....this was a special occasion and the hotel staff made certain everything about the weekend was wonderful. The room was outstanding (though we did need to be moved, since the first room had no view), the location perfect and the roof top bar beautiful. The concierge could have been more responsive, but we are used to that in NY (we are too old to be part of the &quot;beautiful people&quot;).If you are willing to spend just a little bit more, this is a great choice for a romantic weekend. The location is better than the Mandarin and the staff was as accomodating.We will definitely be back!	
Jul 27 2007 	Fabulous hotel	My husband &amp; I stayed at the Gramercy Park hotel over the weekend of July 21st. We booked our room through the hotel website, which has special weekend rates. Part of the deal included a free upgrade based on availability. We arrived early in the morning on a redeye and were able to check in to our substantially upgraded room early. I can't say I would have been as pleased with the hotel had we been given our &quot;entry level&quot; standard superior room as I'm sure it was significantly smaller but we loved our loft category room. The rooms are a bit dark and the lighting isn't that functional but the beds are wonderful, bathroom products are great and the decor is truly unique. The rooftop bar was closed for a party saturday night be we did wander up during the day and could see it would be a great place to have a cocktail at night. If you plan to visit the Rose Bar after 9pm be sure to make reservations, it is a hot spot in NY. If I had a complaint it would be the food from Room service food which was expensive (no surprise for NY) and not that tasty. All and all, the hotel is beautiful with an attentive staff and cool vibe.	
Jul 22 2007 	Best hotel in NYC	Really, there should be more than 5 stars to rate the Gramercy. It is exceptional. Much more than a hotel.To give you an idea of this reviewer, my husband and I have been fortunate in our work to have stayed at some of the best hotels in the world. Hands down - Gramercy Park Hotel is our absolute favorite, and this was our first stay.The reviewer from Barcelona said it best - the place is phenomenally gorgeous, the staff offer service and a graciousness as if Gramercy is their own B&amp;B, and everything about it is top notch. Worth every single penny. Every single employee at the Gramercy has a warm, attentive, relaxed vibe. Philip and Max at the door were prompt, gracious, and fun to chat with. David Mareno, the manager at the concierge, is delightful. David the driver (yes, you get a free ride in a 400 class Mercedes up to 20 blocks anywhere! Book with concierge) was very kind and remembered our names and lives from the first ride. I regret not remembering all the front desk staff's names, but each and every person we encountered were incredibly generous and kind.We booked a suite at the last minute, and it was everything we could have hoped for. Gorgeous, very roomy, nice lighting and details. We had booked just a suite without preference, so didn't have a park view, to which the front desk offered us complementary upgraded for the 2nd night without our asking (we brought our baby this trip - who wants to move?). Perhaps not mentioned in other reviews is that you have full access to Gramercy Park - a highly coveted private park which unfortunately happens to have museum-like stuffiness. I've known life-long New Yorkers who've never entered this gated park. Just ask the door guys to let you in, and call them to leave. (Get the picture? It is lovely, however...)The roof is wonderful and the drinks / food are expensive, but the real selling point of Gramercy is its people. I can't go on enough about them. I finally had to ask one of the door guys about it - really everyone acted if they had ownership in the place - he said working there is as comfortable as a family and most have worked together for years, even before the Gramercy. THERE IS ABSOLUTELY NO UPTIGHTNESS ABOUT THE PLACE. It's comparable to coming home. Truly ! This is important to mention, because in our stays of some other beautiful places, you'll run into a snooty bellman or stuffy front desk. Perhaps you request extra toiletries, and attitude arrives. At the Gramercy however, housekeeping brought a bagful of soaps with a smile.I could go on &amp; on about the beautiful interiors, but other reviewers have described the Gramercy immaculately. Simply put - we returned relaxed like we had spent our days on holiday instead of 16 hour workdays and meetings.We made friendships here and cannot wait to return to our home in NY. I immediately booked corporate rates for our frequent trips. We'll never stay at another hotel in NYC. Does that convince you?	
Jul 16 2007 	We loved our stay at the Gramercy Park	My husband and I stayed the week of 4th of July and to be honest we were weary of staying at the Gramercy because of the bad reviews I had read on this site. A week before checking in I called the concierge Thomas and he got us reservations to Nobu and Peter Lugers and tickets to two plays we wanted to see. His service was great and once arriving at the hotel we were treated really well by all the employees there. We loved our room and would definetely recommend this hotel. The last hotel we stayed at was the Soho House and although we enjoyed that area we overall liked the service and the rooms at the Gramercy.	
Jul 8 2007	Sexy beyond belief the Gramercy is worth every dime.	The excellence of the Hotel Gramercy Park began the moment we walked through the revolving front door into the sumptuous, delightfully fragranced lobby.Immediately upon our super early arrival at 7am on 4th of July, we were accommodated with a room. Phillipe, the bellman, was solicitious to us as well as running interference between us and a “colorful neighborhood type” who apparently visits the lobby quite often. We were brought up to our room, on the 14th floor, a “Deluxe Loft Room” (at a price of $2,712 for 4 nights including all taxes and daily breakfast for two = approx $678 per night). However, it did not have a view. I requested that we have a view, and in a pleasant manner, I called down to Jamie at the front desk. I explained to him that this was my boyfriend’s first visit to NYC and that we would really appreciate a view. They moved us to room 1704, arguably the best room in the hotel with an entry with two double windows on to the park and then a separate bedroom with glass door and lovely velvet drapes (everywhere) into the bed area. I later found out that this is the “Park one bedroom suite” and usually goes for twice the price of the room we had booked and paid for! It was amazing in every way. The rooms are wonderfully photographed on the Gramercy Park Hotel website, so I wont bother with the descriptions too terribly other than to say the everything was in excellent condition, clean, and well maintained. There were literally stacks upon stacks of fluffy white towels in the bathroom. And as has been explained before, the toiletries are amazing.At night, the turn down service lights a special scented votive in a lovely red cut glass hurricane lamp. I believe it is the same scent that they have in the lobby – wonderful and the candles can be bought from the hotel for $90. Worth every penny to remind me of this place.This is a special hotel: sexy beyond words. The gym and spa are microscopic, sure, but they are very well laid out and maintained. The two treadmills have a view to the park and the two elliptical machines have a partial view. The massage I had with Ernst was one of the best in my LIFE. There is a refrigerator full of pint-sized bottles of water also with a bowl of apples upon it – so you can stock up and save, if that’s important to you. It’s not a priority to my man and I, as we splurge on room service often. The room service food itself was fantastic. We had, on different occasions, the salmon and caviar plate (super good with generous amounts of smoked salmon and salmon roe, toast points, and crème fraiche), the tuna tataki (tasty, fresh bright red tuna but unfortunately with chopped bits of – why oh why – watermelon – mixed in), the macaroni and cheese (fantastic swirls of mac with just enough cheese to coat the spirals and with toasted breadcrumbs on top), the cookie plate (sort of “meh” other than the fresh baked chocolate chunk cookies which were better than average but not spectacular). Breakfast is where room service is the way to go if you can’t make it up to the AMAZING roof terrace. We did the breakfast included and he could get his favorite American breakfast with eggs, a meat, toast, potatoes, coffee and juice. I got the continental (the usual coffee, but they allowed me to substitute a double cap for no extra charge, the fresh squeezed juice, breads – including dang good pain chocolat – and then I would add on yoghurt every day). The food always came super promptly (they warn you when you call how long it will take and even one busy night, it only took 30 minutes when they said it could be up to 45) and at the appropriate temperatures.The mini bar (they call it the “English Bar”) is simply fantastic. Yes, the prices are typical mini-bar high, but few mini bars have such good stuff! I won’t list it all, but my favorites were the bottles of Diet Coke (in little old-school mini bar bottles), the Godiva liquor, the Dean and Deluca cheese straws and the Orangina. Lots of goodies to buy in the mini-bar, as well, though $90 for the hotel signature candle seemed steep. Also in the bar is a spot that you can insert your iPod or the hotel will loan you one (but don’t lose it or you are set back $750!!) and it blares tunes out at a suitable loudness for the entire room.The rooftop private club is the best reason to book this hotel. We loved it and spent nearly every waking moment there, as we are pretty much homebodies when it comes to traveling. There are a variety of environments up on the roof, and you may bring a guest or a few guests to enjoy the experience with you. Of the various seating areas, two of them have massive flat screen TV’s with CNN playing all day. I would prefer to have something else playing (and the volume was off anyhow), but I never bothered to ask. The help was always accommodating in every way, quickly serving us food and drinks with very little wait, even on busy Friday nights and Saturday cocktail hour.I found, in fact, the service to be quite good, if not utterly flawless, in all departments. For example, everyone was always pleasant and checked back with you to see if you needed more of something or another. On the other hand, on evening I ordered a glass of Veuve Cliquot rose along with my late night crème brulee dessert and it was not the right champagne. They sent something blonde, not pink. I called room service and was told they would send up the proper glass of bubbly. Then they called back and said they needed the other glass of the wrong liquid returned. It seemed a bit cheesy to ask for that, though of course we obliged. On another hand, we sent two shirts out on July 4th (a holiday!) in the midday, and asked if we could have them back the next day by the evening, and they actually got them back by mid-afternoon. The shoeshine was also quickly turned around and was, as such things should be, complimentary.On another service note, there were some discrepancies in the attention to the replacement of toiletries in the room. When we initially checked in, there was no conditioner in the shower. Sometimes we got new shampoo and conditioner, as well as replacement facial wash and lotion. Sometimes we did not. We never got fresh soap after the 2nd day, which I found oddest of all. Occasionally we would get two shower caps and no cotton kit. But that I had to ask TWICE to have the mini bar restocked was a bit of a shame, as we would have happily gobbled down more (to the hotel’s profit) if they had stocked on a daily basis.The concierge was helpful and remembered my request for nightly reservations to the Rose Bar. The door boys (none old enough to be called door men!) were not always in sight when we exited, but then they would appear outside to hail us a cab. One evening we were fortunate enough to be able to utilize a town car that happened to be in front of our hotel. The cost was only about 20% more than a taxi and pleasantly luxurious.As a side note, if you can secure a reservation (Again, American Express Platinum concierge helped with this), try to eat at Per Se. It was divine.To sum the experience up, I would definitely stay at the Gramercy Park hotel again, if I could afford it. It is certainly not inexpensive (our bill for the mini bar, Rose Bar, and room service was equal to our 4 night room stay!), but the value is superb in comparison to, for example, our stays at the Hotel de Crillon in Paris or the Hotel San Clemente in Venice. Also, it is sexy and chic – a place to certainly brag to people about, and which, like its mate the Delano in Florida, has a glitz unequalled to nearly any other hotel in the Big Apple.	
Jul 7 2007 	unacceptable	Yes the place looks cool, in fact all the hotel employees I encountered were great as well. But at these prices the shower needs to drain, and the toilet paper holder should not be broken. And at $600 for one night I should not have holes in the drywall of my suite either. The hallway was being painted when I checked in, and shoddy workmanship was abound. My final gripe was upon checkout when I saw a $15 charge for WiFi connection. On the whole far too much money considerring the poor quality. I would not stay here again. Save your money and just look at the place but don't stay there.	
Jun 28 2007 	Style no substance.....	Gramercy Park Hotel was i hoped different to the other Schrager hotels that typically age badly and have awful services and rooms.The communal areas downstairs and on the roof deck are the highlights of this hotel.  As is typical with all Schrager properties, its a great place to visit for a night out, but there's zero reason to stay here. For an evening out, call ahead and book access to the bar downstairs or the roof deck. But definitely stay elsewhere. All the money has been spent on the bars downstairs. The hotel itself has cheap, shoddy rooms: shower didnt work properly, wall paint was peeling room 810. For $800 a night thats unnacceptable. Breakfast was ordered and never arrived. Staff were apologetic, and i wasnt charged. Errors do happen. Unfortunately it confirms the GPH as typically Schrager: all style no substance.	
Jun 23 2007 	Great friendly athmospere	In short, the vibe at the hotel is great. As soon as you walk into the lobby you are greeted by the nice musky smell emanating from the fireplace in the back of the lobby.The staff were all extremely helpful and friendly and the service at the rooftop restaurant/bar was great. I was immediately made feel welcome by the young concierge's and the rest of the staff, who were all helpful and cool to talk with. So often at these more hip hotels, the staff just doesnt seem to care about the customers, but that's definitely not the case at the Gramercy.I didnt try the bar on the ground floor, which is one of the hottest places in NYC right now and the queues in the evening's proved that. The decor did look very nice from the outside. Unfortunately I didnt have time to check the bar. The breakfast was great at the roof top as was the view.The room...was very small. The decor and everything is top of the line and the bed is very comfy, but while you have a tub in the bathroom you have no space for toiletries. Also, the chic design lamp in the bathroom obscured a bit of the mirror, so stupidly enough, shaving was a bit difficult since I had to squeeze to the other side of the mirror. All the provided toiletries are great and there's plenty of towels etc.My room was also very dark with a window to an alleyway. The hotel seems to prefer dark since all the hallways and the lobbies were pretty dark too. I know my colleagues rooms were also very dark.The comfortable and hip vibe and the friendly staff will definitely make me comeback to the Gramercy. The location is great too with everything quite close by but there's also enough peace and quiet.	
Jun 23 2007 	Sensual Textures and Colors	From the richly painted green, red or blue walls in the rooms to the splash of the royal blue throw on the bed, this hotel is a sensual experience...oh, and the pillows are amazing. Really! I emailed the hotel to find out where I could get them. It took them about two months to respond to me, but the email was about pillows for goodness sake, so no big deal. After having stayed at The Hudson Hotel, another Schrager creation, I was shocked at the size of the spacious rooms at The Gramercy Park Hotel! (Indeed, The Hudson is not designed to be spacious. I think I read somewhere that their goal is to get you out of your room.) Anyhow, the bathroom was fantastic at The Gramercy Park and could double as a sauna with the deep, rich woodwork and the shower is huge! Fantastic toilettries as well--definite plus. Back to the rooms, I love that the rooms have iPod docking stations but certainly the biggest draw of this hotel would be the textured fabrics and richness of the colors in the rooms and common areas. I haven't seen the rooftop yet but I hear it's fantastic. Also, the Rose Bar is a must but be forewarned that the cocktails are obviously crazy over-priced.	
Jun 5 2007 	A second stay at hte Gramercy Park Hotel	I thought it was time to re-visit the Gramercy Park Hotel having stayed there early last fall. My original stay there was above average, but you really can't judge a hotel until they get up and running. Hence, a second visit.There were subtle differences from my last visit, the biggest changes seemed to be in the staff. When I walked into the hotel to check-in, there were smiles from everyone. I think I was asked at least 3 times in the lobby how my flight was, how long I'd be staying in the hotel, and offers everywhere to make my stay more enjoyable. One doorman even made some great suggestions about restaurants in New York. I was quickly checked in and brought up to my room. As was the case with my last stay there, the rooms are really the coolest in NY. Again, love the huge closet, the bathroom, and the mini-bar. I immediately called down to get a reservation for myself and two friends for the Rose Bar which had been somewhat difficult to gain entry to on my last stay. That bar could be a little intimidating b/c all you see are pretty people. But when we got there later that night and the staff found out I was a hotel guest, we were treated as you should be treated when you're a guest of the hotel. I told the waitress we were guests of the hotel and her pleasure at that was most evident. And while you gotta wonder how service in a bar like that can be good, it was! On this visit, I decided to visit the gym which I had skipped last time. Very clean and a good view of the park. The restaurant still wasn't open but many of the staff were quick to point out that Nobu is doing Chinese food and it will be open this coming July. This was good news and I look forward to it when I return to NY in September. I could've skipped meals in the hotel but thought I should at least see what they have. No disappointment there. Food was very good, service very good. But the high point of this visit was the recently opened bar on the roof. This will be the biggest thing in NY once everyone finds out about it. And if you think that it will be overrun by the richa nd gorgeous, think again. The staff was quick to point out that only hotel guests are admitted. In fact, your hotel key card gets you up there. Once you exit the elevator, there was a very sweet hostess-type person who showed us to our table. And it was beautiful up there. Very, very green. Very comfortable. A retractable roof which they opened b/c it was a very mild night. The music had to be done by the same person that programmed the the IPods in the rooms. They should really sell those CD's b/c it really set the tone for the evening. Not overly crowded at all, we had a fabulous time up there and I can't recommend drinks up there enough.Overall, a great stay! When that restaurant gets open, this hotel will be firing on all cylinders.	
Jun 1 2007 	Good looking but dumb	We spent 5 nights at GPH. The look and feel is carefully crafted packaged &quot;cool&quot;, which Schrager is a genius at. The design is great and unique. Where they fall very flat is in service. My husband said it best: They just don't have their act together. Room service is just awful - the food is what you would find in missouri, and it takes up to an hour just to get ice. The staff is polished, charming and incompetent. They promise and don't deliver. All this would be reasonable if i weren't in a $2800 a night suite. The member of the family who liked GPH best was our 16 y ear old daughter, because she is not interested in a good hotel, she just wants to feel hip and grown up. If you need that, head straight to GPH, you'll have lots of company. If you're looking for a top tier hotel, go elsewhere.	
May 11 2007 	Best New York Stay of my Life	I always love visiting New York; the culture that it has to offer is like no other city. I make a point to seek out the newest and most unique sites, hotels and restaurants.My past trip to the city, I stayed at the Gramercy Park Hotel and was blown away by the ambiance and their service. The decor was so plush and comofortable, that I had a had quite the time pulling myself away from the hotel!! All I wanted to do was luxuriate in my room and visit the spa for a little TLC.If you are looking for an incredible and one-of-a-kind experience, this is the place to go.... There are original Warhol's and Schnabel's hanging throughout the hotel and are focal-points of the beautiful Rose Bar! I felt like New York's art scene was brought to me.I know that not everyone is interested in people watching, but part of the fun in staying at the Gramercy was the stream of celebs that came to party at their new private roof club. I do believe that I saw the Olsen twins this past Tuesday.Next time you are in the city, check out the Gramercy Park Hotel.... It is seriously an experience in of itself.	
May 11 2007	It's a Special Hotel	I stayed here with a friend April 21-24/2007. I thought this was a very unique hotel, spotlessly clean and luxurious. Staff was friendly. Hotel and area are very quiet.We took advantage of going into Gramercy Park to enjoy the flowers and have a look at the marvelous residences surrounding the park. While at the park a local lady told us how to get the best photo - looking down Lexington towards the Chrysler Bldg.If you're looking for something different this is the place.I hope to stay here again.	
May 8 2007	Loved Breakfast in the roof garden	I'll not copy the previous positive review but would like to add how much I liked the rooftop bar/cafe. It was a quite stunning place to have breakfast or a drink in the evening. I watched the sun go down reflected off the Chrysler building, marvellous.The art through the three bars was superb Hirst's spin, dot and butterfly paintings as well as loads of good Schnabels, Warhols, Haring('s) and a Basqiat. The rooms also had some great unsigned Magnum prints.The only slight negative would be the overprotective nature of the waitresses in the hallowed Rose Bar tried to tell us our table was &quot;reserved&quot; and that we would have to leave it at 9.30, they did relent however when my wife (feisty) informed the concierge that she would be &quot;unhappy&quot; if we had to move.The gym was a pleasant small hotel gym with a good view of the park.I actually prefer it to any of the other Schrager hotels including Sandersons.	
