	Will not say Good ... just OK types	Travel Time: November 2006Reviewer : Gaurav KumarI happened to Stay at this hotel during a business trip to New York. I stayed here for about a month. It was convenient for me to stay at this hotel as this was very close to my office, which was at 1180 Avenue of the Americas.The location of this hotel is excellent as it is at walking distance from Times Square, plus being in Manhattan has a lot of eating options around it.The was comfortable although the staff wasn't very courteous (at times even rude). After Check in I discovered the phone in my room was not working properly. I was unable to take calls in my room, On complaining I was told that this is a problem which only the IT could handle and the next two days being a holiday, it would be done only on the third day.They could not change my room as no rooms were available in the category in which I had a booking. I had to run down to the reception to take calls. Anyways after two days when the IT guy finally came in, I was told there was some wiring problem which would take another day or two. I finally had to put my foot down and after a lot of arguments I was finally upgraded to higher category room :) Leaving this aside the stay was OK.	
Nov 1 2006 	Tight and Tidy	Out of town guests for a NYC wedding had rooms here reserved (not paid for) by the bridal couple. Though the room was reserved for two, the rate quoted ($204) was single; at check-out, a $15 daily extra person surcharge was a disappointing surprise. The tiny elevators delivered us to a small, clean Euro-sleek room with a very comfortable bed. With two large windows we could view an oversized airshaft. We heard no street noise or any through the walls. The heat and A/C system was below average noise. Two phones, one cordless, was handy. After having to appeal the dress code to management after one of our party was stopped for wearing denim slacks, we found our table of twelve to be the only customers in the 152 seat restaurant, which serves only hotel guests and other club members. Sevice was slow and erratic, quality also mixed, and I had to follow-up to get the 15% discount which had been offerred. We enjoyed the living room with a bar, newspapers and free internet. I also found staff mixed in ability and interest. Great location. As for the complaint another posted about coffee at the continental breakfast, wait staff delivers it to the table, in silver thermal pots. At least they did when we were there. Spacious shower, no tub. With only a freestanding wardrobe and one drawer, don't plan on unpacking for more than a weekend. I liked the closet in the hall with extra pillows, blankets, ironing boards. A handy solution to the small room limitation.	
Oct 27 2006 	Brilliant Location 	After reading various reviews my friend and I were a little nervous to say the least on what we would expect to find on our much planned vacation. However, we had a very positive experience - good size modern room with our requested two single beds, plenty of suitcase space, nice sized bathroom. The room was next to the elevator but because the air conditioning was on a low buzz throughout the night we never heard the dreaded dings of the said elevator. Good, mostly friendly staff, and access to two pubic computers (although this was restricted a couple of times as there was a conference going on in the same room as where the computers were situated - would have liked them in a separate room for complete access). My only other gripes would have to be that it was a bit hit and miss with getting hot water in the mornings and, as it is a business hotel, there was no bar at the weekends. Two blocks from Times Square though with all the buzz of being in the middle of this great city. Very highly recommended and good rates.	
Sep 21 2006 	Good Location. Miserable Experience	Lukewarm water in a room with a filthy dept. store air conditioning window unit. Grout missing in tiled shower floor was replaced by mold. After checking in and going straight to bed, I did not discover the above until morming. Desk clerk refused to adjust room price or fix problem. He was barely conversant in English. Only response was &quot;did you run the water long enough?&quot;. Priceline picked this hotel for me. Don't pick it for yourself. This place must be scheduled to be converted to private residences or something. No sensible hotelier would let this place get so run down. Did I mention the hallway was stuffed full of banquet chairs and tables making it navigable only while walking side-ways?Oh, but the location is great.	
Sep 15 2006	Great Locale Not So Great People	I stayed at the Club Quarter's Midtown for five days for training in New York City. My training was located on 34th Street &amp; 5th Ave.So the Club Quarter's walk was not too far away from 34th Street. Though in the thick of winter is could be brutal. The locations excellent, near Times Square, walkable to Rockefeller Center. I even walked to Central Park twice. I saw couple of shows during my free time...Chicago and Hot Feet. There are several Duane Reade stores nearby for quick refreshment or personal care items. Plenty of food places too.The rooms very small and simple.The only smaller room I was in was in Tokyo, Japan. And this was bigger but not by much. The room was clean. The bath area was clean but could use some work. The cleaning staff did a very good job. If you plan to spend a lot of time in your room or there is more than one person...it's could be cramped.Club Quarters features automatic checkin and checkout using your Credit Card. So there is little interaction with the staff, good thing because some of them were not very helpful and not very friendly. I had to wait a bit for my prearranged towncar driver, he showed up at the wrong place...hmm....My biggest complaint was my room was near an elevator and it had loudest and most annoying ringing sound whenever it reached a floor. I should have asked to be moved...but it was too tired from walking all over the city after my training class. I actually used some earplugs...so my advice is not be in room near an elevator. I think if you can get a great rate and don't plan to spend much time in your room, don't need a lot of assistance then this place is alright because of the location, but after several more trips to the City, I'd know of other places to stay now.	
Aug 7 2006 	Great Location Tiny Elevators	My wife and I recently returned from our first anniversary weekend in NYC, where we stayed at Club Quarters Midtown. After reading the mixed bag of reviews for this location, we were somewhat apprehensive. However, we never spend more than sleeping/resting time in any hotel we stay in, and I think that makes a difference. We arrived well before check-in time, and had no problems storing our baggage at the hotel while we wandered around the city all morning/afternoon. When we finally did check in it was a quick, no-nonsense process. We were lucky enough to get a penthouse room with a queen bed, and a nice view of the street below. Our bags were indeed waiting for us in our room as they promised. This is where I will put in the disclaimer about the staff - if you are looking for big bright smiles and people falling over themselves to help you, do not book at this location. They answered our questions, and that was it. We barely even got a smirk. Fortunately, we aren't looking to be pampered - just for a clean, air conditioned room to sleep and shower in, and that is what we got. The room was in great condition, everything was clean, and the A/C worked wonderfully (although it took a little while to cool off when we arrived). The bed was very comfortable, and I loved the flat screen LCD tv that was attached to our wall. They do provide irons/ironing boards and hair dryers. However, they may be located in a closet next to the elevator. I guess this has something to do with the fact that they cater only to employees of member businesses during the week. I will warn you that if you are the least bit claustrophobic in regular sized elevators, you may want to take the stairs at this location. They can really only fit 3 people comfortably, and there is no A/C so it can get very hot coming down from the 12th floor. They also stop erratically. It is very odd. All my wife could think of when she rode it was &quot;what if it breaks down?&quot; Overall we had a pleasant stay at this hotel, and would most likely stay here again simply because the location on 45th street is unbeatable. You are three blocks away from all the hustle and bustle of TImes Square, theatres, and the subway - a great place to have home base.	
Aug 7 2006 	Be Careful When Making Reservations	My husband and I stayed at this hotel for one night with 3 other couples. To our surprise when we got there we were all booked with rooms with one twin sized bed. My friend who booked the room said that it wasn't mentioned to her when she booked the rooms one month ago. She didn't even know they had twin size bed rooms. The hotel was sold out as was the location at Rockefeller center and we didn't want to stay Downtown near Wall Street. We ended up having to use the mattresses from a roll away bed on the floor (the bed frame wouldn't fit in the tiny rooms).As far as the hotel goes...it is very convenient to Times Square and all the major sites. I didn't have a problem with the elevators at all. The staff was moderately nice. The room was small but it would be ok for one person. The bathroom smelled like mildew so we had to keep the bathroom doors shut. Very little storage space if you were staying more than a day or two. We paid $164 for the night...not sure if it was worth my husband sleeping on the floor, but we all made the best of it.	
Aug 5 2006 	Great location	I was at the hotel as a guest of a NYC company. I was very impressed with the quality and cleanliness of the room and the hotel. The location is incredible. It is between 5th avenue and 6th avenue on 45th St. in Manhattan. That is literally two avenues away from Times Sqaure and three avenues from Grand Central Station.The room was very comfortable. It was very clean and modern. The air-conditioning was superior and the bathroom was very modern and clean. The only problem was that there was no safe in the room and no refrigerator. Ice was available if you traveled down to the basement. No ice machines on each floor as in a typical hotel.The hotel lobby is not flashy. It is very simple, however there is a beautiful lounge/parlor with free internet access (and printing) and a bar and dining room. Weekend services seemed to be curtailed(no coffee in the lobby in the a.m. and no meals on the weekends). I had to go across the street for breakfast. However, there was a buffet(continental) -fruit/juice(but no COFFEE) in the a.m on Saturday morning($8 additional). If you go into the parlor, you feel like you are in a rich man's club and expect to see gentlemen smoking cigars and reading the Times. It was a good experience with a later than usual checkout and the ability to extend checkout for relatively little extra money.	
Jul 19 2006 	good deal for the price I paid	I stayed 1 night at the Club Quarters Midtown on July 16. I stayed in a twin bedded room for $109 plus taxes. For a room in midtown I think it was a very good value. The room was actually larger than I expected. There was a good sized desk and the room had apparently been recently renovated. The bed was twin but it was comfortable enough. If you are a big person you may not be so comfortable. The bathroom was fine. Just a big walkin shower, small vanity, and toilet. The shower was a little bit moldy but not terrible. The air conditioner was very loud but I like the sound of a fan to sleep so it was OK for me. If you're a light sleeper you might want earplugs. There was also a bit of noise from the corridor doors closing in the early morning.There was absolutely no view at all. But I just needed the room for a place to sleep and take a shower so it was fine.There are lots of places nearby to get food and Times Square is just a couple of blocks away. The location really is ideal. I don't understand the people who complained about all of the Asian people in the neighborhood. It's NYC, the most polyglot place in the world so of course you will see all sorts of people. I couldn't get the wireless internet to work, but they have two terminals in the lounge that you can use.Overall it was a tremendous value for my one night stay. But if I were staying longer I might splurge on a nicer place.	
Jul 6 2006	Location is its saving grace	Ok...here's the skinny...The Good:- Great location...just around the corner from Times Square.- Decent rooms by NYC standards. Cozy but functional.- Machines were a breeze for hotel check-in and check-out.- Wifi worked great. Also, two free computers w/ high speed internet and printer in lobby are a plus.- Great beds and pillows...very good sleep after busy days and nights in the city.- Cordless phone in the room.- Hotel provides microwave and fridge upon request.The Bad:- Smallest elevator I've ever seen. If you have a lot of luggage, good luck. - Workout room is 4 machines in a cramped dungeon...not very inspiring.- Some of the hotel staff were not exactly professional...others were fine.- Based on room size, be prepared to be creative on where to store luggage and belongings.The hotel is decent but not close to the more popular hotels in the area. If you're willing to put up with some inconveniences, this may be the place for you...but just remember...while this place is inexpensive, you get what you pay for.	
Jul 3 2006	Did the Job!	I spent June of 2005 making a few stops around the US and I found out about the Hotel through out internal Company site. I stayed here for 4 nights and to be honest, with no gym or any other 5* luxuries I wasn't expecting much from this place.The plus side:- EXCELLENT Location - literally round the corner from Broadway, Times Square, Central Park, Empire State, Grand Central Station and it's in the shopping district.- Good Price- Friendly staff - maybe not the 5* treatment but once you get to know them they're great and very helpful.Areas that need improving:- Rooms were slightly cramped - but to be honest, it IS New York City at the the end of the day. Like I said, I wasn't expecting much, but overall I was pleasantly suprised. Even my mate who is a total pain and demands only the best when it comes to flights and accomodation was happy with the place. If you're after a cheap and cheerful stay in NY with Location, Price and Cleanliness being top on the agenda for choosing a hotel, I'd recommend Club Quarters MidTown. To wrap things up, we also stayed in the Club Quarters in San Fran and it as great!	
Jun 12 2006	Great Hotel We will go back!!!	If you are going to NYC to see a show on Broadway than this is the Hotel for you. Before our trip, I looked on several different boards regarding the reviews of this hotel. Clearly there were some good and some not so good so going into our trip I didn't know what to expect. Upon arrival we were greeted in a very efficient manor and were quickly checked into our very comfortable and very clean room. All the rooms were redone a year ago so they are very modern with a flat screen 24 inch TV with all the normal channels and in room movie entertainment. Some of the concerns of the people who wrote previous reviews were that the room were to small. Not true! They are just fine for one or two nights. Bathrooms are small but just fine for one person at a time. What also makes this hotel great is that you are located two blocks from Times Square ABC Good Morning America Studios, four blocks from 30 Rockefeller Center and NBC Today Show Studios and all of the Broadway Theaters with in walking distance. All in all this is a great find for the price and location. Remember, when you are in New York as a tourist the only time you are supposed to spend in your room is to sleep and rest up for your next adventure. The Club Quarters Hotel does that just fine!!!	
May 29 2006	Excellent location friendly staff. We willl go back.	Those that say the staff is rude and unattentive at the Club Quaters on 45th is an outright lie. These people are some of the most friendly hotel staff I have ever experienced, and I travel to NYC every month at minimum. My stays have included The Crown Plaza at 48th and Bdwy, The Novotel, Hotel41, The W at Lexington, and now Club Quaters at 45th Street in Midtown.The next person that complains about rooms being too small ought to just stay out of New York City; whether it is business or pleasure. What do you folks want a nice big 750 sq ft palace? A hotel room is for ONLY the following: Sleeping, Showering, Shaving, -- , and maybe -- (if you are with your significant other). Do you really need that much hotel room? Come one folks; it's New York City! Enjoy the town not the room.My wife and I stayed in room 614. Yes, the rooms are small, perhaps that could be because the building itself is a historic site, and when it was built 150+ years ago, people had a different perspective on overall design.I have only one small gripe, and that was the bed was a bit too soft. They do need to firm up the matresses a bit. We will go back!!!	
May 24 2006 	A Clean Quite and comfortable place.	My Husband and I stayed for 3 days at this hotel and find it to be the place we will return to next time in Manhattan. The front desk staff was always friendly, professional, helpful and courteous. The rooms are small - but very clean. The food across the street at the Manhattan Cafe is delicious! A clean place is &quot;very important&quot; to me and hubby. The small room - who cares - we are in the room to shower, dress and sleep. WE'RE IN NEW YORK CITY - too much to do and it doesn't include sitting in a hotel room.	
May 13 2006 	Bad Choice	I travel quite a bit for business so I had no choice when my company booked this hotel for me. The rooms are small and quite noisy. There is no conceriege service, no room service or any kind of service for that matter. The staff is rude and unattentive. With so many hotels in a city this size, why anyone would return to this hotel after one stay is beyond me.	
May 5 2006	We loved this place	We stayed at the Club Quarters for four days in mid-March 2006, after reading the reviews on this site. The hotel appears to be the clubhouse of some sort of chemistry society, as evidenced by the chemical engineering journals in the lounge. We found the staff at the front desk to be friendly and helpful, instructing us on the self-service check-in and check-out procedures. When we arrived, our room was not yet ready, and we were shown to the small private bar and given free drinks and a comfortable place to sit. The staff enthusiastically gave recommendations for certain nearby restaurants. We were thrilled with the room. When in New York, we always stay at mid-level hotels, and this one was flat-out the cleanest and most pleasant we had ever stayed in. Although small, the room appeared recently remodeled in a &quot;high-tech&quot; style, with a flat-screen TV. We were pleased to have a small kitchenette (sink, fridge, coffee maker). The room was stocked with several books. The free wireless internet worked flawlessly. The location is excellent. Our room seemed quite soundproofed. The only negative was that the toilet in the bathroom was very, very loud when flushed. Remember to keep the bathroom door closed when flushing in the middle of the night if you don't want to violently awaken your traveling companion! Anyway, we will definitely stay there again.	
Mar 2 2006	surprised	I just returned from a weekend trip to new york, i booked the club quarters via hotwire and was very nervous after some of the reviews.. However it wasnt as bad as i expected, yes the room was small, but we were hardly in it, it was a clean quiet comfortable room. The location is ideal, only issue we encoutered is that we had to park a block away from the hotel and it was quite chilly.. Check out was quick and easy.	
Feb 28 2006	We'll Be Back...	Ignore the bad reviews and stay at the Club Quarters Midtown. Very friendly and helpfull staff.Comfortable and clean rooms. Rooms may be small but it was not uncomfortable.Excellent location with many good restaurants and cafes nearby.Don't be afraid to try this hotel. We'll be back.	
Feb 23 2006	Decent	My boyfriend and I stayed at the Club Quarters Hotel during President's Day weekend. Upon arrival we were surprised by what it looked like from the outside. It looked pretty plain compared to other hotels we've stayed at, such as the Belvedere. However once we entered the lobby we were a little more hopeful because it looked decent. The front staff, in particular a lady by the name of Grace, was not very helpful. We had some difficulty with the self-check in kiosk. Grace walked over and spoke to us condescendingly as if even a little kid could figure out how to use the machine. The elevators are VERY small. At most maybe two people and their luggage can fit comfortably at a time. The hallways leading to the rooms had multiple doors. We had to go through two doors just to get to our room, which was the fourth one on the floor!The rooms look modern, as if they are straight from an Ikea catalog. However, they are very small. The free wi-fi was a redeeming quality. The bathrooms are a bit small as well. When showering the water splashes out to the floors because there is a cheap shower curtain.Overall, I would recommend this hotel if you are on a tight budget and don't plan on spending a lot of time in your room. Times Square, Rockafeller Center, and the subway are within readonable walking distance.	
Feb 15 2006	Club Quarters Midtown is great value	This is one of the good value stays of a trip to NYC. The rooms are smallish but well set out and comfortable...I had a standard room and it was fine but then again I was travelling alone..might be a little cramped for two, and they have bigger rooms available for a price). I booked on a negotiated corporate rate of $129.00 a night and the price was definitely right.....bargain accommodation given the location. It is $139.00 for my corporate rate this year(2006) but it's still geat value in my book.Easy walks to essentially anywhere in Manhattan...it really is that central. On W45th street between 5th and 6th Avenue is a REALLY handy location.The noise wasn't a problem, the heating worked fine, nice to have fresh air too...you can open the windows if you like. Can be a bit tricky negotiating the halls to rooms...the hallways are narrow.Never ate there but am told the dining is quite good. The lounge is a very pleasant area and yes there is internet access to check emails...mind, people get a bit stressy if you're there more than a few minutes ....so be brief or deal with fellow patrons 'blowing out' at you. Desk Service?...a little stiff sometimes. But for the price I was prepared to 'get over it' ...other people may find it a bit confronting. Perhaps they should dish out some 'happy pills' to the staff, they might smile more ...hehehe. They were helpful but If I wanted my butt kissed, I'll stay elsehwere.All In all, Not a bad place to 'flop' at the end of a day's sightseeing, eating and drinking. It ain't the Ritz - if you expect all the trimmings, you'll be disappointed. If you want a good reasonably priced place to stay, Then you'll have no problems with this place...I liked it and am going to stay there again this May (2006).	
Feb 11 2006	Worst Experience Dark and Gloomy	I had made travel arrangements thur American Express Travel for Business purpose for my company. I was recommended by the agent at American Express and we had a discounted rates for our company in Manhattan (New York). I had even looked it up and had a rating of 3 stars. With that in mine I had canceled my earlier reservation with City Club Hotel. The place I stayed was at: Club Quarters on 40th West 45th street, New York NY 10036. A couple of good points were free Internet, and the location was good. Here is the number of problems I had. 1. The people at the front counter was not as friendly as I am used to when going to other hotels. 2. The room size was good but I had early when making my reservation asked for a double bed. I ended up getting a single bed. I went to the front counter and ask for a double bed they told me they don't have double bed but they will send up a &quot;cot&quot;. 3. The room was dark and kind of gloomy. The view was to a roof top with Heating and AC units that was running all day. I know because I heard it. 4. The bedding on the first day was kind of dirty. And, one of the pillows had blood stains on it. I happen to notice on the bed is that they don't change the bedding only if its requested due to a water conservation issue they have. 5. The toilet seat never stayed up. I had to litteraly had to hold the toilet seat up each time I went to the bathroom. 6. My reservation was from the 5th thur the 13th. I ended not being able to stay there I found another hotel. Club Quarters charged me an additional $30.00 plus tax for early cancellation since my reservation was for up until the 13th of Febuary. 7. I was even bum that it didn't include a complimentary breakfast.Just good luck if you plan on staying at this hotel.Stan	
Feb 9 2006 	Great location great facilities not so sure about the staff	I stayed here for two weeks in mid January. I was on business.My first impression was not good. The greeting given to me by the desk staff was &quot;credit card&quot;. It seems that the desk staff do not want to speak to you at all and are happier to direct you to the automated check in and check out machines where you insert your credit card.Other than that I liked the place. The free wifi is a great bonus and the desk in the room was great with power sockets on the table top and a flat screen tv mounted on the wall. The bed was exceptionally comfortable. The shower was great with plenty of water and pressure. The rooms were kept clean. Note : don't rely on getting shower gel in the room you only get soap.Some might say the rooms are small but I liked the size. There was ample hanger space and drawer space.I didn't get any sort of view from my window but I was working during daylight hours so not a problem. Rooms can get cold if the weather is bad outside and it takes a bit of work to figure out how to get the aircon system to warm up in the mornings, mostly I didn't bother with it.The location is excellent very close to Times Square with subway links to everywhere.I recommend this hotel but not for the dismissive desk staff more for the location and facilities.	
Jan 24 2006	Great hotel just know what to expect	I was a little bit concerned by some of the other reviews, but already booked on hotwire for $165 incl tax. Once there, though, we had few problems and loved the place. Location is perfect, only a few blocks from times square, one block off 5th ave. Let's face it, New York hotel rooms are notoriously small. This hotel is no exception: if you have ever stayed in a European hotel, you should expect about that size. If you want a bigger room to have space you won't even use, you will either wind up paying $200/night or being in a less convenient location. That having been said: you are in NY, go out and do something, don't stay in the room. Rooms are modern and well appointed and even include complimentary WiFi internet access. This hotel is normally not really a hotel but a membership club that has rooms. Thus, there in not the usual front desk set up. Check in and check out is automated, which is GREATLY more efficient, although there IS someone at the desk 24/7 for any problems or questions. Staff we encountered were very friendly and let us know to call on them if there was anything we needed. The ONLY problem we had was having booked for 2 people on hotwire, the hotel tried to saddle me with a $15 &quot;extra person&quot; fee because, according to them, &quot;all our room rates are based on single occupancy.&quot; I contacted hotwire and was refunded that amount. Would definitely stay there again though.	
Jan 23 2006	Great Location Plus!!	GREAT LOCATION!! Two women walking all over New York City need to feel safe and be in a convenient place. I've been to New York before and this is about as good as it gets as far as location. Walk 1/2 block in either direction and you are on 5th Ave or Broadway. Walking as far as Central Park is only a 30 min stroll. We walked from E 80th St. back to Club Quarters(45th)in an afternoon with shopping along the way. No problem. If you don't walk everywhere you can in New York you don't know what your missing. Club Quarters is clean, and has a lovely lobby, is quiet and I repeat in a Great location. We stayed Nov 11-14th 2005 in a room with one double bed,(I had requested 2 twin but my reservation was not thru the hotel and they don't guarartee room choice. This was irritating but not the end of the world and is my only complaint). Room was very small but adequate, clean and a pretty good price ($219) for New York as the only thing we did there was bath and sleep. Front desk was helpful with ideas for lunch and dinner (sent us to fabulous Italian place on 46th St). Cleanliness and Location are by far the most important things to me. Unless you need &quot;posh&quot; you will be quite satisfied at Club Quarters Midtown.	
Jan 1 2006	Loved Club Quarters	Club Quarters in midtown NY is in a perfect location..It is quiet and quaint. The elevator and room space is small but the quietness of the room makes up for all that..I would definitely stay here again.	
Dec 28 2005	Perfectly Satisfied!	My husband and I stayed at the Club Quarters Midtown from 12/23-12/27 and did not have any complaints. I was really worried after reading the negative comments, but we ended up very pleased with everything. We found the staff very friendly and helpful. Our room was small but clean. We loved the location!! When we go back to New York we will definitely stay there again!	
Dec 19 2005	Pleasant stay!!!	We enjoyed our visit from Dec.14-18, 2005. The room was freshly painted, bright and clean. We reserved our room through Priceline -- one room, one price. No opt. to upgrade, etc. While it was true there was only one washcloth, when we asked for two, and the housestaff realized there were 2 people in the room, from that time forward we had 2 washclothes.We thought the room was about the normal size for NYC. Regardless, the convenience and central location,45th street, far outweighed the need for a larger room. I do not understand why there were several negative reviews about this hotel. We certainly got more room for the buck than expected. We would stay at this hotel again.	
Dec 1 2005	Pleasantly surprised	I was very concerned when my daughter and I were due to stay at this hotel last weekend after reading the reviews. However we were very pleased with our stay. We had only paid 158 dollars per night (plus taxes etc.)as we had booked mentioning our son's employer as it is a members hotel. When we arrived they informed us we were on the penthouse floor (12th Floor). Our room was very large and well decorated with a nice bathroom and except for one man we found all the staff very helpful and polite. They offered to store our luggage for us after checkout and booked our transport to the airport for us. (Slightly more expensive than taxi but we were leaving during the rush hour so would have had problem getting taxi.) The position of the hotel was brilliant and it all added to our very enjoyable stay in New York.	
Nov 14 2005	Absolutely horrible	I Would never stay here again. My husband and I have traveled to New York for the past 5 years, and I have never stayed in hotel as bad as this. The front desk staff was rude, the rooms were the size of &quot;matchboxes&quot;, the shower floor was full of mildew, and finding someone to help you with luggage was impossible. I was told before arrival that they offer double beds in the room, in which they don't!!!!I complained about this, and I was told I could leave and check out, after I had already been billed. Please think before you book this hotel, that by the way, charges $350.00 per night or more.	
Nov 8 2005	Rather pricey but still good	Stayed at the Club Quarters Midtown over the weekend of October 22-23 2005. The 'director's room' on one of the high floors we were given was really spacious and well appointed. Having stayed in other NYC hotels we didn't have very high expectations of the service standards, so the prolonged wait during check-in didn't really irked us that much.It was rather pricey (and without breakfast!), but we figured the fantastic location (1.5 blocks from Times Square) was worth it.	
Nov 3 2005	Pay more for a real hotel	The room the first night was awful. It was incredibly loud from outside noise, the air conditioner/heater/fan did not work so we couldn't even block out the noise, and the clock did not work. The bed was incredibly uncomfortable as we both rolled to the sag in the middle.Around 4:00 am, I approached the front desk clerk who said hotel was &quot;sold out&quot; so he couldn't give us another room. Plus, he said he wasn't authorized to do so. I waited in the lobby for the 7am shift to arrive because the front desk clerk said they would be authorized to change our room for the next three nights. At 7:30am, the new front desk person arrived. At first he said the hotel was sold out and he couldn't change the room. After pleading with him, he gave us a new room assignment and said someone would be to our room at noon to pick up our luggage to transport it to the new room. At 10:30 am as we were laying in bed, A HOTEL STAFF MEMBER UNLOCKED OUR DOOR AND WALKED IN OUR ROOM! He said he was there to transport our luggage to the new room. We explained to him that the front desk clerk said that would happen at noon and to please come back...especially because we were still in night clothes and our stuff was still unpacked.At 12:10 pm, I finally called down to the front desk to ask where our escort was? The same front desk clerk who gave me a new room number a few hours earlier said he had given the room to someone else. He said we missed our opportunity to have it and that now, he really couldn't do anything for us because they were sold out!!!!!!!!!!!!!!!!He put me on hold so we headed down the the front desk to make a scene...yelling in front of the other guests. He still insisted there was nothing he could do. After not letting up and continuing to make a scene, he made a phone call and spoke to who we thought was maybe management? He smirked to the person on the other end of the phone that we thought the room was noisy. They finally gave us a new room, higher up, in a better location. The room was still small, drabbly remodled, everything worked in it and it was quiet. The rooms are teeny tiny. The bathrooms are like closets. No tub, only showers. The rooms that they call Executive or their &quot;top of the line&quot; rooms are regular size hotel rooms. Also, we asked for more pillows the next day and we were told they were all out.Basically, the customer service in this hotel is awful. I don't make it a habit of screaming at anyone to get what I want. I don't appreciate that that's what I had to do to get us a decent night's rest for the next three nights.The hotel is inexpensive but you get what you pay for.	
Oct 26 2005	Cozy yet comfortable	Stayed at Club Quarters October 21-24. Rooms are small, but very clean and up-to-date. We booked the room through hotels.com and received a decent rate because we booked early. As typical NYC tourists - we only needed our room for sleeping. The location is very convenient to Times Square and subway stop only 2 blocks away.	
Oct 24 2005 	Horrendous	I had the misfortune of staying at this hotel last week and I can easily say it was one of the worst hotels I have ever stayed in. I normally don't write reviews on hotels but in this case I am compelled to let people know this is not a good choice. The rooms are small and dark and noisy. There was some kind of loud buzzing noise that would come and go (usually about 5:00am)that would wake me up every morning. Tha hallways are barely wide enough to get your luggage through and the elevator is the size of a small closet.Upon check out I was told they were unable to check me out (6:15 Saturday morning) because there was some kind of refund on my bill and the person on the desk wasn't authorized to handle that. So it is now Monday morning and I have no idea how much my bill is or even if I have been checked out at all nor do I know which credit card the whole fiasco will be charged to. Upon calling this morning to find out I have been forced to leave my name on an answering machine and as yet have had nobody return my call.I must point out that I read all of the reviews on this site before I went and all I can say is, are you sure you reviewed the right place?This is absolutely not a hotel I will ever visit again.	
Oct 13 2005	Good Value 	The hotel's location is great, just a few blocks to broadway and midtown shopping. Rooms are rather small and there is no place to even put suitcases but it's New York, so the rooms are not the main focus. Otherwise, it's clean, the furnishing is relatively new and comfortable. Service by the front desk is a little uneven and sometimes bordering on curt but otherwise for what I paid, I don't have any major complaints. Other nice touches include the free computer usage and coffee in the morning.	
Oct 12 2005	Uncaring clueless staff - will not stay here again!	My wedding is this weekend and I have over 25 rooms booked at this hotel- various wedding guests and bridal party- as part of a wedding package they offer. The package includes complimentary upgrades for parents of the bride and groom. Well, all I can say is stay away!Although parents of the groom were suppose to get upgraded to a room with queen bed and enough space for 3 adults (room to place a rollaway bed) they were put into a room with a double bed and it was actually SMALLER than the 1 twin bed/single rooms that other guests were staying in.This just happened tonight so after dinner, we complained to the hotel manager at the front desk. First, he claimed he couldn't look up the room type they were in (uh hello? you have the computer right there in front of you!!) and then he tried to say they were in the right room. It was only after we pointed out the wrong bed type, lack of space for the 3rd adult and the fact we were giving them quite a lot of business with our 25+ rooms booked that he agreed to move them. But since it was evening, the room change will have to take place tomorrow morning. Let's see what happens.In addition, our best man has a room reservation until Sunday but they are insisting he needs to check-out and check-in again on Friday - which is the day of the wedding!! Again, terrible service, complete disregard for providing customer care. It's obvious they don't care about their guests so stay away! There are plenty of other affordable options in NYC.	
Oct 11 2005	A Great find in NYC	Forget all the negative comments. The hotel room (Director's Room) was more than adequate size with new linens, furniture and slick new modern bathroom. Yes the bathroom is small but very nice (it reminded me of a South Beach boutique hotel bathroom). The staff was helpful and friendly. The elevators were fine- never waited more than 1 minute- and the hotel was sold out.. I never use hotel restaurants, since they are all a rip off, so I can't comment. Stored my bags easily after checkout. I was allowed to check in early (1pm) and given a nice room on the 11th floor- not great view(which didn't bother me at all). I have stayed at the Millenium Broadway around the corner and the hotel room I was given was very comparable, at a much cheaper rate--$184 per night on Columbus weekend (Booked through express-res).I consider this hotel a great find.This is not a tourist type establishment . Instead I found it to be a slick NYC boutique type hotel at a budget price. In the past I have stayed at the Millenium Broadway, Algonquin, The Plaza and Sofitel. I definitely will return to the Club Quarters! If you're looking to be waited on hand an foot by a huge wait staff with butlers and elevator operators, then stay at the Waldorf. Otherwise, The Club Quarters is the place to go.	
Aug 22 2005	Beware continental breakfast ripoff	If you stay at the club quarters Manhattan hotel, steer clear of their continental breakfast. Unlike the rest of the civilized world, they do not offer it for free nor do they make the slightest effort to inform you that it is $8 per person. To top that off, they staff were nowhere to be found for getting some coffee and incredibly rude after I had the front desk get somebody out offer some service. A 15% tip was automatically slapped on the bill and again they were incredibly rude when I asked for it to be removed.There's lots of way better places to get breakfast for $10/person. The CQ continental breakfast is a rip off. No wonder they don't have any signs or any indication that it isn't free. The setup is misleading and borderline fraud.The hotel itself was fine; everything in the room worked and was fairly new.	
