	It's a place to sleep between activities	•Clean•Good Location for parade &amp; museum, local food 24x7•Close enough to Subway lines•Good mattress•Desk helpful and responsive•Toilet so close to walls on both sides, that …&lt;censored&gt;… (couldn’t use)•Wind loudly whistling through the closed/locked window one night•No window screen to allow room to cool down w/o risking bird entry•Bed too short – need queen sizes, but room too small•Nobody at desk for a time one morning	
Dec 2 2006 	pretty simple	My friends &amp; I stood at Park 79 hotel for a week. The hotel is located in the center of everything. The welcoming upon arriving @ the hotel was outstanding &amp; cheerful. The staff was excellent; Housekeeping A+. The room was a little small for 4 ladys but it was fabulous. The restaurant around the corner OCEAN GRILL the BEST food ever. &quot;Like the receptionist @ the front says &quot;Arigato (Thank You) PARK 79 Hotel for a safe &amp; wonderful stay. Sayonara (Good-bye).	
Nov 27 2006	Very very Bad!!!! Don't be fooled by the pictures!!!!	My fiancée and I took a look at the reception and were already disapointed and when we went up to the rooms the smell of our floor was terrible! Like pee! The room was horific! We emediatly left and looked for another hotel. We found one 1 hour later and they still made us pay 1 night!! VERY depressing place!!	
Nov 23 2006 	Very dissapointing	I am just home from a 3 night stay in Park 79 hotel. From reading the reviews on this site I was expecting basic accomodation in a friendly atmosphere. I got the basic but not the friendly. I had been travelling from Ireland for 12 hours and so was exhausted and looking forward to resting in my room. Check in time is 3pm. I arrived at 2.45 but the room wasn't ready, which is fine. The girls at reception chatted amongst themselves in spanish for a good 5 minutes before making eye contact with me, the only customer there. Then they told me the room wasn't ready. I asked when it would be, one girl said at 3 and the other added &quot;ish&quot; and they both had a good laugh. So I wandered around for half an hour and returned to the room still not ready. Again I asked when I could expect to get into my room and with a sigh was told &quot;about 15 minutes&quot;. Eventually got into the room at 3.40. First thing I needed to do was make a call to the friend I was visiting in NY. Phone didn't work. Eventually it was fixed after an hour. I had booked a room with shared bath. In 4 days I never once had hot water in the shower. At one point I walked into the bathroom to find one of the chambermaids using the facilities. The bedroom was tiny but clean. The windows didn't open and the heating could not be regulated so it was like a sauna most of the time. Also the walls were like paper. The room swipe key was tempermental and at one point I was locked out of my room in just a towel and had to go searching for someone to reopen it. On the up side the location is fantastic. And the price of a sngle room is not bad by New York standards, I paid approx $ 170 per night for a single. And the outside noise isn't bad. The doormen are quite pleasant but the reception staff are rude and unhelpful. On balance, I would never stay in this hotel again. There must be better out there. If you are going for a short stay and can afford it, it would be better to pay out a bit extra for a nicer experience.	
Nov 7 2006 	Great location in safe area with good restaurants!	The Park 79 is 1/2 block from the Museum of Natural History, a block from the glorious array of restaurants on Amsterdam and 2 blocks from the subway stop. In other words its in a great location. I was traveling with my teen daughter and we loved walking at night through the restaurants on Amsterdam. She spotted two minor &quot;stars&quot; which made her stay. The hotel is recently renovated, overpriced (they all are) and very well staffed. It is pretty basic, but the rooms though tiny ,are very comfortably equipped (marble showers, down comforters with crisp white covers), and well maintained. I reserved a room with bath, but the hall bathroom was next door,. If I had to do it again, I might consider renting a room without a bath. The hotel is an easy subway ride to anywhere and a quick bus or taxi ride to the shops on the upper east side. We loved it.!	
Sep 18 2006 	Very good Value for Money	Hotel is very good value for money. I had booked the single room with shared bath. The room was small but very clean. The bed was very comfortable. The wireless high speed internet worked great. The shared bathroom was clean and always empty; though this could have been because I got up at 6am. The room did not have a hair dreyer but had an ironing board and iron. You can hear a little bit of your neighbour's noise but overall the hotel is quiet. Seems to be predominantly used by business people and quiet tourists. The location is great if you like to experience a nice Upper Westside NYC neighbourhood. If you want to be in the middle of noisy Manhattan then this hotel is not for you. I will definitely stay there again.	
Sep 17 2006 	Overpriced and not all it's cracked up to be	The location is great, a trendy uppwe West Side neighborhood, neat restaursants, the park, museums, etc. Staff was pleasant. There is free Wi-Fi throughout. It seemed clean, but the rooms were extremely small, the bathrooms dark and really tiny. The lighting was either overhead glare or insufficient bedstand. The beds were OK with big fluffy duvets. The biggest complaint - $259 plus tax. Had it been $149 it would have been a good value. Otherwise I'd look elsewhere.	
Sep 17 2006 	grat location for a reasonable price	if you want to hit manhattan on budget expense for your overnight stay the park79 is the place. stayed at the property in september 2006 for $124 (incl. tax) in a single room. shared bathroom is an ok choice. it is the trade-off for cheap room price. and if you go for a lengthy shower in the evening - instead of the following morning as all the other guests do anyway - you find the shower clean and empty.the room was fairly clean but the walls are made of paper. so take your earplugs with you... just in case your neighbors decide to start arguing or any other sort of activity in the middle of the night. the property is very conveniently located both if you arrive by rental car and return it at west 77 st or by subway. both are a quick 3 minute walk away from the hotel. staff are very friendly and helpful. all in all: considering the location in manhattan (upper west side) the park79 is great value for a budget price.	
Aug 20 2006	Great Stay AT Park79	We had a wonderful stay at Park79. The staff was very courteous and professional. They were always eager to accommodate us.	
Aug 18 2006 	Nice no frills but still $150	We stayed for 2 nights in room 606 which was a double room with shared shower. The room was sufficient for the mere 8 or so hours we spent a night in it. All the furnishings were very nice and the mattress was really comfortable. TV worked fine as well. We paid a special summer rate of $150 (including tax) which I know is a good rate by NY standards but it still disgusts me to have to pay so much for so little!!The bathroom was almost the size of our room with lovely dark tiles, good lighting and good plumbing with immediate hot water. But, it was insufficiently furnished with 1 towel rail that is no where near the shower, 1 very small glass shelf above the sink and no hooks for clothes or bathrobe etc. The shower was large but it only had one tiny soap dish and no where to put shampoo etc except for the floor... There was no steam vent except for the open window which is unfortunately visible to other rooms.The day time desk attendant was very nice, friendly and helpful but the evening woman was really rude. We were told at noon that we may be upgraded (free) but when we checked-in later on the woman said it would cost us $40 extra. It was obvious that rooms were available but she didn't want to honor the upgrade. When I booked the rooms I requested that the 2 rooms be on the same floor but the hotel didn't honour this request either so we had to share the bathroom with complete strangers. One morning the toilet was blocked, the next day it was unflushed...yuck!!The staff let us store our bags after check out and even let our friends take a shower at 8pm when they came back to retrieve their bags. We were really close to 3 train lines, the museums and Central Park. Best of all was Amsterdam Ave where I had breakfast for half the money that I spent when staying near Times Square in May.	
Jul 28 2006 	Two words for my next NYC trip...Hotel Chain!!!!!!!!!!!!	I saw this hotel/motel on Orbitz. The pictures portrayed a tiny and quaint hotel. WRONG!!! After four days, a rat appeared on the night stand and we ended up checking out earlier than expected. We checked into another hotel for the remaining three days. I know rats and NYC go together, it's expected...BUT, I don't want one in close proximity while I'm resting after a long day out in the city.We were there April 2005.	
Jul 17 2006	Good budget hotel	My husband and another couple stayed at the Park 79 hotel from July 8th - 11th and again from the 12th-15th.We chose this hotel because the room was a set price and it was a great deal for 4 people. Most other hotels I searched had no deal if two couples were sharing a room.The hotel was well located and the rooms were fine. We stayed in 2 suites while we were there. 518 had a tiny bathroom with a VERY dark shower. 418 had a full bathroom and was well laid out. If you are looking for a suite I would specifically ask for 418.The rooms were clean and the hotel was very quiet. I never heard other guests and the hotel was fully booked. The neighbourhood was great. We loved our daily walk by the museum of Natural History to the subway stop. Central park is also very close and there are tons of restaurants around. (I suggest Big Nicks on Amsterdam if you want a real crazy NY experience).The only thing I didn't like about the hotel was the front desk service. We had to pay for the room upon check in (which I thought was bizarre) and once we checked out on the 11th the man working that morning was debating with me that I had not paid for the room. He kept me at the desk as he shuffled through papers trying to prove that I had not paid. I finally showed him my visa receipt and offered to phone Visa so he could hear from them that I had paid but he finally let me go! This was ridiculous and really wasted my time. I feel there were better ways to deal with this problem and that he was really not listening to his customer. I am a big believer in good customer service and this small experience really left a bad taste in my mouth.Overall I would recomend this hotel for its location and good price. If you want great service this isn't the place for you.L	
Jul 11 2006	Amazing Hotel	We stayed at Park 79 Hotel fromJune 6-10th. Our room was upgraded and it was wonderful. the trip was a graduation gift to my daughter. She slept on the sleeper sofa. the first night we had trouble getting the bed out from the couch and from that night on, the bed was always pulled out for us when we returned. The neighborhood is peaceful. We never heard any of the other guests nor any traffic noise. Across the street from the hotel is a small little deli/store with great tuna sandwiches. The hotel is close to Rays Pizza (definitely a trip) and one block up to Amsterdam are two delis which we ate at every morning. This hotel is wonderful to stay at. You get a feel of a New York neighborhood. We watched everyone each morning, the parents taking their kids to school, it was great. Also, talk to the locals at the delis, they gave us great recommendations for restaurants. H&amp;H bagels is one more block up on Broadway. Krums (wonderful cupcake bakery - biggest cupcakes I have ever seen) is also on Amsterdam. It was a good location for the buses and short walks to columbus, amsterdam and broadway. Taking the bus was great you really get to see the city this way. the bus ride to Lincoln Center is just five minutes away. We would definitely stay here again. The staff was incredible, very helpful, friendly, and just great. By the way, never saw any rodents or bugs as a review mentioned earlier (not sure what they were talking about). The rooms were very clean, the carept especially, the bathrooms were big enough, and the beds were very comfortable.	
Jun 22 2006 	They treated me well.	I recently spent four nights in the Park 79. I had intended to spend five, but was trapped in Key Largo and had to postpone my arrival. When I called the hotel I spoke with Nelson and told him I would arrive one day later than planned. When I checked in the next day, I was told that since I had not checked-in the night before my entire reservation had been cancelled. There was no record of my call. After about 20 minutes, a room was found for the night. It was an un-remodeled smoking room with a shared bathroom. Nonetheless, I had a place to stay. The next morning I talked with the manager Ms. Blake. She found the man I had talked to and confirmed that I had called. It was clearly their mistake. I was not charged for the first night and was moved to a larger room than I had reserved for the same rate. They cleaned it quickly and I was able to move right away. While the confusion was frustrating, they handled the situation very professionally. The room is very pleasant and contemporary with a good internet connection. I would definitely stay here again.	
Jun 21 2006 	Excellent Experience	This hotel was an incredible deal. My room faced the back and was very quiet (#508). I stayed in a single-room , shared bath with a double bed. Features I enjoyed:-The TV included cable and had extremely clear pictures on most channels. -I had no problems with the Internet whatsoever. -The room was incredibly clean.-Included an amazing Kholer-style wood sink with inlayed porcelain basin. -Closet and two in-room safes which both worked as well as a iron and ironing board. -Sumptuous towels - nice Turkish cotton and fluffy (**** quality). -The carpet was clean and so were the sheets. -Excellent overhead light as well as a smaller light by the bed. -Curtains in the room were tasteful.-The staff was incredbly helpful and friendly. They clearly enjoy their job. -Though catching the shared bath at the right time was somewhat tricky, the bath itself was incredibly clean, included towel racks to hang your towels on, good lighting, and extra toilet paper. Each shared bath is done in the same black tile as the private baths and is quite handsome. Think W Hotel on a budget. That's how I'd describe this hotel. I will stay there again for sure. 2 blocks from the subway, and 1 block from Central Park. Northwest Restaurant is right around the corner if you want to go upscale, and slightly cheaper is Isabella's one block down on Columbus. 10 minute subway ride to Penn Station. Perfect. The only negative thing I can say about this hotel is that in the morning it is noisy as people slam their doors shut (so bring ear plugs if you are sensitive to that) and check out is at 11 am. Note: If you are a romantic couple looking for a &quot;deal&quot; but don't care about sparse surroundings this is perfect - upgrade to a suite. If you are a single person hanging in NY with friends or visitng NY with friends, this is ideal. Don't expect flash, however. Clean, simple, friendly, comfortable, yes. Flashy, upscale? Yes, for a budget traveler, no, for the romantics.	
Jun 16 2006 	Rennovated....but not fixed	We (2 couples) stayed at the newly &quot;rennovated&quot; park 79 in June taking two seperate single rooms. We stayed three nights, and over our stay we paid $245 per night on average. My first impression is that they &quot;rennovated&quot; it to raise room rates, but didn't quite fix everything. We saw both rooms (one on 5th floor, and the other on 6th) so my comments reflect the condition of both. Mind you, there were no pests visable, but if that is your benchmark for a quality establishment then you should really consider raising your expectations. In short, the hotel was &quot;rennovated&quot; simply because there were too many complaints of duct-tape repairs and critters roaming the floors; but they stopped short of making the rooms as good as the rate commands. They have cleaned up the property...there's no doubt of that, it's just that they only cleaned and could have (and still can) really improve the existing space. The good:-great location in quiet neighborhood (close to park and subway)-fresh paint, linen, and some other newer elements to the rooms-newly done washrooms* (see below)-new T.V. but it should be on wall-mounted bracket-coffee in lobby in the A.M. but no pastry-free wireless internet in roomsThe rest:-Walls &amp; Ceilings so thin you can hear phone rings, conversations, TV and see the light in some cases without making any effort at all.-Elevator is guest &amp; service in one, so you may have to wait 10 minutes plus while linen and luggage is transported through the day-&quot;closet&quot; is a small bar behind the door with no closet door-Carpet in rooms is thinner than astroturf on a mini-putt putt course and might as well have been just a paper towel. Floors in halls are chipped and chunks are missing in places-No desk or work space at all...not even for a laptop-couples have to decide who sleeps against the wall as the room size is barely wider than the &quot;full&quot; bed plus 3 or 4 feet on one side, and shoved into a corner on the other-LADIES BEWARE all mirrors are at shoulder/chest height so you have to stand on the bed to check your outfit-Bathroom is new, but no soapdish at sink or shower, no light in shower stall, no tub, no clearance to fully open shower door, and no towel rack makes you wonder why they bothered to begin with. The dark tile with no light makes it look like a cave, and impossible for wives to apply make-up without guessing. Could be solved with a sconce or two.-No plugs in room. Charge your laptop and phone(s)?....unplug a lamp to do it.-Window AC unit are signaling &quot;filter replace&quot; and are noisier than a lawnmover though the night.-no amenities (soda/vending/ice/etc.) although there are a hairdryer and safe in roomsIN CLOSING:All in all, the hotel provides little more than a bed and TV with a dark bathroom, a paper thin room, and no room to do any business including meeting anyone in the &quot;lobby&quot; (only 2 chairs). I know there are better hotels for the money, but there are also worse....just do your homework, and maybe this review will help. I would be hard pressed to stay at this hotel again, which is too bad as I loved the location and access to area.	
Jun 14 2006	We loved Park 79!	We spent 4 nights at Park 79 in NYC and were very pleased with the room and the area.We had planned on staying in a semi-private room, but up graded to a private room when we arrived. The room was a nice size and was very clean. The building is over 100 years old and the lobby and hallways still have the charm of that era. The rooms have been updated nicely. The people that work there were very friendly and helpful. Since the hotel is small, we felt like we got personal attention. The location was great. It's about 2 blocks from the subway, bus stop, and Central Park. Our stay was excellent, and we would definitely stay there again.	
Apr 30 2006	Good Value	We stayed at Hayden on a weekend in April 2006 and everything was OK. We paid US$ 189 for a double room with private bath. Even tough the hotel is pretty simple (do not wait luxury or convenience) it worked very well with a reasonable room and good prices for staying at NYC. This is a budget hotel - if this is what you are looking for, go ahead. Otherwise keep away from it.	
Apr 23 2006	You pay for the location...like in Paris France!	It's just like staying in a hotel in Paris, France when you don't want to spend more than $150/night and you'd better book it with Hotel or you pay even more money if you book your room directly with them.The room was very small with the minimum furniture. No frames on the walls, the carpet was thin and very old and the blanket on the bed was paper thin. But when you're in New York, you are in and out fortunately...because you would go insane in that room!	
Apr 15 2006	Petite But Comfy	We stayed at the Hayden Hotel in the beginning of April. As with some other posters, I was a little concerned about the possibility of uninvited quests. We had no problems at all with mice or roaches. Really, we had no problems at all. The hotel is quite compact from the lobby to the elevator to the rooms, but everything was spotless and tastefully decorated. The staff was very friendly and helpful. We were able to check our bags on our arrival and departure days since we arrived before check-in and wanted to spend some more time in the city after check-out. We actually found street parking the next street over for 2 days, so we were able to bypass the parking fee for half of our stay. There is a garage on 77th and Amsterdam where you can park and the hotel will validate to reduce the rate to $28/day. I get the feeling the normal rate was much higher.We booked the Standard Room with private bath. The room was clean and attractive. The double bed was comfortable. The room had no air conditioning, but I get the impression that is the norm. It was spring so we just opened the window. The wasn't much street noise. The bathroom was pretty funny. The sink overlapped the toilet, the shower door hit the sink with about 18&quot; of clearance and if the bathroom door was shut, you had about 12&quot; to get in. My husband had to open the bathroom door, get in the shower, then close it. The shower did take a while to heat up, but nothing too ridiculous. One tip for anybody who might wish to apply make-up: the lighting in the bathroom over the room's only mirror was not adequate, so bring a hand mirror to do it by the window or table lamp. The location was great. 2 blocks from Central Park and a block away from both the A line and the 1 line. There was a great restaurant on Columbus called Cafe Frida where we had some wonderful interior Mexican food and a fabulous hibiscis margarita. There was a pub on Amsterdam called McAleer's with a really cozy atmosphere, tasty fish and chips and friendly staff.We would definitely stay there again if we want a budget hotel.	
Apr 13 2006	Good Value for the Price	I stayed at The Hayden Hotel in April, 2006. I got a single room w/private bath. The bathroom was literally 3 ft. wide by about 12 ft. long but it was very clean, had new tile and new fixtures, and I was never without hot water. Showerhead was one of those typically weak, watersaver kinds found in most motels. I had 2 twin beds in my room even though I had requested a double bed but I didn't ask for a change because a twin was fine for me. One of the twin beds was hard as a rock. The other was a little softer but still too firm for my taste. The room was heated by radiator which worked fine and there is a window that opens when you need fresh air. I was on the 7th floor, very far from street noise so I slept well. The only noise problem I experienced was because the door to my room seemed to be too thin to keep the noise of guests in the halls out. I could hear people talking and walking to their rooms at 1, 2 and 4 in the morning but once they got inside their rooms the noise was gone.The lighting in my room was OK but the lightbulb in the bathroom was very dim. They did change it for me when I asked.My room cost $140 a night not including the ridiculous 14.5% city tax. For New York prices at the last minute, this was about the lowest price around. The Hayden is located 1 block from a 24-hour diner, 1 block from a 24-hour Duane Reade drugstore, and 2 blocks from the subway. A very convenient location!The room was small but clean. Night desk staff was more helpful and brighter than the day desk staff. I peeked into the shared bathrooms and they were very large and also very clean. I would stay there again and recommend this place to friends.	
Mar 24 2006	Hayden--Not the Four Seasons--But Whaddya Want?	Like other posters here, I was a bit apprehensive about staying at the Hayden for fear of encountering mice, roaches, and various and sundry other unwelcome critters. Happily, the only bedmate I had during the stay was my beautiful girlfriend, and she's always welcome.Yes, the rooms are small, but they're clean. The shared bathroom situation is no big deal, and if it's a problem for you, you should know that in advance and not stay here! Overall, the hotel compares favorably with other budget hotels of this type in NYC, although I have also stayed at the Belle Claire and think the latter hotel might be an even better value (similar size accommodations, similar prices, but fully renovated and swankier). In any event, the Hayden's strengths are many: clean rooms, comfortable beds, pleasant staff, nice location. What more could you ask for about a hundred bucks in Manhattan?	
Mar 7 2006	Nice-no mice!	I stayed in this hotel from 1-5 Feb with my boyf. We booked a double room with a private bathroom and requested a high floor by email (we got the 6th). I was really worried about coming here after retrospectively checking reviews having already booked the trip on Expedia (doh!). Anyways, we definitely did not encounter any mice, we did get 2 cockroaches, but it's a big building and they're refurbishing - what do you expect?!We both found the room to be really nice and cosy, especially during the night (although mild for the time of year it was the week before the snowstorms). It was clean and fresh towels and linen were provided every day. The bathroom was petite but perfectly formed and the shower was fine after letting it run for a few minutes.It was obvious that there was refurbishment on the lower floors (from when we took the stairs)but there was no real noise from this. We heard the odd person walking in the hallway, but this is a busy hotel in a good location in Manhattan. The location is great, it's convenient for the subway and bus stops, which you have to rely on (or taxis) to get to the main attractions. It did seem like a bit of drag waiting around for trains or buses, having previously stayed in a midtown location, however I've also stayed about another 20-30 blocks up on previous visits and in the Bronx, so by comparison the location is great. There are plenty of places to eat nearby (we liked EJ's and Good Enough To Eat on Amsterdam Ave). It's close to Central Park and the Museum of Natural History (We saw Ben Stiller filming over the road from there). Okay, the view from our hotel room wasn't great but I came to New York to see the sights in the flesh, not through my hotel room window.This hotel does not deserve the earlier bad reviews it has received, this is a nice clean basic hotel, if you're looking for the Waldorf Astoria then...well, go to the Waldorf Astoria. If however you're looking for a decent place to crash after pounding the sidewalks all day that's warm, comfortable (very comfy bed by the way), clean and has good transport links and local amenities then book this hotel. I would recommend this hotel for anyone who is looking to see New York on a budget and doesn't mind a bit of a walk or waiting for a bus or train to come along.	
Feb 18 2006	fab hotel	We stayed at the Hayden Hotel for 7 days for Valentines week. We stayed in room 711 and was very nice, we had our own bathroom - towles and beddding changed every day very clean!The room was quiet small thou, we were never in as so much to do. The hotel staff were very nice and helpfull. The room is very warm by raditors being on constally, good job as it was a snow storm while we were there.***I would def recommend this Hotel to all as very nice*********	
Feb 7 2006	Perfect for the price	You aren't coming to NYC to stay in your hotel all day...if by some chance you are coming to stay inside the whole time, then I wouldn't recommend the Hayden Hotel. But if you are like most people and all you need is a place to lay your head, then don't waste your money on expensive hotels and come stay at the Hayden. The room was small, as expected, but it had everything we needed. Not having a bathroom in the room isn't the most convenient, but livable. The location is excellent. This was our fist time to New York, and we fell in love with the Upper West Side. We saw a few celebs and ate at some great restaurants close by. Check out Sarabeth's for breakfast!	
Jan 30 2006	Great value for money	My boyfriend and i stayed in the Hayden Hotel for 5 nights, for my 21st birthday, this was our first trip to New York. We were quite nervous at what we might find after reading some previous reviews, but were really pleasently surprised and relieved when we arrived, to find friendly staff and a clean room. We stayed on the fourth floor, in a double room with a shared bath, sharing the bath room was not a problem, it was alway clean, with hot water, although you need to run the shower for a few minutes first and we never had to wait to use it on any occasion, our room was made up everyday, with fresh towels and bedding. Although the room was quite small, it was plenty big enough for us, with a sink and large tv, iron and ironing board all in the room. The hall ways were also kept really clean and we didn't ever hear any other guests. The location was perfect, being only 2 blocks from Central Park, and having lots of restaurants nearby, we felt really safe going out at night, and having the subway station so close was also really handy. I would definatly recommed this hotel.	
Jan 23 2006	Good Value (if you're okay with mice).	I was relieved when I finally arrived and found my first floor room to be very clean, and charming. After reading a few reviews, I was a little apprehensive about what I'd be walking into. True, the room was small, but there was still plenty of space to move around in. Even our private bathroom had a nice feel to it. Clean sheets and towels, iron, hair dryer, nice TV that worked... more than I can ask for at 110/night+tax in NYC.It was a nice stay overall, until this morning when I was woken up by a little mouse that ran his scratchy little paws over my chest. It scared the bejesus out of me. I still can't believe it had the audacity to come up onto bed and run over me. Well, that got me up and when I visited the bathroom, it was there again (or maybe it was his brother) hiding behind the toilet. I took the plunger, and tried to catch him in the cup, managing only to get my feet wet with residual plunger water. Then for the rest of the morning, I could here the mouse in the wall scratching or chewing or something. The worst part of it was that the front desk was not at all apologetic when informed of their extra guests. In fact, they were defensive, acting as if it were my fault for bringing to to their attention. At least I didn't get bitten by bedbugs, i guess. And at that price... who knows? I may come back.	
Jan 8 2006	Solid Deal Clean Historic Save $150 a Nite by Staying Here.	January 2006 -- Hayden is a solid NYC Lodging Deal, with atmosphere. We stayed on 5th floor. Rooms were small, clean, classy little vanity, sink, mirror, towels in room plus cable TV, phone, clock radio, iron &amp; ironing board...the usual hotel deal. Two common bathrooms per floor -- were well lit, new black slate walls and floors, roomy shower, clean. Hallways are restored, nice fixtures, floors creak quaintly, historic feel. The guest mix our week was quiet, considerate, polite. Hotel staff was very polite, helpful -- including maids, front desk, and doormen (yes there is a nice doorman usually). One can hear folks in the hall as they come and go...but only a tad more than usual. BYTW... the stairs are NOT scary...we used them a lot....they are well lit, open by each elevator (no doors), recently painted, remodeled. We noted that the second floor was occupied by Juliard students...a nice mix of grad students, and you wouldn't know they were there if you didn't accidently stop on the second floor.	
Jan 7 2006	Awful	We checked into our room and it looked like a prison cell. The beds were cast iron and hard and the walls were stark white. We had a shared bathroom in which the toilet was constantly blocked and the room smelled of mould. On the second night we returned to our room to find two mice running around and a family of cockroaches. We instantly went to reception and demanded a room change. The man on reception understood virtually no English which made the situation very difficult. After about an hour we were finally moved to another room which was a lot better. We spoke to other holiday makers at the hotel who had similar experiences to ours. It seemed the higher up the hotel your room was the better it was. I would never stay here again in a million years.	
Dec 23 2005	Just what we needed!	Stayed here in November for 7 nights and it was fine, had read some bad reviews and was worried and to be honest when I first arrived I was a bit unsure but the bedding and towlels were clean and fresh and the staff were friendly. The rooms aren't huge but ours on the 5th floor was big enough for two and although the water did take a while to heat we just popped it on for a bit before we got in (3-4 minutes). The reception staff were really friendly and helpful and although we didn't get the fridge we requested when we asked it was brought straight to our room (wasn't very clean though!). The area is great and there is a subway just a few minutes walk up the street which is really handy. We were looking at staying off Manhattan as it would have been cheeper but we are glad we stayed here and would stay again. I must recoment Lenny's for breakfast which i think is on the end of 74th street (or simply take a left out of the hotel, turn right down the main street and keep walking). Oh yeh watch the Deli over the road I'm sure he makes up the price of things on a daily basis!! all in all it's fine if you want to stay in a good location (very quiet), we were out all day just came back to sleep , take some good walking shoes! we had a great time out there, would recomend getting a rough guide or lonely planet guide as we found it a great help when planning what to do!!	
Dec 6 2005	Excellent Value!	Recently stayed at the Hayden Hotel on the Upper West Side in order to be near the Macy's Thanksgiving Day Parade Route without having to try to make our way in to the city before the parade on Thanksgiving Day.It was an excellent location ~ close to Central Park ~ and I was able to find parking directly in front of the hotel. The staff was friendly, my reservations were in order, the room was clean (although small - but just fine for what we needed) and from our room we had a good view looking down on the entrance.I liked the historic appearance of the hotel, from the steps leading up to the front door to the hardwood flooring in the hallways. Very pretty. We didn't have a problem with the elevator. The stairs are adjacent so if it were a problem we would have used them.I highly recommend this hotel for the value and convenience.	
Dec 5 2005	Not bad....but not really a bargain.	My wife and I visit NYC 3-4 times a year. On the latest trip down(first week in Dec. '05) we decided that this time we'd try to visit Manhattan &quot;on a budget&quot; and booked the Hayden Hotel with mixed results.Our room was $209 with it's own bath. (be aware that some of the rooms are less but have a shared bath) The hotel itself is clean but, well, rather tired and worn. Bumps, dings and scratches,cover the walls and floors. Our room was small, even by New York standards,and during our 4 day stay we began to jokingly refer to it as &quot;the closet.&quot; As one reviewer wrote it is almost as big as a college dorm room.....almost. The bathroom was almost comical in its &quot;petiteness.&quot; (I could not wash my face in the tiny sink without dripping water all over the floor as the clearance from the bowl to the wall was so shallow.)Luckily both my wife and I are very thin so we were able to move around without too much fuss. ;-)The staff seemed friendly, but my wife and I know NYC well enough to not need much, if any, help from concierges, so we didn't interact too often with any of them. Now to be fair, we usually stay in hotels like the Kitano or City Club which are light years ahead of the Hayden in detail, comfort,service and amenities. Of course,however, the Kitano and City Club are also *significantly* higher in price.That said, this still leaves the Hayden in a very strange niche. The old saying &quot;You get what you pay for&quot; doesn't seem to apply here. It's too expensive for what it offers to be considered a &quot;true&quot; bargain and it seemingly offers no more than the chain hotels like those owned by Applecore Hotel for $40-50 less per night. ---So I can't quite figure out who Hayden's target audience is. Bargain hunters can do much better elsewhere, as can those seeking a hotel that is &quot;quaint,&quot; &quot;charming&quot; or even &quot;quirky.&quot;Bottom line: The Hayden is clean, and seemingly friendly; but tiny, bland, and a bit scruffy. It is neither a bargain or value and I would look elsewhere if one wanted to save money on their hotel in NYC.	
Nov 9 2005	Great value	This is the place to stay if you want great value and don't plan on spending much time in your room. I stayed 2 nights and was out of my room visiting friends and touring the city from 8 AM until late at night both days. I loved the location - safe, easy access to sites via walking, subway or cabs. My room (7th floor single/shared bath) was small and uninspired (what do you expect at those prices in NYC??) However, my room, the bathrooms and the hallways were clean at all times. The elevator was slow but I was never in a big hurry. The shower water did take a very long time to heat (maybe a 7th floor issue?) so I took cold showers but, otherwise, had no complaints. Haydee, at the front desk, was very accommodating and helpful, both at check in and during my stay. She allowed me to check in early since my room was ready when I arrived at noon and answered any questions I had about getting around town. It was the perfect choice for me, staying alone for a couple of nights. There are so many things to spend $$ on in NYC that this time I opted for those treats rather than an upscale hotel. Based on some earlier reviews, The Hayden exceeded my expectations!	
Nov 3 2005	Your college dorm room - with carpet	My husband and I stayed at the Hayden October 21 - 26, 2005. We arrived at 10:30 in the evening. The staff was pleasant and helpful, but the rooms were dingy, small, and character-free. Other than that, perfectly serviceable and clean. Great for the budget, not the best for romance. We decided that our next trip would involve a lodging upgrade - maybe the Lucerne down the street. The neighborhood is great - safe with good amenities and close to the subway. We fell in love with New York, but not with the Hayden. This place makes the Holiday Inn look like the Ritz. We saw no mice (see earlier reviews) which was definitely a plus.	
Oct 19 2005	VALUE is what you get	My girlfriend and I arrived in Manhattan ahead of schedule but we got to check in early. Had our room been unavailable, we would have had to wait nine hours, exhausted from the bus ride(not recommending) with all our luggages. Not that this is a guarantee, but the hotel management acted humanely with the options they had, to accomodate their customers. One of the best part about our trip was the peace of mind coming into the hotel and finding our room to be clean, maintained and functional(6thfloorprivatebath). This made coming back to the hotel, from a day of exploring the biggest city in the world, soothing without the sense of dissatisfaction. With this location(close to transit/upperwestside), the price(excellent for manhattan), and the service(as you've read), the feeling of getting what you've paid for or maybe even more is present.Some improvements such as ammenities(a fridge, free local calls) and insulation(sound travelling from rooms) would raise the value for this hotel.	
