	Would not recommend this hotel	We stayed with Loews hotel in November 2009 and booked a non-smoking twin room. On arrival we were given a smoking double room. When we pointed out the error we were told that the room type was not guaranteed and were given very little by way of apology. We were met with a similar response when the issue was raised again on check out. In addition to the poor service, the hotel looked very tired and was in need of refurbishment. The location is good but there are much better hotels in the area for a similar price.	
Feb 28 2006	Good but not great stay....	After much research on where to stay in NYC, we chose the Regency because we wanted to try a hotel on the Upper East Side. When my husband and I first checked in we inquired on the type of room we would have. We had a standard but could buy 120sq.ft. for an additional $40 per night. We decided to check out the room first and decided to stay, figuring we wouldn't spend a lot of time in the room anyways (which we didn't).The room furnishings are nice and for New York standards the room wasn't that small. My only complaint is the bathroom. The bathroom was small and also very warn. The bathroom door was chipped and corroding at the bottom. Another review mentioned a seperate tub and shower, not in this room. Plus there was mold in the shower soap holder. Okay, one more complaint, it was more the norm than not to see housekeeping carts and room service trays in the hall way that was never vacuumed.Our other beef is with the price of room service. We knew it wouldn't be cheap, but these prices are almost gouging. If 2 people ordered 1 hamburger a piece, the price would be $60 and that is without tax and without something to drink - ouch.However, after saying that, our stay was nice. The location is wonderful and the staff, were very friendly, helpful and accomodating. But, next time I think we'll return to Midtown and stay at the Sofitel, where we have stayed before and thoroughly enjoyed it.	
Feb 17 2006	Loved the Regency	Our first room was small and dark and the bathroom lights did not work. After pointing that out we did get an upgrade to a fantastic room. Staff was more than willing to help and very responsive. We stayed during a very cold period and the hotel had a really wonderful hot chocolate stand in the lobby....And it was GOOD hot chocolate. Very near Central Park. It's a good walk to the theater district but that was fine.	
Feb 3 2006	Wonderful experience!	We, my two daughters, my mom and I, spent a Saturday night at the Regency, and could not have enjoyed our experience more!!! From the very first phone call to the Regency, to when we left the hotel, we had impeccable service, and an unforgettable experience in NY!Our trip had been planned for my Mom's birthday, and was a surprise to her. We had an executive suite which allowed all of us to stay together, which was ideal. The living room area of the suite allowed all the family to gather for birthday cake after dinner, which was very relaxing and allowed all of us to be comfortable together. Brunch in the Library the next morning was quite a treat, and our waiter, everyone at the front desk, concierge desk, and the doormen were wonderfully solicitous, and provided excellent service. We would love to make a stay at the Regency an annual treat after this incredible experience.	
Jan 19 2006 	My favourite hotel	The Regency is my favourite hotel anywherre, I've stayed there four times and rate it very highly. The rooms are very comfortable, the maid service first class and I feel at home as soon as I lay my bag down.My favourite thing about the hotel is the gym. It is easily the best hotel gym I've used - if you like free weights it's ideal. Gym staff are (like all the staff) very friendly and helpful. To be walk in the gym for the first time of a visit (about 6 months after my previous visit) and be greeted by name by one of the guys working there really blew my mind!	
Jan 8 2006	Great Hotel	The Regency might be one of the best in city and possibly the country. The rooms and service were very good. We would definitely stay there again.	
Dec 11 2005 	Pretty good hotel but the service charge - ouch!	Stayed there for 3 nights. You don't expect any view at that location and there wasn't. And in the middle of NY city you don't expect tranquility either from the traffic or the heating / aircon. The room was very big (don't know if it's standard), bathroom didn't feel too small espeically with it's separate shower - the TV was a curiousity considering reception there is terrible. Housekeeping is excellent. The bed is fanstastic.Food is neither good nor reasonably priced and neither is room service at all fast. And yes, the 21% service charge, and $5 per person 'delivery charge', and of course the waiters still expect a cash tip on top... Although they try hard there's always something missing in the order, and since the simplest things take at least half an hour to arrive you just have to give up. I had a chilled seafood salad in my room - a whole, shelled lobster, 3 giant prawns (still 'shrimps') which were tasteless, and a mountain of shelled crab and salad. For a couple of dollars less I ordered the lobster salad in the Library, and you get half a lobster and a few leaves! And don't have the Amish chicken - it's truly uptight!Wired internet is a mystery, and I hooked up to an unsecured wireless connection - perhaps thats why my laptop isn't working now.The location is excellent for shopping, central park, museums and art galleries. The staff are courteous and try to please - I asked for a late checkout and they tried to oblige although they were full. Overall its a pretty good hotel - I'm just glad I was on expenses, and don't bother with the food.	
Oct 26 2005	Not luxury but good first class	Location is the best in NY. Hotel is very nice first class hotel; Home-away-home -type accommodation. House keeping is keeping the rooms very clean. Bathrooms have old tiles (back to building time?) but new stone floor and counter tops. A lot of high-quality towels which were changed daily. No ventilation in bathroom.Some parts are little dated and need some fresh-up.Room service breakfast is VERY expencive with automatic 21% gratuity. I have styed in many real luxury hotels but never met 21% tips. Is this a record high?	
Oct 6 2005	I feel ripped off!	I recently stayed at the Regency for 3 nights at a rate of $400. per night plus taxes. The room was dark and dingy. The sheer white curtains were beige, the windows weren't soundproofed and I just had the feeling that the room hadn't been updated in years. The bathroom was marble but all stained and the grout was falling out. I complained but they said no other rooms were available. Upon checkout, on my bill was a minibar charge of $50. that I refused to pay. I never opened the minibar but the receptionist said I was smart to catch it since most people don't! Hmmmm. Well, I won't go back there again.	
Aug 13 2005	A little sad about the Regency	We stayed in the Regency for 4 nights. I've stayed there before and encountered no problems, but this time was different. We were not able to check in till around 3:45 PM, though I had requested early check in. The room needed repair, though small, an area of the ceiling needed repair and the carpet in a small area needed repair. The closet door didn't work and one light didn't work as well. The stay went fine and the cleaning staff does an excellent job. I would not rate this hotel at this time a 5 star. I think it is time to update at least some of the rooms. I'm not sure, but we did get the room at a special rate and maybe that is why the room was a little less than expected and we had problems upon check in.	
Aug 8 2005	First time there we loved it	Stayed at the Regency for the first time for three nights in late July, and it was great. Location is great on Park and 61st, easy to walk to museums, shopping and Central Park. The room was very large and looked like it had been redone recently with high quality furnishings. The staff was very attentive and helpful. We typically stay further downtown in the East Fifties hotel area, but we paid no more for the Regency ($279 per night from their website) than we pay further downtown and the Regency is better than most of those hotels.	
Aug 4 2005	New Year at the Regency	I stayed at the Regency Hotel in Dec 04 and stayed for the new year celebrations. The hotel is set in an excellent location, literally a couple of minutes walk from bloomingdales and a subway station. Set on park avenue, you have the bonus of having that in the city feel but with a bit of calm on the side. At xmas time bloomingdales / fifth avenue shopping areas and especially saks can be extremeley busy - people queing up at 10pm at night to get a bargain! But as you turn the corner to your hotel you feel like you can really wind down. I found the rooms to be well maintainted, modern and very luxurious. we even had a balcony overlooking the city - fab!If you are visiting new york for new year it is great! We went to times square as felt it was a must but be warned you have to be there from 4pm to even get in and they don't really provide any entertainment while you wait, just an hourly countdown! If you do not fancy times square I would recommend the rockefeller centre. They had performances by Maroon 5, Duran Duran and also guest presenters like Jay Leno. The screens in times square kept showing the rockefeller centre and I have to say, we were jealous!The regency totally relaxed me at the end of many days manic sight seeing and i would definately recommend it to anyone.	
Jul 14 2005	Elegance on the East Side	My parent's 60th wedding anniversary was the occasion for our gathering at the Regency. We were all treated like kings, queens, princes and princesses. The service was excellent. The only slip was needing to get out room re-keyed when our keys no longer worked for some inexplicable reason. The hotel staff is very attentive and friendly, and make you feel like you belong there and are not just a visitor. Overall the hotel is rather expensive and the restaurant was very pricey, so we only had one breakfast there. There were some reasonable eateries in the area, so it wasn't too hard to keep within a budget. However, the upper east side and the Regency is not the place to stay if you are on a tight budget. It is a great place to stay for a special occasion. We were all very happy with the hotel. My parents received complimentary Mumms champagne and some sweets. The location was good for shopping, Central Park jog or walk, and close enough to 5th Ave and midtown to get there by walking or quick cab ride. My travel agent warned that the older NY hotels can be &quot;tired&quot;, but that was not at all the case with the Regency. The whole hotel was well appointed and furnished. Since we had kids, our only room choice was a double/double. The size of our room was fine for four people with two closets, a kitchette, table and chairs and an upholstered sitting chair. I got to see the rooms with a king bed, and thought they were great and plenty big for two adults (i.e. leave the kids at home). I don't think this hotel has much to offer in terms of view rooms; we looked out over some rooftops. Nonetheless, the Regency is a well known and well-respected hotel, frequented by many celebs and &quot;power&quot; people. Consider it for a classic NY experience.	
May 24 2005	Attention deficit disorder	Maybe we got them at the wrong time, but the staff members at the Regency were not on their game when we stayed at this hotel.There were numerous times during our 5 day visit that we were not greeted upon arrival, or addressed as we left. I had to summon a cab for my family on four separate occasions. Every room on our floor had a newspaper at its door, every day. We got a newspaper at the door on two mornings. Bath robes? We lacked one, and requested it. The robe was delivered, and then retrieved the next day, without a replacement. I didn't think it was worth a $10 daily tip to get the thing back.Internet access is about $20 a day, and no one on site was able to explain the hookup protocols.The employees were kind and polite, and the majority spoke English and Spanish fluently.The room was well kept, and maid service was very good.The restaurant (&quot;The Library&quot;)serves an excellent breakfast, and the wait staff is completely attentive. The hostess provides free newspapers including foreign and domestic. (She was the most caring and competent hostess that I've EVER met in New York, in 25 years of traveling there.)I recommend the restaurant unhesitatingly. The hotel itself is a solid 3 Star Facility, and the experience does not encourage me to return. (Which is unfortunate, because we go to NYC frequently.)	
May 24 2005	Great location-- we never left the Upper East side.	We enjoyed the hotel and staff once our issues were ironed out at check in. We arrived at 11:30 AM and were told no clean rooms were available. We returned at 1:30 PM to be told the same thing. At 5:00 PM, we returned a third time only to be told that our room had been overbooked and that we would be moved to an inferior room that would include about a $25.00 daily rate reduction from $365.00 a day to $339. per day The manager on duty was very helpful and willing to correct our room problem when we spoke with him. He reduced our total stay to the reduced rate of $319.00/daily that we later booked as a weekend rate. He also arranged for a room upgrade since we belong to Loew's First. We spent one night in the smaller overbooked room and the remainder of the trip in a much nicer room at the lower daily rate of $319.00 per day. The room was very large for NYC. The 2 closets were perfect-- one was a walk in closet with a small safe. There are about 3 or 4 different places to sit in the room, although the bathroom had very limited space. We loved everything about the room except the 20+% rate added to the laundry bill that I was not aware of when I discussed the expense of steaming a veil and formal dress while at the hotel. Even with those two issues, the hotel is perfect for vacationers. I noticed lots of pets around the property that belonged to guests. It was cute. We would stay there again but we try to stay somewhere different each trip to the city. We have stayed at the Royalton and the Park Central back in the early 80's. Then in the mid 80's, we stayed at the Shoreham and the St. Regis Hotel. We have stayed at the Paramount, Parker Meridian and the Barbazon in the early 90's. All hotels offer something to meet the expectation for each visitor's taste. Check out this hotel or any of the others listed as well. All come highly suggested.	
Apr 22 2005 	Excellent Location	This is a lovely old hotel right in the middle of the &quot;right&quot; part of Manhatten. When we first arrived we were given a massive 1st Floor room facing Park Avenue. After a very noisy night we were moved without hesitation to a suite on the 20th floor facing the cross street, which was much quieter.The early morning guided walk of entral Park is a lovely way to start the day, as is Breakfast in Feinsteins.If you prefer more intimate 'family' run hotels this is the one for you in NYC. If you like corporate branded sterile blandness then the W is only a few blocks away...Excellent staff, Excellent location, Excellent Value for money.	
Mar 23 2005	the best so far	weve stayed in new york five times and so far this has been the best hotel yet. Staff are very friendly and curtious. Room service very good, clean and tidy and nice spacious rooms. would definately go back again	
Mar 8 2005	loved the regency	this hotel is perfect. the rooms are clean , well furnished , but not extravaganza; just right.In the bathroom, there is a bath and a big showerseparate .The bed is a dream.the staff is efficient and friendly.The room service is quick, and the food is fresh,and excellent.In this hotel the atmosphere is joyful and jazzy.	
Jan 9 2005	Wonderful as usual at the Regency	We are frequent visitors to New York City and like to stay in modern, luxury hotels that are in nice, convenient locations. Often we travel with our 14 year old daughter and our beloved 4 year old terrier, so we are looking for places that are welcoming to kids and dogs! The Regency fits the bill on all counts. Our last visit was over the Christmas holiday. We arrived on Christmas eve and stayed for three nights. We had a deluxe luxury king which turned out to be one of the largest rooms I have ever stayed in in the city. The furnishings were tasteful and classically modern, sophisticated but not cold. There were plenty of places to store clothes (and we travel with a lot), books, etc. The room had a large desk, table and small banquette, and in another area, a comfortable chair with a great reading lamp.The bathroom was not particularly large, but well appointed with plenty of counter space. It also contained a large tub and separate shower stall with European fixtures - great for us since by husband likes to bathe and I shower.Although quite full, the hotel staff couldn't have been nicer, although the service was a bit slow in the smaller library like cafe where we ate breakfast.There is also a great fitness facility at the hotel, free to guests. If that is important to you, than this one does a good job of providing many extras (yoga mats, fitness balls, etc.) that you don't get in all hotels.We have stayed here a number of times and will definitely return again.	
Dec 14 2004	Decent but not great	Got a luxury king room with Park Ave view. The lobby was nice and intimate but the elevators were very dark and unpleasant. Staff, in general, was hospitable, particularly the housekeepers. The room was quite spacious, but i would agree with others that the bathroom was a bit too small for a luxury property. Not a stylish venue, but the location is superb. Generally speaking, average experience and value.	
Dec 13 2004	Could do with a make-over!	For my daughters 18th, I thought a trip to New York and to top it all we would stay in a lovely hotel. I chose the Regency, Not a good move! First impression the lobby small and to be honest I thought a little glumy. Our room was dreadful it even had a disabled shower in it and a court yard view. (I was led to believe LUXURY KING was with street views). The room was not going to have our company that night so I asked for a new room. I was told the hotel was full, but I persisted and was offered another. This was an improvement but the carpet had some very bad stains and a tiny bathroom, it just looked dark and tied. The manageress (she was very sweet) and I think she knew the room was not up to scratch said she would try to find a better room for us the next day. 15 minuets later she did! So much for the hotel being full). This room was the same as the last minus the stained carpet! We had a so called kitchen only it had nothing in it except a sink, fridge 2 tea towels. no cutlery crockery not even a kettle. My other complaint was the absence of a coffee machine, surely New York 4*+ hotels can afford to offer their guests a warming beaverage after a long day out without paying after all there is no breakfast unlike most european hotels that cost the same. Overall we loved New York but not The Regency. Most of all I am upset because I told my daughter she was going to a posh hotel and I knew by her face she was disappointed. Did I also mention the carpets in all needed a good clean and the painted work brightening up.	
Dec 5 2004	Very Pleasant Stay	My husband and I stayed at the Regency Dec 1 through 3, 2004. Our room was very nice and the staff could not have been more accomodating. We usually stay on the west side but found that this location was very convenient. We would stay here again.	
Dec 2 2004	A wonderful Thanksgiving	Stayed at the Regency for 5 nights over Thanksgiving weekend. Had a lovely, large room, well designed and well maintained. Excellent service all around; the maid left us a hand written Thanksgiving note, housekeeping was quick with requests, and the concierge was very helpful in arranging theatre tickets and restaurant reservations. I thought the room service food was delicious, but I would note that service was slow (the hotel seemed very full over the holiday). A great location for walking everywhere. I left some personal items in the room, and realized it while at JFK waiting for my flight. I called and spoke to housekeeping and they sent someone right away to our room; the items were received by FedEx two days later. Would happily stay here again.	
Nov 10 2004	Service nightmare	Rented suite for 890 per night-because they allow pets, we had eye irritation from the room: requested one day laundry service and no laundry returned-called that night more than once, finally at 10pm someone told me I was not going to receive-I explained I was leaving in morning-they said they would get back to me and they did not-then next day they said they sent out that morning to a dry cleaner and would not be back-spoke to manager and he assured he would fedex me clothes-clothes not yet returned-have called hotel-no one has returned my call!Room service food not goodMost irritating is how they just don't handle any issue. I used to stay here regularlyNo more	
Aug 30 2004	Excellent Hotel	The Regency is an excellent hotel. After spending a few nights at the Westin Times Square, the Regency was quite refreshing. We spent two nights there on the 24th and 25th of August. We originally booked a standard king room with a courtyard view, (booked through the Loews Hotels website for $199.00 per night) however, upon arriving the front desk representative asked if we would like to upgrade free of charge to a luxury king room with a street view. The room was huge and had a small kitchenette, sitting area, table and chairs and a desk area. The bathroom had a TV and a phone! It was one of the nicest hotel rooms we had ever stayed in. The staff was excellent- the concierge even called the airline to confirm our flight beofer we left for the airport. The location is great- very relaxed neighborhood away from the hustle and bustle of the city, however, it is literally right around the corner from 5th and Madison Avenues. I highly recommend this hotel!	
Aug 12 2004	A Designer's Viewpoint	The Regency has a pristine location in the Upper Eastside, a mere 2 blocks from the southeastern corner of Central Park, two blocks from Bloomingdale's, one block from Barney's and close to the many other designer boutiques along Fifth Avenue and Madison Avenue. It is convenient for being near the museums, yet removed from the midtown crush. There are quite a few world-class restaurants nearby (Aureole could be seen from my room window) as well as excellent bistros and intimate local dining spots.Specifics: I stayed in a &quot;Superior King&quot; Room. It was on the 12th floor. The Bathroom was approx. 5 by 7 and a half feet--probably small for a luxury hotel but it had very nice modern appointments. The bathroom had floor to ceiling polished Botticino marble tile and the vanity countertop was granite with a generous porcelain undermount sink with modern faucets. The tub was generous (deep and wide) and the showerhead was powerful. There was a wall to wall vanity mirror flanked by side mirrors. There was a magnifying &quot;Shaving&quot; mirror and good lighting. There was a small counter TV as well as a phone in the bathroom. Amenities included a 1600watt hairdryer, a vanity set that provided cotton balls, ear swabs, kleenex and the hotel chain toiletries which included facial (glycerine) soap, bathing soap, lotion and shower gel. The hotel provided (4) large bath SHEETS which were plump and thirsty, washcloths, hand towels, good bath mats and a large cotton bathrobe. The bathroom had convenient towel bars, hooks and a shower grab bar--very thoughtful. The only negative in my bathroom was the lack of a fan. The Hallway: had a framed, full-length mirror (great for seeing the ball gown you will be wearing to the Met!) and a lighted hall closet with shelves. The hall closet had a convenient ironing board and iron and good hangers (including padded ones for the ladies fine clothing!). The bedroom closet was kind of small--2'6&quot; X5', but it had a personal safe-- great. The main room was approximately 23 feet by 13 feet--generous for a Manhattan hotel. It featured a generous, chenille covered club chair with ottoman. There was a pedestal table with (2) upholstered arm chairs--great for eat-in room service. The bed was flanked by (2) generous nighttables with glass tops and lamps. The mattress was firm but comfortable. The bedding was white waffle-weave matelasse with scalloped border-- discreet, elegant and clean. It was made of 80% cotton, 20% poly. It looked brand new but the label had 2003 written in ink on it by magic marker. The sheets were crisp but I was unhappy with the threadcount-- which I was unable to verify. I usually accept nothing less than 400 threadcount and these felt like 250--this is my only serious bedding criticism, but one that a hotel of this standard should address. The pillows were awesome-- the hotel prides itself in giving you several options, and they were generously and attractively piled up on the bed. There was also (2) decorative Mohair neckrolls, a down comforter inside of a grey-colored fabric that I could not quite identify. This fabric was probably the one design choice I would not have made for aesthetic and other reasons. Across from the foot of the bed was a large and attractive bowfront entertainment center/armoire. This unit housed the 30&quot; Phillips TV, which had a convenient remote. There was also a mini-bar, stocked with all the usual suspects. Also provided is a goodie basket with items such as candies, bottled water, and dog biscuits--since the Regency is pet friendly. The basket items were as expensive as the mini-bar items. On the window side of the room was a wall to wall granite topped desk/executive area. This area ingeniously housed the room air conditioning unit which could be controlled by a wall thermostat. The desk area had a multi-line phone, keyboard for internet (which was interactive with the TV Screen), Regency guestbook/service guide. Best of all in this area, there was an executive swivel chair on rolling wheels with fabric upholstery. Draperies consisted of a cornice board running the width of the room with thick draperies and another set of sheer draperies. These were easily adjusted by pulling a wand and sliding the draperies along the track. The bedside also featured another multi-line phone and an alarm clock/radio. Other details: the room had crown molding and attractive carpet. The walls were covered in a wallcovering that was visually soothing-- slightly textured to appear like plaster. The artwork consisted of several black and white photographs of natural themes--flowers, trees, etc. in attractive black frames. The furniture was all rich mahoganys-- slightly masculine with stylish contemporary brass pulls. The overall color scheme was sandy tones/puce/taupe-- what I call Armani or Bergdorf Goodman colors. The overall impression was discrete, elegant and hip. Other comments- The hotel staff was friendly and professional. The hotel manager was also helpful and was always on top of things--he was actually managing. The only complaint I can think of was minor--for some reason, they were unable to make me French Toast for breakfast, even though it is on their breakfast menu.Overall, the Regency was an outstanding hotel--first class accommodations, service, and location. I have now found my home for when I come to Manhattan.	
Aug 11 2004	Terrible service	The room was comfortable but the front desk personnel all the way up to the manager were quite rude for even the smallest things such as access to the business center (incidentally, internet access is a pay per minute use, in this day of free wi-fi access everywhere, who has heard of this?!).For the price I stayed ($250/night), the service was lacking by far. Stay at a Hilton or W instead.	
Aug 7 2004	A very nice hotel	I had a suite, and it was subtly decorated, luxurious, very comfortable. You know it's a good hotel when your bathroom has a TV and a bidet. The bed was very comfortable, had a nice view of Park Ave. Convenient location. Great restaurants nearby. On the pricey side, but it's NY. Good CD system as well. Would definitely stay there again.	
Jul 23 2004	Loved the Regency	July 15-19, 2004I have stayed at plenty of 4 and 5 star hotels in the past, and the Regency on Park Avenue was by far one of the best. Went to meet my mom to spend a last &quot;girls&quot; weekend together before my wedding - the hotel couldn't have been more perfect. It's prime location on Park Avenue is one street over from Madison Avenue, and 2 streets over from 5th Avenue (the heart of NYC's shopping district) made it perfect for full days of dress fittings, sale shopping, visiting museums and posh nights on the town at all the chic restraunts. (Try Park Avalon on Park Avenue for a quasi formal, intimate dinner, the Coffee Shop in Union Square for a quick bite and Giesha, right around the corner from the hotel, for Asian fusion/sushi.) The staff at the Regency couldn't have been nicer, Julian at the concierge desk was fantastic, the check-in/out was prompt, room service was pretty quick(great morning coffee)the doormen were always smiling(one even did a rendition of singin' in the rain as he handed us an umbrella when it started to rain!) The only downfalls for the hotel - walls were a little thin, carpet in the hallways need to be replaced, and don't expect to get 2 double beds because you will get 2 twins(though very comfortable - and my emphasis on very - great sheets, fluffy comforters, and air conditioning that you can run all night without getting too cold or waking up in the morning with a stuffy nose, decorated in your typical hotel art nouveau style) I booked this hotel for $180 a night (stayed for 4 nights) for my mom and I on expedia and was blown away by how great it was (location, staff, comfortability) I usually stay at the Righa Royal for close to $500 a night, but I loved the Regency and would definity stay there again (especially with bargain fares like the one I got!)	
Jul 18 2004	Great service great location but ordinary and overpriced food	This hotel has a great location, right on Park Avenue, near a subway, in a great shopping area, and near Central Park.On a recent stay, the staff was wonderful, the room was large and clean and quiet, though, like another reviewer, I was baffled by the housekeeper who knocked on my door at 8:45 Saturday morning to &quot;check on the room&quot;.My only major gripe: Very ordinary food at very extraordinary prices. They told me their kitchen was in the middle of renovations so their menu was restricted but I had stayed there a year and a half earlier and the food was just was bad. Since the front desk staff upgraded me to a room with a kitchenette this time, I ended up buying OJ at a nearby market, rather than paying $7 a glass from room service. There are also great restaurants in the neighbourhood, so it's easy to avoid room service.	
Jul 17 2004	Disapointed In Canada!!!!	Hmm well for starters, my sister and i, and a friend had never been out of our hometown in canada!! so we thought it would be nice to go to N.Y!we made our reservations way in advance , for a smoking room for 3!! and with a nice view !! WELL!! when we got there we got a room with 2 single beds!! NO ash trays! and a view of crappy birck walls!! and we were made to pay for a cot for one of us to sleep on!! and it gets better!! the next afternoon when it was 97 degrees out we got stuck in there elevators for a hour!! which was not nice at all!! BUT they wanted to make it up to us so they upgraded our room to a suite on the Fifth floor ! with a beautiful view!! BUT!!!!! we were woken up 3 nights in a row at about 11:30 at night to be told that they were having complaints of the smoke !! it was NUTS!! and then to make matters worse!! when we left!! we had a $87.00 phone bill because we were charged $1.00 for all collect calls after we were told that there was only a $1.25 charge for local calls!! and there was no charge fro collect!! pretty smart aren't they!!! so to say the least we wont be staying there again!! but as for our trip in general it was great except the HOTEL!! for the money a person spends on a hotel in N.Y you shouldnt have to go through all that!! the only thing about that hotel that was good , was that the doormen were great and friendly!! so decidewisely when you pick a hotel!!Dissapointed in Canada!!!!	
Jul 12 2004	One of the best in NYC	I love this hotel and would stay again! As you may know, it is really hard to expect comfortably spacious rooms from the New York hotels, especially from those in Upper East or South of Central Park. But, you can find cozy, quiet, ellegant and spacious rooms from the Regency for reasonable rates!!The room was Luxury King on 2nd fl. It has a small kitchen, two walk-in closets, a marble working desk, a coffee table and a small sofa-type chair. The bed is well-decorated with ellegant pillows and a throw. Although the room is located on 2nd floor, the window is double-glass window so we could enjoy a quiet stay away from the nosies of streets. The marble bath is also well-decorated, well-prepared and spacious as well. The location is also great since Central Park is just two small bolcs away and designer boutiques on the Madison Ave are just one step away! Also, two small bolcs away from the station of yellow subway line, museum streets and upscale shoopings. Another good thing is that it seems recently renovated. I and my parents really enjoyed our stay and apparently have NO complaint about this hotel. The rate is also reasnable given this quality of stay. It is not as high as the genral rates of 4or5-diamod hotels. We paid ca. $300 per night and enjoyed more!	
Jul 5 2004	Regency not up to par	We stayed at the New York Regency Hotel recently. The room was very large, the bathroom very small with crumbling ceiling above the shower and black junk in the corners where the tile meets the tub. The hallways had dirty looking carpets. The location is nice on Park Avenue close to Central Park and Fifth Ave. Parking was $60. Breakfast was $110 for the five of us for bagels, juice and coffee (coffee was $5.50). There was a bug in my daughter's juice and they gave the wrong kind of bagel to my wife and daughter. For two rooms the weekend rate was $624.28 (inc taxes). We have stayed at Loew's Hotels in Coronado, CA and Montreal and they were nicer.	
Jun 28 2004	Nice hotel	Stayed for 2 nights in a suite and the room was beautiful! Very large with lots of amenities, 1 1/2 baths, kitchenette etc. Nice quiet area, but not too far short cab rides to mid town and walking distance to subway. food was excellent in the restaurant, especially eggs benedict for breakfast, not cheap though!	
Jun 24 2004	Halfway between the Hilton and the Four Seasons	I spent two nights at The Regency in October, 2003 on a discounted rate of $375/night for the Premium Grand Luxury Room, 400 sq. feet, the largest room before the suites start. The room was outstanding for the price, location, and of course considering that it is New York City. Very elegant couch, chair, bed, and desk. The bathroom was above average but not more than one would expect for a 4 star hotel. The room was showing the first signs of wear but hardly diminished from the experience. The hotel is typical for New York, however, in exorbanent charges for extras such as pressing service, mini-bar, and pay-per-view movies (the worst I have encountered - $12.98). The staff was professional but hardly coridal. They exhibited New York attitude and I can understand why those guests in other reviews who encountered trouble were unimpressed with the service. Housekeeping also woke me up both Saturday and Sunday morning when they knocked while we were asleep. Before I was awake enough to shout that we were still asleep, they opened the door with a bang when it hit the chain that I had used to lock the door. Essentially, this hotel provides exactly what you pay for. It is far superior to the typical 3-star business hotels of New York City, Hilton, Sheraton, etc. but does not equal the quality of 5-star classics like the Four Seasons and St. Regis which charge upwards of $500 a night at discounted weekend rates. 	
Jun 8 2004	Regency was Great		
Jun 3 2004	Gives NYC a terrible reputation		
May 30 2004	Worst Hotel Stay In 20 Years of Traveling		
May 28 2004	Two Thumbs Up		
Mar 24 2004	Loved everything if in New York stay here		
Jan 23 2004	Great Hotel if you like Park Avenue		
Dec 3 2003	Lovely hotel on Park Avenue		
Nov 3 2003	Clean and Spacious Rooms		
Aug 23 2003	Stolen items from room		
Jul 23 2003	Loved The Regency		
Oct 7 2009 	un business hotel per una vacanza di piacere		
Sep 30 2009 	La ubicación perfecta en pleno Manhattan		
Sep 5 2009 	Formidável!		
Apr 7 2009 	c'è di meglio!		
Jan 7 2008 	Habitaciones enormes		
