	Great deal and great location great comfortable beds and nice lobby	This is my second time staying on the upper west side and my friends first time. They are now convinced that this is the place to be in NYC. It is so convenient to the subway, great cafe's, decent street vendors, fabulous markets and stores and the museum and park. The beds were so comfortable and the warmed cider available in the lobby was great. We had a small suite and the kitchenette was perfect to bring leftovers back. We loved the stay and the location.'Gail in Vermont	
Oct 10 2007 	Good Choice at The Milburn.	We stayed at the Milburn for 4 nights on our first visit to New York from Australia after looking for a middle priced hotel on “Trip Advisor.” We got it down to the “Casablanca” in Times Square which rated very highly and “The Milburn” and eventually chose the latter. The main reasons were that the &quot;Milburn’s&quot; location was away from the main buzz for a bit of peace and quiet but near enough to everything by subway (72nd St - Express lines) and to lots of places such as Central Park and Zabars by just walking. Also the rooms were much bigger with kitchenette facilities which meant you could knock up your own breakfast, coffee breaks and small meals when you needed it.We were not disappointed and some of the extra bonuses were:1. Free Internet Room on the Ground floor.2. Rooms had extra living space, ironing board, 2 TVs, stacks of storage space, microwave and electric stove, free coffee makers and very comfortable beds.3. Location was just great with a large supermarket just down the block on Broadway for all your everyday needs. The famous Zabars Deli was 5 minutes in the other direction and what must be the best place for hamburgers in New York (Big Nick’s) was 2 minutes around the corner. 4. Can leave luggage before/after check in/out time.Just remember this is not a “classy” hotel and I would recommend that you go for the slightly better standard rooms which have more space and are higher up with a better view. But it does represent excellent value.As anywhere, the service will always depend on who is behind the counter at the time but we always found every-one most helpful. When we checked out to go by private hire car to JFK ($60) we left a small package on the sidewalk with a T-shirt for our grand-daughter from the American Museum of Natural History which we walked to on the last morning. Two weeks later the T-Shirt appeared in the mail back in Sydney thanks to “The Milburn” Hotel. You can’t ask for better service than that.	
Oct 4 2007 	Pleasantly Surprised	We chose the Milburn based upon reviews like this. Our room was booked as a one bedroom suite with two twin beds. We had read reviews of other New York hotels where the rooms were cramped, so we expected small rooms. Instead, we were overwhelmed by the spaciousness of the rooms. The &quot;kitchen&quot; area was small, but had the necessary stuff - fridge, microwave, sink, a few dishes, etc. that were needed for us. The &quot;twin&quot; beds were really double beds, and we had TV and other electronics in both rooms. There was also lots of closet space. The staff was helpful and left us alone unless we asked for help. We were able to store our luggage before check-in and after check-out. There were many good markets, shops, restaurants, bakeries, etc within a few minutes walk. The subway was conveniently only a few blocks away. Bottom line, we felt that it was a great value and would definitely stay there again.	
Oct 4 2007 	Great job Milburn!	My wife, brother and sister-in-law stayed at the Milburn for five nights from 9/15/07, based on the mostly positive reviews here on TA. We thoroughly enjoyed the hotel. We had the studio queen rooms, which were quite adequate for our needs. It's clean and comfortable. The beds were excellent. The kitchenette was very useful. The bathrooms were nice although a bit on the small side. It has a beautiful, cozy lobby with a nice workout room with flat screen TV's off to the side (which I used once and enjoyed). The staff were very friendly and helpful and even took our picture a couple of times. If you have reasonable expectations for what you're paying, as compared to the other upper west side hotels, and you should be very pleased.The best part, however, is it's location and value. It's located on the upper west side close to all conveniences you can imagine. The subway (2 stations) is very close. Central Park, Lincoln Center and the Museum of Natural History are within a 10-15 minute walk. Very good restaurants are within walking distance (try the Manhattan Diner at 77th &amp; Broadway, where George Clooney was filming a scene from his new movie next door while we were eating!). The hotel is a few steps from Broadway and 76th St. is VERY quiet, which offers a welcome reprieve from the hustle and noise of the city. It was the best value, in my opinion, on the UWS based on all the research I did.	
Sep 10 2007 	Very nice place good staff good value great location	Stayed for an entire week in August, changing rooms four times because of varying numbers of guests in our party. The one bedroom suites are fine, well furnished, quiet enough, good cable TV. The king and queen rooms are also fine, all have a microwave, coffee machine and plates and cups. The best room might be 1002 normally for handicapped persons. it is huge but has a special walk in shower. The staff were always friendly and helpful. the location is fantastic, with Fairway supermarket out the door, the 72nd st Subway whisking you via express trains up and down the city. Nothing in NYC is cheap, but I am convinced the Milburn is good value.	
Aug 28 2007 	good value but have reasonable expectations	My extended family and I stayed at the Milburn this past weekend. The neighborhood is great for a home base - a nice, safe-feeling area, with restaurants nearby, close to subway/bus, walking distance to many fun things. The staff was always sincerely friendly and helpful without being over the top or phony. In fact, the manager went way out of his way to help us with a parking situation that came up.We had three rooms, all next to each other, including one two-room suite. The two regular rooms were small, especially the bathrooms. Reasonably clean, but this is NOT a four or five star property. The decor is a little dated, but the room had a tv, cable, and a dvd player, as well as an iron, ironing board, safe, and a mini-kitchen area. The rooms were VERY quiet - no noise from the hallway was heard or from outside, or the other rooms. The A/C was a window type, and was very noisy (average for a window model, in my experience, but certainly different from the quiet hum of central A/C in a more modern hotel). I would recommend this property based on the staff and value, as long as the expectation going into it is appropriate - it's not fancy, but offers a whole lot for the price!	
Aug 21 2007 	Best Value on the Upper West Side	After the mixed reviews here, we were not expecting the jewel in the rough we found: a junior suite with renovated bathroom, a functional kitchenette (with plenty of coffee supplied), good range of lighting and I thought a perfectly comfortable bed. They did not have a roller bed for my son the first night but brought one without prompting for him the next nights of our stay. There was a plumbing problem in our bathroom - routine wear and tear, nothing predictable: the serviceman arrived within five minutes of our report and fixed it. Their front desk staff were helpful. Wifi was free. The hotel's position, slightly up a sidestreet from Broadway, makes it quieter than more expensive hotels such as the Beacon or On The Avenue. And the location is wonderful, with The Manhattan Diner quick and tasty for breakfast and so much else close by. We think the hotel is trying hard to give good service, and offers a mildly bohemian but well-run alternative to slightly duller, not much more luxurious hotels. Really good value for money (in NYC), and we look forward to going back.	
Aug 17 2007 	Good value decent service excellent experience	I booked my stay at the Milburn site for $195, a very competitive price for August in NYC on the Upper West Side. I wasn't expecting much but was pleasantly surprised right away by the cleanliness of the lobby. The service at the desk was always professional and helpful, at times, depending who was on duty. Be prepared to wait for a room if you arrive before 3 p.m. There are some perks: They'll keep your bags after you check out; free wireless Internet access in the rooms. Mostly, this is a no frills outfit. The rooms are a bit outdated, but I didn't care. They're good-sized. The beds are extremely hard. An extra pillow or two is a good idea. My shower door was falling off (oh, well). TV has a lot of channels. Elevators were slow but always available. Maid service is a little late in the day, but they did a nice job of turning down the bed, etc. Window air-conditioner concerned me , especially since it was hot outside, but I turned it down when I arrived, and it did the trick well. While there, the water in the hotel was shut off from 1-3 p.m. one day in the afternoon. This was an inconvenience, but it's not likely to happen again. The location is excellent. Close to three subway stations, the Natural History museum, Central Park, Riverside Park, plenty of food and entertainment. I'd stay at the Milburn again.	
Aug 1 2007 	Do not stay here!!!!	The worst customer service on the planet! I booked a room through [--]at the last minute and when I arrived at 2:00 am because of a very late flight my room was cancelled. The front desk representative didn't want to assist me and just kept muttering he was just a clerk. NO MANAGER on duty. It took him over an hour to contact the manager who said he couldn't help me as they had rented my room. Per [--] the reservation was not cancelled and the hotel is not allowed according to their contract to rent out that book of business. The hotel staff was so rude it was like I didn't exist. [--] called the rep on duty and yelled at him but it did no good. To top it all off, [--]tried to tell me that they couldn't get me a room until after 7:00 am because of a policy of rooms being held until then. It took a lot of talking to managers and riding around NY all night before I got a room at 5:am. I will never book at this hotel or use [--]again.	
Jul 30 2007	Not a great stay	Recently I stayed and have decided it would be my last visit, since the Milburn is an unpredictable mixed bag of a hotel.It is on the Upper West Side, which is a great area and the main reason I stay there. Upon checking in the room this past week it had a very unpleasant odor I think it may be the rugs. We had to open the windows – we were on our way to an engagement so we did not have to stay in the room, and let it air out.  The beds which we were told were brand new (although they did not look it) were as hard as lying on a bed of bricks. We had to call the front desk and have them bring up some pads for the beds, we used 2 pads a piece and it helped some.The room décor has not changed or been updated in at least the 12 years that I have stayed there on and of f and it is really now old and dated.What was really troubling however was while my sister was taking a shower when she opened the shower door to exit it fell in on her. Thank God she was not hurt and they had some one come right up and fix it, but the front desk’s attitude was very off putting, they did not extend an apology for this incident, but told us in a very chilly manner that if my sister wanted to go to the hospital they would pay for her visit. When a room has not been updated in so long you don’t feel confident in the cleanliness of the chairs, bed spreads etc.That’s the last time the Milburn will see us. I’m shopping for another hotel in the area so if anyone knows of a good one. In fairness the Milburn has good size rooms and we have never felt unsafe there (other than the shower incident).It is really a mixed bag of a hotel.	
Jul 26 2007 	The Mliburn Met My Needs	I stayed for four nights at the Milburn. It met the basics--clean, quiet, reasonably comfortable beds, mostly dark (see below) but had a number of annoying small problems. It did have a tiny kitchenette, and a phone in the bathroom (actually a bit of an inconvenience; I kept bumping into it because the bathroom is so small)Little problems: There was no box of tissues in the room (though there were paper towels in the kitchenette). There was no clock radio. The TV had sporadic problems changing channels, though I really didn't care much about that. When I sat on the end of one bed it tipped forward, like the bed frame didn't extend the length of the bed. The kitchenette was so tight that the refrigerator door couldn't open all the way so I could get a pizza box in! The hotel booklet promised laundry, but there were no signs to it or at it, a staff member told me that the machine cost 16 quarters. I decided to wait. The only phone book was a 3 year old business-business version. It felt sort of neglected.The only major problem was that the not extremely powerful air conditioner was in the middle of the main window. That meant that on these muggy July nights where I wanted to run the air conditioner I had a choice of being dark and blocking the AC with the drape, or leaving the drape open and letting light in early in the morning.The neighborhood is fine--lively, lots of food shops (some open 24 hours), subways within blocks, the Natural History Museum a few blocks away. I found it more convenient to be where I'd previously stayed in the west 40's around 9th Avenue. Access toi subways and small scale restaurants was better there. Nowadays, anything in Manhattan under $200 per night (this was $159) is considered a bargain, so I guess it was.	
Jul 19 2007	Give this hotel a miss	Hotel expensive although in nice area of New York. However our rooms were very dirty and dowdy, the toilet blocked twice, the TVs did not work and the hotel front staff not at all friendly or helpful. Spoilt our few days in New York. Would never recommend to anyone. How a hotel like this gets business is beyond comprehension	
Jul 10 2007 	Very good family hotel	We stayed at the Milburn for four nights and had a very good experience. The location is fantastic, and it's extremely spacious by New York standards. The king suite has two separate rooms, and there's a sofabed in the living room for the kids. And it was a really good deal -- we paid $225 per night for the suite.Although we were on the second floor, overlooking the street, we were never bothered by street noise. Probably because the A/C drowned out the noise. The only complaints I had were that it was a teeny bit dirty (but not too bad), and that while &quot;union regulations prohibited the staff from washing the dishes&quot; from the kitchenette, they did not provide dishwashing soap. I don't mind washing my own dishes, but a little soap would have been nice. They also didn't replenish the coffee supplies after the first night.But overall, I would definitely recommend this hotel for families. It's walking distance to the park and to the Museum of Natural History and it's in a great neighborhood for just walking around, enjoying the city.	
Jul 5 2007 	A wonderful hotel in a great location!!!	We searched high and low for a hotel for our first family vacation in 9 years. Let me tell you, the hotel webstie does not do justice to this great hotel. The rooms (1 BR suite) were large and comfortable, the kitchen was small but very usable (saved a ton on breakfasts), the master bedroom had a king size bed with what felt just like our tempur-pedic mattress, and the kids said that the pull out queen bed was comfy. The neighborhood was awesome and safe (with a great market just around the corner and a great place to eat called Nicks that delivers), the hotel staff was super friendly and helpful. When we go back next year, there is not another place that we will even consider. Subway 3 blks away, central park 2 blocks away. STAY HERE, YOU WON'T REGRET IT!!!!	
Jun 30 2007 	Dated decor but what a value for a suite!	We just got back from a week in Manhattan. We stayed on the eastside for 4 nights then moved to the Milburn for 3 nights. We had a 2-room suite for $254+ tax per night. The bedroom had a king bed and in the living area there was a pull-out coach (very uncomfortable according to my kids!). Both rooms had TV's and DVD/VCR. We had a HUGE bathroom with a separate tub and shower. There was also a kitchenette and a large balcony with a table and chairs. The decor was dated but it was great to have all that space. Our suite was very clean. We had a non-smoking room but were on a smoking floor so the hallways reeked of smoke. The complimentary extras were computers w/ Internet access, DVD's and videos to check out, umbrellas,fitness center, siming pool access. The staff was very friendly. AC units worked great.We loved the neighborhood and frequented the Fairway food market just 2 blocks south on Broadway. There are many shops and restaurants a short walk away. This is an affordable place to stay on the West Side. Get a suite if you want extra room.	
Jun 23 2007 	Great neighbourhood	We stayed for 5 days at the Milburn. Some staff was friendly, some not so. We had the junior suite, quite spacy with 2 sets of tv - one in the sitting part of the room and one in the bedroom. Unfortunately the one in the bedroom didn't work and i had to mention it 3 times at the reception before they finally went up and fixed it. The hotel is quite old, but clean. The lobby is nice, with fancy toilets. What i really liked is the neighbourhood - upper west and broadway, a clean, safe and quite fancy neighbourhood. As a tourist from another country i really liked being amongst locals, there weren't much tourists in this area. The train station is a short walk away and with the 1 train you're only two stops from Times Square! Be sure to check out the nearby Beacon Theatre, just around the corner. There were some great concerts - Steely Dan was playing when we arrived ! I still regret the fact that i couldn't get a ticket - the only ones available were sold on the streets for a lot of $, and i was warned they were counterfeits.Anyway, we had a great time in NY, and i can recommend this hotel to anyone.	
Jun 20 2007 	Great value on the Upper West Side	We stayed at the Milburn for two nights in June 2007. We were part of a group tour, but decided to go a couple of days early. We didn't want to pay the going rate for our group's Midtown hotel, so we decided on the Milburn, and we were very pleased.First, though, the negative: there was a mix-up in our reservations. We had booked on-line throught the hotel's web site in early December 2006. I had occasionally checked the reservation to make sure it was OK. When we arrived, they couldn't find my name at first. Finally, they said we were supposed to arrive in July, one month later. Fortunately, I had brought the email confirmation with me, and after the manager looked everything over, we were given a room that was an upgrade from what we had reserved. So the problem was resolved to our complete satisfaction.Now the good stuff. The lobby is very inviting, with a nice area for seating and relaxing. Our room (a one bedroom suite with a King) was very clean with all the amenities we needed. There were no problems with the AC. The bed may have been the most comfortable bed we had ever slept in. The bathroom is indeed small, but for us that is not a big deal. The Milburn provides as a courtesy what other hotels charge for: use of a computer with internet access and holding luggage in storage are 2 examples. The hotel's location on the Upper West Side is very convenient to subway stops and the neighborhood seems, by NY standards, fairly unhurried and neighborly. There are several restaurants nearby that give discounts or special offers to guests of the Milburn. The hotel staff is very helpful, and recommended a nice restaurant when we asked. Taxis don't often go in front of the hotel, so to get a cab plan to go to Broadway. The Milburn is a great hotel for those staying in NY who don't to spend a great deal of money on a hotel. We absolutely recommend the Milburn and will definitely stay there again when we return. But don't forget to call and verify your reservation!	
Jun 18 2007 	Staff is incredible	I stayed at the Milburn because both the Lucerne and the Excelsior were booked. (I usually stay at one or the other in NYC.) The staff at the Milburn are friendlier than either of the other two hotels. The only real complaints I had are that the bell staff are no where to be seen, there was no robe in my room, and the bathtub couldn't be plugged, so a bath wasn't possible. The water pressure isn't great and the housekeeping staff were noisy early in the morning (7am - vacuuming shortly after 9 am.) I would stay here again if need be because the price is incredibly affordable for this area of the city.	
Jun 16 2007 	Pleasantly surprised!	I am a native New Yorker, but hadn't been &quot;home&quot; in many years. Needless to say, finding a hotel in NY that is reasonably priced is hard!! We came across this hotel in a travel book and called directlyto book. There were 3 of us in the room and the total cost, inc. tax,etc. was $818.00 (US) for three nights. We had 2 double beds and a couch that pulled out to make another bed (We didn't use that).There was also a single chair. The room was much bigger than any I have seen in the candid photos. We needed a handicapped accessible room b/c my daughter is in a wheelchair and she was able to move around quite freely and not bump into things! There was a small, but very clean bathroom and also a small, but again clean, kitchen area.Not once did I see any housekeeping staff walking through the halls!!Yet, when we returned from being out all day the room was made up. The staff was very friendly and when we called to ask for extra towels they came right up with them.My only complaint would be that there needs to be a longer loading area. Going in was a breeze, but that was a Sunday. Going out there was a huge truck loading mattresses on and it blocked part of the loading space, and that was in addition to cars going by and one car double-parked waiting for someone--but that's New York!!There is a small fitness center and there is access to a pool nearby (We used neither!!). They are now building a breakfast area off the lobby, but until that is finished there are no restaurants on the property. We went to a bagel place 2 blocks up which our daughter recommended and right across the street there is a 24 hour place called Big Nick's. It is a little hole in the wall, but quite good, and always crowded!Oh, and we had a celebrity sighting the day we arrived. There was a car in front of ours and the man was putting something in the car andit was Richard Kind (from Spin City). We ran into him several times that day walking around. I am not sure if he was staying at the hotel, or just parked his car in front of it!!	
Jun 8 2007 	Like an apartment	We were skeptical before our arrival, but ended up really enjoying our stay at the Milburn. We rented the one-bedroom suite and it was like having our own apartment. The only drawbacks were the small bathroom and one unfriendly desk clerk, but all other employees were great. My husband has a bad back and the beds were great if you like a firm mattress. The location was fabulous and so close to everything. A wonderful street fair was held over the Memoial Day weekend on Broadway St., just steps from the hotel. I would recommend this hotel to others and will definitely stay there on my next visit.	
Jun 3 2007 	Better than expected!!!!	The Milburn Hotel does not seem to be a favorite of the local NYC TA experts. I booked it despite their suggestion to book elsewhere. I was extremely happy with my choice!! I had ,what they call a studio room-kingsize bed +small alcove with fridge,microwave and coffeepot. The price was $185 +tax. It faced asmall courtyard and so was very quiet. The room was a good size,furniture modern and bed comfy. The bathroom was tiny but the water pressure in the shower was super!Housekeeping was eager to be helpful. When I didn't want service one day they called to make sure I was OK and to ask if I needed anything. Coffee,tea and Famous Amos choc chip cookies were provided.The hotel doesn't have a restaurant on site ,but provides room service from the 24hr diner across the street. There are 3 computers you can use ,a small exercies room, and an arrangement with the community center down the street to use the pool.I love staying in a real neighborhood where you can make believe you actually live in NY and are not just visiting. I will definitely stay here again and will tell my friends about it as well.	
May 6 2007 	Great value	We stayed here in late April 2007. Location is very good just 2 blocks from a Red Line subway stop which among other stops goes to Times Square. There are many good ethnic restaurants within walking distance. We had a one bedroom suite with plenty of room for three of us. Staff was very helpful and friendly. The only drawbuck for us was the temperature of the water in the shower was impossible to regulate, over three days none of the three of us got a comfortable shower. Without a doubt this is as much hotel as you can get in NY City for the money.	
May 6 2007 	What a Gem!!	My husband and I recently returned from a fantastic stay in NYC. Although the weather was absolutely perfect - except for one rainy night - what made the our stay was our hotel. We read many reviews of the Milburn on Trip Advisor - most great, a couple not so great. We contacted the hotel and decided to book directly with them.The room was a studio with kitchenette and king size bed. Cost: $199 US. For what we got it was incredible! The room was clean - no bugs, no vermin whatsoever. The hotel staff were friendly and the hotel was quiet. The neighbourhood: Upper West Side. Very residential - lots of local eateries and markets. The hotel is located between Central Park and the Hudson River. Both are very close and within easy walking distance. The hotel has a small gym and also does room service. Access to downtown is available at two nearby subway stations - one at 72nd/Broadway and another at 79th/Broadway.We have no problem recommending this hotel to others - but with one caveat: If you want the rat race of Times Square and all the touristy shops and party atmosphere don't stay at the Milburn. This is a hotel for those who want easy access to 42nd St/Broadway Theatres (note that Lincoln Centre is within walking distance), but prefer to live like New Yorkers - sample the local eateries and spend your days touring the city.We will most definitely return.	
Mar 25 2007 	impossible to get your deposit back	We liked the hotel very much the first time we stayed in 2004. So, in 2006 Milburn was our first choice in Upper westside despite the fact that the price had gone way up. We, two families, made two reservations for two rooms and each was charged one night of deposit at the time of booking. Eventually, Only three of us made it to NYC and naturally we cancelled one of the two rooms with the front desk a week before our arrival. We were assured that the cancellation was early enough to get our deposit back.  Yet a month after we returned overseas and found out from our credit card statement that we did not get credit from our two reservation deposits. We called and called (using very expensive international phone lines), only to be transfered to the so called &quot;accounting office&quot; where no live person ever picked the phone (every time we called, no exceptions).  Our credit card company finally got us one night deposit back, but still now they owe us another night of deposit. And more importantly, they owe us an explanation/apology for totally ignoring our repeated request. We gave up on the money now but we will never never never recommend anyone stay there.	
Feb 10 2007	No respect for Non-Smokers	This hotel was way too SLOW TO REACT TO SMOKERS on a non-smoking floor! We stayed here for 7 days on a non-smoking floor with no-smoking signs on every door. On our 3rd morning, we smelled smoke in our room and the hallway reeked. I asked the guy at the front desk if he knew about the problem and they said they'd take care of it. That night, at 11:30 pm., once again we had SMOKE IN OUR ROOM and the hallway reeked! Again I called the front desk who later said they had trouble locating the problem. I guess they didn't think it was serious enough in the morning! We both got headaches and had to sleep with the window open and a wet towel under the door. The smokers were gone the next day, but this was ridiculous, not to mention dangerous. Also, the decor is depressing, the mattresses had uncomfortable, squeeky springs and some black mildew on the shower tiles. Would never stay again.	
Jan 5 2007 	Our Home Away From Home in Manhatten	We first stayed at the Milburn in 2002, having found it on the internet. We have stayed there nearly one dozen times since. We have always felt the price of the room in which we stay (the same one-bedroom suite, which we always request) IS MORE than fair. We get a living room with a swell view; a clean, outfitted kitchenette, a large bedroom and a clean, attractive bathroom. The radiators have never clinked and clanked. The housekeeping is excellent, the desk help are personable and friendly, and when things are broken or don't work properly, they have always been promptly fixed. The whole establishment is clean, safe, and quiet. Location is superb. We are three blocks from a subway, one block from Citarella (a specialty grocery), Fair Way (a neighborhood grocery), and only one block from Big Nick's Pizza Joint, the best value in quick dining we've found that also is drenched in local color. The management of the Milburn always bends over backwards to offer tips on dining and sight-seeing. If you are expecting Trump Tower amenities, you will be disappointed. If you are expecting top value in a great neighborhood (4 blocks from Central Park, 3 from the Musuem of natural History), you cannot go wrong.	
Jan 3 2007 	Great Place to Stay	We decided to make a last minute trip to New York for New Year's. I booked the Milburn after reading reviews on this forum and was very pleased. When we got there, we were upgraded from a studio to a room with two double beds and the beds were the pillow-top type and were wonderful. The location is wonderful. We were just a few blocks from the subway, but were able to walk downtown the first night without riding the subway. We had a small kitchen and used it to store breakfast food that we purchased at a grocery that was right down the street. My daughter and I felt very safe at all times and never hesitated walking around at all hours. There were a few negatives, but they were not significant. The room was hot, but we ran the air conditioner and that made it fine. The bathroom was a little old looking, but it always seemed clean. I would definitely stay here again.	
Jan 3 2007 	Had better stays at Super 8	I've stayed at the Milburn before, and it's always been a mixed bag. Here's what happened this time, good and bad.Milburn came through for us when our original plans fell through and we didn't have a place to stay. That's good.The radiators in their rooms always make noise, interrupting sleep. You'd think they could have done something about that by now--it's been that way for years.Bathroom door kept locking on us, locking us out. That's bad. Milburn didn't have a person ready immediately to fix it. That's bad.This happened twice within 24 hours--they didn't repair the door in between. That's really bad. The second time it took longer for the repair guy to show up than it did the first. Frustrating to say the least.Management refused to knock off any of the cost of the room. My wife and I felt that since we were denied full use of the room at times(the bathroom locking us out) that we should have gotten some money back. Is that unreasonable?I'm not happy with our recent stay. There are many nice things about the Milburn--location, appearance, courteous staff. But they need some improvements, like making sure rooms are fully operational before letting people sleep in them. If we'd had a child with us when the bathroom got locked up, the Milburn might have had a bigger mess to clean up than some paint chips.	
Oct 31 2006 	Ideal for families with kids	My husband and I stayed at the Milburn over the Thanksgiving weekend 2005 with our two kids aged 3 and 6 at the time. The room wasn't fancy; however, it was very large by the NYC standards, and we also had a door between our bedroom and the living room where the kids slept. That door allowed us to put the kids to bed early and even sleep late in the morning. The hotel is within walking distance to Children's Museum, American Museum of Natural History, Central Park, Metropolitan Arts Museum. At the same time, the area is not particularly touristy, so you can feel like a real New Yorker strolling down a tree lined street to get your homemade breakfast at a local restaurant in the morning - I would recommend Alice's Tea Cup and Sarabeth's. There is also a perfect family friendly restaurant called Niko's just across the street. The food is good and not too expensive. The kids loved getting a baloon after dinner. We were so happy with our stay that we are coming back this Thanskgiving.	
Sep 28 2006 	Good Night's Sleep	My stay at the Milburn was for business, and the location was great for a good night's sleep before an important day. The neighborhood is quiet, and in the morning the taxis come almost nonstop in front of the hotel. The rooms are somewhat tired, but nothing bad. The front desk staff are marvelous. They do not have a restaurant in the hotel, but room service is provided by the plethora of ethnic restaurants in the immediate area. If you want to get away from the noise and lights of the more touristy ares like Times Square, this is the place to go. I heard absolutely no street noise.If I had been staying for more than one night, the full kitchen would have come in handy.	
Sep 24 2006 	Quiet in Manhattan	I would recommend this hotel. No luxury, but a great deal for NYC standards, conveniently located, and quiet. Suites with a living room and a bedroom, microwave and refrigerator. One disadvantage was a lack of a restaurant in the hotel, but there are plenty around.	
Sep 6 2006	Mixed experience	To Be Short, Great location, but had to be moved twice within a week,. The first room had a bathroom that my shoulders could not fit into. The second had ROACHES, and every carpeted inch of the last room squeked.  The roaches were the most disturbing. Eventhough staff said they had never had that problem before, I think we noticed a couple of roach motels in the room. On the positive end, staff was courteous, and moved us to new rooms when we had problems.	
Aug 25 2006 	very satisfied with the Milburn	My family and I have just returned from New York city where we stayed 3 nights at the Milburn. We were very impressed with the accomodations much nicer than the pictures on the internet and much larger than we expected. We are five in total and we enjoyed a very comfy king size bed and sofabed and large rollaway cot! The bathroom was not at all tiny like some reviews say and the shower and bath were fine...hot water and very clean. We also made use of the small fridge and microwave (no toaster) against hotel fire code. The hotel is in a lovely area of the city---upper westside, lots of nice shops and good delis. The hotel staff were vey nice and gave discount coupons for restaurants in the area. Free internet access at front desk! For 234.00us a nite..it was a great deal. We give it &quot;the thumbs up!&quot;	
Aug 9 2006	Wonderful Oasis	We spent five nights and loved our experience: wonderful location location near Fairway/Natural History Museum/great restaurants, friendly staff, comfortable/roomy rooms with a great kitcheonette to keep b'fast/snacks cool -- all in all, a hidden jewel and highly recommended for families.	
Aug 2 2006 	great base for family visiting NYC	My husband and I stayed at the Milburn with our 2 year old and were pleasantly surprised to be booked in a very large suite for $194/night. Size of a good studio apartment. Kitchenette with fridge and microwave and small sink. King sized bed, good quality crib was set-up when we came in complete with nice bedding. Small dining table, fold-out sofa, nice view. Bathroom fairly recently renovated with two sinks (although somewhat cheap materials). The location can't be beat and, although not cheap, it's a good deal for NYC. Very clean. Room had DVD player and you can borrow movies free of charge.Other relatives also stayed at the Milburn (family wedding) and our suite was by far the nicest. Some of the other rooms were pretty small, some had super tiny bathrooms. But, again, this is New York.Downsides: they were not able to accomodate early check-in, we were not offered any help with our many suitcases, elevator is excrutiatingly slow, AC is noisy window units. Shower went hot and cold a lot. But these are all fairly minor problems. I would definitely stay here again if traveling with kids or older people.	
Jul 17 2006	Great Choice For Our 4-Person Family	We stayed at the Milburn for 4 nights in mid-June, after staying the previous 3 nights at Embassy Suites by Ground Zero. Both my kids preferred the Milburn, for a variety of reasons. The first was location...just 1/2 block off Broadway and the subway system. Just a 15 minute walk from the Museum of Natural Sciences. It was also much closer to grocery stores, diners, etc. It was also $100 cheaper per night.If we had to do it over again, we would have stayed at the Milburn the entire time.I don't understand some other reviewers who said they didn't like the Milburn, but stayed there for 4 nights, anyway! Hey -- you can always change hotels if you don't like one!	
Jul 11 2006	Great choice	Our party of 4 stayed at the Milburn for three days in late June. This hotel was clearly a surprise. We had adjoining one bedroom units on the 14th floor. Living room was adequately sized with a sofa, overstuffed chair and table with 2 chairs. Kitchenette with coffee maker and microwave. Bedroom had a fulll dresser and lots of closet space. Good, firm beds. Bathroom was small but had a great shower. 2 TVs with DVD/VCR in living room and VCR in bedroom. Window A/C in living room and bedroom. Great location just off Broadway at 79th on the Upper West Side. And, it was quiet! The friendly staff answered all our questions. The hotel provides self-serve washers and dryers after 5 pm. The only minor annoyance was that our unit needed new mini-blinds. They were broken and could not be closed completely. Certinly not a deal breaker. At just over $200/nite, I'd go back anytime.	
Jul 5 2006 	Adequate with a convenient location	Stayed 10 days on business travel: Good access to transportation and restaurants; spacious and clean with the advantages of a small kitchen. It was basic: Mine had a rather loud window unit and a view of an alleyway. Staff was matter-of-fact but responsive. I would not hesitate to stay again.	
Jun 25 2006	Actually a Decent NYC hotel	I was pleasantly surprised by this hotel. Although the staff were not exceptionally friendly, they were friendly enough, and more importantly, they were always prompt whenever I needed anything. Our room was clean and actually really spacious for a NYC hotel (we had a 1 bedroom suite). I would definitely recommend it for families with kids. I stayed there with three little kids, and thought it was a great experience.	
Jun 9 2006	Don't risk it - pay the extra for a real hotel	I just returned from a 5 night stay at the Milburn Hotel and to say I was terribly disappointed is an understatement. I am by no means a 4 star traveler so I am used to staying at moderate establishments. This isn't even close. Let me start with the positive, the staff is great as is the neighborhood. The Upper Westside has some great finds and Central Park is really close. They had great restaurant suggestions ( Both Citrus and Coppola's restaurant (79th and Broadway) were fantastic) and the staff from front desk to maid service were always polite (which in NYC is not always the case). This, however, is where the nice comments stop.We made our reservations through their site over 4 months ago yet were put in a room right by the elevator on the second floor. They are doing construction which meant banging on the walls all day. Our view was of construction workers and all the garbage that goes along with that. The air conditioner is a windowbox so all the dust from their work blew directly into our room. We asked to move but were not accommodated. The plumbing in the bathroom backed up (gurgling from shower, sink and toilet), the towels were crunchy, we saw a cockroach and the decore is right out of 1982. Clearly we were not in an updated room. For this, we paid over $200 a night.They call it &quot;European&quot; but in reality, I'd say it's more rent by the hour. Before choosing this place, I read all the reviews on Trip Advisor which overall were pretty good. Unfortunately, the experience I had totally contradicts what I read. If you are looking for a bed, by all means the Milburn Hotel will be fine but if you are looking for just a little more, LOOK ELSEWHERE!	
