	Great position and excellent rooms with a view	This was my third stay at the London in the past 12 months and it continues to be excellent.Book a &quot;Vista Suite&quot; and you will get a room with a separate, generously proportioned sitting area with a bay window and a big curved sofa where you can sit and read the New York Times over coffee and a spectacular view up Central Park (and both rivers if you are on a high enough floor). I really believe these rooms to be great value considering size/cost options of other mid town hotels of this standard. Located just a couple of blocks from the park, shopping on 5th avenue, Carnegie hall and only half a block from Moma, this is the ideal position for a long weekend in NYC. It feels like your very own private apartment. While some of the newer boutique (hip) hotels may eclipse the London for the &quot;cool factor&quot; , this hotel offers good looking, functional, immaculately clean rooms (that still smell brand new because they have never been smoked in) that are above all, quiet. I am getting too old to want to hear the thumping of a hotel bar at 3:00AM and the London is pleasantly peaceful. The restaurant food is good, especially the breakfast selection. The gym is very well equipped and there is free WiFi. The concierge department are very helpful but the doormen remain just a touch edgy. In all, you cannot go wrong with choosing the London.	
Aug 22 2008 	Loved this hotel!	We stayed at this hotel over the July 4th weekend. It is well located to Central Park, 5th Avenue, MoMa and Times Square. Subway is nearby as well.Service was pleasant on all fronts. Elevators were quick.Our room was available when we arrived at 11:30 a.m. and we were able to check in. The room was on the 46th floor and was very quiet and clean. The bathroom was spacious and bedroom was large with a dressing area. The sitting area had wood floors, a large desk and large flat screen TV. No, the sofa wasn't cushy, but how long are you sitting on it in NYC!We didn't eat in the hotel so I cannot comment on the food. Starbucks is one block away, so there is no need for a coffee maker in the room.We have no complaints with this hotel and would stay here again over the Michelangelo or Benjamin any day!	
Aug 18 2008 	Don't waste your money	When we got there around 12 pm, we were given tickets for our luggage because rooms were not available. They kept our luggage in the Foyer until 3.30 pm - makes everything look messy!!! Also you stuff can be stolen or damaged! We went to the restaurant for lunch - My husband liked the food, but it was very small portioned. There is really nothing for a vegetarian, they say they can do something - but i got a greens salad with awful dressing for starter. Then corn was good as the main course, but it had chicken broth and dessert was burned. Beer was 15+ and Cocktails are 16+. Not worth the price. The service was good.The Hotel - clean, but the decor is boring plain, its like they trying to hard to be chic. The staff is not helpful, the do not go out of their way to do anything. The doormen waited 5 min for his tip while i checked in. I mean he only took it from car to counter. When i ignored him he stood there. I did not tip him because he did not take it to my room, he did not greet me properly at all. Also that mean i have to tip the person who takes my luggage up as well!!! The staff pretty much ignores you the rest of the time!	
Aug 18 2008 	I would LIVE at The London	The London is THE best hotel I have ever stayed at in NYC...and I have stayed at many. I am extremely picky about my accommodations (not very easy to please). I travel to NY at least once every couple of months on business and have chosen The London as my New York home. I cannot say enough about this hotel. The rooms are bright, chic and comfortable all rolled into one. The bathrooms are immaculate and perfectly designed and the service is unparalleled. You will want for nothing from these wonderful people. From the doormen and housekeeping to the management of the hotel...all have a kind word and a smile..making it truly feel like a home away from home.	
Aug 16 2008 	Excelled all expectations	We spent five nights following a cruise to Canada in the London in a Vista Suite. The standard check-in is mid-afternoon but we arrived circa 10am following disembarking from the cruise looking to leave our luggage until check in time. The concierge checked if there was a room available there and then and we were taking straight up to it and checked in. The attitude and knowledge of all the staff from the guys who get you the taxis, to the luggage porters , bar and restaurant staff,etc is superb and totally professional yet inobtrusive. The restaurant is excellent and the rooms really cool. The situation of the hotel is great as it's about 5 blocks (20 blocks is about a mile) from central park south and half a mile or so north of time square - all I'll say finally is myself and the family including teenagers cannot wait to return and we are not easily impressed - a superb hotel	
Aug 16 2008 	I adore this hotel!!	I stayed at this hotel for the second time as a birthday celebration with my boyfriend. We stayed here last year for my birthday and loved it so much that we decided to book again.In regards to the first time, we received a vista suite in the light blue scheme and it was excellent. The view was a building next to us, but what do you expect when you get a hotel room in midtown Manhattan?! As for the decor, I thought it was delicate and refined. It wasn't overcrowded with furniture and it didn't look busy or overdone. The bed was amazing and I also enjoyed the openness of the bathroom showers that were opposite of each other. All in all, great enough for us to book again!The recent stay we had over-exceeded our expectations! Now, let me clarify something about people requesting particular rooms. I booked through a third party site, which has always been successful for me. However, I called the hotel to make sure my reservation included a tub. The hotel informed me that since I reserved it through a third party, I would have to contact them about the request. So, I called the third party and they called the hotel, but I was told by them that it is not 100% guaranteed. So when you put in your special requests, such as two beds, or a tub, etc., I would suggest making the reservation straight through the hotel instead of through a third party site because the third party site is not always able to put the request through.Now, as for the latest stay, we got there and Elvin (LV) was there as the front desk clerk. He was extremely nice and very cordial and when checking in I asked for a tub, and he upgraded us to a suite on the 54th floor! It was amazing. The suite had a living room, dressing area, bathroom with a tub and a bedroom with a king size bed, all over looking the south section of Manhattan with views of the river. From the ultrasueded walpaper to the slight statements of croc metallic leather accent pieces, it was a perfectly decorated, comfortable suite. The service we received was impeccable, from the maid service to the room service and everyone was extremely nice to us. We even had dinner at Maze and it was one of the best meals I have ever had. I would completely recommend going there - it is a tapas restaurant (small plates of a variety of foods) and every single plate we had was perfection. Our waitress was so attentive and nice and she even sent out some sherbert for me with happy birthday in chocolate for after we just mentioned it in conversation with her!The next day when we checked out, Elvin was there again and super nice as always, and we were able to check out bags so we could spend the afternoon in the city. He even informed us of a fair going on a block away and we had a blast there too! Now I know the prices for the food and services are steep, that I will not deny. However, with the location of the hotel being three blocks from Columbus square and Central Park, you are going to pay more than you would in a lesser known location. This is a hotel for pampering and extravagance (hence why we only stay here once a year for my b-day!), but it is fully worth the time and money! And even when it was their &quot;regular rooms&quot; they were far more spacious and relaxing that most rooms I have stayed in at NYC.	
Aug 15 2008 	Trendy But Comfortable	I have paid more to stay in far less attractive hotels in NYC. The London is tastefully appointed with spacious, clean, quiet rooms with very nice decor, ample amenities and outstanding service. Breakfast and lunch in the restaurant were excellent. If you are looking for a place to stay with a view, you may be disappointed, depending on what you like to look at -- but for those simply interested in something upscale, &quot;funky&quot; and centrally-located near the Park, Theatres, Times Square and fine dining, this will do nicely.My stay was for business, but I'm bringing my wife next time for our anniversary in September --I showed her the photos on the hotel's website and she loved it!Definitely worth a try.	
Aug 13 2008 	great location good value	We recently stayed in a 2 bedroom suite in this hotel. The bedrooms were nice and private with great views, bathroom were very nice, overall a great choice for my family of four. The cost ($650+) plus taxes is high but considering the location and quality I think it is a good value overall. Our only complaint is no coffee maker in the room and extraordinarily expensive room service and breakfast ($30-40/person for breakfast). Fortunately there are plenty of rest. nearby. Overall we were pleasantly surprised and certainly will return.	
Aug 11 2008	Just okay . . .	The new London NYC occupies the old Rhiga Royal Hotel which, when it was in its prime, offered the largest and most enjoyable rooms in NYC. It slid, unfortunately, into a tired old property, to be taken over by the management of this slick, new, stark-but-oh-so chic hotel. It's all of that (if &quot;all&quot; is the right word), but comfort seems to have been left out for style. Sit in either the white leather rocker of the blue and dappled-gold sofa in the suite area, and you will slide off of both without grace or style. Look for amenties around the room (coffee maker? phone book? bottled water at bedside?) and you will be reminded that those are not cool to have in the room. While just about everyone on staff tries hard to make the experience pleasant, it nonetheless remains clear that there is not enough staff to go around. A 10-minute wait at the concierge desk is proof enough. Convenient mid-town location, but that alone does not overcome the shortcomings.	
Aug 11 2008	Fantastic	I have read a lot of reviews on this hotel and for those of you who did not enjoy this hotel - GROW UP! My husband and I got married in New York 2 weeks ago and stayed at the London. We had a fantastic time. The hotel was the best I have ever stayed in. The bed abd bed linen (egyptian cotton) were beautiful. We wanted to put the bed in our suitacases to take home!!!!! We stayed for 2 nights in a London suite on the 23rd floor.Some people forget what its like to just get away and chill. Who cares if the bathroom is not perfect or if the art is not great - just enjoy the break people! When you work 5 days a week be glad of the pampering you get in a super hotel like this. By the way the bathroom was cool and the showers were lovely and hot and the bathrobes were fab and the mirrors were great - is that not all a woman wants!!!!!We ate at the Gordon Ramsey restaurant and it was beautiful. Food was exceptional. The breakfast was a bit overpriced but hey when your on hols who cares right. Lifts work perfect - no creaking! Concierge was very helpful in helping us find specific stores in NYC, posting info home etc. It truly was a fab hotel and my husband and I are certainly going back!	
Aug 7 2008 	The Best Midtown Hotel	This hotel takes all the midtown hassles out of what is typical of many midtown Manhattan hotels (and I have stayed at many). It is immaculate, the check-in and check-out were seamless and courteous even with a crowd in the lobby, the rooms are spacious, comfortable and quiet, the showers are awesome, and the service is prompt and courteous. It is worth the nightly rate if you must stay in midtown and if all of the above are important to you.	
Aug 4 2008 	Exceptional service - we loved the London	We stayed at the London NYC for my 40th birthday in April, and I can't praise the hotel and its staff enough. The front of desk manager was exceptional throughout the whole 4 day stay (Michelle, you are a star!), and nothing was too much trouble - we were made to feel like the most important people in the hotel. Whilst we were out downtown on our first day there, the hotel delivered to our room an iced birthday cake, fruit platter, some bottled water, a bottle of wine on ice, and a 40th birthday card, all complimentary. To get that level of thought &amp; attention at a smaller, quieter hotel would be superb - at a large, busy New York hotel, it's truly impressive.The hotel itself is beautifully appointed. As soon as you walk into the lobby, you can tell a lot of thought (and money!) has been invested into the place. Our room (on the 46th floor) was a corner suite, with views over Central Park a couple of blocks away from one side, and the Brooklyn river ahead. The views were incredible, and the suite was huge! The main living area had a very cool designer rocking chair (which our 7 year old daughter loved!), writing desk and chair, big plasma TV, electronically controlled blinds(!), and huge sofas to lounge on. The bedroom had a bed larger than some hotel rooms I've stayed in, another big plasma TV, and some cool features like an iPod speaker dock. The luxury continued into the bathroom, where the walk in shower had 2 shower heads at either end of the shower area, with a number of settings, such as to simulate rain, which after 8 hours on a plane was the perfect remedy to our travel weariness!The hotel is situated within a couple of minutes walk to Central Park and also 5th Avenue shopping (much to my wife's delight!). We didn't eat at the London, but had afternoon tea, and several large gin &amp; tonics in the bar each afternoon (well, you have to relax after all that sightseeing!) Needless to say, the service in the bar area was understated and very efficient.We booked directly with the hotel - they offer a best price guarantee, which saves the usual trawling of hotel websites to get the best deal. At the risk of sounding like an advertisement for the hotel, we wouldn't consider staying anywhere else in New York. In fact, we're in the process of planning a Christmas trip back there this year.	
Aug 2 2008 	One of my favourite hotels	Stayed in three hotels during our two weeks in the area: the Waldorf , the Michelangelo and the London NYC (in order, for the nostalgic content, for the reputation and for Ramsey). This was our favourite. The staff are (with one exception whose name I did not record...a concierge who had a &quot;can't do&quot; attitude) are fantastic. The rooms are large (we had a vista suite on the 41st floor) and extremely well appointed. I travel with a tiny Sony Vaio computer and apprecaited the built in monitor connection to the large LCD TV- bonus!). The power curtains were a nice touch, the bed very nice. The food was fantatic (we are Ramsey fans so that did colour our perspective I suppose).The much vaunted bathrooms are poorly designed and I don't care who &quot;Waterworks&quot; is! Fortunately very little time is spent in there so it really matters only a little. The sliding doors don't really close all the way. The shower is just plain silly. I am sure some well paid designer thought it looked good on paper, but a shower &quot;stall&quot; (it is large, but is still a stall) built with a foot wide gap does not function well. At first I thought maybe a panel was missing, but apparently this is the design. Sheesh, no human can shower in this thing without wading into a pool outside of the shower once done.In any event, this would be my hotel of choice on a return trip.	
Jul 31 2008 	Rubbish !!!	I booked the London NYC after changing from the Mandarin Oriental as was worried about the Trump Tower blocking views of the park etc...how i wish i'd stayed with my original choice.I booked directly with the hotel into a london vista suite with twin beds, a bath french doors on the highest floor possible, got to the hotel to be shown a room on the 37th floor with one double bed in it...not good as was with friends 20 year old daughter, went to reception to complain and was told that the suite i'd booked doesn't exist..there are no vista suites with twin beds but they then said that they could put a &quot;foldaway&quot; bed in to the room !As i was about to blow my top the manager said ok we'll give you another room so shown to that and there were 2 little single beds in it and the view was so close to the office block next door i could see the photocopying done !back down to reception and again said i was far from happy and that if they didn't sort it out once and for all then i was going to create a rather large scene out in the street about the hotel, the manager then said if we could persevere with the room for one night he would try and sort it out the next day, i said if he could promise this then we'd have a deal...he sent up some free wine and 3 nectarines !The next day i gave them the option of sorting our room problem out within 3 hours or get us another room in another hotel paid for by them, we were finally given 2 rooms next door to each other at the same price a had paid initially.I felt that i ought to have said sorry for causing a problem then thought about my conformation letter which in my eyes was a binding contract of what i'd ordered so didn't feel bad at all.Room was very nice and the beds fantastic, the shower on the other hand was a dreadful design as it didn't matter which angle you positioned the shower head you ended up soaking the floor...the housekeepers must tear out their own eyelashes in frustration !The beakfast menu was laughable, if it wasn't then we'd have cried...£4 for a half a grapefruit..£7 for a bowl of rice krispies and £7.50 for a cup of coffee !I will never go back to the hotel and have already booked into the Mandarin for November having been to the hotel and looked around the rooms...the Trump Tower is no where near as bad as people have made out, yes it's there but hey your in New York and everywhere you look theres a skyscraper.	
Jul 10 2008 	Great stay over the 4th of July	We stayed over the 4 th of July weekend and was very happy is all aspects. The sofa was a bad choice but the other features compensated for this. Great bath products, two flat screens, excellent bed. Loved the walk in shower. Our suite was on the end of the building and we had both front and rear views of Manhattan. Excellent mid-town location. We've stayed here many times before from the Righa days and this was the best stay so far.	
Jul 7 2008 	Very impressive!	We often stay at Four Seasons or equivalent properties, and the London NYC met or exceeded our expectations in NYC. Location is ideal (5 blocks from the Park, blocks from Broadway shows, great restaurants all around- you don't have to go more than a few feet!). Hardwood floors, elegant hotel, great beds, and quiet (we were on the 46th floor, right at the elevators, but no sound issue- still not sure why anyone has an elevator bell ring when there are only 3 elevators). Julie Andrews booked us, and she was superb- Four Seasons (indeed better!) service- great to work with and great followup, including just before our arrival. Front desk was good. Only criticism was the doormen, who stand around on the street and don't open doors or greet guests, but that is a nitpick indeed- that's how good the hotel is- when you have to go to this level of pickiness! We're tough customers to please, but will surely be back to the London NYC. Didn't try Gordon Ramsay's restaurant- we're fans of his, but hard to find something on the menu for teenagers!	
Jul 6 2008	Loved It	Planned a long weekend in NYC...partial work, partial girl's weekend and partial couple's weekend.Loved the hotel. A lot of room. Good ammenties. Excellent fitness center.Was treated very well by the staff. Twice given use of the house vehicle.Not cheap, but highly recommend.Also great sushi restaurant one and half blocks away from the hotel.	
Jul 3 2008 	Large Rooms Good location	The London is a very modern hotel with by NY standards huge rooms. The decor is very modern and the 2 room suite is very accomodating. I agree with the other reviews that the sofa is very uncomfortable. I found the rooms quiet. The gym is amazing. I do think they should have coffee/tea makers on request which they do not. The service to make up the rooms is very efficient. Overall a good stay.	
Jun 15 2008 	Perfect	Stayed at the London NYC last October and it was perfect from start to finish. The rooms are an unbelievable size for NY and beautifully decorated. The staff were wonderful, extremely helpful but unobtrusive. The food, whether room service, bar or restaurant, is among the best I've ever had in a restaurant and certainly blows any other hotel food out of the water. Would recommend whole heartedly and I'm going back this October.	
Jun 11 2008 	Great rooms	Excellent design and location in Midtown. The best/ largest rooms I have seen in Manhattan. Excellent staff, great concierge. The bar/ public areas can not match those of other NY hotels.	
Jun 10 2008 	Very nice .. but some room booking issues	Booked this a few weeks in advance for a girls getaway. It's difficult to find a hotel in NYC that offer two beds so I spent a lot of time searching. The London offered a two bedded room at a decent rate. I booked thru Expedia and printed my confirmation. Upon arriving at the hotel around 3pm, we were asked if we wanted a king or queen bed! I told the desk that we reserved 2 beds and that 1 bed was not acceptable as I did not want to share a bed with my friend. The manager was nice enough to explain that they have only a limited # of double bed rooms and there were a lot of families there that weekend (so be aware that you will not be guaranteed the type of bedroom you reserve). He gave us a discount on the room as it was too late for us to book anywhere else. Housekeeping was great at making the bed up with two separate sheets/blankets so in a king bed, if worked okay. They must run into this problem before as they offered to do this for us. Other than this problem the say was nice, room clean, new, nice bath and was quiet. The restaurant breakfast was good although very expensive (about $20 for eggs). Not my favorite location in the city as it's touristy, but overall may consider it again with my husband.	
Jun 6 2008 	Good choice...if you get a good rate	I just returned from a 2 night stay at the London. I had stayed at the property several times when it was the Righa, so I was well aware of the hotel's terrific location. As for the hotel, the preceeding reviews seem accurate. There are very attractive common areas and the service seemed consistently good. The rooms are spacious and very nicely appointed, especially if you like contemporary decor. That said, our rate was over $600/night and the place is not worthy of that rate. If you can get an attractive rate, you won't be disappointed. Its a 4 star property in my view, so the nightly tariff should reflect that. A couple final pros/cons: The fitness center is superb - one of the best I've seen at a non-spa hotel. The restaurant (Gordon Ramsey's) is flawed and very expensive. I won't go into details, but NYC has far too many great restaurants, especially for the price. Settle for drinks in the bar and go somewhere else.	
Jun 5 2008 	a great Hotel in any standards	The London is a great Hotel in any standards! The rooms are very very specious and well designed The bed is soft and comfortableThe service is welcoming and pleasantContinental Breakfast is fresh and richAnd the location is perfect!!! Just less than 5 minutes walk from the central park, 5th avenue’s great shops, time square….We stayed 5 nights and looking forward to come back again.Last but not least the concierge service was outstanding – prior to our arrival all the restaurant reservations were made in fast and efficient manner!	
Jun 4 2008	Great Hotel would definitely stay again!	We stayed at the London for one night and had a great experience. The hotel staff was superb and made us feel like queens. The bellhop gave us about a 10 minute tour of our suite and didn't miss a thing. We were thrilled to find out that we had a pretty large suite for the regular room price. While it is still a bit pricey there, it's definitely worth the extra money.The location is great - an easy walk to wherever you want to go (Rockefeller Ctr, etc) and they let us store our bags for a few hours after checkout to see some sites. Superb hotel all around.	
May 30 2008 	Fantastic	I booked a London Suite for the Memorial Day Weekend (4 nights in total) and was very pleasantly surpised by the value for money of this hotel. I had a suite on the higher floors that overlooked Central Park West, the George Washington Bridge and a bit of the Hudson River. The suite (a large living area seperated by double doors from a sleeping area) has free wi-fi, so I was able to dowload my favourite podcasts and play them through the ipod dock provided in the room.The bathroom was comfortable with a nice walk-in shower with massive shower head (no bathtub). A dressing area seperated the bedroom from the bathroom.The room was very quiet and because you can close the bedroom doors (to the living room), you can shut out the noise you sometimes get from most hotel corridors.The location was fantastic - 1.5 blocks east from 5th Ave shopping, 1.5 blocks west away from Broadway/Times Sq, 3 blocks south from Central Park.The gym is one of the best and nicest private hotel gyms I've been to in any hotel.The staff were efficient and polite.I didn't try room service or the restaurant because of comments on this site - but you're in Midtown, so there are plenty of places to eat nearby at any time of the day or night.I'm back to New York for business in June and have booked myself in to the London.	
May 28 2008 	Great location but far from perfect	We stayed at the London NYC over Memorial Day weekend. First the good stuff---the hotel is very chic, modern, clean and in a GREAT location for theatre and general sightseeing. We had requested a non-smoking room and these days, I assume when you request that----they whole floor would be non-smoking. The hotel does have smoking rooms and it didn't appear sold out so ,I don't know why people wouldn't just request a smoking room if they smoke? In any case, we walked off the elevator and it was actually cloudy in the hall. For someone who hates cigaratte smoke the way I do, it was disgusting. We went out sightseeing for a while after checking in and when we returned it was a bit better so we decided not to change rooms. Late at night it got worse again. The other issue is the noise. The windows don't appear to be soundproofed so if you're a light sleeper, request a high floor or don't stay here.	
May 28 2008 	Lovely Hotel - Concierge a Complete Joke	We stayed for a 3 night stay in May and I had a few problems before arriving - the concierge &quot;forgot&quot; to book our table at Gordon Ramsay's and although I nearly cancelled my room (as I complained via e-mail regarding the restaurant booking and didn't get a response) it was still the best value for money, and talking with room request was assured that my restaurant booking would be taken care of.When we arrived we were met by a wonderful porter who showed us to our room. Which was fantastic the room was big for NYC standards and I had requested a high floor with bath which were both met (49th floor overlooking a slightly blocked central park). The first nights food was wonderful in Gordon Ramsay's and we had a bottle of wine and fruit left in our room complimentary (corkscrew forgotten though).As we were having 2 different packages we had to check out and check back in on day 2, this is where it all started to get confusing for the staff. They had debited the full amount from our credit card after the first night although we were paying cash. I had called down as requested before advising room service to start getting our picnic basket ready (that was the package). I was then put through to someone else who commented that they had already spoken to Jason regarding this and they didn't know the price of it - I was now starting to get baffled. I had to explain that I was in fact the guess and it was free as it was a package that had been booked.45 minutes later we arrived downstairs and went to Concierge requesting the basket. Concierge got on the phone and made a few calls commenting all the time that this was a new package on offer (no it has been on their website for 8 or so months clearly I am the first to order) I was told that it would be another 10 minutes. So my husband and I had a coffee in maze and after 20 minutes went back to concierge, this time we were told it would be another 30 minutes - so we made the decision to go shopping and come back and get it later. When we did it was lovely - although it took another 15 minutes to locate it by concierge who thought it had been delivered to our room but hadn't also we were asked if we would be having it in our room - why would we want a picnic in our room in 23 degree heat a couple of blocks from central park?We asked for the address of 2 different places both of which Concierge got the addresses wrong for - the second was a cab ride and they were 10 blocks out!!.The second day we had breakfast included and went to the restaurant to have it - to which we were told we would be charged for as it was only in room dining that was included - even after saying we wouldn't have the bottle of champagne that was included they still wanted us to go 49 floors up to our room to order it - in the end reception said she would clear the post off our bill so we wouldn't be charged but the following morning we would need to take the more expensive champagne breakfast from out room, of course she forgot to remove the total from our bill. Th champagne breakfast was superb in our room on the last morning and we should have had that on the Sunday morning also as it was much nicer - 45 minutes though is a long time to wait for smoked salmon and scrambled eggs though.This Hotel has got so many things right - the location, the room size, the room gadgets (electronic blinds, curtains and ipod decking stations) the bathrooms, the room service staff, Gordon Ramsay at the London Restaurant. But concierge is a complete joke they can't even book at table at the restaurant in their own hotel, they can't get addresses right for directions, they can't organise a picnic hamper with room service (it was on their clipboard to organise). The check in staff are moody and stand offish - such a shame such a fantastic hotel, I would stay again but just never deal with concierge and have minimal contact check-in and out with reception.	
May 27 2008 	Good Show Old Chap!	Stayed at The London over Memorial Day weekend, and found much to like at this renovation of the Righa Royale. The location is great, as within a 10-minute walk you can reach such top attractions as Central Park, the Time-Warner Center, 5th Avenue, Rockefeller Center, and &quot;Wicked&quot;. Only had to take one cab, and that was because I was running late. There's not too much in the way of public areas, except for a sensational gym. The lobby is really just a long hallway with high ceilings and a check-in desk. No lounging, etc. The bar is located in the restaurant, so it's not a lobby bar proper. Had lunch at &quot;Maze&quot;, which offered exceptional food at three courses for $35. The lobster risotto is utterly superb. The $35 is a great deal, until you splurge on a couple of cocktails, then with tax and tip you have an $86 lunch. Still memorable, with attentive service from reservations through the waitstaff and a pleasant room. Drinks are expensive, just like everywhere else in New York, which is firmly the land of the $20 drink [and $10 beer!] I had a fine check-in experience, with the agent communicating with housekeeping to find me a room that was ready at 10:30 am, which was fantastic. I did receive an escort to the room, with a room tour, ice service, and a personal fridge brought to the room--the minibar has no room for personal items, and it's one of those weight-sensitive set-ups, so if you so much as leave a fingerprint in there, it charges you.How do I describe the room decor? Try to stay with me here--they look like crash pads co-designed by Austin Powers and a French prostitute. Thus, you have a three-armed torch lamp and a round reflective metal wall piece side-by-side with a three-sided burgundy velvet sofa in the living area. Somehow, this all works and is distinctive rather than horrifying. The bedroom [through French doors] is more reserved and traditional, with very comfortable linens and mattress. The windows in both rooms open slightly, so that you can hear the cacophany of honking from all those drivers solving the city's traffic woes with their horns. There's no closet; clothes storage is on a large free-standing rack with drawer space below. There's an iPod dock, good lighting, and wall switches for the sheers and curtains. I found the Waterworks bathroom to be a little stark--all white, and sort of narrow, so it feels kind of like being inside an egg. The tub's a bit short and the shower door doesn't meet the back side, so there's an open gap. It's obviously deliberate, but I'm not sure what the point was. If you want style and luxury at a slightly more bearable price than some of the topmost properties around town, try here. I compared The London to other places I've been--St. Regis, Peninsula, Four Seasons, Mandarin Oriental, and Ritz-Carlton--and it was from $130 to $270 less per night during my stay. It doesn't have quite the effortless grace and refined elegance of those hotels, but it does still have a lot to offer.Couple of other New York notes:--The Whole Foods at Time-Warner Center is a great stop for a tasty, quick sandwich or salad at lunch--The Peninsula's redesign of its rooftop bar, now called Salon de Ning, is terrific. [Though see note above about the land of the $20 cocktails.]--&quot;South Pacific&quot; at Lincoln Center is hypnotic and wonderful.	
May 26 2008 	The London: solid 4-star value	The London is a 4-star hotel at less than typical NYC prices and that's a winning combination in my book. The London is NOT a 5-star hotel and you're not paying for that so expect a few soft spots here and there. We paid around $500/nt for a one bedroom suite for my wife and two small children. I consider this to be a good value. What you'll like about the London:Excellent fit and finish. Clean, modern, shiny and functional. The rooms are spacious with comfortable bedding, flat screen TV's, nice closets, good lighting and easy internet connectivity.The gym is state-of-the-art - outstanding. Lots of cardio machines, Life Fitness stations, Bosu and swiss balls. Excellent.Curbside help is on top of it; very effective, always there to lend a hand. Front desk gave us early check-in and late check-out and responded to anything we asked for in a timely and helpful way. Food in the restaurant was very good. Close to or equal to what you get at places like the FS or RC. Location off 7th at 54th puts you in a perfect spot to walk up to Central Park or down to Times Square, without feeling the hustle and bustle that you get closer to Times Square.What you won't like about the London:Prices in the restaurant and bar are very high. Service was sub-par for those prices and you tend to feel a little cramped even though the design and layout are appealing.I like a lobby (or lobby lounge) that lets you spread out, sit on a sofa or wing back chair and chill out. Like several NYC hotels, there is no room for this at the London and that's too bad.Overall, I would call the London comperable to the Sofitel as a nice 4-star value and would recommend it highly.	
May 21 2008 	The London @ New York	The London NYC. Where to start? So much to talk about. So I booked a London Suite on the hotel's website. First of all it's the easiest hotel website I've ever visited. Took me less than 10 minutes to read about the hotel, check the different suites and book mine.So I got to the hotel in a cab. The doorman opens the door for me and wow, what a shock! Italian mob style (in a positive way). All dressed in black well cut suit, coat and hat. I barely had time to pay the cab driver, that the doorman, welcomes me using my name!!!! Gold star to the doorman. As soon as I got in the London lobby, I felt I was somewhere else than the stressful New York we all know. Hey, I had to stop for a few seconds in the middle of the lobby just to enjoy the good smell, the perfect lighting, the relaxing lounge music and the nice painting behind the front desk. So I get to the desk to check in and the young girl behind the desk tells me it is not possible to check in before 3pm (check in time). Almost 600 suites and you can't accommodate a guest who comes in a couple of hours before? I asked to talk to the manager and a young man with a funny french accent came to the rescue. He found me a suite they call a corner suite on a high floor with a beautiful view of the Hudson River and Central Park and told me it'll be ready in half an hour. He explained me all the hotel amenities and invited me for a drink at the bar so I wouldn't have to wait under the rain. 30 minutes later, who comes back? The french guy with my keys. What a treatment. He escorted me to my suite, followed by the bellman and my bags. And what a suite. Separate bedroom from living room, big bathroom, 2 tvs. The interior designer not very inspired the day he worked on the hotel plans but it's still great. Gold star to the French guy. Made my day wonderful until I ordered dinner in my suite. I had to wait over 45 minutes for the wrong order to come up. Let's talk about the food. Part 1, Room Service or in other words In Room Dining, not really interesting. Small portions. Added cost. Long wait. Forget about it. You're in New York. Ask the concierge, they'll send you somewhere. Part 2 of the dining experience at the London. Difficult to get a table in the Gordon Ramsay restaurant. Stayed 4 nights in the hotel and got a table at the casual dining once at 5:30... My advice, try to book a table in the restaurant long time in advance.Well, if you want a nice relaxing large room in a well located hotel in Manahattan, you know where to go: The London; and for the food? Ask the blond guy at the Concierge desk. He's got some good contacts.	
May 17 2008 	Jawdropping Impressive	Enjoyed 2 fantastic nights with my girlfriend in April 2008 prior to boarding the QE2. I knew i was not going to be disappointed as the hotel had been recommended by a very discerning English friend. Our room was on the 25 floor and was a &quot;London Suite&quot;. I did not expect it to be a &quot;real&quot;suite,that is 2 separate rooms. The beds were incredibly comfortable with a quilted matress sheet. There was a dressing room area, and a bathroom with a double walk in shower. The staff could not have been nicer which was just as well as we arrived around midnight and i was not in the mood for hastle. The conceirge service was very helpful as my girlfriend had a list of shops to visit in a very busy 2 day schedule. The hotel is incidently excellently positioned for shopping and sightseeing. The downstairs restaurant and bar is mixed together which is a bit odd. That being said the full afternoon tea was fantastic and the lightest scones i have ever tasted (Mr Ramsey's reciepe i wondered) and breakfast was excellent. No vast portions thank godness for English appetites.There aren't many hotels that i can say i would like to rush back to but the London was one of them.	
