	Not recommended	This Hotel really sucks... from outside it looks nice and is close to Times Square, however, the hotel does not deserve 4 Stars.Its an old Hotel and the Hotel Lobby is nice, but the rooms are really bad and small.... I was there with my Mother and we had to split a Queen size bed, they said that they dont have double beds and not even King beds and that i received a complimentary upgrade to Queen Size Bed anyways....usually they give out full size... even for 2 people...I found out then that they had Kingsize Beds and did not gives us those...Anyways, rooms are really small and very dark...some rooms doesnt have a window etc...If you get a nice room, it might be ok... but the standard for this Hotel is not 4 Stars !!	
Aug 2 2007 	You can do better for the money	My sister had to visit NYC on business and asked me to join her. She knows I visit NYC frequently and wanted me along to show her the town. Her company had booked her in the Algonquin because it was directly across the street from the offices where she was scheduled to teach seminars. We changed the reservation from a single to a twin and asked for an early check-in, 1 PM versus the 3 PM official check-in, and were assured they'd do their best to accommodate that. We arrived shortly after 1 PM and our room was not ready, and the front desk would only tell us that they would &quot;try&quot; to get it done earlier, but that we should not expect it before 3 PM, and that they could not even estimate when the room might be ready. Hmmm.... So we checked our bags and went out to kill two hours. We returned after 3 PM and were shown to our room. The bell staff were, by the way, excellent. The front desk staff were usually chatting with each other and acted annoyed when they were interrupted to deal with a guest.I stay in NYC, midtown, frequently. I have never seen such a tiny room for that price. There were two beds (way too soft for both our preferences, and I like a soft bed), a small night table which was already completely covered with a lamp and a phone, a very small desk, mostly occupied with promotional material and another lamp, and a tiny closet, made even tinier by the safe, telephone book, ironing board, and iron already crammed in there. Not a drawer anywhere to put anything except the one in the tiny night table, which already contained the requisite Gideon bible. There was hardly enough space around the beds to navigate without hitting a wall or furniture. And because we had to live out of our suitcases (since there was nowhere to put our things except the tiny closet), and the suitcases had to sit on luggage stands, that meant even less space. We were on the 4th floor, directly across from an office building, and the street noise (especially when they pick up the garbage late at night, every night, from the hotel's restaurants) was pretty loud.The bathroom was similarly tiny (sensing a theme here?), with a narrow shelf over the toilet already covered with the kleenex and the complementary toiletries (from some Australian company I've never heard of). Another narrow, short shelf was over the sink. That completed the bathroom storage. We've got two women here for three days. You can imagine we were thrilled there was nowhere to put any toiletries at all. Additionally, there was a dark brown, nasty something in the toilet. When we complained, politely, to the front desk, a very nice maintenance man came right up, worked on the toilet a few minutes, asked for our phone, and contacted the front desk to ask them to give us another room. Sadly, they had no other twins available, or so they said. The maintenance guy did the best he could, but the toilet was disgusting the entire stay and never flushed properly. We were never offered any discount or even an apology by the front desk for the problem.The A/C (it was extremely hot and humid in NY during our stay) was very loud. The free WiFi in the room was spotty and s-l-o-o-o-w. There was no coffee maker (besides, where would you put it?), and the free coffee in the lobby was only available up to 7 AM, at which time it promptly disappears. No coincidence that 7 AM is when their restaurant opens. Room service only provides liquor and breakfast, and that's it.The good news is the gym on the 3rd floor, which is reasonably well equipped and FREE. We used it every day. Also, Matilda, the resident kitty, is a nice touch. And housekeeping was unobtrusive and thorough. Sheets on the bed were high quality.We never ate at the restaurants, but were not very impressed by the menu choices and felt the prices were inordinately high. You can do much better with so many restaurants not far from the hotel. Red Flame is great for breakfast or other diner-type choices. Monster Sushi is a couple of blocks north, DB Moderne is two doors down (if you want to spend more), etc.Frankly, we would never stay here again. For the money, you get nicer, larger rooms, more concerned front desk staff, and many more amenities at the Muse, Michelangelo, San Carlos, Benjamin, Warwick, Doubletree, or just about anyplace else I have ever stayed midtown.	
Jul 31 2007	4 nights at the 'Algonqin'	I love New York.This hotel IS what's great about New York.It is also NOT what most people expect from a USA hotel; including US citizens.The rooms are adequate, clean and fairly small: but what the hell - if Allan J Lerner could write the lyrics of &quot;My Fair Lady&quot; here, surely I can compose a postcard on the rather nice desk.The Oak Room restaurant is very well priced for a 'destination' dining room, and I ate the best steak I've ever had there.The breakfast menu is good classic American hotel.The lobby and the Blue Bar are possibly the best places to meet a date in Manhattan.If you know, or care, who Dorothy Parker was then this hotel is for you.	
Jul 27 2007 	Thumbs Up!	We stayed at the Algonquin for five nights and after reading a few forum reports on the hotel, I was a bit nervous about what laid ahead of us.But we were pleasantly surprised by the friendliness of the staff from the room attendants to the front desk staff and bellmen.My wife is a touch fussy but she said she would have no problems staying there again and we will probably do so next summer when we will be back to NYC. You can't beat the location and the room we had was spacious and very quiet.So, in conclusion this hotel was perfect from our perspective.	
Jul 22 2007 	What a wonderful old hotel!!	My husband and I just returned from a week in NYC at the Algonquin. We LOVED this hotel from the second we walked into the gorgeous old lobby! What character this hotel has! The staff is just delightful - they go out of their way to be helpful and kind. The room was small, but all hotel rooms in NYC are small unless you're Donald Trump. The room was immaculate, as was the bathroom. The a/c worked great, shower was small but comfy and the water was nice and hot and had a good spray. The beds are amazingly comfortable!!! We were on the 7th floor on the back of the hotel so it was also quiet (no view, but we were only there to sleep). I will definitely stay there again when we go back! The location is perfect - 1/2 block from 5th Ave and just close enough to everything in Midtown to be convenient but still on a street that is quiet and peaceful. We did not order room service at all during our stay, but ate breakfast at the Red Flame just a couple of doors down the street every morning for a bargain (and it was delicious!). The first night we were there, there was a thunderstorm and we sat in that gorgeous cozy lobby and had a couple of glasses of wine and just absorbed the ambience. Lovely!!!!	
Jul 21 2007 	Tiny yet lovely	My fiance and I stayed at the Algonquin one weekend night in July on a lark, to see what it is like to be a tourist in our own city. We were greeted by Matilda, the resident &quot;rag doll&quot; cat upon our arrival and found the deluxe room tiny but charming. (In New York, one shouldn't intend to spend much time in one's room anyhow.) The halls were decorated with New Yorker cartoons and the entire hotel was full of little nooks and crannies. It reminded me of the Claridge in Buenos Aires: gracefully aged. One thing that impressed me--the rooms are entirely soundproof. We could hear nothing of the street noises below, nor of any fellow guests. Overall, the bed was a bit too soft for my liking and the view consisted of offices facing us across 44th street; however, the Algonquin Lobby served tasty breakfast and lunches and the overall ambiance is totally elegant.One tip: ignore the dining advice of the concierge; instead, walk down the street to Akdeniz Turkish Cuisine on 46th between 5th and 6th, where a delicious Prix-Fixe Dinner can be had for $19.95.	
Jul 7 2007 	Blue Bar	Didn't stay in this hotel but visited it's bar (The Blue Bar) Only one thing to say get the raspberry and chilli cosmo. Mmmmmmmmm!! Oh and some of the other cocktails are good too.	
Jun 30 2007	Quriky in New York	This is a really quirky hotel, just right for guests who hate high rise, plastic style hotels! Old world comfort, excellent staff, small but comfortable rooms, plus the hotel cat, Matilda...who even has her own website! One tip, no food available after about 11.30 pm, so if you are have a late arrival, don't expect to be fed.	
Jun 19 2007 	Nice for the Discounted Price	I got a $199/night room special at the Algonquin's website. The hotel is gloriously old fashioned and located just a few blocks east of Times Square, with a parking garage across the street. A very convenient midtown location.The hallways are narrow and the room i got was quite small (10x12') with a small bathroom (stall shower), wall mounted LCD TV, a small desk and a view of a brick wall. Definitely fine for the reasonable price but not a room to hang out in, just one to sleep, shower and launch from. A nice touch- on the first night they threw in a complimentary continental breakfast (why only one night I'll never know but it's better than none!)Two sore spots: no written info on WIFI internet was available in the room, though there was an ethernet cable in a box. Thank god I called the front desk and found out the WIFI was free but plugging in to the ethernet was $10 /day. A simple sign on the ethernet cable box would be a nice idea! Then I asked for a NY Times in the lobby and they said they only get 50/day and they run out early. Hmmm....how about ordering 75 papers then?All in all, a fine hotel for $199/night. If I had to pay more I would look elsewhere, though.	
Jun 14 2007 	UH small and pricey	Great location and clean. The main floor lobby is the place to be after work hours. Nice evening crowd having drinks and great jazz music. The staff is top notch. The room was small but comfortable - we only slept there anyway. We stayed out in city all the time.	
Jun 14 2007 	Terrible Experience	NegativesThe reception staff are a little pretentious and don’t make you feel very welcome.The rooms are tiny. We had to shuffle around the end of the bed sideways to get to the bathroom in order to avoid bumping your head on the plasma TV.The bathrooms are very dated and look grubby.The first evening we were there my 2 year old son picked up a tablet (liquid capsule) from the floor (left by another guest) and bit into it so we spent the first evening in A&amp;E. My partner checked the floor after this and we discovered old crisps, coins and thick dust under all of the furniture and bed. The hotels compensation for this was to offer us breakfast on them which I was appalled with.We were woken by the building work at the back of the hotel at 7.30am every morning.We ordered a bottle of wine one afternoon in the lobby bar. When we got the bill we were shocked by the cost as it was double what we had expected. It turned out that there were two versions of the wine and the waiter had automatically brought us the vintage bottle. We felt it was bit of a sly trick.Positive The hotel lobby is lovelyThe location is central	
Jun 12 2007 	You must be two-dimensional to be comfortable in this room!!!	We booked our room here on a discounted package through Travelzoo. The hotel has a great location - 44th St between 5th and 6th Avenues, which was convenient to Times Square, the Theatre District, and Grand Central Terminal. The hotel itself is very distinguished looking...the bellmen and concierge were great, although the front desk people really didn't seem very friendly.Our room had a king size bed - which was great! Problem was, there is only about 12&quot; clearance around the bed, which makes it very cramped. The bathroom is postage-stamp sized, and the closet is small. You have to call room service for ice, as there are no ice or soda machines available to guests.Some other things you should be aware of:1. When you get the confirmation from the hotel and it indicates a total price of $xxx.xx, don't believe it; they add $60/day for &quot;incidentals&quot; to the amount they guarantee your card for. While it's customary for hotels to swipe cards for slightly more than the actual room costs for things like long distance, etc, I thought $60/day was excessive.2. Wi-fi is free, but connectivity is nearly impossible. If you can actually GET connected, it'll cost you $9.95/day for broadband access.3. Skip the ridiculously overpriced meals and go out. Breakfast was especially very overpriced; go to the diner next door. Food was good, service was lightning quick, and very reasonable. If you're going to the theatre, Carmine's is very close by and the food is amazing. Bring a HUGE appetite, though. There are several restaurants on the same block as the hotel.4. The hotel doesn't have a shuttle service to the airport (or anywhere else), but the bellmen will be happy to arrange a car or hail a taxi for you. Expect to pay around $35 (including tip) between the hotel and LaGuardia.	
Jun 2 2007 	I was impressed	I stayed for 1 night a few weeks ago and I have to say that I was impressed with the decoration and cleaniness of my room. I got a great deal through a search engine and based on some reviews here I was expecting the worst. But on the contrary my room was superb! Flat screen TV, small but cozy room, free wi-fi and brand new bath!Location is fantastic, few blocks from Grand Central and right at midtown.If I get the same deal again I will definetly stay at Algonquin on my next visit.	
May 29 2007	Lovely hotel fab location	Just back from a short break and loved this hotel. The lobby is a great place to have a drink and relax after the sights or shopping. Rooms are not huge but bigger than I expected, with queen bed and full bathroom. The entire hotel is tastefully decorated and is a far cry from the major chains with it's personal touches. A short stroll from Times Square and easy walking distance to shops and Central Park, I'd definitely stay here again.	
May 28 2007 	History and atmosphere	I have stayed at this hotel many times. I love the location and the character of the hotel. Yes, it's not always as slick as some others, but the little touches- the New Yorker wallpaper, the witty quotes on the door of each room, the cat and the history more than make up for any little oddities. Agree with comments on the Red Flame next door- great for an inexpensive and quick breakfast. And on the other side, I had dinner at DB Moderne- very stylish and good, largely French style, food.	
May 22 2007 	PHENOMENAL	The rooms at the Algonquin are gorgeous and huge. The lobby is so cozy, and it is a short walk to Times Square. I would stay here again in a second.	
May 14 2007 	Enjoyed the Algonquin	The room was small, but clean and very comfortable. The staff was very nice, especially the bellhop and the doormen. We were disappointed that the coffeemaker that was promised to be in the room wasn't. When we asked the desk, they said they have coffeemakers that we could have, but they don't have coffee or filters to go with them. My advice, don't say it's an amenity when it isn't. They also change the time when the lobby coffee is available, so we missed out both days. I would definitely go back to stay again. Very comfortable and close to the theatres. The diner next door, The Red Flame Diner, was the perfect place for an inexpensive meal at anytime, they open at 6am and stay til midnight.	
May 12 2007 	Comfy room great restaurant fun bar	Stayed with a friend. Room was small, but extremely comfortable. Great music in bar. Lobby area is a lot of fun. Loved the &quot;resident&quot; cat.	
May 8 2007 	ok	Great location. Very small rooms; my husband and I had difficulty walking around the king size bed at the same time. Bed was very comfy though. We had trouble with the air conditioning. It kept tripping the surge protector. A maintenance person quickly answered the call but only told us to turn the protector back on; it did this all night.I feel we were paying premium for the beautiful lobby/ restaurant/ and bar area. Next time we will stay two doors down at the Sofitel.	
May 5 2007 	An Italian perspective on the Algonquin	It was our fist time in NYC and decided to stay at the Algonquin because a famous Italian writer dedicated one chapter of his &quot;I segreti di New York&quot; to Dorothy Parker, so I was curious.We stayed for 8 nights in a 2 rooms premier suite, which was rather expensive (560USD av. per night with tax), but also nice and comfortable; the only cons was the bed sofa where our 20yrs old daughter slept: it was quite tough and bumpy, so, even if her room was elegant and spacious, well equipped with fridge, huge plasma tv set and other amenities, my daughter kept complaining. My sleeping room was a bit smaller, but the queen bed was really soft, so my husband and I enjoyed it. The bathroom was a bit small too, with a small bathtub, that looked old fashioned, with a strange draining system, and of course no bidet...but you must be really lucky to find one out of Italy...LOLFor our clothes there was only a small cabinet and a medium sized piece of furniture which was nice but couldn't be defined a wardrobe, anyhow we managed to put all our things in order.The staff were really nice and kind: the doorman and the bellboys were always ready to be useful to us, so was the concierge, the receptionists were a bit hasty, but efficient. The maids kept the room well clean but they didn't refresh it in the afternoon as it happens in most luxury hotels.They even have complimentary laptops, which was great for my daughter to keep in touch with her friends in Italy, but if you really need a pc, better bring yours cause they have only one or two and they are often taken.Breakfast wasn't included in the price and it was expensive, specially since there was no buffet and anyhing you order extra the standard Continental or American breakfast they serve is added to the already high price ( 15/21 USD plus tax and tip). Nevertheless it is worth while because that Round Table room of theirs is very elegant and full of historical reminiscences, besides the waiters are fun: most of them are small and a bit fussy, strangely alike the Humpa Lumpas in the movie &quot;The chocolate factory&quot; with Johnny Depp.We didn't have dinner here because in the menu there was nothing appealing to our delicate Italian palates and couldn't have tea in the lobby in the afternoon cause they explained us that it wasn't tea time, so they didn't serve any, We were obviously struck by the beauty and charm of the wonderful Matilda, The famous Algonquin cat. She is so nice that can be caressed by any hotel guest and moves around like a real queen supervising everything. Overall we had a wondeful time in New York and enjoyed a nice stay at this hotel, so well located quiet and comfortable, the cons were minor things that didn't spoil our holiday.If I would come back? Maybe I'd rather stay in another area to have a different taste of New York , but...who knows...if Matilda invites us....	
Apr 21 2007 	Disappointing All Around	I stayed at the Algonquin while I was sitting for the New York State Bar Exam in July 2006, despite the fact that I lived around the corner in Murray Hill. My reasoning was that I needed to be pampered and relaxed during this incredibly stressful 2-day exam - something that was unlikely to happen in my cramped &amp; noisy studio on Lexington Avenue. I chose the Algonquin because of its rich literary history, the lovely ambiance, and the wonderful experiences I had previously enjoyed in the bar/restaurant of the hotel.I checked in the evening before the exam, and was shown to a decrepit room with peeling wallpaper and stained carpeting - the room was also very noisy, despite my request for a room in the back of the hotel. I saw another queen deluxe room across the hall being cleaned, and when I called the front desk to ask if I could be moved into that room, the woman condescendingly replied that it was not in &quot;my price range&quot; since I had booked through Priceline - despite the fact that it was an identical Queen deluxe room - and that New York is a noisy city (I should know I've lived here for 8 years). She also stated that the hotel was booked up &amp; I would have to stay in the room. Eventually, several phone calls later, and after requesting to speak to her supervisor, I was moved to a more acceptable room - obviously, the hotel was not in fact booked up.I had planned on staying an extra evening after the Bar exam to relax and recuperate, but based on my unpleasant experience, I chose to check out immediately after the bar exam.Upon approaching the valet to request my luggage (which I had left on the final morning of the exam), I was ignored while he chit-chatted with another worker. Another woman who had just taken the Bar was also with me, waiting for her luggage. The valet told us something along the lines of &quot;you girls will just have to wait.&quot; Girls?Unbelievable. The worst part was that I wrote a letter to the manager of the hotel, detailing my experience, and never received a response. I am thoroughly disappointed by this incredibly unpleasant experience during an already stressful time in my life. No thanks to the Algonquin, I passed the Bar, and will never recommend this hotel to anyone.	
Mar 27 2007	Good for the price	Just got back from the Algonquin. Chose this hotel for location and price. Travelzoo had a great rate of 179 with continental breakfast. We were worried about the construction next door as mentioned in recent reviews. When we arrived the woman at the desk asked if we minded waiting a few moments because she wanted to put us in a front room to avoid the noise from the construction. We did not mention anything first to her and never heard noise, except in the dining room in the morning. Everyone was very nice at the reception area. The lobby is vintage looking and my husband felt it to be depressing and dark. (It has been renovated to look this way) I liked the vintage charm. The room was pretty small and I actually had some difficulty putting my cosmetics out in the bathroom, however, everything was new and very comfortable. The bed and linens were very good. The location is fabulous. I would definitely stay here again at this rate, not sure if it was a lot higher.	
Mar 24 2007	Blue Room Bar	The Blue Room bar has been a staple of our trips to NYC. Living in Philadelphia, we can go up on a whim. The eccentric waiters in the Blue Room bar have always been part of the charm. I was...validated...is that the word?... to read a recent review, where the customer said the Blue Room bar service is terrible and the waiters congregate around the bar and talk to each other. This is true.BUT, the drinks are great (even at $15 a pop for a Signature Cocktail), and the free snacks are fresh. Long live Matilda!Cheers,QOTD	
Mar 23 2007 	Home Away From Home	My husband and I had a getaway to New York just after Christmas. We booked a room at the Algonquin by calling them directly. I felt uncomfortable doing it over the internet. I told the agent I spoke with about the special internet price I had seen, and he honored this price. We had absolutely no trouble checking in and getting up to our room, with excellent service. The rooms are small, but this is New York, and all the rooms are small. It was just really cozy, and all that we needed. We had comfortable beds with down comfortersand plenty of soft and fluffy pillows. We had a lovely stand in shower, with plenty of wonderful hot water. Just being at the Algonquin was very exciting, with all the dinner shows that go on, and the lounge is always buzzing with activity. The location couldn't be better, walking distance to just about everything, very close to shows, Times Square, and the New York Public Library, of historical fame. The breakfast served in the lobby was truly delicious, but ws $60 with tip, just for two people. During the rest of our trip, we at breakfast at the cute diner next door, the Red Flame, which was pefect for us. Each morning we got up before dawn to start our day of sight seeing, and the fresh food and hot coffee next door really hit the spot. If you go to New York, stay at the Algonquin by all means!!!!!	
Mar 21 2007 	Disappointing	A stay at the Algonquin was something I had always dreamed of, being a Dorothy Parker fan, and I love the fact that the hotel has a resident cat (Matilda). We arrived at the hotel mid afternoon, after an 8 hour flight from the UK (so were pretty jetlagged, and our bodies thought it was late evening). There was an awful noise and vibrating as there was construction work on a building behind the hotel. The receptionist assured us that it would stop at 6pm (but then confessed it started at 7am). The following day was my birthday so it was disheartening to think I would be woken up in such an unpleasant way! The noise was not the fault of the hotel, so we decided to try and make the best of it. Our room was small and very noisy. We went down to the bar around 5pm to have some tea (it was way too noisy to have room service). The bar manager was sniffy and said &quot;we aren't serving tea&quot;. We actually brought our own tea bags, so all we wanted was hot water and milk. I explained we were guests and that it was impossible to relax upstairs in the room. He begrudgingly let us sit in the dining area (but said &quot;I have to charge you for tea even if you use your own tea bags...&quot; GEE THANKS..) The noise stopped at 6pm which was bliss. The next morning, it started up again at 7am so we ordered tea and toast from room service. This ended up costing nearly $40 which is outrageous. We had a booking to stay at the Algonquin again 2 days later, which we cancelled when we checked out, due to the noise. If the hotel had offered us a discount as compensation for the disturbance, perhaps we would have decided to stay there for the 2nd night, but they weren't interested. This experience has spoiled the whole concept of the Algonquin for me.	
Mar 19 2007 	55+ Clientele Neo-Con Newspaper Rude Concierge at Algonquin	I also took advantage of the Winter/2007 $179 TravelZoo promotion and wish I hadn't. I switched to another hotel that charges over twice nightly what I paid for one night at the Algonquin, and was glad I did. All that the Algonquin has going for it comes from the hotel's historical legacies -- the renovated architecture, the legends of the Round Table and the wonderful gentlemen who run their bell service. This is a unique and special hotel offering unmatched by other hotels in NYC and indeed the U.S. Unfortunately, the current owners have packaged this incredible American historical venue with a theme park mentality instead of with the subtlety and taste that their previous literary clientele enjoyed at the hotel in its earlier years. Thanks to the historical sensitivity of new owners in the 1980's who did the hotel’s first major renovations, much of the hotel's architecture and style has been restored to period and remains intact and beautiful. However the current owners have reduced the cosmetic decor to a caricature of the history by putting up wallpaper with &quot;New Yorker&quot; cartoons. Also the white paint in the rooms, instead of the former richly colored Edwardian wallpaper, mars any sense of the period of the hotel's glory days. The rooms are so small and dated that their charm and appeal only comes from their history, so this aspect has been damaged -- although it could be reversed with new wallpaper. The life of the hotel emanates from the legendary bellstaff, some who have been with the hotel for decades. They are the best in NYC because of their personalities. Outside of the friendly and wonderful doorman (wonderful, authentic smile), the accomodating bellstaff, the courteous front desk, and excellent housekeeping, the rest of the service is dicey. The hostesses and waitstaff in the lobby area were inattentive and patronizing. As other reviewers have noted, there's age discrimination at play in this hotel. The restaurant staff seemed to focus on the late middle-aged men. I don't know if the management is intentionally marketing this hotel to an ultraconservative 55/60+crowd who like to drink a lot of alcohol. ANYC friend who came by to see the lobby for nolstagic reasons (his last visit had been when his father brought him to the Algonquin 20 years ago when he was 16) confirmed this sense I had about the odd political atmosphere of the hotel. We're both traditional and politically moderate ourselves. A mainstream media executive very familiar with the NYC media scene, my friend confirmed that the free neo-conservative, rightist newspaper offered in the Algonquin lobby &quot;The Sun&quot; indeed takes a well-known adversarial stance to the paper that he used to work for, &quot;The New York Times.&quot; We thought the discrepancy between touting the hotel's legacy of its association with the liberal &quot;New Yorker,' which the hotel provides, but hides in a drawer in the room, was rather creepy. Also, if you're in your thirties or even forties,health-conscious, and family-values oriented, you might feel out-of-place. Much of the lobby crowd were later middle-aged people who were intoxicated. A man and woman at the table next to us made very loud and drunken in off-color remarks that were not witty like those of the Round Table Literary group, but instead vulgar and offensive. We concluded that this is not a place to have dinner with children or teenagers, or for those who prefer proper decorum. The concierge I encountered in March 2007 was rude, incompetent, and coarse. She represented the opposite of the legendary Algonquin service and manners. She obviously did not want to help with directions. The rooms and bathrooms are miniscule compared to other hotels of comparable price in NYC. All that this hotel has to offer on a competitive basis is its history and aspirations to the legendary service it touts. The management really needs to rethink its full utilization of the hotel's history -- changing its approach from exploitation to respect. And they need to retrain the hotel's waitstaff and find a new concierge.This is a three-star hotel that is best suited to an older neo-con crowd that likes to drink; writers who are drawn to the history and don't mind the chasm between the hotel's past liberal literary glory days and its present; and people who don't mind the well-worn rooms and problems because they got a promotional &quot;bargain.&quot; The rooms are not worth the full price -- there's much better in the vicinity.Although I was drawn to the hotel's literary history, in the end the cons outweighed the pros. I switched to a hotel in the area that was in the same (non-promotional) price range but was truly luxurious (4-diamond), with a staff with consistent good manners.There's a reason for the wildly varying opinions at Trip Advisor. Recommend reading them carefully to see if you fall into the kind of category that fits with this hotel. It's NOT for everyone.  At the same time, I hope the management gets their act together, removes &quot;The Sun&quot; from their lobby, and revives some of the past consistent greatness of the Algonquin, which is still alive there, in the friendly and wonderful personalities of the gentlemen at the door and bellservice. I wish them the best because they deserve it. They make the hotel along with the architecture and history. I'll return if the management acquires the consistent chops and clear and apolitical (politics don't belong in a hotel that markets to the general public) tone like the hotel lounge's great jazz singers demonstrate.	
Mar 18 2007 	Eardrum shattering noise	This is a very nice, expensive hotel in a great location. However, when we checked in, the person at the front desk told us there would be a 'chiseling' noise from construction outside until 6 PM. What he didn't tell us is that this would be very, very loud noise from a jackhammer that made staying in the room intolerable until 6 PM. Furthermore, he didn't tell us that the noise would begin again at 7 AM! For $380 a night this is totally not acceptable. I complained to the booking agent at the hotel and sent an email to the manager through the hotel website, but received no response.	
Mar 12 2007 	My favorite place to stay in NYC	Thanks to a special on travelzoo.com, I decided to head up to NYC for a weekend in march and stay at the Algonquin. It's not hip or fashionable, but it has a familiar, old charm and cosiness that I have not found anywhere else in Manhattan. I love the comfy lobby and bar area, and the rooms, though not large, have all the amenities I need. They are also quiet, even thought the location is in midtown Manhattan, easy walking distance from scores of restaurants and popular tourist detinations. I never eat at this hotel, by the way -- as noted by many other travelers the food is nothing special-- but with so many great options within a few blocks radius, that doesn't bother me. I would prefer a coffee machine to the martini shaker in my room, but it's all part of the ambience. The New Yorker themed wall paper and ancient resident cat -- Matilda -- also add to the experience.	
Mar 8 2007 	Excellent hotel close to everything	We just spent a long weekend at the Algonquin Hotel and it was in the perfect location. Times Square and the theaters are about a block away. A lot of the sights we wanted to visit were within walking distance or a quick metro ride away. Compared to most NY hotel rooms it was rather spacious. The hotel room did not come with a refrigerator and we had to call room service just for ice. We did not eat in the hotel restaurant or drink at the bar but both looked rather posh.	
Mar 5 2007 	Matilda rules	My friend Penny mentioned that the Algonquin had a great cocktail bar, so I decided to take a look at the hotel, never imagining that it would meet our budget (£100 per night for two) but they had a great price offer for our late Feb visit. The public rooms are fabulous - a little bit of New York literary history. We loved the wallpaper (in the hallways) with NY Times cartoons. We were warned that the rooms would be small but our twin room was normal size for Europeans, and well furnished and well equipped. Very comfortable beds and a good flat screen tv/The Oak Room was closed on the two nights we were there, and we think they missed an opportunity to do something special on Oscar night (but New York generally seemed less than interested in the Oscars, are they jealous that LA is focus for the night?). The Blue Room is a famous cocktail bar - you should definitely go in for one, but then go and find somewhere more interesting, with better service, for the next one. The lobby has much more atmosphere. Bar food not recommended - we were tired after our flight for London so we ate in the bar, but you wouldn't have to go too far to get better food and better price as the location is so good.And if you do decide to check in, do say hello to Matilda, the Algonquin cat. She even has her own business card!	
Feb 25 2007	Noisy!!	Just returned from a one night stay at the Algonquin. The history of the hotel makes it worth a visit, but don't expect much more. There is a hotel being built right behind it and the noise from the construction equipment digging all day long is enough to drive you crazy. The rooms are small, but sweetly decorated, The plumbing as you might imagine is very old and the fixtures are meant to give that &quot;old fashioned&quot; look, There is no luxury to the bathroom at all. The bed was super comfortable and the linens were great quality. The elevators were painfully slow and cramped. You must posess patience to stay here. The location however is excellent, close to all. If you catch a great deal and won't be in the room too too much, then try the Algonquin.	
