	Fantastic hotel in a perfect location	We stayed here for 4 nights over thanksgiving. The hotel is absolutely fantastic- rooms were super clean and spacious and everything was of high quality- the bed was really comfortable and the bedding was nice and soft. Bathroom was also really nice- it was big and the complimentary toiletries were great- they were neutrogena and got replaced every day. The staff were sensational- they knew the answer to any questions we had on how to get places, where the best deals for shopping were, where to stand for the parade etc. They even had flyers for 3 different price options on where to go for a traditional thanksgiving dinner. The only bugbear was that we had someone knocking on our door and attempt to come into our room at 9am on the day we were leaving to ask when we were checking out- this just seems ridiculous and hopefully they will change this for future guests. Will stay here again though without hesitation we had a fantastic time.	
Feb 14 2009 	Great property for price - best rate during peak time	Agree with other reviews about staff, room size, bathrooms, etc - all that was better than average. Only 8 rooms on each floor and we had two on our floor - did not hear other guests on our floor - it was almost like having a private floor. Booked just a few weeks before our stay (Dec. 25 - Jan.1) for the best rate I could find at that relatively late date ($237 + tax) - most other hotels that had availability were in the high $300 - $400 for at least some of the nights around New Year's Eve. Location was great for us as we did things uptown, downtown and in midtown - subway was so easy. Ate at Mustang Sally's with teenagers - hamburgers and staff were great. Easy walk to Whole Foods on 7th Ave., Starbucks nearby on 7th Ave. We found plenty to eat near the hotel - we did not eat in the hotel so can't comment on that. Ate breakfast at Greek Diner - on corner of 28th and 7th - great omelettes. Business center with a couple of computers, ability to print was useful - but free internet from room worked well, too. Did a lot of walking in the area - felt very comfortable. We had ages 15 y.o - 77 y.o with us - it was a great place for all of us.	
Feb 1 2009 	Great Experience!	Great hotel staff. Beds were wonderful!! Hotel was quiet. Allowed a late check out. Room size was sufficient for three people. Nice bathroom and great hotel service. Everyone was friendly and willing to help. There was construction in the area, but it did not bother us. Within walking distance of most New York attractions. We even walked to GMA early one morning and felt very safe. Would definitley stay there again!	
Jan 25 2009 	Hidden Gem Amongst the Flowers	The hotel is located on 28th west of 7th, looks like they wedged into a former news stand, the entire frontage may be 30ft. Block is the flowers and natural decorative centre so different. Quick 7 walk block south of Penn Station, there's a subway stop half block from hotel.Property is brand-new and has a pleasant foyer for waiting on a friend but not for anything long-term. The eating area, mostly breakfast takes up the back along with a small bar.Rooms are large by NYC standards, comfortable, and quiet. Internet works as does everything else. The TV comes with a HD feed and DVD player and a very complicated integrated remote. Given the size of the building there are relatively few rooms per floor, so low amount of corridor noises.For the price and location, absolutely perfect for business in mid-town and below. Reasonable walk to Javitz, which is a major plus If you know the subway, you can get on the blue line fast. Some issues with breakfast staff, but then again it is NYC. Bringing significant other for a weekend would have appeal also, but not sure I would do children. For that I would suggest the Doubletree Times Sq	
Dec 15 2008 	Excellent Hotel for UK Travellers	Booked this hotel on the internet for a 7 night holiday / Xmas Shopping stay; decision heavily influenced by online Reviews which by and large turned out to be fair and accurate.We were on the 9th floor at the front of the building above a very busy flower market which started up around 6 a.m. and a couple of doors from a building site - never disturbed once by outside noise. Better than average room / bathroom, great housekeeping and the most comfortable hotel bed we have ever encountered. Excellent &amp; courteous staff who went the extra few yards when asked.With a fridge, coffee-maker and micro-wave in the room we breakfasted from the the local delis which gave a measure of independence and so we cannot comment on the Breakfast Buffet although other guests seemed complimentary about it. We left the laptop at home so didn't use the WiFi but we could access email etc from the Business Centre in the lobby free of charge (in fact we did our on-line airline check-in from there). We had a 6 hour gap between check-out and transit to the Airport but the hotel had a well-managed secure baggage storage facility and they chased up when the bus ran a little late.The excellent TV &amp; Cable system couldn't disguise the fact that U.S. TV is garbage but that's not the hotel's fault !!Food, other than Breakfast, is Room Service provided by a local Bar/Restaurant called Mustang Sally's located across 7th Ave at the end of the block. We ate there twice for convenience and both felt the burger worthy of special favourable mention. Very reasonably priced and the prices are more or less the same on the Room Service Menu - so no rip-offs for eating in the comfort of your room.Location wise - very convenient with the One Line subway just at the 7th Ave end of the block and only a short walk to Macy's, Madison Sq Gdn etc. We much preferred 7th Avenue when toing &amp; froing, 6th seemed edgier / less attractive from about 32nd St south but never a problem, more an impression.Overall, we'd rate this hotel quite a bit higher than 3-star standard in respect of the room and the service; whether it's good value for money depends on exchange rates and competitor prices but in all other respects it delivered and slightly exceeded our expectations.	
Nov 20 2008 	nice stay at the hilton garden inn chelsea	The room in HGI Chelsea was a good size, with a very comfortable king size bed, newish furniture with plenty of storage space and modern deco. My room was on the very top floor and the view is not fantastic, but the location is relatively quiet for Manhattan. Even though the street the hotel is on is not exactly pretty and kind of deserted at night, it's such a short walk from the subways that I felt safe walking back at night.I had a problem of the bath water running yellow, although not with the shower. The mini refrigerator was a little noisy so I turned it off at night. Other than that, the crisp linens, DirecTV, free Wi-Fi, the coffee machine, microwave, morning paper all added to a very nice and memorable stay. I would definitely recommend this hotel, and will consider returning to in the future.	
Nov 11 2008 	A life saver	We arrived in Manhatten after travelling all day and checked into our pre-booked hotel. It was so horrible that we went in search for another. Having stayed in a Hilton Garden Inn in Salt Lake City we rang and asked if they had any room. They did and let us walk around the corner and check out the rooms. Whilst smaller than our prebooked hotel it was clean, light and really fresh. We immediately booked for our four night stay.The staff were marvellous and did all they could to look after us. They helped with locations, resturants and when the IT room was out of action allowed us to use their own office PC to check in for our flights home.Well placed for all Manhatten viewings.	
Oct 29 2008 	Excellent Hotel Great Location	My boyfriend and I went to New York in January for a birthday party. We were booked in as a group by a family member but they were very accommodating. When we heard the price we weren't expecting much from talking to friends who had been there before but this hotel was amazing!Our room was fairly big which is unusual for a new york hotel and there was a huge bed that was so comfortable. The bathroom was impressive too. Lots of storage space if you need it (wardrobes/drawers)The staff couldn't have been more helpful they will advise where to go for what. The location is unbelievable. Five minutes walk from Madison Square Garden. Being New York there's always somewhere nice to eat nearby but I recommend Mustang Sally's or Mustang Harry's both just at the end of the street. Room service also comes from these restaurants so good to treat yourself. No noise form other rooms. I'm not sure how busy it was at this time of year though. Television has lots of stations if you want it but you shouldn't waste your time watching television.	
Oct 23 2008 	Pleasantly surprised	We stayed there for 5 days as part of an Elderhostel group tour of New York. The hotel is somewhat Spartin, but entirely adequate - especifically if you do not want to feel like you are paying for amenities you do not need or want. It is only a year old, so everything feels &quot;new&quot;. The beds and bedding were wonderful, and our room was extremely quiet. The staff was very friendly and helpful, and the morning breakfast buffet was also very good. It is located in the &quot;flower district&quot;, which is very interesting to walk around, and there are 2 subway lines very close. If you like early morning coffee, there is a McDonalds very close, as are the news stands. I would stay there again without hesitation.	
Oct 21 2008 	I stayed in Tin Pan Alley	I liked this hotel. The building itself is tall and thin, the upper floors have the best views, particularly on the north side towards the Empire State Building. The staff engender a small hotel atmosphere, very friendly, helpful, you’re on first name terms before you know it.We were on the south side, 17th floor, with a view of the sun setting over Chelsea. The room was clean and comfortable, the WiFi worked, the fridge, coffee maker, iron and microwave all served to make us independent in our space.West 28th Street is an area of gentrification between Chelsea and the Garment District. Known more recently as the ‘Flower District’, you still weave your way through potted palms and banana trees on your walk from the 28th Street Subway to the hotel, but the florists are now moving out as the developers are snapping up the run down properties. Fans of Irving Berlin and George Gershwin will enjoy the fact that from 1893, number 49 West 28th Street was the home of the music publisher M. Witmark &amp; Sons. The subsequent arrival of hundreds of musicians and their pianos gave the street it’s former, more romantic identity. Yes, I stayed in Tin Pan Alley.	
Oct 14 2008	It's pretty new!!!	This hotel looks pretty new to me or maybe it has recently undergone major renovations. The lobby was small but very tranquil thanks to the water feature there. Elevators were very fast and the rooms were pretty big. There's an on-site restaurant and convenience store but not much of a view from the room. The rooms was pretty contemporary by design so all in all, a great find in NYC!	
Oct 9 2008 	Robbed: Inside Job	Both of my laptops were stolen and a new wireless hard drive. There was no forced entry, so either the maid left the door open or she did the deed herself. I am attaching the police report so Trip Advisor knows this is the real deal.	
Sep 25 2008 	good location and relatively quiet for NYC	Hotel is like a boutique hotel--small and intimate. Chelsea is on the edge of the garment district and flower district. Construction next store not much of a problem. Breakfast was part of our package. The rooms would have been about $575/night but we got a deal through Hilton that was wonderful. Also used Hilton points to pay for our part so essentially free to us. LaGuardia is 20 minutes by cab. Be sure the cabbie doesn't take you to the Hilton Garden Inn in the theater district. A block to the subway. A few blocks to Empire State Building and Macy's. All in all very friendly hotel staff and very professional. NYC as a whole is clean, friendly and inviting. A pleasant change from years past. Few homeless compared to years ago. If you go to TKTS-TKTS for theater same-day seats, take cash--no credit cards accepted. Also the booth is moved to a sidestreet, think it is the lobby level of the Marriott. Les Halles was excellent and reasonable for NYC. Actually, food and purchases were as cheap as any major US city. Now if the hotels and theaters were just more reasonable...	
Sep 17 2008 	Great hotel	After doing much research and being unable to find any inexpensive hotels in Manhattan (even rat-infested ones), I took a chance and booked on Hotwire without knowing the hotel name in advance. We ended up with the Hilton Garden Inn for $160 a night. We were extremely happy with the hotel. We arrived at 10:30 in the morning with the intent of dropping our bags and coming back later to check in. However, the lady at reception told me that a room was available and that we could check right in, which was a bonus. The room was very nice and clean. No complaints with the bathroom or bed. Very comfortable pillows. The TV was great as it had the most number of channels I've ever seen in a hotel. There is a mini-fridge in the room. It was extremely hot the week we were there so it was nice to have some cold water bottles in the fridge. We were on the 5th floor so the view wasn't so hot but I would imagine the rooms on the higher floors have excellent views.The location is great. We were able to walk almost anywhere. Because the hotel is in midtown, we walked both up and downtown with no problems. At the end of long days, we took the subway and the station is maybe a minute's walk from the hotel. The street is very quiet and I never heard a sound while in the room. I never felt unsafe because it was such a quick walk.The only problem is that there is no temporary parking outside for checking in. My boyfriend just put on the hazard lights and stayed in the car for a minute while I ran in to get directions to the parking garage. Then we checked in when we came back. The hotel gives you a discount on a garage a few blocks away. It's still very pricey but it is New York so what can you do? Just don't forget to get your parking sticker for the discount from the hotel when you check out. All in all, we loved this hotel and would definitely go back again.	
Sep 13 2008 	Still a Fantastic Hotel	I stayed at this hotel when it first opened in Oct. 2007. The service and cleanliness then was great and I was expecting a bit of a change with it being opened almost a year. I was pleasantly surprised that it only got better.They added some new plants outside to make it more inviting. The property was still as clean as it was when I stayed back in October 2007. The staff also seems more comfortable and still provides excellent service. The front desk staff is friendly, accommodating and knows the area well. They go the extra mile for their guests.Breakfast has changed slightly as they finally have the speed and the quality that you would expect from a Hilton Garden Inn. I actually spoke with the Director of Sales and she was pleasant, informative and seems to really care about the guests. I will be traveling more often to NYC and the Hilton Garden Inn Chelsea will become my new NYC home when I do.	
Sep 12 2008 	Rude management and major problems if you have a car.....	I am an author and have been on book-tour for the past four months and have been living from one hotel to another. Upon arriving at this hotel in my rental car there was an immediate issue regarding the car. The hotel is located on a very busy side street and the parking area in front of the hotel which should (one would think) be reserved for arriving guests and taxis has been taken over by commercial vehicles doing work of one type or another in the neighborhood. I sat parked in the car in the middle of the street for some time before a plumber finally arrived and left in his pickup truck freeing up a space for me to park and then check-in at the hotel. while i was checking-in i got a parking ticket for $140. i discovered this when the porter and i walked out to the car to get my luggage (a trunk full, including lots of books). the porter told me that the hotel would pay the ticket and not to worry. after the porter and i went to the room i moved the car to the hotel's parking (several streets away, and the hotel does not offer valet parking) and returned to the hotel with the $140 parking ticket in hand and spoke with the front desk person, who in turn took a photocopy of the ticket and told me they would speak with the general manager in the morning.the following afternoon when i inquired about the status no one knew what i was talking about. the day after that the exact same thing. finally, on the day that i was departing the man at the front desk told me he knew nothing and i pressed him to take some action now. he went to a back room where he returned to tell me that the hotel is not responsible for parking tickets. i asked to speak with a manager. the front desk man left again and returned and told me that there was no manager, that he had been speaking with the manager by phone (most odd, why the back room???) the hotel has no official &quot;loading zone&quot; and the street is toally packed with cars, of course, it's nyc. i've never in my life seen a hotel with no parking for guests checking in. on top of that the hotel's &quot;discount&quot; parking at the local garage is $30/day plus tax. so, in total i paid a little over $200 for park my car for three days.	
Sep 2 2008 	Yes its good but...	I just came back from staying at the Hilton Garden Inn Chelsea for 5 nights in room 907 and I was pleased with our stay.The location is good, close to the nr 1 and N,R subway lines, about 3-5 min walk and the other lines arent far away. You can easily walk to Macys and Herald Sq. about a 10 min walk. The street which the hotel is located on is the main street of the Flower district and its pretty in the morning with all the flowers but the rest of the time its one of the more uglier streets I have seen in NYC. The whole area from 32nd Str to 26th str btw 7 Av and Broadway wont win any awards for best design any time soon. There arent any great restaurants in the immediate area either, only a Mc Donalds on the corner.The little interaction we had with the staff were very good; they were really helpful and pleasent.Our room had a king-size bed and it was the best bed I have slept in ever. The room itself felt a little cramped, could be that we had a rollaway bed in the room as well but it wasnt big in any way. The room was clean and the housekeepers did an ok job but not a great one. The bathroom was big and clean and had a great shower. The flatscreen TV was good with about 120 channels and had an excellent picture but poor sound.I liked the hotel but it is very impersonal and well...a little boring, there was a definite lack of character. The area around the hotel isnt that great but its close to a lot of things on Manhattan by foot or subway. I would stay there again for the rate we paid; $189 +tax but not for the ordianary rate.	
Aug 24 2008 	Excellent location (in the day!)	Very good hotel at a very competitive price.The rooms were comfortable and clean although a little cramped as there were 4 of us in one room.We couldnt get the tv to work but didnt complain as we weren't in the room long enough to want to watch.Breakfast was excellent with plenty of choice and very good omelettes made on demand.Reception staff very helpful in recommending restaurants, shops etc.My main problem was night- time. The location of the hotel is very good for access to the subway, or walking to say, Macy's. During the day the florist shops surrounding the hotel are all open, but at night there is no-one around, and we did feel a little vulnerable returning to the hotel from the subway. I would not have liked my teenage daughters to have returned on their own. No problems once you are back in the hotel.Would we stay again - yes	
Aug 11 2008 	Great value for your money	We spent couple of great days at Hilton Garden Inn Chelsea in May 2008 at a bargain price - thanks to Priceline. At arrivel I asked the reception to give us a room at the highest floor available, he just winked and told us &quot;Enjoy the view&quot;. Our room was facing directly the Empire State Building!The room was spacious enough - particularly considering it's in Manhattan. Our bed was very comfortable. We had even a microwave owen in the room and flat screen tv.The room, the bath and the hotel overall is very clean and everything smells &quot;new&quot;.Each morning we received a sample of USToday.The hotel is located in the 28th Street (the Flower-Street) which is a bit unfriendly in the night but simply beautiful during the day - lot of Flower-Shops are there. Times Square is appr 10 minutes walk, Macy's just 5 minutes. The red subway line stops right at the corner.I definitely recommend this hotel for everybody - specially for young couples.	
Aug 7 2008	Liked it	This hotel was perfectly fine and we had a good stay. It's nothing fancy, but it's clean, comfortable, well-located, and the staff is super friendly and helpful. The room was a bit small, but I've seen smaller elsewhere. The bathroom was clean and the shower worked well.We were given a free breakfast, perhaps because of my Hilton Honors status or perhaps the nice man at the desk generously provided it. The breakfast was good, but I wouldn't have spent $14 on it otherwise.I'd stay there again. It's definitely nice to stay in a place that's quiet and not a madhouse. The neighborhood has a lot to offer, but at night the street is dark and a bit abandoned, but not unsafe. In daylight it was busy and fun with the flower shops.	
Aug 6 2008 	Nice but not great	The rooms in this hotel are a lot smaller than in the Hilton Garden Inn Times Square on 8th Avenue and also the location is not as good, so my advice would be to stay at the Times Square hotel instead as it is cheaper, has bigger rooms and is in a better location. Despite all this, this is still a reasonable hotel. The rooms were clean and the location wasn't terrible (6 blocks from Macys and Penn Station), but not as good as the Hilton Garden Inn at Times Square	
Aug 5 2008	Watch out for Valuables	We had an amazing stay at this hotel.... It was lovely and exceeded our expectations. We stayed for 9 days. Unfortunatley I left my luggage with the hotel for 1 hour while we waited for our transfer to the Airport. During this time I had all my jewellery and other valuables stolen from my hand luggage. Luggage is stored in the hotels restaurant. Which we felt was fairly secure as the restaurant was closed. Apparently only Hotel staff had access to this area.What a sad way to end a great stay in NY. It was very difficult to get someone from the hotel to discuss this matter. When we finally did after many calls from Australia. They really were not intrested. Took our complaint but that was it.Great hotel but watch out for security in your room &amp; during luggage storage.	
Jul 24 2008 	Great hotel in Manhattan	We recently stayed for six nights at the Hilton Garden Inn, Chelsea, New York, and were highly delighted with it. It's a new hotel, and has only been open a short while, and is ideally placed as a base to explore Manhattan. The hotel's public amenities are few - for example, there's no pool. But there's a pleasant breakfast room, and a small, yet comfortable, lounge area. There's also a business centre, offering free open-access PCs and internet service. The bedrooms are very well appointed, attractive and comfortable, and the staff are helpful and friendly.The hotel is in the middle of Chelsea's flower district, and there's a subway station at the end of the street. The Empire State, Macy's and Times Square are within walking distance. Good value for money. Breakfast isn't included, and though we chose to make our own arrangements for breakfast, a peek in the breakfast room suggested that there's a very wide choice, including cooked-to-order food. There's also a small shop where basic food provisions can be purchased.We'll definitely stay there again.	
Jul 23 2008	we had agreat time	it was our first time in ny my husband my 9 year old son and myself we arrived several hours early and we were able to store our luggage so we could go see some of the sights we were there for 3 days and everyone was very nice they catered to our every need, they were very helpful when we were not sure where we were going they printed out maps for us put us on the right subways. the rooms were in great shape very clean all in all the hilton garden inn chelsea and the staff were excellent !!!!!!	
Jul 22 2008 	Great location!	Just stayed for 2 nights. Rooms were small but nice. Property newer and in good condition. Very quiet except for the opening and closing of other room doors. Bathroom was not as clean as it could have been. Found dried toothpaste on counter top and hair on toilet and shower. Nothing a few Lysol wipes couldn't handle. Most front desk folks were helpful and accommodating. One was very so-so - didn't want to be bothered with anything. For example, we wanted to have them hold our luggage on the day of departure and one guy at the desk paged a person to get it. 15 mins later still nobody to take luggage and no offer from front desk guy to do anything about it or re-page the person. We asked a women who appeared at the desk if she wouldn't mind paging the baggage person as we had been waiting and she profusely apologized that we had to wait and came over and took the bags herself - while Mr. can't be bothered just stood there. I would stay here again but it is a bit pricey if your paying regular rate. Great location.	
Jul 21 2008 	Loved the location	We selected this hotel over several other Hilton's / Hampton Inn's in the Midtown area. Overall, we were very pleased. The hotel is very new. The rooms are a little small, but very nicely furnished. Staff was very attentive and friendly.By far the best thing about this hotel is the great location. There is a subway station on the same block (7th avenue line (1)). You can walk two blocks east to get on the Broadway line (N,R,W), and you can walk about 3 blocks north to get on the 6th avenue lines at Penn Station (B,D,F,V, PATH). You can be anywhere in Manhattan in about 20 -30 minutes. Also, the 34th street shopping area (Macy's) is very close, and Time's Square is a short 14 block walk up 7th avenue.A few considerations.1. Breakfast is $14.95, compare to free at Hampton Inns. We went to the Whole Foods down 7th avenue to stock up a breakfast items. There are refrigerators and microwaves in the room.2. No on-site laundry. In these days of carry-ons, it would be nice to have.3. The restuarant choices in the immediate area (2-3 blocks) are somwhat limited. There are a couple of bar / grills on 7th avenue. Mustang Sally's was quiet tasty, although a little noisy. There are at least two other hotels currently being built on the same block, so maybe the restaurants will soon follow.4. 28th street is pretty quiet at night. During the day, the sidewalk is overrun by flowers and plants from all of the wholesale flower ships. This makes the street nice and lively, but a little hard to walk down.5. There are only 2 elevators for 23 floors, so the wait for an elevator can be a few minutes.6. This hotel is so new that our cab driver from LGA didn't even know where it was. Make sure you have the address (28th between 6th and 7th).I would stay here again if in Manhattan.	
Jul 21 2008 	Terrific Stay	My wife and I recently stayed at the Hilton Garden Inn, Chelsea. I am a Hilton Honors Diamond member and used reward points. We had read reviews of other Hilton properties in Manhatten before deciding on this particular property.We found all of the positive comments from previous reviews to be true. Our room, while small, was very clean. It had a cool flat screen High Def TV with at least 200 channels, including about 30 or more High Def. Our room was on the 19th Floor and we could see the top of the Empire State Building. My wife especially loved that. The workout room in the basement was about average for an HGI, which is a complement.The one negative comment that we had noted regarded the speed of the elevators. We were prepared for it, but in the 8 days we were there, I only had 1 semi-lengthy wait. It really wasn't an issue for us.We found the location of the hotel to be good (rather than great). It was a half block from the subway, but a few more restaurants nearby would have been nice. From that standpoint, a Times Square location would have been better for our purposes.The best thing about the stay for us was the staff. Everyone we came in contact with, Front Desk, Maintenance, Housekeeping, Restaurant, was really helpful, friendly and terrific. We would definitely come back to this hotel.	
Jul 11 2008 	A refuge in the City	We stayed at this Hotel for 5 nights and it was great. The beds were extremely comfortable and the staff was wonderful! We did tons of sight seeing in the city and loved coming back to the quiet location of this hotel and the cozy beds. It is central to everything and right by the subway which we used quite often. It has a refrigerator so we enjoyed bringing back our snacks from places such as Dean &amp; DeLuca. the Chelsea Market etc. and having them for late night treats. My only complaint about the hotel is that the doors slam very loudly (including the bathroom doors) but once we figured that out we were careful when getting up in the middle of the night. This hotel truly was a place to look forward to getting back to after a long day in the city!	
Jul 4 2008 	Great hotel	Just enjoyed 3 nights here,first time in New York so not sure what to expect.We arrived early but were able to leave our bags &amp; check in.Although I had asked ( on requests in Expedia who I booked through) for adjacent rooms( 2 double doubles) the rooms were on 4th &amp; 10th floors,but it didn't really matter.On returning later on we had been moved to better rooms together on the 21st floor,quietly ans without fuss-very commendable.The rooms were fine,TV,power shower,fridge,microwave coffee maker etc.Even a view of Empire State building from one.The breakfasts are ideal to fill you up until late afternoon,and the staff were friendly and helpful.All in all we would certainly return there if we ever go back to NY.	
Jul 1 2008 	Great Hotel With A Great Staff	I booked this hotel because of its price and location and it turned out to be so much more. After a series of issues getting to the hotel, I arrived to check in at 12:15 p.m. I knew if they didn't have any rooms available we were just going to leave our luggage and go, but it was more convienent to check in. I knew the hotel was sold out the night before, so I knew it might not be possible. To add to the confusion, the hotel Property Management System had been down all morning, so they were using paper lists to check in and out guests. When I asked for our room, a room with 2 double beds, Irene, the front desk associate told me their were none of those rooms available. She then called up to housekeeping to check the status of other rooms. She told me she could put me in a room they they told her was a double room. She told me she had no way to double check with the computer down, but if there was an issue to let her know. The room was not only correct, but beautiful. Refrigerator and microwave, great HVAC system, nice bathroom with a great shower and comfortable bed. The room was clean with a crisp contemporary design. The stay was great and staff really made the difference. As a hotel General Manager, I know how easy it would have been to say, &quot;I'm sorry, your room isn't available&quot;, especially with no computer system, but Irene was outstanding and took care of us. She would definately be an employee I would want to have at my hotel's Front Desk!	
Jun 27 2008 	Fantastic!!!!!!!!!!! loved it!	Stayed for 6 nights at the HGI and loved it. Bed was so comfortable, bathroom was a good size and location was brillant, will being staying here on my next trip.	
Jun 24 2008 	Solid Choice	Stayed here for one night. Typical hotel room for nyc in terms of size i.e. small but more than sufficient for a one night stay. We used points for our stay and so I can't comment on the value but it was substantially fewer points than many other choices. We found the location convenient, the staff very helpful, and overall enjoyed our stay.	
Jun 17 2008 	Wonderful Hotel Great Staff	My daughter and I spent two nights in the hotel and would return in a heartbeat. The hotel is clean and the view of the Empire State building is outstanding! The staff is excellent. Especially, Irene at the front desk, who answered all of our questions, gave terrific suggestions and was friendly and helpful at all hours. Mikael worked hard to deliver our bags and anything else we requested. Thank you to both for making our stay stress-free!	
Jun 15 2008 	Neslted in the flower district	This is a nice hotel tucked away between other buildings. If you aren't watching, you might drive or even walk past it. Once inside, you are greeted with a small lobby, but friendly desk staff. My room was on the 17th floor and was very comfortable. Each room has its own independent system, which delivers very cold air on those hot days. The room was clean and the beds make you drift away. Room service delivered promptly from the restaurant and the fries were even still hot and crisp when they arrived.Housekeeping and the front desk are good to demanding guests. My other half is from New York and has no problem picking up the phone to quiz the staff on things in the area or things about the hotel.	
Jun 5 2008 	HIGHLY RECOMMEND	The hotel was great from day 1. Great &amp; fast service- ask for some extra towels and they were braught up in 15 minutes.Excellent room.-The beds were very comfy, flat screen t.v, lovely bathroom, very clean. EXCELLLENT VIEW!! In new york, most hotel views are of the wall of another building so you don't see much but this room had an amazing view for the price.Location- chelsea is getting fixed up little by little so its not as busy as times square which may get one who isn't comfortable with new york yet. your in between times square and downtown only a few blocks away. Times square was like 8 blocks and downtown i took a subway because is was a few more blocks. The subway was right down the block. You are right next to 8th avenue where they are tons of restaurants. 98% recommended.	
May 30 2008 	Good Hotel	I am always sceptical about hotel reviews as I feel people see it as a forum to get there own back and write a bad review if they feel aggrieved in some way and as a result not as many write good reviews. When I checked this hotel it only had good reviews and I will be no different. The hotel advertised as a 3* hotel, was significantly cheaper than other 3* but the service was excellent, room service to an excellent standard every day and the photo's that others have left do show an average room. The rooms are a little small but ideal if you are on a 5 day sightseeing tour as we were. If you arrive during a 8am - 5pm weekday all the wholesalers who sell flowers and shrubs (Its Chelsea after all!) are open with their wares on the street - lovely. Arrive after 8pm and the shutters are down and the street looks rough so don't be worried. Absolute value for money for a sightseeing visit.Getting to the hotel - get the skytrain to the main line station, then get a ticket to Penn Station £3:50 pp, then get a taxi from the rank to Hotel £4.50, plus a one dollar tip for the pushy taxi porter who moved my case all of 3 feet :) Getting a taxi could cost upto £40 - £45 depending on traffic - we got one going back on Sunday afternoon and thats what it cost us 'cos of jams.All the centre of New York (Times Square) is within walking distance with the Empire State Building only 5 - 10 mins walk from the Hotel.	
May 18 2008 	Location location location and nice	This newly midrange hotel is in the area Chelsea, more precise the Flower District. The hotel is on 28th Street which I would describe rather quiet for Manhattan during night time. The location is just great, several subway lines within few minutes by foot and the legendary Macy’s, Penn Station less than 10 walking mins. away, so is Madison Square Garden and not farther the Empire States Building. There are lots of restaurants and shops around incl. supermarkets. My twin bed room on the 22nd floor was small which is common in Manhattan and not suitable for more than 2 person, especially as the modern bathroom is so tiny and there’s not much space for several luggages. There is a small wardrobe, ironing set, microwave, empty fridge, working desk with free internet and flatscreen TV. The lobby is tiny, too, so it the size of this modern building, there are only 8 rooms per floor. Unfortunately, there are only 2 elevators which are being also used by housekeeping. So expect some waiting time. There’s a small fitness room on the basement but no coin laundry and the breakfast buffet could be more plentiful but you are in the city, lots of alternatives. I would certainly return to this hotel.	
May 17 2008 	Great by european standards not as much as a US property	We booked this hotel because we wanted to try a hotel in Chelsea (we normally stay at the Benjamin or the Marriott East Side in Midtown). The rooms were small but newly renovated. The downsides were: no onsite parking; there are only two elevators for the entire hotel so any time of day or night not only will you wait for an elevator but also once on the elevator you will make countless stops before reaching your desired destination; the tv is cable and comes with an old-fashioned box and cryptic messages on how to use it; the business center happens to be in a bad cell signal/wireless range and in order to use laptops wirelessly (to print) you have to reach an outside vendor for a security code which is not possible with a wireless signal that frequently drops; the breakfast was adequate but the wait-staff was almost pushy without being helpful. (We had trouble getting silverware and napkins). The hotel is new and stylish but basic/no frills.	
May 16 2008 	Great HotelGood Value	Stayed at this hotel and was a little nervous based on the reviews of construction outside and an unfriendly staff. My stay was just the opposite. The staff was very friendly and helpful. The room was small, but a good size for New York City. The room was on the 15th floor and was very quite. The location was perfect. Just a few blocks from the center of time square and close to all the shows we wanted to see.	
May 14 2008 	Just back from the Hilton Garden Inn	Just got back from a stay at the Hilton Garden Inn Chelsea.Had a fab time, the room &amp; bathroom were very clean &amp; spacious. Would reccomend everyone to stay there, theres an office for faxes, copies etc which we didnt use as were on holiday. Free Wifi.Every day they replaced the bathroom Neutrogena supplies. The room was fantastic &amp; we had an awsome view of the Empire State Building. We had the blinds open that 1st night. Room 2307! 7th floor.The front desk staff were very helpfull &amp; friendly. Breakfast is $15 dollars we didnt eat in the hotel but coffee is free in the mornings so we grabed 1 as we left in the mornings.There was a suggestion at reception that we walk downtown to get the Staton Island Ferry instead of getting a bus or subway. We walked park Grenwich Village into Soho past ground zero &amp; St Pauls before getting the ferry. Walked everywhere that day &amp; felt we got to see lots more that being on the tour bus.	
May 2 2008 	Great Hotel 	Good Hotel on W28th - in Hilton group - good standard - new &amp; modern - friendly staff - Wifi free in room - Good value for NYC	
May 2 2008 	Very Happy With HGI chelsea	We loved our stay at HGI chelsea, the location was perfect, away from the crazy crowds of times square but not far enough that it wasn't convenient, two subway stations VERY close.The staff was very friendly and helpful and even called to get us a limo for the way back to the airport, i highly recommend.	
Apr 30 2008 	Great Hotel	This hotel is absoluty fabulous. The price is reasonable for NYC and it is close to virtually everything or a cheap cab ride away. Only drawback is you cannot get a glass of wine for your room..they only sell very expensive bottles at the front desk. The hotel staff is very friendly and helpful.	
Apr 24 2008	A Hidden Gem	I stayed at the Hilton Garden Inn Chelsea last weekend, and have to say that I was pleasantly surprised. I had read the reviews, but still was a bit concerned as the price I paid ($160) seemed too good to be true. I booked my stay on the hotel website, after searching on kayak.com and finding them to offer the best deal. The hotel is set back from the sidewalk, which is nice. The lobby is modern and inviting, the rooms were incredibly clean, and the beds ridiculously comfortable. I swear, one of the best night's sleep ever! Minimal noise from the street, even with the window open. Oh, and to top it all off, the shower had great water pressure!All in all, a great hotel and I will definitely be staying again!	
