	Great hotel great location!	I stayed here for 5 nights with my dad from November 14th-20th. Check in was quick and easy, we were given a room on the 10th floor with a view of the Empire State Building. The rooms were of good size, we had a twin bedroom and were pleased with the size. There was also an electronic safe in the cupboard that was free to use and the rooms were cleaned everyday. Breakfast was fine - we thought we would probably have to go out and buy breakfast as it was only continental but there was plenty of choice and always enough food to go around. It was a buffet style breakfast with muffins, cereal, toast, youghurt, bagels etc and tea and coffee which you could help yourself to throughtout the day and night. The hotel was great location wise - down the road to macy's and empire state and about a 5-10 minute walk to times square. Beware though it IS the city that never sleeps - I don't think I had a night where I slept straight through without being woken up by a binman at 3am or noisy people coming back to their hotels. Our window was also broken the first night which meant the noise was awful but the staff did fix it straight away the next day so I have no complaints with that.The hotel also sell tickets to most attractions for exactly the same price as the attractions themseleves which is handy and means no queuing!! The staff are friendly and are really helpful, they reccommended a boat trip that we didn't even know about and it was fantastic. We did all of the main attractions and walked to most of them. People are quick to tell you to get in a taxi to get everywhere when you can walk it in 10 minutes!! We walked to central park from the hotel and to John Lennon's old house but people couldn't understand why we walked the 20 minutes to get there... The only place we did get the underground to was to Ground Zero and you can walk from there to the Statue of Liberty dock in around ten minutes if that.When you get given the map everything seems really far away... but it's not. Save yourself some money and walk, it really doesn't take that long and there is so much traffic on the roads it's not worth getting in a taxi.The security over there is immense so be prepared to be prodded and poked! It's good considering everything that has happened and makes you think that Britain should be the same. For Top of the Rock, Empire and Statue of Liberty you get searched and go through metal detectors etc before you can go up, understandable and makes you feel more secure plus it doesn't actually take that long.Coming to and from the airport we booked with Supershuttle.com before we went. Excellent service, you can tip when you book (tipping is a huge thing over there and most places if you go out and eat will actually add their own tip on..then ask if you want to leave anymore!!). We shared the ride with about 4 other couples and it did take about an hour to get to the hotel but it gave us time to take in the sights and sounds so we didn't mind at all. Going home we were the last to get picked up and the ride took about 20 mins! It's cheaper than getting a taxi they have a flat rate of about $43 one way. One final thing... I have to reccommend Keen's steak house. It is literally round the block from the hotel and was the best meal I've had!! It was expensive but well worth it. Don't go around 5/6pm though all the businessmen go there for their dinner and it gets stupidly busy. We went on a Sunday and it was quiet. Lovely place, excellent staff and fab food.	
Jun 23 2008 	A good place to stay at	I booked over hotels.com and stayed there for two nights.Location: Very close to Penn Station (less than 5 minutes walk). Penn Station is easily accessible from JFK airport by train. Equally close to Greenwich Village and to Central Park south (10-15 minutes of walk). Safe area. Room: The room I stayed in was on 3rd floor. The windows faced another building. I could hardly see if it was sunny or not when I looked out the window. It was very dark inside during daytime. The bed was comfortable enough. The bathroom was clean. Front Desk: The front desk was helpful, but they did not seem friendly. I must say they were just doing their job, but not making an effort to make you feel good. They responded to my requests (password for internet, learning how to use the safe, etc.) very quickly.Internet: Free wireless internet. You need to get a password from the front desk.Overall it was a satisfying experience.	
Jun 19 2008 	5 Night stay at Metro	Booked the hotel through BA website when booking flights, cheapest room rate by far on the internet.Hotel in great location 2 mins from nearest metro station and walkable to most tourist sites although for 7.50 dollars gets you an all day metro pass.Great buffet continental style breakfast, bar on roof excellent with views of empire state building, good bedroom size and very clean. Only critism was asked for late checkout 15.00 not available but was allowed to keep room until 13.00 which is ok but nowhere to shower and change after that.Dont expect a room with a view.We were flying to/from JFK booked shuttle bus on BA site to get from and back to airport take my advice take the metro or a cab back to airport as jouney time back was well over 2 hours because there were several pick ups which seemed to take forever	
Jun 18 2008 	Great service and location!	Excellent stay at the Metro - ideal location for the first time visitor. Loved the roof top terrace and the view from our window of the Empire State. The photos on the hotel website do it justice.Breakfast ok considering included in price - lots of bagels, muffins, bread, cereal etc.Very hot weather when we were there and we had to have the air con on constantly which was a little noisy - but then so is NYC!Subway within very short distance. Macy's, Times Square, NY Public Library, Chrysler Building, Grand Central Station and obviously Empire State all within easy walking distance.Brendans Restaurant across the road a bit pricey compared to a lot of other places we ate but ok for first night if you're as tired as we were. Also recommend Playwrites Bar a couple of doors down, and the Heartlands Brewery at the Empire State Building if you want to sample some good local beers. If you feel like splashing out go to the Rainbow Grill in the Rockerfeller Centre for a champagne cocktail and relish the lovely evening views.	
Jun 18 2008 	fab hotel and staff	we have just come back from a stay at the metro hotel on west 35th street and i/we must say the hotel was definetly above any other hotel we have stayed in new york inthe last no of years very clean the rooms good size and daily cleaning you can have a great connental breakfast before you go in the mornings and tea and coffee anytime you like during the day or night  the staff are very helpfull and especialy eve and gorg and all the staff across the road from hotel is brendans for a meal good but a bit pricy also the irish pub just alongside the hotel the same but like all irish pubs food good but just be carefull of price  we could recomend this hotel to anyone who is looking for a very comfortable place that is well centered for both times square ten mins walk maceys and broadway on the door step so if you dont enjoy your stay here it is your fault not the hotel	
Jun 9 2008 	Hotel with a VIEW	Perfect location to anything that you would like to do in New York City. When we arried the staff was very friendly and provided us with subway and bus maps. We got to our room which wasn't the biggest room in the world, but who stays in there room in New York?? I looked out the window and we had an amazing view of the Empire State Building.The bar was on the roof and you are definitely in the shadow of ESB.There is a subway terminal less than a block from the front doors and you are less than a block away from ESB and Macy's.Can't wait to come back to Hotel Metro, and maybe we will try the Asian Karoke bar out that is next door.	
Jun 8 2008 	Amazing stay in Hotel Metro	Stayed for 5 nights end of May/beginning of June. The only criticisms I can think of are that one of the lifts was out for one night, and the room was really noisy but street noise easily blocked out by air con fan. The hotel is amazing, lovely big rooms (superior) and even the mini doubles are big for NYC. The roof terrace has amazing views of Manhattan and the breakfasts are fantastic. After a long day sightseeing and a fab dinner it is wonderful to grab a free coffee from the lounge and head up to the roof terrace to see NYC by night. The hotel staff are great too, we called reception twice once where the safe was not working (our fault) and once to ask how to work the fan on the air con, both times the engineering guy was in our room within 5 minutes to help. The rooms are meticulously clean and the shower is great, wonderful water pressure, only thing missing is a bath.	
Jun 4 2008 	Location and um pillows!	Wonderful location (as many have said here) and only about a 20-25 minute haul from LaGuardia.We walked everywhere from here...all the way up 5th Ave over to central Park, down to the Village, Tribeca and Soho and Little Italy.The concierge service is tremendous. We were in town to see the Eagles at MSG and were ticketless for the Saturday show. Instead of paying upwards of a grand for good seast from a scalper, tthe concierge suggested we check out the main ticket booth about an hour prior to the show...we did and landed third-row seats on the floor...Joe Walsh never looked so good!Our room was fine and clean. The bathroom was very nice with a very large shower. They give you a very useful safe in the room.The bed was extremely comfortable and the pillows (yup!) were about the best I've slept on.Great staff. Very accomodating. The breakfast set-up goes above and beyond what you'd expect for a &quot;continental.&quot; I am not quite sure what folks, on here, are complaining about. This was the best continental spread I've ever had. Bagels, cereal, fresh fruit salad, coffee, toast, juice...I highly recommend the Metro. If you are susceptible to noise, ask for an interior room. We were 6th floor on the street-side and it gets a little raucous at times.Dave	
May 30 2008 	Right up my street...	We selected the Metro as it was offered with a really good rate from the BA website when booking flights for this, our third NYC trip + it had some really good reviews on here, and I have to say we would go back to the Metro again based on this visit.The location was great being so close to 34th St Subway, a block away from Macy's &amp; from ESB, and walking distance from Times Square etc.We really liked the rooftop bar, and the breakfast was just what we needed. (I can see how it could become congested for breakfast, but we had no problem finding a seat every morning)The room was fine, nothing special, but clean and well equipped (the iPod dock on the radio/alarm is a nice touch) The double shower was really nice!Our room was 'internal' so no view and rather dark, but nice and quiet. The rooms looking out onto 35th St looked much more bright and airy.The steak meal we had in the Metro Diner was excellent! The food we had across the road in Brendan's Bar and Grill was not!!Overall, we had a great stay in the Metro and I would recommend it to my friends/family.	
May 30 2008 	Great location excellent base to explore NYC!	The hotel is perfectly located and walkable to Times Square, MSG, the bus-tour departures, 5th Avenue and the Empire State Building. Its also on the direct subway line to Yankee Stadium! Despite all this its very quiet unlike most hotels in the area.The rooms are very clean and the bathrooms have great showers. The maid service is excellent..The roof top bar is a great place to start a night out, it overlooks the empire state building and is a very chilled out place, the only criticism of the hotel is that the breakfast was a little thin on choice (only bagels, muffins, yoghurts and cereals) but we werent complaining as it was included in the price.I would definately consider going back.	
May 29 2008 	OK stay at the Hotel Metro	We stayed at the Hotel Metro for 5 nights. The hotel was very clean and enjoyed the continental breakfasts. We had a large room facing the front of the hotel and we could see the ESB out of the window. We just had a shower - no bath but that was o.k. The rooms were cleaned to a high standard but the one problem we had with being on the front of the hotel was the noise. Luckily I took some ear plugs so was o.k. The Hotel was in easy walking distance to Times Square, the Flat Iron Building, Macys, Madison Square Gardens, Central Station and it was not too far to Central Park (we did it in about 25 minutes). The reception staff were always helpful but when we arrived we were told booking in was not until 4.00 p.m. so we had to go for a walk about until it was 4.00. I would stay at this hotel again but would ask for a room on the back of the hotel next time or take my ear plugs again!	
May 28 2008 	Strategic position in Manhattan	Good hotel in a strategic position. You can easily go to Penn station, Times square, Macy's, the Empire State building.Small rooms.	
May 27 2008 	perfect location and fab breakfast room	We stayed here 15/05/08- 22/05 This hotel had a brilliant location! there is a subway station just down the street along with macy's, the manhattan mall, herald square and the empire state in fact this hotel is in the middle of everything! the breakfast in the mornings was brilliant with a large lounge area and large selection of bagels, fruit, toast, cereal, juice, tea and coffee etcThe rooms were clean and the showers very spacious although our room (801) was very small and particuarly the bed was very small but the actual room was clean and tidy.We also went to the restaurant across from the hotel called brendans and had brilliantly cooked steaks	
May 26 2008 	Midtown	Hotel was lovely and very clean although if you are going for a view, perhaps another hotel would be in a better venue. Location is good for the Empire State Building and there is easy access to the subway (a must, just for the experience!!) and Penn station. Time square is not far, a nice 15minute walk taking you passed Bryant Park. An MP3 docking station was located within the room and although no tea/coffee making facilities within the rooms, there is 24hr facilities in the breakfast room which makes for a pleasent social gathering. Staff on the front desk were nothing but friendly and helpful. Although this is supposed to be a review of the hotel, I can't write a report without suggesting going on the 'world yacht cruise' from Pier 83, it was fantastic and had excellent views of manhatten by night as well as high quality food and service with a smile.	
May 24 2008 	Great spot in the middle of NYC	Just came back from NYC. Went for weekend with a friend (in her 50's) and my boyfriend (both in our early 30's). It was our 5th time in the Big Apple. Drove there and parked the car at a Parking lot in the same block of the Hotel Metro. We stayed for 2 nights in the hotel family suite. Great staff, friendly. Room is a double room with one shared bathroom. One room is smaller with a door for more privacy, nice queen size bed and tv, 2 windows, small desk. Second room is a very large one with 2 double beds, tv, with a small table and nice cozy chair in a corner, one window. Everything was very clean. The bathroom is decent size, well equipped but bath is old and not emptying very fast....that is the only thing we did not like. Wireless internet working great. The breakfast is included , very yummy and runs until 11ham wich is great for people who do not like to get up too early. The roof terrace is real nice, with amazing view of the Empire State Building, great place to relax after a long day walking around NYC. Even if you are in the middle of Manhattan, the rooms are fairly quiet(you can hear once in a while a louder street noise but nothing to wake you up from your sleep). The 3 of us would definitely go back, price is worth it (we paid total of 960$ for 2 nights taxes inc. (Saturday and Sunday)Plus 50$ for parking for 48hours.) You could sleep comfortably 4 people or even 3 couples if you don't mind sharing one bathroom and if the hotel rules let you do that...not sure. I am glad we stayed there, it is a great choice for people who do not mind a little less luxury and a little more room. Pictures from hotel website can be trusted.	
May 19 2008 	awful	So unlike most of these reviews my family and i did not have a nice stay at this hotel we only stayed one night,and thank god for that! we called the day before to see if we could have an early check in and they informed us that it would be ok. My daughter was graduating from college in the city at 6pm and we wanted time to get ready. we arrived at 12 and were told that our room would not be ready for another hour, so we did some shopping and came back in a hour then were told our room was still not ready so we proceeded to go get lunch becaseu we were told our room would defenitly be ready with in 15 min. when we returned with in an hour there was a new staff at the front desk that told us our room was still not ready, this women was so rude and arrogant that we just wanted to leave , but after waiting another 30 min we finally were put into our &quot;penthouse&quot; room where there were two bed that were small. we had five people that were staying over. when we called the front desk to ask for a cot we were informed that our penthouse suit was only for 2 people and that we were going to be charger 25$ extra a person. with that being said we thought that we could get a roll away bed, but no they had none! my daughters boyfriend had to end up sleeping on the ground. if this was not bad enough my daughter found dirty boxers under the bed!!!! i almost died when i saw this i was disgusted and mortified i am not one to complain about hotels and i am an easy going person along with my family but our stay here was just plan awful i would not go back and not recomend this hotel to anyone!!!!!!	
May 17 2008 	Great Hotel Great Location!	We just returned from our stay at the Hotel Metro, and were very pleased! We booked our room through Hotels.com, which usually gets you a smaller room with a double bed. However upon arrival, the friendly staff upgraded our room to the larger queen room in the back of the hotel, without us even asking! They were great at recommending restaurants and activities for our stay, and were overall very nice! The room was a good size, with good amenities within, and great toiletries. The bathroom is definitely on the small side, which made for interesting showers, as there really isn't anywhere to put your shampoo, conditioner, etc while in the shower! It wasn't a big problem though, as the rest of the room was just great. The breakfast is a major plus- it saved us a lot of money throughout our stay! There were yummy bagels, muffins, cinnamon toast, cereal, fruit, &amp; juice. The breakfast goes until 11am, which works out great for those late mornings after a long night exploring! The rooftop deck offers a great view of the Empire State Building, which is a must-see. Another plus is the great location. We stayed here based off everyone's reviews about the great location, and were definitely pleased! There are subways literally steps away, which works out great. Macy's is very close, and the ESB is just around the corner! The pizza place on the corner like the other reviewer mentioned is a great place for a slice of pizza! The Hotel is on 35th st between 5th and 6th avenues, which makes it a little less loud than being, say, in times square, but offers enough traffic so you can easily catch a cab during the day. Overall, the location is definitely a major advantage, with it being close enough to everything you need and easy to navigate from! We really enjoyed our stay at the Hotel Metro, and as a first-time visitor to New York City, found the staff to be very helpful, and would highly recommend it!	
May 17 2008 	Excellent	Excellent place to stay. The hotel was very clean and comfortable. The rooms were spacious and clean. The front desk staff was very helpful. It was in an excellent location with a subway just down the street and a short walk to any shopping. I would stay here again with no question. The breakfast had everything you needed and places to eat was very close. This would be my hotel of choice anytime. I am a very picky person and this was a no brainer. The rooftop view of the Empire State Building was beautiful.	
May 16 2008 	Shhh don't tell anyone how good this is we'll never get back in!!!	Apparently, this hotel used to be a bit tacky and run down. Well, evidently they have undergone some fairly recent renos, because this turned out to be a fantastic little find; a real gem of a hotel. You can’t beat the location, 35th and 6th, a subway stop right at the end of the street, walking distance to much, a block away from the Empire State Bldg., and only really ever a 10-15 minute cab or subway ride to anywhere else. We loved it!We had a family of 4 in one of their family rooms. We booked online direct with them. My sister had a separate room; she booked through Expedia. The “double” room she got is not advertised on the Hotel’s own site; those rooms are just a bit smaller and they reserve those for companies like Expedia to use. The front desk staff and doorman are all great and helpful; evidently there for a while, and when a hotel in NYC can keep its staff loyal like that, it tells me something. All the room cleaning staff were wearing back supports to protect them; that tells me the hotel cares enough to ensure their on the job safety.Our room, 902, was toward the back of the hotel, which is good, because it was very quiet. My sister’s original room, 203, was a the top of the stairs from the lobby. The first night, she got no sleep due to the noise level; the sound really carries up from the lobby, so if you’re a light sleeper, pass on that room. There’s also a place under construction right next door, and they have an overnight shift that is working it that also contributed to the noise factor. However, the next day, the hotel very graciously, and without any fuss, agreed to move my sister. She ended up in 712, a slightly larger accommodation, and it was much better. Note that all the -08 rooms are immediately across from the elevator doors, so light sleepers will hear that traffic all night.The family room is a 3 bed accommodation, one master queen bedroom, the other 2 double beds in an open room. It really does look just like the pictures on the web. Both rooms had TVs, good sized single bathroom and shower, and a separate 2nd sink outside. In room mini bar, but read the rules about that carefully. Nice selection of amenities in the bathroom. The carpets are evidently fairly new. The towels were all close to “spa” quality; not one worn towel in the bunch for 5 days. They have a lounge off the lobby which is where you can get all day coffee/tea, and where brekkie is served. We were actually quite surprised by the quality and quantity of the breakfast foods. Fresh bagels and huge muffins, fresh fruit, fruit salad, yogurts, all manner of toasts, including pop tarts (!) and cereal. It tends to get a bit crowded in there around 8:30 but by 9:00, it opens up again. TVs and complimentary newspapers throughout.Next to the location, the best part of the Hotel Metro was the price. We had originally made our reservation at the Affinia Manhattan, because it was often recommended on TA, but they were charging $700+ for their 2 bedroom suite, which includes a kitchenette, but no breakfast, and it was right near the train station. Metro charged $423, including breakfast, and it’s a 4 minute walk to Macy’s. The room was huge, and all in all we were totally delighted with the place. We'd go back in a heartbeat!	
May 15 2008 	Spot On	The hotel was lovely, the staff would do anything for you to make your stay enjoyable. They advise you on the top places to visit and eat. You could not fault the breakfast, there was fresh fruit, bread,buns, iced buns, cakes, cereal, yogurt, diced fruit, jam,marmalade,cheese,tea,coffee,pure orange juice,pure apple juice,milk,porridge and you could eat as much as you want in the dinning room or take up to your room. The rooms all had hair-dryers, iron + ironing boardsin as well as a safe + minibar,but try not using the mini bar, we went to the corner shop for the beer. The roof top was lovely sitting having a beer looking at the empirestate building.The only thing you need is a american travel plug whic we bought there + was @ £12.	
May 6 2008 	Awesome location!	I have to start with location. This is the best hotel i've ever seen with location and i've been in some good ones. Its a literal stonesthrow from Macys and a short walk from most places including the Empire State Building which we had a great view of from our room.The rooftop also gives great views but in December is slightly too cold to hang about in! The rooms are quite small but very comfortable and well kept, plus if you shop around for hotels you'll find most New York hotels have the same thing &quot;small rooms&quot; because the space is such a premium.Although expensive in most cities the Metro is very reasonable considering its NY and its got a great location.The staff were unobtrusive but helpful when asked.NB: Should you stay here, head out the front door, turn right, cross the road and call into the pizza place on the corner for a slice and a coke. The pizza is fantastic!	
Apr 21 2008 	Fantastic	This was everything it seemed on both the web and tripadvisor comments.The view of the empire state building was stunning and you can look down and see the hotel from the top of the building too! Easy shopping in macys from there and walkable to Penn station. In fact walkable to most key sites - or quick metro/bus/taxi away.Excellent muffins!Only criticism would be size of bathroom which was small for the quality of room which we had.	
Apr 16 2008	Perfect Central Location	We've just arrived back from a great long weekend in Manhatten, staying at the Hotel Metro and wanted to share our experience with others thinking of this Hotel as an option.We selected the Metro because of its apparent central position, and we weren't disappointed. Flying Continental into Newark, we'd picked a direct flight out, returning to Edinburgh via Birmingham so we could steer clear of the mess at Heathrow. Continental looked after us pretty well. The flight took 7 and a half hours, departing and arriving on time. Their choice of in-flight entertainment was very impressive and made the journey more bearable. Arriving at Newark, we took the New Jersey Transit train from Newark into New York Penn Station, only three blocks from the Metro. Two adult and one child on the train cost only $33 each way. Cheaper than a cab, and we were at Penn Station 40 minutes after boarding the train. The Metro sits in a narrow street only a block away from both the Empire State Building (left) and Macy's (right), so its already a good starting point for sightseeing. It isn't a big hotel but we found it very comfortable for our needs. Listen, you don't visit New York City to sit around a hotel room all day ! ! ! Get out there and enjoy the place ! Our party of three had booked into a Double Double room. We expected abit of a squeeze for 4 days. When we arrived we were delighted to find that they'd allocated us something akin to a small suite - one main bedroom with two double beds, one separate room with another double bed, and a shower room. Power shower would be an understatement ! Oh, and my 'other half' complained that the hairdryer lacked any power to actually dry her hair. CRISIS ! There was a well-stocked fridge with plenty of choice although the prices were typical hotel prices, with a curious warning that &quot;any item removed for more than 20 seconds would be billed to you...&quot; HOW WOULD THEY KNOW??? Was Big Brother watching???Heeding warnings we'd read about street noise, our 3rd floor room proved low enough to benefit from the full flavour of the neighbouring Irish Bars, and the &quot;24hr horn-honking&quot; that is the staple diet of US drivers. But it only disturbed us on the first night. Every other night, we were so tired from walking and the fresh air, that we slept like babies. Breakfast was included in our price but to be honest, was our only disappointment. You have to get in and out early to beat the crush. The layout of the continental style servery is poor as it occupies a corner of the dining room. This means that if its busy, you get trapped by the mass waiting behind you. There's no 'flow'. There's also a lack of seating so that on two of our four mornings, I had to stand beside the table as my family ate, failing miserably in my attempt to eat a large bagel gracefully ! !Service is very good. Staff are polite, helpful and attentive without being in your face. For example - When my partner asked ME to ask the lone female on reception where we could find &quot;Hooters&quot; (she wanted one of their T-Shirts !) the receptionist didn't even bat an eye as she checked the internet details, called them to check their address, then gave me written details to locate them !Incidentally, I didn't taste any of the Hooters fried chicken I ordered - I was too busy ogling the waitress ! !The main bus tour companies operate past the Empire State, so arranging and buying tickets was easy and well worth the cost. We could get on or off anywhere on their route at any time from 9am til 6pm and their tour guides were both informative and amusing. For us, it was all about location though. Times Square is 10 minutes walk away from the Metro. Penn Station is also home to Madison Square Garden - again a 10 minute walk. The Empire State sits on 5th Avenue, renowned for its shopping. And Broadway is at the end of the street so the theatres begin 5 minutes walk away.Would we go back? In a heartbeat. Would we stay at the Metro again? Definitely.Would we take the family again? Absolutely... not ! Next time, we're going by ourselves so that we can enjoy more of the evening entertainment and we won't have to visit M&amp;M world again ! ! !One word of warning. Prepare to leave your manners and courtesy behind you. This is a big city. It seemed like everyone was fixated on where they were going, and anything between them and their destination was game for being barged out of the way, without apolgy or even acknowledgment. It won't spoil your enjoyment of this fabulous place though. Enjoy.	
Apr 12 2008 	Great Location!	I could hardly fault the Hotel Metro!Location couldn't be better: a subway at the end of the street along with Macy's, 15 min walk from Times Square, half a block from the ESB!Staff was really nice, room was big enough and even had a view on the ESB. Breakfast was more than filling and never crowded.Tiny little negative point: the air con was very noisy in our bedroom, but the airline earplugs solved the problem!	
Apr 12 2008 	What can you add!!!	We stayed at the Metro during the first week of April, taking a vacation and a shopping trip for the &quot;better half&quot;. Well, there can not be a lot to add to all the previously positive comments, only to say that I agree totally and the hotel is a great find for NY. For what you pay and what you get, with the room, hotel and staff, it is exceptional value and we will definitely stay there again.The hotel is located in a great position between 5th and 6th Avenue and is easy to access from Newark Airport. We caught the train from the airport to NY Penn, which took about 30 minutes and cost $15, then walked for 10 minutes to the hotel from the station. The walk is easy and on the way you pass the shops and Madison Square Gardens, if it’s a sunny day you also get a great initial view of the ESB! The hotel is five minutes from Macy's one way and five minutes from the shops of 5th Avenue the other. It takes about 10 - 15 minutes to walk to Times Square and subway access is just at the end of the street.While we were there we saw two shows on Broadway and purchased the tickets for $60 a piece from the last minute booth on 46th Street, just behind the Marriot off the Times Square area.I would also recommend the restaurant across the road from the Hotel, Brendan’s, as on the first night we walked for ages looking for a place to eat and ended back here. The atmosphere was good and so was the food and value. There is a great selection of fish and meat and the staff are really helpful. Try it; it is a good place for the first night, until you get your bearings.The Statton Island ferry was good too, and you get great views of DT Manhattan.If you do happen to go to Macey's get your discount card from the visitors centre on the ground floor mezzanine level, you will save 11% on most of your purchases and should provide a &quot;slight&quot; relief to the credit card!!Enjoy.	
Apr 11 2008	Great Location	It was our first trip to New York and we selected the Hotel Metro soley on the Tripadvisor reviews - and I'm glad to say it was exactly as described, i.e. good location, friendly/efficient staff and decent-sized, clean, rooms. The lounge with the free coffee is a nice touch - the only slight niggle we had was that in the morning this area is used for breakfast and it can get crowded and very, very hot. Having said that, we would certainly book in to the Metro on any future visits to New York.	
Apr 8 2008 	Hotel Metro a real gem in NY	Chose Hotel Metro thanks to reviewers on this website. Couldn't fault it at all. Staff extremely helpful. 2nd floor room at back meant it was really quiet and we could walk upstairs. Free internet access. Excellent huge muffins and bagels/cereals/yoghurt for complimentary breakfast and all day tea and coffee/hot water provided free. Superb location one block from Empire State Building and Macys...short walk to Times Square and Broadway....extremely good value for money (we booked through BA as thats who we flew into NY wih). Highly recommended. I travelled with my teenage son and we had a twin room with 2 big very comfy beds. Metro Grill attached to hotel serves superb steak and fries and cheesecake and you get 10% discount if staying in the hotel. We walked to Central Park and hired bikes for $20 for 2 hours and managed to cycle round the whole thing.	
Apr 7 2008 	Great experience overall	We stayed in the hotel at the end of February for a week and I have to say it's great! The reason I chose it was because of the reviews I'd read here- so I just wanted to add my compliments.Firstly, the best thing about this hotel is location, location, location. This was our first time in NYC, so we were really booking blind. It's within walking distance to most of the sights, and for those places a bit far away, there's a subway station less than a minute away. Macy's is a stone's throw away, and the Empire State Building is just around the corner- though you can see it from your room if you're feeling lazy!Most of the staff were lovely, and very helpful with booking tours and giving advice and directions.The breakfast is amazing- about 5 different types of bagels, breads, cheeses, fruit, cereal, muffins, juices, tea, coffee- it was really a great set up for the day. AND there's complimentary coffee and tea in the lobby throughout the day- fantastic!The rooms was lovely too, and really quite big for a standard room. And the safe was really big, our laptop fit in with plenty of room for money, jewellery etc. There's an ipod dock, which is great for listening to some tunes when you're recovering from the days trekking! The shower was gorgeous too- really powerful!And there's plenty of shelf room in the bathroom, which is important for when you're trying to pamper or do make-up! I didn't bother bringing my hairdryer because of space, but the one in the hotel was fine- the battery didn't power out once while I was using it, which can be really annoying in hotels.There was a slight problem with the restaurant- myself and my boyfriend ate there about an hour before they were due to close on a Wednesday, and the food looked like it was thrown together. The waiter was very friendly, but it looked, and tasted, like the food was just taken out of the fridge and popped into the microwave. But I think this business is separate to the hotel- just thought I'd mention it.Basically, I would most definitely book this hotel- it's a real gem. I've compared experiences with other people, and it really seems that for the price we paid, we got so many extras	
Apr 5 2008 	Great find	Having read previous reviews of this hotel decided to book. Given the price was less than most others considered, did not have great expectations. This hotel is a great find in a wonderful location - one block from Macy's, walking distance to the Theatre District, close to the subway for shopping uptown or in Soho. Staff were friendly, rooms of very adequate size, and complimentary breakfast a welcome addition. Would recommend to others and will stay here on our next visit to NYC.	
Apr 4 2008 	Staff was really helpful - nice continental breakfast	From the moment we arrived the staff seemed happy to see us arrive (verses thinking we are another pain headed their way), treated us as guests and was helpful throughout the entire trip with directions, theater tickets, transportation, etc. This was my youngests son's first trip to the Big Apple and he thought it was great. Thanks for making his first trip so memorable.....we'll be back.The location was also nice and centrally located in Mid-Town.Dan H - Apple Valley MN	
Mar 30 2008 	Great Place to Stay	All the positives written about Hotel Metro in the previous postings are correct. With friendly helpful staff, great access to the subway, great shopping on your doorstep, tasty pizza at the end of the street, and a comfortable clean room there is little else that you would need!! Our room was facing the street and therefore we experienced a reasonable level of street noise, but that is NYC and we got used to it quickly.Yes the room was small, but it was comfortable and we didn't spend a lot of time in there anyway. The breakfast room with 24hr coffee was great albeit a little crowded in the morning! We thoroughly enjoyed our stay and will be back when next in New York. I would recomend this Hotel to anyone	
Mar 29 2008	Good Location Small Rooms	This reminded me of several independent hotels I've stayed at in Europe. Small rooms, small bathrooms, small elevators...not at all like your American mega-chains. Nothing special about the rooms at all, just your basic and in need of major refurbishing. TV's were very old, with two remotes for different control functions. The only thing in the room I liked was the shower. Front desk was very friendly and accomodating. Next door is a small pizza shop, the Metro Grill for standard American fare (great deserts), two Irish pubs and there are a couple Korean/Asian restaurants on the same side of the street. If you are going to shop in the area--be prepared for large crowds and extremely messing/unorganized racks!! You can tell a million people pass through these shops a day. It was hard to find something that wasn't on the right rack or on the floor.	
Mar 28 2008 	Not new but nice	We stayed from Wednesday to Sunday. The location of the hotel was excellent (one block from Empire State Building and one block from Macy's). Friendly staff, espescially the bell boy. Free coffe and tea 24 hour's and a complimentary continental breakfast was nice. Breakfast room not the best because it partially was set up with sofa's and coffe tables, but remember there are two rooms for eating breakfast. The second one is much better. Room was clean, but not european standard in size. Safe in room was big enough. I could put my laptop in side it. We used the penthouse terrace for the smoker's in the party, much better than standing on the sidewalk. We did not test the fitness room and did'nt see anybody else there either. Location close to main sight's and bus stop for tourist buses. Wery close to the subway. We liked it and would probably recomend it to friends even though we had wanted a bigger room. The hotel will probably need a &quot;brush up&quot; of the room's in the near future, but still no problem's with the two rooms we had booked. Try to get a room on the back side and avoid the noice from the street.	
Mar 27 2008 	Hotel Metro - a hidden gem	Everything said about this hotel (positive) is true. Great Midtown location with a subway at the end of the street with trains direct to Battery Park (Statue of Liberty), posh shops (5th Avenue) and Central Park West. Macys, Empire State Building, Times Square, within walking distance.Good shopping if you are prepared to look and with the largest department store in the world on your doorstep no excuse not to spend a few dollars. Great places to eat out and we would highly recommend the Oyster Bar at Grand Central Terminal and for a real romantic treat try the World Yacht fine dining cruise around Manhatten Bay at night (WOW).We weren't so keen on the Metro Bar and Grill attached to the hotel as it was more of a bar than a place to eat.We stayed in a Queens size bedroom and having stayed in plenty of hotels right up to 5 star would say that based on value for money it is faultless. Yes, the room was small but had a very comfortable bed, nice sized wardrobe/closet, safe for laptop or small bag and a functional bathroom with great power shower. NYC is not a place to go if you are going to spend any length of time in your room, it is simply a place to sleep. We had a room at the front overlooking 35th Street and it WAS noisy but you get used to it. NYC really is a city that never sleeps but that made us get up and out early every day.Breakfasts are filling and the coffee/tea is a really welcome benefit of staying at the Hotel Metro.Overall NYC is the most amazing city we have ever visited, fast, noisy, bustling but enjoyable and absolutely revistable. The Hotel Metro as a base camp is a great, great hotel for all the above reasons and we would DEFINITELY stay there again.We really hope this helps as the previous reviews helped us make the right decision.	
