	Trendy modern  not for all tastes	This hotel is best for a romantic getaway type of deal. I'd give this 4 stars were it not for the loud cracking noise from the heating system. The regular rate is $200+ for a petite, which is overpriced unless you can get an upgrade to a queen or larger. If you are into sleek, dark, masculine, and more modern/trendy style it's for you. If you're into classic, warmth, coziness, than you should try something else. It has an excellent location. I got a special deal through hotels.com at the last minute. They upgraded me to a queen room with a terrace, which was awesome, and probably worth the money (~$160). They also let me check in 2 hours early. The look is very dark, masculine, and romantic. Television behind the mirror, nice entertainment system. Nice bath products, and a sexy bathroom set up (dark walls, mirrored walls, etc.) It would not suit all people's tastes, it's very modern and &quot;cold&quot;. The staff is very helpful, but not that friendly. There were loud cracking/drilling noises that I was told was due to the heating generator. I had to turn off the heat to get rid of the noise. I ordered room service for breakfast and it was neither generous nor that tasty. They give you cookies, which is nice. Overall, I'd say good for the younger, trendy set that's looking for a weekend away together. I liked the bathroom. Would not pay more than $200 to stay here - for that price, you could find something nicer.	
Mar 12 2006	Great place to stay in the middle of everything!	Five (40 something) adults stayed in the family suite for one night. There was a queen and daybed in one room and a king and daybed in the other room. Each room had a very nice shower or combo bath/shower. One bathroom had a very large shower and a bidet in the bathroom. Very nice decor. The beds were extremely comfortable with featherbed toppers. Guest robes were provided, full size hair dryer, Hermes toiletries and even a little jar of cotton balls and cotton swabs. The 2 rooms became a suite by opening room doors and closing a common door in the hallway. The rooms were very small. Just walking room around the beds, but you're not going to New York to hang out in the room all day. The staff was extremely attentive and responded immediately to requests. We got a great price, $399, through express-res. The rooms were very clean and in good shape. Nice sound system in the room with a dvd player and complementary movies. TV was kind of odd, as it was placed behind the mirror. There was some glare when the lights were on in the room but it was still pretty viewable. Overall we were very satisfied and would definitely stay again!	
Mar 4 2006 	Tiny lovely jewel with amazing service	I usually stay higher up in midtown but due to the crazy prices in NY these days, booked at the City Club Hotel for $255/night on quikbook. This price point is very good value for what you get considering other available rates at other hotels. The most remarkably good point was the service. The bell- and doormen were all young-ish men (not so much the groomed and plucked Calvin Klein ad types with attitude that you find at, say, the Mondrian in LA, but more Gap-ad types -- but with none of the immaturity) and I was floored and amazed at how professional and helpful they all were. How have they made people this young so professional?? I would really like to know. They grabbed a cab for me and pre-loaded my luggage in the cab without my having to ask for assistance. They were energetic and &quot;hop-to-it,&quot; an unusual quality in a city and profession where it's easy to present an exhausted or weary demeanor. The front desk is also run by a very professional gentleman. When I checked in the night staff presented me with an Internet password automatically.Of course, I started off with a good experience, because I was upgraded to a large king room from a queen deluxe. I would pay between $250 to $300 for a room of this type, but probably not above $300. The Hermes amenities are delectable and really set the City Club apart from other hotels. I was at first a little put off by the thick plastic sheet that serves as a shower curtain, but subsequently realized how functional it is -- it really serves to keep steam in the tub area and creates a lovely little sauna effect. I thought that was extremely well-considered and designed. The bathroom in the king room is quite large. Free internet is lovely. I thought the projection TV behind the 2 way mirror was also a thoughtfully designed space saving touch (although I couldn't get the thing to work after my gracious bellman Paul demo'd it for me). True that the fake cork stick-um tiles are a bit off putting and the closet is miniature, even in the king room. The elevator smelled positively rank/dank. But for $250-$300/night for this size of room, I had a lovely experience and would definitely return.	
Mar 3 2006 	Tiniest hotel room I've ever seen...seriously	This was the smallest hotel room I've ever seen in the U.S. Stayed there on business last fall and wasn't really impressed for the price.The only upside was the in-room snacks - Dean &amp; Deluca.	
Feb 9 2006	Mediorcre at best	Quality and room size should be better for the price.	
Feb 3 2006	pretty good!	we (3 people) stayed in one of their duplex suites. the suites were gorgeous....2 floors, with a living room and 1/2 bath downstairs, and a bedroom/loft with a great big full bathroom on the 2nd floor. the only problem: temperature control. on the lower level of the duplex, the temperature was fine, and that's where the thermostat was. upstairs, though, it was sweltering hot, like a sauna, even though the balcony window was open and the 40 degree outside air was blowing in. the upstairs doesn't have its own temperature control, so the bathroom and the bedroom was just unbearably hot. for $1000 a night (with tax, etc.), i'd like at least the temperature in the room to be bearable. the minibar was well stocked, and the toiletries were nice, but the temperature control wasn't. and, we were a bit loud, and had complaints from the neighboring rooms....but, we could hear them too and we didn't complain. the walls are a bit thin (or, at least, not thick enough...you'd think there'd be better sound proofing). the room service was adequate, though over-priced. staff was friendly and helpful. don't think i'd stay again. for the price, i'd rather get two big rooms across the street at the royalton.	
Jan 4 2006	NOT BAD...BUT A BIT OVERRATED	Just returned from three nights at the City Club. I find it difficult to believe that this hotel is ranked #74 on tripadvisor.com out of over 300 hotels in Manhattan. I guess there are City Club moles on this site voting for their hotel.The bathroom was a good size with wall to wall brown marble. Hermes bath products are a cheap grade found in most Marriott Courtyards. The shower was large enough for a small orgy but was the same level as the bathroom floor so there was water spillage outside the shower and into the room.There are touches throughout the hotel to evoke a boutique and trendy feel, however most of it was done on the cheap. Overall, it feels like an old building with a dimestore makeover. Laminated cork floors show wear after only four years, chipped paint, pealing wallpaper, dim lighting to hide the flaws. Mattresses feel old but are covered with a nice featherbed and decent linens.Staff was good at providing restaurant and nightlife recommendations and went out of their way to do so. Midtown Location is good on W. 44th street between 5th and 6th Aves. I'm not an expert on NYC hotels but $350+/night for this hotel outside of New Years is not a good value when you have the Regency and SOHO Grand available for $30-$50 more per night.	
Dec 30 2005	Terrible Service !!!	Just back from 4 days at the City Club. First off, I must admit that I am terribly fussy, so you may wish to consider that when reading this review. I traveled extensively and have been to New York several times. I love the feel of a smaller property and realize the amenities will not be as extensive as in a larger property i.e. swimming pool, spa, etc.Had a king room with a bath. Nice decor, the daybed is a really nice touch. The room was cozy, which is typical of New York. Not a great deal of room to maneuver, which I suppose is the product of the king size bed. Storage is at a minimum, which came into play with the winter clothing. Room is nicely equipped; •dvd/cd player, •IPOD audio system (at least in the room I was in), •large bathroom. I'd give the &quot;Television cleverly hidden behind mirrors&quot; a miss if possible because the glare from the lamps makes viewing virtually impossible. Like noted in other reviews, the common areas and rooms are looking a little worn;•cork flooring with big gouges from dropped items, •tiles peeling off ceiling and elevator,•wall paper peeling off the walls These are minor irritations at best, but they do diminish the overall look and feel of the property.However, the real problem was the service. Staff seemed to be far more interested in posing rather than being of any real service. Upon check in, there was no one to greet us, and no bellman to be found. Taxi driver helped with our luggage in the rain. Front desk really couldn't be bothered explaining the features of the property. Limited knowledge of restaurants in the city, always seemed the person I spoke to had to &quot;ask someone else&quot; for information.Best of all, on our final day when we were trying to flag a taxi down, which was extremely difficult because of the rain. Finally the doorman from the hotel next door grabbed an umbrella and helped us, while our bellman (no real doorman at the City Club) stood inside and watched the whole thing ! Guess he didn't feel the need to get his ultra cool City Club toque wet.Overall the hotel is okay; great location, and the restaurant, DB Bistro Moderne is excellent. Generally speaking what usually sets smaller properties apart is the personalized service, and it just wasn't there. This is made all too glaringly obvious because there are essentially 4 other hotels right next door. Next time, I'll give the Sofitel a try !	
Dec 19 2005	Great find	I stayed with my girlfriend Dec 15-18 in this excellent little hotel. I stumbled onto this hotel while reviewing my options with better hotels or so I thought. Apparently every hotel in New York has raised its nightly prices and I wasn't about to pay 500 plus a night at The Drake where I normally stay for in the 200 reigion. We go out often when we stay here and I wanted to stay closer to the meat packing district (MPD). I don't mind paying top dollar for a good hotel but in New York if you haven't been to the hotel your staying in odds are high pricing doesn't equal high quality. This hotel just happened to appear on my search for hotels in the West Village/MPD and I'm glad it did. It's located in the thearter district between Time square and Fifth Ave., but you don't get heavy pedestrian traffic from either. The prior reivews were on the money. The hotel is clean, staff friendly and rooms were comfortable. Luxe Queen was great for 295/night. Only inconvinience was the closet space but we worked around that. The restaurant down stairs DB is excellent for the pallet. I'll would stay here again but since we always eat and handout at the village/Tribeca/MPD area, I am more inclined to stay at a closer hotel like the Maritime. Over all good times, good times.	
Dec 19 2005	A Real Dump	This hotel bills itself as a timelessly elegant boutique hotel. In reality, it is a poorly-cared for badly maintained property.NEGATIVES:- The hotel has a very &quot;cheap&quot; feel to it.- Ridiculously small rooms, even by New York standards.- Dirty, stained carpeting.- Lumpy bed which felt 20 years old.- &quot;Cork&quot; walls and flooring, which are actually rubber stick-on &quot;tiles&quot; -- same as you buy at hime depot for $1.99. I saw these tiles peeling off in my room and elsewhere in the hotel.- View from room was basically an alley/brick wall.- No central a/c. Lousey, noisey window unit hanging out over dirty alley. - Halls dark and unfinished areas covered by black hanging cloth...Tries to evoke a tendy look, but actually looks more like what you would see in a high school gym for a Halloween carnival.- Price- $450+ per night. Just outrageous for this crappy little hotel, with small dank rooms.- Had to stand on bed to get into &quot;closet&quot;.POSITIVES: (Not many)- Decent bathroom with good Hermes toiletries.- Location- Free internet access.- Good on-site restaurant.	
Nov 21 2005	Early check in - late check out	Fantastic,Loved this hotel. More inclined to stay in Greenwich, Soho etc when in New York but needed to be midtown for a night last week.They were extremely helpful - allowing me to check in very early and allowing late checkout next day. Hotel was gorgeous, room spacious (we were upgraded from queen to king size). Beautiful large bath room with window. Very large, comfortable bed.Booked on lastminute for a reasonable enough price by New york standards.Front of house were extremely professional and helpful	
Nov 17 2005	Petite well-designed room	I reserved a &quot;Petite one full-bed room&quot; and so was prepared for a &quot;petite&quot; room with a brick wall view, which is what I got. There truly was just room for a double bed and one bed-side table. (Deep, built-in shelves gave you some storage space and also housed TV and CD player.) That being said, I loved the crisp modern design, and perversely, enjoyed the cosiness of the small but well-designed space. With the tans and beiges, as well as dark cork floors and dark brown marble in the bathroom, I felt like I was staying in a little chocolate box. The Italian sheets were THE most comfortable I have ever encountered in a hotel. The bathroom, too, was small, but had a nice marble shower (my partner admired a large fossilized shell) and Hermes toiletries. I think the lack of natural light would be a negative on a long stay, but for one night it was negligible. I did get a laugh out of seeing the New York Post outside my door in the morning. The lobby staff was friendly and unpretentious. I would have completely balked at the price last year, but that's what the prices are in NY right now. The block is nice and the location is very convenient to subways and most parts of the city.	
Nov 10 2005	Great Stay	Had a great experience here. We came in on the red-eye and couldn't check in right away but they stored our bags for us and when we came back at 11:00am, they had a king room for us (upgraded from queen room). It had a lovely full bath and the room was just right. The bed was completely comfortable with great pillows and the room was very nice and clean. Even had turn down service both nights. Would highly recommend this hotel!	
Nov 4 2005	Great Hotel	I was so impressed with the city club hotel, I plan on staying there everytime I return to NYC. The rooms are beautiful. The location is perfect and the staff is very accomadating. The new Ipod docking station/alarm clock was also a nice touch so I can listen to all my music through the high end speakers the hotel provides. I would highly reccomend the city club hotel to all NYC travelers	
Sep 14 2005	okay but some problems	We were not impressed with the hotel. Common areas needed to be refreshed. The entrance to the hotel and the hallways hold an unpleasant scent from the street where there is currently a good deal of construction which creates dirt, grime and odors.I would imagine this hotel was quite nice when Mr. Klein opened it in 2001.We wish we had visited when it was &quot;new&quot;.Our room on the second floor was tiny but clean. The decor is tailored and chic, however there is evidence of wear and tear which should be addressed. We would not go back.	
Aug 31 2005	Ok-not great	Location is good if you want midtown west but busy block &amp; construction across street. King rooms facing front are decent size but there are no dressers and very tiny closets. Linens ok but bed uncomfortable. Good shower &amp; toiletries but smallish bathroom, dark walls &amp; floor so lighting not great for women &amp; no tub. Hotel itself small &amp; quiet. No lobby to speak of so no where to sit or have guests sit if they arewaiting for you. Front desk personnel so-so. Tried to charge us more money for 3rd night of stay than contracted for – luckily we had our confirmation from booking service.Was initially put in room on floor 2 – asked for room on higher floor – was told there were none. Room on 2nd floor had about 2 inches of hanging closet space &amp; it was front to back not side to side &amp; bar was over mini-fridge so no room to hang anything long. Also no drawers or dresser in room.Told front desk this was ridiculous – that we were 2 people in NYC for 4 days &amp; needed more space to unpack &amp; put away our clothes. We were going to go to another hotel as this was completely unacceptable.Miraculously a room on Floor 5 became available and it had a decent size closet with a built in dresser and some shelves which made it manageable.Allowed early check-in/late check-out which was nice. Usually stay at The Benjamin but wanted to be more &quot;West&quot; this trip. Will go back to The Benjamin next visit.	
Jun 1 2005	An amazing chic hotel.	Just returned from a 4 night stay at the City Club Hotel and I don't have a bad word to say about it .... in fact it was THE best hotel I have ever had the pleasure of staying in. The entire place is the ultimate in chic and trendy living from the gorgeous rooms to the discreat entrance &amp; lobby and last but not least the very helpful and pleasent staff. The location of the hotel is fab if you are looking for a central base in NYC. Times Square is only minutes away (if you like that sort of thing) but best of all, 5th Ave is even closer. The hotel staff were great and recommended fab bars/clubs in the trendy Meatpacking District and Soho .... just the kind of place me and my boyfriend were looking for. All the little extra's really make you feel like a star from the Hemes bath products, City Club umbrellas in your room to the daily weather forecasts and chocolates that are delivered to your room every evening. Not forgetting the cool TV behind the miror idea. The rooms were even better than I imagined. We booked a king size delux room and we certainly weren't disappointed. Plenty room for 2 people with a large closet and gorgeous sitting area. All done in the chic and trendy feel of the hotel. Surprisingly a chic and trendy room also meant comfortable .... uncommon in most modern hotels. The bath rooms where just incredible and huge with plenty of lighting and mirrors. Me and my boyfriend absolutly loved the City Club hotel and will certainly be returning on our next visit to NYC. Choose this hotel and you won't be disappointed.	
May 27 2005	An amazing trip at The City Club.	Recently a friend and I stayed at the City Club Hotel on our first trip to the Big Apple. We had a wonderful time. The staff was very knowlegable about shows,shopping and restaraunts. They were more then happy to make recommendations and make us reservations. It's in a great midtown location so we were right in the mix of everything going on in New York City. We loved the entire decor of the hotel and it's trendy chic vibe. The room had Hermes bath products, down feather bedding and had more then adequate space for us two girls with a lot of luggage and not to mention the gorgeous bathroom (loved the bathtub) :)The entire hotel staff went out of there way to make sure we always had what we needed and put in that extra effort to make our stay that much better. Loved the hotel, loved the staff and loved the whole trip. We will definetly be visiting NYC again soon and reserving a room at the City Club.	
May 9 2005	Not much to love at City Club	While the location of the hotel is great, you may want to stay outside your room the entire stay. While the staff is courteous and helpful they are also making up for what's lacking at this hotel - extremely small rooms (like the Hudson), stained bedspreads, loose tiles on the bathroom floor, and an air conditioner that ran full blast but had no effect despite an unusually cool May weekend.Many corners seem to have been cut in making this place sleek and chic but no corners were cut in the charge for rooms. If you're looking for a cool, funky hotel with a great lobby or lounge, this place isn't it. Try the W. But do try DB Moderne which is the restaurant connected to City Club. A great scene with great food although it too carries over the &quot;small&quot; theme.	
Apr 28 2005 	Smallest room for the money I have ever stayed in.	Small room, nice bathroom. It was a warm week in NY and the temperature in the room was never under 78 degrees with the air on full blast.I guess there are larger rooms based on the glowing reports in the other reviews, but for $275.00 a night I've done much better elsewhere -- and for much less. Nice view of an alley with a large fan that ran all night.Next time in New York I will go back to the W and get twice the room for less money.	
Apr 1 2005 	Good Location OverPriced Room	Great location. Uneven room. For the price, one would be better off staying elsewhere. Strange combination of luxury (frette bed linens and bathrobes, marble shower with Hermes products) and shabby (tiny standard room, old bed blanket, stains on carpet, broken A/C unit, broken shower handle, plywood painted table, creaky scary elevator.)	
Mar 17 2005 	Stylish but no comfort	This is a ridiculous hotel. Decorated with superficial style that is uncomfortable on almost every level. The hotel seems luxurious in photos, but for the same money, you can do better anywhere in the city. The deluxe room is a good size, but it has no dresser, no drawers, and a closet that is so small that clothes hang on the mini-bar and get crushed when the door is closed. Be prepared to live out of your suitcase. The hotel is an old, classic building with the original windows, which is a nice touch until the cold winds blow and the garbage trucks arrive in the middle of the night. There are no curtains and the painted plywood shutters do nothing for these problems, and also don’t allow for any privacy during the day without losing all daylight. The room was kept clean, but the carpet and bedspread had many stains, which made the place feel dirty. Even the hotel staff -- friendly and eager to help -- admitted that they hear complaints constantly. I can’t imagine that anyone stays at this hotel a second time.	
Jan 1 2005	You could do far better...	OK, the location a block or two from Times Square is excellent, but I think that this is all the hotel has going for it.On this trip, I was travelling with my son. The rooms are just not big enough for two people and as mentioned by a previous reviewer, the storage and closet space is minimal, so if you are staying for more than a weekend expect to be living out of your suitcase.Bring a flashlight - the rooms and corridors are dimly lit, an effort to be trendy I think.Don't expect soft drinks from the mini bar to be free as mentioned on their website - they are most certainly not.Don't bother with the DB Burger at the ajoining restaurant, its a waste of $30.Good points are location, free dvds and er, that's about it.	
Oct 25 2004	Unexciting 	I am normally stay at the Royalton (just across the street on W44th), but, despite some misgivings having read other reviews on this site - decided to try out the City Club on a one-night trip to New York. The room on ther 2nd floor was pleasant enough, except that it was very gloomy with the two windows facing a wall about 6ft away (an issue at the Royalton too, sometimes). Huge bed was very confortable and the TV hidden behind a large paiting was a nice touch. Bathrooms ok, but not a patch on the Royalton's bathrooms. As noted in other reviews, the wallpaper was marked &amp; very slightly peeling in a couple of areas.The hotel has a discreet entrance, but no lobby and no real bar - basically a couple of tables at the back of the db restaurant. I was meeting someone there at 5pm, got there a little early and waited at one of the tables listening to the chef brief the staff about the dishes of the day and what was left over from lunch that he wanted to shift! No drinks available until the clock had struck 5pm. As soon as it had though, the staff were very attentive and the place became packed very quickly. Clearly a popular meeting spot.In summary, if you like very small discrete boutique style hotels, then City Club would be fine if it were at least a third cheaper. I, however, will revert to the Royalton on my next visit to New York.	
Aug 31 2004	Worth it if you can manage a discount	The rooms are small, and there is little closet space and no drawers. But the bed is large and comfortable, there is a good sized couch, and the bath large and impressive with Hermes bath products. We got a good deal through work, but I don't think it would be worth it to stay there paying full price. The attached restuarant, Bistro Moderne, is worth a visit.	
Jul 29 2004	much ado about nothing	Tried 2 different rooms-both with peeling wallpaper,tiny closets and no storage space. Larger rooms at back looked on to a brick wall, small rooms in front had 1 tiny window and street noise.Stylish decor needed to hide the serious shortcomings in amenities,size,condition,attitude.I moved to the Muse: less money,larger rooms, better condition, decent storage....	
May 23 2004	On the whole a very good experience	I read a number of the reviews on the site before staying at the hotel for a week at the beginning of May 2004. As with all of these things I tried to read between the lines and make an evaluated judgement before booking my stay.This is the third hotel I have stayed in, in the city the other two being Ian Schrager hotel's, The Hudson and The Paramount. The first thing which struck me was the size of the room. I had a front facing King Room on the 2nd floor (room 203) which was very spacious. I would estimate at least twice to three times the size of the rooms I had stayed in before.The decor was minimalist without being too stark. The bed was enormous and exceptionally comfortable. I only found the tv behind the mirror a real problem if we had all of the lights on. The CD/DVD player was a nice touch and the free DVD/CD library available from the reception was a real bonus. I really liked the black marble bathroom, which had an excellent shower which was also very large. Some may find this a touch too masculine for their tastes, but i loved it. The finishing was also to a very high standard and I liked the Hermes toiletries. The Frette robes were so nice that I would have considered buying one if there had been any more space in my case.It was also useful having a well stocked mini bar with Dean and Deluca goodies, a mini ironing board/iron and a safe. I liked the soft furnishings, seats were comfortable, the books useful.I was also surprised by the quality of the Maid Service. To return to my room to find all of my spare change arranged in neat stacks, by denomination, showed someone who did a thorough job. It was also nice to find a card with the weather for the next day and chocolates on my pillow, something I have normally only got from hotels much higher up the price scale.The DB bistro was excellent, though on my visit they had sold out of the famous burger. I found the food on par with many of the top restaurants in the city which I visited on other evenings. The hotel does not serve hot breakfasts, but there is an excellent old fashioned diner, The Red Flame, just a few doors down which did an excellent breakfast and was always packed with New Yorkers on each morning we visited, this was also good value for money.I found the staff on the front desk both helpful and knowledgeable, they had neither the stuffyness you expect from some of the hotels at the highest end of the scale or the arrogance you can find at some boutique hotels. They were just genuinely helpful.The hotel was also in an excellent location just off 5th Ave, near to all the shops you want to visit, close to all the public transport if you wish to go up or down town. Very close to the theaters and Time Square without being right on top of it. It also shares the street with a number of nice institutions such as the Harvard and Penn clubs. My room also over looked the Royalton. There is also a very good dry cleaners across the street from the hotel which recently won the award as New Yorks Best in the New York Magazine.On the negative side the lighting was a little too dark if you wished to apply make-up in the bathroom. There were no drawers for putting clothes, altough we did have a couple of shelves next to the hanging space. We found the hanging space insufficient for two people staying for a week. However this was more than adequate for a business traveller on a short stay.Given that this hotel probably falls into the middle of the price bracket for New York, it was very good value for money. Sure you can find cheaper, but this was a cut above the rest in terms of the overall package, location and many of the small touches which made it an enjoyble stay.I did have a look at one of the Suites before checking out on my final day and although there were exceptionally nice, the king size room we booked was the better value. I would recommend booking this size of room.This is definately somewhere I would recommend to my friends and will be my first choice the next time I visit New York.	
May 15 2004	Not as good as expected	Have stayed in NY many times and these are the smallest rooms anywhere! Staff were not particularly helpful and had the usual 'trendy boutique attitude'. Rooms were stylish but not comfortable. Annoyed by things like not being able to switch on a reading light on one side of the bed but not the other - we both had to be awake or neither of us.	
Mar 20 2004 	Great location service and rooms		
Feb 13 2004	My favorite hotel in NY		
Jan 31 2004	Would not be my first choice		
Jan 7 2004	Great Location good value for Money		
Jan 4 2004	Ok but just ok		
Dec 4 2003	Tremendous		
May 8 2003	Stylish hotel nice stay!		
Mar 6 2003	CC Eval		
Jan 28 2003	Hmmm good but could improve		
Sep 26 2009 	buon hotel ma con qualche inconveniente		
Sep 25 2009 	Partite con tante carte di credito!!		
Mar 16 2008 	Alto nivel trato regular		
