	Welcoming Staff!	The reception staff was very welcoming and very helpful even in the late hours of night. The hotel is nice, very well located. The room was basic, a bit small with very basic furniture. The bathroom however is really nice with multiple amenities. Breakfast during the week end is really good, on weekdays however there is a limited choice but you can always ask the staff for hot food.The only negative comment is the hours of opening of the bar. It closes on 11 pm on a Sunday.	
Sep 17 2007 	The Real Hotel Babylon!!!	The best hotel I have ever stayed in! The hotel has a cool and funky feel through out and has obviously had some money spent recently as is modern, contempary unlike many dated hotels near by.Staff were very friendly and generally helpful. We stayed on the 4th floor which provided views accross Trafalgar Square. The room its self was lovely with an oversized bed, flat screen TV, DVD player, and music system. The en-suite was modern and clean.Breakfast was fantastic - everything you could want - even offered champaign with my cooked breakfast! There was also live music too! Overall above expectations	
Sep 16 2007 	Do Not Stay Here -- Hilton Rip-Off	OVERPRICED HILTON TRYING TO BE A BOUTIQUE HOTEL - DO NOT STAY HERE......The staff looked down on us from the minute we arrived, despite the fact we had paid over £300.The standard room we got was the disabled and they had no other rooms available. The average round of drinks was £30 and the restaurant downstairs was sterile and a packed bar and DJ upstairs was your music.The wonderful views you are promised, you basically can't get into the rooftop bar (even as a guest) as it's full of other pretencious people queing to get in all night.Rooms service charge is delivery plus added service charge.	
Sep 6 2007	Excellent London Hotel	We found this hotel through Hotwire.com (or should I say they found us) for an excellent rate of $199/night. When we got here, my wife and I weren't expecting much, but we have been very pleasantly surprised. It's very trendy looking (sort of a W look/feel), but we've enjoyed it: *Excellent Location: Right in the middle of Trafalgar Square, the hotel is close to almost everything, and is walking distance to many London attractions (Buckingham Palace, Westminster Abbey, Leicester Square, Piccadilly, National Gallery, British Museum, among many others)*The room: The room is spacious and the king sized bed is big and comfortable. Plasma TV, internet access available. *Food: Very good. The Trafalgar has a bar/restaurant that offers good food, wine, and cocktails. *Service: excellent*Rate: very reasonable through hotwire. Compared to everything else in London (pricey!) this has to be the best deal on the trip.	
Sep 3 2007	Hip and trendy but service is tempermental	Myself and another female friend stayed for 2 nights at this hotel at the weekend. It started off great but went down hill on our second day. Overall we enjoed our stay but their were a few problems that you wouldn't expect from a 4 star hiltonPro'sWe got an upgrade to a executive room as Im a hilton gold member (but this is standard hilton policy)the room was really nice Room had a cd player, DVD and flat screen TV robes slippers etc and really nice toiletries as mentioned in previous reviewsTheir was a welcome bottle of wine and fruit when we returned to our room and chocolates on the turn down service (1st night)Concerige was quite helpfulBar and rooftop garden were hip and trendy and as we are in our 20's was funGood locationCon'sWhen we returned from shopping at 3pm our room wasn't cleanedTheir wasn't enough towels for the 2 of us and 2 phonecalls later they brought them up.When we came back from dinner at 10pm our room still hadn't been cleaned (I had rang 3 times)Bar\restuarant add a service charge of between 1.50- and 3.00 pounds on EVERYTHING and the drinks are v expensive without this.This hotel in my opinion is not suitable for older guests the bar gets crowded and their is a DJ playing I don't think this hotel is worth the 190 pounds a night not sure if I would stay here again.	
Aug 21 2007 	Not sure about this one	Well I can't really make up my mind if I like this particular Hilton or not....I went with my niece for just one night for some shopping and sightseeing for her school holiday break.I have stayed at the Hilton Park Lane before and really liked it but there were no rooms available and this Hilton is very central so decided on this one because we were going to a show in Piccadilly and all the sights were within walking distance that we had on our 'to do list'.Firstly there is no signage on the outside of the hotel that denotes a Hilton. (I have since read this is because this hotel does not meet all the Hilton standards).On entering there is a small desk which had no one at it and beyond this is the bar so you practically are in the bar as soon as you enter. Just beyond this is a square kind of high desk with all the computers on it and this is where all the reception staff are. It is a bit strange in that it is not your traditional reception with staff behind it and just seemed a bit temporary to me as if they were changing the layout and just had to make do.We arrived at around 10 a.m as we had travelled by train and had a busy itinery so we wanted to leave our bags and then get out. However the very friendly staff were very efficient and allocated our room immediately on floor 3. The room however had been made up as a double and not as twin which I had booked so a quick call to reception remedied this and Rachael one of the receptionists met us on the landing and relocated us to a fourth floor twin room.The twin room was nice,quite spacious with 2 wardrobes,robes and slippers. The view was of some offices but had we booked a deluxe room then we could have had a view of Traflagar Square.The bathroom is contemporary with a bath with a centre plug with shower. A large square wash basin with a shelf over and a surround around the basin which is the only place in which to put your toiletries. It was spacious but not really user friendly because we had to put some of our things on the floor.We freshened up and went out and had great day.On return we both had a drink in the bar before going to the room to shower.Sam the concierge had previously got us tickets for Grease at the Piccadilly (I had phoned him ahead of our trip for this).He was so nice and polite and happy to do this for us. He showed us directly where to head that evening and was most helpful.he said that if we have any further requests on future trips he would be happy to help where he could.Breakfast was served downstairs and these stairs lead down from the bar area and I have since found out that this area doubles as the extra bar area in the evening. It is all furnished in black with very low tables and leather chairs...not quite right for having breakfast I thought.There is a buffet style table in which to help yourself to fruit/yogurt/cereal/toast/pastries and cold meats etc. We were shown to a table and not asked for a room number and a waiter came over with cofee and tea and then we were left to help ourselves. After we had sat down and started to eat another waiter came over with a menu and asked if we would like to order from the hot menu. We had already started on our food by this time and I told him that had I known there was a hot menu I would have chosen it but it was too late by this time so that was very disappointing. In fact I would say the whole breakfast experience was rather disappointing. If I had of chosen the hot menu then I would'nt have been comfortable eating on these low tables.The plus side to this hotel are the welcoming staff...not at all stuffy and so friendly and the wonderful central location. This is particularly good if visiting piccadilly in the evening as no need for transport.The down side for me was the strange reception area and the fact the bar was the lobby and no restaurant. Also when we returned from our evening out it would have been nice to have sat down with a cup of cofee and people watch for a bit in a lobby but as soon as we entered the hotel we were in a very busy noisy bar with a DJ and my 15 yr old niece felt uncomfortable as it had the ambience of a nightclub and not a hotel.We went straight to our room and had a night cap there. So another big downside for me was the lobby ....or lack of it! I am thinking of booking into a London hotel for new years eve mainly to go to the sales on new years day but may decide to go back to the Hilton Park Lane.	
Aug 17 2007 	Strange Hilton Experience	As a Hilton HHonor Diamond member, I booked this hotel at the end of a great 12 day mediteranean criuse experience with my wife. I used points (category 6, but only 24,000 points) to do it. Arriving in London Heathrow, we caught the Heathrow Express train to Paddington Station, then got a taxi to take us to the hotel. (Best and fastest way to get into London from Heathrow - 58 pounds/2 persons/round trip/15 minutes each way). The driver did not know the hotel, but knew where the street was. Arriving at Spring Gardens, there was absolutely no signage of any kind to identify a Hilton!!!!! We circled twice, at which time I got out and started to open doors to the buildings until I opened the one that was marked 2 Trafalgar, and voila! It was the Hilton lobby!!! The lobby/bar area is well below average for an upscale Hilton. Really very cold and unappealling. The room we were upgraded to did overlook Trafalgar Square from the 2nd floor, which was pretty interesting. However, the room was just OK for the 1 night we stayed. There was some street noise, the carpet was worn, fixtures and general look was average, and there was no shelving in the bathroom for personal things. There is a roof top bar area, but it gets so crowded with locals that my wife and I, as hotel guests, could not even enjoy a drink up there! They have a bouncer who restricts access to avoid overcrowding. No complimentary breakfast was offered, and what was available cost 15.50 pounds (~ $31) per person. Full, hot breakfast was almost 20 pounds per person. This was breakfast! Outrageous.Food is available around the local area (although not really until 8:30 or 9 AM) as an alternative. A very vague explanation was offered as to why they are not allowed to have signage outside. They said that since the hotel does not meet all of the Hilton standards, they cannot advertise themselves. Doesn't make sense to me..............Bottom line, for the walking convienience of Trafalgar Square and nearby sights, it might be worth it. For a luxury Hilton, forget it.	
Jul 29 2007 	Unbeatable	Arrived in the afternoon, arrived using the underground to Piccadilly Circus &amp; then about a 7 minute walk to the hotel.Having read previous reports about check in, I wasnt looking forward to it. So it was fantastic to walk straight in &amp; within minutes be in my room.It was spacious to say the least, great bathroom, bedroom, really couldnt find a fault!. The view from the room looked out to other offices but who cares.Great location for seeing the sights, London Eye just a brisk 20 minute walk,Buckingham palace about 10 minutes.Later that night I visited the bar, great staff &amp; had a real top night.My stay couldnt be better, pictures to follow.	
Jul 21 2007 	Still excellent with our third stay here	This was our third stay at this hotel and it's just wonderful. We had a corner room (302) and a wonderful view. This hotel is clean, well maintained, excellent location, excellent staff. I would highly recommend it.	
Jul 9 2007 	The BEST!	Just got back 2 days ago from our stay at the Trafalgar (a Hilton property) in London's famed Trafalgar Square. We absolutely loved this hotel. My husband is a Hilton Honors Gold Member and has stayed at many Hilton properties and he thought this hotel was great. First, the location is fantastic. We were within very close walking distance to Buckingham Palace, Parliament, Westminster Abbey, and many other great sites. During our stay The Tour de France was kicking off in London and the opening ceremony was being held in Trafalgar Square. We could look right out our window and see the events up close! There's also a Tube station less than half a block away so it was easy to get to anything else not within walking distance. The atmosphere of the hotel is very trendy. To get to the reception desk, you have to walk through a hip-looking bar filled with a younger, polished looking crowd. It made the hotel seem desirable from the moment you walk in. Each night a new type of lip balm, cream, or lotion is left on your pillow. Also, the toiletries are all full-size and smell wonderful. And there are robes and slippers set out for your use. The only issue we had (which seemed to be a minor glitch in our stay) was that the breakfast that came free with our stay was not the best. The one morning we went we sat down a full hour and a half before the end of breakfast and there were no eggs the entire time. Despite being told 3 times that eggs were on their way out to the buffet, there were never any to be seen. We ended up saying something about it when we checked out and received a follow-up email the very same day from the manager. All in all, I thought this was a great hotel and I would definitely stay here again the next time we're in London.	
Jun 24 2007 	Great location	Great location, right on Trafalgar square, convenient for tube station at Charing Cross. Our room on 5th floor was very quiet considering we overlooked the square. Just some faint rumbling from buses and traffic. Nice bathroom with bath and separate shower. Big LCD tv and hi-fi. Beds were comfortable. On the downside, the room smelt of cigarette smoke and we couldn't open the window to get fresh air. didn't ask to move as was only one night stay. Staff were helpful, hailed us a taxi and brought towels to us when we came in driping wet from rain storm. Didn't sample the food or bars but very loud music in bar won't be to everyone's tastes.	
May 17 2007 	Loved the stay at Hilton Trafalgar	The stay was wonderful. We were earlier planning to stay at Hilton Metropole and at the last moment decided to stay at The Trafalgar.The stay was just awesome. The best of all was the perfect location for tourists, soft bed, room facing the trafalgar square. My wife is a Hilton Diamond member and we got the room on the 5th floor (topmost floor). The hotel service was awesome.The location was so perfect that we pretty much walked to all tourist locations from this hotel. The hotel is just in front of the Trafalgar square and Art museum, and in the front of Buckingham palace. The place is just less than 1/2 mile from Picadally circus and to great shopping on Oxford and Regents street. The hotel is in the theatere district too with few theaters just more than a minute walk and we did go to watch a show too!.The hotel also had good breakfast which was included in the rate which otherwise would cost 20 GBP per person per day.We did take the bus tour too which included a ride on river Thames to go to area where we couldn't walk.Bottom line is that if you want to enjoy London as a tourist, location is very important and it's the Trafalgar. This is the only place in central London I will be staying again.	
Apr 23 2007 	very disapointed!!	We booked this hotel months in advance and we were really looking forward to it! But our stay was ruined as soon as we walked through the door! Upon entering we were laughed at by 3 hotel staff. The reception was a small desk not so hidden in the corner because of a bar.When we went to check in the receptionist was very rude, our room was not ready despite us turning up on time so they put us in another room. The receptonist then took our paperwork out the back and looked at us as if we shouldn't of been there. We finally got a room but it took about 5 minutes to get in the room because the door was playing up. Then we walked into the room and was suprised because the picture of the room we booked and the room we had been given were two completly different things!! We chatted with hotel staff to find out if we had the correct room and he said that they regarded that room as the one we had booked!Later on that evening, we returned to the hotel around 7pm as we were exhausted from the days travelling and wanted to go and relax but we were confronted by drunks as you have to walk through the bar to get to the lifts! The DJ on both nights were playing extremely loud music and when we got to our room on the 1st floor we could still hear the music. The only good thing we could find good about the hotel is the location which was spot on!!We will defiantly not be staying at any hilton hotel again through our disapointing experience!	
Apr 18 2007 	Loved the Hotel	I loved this hotel. I got an excellent deal from priceline-name your own price- and was completely surprised when I walked in. THE hotel is very modern and the lobby is a little strange in that it is also the club/bar/restaurant. But teh hotel room are so nice and beds are so soft. THE nicest surprise were the little gift (lip balm, calming lotion) that housekeeping would leave on our beds. IT was wonderful, and even room serivce was fast and good. OVerall I would say, that wehn I go back to LOndon I will stay there. THe location was perfect, we walked to SOHO and covent gardens. IT is right in fromt of the spire at trafalgar square. IT was great!I highly recommend this place because it offers a calming place and hip place to hang out at night.	
Apr 17 2007	Shocked at appauling service	A group of three of us were booked into a double and a twin interconnecting room for one nights stay. When we arrived we were greeted by a man standing at a random desk - it was reception, apparently. Just a desk with a computer on it - we could see everything that was on the computer and it was not comfortable at all. The receptionists looked very uncomfortable with it all aswel. The receptionist seemed to have a bit of an attitude problem. He lookeed cocky and felt like he was lookig down upon us - as if he was superior. A very smug, 'up himself' look when handing us the key. We checked in no problem though and were very impressed with the rooms. Full sized toiletries, bathrobes, slippers, cd player, dvd player etc. Very comfortable beds too.When we had dinner in the restuarant which felt more like a corner 'greasy spoon' cafe with about 7 or 8 tables, one of our party ordered the &quot;Hilton Burger&quot;. The waitress raised her eyebrows and said loudly &quot;What? You're having the burger?? For dinner??&quot;. Very, very embarrassing and rude. Why shouldn't we order what ever we like? Why the aggro? When we replied with a simple but stern &quot;Yes!&quot;, she said &quot;Ok&quot; very sarcastically. Food was lovely, really good quality. I could spot a trend here.When we went to the bar, we were interested to see what was on the bar menu. When we asked politely to see it, the barman said &quot;Well, I can only do that if I see your ID&quot; in a very serious tone. I replied &quot;Are you serious? You want my ID to read the bar food menu?&quot; &quot;yes&quot; he replied. I reluctantly gave it to him, then he read it, handed it back and said &quot;haha yeah thats fine&quot;. He was playing games with us, but not in a jokey way. He was genuinely enjoying mocking us.In the bar there was extremely loud DJ music, which was dreadful. We couldn't have a peaceful drink. It was like being in a night club, and with reception being right next to the bar, I felt sorry for people checking in whilst this noise was going on.Upon check out we had a few queries with the bill, and when we politely asked the female receptionist to help us she rolled her eyes and sighed loudly. Again, was it such a difficult request that warranted this reaction? Hardly. Noticably none of the staff had name tags. Was this to save their necks as they are all so rude and cocky?Really ruined our stay.	
Apr 1 2007 	Don't be put off by my rating!	The hotel is in a great central location for London sight seeing or a general weekend out on the town. Trafalgar square is literally 30 seconds away from the hotel's door step so you're within striking distance of pretty much everything you'll want to do in London. I stayed here over the weekend and thought the hotel facilities were good. It is on the expensive side but my standard room was a very good size with a huge bed. You've got a DVD player and a mini hi-fi in the room with complimentary DVD/cd's available via reception, however, most of it was a bit out of date. Bathroom was surprisingly big so no issues whatsoever with accommodation. The hotel has a great bar which was packed out with non-residents. The roof garden bar is meant to be really good, offering nice views of London at night, but didn't get a chance to check it out because it was closed due to the bad weather. Theres also a business section for internet/office use but I didn't need it. All the facilities for a stay of work or pleasure are there. The negative experience I had, and this was really disappointing, was regarding the service. I'm not the most demanding of customers by any means but the thing that really let the hotel down was the constant mistakes being made by the staff. It seemed as if everyone there was a trainee or just lacked experience - the service wasn't professional. Which is a real shame because everything else about the hotel is great. For example, room service would constantly screw up our food orders but when we actually got the food (which was always delivered on time), it was actually quite nice. I did complain about the service at checkout and they marked our breakfast costs as complimentary.Maybe I just caught the hotel on a bad weekend but I'd definitely give it a 2nd chance and wouldn't write it off at this point. Basically, if the service had been acceptable at the very least, I probably would have given it a 4 rating. Fingers crossed for next time!	
Mar 27 2007 	My Hot Tip for a London stay	I travel to London on business every year, and have stayed at the Trafalgar Hilton for the last several years. Previously, I had stayed at the Metropolitan, the Sanderson and St. Martin's Lane, all of which became too pricey for the company. Located on Trafalgar Square, the hotel gives you plenty of London within walking distance, from Parliament and Westminster Abbey to the West End theaters and Covent Garden. We've never dined here, and the bar food is just so-so, but there is a terrific Scottish restaurant just next door, with a cool club down below. But at least the hotel bar tends to fill with actual Londoners on weekend nights, which is more fun. The bartenders do great work. The hotel staff is friendly and accommodating. The rooms look new, and offer a contemporary decor. A deluxe room that I had my last trip was big, with two levels, and a great view of Trafalgar Square. Best of all, it's well worth the price, a very good hotel in a great location in London for a mid-level kind of price.	
Mar 18 2007 	Great Great Hotel	Wow! This hotel is wonderful. The location can't be beat. A tube station about 200 ft. away, great. Walking distance to so many sights and attractions. The staff was so nice. After blowing the electricity in our room the same day we arrived they moved us to another room very quickly. The beds were very comfortable! When we came back to the hotel every night our room was so clean and it just felt good. The hotel provides full size shampoo, body wash, and lotion. A very nice touch. If you have time they provide DVDs to watch. You leave a deposit which you get back. There are bathrobes and slippers which was another nice touch. Our view wasn't the best but I didn't book it for what I would see out my window. We didn't take in the bar/club but everyone seemed to be having a great time (although you couldn't hear them once the elevator doors closed).	
Feb 28 2007 	What a great surprise	Very modern hotel in a great location, right alongside Trafalger Square.The rooms were ultra modern and gave you the feeling of being in a 'top notch' hotel from the moment you walked through the door. I have stayed in many Hiltons around the world and this one is definately up there. It was also spotlessly clean!!Only word of advise is that breakfasts are expensive (c.£20 each) so if you can i would recommend getting a room rate which includes breakfast.	
Feb 28 2007	Good London Option	I've stayed at the Trafalgar Hilton twice. Both stays were nice. Room is larger than one would expect. Staff is friendly and helpful. Bar is nice - quiet in the morning for coffee and wireless access, more happening in the evening but you wouldn't know it once the elevator doors close. Fitness facilities are nice enough, though it's odd that the front desk staff has to let you in. The location is great. Biggest downside is that my shower leaked in both rooms I've stayed in. Nothing major, really more of a hassle. Be sure to request a room in the back, or at least not right on Trafalgar Square. View is super, but the noise kept me up all night during my first stay.	
Feb 20 2007 	Surprisingly good	Well I nearly did not stay here because of some the previous reviews, especially the discussion of poor front desk experience. But either they read Tripadvisor or they have read their own hotel review cards because my experience was great. I stayed a week and the front desk found someone to fix the curtains in my room at 11pm, printed maps for out of central london restaurants and checked me into my flight, all very helpful. Now it's not the most 5* place but it does everything that can be expected for the money and more, the rooms are larger than some at even the best hotels (the ones at the metropolitan are tiny in comparsion) and the bar goes off every night but upstairs all is quiet. A good bet for business and leisure and at a great price for central London	
Feb 3 2007	had a pleasent stay	stayed there from january 31st until february 2nd 2007.i work for Hilton so i got the employee rate which is very low so i didnt expext the best room :-) !i got a room on the first floor , it was spacious ans had everything i needed, it was clean, only the view wasn't that nice - i had an office building on the opposite.I would defenitly stay here again....	
Jan 29 2007 	Employees Inept/Great location	I liked this hotel but the front desk was a little slow! The location is incredible. Outside the front door is a city bus (#(9) that take you to Harrods Department store in 15 minutes. We arrived in London at 9am and were not allowed to check in early, even though I requested an early check-in. At the 3pm check-in time, our room was still not ready...we were told 20 minutes and then another 20 minutes. This was very tiring, having come off an 8 hour flight. We booked the stay at the Hilton.com website and got a room at $350 (american dollars) per night. It included breakfast each morning and a dinner for one night. This saved us a lot of money. The breakfast is about $40 (U.S.) per person and it is excellent..even though the sausage tasted funny. The coffee was great and the bacon and eggs very tasty. The night we had dinner, the location was closed for a private party and we had to get room service - it was delicious...fresh green beans, mashed potatoes, cheese caket, etc. - they did it up just right. But at check-out the next morning, they charged us for everything and had to take it off our bill. A non-smoking room wasn't available, but we did not smell any smoke in our room. The room and bathroom were large. The 2nd floor was very quiet. There was an ironing board and iron in the room, which is a dream in European hotels. A bathroom and slippers were a wonderful touch. And the toilitries were as large as an 8 oz. soda can...the body oil was the best ever! It snowed the day we were there, but the taxi concierge called for us the night before was on time. This is an extremly busy area and buses and people are outside all day and night. Our double pane windows were great because we never heard a thing! Picadilly square was two blocks away so, so convenient. Free newspapers and magazines in the lobby every morning. This hotel caters to the young and hip, with a dj and bar in the lobby.	
Jan 11 2007 	After all a good choice	WE stayed at the Trafalgar 12/27-1/1/07, like others, a little hesitate after read all the bad reviews. But I want to be fair, this is a good hotel, pricy in misc. charges (local calls to cell. 1.5GBP per minutes), pricy in the Bar, but think of the location, you really can't compare the price to some non-central locaiton places.We booked with reward certificate, I wrote them via e-amil requesting a extra bed for my son, they did it and upgrade us to deluxe room on high floor, no free breakfast. Free fruit and bottle water on day of arrival, one bottle of wine on New year Eve, I think they are pretty thoughtful. Nice robe and fluffy slippers, big bottle of shampoo/lotion/conditioner (very good ones), nice shower, big tub, clean and modern, we loved the room. The lobby was kind of strange, ( actually no lobby just check in desk), the bar occuppied the entire space, it's good to hear music each time you come in and out of the hotel. Bar service was good, on NYE everybody was dancing including the waitress, very fun environment. Some call the hotel Hip, not typical Hilton, I think it's just differnt and nothing wrong with it. WE will stay there again!	
Jan 6 2007 	Pleasantly suprised	After reading a few bad reviews I was a bit hesitant about staying at the Trafalgar, but as there was a good price for a last minute booking and as most of my business was in central London, I didn't want the hassle of staying at Paddington or Olympia (my other two usual Hilton stays in London)Booked a delux room, and as a Diamond member was upgraded to a Delux plus. High floor, spacious, free water and fruit.I am a bit narked that whilst they recognise your Hhonors status, they don't reward all of it. Before booking I was told I could receive a room upgrade, OR complimentry breakfast.I was pleased with a quality of the room, modern, no chitz. I thought the bed was particulary comfy (the opposite to some peoples reviews) with nice clean, soft sheets and good blackout curtains. Plenty of lighting options in the room too,The bathroom was very nice, with a separate shower and deep soaking tub, lots of large bottles of toiletries. Infact the toiletries were the largest I've come across in any hotel - if only they could have been Aromapherapy Associates, like in MO's.There was very little noise in the hotel room, from either the street or public areas.I didn't use the bar as my time here was short, not did I have much time with the staff. The time I was speaking to them I found them to be not the friendliest staff ever, but neither appalingly rude either. Maybe just a bit impersonal, nonethless, efficient.As for the location I thought it was great, and desipte some other reviews I found no difficulty in finding the hotel.Good Points:Room Style, Bed, BathroomBad Points:Not all Hhonors benifits recognised, expensive internet	
Jan 5 2007 	Diamond members could do better......	My wife and I just returned from a six night stay at the Trafalgar. We stayed on a reward certificate.As Diamond members we were not offered a room upgrade or free breakfast. I found out about this too late and all other Hiltons in the area were booked. This Hotel is not what I've come to expect from a Hilton Category 6.Positives:-The standard room we were put in was comfortable. -The bed was big and firm. -We liked the big bottles of body wash and shampoo in the bath.-Although we were on the first floor, the music from the bar was not too loud for us like other members on here posted.Negatives-The staff was very friendly to us, but they must have been incompetent (or they just plain didn't care). Examples: 3 times we did not get our wake up call as requested. We asked the front desk for help book theater tickets and they never got back to us. The front desk told us they would book a car service for use the day before our departure......they next day we found out they hadn't.-They spray some sort of fragrance in the hallways and rooms daily to cover up the smell of the carpet. The fragrance was not pleasant.-There are two small closets for hanging clothes, but no drawers.-Room Service was expensive and not that good.-We were charged over $70 for local calls to book our theater tickets and car services.	
Dec 16 2006 	Great hotel but eat out!	My London office is based in this area, so I often stay locally and have tried the Royal Horseguards, Charing Cross Thistle and this hotel. This one is by far the nicest in terms of decor, comfort and spaciousness of the rooms.I liked the packed, noisy bar on the ground floor, especially as you can't hear any of it once in your room. You'd never beleive you're on one of the noisest street corners in the world - the rooms are well soundproofed. As other reviewers have mentioned, it seems a little strange to have reception essentially in the bar, as you can't hear much of what goes on during check-in, but the staff seem to cope.Rooms are large, freshly decorated in a modern style and very comfortable. There is none of the chintzy fusty materials to be found in other hotels. Rooms have a stereo, DVD player and games console in addition to the usual TV and broadband access. Little touches such as large toiletries, fluffy dressing gowns and slippers make it feel homley and welcoming. I will be staying here again.However. The food is inedible, and the room service atrocious and vastly overpriced. Americans in particular may be shocked and even offended at what this place manages to do to their cuisine. Did you know that granola is actually crushed up corn flakes and branflakes with a few raisins lobbed in? I certainly didn't, and was pretty surprised. I won't catalogue the full series of errors they made over the course of a dinner and breakfast delivery, but suffice to say I will never eat here again - there are any number of cheaper and nicer places to eat in or out in easy stumbling distance.	
Dec 11 2006 	Beware the Trafalgar Hilton Techno Trap	Where do I begin with the various examples of horrible service I recently experienced during a 3 night stay at the Trafalgar Hilton?Let's see - was it the 2 twin beds I received as a Hilton Honors Gold member when my preference is a King/Queen (1 big bed). The fix taking until the next day and involving simply pushing the 2 twin beds together. All while being denied a different room due to &quot;over booking&quot;? Or was it the non-functioning internet connection box in the room which took 24 hours to fix and at least 6 calls to the front desk with varying degress of assistance- only to discover my laptop could be plugged directly into the wall and work with no problem? And even when the internet connection began functioning, the next day the problem returned only to be solved by a technician re-booting the internet service for the room/floor? All of the above took multiple calls to the front desk which were received with a vague indifference and even a woman saying &quot;I cannot help you&quot; regarding the internet connection.- the only way to get anything fixed was to speak to a duty manager, which wasn't always effective either - although to be fair on day 2 she did offer a different room if the internet could not be fixed.From the loud, thumping techno music in the bar/lobby of the hotel which causes more or less yelling between guest and receiptionist upon checkin (in the evening) to the &quot;action&quot; button on the phone which rings and rings and rings and rings only to be answered by &quot;frosty&quot; front desk people- to the call to room service which was answered with a &quot;we need to call you back&quot;.This is the WORST hotel service experience I have ever had.Never again.	
Nov 28 2006 	Loved this hotel - will definately return	My husband and I stayed here while celebrating our anniversary in London. I have lived in London as well as stayed in a variety of hotels in London in the past. This hotel far exceeded our expectations. Some of the reviewers on this board really had awful experiences. That is such a shame because we were treated so well (champagne cocktails on arrival while we waited to check in to celebrate our anniversary), the hotel had goreous toiletries - full sized shampoo, shower gel and body lotion, lip balm and resting cream too. There were giant fluffy towels, a gorgeous duvet and plenty of television channels. The overall upkeep of the hotel was great, it is modern and fun. Iwouldn't neccessarily think my parents would love it, they would be more comfortable at a less hip place. We didn't have breakfast there - all London hotels sell overpriced food and drink, instead we walked 15 seconds the the closest Pret a Manger and bought our coffee and breakfast there for a reasonable price. Without a doubt the bar is extremely overpriced, that is expected, but there are plenty of pubs and bars close by that are much more reasonable. Overall, I would highly recommend this hotel, especially given the fact that we paid 117 pounds a night! For London this is sensational.When we returned from three days in Paris, we stayed at the Thistle Charing Cross, about 5 minutes away and I can assure we sorely regretted not returning to the Trafalgar - these two hotels are not even remotely in the same category.	
Nov 22 2006 	a great deal and a better location	got a great deal thru &quot;last minute &quot;to stay on a friday night at this superbly located hotel, next to trafalgar square right in the heart of London. I have to agree with a previous reviewer that some, but not all, of the staff have a &quot;holier than thou&quot; attitude, but if you give as good as you get then they just have to put up with it. The room and facilities were both truly 1st class and although I would baulk at paying rack rate and £20 for breakfast?!? I can wholly recommend a stay especially if you can do it on the company card.	
Nov 21 2006 	Great hotel!! I found the service fantastic!	I found the Trafalgar to be an excellent hotel. I used points for the weekend, and business expense for the other two. Some hotels will treat you slightly differently if you are on points - but I found the service to be very, very good. From the concierge helping me book my next trip (even getting show tickets in Paris) to the front desk taking immediate action when I had slight internet issues. The deluxe double room was very good - big and spacious enough to relax comfortably. The bad reviews on here must be people who have ridiculously high standards and can't stand even a whiff of an issue. I would most definitely stay here again - amazing location, great lounge area in the lobby, and good rooms!	
Nov 18 2006 	Unremarkable frontage but fabulous location	We have just returned from a two night break at the Trafaflgar .Room 409 was painted a chocolate brown colour . Sounds dreadful, but actually quite modern!. It was a split level room divided by 3 steps. make sure you wear shoes and not just socks, or you might encounter the same unfortunate fate as my better half, when, deep in converstaion with me, he started on the top step, and by the end of the sentence, was sitting on his butt, on the lower step, with a sore rear end.!(Also beware if going to the bathroom at night, not to walk into the wardrobes, or indeed the Glass shower!)Lots of little extras in the room, such as Lip Balm, honey and something relaxing balm, and mega size bathroom toiletries. The buffet breakfast (not cooked) was more than adequate with plenty of selection, from fresh fruit, yoghurts, smoothies, pastries etc. They even ordered in Gluten free bread for me by day 2!Staff in the restaurant enthusiastic but inept however reception &amp; concierge more professionalBar appeared to be very much the after work 'watering hole' so usual in London.Look for the Clock, opposite Canada House!	
Nov 7 2006 	Has gotten better but still lacking	Had stayed here twice when this place first opened and while it was a pretty nice modern hotel, the service was a disaster.This time I had stayed for a few days for free with my hilton miles and the service was much better but the room was average. Our room was a &quot;double double&quot; and average for London in size.Negatives:- Bed was like sleeping on rocks- The bathtub/shower was awkward in that you have to lean forward on an incline to shower - Bizarre lighting controls- Massive stain on carpet leading to bathroom- Bizarre room service, had to leave message with front desk and then you would receive a call back anywhere between 5-20 minutes later.- 15 pounds for non-wireless internet, thats ridiculous, get an access card and use the internet in the lobbyPositives:- Staff overall was very friendly- Lobby bar seems to finally have a crowd, in past stays it was always empty- rooftop bar is excellent- rooms are pretty quiet- great location	
