	Incredibly noisy room	Unbeatable location which is both the best and worst asset of this hotel.Just across the road from Victoria Station, it is situated strategically, especially if you arrived in London from Gatwick. The drawback is... the room (4th fl) was facing Victoria Station and it was INCREDIBLY noisy at nights. I cannot believe that, when designed, nobody realized that being so close to Victoria the rooms should have been, at least to some extent, soundproof. I stayed for 2 nigths. First one barely slept. I got up from bed several times to double check that the windows were closed as I just could not believe so much noise could come into the room. Second night I slept much better... because I had previously bought earplugs.By the way, the internet connection was free, but very slow.	
Sep 5 2007	Undeserving of such a high rating...	It must be a complete fluke that this Hesperia rates 110 out of 1004 hotels in London. We recently spent a week there and while is was perfectly acceptable it should not carry such a high rating. We chose this hotel based on trip advisor's high ratings and we had a fairly mixed experience. Don't just read the &quot;wonderful&quot; &quot;great&quot; &quot;exceptional&quot; reviews. (As I did). Read the mixed reviews or critical or bad reviews to get a realistic picture of this hotel.The room was attractive but small and lacking in amenities. When we arrived I noticed there was some icky black stuff around the tub (while it might be alright in one's own home it is NOT acceptable in a hotel), (!) and while I've rarely complained in a hotel about something like this I did so immediately, fearing that I'd be nauseated everytime I showered or bathed. They were nice about it and apologized profusely, and if you hang around the reception desk for any amount of time you'll hear this same apology over and over again. Apparently lots of guests call down to complain about things in this hotel. A &quot;manager&quot; showed up in the room, spent a while inspecting the bathroom and even tried to do some cleaning, but to no avail. (It actually made me feel better that is was more of a &quot;stain' than simple dirt). He said it would absolutely be taken care of the next day. (I would try covering it with paint, quite frankly). It was never taken care of and I didn't complain again, having gotten used to it after a day or two.The beds are not particularly comfortable and the sheets are weird (see other reviews). In this day and age in the US at least, for this price most hotels compete over who has the nicest sheets and duvets. No duvets here; no robes either.The consierge service was fairly poor. Once when we asked for a taxi we were instructed to just go outside and find one. Another time we called down for a taxi that we needed in half an hour and they told us to just ask for one when we came down. Since they were also in the business of selling tours at the consierge desk we had the sense that we couldn't totally trust them to give us the most objective information. They seemed annoyed and put out about having to draw us a map. There was no comparison to other consierge services at other hotels that we've used, where the consierge's have seemed truly happy to help us and give us the most complete and comprehensive information, looking up information and printing it out for us with barely a promt or half formed question on our part. At the Hesperia is was like pulling teeth, or simply seemed that we were bothering the consierge who had better things to do (and who often wasn't even at his post).Breakfast: When we checked in they tried to lock us into a 10 pound a day buffet breakfast for the duration of our stay. Since 10 pounds is about $25 American it seemed like we could do better on our own. At small places in the area that cater to locals you can do much better (but these aren't that easy to find). At Victoria Station, which is across the street you can do better at starbucks types of places, but the restaurants in the station are just as expensive and even ruder than the Hesperia. We ate at the Hesperia once (for about 15 pounds since we no longer qualified for cheaper rate) and since we arrived at close to 11 AM we were told that we could eat breakfast but we'd have to do so quickly since breakfast was about to end. (A family argument ensued, since that was not the most pleasant way to start the day, but since we had slept in and gotten such a late start it was decided that we would bite the bullet and stay). The coffee was awful, and quite frankly undrinkable. The spread looked very nice and we quickly piled our plates up since they were packing up as we were piling on. The food was so-so. At one point I had to get up and ask a server for ketchup since they had already cleared it away and she seemed a bit annoyed about the request. Perhaps they should have just told us we arrived too late.A couple of times when we got back to the hotel late, were exhausted, and hadn't eaten dinner yet, we ordered room service. The food wasn't bad but there were some annoying things: Once the soup was delivered half empty having sloshed all over the bowl. (Very good tomato soup). The waitress noticed it, commented on it, and then just took her tip and left. I had to call down and ask for a replacement. I also asked for a bucket of ice (ice was only available on two floors of the hotel and we were at least two floors away from the closest one). The person I spoke to on the phone told me that I should get the ice myself. (Excuse me!) (Another time room service sent it graciously).When I went out to get the ice I used the stairs since our room was far away from the elevators and in the staircase you see the seedier side of the Hesperia. You see the hotel before the renovation (or should I say the cover up?). A hotel staffer found me there (there seemed to be janitorial type offices there) and seemed concerned, helpful, alarmed (I'm not sure) and pointed me in the direction of the elevators. We never made it to the pool and spa so I can't say how nice or not they were.There is no lobby to speak of, only the bar lounge. So if a teenager wants to sit while a parent takes care of business it is a little awkward.When ordering room service there were no soft drinks on the menu, which I assumed meant we were supposed to use our in room bar which was very expensive for teeny weeny bottles. (Apparently the UK has a size bottle that I've never seen in the US. It was so small that it was barely more than two shot glasses full of liguid. Cute, but not very practical, since at least two are needed to quench the average thirst). We did, occassionally, buy them in a thirsty pinch but a better bet is to go to one of the small supermarkets in Victoria Station and get soft drinks to go. Also, there you can find some very good packaged salads (gourmet-ish) and sandwiches which were much better than most pre-packaged supermarket take-out meals. No real &quot;fridge&quot; to speak of (just the mini-bar)......there was no place to freeze anything (I like to freeze water bottles in the summer). There was no in-room iron, but rather a strange pants-pressing thing that I couldn't figure out).The location is excellent, both for the theater (GO SEE BILLY ELLIOT!) and for Victoria Station. We used the tube all the time, and not the rail, but it would have been easy to catch a train from our base at the Hesperia.The few times we took taxis, the drivers did not know what we were talking about when we said the Hesperia, across the street from Victoria Station. One chuckled and said he thought we had mis-information. It seems that this used to be a Holiday Inn or something or other. Also, if you say BEHIND the Victoria Station (the street address didn't seem to help since it isn't on a recognisable street) you have a better bet of having the driver figure out where you want to go. (One driver gave us a lecture because we didn't have the exact address and he told us the importance of always carrying the address and phone number of our hotel. It didn't seem necessary: the hotel was right there: right across the street from Victoria Station on Bridge Place! The room keys that we carried didn't have the info. that the taxi driver wanted, either.Four star? Hard to believe. Acceptable? Yes.I'm sorry I didn't see the pool. That might either make this place exceptional or at least simply worthy of its' four start rating.When and if we return we will probably look first for another hotel in this same area. We really liked being so close to Victoria Station, although perhaps we'd like being just as close to other tube or rail stations --- which there are a number of, in London. If we can't find one in our price range, we would return to the Hesperia, after carefully reading and re-reading all the reviews here. The interior design IS nice, so that's a plus. You feel like you're staying in a clean, fresh, place. Just don't look too closely or else you'll be put off by the cheapness of the renovation and by other things which I didn't look too closely at so I can't report. Since averages can be tricky and reviews confusing, I'd seriously study the travel &quot;deals&quot; out there and compare them to TripAdvisor's reviews before settling on a hotel. I checked and cross-checked when booking our trip and was so appalled by rates of four and five and seven hundred out of a thousand that I jumped at the Hesperia (a few other hotels in this price range were as highly rated but were all supposedly in &quot;out of the way&quot; places. I would re-consider how &quot;out of the way&quot; these places are as long as they are close to a tube station. While the Hesperia was acceptable and not in the class of &quot;we've got to check out of here immediately, no matter how much money we lose&quot; catagory, we stayed, and I'm trying to give a fair and balanced and honest review. HOWEVER, the Hesperia really doesn't live up to the usual 3 and 4 star hotels I'm used to staying at. I don't see myself as overly picky: I've even liked hotels where on occassion a staff person was rude or a housekeeper wassn't perfect or we didn't immediately get what we asked for. The only time I have ever asked for a room change was in a US hotel where we smelled fire, the manager agreed with our assessment of the smell, and said he didn't know where it orignated, nor could the problem be solved until the next day. I'm simply trying here to give a more full and comprehensive review of what a stay at the Hesperia is really like.The Hesperia's internet is excruciating slow and annoying (you have to keep re-logging on using a long username and password) and the TV channels are awful, which was probably a good thing: it kept my teenager from even turning on the TV after a while.Their wake up service was messed up! There was a recording that said &quot;If you'd like a call back in ten minutes press any button&quot; and even when we didn't press a button they called us back and back and back and back until we'd finally take the phone off the hook. The one or two times we pressed the button bec. we wanted to be called back, we weren't. They seemed to be aware that this service was whack (spelling?) because on our day of departure for a fairly early flight they called us directly (a person, actually) to ask if we had received our wake up call.They also got us a taxi for the airport which we had asked for the night before. No questions, no &quot;go out on the street and find one yourself.&quot; The taxi was there before we were.So..........you decide. And enjoy wonderful London. We did.	
Aug 28 2007 	Great location excellent beds	We booked this hotel as part of a theatre package, but would definately book there again independently. The hotel is not very old and the location was terrific, just behind Victoria for underground, buses etc. so I would book again if I was doing more sightseeing. It is a 4* and it deserves to be. The room was smart, very clean and when we reported that the bedside lamp wasn't working someone came to repair it within 15 minutes. The bathroom was superb, shower great and extremely clean. Didn't go much on the Aloe Vera shower gel, the smell was yucky!! There was not a view from the window as we were at the back and just looked at the back of other hotels or offices, but it wasn't too bad. Air conditioning was perfect. The beds were the most comfortable I've ever been on and there was a range of pillows to choose from if you weren't happy with the ones they gave you. The breakast was buffet style and the food didn't stay hot for very long but the choices were plentiful. I chose a Spanish Omlette as there is a great Spanish influence throughout the hotel. Staff were helpful and polite.	
Aug 28 2007 	Quality	A fine, clean, quality hotel with the staff very good (although mostly Spanish), Clean rooms and a Excellent Breakfast. Late bar stayed open until 1am. The hotel is posistioned right next to Victoria Station with plenty of shops nearby and only a 15 minute bus ride to the West End. Proper Hotel cost was £275 per night but on there own website can get it for £138 (No Breakfast). But they have a guarantee, if you can beat the price they will match it &amp; upgrade your room to a excecutive room. I eventually paid £98 Including breakfast, chocolate, juice and water just by checking the web sites.	
Aug 12 2007 	A good hotel at a reasonable price in a great location	I spent two nights at the Hesperia and have to say that considering it was one of the cheapest four star hotels available that weekend, it was a great place to stay. Clean with friendly and helpful staff (we asked for some extra sheets and glasses at reception and they turned up in minutes) and in a great central location right next to victoria station I can heartily recommend this as a place to stay. We had a room at the back which is currently a bit of a building site, and didn't suffer from any issues with noise that some other reviewers have noted, though I can guess it might be a bit noisier during the week. Overall a bargain compared to other London hotels	
Aug 9 2007 	Fantastic experience	My husband and I stayed at the Hesperia for 4 nights from 7/27-7/31.We were pleasantly surprised when we checked in at 10:00 am following a long overnight flight from Miami and were immediately offered our room. The room was large with two double beds on the 4th floor facing Victoria Station. I was concerned about train and street noice but did not hear any noise at all. Our air conditioning worked beautifully. I really liked the shower will the full shower curtain so we didn't flood the bathroom. We loved this location because it is directly across the street from Victoria Station and the Underground. There were lots of places to eat -both fast food-English style and American style(McDonalds) and sit down restaurants up stairs. This was a much cheaper option than most restaurants which were very expensive. There is also a mini mall and lots of little grocery stores with great sandwiches and healthy salads. The variety of potato chips were facinating- ham, chicken and prawn flavored chips- we liked them all. Wine and liquor is also available. The hotel is within walking distance--10 minutes of Buckingham Palace and about 10-15 minutes from Westminster Abbey. The double decked tourist buses were just in the front of Victoria station. Two years ago we stayed at the Holiday Inn Kensington Forum and we found Hesperia to be more convenient, larger and cheaper. I made my reservations at Hotels.com and got really great rates. This the the place we will stay on any future trips to London. I would like to say a special thanks to the Concierge, Moucharem Gkertsek, who was outstanding in his assistance to us. He is truly and asset to anyone staying at the Hesperia.DD	
Jul 26 2007 	Great hotel for the price	Stayed at this hotel for two nights during a theatre trip to London with some friends and family. Centrally located right next to Victoria Station. Rooms were very spacious and modern. Beds were very comfortable. Breakfast was one of the best I've ever had in a hotel and well worth the extra money. Did not eat dinner in the hotel as there were plenty of restaurants and bars in Victoria to choose from.I agree with the other reviewer about the noise from the train station though as our room was at the front of the hotel. It didn't bother us too much as we were up early in the mornings anyway but definitly ask for a room at the back of the hotel if you can. Besides this I could not fault the hotel to be quite honest.I would definitely stay here again if I return to London. the only other hotel I stayed at in London was Jurys Clifton Ford Hotel, and I thought the Hesperia far outshone it in terms of value for money and standard of accomodation.	
Jul 7 2007 	Met expectations	We stayed at the Hesperia for our family vacation in early July. Since we traveled with our very curious toddler, we did not want to pay much more than US$200/night for a tiny non-air conditioned room with peeling wallpaper and dingy floors. We also wanted a large private bath and a location close to public transportation and many tourist attractions. After researching hotels for over a month, we decided on booking a standard double room at the Hesperia using a discount online booking agency and overall the hotel met our expectations.Good: Great location across the street from Victoria station within walking distance of Buckingham Palace, Westminster and the Tate Britain. We had a quiet spacious room facing the back with a large double bed, good sized bathroom with a strong shower. Breakfast was excellent (included in our rate). Housekeeping, concierge and front desk staff were attentive, and the restaurant staff was very friendly. Air conditioning was quite effective at cooling our room. Free wireless internet access in our room was easy to use. Other positives were the nice toiletries, an in-room safe, the LCD TV with many channels, and complimentary coffee, tea and hot chocolate.Bad: As other reviewers have commented, the front desk had difficulty understanding our pillow choice request and housekeeping figured it out after bringing the wrong pillows. One day housekeeping forgot to empty our bathroom trash and another day they replaced our drinking glasses with obviously used dirty glasses. When checking in, the front desk asked if we would like a paper but did not mention they would be charging 65p for each weekday and 2 pounds for the Sunday paper, so I was quite surprised at the over 5 pound (that's over US$10) charge for 5 papers when I checked out.I would recommend this hotel, and I would stay at the Hesperia London Victoria again.	
Jul 5 2007 	Don't get a room at the front!	This was my second visit, my last review I gave a 4. It's still convenient, bright and modern but this time I experienced some problems:It seems that last time housekeeping hadn't &quot;accidentally&quot; forgotten to put a mattress cover or base sheet on. Apparently, that's what they do. So, you see the top of the bare mattress where your pillow is and then have a flimsy sheet on top. You are expected to lay on that sheet with a duvet on top of you. My solution? Grab the duvet off the other bed and lay on top of that. Doesn't strike me as being a very hygenic way of making the beds!Had a meal in the restaurant and it was pretty empty. However the service was very inattentive. I had to call the waiter over for more drinks, the desert menu, coffee, the bill etc. Not very proactive.Finally, and the worst. If you do stay here you MUST request a room at the back of the hotel. At the front you overlook the station which isn't too bad. However, you also overlook the station bin/garbage area. They work on this until midnight. Scraping the floors, shouting, beep beeping machines. They then start all over again at 6am. Aaargh!	
Jul 4 2007 	Good location but it lacks a little warmth and character	We chose this hotel due to it's location which was good. It is clean, modern and fresh inside but didn't really offer any personality at all. Staff were polite but again, didn't extend themselves with welcoming warmth. The beds were comfortable and the room was satisfactory.	
Jun 15 2007 	We liked it	Stayed for the weekend, reserved a twin but found on arrival we had been allocated a double, the staff's English wasn't that good but they sorted it out fairly quickly. The room was situated on the 5th floor over looking the train station but the noise from the station was negligable. The room was modern, quite spacious, the beds were a good size and very comfortable. The bathroom was a good size, with a power shower. We didn't use the restaurant or any of the other facilities at the hotel so cannot comment on them. The hotel is excellently located for the tube, only a couple of stops from the Westend. We parked in the carpark of the station which was close to the hotel and cost £40 for the weekend. We enjoyed our stay at the hotel and would stay there again.	
Jun 4 2007 	Fantastic	Yes Location Location LocationThis hotel was much better than I expected, the rooms where well kitted out and clean. there were nice little touches in the bathroom like a shaving kit and comb as well as the usual soap and shampoos.It looked like the room has been newly refurbished and was very modern with a flat screen telly with a few sky channels.We did not eat there but the restaurant looked nice and very clean. Bar prices for London were fantastic £2.30 for a gin and tonic.The Swimming pool and Health suite was a little dated and could do with a refurbishment but where can you find a hotel with facilities just behind Victoria Station.We actually paid £100 a night which i was happy with i don't think i would pay any more.Staff were very friendly and we would definately stay there again	
May 31 2007 	Location Location Location	This hotel is easily accessible to all attractions and sites in London because the hotel is steps away from the Victoria Rail and Tube station. We arrived in England from Gatwick Airport and took the Gatwick Express Train into London which was a quick 30min (nonstop) ride to the Victoria Station. The hotel staff was very helpful and kind. The accommodations were standard, but comfortable, except for the room temperature. The weather outside was quite cool, requiring a light jacket and sweater to stay comfortable, just the opposite of our sauna that we had for a room. We mentioned the heat to the staff and they suggested to keep the window closed in order for the air conditioning to work, but this didn’t help a bit. We had to remove most of our clothing when entering the room during our restbreaks from site seeing. The only relief we got from the heat was in the evening, as the cool London air filled up the room with the window open. Overall I would still recommend this hotel due to its prime location, maybe it was just our luck that the air conditioning was busted in our room…	
May 1 2007 	A1 Hotel in great location	My wife and I enjoyed a 3 night stay at the Hesperia Victoria and found that it offered excellent value for money. It cost a few pence over £300 for the three nights for the two of us in a double room with one of the largest (and most comfortable) beds we have ever had!The room was on the 7th floor at the rear of the hotel. Whilst the views weren't wonderful that didn't spoil our stay at all. The room was large, modern, comfortable and spotlessly clean. The flatscreen TV had a wide range of choices and the picture was crystal clear. A well stocked minibar provided useful space for fresh milk (not supplied) for the tea/coffee making facilities. Plenty of easy to use wall sockets for electrical equipment. We stayed on what was a warm weekend and the room was always a nice refuge - the air conditioning was really effective and controllable and the room window opened easily for additional comfort. The bathroom was roomy, clean and tastefully decorated (as indeed was the main room). It had a large bathtub with a constant supply of hot water as well as an effective shower. The towels were changed daily. Room service was reliable and quick.Courtesy newspapers were available at breakfast by the Reception area. The self-service breakfast was included in our tariff and the choice was plentiful and will suit most tastes. I opted for an English breakfast each morning and found it well cooked and tasty. There was also a wide choice of fruit, cereals, cold meats, etc. All the staff at the hotel were friendly and helpful. The hotel is part of a Spanish owned group and many of the front desk and restaurant/bar staff were Spanish - but with very good English.The location of the hotel was ideal for us being just across from Victoria Station and Underground. We also had tickets for &quot;Wicked&quot; at the Apollo Victoria and that was no more than a 2 minute walk away. We did, as many do, quite a bit of walking. Westminster Abbey and Parliament, for example, is a leisurely 10 minute stroll. I can't comment on the leisure facilities and pool as we didn't use them (forgot our swimwear) but other guests we spoke to had only positive comments.I highly recommend this hotel. We'll be back next time that we are in London - count on it !	
Apr 13 2007 	Wonderful experience!!	I absolutely recommend this hotel! Me and my husband visited London for the first time and stayed in this hotel last year and had a great experience. The hotel is very clean, the room we stayed was roomy and comfortable. The breakfast buffet was delicious too. People working on front desk were very helpful giving us info. The location is great, because is across of Victoria Train Station. We did not feel unsafe in this area.	
Apr 9 2007 	Perfect!	We have just returned from a 4-day stay in the Hesperia which was perfect in every way. We stayed in a double room and found a rollaway bed for our daughter already set up in the room on arrival. The decor of the room was very tasteful, with thick curtains fully able to block out the light. Despite construction work outside our room, we never heard any noise.We found all staff very pleasant with a manageable level of English. The hotel location was great for our arrival by coach into Victoria coach station. Also easy to find from the underground using the National Rail Platform 1 Hudson Street Exit.The bathroom was very clean and comfortable, with particularly nice little soaps.We booked through wotif.com for a good deal, although breakfast not included. However we enjoyed easy breakfasts from starbucks, the station and even the marks and spencer opposite. The only point - room temperature was very hot! We found we had to sleep with the airconditioning on as the rooms were heated to an uncomfortable temperature. we did notify the reception desk of this on our checkout as it seems like a great waste of resources to heat up a room and then cool it down again.Otherwise top marks for a perfect stay.	
Mar 27 2007 	Do yourself a favour.......!	Booked my single room for 3 nights on a travel website. Arrived early in the morning at the hotel after flying in from Sydney. Was shown immediately to my room. Sensational view. I stayed 3 nights and had a full cooked breakfast each morning. Also there was free wireless internet access as well which was great.The staff were very helpful and attentive. Despite the hotel being directly across the road from Victoria Train Station there was no noise, and it is a very handy location.I would highly recommend this hotel.	
Mar 4 2007	Good hotel!!!	Really liked this hotel. It's good for tube/rail links, although there's some station noise early morning.The food was good, with plenty of choice, and the rooms were nicely decorated, although we could have done with a brighter light to read by!! Thanks to the staff, who were friendly and helpfull, we really enjoyed staying there.	
Feb 28 2007	Great Hotel	I stayed in this hotel for a long weekend and had a great experience. Reception: Check in time is 2pm but I arrived at 10am in the morning. I was given a room immediately by a receptionist who was both informative and courteous.Room: The room was very nice. I did not experience any problems with drainage or dirty/unuasble windows. Leisure: This is the only section that let the hotel down. The mens changing rooms should be brought up to date. Unlike the rest of the hotel the changing rooms should be cleaned regularly (or more often) and the pool looks a lot bigger on the website than it actually is.Overall: A very good experience. A good 4 star hotel.Location: It can be a little tricky to find. If you arrive by train/underground (or else just walk into victoria station), follow the platform 1-8 signs for national rail, when you get to this section follow the exit sign for Hudson Place and the hotel is directly across the road.	
Feb 11 2007	Excellent rooms	Very central location only a few minutes from the Victoria bus station and the railway station, though it took us a little while to find it since it is in a back street. Rooms on the expensive side, but at £79 through an internet booking service, our double room was a superb offer. Breakfast not included though, but there are all kinds of eateries right around the corner at the Victoria station.	
Jan 30 2007	Not bad but could be a lot better if they improved the little problems	I have stayed in this hotel many times during 2006. The staff are always pleasant and on most occassions I have enjoyed my stay. The hotel markets itself as 4* and this is where small little things let it down:* The rooms are normally very hot and the a/c rarely works - you can either have it quiet and hot or open the window - get the air but get the noise* The windows are always filthy - I have never known them be cleaned in 2006* There is clearly a drainage problem - especially on the lower floors and water doesn't drain away properly.* The TV's (plasma screen) are always badly tuned and it's a guessing game to see what's on what channel - many are very snowy as well.* The health club is ok but a little small - it's always quiet tho. The male changing rooms are pretty gruesome - dirty with broken tiles - and clearly the drainage problem is worse here than anywhere.I had a free upgrade to an executive room once and apart from a bathrobe I could find nothing different to the normal room - I certainly wouldn't pay extra for such a room.The Hesperia is not a bad hotel but with attention to some of the small issues it would be far better positioned as a true 4* hotel in the Victoria area.	
Dec 8 2006 	Nice Hotel Convient Location	My wife and I stayed at this hotel, for 4 nights just after Thanksgiving. The Hesperia is very conviently located across from the Victoria Train Station. The bed was large and had a warm and inviting comforter. There was a building under construction next to the hotel, which did create a morning noise.We were upgraded to a jacuzzi sweet, wich also included a seperate rooom with a couch, desk and dinning table. I would reccomend if the price difference is smallThe morning breakfast was nice, coffiee cups were filled quickly, fruit was fresh. The rest of the food was rather bland.We found the staff to be helpful when needed. The room was cleaned every day, and in the evening supplied choclates to the room.The Hesperia location offers quick access to trains and the tube. Beds are comfortable, Breakfast is convient but not necessarly special. There really is just a mission element that makes me say WOW! why I would not give an excellent rating and only Above Average.	
Dec 4 2006	great place to stay	great location - right next to public transportation. good service, fun hot tub and pool. only bad thing was AC leaked in room, but room was big, comfy, clean. would definately go back!	
Nov 24 2006	Just What We Needed!	We booked The Hesperia London Victoria for a Theatre Break to see Dirty Dancing and we had a great stay. The hotel is so convenient for all the sights being a 30 second walk to the train/ tube! Our room was clean and tastefully decorated with a flat screen TV and an excellent shower. We had no trouble with the noise - we were facing the station but had a 6th floor room so we had a decent view. On arrival we noticed our window wouldn't shut properly, and after reading other reviews I thought they would take ages to fix it. However, the maintenance guy was at our room within 5 mins, was really friendly and polite and fixed it no problems. The hotel staff were polite and professional at all times and we had no problems understanding anyone.A wide variety of food was offered at breakfast to cover all tastes, in pleasent surroundings.The only bit of the hotel that stopped me giving it 5 out of 5 was the leisure facilities. The changing rooms were a bit grubby and the pool was very small and not very inviting. However all in all it was a briliant stay in a good modern hotel and I would definitely stay again! 	
Nov 13 2006 	Fantastic location great hotel for a short break	We booked this as part of a theatre break and couldn't believe our luck when we saw the prices! We got 2 nights and theatre tickets for £175 so worth checking out offers for this hotel as we think we got a bargain. The location is great - right across the road from Platform 1 exit in Victoria station. Great if coming in via Gatwick Express and easy for using the tube. Lovely breakfast. Clean compact rooms, decent shower. My room was not noisy at all l have to say and the view doesn't matter as you tend to sightsee in London and are never in your room that long!! Nice meal and good service in the restaurant. The bar area is a bit bare and not very cosy but ok for a drink or two. Didn't see the pool facilities so can't comment but l would recommend this hotel and would stay again.	
Nov 8 2006 	Nice location terrible hotel even worse staff.	I shall start with the bad points from our stay- I upgraded my room on arrival to an executive room expecting it to be of a good standard. When we got in the room the lights in the shower or the hall did not work, there was also a rather unpleasant smell of urine and the air conditioner had leaked, which had left a pool of water on the floor which my girlfriend slipped on and nearly fell over. We obviously complained about this and demanded another room; but were told by the staff (none of whom can speak very good English) that there were no more rooms available. So we settle on getting maintance to fix the faults, eventually after about 3 phone calls, we had the pleasure of watching the maintance guy work while my girlfriend and I tried to enjoy our meal from room service.Not that it was worth calling him as he didn't have the bulbs anyway so we were still left looking forward to showering in the dark. An for an added bonus he had smashed a bulb trying to replace it, which left glass on the floor that my partner then cut her foot on. So again I complained to the manager and finally a new room was (as if by magic) available and we moved. The new room was OK assuming you over look the view of a building site and the loud noise of trains and a construction site.There were however numerous other things that went wrong while we were there, far too many to mention. (We only stayed 2 nights!) So many things went wrong that we were on the verge of moving hotels, had we of been staying longer than 2 nights we would of checked out.The major fault of this hotel is the staff, they are quite frankly rubbish, I have yet to stay anywhere where there is such a large collection of incompetent people in such a small area.As I said none of them speak English, which for the capital city of England is not good.There also seems to be a clear lack of any management or customer skills by any of the staff, including the manager.We submitted a complaint on our departure and demanded that someone from management call or email us with a response to all our complaints. As yet I have heard nothing. (That was 4 months ago.)Now for the good points – It is located right outside the door to Victoria, which is good. That’s all. My advice, stay well clear of this hotel! Do yourself a favor and stay anywhere else.	
Nov 1 2006 	Excellent Hotel	We chose this hotel for its location as we were going on the Orient Express from Victoria Station, it is literally just across the road from the station &amp; the exit is near their departure lounge at Platform 1. We were really impressed it is modern &amp; clean the room was tastefully decorated &amp; staff were friendly. Would definately stay there again.	
Oct 24 2006 	Great location okay hotel	This hotel is very conveniently located. We flew into Gatwick and took the Gatwick express directly into Victoria Station. The hotel is literally next to the train station.We did not have any train or street noise issues. But, we were out for most the day. There is construction going on right next to the hotel as well, so if you're planning on spending time in the hotel during the day, then this might not be the place for you.Like many hotels, the walls are a bit thin. But, we really didn't have any issues with noise. The room was clean. Water pressure was not good. Water did not drain well in the sink or in the tub. Toiletries did not smell good, but this is subjective.From the hotel, we walked just about everywhere. Within a 5-10 minute walk, we could go to Buckingham Palace, Westminster Abbey, Big Ben, and Parliment. Within a 20 minute walk, we could go to Trafalgar Square, Picadilly Circus, etc. Moreover, because of the train station, we had great access to buses and the underground. Also, there is a grocery store in the station and a Marks &amp; Spencers. Great places to pick up quick and cheap food as well as big bottles of water.I would stay there again because of the price and the location. It certainly is not luxurious, but it's not too bad either.	
Oct 23 2006	Short but sweet	Stayed 1 night at this hotel. In the hotel for less than 12 hours, but as a first time user was offered an upgrade on arrival. The Executive Rooms are well equipped with flat screen tv, Wifi access and all the usual bits.Would return to this hotel and hope to stay longer to sample the other facilities of the hotel.	
Oct 17 2006 	I now need to catch up on some sleep!	Based on earlier reviews a colleague booked this for a conference - don't fall in to the same trap.- The bedrooms are invariably noisy (you can hear the trains, the station announcements or the all-night rubbish collection)- and because you daren't open the windows the rooms are also stuffy.- The bar is very small and has no, no-smoking area. The TV seems to have SkyNews on loop - very distracting -and one CD.- The wine is overpriced for the quality (£16 for a Rioja that I would not pay £2.99 for in Aldis!)- The swimming pool is tiny (the gym was closed for reflooring so I can't comment on that)- Signposting of food and refreshments in the conference area is poor- The pre-theatre dinner menu has a very limited choice - but none of it is good quality (and most of it appeared luke warm at best.). No way of getting your 5 portions of fruit and veg.- The TV was a good size but you had to guyess what channels were which and there was no radio.There was no water in the room, although there was a kettle and tea + coffee.On the positive side the toiletries are good. The room contained an iron and ironing board as well as a trouser press, with two hairdryers. And the buffet breakfast and lunch was a lot more palatable than the dinner.But considering the price, I woud not recommend staying here if you have to pay yourself!	
Oct 15 2006 	Great value great service recommended!	A friend and I stayed at the Hesperia Victoria the first weekend of October and were delighted with the service, the rooms and the location of the hotel. The rooms are modern and clean, the beds are comfortable and everything worked.The breakfast is excellent, there was a choice of cold and hot foods plus yoghurts, toast, pastries and cereals. The coffee was not great, a little dissapointing for a Spanish hotel chain, but everything else made up for this small oversight. Free daily papers are available in the reception area for the enjoyment of the guests.We booked throught the hotel's website and got a really good reate (£79 + VAT, including breakfast), not bad for a 4 star hotel. Great location for Gatwick and the theatres.Will stay again at this hotel on our next visit to London.	
Oct 10 2006 	You'd have to go 5 star to do better than this!	We have just stayed at the Hesperia Victoria for a couple of nights and I was delighted with it. As we were wanting to be close to Victoria it was ideal - just behind the station. I had worried it might be noisy but it wasn't at all. However, we may have been lucky - we were on the sixth floor and at the back of the hotel so didn't get any traffic or noise from the station. I can't say what it would have been like lower down or at the front.The room was lovely - good size, especially for London. Very clean and well appointed. Bathroom was good and everything worked well.Breakfast was lovely, plenty of everything and all very fresh. If you visit it is worth going to the restaurant, or visiting the restaurant if you aren't staying there. The standard menu is quite expensive, but the wine is reasonable. They do an excellent pre-theatre three course menu, which only has a choice of three dishes for each course, but the quality of food is excellent and extremely well served. I was also impressed by the efficiency of the staff throughout. They seemed to be all Spanish, as I suppose you would expect in a Spanish chain and some did seem to be learning English, but all were very polite, friendly and efficient. I wouldn't hesitate to stay there again.	
Oct 8 2006 	Great Hotel shame about the staff	After reading the reviews on the hotel i was prepared for some problems with the staff. and yes when i got there the problems started and it was with the staff i booked 4 rooms in my name and they couldnt understand why i needed 4 rooms and didnt save 4 rooms for me even thought the booking was for 4 rooms.3 doubles 1 twin when we got our rooms 1 double 3 twins went and complained was told sorry no rooms available i explained that i wanted a double i kept on and I got the doubles i wanted after them saying there wasnt any.The rooms are just right we were only there for 1 night very clean tidy and pleasent. The food was great got a good deal on their website for the room £79+vat that included breakfast and to upgarde when we got there was only £15 which included bathrode bigger room a few drinks and chocolates.I would recommend this hotel but i would advise anyone staying that they make it clear as possible what you want and dont accepted No from them as there is always a way round it.	
