	Will always check here first when staying in London	This was our second stay at the London Elizabeth and we will definitely look into staying again. There is no denying that it is tired and shabby in places but it is only chips and cracks. It is clean and comfortable and has such character. Our first room was quite small but we must have been happy with it as we booked again for our next London trip and our room this last weekend was spacious with two armchairs, fireplace, desk and wardrobe. There was street noise this time but it didn't really bother us. The room was too warm for me but most hotels are (there was air conditioning but we didn't turn it on). There are no tea or coffee facilities so we took our own travel kettle etc, there is no fridge but we found a ledge outside the window to put the milk on. The location is brilliant, (google it, it has street view), bus stop outside, seconds away from Lancaster Gate tube and minutes walk from Kensington Gardens, few more minutes from Hyde Park. We (in our mid fifties) easily walked to and back from the Royal Albert Hall (takes about fifteen - twenty minutes). All staff we met were friendly, check in staff were brilliant and very helpful. There is a lovely pub just around the corner called The Swan. Breakfast comes with the room and on this occasion the bread rolls were stale, but you do have cereals, tinned fruit, yoghurt and fresh blueberry muffins. There were croissants, pastries and some brioche but we didn't have those so can’t comment on the freshness of them. I should add that the breakfast last time (end June) was much better. Both times though, for two of us, with breakfast it didn't cost £80 for everything and at that price (in London) it is a bargain. If you can afford to pay more, maybe you should do so, but if on a budget, I would definitely try this.	
Sep 12 2006 	tired and shabby	A good location is the only positive thing i can say.The room was so shabby that my 11 year old daughter asked if she could sleep in the car.The t.v was black and white with no front panel.I dare not lie in the bath because i came face to face with mouldy black grouting.	
Sep 11 2006	London Elizabeth: Rude Staff POOR Service	London Elizabeth: Rude Staff and NO ServiceWe stayed here four nights and rented two rooms.This hotel is not central for sightseeing but in a lovely area. We paid for a deluxe room but I can't say there was anything deluxe about it. The second room was small and very noisey. We had specifically asked for Quiet rooms (this was booked 7 months in advance), Holes in carpet, faded design but otherwise adequate. The problem is the lack of service and plain rudeness of the majority of desk staff. We were ignored when asking for a towel, bothered by a request for ice.told they were too busy to assist us with direction; refused to take a cash payment (this was because they said they already charged my card but when I arrived they assured me that it was only &quot;pre-authorized&quot;), They claimed I booked through an agent when I went right to the website and hit reservation. Refused to call us a cab when our aiport transfer did not show. What can I say?.... this is a last resort.	
Aug 25 2006	Not my best stay in London	The London Elizabeth is in a convenient location when the Lancaster Gate tube station is open (which it wasn't while we were there). Located on the Central line you can get nearly anywhere fairly quickly. The hotel is old and dated - the banisters feel as if they could easily break. The rooms are larger than many one will find in London. The bathrooms were relatively updated which was nice. The beds were incredibly uncomfortable! And the street noise outside kept us awake. Even though the hotel has airconditioning, which is a plus, it does let in the noise from the street. Breakfast was very simple and not quite adequate for many in our family. The staff, while courteous, were quite average.	
Aug 16 2006 	Great Location	My husband, teenage son and I stayed at the London Elizabeth from 22nd - 29th July 2006.One of our reasons for booking this Hotel was the fact it overlooked Hyde Park so we thought we would have a nice outlook. This was our only disappointment - our room was in the basement (Room G10) with a lovely view of a brick wall with a busy bus stop above. This meant the room was quite noisy with the constant traffic and also very dull due to there being no natural sunlight getting into the room. Unfortunately as the hotel was fully booked we couldn't change rooms. Having said that, the room itself was very spacious with plenty of space for the three of us and spotlessly clean. The walk in wardrobe/ cupboard was handy to as an extra &quot;dressing room&quot; when we were all trying to get ready at the same time.I suppose the room did have one advantage with being in the basement - as the weather was really hot whilst we were there it meant the room didn't get overly hot as some of the other rooms as the sun wasn't beating in the windows!!!As others have said, the staff were very friendly, polite and helpful and the breakfasts were better than I had expected - a large variety of cereals, rolls, muffins, croissants, other breads/cakes as well as fresh fruit salad, yoghurts, fruit juices and boiled eggs.The location was ideal. Although Lancaster Gate Tube Station was closed it was only a five minute walk to Paddington Tube and Train Station and buses stopped outside the door every few minutes taking you to the busy West End.It was also great just to cross the road into Hyde Park where we spent a few evenings feeding the swans and ducks near Kensington Palace.On the whole, we were happy with the London Elizabeth and its location and would have no hesitation staying there again (only we would prefer a room not in the basement)	
Aug 5 2006	A Perfect Hotel	My 10-year old son and I stayed from July 27th to July 31st. I can't say enough about what a wonderful experience staying at this hotel was for us. I agree that the elevator is very small, and I did have to flush the toilet several times, but other then these very minor inconveniences I thought the hotel was perfect. I wrote many emails to the hotel before our stay with questions about the hotel and general London questions. They answered all of them promptly, and very professionally. We got to the hotel after a long overnight flight, and I was greeted warmly and offered a drink why they got my room ready early. In so many little ways, they made our stay comfortable. I will definitely stay there again.	
Aug 4 2006 	Great Hotel 	This hotel is a super place to stay for those looking for local charm and hospitality. It is not a Hilton large impersonal style hotel, but rather is the type of place where the guest feels like part of the family. Other Trip Advisor comments ripping the supposedly tawdry furnishings I feel are off base. The hotel is not brand new, but the lived in feel of it adds all the more to its charm. Our family stayed in the Grenville Janner Suite July 5-9, 2006, and we have no complaints, but lots of compliments. The front desk staff is efficient and knowledgeable re London directions and recommendations, particularly Trish Norbury and Patrick Karol. Our room - which included a roll away bed for our 13 yr old son - was good sized, well cooled by air conditioning and had a good sized bathroom. An in room safe was most appreciated, as was the small balcony. As this room was at the rear of the hotel, it was very quiet at night. Breakfast in the Rose Room was Continental style, with a good assortment of cereals, baked goods, yogurt etc. The bar is a fun place to have an evening drink, with reasonable prices, and there's a quiet outside area off the bar for fresh air and socializing. All in all, two thumbs up for this well located hotel on the north side of Hyde Park - right at the Lancaster Gate tube station, which is closed for renovation until October 2006.	
Jul 29 2006 	Some Precautions	What a great Continental Breakfast ! But not all good news. Room tiny, beds soft, shower difficult to turn on and change water temps,pillows are a hard old fiberfill, curtains worn and dilapidated, windows single pane and no protection for the onslaught of continual heavy traffic noise, elevator so tiny it fits only one person and one suitcase. Be aware!the HarrisonsPt Moody, B.C.Canada	
Jul 20 2006	Great Location	I stayed at the London Elizabeth in July with my family of five. We stayed in their standard family room on the third floor. I will have to agree with the previous review that with the windows open it gets very noisy at night but since most nights were cool while we were there we had the windows closed and the noise was not a problem. One night we ordered the air conditioner and it worked beautifully to cool the rooms.Positive notes include a very friendly and professional staff, excellent breakfast in the Rose Garden restaurant and a fantastic location to Hyde Park and the Tube with great pubs and other restaurants nearby.The hotel is a little worn and the family room was plainly decorated but if you have the budget, stay in one of their suites. We saw the conservatory while we were there and it was beautiful.	
Jul 18 2006	Lovely and great location	I requested a 3 person room for myself and my 2 teenage boys. The room we were given was very plentiful with 3 single beds with plenty of room to roam. The bathroom was a good size. The location being right across from Hyde Park and next to the Lancaster tube station was prime. Keep in mind, the Lancaster station will be closed starting July 3, 2006 for renovation. I don't remember when it will open again. There are other stations nearby, but a little bit of a walk. The intersection is a bit noisy, but it's ok as long as you don't keep your windows open while you're trying to sleep. We received wireless internet from our room which was a plus. All in all, we were very pleased with this hotel and felt that it was a great authentic london experience.	
Jul 18 2006	Good Enough	This hotel had mostly good points: 1) When I enquired about the rates by phone they volunteered a discounted rate of 90 pounds for my 1 (Saturday) night stay. 2) They upgraded me to a deluxe and rather spacious room on their own accord. 3) The location is good. It is a 5 minute walk from Paddington (at which the direct train to Heathrow Airport arrives/departs). 4) It is virtually at the entrance to Hyde Park which is rather nice. What I was not as pleased about was: 1) The bathroom door could really use a paint job. 2) They forgot to give me my wakeup call. 3) The staff member I dealt with at the front desk during check in/check out, while competent, was not particularly congenial. Overall, this was a reasonable choice.	
Jul 17 2006 	Nice location clean but a bit tired.	We stayed here for 1 night whilst attending a function at the Royal Lancaster about 50 yards away.Our room was on the 4th floor and rear facing, but still quite noisy. The decor and furniture was dated and very twee. The room was fairly clean though and the bed was fairly comfortable. The breakfast was fine but nothing special.The bar was happy to provide an ice bucket and glasses for our bottle of bubbly which was nice. The lift is the smallest I have ever been in and is not good for claustrophobics, but not typical of European hotels as another reviewer stated.The food seemed very reasonable and although we didn't eat, others said it was good.We paid £73 for our room and an extra £10 to park the car for 24 hours, and even managed to avoid the congestion charge despite crossing London to get here.All in all, an ok hotel for the money in a good location but it could do with a bit of updating.	
Jul 12 2006	clean and great location!	I am a woman and was travelling alone, and I felt completely safe in the London Elizabeth Hotel. Good sized room for London. It was very charming, the decor was a lot like being at your grandmother's house. Great location, ok breakfast, and check-in and check-out were a breeze. And the best part - clean, spacious bathrooms! Would return in a second.	
Jun 30 2006	Book this hotel and enjoy London in comfort	Looking for a clean hotel with professional staff and a great location. This hotel is as described with very comfortable and clean bedrooms and bathrooms. Being close to Oxford Street is a bonus. Step out of the hotel and look into Hyde Park and the nearest tube station is accross the road. Worth a visit.	
Jun 20 2006	Very friendly helpful staff great location	My husband and I stayed at the London Elizabeth June 7 - 10, and loved the staff, the location, and the garden terrace. The Victoria Room (deluxe double) on 3rd floor was comfortable and roomy, and the air conditioning worked very well, considering the weather was warmer than usual. The restaurant and bar staff was very accommodating. We had theater tickets and didn't have time to eat dinner before hand, so we arranged that our food be delivered to our room at 10 p.m. so it would be waiting for us when we returned from the theater. It was, and it was delicious. We ate dinner on the terrace one night, (you can choose where you want to eat, in the dining area, your room, the bar, or the terrace). The terrace is very peaceful, with lots of roses, and no traffic noise. Although the hotel is old, it is well maintained and very clean. What's funny is the size of the elevator, very small. Ask the bell staff to deliver your bags to the room instead of trying to maneuver the elevator or the stairs. The hotel is just steps away from Hyde Park, and the Lancaster Gate tube station, very easy to get around town from here. Good restaurants nearby too. If we return to London, we'll stay here again.	
Jun 18 2006	Great location - Very good budget hotel	Stayed at this hotel in June 2006, and was very happy with the choice. The hotel is located right next to Lancaster Gate tube station. The staff were friendly and the rooms were very clean. The only negative was that the hotel had no air conditioning, and London was quite warm (over 30 C).Strongly recommend this hotel for any traveller. There are cheaper places, but this place was great!	
Jun 12 2006	Good value for money nice staff	I booked this hotel for my three nights stay in London.My room (on second floor) was facing the crossroad, so it was quite noisy even during the night; moreover, weather in London has been very warm (29 C) during my stay, so the room was very warm too, and with no air conditioning (apart from a fan on the ceiling, but that was noisy). Apart from that, the room was charming and comfortable for a three star hotel in London.Room and bathroom were clean and kept clean during my stay.Position is great: walking distance from Lancaster Gate tube, on the Central line, just opposite the Italian fountains in Kensington Gardens and a short walk from Queensway, with lot of animation and good restaurants.Continental breakfast was included in room rate (Full English breakfast available on request, with surcharge), and it was good.Staff has been very nice and funny!When I'll come back to London, I'll surely try to stay again there.	
Jun 8 2006	ideal location	I recently stayed here at the london elizabeth hotel it is my third visit there , i would regard the hotel as being a family home from home feel about it. I found the staff very helpful and friendly especially the guest manager Trish who is a real credit to the operation of the hotel . The restaurant and food excellent and all staff very accomodating ,traditional english hotel very quaint right in th heart of london very highly recomended every time i go back to london i will stay there .	
Jun 8 2006	Great location good value	I first picked the London Elizabeth Hotel (LEH) about 7 years ago. Its a five minute walk from Paddington and perfect for when you arrive in London at Heathrow. LEH is also a stone's throw from Hyde Park and the Lancaster Gate Underground.I've consistently been coming back to the LEH over the years because I always receive great service from the staff and its the best value that I've found in London. The front desk will usually provide a discount off the rack rate, unless they're almost fully booked. The rooms are mostly renovated and are a good size. The Conservatory Suite is fantastic and very quiet. Breakfast is included and full English breakfast is an extra four quid. The elevator is minute but, kind of quaint; don't try to get two people into the elevator along with all your luggage - you'll get stuck!Thankfully, they also have free wireless Internet, which works admirably.	
Jun 7 2006	Charming little hotel	To celibrate my mothers 75th birthday I and my family made a trip to London. We stayed at the London Elizabeth Hotel, shoosed it after reading a lot of good reviews. And we all liked the hotel. It was really close from Paddington staion (5 min walking) where we arrived by Heathrow express. We got a warm and friendly welcome at the reception. The rooms were very cute and nice, mabye a bit small. Also a bit warm but it got OK when we opened the windows. There are a lot of traffic outside the hotel but I´m a person that likes the buzy city sound so I slept very good. Extra plus for the two pillows that you got in your bed. The room was very clean and also the bathroom. Nothing wrong with the towels.The breakfast buffé was small but I´m not a breakfast person so for me everything that I wanted was on the buffé.The location for the hotel is really great. It´s only a short walk to Oxford Streed, Queensway and you have Hyde Park on the other side of the streed. You also have the subways just around the corner and the busstaion rihgt outside the hotel. Couldn´t bee better !We alos liked the hotel because it´s not big, just around 40 rooms. And the building with it´s Victorian style itselfe is so lovely.All in all, the London Elizabeth is a nice hotel that I can reccomend for it´s warmness and great location. It´s not luxury but a good middleclass hotel.Mats, Sweden	
Jun 3 2006	If you're a fan of Fawlty Towers its the place for you!	The London Elizabeth was recommended by friends who had stayed there many years ago, and also got good reviews in the tour books. No one mentioned it would be like living at Fawlty Towers, and John Cleese never showed up. Nothing worked the way it was supposed to and the staff became more befuddled by requests. For example, after the third day we finally received a tv remote control that was operable, only if you pointed it at the door (instead of the tv) and used the volume button to change the channel. Our 7:30 wake up call came at 7:42. The bartender in the &quot;lounge&quot; (the only customers besides us seemed to be the staff after they were off shift) did not know how to make any drinks, although he was a nice boy from Poland. Requests for information from the front desk were unfulfilled, &quot;Can I call you right back?&quot; I'm still waiting for that call. We were unable to locate the thermostat in our room to turn the heat down, and were told the heat was on in the whole building, was not able to be changed, and we should just open our windows. When our friends wanted to change their room, it took the front desk four hours to figure out if they had any rooms available. Our friends were placed in one room, their luggage in another, while the correct room was actually a third. Many of the other rooms were either on the basement/ground level (think dark and mysterious) or were very small, worn, and filled with street noise. These quirks are all on top of the worn and mismatched furniture, very worn carpets, and shabby towels. The hotel was &quot;charming&quot; in a way, in that the furniture was old, the elevator could only hold two people without their luggage, and it was decorated in the English garden style (I think). It's location near Hyde Park and the tube station was a plus as well. Our room was a converted conservatory, although decorated quite strangely. I've since been told there are simiilarly priced and newer, more modern hotels close by.	
Jun 2 2006	Great Location	The Location of the London Elizabeth is excellent if flying into Heathrow. You can take the Heathrow express to Paddington and walk(8mins) to the hotel from Paddington. Across the street from the hotel is Lancaster Gate tube stop which is on the central line. So, for exploring London this is great. Note, Lancaster Tube stop is closing from July - October 2006. This means you would have to walk to Queensway or Marble Arch tube stations which can take ten minutes. Hotel itself is old but well kept and rooms are very clean. Bathrooms are above average size for London. Rooms can be quite noisy and stuffy, but all have safe box in the wardrobe. Continental breakfast is avearge and you will pay extra for a poor english breakfast. Hotel staff was why I won't give this hotel a higher rating. Maybe one or two people on the staff were a bit friendly but the rest were just unpleasant and rude. I cannot beleive for the price you pay that the staff is so unpleasant and uninformed. In the end Great location, clean but stuffy rooms, average facilities and breakfast, terrible staff.	
May 28 2006 	It Really Depends on the Room	I stayed at the London Elizabeth after reading so many positive reviews of it. I was looking for an inexpensive (&lt; $200/night) hotel with broadband Internet service that was close to Hyde Park (so I could go running). Yes, it's inexpensive (by current London standards); yes, it has wireless Internet service (advertised as lobby-only, but it reached my room); yes, it is literally across the street from Hyde Park. And as other reviews note, yes, taxis go by fairly frequently (I never waited more than five minutes); yes, a simple breakfast is included in the room rate; yes, the showers are good; and yes, there is a Tube station across the street.So why did I give it one star? Because of the noise and ventilation. The London Elizabeth is on an extremely busy intersection -- and when I say busy, I mean busy at all times of the day and night. Had I been given an interior courtyard room (which I presume exist), it might have been fine, but I had a second floor (third floor to Americans) room overlooking the street. With the windows open, it was impossible to sleep. They have installed double windows to deal with this problem, and they work reasonably well, but then the room gets no ventilation. Many people don't have a problem with this, but I need either fresh air during the night -- either from outside or from an air conditioner. Outside air wasn't an option, and there was no air conditioning. Worse, one of the two heaters in the room wouldn't turn completely off, so when I woke up in the middle of the night (and who doesn't with jet lag?), my room was hot and stuffy. It was so bad that I made other arrangements and checked out two nights early.There are other issues to be aware of, more minor. The elevator is of the two-person or one-person-with-bags type, common in Europe, but be aware you're not going to take the family and the luggage up in one go. The Tube stop across the street, Lancaster Gate, is deep below ground and has only an elevator and stairs, no escalator -- and the elevator can back up seriously at peak periods. Be prepared to climb or to wait.	
May 26 2006	Superb Excellent	We went to London for a 5day long weekend. Our Hotel was the London Elizabeth at Hyde Park. We had a friendly greeting when we arrived and check in was quick and we were shown to our rooms. The rooms were very nice &amp; clean with all the amenities you would expect in a hotel room. We found the staff very courtious and friendly, on our first night we dined for our evening meal which was superb, the food was cooked to order and tasted delicious. Our days out touring London came to be very long and tiring, so once back at the Hotel we either went into the bar or ordered tea which came served on a tray into the lounge. Outside the Hotel is Hyde Park, Bus Stops to take you to most places, and taxi cabspass the Hotel quite frequently. Trish the manager was most helpful in every way possible nothing seemed too much trouble for her.We would definitely go back to London Elizabeth Hotel, and have informed all our friends if they go to London to give this one a try.We say thumbs up for this one.	
May 5 2006	Victorian Jewel	Loved this little Victorian jewel. Smart service. Mgr. Trisha top guest care. Aptly situated across from Hyde Park. Amidst everyday multi-cultural venue. Bus and tube out front. Bed and Breakfast/Dinner fare comfortable and hearty.	
May 2 2006	Good basic hotel	Stayed in a 4th floor single for 75 GBP a night. The hotel is just a bit tired; some of the paint is chipping a bit, the floor in the bathroom was at a minor slant, etc, pretty standard for London. The included breakfast is buffet only, &quot;full English&quot; costs an additional 4 GBP. There is an elevator, although it is very tiny. The room was clean and the bed was comfortable. The small tv was an afterthought and got very few channels, which didn't bother me as all I used it for was weather reports. The bathroom was a good size, as was the bathtub, and water pressure and temperature were both excellent. The location is good, directly across the street from the Italian fountains in Hyde Park; the Lancaster Gate tube station is right across the street, on the Central line which is quite convenient. This location is good for access to the parks, and Oxford and Knightsbridge and Mayfair shops, less so for the theaters around Shaftesbury and Covent Garden. Unlike some of the converted town house hotels this has common hotel amenities, such as room service and common areas. There is always a fire going in the lobby fireplace and the small bar has a good selection, although the bar staff isn't entirely familiar with them. I found the London Elizabeth a pleasant and comfortable place to stay at a reasonable price	
Apr 21 2006	charming eccentric wonderful hotel	What was once grand townhouses is now a somewhat offbeat central London hotel. The location is great, very safe, with efficient bus service right outside the front door and Kensington Palace just across the street. The rooms are eccentric - not your cookie cutter hotel rooms at all - clean, of varying size, and very comfortable in a homey way. The service is EXCELLENT - warm, personal, abundant. Good room service. Not grand, but cozy and genteel in its own way. If you want a glossy 5 star hotel with mega-services, this isn't for you, but if you want good service, and an amusing old-world atmosphere with tons of personality, this is the place. I will stay at the London Elizabeth again and again.	
Apr 20 2006	Great Time at London Elizabeth	This has to be the best hotel in London. Fantastic staff and management, great food, wonderful rooms and a location to die for.If you want a hotel that has everything and more you expect from a stay away from home then this has to be the place to go.Have a great time, we did !!	
Apr 20 2006	Terrible Place	I stayed there with my student daughter at the beginning of April. We found the staff to be unfriendly and uninformed (with the exception of two people). Although we requested a room with a view on an upper floor , we were placed in a small cramped room on the ground floor. Just outside our room was a bus stop and a stop sign so we heard all kinds of noise from the early AM on from people arguing to horns blowing and cars screeching. Included in our room rate was a continental breakfast, the breakfast staffwere rude, rude, rude. They made us feel unwelcome, awkward and uncomfortable. I would never even contemplate staying there again and my advice to anyone who reads this is that they shouldn't either.	
Apr 5 2006	mother daughter trip	As many of you are doing now, I spent months before our trip looking for accommodations. This was by far the best choice for the cost. We arrived early and our room was available.It was one of the smaller rooms with two beds pushed together, bathroom with a standup shower. But for a mother/daughter team it was great. Location, location, location!!!!At the airport we purchased the 7day train/bus/subway transportation card for zones 1 and 2. Right outside the hotel is the Lancaster Gate, off the central line, and it is just that CENTRAL! We rarely had to switch trains, this was nice after shows in the theater district. Usually 10:30pm everyone walked to the subways and took the train home, we did just that! Very safe, the two of us never experienced a problem.The morning buffet was sufficient, eat lots, as food is expensive in London. We had pub food once, then ate ethnic the rest of the time, this was cheaper and tastier.Take a left once outside the hotel, follow the sidewalk around back and take another main left, the first street with stores. We found an Indian restaurant to die for!!!! An internet cafe 1GBP for 30 min and a small grocery store with fresh baguettes and cheeses at 10:00pm (this was by far the cheapest way to eat)The rooms were cleaned daily with fresh towels, the staff was always nice, didn't seem to know much about the different museums etc, but always directed us to the weekly magazine for information.As the last posted note said, The Lancaster Gate station will be closed several months during the summer, this was one of its main attractions.PLease enjoy the walk through Hyde park, every morning we took a stroll, and often at dusk as well.A very safe area, would definitely go there again.side note: this is NOT a hotel which houses school groups, this proved to be a very good thing! I overheard many tourists complain about their &quot;nosily, school group, infested&quot; hotels, not here!cheers, and have a great visit to London	
Apr 3 2006 	Pretty good!	My husband and I stayed at the London Elizabeth for 4 days in March 2006. We found a pretty good deal on Lastminute(--) (about 75 GBP per night for a deluxe room including all taxes and b/fast)- and this made the hotel even more appealing. I don't know if I would've thought it good value for money if we had paid the full 180GBP per room/per night which is the rate advertised in the hotel lobby. Then again, this IS London, and it's not a cheap city!!We were pleased to see we had been given the same deluxe room depicted in a photo on the hotel website - which almost never happens. So, definitely a case of &quot;what you see is what you get&quot;.If we were to go again, I think I might opt for the cheaper Standard room, as I peeked in one of them while it was being cleaned and saw that it was perfectly fine.I think the staff could've been friendlier, but I wouldn't say they were rude either.You can tell it's an old hotel, worn carpet, peeling paint, but this is not overly obvious. In fact, this adds character. The rooms however are clean. The only problem we had was with the hot water in the bathroom. The only way we could take a hot shower was to let the water run for about 10 minutes before it got hot.The buffet breakfast was ok, but you have to pay 4 GBP extra if you want the full English Breakfast.Another fantastic factor of this hotel is its location. It's directly opposite Lancaster Gate underground and a bus going to Oxford St and other tourist sites stops right outside the hotel. Considering the bus is much cheaper, we preferred it to the underground.Bottom line: Would definitely stay there again.Hope I've helped!	
Mar 20 2006	Good but not great like the first time	I stayed here approx a year ago and for me it had the wow factor. My single room was very large with a double bed and plenty of space to move around. Sure, I agreed with those that the lift was very small, but couldn't really fault the place.Fast forward to last weekend. The staff were still helpful, the location still great, the rooms still clean. The difference was the room I was in was much, much smaller. First time Iw as on the first floor, this time the second. This one had twin beds pushed together and the bathroom just had a walk in shower and not a bath with shower over it. I could see other reviewers pov, that if there were two of you in this room with a large amount of luggage there would be no space.Still, the place was still comfortable, clean and the staff were helpful.Point to note though, Lancaster Gate tube closes for a few months this summer for a refit. It might be worth checking this out before you book here as a major advantage of this hotel is its safety and proximity to the tube. I would still return here, but am now aware that not all rooms are even remotely alike.	
Mar 15 2006	Cozy 	Great hotel to stay if you want that authentic British style while in London. Great service and price includes breakfast. However the elevator was only big enough for 2 people and less than 6 feet tall. Great public transportation is available right outside.	
Mar 7 2006	Great Hotel!	I just returned from a 5 night trip to London with my family. We all agreed that the London Elizabeth was a great place to stay. With this hotel you don't have to sacrifice comfort and cleanliness for the sake of saving money. Furthermore, the hotel couldn't be more perfectly situated, as the Lancaster Gate tube station is just across the street and Paddington Station is a five minute walk. Hyde Park is across the street as well, and it can be traversed in about half an hour.ROOMS: The rooms are very clean and comfortable, and the maid service is very thorough. We had fresh towels every day. Please be advised that smoking doesn't carry quite the same stigma as it does in the States and is welcome unless othewise specified. If you don't smoke, make sure you ask for a non-smoking room. My room was relatively compact, but it was intended as a single. There was plenty of storage for clothing and suitcases. Also, rooms are heated by radiator, which you can control yourself. My room stayed as warm as I wanted (a good thing in March), but if it got too warm, I was able to open my window to let in fresh air.STAFF: The staff was very helpful during our stay, and someone was always on hand to answer questions, offer directions, and offer local advice on various attractions, etc. The waitstaff in the Rose Garden Restaurant was also excellent, and they looked after us very well.FOOD/RESTAURANT: The price of the room includes a buffet breakfast every morning. The Rose Garden room is bright and cheery, and breakfast is served two ways: the buffet and made to order. If you would like something made to order, you need to alert your waiter/waitress. Otherwise, they will assume you are having the buffet. The breakfast is standard continental fare (boiled eggs, croissants, yogurt, fruit)but it was all very good. We had room service a couple of times as well. The hotel offers 24 hour room service; no matter the time of day we ordered, our order always came to us HOT. Be sure to try the apple tartlets with custard. Lastly, there are a few restaurants just a short walk away from the hotel, as well as a couple of bars. Like a reviewer before me, I too enjoyed the Mitre pub. Not to be missed. If you are ordering food, order at the bar (the food is excellent! a rarity for pubs sometimes). Stay away from the Pride of Paddington and The Swan if you are looking for a quiet pub experience. Having been in quite a few pubs in a previous life, I can say that the Mitre is the &quot;real deal&quot;.	
Mar 6 2006	Great Service! Adequent Rooms	We arrived at the London Elizabeth around 12am on March 1st. We had a classic double room and it was large enough for 2 people, but beware of the street noise. Lucky, we live on a busy street in Chicago and are used to the noise (in fact we like it), but we did hear some complaints at breakfast the next day. As for the complementary breakfast, it was very good and I did try the English breakfast one morning and it was tasty as well. The hotel is in a great position next to Hyde Park and close to a tube stop. If you have never been to London before, do not be intemidated by the tube service, it is amazingly easy.The hotel overall was a great value. Although the rooms are a little dated, the service is wonderful and the location is perfect. We will definatly be back to the London Elizabeth soon	
Mar 5 2006	Very good for the price	We booked this hotel as part of a package through travelocity, and paid about $70 per night for a twin room (two single beds). We stayed in the most basic room - there was an upgrade to deluxe option, for about $10 more per person - which was clean and quite large for a London hotel room.The location of this hotel is excellent. There is a central line tube station across the street and it's not one of the busier stops (nice if you're just learning the ropes, I would think). It's also a 5-minute walk from the Paddington tube &amp; rail station -- three main tube lines as well as the Heathrow Express.Hotel bar is nice for a quick drink before bed, but there's also a decent pub around the block (The Miter): take a right out of the hotel, right again onto the main road (Bayswater), and then a right onto the first small street (Craven?) -- pub is not far down, on your left.Our only major issue was the shower. At first I thought there wasn't any hot water left, but after reception sent someone up (which they did, immediately) it turned out that you needed to leave the shower running for 5-7 minutes before the hot water kicked in. The handyman said it was the first time the room (#336) had been used since renovation, but the issue was not resolved before we left.I would stay here again, but I would probably upgrade to the deluxe room.	
Mar 5 2006	Good value	Finding a decent hotel room for under £70 in central London isn't easy. The London Elizabeth is in a good location, only 50 feet from a tube station and across from Hyde Park. My room was pleasant, clean and relatively spacious, the staff were friendly and efficient and the breakfast was well above average. One warning though; light sleepers won't enjoy the rooms on the front of the hotel where single pane windows don't stop the heavy traffic noise from Lancaster Terrace.	
Mar 4 2006	A Very Good Recommendation	Friends of ours stayed at the London Elizabeth last year and recommended it to us when they heard we were going to London with our 15 year old grandson. At the time we went, the hotel was having a &quot;great deal&quot;. They were converting pounds to dollars equally so that we saved approximately 40% off the normal rate of the room. We made a reservation for a Deluxe Triple and they gave us the Lancaster Suite which had lots of room for all of us including an alcove area for my husband and myself. The only fault we found with the room was that there was rough unfinished plaster on one wall, most probably from a previous repair and that it was in the basement and we would have preferred a higher floor but we know that the hotel does not have too many rooms which accommodate a &quot;triple&quot; easily so this suite was probably the best for us. The hotel and the rooms were very clean and the breakfast room was bright and cheerful. The staff was very pleasant and helpful. The only fault we had was that smoking is permitted in the lobby which made it difficult for us to sit there at times, especially for my husband who had to stay at the hotel some days. The location is great, across the street from the Tube which we took all over London. We would definitely recommend the London Elizabeth and would stay there again.	
Mar 3 2006	Great location great family deal	We booked direct with the hotel, taking advantage of their family fun offer. The parking facilites are great, there is a lovely bar and lounge area with very friendly staff. Our bedroom was clean but very tired. We were also in a connecting room ajoined with a family with a baby(who woke alot)....the door was very thin and i am sure we were not too quiet earlier -having a teenager who's camp bed collapsed when she sat on it. The continental breakfast was delightful probably not worth paying extra for the minimal English. Evening meal was satisfactory, alot of the items on the menu were unavaliable. Would we stay again... yes great view of Hyde park, lovely staff and great location	
Feb 15 2006	What a London hotel should be!!!! A+	What a great place! Sure the paint's a little chipped here and there, but it's clean and the rooms are nicely decorated, and the breakfast room is lovely, and so is the staff. The location is perfect too. London is full of hotels that don't seem to care much, but this hotel obviously does, and it is a far cry from most you would find in this price range.	
Jan 30 2006 	Great Location 	If you're looking for a great location and a cozy room to spend a little time in, this hotel is perfect! My mother and I would absolutely stay here again! On recommendation of this site, I booked a 3 night stay for Jan 26 - 29. With a 10 minute walk to Marble Arch and Oxford Circus (fabulous shopping), I was pleasantly surprised to find it only a 20 minute walk through Hyde Park to Royal Albert Hall, the Natural History Museum, and Harrods. We were in room 331 and there was some street noise throughout the night, but a truly reasonable amount for being on a major street (Bayswater/Hyde Park Road).	
