	3 nights...perfect...nowt wrong with this hotel	stayed for our wedding anniversarya great hotel....good bedrooms...great fym /pool...also thy now have a spa...for spa treatments....lifts were ok.......no probs at all........nice walks to primrose hill and regents park canal...nice parks in area for kids....playgrounds and stuff.....all nice and clean .......fresh towels everyday ....staff very good and friendly.....will defo stay again 10/10.....	
Aug 4 2008 	Ladies prepared to be seen naked!	Hotel overall was good, but a few items in the room required maintenance.I used the pool area twice during my stay and both times came out of the shower to get my towel, to be greeted by a man (different men each day). Neither of these male staff were in a great hurry to move and one would not move or look away while I walked past to collect my towel (I initially remained in the shower area for 5 minutes but he would not leave so I had to walk past him)I was informed by reception that this was something that did not happen at their hotel, although it happened to me twice in 2 days and neither occasion was there a note on the door to advise men may access the area or did either man shout to inform they were in the changing area.Be prepared to model your birthday suit ladies!	
Aug 3 2008 	Just up to Marriott Standards but wouldn't return...	I am a Marriott reward member and always try to book Marriott's when available. I frequently travel to London for weekends away, and this time decided to stay at Marriott Regents Park. I travelled with my partner, so was hoping for a relaxing but fun weekend and maybe a bit of romance! We booked tickets to see the car show at Excel and then see Kylie in Concert at the 02. We arrived Friday evening and left Sunday afternoon.Previously Marriott experiences have been very good in London, but we decided to try Regents Park as they had a decent deal of a 'Visa Olympics Package' which invovled breakfast for 2, a £100 voucher for a future weekend 2 night stay ( I have used one of these before, and it was a great deal!) and a free gift. I booked the hotel package 2 months in advance, and so far have always been lucky enough to get 'upgraded' to an executive room when I've stay at Marriott hotels, however on this occassion it was not done and i was slightly dissapointed. Our normal 'delux' room as they call them was very nice, spacious which can be unusual in London, very clean, had a nice little balcony which over looked the entrance, the normal AC, king size bed which was very very comfy and a clean (yet rather small) bathroom. Some hotel rooms can be kinda 'dark' (which for a woman, is a pain when u want to do your hair, makeup etc and your partner is in the bathroom!) but this was light and airy.The room was not very 'sound proof' and if you are a light sleeper, you may struggle with noise from people in the halls, etc. To be fair the hotel was fully booked, and there was a wedding party one night which caused a bit of extra noise late on the the hallways. Unfortunately, the hotel staff could not seem to cope with the hotel being fully booked - not enough staff to check us in or out , waiting 15 min in a queue to get breakfast at 10:15am (they say not to go during their peak hours of 9-10am so we went later!) and once seated, we noticed plenty of empty tables around us that they were slow to fill even with a queue! On a plus note, they had a man making balloon shapes for children in the restaurant over breakfast, which was a nice touch for the kids and something I have not seen a hotel do before!! The breakfast was very good thou, you didnt have to queue up at the breakfast bar once you finally got a table and there was always plenty there. Also their breakfast hours were 6-11am which was good for a weekend- allows a lie-in!  The worst thing about the hotel was the ELEVATORS! only three and you would wait ages on your floor to be taken downstairs. Everyone was complaining about it. Also although it looks nice in the photos, the pool and changing rooms were horrible. Very dirty, things broken/falling apart. In the female changing room, water was leaking from the sealing into a giant plastic container - directly over the hairdryers! I assumed they must be switched off - until I saw a young girl (only about 11 years old!) dry her hair using one! Not at all safe!!!!! The floor was covered in water missing the plastic container! I dont think this would pass a health and safety visit! During the week, the pool has adult only hours but NOT at weekends. My partner and I arrived back about 10 pm on Friday hoping for a relaxing swim in the pool, only to find it full of kids up to 11pm. Most were unsupervised, running around, screaming. The hotel assistant just ignored them. The pool was also freezing cold and didnt seem well cared for. We didnt use it again!On a plus note, the hotel is about a 2 minute walk from Swiss Cottage Tube station, and the neighbourhood is very nice and we felt safe walking late at night from the tube to the hotel. The Jubilee line allowed us direct access to the 02 arena and Excel (about 40 min journey) and also easy access (about 15 min) into town - Bond St, Victoria, etc.One guest we spoke to whilst waiting for an elevator told us that the hotel used to belong to Holiday Inn and was bought by Marriott. I'd say that it needs a lot of work to get up to the 'luxury 4* hotel' that it is advertised as... I'd say a 3 star, and not worth the £300 in total that I paid for my 2 night stay!!!!!!!!! We will not be returning!	
Aug 2 2008 	Ideal for families	We stayed here with our 2 daughters for 2 nights from July 30th-August 1st. Room 346 which had 2 double beds which cost £280 without breakfast through Marriott's own website. Hotel is only a 5 min walk from Swiss Cottage tube ( take exit for Avenue East out of tube station, turn left walk to traffic lights, left again and you will see Marriott ahead of you by another set of traffic lights, once you cross road entrance is to the right). This hotel is ideal for families, the pool can be used from 8am-8pm with children, but if you want peace and quiet adults have sole use between 6am-8am and 8pm-11pm. The changing facilites and the overall appearance of the pool, stairs to get from changing rooms etc is definately in need of refurbishment, missing ceiling tiles, rusty pipes in ceiling and the stairs from changing rooms to pool held down with duct tape!!! and dirty. The pool, sauna and steam room are actually quite clean but the other parts mentioned do detract from it. We didn't eat here so can't comment on breakfast etc. Rooms were clean spacious and well equipped, hairdryer, trouser press, iron and ironing board, toiletries in bathroom etc all you would expect, they seem to have been recently refurbished. Lifts were the slowest we've ever encountered and several people also commented on this, waiting more than 5 mins for a lift is OTT. Convenience for getting into London was great 2 stops from Baker St for Madame Tussauds, then change here for Leicester Sq which was only another 3-4 stops and you are in the middle of London. Overall a good hotel for families who want to visit London at a reasonable price.	
Jul 22 2008 	Glad I wasn't paying	My wife and I stayed here for one night mid-week, using a Hyatt voucher redemption.The hotel is a 1970's block just off Swiss Cottage, near-ish to Regents Park and handy for some nice parts of North London.Exterior and lobby were very typical Marriott - nice enough.Check-in was a bit slow. There were no rooms available with our bed preference, strange as my wife is a Hyatt Gold member. Anyway, we got to our room and it was quite nice - fairly newly renovated, and the bathroom was also pleasant. Didn't seem the housekeeping had finished their job though. It was a bit dusty, and the minibar was not re-stocked fully. Also, a previous guest had left some sort of cold meat (salami or bacon) in the mini-bar! That was really nice, huh?! We asked someone to remove it.The 'balcony' was like something out of a sink estate tower block.Very dirty and covered in pigeon droppings. Adjacent to our balcony was a very unpleasant 'black hole' containing rubbish and old newspapers. We shut the doors and went out.Had a good night's sleep, when we awoke the bill was put under our door. As well as our room service snacks (which were OK but took 45 mins to arrive), we had been charged for the stay, even though we were using a voucher. And the room rate was 325 pounds!!! Yes, you saw it right, 325!!! For a mediocre room in the back of beyond! All was sorted OK on checkout, however after seeing that room rate I was thankful that I was not footing the bill - if so I would have done some serious complaining.So a mixed bag in all, decor and rooms are OK internally, but housekeeping and balcony were sub-standard. And the rate is really taking the mickey, but I guess that's supply and demand for you.	
Jul 5 2008 	Absolutely wonderful!	My husband and I, along with our 2 teenage daughters, just spent 6 nights in a Family Room at the London Marriott Regents Park. We had an absolutely wonderful stay there. It's close proximity to the Swiss Cottage Tube made travelling anywhere in the city very easy. There were also stores nearby the tube that we frequently used: eg. Subway, KFC, McDonalds, a drug store, a Marks and SPencer food store. The location could not have been better.Check in by a gentleman named Sanford was without incident. He was especially nice as well as were all other staff we met throughout our stay. The complimentary breakfast was just fabulous. Hot and cold. Plus a chef was there to make your own special omelet or waffle if you wished.The beds were very comfy. There were 2 large queen sized beds in our room. Computer access was available in our room even tho it came with a hefty cost....75 pounds for one week. The internet also was down for about a day and a half, but there was no problem getting a 25 pound credit for that when we checked out. I wouldn't hesitate to use the Marriott again if I went to London, which I shall surely do in the future.	
Jun 28 2008 	Good value Good location Good Stay	This hotel is in a good location, though 15 minutes walk to Regents Park. It is not in heart of London but this is relfected in its competitive prices. It is close to Swiss Cottage tube and therefore all that London has to offer is within easy reach. It is also outside the Congestion Charging Zone.Most staff were very helpful,although the check-in clerk and concierge didn't know the answer to our questions (parking and kids dining) and were unwilling to find out. This is not acceptable in a Marriott. The rooms were of a good standard and clean, although we requested a fridge and this never appeared.The pool was nice although not very big, and the access and changing rooms are badly in need of refurbishment. Also the bedrooms on the back of the hotel are on a busy road and the traffic noise meant we had to change rooms - our second room was quiet, although as it was only on the 2nd floor it did suffer with disco music from the funcation room below one night. Breakfast was of good quality and excellent selection. Didn't eat in the restaurant for dinner although the children's meals delivered via room service were good value and apart from the spaghetti dish, were of good quality. There was a lift issue during our stay and it took a while to find the stairs! This would also have been more of a problem if we were on floor 6 or 7 or of limited mobility. Parking is quite limited in the hotel although some weekend parking is available on the local streets.	
Jun 25 2008 	Fantastic hotel - really enjoyed my stay!	I stayed at the London Regents Park Marriott on a recent business trip and found the hotel superb from arrival at reception through to departure.I ate in the restaurant and I also tried the in room dining - both were of an excellent standard. Room was really nice too, modern decor and immaculately clean throughout.Location perfect, really close to Swiss Cottage tube station and they have parking too just out of the conjestion charge!I will definately stay again at this hotel.	
Jun 23 2008 	Not really Regents Park.....	We stayed at this hotel to attend an event in Regents Park.The main complaint I would have is that this hotel is nowhere near anything (including regents park), it is basically in a very residential area with very limited taxis....However ignoring the location the hotel was OK... it could be any other Marriott anywhere in the world. The bed was comfy, the room was average size (for London), the buffet breakfast was fairly well catered for...Overall, a good hotel if you do not want to be near any of Londons major attractions	
Jun 13 2008 	A Very Good Stay..	This was our first trip to London and the location of this hotel was very important. This Marriott is on the outskirts of London, 10 mins. The tube station is Swiss Cottage that is only a 5 min walk away. When we arrived on the first day, we were able to get our room at 8am! This has never happened to us, being from the US...we arrived early from Gatwick, got to the hotel before 8am, thinking we would just leave our bags at the hotel and return later to check-in, but they had our room ready which was so great because I was so sick from my flight from NY. The staff at the hotel were very helpful and courteous in our experience.The area is very nice...quiet and has a shopping area, right across the street from the tube; has groceries stores and restaurants. The only complaint was the aroma in the lobby that was kinda musty! They need to change the scent that is circulating...try a more floral smell instead.Getting into central London is only mins away...the train system in London is commended for their promptness! Every 3 mins or less, a train is arriving. It never took long to get to the all the tourist places in central London...being from NY, wish our train system was like theirs! The only thing that was not good was it was a bit warm on the trains...no A/C. It was nice traveling with the Brits. Their TV shows is another story...boring! We spent 5 days in London, then took the Eurostar to Paris which was a nice ride (2.5 hrs)...very easy connection. The Pancreas Station is a wonderful and beautiful station and terminal. The train takes you into central Paris...then take the local train to your destination.The price we paid was about $220 per night which was a bit steep but the accomodation were very good. Overall, the Marriott did well for our first trip to London...we give it high marks!	
Jun 2 2008 	Lovely Hotel Great location	Date = Bank holiday weekend May 24th - May 26thAges = 38,38,12 and 12We booked a family room for The wife, daughter, daughters friend and Myself. We got a great deal for 2 nights (Saturday and Sunday) of the Marriot website. We arrived in London at about 9:30am and didn`t want to waste a day. So i went to the reception and asked if it was ok to leave my car in the underground car park and come back later to check in. The man said i can do better than that, how would you like to check in now so that you can then return when you like. What a nice thing to do i thought. Thanks for that.The Room.This was larger than the normal London type hotel room. A kingsize bed and a queen size for the girls to share. Tv with the normal 1 to 5 plus sky sports, bbc news and cbbc. Mini bar (didn`t use it as with every hotel it was expensive). As usual though the mini-bar is electronically tagged so if you pick any of the bottles up, then it registers with reception and obviously they seem to think that you have purchased the item.The wardrobe was larger than normal with more hangers than normal. The wardrobe also lights up when you move one of the hangers. Nice bathroom with the usual freebies and plenty of towels. Shower in the bath was powerful. Also a large mirror with lights. We had patio windows on the 1st floor which has a mini balcony to walk out on but, don`t get too excited as it is as i say mini just enough room to walk out on and the view was the short stay car park. On Sunday we opened the door to find we had the Sunday Times left outside the door (free) although the thought was nice it`s not really my cup of tea. Talking of which, whilst relaxing after a long day walking on Saturday, Our door was knocked just as we were about to leave. It was a maid who was asking if we would like anymore bathroom freebies or coffee/tea. I thought that made a nice change. Tea/coffee facilities are available in the room.The PoolThe hotel pool although only 1.2 metres deep at the deep end was lovely and warm. The shallow end starts with steps until you reach the pool floor. The shallow end is about 8 inches deep. Obviously this gets deeper the closer you get to the deep end. Under 15`s have to be accompanied by an adult and you get a free towel to use per person. Didn`t try the steam room or the sauna around the pool edge. If adults don`t want to swim they can lounge on the cushioned sunbeds at the deep end (about 6 of them).The Hotel LobbyPlenty of room to sit and also a glass walled room where 2 people can use the internet (for a charge of course). The hotel has 3 lifts and you wont be happy using these..! They are very slow and take an awful long time to arrive. We waited 20mins the one time to come down. You`re better off going up with the lift as far as the 7th floor and then come all the way down again. If you don`t ,then the lift might be too full when it gets to your floor. This is because of all the waiting that all the other floors have had too. I can hear you saying why didn`t you use the stairs if you were only on the 1st floor. Ah.... well i asked a bellboy who was waiting with us for a lift to arrive this question. He claimed that the only stairs is the fire escape and they don`t lead to the lobby..!BreakfastThis is awesome. You can have as much as you like. There is orange juice, 6 different cereals with 2 type of milk to choose from. Toast and jam plus other different pastries. Then there is the help your self buffet english breakfast..... Streaky or non streaky bacon, sausage, beans, mushrooms, black pudding, hash browns, tomato, scrambled eggs. If you would live a fried egg as i do or an omelette, then there is a live cooking station and the chef cooks you what you like. You can order an omelette and choose what goes into it. ie ham, onion, bacon, cheese etc.The BarWe didn`t eat there but we did pull up a stool and have a drink whilst the kids used the internet room. Plenty of draught beers to choose from and a very nice peaceful atmosphere.  The areaThere are shops and banks with ATM`s by Swiss Cottage underground Station.The hotel is in a quiet residential area and about 300yards from Swiss Cottage underground station. We walked into the station on Saturday morning and asked for a travelcard for unlimeted use of the underground/buses. For the 4 of us this came to about £12.50 or so for the full day. Whilst there i purchased the same type of ticket for the Sunday too. This we found to be brilliant.The underground line is the Jubille line which goes straight to Westminster and that station is right outside Westminster Abbey and the Houses of Parliament/Big Ben and a short walk away from The London Eye, Horse Guards and Downing Street. It takes only 12 mins to get here from Swiss Cottage and the tubes run every 3mins. The stop before Westminster is Green Park which is used for Buckingham Palace where we saw the changing of the guard. The stop before this was Bond Street and at this station you can change for Oxford Street shopping (only one station away). If you stayed on the Jubilee line tube and continued on the line past Westminster then you come to London Bridge. It takes 18 mins to get here on the tube from Swiss Cottage and you get off here for The London Dungeon, Tower Bridge and the Tower of London.We used the tube for Madame Tussauds which is the Baker Street stop and only 2 or 3 stops from Swiss Cottage. Cheap and fast way to travel or what.?All in all this was a great hotel in a great location. I find that the best way to find out if a hotel is worth going to is to ask myself would i go again. The answer is d efinately and i would look for availability at this hotel before considering anyother. I have put as much info into this review to give what i hope will help you.	
Jun 2 2008 	I loved my stay!	Had great stay at the Regents Park Marriott on Saturyday! The staff was very friendly and I really loved their bed! The hotel is only 3 stops away from Bond Street which made our shopping trip really easy :)	
May 31 2008 	An all round excellent hotel.	We have just returned from an overnight stay at the London Marriott Regents Park. The hotel was fantastic and offers incredible service. The decor of all public areas and our bedroom was amazing. The hotel has just recently gone through a refurbishment and it really looks the part. The hotel is situated in a great location, just a few stops from Bond Street on the Jubilee line; and it is just outside of the Congestion Charging zone so ideal if you are driving.We stayed in one of the executive rooms. It was one of the more spacious rooms we have stayed in whilst in London; and it was 'very' clean! We dined in the hotels new French restaurant 'Central Brassiere'. A truly amazing dinner experience! The restaurant is very new and has got a great display of fine wines. We would highly recommend the King Prawns as a starter! Service in the restaurant was very attentive and personal. The restaurant is designed so that you can be seated in a private booth or in the middle of all the action!The hotel also offers an attractive bar, where we also met some famous cricket players!!!Overall I would say this is probably the best hotel we have stayed in when visiting and shopping in Central London; and would definitely recommend it to anybody looking to stay in the Capital.	
May 30 2008 	must go to this hotel!!!!!	where to start?we arrived at around half 1 in the afternoon and we were shown straight to our room. ever one we passed and came into contact with were so friendly and so eager to help you. the rooms where spotless and beautiful, very spacious and comfy, especially the beds. We ate in the restaurant and whoever goes there MUST try the chocolate mousse, its the most amazing thing i have ever tasted!! how ever the food was a little slow to get to us but they were more than happy to apologise. Over all the restaurant and bar are very comfy and i felt like i could sit there all night without having to worry about trying to catch anyones attention as they were so happy to help and did not choose to ignore you like so many other places. Another thing that is great about this hotel is that it is so easy to access every where, it is so close to the station.	
May 29 2008 	Excellent Hotel	we stayed at the Marriott Regents Park in May 08. A very friendly and welcoming hotel with the staff keen to please. The bedroom was very clean and the bed very comfortable. There is a great bar and a smart but relaxed newly refurbished restaurant - food was great and excellent service. We found it really handy to get into the West End for a show and restaurants also - swiss Cottage tube is only a few minutes walk away or pretty quick by cab. Really good value for money and ideal for London sightseeing.Mark, Edinburgh	
May 28 2008 	Not up to Marriott's usual standard Nice beds	The Marriott London Regents Park was a little bit of a disappointment. It wasn't terrible in any way, just not as nice as Marriotts we have used in the USA and London (Marriott London Park Place is much better).The rooms are fairly nice and the beds are very comfortable and overall the hotel was pretty quiet although not soundproofed by any means. We could hear traffic and doors slamming in the hallway, etc.There were a couple of issues. The worst was when a hotel-wide fire alarm rang out VERY loudly at 2am for about 30 seconds, waking us and my elderly parents in the next room (and presumably everyone in the hotel and possibly in the neighborhood!) We were disoriented and freaked out. It took about a hour to fall back asleep and we already were jet-lagged having just arrived a few hours before from Los Angeles. There was no fire, it was an error or some sort. Anyway, this sort of thing is random and likely won't happen when you're staying there (I hope!) I do feel that they should have handled it better and maybe comped breakfast for everyone or taken $20 off or something. It was a pretty big upset.The service here was not that great and the bar/restaurant service was very bad. People all around us were canceling their orders due to the food taking so long, etc.The location is pretty close to a Tube station (Swiss Cottage) but obviously not central to the sights. There are a couple restaurants in walking distance and an M&amp;S Simply Food and a couple shops in 5 minutes walk.Overall, I would consider staying here again if it were quite a bit cheaper than other similar options. We paid about $220/night per room in US dollars with all taxes and fees. Internet in the room or lobby is not free (in fact it is very expensive). I would consider a stay here again for $150/night I think.	
May 27 2008	A great stay (mostly)	Stayed 2 nights on a Priceline bid. Arrived at 1:30 pm and room wasn't ready, the desk said to come back at 3:00 pm. Went to the bar and had a drink and waited along with many others who were also waiting for their rooms. At 3:00 went back to desk. Room still not ready (the Priceline curse of worst room, worst service?) but this desk clerk finally told me he was placing me in an upgraded room on the 6th Floor (minus the executive suite access). It was nice room, regular Marriott amenities, good bed, and a small balcony. Somewhat loud at night considering it was the sixth floor. Traffic noise was constant all night. I liked the Swiss Cottage area, and it was easy to get around, walking or using the tube and busses. Used the free wifi internet at McDonald's on Finchley Rd rather than pay the 15 pounds the Marriott wanted. Also shopped at the Marks and Spencer Food Store just across from the tube stop, much less expensive than the hotel's restaurant. Stored my food in my room's mini fridge. A highlight of the stay for me was watching a play at Hampstead Theatre which is adjacent to the Swiss Cottage tube stop. Saw an amazing play with a great seat, &quot;Stockholm&quot; for 20 pounds. Bought a wonderful fresh-made crepe from the little French cheese stand at the entrance to the theatre and 2 fantastic cookies from the bakery stand next to it, then enjoyed my picnic dinner on the deck of the theatre overlooking the community park and fountain. Inexpensive alternative to the traditional West End evenings out, and all within a 5 minute walk of the hotel. Theatre bar also served sandwiches and drinks.Rode the bus to Warwick Street and caught the London Waterbus canal tour boat to Camden Locks. That was fun, 50 minute boat ride, and only 6 pounds 50. Easy bus ride back to the hotel. My only meal in the cafe at the hotel was not that good, and service was slow, the servers inattentive, and the bill added wrong. Checked out very early (5:30 am) for flight from Heathrow. Bill was totally wrong as I was a Priceline customer so I was prepaid, and there was someone else's rather large bar tab on the bill that I refused to pay. With no tube service available that early on a Sunday, I booked my ride to Heathrow with Swiss Cottage cars, less than 30 pounds, a very good deal, I think. Driver was right on time, will definitely use their service again. Overall, I really liked the hotel room, the amenities and the location. The staff were the weak link of the stay.	
May 12 2008 	Excellent Hotel	We a family of 4 have just returned from a weekend at the London Marriott hotel Regents park . The hotel is excellent and in all the hotels we have stayed in both Ireland &amp; England we have never experienced such incrediable service and value for money. Would have no problem recommending this hotel to others and will definately return ourselves. The reception staff and concierge were very friendly and were only too glad to help in everyway. The pool was small, not hugh but adequate for us.Very convenient to London Zoo or travelling around London city as the tube station (Swiss Cottage) is only a short walk away on the Jubilee line which links all parts of London. Food excellent and breakfast brillant, more than enough to eat.	
May 5 2008 	Fab hotel	My husband and I staid here for a long weekend break with our 2 children using our tesco vouchers. We had a wonderful time and were very impressed with the hotel even though there were reefurbishments taking place.Our room on the second floor was huge and very clean, the bed was very comfy and there was ample space for the four of us. The bathroom was well stocked with toiletries and re stocked every day even with mouthwash!The breakfast was very nice with a wide selection of hot and cold dishes and pancakes and waffles were made fresh in front of you. We did not have to wait long for a table even at the weekend, and we breakfasted at about 9 ish. The swimming pool was a huge hit with our children and open quite late. The hotel is situated very near Swiss Cottage Tube Station, on the jubilee line so only took about 10mins into central london.The only negative comment about the hotel was the lifts were very slow and the only walking downstairs was using a fire escape and walking through a kitchen area. This may resolve with the refurbishment programme.Would recommend this hotel and would stay here again.	
Apr 21 2008 	Great beds	Very nice clean room, and a good size. The room is also very quiet. A nice pool, except the changing rooms are far away from the pool and you get quite cold on the walk to the pool (so bring a towel to wrap around you for the walk). The breakfast was very nice but very expensive. It is a 3 minute walk from Swiss Cottage tube station. For someone who likes walking to their room it is not good because there are no public stairs; you have to use the lift. The room was a good size (for London). It is not very central but London's public transport is very fast so it doesn't really matter.	
Mar 17 2008 	Reasonable for the right price	I got a great deal on this place via Priceline. I definitely would not pay normal rates to stay here, especially with the weakness of the US dollar. But I would stay there again if I can get it for the same price via Priceline.The Zone 2 Tube stop is 2-3 blocks away, so it's a reasonable place to stay for tourists. The Tube itself is quite fast and efficient. There is a small market between the tube station and the hotel. A larger supermarket is within walking distance (5 blocks?)The hotel feels a bit dated for a Marriott, and the inner views aren't great. But the room is nice and clean and we didn't have any noise issues.Oh, and despite the name, it's no where near Regents Park.	
Mar 4 2008	Sleep deprived at the Marriott	Don't stay here if you like to sleep. They allow music to blast out of the banquet hall on the ground floor, and then their suppliers pack up their lorries outside your window until after 1 a.m.. Then the delivery trucks start to arrive again at 6 a.m.. The duty manager didn't seem to care, apparently the hotel guests aren't as important as the drunk party-goers.	
Feb 9 2008 	Decent Hotel with Fair rates (for London)	This hotel is a good place to stay for a reasonable price, as long as you are willing to take public transportation to get around. The Regent's Park area is far from the city center. The Swiss Cottage Tube stop is a 5 minute walk from the hotel and there are several bus lines around the area as well (#82, #13). I paid 118 pounds for a week day room (about $240), which for London on business travel is a good deal. The hotel looks dated from the outside and is undergoing renovations and the rooms are updated. It's in a suburban like setting, although close enough to major roads to hear the traffic at night. Although the name suggests it is close to Regent's Park, it is not. However there is a large park a few minutes away, with a great view of the city. Take time to go for a walk. The room was clean, bed comfortable, bathroom a typical old Marriott small bathroom. Good shower. Tea pot in the room (no coffee pot but that's typical of UK). The rooms were noisy in the morning due to the banging doors. Other than that, the rooms were quiet save for some traffic noise that is to be expected in a large city. The staff were extremely friendly and helpful. The Concierge staff went out of the way to help me with directions. Since I stayed there for a week, I was constantly asking for their help. The food in the hotel is expensive and few were eating there. Within walking distance at night there are few restaurants. (Stay away from the Swiss Cottage unless all you want is a beer.) But there are several trendy restaurants on the other side of the park.The pool was warm enough but more geared towards kids with the beach type entrance, which made swimming laps difficult. Changing rooms are a chilly walk to the pool. There is a steam room and sauna, as well as what looked like an excellent work out facility. I can recommend this hotel if you want a basic, safe, clean place to stay.	
Jan 30 2008 	Avoid the restaurant / food	The hotel is nowhere near Regents Pk (why do hotel chains do this?) &amp; was in the middle of renovation work so the restaurant wasn't open &amp; we had to eat in the cafe area. Wish they'd told us when we booked. The restaurant service &amp; food were seriously awful (warm mineral water, inedibly greasy pasta, soggy/greasy salad, soggy pastry, etc) and other diners were unhappy too. Staff were very nice but inept, we waited 1/2 hour to be served then another 1/2 hour for food, the water &amp; wine arrived after our first course. Nothing was done when I didn't eat my meal &amp; told them why, they just apologised &amp; smiled.... However, the room (deluxe) was lovely, comfortable &amp; very quiet, breakfast was excellent &amp; staff very friendly. We would stay again but definitely not eat there.	
Jan 29 2008	loved this place	I wasn't sure of this location but it proved to be very close to the tube &amp; a short walk to Camden market. I was upgraded to a 7th floor room with a king &amp; a solarium type window that was very comfortable, spacious and a awesome deal for the money considering I booked it on priceline for 117 us.The only problem was the internet was very expensive &amp; only available for 24 hr blocks. Very helpfull attentive staff that went out of their way. A few good Indian places near by and a decent pub.	
Jan 28 2008	loud and dated	The room was very nice, but outside the room was dated. The hotel is evidently going through a major renovation ending sometime next year.Also, the room was very loud. I could hear traffic all night long and I was on the 5th floor.	
Jan 19 2008 	Good hotel for LON	I stayed there while attending a conference. Although the hotel is under renovation, it's very good place to stay at for London. While it is not ideally located on the Jubille line, it's in fact very calm and pleasant area. Rooms are very clean and new, still smell like new carpet. Bed was probably the best one I've ever slept in for a hotel. Did not need earplugs, hotel was silent enough. Comfort of the room was ideal.	
Jan 17 2008 	Superb hotel clean friendly well positioned recommended!	My family and I were staying in London for a weekend, and chose to stay at the Marriot Hotel Regents Park. We booked a family room for 4 people.Swiss Cottage is the nearest Underground station, and the hotel is about 300 yards from there, although it means crossing a busy road.The hotel itself is very well presented and cared for. The reception is large and impressively decorated - standard Marriot - and the checkin staff were friendly and very efficient.The room itself was fabulous - two large double beds, table and chairs, a lovely big clean bathroom, and double doors that opened on to our own balcony! We could easily see St.Pauls, the London Eye, the Gherkin (!) and the BT Tower from it. If we had one criticism of the room, it was that the television was rather small, especially when compared to other Marriots I have stayed at.We made use of the swimming pool attached to the hotel, which was a little disappointing. The changing rooms were good, but you have to walk about 50 yards from them to the pool, along cold corridors - not much fun when you are coming back. The pool itself is very good for small children, as it is only about 6 inches deep at one end. There was also a very good sauna and steam room.We were going to eatin the hotel restaurant, but were horrified at the prices - to feed four of us would have cost almost as much as the hotel room! In the end we walked back into Camden (approx 500 yards) and found various cafes and take aways. Much better value!Breakfast the next day was included in the price, and consisted of a fabulous buffet - cereals, fruit, cakes, meats and bread - as well as a cooked breakfast.Checkout was fast and efficient, and no problems with the bill ;)On the whole this was a terrific hotel, really enjoyable. If Marriot could only sort out the ridiculous prices they charge for food in their bars and restaurants, it would be perfect.	
Dec 15 2007 	Not as inconvenient as it looks	I was a bit ticked to get this via Priceline, as it looked to be quite far from anything, and longish walk to the Tube. However, I was pleasantly surprised by my stay, and for what I paid ($130 a night, incl. tax), very happy.Despite the name, the hotel is of course not remotely close to Regent's Park, but once you get past that, it's in quite a good spot. The bus right outside the hotel goes straight to Camden Market, giving you lots of shopping/dining opportunities. And the Tube isn't really that far -- more like 3 minutes walk, it's just sort of confusing to find it the first time. (Hint: Take the &quot;Avenue&quot; exit from the Swiss Cottage stop, then, with the actual Swiss Cottage pub facing you, turn left and walk to the corner, then turn left again and you'll see the Marriott sign a block or so in front of you.) And while Swiss Cottage seemed a bit far out on the Tube map, the frequent and fast service meant it never took me longer than 15-20 minutes to get anywhere in central London. Another less obvious bonus of the location is the Swiss Cottage Library and Leisure Centre (the massive complex w/ the rock climbing wall), which is halfway between the Tube and the hotel. There's a great casual restaurant there for breakfast and lunch, far cheaper than the hotel, and you can get up to 1 hour free Internet access a day at the library (just go up to the 2nd floor Learning Centre and sign in).The hotel itself is fine -- standard 4-star chain hotel, comfortable beds, electric tea kettle, etc. Service is a bit erratic, as it usually is in this kind of place -- I wouldn't bother asking the &quot;concierge&quot; for anything -- but not in a way that's really going to faze you if you travel a lot.	
Nov 10 2007 	An excellent experience	I spent two nights at this hotel in Nov 07. I thought the hotel was excellent.The room was of a good size with two double beds contained within it.The bed was extremely comfortable with very clean and crisp linen.I only had one slight problem, and that was with the TV that seemed to have a mind of its own from time to time.The staff in the hotel were very welcoming and knowledgeable.The food in the restaurant was very good, although the hash browns were a little chewy.I used the high speed wireless internet connection which was adequately fast, although £15 for 24 hours, a little expensive. Isn't it about time hotels offered this service as part of your stay with them, instead of further cashing in on business users??For a stay in London, the hotel is a little too far out of the city centre, but with only a 5 min walk to Swiss Cottage Tube station you are about 10-15mins tube ride away.Primrose Hill is about a 5 min stroll away from the hotel and is a great walk and a rewarding view once you get there.I would recommend the hotel and have no doubts about staying again.	
Nov 7 2007 	OK Facility; Inconvenient Location	Enjoyed a good size king room in October 2007. Although it has been a while since the room had been renovated, the furnishing and equipment were still in good condition. The bath was a little on the small size but was acceptable. The front desk was always busy. The clerks were plesant but not very efficient and the computer system was frequently &quot;down&quot;The concierage was absolutely magnificant. Extremely helpful and cheerful.The quality of the food in the resturant was good although they frequently ran out of items. Service was slow and highly inefficient.The hotel is located about a mile northwest of Regents Park. It is just a five minute walk to the Swiss Cottage stop on the Jubilee underground line with door to door trips to central London taking about 45 minutes. Taxi fares to central London ran between 16 and 19 GBP.I would consider staying here on a return trip but would first explore other hotels closer to central London.	
