	Convenient London City Hotel	Well located about 2 minutes walk from the Tower of London and 30 seconds from Tower Hill Underground Station and 1 Minute from the Tower Gate DLR Station. If the Circle Line is in operation, which it hasn't been most weekends, then the hotel is well located for all of London. The room we had overlooked the train line but we never heard anything. My wife is a very light sleeper and she never had an issue. The bed was comfortable, the room was large and so was the bathroom, with a good shower. The staff were helpful enough, but not that friendly, probably owing to their limited grasp of English in some cases.Continental breakfast was included, it was basic but of a good quality. The toast was a bit of a let down, put out in a basket pre-made, so it was a bit cold. Apart from that everything else was good. Didn't eat in the hotel for dinner. There are plenty of other places around including a few nice places at the Marina near Tower Bridge.	
Nov 8 2007	Very Formal And Relaxing!!	Like many people i booked this hotel of lastminute.com as it stated 5 star. I did read some reviews but it didnt effect me cos end of the day, 5 star cant be that bad surely!!Me and my gf were in london for 2 days and first impressions are excellent. You walk in and its marble floor, the lighting, the reception desk, etc. It made us feel quite out of place in truth. We went into our room which wasnt that big. I expected more for a 5 star. I would say now that i wouldnt tell people ive stayed in a 5 star hotel, i just feel that this wasnt the experience the top 5 star hotels would give you. Anyway...The room was small but as expected tidy. The TV was big and a plasma (if u wanna watch the box). The bathroom was large and clean as well as the beds n sofas were top standard. When you book or even if you have booked, ring the hotel and ask for a view of tower of london. I done this and the view is amazing and well worth it. I didnt get charged and at night time its a really spectacular view. Big negative is the breakfast. Again, you think 5 star this would be included, whether you paid a special rate or not you think thats the standard the hotel should offer. Unfortunally not and therefore we skipped breakfast next morning.The hotel also made us deposit £55 which they didnt make clear why they were taking this. Again, (sorry for saying again always) however, it slightly startled us and was not made clear to me before arrival.The hotel is very splendid and very glamerous but i get the feeling that its full of people on the 'special rate' as the hotel to me doesnt seem good enough to justify the £180 or something a night it claims to cost. We paid £85 for the night for 2 of us and that was very fair price but had i paid alot more i would have been disappointed. The service was good and the room was peaceful especially as we were high up. I would stay here again but dont pay their full prices as im sure you could stay in more luxury for the price!!!	
Nov 5 2007 	Why 5 Star?	My boyfriend and I attempted to go to London on a budget - near impossible I know! - so were impressed to find a room in a five star hotel for c£100 a night. The website showed a rather lovely view of the hotel and much to my dismay it did not look like the same place when we were outside. On arrival we were ignored for a good ten minutes before someone reluctantly offered assistance. It took a further five minutes of waiting before we were handed the key and were able to head to the room. The decor of the hotel was pretty dated, with a lot of gold and red every where! The room itself was very small and the bathroom was unique- two of us could not fit into it! Luckily we only intended to freshen up and head straight out, so did not need to stay too long. The following morning we went for breakfast at 9am and again were left waiting to be shown to our seats for fifteen minutes. The breakfast was a huge disappointment- the eggs were so uncooked that they were running clear!! Making a complaint was pointless, there was no apology just a look of disbelief! Needless to say we shall not return. I suppose if a hotel is really five star, we would have been paying a lot more for it.	
Nov 2 2007	Very good value for London	Given this 5 stars, not because it is absolutely outstanding, but because it is a very good value hotel for London and we couldn't really fault it in any way. We didn't experience any difficulties with staff, check-in etc. Having stayed in a number of London hotels, I would certainly recommend this place.	
Oct 31 2007 	Very pleasant stay	The reception staff is very pleasant and they really tried to solve every little problem occurred during our stay. The room given was very nice and large, but the room-maids did not clean them in a proper way. One day we had to wait until 5 PM before having our room cleaned. The breakfast is ordinary, but it is better to wake up early if you do not want to queue for 15 minutes (as I did). One of the best amenities of the hotel is the Isis Bar: we ate there every night and the food was excellent, and not overpriced. Excellent location, and during the week-ends you get special prices, which make this hotel a good worth for value. I will come back to this hotel, definetely.	
Oct 30 2007 	Convenient and reasonably priced	In a city as expensive as London, the Grange City is a real alternative to West End locations thanks to the great deals at the weekend. In addition to the convenient location - just a few steps away from Tower Hill tube station - the hotel also benefits from a sports club and swimming pool in the basement. I've stayed here twice and would stay again because of the good quality offered for a very reasonable price.	
Oct 20 2007	Excellent	I have stayed in Grange hotels on business and always found them to be pretty good. Therefore when my wife and I planned a weekend away to London, they seemed a good choice.This is a 5 star hotel and I have read on here that it is not 5 star. All I can say is that I have stayed regularly in 5 star hotels and I thought this was the best hotel I have stayed at in London.It is in a good (but quiet on a weekend as a lot of the bars etc close as it is the City) location. It is right opposite the Tower of London, so good for visiting that and the restaurants etc over Tower Bridge in Butlers Wharf etc.The hotel is very ostentatious but quite tasteful in its own way- a sort of played down Vegas type decor with a lot of gold, purple etc. The Romenesque pool is wonderful- underground 25 m pool- one of the biggest in central London. Good Gym.Best thing about it was that for £85 incl VAT they gave us a huge room, it even had a kitchen in it. It had a large balcony from where you could see the Ghurkin building. It had a plasma TV and Bose sound system. It was bigger than a Vegas room and we very impressed. I guess we got lucky. When we came back after dinner, we found the beds turned down, with chocolates, robes and slippers on the bed.We only had the continental breakfast (English £8 more), but it was good with boiled eggs, fruit, cereals, yoghurts etc. The restaurant is also quite impressive.As you can imagine, we had a lovely time, and I would definately recommend this hotel. It is good even if you do not get the huge room with balcony.	
Oct 19 2007 	Nice room enjoyed my one night stay	Stayed here for one night for a business do when up in town.Got great rates and stayed in a standard room on the second floor.Was a bit alarmed to see the train's going by the window. But you couldn't hear them or see them when I pulled the curtains.Room was a good size for London with a powerful shower and soft towels.Room was well stocked, with nice mini-bar, good shower gown, nice TV and a Bose Radio!Enjoyed drinks at the bar downstairs before and after our evening out, following that had a great sleep in a comfy bed which meant I woke up with a nice lie in.	
Oct 17 2007	Lovely hotel!	I have read a lot of poor reviews on this site for this hotel but i stayed here for a night with my boyfriend and we had a wonderful time! The staff were happy to help us with everything we needed and when our TV didn't work we were moved from the 3rd to the tenth floor in an executive suite with an amazing view over the Thames, Tower Bridge and the Tower of London! We ate in the sushi bar downstairs which was lovely and the swimming pool and spa facilities were amazing. I would recommend this hotel to anyone, and its brilliant value for money on a Friday night if you book from the hotel website.	
Oct 3 2007 	pretty good	Before booking we read all the reviews from tripadvisor and they were not as good as the hotels own reviews. So we were expecting poor service. I should say hear and now that the staff could not have been better, all of them on every occasion. The problems we experienced were of the hotels own making. The executive room we booked had noisy neighbors who didn't stop until 8am on the first night. We called the desk to complain and that made them keep the noise down a bit. But the fault is really the thin walls. Then the mattress was too soft, I mean silly soft! And on top of it is a protectorthat causes one to perspire. And this is a nearly new hotel. For me the most important part of staying in a hotel is a good nights sleep, the rest you can deal with yourself in one way or another.I would love to go back but only if they get better mattresses.	
Sep 17 2007 	Great Location!	We stayed here for the weekend in August. The location, room, swimming pool, was all great. Ok the rooms aren't massive but you only need to sleep and get a wash in a clean, well presented room. Top marks... Also if you get a chance go and see the Lord of the Rings. &quot;Amazing&quot;	
Sep 12 2007	Better than expected	Wasn't expecting great things from this hotel after the reviews here but it was clean, quiet and all staff I met were helpful - no delays with check in or check out. Good location for Tower of London and the Thames but quite far from shopping areas - Tower Hill tube station very close to hotel. I didn't have any food in the hotel or use the gym/pool so can't comment on those areas	
Sep 10 2007 	Good location for the South Bank	This hotel is very expensive in the week due to being in the financial district but at the weekend there are loads of special offers. You can usually stay on a Friday or Sat for less than £100 for 2. The hotel claims to be 5 Star but is not really in that class. However it does have a really nice leisure centre with a massive swimming pool. The water tends to be on the cold side though. There are steam rooms and an aromatherapy room - on the day I was there the aromatherapy room was not working properly and they said it would be fixed. It has a good gym and beauty therapists if you want that sort of thing. Lots of old pubs nearby too for lunch including one in the hotel where you can watch sports on big screens. Essential if you are there on a Saturday afternoon with a man.The rooms are ok, not 5 star exactly, but absolutely fine for most needs. The location is really good for the tower of London, Tower Bridge and the South Bank where you can have a lovely meal overlooking the Thames or go to the Tate Modern or Royal Festival Hall. I love the South Bank as there is always lots to do with walking along The Thames in between. The tube is one minutes walk from the hotel and a taxi is £14.00 to the west end for shopping or shows. I hope that this helps.	
Sep 5 2007 	Had a great stay	me and my boyfriend stayed in this hotel thurs - sun and had a wonderful stay. we decided to go for a mini break in style rather than abroad and we were not at all disapointed by this hotel. I arrived first as my boyfriend had been held up at work, the room was booked in his name so i explained this situation to the reception staff who were most helpful and let me check in. a porter took my bags to my room. all the staff throughout the stay were polite, happy and more than helpful. admittly alot of them are not english but they all spoke the language well and were able to give us information and directions when asked. the room itself was very comfortable and clean. the maid service everyday was of a high standard. one morning we are asked to not be disturbed and the maid service called the room early afternoon to find out a convienient time to come up. we ate in the hotel bar but not the resturant and the food was lovely. we also had continental breakfast which was also of a high standard with a wide selection.as said in the other reviews the location is brilliant for the tube and DLR. the only thing i would say is if you want local nightlife this is not the place to go! we went out one night around 10.30 expecting it to be busy and most places were already closed!! when we asked a taxi driver he said most people head to the west end over the weekend so its very quiet. having the fitness centre was lovely. clean and tidy, free to use as a guest, and after a long day walking round london it was lovely to relax!!all in all though a very enjoyable stay and we will return	
Sep 3 2007	Not bad but not 5*	I booked this hotel last minute with Late Rooms and so only paid £85 per night which should be a bargain for a 5*On the plus side its two minutes from Tower Hill Tube, next to a good bus route, five minutes from the Thames and ten minutes from the City. The very pleasant Trinity Gardens are next door and the view from the front of the hotel is cracking. There is a subway near by for a snack, a costa coffee round the corner and a couple of nice bars nearby. There is also a wonderful pool and gym downstairs (although the hours are designed to keep accompanying children out of the pool on weeekdays for travellers with kids)On the down side rooms, beds and baths are small and although pleasant not 5*. The back of the hotel runs onto Fenchurch Street Railway so you need to be on a high floor to avoid noise, staff are stretched and not always english speakers and the room service is shocking and highy priced with breakfast for two on two days coming in at over £90! Oh and all floors below 11 back directly onto an office block and there are no voiles in the roomsA nice hotel that could be great due to its locations but the all important customer focus is missing and it ends up not quite doing it for the price!	
Aug 20 2007	Definitely NOT 5* !!!	We stayed here, Friday to Sunday. We have stayed in many 5* hotels, and this is not even close to being on a par with a single one of them. There were so many things that were wrong with our stay at this hotel that we simply wouldn't recommend it to anyone.The location is great, on a quiet road very close to the railway (Fenchurch St), the underground, the DLR and major east-London attractions. HOWEVER: - the vast majority of the staff do not speak English as a first language, so expect to have to repeat or explain yourself; - the girl who took my wife's order for a liquer coffee in the bar did not know what this was, and after conveying the order to the barman, came back with a coffee in a cup and a side-order of the liquer! - the breakfast staff did not have us down for having breakfast included in our tariff, to which we had to show them our bokoing confirmation; - &quot;buffet breakfast&quot; is a cold, continental breakfast, and there is an £8 surcharge per person for a hot english-breakfast; - the morning room-service takes away bathroom flannels, and these are, according to hotel staff, only replaced by an evening room service, so you do not have any face or hand flannels during the day; - room service did not empty our bins at all; - the lobby staff were verbally fighting with a taxi-driver on the saturday, using swear-words, gestures and threats of violence, in front of our children.We left this all on the feedback forms, but when mentioned to the receptionist on check-out she just put it down to new staff turn-over.The one ray of hope in all this was Royce, the restaurant manager: we were assured at booking time that the breakfast was a hot buffet, but on arrival it wasn't. Royce tried helping to clear up the situation, and in the end compromised on payment for the breakfast.	
Aug 8 2007 	Good Hotel but Definitely Not 5 star	Stayed for 3 nights on business and paid GBP 200 per night + VAT ((excl. breakfast) in late July.Frankly, I don't understand why some reviewers are rating the hotel as &quot;Excellent&quot;. Makes me wonder whether I have been overly harsh when reviewing hotels in other parts of the world. In my view whilst the hotel is good, it is definitely not a top notch hotel and does not deserve an excellent rating. There are other good hotels out there which are a thousand times better than the Grange City.Pluses:- good location next to Tower Hill tube station and Tower Bridge and walking distance to the City- adequate but small room (was given a room facing the train station); but in London expect small rooms unless you are willing to pay extra- good / adequate gymNegatives:- generally inexperienced staff (for an English hotel it is interesting to note that the English language is not easily understood by some staff members) - on the first day asked front desk staff for directions to get to Broadgate in the City and was given convoluted instructions on how to walk there (it took 30 mins) but staff forgot to mention that the tube station is virtually next door and it is just 2 stops from Liverpool station! However, one exception to staff service is the perpetually smiling and obliging waiter at the inhouse Japanese restaurant who deserves a big thumbs up- expensive, inadequate and poor quality breakfast spread- bathroom is small (hardly enough room to swing a cat!) and only has a combined bathtub / shower facility which is quite difficult to get in; be careful when getting into the tub as it is quite high from the floor and you can hurt yourself if not carefulOverall, if you can get a good rate and one of the better rooms with a view (the penthouse rooms mentioned by some other reviewers sounds good), the hotel would be a good choice.For business, promixity to the City is a big plus, but I would still shop around. Traffic in London is attrocious but as long as you stay next to a tube station you can get around quite easily.	
Aug 7 2007 	Good - Overall	First impression was excellent - the receptionist who checked me in was lovely. I got everything that I requested including an excellent view of the Tower of London. The room was nice and clean and decor/beds were good. The bathroom was really small for a room that was described as delux. For a 5* hotel, I thought some of the staff should have been a bit friendlier and more accomodating, I got the feeling that some of them could'nt be bothered. Really good, but I would'nt have quite thought that I was in a 5* hotel.	
Aug 7 2007 	Great hotel - excellent view of the tower of london	excellent hotel - friendly and helpful.top floor views of the tower of london - excellent.expensive - 180 pounds per night.	
Aug 6 2007 	Fantastic penthouse	Bagged a double room for £85 last minute for a stopover after a gig in Greenwich. On arrival we were upgraded to one of the 5 penthouse suites and we had a complete blast. Lovely suite, great toiletries etc. and with a view of the Tower and Tower Bridge to die for. Check in/check out was a breeze, 24-hour bar very well stocked and reasonably priced. All in all a brilliant stay and I wish we could have stayed longer. We'll be back !	
Aug 2 2007 	check out the pool	We stayed on the top floor, penthouse, with a fabulous view of the London Tower. I can highly recommend it. On the advice of a notice in the lifts we got up earlier on Sunday morning so as to beat the 9am rush for breakfast. No it wasn't 5 star but it was OK. This hotel has great beds, great linen, great bathrooms and the greatest indoor hotel pool in London. But you have to time that right as well. Get down there for first thing in the morning when it opens or the middle of the afternoon. Avoid the 4pm - 8pm slot.	
Aug 1 2007 	Very Good Grange!	Stayed there on busines staff very friendly, immaculate rooms and nice and quiet good allrounder in expensive london, will definatley use again	
Jul 29 2007 	is this really a 5 star hotel?	We had 2 nights in July 2007. Check in was slow, unfriendly and dis-interested. The room was small and had no view. Breakfast was ok - a rather sterile environment with a surcharge of £2+ for a latte. Good location close to the Tower but it seemed more 3 star than 5.The most impressive feature was the guy from room service who delivered a full ice bucket at 7.30 am in dinner suit so we could chill our bottle before heading to Lord's. Had we placed the bottle in the mini bar and rearranged other bottles the notice told us we were likely to be charged.	
Jul 24 2007 	exceeded expectations	i was a bit wary of going to this hotel after reading some of the reviews, but as soon as i walked through the door i really could not understand why a few people would write a bad review. I'm always under the impression that people only have time to write bad reviews.The Grange couldn't be situated any better, right next to tower hill underground, but tucked away around a corner so you dont get the hussle and bussle. the hotel is very well presented, although the rooms were lacking in size i was not expecting huge rooms as i know how tight for space london is.The swimming pool and health club is fantastic, the swimming pool looks lovely and is very refreshing after a steam in tne steam room and a long old go in the sauna.any way, would truely recommend this excellent hotel as the staff are very friendly and its a very good atmosphere around the hotel.please do not go there thinking you will be let down cause you wont.	
Jul 24 2007 	Superb value and location	Having just stayed here on a friday and saturday night i can throughly recommend the hotel and its staff, the location right by the Tower of London is fantastic and the tube (tower hill) is 100 yards away or you can catch the number 15 bus just opposite the tube and go to most of the locations your likely to visit, it even goes to paddington station (25 minutes) if you are arriving by train, a one day bus pass is only £3.50.The hotel has a huge pool sauna and steam room along with a gym and health club, the food was good if a little pricey, booking direct with the hotel website is the cheapest place to book as on a friday or saturday night it is currently only about £70 plus vat inc continental breakfast, if you like english breakfast this is an extra £8 but the buffet continental is well stocked so you get better value with thisTry the hotel you won,t regret it.	
Jul 19 2007	Fantastic hotel	A gem of a hotel tucked away behind the Tower of London, the Grange is perfect for visiting London during the week or at the weekend. The rooms are very well kept, and the staff at the hotel can’t do enough for you. When an ice bucket is required, an ice bucket you get, promptly! The standard rooms, although on the smaller side, have very large beds and everything else you would need. The CD players in the room are an extra special touch and great if you are just staying in and relaxing. We tend to do that a lot! The executive rooms are larger and have a comfy sofa and coffee table in the room too. We celebrated Christmas 2005 in one of these rooms and it was every bit as romantic as you would wish for. If you stay here don’t forget to use the spa area. The pool is very inviting as is the Jacuzzi. A short taxi ride from here and you can savour the delights of Brick Lane, or just on the doorstep is the river Thames. Perfect for a romantic stroll day or night and not too far from the fabulous Borough Market. A wonderful hotel, especially enjoyable when you are sharing the experience with that special someone	
Jul 11 2007 	Absolutely Fantastic Stay	After reading some of the BAD reviews about this hotel i was a little wary to say the least, but we have just had the best weekend away, the hotel staff were very friendly, the restaurant at breakfast was very busy but the waiter escorted us to the gallery area where we had two waiters to look after us. The leisure facilities were fantastic.As for the room, we were on the 11th Floor with a fantastic view over the Tower and tower Bridge, the bed was very comfortable and the room was excellant, the only downside to the room was the size of the bedroom, but still, how much time do you want to spend in a bathroom !! Overall a fantastic hotel and will definately be going back.Thankyou for a great stay !!	
Jun 27 2007 	great for the price we paid	I stayed here in April with my mum and the twin room was more than adequate with 2 double beds, and a seating area with a great view of the tower (high floor as requested). room was very clean and nicely decorated. Service not 5 star but the room was very good value at £80 including continental breakfast. I called the hotel and asked them for their best rate and they quoted £80. I then called back to confirm and the price jumped to £125 or so, i was then cutt off and dialled back and advised them that i had been quoted £80 - and funnily enough they had rooms available at that rate! The pool was also very welcome after a long day shopping in the heat. The hotel was right next to the tube which was very handy. Any questions just ask	
Jun 22 2007 	Terrible services!	- the rooms weren't ready in time- the receptionists had lousy attitude- they tried to overcharge me at the end of my stay- they don't answer emails they receive- I got better services at 3 stars hotels- definetly it isn't worth even half of the money they ask	
Jun 11 2007 	Mixed Bag	My wife does not want to stay at this hotel again, and I would stay there only as a backup. Although the check-in process was fast and friendly, and the room was clean and modern, the service at the hotel is poor. We noticed that our toilet was coming off of the wall and the tile under it had already fallen. I mentioned this on the second day of our stay to the front desk staff and they said they would have someone look at it....never happened.The bed had one of those plastic matress pads on it in case you are not potty-trained. We found this most annoying and hence sleeping was not very pleasant as the sheets felt sweaty due to this plastic pad. We also had a real run-around with booking a car with the bell desk. We were told to book one as taxis are not frequent early morning in that area (true). However when we went down at the appointed time there was no car...they claimed to call our room however they left no message. We surmise that they did not book one at all, Buffet breakfast was ok, (nice dining room), but cost was not worth it. Best thing about the hotel is its location if you have business in the City. Its a shame the hotel has these drawbacks, as it is a nice place in a great (quite) location, near the Tower Tube stop and train station.	
May 28 2007 	Gorgeous hotel!!!	My fiance took me to this hotel last year for my birthday and I'm just getting round to writing the review but this hotel deserves to get a write up. We booked through expedia and it certainly was a five star stay. The hotel is situated just around the corner from the London Tower, there was also an underground station just around the corner which was great for getting around London then back to the hotel.The reception area is stunning as well as the room. I can honestly say it is the most comfy bed I have ever slept in. The room was very clean and lovely inside. Staff were nice also.I read trip advisor myself before booking hotels and I would recommend this hotel, it made our stay great!	
May 27 2007 	Not a 5 star by any means	We arrived to check in and it took AGES to do so as Reception was very busy. There wasn't much friendliness shown by any of the staff and the concierge looked as though he was going to pass out!The room was very small, for a superior and we had no view at all, unless you count Fencurch St station! There was no noise however. The room was well equipped, bath robe, flatscreen, cd player, mini bar and nice toiletries and a huge bath and powerful shower were all pluses but the bed was too hard and you really couldn't swing a cat.Good location for tourists as the tower of London is on the doorstep although not ideal for theatre breaks (as we had) as it was a 15 min tube ride from theatre land.We took a swim in the pool and that was tranquil, there was no one in there and the changing rooms were lovely.When checking out we were charged £30 for 2 breakfasts which we never even had! We explained this to them and got them wiped off.Why a 5 star is charging extra for breakfast is beyond me.Clean rooms, okay location but rooms too small...	
May 20 2007 	awful - do not stay here if you can help it!!	It was awful - do not stay at this hotel if you can help it!the receptionist was about as warm as a deep water squid. The room was small and we had a view, no, actually, we were IN Fenchurch street station. And to top it all - went down to breakfast and found out we had to pay a supplement of nearly £7 - after having already paid £150 per night - for a decent breakfast.Dissapointed is not the word.	
May 10 2007 	Not just the view!	I stayed for two nights on a recent business trip. I was exhausted when I arrived, because I flew overnight and went straight to an all-day meeting. My recollection is that the staff were efficient and pleasant. The bed was very comfortable. The amenities in the room were excellent. The view of the tower bridge was spectacular. The business centre had a computer/printer that I used to print my boarding pass (for another redeye home). The room service was prompt and good (although I think I spent the equivalent of $30 for oatmeal and coffee). The only thing that I found slightly annoying was the number of fire doors in between the elevator and my room. I think I had to open and close about 4 heavy doors before I got to my room, so if you have any physical limitations, I would try to get a room nearer to the elevators.	
May 6 2007 	safe and quiet for an easter break	We arrived on Good Friday and stayed for four nights, having driven from home( in the North of England ) We decided to take the car as public transport was too expensive and inconvenient. It proved to be a very good move- we parked for free very near to the hotel on single yellow lines or parking meters- these were free as it was the weekend or Bank Holiday days. We drove into central London on three days and again parked free and easily.The check in took a while (20 minutes or so) but it was due to the time of day-1:30pm, at other times it was quiet. We found all staff to be friendly, attentive and efficient, possibly due to the times when we ate and used facilities. Our three children aged 2,8,10 were made welcome and enjoyed their swim and stay. We felt very safe walking around near to the hotel and it was ideally situated to visit many attractions. A 10-15 minute walk over Tower Bridge takes you to an M&amp;S food shop- great to buy water, sandwiches etc. and several other shops, restaurants etc.Our room was not very spacious but was very comfortable and clean, the pillows were really good ones, bathroom not very big but ideal for us. We did have a very small balcony and if we looked left we saw the Tower of London, looking right we saw The Gherkin. Fenchurch station was very close but we NEVER heard a noise- perhaps not many trains were running as it was a Bank holiday. We did have a very good stay and would use this hotel again if we visited over a weekend.	
Apr 24 2007 	Great Value but not a 5 star	I booked this hotel for a girly trip (first night away from my baby boy!) - we got a twin room inc breakfast for £80, so for this price I wasn't quite sure what to expect. The hotel was lovely but I would say 4 star rather than 5 realistically. First impressions were average - the lobby &amp; bar were slightly faded, reception staff efficient but hassled. Hotel was very close to the tower and tube with shops nearby. Our room was clean, standard international style but fairly big by London standards. Nice toiletries, Molton Brown in communal areas.The best bit about the hotel was the pool - beautifully tranquil (well we were the only guests in it!), huge 25 m, natural salt water, lovely changing rooms. Breakfast was OK - good choice but stale pastries by the time we got down (10am)Check out great, speedy and friendly staff. Overall this hotel was extremely good value considering the price we paid, but it was not the absolute luxury I had hoped for.	
Apr 15 2007 	Very disappointing on a number of fronts...	You can only ever make one first impression, and it was always going to be difficult to overturn a very disappointing first 10 miutes here. Arriving at 8.30pm on a Friday, we were greeted without warmth or interest, and given our room. When booking this hotel, I had requested a room as high as possible, with a view. Well, we got a 4th floor room, over looking, or rather, nearly on, Fenchurch station platform.....Having asked for a change of room (the first time I ever had to do that anyhere) I was offered a room upgrade, with a view, for which I had to pay an extra £30 per night. Why couldnt the hotel have informed us that a standard room didnt have a view when the room was booked???To be fair, the upgraded room was fantastic, a king size (rather uncomfortable) bed, sofa, flatscreen tv, cd player, and clean bathroom with molton brown toiletries - and a fantastic view of the tower and the bridge.The most single disappointing thing about this stay however, was that on the Saturday night we had booked to go to Claridges for a meal - a real treat, and had the concierge hail a cab to take us, it turned out that this was a private firm used by the hotel, and the driver had no idea where Bond Street, and in turn, Claridges was. In the end, we ended up paying a £15 fair and getting out on Oxford Street, and spending the next few minutes tracking down an available black cab to get us to our destination (just in time for dinner, but leaving no time for the planned relaxing pre dinner drink) On checking out, I mentioned this and was promised that the hotel would look into this, though no apology was forthcoming.I would never stay here again, service levels very disappointing, and even the amazing view (second time around) could not make up for that	
Apr 14 2007	Great weekend	Great position, but tube was under repair so we walked alot and got buses.Great views of the tower of London and Tower bridge. Room was lovely with a small balcony where we enjoyed evening views on a fine November night.Check in busy, but staff quite friendly. Not much to do in the immediate vicinity after dark - there is a Cheapy wetherspoons pub round the corner.We walked the Thames path right to The Tate Modern and got the bus back.Did not have time for the pool but in looked great. Breakfast was included in our deal and it was continental but very good. Al in all i would stay again at the price we paid from a late bookng site.	
Apr 12 2007 	Great Hotel!	Stayed here on Bank Holiday Monday for one night. The check in was quick and easy. The room was a decent size (413) and not that small. The bathroom was clean and the toiletries were good. Our room looked out onto a wall AND the Tower of London but we were not too bothered about this. The price for a room and breakfast was a bargain and we'll definately come back if we need to.	
Mar 26 2007 	Weekend break	I booked this hotel before reading any reviews so after reading a few I approached my weekend with trepidation,I was so wrong to.I had booked the city hotel for a short break,witha trip to Vinopolios thrown in.The weekend rate for the hotel in London was a bargain ,and so it proved.The hotels location next to the Tower is great,and Tower Hill tube is only 50 metres away which makes it easy to acess the centre of London,without all the crowds.The hotel room was good,clean and tidy,and of a great standard for the price we paid.The hotel interiors were of good standard too.The service we recieved was good ,the was no sign of rude or grumpy stafffing,maybe previous revews approached the staff in a more aggresive way.My overall impression was of a great bargian for £85 per night in London.	
Mar 26 2007	What's all the fuss about?	Having read lots of negative reviews on here i must admit i was not looking forward to staying in this hotel at all.What an utter surprise to find that i was booked into a fantastic hotel for the night.I arrived there, booking in was a doddle, with the staff very friendly indeed. On up to the room, although not huge in size, it was very clean, and was a dream. It had everything you could wish for.Breakfast in the morning was very nice, with lots of waiters waiting around to serve to constand supplies of tea and coffee and take away your plates when ready.I would not hesitate to recommend this hotel to anyone for a stay.For those that moan about it not being a 5* hotel, Buckingham Palace is just up the road.	
Mar 26 2007 	Another Fantastic Stay!!	We have just had our 3rd stay at Grange City in the last few months and yet again we found the staff, the service and the accomodation impeccable. The lobby and reception area at the Grange are immaculate and the reception staff are friendly and professional. If you need any help or info the reception staff are always approachable and the concierge that is on duty will help with baggage, room service and all the tourist info you need - no matter who you are!! Check in and out can take a while sometimes, but this a very busy hotel so it is just part and parcel of the process. We stayed on the 1st floor - room 110. This was a fantastic room. Absolutely spotless. LCD TV, lovely deep bath and the largest &amp; most comfortable bed ever. Continental breakfast was included in the price - £170 for a 2 night stay booked 3 days before travel on Grange site. A real good selection at breakfast - cereal, eggs, toast, croissant, fruit etc with the serving staff always on hand to refill tea and coffees. We also used the leisure facilites at the hotel - pool, spa, sauna &amp; steam room which were fab to use after a long day walking round London. We have always been treated with a lot of respect by all staff at the Grange and will be returning to stay again later in the year.	
Mar 24 2007 	Average hotel great location!!!!	I stayed at the Grange City for five nights in March. I would say that overall, my stay was good, but not great.I didn't experience any checkin problems that others have mentioned. There was no lineup, and the service was ok. I wouldn't say that the desk help was overly friendly, but no problems.Was assigned a room on the first floor. The bellman helped me with my bags, but when he opened the room, I was quite shocked by how tiny the room was. It was clean, but tiny. Like one other reviewer commented, my room looked onto a wall, so it was disappointing that way, but otherwise fine. The bathroom is very tiny, but very clean. The bathroom linens were nothing special, but were very clean. They offer Molton Brown branded toiletries, which were nice.The room included a flat panel tv, and a Bose CD radio (nice touch). A kettle, and a variety of tea bags were provided. The bed linens weren't special, but were fine. Frankly, I slept better than I had expected to.I ate dinner at the Koto II restaurant downstairs. It was alright, but for a fixed price, all you can eat sushi buffet, it served its purpose. I didn't use the bar at all, as I found it very smoky! I asked for assistance more than once from the young men working as concierges. They were anxious to help, but like another reviewer commented, their english was a challenge. All in all, my stay was fine. The hotel is very close to a tube station, so it's very convenient, and the Tower Bridge is steps away. Several of the organized tour bus trips stop very close by.I would stay at the City Grange again.	
Mar 21 2007 	Unhelpfull Rude Staff!!!	I booked a theatre trip for myself and a freied as a 30th birthday treat. We chose this hotel from an extensive list we recieved, and what a mistake it was!!!. We arrived and were very pleased with the location (right next to a tube and really close to the tower of London).We waited in a large line to check in and were greeted with very long faced and just plain rude staff!!, they never made eye contact, smiled or even said hello. We were then ordered to hand over a credit card which they pre authorised for £100, in case we used room service or the mini bar (had no intention of using either). This meant that my friend had £100 less to spend as she could not take this money out of the bank, we were not told when booking that we would have to do this!. We then went up to our room on the 2nd floor, the room itself was nice enough with 2 double beds although the sheets looked like they needed a good wash, nice, clean bathroom (nothing to complain about there). I opened the curtain to let in some light and was met with a brick wall!!. Rather than make a fuss we decided to make the best of it and try to enjoy our stay.Down in the hotel bar we ordered a few drinks and when i went to the bar i was shocked to be presented with a bill for almost £40 for 4 drinks!!, needless to say they were the last drinks we had in there.Same problems with chcking out as with arriving, slow long lines with a grumpy receptionist at the end of it all. It costs nothing to smile, say hellio and be polite but none of the staff in this hotel seem to be able to do this (many cannot even speak English). Would not reccomend this hotel for a theatre break and would not say that it was 5 star.All in all we were made feel like we were not good enough for the hotel (we saw businessmen getting treated like royalty). We had saved for this break for months and looked forward to it and had expected to be treated like any other guest (anyone who looked like they had money had their bags taked from them by a bell boy to be taken up to their room).Do yourself a favour and stay clear!!!	
