	average	hotel clean &amp; well presented. easy access to 02 dlr then one tube stop. room service meal was very poor over priced &amp; not very good. breakfast also poor £17 per person for lukewarm cooked breakfast not ideal.	
Mar 24 2009 	Very friendly excellent hotel!!	We booked a one night stay at the Radisson Edwardian New Providence hotel for my wife's birthday, from start to finish it was a very enjoyable stay. We took advantage of the on site valet parking as it was so much easier just to drive in, I have to say I was surprised how easy it was to get there, much better than lugging suitcases across London on the tube. Once there we were greeted by the reception staff who were very helpful,and after a speedy check-in our luggage was taken to our room. The room was very spacious and new, all the normal amenities that you would expect in a 4 star hotel but all to a very high standard.My wife had booked treatments at the Spa that is in the hotel, she said that it was lovely and the staff were very friendly, as she pampered herself I took advantage of the free gym. It was big and all the equipment appeared new. They have some free weights (good enough for a free weight work out) and numerous weight machines. Plus treadmills, rowers, cross trainers, bikes and steppers. Don't forget your swim wear as they have a sauna and steam room as well. There is a swimming pool over the road from the hotel, but you do have to pay.Canary Wharf is about a 10 minute walk away, so not to taxing and they have maps at Reception to help you find your way.All in all I found the hotel to be at a very high standard and I will definitely be staying there again.	
Mar 20 2009	the service was dreadful no communication and when we had no hot water in the morning there was no apology	we were there for a wedding. the spa was lovley however the service and staff was dreadul as well as no hot water!When we arrived we asked for 2 bath robes for after the spa. when we arrived back 2 hours latter had to remind housekeeping to bring them up. We had room service on the friday night - it took 1 hour we asked for the burger to be well done it wasnt. when we sent it back it was brought back to us with the bun burnt and with an explanation that the burger could not be well done and was dried up and had not even been touched by the cheif - the message we got was &quot;the cheif says that these burgers are so big they cannot be well done&quot;. We then drove to macdonald on the roundabout as we were starving.There were 2 phones in the room one that had the screen surrounded by buttons with &quot;reception&quot; &quot;housekepping&quot; etc broke on the friday night. From the smaller phone by the bed I could only press 0 which took ages to get to reception I asked for someone to come up and have a look at it. this was 8pm. By the time we left on Sunday morning it was still broke.That evening I had meet a client in the bar for a drink. I signed for it to be put on my room. As I was walking out of the bar with my client the waiter came over and loudly said that I had no credit and would need to pay cash. I explained that he needed to check with reception which he did whilst I stood a waited with my client. He came back and said &quot;oh yes sorry that is right&quot; the damaged had been done in front of my client. In the morning I went to the gym and came back to shower. NO HOT WATER. When I tried ringing on the other phone again it took ages to get to reception. I was told politly by a lady on the other end that the line I had rang on put me through to head office in either Gatwick or Heathrow and I had to wait to be put through to my hotel reception!!When I said that there was no hot water i was told the the boiler was not working - no apology and no explanation to why nobody had contacted us.We then had to wait for buckets of water to be brought up! I then pushed and said this wasnt good for 2 girls going to a wedding! after alot of persuading on my part they talked to the health club ACROSS THE ROAD for us to shower - which was my idea. They really didnt seem bothered that we had no hot water. The duty manager said to ask for her when I was checking out and she would sort out something.When Sunday came to check out she was no where to be seen. The receptionist didnt care we had such a rotten stay and I had to reiterate what had happened during our stay. All she could offer was the money taken off from the food.I was also charged full price for parking - which we had a concession becasue of being part of the wedding party, again I had to challange this and reluctantly gave us the discount.I emailed the manger of the hotel with my complaints - he offered me to stay there again free - if they were not fully booked. I then contacted head office with this complaint and said I would not want to stay there again and what could they offer me for compensation? This was last August 08 I didnt here any thing back.I have never written on these sites before and have stayed in many hotels and different venues around the world and let a lot of things ride but if I have felt the need to complain if I have received an apology I am happy. But with no apology and any comensation to this horrible stay with bad communication between staff, dreadfull food and service then I felt compeled to write this!	
Mar 18 2009 	Couldn't ask for more...	Excellent hotel, fantastic helpful staff. No complaints about anything.	
Feb 25 2009 	Very Welcoming Very Comfortable Good menu and gorgeous decor	My check in at the hotel couldn't of gone any faster or smoother. On arrival my car was valet parked at a low cost, immediately leaving me with no worries about having to pay a fortune for local parking nearby, and the doubt of any security if left on a street. There was plenty of staff available during check in, often a problem at most places, but not here and check in was painless.The room (a delux king) was just as described and pictured, often a false impression is given by marketing, but it was exactly what was described and pictured, and at a very good rate for a radisson in London.Travel into the centre was no problem, with a train service only a 3 - 5 minute walk around the corner, and then a 10-15 minute journey into the centre, stopping about 4/5 stops.We also had dinner in the restaurant and the service and food couldn't be faulted.Many thanks to the staff and i'd definately stop again!	
Feb 23 2009 	Fantastic Hotel... Brilliant place for Valentines Day	I booked up this hotel for Valentines Day as my Girlfriend had a really tough year and I wanted to give her a treat that she more than deserved. I chose to stay in a deluxe room which was modern, clean and very spacious. I paid an extra 40 pounds for a river view and was not disappointed!! It was amazing at night to have the curtains open and see the o2 lighting up the river. The bathroom was fantastic and had probably the biggest bath I've ever bathed in. The service at the hotel was phenominal and they were always happy to help. An alarm went off in the room next to ours at 6:00am and we called down to reception who within 3 minutes, came up to turn it off. The buffet breakfast was delicious and I would definately stay there again. Only bad point was that for authorisation the bank held full payment on top of my nights stay so for a couple of days it looked like I had been charged double what I should have, this all depends on what Bank you are with but do bare in mind if you are staying at this hotel to have more than enough money in your account but it all went back in 3 days later.	
Feb 19 2009 	Perfect for an overnight business stay - friendly and comfortable	I found this hotel delightful. The reception staff were friendly, helpful and polite. The decor was pleasantly modern and neutral. The room was superbly comfortable and quiet. The bathroom was fabulous. And the room rate was very reasonable.I'd definately stay here again.	
Feb 18 2009 	Decent rooms Awful service	I travelled to London with my husband and my sister and her husband. We booked 2 rooms at the hotel (504 &amp; 505) because of its location and the reviews on this site. We were watching a show at the 02 (Russell Peters) at the weekend. We are couples in their late 20's, early 30's. Just to put into context, me and my husband travel alot. We often stay at 4-5 star luxury hotels both here and abroad. I haven't to date been moved to write a review so this is a first.First dealing with the plus points, check in was nice and easy. The decor throughout the hotel was modern and contemporary. The bedrooms/bathrooms were a reasonable size for London although the view from both rooms left alot to be desired! checking out was fairly simple although we had to wait abit.Now dealing with the negatives. A modern clean hotel does make not a 4 star. The service throughout our stay was appalling. Firstly, dealing with the night of our arrival, we drove to the hotel and having decided that the best way for us to travel to the 02 was by car, we asked reception, the concierge and security as we were leaving the carpark for directions. No one could provide directions! For a hotel that markets itself as being in close proximity to the 02, it clearly needs to get its act together.However, my main gripe was the breakfast! This was served from 7.30-10.30am. We came down at 10.00. We waited for someone to show us to our seating area. The lady at the front continued to talk into her mouthpiece for what seemed like ages whilst we waited. She eventually showed us to a table overlooking the river and told us someone will be coming to take our tea/coffee order. The table she showed us to had not been cleared away. There was a used coffee? cup on the table where my brother in law was sat. We could see at least 3 members of staff milling about .We waited for approx 10 mins for someone to come over and take our drinks order before eventually giving up and walking to the hot buffet. Their were no hot plates! there was a good variety however, my sister wanted a fried egg and had to wait because no one had bother to re fill the tray. We sat down to breakfast and seeing their was no margarine/butter in the buffet area or on our table, we asked a staff member. She disappeared and failed to come back to us at all. We then proceeded to ask at least two other staff members to no avail. My husband eventually got up and spoke to the lady at the front who picked two small margarine plates of another table and handed them to him. our coffee was served after we had finished breakfast.We then went back to our room to have a shower having requested late checkout (which was extended to 1pm). The water was at best lukewarm. We rang reception who sent someone up to check. He having checked agreed and told us that the problem was the hot water was sourced from outside and he would go and speak to them and then revert back to us. We waited for 20 mins and then called reception who told us the boiler needed 20 mins to heat up and and we should then try again. 2mins later our room buzzer went and the male returned to tell us that the problem will take 20 mins to resolve and we should then try again! By this point we'd had enough and just wanted to leave. We did intend to book some treatments at the spa but following our experience with the shower we decided to give it a miss! Lets say I will not be staying at the Raddison anytime soon.	
Feb 11 2009 	'Strictly' lovely	I recently stayed at the Radisson for one night with my sister as we had tickets to 'Strictly Come Dancing Live' at the O2. We were greeted by very friendly and helpful reception staff. Check in was quick and easy. Our twin bedded room was very comfortable and nicely decorated as was the bathroom. Both rooms were exceptionally clean. We didn't have an evening meal in the restaurant so can't comment but the buffet breakfast in the morning was very good - everything you could want was there. The bar in the evening had a nice atmosphere although, to be expected, bar prices were on par with the rest of the London hotels! I would definitely stay again if I had a concert/show to see at the O2.	
Feb 8 2009 	Good hotel for an overnight at Canary Wharf or the O2	Want a good, newly built hotel, close to Canary Wharf and the O2 arena? And at a good price too? Then try this.Only two years old and very modern in styling the NPW Radisson is a hidden gem. If you are a first time visitor you'll be escorted to your room, shown all it's features and then 15 mins later reception give you a call to make sure all is well.Stayed on business for one night and will probably stay again next month. Didnt use all the facilities but the room was very comfortable, the bar area very comtemporary and the restuarant menu looked good.If you are in Canary Wharf on business then arguably it is walkable if the weather is nice else it is a short cab ride or on departure take the free shuttle bus back into the wharf.	
Feb 4 2009 	Great value quality London hotel	Very new hotel, down by the Thames, over the river from the O2 Arena.Spacious rooms.Great bathrooms.Very helpful staff.Slightly overpriced breakfasts.Good value overall for London.Very handy for Canary Wharf offices, with a free shuttle to and from the hotel.	
Feb 3 2009	Very bad billing system	The stay itself was fine. Nothing disasterous (had some problem with the TV which took three calls to the reception to get someone to fix it, but I thought it was tolerable) and nothing outstanding.But a month later an unexpected credit card charge and the unhelpful attitude over the phone from their staff left a very bad taste in my mouth. It was not a fraudulent charge, but when I checked out of the room and paid for the final invoice I had expected all charges related to the room to be included. Hence my surprise when an additional charge (for room service) appeared later in my credit card statement.The Radisson staff I spoke to on the phone was very impolite. According to him, there are different 'windows' and the room service charge had been in a different window to the other charges.I tried to point out that as a customer, I don't understand and don't care about those 'windows'. I had not requested the room service charge to be in a 'different window'. When I checked out, no one at front desk told me about this 'other window'. Anyway, I just wanted to suggest that they review their procedures. He was adamant there was nothing wrong on their part, and I should have checked.So, a word of warning for those who plan to stay there... beware of the 'windows' and the unhelpful incompetent staff.	
Jan 31 2009 	Nice Hidden Gem	We were originally slated to stay at a nice boutique hotel in Chiswick, but the Radisson had FANTASTIC winter rates on their webiste - far lower than what you'd expect - so we decided to switch hotels and take a chance. This hotel did not disappoint - in fact, it exceeded my pretty high expectations that had already been set forth by other TripAdvisor reviewers!If you're looking to stay in an area of London with some of the best dockside scenery, Canary Wharf is where you want to go. This hotel sits right on the Thames and has some stunning views - especially of the O2 Arena at night. Despite being a little out of the way, this hotel is extremely quiet and peaceful - something perfect for a nice vacation getaway.The DLR stop closest to the hotel is Blackwall. It's about a 3.5-5 minute walk - nice and convenient, especially if the Tube is your primary transport in and around London. While Canary Wharf is about 20 minutes outside of central London (on the Tube), if you're in the area for a leisurely trip, I see no problem with staying at this hotel. My only complaint with the hotel's location is that it's situated on a cul-de-sac facing the Thames (which accounts for the stellar views!) - it can be a bit tricky to find just how to get to the front door at first, especially with all the construction going on around the property (note - the construction did not present any sort of noise issues with us at all from inside the property).The rooms were a nice size. Very modern, well kept, and clean. The beds were a little too hard for my liking, but if you call the front desk for an extra blanket to sleep on, then the bed, at least for me, is soft enough to get a good night's sleep. The bathroom has all modern fixtures and features a heated mirror, heated towel rack, an outlet for 120V appliances, separate bath and rain-style shower. I've never raved so much about a hotel bathroom before. Our view, like other reviewers have stated, was of an office building next door (we didn't care, we came to London to walk around the city and not stare out a window) - I have a feeling if you stay in one of their Deluxe rooms, you'll have a nice view of the Thames.There was also free WiFi access in the rooms - which ended up being a nice surprise.The staff were very friendly and helpful. We ordered quite a bit of room service, which was very reasonably priced. Room service was not only super quick, but VERY good and worth the money. As another reviewer suggested, try the Hotel Ibis next door for breakfast - at only 6 pounds, it's cheaper, and offers more than the Radisson's breakfast (alternatively there's also a McDonald's across the street as well). However, on the weekends, the Radisson does offer a stellar breakfast buffet that is not only less expensive, but offers double the selection - highly recommended. Dinner at the Radisson can be a little pricey, but I assure you the food is amazing. As there's really only one other restaurant near the hotel (a nice italian bistro that we didn't try), I'd recommend the hotel restaurant (or room service!) if you find yourself tired and hungry. There's also a small market about a block up from the hotel near the East India Quay DLR station where you can pick up light meals and snacks.The bar was nice as well. The bar tender was very sweet and made the best amaretto sour I've ever had. I'm not sure if he wasn't 100% sure what went in it, or if amaretto sours are just a tad different in London - had some different ingredients, but it tasted great! Little pricey, but considering the hotel, it's about what you'd expect.Didn't use any of the spa services (though the spa looks very nice, and the receptionist was a very friendly lady), but the gym is top notch. All brand new, heavy duty equipment - served as a perfect replacement for the gym back home. Features 2 rowing machines, 2 stair climbers, 2 treadmills, 2 ellipticals, weights, balance balls, mats and a nice view over-looking the area.Overall I would most likely stay here again, especially if I can nab such a stellar price. Beautiful property, gorgeous location, well-kept rooms, and a friendly staff are hard to beat!	
Jan 29 2009 	Absolutely Wonderful!	Had a wonderful stay here recently and completely fell in love with the atmosphere and location. I usually stay at the Four Seasons, and was worried I would be dissapointed in the room size and bathroom at the Radisson Edwardian, but it couldn't have been better. This hotel is well located (despite my concerns) and offers a much more residential, cozy and warmer atmosphere - I was genuinely made to feel special and not just like 'another guest'. My room was exquisite and beautifully furnished, but not at all over-the-top - everything was immaculately clean. Sublimely comfortable chairs, with a lamp and side table right where you need it make this the kind of hotel room you want to curl up and really live in. The staff definitely work to achieve this friendly atmosphere - I was impressed by the ownerships that staff gave to any issues raised. Two pointers:1) Book via the hotel's own website. I shopped around for days only to find that I ended up back on their own site for the best rates! 2) Try the hotel's restaurant - we ended up dining their almost by accident due to a last minute change of plans and the food and service was genuinely second-to-none. A very nice touch was the phone call from the club concierge the night before my departure, asking if I needed him to arrange an airport transfer or to print boarding passes. Again, its all in the details. Overall, a wonderful experience. I will definitely be back.	
Jan 28 2009 	fantastic at the Radisson new providence wharf	We recentley stayed at the Radisson New Providence Wharf hotel everything about this hotel l found to be exellent from the very helpfull friendly staff to the above standard rooms the breakfast was exellent.The position of the hotel itself is great lets hope they can get a ferry service going to get you into the centre of london cannot say enough good things about this hotel.	
Jan 27 2009 	really loved this hotel	We stayed for a weekend while visiting friends and amil in London. Hotel is easy to find and we used valet parking so it was very easy if not cheap) to park . We went for the smallest room a superior king and were very pleasantly surprised. We had a view of the Thames and the room was very spacious for a London hotel, in particular the bathroom which had a seperate bath and shower . the room was very clean and had everything we needed for the weekend .The hotel was pretty quiet and the staff were therefore very attentive and friendly. Not sure how far it s from the stations but was great location for driving at the weekend	
Jan 5 2009	Wouldn't Stay - couldn't even get a drink !	I have not stayed at this hotel, but wouldn't if the terrible service and awful food in the Azura Bar and Restaurant is anything to go by.This is not one to be recommended. It's a Four Star Hotel with a Zero Star Service Ethic.	
Dec 25 2008 	Functional but not a lot else	I have rated this hotel as &quot;above average&quot; because I think it is, but at the same time it does have some downsides to it.The room was very comfortable - a little compact perhaps and hanging your clothes in the toilet was rather odd, but one of the most comfy hotel rooms I have ever stayed in.The service was not really that good. The staff are young and local, and although they were always willing, they were not exactly what I would describe as &quot;accomplished&quot;.Room service was &quot;interesting&quot;. Red Wine was served in an ice bucket, twice. I was not very impressed by their interpretation of the Club Sandwich (served on Focaccia).Overall though, the niggles I had were minor and nothing really to complain about.I picked this hotel because I wanted to stay in the area and I didn't want to pay the prices charged by the hotels on the Canary Wharf estate itself. I would say that I did get value for money in that regard.	
Dec 21 2008 	Good stay if the price works for you	We stayed here 20th December as we were seeing the Stereophonics at the O2. We were impressed on the whole and will be returning.We parked behind the hotel (the road running up from majestic wines) as it was the weekend so no parking retractions, which saved the £25 valet park, which is over the top as there is a lot of open space around the hotel.Nice room and bathroom. We like a firm bed, others may find it too firm. Didn't hear a thing once our door was shut, nice and quiet from the outside as well as only residential areas adjacent to the hotel.We had the wasteland, main road and MacDonald's view others have commented on. Someone else has mentioned and I agree that the hotel is positioned the wrong way round, I would suspect you've got 80% of the rooms facing walls in other buildings or wasteland, and the other 20% overlooking the water and the O2, which seems like a missed opportunity to me.Getting to the O2 was easy, DLR from Blackwall to Canning Town then the tube to North Greenwich. I've seen comments of DLR being up to 15 minutes walk from the hotel, don't believe a word of it, it takes around half of than time. Best routes I could see are taking the underpass opposite the Ibis or cross the slip road behind majestic, follow the wall to the left and then head right to the DLR station. There did seem to be some work being carried out at the station, so there may be a more direct route in the future.The only food or service that we had at the hotel was breakfast, which was included in the room rate. This was in a room overlooking the O2, which was nice, service was not good, we were giving the impression that they had never been asked for something as ridiculous as a breakfast for a 'vegetarian' before, despite us being the only ones in the dining room (we left about 40 minutes after breakfast started to be served and no other guests had come in for breakfast, but we do tend to be early risers) it took the kitchen 25 minutes to put something together (maybe sometimes they do a buffet, not on this particular day though).Overall I would stay again, we have two events at O2 next year, but I would have to weigh up the parking cost in the final decision as these are both mid week events.	
Dec 10 2008 	Check room if you want view	Great modern hotel but a little clinical. Staff were excellent, friendly and very helpful. Advertised as having &quot;stunning rverside views&quot; but our room looked out over waste land and a major road, and into the living rooms of flats in the adjacent building. Car parking available but at a charge of £25 per day.	
Nov 17 2008 	Pricey but very well presented	Stayed for one night Bed only (didn't take the £33.00 breakfast as its £6.50 a head just down the road at the IBIS) room was a techies dream. Bed was HARD but all facilities are new and the staff were very helpful and accomodating. The Free newspaper was not available as their delivery never materialised on the Saturday morning. We hadn't factored in the VAT addition to our website quoted booking price but that was our oversight not theirsStayed there to do a concert at O2 which is the other side of the river. D'oh. Taxi was OK albeit pricey to get there and back.	
Oct 17 2008 	Great modern hotel  good location for O2 stadium	Stayed here overnight when we went to see the Spice Girls at the O2.The hotel has a great location, just outside of the reception area, you can look across the river over to the O2.It is a very modern hotel in a fairly quiet location in docklands, nice clean rooms, good breakfast, there is also a spa but we did not have time to use it. All the fixtures and fittings are modern and contemporary in design.Please note the hotel is not withing walking distance of the 02 but it is only a 5 minute walk to the local docklands light railway and then it is just a couple of stops to the O2nice play to stay	
Oct 11 2008 	great stay	lovely room, very clean and modern. Bathroom fantastic. staff friendly and food good!	
Oct 6 2008 	Good hotel but some MAJOR front of house issues	We stayed in this hotel when we went to see a show at the O2. The best thing about this hotel, as we discovered when we arrived, is it's proximity to the venue. However, we did encounter some huge problems with the hotel.On the day that we were due to arrive, I rang ahead to confirm what DLR station was nearest to the hotel, which the staff told me. We arrived at said station, could see no sight of the hotel so rang the hotel back and they informed us that we were in fact at the wrong station. I asked how long it would take to get to the hotel, and was told it was a 15 minute drive away (we were already on a tight schedule to get to the venue on time). I asked the hotel to ring us a taxi, and was told (in a city centre hotel!) that this was not a service they offered and I could ring a taxi myself if I liked. I insisted that they ring one for me, and was told it would be 10 minutes (it ended up with a 25 minute wait for the taxi, making us very late).Everything as fine with the hotel, we had a lovely room in the hotel and found breakfast the next morning very much to our satisfaction! But we then encountered more problems when we checked out. I went to pay using my credit card, knowing there was more than enough available to cover the cost of the night's stay. I was told that my card had declined. I asked them to try again, but when it didn't work, I offered a debit card to pay instead, as we had to get to the station to catch a train. When at the station I rang the bank to find out what the problem had been. they informed me that when we had checked in, the receptionist that had dealt with us had taken £100 from my credit card as a guarantee, without telling me that this would happen, or checking that this was ok. I have stayed in many hotels all over the country and indeed internationally, and have never encountered anything like this before. When I arrived home, I checked my bank account online to find a deficit of £460. I rang the bank again, and was told that all of the money missing had in fact been taking by the Radisson hotel. I rang the hotel several times to first be told that I had made a mistake, then be told that there was nothing that they could do, and then finally be told that it was in fact their mistake and my card had been used to authorise payment for a further 3 nights stay, something entirely unnecessary given that I was only staying for 1 night! Having spoken to about 8 different people (all claiming to be managers, none of whom could help!), and the general manager of the hotel, I am still trying to get a refund on monday morning for money incorrectly debited from my account on saturday, a very long time when there is no rhyme or reason for why the money was taken in the first place!This seems like a very good hotel on the surface, but there is many problems with their front-of-house, reception and accounts staff and we will not be staying there again.	
Sep 29 2008 	Losing it's touch already	Stayed here April this year, rated it very highly, and had no hesitation in booking it again, but their standards are slipping, In my room (422) the curtain was hanging off the rail, several light bulbs were not working and there were strange stains on the faux leather headboard. You get no bathrobes (doesn't seem to be a feature), the tea and coffee selction is abysmal - regular or camomile tea and instant coffee, that's it , it was difficult to phone a colleague in another room (no instructions for the phone) and a message light winking which took some time to cancel out (it was a message asking for my input.) At the reception desk I heard a guest complaining that their remote control didn't work, another had left his credit card at the desk, and they had mislaid it. Come on guys, surely you can do better than this. it's a fairly new hotel, get your houskeeping and maintenance teams back around the hotel and fix these problems before they become major ones and I go somewhere else next time I stay in the Docklands area	
Sep 20 2008 	Modern business hotel near Canary Wharf	This hotel is a modern business hotel within ten minutes walk of Canary Wharf. It is found on the north bank of the Thames, opposite the O2 arena. Unless you are staying on business or wishing to attend a concert, I struggle to see why you would stay here. Having said this, the hotel is modern (Bang &amp; Olufsen televisions in the room), clean and well proportioned. The restaurant is reasonable value however the hotel clearly markets itself to visitors to Canary Wharf with prices to match. An enjoyable stay, but unlikely to be repeated unless I intend to travel to Canary Wharf.	
Sep 8 2008 	Disappointing experience in the Radisson	The hotel is brand new and first impression was great. Nice room, quiet and bit small. Bathroom very nice and very trendy. I went out to do some sports and so left things of value in the room and turned on the NOT DISTURB sign, so expected nobody would enter. Foolish I was to think that house keeping would respect the NOT DISTURB sign. They went in the room anyway to make the bed and turned off the NOT DISTRUB sign. A couple of hours later when I came back the room was cleaned, luckily my things of value were still in the room, but very annoying.I changed and went out for the night and put on the hen I came back late at the heating was changed from a nice and cool 20 degrees to a 26 degrees SAUNA which made it impossible to fall a sleep for an other hour or so. (the time needed to cool of the room). When I complained the receptionist said &quot;we will inform house keeping&quot;, which I very much doubt they did. The morning after this experience I had a flight from city airport at 7am, which is actually great since by taxi it's only 10 minutes. Never the less I requested a wake-up call at 5:15 and a taxi at 5:45. Luckily I set my own alarm, because I am still awaiting the wake up call from the hotel. When I complained the receptionist said &quot;well it's marked in the book&quot;. The radisson sais on there television system if there is any service you do not like you get your money back and now you think they make a gesture??? No way. Not that I was looking for refund, but the personel didn't even appologies, they just say we will inform house keeping or well your wake-up call was supposed to be done, since we marked in the book. When you read this you might think I am picky, which I'm not. Luckily the cleaning lady in the hotel didn't fancy some extra cash or a nice expensive watch and luckily I set my own alarm and did not miss my 7 am flight. There are just little things that you can and that you can't do. For a 150 pounds per night you might expect a little different service of the personell.	
Sep 3 2008 	Something else than Bayswater/Earls Court...	This stay was booked at a price of about NOK 860 (approx. $160) a night for a superior room, including taxes and full english breakfast. Taken the breakfast into consideration, for this price we could get a 2/3 star hotel in Bayswater or Earls Court. These hotels I've experienced and can not say the hotels are compareable at all. This is a hotel with sound proof walls, spacious bathroom, both shower and tub, flat screen tv and free wi-fi internet.Compared to Bayswater/Earls Court I would guess you'll have to spend about 10 more minutes to get into central London (Leicester Square/Covent Garden). But probably you'll need a tube travel card anyway and Canary Wharf can offer the most of shopping, eating and drinking.Do notice that I don't think twin rooms are available. But the double bed was king size.	
Aug 27 2008 	Cool atmosphere all over	Great hotel, located in the docklands close to Canary Wharf.If you want to be close to the city centre this is not for you, but if you like to do the city in smaller portions and focus more on relaxing and shopping this is a very very nice place to stay.Shopping was excellent @ Canary Wharf Jubilee line station, and @ Canary wharf itself. Within walking distance.There was a spa where use of wet area and relaxation room was complimentary. Also i recommen Il Bianci - a nice italian restaurant 100 meters from the Hotel.The hotel bar had a nice atmosphere to it and outside speakers gave a loungy feel to the place. The standards of the hotel were generally 1st class and the staff very helpfull indeed.	
Aug 15 2008 	Comfortable	Very happy with the standard of this hotel. Quite new so it should be. FREE internet in business lounge unlike others of this chain. If you are visiting London to see the sights then I would not suggest this hotel.Location, a little hard to find. Long walk from canary wharf tube. Their is dtr rail very close though. A distance from the usual tourist sights.Outlook over the river to the entertainment centre. This looks like a circus tent with chopsticks sticking through it. Night has a lazer crossing the sky. I was lucky to witness a lightening displayed by nature and it was free. Staff fine, only they were not educated in the area the hotel sits. Asked about local pubs as did not want to go to the snooty expensive ones by the wharfs and got lost looks. Went for a walk -a -bout and found three. Locals singing and having a good time with life at 6pm. Rare for me, I had dinner in the hotel. GOOD it was. Breakfast buff sufficient. Room has the lot and is very confortable.	
Aug 12 2008 	Smart and Contemporary	My Husband and I, stayed at this hotel for one night, as part of a concert package (with Superbreak) We went to a concert at the O2 arena, which is directly opposite the hotel across the Thames. We would recommend this hotel (as well as the O2). The staff at the hotel were friendly and helpful. The room was lovely, very modern and comfortable. The bathroom was equally as lovely, with a smart walk in shower. There are tea/coffee making facilities in the room. The buffet breakfast was very nice, good choice, well presented. We were told that there may be a boat across to the O2 in the future, this would be very useful. The only inconvenience regarding our break (which is nothing to do with the hotel) was having to pay £15 each way, to get to/from the O2 by taxi. I have made a suggestion to the hotel, that a hotel shuttle service, at a lesser charge would be wonderful. I hope they consider it, as it would attract more O2 customers to stay at their impressive hotel. The hotel is near to Canary Wharf station, and the DLR is opposite the hotel. We would stay there again, and recommend that others do too!	
Aug 12 2008 	great hotel great postion for canary wharf o2	superb hotel, great position 5 minutes walk from dlr ( blackwalls) under the underpass, lovely rooms great service, what more can i say!!	
Aug 7 2008 	A good experience	Used this hotel as a stopover after visiting the Motor show and evening concert at the Excel Centre. A very clean modern place .Lovely room with all mod cons.Good check in and nice seating area outside overlooking river. Breakfast was included but expensive for self service if you are paying separately. We did not eat dinner at the hotel ,but found a recommended Italian just round the corner-Il Bianco -which had great food and lovely staff.The efficient air conditioning was welcome on a very hot night.Did not have a chance to use leisure facilities .My only criticism was the walk from the DLR was longer than expected and not particulaly nice ,being near thr Blackwall Tunnel-also no directions to entrance-you have to walk round the block past the Ibis. At night it felt a bit unsafe.	
Jul 23 2008 	Good business hotel	Rooms were a fair size, were clean with modern decor. Nice to have a B&amp;O TV with a decent internet service. Near enough to Canary Wharf (5 minutes by cab) and decent restaurants (recommend Gaucho for fantastic steak - the best I've had outside of Buenos Aires).	
Jul 10 2008	Completely Inadequate	I was stranded in London around the time of the Rugby World Cup Final when I couldn't get a ticket on Eurostar. I had heard about this hotel and generally liking Radisson SAS hotel in Europe I thought I would give it a try. It was one of the most unplesant evenings I have ever had in a hotel. Location: It is located in a hideous area in the Wharfs surrounded by security and while the development is new inside step out of the secure area and you are confronted with some pretty ugly scenes. There was noting around except a dingy McDonalds. Strolls were out of the question. But that was ok...so I thought. The staff seemed completely overwhelemed with me as a walk-in and kept my driver and I waiting more than 25 minutes while they tried to figure out if a room was available. This in a hotel that was nowhere near full. The room was dark, dingy, and difficult to operate and I stay in a lot of hotels. The halls were noisy filled with party-goers attending some function, which I could not determine. The food was overpriced and terrible (although the waiter was nice) When I checked-out in the mornig they arranged a car for me to the train station with an incompetent and dangerous driver who got lost on the way. I expect so much more from Radisson in Europe. I will not be returning.	
Jul 7 2008 	Good stay - but a walk from stations	Excellent new hotel - good size rooms with modern decor and electronics, fast internet service, nice service, very nice + relaxing spa-area!But a 20min. walk from underground or 10min. from DLR! Construction going on nearby and busy traffic during the day... Check-in very friendly but took 40min. to &quot;find&quot; our online-booking! Would recommend if you can work with 30min. commute to the city! Very convenient for City Airport!Heavy priced breakfast! Excellent small Italian restaurant around the corner!!	
Jul 3 2008 	Fantastic!	My sisters and I stayed at the hotel as we went to see Neil Diamond at the o2 arena.It was a fantstic experience for us and the hotel is fab.The rooms are very clean, modern and they think of everything that you could want.We had ice for our champagne and a docking station for my ipod so we could get ready in style.The bathrooms are great and although other people have said about the dispensors on the wall......well that didn't really bother us.Breakfast was great and there was lots of choice. We had breakfast included in our rate but on sunday they were doing a special for only £10.....not bad at all.The only thing that I think they could do is have some proper coffee in the rooms as it is a 4* business hotel.Loved it, and will definitely go back when I go to the o2.	
Jun 29 2008 	Pure incompetence	Had arranged for some relatives to stay at the Radisson Edwardian for two nights around our wedding day. They had flown over from different countries and we wanted to give them the best impression. Also, we live next door to the hotel. BEWARE: at reception English is an optional and smiles are not part of the package. The fun starts now: we instructed them to charge my credit card - someone made copies of it, and I signed a mandate for a 3rd party payment. Only now we discovered that they charged our guests! We are packing to go on honeymoon tomorrow and they cannot rectify it because their accounting department is closed (yeah it's 10:30pm) and will have to return there tomorrow morning. They gave me an appointment at 8 tomorrow morning. I wonder if there will be a queue then. I have the strange feeling that I am doing someone else's job ... isn't it just pure incompetence?	
May 20 2008	Amazing Hotel And Stuff	It was an amazing hotel with amazing people working in it. We went there they welcomed us like they knew us from long time the room (suite) were very very well decorated the view perfect.Everything was perfect . Everyone must go to this hotel.	
