	Excellent - we will be back	We have just spent 3 nights at this hotel and really enjoyed our stay. Reception area was very attractive and the Christmas trees were up which added to the ambience. Reception staff were very accommodating when we arrived 2 hours early they found us a double room right away. It was very spacious, clean, well decorated and there were nice products in the bathroom. We ate in the restaurant on the first night, the food was good and there was an exceptionally friendly Spanish waiter who was really helpful. Breakfast was excellent plenty of choice and something for everyone. There is a well equipped little gym with sauna which we intended to use but sadly we ran out of time. Gloucester Road tube station is only 3 mins walk away which made it easy for us to get around the capital. There are two good little pubs nearby and some shops and cafes. The only negative thing I have to say about the hotel is that the towels were really small and thin - it's about time they were changed for new fluffy BIG bath towels.	
Jun 18 2007 	Much better option available nearby...stay at NH Kensington instead.	This hotel is very old when it comes to the rooms. While the size of them wasn't a surprise, the old TV, bathroom, beds, carpeting, etc. were. I've stayed at numerous NH hotels, and this was the worst. Also, during my stay, the Fire Alarm went off 3 times one night, and then we didn't have hot water for 2 other nights. The hotel staff was promising a &quot;fix&quot;, but it never came. Finally, on the 2nd night, they slid a letter under the door offering a free transfer to another one of the NH hotels nearby. However, they slid the letter at midnight and there was no knock on the door to alert. The hotel rooms have very long hallways, so you don't actually see the door until you have to get to it. Needless to say, this &quot;offer&quot; that was presented under the cover of darkness upset me a great deal. In addition to not being very consumer-friendly, all the hotel offered for 2 nights of no hot water and one night of alarms was a 30% discount.Long story short, the NH Harrington also recommended that we finish our stay at the NH Kensington (a sister hotel about a 2 minute drive away ...and only one tube station). The NH Kensington is MUCH more modern, with great/modern ammenities (flat panel TV, alarm clock, great furniture, great bathroom, wonderful bar, etc.). From what I was able to find on the internet afterwards, both hotels are at the same rate. So, stay at the NH Kensington and you won't be disappointed.	
May 29 2007 	very nice	Recently stayed here with my friend. We had two twin beds and there was even a small sitting area by the TV. Plenty of room for the two of us. I would difinately stay here again. Their buffet breakfast each day had plenty of choices and was very tasty. There is a cheap internet place just across the street. Close by are many resturants, a laundrymat and a tube station. The staff was friendly and very helpful when needed.	
May 13 2007 	comfy but costly food/drink	Me and the missus thought this place was quite cosy. The bed was king size but so were the prices of the food and drink! £17 per person per day for breakfast and she only had cereals and yoghurt. But then again you can have as much as you like so I went for plenty of egg bacon mushrooms and lashings of tea and toast. And you could always use one of the nearby eateries for grub instead if you wanted to but that kind of defeats the object of staying in a hotel in my humble. The bar area is really comfy after a day of credit card abuse and again prices are a bit steep but we've all got to make a living. Our room was nice and quiet and good hot shower and clean bathroom too. With Gloucester Road tube 2 mins away we would gladly stay there again if necessary.	
Apr 26 2007 	Decent stay but nothing special at the prices they charge	Stayed four nights. Reservation was for four nights, but hotel had five nights in their system. Whether it was my company office or their fault, they were extremely rude about removing the extra night charge. They would not do it.Rooms are old fashioned but spacious (for London). Plenty of storage, nice modern bath, firm bed. Internet charge was $24 a day, worked well though. Fitness room is gloomy and tiny.Convenient location, breakfast included in room rate (however if breakfast isn't used it is still included in the rate!).The staff at the front desk was extremely rude. Regardless of the question asked, they acted annoyed and rude! That was reason enough for me to not stay here again.	
Apr 18 2007 	After ten stays good value for money	For the last 4/5 years I am staying at Harrington Hall mainly for business purposes. Since I am paying corporate rate of 98 GBP per night excluding breakfast I would say it is pretty good value for money. Hotel is situated near Gloucester tube station, very nice south Kensington area, quite with nice restaurants and close proximity to some of the London attractions (Albert &amp; Victoria museum, Natural history museum). After NH took over hotel I noticed that there is no more bell boy at the main entrance so you have to open main entance door by yourself. No major improvement was implemented apart form colorful bath products. To me it seems that a little refurbishing is needed. Curtains especially are worn out, remote control usually has a function problem and maybe just a little bit of more modern touch. Fitness room is very small but convenient if you want to use it.Breakfast is very good, nice choice of everything and worth additional 15 GBP. Staff is more or less Spanish now. In total if you can get good price then it is worthy to stay here.	
Apr 9 2007 	Horrible avoid it at all cost	I stayed at the NH Kensigton for five nights. There were two highlights on my stay - the first was seeing it from the outside as I arrived from the airport. The second was leaving it again to the airport. Everything in between was horrible, really unbelievable. It was one of my worst hotel stays ever - and I travel on business almost every other week.The first impression of the room was strange to say the least. A 17-inch TV on a stand 6 inches from the floor. There was no alarm clock or radio. The mattress was too soft and old and the pillows felt like empty pillow cases.As I got myself ready to sleep the first night I noticed there were no power outlets near the bed. I called the reception and asked for an extension cord. On the phone I felt I was interrogated by the Scotland Yard on my needs for power by the bedside. Then I was told it needed a 10 pound cash deposit and I had to go to the reception to make the payment - it could not be charged to the room. I went to the reception with a 50 pound bill and the person at the reception put it against the light as I was giving him a counterfeit.When I made the reservation I requested a refrigerator to store medication. There was none. When I called the reception to ask about it, I was told there was a fridge in the room. It was actually an automated bar full of drinks and no room for anything else. On top of that the fridge/bar was room temperature. The only place to store prescription medication was in the hotel kitchen refrigerator. I had no choice, and I'm not even sure it is legal.Almost everyone in the reception was rude and arrogant - I can only guess the staff thought I was paying to serve them, instead of the other way around.We were three in our room as I had my wife and teenage son. We made the reservation to include breakfast. To our surprise, even though the room was reserved for three people, the breakfast was for two only - funny math...I asked for help with the bus service as there were many underground closures on the weekend. I was given a two-years old bus route map (dated 2005) with missing bus lines.On my last night the hotel smoke and fire alarm malfunction and the alarm sounded multiple times. While many guest congregated around the reception in the middle of the night the staff told everyone that the hotel would take care of it. Shortly after everyone left I overheard the hotel manager telling the staff not to give anything to any guests as the hotel was not responsible. The next morning there were signs posted on the elevators excusing the hotel of any culpability on the malfunction of their smoke and fire alarms.As I was checking out multiple guests were complaining about the lack of hot water - the staff was telling everyone boiler wasn't working.	
Mar 22 2007	Excellent Hotel Fantastic Staff	I have just returned from a weekend stay in this hotel and would definately go back. The staff were lovely at all times, always polite and extremely helpful. The rooms were a good size and the beds very comfortable and bathroom was was great with a powerful shower. Location was great as its only round the corner from Glouster Road Tube and about 15 minute walk to Kensington High Street. The only thing I would say is beware of the bar prices as they are high, but you get this in most hotels.	
Feb 27 2007 	Not going back anytime soon	I recently stayed for three nights with my two girlfriends at Harrington Hall. This is one of those reviews that if the hotel had helped take care of some problems the review would be alot better. Basically, the hotel is perfectly fine. The rooms and bathrooms are clean and comfortable enough. However, the following occurances are what ruined my view of the hotel. First, we called housekeeping to order an additional bath towel that was never delivered despite two calls. Second, our bath tub wouldn't drain when we took a shower. There were three of us and, as you know, that is gross enough when it is just one. It was no big deal at first though, I just called down and spoke to the front desk the first night and told them about the problem and asked if they would plan to fix it the following day. That next morning before we left for the day I stopped by the front desk to remind them about the tub. That night we get back and the tub has still not been fixed. Called again- a little more irritated but still not a huge deal- spoke to a manager who told me it would be fixed the next day (our last day). Last day rolls around and the shower has still not been fixed. Despite three calls and a face to face request we could not get one person to come put some draino in the drain. Lastly, my friends and I got to witness a heated exchange between the housekeeping lady and her manager when we were leaving one morning which I thought was incredibly unprofessional.However, the best part of this hotel is that the location is absolutely perfect if you are looking to stay in the South Kensington area. It is about a 3 minute walk to the Gloucester Road tube station, making you close to anything really since it is right on the Circle Line. The rates are great for London and for this area, but this is a definite &quot;you get what you pay for&quot; unlike so many other hotels you can find through Trip Advisor. My suggestion is shop around a little more.If you choose to stay here I would just not expect a whole lot.	
Feb 13 2007 	Great Rooms expensive extras	Stayed here with the wife on a business trip. Excellent large rooms and nicely decorated. Bathroom was excellent only for some reason they don't give you soap only shower gel (European thing). Breakfast was expensive in the Hotel. There is a nice Italian cafe 100 yds down the road that does full english for 5 pounds. Recommend this hotel for couples and business travellers. Paid 99 pounds then but website was advertising 75 at the time	
Feb 2 2007 	Fantastic	I had to write a review for this hotel because of how happy I was w/ our stay. My 16 year old daughter and I were staying in London for a week. Prices for hotels were expensive and I was concerned what we were going to find at this hotel. We booked this hotel w/ a British Airways package. We read the reviews in Oct. about this hotel and they were mixed. However, we found the hotel to be great. The staff could not have been more helpful. The room was w/ two twin beds - comfortable and clean. The breakfast every morning was good. The location was ideal and safe. Just a two block walk and you were at the Tube. We walked to Kennsington Palace. Truly a great place.	
Jan 7 2007 	Wonderful hotel	My teenage daughter and I stayed here for three nights just before Christmas. We upgraded to a superior room at the front of the hotel for 10 pounds extra per night. The room was extremely spacious, even by North American standards, and graciously decorated. The bathroom was well appointed and the shower had excellent water pressure. The staff, concierge particularly, were courteous and helpful and houskeeping was top notch. Breakkfast was very good, with many healthy choices. Room service was also good - terrific salad nicoise was a good late night snack for the two of us!The tube is about 3 minutes walk and the area is well lit at night. Women travelling alone need not worry. There are several restaurants within 3-5 minutes walk and a Waitrose at the tube station that has a good deli and wine selection for a quick snack back at the hotel. There is an internet cafe a block away which we used instead of paying the high daily rate at the hotel (17 pounds per day).We will definitely return.	
Oct 22 2006 	Lovely stay	We loved this hotel and definitely will use it again. Excellent rooms, very helpful staff (we had a problem with a couple staying very close to us who were arguing all night long and the hotel staff intervened to quieten them down).Food was great, the general atmosphere very aristocratic, I'd say this is more of a 4* hotel, not a 3 star as I've seen in other ratings.	
Sep 7 2006	Good value for money	Stayed for one night in Superior Room. Arrived late and left early without breakfast. I can therefore only comment on the room, which was spacious, bright, clean and quiet. Spacious bath with tub. Knowledgeable staff who were eager to please. Check-in and check-out took just one minute. Would have given five points if it wasn't for the outrageous phone bill: 5 pounds for a six minute local phone call.	
Aug 29 2006 	OK - Could do better	We booked this hotel after reading the very positive Tripadviser reviews. We booked through Superbreak; that gave us a better price than the hotel website and critically included breakfast in the price.We agree with quite a lot of what has been written. The hotel is very well placed and convenient and the public areas are very well appointed. The rooms are larger than most London hotels, they were clean and our bathroom was OK. The breakfast was good.There's a &quot;but&quot; coming however. Our strong impression was that they could do better. For example, there was an abiding whiff of tobacco smoke, including in our no smoking room, despite a profusion of no smoking signs. We were allocated a double room when we had booked a twin. Our window cill was covered by waps (albeit dead ones). The restaurant was understaffed at breakfast. The fire alarm went off (briefly) at 4am, the mattress was very firm but the pillows were very thin. I could go on.These issues wouldn't definitely stop us staying there again but we'd probably look elsewhere - possibly the Reubens in Buckingham Palace Rd where we have previously had a very good experience.	
Aug 21 2006 	enjoyed the hotel	My wife and I stayed here in early August and were given a smoking room after requesting a non smoking room. They made it right after we requested another. Room size was good by English standards. A big reason we selected the room was for the King size bed. It's not a Califormia King, so my feet hung off the end (6' 4&quot;), but it really didn't bother me. I do look forward to the new law that is supposed to take effect in January 2007, I think, that will not allow smoking inside the hotels. The lounge/lobby is a nice size, but it only takes one smoker llighting up to change an otherwise enjoyable experience of having the complimentary coffee/pastry/newspaper in the early morning. The concierge service was good and Nik also helped us well. Nice breakfast room and a very nice buffet breakfast. We would definitely stay there again. I researched the hotels in London a lot before selecting the Harrington Hall. It appears to be the best size and quality for the money. Oh, for those of you like me who are concerned about noisy doors closing, hearing your neighbors through the walls,and the stomp of footsteps from the floor above, there was no concern for any of that in either of the rooms we had on this trip.	
Aug 8 2006 	Average Hotel - Nothing Special	We stayed in this hotel at the end of July and thought it was average at best. I wouldn't class it as 4 star. Positives were that the room was big, location was fantastic, safe in room, secure and errr....Negatives were that tv in the room was tiny, not enough towels (only three v thin ones between the two of us) - surely 4 is the minimum? There was no hotel or london info in the room which was disappointing and the bar area is tiny (especially when you're a smoker!!). In addition we were on the 6th floor and the windows are partly blocked by the roof so room was pretty dark.Also we booked a taxi for an early morning and the firm the hotel booked for us charged £18 for a 15 min journey which seemed a bit steep to me!Overall - i think the hotel was ok and reasonably priced for its location but it was nothing special	
Jul 11 2006	Great Choice	Selected the hotel based on reviews on this site and we were not disappointed. For our first trip to London, it proved a great expereince with a well above average room size (considering the warnings we had about small hotel rooms). Centrally located for the tube, helpful staff wqe would recommend highly.	
Jul 10 2006	Very Good Choice	Stayed at Harrington Hall for a week. Lovely place in a very nice neighborhood. Just a 3 minute walk to the tube station. Staff was very polite and responsive. Especially the concierge, Nik. He got us GREAT seats to Mary Poppins with 24 hours notice. (You MUST see this show!) We would stay at Harrington Hall again.	
Jul 3 2006	Great Hotel	Stayed at the Harrignton Hall as part of a concert package. Picked this hotel out of several options as it wasn't a chain owned one and made the right choice. Great location, just a minute or so walk from nearest tube station. Room was large, clean and comfortable. Staff were courteous and polite. Would stay here again.	
May 19 2006	Great hotel!	This is the best hotel I´ve ever stayed at. It is located near a metro station. The clerks are very friendly, they speak many languages.The rooms were absolutely great, big and convenient with a TV and a desk and chairs and a huge bed. Also the bathroom was nice and clean. Breakfast was good too, they also offer room service and dinner opportunity.	
May 15 2006	Great location-average hotel	I thought this hotel was just average. The bathroom was very nice, large with the usual amenities. The room was a reasonable size with good closet space for 2 people. The room could have used an update in the decorating. The public rooms were very nice. The breakfast was good and came with the room. The staff was so so. The concierge was helpful. The rest of the desk staff tried to be helpful, but didn't know very much about the area.The location was great. Just 2 blocks from the Tube station. There are several cute and afforable restaurants within walking distance.	
Apr 19 2006	Harrington was excellent	Lovely hotel with spacious and well appointed rooms in a great location.Good service. Close to the Gloucester Road Tube stop, restaurants and Museums. Would heartily recommend this well price hotel. Exceeded our expectations.	
Apr 10 2006	TOP LONDON HOTEL VERY CLASSY made valentines weekend very special	this is one of the nicest hotels that i have ever stayed in, in london.i went here with my girlfriend for valentines weekend 2006. we stayed for one night over the weekend and the whole experience of this hotel was magical.if you like a touch of class and you are into the nice things in life then this is the place for you.the hotel foyer says it all, with the sheer style, and the friendly staff.the rooms are very clean and decorated classy, our room had an en-suite bathroom with one of the most powerful showers i have ever experienced. hehehe :-)rooms have satalite tv, coffee and tea, iron, mini bar, free in room safe.breakfast is also excellent and was the highlight of our stay, there is so much on offer, the coffee is superb, i have stayed in so many hotels where the coffee is diabolical, not here chaps, A1.the location of this hotel is also A1 it will take you 5 mins if you walk as slow as you can to get to the nearest tube station which is gloucester road.there is also some lovely restaurants 1 min walk from the hotel.i will end this review by saying that if you stay anywhere in London then make this hotel top of the list.cheers and i hope you enjoy your stay in London as much as i did.Paddy :-)	
Apr 4 2006	Great hotel and great location	I stayed seven nights at the Harrington and it was my first stay. For anyone wanting to simply relax without the need to always be on the move the hotel and location has all that you need to keep happy. I was a single and the room could not bee better. The breakfast offers a wide selection on morning foods in a very relaxing dinning room. I would send any of the friends there without a worry.	
Mar 20 2006	Excellent Hotel	The room was very large, fabulous location. Only 2 blocks to the tube. Also easy to get to Heathrow, only 40 minutes by tube eliminating an expensive taxi ride. Staff was very accomodating. Would definitely stay here again.	
Mar 10 2006	Great Stay	We have just returned from a 7 night stay at Harrington Hall. We where very impressed upon arrival. Very nice lobby and reception area. Reception very polite and helpful. We arrived at about 10:30 AM and they let us go ahead and check in. No problem. Judging by UK standards, the room was spacious. Very nicely furnished and clean. The bathroom was all tile and we had plenty of hot water. We did have to ask for two towels for each of us. They also gave us an electric fan because we thought the room was hot. Also the window opened and that helped. I have nothing bad to say. The location was perfect. Everything you need including tube,just around the corner. Breakfast was included in our room price and is served buffett style. Anything you want is there. Full English, fruit, yogurt, juices, all kinds of pastries, cereal, everything. Very nice restaurant. The fees for internet access are very high but there is an internet cafe right down the street. Very nice stay.	
Feb 22 2006	Excellent Hotel	This really is a great find. The location is excellent. Just one block away from the Gloucester underground station. In my case I was quicker from the airport using the tube, than H-Express + a cab from Paddington as the taxi line at Pad is a pain. This hotel is part of the NH chain, which I've got nothing but good things to say about. The entrance gives you sense of what to expect. Overall the quality is very much in line with the star rating for this hotel. The only service I missed was not having Internet connection in my room (this is just a matter of time I'm sure). The rooms are nice. I loved the beds (firm and good). Bathroom was great and the stuff NH includes is among the best I've found. Breakfast is a bit expensive, particularly when compared to the offers at the local resturants/cafes. However, it is good and sometimes included in your rate. I stayed here for 3 nights and I will definitely stay here again.	
Feb 12 2006	Good value and excellent location!	Stayed at NH Harrington Hall Hotel for one night (11th Feb) to visit the theatre. Got a good deal including breakfast through an on-line discount site. The hotel is only 2-3 mins walk from Gloucester Rd tube station (which provides good access to many London attractions via the Piccadilly, District &amp; Circle lines). The V &amp; A, Natural History &amp; Science museums, as well as Harrods, are all within walking distance.First impressions on approaching and entering the hotel were good - nice facade, very spacious and elegant lobby. We were checked in quickly and our request for a quiet room away from the front was met with no problems. Staff were polite, pleasant and efficient. Very pleasantly surprised by the size of the L-shaped room which had twin beds, two comfortable, high back armchairs and plenty of wardrobe space. We also had an iron/ironing board and a safe. The decor was traditional with framed prints and flowery fabrics, but all of good quality and very well maintained. Both the bedroom and bathroom were immaculately clean. Beds were very comfortable and gave us a good night's sleep. Breakfast the following morning provided one of the best hot and cold buffet selections I've seen. All in all, I will not hesitate to stay here again anytime I visit London if I can get a similar rate. I will definitely be recommending the hotel to others.	
Feb 6 2006	Nice rooms for longer stays	My husband and I stayed at Harrington Hall last December 2005. It was less than one minute walk to the Glouscter tube, which has easy and conveinent links to all London.The rooms were nice. We booked a twin and were quite pleased with the space. I would recommend. We were on the fourth floor and our room opened to a courtyard with a plesant view. The bathrooms were very nice. Everything quite clean. Good mattresses.Fantastic full breakfast buffet. We booked though go-today travel and got a fantastic deal for off season. I don't know that I would pay a premium price for this hotel. But, it is safe and nice and conveninet so if those issues are important, I say book it. Oh, there is a fantastic little deli as you walk to Glouster tube on the left side of the street. Good food and great prices. Sue from Oklahoma City	
Feb 6 2006	Harrington Hotel - Great Hotel for our family holiday	Our family stayed at the Harrington Hall for 10 nights from the 30th Dec 2005. After many hours of scouring the internet for a reasonably priced and fairly central hotel, we were absolutely delighted by our stay at Harrington Hall.On our arrival in London we were greeted by quite a downpour, and having decided to catch the tube from Heathrow, we were not looking forward to a block and a half walk from the station, but we were delighted to find it was very close, and we were inside the hotel within minutes of leaving Gloucester Road station.The hotel was much more than expected. Granted, we were really lucky to get a great rate on a discount hotel website after booking directly with the hotel earlier at a much higher rate, (and cancelling the first booking) we paid only 74 pounds per room including full breakfast. We were more than happy with the breakfast, and to say that the hotel didn't cater for vegetarians as some other reviews have said, I think is more than unfair. There was an ample selection of cereals, hot and cold selections to amply satisfy any vegetarian.The rooms were very English and quite a good size for a London Hotel. There is a reasonable gym which we took advantage of every day before breakfast, and a fantastic concierge who was able to point us in the direction of good tours of london.The hotel is only around the corner from a range of restaurants and within 5-7 minutes walk of South Kensington which also has a range of great restaurants.Gloucester tube is only 5 minutes from Oxford Circus or Regent Street and perhaps 10 minutes from Big Ben, Westminster Abbey etc.We would have no hesitation in recommending the hotel to anyone planning to travel to London, nor would we have any hesitation in staying at the Harrington Hall again. Given the prices of some London Hotels, we considered ourselves to be very lucky to have stayed at the Harrington hall.	
Jan 26 2006	Great 8 day stay	Returned yesterday after 8 night stay. We arrived at 8am and were given the room on arrival. We also had the twin bedded room and were pleased with the size and facilities, ample closet space for 2 and storage for suit cases, toiletries replaced daily and room cleaning never once disturbed us in the morning with the Do Not Disturb sign hung on the door. Staff were very pleasant and helpful, a telephone malfunction was rectified immediately. This is our third stay in this area because location wise it has everything and we will return to this hotel in the future.	
Jan 5 2006	Great Hotel	Had a fantastic stay for six days over New Years. Room was larger than what we expected. We required a room with two twin beds (traveling with my daughter). Our room had a desk, two sitting chairs, side table, dresser, TV, large closet, etc. The bathroom was standard size with shower/tub. Everything was very clean.The hotel staff (especially the concierge) was extremely helpful.We didn't eat in the hotel restaurant, but it looked very nice with a good menu. There are a variety of places to get something to eat just up the street...breakfast, lunch, and fine dining. Extremely convenient location. Gloucester Rd Underground station is one block away on the Circle, District, and Piccadilly lines.	
Dec 31 2005	Once again a great hotel!	Harrington Hall was bought out by the NH group since the last time we stayed here. I was a little worried, since I liked the hotel so much before. To our delight, the hotel was still the same great place. The staff (largely Spanish, it appeared) was cordial and more than helpful, especially Javier. They bent over backwards to accomodate us, even though we had reserved at incredibly low rates. The room was clean, with the exception of the rubber bath mat. We kept putting it out (unfolded) on the floor for the housekeeper to clean. It was refolded every day, but the mildew was still there. We should have asked for a new one, but we preferred not to bother. The toiletries were replaced daily, and the housekeeping was good. The bedspreads were brand new and tidy looking. The lobby was as nice as ever, with complimentary newspapers (in a variety of languages) every morning. The location cannot be beat. The area has lots of restaurants, a couple of small grocery stores, coffee shops, fish-n-chips, etc. We also found that when staying here do NOT bother with the Heathrow Express! It is much faster to take the Picadilly line from Heathrow (under 4 GBP) directly to the Gloucester Road station (30 min). The express takes you into Paddington in a meer 15 minutes, but then you have to switch back to the Picadilly line anyway, or take a taxi, which takes forever in the congested traffic. It cut a lot of time and saved us over 20 GBP each to take the tube only. There were 19 stairs total, so the luggage was not a problem. Apart from those stairs, everything else was escalator or elevator. Let me say again, we really enjoy this hotel. This was our fourth stay and we will stay here again.	
Dec 21 2005	Pleasant Stay	We recently returned from a week-long trip to London where we stayed at Harrington Hall. We were very pleased with the hotel, especially given the price (GBP112 - a steal compared with other hotels in the area). The room was large by British standards (pretty much the size of an average North American room) and, while the decor did leave a little something to be desired, we weren't in London to hang out in our hotel room. Bathroom was large &amp; shampoo/shower gel was always replenished (note for the ladies: there is no conditioner, so come prepared, and the hair dryer requires either short hair or a lot of patience!). Service was fine from what we saw, although we were pretty much only at the hotel to sleep or change clothes. We are early risers, so I can't comment on housekeeping staff arrival times. There is an excellent bakery just down the street (Paul's - sinful pastries!), so no need to bother with the hotel breakfast. My only beef was that people are allowed to smoke in the lobby (but that's a result of being Canadian, where you can't smoke anywhere indoors).All in all, it was a good hotel in a fabulous location.	
Dec 1 2005	This hotel made me cry on my 25th birthday!	Firstly let me start by telling you that we're not experienced travelers, we're from Richmond, just 20 minutes away from this hotel and tend to stay in self catering accommodation but fancied a change since it was a special occasion, so I have little to compare this hotel to, saying that we were suitably impressed on arrival.We were very excited to arrive at such a lovely plush looking hotel. Greeted by the doorman we felt very posh stepping into the lovely reception area. Very elegant and grand. But our happiness was to be short lived. On checking in we were told there was no record of our booking and that the hotel was fully booked, I started to panic. I was told that without a print out containing our booking reference number it was unlikely that we could be accommodated. Unfortunately we had (I thought) left home without the confirmation. I frantically rang home to try to get someone to quote the reference number, nobody was in. I then asked if the hotel had internet access so we could confirm our booking via hotmail but they wanted to charge us £7 for the privilege. I was not going to pay since it was their mistake. We went outside in distress. I shed a few tears in frustration and decided to rip open my suit case in the hopes that I or my partner had packed the confirmation by chance. At the very bottom of the case there it was!!! What a relief!!! After presenting this confirmation we were left sitting in the foyer for about 15 minutes feeling very hot and bothered while the receptionist went to 'see the accounts' after much bustling and whispering we were told we could have a room, and that it was the fault of the operators we had booked through, as they had not informed the hotel of our booking, we were then told that it happens often!!! Surely if this was the case why have they not got it sorted! You should not be expected to go through such an ordeal on arrival. The lady on reception was very short with us, and very unwelcoming, not very hospitable at all.To cut a long story short, yes, the hotel is lovely as far as hotels go. I didn't find it very comfortable, the brown blankets on the beds were just hideous! I'm sorry but WHO sleeps under those! I was distraught to find those under the horrid nylon bed spread. When you are spending over £100+ a night you want comfort! Not some brown synthetic blankets from pre 1950's. I was told by hotel staff that this was thought to be English, and duvets were continual and not fitting for the hotel, well, let me tell you, we've not had blankets in our house-hold for over 30 years!!! So please don't think for one moment that this is acceptable or an English custom! I felt as if I had gone back in time! The blankets left me cold, I couldn't get snuggly, they left my shoulders exposed, and they kept slipping off the bed! That's my one major gripe and the one reason why I wouldn't return to 'Harrington Hall', not until they have replace the blankets with something more acceptable.PRO'sVery cleanGreat location, walking distance from lovely cafe's, museums, galleries, Harrods, etc. Huge bathroom with roomy bathNice selection of toiletriesImpressive entrance and decorLovely lobbyNice atmosphereVery Grand and elegantCON'sHorrid brown blankets, no duvets, tiny weeny pillowsDull decor in roomsAwkward automated mini bar, read small print before exploring what's on offer! £3.00 for a small Evian!!!! Get it 2 minutes away at Tescos for 49p!Tiniest bar of soap you've ever seen!Over priced English breakfast, no Vegetarian option! Do not cater for special dietary needs.Continual breakfast overpriced, catered to over-charge tourists, get your partner to pop down to the local cafe, 2 minutes away while you're in the shower for fresh coffee and croissants at a fraction of the price.Did not like the X-rated movie menu with pictures on display in the room, very crude, should be something you request.Appliances outdated and falling apart. Bad choice of complementary magazine (Men's Health???) No, I don't fancy reading about the 'latest tips to make her scream' or feasting over soft porn, Vogue or Elle would have been nice. Something less offensive.House keeping walk in without giving you time to answer to their knock, could've been embarrassing. We were frog marched out one morning because house keeping wanted to clean there and then, despite us just getting up, no time for lie in's. very rude!	
Dec 1 2005	Great Stay	I stayed with a friend on a Thursday and Friday night. Service was seamless, nice toiletries, excellent bathroom with good water pressure. We had a superior double room, which is slightly larger than a regular double. If you aren't used to London hotels, the rooms are uniformly small. However, our room had a separate sitting area and was comfortable. We would gladly stay there again.	
Nov 22 2005	Great hotel at a great location	Harrington Hall is a great hotel in South Kensington. The rooms are big (by London standard) and very fresh, equipped with a big king-sized bed. The hotel is located 2 minutes walk from Gloucester Rd tube station and a number of museums are within 15-20 minutes walk. We had a room facing the street but there was no noticeable noise. The air conditioning worked fine (not always the case in London!).I would definitely stay here again but make sure you shop around for discounted prices (we got a double room for £86, which I think was good value).	
Nov 16 2005	All Good	We have just returned from a night at the Harrington Hall. The hotel is just a few minutes walk from Gloucester Road Tube station and 15 mins from Harrods , Hamleys etc. Check in was smooth and our room was ready for us with no wait. The room was clean and tidy with views over London, It was well equipped with iron, ironing board, mini safe, toilettries etc. Take your own hairdryer as the one in the bathroom isn't really powerful. The staff were incredibly helpful for us and made our stay enjoyable. The concierge went out of his way to get us a taxi on a busy evening, breakfast was plentiful and delicious. We would happily stay here again. If you need a bite to eat there are plenty of cafe / restaurants by gloucester road and a 24 hr tesco express.	
Oct 27 2005	Loved the Harrington Hall	My wife and I, just arrived from London and stayed for 5 nights at the Harrington Hall. I selected this particular hotel after having read the great reviews and I must say, that I wasn't dissapointed at all.The location is just fantastic, in beautiful South Kensinton. The tube station is only 2 blocks away, which makes it very handy to go downtown London. Great restaurants and cafes all around the hotel. I didn't take the brakefast at the hotel since I though that it was way over priced for what you were getting. However, just down the next corner street, there is a great cafe that serves terrific coffee and pastries for a small price.The room was very clean, though small by Canadian standard but the bathroom was large and probably brand new.The staff at the hotel were also extremely helpful amd courtious.All in all, I would certainly be staying there with my wife next time we return to London.	
Oct 25 2005	Nice location but already needs a refurbishment	Stayed here 3 times, once in 1996. Enjoyed it a lot then. Then in 1999, not as good anymore and now in 2005, even worse. Location is still very good, but hotel is not up to scratch anymore. Rooms look tired and staff is getting worse. Not a bad hotel, but also nothing special. Maybe worth it if you don't have to pay rack-rates. Parking is in the hotel opposite. Expensive!Rooms at the street side can be noisy.	
Oct 22 2005	Poor Customer Service	I carefully chose the Harrington Hall Hotel in South Kensington, London for a 3-day stay at the end of a 2 week visit to the UK. I booked the room 2 months in advance. The lobby was very crowded upon our arrival and we patiently waited to check in. After a few minutes a hotel employee at the desk said that they were overbooked and there was no room available for us. When I asked him to explain, he was very short and rude. No apology, no smile. He said that he had arranged for a room at the Millenium Gloucester across the street and sent a young man with us to check in. Upon our arrival, the Gloucester said that no arrangements had been made for us. However, one of their employees escorted us down the block to the Millenium Bailey, a sister hotel, where we were welcome. It was perfectly understandable that the Harrington was overbooked, but their customer service was deplorable. On the bright side, the Bailey was an excellent value - big, comfortable room, great service, nice bar and dining rooms and an excellent location. I would not hesitate to recommend it.	
Oct 3 2005	Harrington Hall - a very good choice to stay at in London	My wife and I stayed at this hotel for one night at the end of September and found the room well equipped, with a very comfortable bed. Only snag we found is we could not open any of the windows, but the airconditioning worked well. Like another writer, we too thought we would run short of shower gel, and tea bags by the morning, so we rang down to reception and had extra supplies brought up within a short while.The lounge reception area is elegently furnished and relaxing to sit there, and the breakfast was varied and plentiful and service was prompt and courtious.The hotel's location is very convenient for South Kensington and Knightsbridge, the museums and the Royal Albert Hall.We found Flavio, one of the reception staff, very helpful when making our room booking.We would defintely stay there again.Marcia and Ashley Shanahan, Cardiff,UK	
