	Mostly good...	Our room was very nice and beautifully decorated. We stayed 4 nights and it was my birthday on the day we arrived and the Ritz had put champagne in the room and a little cake and that was lovely. But we also got some strange treatment in that we asked if we could have a later check-out (not really expecting it because the hotel seemed quite busy) and were told we could have a one hour extension, then got a call at 11.45pm (yes, at night) to say that we couldn't have the extra hour. Very odd to call so late when they could have told us the next morning. We also needed to book our seats on BA and asked if we could use the business centre (meant to be open 24 hours?) computer. No. We had to hire a laptop for $30 or $40AUD and used it for maybe one hour and then had to have the boarding passes emailed to reception at the Ritz, and when we checked if they had them they didn't, but when we checked again they'd been put in the junk folder and they told us so, which was just not professional and the way they handled it was quite insulting. The dining room is spectacular and we enjoyed our dinner there both nights, and we also liked the room service. Breakfast was ordinary. The ladies in the beauty/hair salon were pleasant and thoughtful. If you're the type who gets offended at being asked if you're a guest each time you re-enter the hotel, then don't stay here. We would just have our card handy to show the doormen when we returned. If you aren't the type to dress up each day then don't stay here because there is a dress code and it was great to see all the beautiful clothes, shoes, bags and hairdos, but if you're on a tour then it's difficult to have enough appropriate clothing. We can't rave about the Ritz, but it was an experience we wanted and we get a bit of a buzz to think that we've stayed at such a famous hotel.	
Sep 7 2007 	English Elegance at its best - except the breakfast	The Ritz is very much an institution, unlike other grand hotels, such as the Dorchester and the Savoy, the decor and ambiance at The Ritz hasn't changed in years and yet it is still lovely. This was my second stay here on business and I do like it very much.They do like a certain type of guest though - the dress code is very strict (unless you are a famous rock star who checked in wearing jeans and nobody batted an eyelid - Joe public would have been shown the door). You also feel very safe as they do keep a constant check on who enters the hotel. However I did return late one evening and waited for the porter to come and open the door to let me in. Not good when you are paying the prices they charge. The service is efficient but not stuffy and , as one would expect , the hotel is clean and well maintained. It is getting a little tired in places and the rooms are luxurious but the furnishings could be more comfortable. I stayed in a junior suite and both the bed and sofa's were hard .The hairdryer in my room was terrible. I called room service and they changed it for another but it was still rather cheap and not very efficient. Dinner in the restaurant is excellent but breakfast is not at all good. I have had better breakfasts in seaside three star hotels. One morning my &quot;organic back bacon&quot; was ordinary streaky. The toast was cold and the service poor. My advice to anyone staying at the Ritz would be have breakfast next door at The Wolsely.The Ritz is a lovely hotel, ideal for a romantic break or special occassion, the clientelle is very cosmopolitan but chic (the Dorchester is full of gentlemen from the middle east and I wouldn't recommend it to women staying on (legitimate) business) . However for the prices they charge they really do need to improve their breakfasts. You cannot compare the two hotels but for service and comfort I would choose Sofitel St James over The Ritz and it is also considerably less expensive. However for a sheer sense of occassion their is nowhere in London to bet The Ritz.	
Jul 16 2007 	Mediocre breakfast - such a disappointment.	The reception staff and concierge were wonderfully friendly and so helpful, however that cannot be said about the breakfast waiters, who were indifferent and remote; maybe because most of the guests at breakfast were business clientelle and not visitors to London. After an extremely warm welcome from the breakfast manageress, waiters neither smiled, nor directed our party to the buffet, which was extremely disappointing. I was expecting so much from the Ritz and cold, thin, indifferent toast, was pathetic. The cold buffet had the usual fruits, cereals and cold meats, with pre cut soda bread on the side. Avoid this - just a waste of time and money - instead find a Carluccio's for a taste sensation of a breakfast. Bedrooms were as usual delightful, although towelling robes and towels were rather thredbare and rough. But remember, don't expect too many extras at the Ritz - it's all about profit: no chocolates, or nibbles, just a bottle of Duchy water at bedtime. No wonder Camilla had her birthday at the Ritz, they sell her husband's products!	
Jul 4 2007 	Fabulous Ritz London	We were expecting something special &amp; we were not dissapointed. Staff were very friendly &amp; helpful, nothing was too much trouble. Our room was a deluxe king, very comfortable &amp; large. Over stuffed lounges, lots of pillows on bed, fluffy towels &amp; nice amenties in bathroom. Breakfast was included in package &amp; served in the very beautiful restaurant. Afternoon tea was something special. An expensive treat to stay there but worth every $.	
Jun 10 2007	an immeasurable remembrance	By valerie arena &amp; nancy gracie Over 100 years ago when Cesar Ritz said to his staff,” Never say no when a client asks for something, even if it is the moon…”, he was not kidding. Yesterday, I checked out of THE RITZ in London, England, after an 8 day holiday . Coming from hot, humid, southeast Florida, I anticipated awakening at about 9AM daily, walking over to my open window, inviting the brisk cool London air to embrace me. Then, tally ho! to the physical fitness center for a work out on a virtual bicycle. For me, exercise is a humdrum routine. Joyously awaiting a stationary bike that included a visual, mind-trip was an exciting alternative to using the plain ol’ stationary bike in the physical fitness center where I live in Coconut Creek. Alas, on the third day, the physical fitness center was no longer available. When I expressed my gentle woes to the Concierge Staff, Tony and Paul immediately replied, ”Would you like us to move the bicycle to your room?” Amazed. Elated. Surprised was I. Then, I recalled Cesar Ritz”…even if it is the moon”. The word RITZ has become synonymous with elegance, luxury and probably a host of other corresponding equivalents in Roget’s Thesaurus. I bet Cesar never imagined that his family name would be an adjective, RITZY! Or that 22 years after his death Vera Lynn would sing “There were Angels dining at The Ritz and a nightingale sang in Berkeley Square” . After Miss Lynn’s performance, Glenn Miller, Nat King Cole, Bobby Darin, Harry Connick Jr. and Tony Bennet performed this Maschwitz/Sherwin song with lovely lyrics of winding streets in Mayfair, enchantment and magic in the air.There have been many thoughts, sensations and expectations, I have never imagined within the framework of my life. . . like staying at THE RITZ. The semantics of this perception were not even a notion or an impression. I became the fortunate recipient of a former student’s generosity, Desiree Asher, an exemplary student on my Debate Team during the mid-90’s. She presented me with this opportunity, and the experience to write about one of the most aesthetically beautiful vacations that I have ever had. As a &quot;so-far&quot;,( I will start reading THE SECRET soon so who knows,LOL), solid constituent of the middle class, I would not have had this opportunity without her generosity. On the last day of March, this ladies vacation began in the immortal, resilient, colossal city of London. The four of us, Desiree, Judith,[Desiree's Mom], Nancy, and I, arrived at Heathrow Airport from Miami, Florida, where a car was awaited to drive us to the majestic Mayfair section of London. Pulling up to the entrance, our weary faces were greeted by Michael, the doorman’s warm, glowing, smile and his grand “good morning” at an unkind time of the early morning. “Brilliant, we are really here, at THE RITZ, in my favorite city.” We did not have to wait very long for room 506. Upon opening the door, Nancy and I felt like Princesses or Ladies or Dames. Well, let’s face it. We shared the proximity of Green Park with Queen Elizabeth. She was at her home in Buckingham Palace. We were at THE RITZ. Entering the room, located on the 5th floor, overlooking the St. James/Piccadilly Area, we walked through a hallway filled with exuberant closet space and a mini bar. Three very large windows monopolized and brightened the ivory-colored room featuring gold trim, with beige curtains adorned in fern green and persimmon roses. Ample lighting was provided by sconces around the beds and the marble mantel of the fireplace. In the center was a crystal chandelier with swags and drops, and several Victorian lamps were placed throughout the room. Louis the XVI furniture provided us with comfort and a well-framed picture of Fragonard’s painting, Les Hazards Heuereux de L’Escarpolette was above the desk. In diametrical opposition with all this period décor, was the modern flat screen TV. In relationship to the rest of the room, the flat screen seemed like a mechanism out of science fiction. The bathroom was spacious and extremely clean &amp; modern. Twice a day, the maids freshened the room and refurbished the bathrrom with Floris products, a true representation of the local color. The first Floris shop was established right down the street from THE RITZ on Jermyn Street in the elegant St. James quarter in 1730 by Juan Floris. The first Royal Warrant granted to J.Floris Ltd was in 1820 to King George IV . Ever since , Floris has always held at least one Royal Warrant, and today holds two: Queen Elizabeth II and the Prince of Wales. So, one would shower or bathe, wrap oneself in a towel from the warmed- towel rack and slip into a comfortable, soft, robe and slippers. A variety of pillows were available and we chose a pillow gently infused with the scent of lavender to induce a calm sleeping experience. The perfect night’s sleep was a very positive feature of THE RITZzzzzzzzzzzzzzzzz.One not only felt safe and snug within one’s bedroom. Safety was of paramount importance throughout THE RITZ. The security staff maintains 12 very astute, intense, yet charming individuals who learned names within hours. My initial conversations were with Nigel and Chris. I enjoyed greeting them daily and definitely felt secure. Fortunately, I had the opportunity to meet and talk with Barry Gendron, the security supervisor. Mr. Gendron was raised in the Seychells, one of 6 children, and when he came to London, he became a part of the New Scotland Yard. For the past 11 years he has worked at THE RITZ. This handsome gentleman spoke quite eloquently, like an interesting college professor, about his position in a place which upheld tradition, interacted with the community, and enjoyed fantasy and an exquisite form of life. He stressed the fact that his staff was approachable, friendly, flexible, and created collectively to achieve an atmosphere of safety and satisfaction. With benevolent warmth, Mr. Gendron exclaimed,” nothing is impossible at THE RITZ”. Again a reflection of Cesar’s ”Never say no…even if it’s the moon”.In all honesty, we believed the breakfast food could have been more delectable. One morning I had eggs benedict and the lemon flavor of the hollandaise sauce was hardly noticeable. That same morning the bread basket, for 9 pounds, was hard and stale. However, Nancy’s porridge was fantastic and the tea was extremely tasty. We never had dinner since the prices on the menu were out of our middle class range. Dinner for two would have cost about 130 pounds without wine. But the Rivoli bar was beautiful with soft lights, comfortable seating, great service and delicious wine for 9 pounds a glass. Well worth it, just to relax in this awesome room.Although Desiree visited London once, briefly, it was Judith’s first trip. Our first walk was down Piccadilly,a right turn from the hotel, toward Piccadilly Circus. We passed the famous Fortnum &amp; Mason, a grand store offering specialty products such as fine tea, perfume, an assortment of exotic foods ,such as cognac butter, my favorite, hampers ,which are RITZY picnic baskets, and two restaurants. It is truly a mecca of opulent splendor. The next block featured the Burlington Arcade, an area dominated by luxurious shops, the Royal Arcade, a museum with palladium architecture, and the arts &amp; crafts show at St. James Church which is held a few days a week. Suddenly, within minutes, we were at the junction of five busy streets, and the famous London Landmark Piccadilly Circus with Eros at the top of the fountain with bow and arrow in hand. Then, a right turn down Regent St. to the Mall ,a left turn to London’s Trafalgar Square which is famous for a variety of sculptures, especially the lions, fountains, and an enormous population of pigeons. The pigeons are not sculptures. They live,breathe, and wait for an opportunity to catch someone’s snack disposal. This Square is surrounded by my favorite museum, the National Gallery, St. Martin of the Fields Church, which holds 20 services a week, and has a café in it’s crypt, eerie, and a series of streets leading to a plethora of other great landmarks. We stood in the center of the Square, smiling, enjoying the temperate whether, a contrast to our enervating heat at home, and said,”This is beautiful London!” and carefully selected the street leading to Covent Garden, the Strand, for shopping ! But, it’s not just about shopping. Covent Garden is a happy ,happy, location highlighting a variety of performers. We always return to the Crusting Pipe Wine Bar,on the lower ground floor of the Market,sit outside with our wine,hot chocolate, tea, or coffee, and listen to classical musicians play Vivaldi,Mozart, Beethoven, Ravel, etc. Finis! Enough for one day.During the 8 days we visited museums, Harrods, Oxford Street, Harrods, ate pub food, Harrods, and saw 3 plays, Women in Black, Billy Elliot, and Equus. I was determined and fixated upon seeing “Harry Potter”, Daniel Radcliffe in his first adult role…and there were several minutes where his “adulthood” was quite evident. LOL. Desiree and Judith loved to eat at Shepherd’s Market and this area seems to be a secret since so few people seem to know about it. Upon leaving THE RITZ, one makes a left, walks in the opposite direction of Fortnum &amp; Mason, and looks for White Horse Street, opposite Green Park and 5 streets away from THE RITZ. This cozy area in the heart of Mayfair is like a village featuring narrow streets and alleyways. There are a variety of restaurants and they are all intimate ,snug, and comfy. Desiree and Judith would know this best because out of 8 evenings,they ate there 4 times!!! Another place we enjoyed was Ben Crouch’s Tavern located on Wells Street, Fitzrovia section, not far from Oxford Circus area. This gothic-themed tavern included a genre of grotesque art such as the devil himself, gargoyles, cackling toilets, plates with spiders painted on them, coffin-shaped bowls, and the famous seven sins cocktail.I could go on and on ad infinitum about London. This city is the veritable love of my life. The opportunity to spend 8 nights at THE RITZ was truly fantastic. If you have the monetary means, I would highly recommend this awesome 5 star 101 year old landmark at 150 Piccadilly. In 2004, the English Speaking Union awarded me a scholarship to study for 3 weeks at THE GLOBE in London. If there was a scholarship to study at THE RITZ, even though I had to shed my cherished blue jeans and tennis shoes to sit in the beautiful Rivoli Bar, I would apply for that scholarship with wholehearted effort. Desiree Asher, my dear, eloquent, debater from the mid 90’s, gave me an immeasurable gift…a luxurious, aesthetic experience that will forever reside in the reservoir of my heart...an unforgettable,boundless,	
Apr 28 2007 	could get a taste for this	I'd booked tea at the Ritz with my family for my 40th birthday (having been before and enjoyed it) and since I had to stay the night in London, thought 'why not?'. I paid £370 for a double room to ensure a double bed (why do hotels think people would be happy to pay to sleep in a single bed after the age of 10?). When I rang confirm the day before I did tell them it was a birthday treat. Having read reviews on this site I was a bit worried that I'd be slightly looked down on, but that wasn't the case at all. I'm not really a five star girl, so the experience of having my luggage whisked away to be delivered to my room before I was through the door so that I entered and checked in unencumbered was lovely. The reception staff were genuinely welcoming, seemed to be expecting me, knew it was my birthday, and had upgraded me to a junior executive (£470 on the tarrif). Only comments would be that I like the old style charm of the lobby, and reception itself feels a bit modern and tacked on in a corner, and the outrageous pre-authorisation of £150 on your credit card. The woman who checked me in then took me up to the room herself and seemed genuinely pleased to be helping me to enjoy my treat. When I asked whether I could only get a cup of tea from room service, she offered to arrange it and it arrived very quickly.There are 'Ritz colours' so I think all the rooms are shades of gold, pink and blue, but it was lovely, really spacious, spotlessly clean and my room was not at all shabby as someone else had commented. The bathroom was a frenzy of marble and gold taps with the most hideous pair of scales in it (why?) but the water pressure was great and the bath really deep. I was on the sixth floor and, while I'd have preferred to be able to open a window, the soundproofing was excellent.I'd prefer to be able to make my own cup of tea rather than pay £5 for room service, but it is beautifully served and you get endless cups of tea from the pot. If you don't like strong tea ask for something lighter than the standard blend, which is frighteningly strong!Breakfast was in the lovely dining room (the view of scaffolding wasn't really their fault!) and I found the service constant without being intrusive. You could spend hours working your way through the offerings. One other observation is that it doesn't feel hideously touristy. It's full of people who are either rich or there for a treat, but in a very civilised way.When I checked out I was intending to ask them to store my bag because I was coming back later for tea, but they offered to store it for the day without me having to ask. When I did finally leave, it was again brought straight out to the taxi. I could get a taste for never having to handle my own luggage! My family were blatantly tourists there for tea, but the doorman was charming to them as well in calling us two taxis.Overall, it really was worth it to stay there once. It's marked down to 4 because I'd locked the door to have a bath and as a result didn't get the turn down service (although I did get a card under the door explaining why), the scaffolding, and because if you're the Ritz and charging huge prizes, the service should be this good. But for a slightly glitzy old style treat, it was great.	
Apr 21 2007	Was expecting better	My husband and i stayed for one night and on the whole expected much better. The room was okay was surprised to see it looking a little worn in places and this was an exective double room , no tea or coffee making facilities in the room either ,afternoon tea was okay seemed a bit rushed at times, breakfast was much better felt very relaxed in lovely surroundings. I do wounder if the RITZ is living on its name at times. We spent the next 2 night s of our holiday at the Milestone Hotel in Kensington which was superb ,the RITZ could learn so much from this hotel.	
Mar 29 2007 	Great stay at the Ritz	I stayed at the Ritz for 5 days in March. This was an impromptu leisure trip and I thoroughly enjoyed my stay. I did not find the staff to be at all stuffy. I did enjoy the champagne tea at the Palm restaurant which was very enjoyable. The scones were excellent and the service immaculate. I received breakfast in my room each morning and it was always perfect and delivered at the requested times. My room was small but well appointed. I admit it would have nice to break out the jeans for a nice walking trip around the city, but for 5 days I managed just fine without them.I contacted the concierge prior to my stay to arrange a few key points of my itinerary- all of which were done to perfection including 4th row seats to Wicked and roundtrip airport transfers.All in all a great stay. I would definitely return without hesitation.	
Mar 27 2007 	good experience on the whole	after a long, transatlantic flight, we didn't appreciate being agressively solicited by the check in manager to upgrade our room for a price. he tried to pressure us (twice) into upgrading upon arrival check in for additional money - we thought this very tacky. we declined to pay extra for a room upgrade, but our originally booked junior suite was lovely. afternoon tea was good, but a bit disapointing based on the cost. the finger sandwiches had no flavor, but they looked pretty. afternoon tea for 2 cost $200...	
Mar 22 2007 	Luxurious and Surprisingly Child-Friendly	We are a family of 3, two adults and a 5 year old girl, who spent a full 7 days, staying in a junior suite at The Ritz. We miss The Ritz already, but who wouldn’t?When we travel, we try to be polite wherever we go but nonetheless, we are American tourists and when out of the states, it’s safe to assume people judge us based on that fact. That said, at the Ritz, we were treated with genuine warmth. The porters learned our names, room numbers and seemed eager to help. Security is tight, so you know you are safe, but the security guards manage to be friendly and professional at the same time. I wanted to mention this because I noticed other people were sensitive. Please realize that the security is a plus and don’t feel too self conscious. The porters are also extremely helpful and will fulfill any wish and get you any reservation you need. While we did call in advance, they secured a window table at Nobu pretty easily for my husband and myself.Our room was nice. By American standards, it was medium size, but it was luxuriously appointed. The bed was one of the most comfortable we’ve ever slept in and the pillows were fine too. Housekeeping had other varieties of pillows on hand, should one not be happy with the pillows given. My daughter was right at home in a pull out sofa-bed which was turned down every night by the housekeeper who would arrange her stuffed animals sweetly and leave her milk and cookies. They also had a bag of toys for her upon arrival.The room had a safe, and one of the brochures mentioned it was a good place to keep your gun. We didn’t bring any guns, but it was a good place to store passports. There was a mini bar and a nice TV with plenty of channels. There was also a never ending supply of fresh fruit brought to the room by a nice man who got to know our preferences. He noticed we liked grapes and would bring extra. There was another person who came specifically to water the orchid. There were actually lots of people stopping in from time to time, but you also had the option of putting up the Do Not Disturb sign. What I missed was an in-room coffee pot and an iron. I can see The Ritz’s reason for not having those things, when room service is perfectly willing to bring you a pot of coffee every morning for a no-so-small fee, but I prefer making my own and having it right away. Also, an iron would have been nice for touching up outfits. I think perhaps most Ritz guests aren’t accustomed to doing any ironing whatsoever, so The Ritz offers a speedy yet pricey pressing and cleaning service. The Ritz also has a nice bar called The Rivoli. It is a quiet, cozy place and I noticed both couples and solitary business people reading and eating alone. There is a full menu and wonderful selection of drinks.The Green Park Underground is steps from the hotel, so you are steps away from almost any location in London via the tube. The location can't be beat.It's definitely old-world luxury and far from being trendy or hip, but when you are in a city such as London were everything is trendy, it's nice to have a quiet oasis such as The Ritz.	
Mar 20 2007 	A five star experience	I needed a special treat to lift my spirits so decided on a concert in London and a night at the Ritz. I like to stay in good hotels, but I hoped the Ritz would be something special. I had a wonderful experience.The staff are welcoming, polite and friendly. On arrival I was relieved of my luggage and the receptionist took me to my room after check in without any delays. The Piccadilly King room was large by London standards and beautifully furnished and decorated (see photos). I had a drink in the bar and ordered afternoon tea in my room. Room service was prompt (they ring a bell rather than knock the door!). A little mean on the sandwiches, but generous with scones, cakes and pastries, all very good.The price of the mini-bar, room service and meals is expensive, but not out of order for a top central London hotel. The turn down service is excellent and included topping up toiletries (Floris) and replacing towels. I drink a lot of water and was glad to see a large bottle of drinking water placed by the bed.If you don’t like the pillows you can call housekeeping and choose from a selection of five other types. I slept very well, the bed was comfortable and the linen excellent.I took a cooked breakfast in the beautiful dining room. The food was good and there is an extensive buffet. Service was impeccable throughout my short stay.Nothing is perfect and if I were forced to be picky I would say the bathroom was small and the rather gaudy 'gold' bathroom fittings are definitely not up to the standard of the rest of the hotel. What is it with London hotels and plumbing?The Ritz is, of course, extremely expensive, but you have to take it on it's own terms. This is a hotel with staff in Edwardian uniforms and a dress code for guests. If you want laid back luxury look elsewhere. I had a wonderful stay and would love to go again some day. Until then I will be boring everyone to death with stories of the night I stayed at the Ritz.	
Mar 8 2007	Putting down the Ritz	No mistake this is an elegant hotel, a bit of Paris plunked down in Mayfair. The decor was magnificent, both in the public rooms and in our room itself. On the other hand, our room was volcanicly hot when we arrived, and overall we felt completely ignored, and hardly experienced the attentive service that the astronomical prices should require. I had to track down someone to take our drink order at the bar, and the two pound coins in change (from a twenty pound note) have been made into cufflinks--a cautionary memento of a stay that is memorable precisely because it failed to be so, but should have been.	
Mar 8 2007	Afternoon tea at the Ritz	We went as a family of 6 for afternoon tea at the famous Palm court restaurant in the Ritz. We chose the last sitting of 7.30pm so we won't fall foul of the congestion charge and parking nearby should be available as meter bays are free around that time.We found parking across the road from the hotel along the side of Green park underground station.We were welcomed at the door by 2 doormen who politely directed us to the Palm court restaurant and wished us an enjoyable time. All the grandeur of the hotel and it's history was there to be seen in the decor and furnishings. We were welcomed once again at the steps of the restaurant opposite the live musicians and offered a glass of champagne while shown to our table. Another waiter came and placed the napkins on our laps followed by another asking us what type of teas we'd like.We all chose different ones and promptly got them in bright silver teapots(all the cutlery was silver).Again the tea was poured for us and this was followed by 2 three tiered silver stands loaded up with assorted sandwiches at the bottom,scones and sliced fruit cake in the middle tier and petit fours and pastries on the top tier.The silver pots of jam and clotted cream were already there and were indeed delicious! We were regularly asked if everything was ok and if we needed anymore of anything which we did and were promptly replenished with more food. I did ask for a stronger flavour of tea and got 2 different teas to try in it's own teapot and not just a cuppa, I was also told that they'll keep changing it until I was satisfied! One of the waiter asks in passing if we were celebrating anything special and I amongst others there obviously were, most were celebrating birthdays and anniversaries. We all got a momento presented by the waiters...a small cake with a candle for birthdays and a long stemmed rose in a Ritz wrapped presentation box for those celebrating anniversaries like us.This was presented accompanied by the live musicians playing the appropriate tunes followed by a round of applause by all. We would go again as the service and the unlimited amount of good food/tea offered, topped with the grand surroundings of the world famous Ritz hotel was an experience to be enjoyed. It's certainly an experience worth trying once, finances permitting of course. You can ask the waiters to take a photo of you as a momento and they certainly seem happy to do so. I took a lot of family pics and therefore haven't got any to show/share apart from the ones taken by my daughters of the &quot;ladies powder room&quot; !!!!! Gives you an idea of what the rest of the hotel might be like!!!Hope you have a good time too.	
Mar 3 2007 	not from this time anymore	A hotel that take the liberty to tell their guests what to wear and not to wear should at least be able to provide something extraordinary itself.The Ritz does totally not live up to that. E-mail’s with requests for transfers were never answered (ending up taking a taxi). The rooms are ok, but the black TV put into the room just to have a TV is the most ugly scene in a hotel room. Absolutely no style.Food quality is just OK but also never impresses.All in all is the Ritz very 80’s and perhaps 90’s but certainly not up to the standards and atmosphere of the 21st century.	
Feb 25 2007	not the best	Stayed at the Ritz in Feb .The room was great overlooking the Park and much of what you need for a short stay is in there but the central heating didn't work and it was cold. By the time we realised this it was quite late as we had been to the theatre.If you just want to stay in your room its fine but there is a dress code and one is not allowed to walk past the foyer in jeans. We were waiting to meet up with someone and asked to sit in the small foyer that is not at all comfortable. The breakfast was of a poor standard and the coffee cold and terrible, we did ask for hot milk but didn't get it. I think for the money we paid we could of found a better and friendlier hotel with better service but maybe not such a nice room.	
Feb 25 2007 	We had a lovely time anyway	We were coming to London to visit Hatton Garden to buy a special ring so I thought it would be good to buy the &quot;romance package&quot; directly from the Ritz On arrival we checked in and we were told they had given us an upgrade. That is great. We were taken to our room. All staff were super.The room was lovely and champagne and flowers were awaiting as requested. Sadly the room was above their main extractor fan. If the owners wifes had booked this as a treat for their men and were put in this room for a &quot;romantic package&quot; they would be so ashamed of their hotelI phoned to ask if we could move rooms - which they did asap. Again the face to face staff were great. ( if anyone from the Ritz takes the trouble to read this - she is a small, slim, blonde lady ) The next room was the basic grade of room which I had booked. It was just perfect. Unfortunately we had to wait 3/4 hour for the champagne and then had to ring room service. Really not good. The flowers never arrived. No turn back service happened either. This was very disappointing as I wanted my partner to enjoy these things as a way of thanking him and for it to add to our special evening. I rang to let the reception to know. They said the manager would ring in the morning. He didn't. That made me a little crossService in the restaurant was fantastic. One of the leading staff in the bar needs sending to a &quot;middle east&quot; style hotels for training. Nowhere have I seen such rudeness. I heard him talking about each male clients in a loud voice as they walked away. This is so unacceptableI loved the breakfast and the service was again wonderful. The dining room looks even more beautiful in the morning. It is worth going if only for that. All the public areas are beautifulOn the whole a little disppointing because of the lack of careJennysheepdog	
Feb 11 2007	Afternoon Tea.	We were staying at the nearby Chesterfield Hotel (excellent) butmy son had booked us afternoon tea at the Ritz to celebrate our40th wedding anniversary.We attended the 1330hrs session.It was a wonderful experience, tea was served in a lovely room to the sounds of an accompanying harpist, a nice romantic setting.Tha service was of a very high standard and the food was delicious.There is no limit on the amount you can eat, as the waiters keep returning and offering more. The decor and ambiance made this an unforgettable experience,if you get the chance don't miss it.	
Jan 10 2007 	truly exquisite hotel	Beautiful hotel in the piccadilly circus. a few blocks from buckingham palace. The hotel staff were extremely friendly and very helpful. Booked an excellent mercedes limo service for ride to the airport. Even the niht porter at 1 am was very nice. The restaurant and the rest of the hotel were breathtaking. Our room was the bed and breakfast basic package and our room was amazing and breakfast was delicious. I would definatley reccommend this place. It is a bit pricey though but you get what you pay for here!	
Jan 9 2007 	Always a perfect stay	Having stayed at the Ritz London over 5 times, we have never failed to be truly impressed by this magnificent hotel. We always book through the the American Express Platinum Card Travel Service and thus always accorded the upgrade and all the usual amenities. We especially enjoy the Junior Suites, which all feature a very spacious bathroom. Service is second to none and we truly appreciate the staffs' attentiveness and friendliness. Everyone delivered meticulous service without any of the stuffiness. The public areas of the hotel are very beautiful and we would never hesitate to return again and again when our travel brings us back to London. Expect to pay dearly, needless to say, but it is worth every penny.	
Jan 1 2007	Restaurant was Truly Excellent	We didn't stay overnight but had dinner in the restaurant and I'm not sure where else to review it on this site. The Restaurant was Truly Excellent and the meal was memorable. The 5 piece band was also a delight. If you have high expectations, they will be met. The 65 pound prixe fix 4 course menu was good value.	
Dec 23 2006 	Service could be better	I checked in at 10am &amp; was expecting to leave my luggage &amp; check-in later but the receptionist told me that the room was ready. She accompanied me &amp; informed me that due to a problem with the boiler there would be no hot water for a couple of hours. This didn't bother me as I was going straight out but I can imagine other guests disapproval when they got up to shower &amp; found only cold water. The room was beautiful as you would expect, there was a fruit bowl with Mandarin oranges, figs &amp; dates &amp; an invitation for a glass of champagne at the Ritz Jewellery shop.The bathroom is a mixture of pink &amp; white marble &amp; the robes &amp; towels are very luxurious.Now comes the negative part. For dinner the restaurant was full so the only other option was a restaurant outside or the bar I decided on the bar. It was very full but the barman said that a table would become available soon I ordered a Negroni and after about half an hour a table became free at the smoking section which wasn't very good but I didn't want to wait any longer. I was given the menu &amp; after about 15 minutes I asked the girl if I could order, she said &quot;Just a minute&quot; &amp; never came back. I then asked another waiter &amp; he said the same &amp; didn't come back either so after eating all the crisps &amp; nuts I left. The waiter that had originally showed me to the table asked if I had enjoyed my dinner I told him noone came to take my order, he said he couldn't believe it &amp; wanted me to return to the bar but I told him I had another appointment.I got the impression that there was actually too many staff in the bar, it's very small but there were at least 6 people &amp; they were all chatting to each other instead of looking after the guests. Anyway this was the only negative point of my stay &amp; I will probably return again mainly because of the lovely rooms &amp; the location.	
Dec 15 2006 	So So	My boyfriend had booked us a night in the Ritz as a treat for my 21st birthday. Needless to say i was looking forward to it for months!!When we arrived we were stopped by the doorman asking 'can i help you?' (3 other people walked in before us and not a word was said, although he may have questioned them before), when we said we had a reservation for the night he looked at us quite stragely and said 'welcome'. When we got to the check in, we were seen pretty quickly although i was amazed by what happened next!The receptionist asked for a credit card (normal i thought....), then said it was declined. We asked what she was trying to take from it, her answer was 'we need to take £150 from your credit card incase you put any charges to your room', my mouth almost hit the floor. Never before have i been to a hotel where they take so much money from your card. We protested that we were leaving in an hour or so to have a meal away from the hotel and wouldnt be back until late so there was no way we could bill that much to our room. There was no pursuading her so we asked if they took switch cards, she replied 'no, it has to be a credit card'. In the end we had to pay £150 in cash, which was just ridiculous. She also tried to offer us a different room 'I know you asked for a city view but i thought you might prefer a (more expensive) view of green park', why would we ask for a city view if we wanted to look at green park?! After 15 minutes of checking in, we were finally told to 'wait around the corner' and someone would take us to our room, so we did. After a few minutes someone did come and take us to our room, which i must say was beautiful! It was huge! After 10 minutes room service arrived with a chocolate birthday cake with a candle, which was delicious!The bed was comfy and the robes were nice, as were the slippers that joined them later in the night!All in all the check-in spoiled what was a lovely hotel. Most people here have payed at least £500 for their room, what makes them think we wouldnt pay for anything we ate!?I think if you stay here often, then maybe you wouldnt get the same treatment but for someone who just wants to stay here as a treat, i would honestly say you would be better to stay somewhere else.	
Dec 9 2006 	Expect to be treated like royalty	We stayed at the Ritz Hotel,London for three days. Though expect to pay premium rates, especially with the not so great exchange rate of the US dollar, the service was impeccable. Everyone was courteous and helpful. Our package included a full English breakfast and it was superb. Expect a bit of a wait to be seated at the restaurant on the weekend, as &quot;Non-guests&quot; eat there as well so we decided to have the breakfast sent to our room the following day. The rooms are very spacious and well appointed. Though I must say, having stayed at the Hotel Ritz in Paris, the latter's rooms are more meticulously decorated. As far as location, it can't be beat. Bond street is a mere 2 minute walk. Hyde Park is adjacent to it. The Green Park underground station is around the corner.For any exercise buffs staying at the hotel, the fitness room is quite small. I was surprised to learn that there is no pool. However, they can arrange for a guest to avail of a nearby health club if desired. All in all, The Ritz hotel lived up to its reputation. This year is especially memorable as the hotel is celebrating its 100th year. Try to stay there during the Christmas holidays, as the public areas are very festive and decorated. There is a massive Christmas tree in the lobby. It will be an unforgettable experience, indeed.	
